GEN.1.1	Kuwaripatjara mulapa Godalu ilkaṟi munu manta palyaṉu uwankara wiyangka. 
GEN.1.14+GEN.1.15+GEN.1.16	Ka Godalu wangkangu, “Ilkaṟingka pala tili tjuṯa utiriwa nyinara manta irnyantjikitja kutju kaḻaḻaku, kutjupa tjuṯa mungaku.” Munu Godalu tili puḻka kutjara tjunu, kutju puḻka mulapa ini tjiṉṯu kaḻaḻa irnyantjaku, munu kutjupa tjuku nguwanpa ini piṟa mungangka irnyantjaku. Munu paluṟu kililpi tjuṯa mulapa ilkaṟingka tjunu mungangka irnyantjaku. Munu Godalu wangkangu, “Tili nyanga palula tjanalanguṟuya aṉangu tjuṯangku nyakula kulilku tjiṉṯuringkunyangka munu mungaringkunyangka munuya piṟa ma-ngarinyangka nyakula kulilku piṟa kutju ngaṟala wiyaringkunytja, munuya palulanguṟu kuḻi, nyiṉnga, piriyakutu kuḻu ngurkantankuku.” Ka mulapaṯu uwankara alatjiringu Godalu wangkanyangka. 
GEN.1.17+GEN.1.18	Panya paluṟu tili tjuṯa ilkaṟingka tjunu manta irnyaṟa utintjaku, tjiṉṯungku pakaṟa irnyaṟa kaḻaḻankunytjaku, piṟa kililpi tjuṯa mungangka irnyantjaku. Alatji paluṟu tili tjuṯa tjunu munga kaḻaḻa tiṯutiṯu rawa ngaṟanytjaku. Munu paluṟu nyakula pukuḻaringu wiṟu mulapa ngaṟanyangka. 
GEN.1.19	Ka tjiṉṯu nyanga kutjara kutjaritja mungartjirira mungaringkula ngalya-tjiṉṯuringu.
GEN.1.20	Ka Godalu wangkangu, “Pala uṟungka unngu kuka tjuṯa utiringkula tjuṯariwa antipina kutjupa kutjupa tjuṯa mungilyi mulapa, waṉampi tjuṯa, uṟu unngutja kutjupa kutjupa uwankara. Munu ilkaṟingka tjuḻpu kutjupa kutjupa tjuṯa parpakaṟa para-ngaṟama mungilyi mulapa.” 
GEN.1.21	Alatji Godalu wangkangku palyaṉu waṉampi kutjupa kutjupa puḻka tjuṯa munu antipina kutjupa kutjupa tjuṯa, uṟu unngutja uwankara paluṟu tjunu uṟungka unngu para-ngaṟanytjaku. Munu paluṟu ilkaṟingka para-ngaṟanytjaku tjuḻpu kutjupa kutjupa uwankaraṯu tjunu. Munu paluṟu nyakula pukuḻaringu wiṟu mulapa ngaṟanyangka. 
GEN.1.22	Munu paluṟu tjananya uwankara pukuḻmanu wangkara, “Kuḻunytjararingkulayanku tjuṯaringama. Uṟu unngutja tjuṯa uṟungka mungilyirira lipiringama, kayanku tjuḻpu tjuṯa kuḻu mantangka tjuṯaringama.” 
GEN.1.23	Ka tjiṉṯu nyanga maṉkur-kutjaritja mungartjirira mungaringkula ngalya-tjiṉṯuringu.
GEN.1.24	Ka Godalu wangkangu, “Mantangka utiringkula ngaṟama para-ngaṟapai kutjupa kutjupa tjuṯa, panya kuka tjuṯa, munu kuka wiya tjuṯa kuḻu, ngultju tjuṯa munu inuṟa tjuṯa, puḻka tjuṯa munu tjukutjuku tjuṯa kuḻu, tjuninguṟu ankupai tjuṯa kuḻu utiringkula para-ngaṟama.” Ka mulapaṯu alatjiringu. 
GEN.1.25	Godalu mantangka para-ngaṟapai kutjupa kutjupa uwankara palyaṉu, inuṟa kutjupa kutjupa tjuṯa, ngultju kutjupa kutjupa tjuṯa, munu tjukutjuku tjuṯa kuḻu, tjuninguṟu ankupai tjuṯa uwankara mulapa. Munu paluṟu uwankara nyakula pukuḻaringu wiṟu mulapa ngaṟanyangka.
GEN.1.26	Palulanguṟu Godalu wangkangu, “Wanyula nganaṉanku puṟunypa aṉangu palyala nganaṉa puṟunypa nyinanytjaku.
GEN.1.27	Munu mulapaṯu Godalu aṉangu palyaṉu paluṟunku puṟunypa. Ka paluṟu pula wati munu kungkawaṟa. 
GEN.1.28	Munu Godalu pulanya pukuḻmanu wangkara, “Tjitji tjuṯatjararingama pula, kaya nyupalilanguṟu walytja tjuṯa mulapa ma-mungilyirira nyinama manta winkingka maḻatja maḻatja, munuya ngura tjuṯa mulapa palyanma tjiwariwari pukuḻpa palya nyinanytjikitjangku. Munuya uwankara mayatjarira kanyinma, panya ngayulu nyuranya tjunu kutjupa kutjupa uwankaraku mayatja puḻka nyinanytjaku antipina tjuṯaku, tjuḻpu tjuṯaku, kuka tjuṯaku, mantangka para-ngaṟapai uwankaraku kuḻu.
GEN.1.29	“Munu nyawa! Ngayulu ukiṟi uṉinypatjara kutjupa kutjupa uwankara, puṉu maitjara kutjupa kutjupa uwankara, mai mantatja uwankara kuḻukuḻu mantangka tjunu nyura ngalkula paḻtjaringkunytjaku. 
GEN.1.30	Munu ngayulu mai ukiṟi, mai parka puḻka mulapa mantangka tjunu kukangku, tjuḻpungku, mantangka para-ngaṟapai uwankarangku ngalkunytjaku.” Ka mulapa alatjiringu Godalu wangkanyangka. 
GEN.1.31	Ka Godalu uwankara palyantjatjanungku nyakula pukuḻaringu uwankara wiṟu mulapa ngaṟanyangka. Ka tjiṉṯu nyanga maṉkur-maṉkuritja mungartjirira mungaringkula ngalya-tjiṉṯuringu.
GEN.2.1	Uwa, alatji panya Godalu manta ilkaṟi kutjupa kutjupa uwankara wangkangku palyaṉu, mantatja uṟutja ilkaṟitja uwankara kuḻu. 
GEN.2.2	Paluṟu panya tjiṉṯu maṉkur-maṉkurpa palyaṟa wiyaṉu munu palulanguṟu tjiṉṯuringkula nyinara pakuwiyaringu piṟuku palyantja wiya tjiṉṯu panya 7-ta. 
GEN.2.3	Munu paluṟu tjiṉṯu pala palunya miḻmiḻmanu palumpa tjiṉṯu wiṟu ngaṟanytjaku, panya tjiṉṯu pala palula paluṟu pakuwiyaringu uwankara palyaṟa wiyantjatjanu.
GEN.2.4+GEN.2.5	Nyangatja tjukurpa ngaṉmanyitjatjara panya Mayatja Godalu manta ilkaṟi uwankara palyantjatjara. Ka panya ngaṉmanypa manta ilkaṟi palyannyangka ukiṟi munu puṉu tjuṯa mantangka wiya ngaṟangi, panya Godalu mina ngangkaḻitja mantangka puyintjaku iyantja wiya kuwaripaṯu. Ka manta tjawaṟa runyuṟa kaana palyantjaku aṉangu ngaṟanytja wiyaṯu kuwaripa. 
GEN.2.6	Palu manta unngunguṟu aṟuma puṟunytju pakaṟa pupara manta tulykuningi.
GEN.2.7	Palulanguṟu Mayatja Godalu manta mantjinu munu wati palyaṉu mantanguṟu. Munu paluṟu wati mulya puuṟa kurunpa tjarpatjunu, ka wati paluṟu puntu winki wankaringu. 
GEN.2.8	Ka Godalu kaana palyaṉu kakaraṟa ngura ini Edennga, munu nyara palula wati panya palunya tjunu. 
GEN.2.9	Munu paluṟu mantanguṟu pakaltjingaṉu puṉu kutjupa kutjupa tjuṯa wiṟu mulapa mai wiṟutjara paluṟu ngalkula paḻtjaringkunytjaku. Munu puṉu kutjara kutjupa kaanangka nguṟurpa tjunu. Panya puṉu kutjunguṟu aṉangungku mai ngalkula tiṯutjara wanka nyinaku, palu puṉu nyara kutjupanguṟu mai ngalkula paluṟu nintiringkuku nyaa palya munu nyaa kura.
GEN.2.10	Ka ngura nyara Edenta uṟu puḻka ukalingangi karungka, ka ukiṟi puṉu tjuṯa ngaṟangi uṟungka itingka. Ka karu paluṟu kaananguṟu ukalingkula tjara-tjararingkula karu kutjara kutjararingu ini nyanganpa – Pitjannga, Kiyannga, Taikiṟitjanya, munu Yupuṟaitinya. Karu nyanga paluṟu tjana kutjunguṟu tjara-tjararingu. 
GEN.2.11+GEN.2.12	Ka karu Pitjannga ngura ini Apilala nguṟurwanu ma-ngarira ukalingangi. (Ngura nyara Apilala gold wiṟu mulapa ngaringi, munu paṉṯipai wiṟu mulapa, munu apu kutjupa wiṟu mulapa upula puṟunypa kuḻu ngaringi.) 
GEN.2.13	Ka karu panya Kiyannga ngura ini Kuutjula nguṟurwanu ma-ngarira ukalingangi. 
GEN.2.14	Ka karu panya Taikiṟitjanya ngura ini Atjiṟiyala kakaraṟawanu kaṯakutjara wati-ngarira ukalingangi. Ka karu kutjupa panya Yupuṟaitinya.
GEN.2.15	Ka panya Mayatja Godalu wati panya palunya tjunu ngura nyara Edenta kaana aṯunymaṟa kanyintjaku munu manta tjawaṟa runyuṟa mai pakaltjingantjaku. 
GEN.2.16	Munu Godalu wangkangu palula, “Kaanangka puṉu maitjara tjuṯa ngaṟanyi, ka nyuntu palya puṉu uwankaranguṟu mai mantjiṟa ngalkunma. 
GEN.2.17	Palu puṉu kutjunguṟu ngalkuwiyangku wantima, puṉu panya palya munu kura nintilpailanguṟu. Mai pala palunya wantima, panya puṉu pala palulanguṟu mantjiṟa ngalkulampa nyuntu mulapa iluku.”
GEN.2.18	Palulanguṟu Mayatja Godalu kuliningi, “Wati nyangatja kutju nyinanyi ngaḻṯutjara, maḻpa wiya. Wanyu kaṉa palumpa maḻpa palyala palula tjungu nyinara alpamilantjaku, ka pula pukuḻpa nyinama maḻpaṟara.”
GEN.2.19+GEN.2.20	Ka panya Godalu mantanguṟu palyaṉu mantangka para-ngaṟapai uwankara kuka kutjupa kutjupa tjuṯa munu tjuḻpu tjuṯa kuḻukuḻu. Munu paluṟu nyanganpa uwankara wati panya palula wirkakatingu kutju-kutju nyakula ini tjunkunytjaku. Ka wati paluṟu nyakula ini tjuṯa wangkara waṉaningi, ka paluṟu tjana uwankara initjararingu tjuḻpu tjuṯa munu mantangka para-ngaṟapai tjuṯa, ngultju tjuṯa munu inuṟa tjuṯa kuḻukuḻu. Palu nyanga tjanala uwankaranguṟu kutju wiya ngaṟangi watiku maḻpa.
GEN.2.21	Ka palulanguṟu Mayatja Godalu wati palunya puḻkaṟa kunkuntjunu munu kunkunpa puḻka ngarinyangka kantilypa kutju mantjinu munu mantjiṟa iltjanpangka piṟuku maḻakungku tjutuṉu. 
GEN.2.22	Munu paluṟu kantilypa pala palulanguṟu kungka palyaṉu munu palyaṟa wati panya palulakutu wirkakatingu. 
GEN.2.23	Ka wati paluṟu nyakula puḻkaṟa pukuḻaringu munu Godala wangkangu alatji, “Ai! Nyangatja ngayulu puṟunypa, panya nyuntu palunya ngayulanguṟu palyaṉu, ngayuku tarkanguṟu, ngayuku iltjanpanguṟu. Kaṉa palunya inilku, ‘kungka.’ ”
GEN.2.24	Ka pala palulanguṟu panya, watingku mama ngunytju wantikatipai munu kungka aḻṯira palula tjunguringkupai munu pula kuriṟara kutjuringkupai iltjanpa kutjuṯu. 
GEN.2.25	Ka wati panya paluṟu pula nikiti nyinangi kuṉṯa wiya alatjiṯu.
GEN.3.1	Palu kutju liru Godalu palyantja ayinayini mulapa nyinangi kutjupa uwankarangka waintarinytja. Ka tjiṉṯu kutjupangka liru paluṟu pitjala kungka panya palula tjapinu ngunti kurantjikitjangku, “Yaaltjin kulini? Panya kaana nyangangka puṉu maitjara tjuṯa ngaṟanyi. Ka wanyu mulapa Mayatja Godalu nyupalinya painu puṉu nyanga uwankaranguṟu mai ngalkuwiyangku wantinytjaku?”
GEN.3.2	Ka kungkangku wangkangu palula, “Wiya, Godalu palyanmanu ngali puṉu tjuṯanguṟu mai mantjiṟa ngalkunytjaku. 
GEN.3.3	Palu mulapa puṉu kutjunguṟulinya painu ngalkuwiyangku wantinytjaku, puṉu nyara kaanangka nguṟurpa ngaṟanyi, nyara palulanguṟu. Alatji paluṟu ngalinya painu, ‘Mai palunya pampulwiyangku wantima ilunytjaku-tawara.’ ” 
GEN.3.4	Ka lirungku wangkangu, “Wiya, palatja ngunti wangkanytja. Nyuntu ngalkula ilunytja wiya. 
GEN.3.5	Godalu alatji wangkara painu panya paluṟu nintingku kulini nyuntu mai palunya ngalkula nintiringkuku munu Godalu puṟunytju nintingku kulilku palya munu kura. Pala palu puṟunyarinytjaku-tawara Godalu nyuntunya painu.” Alatji lirungku wangkangu ngunti kurantjikitjangku.
GEN.3.6	Ka lirungku wangkanyangka kungka panya paluṟu puṉu panya nyakula kuliningi, “Ai! Mulapa nyangatja wiṟu mulapa ngaṟanyi. Ka nyanga wiṟuṯu ngaṟanyi ngalkunytjaku.” Munu paluṟu mukuringkula kuliningi, “Ngayulu kuwari mai nyanga palunya ngalkula Godanya puṟunypa ninti mularariku.” Munu alatji kulintjatjanungku paluṟu mai panya mantjiṟa ngalkuṉu. Munu palumpa kuri ungu, ka pula tjungungku mai palunya ngalkuṉu. 
GEN.3.7	Munu pula ngalkula mapalku kulinu kura palyantjatjanungku munu pulanku nikiti ngaṟanytjatjanungku nyakula kuṉṯaringu. Palulanguṟu pula nyaḻpi puḻka tjuṯa puṉu iḻinguṟu mantjinu munu wakaṟa tjunguṟa mantara puṟunypa kutjara palyaṉu munu pulanku kaṟilpa karpiṟa angatjunu.
GEN.3.8	Munu pula mungartjirinyangka kulinu Mayatja Godanya kaanangka unngu para-ngaṟanyangka, munu pula nguḻu kumpinu puṉu tjaṯangka. 
GEN.3.9	Palu Mayatjalu wati panya palunya tjapiṟa nguriningi, “Yaaltjingkan nyinanyi?”
GEN.3.10	Ka wangkangu, “Wiya, nyuntu kaanangka para-ngaṟanyangkaṉa kuliningi, munuṉa nguḻuringkula kumpinu panya ngayulu nikiti ngaṟanyi.”
GEN.3.11	Ka Godalu wangkangu, “Nganalunta wangkangu nyuntu nikiti ngaṟanytja? Nyuntu wanyu puṉu panya palulanguṟu mai panya mantjiṟa ngalkuṉu? Panya ngayulu painu ngalkuwiyangku wantinytjaku.”
GEN.3.12	Ka wangkangu, “Wiya, kungka nyanga nyuntu ngayunya ungkunytjaluṉi ungu, kaṉa ngalkuṉu.”
GEN.3.13	Ka Godalu kungka panya palunya wangkangu, “Nyaakun nyuntu alatjingaṉu?”
GEN.3.13	Ka wangkangu, “Wiya, lirungkuṉi ngunti kuraṉu ngalkunytjaku, kaṉa ngalkuṉu.”
GEN.3.14	Ka palulanguṟu Godalu lirungka wangkangu alatji, “Nyuntu kungka nyangatja ngunti kurannyangkaṉa nyuntunya ngapartji kuraṉi. Pala mantangka para-ngaṟapai kutjupa kutjupa tjuṯa nyinanyi, palu ngayulu nyuntunya kutju kuralku kutjupa tjuṯa wiya, kankuya aṉangu tjuṯangku nyuntumpa mukuringkunytja wiyangku alatjiṯu wantiku. Ka nyanganguṟu nyuntu tiṯutjara tjuninguṟu kutju para-pitjalinkuku kata ulpuru-ulpuru manta tjuningka pampuṟa. 
GEN.3.15	Kaṉa nyanganguṟu liru kungkaṟarangku nyupalinku rawa kuraringkula pikaringkunytjaku palyalku, ka nyuranku liru tjuṯangku munu aṉangu tjuṯangku rawangku pikangku pungkuku. Panya aṉangungku nyuntunya kata kantuṟa puṟuntankuku, ka nyuntu palunya paalpa patjalku.” Alatji Godalu liru panya wangkara kuranmanu.
GEN.3.16	Munu paluṟu kungkawaṟangka ngapartji wangkangu alatji, “Nyuntun ngayula tungunpungkula mai ngalkuṉu, ka pala palulanguṟu ngayulu nyuntunya iṯitjararingkunyangka paku puḻka palyalku, ka nyuntu iṯi kanyiṟa pika puḻkaringkuku. Palu nyuntu wati kuriku puḻkaṟa mukuringkuku, ka paluṟu nyuntunya mayatjangku kanyilku.” Alatji Godalu kungkangka wangkangu.
GEN.3.17	Munu paluṟu watingka ngapartji wangkangu alatji, “Ngayulu panya nyuntunya wangkangu puṉu panya palulanguṟu mai ngalkuwiyangku wantinytjaku. Palu nyuntu ngayula tungunpungkula kuringka kulinu munu mantjiṟa ngalkuṉu. Pala palulanguṟu kuwari manta uwankara kuraringanyi, ka ukiṟi, puṉu tjuṯa wiṟuṟa pakantja wiyaringkuku. Ka nyuntu mai ngurintjikitja puḻkaṟa mulapa waṟkariku tiṯutjara alatjiṯu ilunytjakutu-wangkara. Kuwari mantangku nyuntunya puḻkaṟa pakuṉi mai ngalkunytjikitja waṟkarinyangka. 
GEN.3.18	Ka mantangka pakalku ukiṟi kurakura tjuṯa tjilkatjara tjuṯa, ka nyuntu mai ilytjitja kutju ngalkuku. 
GEN.3.19	Munu nyuntu mantangka mai pakaltjingantjikitja puḻkaṟa mulapa waṟkariku akuṟi-akuṟi puḻka. Palu nyuntu puḻkaṟa waṟkarinytja wiyangku wantira mai tjukutjuku mantjilku munun puṯu nguwanpa paḻtjaringkuku. Nyuntu tiṯutjara alatjiṯu waṟkariku ilunytjakutu-wangkara, munun ilura manta pala palula tjunguringkula piṟuku mantaringkuku. Panya ngayulu nyuntunya mantanguṟu palyaṉu, ka nyuntu ilura piṟuku mantaringkuku.” Alatji Godalu watingka wangkangu.
GEN.3.20	Ka Adamalu palumpa kuri ininu Eve-anya, panya minyma nyanga palulanguṟu aṉangu uwankara utiringkula wanka nyinaku maḻatja maḻatja. 
GEN.3.21	Ka Mayatja Godalu kuka miṟinguṟu mantara palyaṉu Adamaku pulampa Eve-aku, ka pula tjarpangu.
GEN.3.22	Palulanguṟu Mayatja Godalunku kuliningi, “Kuwari aṉangu paluṟu pula mai panya ngalkunytjatjanungku nganaṉa puṟunytju nintingku kulini palya munu kura. Kala nyara palulanguṟu nganaṉa kuwari palunya pulanya kaananguṟu paini maḻakungku pitjala puṉu panya kutjupanguṟu mai ngalkula tiṯutjara wanka nyinanytjaku-tawara.” 
GEN.3.23	Munu Godalu pulanya kaana panya ini Edentanguṟu paiṟa iyaṉu ankula ngura kutjupangka manta tjawaṟa runyuṟa waṟkarinytjaku. Panya Godalu wati mantanguṟu palyaṉu, munu pulanya kuraringkunyangka paiṟa iyaṉu manta panya palulaṯu maikitja waṟkarinytjaku. 
GEN.3.24	Munu pulanya paintjatjanungku kaanangka kakaraṟa-pitinypa angelpa nyaḻpitjara tjuṯa ngaṟatjunu munu tjuḻa waṟa puḻka kuḻu tjunu, kaya anga-ngaṟangi aṉangungku puṉu panya palulanguṟu maḻakungku pitjala mai ngalkula wanka tiṯutjara nyinanytjaku-tawara. Ka tjuḻa puḻka panya paluṟu ayinayini tili winkitjara uri-uripai aṉangungku nyakula nguḻuringkunytjaku.
GEN.4.1	Ka Adamanya pula Eve-anya tjungu nyinara katjatjararingu. Ka Eve-alu wangkangu, “Tjitji nyangatjaṉi Godalu ungu. Palulanguṟuṉa palunya inini Kainnga.” 
GEN.4.2	Munu pula ngula piṟuku katjatjararingu munu palunya ininu Abelnga.
GEN.4.2	Ka Kaintu puḻkaringkula manta tjawaṟa runyuṟa kaana pakaltjinganingi, palu Abeltu puḻkaringkula tjiipi tjuṯa kanyiningi. 
GEN.4.3+GEN.4.4	Munu pula ngula Godanya ungkunytjikitjangku kutjupa kutjupa tjuṯa katingu pulampanguṟu, Kaintu katingu mai tjuṯa kaananguṟu. Ka Abeltu katingu tjiipi kuḻunypa katja ngaṉmanyitja. Munu paluṟu pungkula kuka kaṉpitjara wiṟu mulapa Godanya ungu palumpa pukuḻarira. Ka Godanya Abelku pukuḻaringu paluṟu kuka katira ungkunyangka. 
GEN.4.5	Palu paluṟu Kainku pukuḻarinytja wiyangku wantingu. Ka Kainnga puḻkaṟa mirpaṉaringu munu paluṟu mulyararingu.
GEN.4.6	Ka Mayatja Godalu palula wangkangu, “Nyaanguṟu nyuntu mirpaṉarinyi? Nyaanguṟu nyuntu mulyara-mulyara nyinanyi? 
GEN.4.7	Nyuntu tjinguṟu tjukaṟurungku palyantjatjanumpa pukuḻpa nyinama. Palu nyuntu panya tjukaṟurungku palyalwiyangku wantingu, kanta kurangku nyuntunya unngu waṟuṉu nyakula mulyara-mulyararinytjaku. Palu uti nyuntu kura palunya kulilwiyangku wantima nyuntunya kura mularmankunytjaku-tawara.” Alatji Godalu Kainta wangkangu.
GEN.4.8	Ka kuliṟa wantingu munu ankula palumpa maḻanypa Abelnga wangkangu, “Arali puṯikutu.” Munu pula anu puṯikutu, ka katira kuṯangku pungkula iluntanu maḻanypa panya, munu pungkula wantikatira maḻaku anu ngurakutu.
GEN.4.9	Ka ngula Mayatja Godalu Kainta tjapinu, “Nyuntumpa panya maḻanypa yaaltji?”
GEN.4.9	Ka wangkangu, “Wampa! Ngayuluṉa ngurpa! Iṯi wiya paluṟu, wati alatjiṯu, ngayulu aṯunymaṟa kanyintjaku wiya.”
GEN.4.10	Ka palulanguṟu Godalu palunya wangkangu, “Wiya, nyaanguṟu nyuntu maḻanypa pungkula iluntanu? Utin wantima! Palu kuwari nyuntumpa maḻanyku milkaḻingku mantanguṟu ngayunya wangkanyi nyuntunya ngapartji pungkunytjaku. 
GEN.4.11	Nyanga palulanguṟu kuwari nyuntumpa tjituṟu-tjituṟu puḻka ngaṟaku. Nyanganguṟu nyuntu manta tjawaṟa kaana puṯu palyalku. Panya mantangka nyuntumpa maḻanyku milkaḻi tjutingu nyuntu palunya pungkula iluntankunyangka. 
GEN.4.12	Ka nyuntu tjinguṟu manta tjawaṟa runyulku ukiṟi uṉinypa tjunkunytjikitjangku, palu ukiṟi panya mantanguṟu pakantja wiya alatjiṯu ngaṟaku. Kan wantira ankula ngura tjuṯangka waara tiṯutjara para-pitjalinkuku munun ngura panya kutjungka puṯu nyinaku.” Alatji Mayatja Godalu Kainta wangkangu.
GEN.4.13	Ka wati panya paluṟu wangkangu, “Wiya, nyangatja wituwitu mulapa. Nyuntu alatjingannyangkaṉa ngayulu puṯu wanka nyinaku. 
GEN.4.14	Panya nyuntu kuwari ngayunya ngayuku mantanguṟu paiṟa iyaṉi, kaṉa manta piṟuku tjawaṟa puṯu waṟkarinyi. Nyuntuṉin ngayunya mauṉṯananyi nyuntula miṟangka nyinanytja wiyaku, kaṉa kumpilpa tiṯutjara nyinaku. Palulanguṟuṉa ngura wiya waara para-pitjaliṟa nyinaku ngura kutjupangka kutjupangka, kaṉiya aṉangu kutjupa tjuṯangku tjinguṟu nyakula pungkuku.”
GEN.4.15	Palu Godalu Kainta wangkangu, “Wiya kulila! Aṉangu kutjupangku nyuntunya pungkunyangkampaṉa ngayulu tjananya ngapartji pungkuku walytja palumpa 7 kuḻu.” Munu alatji wangkanytjatjanungku paluṟu Kainta aṉangungka walka tjunu kutjupangku palunya nyakula ngurkantaṟa pungkuwiyangku wantinytjaku. 
GEN.4.16	Palulanguṟu Kainnga pula kuriṟara Mayatja Godanya wantikatira anu ngura Edenta kakaraṟa, munu pula ngura ini “Para-pitjalinkunytjala” ngura tjunkula nyinangi.
GEN.4.17	Ka ngula Kainnga pula palumpa kuri tjungu nyinara katjatjararingu munu pula palunya ininu Iinakanya. Ka nyara palula-aṟa Kaintu ngura tawunu palyaningi waḻi tjuṯatjara munu ngura palunya ininu Iinakanya palumpa katjanguṟu. 
GEN.4.18	Ka ngula Iinakalu katja utinu ini Iṟatanya, ka palulanguṟu Iṟatalu katja utinu ini Maiyutjailnga ka Maiyutjailtu utinu katja ini Mitjutjailnga, ka paluṟu katja ini Lamikanya utinu.
GEN.4.19	Ka Lamikalu kuri kutjara aḻṯingu ini Atanya pulanya Tjilanya. 
GEN.4.20	Ka Atalu katja kutjara kanyinu ini Tjapalnga pulanya Tjupalnga. Ka Tjapaltu ngula puḻkaringkula kuka ngultju tjuṯa kanyiningi munu tiintatjara para-nyinaṟinangi. Ka Tjapalkunu tjuṯangku maḻatja maḻatjangku panya palu puṟunytjuṯu kuka tjuṯa kanyilpai munu tiinta wiltjaṟa nyinapai, tjamu panya Tjapalnga puṟunypa. 
GEN.4.21	Ka palumpa maḻanytju Tjupaltu ngula puḻkaringkula inma mayu wiṟu wangkatjingaṟa kuliningi puṉu aḻatjara puuṟa munu puṉu kita puṟunypa wangkatjingaṟa. Ka Tjupalkunu tjuṯangku maḻatja maḻatjangkuṯu palu puṟunytjuṯu puṉu aḻatjara puuṟa, puṉu kita puṟunypa wangkatjingaṟa inma mayu kulilpai, tjamu puṟunytju.
GEN.4.22	Ka Lamikaku kuri kutjupangku Tjilalu katja kanyinu ini Tupal-Kainnga munu uṉṯalpa kuḻu kanyinu ini Naimanya. Ka kuṯangku ngula puḻkaringkula ayananguṟu palyaningi alkaṟa, tjuḻa, tjitjula, munu kutjupa kutjupa tjuṯa kuḻukuḻu.
GEN.4.23	Ka tjiṉṯu kutjupangka wati panya Lamikalu palumpa kuri kutjarangka wangkangu, “Ata munu Tjila, kulilaṉi pula! Ngayulu wati yangupala pungkula iluntanu ngayunya pungkunyangka. 
GEN.4.24	Ka panya Godalu wangkangu Kainku ngalkilarira aṉangu 7 iluntankunytjikitjangku. Munu palu puṟunypaṯu kutjupangku ngayunya pungkunyangkampa paluṟu aṉangu tjuṯa mulapalta nampa 77 iluntankuku ngayuku ngalkilarira.” Alatji Lamikalu wangkangu kuri kutjarangka.
GEN.4.25	Ka Adamanya pula piṟuku katjatjararingu. Ka Eve-alu wangkangu, “Nyangatjaṉi Godalu katja kutjupa ungu Abelku aṟangka nyinanytjaku, panya Kaintu Abelnga pungkula iluntanu. Palulanguṟuṉa katja nyangatja inini Tjiitjinya.” 
GEN.4.26	Ka Tjiitjinya puḻkaringu munu ngula kuri aḻṯira pula katjatjararingu munu palunya ininu Inatjanya. Kaya nyanga palula aṟangka aṉangu tjuṯangku Mayatja Godanya wangkara waḻkuningi.
GEN.5.1+GEN.5.2	Ka nyangatja Adamaku walytjapiti ma-tjuṯaringkunytja maḻatja maḻatja. (Panya Godalu aṉangu palyaṉu paluṟunku puṟunypa alatjiṯu. Ka paluṟu pula nyiṯayira kungka. Ka pulanya palyantjatjanungku pukuḻmanu munu pulanya ininu “aṉangu”.) 
