MAT.1.1	Baa arrittiaa Yeesu Krĩstõ halaangatõõ cĩ habu Daavide
MAT.1.9	Nẽ ikia ittira Uthia ngeerĩnĩ ꞌcĩ haĩ ꞌJotham,
MAT.1.9	ꞌcĩ baa aku ĩĩn maaꞌnyĩ Ahathĩ.
MAT.1.9	Nẽ baa ĩĩ Ahathĩ maaꞌnyĩ Heꞌthekia,
MAT.1.10	Ma nĩngaata, ikia ittira Heꞌthekia ngeerĩnĩ ꞌcĩ haĩ Manaaꞌthe,
MAT.1.10	ꞌcĩ baa ĩĩn maaꞌnyĩ buulenit ꞌcĩ haĩ Amon.
MAT.1.10	Ikia ũꞌthũwanõõ Amõnĩ nẽ ittira ngeerĩnĩ ꞌcĩ haĩ ꞌJothia,
MAT.1.11	nẽ ꞌJothia ikia ittira nyahaappan ꞌcĩ haĩ ꞌJekoniia hĩ ꞌgõtõõnõgĩ, korrioohĩĩ ꞌcĩg baag attĩnganẽẽkĩ habuui cĩ Babiloonnia eet cĩg ꞌJudeei hõõt ĩĩcĩ looc cĩ Babiloonnia.
MAT.1.12	Ma baa ũũhĩ habuui cĩ Babiloonnia eet cĩg ꞌJudeei looccaa cĩ Babiloonnia,
MAT.1.12	ũũk ittira ꞌJekoniia ngeerĩnĩ ꞌcĩ haĩ Thealtieele,
MAT.1.12	nẽ ittira Thealtiẽẽlĩ ngeerĩnĩ ꞌcĩ haĩ ꞌTherubbabel,
MAT.1.13	nẽ ittira ꞌTherubbabelĩ ngeerĩnĩ ꞌcĩ haĩ Abiud
MAT.1.13	ꞌcĩ baa aku arrita Eliaakim,
MAT.1.13	maaꞌnyĩ nyahaappan ꞌcĩ haĩ Athor.
MAT.1.14	Ikia ittira Athorĩ ngeerĩnĩ ꞌcĩ haĩ Thadok,
MAT.1.14	nẽ baa ĩĩ Thadohĩ maaꞌnyĩ nyahaappan ꞌcĩ haĩ Akim,
MAT.1.14	ꞌcĩ baa hikia hittira ngeerĩnĩ ꞌcĩ haĩ Eliud.
MAT.1.15	Nẽ baa ikia aꞌnyak Eliudĩ ngeerĩnĩ ꞌcĩ haĩ Eleathar,
MAT.1.15	nẽ ikia ittira Eleatharĩ ngeerĩnĩ ꞌcĩ haĩ Matthan,
MAT.1.15	ꞌcĩ baa hikia haꞌnyak buulenit ꞌcĩ haĩ Yakobo,
MAT.1.16	nẽ Yakobo ikia ittira Yothebo,
MAT.1.17	Nẽẽthĩ, baa ĩĩn maajiha vẽlẽk ꞌcĩg iꞌthianaanĩ hĩ Abũrahaamõ hõdõlan Daavide õmmõtõ hĩ ꞌwec nẽ iꞌthianaanĩ hĩ Daavide ĩꞌthõng hõdõlan korriook baag õõĩ eeta cĩg Ĩꞌthĩraẽlĩ looccaa cĩ Babiloonnia, õmmõtõ hĩ ꞌwec buúk. Ma ngaati, iꞌthiattaaĩ maajiha õmmõtõ hĩ ꞌwec tarĩ ĩꞌthõng hõdõlan ꞌtirriaanĩt cĩ Krĩstõ.
MAT.1.18	ꞌGõõl ꞌcĩ baa arrittiaanĩ Yeesu Krĩstõ cieeni: Baa aaĩ bũhẽẽcĩ umwaa ꞌcĩ haĩ Maria ꞌcĩ ẽlẽmmõõ
MAT.1.19	Nẽ hĩnĩngĩtĩ baa ĩĩn Yothebo eet ꞌcĩ abũnnaa nẽ hõllõngaa adiim aaꞌnyĩk Maria ngaaoni lothippita, ikia ummuk nẽẽ ꞌgõõl ꞌcĩ occa ũũnnĩkĩ Maria, ꞌgõõlaa ꞌcĩ aitiõõ hõllõngaa aga eeta.
MAT.1.20	Ma baa nga ammuk nẽẽ thõõth icci, ikia uduhaak ĩnõõnnõ aajĩlõ
MAT.1.21	Ũũkca hatĩ nẽẽ loholeec ꞌcĩ maacĩ. Kateek hatĩ loholeec ꞌthaar ꞌcĩg haĩ Yeesu, hĩnĩngĩtĩ ẽẽla hatĩ nẽẽ eet cĩgĩnnĩg ꞌthẽccanẽẽtĩĩ cĩggĩĩng.”
MAT.1.22	Baa adĩmanni thooꞌthioha cieeg vẽlẽk hoti, hátĩ hidticattĩ thooꞌthioha cĩg Makayyiooktak baag aduha põrõvẽtaacĩ
MAT.1.23	“Ũũkca hatĩ bũhẽẽcĩ ꞌcĩ nga hatagguutho hĩ eet, loholeec ꞌcĩ maacĩ nẽ hatĩ hĩĩtõ ꞌthaar cĩgĩnnĩg Emmanuele,” Nĩngĩtĩ aĩ, “Aaĩ Nyekuci hĩ ngagĩĩta.”
MAT.1.24	Ma baa ĩtĩnga Yothebo ũꞌnyaahĩ, ikia ĩdĩman nẽẽ thõõth baa aduhaak ĩnõõnnõ aajĩlõ cĩ Makayyiookto nẽ ũũhĩ Maria hĩĩ ngaa cĩnnĩ. 
MAT.1.25	Nẽẽthĩ, baa nga hatagguutho Yothebo hĩ Maria ĩꞌthõng hũtũhũa nẽẽ loholeec. Nĩngĩtĩ akannẽẽkĩ Yothebo loholeec ꞌthaar ꞌcĩg haĩ Yeesu.
MAT.2.1	Baa ĩĩn Ẽrõõdẽ
MAT.2.2	Baa nẽ iita ijinit ꞌgeeꞌnyiaha niccieeg eet cĩg ꞌJudeei ĩĩttĩk, “Aaĩ loholeec baa aĩ arrittiaa hĩĩ habu cĩ ꞌJudeei ho ngaana? Baa hacĩnaanna coobooc cĩnnĩ uppwaanna ĩĩcĩ uruto nẽ ꞌyioko, hauunna haĩ hiita hubuluꞌthia ĩnõõnnõ.”
MAT.2.3	Ma baa athĩhĩ habuui Ẽrõõdẽ thõõth icci hoti ho, ikia upuppud ꞌthĩnĩt cĩnnĩ gẽrrẽẽt hĩ eet cĩg ꞌJeruꞌthalẽmĩ vẽlẽk. 
MAT.2.4	Ma ho, ikia ũtũvva Ẽrõõdẽ makayyiook cĩg paadĩrꞌnyaannu hĩ ꞌlimmanniook cĩg nyattal cĩ Mũũꞌtha nẽ ijin ĩhõõggõ ĩĩnnĩk, “Arrittiaa Krĩstõ ngaana?”
MAT.2.5	Ẽdẽcĩ nẽẽg ĩnõõnnõ anneek, “Arrittiaa nẽẽ Bẽtẽlẽma looccaa cĩ ꞌJudeea, hĩ baa ẽhẽẽd põrõvẽtaacĩ aĩ,
MAT.2.6	“ ‘Niig eeta cĩg Bẽtẽlẽmĩ looccaa cĩ ꞌJudeea,
MAT.2.6	iiginnu niig tiirik gẽrrẽẽt ꞌtaaũnnioohĩĩ cĩg ꞌJudeea vẽlẽk.
MAT.2.6	Aku hatĩ ẽẽtĩ ꞌcĩ ĩĩn habu ꞌtaaũnaa cunuung ko. Ĩĩn hatĩ nẽẽ tũhayyioohit cĩ eet cĩgannĩg Ĩꞌthĩraẽl.’ ”
MAT.2.7	Nĩngĩtĩ avvaanĩ Ẽrõõdẽ ꞌgeeꞌnyiak ꞌcĩg au ĩĩcĩ uruto ho ĩĩcĩ burki nẽ ijin ꞌthaa ꞌcĩ baa uppwaannakĩ ĩhõõggõ cõõbõõcĩ ho. 
MAT.2.8	Ma ho, ĩꞌthooĩk ĩhõõggõ bẽtẽlẽma nẽ ĩĩnnĩk, “Õõt da atarrabatta ĩdõlĩ tĩho nẽ ma ummudiaau, iita uduktaahaangu hĩdĩĩkoothong, hátĩ hũũk hala naa buúk ĩnõõnnõ.”
MAT.2.9	Ma baa ĩthĩhĩt ꞌgeeꞌnyiaha niccieeg thõõth ꞌcĩ aduha habuui Ẽrõõdẽ ho ẽlẽk, iita ũtũngteek ĩnõõnnõ, nĩngĩtĩ õõĩ. Baa uwwattẽẽkĩ ĩhõõggõ cõõbõõcĩ baa acinoothi nẽẽg ĩĩcĩ uruto, ĩꞌthõng hũũk hĩbĩl ngaatĩ baa aayyi ĩdõlĩ ho. 
MAT.2.10	Ma baa acĩn nẽẽg coobooc nicci ho, iita accamattoothĩk gẽrrẽẽt.
MAT.2.11	Ma baa õdõlanit nẽẽg ꞌcieeth tĩho, iita ummuddiaak nẽẽg ĩdõlĩ tĩho hĩ aattĩnnĩ Maria nĩngaata, nĩngĩtĩ akannẽẽkĩ huruꞌnyia nẽ alaacõ ĩnõõnnõ. Ma ho, itikta ꞌbaaninit ꞌcĩ ĩĩn ꞌdaab hĩ mõhõõkac hĩ ngõrrõ umwa ꞌcĩ õꞌngõlĩ ẽmmẽdĩ ꞌcĩ haĩ ꞌmiira. 
MAT.2.12	Ma baa urutaa cĩnnĩ, ikia othoothĩk Nyekuci ꞌgeeꞌnyiak niccig honoothittatõõ, hiittiõõ hõllõngaa obodoothi hĩ Ẽrõõdẽ tarĩ. Nĩngĩtĩ õbõdõõꞌthĩ nẽẽg looccaa cĩnĩĩng ꞌgõõlaa umwaanĩ ĩĩcĩ ꞌrĩĩng.
MAT.2.13	Ma baa oboddioothĩ ꞌgeeꞌnyiaha niccieegi, ikia uppwaannak aajĩlõ cĩ Makayyiookto Yothebo honoothittatõõ nẽ ĩĩnnĩk, “Tĩnga hataman! Viri loholeec hĩ aattĩnnĩ bĩtĩ Ijjiba! Bĩĩt awwuaaĩ ĩĩca ĩꞌthõng, huduhaahi naa kõr ꞌcĩ hatĩ õbõdaanĩ, hĩnĩngĩtĩ adiim Ẽrõõdẽ aruk loholeec.” 
MAT.2.14	Nĩngĩtĩ ĩꞌngaannĩ Yothebo baalin niccia noho nẽ ivviri loholeec hĩ aattĩnnĩ ũũhĩ Ijjiba, 
MAT.2.15	ĩĩcĩ baa õõ aattiyyi ĩꞌthõng hadaak Ẽrõõdẽ. Nĩngĩtĩ aku ĩĩnnĩ thõõth cĩ Makayyiookto baa ẽhẽẽd põrõvẽtaacĩ dĩdĩ baa aĩ, “Hũtũvva naa loholeec caannĩ hũtũngeek Ijjib.”
MAT.2.16	Ma baa ammũda Ẽrõõdẽ ngaatĩ ĩggõõlĩ ꞌgeeꞌnyiaha ĩnõõnnõ thõng ko, ikia ĩlĩĩlĩ gẽrrẽẽt, nĩngĩtĩ aduhaakĩ athegereeꞌnya cĩgĩnnĩg huruhit lõhõlĩ ꞌcĩg hidicig ꞌcĩg maacĩg, ꞌcĩg aattĩg Bẽtẽlẽma hĩ ꞌcĩg õbõhõõ nĩngaata vẽlẽk, ꞌcĩg ĩĩn irkiꞌnyia cĩggĩĩng ꞌramma hĩ ꞌcĩg nga ĩĩn ĩdõlẽẽt vẽlẽk. Baa adticaniini nẽẽ thõõth baa aduhaak ĩnõõnnõ ꞌgeeꞌnyiaha.
MAT.2.17	Nĩngĩtĩ aku ĩĩnnĩ thõõth baa Makayyiookto dĩdĩ, baa aduha põrõvẽtaacĩ ꞌJeremia aĩ,
MAT.2.18	“Athĩhĩ eeta ulwa ꞌcĩ arruuẽnĩ ngaaĩ ꞌtaaũnaa cĩ Raama,
MAT.2.18	ulwa hĩ ĩlaali,
MAT.2.18	arruui Rakĩlẽ,
MAT.2.18	hũtũbũr ngaatĩ amammaayaniini,
MAT.2.18	hĩnĩngĩtĩ ucuddia lohollia hĩ lõõcĩ ꞌthĩĩ.”
MAT.2.19	Ma baa adaak Ẽrõõdẽ, ikia uppwaannak aajĩlõ cĩ Makayyiookto Yothebo honoothitatõõ baa nga aaĩ nẽẽ Ijjiba 
MAT.2.20	nẽ ĩĩnnĩk, “Tĩnga bõdĩ loholeec hĩ aattĩnnĩ looccaa cĩ Ĩꞌthĩraẽlĩ. Adaahito eeta baag adiim aruk ĩnõõnnõ.”
MAT.2.21	Nĩngĩtĩ ĩꞌngaannĩ Yothebo nẽ ũũhĩ loholeec hĩ aattĩnnĩ Ĩꞌthĩraẽla. 
MAT.2.22	Ma baa athĩhĩ nẽẽ aĩ ĩĩ, ngeertĩ Ẽrõõdẽ ꞌcĩ haĩ Arkelao habu cĩ ꞌJudeea ho, ikia itingõlĩ ngaatĩ õkõõĩ looccaa cĩ ꞌJudeea. Baa aku adukiaak ĩnõõnnõ thõõth honoothittatõõ hũũk looccaa cĩ ꞌGalileea. 
MAT.2.23	Ma ho, õõt õlõmanit nẽẽg ꞌtaaũnaa cĩ Naaꞌtharẽtĩ, looccaa cĩ ꞌGalileea. Nĩngĩtĩ aku ĩĩnnĩ thõõth cĩ Makayyiookto dĩdĩ, baa aduha põrõvẽtaacĩ aĩ, “Aũ hatĩ eeta ĩnõõnnõ anneek, eet cĩ Naaꞌtharẽtĩ.”
MAT.3.1	Ma baa urutaa cĩ irkiꞌnyia ũgĩ, ikia irrioon Yõaannẽ Batitta horrwaa ꞌcĩ õdõhõhĩĩ kak looccaa cĩ ꞌJudeea. 
MAT.3.2	Baa irrioon nẽẽ nyeemuut ꞌcĩ aĩ, “Ũtũngteek ꞌthẽccanẽẽt cugguung nẽ oboddiaau hĩ Nyekuc, hĩnĩngĩtĩ aau habuccieet cĩnnĩ cĩ hẽẽtkujjieen ojoonu.” 
MAT.3.3	Baa Yõaannẽ Batitta baa õthõõth põrõvẽtaacĩ Iꞌthaia aĩ,
MAT.3.3	“Ẽggẽrẽny mõlõõhĩ cĩ eet umwa horrwaa ꞌcĩ õdõhõhĩĩ kak aĩ,
MAT.3.3	‘Ũkũmatteek ꞌgõõl cĩ Makayyiookto,
MAT.3.3	aanytĩk ꞌgõõl cĩnnĩ hũũlan.’ ”
MAT.3.4	Baa ahimit Yõaannẽ ceremwa ꞌcĩg ẽhẽnytaa ĩmanĩĩ cĩg nyaakaalak nẽ ẽcẽb hadẽẽngõ. Baa ꞌgẽẽn cĩnnĩ ꞌgirooc hĩ loteec. 
MAT.3.5	Nĩngĩtĩ allũnganniaanĩ eeta cĩg ꞌJeruꞌthalẽmĩ hĩ cĩg looc cĩ ꞌJudeea vẽlẽk, hĩ cĩg unak cĩ hidioo cĩ ꞌJõrdanĩ vẽlẽk hiita hĩ Yõaannẽ, 
MAT.3.6	nẽ uduktaak ĩnõõnnõ ꞌthẽccanẽẽt cĩggĩĩng, nĩngĩtĩ aggamẽẽkĩ nẽẽ ĩhõõggõ baattithimo
MAT.3.7	Ma baa acĩn Yõaannẽ Variꞌtheei hĩ Thadutheei
MAT.3.8	Idticanit thooꞌthiok ꞌcĩg ẽtẽrꞌtha aĩ, ũtũngteehu niig ꞌthẽccanẽẽt cugguung dĩdĩ. 
MAT.3.9	Ma hammuku hainnu, ‘Haꞌnyaka nẽẽ naag baangeet cĩnaang Abũrahaamõ.’ Haduhaakuunga! Aga Nyekuci ngaatĩ ũũkcĩ biyyiẽẽn iccig hĩĩtõ lõhõlĩ cĩg Abũrahamĩ. 
MAT.3.10	Nẽẽthĩ ꞌyioko, ataadoothĩk mẽlẽẽhĩ correettaa cĩ heenu ẽlẽk. Eꞌngeddoothĩk hatĩ hẽẽt ꞌcĩ hõllõngaa õddõngta ꞌgẽẽn ꞌcĩ abũnnaa tuu nẽ udhuhoothĩk ꞌgwoyyiatõõ.
MAT.3.11	“Haggameekuung naa baattithimo cĩ tũngẽẽnĩt cĩ ꞌthẽccaneetu maamĩ haaga, nẽẽthĩ, aku hatĩ eet umwaa ꞌcĩ ĩllõõannaa nganĩĩta, eet ꞌcĩ aitiõõ naa hõllõngaa hũũppani ngaatĩ hĩĩnnĩ appahaca cĩnnĩ nẽ hitilola caawa cĩgĩnnĩg. Aggameekuung hatĩ nẽẽ ngagiit baattithimo Loriiaa ꞌcĩ Ẽllẽẽmĩthĩ hĩ ꞌgwoyyia. 
MAT.3.12	Aꞌnyak nẽẽ hẽddẽm cĩ anyiitto attiaa cĩnnĩ. Aany hatĩ nẽẽ haal
MAT.3.13	Ma baa ho, ĩtĩngaayyia Yeesu looccaa cĩ ꞌGalileea ĩꞌthõng hõdõlan hidioo cĩ ꞌJõrdanĩ, hikia haggameek Yõaannẽ ĩnõõnnõ baattithimo. 
MAT.3.14	Aku nõõ hinnia abũrĩ Yõaannẽ ngaatĩ aggamẽẽkĩ ĩnõõnnõ baattithimo nẽ ĩĩnnĩk, “Nganiit ꞌcĩ occa aggameekaa nganĩĩt baattithimo, akuu hinnia nii hĩ nganĩĩta?”
MAT.3.15	Ẽdẽcĩ hinnia Yeesu ĩnõõnnõ anneek, “Aꞌnyĩĩk nõõ haau hĩ ꞌyioko ho, hátĩ hĩdĩmanit thooꞌthiok vẽlẽk ꞌcĩg adiimmeet Nyekuci ngagĩĩt hidticanit.” Nĩngĩtĩ ẽlẽmmĩ Yõaannẽ ngaatĩ aggamẽẽkĩ ĩnõõnnõ baattithimo.
MAT.3.16	Ngaanĩngĩtĩ aggamĩ Yeesu baattithimo ho, ikia ĩꞌngõtha nẽẽ maamĩ battaala. Ma nĩngaata noho, ẽdẽẽnyõthĩ hẽẽtkujjieen ngaatĩ abbuuhẽnĩ nẽ udtuuha Lori cĩ Nyekuci ngaatĩ alluucciakĩ ĩnõõnnõ, ꞌcĩ aaĩ hĩ bõllõõĩ hikia hiccioloonganĩ ĩnõõnnõ. 
MAT.3.17	Ma ho, õthõõtha mõlõõhĩ umwaa hẽẽtahujjieen ĩĩ, “Loholeec caannĩ ciee ꞌcĩ hamĩna, haccamanaa naa ĩnõõnnõ gẽrrẽẽt.”
MAT.4.1	Ma baa urutaa cĩnnĩ, ũũhĩ Lorii ꞌcĩ Ẽllẽẽmĩth Yeesu horrwaa ꞌcĩ õdõhõhĩĩ kak, hũũk hĩttĩman habuui cĩ loriẽẽt ꞌcĩg abathĩ.
MAT.4.2	Baa ẽdẽta
MAT.4.3	Nĩngĩtĩ aku attĩmanĩ ꞌThĩttaanĩ ĩnõõnnõ annẽẽkĩ, “Má ĩĩnĩ nii Ngeertĩ Nyekuci dĩdĩ, duhaak biyyiẽẽn iccig hutuhuyyi hĩĩtõ ũbũnẽẽta.”
MAT.4.4	Ẽdẽcĩ Yeesu anneek, “Eheeddi ꞌBuuhaa cĩ Nyekuci aĩ, ‘Aitiõõ ẽẽtĩ hõllõngaa arũgĩ ꞌgẽẽna diooni. Arũgĩ nẽẽ hĩnĩngĩtĩ thooꞌthiok vẽlẽk ꞌcĩg aduha Nyekuci.’ ”
MAT.4.5	Ma ho, õtõdĩ habuui cĩ loriẽẽt ꞌcĩg abathĩ Yeesu ꞌCieeth cĩ Nyekuci
MAT.4.6	Ma nĩngaata, ĩttĩman ĩnõõnnõ ĩĩnnĩk, “Má ĩĩnĩ nii Ngeertĩ Nyekuci dĩdĩ, dhuhi da ngaati, hĩnĩngĩtĩ eheeddi ꞌBuuhaa cĩ Nyekuci aĩ,
MAT.4.6	“ ‘Aduhaak hatĩ Nyekuci aajĩlẽẽt cĩgĩnnĩg
MAT.4.6	halaamtaii athĩnĩĩ cĩggĩĩng,
MAT.4.6	hátĩ hiittiõõ hõllõngaa aduulli bẽẽ ꞌthoo.’ ”
MAT.4.7	Ẽdẽcĩ Yeesu anneek, “Eheeddi ꞌBuuhaa cĩ Nyekuci buúk aĩ, ‘Ma hattĩmani Nyekuc Makayyioohit cunni!’ ”
MAT.4.8	Ma tarĩ ho, ũũhĩ habuui cĩ loriẽẽt ꞌcĩg abathĩ ĩnõõnnõ muuraa ꞌcĩ uuni kĩdak nẽ eteretheek ĩnõõnnõ habuccieeꞌnya cĩg lootu hĩ makaaꞌthĩt cĩnĩĩng vẽlẽk. 
MAT.4.9	Nẽ uduhaak ĩĩnnĩk, “Occa haaꞌnyii naa nganiit loonyin iccig vẽlẽk, hatĩ akanneekaa huruꞌnyia nẽ ubuluthaanĩ.”
MAT.4.10	Ẽdẽcĩ Yeesu anneek, “Maꞌnyanĩ ngaatĩ haayyi naana ꞌThĩttaan!
MAT.4.11	Nĩngĩtĩ ũũnnĩkĩ habuui cĩ loriẽẽt ꞌcĩg abathĩ ho, Yeesu nẽ iita eelito aajĩlẽẽta ĩnõõnnõ haanytĩk ꞌgii ꞌcĩ adiim nẽẽnĩ.
MAT.4.12	Ma baa ĩthĩk Yeesu ngaatĩ aarĩhõõthĩhĩ Yõaannẽ Batitta baabuuth, ikia ũũk nẽẽ ĩĩcĩ ꞌGalileea. 
MAT.4.13	Ma baa ũtũngeek nẽẽ Naaꞌtharẽt, ũũk aau Kapernauma ngaatĩ abakꞌthõõ hĩ bũlũc looccaa cĩ ꞌThebuluni hĩ Navtali. 
MAT.4.14	Nĩngĩtĩ aku ĩĩnnĩ thõõth cĩ Nyekuci baa aduha põrõvẽtaacĩ Iꞌthaia dĩdĩ baa aĩ,
MAT.4.15	“Niig loonyini cĩg ꞌThebuluni hĩ Navtali,
MAT.4.15	niig loonyini ꞌcĩg aattĩg ꞌgõõlaa ꞌcĩ õkõ ĩĩcĩ bũlũc cĩ hidioo cĩ ꞌJõrdanĩ!
MAT.4.15	Thĩhõõ nii ꞌGalileea, lõõcĩ cĩ eet ꞌcĩg hõllõngaa ĩĩn ꞌJudeei!
MAT.4.16	Tananga aattĩg eeta cugunnig muguratõõ,
MAT.4.16	acĩn hatĩ nẽẽg lanyit ꞌcĩ õõppẽr.
MAT.4.16	Tananga aattĩg nẽẽg muguraa cĩ daahĩthõõ,
MAT.4.16	attũlla hatĩ lanyit ĩhõõggõ.”
MAT.4.17	Ngaanĩngĩtĩ kõr niccia, iꞌthianaaĩ Yeesu ngaatĩ irrioonĩkĩ eet annẽẽkĩ, “Ũtũngteek ꞌthẽccanẽẽt cugguung, hĩnĩngĩtĩ aau habuccieet cĩ hẽẽtkujjieen ojoonu.”
MAT.4.18	Kõr umwa, baa õvvõ Yeesu dẽmẽtaa cĩ Bũlũc cĩ ꞌGalileea. Ma ho, ĩcĩn ꞌgõtõn ꞌramma ꞌcĩg adhuheek nyelelewwa bũlũcatõõ, hĩnĩngĩtĩ baa ĩĩn nẽẽg eet ꞌcĩg aggam ulugo. Baa haĩ umwa ꞌThimõõnẽ nẽ hĩĩtõ umwa Andrea. Haĩ ꞌThimõõnẽ ꞌthaar ũgĩ Pẽẽtũrũ. 
MAT.4.19	Nĩngĩtĩ annẽẽkĩ Yeesu ĩhõõggõ, “Unuyyiaangu nganĩĩta nẽ hatĩ haaꞌnyuung ĩĩtõ eet ꞌcĩg alũtaannu eeta.” 
MAT.4.20	Ma hĩdĩĩkoothong, ũtũngteek nẽẽg nyelelewwaꞌnya cĩggĩĩng nẽ ũnnẽẽcõ ĩnõõnnõ.
MAT.4.21	Ma baa nga õvvõ Yeesu nĩngaata, ikia ĩcĩn ꞌgõtõn ꞌramma tarĩ, ꞌJeemith hĩ Yõaannẽ ꞌcĩg baag akũmaneek nyelelewwaꞌnya cĩggĩĩng haahũlatõõ, hĩ maaꞌnyĩ cĩnĩĩng ꞌThebedeeo. Nĩngĩtĩ avvaanĩ Yeesu ĩhõõggõ buúk. 
MAT.4.22	Ma hĩdĩĩkoothong, ũtũngteek nẽẽg haahũl hĩ maaꞌnyĩ nẽ ũnnẽẽcõ Yeesu.
MAT.4.23	Baa õvvõõĩ Yeesu looc cĩ ꞌGalileea vẽlẽk alliman eet ꞌCieethinii cĩg Laiittak
MAT.4.24	Nĩngĩtĩ aku allũnganĩ nyeemuut cĩnnĩ looc cĩ Thiiria vẽlẽk nẽ aꞌnyaktaak eeta ĩnõõnnõ moorriak ꞌcĩg õmmõõrĩ mooriꞌthiook cũũmõ cũũmõ. Baa aꞌnyakiaa eeta ꞌcĩg aꞌnyak mooriꞌthiook ꞌcĩg mẽẽlĩg, hĩ ꞌcĩg aꞌnyak loriẽẽt ꞌcĩg abathĩ
MAT.4.25	Baa anũ ĩnõõnnõ lothippiꞌnya ꞌcĩg mẽẽlĩg gẽrrẽẽt. Baa au ũgẽẽgĩ looccaa cĩ ꞌGalileea nẽ iita ũgẽẽgĩ ĩĩcĩ ꞌJeruꞌthalẽmĩ hĩ ũbũtẽẽt cĩg ꞌJudeea. Nẽ baa au ũgẽẽgĩ buúk ꞌtaaũnnioohĩĩ ꞌcĩg ĩĩn õmmõtõ, ĩcĩg agayyi haĩ Dekapoli nẽ abaakta ũgẽẽgĩ dhoortaa cĩ hidioo cĩ ꞌJõrdanĩ.
MAT.5.1	Ma baa acĩn Yeesu lothippit ngaatĩ alluttiaanĩ ho, ikia ũũk aau loota muura ũbũta. Nĩngĩtĩ aluttiaanĩ nuyyiooha
MAT.5.2	Baa alliman Yeesu ĩhõõggõ anneek,
MAT.5.3	“ꞌGattan hĩ eet ꞌcĩg appĩĩrna loriia,
MAT.5.3	ĩĩn hatĩ habuccieet cĩ hẽẽtkujjieen cĩnĩĩng.
MAT.5.4	ꞌGattan hĩ eet ꞌcĩg alu,
MAT.5.4	amammaayanni hatĩ nẽẽgĩ!
MAT.5.5	ꞌGattan hĩ eet ꞌcĩg tarbalĩg,
MAT.5.5	arigith hatĩ nẽẽg looc.
MAT.5.6	ꞌGattan hĩ eet ꞌcĩg adak magĩthĩ nẽ aam kõrra ꞌcĩ anũĩ thõõth ꞌcĩ aũlanĩ.
MAT.5.6	Aaꞌnyĩhoothĩk hatĩ ĩhõõggõ ꞌgii ꞌcĩ adiim nẽẽgĩ!
MAT.5.7	ꞌGattan hĩ eet ꞌcĩg ammaannĩk ꞌgõõnõgĩ,
MAT.5.7	ammaannĩk hatĩ Nyekuci ĩhõõggõ buúk!
MAT.5.8	ꞌGattan hĩ eet ꞌcĩg õõrĩg ꞌthinneeti,
MAT.5.8	acĩn hatĩ nẽẽg Nyekuc.
MAT.5.9	ꞌGattan hĩ eet ꞌcĩg aꞌnyaha ganõn,
MAT.5.9	aũ hatĩ eeta ĩhõõggõ anneek, lõhõlĩ cĩg Nyekuci!
MAT.5.10	ꞌGattan hĩ eet ꞌcĩg adĩman eeta ꞌbuth, hĩnĩngĩtĩ thõõth ꞌcĩ aũlanĩ,
