MAT.1.1	Ã ndei Jesucristo i ñiinda ã. David rei ei tuchɨ. Abraham abe no.
MAT.3.2	—Jendua sɨ jẽɨcuã ndese. Jendua sɨ Dios rese. Dios ra tu mbia rerecuarã tuchɨ cote, ɨ beɨte que Juan nguia ñee nda. 
MAT.3.3	Sã Isaías embesa nyii no:
MAT.3.3	Emo ndiqui ñeemombo mombo turúquiaa huee.
MAT.3.3	“Sã emo ndiqui ñeenda mbuquiche no, eɨ̃ jenye sɨ chõ nguia jẽ abe ɨcoquiatu nandererecua je”, ɨ equia turúquiaa hue,
MAT.3.3	ɨ que Isaías embesa ra. Juan nɨɨ sɨ que embesa ra. 
MAT.3.4	Quiicuã mbuaera chõ ngue Juan ɨrao ra. Mbae ɨre chõ ngue enumbicuasa no nda. Tucu mbuae chõ ngue eu quia no nda. Irao quiaa rɨɨnda abe. 
MAT.3.5	Jerusalén jenda que ngaẽ ngaẽ tuchɨ quia echeẽ andu ra. Judea jenda abe no. Ama Jordán nimia nduɨnda abe no. 
MAT.3.6	Mbia huɨɨcuã nenei nenei mose Dios je, ũquɨ̃ mose que Juan ndiqui bautizar ɨ ee ra. Ama Jordán ye.
MAT.3.7	Fariseos tubɨrɨã abe que ngaẽ ngaẽ tuchɨ quia Juan ndea ra. Saduceos tubɨrɨã abe no. Juan ngue ñee asite ũquɨ̃ je ra. —Mbeɨ rã ño jẽɨngo nguiã ã. Mbae ɨcuã nda tu mbia je nae, ¿ũquɨ̃ nɨɨ ño jenyu quia uchã serea co re? 
MAT.3.8	Jẽ mbae ɨcuã ndecha mose Dios je, mbae turã jẽsaã saã mbeɨ quiatu quia ee cote. 
MAT.3.9	“Abraham ndiirĩ nducucha chõ nande re. Nyebe ra Dios nandemingo beɨ” ¡jenyechɨ̃ nda jẽ! Dios Abraham ndiirĩ nducucha chao arõte raque sɨta je. 
MAT.3.10	Ira rã sɨ chõ mbia riqui nguiã ã. Sã ira mo ndiqui ɨa turã no. Sã emo ndiqui ɨa eã no. Aque quia ra mbia maña cote. Erei sacuã. Eɨ̃ serɨ̃ serɨ̃ ño Dios nguiã mbia je co, mbia mbae turã naa eã mose.
MAT.3.11	I je chõ aɨco nguiã bautizar ɨ mbia je co. Jẽ ndua ndua sɨ mose Dios rese. Co chɨ emo ndu quia seruɨ co. Ae quia equirãcuã tuchɨ sesɨ re. Ae quia eturã tuchɨ sesɨ re. Ae quia ra bautizar ɨ mbia je Espíritu Turã je. Mbia chɨã mbitirõ sacuã. Sã tata riqui mbae mbitirõ no. 
MAT.3.12	Ae ra mbia umbae mɨɨ ɨcúe. Eturã achõ ño embae re. Ae embae eã nae, ũquɨ̃ nda eséi cote. Ũquɨ̃ ndeisa ra ua eã mbeɨ tata. Sã mbia quiata a chiqui chiqui no. Sã ea mɨɨ ɨcúe no. Sã echuruique mombo tátaa no, ɨ que Juan ñee mbia je ra.
MAT.3.13	Jesús que tu Galilea sɨ cote ra. Tu que Juan ndea Ama Jordán nda. Juan bautizar ɨ sacuã ee. 
MAT.3.14	Juan ngue teã teã ndei ee ra. —¿Mañɨ ae ra bautizar ɨ ndeje re? Nde chõ bautizar ere seje ae, ɨ rei que Juan ñee Jesús je ra. 
MAT.3.15	Jesús que ñee ee ra. —Bautizar ere rei seje. Dios cheẽ nduɨ sɨ mbae nandesaã turã ja quia, ɨ que Jesús ee ra. Juan ngue eno ɨ chee ee ra. 
MAT.3.16	Juan ngue bautizar ɨ ee ra. Jesús que usẽ oso ama sɨ cote ra. Ibei que nyɨequia ee cote ra. Espíritu Turã ngue nguichi nyurushɨ rã nda. Nguichi que eu Jesús rese ra. 
MAT.3.17	Ibei jenda que ñee nda. —Seriirĩ ño co re. Sechesecua chõ co re. Seyate erese, ɨ que Dios ñee Jesús je ra.
MAT.4.1	Turúquiaa que Espíritu Turã Jesús rerao ra. “Tã tae Jesús je”, ɨ sacuã diablo Jesús je. 
MAT.4.2	Huee que Jesús riqui arete ra. Cuarenta días. Mbae mo ngue eu eã mbeɨ aque mose ra. Eriãcuãte que cote ra. 
MAT.4.3	Aque mose tuchɨ que diablo sɨ ee ra. Embɨɨcuã sacuã. —Nde Dios riirĩ mose, mbichae esaã ã sɨta je. Ɨ̃ nda ereu, ɨ rei que diablo ñee ee ra. 
MAT.4.4	Jesús que ñee ee ra. —Tei. Sã embesa ji ñee no: “Mbia chɨu achõ nda mbia mingo eã. Dios cheẽ nguia ra mbia mingo nguiã”, ɨ que embesa ji ra, ɨ que Jesús ee ra. 
MAT.4.5	Aquere que diablo ererao Jerusalén nda. Querao que suruchuɨ ibate Dios chuchua arõ nda. 
MAT.4.6	Ñee ngue Jesús je ibate ereco mose ra. —Nde Dios riirĩ mose, eo oso íbii no. Dios ra ndereaquiatu. Sã embesa ji riqu i ñee no:
MAT.4.6	Dios ra ángeles mondo ndereaquiatu sacuã.
MAT.4.6	Oje ra ndeisi. Nembuquichi mingue rae.
MAT.4.6	Sɨta ra cua ɨã ndei je,
MAT.4.6	ɨ que embesa ji ra, ɨ rei que diablo ñee Jesús je ra. 
MAT.4.7	Jesús que ñee diablo je ra. —Sã embesa ji ñee no: “‘Ma Dios sereaquiatu. Tã tae ee no’, jenyechɨ̃ nda Dios je”, ɨ ñɨ Dios cheẽ nde, ɨ que Jesús ñee diablo je ra. 
MAT.4.8	Aquere que diablo ererao ibi ibate mo nda. Ibate tuchɨ ererao cote. Diablo que ibi teacuquia ja ee ra. Ɨshonda abe reacuquia ja ee. 
MAT.4.9	Diablo que ñee ee ra. —Sembae ja chõ ibi re. Ibi turã ja. Ndeɨco mose serese, tamondo ja ndeje. Serimbarã mose nde, tamondo ja ndeje, ɨ rei que diablo ñee Jesús je ra. 
MAT.4.10	Jesús que ñee ee ra. —Quiatúae sesɨ ae, Satanás. ¿Mañɨ nda se nderimbarã nde? “Dios ae rese chõ jeɨngo”, ɨ que embesa ji ñee ndesẽ, ɨ que Jesús ee ra. 
MAT.4.11	Diablo que oso erecha cote ra. Angeles que ngaẽ Jesús reaquiatu cote ra.
MAT.4.12+MAT.4.13	Aque mose que mbia rerecua Juan tarõ cárcel nda. Jesús jirandu mose etarõ ndese que esɨ Galilea cote ra. Nazaret, ɨ que sucha tubɨrɨã je ra. Aquere que esɨ siri Capernaum cote ra. Ama ndɨsha ji. Zabulón abe ji. Neftalí abe ji. Huee que Jesús sɨ siri ra. 
MAT.4.14	Isaías chɨmbesa Dios cheẽ ngue ɨque cote ra. Jesús siqui mose huee. Eɨ̃ ngue Isaías embesa cose ra:
MAT.4.15+MAT.4.16	Mbia hue jenda ja que siqui itondáruu nyii ra.
MAT.4.15+MAT.4.16	Zabulón jenda. Neftalí jenda.
MAT.4.15+MAT.4.16	Ama ndɨsha ji jenda.
MAT.4.15+MAT.4.16	Ama Jordán ndobeɨnda.
MAT.4.15+MAT.4.16	Ae judíos eã Galilea jenda nae, ũquɨ̃ abe no.
MAT.4.15+MAT.4.16	Ũquɨ̃ mbia que siqui ja rei itondáruu nyii ra.
MAT.4.15+MAT.4.16	Nyaashɨ̃ ngue tu ee cote ra,
MAT.4.15+MAT.4.16	ɨ que Isaías embesa ra. 
MAT.4.17	Aque mose beɨ chõ ngue Jesús riqui ñee mbia je cote ra. —Jendua sɨ Dios rese. Mbia rerecuarã tuchɨ ra Dios namo jiri, ɨ que Jesús quia ñee mbeɨ mbia je cote ra.
MAT.4.18	Emo mose que Jesús sɨ quia ama nimia nduɨ ra. Ama Ndɨsha Galilea. Huee que mae Simón Pedro rese ra. Enongue rese abe que mae nda. Andrés, ɨ equia ee. Ɨ que eu sɨra mbuasa mondo mondo ii ra. Sɨra resenda beɨ rei ũquɨ̃. 
MAT.4.19	Jesús que ñee ee ra. —¡Seruɨ beɨ chõ jẽɨngo jẽ! Taembaaquiatu quiatu. Mbia teendu endu beɨ quia seje cote, ɨ que Jesús ee ra. 
MAT.4.20	Nyoɨ ja que eruɨ ra. Sɨra mbuasa sɨ que echoɨ huɨ ra. 
MAT.4.21	Pe jiri que mae Jacobo rese ra. Enongue rese abe. Juan, ɨ equia ee. Eru abe que siqui erese ra. Zebedeo, ɨ equia ee. Huee que echɨ ja canoa ye sɨra mbuasa mbitirõ tirõ nda. —Jẽɨngo seruɨ, ɨ que Jesús Jacobo je ra. Juan je abe. 
MAT.4.22	Jesús cheẽ nduɨbe tuchɨ que echoɨ eruɨ ra. Canoa ndecha. Ngu abe recha.
MAT.4.23	Jesús que ngata tuchɨ quia Galilea rɨ̃ nda. Mbia que embaaquiatu quiatu quia mbia chumunua nuásaa ra. Dios cheẽ turã ngue esenei senei nguia ee ra. Mbia rasi chumumbara que embucherõ cherõ nguia ra. 
MAT.4.24	Mbia Siri a jenda que jirandu tuchɨte chee erese ra. Nyebe eriqui nguiã erasi rurucuaẽ cuaẽ jate ee. Erasi chumumbara. Mbia aba checuayã nyɨreco abe no. Mbia quiachã quiachã je abe no. Mbia umɨ sayã je abe no. Jesús que embucherõ cherõ ja quia ra. 
MAT.4.25	Mbia tubɨrɨã tuchɨ que siqui Jesús ruɨ cote ra. Galilea jenda. Decápolis jenda abe no. Jerusalén jenda abe no. Judea jenda abe no. Ama Jordán ndobeɨnda abe no. Uquɨ̃ jenda siqui ja Jesús ruɨ.
MAT.5.1	Mbia tubɨrɨã ngu e chɨ Jesús rese ra. Nyebe Jesús nyuɨ nguiã ibi ibate mo ndese ra. Ngoi que huee ra. Echɨmbaaquiatu que esɨɨchã ngaẽ nda. 
MAT.5.2	Jesús que embaaquiatu quiatu ra.
MAT.5.3	Eɨ̃ ngue ñee ee ra:
MAT.5.3	—Ae siqui mingue quia nae, eya chõ ũquɨ̃ nde. Ũquɨ̃ nda siqui Dios rese.
MAT.5.4	Ae nyeseo quia nae, eya chõ ũquɨ̃ nde. Dios ra embia tuchɨ.
MAT.5.5	Ae eseteãte riqui nae, eya chõ ũquɨ̃ nde. Ibi ja ra embae cote.
MAT.5.6	Ae siqui turã sete quia nae, eya chõ ũquɨ̃ nde. Dios ra embucuata turã nguia.
MAT.5.7	Ae eya eãte riqui mbia rese nae, eya chõ ũquɨ̃ nde. Dios ia eãte ra ũquɨ̃ ndese.
MAT.5.8	Ae echɨã turãte riqui nae, eya chõ ũquɨ̃ nde. Ũquɨ̃ nda mae Dios rese.
MAT.5.9	Ae mbia mingo turã nguia nyɨese nae, eya chõ ũquɨ̃ nde. “Seriirĩ” ɨ ra Dios ũquɨ̃ je.
MAT.5.10	Mbia ɨcuã ɨcuã mose jẽturã je, jẽya tuchɨ rae. Jenderecua tuchɨ chõ Dios riqui nguiã co.
MAT.5.11	Mbia ñee ɨcuã mose jẽje serɨɨ̃, jẽya tuchɨ rae. Mbia ɨcuã ɨcuã mose jẽje serɨɨ̃. Mbia ñee ñooño mose jenɨɨ, jẽya tuchɨ rae. 
MAT.5.12	Jeñɨmbia chõ nguia ũquɨ̃ mose. Dios quia ra mbae turã tuchɨ mondo jẽje ibate. Mbia ɨcuã ɨcuande jẽje nyii. Eɨ̃ ngue mbia ɨcuã ɨcuã nguia Dios rimba je nyii no nda.
MAT.5.13	Embiquesa rã ño jẽɨngo nguiã mbia je ã. Sã embiquesa turãte no. Eɨse quiachamba mose, eɨcuã tuchɨ ra cote. Mbia ra emombo chõ cote. Mbia ra irõ ño erese. 
MAT.5.14	Tata rã ño jẽɨngo nguiã mbia Dios quiatoã je ã. Mbia sucha cuasu raã mose ibi ibátee, mbia ra mae ja erese. 
MAT.5.15	Sã nandeɨco lámpara mendi no. Sã nandeɨco eati eã no. Sã nandeɨco emɨɨ eã mbaequi re no. Erendi checua chõ nda nandemɨɨ nguiã. Mbia resae ja sacuã. 
MAT.5.16	Eɨ̃ jenye sɨ chõ nguia tata turã na. Mbae resae turã mbia je. Eɨ̃ jenye mose ra mbia mae jẽturã ndese. Ñee turã nda jendu ibatenda je cote.
MAT.5.17	Dios cheẽ ɨque ja sacuã ño achu nguiã co. Moisés cheẽ mbutiã sacuã eã ño ngue achu nguiã. Dios cheẽ mbuchecuasa cheẽ mbutiã sacuã eã ño ngue achu nguiã. 
MAT.5.18	Tacheẽ nyecua jẽje. Moisés cheẽ nda ɨque ja. Ibei ra ua. Ibi abe ra ua no. Moisés cheẽ nguia ra ua eã mbeɨ. Ique ja chee rae. 
MAT.5.19	Dios cheẽ tubɨrɨãte raque mbia je, mbia echeẽ mumbayã sacuã. Emo echeẽ mɨɨ mumba mose, Dios biãte ra ũquɨ̃, Dios siqui mose ererecuarã tuchɨ cote. “Dios cheẽ mɨɨ emumba”, ɨ mose emo, Dios biãte ũquɨ̃. Ae echeẽ mumbayãte quia nae, Diosbi tuchɨ chõ ũquɨ̃ nde. Ae ñee nguia mbia je nae, “Dios cheẽ jemumbayã ja” ɨ quia mbia je nae, Diosbi tuchɨ chõ ũquɨ̃ nde. 
MAT.5.20	Tacheẽ nyecua jẽje. Fariseos uturã saã saã tuchɨ raque. Embesasa abe uturã saã saã tuchɨ raque. ¡Jẽ nguia jẽɨngo turã tuchɨ ũquɨ̃ sɨ jẽ! Jẽ jẽɨngo turã eã mose ũquɨ̃ sɨ, jẽɨngo eã nda Dios rese, Dios siqui mose mbia rerecuarã.
MAT.5.21	Ameɨ ñee ngue jeñandu rei ra. “Mbia mo nda ereɨquiachɨ̃. Nde mbia mo ɨquia mose, nde abe ra mbia ndeɨquia arõte”, ɨ rei que ameɨ nda. 
MAT.5.22	Se quia tacheẽ nyecua jẽje. Jẽ paama ɨ chooño mose jenongue je, mbia ra jeɨquia arõte. “Ndeaquiatuã nde” jenye mose jenongue je, mbia ra jẽɨquia arõte. “Ndearacuayã nde” jenye mose jenongue je, jẽso arõte ra tata cuasu. 
MAT.5.23+MAT.5.24	Nembae ofrenda rerao mose Dios je, endua rã nyii, emondo nonde ee. Ndenongue mo paama ɨ mose ndeje, ofrenda esecha rã oso ñee ndenongue je. Jeñɨmbuturã na nguia nyii. Aquere quiatu eso nyebi ofrenda mee Dios je cote. 
MAT.5.25	Emo mbia rerecua mbuqueta queta mose nderɨɨ̃, ndeturã ño ee. Echeẽ turã ño ee. Jẽ ae chõ jeñɨmbuturã jenyue. Ɨ̃ nda ndererao ɨcuã eã. Ndererao mose ra ndetarõ mbeɨ cárcel. 
MAT.5.26	Huee ra ereɨco beɨ. Nembae mondo ja tuchɨ chee ee.
MAT.5.27	Ameɨ ñee ngue jeñandu rei ra. “Emo ninisi rese ra jẽɨngochɨ̃”, ɨ rei que ra. 
MAT.5.28	Se quia tacheẽ nyecua jẽje. Emo mae ɨcuã mose cuña mo ndese, “aque rese nda aɨco raã ña” ɨ mose, ũquɨ̃ abe eɨcuãte. Siqui raanguia erese chõ ũquɨ̃ nde. 
MAT.5.29	Nderesa mae mose mbae ɨcuã ndese, echoo mombo. Nderesa nemingo serɨ̃ mose mbae ɨcuã nde se, echoo mombo. Coche nderesa mɨɨ eremombo nguiã. Ɨ̃ nda nderete osoã tata cuásuu. 
MAT.5.30	Ndeo nemingo mose mbae ɨcuã ndese, echisia mombo. Coche ndeo mombo nguiã. Ndequiato cutinda raque. Ɨ̃ nda nderete osoã tata cuásuu.
MAT.5.31	Ameɨ ñee ngue jeñandu rei ra. “Emo ngũinisi mombose mose, sã emombo chõ. Papel mbesa ji emondo ee”, ɨ rei que ameɨ nda. 
MAT.5.32	Se quia tacheẽ nyecua jẽje. ¡Jeninisi ra jemombochɨ̃ jẽ! Jeninisi siqui mose emo ndese, ũquɨ̃ mose mɨɨ ño jeninisi jemombo arõte raque. Jẽ emombo chooño mose, jẽɨngo jeninisi mingo adulterio rese ũquɨ̃. Ae emombo ji quereco cote nae, ũquɨ̃ abe eɨcuãte no. Adulterio, ɨ chõ ũquɨ̃ je re.
MAT.5.33	Ameɨ ñee ngue jeñandu rei ra. “Jurar jenye mose Dios je, jeñee nda jembuchebichɨ̃ ee”, ɨ rei que ameɨ nda. 
MAT.5.34	Se quia tacheẽ nyecua jẽje. ¡Jurar jenye eã mbeɨ tuchɨ jẽ! Ibei rɨɨ̃ abe jurar jenye eã jẽ. Dios recua chõ ibei re. 
MAT.5.35	Ibi rɨɨ̃ abe jurar jenye eã jẽ. Dios ironguia chõ ibi re. Jerusalén nɨɨ abe jurar jenye eã jẽ. Dios mbae tuchɨ chõ Jerusalén nde. 
MAT.5.36	Jeãquĩ nɨɨ abe jurar jenye eã jẽ. Jẽa mɨɨ mo jembushĩ aroneate. Co mɨɨ jemondei aroneate no. 
MAT.5.37	¡Jurar jenye eã jẽ! “Ae” jenye chõ. “Tei” jenye chõ. Ũquɨ̃ mɨɨ ño jeñee. Jurar jenye mose, eɨcuãte ũquɨ̃.
MAT.5.38	Ameɨ ñee ngue jeñandu rei ra. “Emo nderesa mungue mose, nde abe aque resa emungue. Emo ndereɨ̃ siquio mose, nde abe ereɨ̃ esiquio”, ɨ rei que ameɨ nda. 
MAT.5.39	Se quia tacheẽ nyecua jẽje. Mbae ɨcuã nda jẽsaãchɨ̃ mbia ɨcuã je. Emo ucua mose nderitii rese, nderitii rɨbɨsho abe eteacuquia ee. 
MAT.5.40	Emo demandar ɨ mose ndeje, “nembae camisa emondo seje” ɨ mose, emondo chõ ee. Ndeɨrao nongue abe emondo ee. 
MAT.5.41	“Sembae mbae usi erao jiri seje”, ɨ mose emo ndeje, peebe jiri erao ee. 
MAT.5.42	Emo ache ache ɨ mose ndeje, emondo ee. “Mbae mo prestar ere seje” ɨ mose emo, emondo ee.
MAT.5.43	Ameɨ ñee ngue jeñandu rei ra. “Ae eturãte riqui ndeje nae, echesecua erese. Ae ndeucuãyã nguia nae, nde abe eucuãyã” ɨ rei que ameɨ nda. 
MAT.5.44	Se quia tacheẽ nyecua jẽje. Echesecua chõ ndeucuãyãsa rese. Mbae turã esaã ño nguia ee. Ae ñee ɨcuã nguia nderɨɨ̃ nae, echeẽ turã ño nguia nde ee. Ae eɨcuãte riqui ndeje nae, ũquɨ̃ nɨɨ eɨco ñee turã Dios je. 
