GEN.1.4	Tsî Elob ge ge mû, ǃnâb a ǃgâi ǃkhaisa; tsî Elob ge ǀgorasa ǃnâb tsî ǃkhaenab tsîkha ǁaegu ge dī.
GEN.6.4	ǁNā tsēdi ai gu ge gaxu khoega ǃhūbaib ai ge hâ i, tsî ǁkhāti ǁnās khaoǃgâ gu ge Elob ôaga khoen di ôadi tawa ǂgâ tsî ǀgôana ge hō; nē gu ge ǁnā ǁē-aogu hugasa xu gere gomga.
GEN.6.7	Ob ge ǃKhūba ge mî: Tita ge ǁnā khoeb ǂnubi ta geba ǃhūbaiba xu nîra hîkākā, khoeba xu ǀgoan kōse tsî ǂhanaben kōse, tsî ǀhommi di anin kōse; ǁîna ta ge dī ǃkhais xa ta ǃhausen hâ amaga.
GEN.6.10	Tsî Noaxi ge ǃnona ǀgôaga ge hō: Semmi, Xammi tsî Jafeti tsîga.
GEN.6.14	Arka ǁnâi dībasen goferhain ǀkha; hâǃnâǃkhaide ūhâse nē arka dī, tsîts ge ǁîba nî ǂkhau ǃnāb ǃnâ tsî ǃaugab ai ǂkhau-ūxū-i ǀkha.
GEN.6.15	Tsîts ge ǁîba nēti nî dī: Ab arka ǃnonakaidisi ǂhâgu kōse gaxu, îb korodisi ǂhâgu kōse ǂhaba, îb ǃnonadisi ǂhâgu kōse ǀgapi.
GEN.6.16	Îts mûǂuidao-e dī arki ai, tsîts ge ǁî-e ǀgui ǂhâb kōse ǀgapiba xu nî dītoa; tsî ǁāb arki dibats ge ǃnammi âb ai nî ǂnûi; tsîts ge ǁîba ǃnaga hâ tsî ǀgamǁî tsî ǃnonaǁî ǀgora-aidi ǀkha nî dī.
GEN.6.17	Tita, mû, tita ge ǁgammi dâu-e ǃhūbaib ai nîra hā kai xuige, ǁgans hoas ûigaga-i hâǃnâsa ta nî ǀhommi ǃnagaba xu hîǀhuruse; ǃhūbaib ai hâ-i hoa-i ge nîra ǁō.
GEN.6.19	Tsîts ge ûitsama xū-i hoa-i xa, ǁgans hoas xa, mâ xūǃnôa-i hoa-i xa ǀgamǀgammese arki ǃnâ nî ǂgâ kai, sa ǀkhan nî ûib ǃnâ sâuhega; aoreb tsî tarares tsîra ase.
GEN.6.20	Anin xa ǁîn di ǃnôaba ǃoa tsî ǀgoan xa ǁîn di ǃnôaba ǃoa, ǂhanaben ǃhūbaib din hoan xa ǁîn di ǃnôaba ǃoa, mân hoan xa a ra ǀgamǀgammese sa tawa sī, ûib ǃnân nî sâuhega.
GEN.6.21	Îts satsa mâ ǂû-i ǂûhe ra-i hoa-i xa ūbasen, îts ǁîna sa tawa ǀhaoǀhao, în sats tsî ǁîn tsîna ǂûse ība.
GEN.7.3	ǀHommi di anin on xa hûhûbese—aoreb tsî tarares tsîra, ǃkhommi nî ûitsamase ūhâhega ǃhūbaib hoaragab ai.
GEN.7.4	Gorose hû tsēdi khaoǃgâ i nî ī, o ta ge tita ǃhūbaib ai nî ǀapi kai hakadisi tsēdi tsî hakadisi tsuxugu kōse; o ta ge tita ǃhūbaiba xu nîra hîkākā, hâ a xū-i tita ge dī-i hoa-e.
GEN.7.6	Tsî Noaxi ge ǃnanikaidisi kurixa ge i, ǁgamgu dâus ge ǃhūbaib ai hâ ǃnubai.
GEN.7.7	Nētib ge Noaxa ǁîb di ôagu tsî ǁîb di taras tsî ǁîb ôagu di taradi tsîn ǀkha arki ǃnâ ge ǂgâ ǁgamgu dâus ǃaroma.
GEN.7.8	ǃAnu ǀgoan xa tsî ǁnā ǀgoan hîa ǃanu taman xa, tsî anin xa, tsî ǃhūbaib ai ra ǂhanan hoan xa,
GEN.7.10	Tsî i ge ǁnā hû tsēdi khaoǃgâ ge ī, ǁgamgu dâus ge ǃhūbaib ai hā ǃkhaisa.
GEN.7.12	tsî kai ǀapib ge ǃhūbaib ai ge ǀapi, hakadisi tsēdi tsî hakadisi tsuxuga.
GEN.7.13	Tsî ǁnā tsēs ǁkhās ain ge Noaxi, Semmi, Xammi tsî Jafeti tsîgu, Noaxi di ôagu, tsî ǁkhāti Noaxi di taras tsî ǁîb ôagu di ǃnona taradi tsîna ǁîgu ǀkha arki ǃnâ ge ǂgâ.
GEN.7.14	ǁÎn tsî ǀgurun hoana ǁîn di ǃnôaba ǃoa, tsî ǀgoan hoana ǁîn di ǃnôaba ǃoa, tsî ǂhanaben ǃhūb ai ra ǂhanan hoan ǁîn di ǃnôaba ǃoa, tsî anin hoan ǁîn di ǃnôaba ǃoa, mâ aniro-i ǁgaboǃnôa-e ūhâ-i hoa-e,
GEN.7.15	tsî ǁgans hoas xa gagas ûib dis ǁîs ǃnâ hâs tsîn, ǁîn ge ǀgamǀgamese Noaxi tawa arki ǃnâ ge hâ i.
GEN.7.17	Tsî i ge ge ī, ǁnā dâus ge hakadisi tsēdi kōse hâ ǃkhaisa ǃhūbaib ai, o gu ge ǁgamga ǀoa tsî arka ge ūkhâi, ǃhūba xub ge khâis kōse.
GEN.7.18	Tsî ǁgamgu ge ǃaruǀîǀgui ǀoa tsî ǃhūb ai kaise ge kai; ob ge arka ǁgamgu ai gere ǀnarema.
GEN.7.19	Tsî ǁgamgu ge kaise ge ǀoa ǃhūbaib ai, ǀgapi ǃhomgu ǀhommi hoaragab ǃnaga hâgu hoagu ge ǃgū-aihes kōse.
GEN.7.20	Disikoroǀa ǂhâga ǃnā hâse gu ge ǁgamga ǀoa ǃnubai gu ge ǃhomga ge ǃgū-aihe.
GEN.7.24	Tsî ǁgamgu ge ǃnā hâse ge ǀoa ǃhūbaib ai, ǀguikaidisi tsî korodisi tsēdi kōse.
GEN.8.3	O gu ge ǁgamga ǃhūbaiba xu ǁkhawa ge ǁgôa dâuma raǃâ; tsî ǁgamgu ge ge ǁgôa ǀguikaidisi tsî korodisi tsēdi di ǀunis ai.
GEN.8.4	Ob ge arka hûǁî ǁkhâb ǃnâ, disihûǀaǁî tsēs ǁkhâb dis ai Araratǃhomgu ai ge sī sâ.
GEN.8.5	Tsî ǁgamgu ge ǃaruǀîǀgui ge ǁgôa disiǁî ǁkhâb kōse; disiǁî ǁkhâb ǃnâ, ǂguro tsēs ǁkhâb dis ai di ge ǃhomgu di ǂaode ge mûhe.
GEN.8.6	Tsî i ge hakadisi tsēdi di ǀunis ai ge ī, ob ge Noaxa arki ǁîb ge dīb mûǂuidaosa ge ǁkhowa-am,
GEN.8.7	tsîb ge goraba ge ǂoa kai ǃnuri ǃnāde ra doemaba, ǁgamgu ge ǃhūbaib ǂamǃnâba xu ǀaris kōse.
GEN.8.8	ǁNās khaoǃgâb ge ǂnabusa ǁîba xu ge ǂoa kai, mûb, nîga, ise gu ǁgamga ǃhūb ǂamǃnâba xu ǀari hâ ǃkhaisa.
GEN.8.9	Xawe ǂnabus ge ǂaiǃnāb âsa sâǃkhai-e hōba tama ge i amagas ge ǁkhawa ǁîb ǃoa ge oa arki ǁga, ǁgamgu ge ǃhūbaib hoaragab ai hâ i amaga. Ob ge ǃommi âba ǀhōǂui tsî ge ū si tsî ǁîb tawa arki ǃnâ ge ūǂgâxa si.
GEN.8.10	Tsî ganupe ǀnî hû tsēde ǃâu tsîb ge ǂnabusa ǁkhawa arka xu ge ǂoa kai.
GEN.8.11	Os ge ǂnabusa ǃui-amǁaeb ai ǁîb tawa ge hā, tsî mû, khôaǁnâhesa ǀkheraǂgae-i ge amǃnâb âs ǃnâ ge hâ i; ob ge Noaxa ge hōǃâ ǁgamgu ǃhūbaib ǂamǃnâba xu bē hâ ǃkhaisa.
GEN.8.12	ǃNubaib ge gorose ǀnî hû tsēde ge ǃâu; ob ge ǂnabusa ge ǂoa kai, xawes ge ǁîsa ǁîb tawa ǁkhawa hā tama ge i.
GEN.8.14	Tsî ǀgamǁî ǁkhâb ǃnâ, ǀgamdisihûǀaǁî tsēs ǁkhâb dis aib ge ǃhūbaiba ge ǂnâ.
GEN.8.15	ǃNubaib ge Eloba Noaxi ǀkha ǃhoa tsî ge mî:
GEN.8.16	ǃGûǂoa arka xu sats, sa taras, sa ôagu tsî sa ôagu di taradi tsîn sa ǀkha.
GEN.8.19	ǀGurun hoan tsî ǂhanaben hoan tsî anin hoan, ǃhūbaib ai ra gon xūn hoan ge ǃnôagu ân ai arka xu ge ǃgûǂoa.
GEN.8.20	Ob ge Noaxa ǃKhūba altar-e ge ǂnubiba; tsîb ge ǃanu ǀgoa-i hoa-i xa tsî ǃanu ani-i hoa-i xa ū tsî ǁnā altars ai khauǁguibade ge ǁguiba.
GEN.9.1	Tsî Elob ge Noaxi tsî ǁîb di ôagu tsîna ge ǀkhae, tsîb ge ǁîgu ǃoa ge mî: ǂÛǂûxaǃnâ î du ǂguiǂguisen î du ǃhūbaiba ǀoaǀoa.
GEN.9.2	Tsî sado ǃaob tsî sado ǃhuribab tsîn ge nî ǀgurun ǃhūbaib din tsî anin ǀhommi din hoan ǃnâ nîra hâ; ǃhūbaib ai ra gon xū-i hoa-i ǃnâ, tsî ǁaun hurib din hoan ǃnâ; ǁîn ge sadu ǃomǁae māhe hâ.
GEN.9.6	Khoe-i di ǀaoba ga ǂnâxū-i, ǁnā-i di ǀaob ge ǁkhāti khoeb xa nîra ǂnâxūhe; Elob ge khoeba ǁîb di īb ǃoa kuru amaga.
GEN.9.7	Xawe sado ǂûǂûxaǃnâ î du ǂguiǂguisen, î du ǃnāǂamsase ôananôagu ǃhūbaib ai, î du ǁîb ai ǂgui.
GEN.9.8	Tsî Elob ge Noaxi tsî ǁîb di ôagu, ǁîb ǀkha hâgu ǃoa ǃhoa tsî ge mî:
GEN.9.14	Tsî i ge nîra ī, ǀnanude ta kara ǃhūbaib ai ūhāo, ob ge tsawiruba ǃâudi ǃnâ nîra mûhe;
GEN.9.16	Nē tsawirub ga ǀnanudi ǃnâ hâo, o ta ge ǁîba nîra ǃgapaǀî, ǂâihō ta nîse ǀamo ǃgaeǀhaos, Elob tsî mâ ûitsama ǀoms ǃhūbaib ai hâ ǁganǃnôas hoas dis ǁaegu hâs xa.
GEN.9.17	Tsîb ge Eloba Noaxi ǃoa ge mî: Nēs ge saos ǁnā ǃgaeǀhaos dī ta gos disa, tita tsî ǁgans hoas ǃhūbaib ai hâs ǁaegu.
GEN.9.18	Tsî ǀgôagu Noaxi digu, arka xu ge ǂoagu ge Semmi, Xammi tsî Jafeti tsîga ge i; tsî Xammi ge Kanaanni di îba.
GEN.9.19	Nē ǃnonagu ge Noaxi di ôa ge i; ǁîga xun ge ǃhūbaib hoaragab di khoena ge khora.
GEN.9.20	Tsî Noaxi ge ge ǃhanasîsenao kai tsoatsoa, tsîb ge ǂauxûiǂûǃhanaba ge ǂgā.
GEN.9.21	Tsî ǂauxûib xab ge āo, ob ge ge āǁō, ob ge ǀōǀkhāse tentoms âb ǃnâ ge ǁgoe.
GEN.9.23	ǃNubai kha ge Semmi tsî Jafeti tsîkha sara-e ū tsî ǁîkha di ǃhōgu ai ǁî-e ǁgui tsî ǃgâǃgâbē tsî ǁgûb di ǀōǀkhāsiba ge ǃgū-ai; tsî ǁîkha di aira ge ǃgâbǀî unuhe ge hâ i, ǁgûb di ǀōǀkhāsiba kha mû tidese.
GEN.9.24	Tsî Noaxi ge ǂauxûib âba xu ǃnoaǂkhaio, ob ge ge hōǃâ, tare-eb ǀgôab ǂkhamma go dī ǃkhaisa.
