MAT.1.1	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
MAT.1.23	a pɑ nthutə' gɑ: Si bɑ cəcɑ̌ pɑ.
MAT.1.24	Yosɛp lə yǎm gə ywə yə aŋgəle Cyəpɔ lə ghɔm bi a: E lə lɑ Maria jwi é dyə é, 
MAT.1.25	da' gɑ e lə zhyə e, tə e la' dzə mú mbɛ tə e cwətso tsyə gɑ Yeso.
MAT.2.1	Pú dzə́ Yeso Bɛtəlehɛm m Yudea, nə cwə fo Herode. Shɑ́ mghɛ zhyə́ sɛ fɑ ghəŋ nthəm nam ŋwak Yerusalɛm 
MAT.2.2	dzɑ́tə́ gɑ: Fo pɑ Yudea yə pu bɑwə tə́ dzə́ e a hɑ? Nə pa' pyə yɔ sɛ tsyə́ ghəŋ nthəm nam tə́ sɔ' m nə ghamtə e. 
MAT.2.3	Fo Herode lə nə yu' mcuŋ bɔ, a va' e, ba guŋ Yerusalɛm awɛ. 
MAT.2.4	E lə cu'tə guŋ mkamsi gwyəgwyə awɛ pu a guŋ pɑ zhyɛ mco' awɛ nthʉm guŋ, həŋtə́ wap tsʉ' yə pu lə gɔ la' tsə́ Mesia nə a. 
MAT.2.5	Wap ghɔm bi e gɑ: M Bɛtəlehɛm m Yudea, nə pa' ywə yə gɔ̀m ghɔ̀m Si lə və a bɑ gɑ: 
MAT.2.6	Wə Bɛtəlehɛm, cǎ' pɑ Yudea, o tə bɑ jʉɔjʉ̀m nə mtisuŋ pɑ Yudea pɑ; nə pa' Fo yə e gɔ sɔ' pɑ cya pɑ Israɛl pɔ pɑ̌ a gɔ sɔ' təm bu. 
MAT.2.7	A lə pɑ po'o, fo Herode ghə pu ké mghɛ zhyə sɛ m càm e həŋtə wap kwa' cwə yə sɛ bɔ kɑ təm a, 
MAT.2.8	tə biŋ nə təm wap Bɛtəlehɛm gɔm bi pu gɑ́: Po ghɔ shəŋtə həŋtə́ mcuŋ nə mu bɔ̌; cwə yə pɔ yɔ e a po ghə ŋ jyə, po'o gɑ ba myə̀ ghɔ gamtə e yɑ̌.
MAT.2.9	Wap lə yu' ghɔm fo cwəlɔ, ntham məjyə; sɛ tsyə wap kɑ yɔ̌ ghəŋ nthəm nam a ghiŋ bɑ dzə pu tə gɔ nthiŋnyə dəm tsʉ' yə mu bɔ lə bɑ nə a. 
MAT.2.10	Wap lə nə yɔ sɛ cwəlɔ kwa' mɑ ŋwɛnyə ko nə pu. 
MAT.2.11	Wap lə kodyə, jɔ mú pu Maria map e; ŋkham mkwi'tə map dzə é, gamtə e, biŋ ntha' mpʉə map cwəlɔ, hɑ tʉ́ɔ gɔl, ba phə tʉɔdəŋ pú a mwɑ̌ tʉɔdəŋ bi e. 
MAT.2.12	Si lə cyə́ m nthʉm jʉm biŋ gɔm bi pu gɑ́ wap kɑ piŋ bɑnyə bəŋ Herode, wap lə cyə m nə mu' məjyə dyɛ' bɑnyə gǔŋ pú.
MAT.2.13	Mghɛ zhyə sɛ lə cwə́ tə gɔ̌, aŋgəle Cyəpɔ sɔ' bi Yosɛp m nthʉ̌m jʉ̀m gɔm bi e gɑ: Lusi dɑ mú pu map e ŋkhʉ gɔ Egipto, shwə wə tə ŋkhəm cwə yə gɑ ghɔm a, nə pa' Herode wə gɔ cə́ŋ mú nə zhwə e. 
MAT.2.14	Yosɛp lə lusi pɑ mtsʉ' dɑ mú pu map e gɔ Egipto. 
MAT.2.15	E lə cwə́ wə́ tə ŋkhəm cwə yə Herode lə pfʉ a, po'o gɑ ywə yə Cyəpɔ lə ghɔm shyə m nə gɔm ghɔm Si a, a pəmtə gɑ:
MAT.2.15	Gɑ̌ ke mú a, nthé é Egipto.
MAT.2.16	Herode lə nə yɔ gɑ́ mghɛ zhyə sɛ fʉtə e, nwə pɔk e, e təm gɑ pu ghɔ Bɛtəlehɛm, ba m nthʉm guŋ e awɛ, jwətə guŋ pɔ awɛ tə ŋkhəm nə gu' pʉ́ə, dəŋ pa' mghɛ zhyə sɛ lə siŋ e a. 
MAT.2.17	A pɑ po'o ywə yə Yeremia gɔm ghɔm Si lə ghɔm a, a pəmtə gɑ: 
MAT.2.18	Pu yu' gi mo Rama, e pɑwə dɔ̌ biŋ bɑwə shwe; Lachɛl nə dɔ po pyə, la' e pɑwə biŋ gɑ mo zhwyətə e, nə pa' po pyə tə yɑwə pɑ́.
MAT.2.19	Herode lə cwə tə pfʉ́, aŋgəle Cyəpɔ sɔ' bi Yosɛp nthʉ́m jʉ̀m Egipto 
MAT.2.20	gɔm bi e gɑ: Lusi dɑ mú pú map e bɑnyə Israɛl; pɔ pyə wáp lə bɑ́wə shəŋ nə zhwə mu a pfʉ́tə. 
MAT.2.21	Yosɛp lə lusi cwəlɔ dɑ mu pu map e, bɑnyə Israɛl, 
MAT.2.22	da' gɑ́ e lə nə yu' gɑ Arkelao nə wə́ sa' guŋ pɑ Yudea nə yə tsʉ' tap e Herode, bwɔk nə ghɔ wə́; Si lə ghɔmnwə bi e m nthʉm jʉm, e lɑ m Galilea 
MAT.2.23	gɔ shwə nə mu' tisuŋ pu ke gɑ Nazarɛt po'o gɑ ywə yə mghɔm ghɔm Si lə la' gɔm a pəmtə gɑ: Pu gɔ sɔ' ké é gɑ yə Nazarɛt.
MAT.3.1	A lə pɑ́ cwə o bɔ̌ Yohane nu' pɔ shyə tə́m ghakgo Yudea bɑ siŋ gɑ: 
MAT.3.2	po kwyəpnyə: Nəfo kɛbəŋ ghɔptə. 
MAT.3.3	Yohane bɑ́ mo yə Esaya gɔm ghɔm Si lə ghɔmnwə nə e nə cwə yə́ e lɑ́ gɔm gɑ: Gi mo ghakgo shwe gɑ: Po nyaptə məjyə Cyəpɔ po siŋ mpim jyə myə́ a tiŋnyə. 
MAT.3.4	Dzə Yohane lə́ bɑ dzə mnəŋ Kamelo, tap e pɑ vʉ' e bɑ gwɔp. Ywətsʉ́ e lə bɑ gam biŋ gə ŋwa' gó. 
MAT.3.5	Pɑ Yerusalɛm, pu a pɑ Yudea ba guŋ pɑ giŋnyə shyə Yurdɛŋ awɛ lə sɔ' bi e. 
MAT.3.6	Wap lə sɔ' po'o bɑ biŋ mhɔnwə map lə Yohane pɑ nu' wap shyə Yurdɛŋ.
MAT.3.7	Yohane lə nə yɔ pa' pɑ Farisai pu a pɑ Sadukai tə́ jɔm wə sɔ' gɑ e nu' wap shyə a gɔm bi pu gɑ: Gwya nɔk mtiŋ, wɑ da'tə wɔ məjyə nə ŋkhʉ yɛluŋ Si yə a wə sɔ'a? 
MAT.3.8	Po yam nthɔm myə a ku'nyə nə pɔ pyə wap pʉɔ tʉm tsap a. 
MAT.3.9	Ka po pɑ́ gɔm pɑ́ gɑ tá yɔk bɑ Abraham. Nə pa' gɑ siŋ wɔ gɑ pɑ Si lɑ mwɔ' mɔ gɑ nə gə pó bi Abraham. 
MAT.3.10	A nə pɑ po'o bɑ jɔm e da' bɑ to ta' thə́. Bǎ ya ta'thə yə a tə jam nthɔm pɑpuŋ a pɑ, pu gɔ ko', to mɔk. 
MAT.3.11	Gɑ bɑwə nu' wɔ pɑ nthʉm shyə gɑ po pʉɔ tʉm tsɔ. Da' gɑ mo yə ě wə sɔ' jʉ̌m m̀ a wə bɑ ě tʉɔ shyə́ a; ŋ kha ku'nyə nə tɔk mnthap myə́. E gɔ sɔ' nu' wɔ nthʉm Zhwenyə Dɔlɔ̌ ba m nthʉm mɔk. 
MAT.3.12	Mo bɔ bɑ e wim su nə nthyá ywə nə mgha' myə́ pu é. E gɔ khʉm msɛ tʉɔ nyəŋ ŋkhiŋ, piŋ to mgha' myə́ nə mɔk tɑ́ pi.
MAT.3.13	A lə pɑ po'o, Yeso fɑ Galilea, sɔ' Yurdɛŋ bəŋ Yohane, gɑ́ é nu' é shyə. 
MAT.3.14	Yohane lə pɑ́ shə́ŋ nə kəŋnyə, bɑ gɔm gɑ: Myə̀ nə kɑ bɑ gɔ cəŋ gɑ o nu' a shyə, wə nə piŋ sɔ' bəm. 
MAT.3.15	Da' gɑ́ Yeso pa' bi e gɑ: Tak gɑ pu ghə pɑ́ kwa' po'o tə́ ywə yə Si jáp a pəmtə́. A pɑ po'o Yohane ghə ywə yə Yeso gɔm a 
MAT.3.16	Yeso lə wuŋ nə təm shyə pa' pu nu' e shyə a, kɛbəŋ ghyɛ', e yɔ Zhwenyə Si fi' sɔ' nə e pa' səŋgɔpfo a. 
MAT.3.17	Gi mo piŋ fɑ kɛbəŋ gɔm gɑ: Mo yəŋ gɑ bɑ Mu a yə gɑ ŋkhuŋ e te' a. Gɑ ŋwɛnyə nə cwɔ' é.
MAT.4.1	A lə pɑ po'o Zhwenyə lɑ Yeso gɔ ghakgo gɑ Sata ləŋtə e. 
MAT.4.2	E lə cwə tsʉ'u mtyɛ'dzʉ mghappfʉə ba mnthyatə mghappfʉə tə tsʉ̌ ywə, jikǔ' yɛ́ e. 
MAT.4.3	Gɛ ləŋtə sɔ' bəŋ e gɔm bi e gɑ: O pɑ́ Mu Si, o ghɔm gɑ mwɔ' mɔ gɑ cʉ' msɛ. 
MAT.4.4	Da' gɑ Yeso ghɔm bi e gɑ: A bɑ pu və gɑ́ mo tɑ́ bvɔk da' nə msɛ̌ pɑ, mo bvɔk m nə ghɔm tsyə a təm shwə̌ Si a.
MAT.4.5	A lə pɑ́ po'o Sata lɑ e gɔ nthʉm tisuŋ Dɔlɔ̌ jap e do Dyə Si, 
MAT.4.6	biŋ gɔm bi e gɑ: O pɑ mu Si, o cʉ́msi, nə pa' a bɑ pu və gɑ. Si gɔ pa ghɔm bi pɑ aŋgəle pyə wap pɑ ŋkwa o nə bu map po'o gɑ o kɑ cwɔ' kwə o nə gwɔ'. 
MAT.4.7	Yeso ghɔm bi e gɑ: A bɑ pu piŋ bvə ba m gɑ o tɑ gɔ ləŋtə Cyəpɔ Si o pɑ.
MAT.4.8	Sata piŋ dɑ e gɔ dəm mu' sʉəsʉə kuŋ gǒ; da'tə é guŋ nəfo dzʉ awɛ ba mghu' myə́, 
MAT.4.9	gɔm bi e gɑ: O kam mkwi'tə mu dzə m gamtə a bɑ gɑ̌ gɔ hɑ guŋ e awɛ bu. 
MAT.4.10	A pɑ po'o Yeso ghɔm bi é gɑ: Sata lǔ! Nə pa' a bɑ pu və gɑ o gɔ pɑ ghamtə pɑ da' Cyəpɔ Si o piŋ pɑ fa' da' bi e. 
MAT.4.11	Sata lə tak e nəŋ cwəlɔ pɑ aŋgəle sɔ' bəŋ e, bɑ fa' bi e.
MAT.4.12	Yeso lə nə yu' gɑ pu ghəm Yohane nthəm dɑ m Galilea, 
MAT.4.13	dú Nazarɛt, gɔ shwə Kapɛrnaum kəŋ shyə lɑpʉə guŋ Zabulon pu Nɛftali, 
MAT.4.14	po'o gɑ́ ghɔm tsyə gɔm ghɔm Si Esaya lə ghɔm a, a pəmtə gɑ́:
MAT.4.15	Guŋ Zabulon, guŋ Nɛftali,
MAT.4.15	jyə shyə́ lɑpʉə,
MAT.4.15	guŋ nə yə mu' jʉɔ Yurdɛŋ,
MAT.4.15	Galilea mgùŋ!
MAT.4.16	Pɔ pyə wap lə́ bɑ́ nthʉm jʉ́m á,
MAT.4.16	yɔ ŋkha' gwyə;
MAT.4.16	pɔ pyə wap lə́ bɑ́ nthʉm sə́sə́ guŋ vʉ́ a,
MAT.4.16	ŋkha' sɔ' bi pu.
MAT.4.17	Tə fɑ cwə o bɔ Yeso to' bɑ siŋ gɑ:
MAT.4.17	Po kwyəpnyə:
MAT.4.17	Nəfo kɛbəŋ ghɔptə.
MAT.4.18	Yeso lə pɑ́ giŋ giŋnyə shyə́ lɑpʉə Galilea jɔ shɑ mghəm bapgu pɑpʉə, wap pɑ mfɑ̌. Simon yə pu ŋkhe e gɑ Pɛtrɔ a, pu Andreya fɑ e, wap pɑ́wə ma' nthənthɔm nthʉm shyə́ lɑpʉə. 
MAT.4.19	Yeso ghɔm bi pú gɑ: Po yap jʉ̌m m̀, gɑ gɔ sɔ' lɑ wɔ ghə pɑ ghəm pɔmnəŋ. 
MAT.4.20	Wap lə wuŋ nthak mnthənthɔm map nə́ŋ Ntham jʉ̀m e. 
MAT.4.21	Yeso lə ghɔ tə ŋkho dzə, jɔ shɑ mfɑ pɑpʉə Yakop mu Zebede pu Yohane fɑ e, nthʉm kənu' pu a tá yap Zebede wap pɑwə nyaptə nthənthɔm yap, Yeso ke wap. 
MAT.4.22	Wap lə wuŋ nthak kənu' pú tà yap jap jʉ̌m Yeso.
MAT.4.23	Yeso lə́ kǎ nə gùŋ Galilea awɛ bɑ ji'tə pɔmnəŋ ywə sinagogə pú, biŋ bɑ siŋ Cuŋ pɑpuŋ nə́ Nəfo, biŋ bɑ jɛ́ mgho pu a mkho'tə cəcɑ́ pɔmnəŋ. 
MAT.4.24	Pu lə cyanyə tso tsyə́ nə gúŋ pɑ Siria awɛ, pù piŋ bɑ dɑ gùŋ pɑ yɔgo' awɛ, mghɛ gho, kɑ kɑ́ nthi gho mɛnyə lɑ́: Mghɛ ghə zhwenyə cwəpùŋ, pɑ vʉwa', mghɛ po'tə nɑ̀ sɔ' bi é. E pɑ jɛ wáp. 
MAT.4.25	Vəŋ du pɔ lə biŋ bɑ́ giŋ jʉ̌m Yeso: Pɔ pyə wap lɑ fɑ Galilea bɑ m Dekapoli, bɑ m Yerusalɛm, bɑ m Yudea, bɑ m nə yə mu' jʉɔ Yurdɛŋ.
MAT.5.1	Yeso lə nə yɔ vəŋ pɔmnəŋ ŋkwɔ' dəm kuŋgǒ, shwəsi, pɑkhʉ pyə sɔ' bəŋ e. 
MAT.5.2	E lə to' nə ghɔmnwə, bɑ ji'tə wap gɑ:
MAT.5.3	Mpuŋtsé bɑ mpə́ŋ zhwenyə
MAT.5.3	nə pa' nəfo kɛbəŋ bɑ bi pu a.
MAT.5.4	Mpuŋtsé bɑ mghɛ byanyə
MAT.5.4	nə pa' wap gɔ sɔ' tsʉ guŋ,
MAT.5.5	Mpuŋtsé bɑ́ pɔ pyə wáp dɔ á
MAT.5.5	nə pa' pu gɔ sɔ' zhwyə́tə wap.
MAT.5.6	Mpuŋtsé bɑ pɔ pyə jǐ pu a ghak yap ŋkhə nə nwə dəŋdəŋ á
MAT.5.6	nə pa' wap gɔ sɔ' zhwyə́.
MAT.5.7	Mpuŋtsé bɑ́ pɑ cɔmmtso
MAT.5.7	nə pa' pu gɔ sɔ' cɔmmtso map.
MAT.5.8	Mpuŋtsé bɑ pɔ pyə wap ghə tʉm dɔlɔ̌ a,
MAT.5.8	nə pa' wap gɔ sɔ' yɔ Si.
MAT.5.9	Mpuŋtsé bɑ pɑ fa' nə hwitə;
MAT.5.9	nə pa' pu gɔ sɔ' ké wap gɑ pǒ Si.
MAT.5.10	Mpuŋtsé bɑ pɔ pyə pu dɑ wap jɔgo' nə nwə dəŋdəŋ a,
MAT.5.10	nə pa' Nəfo kɛbəŋ bɑ bi pu.
MAT.5.11	Po bɑ mpuŋtsé nə cwə yə pu jəmtə wɔ, bɑ́ cwɔ'mkwə mɔ cwəpuŋ, biŋ bɑ shwatə mnwə cwəpuŋ nə po, po'o nə thə a. 
MAT.5.12	Po pɑ ŋwɛnyə́, bɑ sɛnyə́ nə pa' mcwɔ'fa' mɔ ghu' thə kɛbəŋ. Pu lə ghə pɑ po'o nə́ mghɔm ghɔm Si pyə wap lə bɑ́ dzə po a.
MAT.5.13	Pǒ bɑ gwɛ́ dəmcǎ', a bi a gwɛ̌ pi nə tʉ̀m, bɑ a gɔ piŋ pɑ gwɛ m gɑ́ kɑ? Bɑ a tə yɑ sɔmywə pɑ, bɑ pu gɔ ma' pé, pɔmnəŋ pɑ dɑ mkwə nə́ŋtə́. 
MAT.5.14	Pǒ bɑ ŋkha' dzʉ́, bi a pɑ tisuŋ dəm ŋkhuŋ lə tʉmnyə. 
MAT.5.15	Pú tə́ sumɔk nə lambu nyəŋ cəŋ pɑ́, pu nthʉ dəm kwɔ' lambu, po'o gɑ a kyɛ' guŋ pɔ pyə wap dyə a awɛ. 
MAT.5.16	Dəŋdəŋ po'o, ŋkha' yɔ́ pɑ́ ŋkhyɛ' nə mnyə́ pɔmnəŋ po'o gɑ́, wap nə yɔ mfa' pɑpuŋ mɔ bɑ gu'tə Tá yɔ yə e bɑ kɛbəŋ a.
MAT.5.17	Ka po kwɛ gɑ́ gɑ sɔ' ghə gɑ mco' pu nwə yə mghɔm ghɔm Si lə ghɔm a, a mi. Ŋ tə sɔ' m nə ghə gɑ́ a mi pɑ. Gɑ sɔ' nə ghə gɑ́ a pəmtə. 
MAT.5.18	Nə pa' gɑ siŋ wɔ kwa' nyənyɔ gɑ, kɛbəŋ pu cǎ' gɔ sɔ' nə mi, bɑ bǎ ta' i, bǎ cwɔ' nə i nə mco' lə mi tɑ́ a bɑ gɑ́ guŋ mnwə awɛ pəmtə pɑ́. 
MAT.5.19	Cwəlɔ, mo yə e pɔptə bǎ yɑmu' nə mupfʉ̌ mco', biŋ ji'tə bi pɔmnəŋ nə ghə po'o a, bɑ pu gɔ sɔ' lɑ e ghə mo ŋkho' nthʉm nəfo kɛbəŋ; da' gɑ mo yə e ghiŋ nə mco' bɔ, biŋ ji'tə bi pɔmnəŋ a, pu gɔ sɔ' ke mo bɔ gɑ mo gwyə nthʉm nəfo kɛbəŋ. 
MAT.5.20	Nə pa' gɑ siŋ wɔ gɑ yɔ nə pɑ́ dəŋdəŋ pɑ tə cyə yə pɑ zhyə́ mco' pu a pɑ Farisai, bɑ po tə gɔ sɔ' ko nə nəfo kɛbəŋ pɑ.
MAT.5.21	Po lə yu' pa' pu lə ghɔm bi pɑ dzə gɑ: Kɑ zhwə mo; mó yə e zhwə mo a bɑ pu gɔ fyɛ́' e dyə fyɛ̀'. 
MAT.5.22	Tɑ gɑ ghɔm bi po gɑ́ bǎ yɑ́ mo yə e yɛluŋ nə fɑ é a, bɑ pu gɔ fyɛ́' e dyə fyɛ'; mo yə e ghɔm bi fɑ e gɑ: ŋkhəŋkhʉɔ a, bɑ pu gɔ fyɛ' e sanedrɛŋ; mo yə e ghɔm bi fɑ e gɑ bʉəpǒ a gɔ sɔ' ko nthʉm mɔk tə pǐ. 
MAT.5.23	A bi a o pɑ gɔ m nə nuŋpwɔ', ŋkho tsʉ́' to tsə pwɔ', ŋkhamtə gɑ po fɑ o ghə nwə̀, 
MAT.5.24	o tak tsə pwɔ' tsʉ' to tsə pwɔ', biŋ dəŋdzə gɔ po fɑ o wɔ' bvɑnyə tə o sɔ' cwəlɔ̌ hɑ tsə pwɔ'. 
MAT.5.25	Cwə yə po yɑ məjyə a, lo'nyə gɑ po gɛ bo o pɑ ŋkwishwə, bwɔk gɑ, ka gɛ bo o bɔ̌ ghɔ fiŋ o bi fyɛ' shɛ, fyɛ' shɛ́ hɑ o bi səŋwi, pu nyeŋ o dyəcɛ̌. 
MAT.5.26	Gɑ̌ siŋ o kwa' nyənyɔ gɑ o tə gɔ təm dyəcɛ̌ bɔ tə tuŋ gúŋ jú o awɛ pɑ tə a lə cʉ' bǎ ta' nəŋthə.
MAT.5.27	Po lə yu' pa' pu lə ghɔm gɑ́: kɑ ghə ghap a. 
MAT.5.28	Tɑ́ gɑ̌ ghɔm bi po gɑ́ mo yə e lɑ mnyə ghi'nyə dé mjwǐ a, bɑ pu é é da' gə ghap nthʉm tʉm e.
MAT.5.29	A pɑ gɑ bɛtsə o yə tʉɔ fa'tə o nə́ vʉ́ nə mhɔ̀, o té e gwa' tə gʉə sʉəsʉə, nə pa' dzə bu gɑ ta' zhəŋ nə mzhəŋ nɑ mu pfʉ́ po'o gɑ pu kɑ ma' guŋ nɑ o awɛ mɔk tə pi. 
MAT.5.30	Biŋ bɑ bi a pú o yə tʉɔ fa'tə o nə́ vʉ nə́ mhɔ, o ya' e gwa' tə gʉə sʉəsʉə, nə pa' dzə̌ bu gɑ ta' zhəŋ nə́ mzhəŋ nɑ mu pfʉ́ po'o gɑ guŋ nɑ́ o awɛ kɑ́ ghɔ nthʉm mɔk tə pi.
MAT.5.31	A bɑ pu lé bǐŋ gɔm gɑ́: mo zhəŋ jwi e, e hɑ ŋwa'nyə nə jəŋ e bi e. 
MAT.5.32	Tɑ́ gɑ̌ ghɔm bi po gɑ mo yə e zhəŋ jwi e, tə ně da' gɑ́ e ghə ghap a, bɑ e bɑ si pa' a shya e nə ghap. Bi a mo nəŋ ŋkho mjwǐ yə pu zhəŋ e a bɑ ě ghə ghap.
MAT.5.33	Po lə kwi' ju' gɑ pu lə ghɔm bi pɑ dzə gɑ́: ka mo kɔ́ mkɔ a, da' gɑ́ o kɔ mkɔ bi Cyəpɔ nə nwə a pəmtə. 
MAT.5.34	Tə gɑ̌ ghɔm bi po gɑ́ ka po kɔ mkɔ. Kɑ nə kɛbəŋ lə́, nə pa' a bɑ leŋfò Si a. 
MAT.5.35	Kɑ nə sicǎ' lə́ nə pa' a bɑ kwɔ' tʉ mkwə Si, kɑ nə Yerusalɛm lə́, nə pa' a bɑ tisuŋ Fo gwyə́. 
MAT.5.36	Kɑ kɔ thə o, nə pa' bi a pɑ o lə kwyəpnyə ta' nəŋ thə o a fɔk, kɑ a so lə́. 
MAT.5.37	Po pɑ gɔm nwə, a pɑ Əŋ kɑ Gɛ̌ lə́, yə ǎ kwi' nə a fɑ m bi Cwəpùŋ.
MAT.5.38	Po' lə yu' pa' pu lə ghɔm gɑ́: Bɛ́tsə́ nə bɛtsə, suŋ nə́ suŋ. 
MAT.5.39	Tɑ́ gɑ̌ ghɔm bi po gɑ ka po a mo shɔkcɔk fəŋnyə nwə. A pɑ gɑ mo cwɔ pu təŋ o nə ghəŋ tʉɔ̀, o nya yə mu' ghəŋ bi e. 
MAT.5.40	Mo pɑ gɔ lɑ o nə ghɔ dzə́ ja'shɛ́ nə dzə o yə nthʉm o, o hɑ ba yə o pfɔptə a bi e. 
MAT.5.41	Mo thənyə o gɑ́ po e ghiŋ mkwə shǎ', po e ghiŋ mkwə sha'pʉə. 
MAT.5.42	Hɑ bi mo yə ě lo a; mo yə e hǔ a, o kɑ fɛ ŋkha'tə o nə ntham e.
MAT.5.43	Po lɑ yu' pa' pu lə ghɔm gɑ́: Kuŋ mo yə e bəŋ o a, bɔ gɛ bo o. 
MAT.5.44	Tɑ́ gɑ̌ ghɔm bi po gɑ: Po kuŋ mghɛ bo pɔ́, po pu' bú bi Si nə pɔ pyə wap shwɔ'mkwə mɔ cwəpuŋ a, 
MAT.5.45	Po'o gɑ́ po pɑ́ kwa' pǒ Tá yɔ yə ě thə kɛbəŋ a nyənyɔ; nə pa' e gə nàm e tyə́ nə pɔ cwəpuŋ ba m nə pɔ pɑpúŋ, biŋ gə bəŋ lú nə pɔ dəŋdəŋ ba pɔ tə pɑ́ dəŋdəŋ 
MAT.5.46	Nə pa' po kúŋ pɑ pɔ pyə wap ŋkhuŋ wɔ a bɑ po gɔ kwi mcwɔ'fa' nə kɑ? Ba mghɛ kwishwɔp gə po'o. 
MAT.5.47	A piŋ bɑ gɑ po sha'tə pɑ mfɑ pɔ bɑ po gə kɑ msya? Ba pɑ tə pɑ pɑ Yudea gə pɑ́ po'o. 
MAT.5.48	Po pɑ́ tə byà pa' Ta yɔ kɛbəŋ bɑ́ tə bya a.
MAT.6.1	Po pɔmtə gɑ po kɑ pɑ fa' tsɔ fà' nə biŋ Si pɑ dəm sim dzə̌ pɔmnəŋ gɑ wap yɔ́ wɔ́. Po ghə po'o bɑ po tə gɔ sɔ' ghə sɔm mcwɔ'fa' dzə Tá yɔ kɛbəŋ pɑ̀. 
