GEN.1.1	Tɔɔzeizu mɔunpa GALA ge geeɠɔlɔgi ta zooi ɓɛtɛni. 
GEN.1.30	Gè tufa undui vea ga daamianigi zou ɠa zuaiti pɛ bɛ, ta wɔniiti, ta nii kpein é ɓokposu zooi ma, nii nɔpɛ zɛnvu viilɛi su.» Naa ɠɛɛni ɠana nɔ. 
GEN.1.31	GALA ge kaani ga nii kpein é kpɛtɛai, ti wola ʋagɛ. Kpidii ʋɛɛni, geelaalao: naa ɠɛni ga foloi lɔzitasiɛi.
GEN.2.1	Pele ɠana geeɠɔlɔgi ɓɛtɛ vai ɓeni la ta zooi, ta ti zu aniiti kpein. 
GEN.2.2	Foloi lɔfelasiɛi, GALA kpegai ma ga ná-botii ɠaaɓela, é looɠoni ná-botii pɛ ba, nii é kɛɛni. 
GEN.2.3	GALA ge tuya looni foloi lɔfelasiɛi ʋɛ, é makɛ ɓɔɠɔ ʋɛ, tɔɔzei naama voloi é looɠoni, é lo ná-botii pɛ ba, aniiti kpɛtɛ vai zu é kɛɛni.
GEN.2.4	Geeɠɔlɔgi ta zooi ti-lɔɔzeigi ɠa é ga nii, siɛgi zu ti ɓɛtɛni la.
GEN.2.4	Siɛgi zu Ɠɔoɠɔ GALAGI zooi ta geeɠɔlɔgi ɓɛtɛni la, 
GEN.2.5	dɔɓɔ ɠila kpalaa ge la ɠɛni dɛ eteai zu, tufa ɠila kpalaa ge la ɠɛni dɛ ʋɔnɔni, mazɔlɔɔ Ɠɔoɠɔ GALAGI la ɠɛni dɛ tona ʋuuni zooi ma, nu la ɠɛni dɛ ná ɲɛgɛlɛin, é ʋa ɗa boti ɠɛ zooi ma. 
GEN.2.6	Kɛlɛ ɓumugi ɠɛni wuzeɠezu, é ɗa zooi ma yɛɓɛ. 
GEN.2.7	Ɠɔoɠɔ GALAGI zooi ma ʋɔlɔi zeɠeni, é kpɛtɛ ga zunui, é zɛnvu viilɛi ʋu sokpayeɠeiti su, zunui ɠɛ ga zɛnvu su anii.
GEN.2.8	Naa ʋolu Ɠɔoɠɔ GALAGI kpelei leʋeni Edɛn yooi zu, folo ɠulazu ʋelei. É zunui ʋilɛni su, nii é kpɛtɛai. 
GEN.2.9	É gului ma zii kpein pɔnɔni zooi ɠa, ti ʋɛtɛga maanɛai, ti-ma waaiti nɛai. Zɛnvu wului ɠɛni loni kpelei zaamaʋɛ, naa ʋɛɛ gului ʋa, nii é faa ʋagɔi ta faa ɲɔi yɔɠɔzuɠwɛɛ pelei lɛɛzu.
GEN.2.10	Ziɛ wolai ɠɛni ɠulazu Edɛn yooi zu, é ɗa ʋu kpelei ma. Kulaai ma ná ʋa, gaaɠwɛɛni su ga ma ɓeke naanigɔ. 
GEN.2.11	Ma mɔungi laaseigi ɠɛni ga Pison, naa ɠa kakuɠakugai Ɠavila yooi ná pɛ su. Zanugi ɠa ɗa ɠa zooi naa zu, 
GEN.2.12	zanugi nii pagai. Nu ɠa ɗa gulu mana maku nɛɛnɛgi ɓalaa ɠa ná, daa ga ɓedɛliwume, ta kɔtu zɔngɔ ɓaagi, daa ga wɔnikese. 
GEN.2.13	Felesiɛi laaseigi ɠɛni ga Giyon, naa ɠa kakuɠakugai Kuse yooi ná pɛ su. 
GEN.2.14	Saʋasiɛi laaseigi ɠɛni ga Tigele, naa ɠa é yeizu Asuul laai zu folo ɠulazu ʋelei. Ziɛ wolai naanisiɛi ɠa é ga Ufelate.
GEN.2.15	Ɠɔoɠɔ GALAGI zunui zeɠeni, é pilɛ Edɛn kpelei zu, ga é tii ɠɛ ná, ta é makɛ. 
GEN.2.16	É devei nii veeni zunui ya, é ɠɛ ma: «Ɗa zoo è guluiti kpein ma waaiti ta mi, niiti ti kpelei zu, 
GEN.2.17	kɛlɛ nii é faa ʋagɔi ta faa ɲɔi yɔɠɔzuɠwɛɛ pelei lɛɛzu, mina naama waai ta mi, mazɔlɔɔ voloi ɗa naa ta miina la, ɗa za.»
GEN.2.18	Ɠɔoɠɔ GALAGI ɠɛni ma: «É la ʋani ga zunui ɠila ko yɛ de. Nà kpɔba nu ʋagɔ ɓɛtɛzu bɛ.» 
GEN.2.19	Ɠɔoɠɔ GALAGI dɔɓɔ zuaiti ta wɔniiti kpɛtɛni ga pɔlɔi. É ʋaani ga tiye zunui ʋɔ, é pɛtɛ, ʋelei a ti-laaseigiti pɛɛ la, naa ɠa a kɛ ti kpein ti daaseigi zɔlɔɔ, nii zunui a pɛɛ ti ʋa. 
GEN.2.20	Zunui daaseigiti pɛɛni toganii pɛ ba, ta wɔniiti, ta dɔɓɔ zuaiti kpein. Kɛlɛ zunui la ɠɛni kpɔba nu ʋagɔ zɔlɔɔni. 
GEN.2.21	Ɠɔoɠɔ GALAGI ɲiimɛni wolai lɔɔni zunui ɠaazu, é ɲi. É kaka ɠaegi gila seɠeni, é ma zuai laaɠulu pogi zu. 
GEN.2.22	Ɠɔoɠɔ GALAGI anzanui ɓɛtɛni ga naama ɠaka ɠaegi, nii é seɠeni, é kula zunui ɠakai zu, é ʋaani la zunui ʋɔ.
GEN.2.23	Zunui ɠɛni ma:
GEN.2.23	«Niizu nii ɠa é ga kaei, nii é ga mà ɠaei,
GEN.2.23	kpusɛi nii é ga kpùsɛi.
GEN.2.23	Daaseigi ɠa ʋɛɛ ga anzanui,
GEN.2.23	mazɔlɔɔ kulaʋɛ zunui zu.»
GEN.2.24	Naa ɠa é ba, zunui ɠa zeɠe kɛɛɠɛ ta dee ʋa, é ɠili anzai ʋa, ti ɠɛ ga kpusɛ ɠila. 
GEN.2.25	Zunui ta anzai ti felegɔ ti ɠabei ɠɛni de, kɛlɛ ti la ɠɛni unfesu ɓɔɠɔ ɠaazu.
GEN.3.1	Kaalii ɠeleɠelega ɠɛni de, é leʋe dɔɓɔ zuaiti kpein ba, niiti Ɠɔoɠɔ GALAGI ti ɓɛtɛni. É ɠɛni anzanui ma: «GALA ge bogɛ nɛi ga ɠite, ga wo mina guluiti kpein ma waai mi, niiti ti kpelei zu?»
GEN.3.2	Anzanui kaalii wooɠaaʋoteni, é ɠɛ ma: «Gá zoo gi kpelei zu wuluiti ma waai mi. 
GEN.3.3	Kɛlɛ nii é ga gului é loni kpelei zaamaʋɛ, naa ma waai, GALA ge ɠɛni ma: ‹À mina ta mi, wo mina vɔɔɠu ba, naa ɠa a kɛ wo mina za.› »
GEN.3.4	Kaalii ɠɛni anzanui ma: «Wo la zaa ɲɛgɛlɛin! 
GEN.3.5	Kɛlɛ GALA ge kwɛɛ ga foloi nɔpɛ wo ta miizu la, wo-ɠaazuʋɛti ta zeɠe ma, wa ɠɛ eɠɛ GALA, wa faa ʋagɔi ta faa ɲɔi yɔɠɔzuɠwɛɛ.»
GEN.3.6	Anzanui kaani ga gului naa ma waaiti pɛtɛ ga maanɛɛʋɛ, ta pagɛ ga nu mi, fizɔgɛ ga é keleɠelegi ve nu ya. É ma waai ta ɠulani, é mi. Naa ʋolu é ta veeni sinigi ya, nii é ɠɛni koba, naa ɓalaa ge miini. 
GEN.3.7	Ti felegɔ ti-ɠaazuʋɛti ti zeɠeni ma. Ti kwɛɛni ga ti ɠabei ʋe. Ti kooleɠoole gului ma laaiti daɠani, ti gili ɓɔɠɔ ma.
GEN.3.8	Kpɔkɔ lɛilɛigi, ti Ɠɔoɠɔ GALAGI lugi mɛnini, é ɗa ziɛziɛ kpelei zu. Zunui ta anzai ti lɔɔɠuni poun Ɠɔoɠɔ GALAGI ʋa kpele zu wuluiti saama. 
GEN.3.9	Ɠɔoɠɔ GALAGI zunui lolini, é ɠɛ ma: «Mini ɠa è ná?»
GEN.3.10	É gooɠaaʋoteni, é ɠɛ ma: «Gè è-lugi mɛnigɛ kpelei zu. Dùaʋɛ, mazɔlɔɔ kàbei ʋe, naa ɠa é kɛa gè lɔɔɠua.» 
GEN.3.11	Ɠɔoɠɔ GALAGI ɠɛni ma: «Ɓɛ ɠa kɛai è ma, è ɠabei ʋe? È gulu waai naa ta mia ɓaa, nii gè ɠɛni è ma, mina ta mi?»
GEN.3.12	Zunui gooɠaaʋoteni, é ɠɛ ma: «Anzanui nii è fea zèa, ga gi eteai ziɛ ʋɔɔma, naa ɠa é gulu waai vea zèa, gè ta mi.»
GEN.3.13	Ɠɔoɠɔ GALAGI ɠɛni anzanui ma: «Leeni vaa zu è naa ɠɛai?» É gooɠaaʋoteni, é ɠɛ ma: «Kaalii ɠa é yàava, gè gulu waai ta mi.»
GEN.3.14	Ɠɔoɠɔ GALAGI ɠɛni kaalii ma:
GEN.3.14	«Tɛi è naa ɠɛa, gè è ɠotoa,
GEN.3.14	toganiiti kpein ta dɔɓɔ zuaiti saama.
GEN.3.14	Ɗa ɗa ɓokpo è-ɠogi ma,
GEN.3.14	è ɗa pɔlɔi mi, è-zii ma voloi pɛ su.
GEN.3.15	Nà kpaai lɔ wo yɔɠɔzu wa anzanui,
GEN.3.15	naa ɠa ɠɛ mavofodai ta ɗɔnɔi ti zɔɠɔzu.
GEN.3.15	Nɔnɔi ɠa ɗɔungi maawana,
GEN.3.15	ɗɔun ɗa kɔɠɔ libiligi maawana.»
GEN.3.16	É ɠɛni anzanui ma:
GEN.3.16	«Nà ta la ɗa-ɓɔlɔi ma, kogi a ɠɛna è ma,
GEN.3.16	ɗa ɓɔlɔ pɛ, ɗa ʋa dointi sɔlɔɔ.
GEN.3.16	È yiima vai ɠa è mɛɛn è-zinigi ʋɔ pelei,
GEN.3.16	toɠa zei è unda.»
GEN.3.17	É ɠɛni zunui ma:
GEN.3.17	«Tɛi è woiloga è-anzai wooi ma,
GEN.3.17	è gulu waai mi, nii gè ɠɛni è mina mi,
GEN.3.17	zooi ɠa ɠoto è maaʋele ma.
GEN.3.17	Kɛni è zuvikɛi ɠula, è ɓɔlɔ pɛ,
GEN.3.17	é ʋa leɠa è-laamianigi zɔlɔɔ, è-zii ma voloi pɛ su.
GEN.3.18	Toɠa ɠaingiti pɔnɔ è laalɔɠɔma.
GEN.3.18	Ɗa zooi ɠa lufaiti miizu.
GEN.3.19	Ɗa è-laamianigi zɔlɔɔ,
GEN.3.19	kɛlɛ kɛni fɔdɔi ɠula è-loʋalaʋɛ,
GEN.3.19	eyɛsu è ɠale ma zooi wu,
GEN.3.19	ʋɛ è zeɠeni ná.
GEN.3.19	Mazɔlɔɔ è ɓɛtɛʋɛ ga pɔlɔi,
GEN.3.19	ɗa ɠale ma pɔlɔi zu.»
GEN.3.20	Adama anzai laasei pɛɛni ga Ɛve,
GEN.3.21	Ɠɔoɠɔ GALAGI sua ɠɔlɔi ɓɛtɛni ga seɠei Adama ta anzai ʋɛ, é too ti ɠɔba.
GEN.3.22	Ɠɔoɠɔ GALAGI ɠɛni ma: «Pɛtɛ, zunui ɠɛa eɠɛ ade taɠila, faa ʋagɔi ta faa ɲɔi yɔɠɔzuɠwɛɛ fai zu. Ade pele leʋe tuɠɔ niina, é mina yeemaale, é ʋa zɛnvu wului ma waai ɠula, a ʋa mi, a ʋa yɛ vulua ɠɔoɠɔ.» 
GEN.3.23	Ɠɔoɠɔ GALAGI zunui ɠulani Edɛn kpelei ʋa, ga é ɗa zooi woli, ʋɛ kulaai ná. 
GEN.3.24	É Adama ɓɛai ma, geezuɠeelaiti ti-laaseigi ga seeluɓɛin, é naati toni Edɛn kpelei zu folo ɠulazu ʋelei, ta boɠa zɔkpɔi nii abui ba, é ɗa lati, ti ɗa zɛnvu wului ma ʋelei makɛ.
GEN.4.1	Zunui anzai Ɛve laani ʋolu, naa kogi zeɠe, é sɔlɔɔ ga Kayɛn, é ɠɛni ma: «Gè zunu zɔlɔɔga ga Ɠɔoɠɔ GALAGI ná-kpɔbai maaʋele.» 
GEN.4.2	Naa ʋolu, é deɠei Aɓɛle zɔlɔɔni. Aɓɛle ɠɛni ga baala makɛ nui, Kayɛn ɠɛ ga tii ɠɛɛ nui. 
GEN.4.3	Yeeɠɛɠalai ta laawu, Kayɛn ʋaani ga zooi ʋa lɔnɔgi tanigaa, é kɛ ga vebɛanii Ɠɔoɠɔ GALAGI ʋɛ. 
GEN.4.4	Aɓɛle ɓalaagi ʋaani ga ná-baala kpulugi ma yiʋo mɔungi tanigaa, é ti-ma zuai ʋasuʋɛti kula ga zalaɠai. Ɠɔoɠɔ GALAGI yeezeini Aɓɛle ta ná-vebɛanii wu ga pagɔ. 
GEN.4.5	Kɛlɛ é la ɠɛni yeezeini Kayɛn ta ná-vebɛanii wu. Kayɛn wola yiiɠaawanani, gaazuɠili.
GEN.4.6	Ɠɔoɠɔ GALAGI ɠɛni Kayɛn ma: «Lee vaa zu è yiiɠaawanaai, è ɠaazuɠili? 
GEN.4.7	Gaaɠalagɛ ga ni ɗa faa ʋagɔi ɠɛɛna, ɗa ɠaazuʋɛ wuzeɠe, kɛlɛ ni ɗa faa ɲɔi ɠɛɛna, kotoi ɠa laani ɗa-ʋɛlɛlaʋɛ. Ziima vai ɠa ɠɛ ga é zei è unda, kɛlɛ ɗɔun, vɔni ma.»
GEN.4.8	Kayɛn ɓɔɛni deɠei Aɓɛle ʋɔ, tɛi ti ɠɛni dɔɓɔi zu, Kayɛn valani Aɓɛle ʋa, é paa. 
GEN.4.9	Naa ʋoluma, Ɠɔoɠɔ GALAGI ɠɛni Kayɛn ma: «È-leɠei Aɓɛle ɠa mini?» É gooɠaaʋoteni, é ɠɛ ma: «Gè la kwɛɛ. Nà ɠa gè ga dèɠei makɛ nui ɓaa?» 
GEN.4.10	Naa ɠɛni ma: «Lee ɠa è kɛai? È-leɠei ma ɲamai ɓain gooi ɠa zeelizu mà, é zeɠe zooi ma. 
GEN.4.11	Niizu è ɠotoʋɛ zooi ɠa, nii é laalaoga, é è-leɠei ma ɲamai ɓɔle, è paai. 
GEN.4.12	Siɛgi zu è boti ɠɛɛzu la zooi ma, é la mɔ ná-kulanuma vea è ya. Ɗa ɠɛ ga pela nu, è ɗa leʋeteʋe eteai zu.»
GEN.4.13	Kayɛn ɠɛni Ɠɔoɠɔ GALAGI ma: «Nà-faa ɲɔi ma ɓakɔi wola wuiʋɛ ga gè ʋa ziɛ bu. 
GEN.4.14	Wɛlɛ, ɗa kpɛ̀ɛzu za tii ɠɛɛ yooi ma, gè maaɠooza, gè lɔɔɠu è ʋa. Nà ɠɛ ga pela nu, gè ɗa leʋeteʋe eteai zu. Ni nu a kàana, toɠa pàa.»
GEN.4.15	Ɠɔoɠɔ GALAGI ɠɛni ma: «Ɓa-o! Ni nui ta a Kayɛn ʋaana, Kayɛn nɔnɔi ʋoto ka ɠula naama nui ma, ná zeizu ɠɛ lɔfela.» Ɠɔoɠɔ GALAGI poogi ʋɛɛni Kayɛn ʋa ga nu nɔpɛ ka kaana, é mina paa. 
GEN.4.16	Naa ʋolu, Kayɛn maaɠoozani Ɠɔoɠɔ GALAGI ʋa, é li, é zei Nɔde yooi zu, Edɛn folo ɠulazu ʋelei.
GEN.4.17	Kayɛn anzai laani ʋolu, naa kogi zeɠe, é Ɠeenɔke zɔlɔɔ. É taai loni, é ná-doun zunui laaseigi ʋɛɛ ba. 
GEN.4.18	Ɠeenɔke Iilade zɔlɔɔni, Iilade Meɠuyayɛle zɔlɔɔ, Meɠuyayɛle Metusayɛle zɔlɔɔ, Metusayɛle Leemɛke zɔlɔɔ.
GEN.4.19	Leemɛke anza felegɔ zeini. Gilagi laaseigi ɠɛni ga Ada, zɔi laaseigi ɠɛ ga Sila. 
GEN.4.20	Ada Yaɓale zɔlɔɔni. Tɔ ɠa é ga naati ti-mɛmɛwolai, niiti ti zeini seɠe ɠotaiti bu, ti ɗa toganiiti makɛ. 
GEN.4.21	Deɠei laaseigi ɠɛni ga Yuɓale. Tɔ ɠa é ga naati kpein ti-mɛmɛwolai, niiti ti kɔnigi ɠɛinsu, ti ɗa koolei vɛ. 
GEN.4.22	Sila ɓalaagi Tuɓale-Kayɛn zɔlɔɔni, naa ɠa é ɠɛni ga kɔlu ɓɔigi ta kɔlu aniiti kpein gain nui. Tuɓale-Kayɛn deɠe anzanui ɠɛni ga Naama.
GEN.4.23	Leemɛke ɠɛni anzaiti ma:
GEN.4.23	«Ada ta Sila, à woilo gòoi ma,
GEN.4.23	Leemɛke anzaiti, à woilo ga pagɔ gòoi ma.
GEN.4.23	Gè zunui ʋaani màawana vai zu,
GEN.4.23	ta zunu loungoi nà-palai vaa zu.
GEN.4.24	Potokulai a ɠɛna Kayɛn ma, ná zeizu ɠɛ lɔfela,
GEN.4.24	Leemɛke nɔnɔi zeizu ɠa ɠɛ ga puulɔfela (70).»
GEN.4.25	Adama anzai laani ʋolu mɔnɔ, naa kogi zeɠe, é doun zunu zɔlɔɔ, é daasei pɛɛ ga Sɛte, mazɔlɔɔ é ɠɛ ma: «GALA ge doun zunu ɠili fea zèa Aɓɛle ʋotogi zu, nii Kayɛn paani.»
GEN.4.26	Sɛte doun zunu zɔlɔɔni ɓalaa, é daasei pɛɛ ga Enɔse. Názuʋɛ ɠa ti tɔɔzeini la ga Ɠɔoɠɔ GALAGI valia.
GEN.5.1	Adama mavofodai ma zɛʋɛi ɠa. Siɛgi zu GALA ge nui ɓɛtɛni la, é kpɛtɛni ga GALA baaɠulabai. 
GEN.5.2	É zunui ɓɛtɛni ta anzanui, é tuya looni ti ʋɛ, é ti-laasei pɛɛ ga nuɓusɛi, ti ɓɛtɛ voloi nɔ.
GEN.5.3	Adama ná-konagi ɠɛai ma ga ungila puusaʋagɔ (130), é doun zunu zɔlɔɔni, nii é ɠɛni ga baaɠulabai, ta maaniinigi, é daasei pɛɛni ga Sɛte. 
GEN.5.4	Sɛte zɔlɔɔga ʋoluma, Adama kona undɔsaʋa (800) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.5	Adama zii ma voloi kpein ge ɠɛni ga kona untaaʋuugɔ puusaʋagɔ (930), naa ʋolu é zaani.
GEN.5.6	Sɛte ná-konagi ɠɛai ma ga ungila dɔɔlugɔ (105), é Enɔse zɔlɔɔni. 
GEN.5.7	Enɔse zɔlɔɔga ʋoluma, Sɛte kona undɔsaʋa kona dɔfela (807) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.8	Sɛte zii ma voloi kpein ge ɠɛni ga kona untaaʋuugɔ puugɔ maazu felegɔ (912), naa ʋolu é zaani.
GEN.5.9	Enɔse ná-konagi ɠɛai ma ga puutaaʋuugɔ (90), é Keenan zɔlɔɔni. 
GEN.5.10	Keenan zɔlɔɔga ʋoluma, Enɔse kona undɔsaʋa puugɔ maazu lɔɔlugɔ (815) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.11	Enɔse zii ma voloi kpein ge ɠɛni ga kona untaaʋuugɔ kona dɔɔlugɔ (905), naa ʋolu é zaani.
GEN.5.12	Keenan ná-konagi ɠɛai ma ga puulɔfela (70), é Maɠalaleyɛle zɔlɔɔni. 
GEN.5.13	Maɠalaleyɛle zɔlɔɔga ʋoluma, Keenan kona undɔsaʋa puunaanigɔ (840) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.14	Keenan zii ma voloi kpein ge ɠɛni ga kona untaaʋuugɔ kona puugɔ (910), naa ʋolu é zaani.
GEN.5.15	Maɠalaleyɛle ná-konagi ɠɛai ma ga puulɔzita maazu lɔɔlugɔ (65), é Yeelɛde zɔlɔɔni. 
GEN.5.16	Yeelɛde zɔlɔɔga ʋoluma, Maɠalaleyɛle kona undɔsaʋa puusaʋagɔ (830) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.17	Maɠalaleyɛle zii ma voloi kpein ge ɠɛni ga kona undɔsaʋa untaaʋuu maazu lɔɔlugɔ (895), naa ʋolu é zaani.
GEN.5.18	Yeelɛde ná-konagi ɠɛai ma ga ungila puulɔzita maazu felegɔ (162), é Ɠeenɔke zɔlɔɔni. 
GEN.5.19	Ɠeenɔke zɔlɔɔga ʋoluma, Yeelɛde kona undɔsaʋa (800) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.20	Yeelɛde zii ma voloi kpein ge ɠɛni ga kona untaaʋuugɔ puulɔzita maazu felegɔ (962), naa ʋolu é zaani.
GEN.5.21	Ɠeenɔke ná-konagi ɠɛai ma ga puulɔzita maazu felegɔ (62), é Matuzalɛme zɔlɔɔni. 
GEN.5.22	Matuzalɛme zɔlɔɔga ʋoluma, Ɠeenɔke kona unsaʋagɔ (300) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.23	Ɠeenɔke zii ma voloi kpein ge ɠɛni ga kona unsaʋagɔ puulɔzita maazu lɔɔlugɔ (365). 
GEN.5.24	Ɠeenɔke ziɛni ga GALA ziimai, é la ɠɛni yɛni ná, tɔɔzei GALA ge seɠeni.
GEN.5.25	Matuzalɛme ná-konagi ɠɛai ma ga ungila puulɔsaʋa maazu lɔfela (187), é Leemɛke zɔlɔɔni. 
GEN.5.26	Leemɛke zɔlɔɔga ʋoluma, Matuzalɛme kona undɔfela puulɔsaʋa maazu felegɔ (782) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.27	Matuzalɛme zii ma voloi kpein ge ɠɛni ga untaaʋuugɔ puulɔzita maazu taaʋuugɔ (969), naa ʋolu é zaani.
GEN.5.28	Leemɛke ná-konagi ɠɛai ma ga ungila puulɔsaʋa maazu felegɔ (182), é doun zunu ɠila sɔlɔɔni. 
GEN.5.29	É daasei pɛɛni ga Nowe.
GEN.5.30	Nowe zɔlɔɔga ʋoluma, Leemɛke kona undɔɔlugɔ puutaaʋuu maazu lɔɔlugɔ (595) ɠili kɛɛni. É doun zunui ta doun anzanui taɠiligaa zɔlɔɔni. 
GEN.5.31	Leemɛke zii ma voloi kpein ge ɠɛni ga kona undɔfela puulɔfela maazu lɔfela (777), naa ʋolu é zaani.
