MAT.1.1	O le tala lenei i le gafa o Iesu Keriso le atali‘i o Tavita, le atali‘i o Aperaamo.
MAT.1.23	“O le a to le taupou ma fānau mai le tama tane, e fa‘aigoa ‘iā te ia o Emamuelu.” (O lona fa‘amatalaina, “ ‘Ua fa‘atasi le Atua ma i tatou.”)
MAT.1.24	‘Ua ala Iosefa ‘ona faia lea e ia e tusa ma le fa‘atonuga a le agelu a le Ali‘i. ‘Ua nonofo loa o ia ma lana avā. 
MAT.1.25	‘Ae le‘i iloa
MAT.2.1	Na fānau Iesu i Peteleema i Iutaia, a o ‘avea Herota ma tupu i le mālō. O aso lava ia na ō ane ai i Ierusalema tagata popoto mai sasa‘e.
MAT.2.2	Sa fesili ane i latou, o fea o i ai lē ‘ua fānau mai e ‘avea ma tupu o tagata Iutaia? Na matou va‘aia lona fetū i sasa‘e, o lea ‘ua matou ō mai ai e ifo atu ‘iā te ia.
MAT.2.3	Na fa‘alogo Herota le tupu i nei tala, ‘ona popole ai lea o ia fa‘atasi ma tagata uma o Ierusalema. 
MAT.2.4	‘Ona fa‘apotopotoina uma lea e Herota o ositaulaga sili ma a‘oa‘o tulafono o le nu‘u. ‘Ua fesiligia i latou e ia po o fea o fānau ai le Keriso. 
MAT.2.5	‘Ua tali atu i latou ‘iā te ia, “O Peteleema i Iutaia, auā ‘ua fa‘apea ‘ona tusia e le perofeta:
MAT.2.6	‘O oe Peteleema i le nu‘u o Iuta,
MAT.2.6	e lē o oe e aupito fa‘atauva‘a i ali‘i o Iuta
MAT.2.6	auā e tupu mai ‘iā te oe le ta‘ita‘i.
MAT.2.6	O lē e pule i lo‘u nu‘u o Isaraelu.’ ”
MAT.2.7	‘Ona ‘a‘ami fa‘alilolilo lea e Herota tagata popoto mai sasa‘e, ma fesilisili i ai po o le ā tonu le taimi na va‘aia ai e i latou le fetū. 
MAT.2.8	‘Ona ‘auina atu lea o i latou e ia i Peteleema, ma fai atu, “Ō atu ia inā matuā sā‘ili le tamaitiiti; ‘āfai tou te maua o ia ‘ona ta‘u mai lea ‘iā te a‘u, se‘i ‘ou alu atu fo‘i a‘u ‘ou te ifo ‘iā te ia.”
MAT.2.9	‘Ona ō ai lea o nei tagata popoto, ma ‘ua toe va‘aia e i latou le fetū na mua‘i va‘aia i sasa‘e. ‘Ona mulimuli atu lea o i latou i le fetū, se‘ia o‘o ‘ina tu mai i luga tonu o le mea sa i ai le pepe. 
MAT.2.10	O le taimi na iloa ai e i latou le fetū, na matuā fiafia tele ai i latou. 
MAT.2.11	‘Ona ulufale atu lea o i latou i le fale sa i ai le pepe ma Maria lona tinā. ‘Ua to‘otutuli fo‘i i latou ma ifo ‘iā te ia. ‘Ua talai a latou ‘oloa, ‘ona foa‘i atu ai lea o a latou meaalofa ‘iā te ia: o le auro, o le pulu lipano, ma le pulu muro.
MAT.2.12	‘Ua maua e i latou le fa‘aaliga i le miti, e ‘aua ne‘i toe fo‘i atu ‘iā Herota, ‘ona fo‘i atu ai lea o i latou i lo latou nu‘u i le isi auala.
MAT.2.13	‘Ua toe fo‘i le malaga a tagata mai sasa‘e, ‘ona fa‘aali mai lea e le agelu a le Ali‘i ia Iosefa i le miti, ‘ua fai mai, “Tula‘i ia ma sosola ma le tamaitiiti ma lona tinā i Aikupito, ma nonofo ai se‘ia ‘ou toe ta‘uina atu ‘iā te oe; auā o lo‘o sā‘ili Herota i le tamaitiiti ‘ina ‘ia fasiotia.”
MAT.2.14	‘Ona ala lea o Iosefa ma sosola loa ma le tamaitiiti ma lona tinā i Aikupito i lenā lava po. 
MAT.2.15	‘Ona nonofo ai lea o i latou i Aikupito se‘ia o‘o ‘ina oti Herota, ‘ina ‘ia taunu‘u ai le afioga a le Ali‘i na ala mai i le perofeta, fai mai, “Na ‘ou vala‘auina lo‘u Atali‘i mai Aikupito.”
MAT.2.16	‘Ua iloa e Herota ‘ua ‘olegia o ia e tagata popoto mai sasa‘e, ‘ona matuā ita tele ai lea o ia, ‘ua poloa‘i atu ‘ina ‘ia fasiotia uma tama tane i Peteleema ma nu‘u e tuā‘oi ai, o ē ‘ua ta‘ilua tausaga po o lalo ifo o le lua, e fa‘atatau tonu i aso na va‘aia ai le fetū e tagata popoto mai Sasa‘e.
MAT.2.17	O le poloa‘iga lenei a Herota na taunu‘u ai le valo‘aga a Ieremia, fai mai:
MAT.2.18	“ ‘Ua fa‘alogoina le leo i Rama,
MAT.2.18	o le auega ma le tagiauē.
MAT.2.18	‘Ua tagiauē Rasela ‘ona o lana fānau,
MAT.2.18	‘ua lē mafai fo‘i ‘ona fa‘anāina,
MAT.2.18	‘ona ‘ua maliliu uma i latou.”
MAT.2.19	‘Ua oti Herota, ‘ona fa‘aali mai lea o le agelu a le Ali‘i ia Iosefa i le miti i Aikupito. 
MAT.2.20	‘Ua fai atu fo‘i ‘iā te ia, “Tula‘i ia e ‘ave le pepe ma lona tinā, ma toe fo‘i atu i le nu‘u o Isaraelu, auā ‘ua oti ē sa fia fasiotia le pepe.” 
MAT.2.21	‘Ona tula‘i lea o Iosefa, ‘ua ‘ave le tamaitiiti ma lona tinā, ma ō atu i le nu‘u o Isaraelu.
MAT.2.22	‘Ua fa‘alogo Iosefa ‘ua sui Arekilao i lona tamā o Herota, e ‘avea ma tupu i Iutaia, ‘ona fefe ai lea o ia e alu i ai. Peita‘i, ‘ua fa‘aali mai e le Atua ‘iā te ia i le miti, ‘ona alu ai lea o ia i le itūmālō o Kalilaia. 
MAT.2.23	‘Ona alu ai lea o ia ‘ua nofo i le nu‘u e igoa o Nasareta. ‘Ua taunu‘u ai le valo‘aga a perofeta: “ ‘Ua ta‘ua o ia o le Nasareta.”
MAT.3.1	O aso ia na amata ai le tala‘iga a Ioane le Papatiso i le vao o Iutaia, 
MAT.3.2	na tāla‘i atu ai e ia: “Inā salamō ia, auā ‘ua latalata mai le Mālō o le lagi.”
MAT.3.3	O Ioane lenei na fa‘asino i ai le valo‘aga a le perofeta o Isaia:
MAT.3.3	“O le leo o lē o lo‘o ‘alaga i le vao tu‘ufua,
MAT.3.3	‘ ‘Inā teuteu ia e ‘outou le ala o le Ali‘i,
MAT.3.3	ma fa‘alaulelei ona ala.’ ”
MAT.3.4	Sa ‘ofu Ioane i ‘ofu fulufulu kamela, ma le fusipa‘u i lona sulugātiti. Sa ‘ai fo‘i o ia i sē akerise ma le meli vao. 
MAT.3.5	‘Ona ō atu ai lea ‘iā te ia tagata mai Ierusalema, ma Iutaia ‘atoa, fa‘apea fo‘i ma nu‘u o lo‘o si‘omia ai le vaitafe o Ioritana. 
MAT.3.6	‘Ua fa‘aali atu e i latou a latou agasala, ma ‘ua papatisoina i latou i le Ioritana.
MAT.3.7	‘Ina ‘ua va‘ai atu Ioane i faresaio ma satukaio e to‘atele, o lo‘o ō mai ‘ina ‘ia papatisoina i latou e ia, ‘ona fai atu lea o ia, “O ‘outou o fānau a gata fe‘ai! O ai na fai atu ‘iā te ‘outou e sosola ‘ese mai le to‘asā o le a o‘o mai? 
MAT.3.8	‘Ia fa‘aali mai ia ‘outou amio ‘ua ‘outou salamō. 
MAT.3.9	‘Aua ne‘i ‘outou fai ifo i o ‘outou loto, ‘O matou o fānau a Aperaamo,’ ‘ou te fai atu ‘iā te ‘outou, e mafai lava e le Atua ‘ona fa‘atupuina mai i ma‘a nei ni fānau ma Aperaamo. 
MAT.3.10	O lo‘o tu nei le matau
MAT.3.11	‘Ou te papatisoina ‘outou i le vai e fai ma fa‘ailoga o lo ‘outou salamō, ‘ae i ai le isi tagata o lo‘o mulimuli mai, e sili atu o ia ‘iā te a‘u, e o‘o lava i ona se‘evae e lē tatau ‘ona ‘ou tago i ai e ‘ave. O ia lenā na te papatisoina ‘outou i le Agaga Pa‘ia ma le afi. 
MAT.3.12	O lo‘o i lona ‘a‘ao lana asu fa‘amamā na te fa‘amamāina ai lana fa‘aputugā saito; e fa‘apotopotoina e ia ana saito i le fale saito, ‘ae susunuina le otaota i le afi e lē pe.”
MAT.3.13	‘Ona maliu atu ai lea o Iesu mai Kalilaia i le Ioritana, ‘ina ‘ia papatisoina o ia e Ioane. 
MAT.3.14	A ‘ua vavao o ia e Ioane ma fai atu, “E tatau ‘ona e papatisoina a‘u; a fa‘apefea la ‘ona e maliu mai ‘iā te a‘u?”
MAT.3.15	A ‘ua tali atu Iesu ‘iā te ia, “Papatiso mai ia o a‘u; auā e tatau lava ‘iā i tatou ‘ona fa‘ataunu‘u mea tonu uma.” ‘Ona papatisoina ai lea o ia e Ioane.
MAT.3.16	Na uma loa ‘ona papatisoina Iesu, ‘ona maliu a‘e lea o ia nai le vai; ‘ona avanoa ai lea o le lagi ‘iā te ia, ma ‘ua va‘aia e ia le Agaga o le Atua ‘ua afio ifo e pei se lupe, ma fa‘apepepepe i ona luga. 
MAT.3.17	Na fa‘alogoina fo‘i le si‘ufofoga mai le lagi ‘ua fa‘apea mai, “O lo‘u Atali‘i pele lenei, ‘ua ‘ou fiafia lava ‘iā te ia.”
MAT.4.1	‘Ona ta‘ita‘iina lea o Iesu e le Agaga i le vao tu‘ufua, ‘ina ‘ia fa‘aosoosoina e le tiapolo. 
MAT.4.2	E fasefulu ao e fasefulu fo‘i po sa anapogi ai o ia, ‘ona fia taumafa ai lea. 
MAT.4.3	‘Ona alu ane lea ‘iā te ia o lē e fa‘aosooso ma fai atu, “ ‘Āfai o oe o le Alo o le Atua, fetalai atu i ma‘a nei ia liu areto.”
MAT.4.4	A ‘ua tali atu o ia, “ ‘Ua tusia, ‘E lē na o mea‘ai e ola ai le tagata, ‘ae ola fo‘i i afioga uma e tulei mai i le fofoga o le Atua.’ ”
MAT.4.5	‘Ona ‘ave lea o ia e le tiapolo i le ‘a‘ai pa‘ia, ma fa‘atū i le tumutumu o le malumalu. 
MAT.4.6	‘Ua fai atu le tiapolo ‘iā te ia, “ ‘Āfai o oe o le Alo o le Atua, ‘ia e oso nei i lalō, auā ‘ua tusia,
MAT.4.6	‘ ‘Ua tofia e le Atua ana agelu e tausia oe,
MAT.4.6	ma tau‘ave oe i o latou lima,
MAT.4.6	‘ina ne‘i tu‘ia lou vae i se ma‘a.’ ”
MAT.4.7	‘Ua tali atu Iesu ‘iā te ia, “ ‘Ua tusia fo‘i, ‘ ‘Aua ‘e te tofotofo i le Ali‘i lou Atua.’ ”
MAT.4.8	‘Ona toe ‘ave lea o ia e le tiapolo i luga o le mauga e matuā maualuga lava, ma fa‘aali atu ‘iā Iesu mālō uma o le lalolagi ma o latou matagofie. 
MAT.4.9	‘Ua fai atu le tiapolo, “ ‘Ou te foa‘iina atu ‘iā te oe nei mea uma, pe ‘āfai ‘e te fa‘apa‘ū ma ifo mai ‘iā te a‘u.”
MAT.4.10	A ‘ua tali atu Iesu ‘iā te ia, “Alu ‘ese ia oe Satani; auā ‘ua tusia, ‘ ‘E te ifo atu i le Ali‘i lou Atua, ‘ua na o ia lava ‘e te ‘au‘auna i ai.’ ”
MAT.4.11	‘Ona alu ‘ese lea o le tiapolo, a ‘ua ō mai agelu ma ‘au‘auna mai ‘iā Iesu.
MAT.4.12	‘Ua fa‘afofoga Iesu ‘ua tu‘uina Ioane i le falepuipui, ‘ona maliu atu lea o ia i Kalilaia. 
MAT.4.13	‘Ua tu‘ua e ia Nasareta, ‘ae maliu atu ma nofo mau i Kapanaumi. O le tasi lenei o nu‘u e tu i tafatafa o le vaituloto, i le tuā‘oi o Sepulona ma Nafatali; 
MAT.4.14	‘ina ‘ia taunu‘u ai le valo‘aga a le perofeta o Isaia, ‘ua fa‘apea mai:
MAT.4.15	“Le nu‘u e o Sepulona ma le nu‘u o Nafatali,
MAT.4.15	o nu‘u ia o lo‘o i le ala e aga‘i atu i le vai,
MAT.4.15	i tala atu o le Ioritana, o Kalilaia o Nu‘u ‘ese!
MAT.4.16	O tagata sa nonofo i le nu‘u o le pogisā tele,
MAT.4.16	‘ua va‘aia e i latou le malamalama tele,
MAT.4.16	o i latou fo‘i sa nonofo i le nu‘u o le ata o le oti,
MAT.4.16	‘ua susulu mai i ai le malamalama.”
MAT.4.17	Talu mai i lea aso ‘ua amata loa ‘ona lauga atu Iesu, ma fai atu, “Inā salamō ia, auā ‘ua latalata mai le Mālō o le lagi.”
MAT.4.18	O le isi aso na maliu ane ai Iesu i tafatafa o le Vaituloto o Kalilaia, ‘ona silafia ai lea e ia le uso e to‘alua, o Simona (o Peteru le isi ona igoa) ma lona uso o Anetere‘a. Sa fagogota i lā‘ua i le vai, auā o i lā‘ua o tagata fai faiva. 
MAT.4.19	‘Ua vala‘au atu Iesu ‘iā te i lā‘ua, “O mai tatou ō. O le a ‘ou ‘avea ‘oulua ma fai faiva i tagata.” 
MAT.4.20	‘Ona tu‘ua loa lea e i lā‘ua o la ‘upega, ‘ae mulimuli atu ‘iā te ia.
MAT.4.21	E le‘i leva ‘ona savavali atu i latou, ‘ae toe silafia atu fo‘i e Iesu le isi uso e to‘alua, o Iakopo ma Ioane, o atali‘i o Sepetaio. Sa fa‘atasi i latou ma Sepetaio lo la tamā i le va‘a, o lo‘o tau fōnofōno o latou ‘upega. ‘Ua vala‘auina i lā‘ua e Iesu, 
MAT.4.22	‘ona tu‘ua loa lea e i lā‘ua lo latou va‘a ma lo la tamā, ‘ae o ma Iesu.
MAT.4.23	Sa ta‘amilo Iesu i Kalilaia ‘atoa ma a‘oa‘o atu i o latou sunako, ma tāla‘i atu ai le Tala lelei o le Mālō. Na fa‘amālōlōina fo‘i e ia ma‘i ‘ese‘ese i nu‘u uma. 
MAT.4.24	‘Ua salalau atu le tala ‘iā te ia i Suria uma. ‘Ona aumai lea ‘iā te ia o tagata sa maua i ma‘i ‘ese‘ese: o tagata uluitinoina e temoni ma ē e ma‘i māliu, o ē e pipili ma ē e tino gagase. ‘Ona fa‘amālōlōina lea e ia o i latou uma. 
MAT.4.25	‘Ona mulimuli atu lea ‘iā te ia o tagata e to‘atele mai Kalilaia, ma Tekapoli
MAT.5.1	‘Ua silasila atu Iesu i tagata e to‘atele, ‘ona maliu a‘e lea o ia i le mauga. ‘Ua nofo o ia i lalo, ‘ona ō mai lea o ona so‘o ‘iā te ia. 
MAT.5.2	‘Ona fetalai atu lea o ia i ana a‘oa‘oga ‘iā te i latou, ‘ua fa‘apea atu:
MAT.5.3	‘Amu‘ia ē ‘ua latou iloa lo latou matitiva fa‘aleagaga,
MAT.5.3	auā e fai mo latou le Mālō o le lagi.
MAT.5.4	‘Amu‘ia ē e fa‘anoanoa,
MAT.5.4	auā e fa‘amafanafanaina i latou.
MAT.5.5	‘Amu‘ia ē e agamalū
MAT.5.5	auā e fai mo latou le nu‘u.
MAT.5.6	‘Amu‘ia ē e fia ‘a‘ai ma fia inu i le amiotonu
MAT.5.6	auā e fa‘amalilieina i latou.
MAT.5.7	‘Amu‘ia ē e alolofa atu,
MAT.5.7	auā e alofaina mai i latou.
MAT.5.8	‘Amu‘ia ē e loto mamā,
MAT.5.8	auā e iloa atu e i latou le Atua.
MAT.5.9	‘Amu‘ia ē e fa‘atupuina le filemū,
MAT.5.9	auā e ta‘ua i latou o atali‘i o le Atua.
MAT.5.10	‘Amu‘ia i latou e sauāina ‘ona o le amiotonu,
MAT.5.10	auā e fai mo latou le Mālō o le lagi.
MAT.5.11	“ ‘Amu‘ia ‘outou pe a ‘upuleagaina ma fa‘asauāina, pe tu‘ua‘iina pepelo ‘outou i mea leaga uma ‘ona o a‘u. 
MAT.5.12	‘Ia ‘outou ‘oli‘oli ma fiafia, auā e tele lo ‘outou taui i le lagi; auā na fa‘apea fo‘i ‘ona fa‘asauāina e i latou perofeta na muamua ‘iā te ‘outou.
MAT.5.13	“O ‘outou o le masima o le lalolagi. ‘Ae ‘āfai e māgalo le masima, o le ā ‘ea se mea e mafai ‘ona toe fa‘a‘o‘ona ai? ‘Ua lē toe i ai sona aogā, na o le tia‘i i fafo ma soli ai e tagata.
MAT.5.14	“O ‘outou o le malamalama o le lalolagi. E lē mafai ‘ona fa‘aliloina le ‘a‘ai e tu i le mauga. 
MAT.5.15	E leai se isi na te tutuina se molī ma fa‘apulou i le tanoa, ‘ae tu‘u lava i luga o lona tulaga; ‘ina ‘ia fa‘amalamalamaina ai tagata uma i totonu o le fale. 
MAT.5.16	‘Ia fa‘apenā fo‘i ‘ona susulu atu lo ‘outou malamalama i luma o tagata; ‘ina ‘ia va‘aia e i latou a ‘outou galuega lelei, ma vivi‘i atu ai i lo ‘outou Tamā o i le lagi.
MAT.5.17	“ ‘Aua ne‘i ‘outou manatu na ‘ou sau e tatalaina le Tulafono a Mose, ma le a‘oa‘oga a perofeta. ‘Ou te le‘i sau e tatalaina, a ‘ia fa‘ataunu‘uina. 
MAT.5.18	Auā o le ‘upu moni ‘ou te ta‘u atu ‘iā te ‘outou, e mavae atu le lagi ma le lalolagi, ‘ae leai se mata‘itusi aupito itiiti po‘o se fasi mata‘itusi o le tulafono e mavae atu, se‘ia fa‘ataunu‘uina mea uma. 
MAT.5.19	‘Āfai e i ai se tagata e sōloia sina mea itiiti o nei tulafono, pe fai atu fo‘i i nisi ‘ina ‘ia sōloia e i latou, e ‘avea o ia ma tagata aupito fa‘atauva‘a i le Mālō o le lagi. A o le tagata e usita‘i i le tulafono, ma a‘oa‘oina fo‘i isi tagata ‘ina ‘ia usiusita‘i, e ‘avea o ia ma tagata sili i le Mālō o le lagi. 
MAT.5.20	O lea ‘ou te fai atu ai ‘iā te ‘outou, ‘āfai e lē sili atu la ‘outou amiotonu i lo o a‘oa‘o tulafono ma faresaio, tou te lē sao atu lava i le Mālō o le lagi.
MAT.5.21	“ ‘Ua ‘outou fa‘alogo na fai mai tagata i aso ‘ua mavae, ‘ ‘Aua ‘e te fasioti tagata; o lē e fasioti tagata e molia i le fa‘amasinoga.’ 
MAT.5.22	‘Ae ‘ou te fai atu ‘iā te ‘outou, so o se isi e ita i lona uso, e molia i le fa‘amasinoga; o se tagata fo‘i e fai atu i lona uso, ‘Isa!’
MAT.5.23	O lea, ‘āfai ‘e te avatu sau taulaga i le fatafaitaulaga, a ‘ua e toe manatua o lo‘o i ai se mea e lē o malie ai lou uso ‘iā te oe, 
MAT.5.24	tu‘u ai lau meaalofa i luma o le fatafaitaulaga, ‘ae alu muamua e fa‘alelei ma lou uso, ‘ona e fa‘ato‘ā sau ai lea e fai lau taulaga.
MAT.5.25	“ ‘Ia vave ‘ona ‘oulua lelei ma lē o lo‘o tagi atu i ana mea ‘ua ‘iā te oe manū o ‘oulua i le ala, ‘ina ne‘i tu‘u atu oe e lenā tagata i le fa‘amasino, e tu‘u atu fo‘i oe e le fa‘amasino i le pule o le falepuipui, ‘ona tu‘uina atu lea o oe e ia i le falepuipui. 
MAT.5.26	O le ‘upu moni ‘ou te ta‘u atu ‘iā te oe, e lē mafai ‘ona e toe ulufafo mai ai vaganā ‘ua uma ‘ona e totogi atu le ‘aitalafu ‘atoa.
MAT.5.27	“ ‘Ua ‘outou fa‘alogo o le poloa‘iga i tagata i aso ‘ua mavae, ‘ ‘Aua ‘e te mulilua.’ 
MAT.5.28	A ‘ou te fai atu a‘u ‘iā te ‘outou, so o se isi lava e va‘ai atu i se fafine a tu‘inanau i ai, ‘ua uma ‘ona mulilua ma ia i lona loto. 
MAT.5.29	‘Āfai e tosina oe i le agasala i lou mata taumatau, e sili la ‘ona sali ‘ese ma lafoa‘i. Auā e lelei pe a lafoa‘i se vaega o lou tino, ‘ae leaga pe a lafoa‘iina lou tino ‘atoa i Kena. 
MAT.5.30	‘Āfai fo‘i e tosina oe i le agasala i lou lima taumatau, e sili ‘ona tipi ‘ese ma lafoa‘i; auā e lelei pe a lafoa‘i se vaega o lou tino, ‘ae leaga pe a lafoa‘iina lou tino ‘atoa i Kena.
MAT.5.31	“Na fai mai fo‘i, ‘O le tagata na te fa‘ate‘aina lana avā, ‘ia avatu e ia i lana avā se tusi fa‘amaoni o la la tete‘aga.’ 
MAT.5.32	A ‘ou te fai atu a‘u ‘iā te ‘outou, o se tagata na te fa‘ate‘aina lana avā ‘ae le‘i mulilua o ia, ‘ua fa‘aosoosoina e ia lana avā ia mulilua; o se tagata fo‘i e faiavā i le fafine ‘ua fa‘ate‘aina, ‘ua mulilua fo‘i o ia.
MAT.5.33	“ ‘Ua ‘outou fa‘alogo fo‘i o le poloa‘iga i tagata i aso ‘ua mavae, ‘ ‘Aua ne‘i e tautō pepelo, a ‘ia e avatu i le Ali‘i mea na e tautō ai.’ 
MAT.5.34	A ‘ou te fai atu a‘u ‘iā te ‘outou, ‘aua le tautō; ‘aua ‘e te tautō i le lagi, auā o le nofoāli‘i lea o le Atua. 
MAT.5.35	‘Aua fo‘i ‘e te tautō i le lalolagi; auā o le mea lea e tu ai ona ‘a‘ao. ‘Aua ‘e te tautō i Ierusalema; auā o le ‘a‘ai lea a le Tupu Silisili. 
MAT.5.36	‘Aua fo‘i ‘e te tautō i lou ulu, auā ‘e te lē mafaia ‘ona fa‘asinasina pe fa‘auliuli se lauulu e tasi. 
MAT.5.37	Peita‘i, ‘āfai o lau tali o le ioe, fai atu, ‘Ioe.’ ‘Āfai fo‘i o lau tali o le leai, fai atu, ‘Leai.’ O nisi ‘upu e toe fa‘aopoopo atu i ai, o ‘upu ia e tupu mai i manatu leaga.
MAT.5.38	“ ‘Ua ‘outou fa‘alogo fo‘i na fai mai, ‘E taui le mata i le mata, ma le nifo i le nifo.’ 
MAT.5.39	A ‘ou te fai atu ‘iā te ‘outou, ‘aua tou te tete‘e atu i le leaga. ‘Āfai ‘ua po e se isi lou alāfau taumatau, ia liliu atu fo‘i i ai ma le isi alāfau. 
MAT.5.40	‘Āfai e tagi se isi i le tulafono ‘ina ‘ia maua e ia lou ‘ofu tino, ‘ia avatu fo‘i i ai ma lou peleue. 
MAT.5.41	‘Āfai e poloa‘iina fa‘amalosi oe e se isi ‘ina ‘ia ‘oulua savavali i se maila e tasi, ia ‘oulua savavali ma ia i ni maila se lua. 
MAT.5.42	Foa‘i atu mea ‘ua tagi mai ai se tagata ‘iā te oe, ma ‘aua ‘e te mata‘ū i le tagata ‘ua fia ‘aitalafu mai ‘iā te oe.
MAT.5.43	“ ‘Ua ‘outou fa‘alogo na fai mai, ‘ ‘Ia e alofa atu i lē lua te tuā‘oi, ‘ae ‘ino‘ino i lou fili.’ 
MAT.5.44	A ‘ou te fai atu a‘u ‘iā te ‘outou, ‘ia ‘outou alolofa i o ‘outou fili, ma tatalo mo ē o lo‘o fa‘asauā ‘iā te ‘outou, 
MAT.5.45	‘ina ‘ia ‘avea ‘outou ma fānau moni a lo ‘outou Tamā o i le lagi, auā na te fa‘aosoina lona la i tagata leaga ‘atoa ma tagata lelei; na te fa‘atotō ifo fo‘i le timu i luga o tagata leaga ‘atoa ma tagata lelei. 
MAT.5.46	‘Āfai tou te alolofa atu tau o ē o lo‘o alolofa mai ‘iā te ‘outou, o le ā la se taui tou te maua? E lē faia ‘ea fo‘i fa‘apenā e tagata aolafoga? 
MAT.5.47	‘Āfai fo‘i na o ‘outou uso lava tou te tali leleia, o le ā ‘ea se mea ‘ua sili ai ‘outou i lo isi tagata? E lē o le faiga ‘ea lenā e faia e tagata aolafoga? 
MAT.5.48	O lenei, ia ‘ato‘atoa lo ‘outou lelei, ia pei o lo ‘outou Tamā o i le lagi e ‘ato‘atoa ‘ona lelei o ia.
MAT.6.1	“ ‘Ia ‘outou fa‘aeteete, ‘ina ne‘i fai lelei a ‘outou amio ‘ona o le va‘aiga a tagata; auā tou te lē maua ai se taui mai lo ‘outou Tamā o i le lagi.
MAT.6.2	“A ‘outou fai meaalofa, ‘aua ne‘i ilia se pū e fa‘ailoa atu ai i tagata, e pei o le faiga a tagata fa‘afia amiotonu i sunako ma ala tetele. ‘Ua fa‘apea la latou faiga ‘ina ‘ia vi‘ia ai i latou e tagata. O le ‘upu moni ‘ou te ta‘u atu ‘iā te ‘outou, o lo latou taui lava lenā. 
MAT.6.3	A ‘outou fai meaalofa, ‘aua lava ne‘i iloa e lou lima tauagavale le mea e faia e lou lima taumatau, 
MAT.6.4	a ‘ia fai fa‘alilolilo; auā o lo ‘outou Tamā o i le lagi na te silafia mea lilo, ma na avatua fa‘aaliali le taui ‘iā te oe.
