GEN.1.1	Yäput peŋpäŋ Anututä kunum kenta kome pewän ahäŋkumän. 
GEN.3.6	Gämoktä ude iweränpäŋ webetä päya u kaŋpäŋ ŋode nadäŋkuk; Päya unitäŋo mujipi kaŋgärip ikek. U täga näŋpet. U naŋpäŋ nadäk-nadäk kaŋ-ahäk ikek yäŋ nadäŋpäŋ gäripi nadäŋkuk. Ude nadäŋpäŋ mujipi u dätpäŋ naŋkaŋä moräki äpita imän naŋkuk. 
GEN.3.7	Naŋpäŋä yarä u nadäk-nadäki piräreŋirän moräŋ kuŋatkumäno u kawän täreŋkuŋ. Unita gupi täŋpipikta pähäm taŋi ätu yäpmäŋkaŋ bipumän.
GEN.3.8	Täŋkumäno kome komkom täŋirän Yawe Anututä piä gänaŋ kuŋarirän yanäpi yarä u mämäni nadäŋkumän. Nadäŋpäŋä umuntaŋpäŋ päya jopäniken käbop itkumän. 
GEN.3.9	Käbop irirän Yawe Anututä äma unita gera yäŋkuk; Adam, gäk de? 
GEN.3.10	Yäŋirän iwetkuk; Näk gäkä piä gänaŋ kädet kuŋariri mämäka nadäŋpäŋ moräŋ kuŋatat unita umuntaŋpäŋ käbop itat yäk. 
GEN.3.11	Yäwänä Anututä iwetkuk; Moräŋ kuŋatan u netä gäwerak? Gäk päya mujipi näŋpentawä yäŋ gäwetkuro u kubä nan ba? 
GEN.3.12	Ude yäwänä äma unitä yäŋkuk; Ude nämo! Webe näkkät itta namiŋkuno unitä päya mujipi u namän nat yäk.
GEN.3.14	Yäwänkaŋ Yawe Anututä gämok u ŋode iwetkuk; Gäk ude täno unita tom towiwani ba ägwäri päke u täga bumik irirä, tagwän gäkä terakgän peyat. Gäk kome terak irojäŋ kuŋatpäŋ käpäpok naŋ yäpmäŋ api kwen. 
GEN.3.15	 Täŋpäŋ gäkkät webekät iwan pähap täŋ yäpmäŋ api kudeŋ. Gäkŋo kodakikayekät webe täŋo kodakiniyekät iwan pähap api täŋ yäpmäŋ kuneŋ. Täŋpäŋ ukät nanik kubätä gwäkka api yeŋ jakŋirek. Täŋirän kowatawä kuroŋiken api iwen yäk.
GEN.3.16	Ude yäŋpäŋ Anututä webe uwä ŋode iwetkuk; Nanak kok itkaŋ kuŋariri komi bumta api gamet. Täŋira komi nadäŋpäŋ nanak api bäyawen. Täŋpäŋ äpkata gäripi nadäŋiri, unitä intäjukun api it gamek yäk.
GEN.3.18	Täŋiri däräk-däräk ba mup waki ätu piäkaken kuräk ahäŋirä uken nanik ketem naŋpäŋ kaŋ kuŋat! 
GEN.3.19	Komi nadäŋopäŋ woŋ imätpäŋ ketem u mujipi naŋ yäpmäŋ kuŋtäŋgän kumäŋpäŋ gäk kome gänaŋ äneŋi äyäŋutpeŋ api äpmoŋpen, gäk komepäŋ täŋpani unita. Gäk komepäŋ täŋpanigän unita kumäŋpäŋä kome gänaŋ äneŋi api äpmoŋpen.
GEN.3.20	Eruk, Adam webeni unitä ämawebe kuduptagän täŋo miŋi intäjukun yäput peŋkuk. Unita Adamtä webeni wäpi Iv yäŋ iwetkuk.
GEN.3.21	Täŋpäkaŋ Yawe Anututä tom gupipäŋ tekta bipmäŋpäŋ Adamkät webenikätta täŋ yämiŋkuk. 
GEN.3.22	 Täŋpäŋ Yawe Anututä ŋode yäŋkuk; Apiŋo äma ŋo ninin bumik äworetak. Waki ba täga unitäŋo mebäri nadäwani. Unita äma u Irit päya unitäŋo mujipi yäpmäŋpäŋ nakta baga peŋ imine. U naŋpäŋ paot-paori nämo irek. 
GEN.3.23	Ude yäŋpäŋ Yawe Anututä Adam yanäpi Iden piäken itkumänopäŋ yäwat kireŋkuk. Yäwat kireŋpäŋ bibikpäŋ Adam gatäŋkuko unita bibik iŋit-iŋit epän täŋpäŋ naŋpeŋ kuŋatta yepmaŋkuk. 
GEN.3.24	Ude yäwat kireŋpewän kuŋirän, Anututä aŋero ätu ba, päip päraŋi, kädäp mebet ikek äyäŋutpäŋ äyäŋutpäŋ täŋpani Iden piä yämaniken yepmaŋkuk. Ude täŋpäŋ Irit päya täŋo käderi täŋpipiŋkuk.
GEN.4.1	Täŋpäkaŋ Adamtä webeni Ivkät yanäpi täŋpäŋ kuŋarirän nanak kok itpäŋ nanak wäpi Kein bäyaŋkuk. Bäyaŋpäŋ yäŋkuk; Yawetä täŋkentäŋ namiŋirän nanak kubä bäyatat yäk. 
GEN.4.2	Täŋpäŋ mäden monäni Abel bäyaŋkuk. Bäyaŋkuko tägaŋpäŋ Abeltä sipsip watä äma ude kuŋat täŋkukonik. Täŋ Keintä ketem piä täk täŋkukonik. 
GEN.4.3	Täŋpäŋ ittäŋgän kepma kubäta Keintä piäniken nanik ketem ätu yäpmäŋ äbäŋpäŋ Anututa biŋam peŋkuk. 
GEN.4.4	 Täŋirän Abeltä udegän tom intäjukun ahäwani uken nanik ätu däpmäŋpäŋ madäŋpäŋ gakŋi yäpmäŋ äbä Anututa biŋam peŋkuk. Täŋirän, Yawetä Abel ini ba tom peŋkuko unita nadäŋirän täga täŋkuk. 
GEN.4.5	Täŋ Kein ini ba ketem yäpuko unitawä nadäŋirän gäripi nämo täŋkuk. Anututä ude nadäŋirän Keintä bänepi wawäpäŋ iŋami dapun äpuiŋkuk.
GEN.4.6+GEN.4.7	Ude täŋirän Yawetä Kein iwetkuk; Imata bänepka wawäpäŋ äpuitan? Gäk kudän siwoŋi täŋpeŋ kuŋariri uyaku not api täŋ gamet. Upäŋkaŋ kädet täga nämo iwareno uwä wakitä käbop itpäŋ gäk gabäŋ gäwarek. Waki uwä gepmäŋitta gäripi nadätak upäŋkaŋ gäk kehärom taŋpäŋ kaŋ irepmit.
GEN.4.9	Täŋirän Yawetä Kein ŋode iwetkuk; Monäka Abel de? Iweränä Keintä iwetkuk; Näk nämo nadätat. Näk notnapak täŋo watä äma ba? 
GEN.4.10	 Yäwänä Yawetä iwetkuk; Gäk imapäŋ tän? Monäka täŋo nägät kome terak piwän kuŋo unitä näkken gera yäŋirän nadätat yäk. 
GEN.4.11	Unita tagwän gäkä terak pewa ärotak. Täŋpäŋ kome ŋo meni aŋeŋirän monäka täŋo nägät ketkaken nanik yäpmäŋpäŋ nako uken nanikpäŋ yäŋ-gäwatat. 
GEN.4.12	Eruk apiŋonitä päŋku ketem piä täŋiri ketem bureni ket nämo api ahäneŋ. Täŋkaŋ gähä kuŋat-kuŋatgän api täŋpen.
GEN.4.13	Yäwänä Keintä Yawe iwetkuk; Kowata namitan u bäräpiinik. Näkä u täga kotanaŋi nämo. 
GEN.4.14	Gäk apiŋo piä täŋpäŋ nakna komeken nanik yäŋ-näwatan unita näk iŋamkaken nanik api paoret. Paot päŋku uken irit api täŋtäŋ kuŋaret. Täŋira, äma kubätä nabäŋ ahäŋpäŋ kumäŋ-kumäŋ api nurek yäk.
GEN.4.15	Yäwänä Yawetä iwetkuk; Ude nämo! Äma kubätä Kein utpäŋ kowata ärowaniinik api yäpek yäk. Ude yäŋpäŋ äma kubätä Kein kaŋ-ahäŋpäŋ kumäŋ-kumäŋ nämo urekta Yawetä Kein gupi terak wären täŋkuk. 
GEN.4.16	Ude täŋpäŋ Keintä Yawe iŋamiken nanik ämet päŋku kome kubä wäpi Kuŋat-kuŋatgän uken itkuk. Kome u edap äbani käda, Iden kome gägäniken itak.
GEN.4.17	Täŋpäkaŋ Keintä webeni yäpmäŋpäŋ kuŋattäŋgän webeni nanak kok itkuk. Nanak kok itpäŋ nanaki Enok bäyaŋkuk. Kadäni uken Keintä yotpärare kodaki kubä täŋ irirän nanaki ahäŋkuko unita yotpärare u wäpi Enok yäŋ iwetkuk. 
GEN.4.18	Täŋpäkaŋ Enok u tägaŋpäŋ nanak kubä wäpi Irat bäyaŋkuk. Täŋpäŋ Irattä nanaki wäpi Mehujael bäyaŋkuk. Täŋkaŋ Mehujaeltä Metusael bäyaŋkuk. Täŋkaŋ Metusaeltä Lamek bäyaŋkuk.
GEN.4.19+GEN.4.20	Täŋpäkaŋ Lamek uwä webe gwaräp yäpuk, kubä wäpi Ada, kubä wäpi Sira. Täŋkaŋ Adatä nanaki Jabal bäyaŋkuk. Jabal uwä äma bipiken yottaba gänaŋ itkaŋ tom towik täkaŋ unitä intäjukun täŋkuk. 
GEN.4.21	Täŋ monäni wäpi Jubal u kap tektek täŋo tuŋum mebäri mebäri u yäput peŋkuk. 
GEN.4.22	Eruk, Lamek täŋo webeni kubä wäpi Sira unitä nanak kubä bäyaŋpäŋ wäpi Tubalkein yäŋ iwetkuk. Äma unitä kome änek-änek täŋo tuŋum ainpäŋ täŋpani unitäŋo intäjukun täŋkuk. Tubalkein unitäŋo wanori wäpi Nama. 
GEN.4.23	Täŋpäkaŋ kadäni kubä Lamektä webeniyat ŋode yäwetkuk;
GEN.4.23	Webenayat Ada, Sira, ek juku peŋpäŋ näkŋo man ŋo nadäwun.
GEN.4.23	Äma kubätä äbä nägät uränkaŋ näkä akuŋpäŋ kowata kumäŋ-kumäŋ utkut.
GEN.4.23	Ba äma gubaŋi kubätä komi namiŋkuko unita kowata utpewa kumbuk.
GEN.4.24	Upäŋkaŋ äma kubätä näk nutpäŋä, kowata ärowaniinik api imet.
GEN.4.25	Täŋpäkaŋ Adamä webenikät kuŋatgän nanak kok äneŋi itkuk. Nanak kok itpäŋ nanak kubä bäyaŋpäŋ ŋode yäŋpäŋ wäpi Set iwetkuk; Keintä Abel utkuko unitäŋo komenita Anututä nadäŋ namiŋirän nanak kubä ahäŋ namitak yäk. 
GEN.4.26	Eruk Set uwä tägaŋpäŋ nanak kubä bäyaŋpäŋ wäpi Enos yäŋ iwetkuk.
GEN.4.26	Täŋpäkaŋ kadäni ukengän ämawebetä Anutu wäpi yäŋpäŋ kuŋat-kuŋat uken yäput peŋkuŋ.
GEN.5.1	Anututä ämawebe pewän ahäŋkuŋo uwä Anutu ini bumik gatäŋkuk. 
GEN.5.2	 Ämani bok webe bok gatäŋpäŋ man yeri nikek yäwetpäŋ wäpi taŋi Äma yäŋ yäwetkuk.
GEN.5.3	Täŋpäŋ Adamtä obaŋ 130 irirän nanaki gweki wäpi Set ahäŋkuk. Set u nani ini iŋami dapun bumik ahäŋkuk. 
GEN.5.4+GEN.5.5	Set ahäwänkaŋ, nani Adam äneŋi obaŋ 800 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 930 ude täreŋirän kumbuk. 
GEN.5.6	Adam nanaki Set unitä obaŋ 105 täreŋirän nanaki tuäni wäpi Enos ahäŋkuk. 
GEN.5.7+GEN.5.8	Nanaki Enos u ahäwänkaŋ, nani Set uwä äneŋi obaŋ 807 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 912 ude täreŋirän kumbuk.
GEN.5.9	Täŋpäŋ Enos unitä obaŋ 90 täreŋirän nanaki tuäni wäpi Kenan ahäŋkuk. 
GEN.5.10+GEN.5.11	Kenan u ahäwänkaŋ nani Enos uwä äneŋi obaŋ 815 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 905 ude täreŋirän kumbuk.
GEN.5.12	Täŋpäŋ Kenan unitä obaŋ 70 täreŋirän, nanaki tuäni wäpi Mahalalel ahäŋkuk. 
GEN.5.13+GEN.5.14	Mahalalel u ahäwänkaŋ nani Kenan uwä äneŋi obaŋ 840 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 910 ude täreŋirän kumbuk.
GEN.5.15	Täŋpäŋ Mahalalel unitä obaŋ 65 täreŋirän, nanaki wäpi Jaret ahäŋkuk. 
GEN.5.16+GEN.5.17	Jaret u ahäwänkaŋ nani Mahalalel uwä äneŋi obaŋ 830 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 895 ude täreŋirän kumbuk.
GEN.5.18	Täŋpäŋ Jaret unitä obaŋ 162 täreŋirän, nanaki tuäni wäpi Enok ahäŋkuk. 
GEN.5.19+GEN.5.20	Enok u ahäwänkaŋ nani Jaret uwä äneŋi obaŋ 800 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 962 ude täreŋirän kumbuk.
GEN.5.21	Täŋpäŋ Enok unitä obaŋ 65 täreŋirän, nanaki tuäni wäpi Metusela ahäŋkuk. 
GEN.5.22+GEN.5.23	Metusela u ahäwänkaŋ Enoktä Anutukät kentäŋpäŋ obaŋ 300 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 365 ude täreŋirän kumbuk. 
GEN.5.24	 Enok uwä Anutukät kentäŋpäŋ kuŋattäŋgän paotkuk. Paotkuko uwä Anututä ini komegup ikek imagutkuk.
GEN.5.25	Täŋpäŋ Metusela unitä obaŋ 187 it yäpmäŋ äroŋirän nanaki tuäni Lamek ahäŋkuk. 
GEN.5.26+GEN.5.27	Lamek u ahäwänkaŋ nani Metusela uwä äneŋi obaŋ 782 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 969 ude täreŋirän kumbuk.
GEN.5.28	Täŋpäŋ Lamek unitä obaŋ 182 täreŋirän nanaki tuäni ahäŋkuk. 
GEN.5.29	Nanaki tuäni ahäŋirän wäpi Noa yäŋ iwetpäŋ ŋode yäŋkuk; Anututä kome terak tagwän peŋkuko unita komi piä, butewaki piä pähap täŋpäŋ kuŋaritna nanak ŋonitä api niniŋ kawatäwek yäk. 
GEN.5.30+GEN.5.31	Noa u ahäwänkaŋ Lamek uwä äneŋi obaŋ 595 u bämopiken äperiye nanak ätu ahäŋ yäpmäŋ kuŋirä obaŋ 777 ude täreŋirän kumbuk.
GEN.5.32	Täŋpäŋ Noa unitä obaŋ 500 täreŋirän nanaki yaräkubä ahäŋkuŋ. Kubä wäpi Siem, kubäwä Ham, kubäwä Jafet.
GEN.6.3	Täŋirä, Yawetä yäŋkuk; Ämawebe u paotpaot ikek yäk. Kadäni käroŋita nämo api täŋkentäŋ yämet yäk. Näkŋo Munapiktä ämaken nämo it yäpmäŋ äroŋirän obaŋ 120 udegän itpäŋ api kumneŋ yäŋ yäŋkuk.
GEN.6.6	Yabäŋpäŋ-nadäŋkaŋ imata ämawebe u gatäŋpäŋ kome terak peŋkut yäŋ nadäŋpäŋ bänepiken jägämiinik nadäŋkuk. 
GEN.6.7	Jägämi nadäŋpäŋ yäŋkuk; Äma näkŋa kome terak pewa ahäŋkuŋo u kuduptagän kome terak nanik kaŋ awähut morewa! yäk. Bänepna jägämi täyak unita ämawebe ukät tom ba gwak ba barak bok, kuduptagän api däpmäŋ morewet yäŋ yäŋkuk. 
GEN.6.8	Täŋpäkaŋ Yawetä Noata nadäŋirän tägaŋkuk.
GEN.6.10	Täŋpäkaŋ unitäŋo nanaki yarä kubä. Kubä wäpi Siem, kubä Ham, kubä Jafet.
GEN.6.11	Eruk, komen äma kudup Anutu iŋamiken waŋ moreŋirä kome terak ämik kädet mebäri mebäri bumta tokŋeŋkuk. 
GEN.6.12	Tokŋeŋirän Anututä kome kaŋirän wakiwakitä komen äma täŋo irit kuŋatkuŋari u täŋpän wakinik täŋkuk. 
GEN.6.13	Täŋpän wakinik täŋirän Anututä Noa ŋode iwetkuk; Näk komen äma api däpmäŋ paoret. Unitäŋo ämik kädettä kome terak tokŋetak unita däpmäŋ paorayäŋ. Näk bureni yäyat, ämawebe bok kome bok api awähuret. 
GEN.6.14	Ude täŋpayäŋ täro unita gäk päya kehäromi kehäromi madäŋpäŋ upäŋ gäpe kubä kaŋ tä. Täŋpäŋ gäpe gänaŋ täŋkireki täŋkireŋpäŋ täŋkireŋpäŋ kaŋ pe yäk. Täŋpäŋ gupiken kukŋi kukŋi nämäkpäŋ kaŋ urumäŋpipi. 
GEN.6.15	Täŋpäŋ ŋode kaŋ tä; Järapita 140 mita, keräpinita 23 mita, käroŋinita 13 mita ude kaŋ tä. 
GEN.6.16	Täŋkaŋ pujiŋi peŋpäŋ, järapi täŋpipiŋ yäpmäŋ äroŋiri mänit kädetta bägup jopi haf mita ude piri gämoriken jop kaŋ irän. Täŋpäŋä järapi bämopiken yäma kubä kaŋ tä. Täŋpäŋ bukä yarä punin täŋkaŋ kubä gänaŋ umude kaŋ tä.
GEN.6.17	Anututä ude yäŋpäŋ iwetkuk; Nadätan? Näk kome terak, ämawebe ba imaka irit kuŋat-kuŋat ikek kudup däpmäŋ morewa yäŋpäŋ ume gwägu taŋi api pewa ahäwek. Täŋpäkaŋ imaka kudup kome terak itkaŋ u api paotneŋ. 
GEN.6.18	Upäŋkaŋ gäkkät topmäk-topmäk kubägän täŋira gäpe gänaŋ äroŋpäŋ api iren. Täŋkaŋ u gäkŋagän nämo. Gäk ba nanakaye webeka ba äbekaye uwä gäkkät gäpe gänaŋ äro api itneŋ. 
