GEN.1.1	Er pen kenta Doue a grouaz an env hag an douar.
GEN.1.28	Ha Doue a vennigaz anezhe; ha Doue a lava-raz dezhe; Creskit, ha dalc’hit da greski an niver ac’hanoc’h, ha cargit an douar, ha lakit an douar da blega d’ehoc’h, ha bezit mestr var ar pesked euz ar mor, ha var al lapoused euz an env, ha var gement loen a finv var an douar.
GEN.1.29	Ha Doue a lavaraz: Setu em euz roet d’ehoc’h peb louzaouen o tougen had var an douar, ha peb gwezen hag a zo enhi frouez o tougen had; ar re-ze a vezo boued d’ehoc’h.
GEN.1.30	Ha d’an holl anevaled euz ar maeziou, ha d’an holl lapoused euz an envou, ha da gement tra a finv var an douar hag a zo buez enhan, em euz roet peb yeoten c’hlaz evit magadurez; hag e oe great evel-se.
GEN.1.31	Ha Doue a velaz kement hen doa great, ha setu e oa kement-se mad meurbed. Hag e oe eun abardaez, hag e oe eur mintin; hennes a oe ar c’houec’hved dervez.
GEN.2.1	Evel-se e oe peur-c’hreat an env hag an douar, hag ho holl arme.
GEN.2.2	D’ar seizved dervez Doue a beur-achuaz al labour hen doa great; ha d’ar seizved dervez ec’h ebanaz euz he holl oberou.
GEN.2.3	Ha Doue a vennigaz ar seizved dervez hag her zantifiaz, rag en dervez-ze hen doa elianet euz an holl labour hen doa crouet ha great Doue.
GEN.2.4	Setu eno eta ar pen kenta euz an env hag an douar, pa oent crouet, pa deuaz an Aotrou Doue da ober au douar hag an env.
GEN.2.5	Hogen ne oa c’hoas gwezen e-bed er maeziou ha louzaouen e-bed na ziwane c’hoas var an douar, rag an Aotrou Doue n’hen doa ket lakeet ar glao da gweza var an douar, ha ne oa den e-bed d’hen labourat.
GEN.2.6	Mes eur c’hlizen a zave euz an douar hag a zalc’he saour en holl douarou.
GEN.2.7	Hag an Aotrou Doue a reaz corf an den gant ar boultren euz an douar, hag a c’houezaz en he zi-fron eun halan a vuez; hag e teuaz enhan ene ha buez.
GEN.2.8	Hag an Aotrou Doue a reaz eur jardin en Eden var-zu ar Sav-heol, hag a lakeaz enhi an den hen doa crouet.
GEN.2.9	Hag an Aotrou Doue a lakeaz da zevel euz an douar gwez a bep seurt, kaer da velet, ha mad ho frouez da zibri, hag e lakeaz e-kreiz ar jardin ar vezen a vuez, ha gwezen an anaoudegez euz ar mad hag euz an drouk.
GEN.2.10	Euz a Eden e tirede eur ster vraz da zoura ar jardin; hag ac’hane, o tispartia, ez ea e peder ster.
GEN.2.11	Ar genta anezhe a zo he hano Pishon, an nini a red en dro da vro Havila, bro an aour.
GEN.2.12	Hag aour ar vro-ze a zo euz an hini gwella; eno 
GEN.2.13	Guihon eo hano an eil, an hini a red en dro d’an holl vro a 
GEN.2.14	Hano an drede ster eo Hiddekel; honnes eo an hini a red er Sav-heol euz an Assyri. Hag ar bederved eo ar ster 
GEN.2.15	An Aotrou Doue a gemeraz eta an den hag a lakeaz anezlian er jardin Eden, da labourat anezhi ha d’he diwall.
GEN.2.16	Hag an Aotrou Doue a roaz gourc’hemen d’an den, en eur lavaret: Dibri a c’helli, euz a gement gwezen a zo er jardin.
GEN.2.17	Mes diwall da zibri euz gwezen an anaoudegez euz an drouk hag euz ar mad, rag en deiz ma tibri euz honnes, a-dra-zur e varvi.
GEN.2.18	Hag an Aotrou Doue a lavaraz: N’e ket mad e chomfe an den he-unan; ober a rin d’ezhan d’he zicour unan all henvel outhan.
GEN.2.19	Hag an Aotrou Doue a reaz gant douar an holl loened euz ar meaziou hag an holl lapoused euz an env; hag e lakeaz anezhe da zond da gavout Adam, evit gwelet pe seurt hanoiou a roje dezhe, ha ma vije dalc’het da bep hini anezhe an hano roet ganthan da gement a zo buez enhan.
GEN.2.20	Hag Adam a roaz ho hanoiou d’an holl anevaled, ken da holl lapoused an env, ken d’an holl loened euz ar meaziou; mes ne oe kavet hini all e-bed henvel ouz an den evit dond d’he zicour.
GEN.2.21	Hag an Aotrou 
GEN.2.22	Hag euz ar gostezen hen doa kemeret euz a Adam, an Aotrou Doue a reaz eur vaouez (
GEN.2.23	Hag Adam a lavaraz: Setu aze brema an askorn euz va eskern, hag ar c’hig va c’hig. Hou-man a vezo galvet maouez (pe plac’h, 
GEN.2.24	Rag-se ar goaz a zilezo he dad hag he vam, hag en em roio d’he c’hreg, hag e vezint ho daou eur c’hig hepken.
GEN.2.25	Hogen Adam hag he c’hreg a oa ho daou en noaz, ha n’ho doa ket a vêz.
GEN.3.1	HOGEN ar serpant a oa ar finna euz a holl anevaled ar meaziou a oa bet great gant an Aotrou Doue. Lavaret a reaz d’ar vreg: Petra! Daoust ha Doue hen defe lavaret: Ne zebrot ket euz a bep gwezen a zo er jardin!
GEN.3.2	Hag ar vaouez a respontaz d’ar serpant: Dibri a reomp euz frouez az gwez a zo er jardin;
GEN.3.3	mes evit frouez ar vezen a zo e-kreiz ar jardin, Doue hen deuz lavaret: Ne zebrot ket euz honnes, ha ne douchot ket outhi, gant aoun ne vec’h skoet gant ar maro.
GEN.3.4	Neuze ar serpant a lavaraz d’ar vaouez: N’e ket an dra-ze ho lako da vervel;
GEN.3.5	mes Doue a oar e tigoro ho taou-lagad en dervez ma tebrot outhi, hag e viot neuze evel doueou, oc’h anaoud ar mad hag an drouk.
GEN.3.6	Hag ar vaouez a velaz e oa mad frouezen ar vezen da zibri, dudius da velet, ha talvoudec braz evit rei skiant; hag e kemeraz euz he frouez, hag e tebraz, hag e roaz ive d’he fried, a oa en he c’hichen, hag he-man a zebraz ive.
GEN.3.7	Hag ho daou-lagad a zigoraz dezhe ho daou; hag ec’h anavezjont e oant en noaz; hag e c’hrijont deliou fiez, hag e rejont peb a c’houriz 
GEN.3.8	Hag e klevjont mouez an Aotrou Doue, a oa o vale dre ar jardin d’ar mare ma tistane tomder an deiz. Hag 
GEN.3.9	Hag an Aotrou Doue a c’halvaz Adam, hag a lavaraz d’ezhan: E peleac’h emoud-te? Hag Adam a respontaz:
GEN.3.10	Klevet em euz da vouez er jardin, hag em euz bet aoun, dre ma oann en noaz, hag ez oun eat da guzat.
GEN.3.11	Ha 
GEN.3.12	Hag Adam a respontaz: Ar vaouez ec’h euz roet d’in da bried he deuz roet d’in euz a frouez ar vezen, hag em euz debret.
GEN.3.13	Hag an Aotrou Doue a lavaraz d’ar vaouez: Perag ec’h euz-te great kement-se? Hag ar vaouez a respontaz: Ar serpant hen deuz va zouellet, hag em euz debret.
GEN.3.14	Neuze an Aotrou Doue a lavaraz d’ar serpant: Pa ec’h euz great kement-se, te a vezo milliget a douez an holl loened hag a douez an holl auevaled euz an douar; en em dreina a ri var da gov, ha dibri a ri ar boultren bep dervez euz da vuez.
GEN.3.15	Ha me a lakai kasoui da zevel etre ar vaouez ha te, etre da lignez hag he hiui: hou-man a flastro d’id da ben, ha te a c’hlazo anezhi e seul he zroad.
GEN.3.16	Lavaret a reaz d’ar vaouez: Me a gresko da boaniou pa vezi o tougen frouez; lakaad a ri da vugale er bed e-kreiz ar poaniou, ha da zezi-rou 
GEN.3.17	Ha 
GEN.3.18	Hag an douar a roio d’id spern hag askol, hag e tebri al louzou euz ar meaziou.
GEN.3.19	Debri a ri da vara divar c’houezen da dal, ken a zistroi en douar euz a behini oud bet tennet; rag n’ed oud nemed poultren, hag e poultren e tistroi adarre.
GEN.3.20	Hogen Adam a roaz d’he c’hreg an hano a Eva (
GEN.3.21	Hag an Aotrou Doue a reaz da Adam ha d’he chreg saeou gant krec’hin hag ho gwiskaz ganthe.
GEN.3.22	Hag an Aotrou Doue a lavaraz: Setu au de deuet da veza henvel ouzomp e-kenver an ana-oudegez euz ar mad hag euz an drouk. Brema ’ta diwallomp ne astenfe he zorn ha na gemerfe ive euz ar vezen a vuez, ha na zeprfe euz he frouez, ha na chomfe da veva da virviken.
GEN.3.23	Hag an Aotrou Doue a lakeaz anezhan er meaz euz ar jardin Eden da labourad an douar euz a behini e oa bet tennet.
GEN.3.24	Kas a reaz eta an den er meaz, ha lakaad a reaz er sav-heol euz ar jardin Eden, ar cherubined gant eur c’hleze a dan, evit diwall an hent d’ar vezen a vuez.
GEN.4.1	HOGEN, Adam a anavezaz Eva, he c’hreg; hag hi a goncevaz hag a c’hanaz Caïn (
GEN.4.2	Hag e c’hanaz c’hoas he vreur Abel; hag Abel a oe messaer deuved, ha Caïn a oe labourer douar.
GEN.4.3	Hogen, eur pennad amzer goude, Caïn a zi-gassaz frouez euz an douar eu offrans d’an Aotrou;
GEN.4.4	Abel ive a offras euz ar re genta ganet a-douez he loened hag ar zoa anezhe. Hag an Aotrou a blijaz dezhan Abel hag he offrans;
GEN.4.5	mes na zellaz na deuz Caïn na deuz he offrans; ha Caïn a zavaz gorvon enhan, hag e tenaz da vera tenval he ben.
GEN.4.6	Hag an Aotrou a lavaraz da Gaïn: Perag eo eat drouk enoud, ha perag ez eo eat tenval da ben?
GEN.4.7	Mar grez ar mad, e savi da ben? Mes ma ne rez ket mad? … ar pec’hed a zo gourvezet e-kichen an or, o c’hedal ac’hanoud mes te a dlefe beza treac’h dezhan.
GEN.4.8	Ha Caïn a gomzaz ouz Abel, he vreur. Hag o veza ma oant ho daou er meaziou, Caïn en em zavaz a-enep Abel, he vreur, hag a lazaz anez-han.
GEN.4.9	Hag an Aotrou a lavaraz da Gaïn: E pe leac’h ema da vreur Abel? Hag hen a respon-taz: N’ouzon ket; daoust ha me eo a rank diwall va breur?
GEN.4.10	Hag 
GEN.4.11	Ha breman e vezi milliget var an douar hen deuz digoret he c’henou da eva goad da vreur skuillet gant da zorn.
GEN.4.12	Goude ma labouri anezhan, an douar ne roio ket he frouez d’id; ne vezi nemed eur chalvanter hag eur baleer-bro var an douar.
GEN.4.13	Ha Caïn a lavaraz d’an Aotrou: Ar poaniou taolet varnoun a zo re bounner da zougen.
GEN.4.14	Setu mac’h euz kasset ac’hanoun hirio er meaz euz an douar-man; cuzet e vezin diouz’id, ne rin nemed bale bro ha chalvantat var an douar; lazet e vezin gant piou-benag am c’havo.
GEN.4.15	Hag an Aotrou a lavaraz dezhan: 
GEN.4.16	Neuze Caïn a ieaz kuit a-zirag an Aotrou, hag a ieaz da choum e bro Nod a zo er Sav-heol d’ar jardin Eden.
GEN.4.17	Neuze Caïn a anavezaz he c’hreg, hag hou-man a goncevaz hag a c’hanaz Henoc; sevel a reaz goude eur gear, hag e c’hanvaz anezhi Henoc, hano he vab.
GEN.4.18	Goude-se e c’hanaz Irad, mab da Henoc, hag Irad a oe tad da Vehujael, ha Mehujael a oe tad da Vethushael, ha Methushael a oe tad da Lemec.
GEN.4.19	Ha Lemec a gemeraz diou c’hreg: hano unan anezhe a oe Ada, hano eben Tsilla.
GEN.4.20	Hag Ada a c’hanaz Jabal; hennes a oe tad d’ar re a choum en tantennou hag ho deuz loened.
GEN.4.21	Hag hano he vreur a oa Jubal; hennes a oe tad d’ar re holl a zôn gant telennou ha gant ar fleüt.
GEN.4.22	Ha Tsilla ive a c’hanaz Tubal-Caïn, pehini a rea gant arm ha gant houarn a bep seurt ostillou da droc’ha; ha c’hoar Tubal-Caïn a oe Naama.
GEN.4.23	Ha Lemec a lavaraz d’he c’hragez: Ada ha Tsilla, selaouit va mouez; gragez Lemec digorit ho tiou-skouarn da glevet va c’homzou: Ia lazet em euz eun den abalamour da eur gouli hen deuz great d’in, hag eun den yaouank evit beza glazet ac’hanoun.
GEN.4.24	Rag mar bez tennet venjans seiz gweach 
GEN.4.25	Hag Adam a anavezaz adarre he c’hreg, hag Eva a c’hanaz eur mab, hag e c’hanvaz anezhan Seth (
GEN.4.26	Hag eur mab a c’hanaz ive da Seth, hag e c’hanvaz anezhan Enosh. En amzer-ze e com-mansaz an dud d’en em erbedi ouz hano an Aotrou.
GEN.5.1	SETU aman al levr euz a lignez Adam. En dervez ma crouaz Doue an den, Doue a reaz anezhan henvel outhan he-unan.
GEN.5.2	Croui a reaz anezhe goaz ha maouez, hag e vennigaz anezhe hag e roaz d’ezhe an hano a 
GEN.5.3	Hogen, Adam a vevaz cant ha tregont vloaz, hag hen devoe eur mab diouz he skeuden ha diouz he henveledigez, hag e roaz d’he vab an hano a Seth.
GEN.5.4	Goude beza bet he vab Seth, Adam a vevaz eiz cant vloaz; hag e c’hanaz d’ezhan 
GEN.5.5	An holl amzer ma vevaz Adam a oe eta nao c’hant tregont vloaz; ha neuze e varvaz.
GEN.5.6	Seth d’an oad a bemp bloaz ha cant, hen doe eur mab, Enosh.
GEN.5.7	Ha Seth, goude m’hen doe bet Enosh, a vevaz eiz cant ha seiz vloaz; hag e c’hanaz d’ezhan mipien ha merched-all.
GEN.5.8	Seth a vevas eta epad nao c’hant daouzec-vloaz; neuze e varvaz.
GEN.5.9	Hag Enosh d’au oad a zeg vloaz ha pevar-ugent, hen doe eur mab hanvet Kenan.
GEN.5.10	Hag Enosh, goude beza bet he vab Kenan, a vevaz eiz cant pempzec vloaz; hag hen doe mipien ha merc’hed-all.
GEN.5.11	Enosh a vevas eta epad nao c’hant ha pemp bloaz; ha goude e varvaz.
GEN.5.12	Ha Kenan d’an oad a zeg vloaz ha tri-ugent, hen doe eur mab hanvet Vahalaleel.
GEN.5.13	Ha Kenan, goude m’hen doe bet he vab Mahalaleel, a vevaz eiz cant daou ugent vloaz: hag hen doe mipien ha merc’hed-all.
GEN.5.14	Kenan a vevaz eta epad nao c’hant deg vloaz; ha neuze e varvaz.
GEN.5.15	Ha Mahalaleel d’an oad a bemp bloaz ha tri-ugent, hen doe eur mab hanvet Jered.
GEN.5.16	Ha Mahalaleel, goude m’hen doe bet he vab Jered, a vevaz eiz cant tregont vloaz; hag hen doe mipien ha merc’hed-all.
GEN.5.17	Mahalaleel a vevaz eta epad eiz cant pem-zec vloaz ha pevar-ugent; ha neuze e var-vaz.
GEN.5.18	Ha Jered, d’an oad a zaou vloaz ha tri-ugent hen doe eur mab hanvet Henoc.
GEN.5.19	Ha Jered, goude m’hen doe bet he vab Henoc, a vevaz eiz cant vloaz; hag hen doe mipien ha merc’hed-all.
GEN.5.20	Jered a vevaz eta epad nao c’hant daou vloaz ha tri-ugent; ha neuze e varvaz.
GEN.5.21	Henoc, d’an oad a bemp bloaz ha tri-ugent, nen doe eur mab hanvet Vethushelah.
GEN.5.22	Hag Henoc a gerzaz gant Doue epad tri c’hant vloaz goude m’hen doe bet he vab Methushelah; hag hen doe mipien hamerc’hed-all.
GEN.5.23	Henoc a vevaz eta epad tri c’hant pemp bloaz ha tri-ugent.
GEN.5.24	Henoc a gerzaz eta gant Doue, ha ne oe mui gwelet gant den e-bed rag Doue a gassaz ane-zhan ganthan.
GEN.5.25	Ha Methushelah a vevaz cant seiz vloaz ha pevar-ugent, hag a oe tad da Lemec.
GEN.5.26	Ha Methushelah, goude m’hen doe bet he vab Lemec, a vevaz seiz cant daou vloaz ha pevar-ugent; hag hen doe mipien ha merc’hed-all.
GEN.5.27	Methushelah a vevaz eta epad nao c’hant nao bloaz ha tri-ugent; ha neuze e varvaz.
GEN.5.28	Ha Lemec d’an oad a gant daou vloaz ha pevar-ugent, hen doe eur mab.
GEN.5.29	Rei a reaz d’ezhan an hano a Noe (
GEN.5.30	Ha Lemec, goude m’hen doe bet Noe, he vab, a vevaz pemp cant pemzec vloaz ha pevar-ugent; hag hen doe mipien ha merc’hed-all.
GEN.5.31	Lemec a vevaz eta epad seiz cant seitec vloaz ha tri-ugent; ha neuze e varvaz.
GEN.5.32	Ha Noe d’an oad a bemp cant vloaz hen doe 
GEN.6.1	Mes, pa oe deuet an dud da greski var an douar, ha pa oe ganet merc’hed d’ezhe,
GEN.6.2	mipien Doue, o velet e oa koant merc’hed an dud, a gemeraz gragez a-douez ar re holl a blije gwella d’ezhe.
GEN.6.3	Hag an Aotrou a lavaraz: Va spered na joumo ket da virviken e brezel gant an den, rag n’ed eo nemed kig; he vuez ne bado ken nemed c’houec’h-ugent vloaz.
GEN.6.4	Ar jeanted a oa var an douar en amzer-ze, hag ive divezatoc’h, pa zeuaz mipien Doue var-zu merc’hed an dud, ha pa ho doe roet bugale d’ezhe: an dud galloudus-se eo an dud ken brudet euz an amzeriou koz.
GEN.6.5	Hag an Aotrou a velaz e oa braz fallagriez an den var ar douar; hag e oa troet var-zu an drouk an holl zonjou euz he galon.
GEN.6.6	Hag an Aotrou hen doe keuz da veza great an den var an douar, hag e oe glac’haret holl en he galon.
GEN.6.7	Hag an Aotrou a lavaraz: Distruja a rin divar an douar an den em euz crouet; 
GEN.6.8	Mes Noe a gavaz trugarez dirag daou-lagad an Aotrou.
GEN.6.9	Setu aman lignez Noe: Noe a oe eun den eün ha leal e-touez an dud euz he amzer; Noe a gerze gant Doue.
GEN.6.10	Ha Noe hen doe tri mab, Sem, Cham ha Japhet.
GEN.6.11	Hogen ar bed-holl a oa saotret dirag Doue, ha leun a fallagriez.
GEN.6.12	Ha Doue a zellaz ouz an douar, ha, setu ma oa deuet da veza brein; rag peb kig hen doa saotret he hent var an douar.
GEN.6.13	Ha Doue a lavaraz da Noe: Setu merket ganen an diveza termen da bep kig; rag an douar a zo bet leuniet ganthe a fallentez; ha setu ma’z an d’ho distruja assambles gant an douar.
GEN.6.14	Gra d’id eun arc’h gant koat gopher; ober a ri en arc’h lochennou, hag e c’holoi anezhi gant godron en diabarz hag en diaveaz.
GEN.6.15	Ha setu aman penaos e ri anezhi: An arc’h he devezo tri c’hant ilinad a hed, hag hanter cant ilinad a lec’hed, ha tregont ilinad a huelded.
GEN.6.16	Ober a ri varnezhi eur prenest hag hen devezo eun ilinad hep-ken ar pen huela anezhan; eun or a ri e costez an arc’h; ober a ri an arc’h gant 
GEN.6.17	Ha me a zo o vond da zigas an dilug var an douar, evit distruja dindan an envou peb kig hag a zo buez enhan; kement tra a zo var an douar a berisso.
GEN.6.18	Mes ganez-te e rin va allians; ha te a ielo ebarz an arc’h, te, da vibien, da c’hreg, ha gragez da vibien assambles ganez.
GEN.6.19	Hag euz a gement hen deuz buez a-douez peb kig, e laki da vond ganez en arch daou euz, a bep 
GEN.6.20	euz al lapoused hervez ho wenn, hag euz an anevaled hervez ho wenn, euz a amprevaned an douar hervez ho wenn, daou euz a bep 
GEN.6.21	Ha te, kemer euz a bep boued hag a zo mad da zibri, ha gra pourvision a-zialben, evit ma servicho kement-se da vagadurez d’id ha d’ez-he.
GEN.6.22	Ha Noe a reaz kement-se; ober a reaz kement a oa bet gourc’hemenet dezhan gant Doue.
GEN.7.1	Hag an Aotrou a lavaraz da Noe: Kea, ebarz an arc’h, te hag holl dud da di; rag da gavet em euz eun den eün dirazoun e-touez an dud euz an amzer-man.
GEN.7.2	Kemer a ri ganez euz an holl anevaled pur, seiz coublad, euz a bep wenn, par ha parez; mes euz al loened ha n’int ket pur, daou hep-ken, ar par hag he barez.
GEN.7.4	Rag a-ben seiz dervez aman, me a lakai glao da gweza var an douar, epad daou ugent dervez ha daou ugent nosvez; hag e tistrujin divar an douar ar grouadurien em euz great.
GEN.7.5	Ha Noe a reaz kement a oa bet, gourc’hemenet d’ezhan gant an Aotrou.
GEN.7.6	Hogen, Noe o oa oajet a c’houec’h cant vloaz pa c’hoarvezaz an diluj ha 
GEN.7.7	Noe a ieaz eta ebarz an arc’h, hag he vibien, he c’hreg, ha gragez he vibien assambles ganthan, abalamour d’an doureier euz an diluj.
GEN.7.8	Anevaled pur hag anevaled ha n’int ket pur, ha lapoused, hag euz a gement amprevan a ia en eur ruza var an douar,
GEN.7.9	daou ha daou, par ha parez, ez ejout etrezeg Noe ebarz an arc’h, evel m’hen doa gourc’hemenet Doue da Noe.
GEN.7.10	Hag e c’hoarvezaz, a-ben seiz dervez goude, ma teuaz doureier an diluj var an douar.
GEN.7.11	Er bloavez c’houec’h cant euz a vuez Noe, d’an eil miz, d’ar seiztecved dervez euz ar miz, en dervez-ze, mammenou ar mor doun a darzaz holl, ha ranvellou an env a zigoraz.
GEN.7.12	Hag ar glao a gwezaz var an douar epad daou ugent dervez ha daou ugent nosvez.
GEN.7.13	En dervez-ze ive Noe, Sem, Cham ha Japhet, mibien da Noe, ha greg Noe, ha teir greg he vibien ganthe, a ieaz ebarz an arc’h,
GEN.7.14	int-hi, hag an holl anevaled hervez ho wenn, hag an holl loened-craou, hervez ho wenn, hag an holl amprevaned a ia en eur ruza var an douar, hervez ho wenn, hag an holl lapoused hervez ho wenn, al lapoused bihana, kement hag ho deuz diouaskel da nijal.
GEN.7.15	Mond a rejont eta etrezeg Noe ebarz an arc’h, daou ha daou euz a bep kig hag a zo enhan ar c’houezen a vuez.
GEN.7.16	Hag ar re a zeuaz, a zeuaz par ha parez euz a bep kig, evel ma oa bet gourc’hemenet da Noe gant Doue; hag an Aotrou a zerraz an arc’h varnezhan.
GEN.7.17	Hag an diluj a badaz daou ugent dervez var an douar; hag an doureier a greskaz hag a zibradaz an arch, hag hou-man a zavaz divar an douar.
GEN.7.18	Hag an doureier a greskaz kalz var an douar; hag an arc’h a oe douget var an doureier.
GEN.7.19	Hag an doureier a greskaz spontus var an douar; hag an huela meneziou dindan an env a oe goloet.
GEN.7.20	An doureier a zavaz pemzeg ilinad dreist-he; hag ar meneziou a oe goloet holl.
GEN.7.21	Ha kement kig hag a oa buez enhan, var an douar, a varvaz, keu euz al lapoused, ken euz al loened, ken euz an amprevaned a ia a-ruz var an douar, hag ive an holl dud.
GEN.7.22	Kement hen doa en he zi-froun eur c’houe-zaden a vuez ha kement a oa var an douar seac’h a varvaz.
GEN.7.23	Kement tra beo a oa varc’horre an douar a oe distrujet, adaleg au dud, beteg al loened, beteg au amprevaned, ha beteg al lapoused euz an env, distrujet e oent divar an douar. Ne chou-maz nemed Noe, hag ar re a oa gauthau en arc’h.
GEN.7.24	Hag e oe braz an doureier var an douar epad deg dervez lia seiz ugent.
GEN.8.1	HOGEN, Doue a zeuaz da zonj d’ezhan euz a Noe, hag euz an holi loened 
GEN.8.2	Ha mamennou an dour doun, ha ranvellou an env a zeuaz da zerri; hag e tavaz ar glao.
GEN.8.3	Hag ec’h eaz kuit an doureier divar an douar; derc’hel a rejont da vond; hag a-ben deg dervez ha seiz ugent an doureier a goazaz.
GEN.8.4	Hag er seizved miz, er seitegved dervez euz ar miz, an arc’h a stokaz hag a joumaz var menez Ararat.
GEN.8.5	Hag an doureier a ieaz en eur goaza, beteg an degved miz. D’an degved miz, d’an deiz kenta euz ar miz, e tizoloaz kern ar meneziou.
GEN.8.6	Hag a-ben daou-ugent dervez, e tigorraz Noe ar prenestr hen doa great var an arc’h.
GEN.8.7	Hag e laoskaz ar vrân; hou-man a nijaz kuit hag a zalc’haz da darnijal, ken a oe dizec’het an doureier divar an douar.
GEN.8.8	Neuze e laoskaz ar goulm a oa ganthan evit gwelet ha koazet braz e oa an doureier divar c’horre an douar.
GEN.8.9	Mes ar goulm ne gavaz leac’h e-bed da bozi he zreid, hag a zistroaz d’he gavoud en arc’h; rag an douar a oa c’hoas goloet holl gant an dour. Ha Noe a astennaz he zorn, a dapaz crog enhi, hag he digassaz ganthan en arc’h.
GEN.8.10	Hag e c’hortozaz c’hoas seiz dervez all, ha neuze e laoskaz adarre ar goulm er meaz euz an arc’h.
GEN.8.11	Hag ar goulm a zistrcaz d’he gavoud var-dro an abardaez; na setu ma oa ganthi en he beg eun delien olived nevez distaget; ha Noe a velaz dre eno e oa koazet an doureier var an douar.
GEN.8.12	Gortoz a reaz c’hoas seiz dervez all; hag e laoskaz ar goulm; mes hou-man na zistroaz ket d’he gavoud.
GEN.8.13	Er c’hiz-ze, d’ar bloaz c’houec’h cant unan 
GEN.8.14	D’an eil miz, d’ar seizved var-n’ugent dervez euz ar miz e teuaz an douar da veza seac’h.
GEN.8.15	Neuze Doue a gomzaz ouz Noe, en eur lavaret:
GEN.8.16	Deuz er meaz euz an arc’h, te, da c’hreg, da vibien, ha gragez da vibien assambles ganez.
