GEN.1.1	Tenang tutuna' masipo' Kumponinge aa'ning paning ee'noko kansi' nkovuu'nang. 
GEN.2.24	Tee'koo tee' aa'nomaung naninge baumararing sipurema ba'aang ninka pinka'arekoo' ee'noko narung deemparekoo'.
GEN.2.25	Tenang tee tering ookaring donkaani ee'noko teni ba'aang simpenoi'daring otoresi teka tee maia'orea'.
GEN.3.1	Ookara kapoo' avutevu' biikoori Kumponinge nkovuru'nanka-koo boru' bakei aa'na' toreearo'. Teie tee teni manikuma aa'puu', “Kumponinge ee masika' ookara anau-koo koi'nanka-koong sinang maa'koo orokoruresing?” 
GEN.3.2	Ee'noko tenie maku'uma aa'puu' tee boru', “Nee'ke aa' ookara koi'nanka-kooning sinang anau-kooning maa'koo makosi. 
GEN.3.3	Teka Kumponinge aa'puing, ‘Koi'navari anau-koo meu'ke otoinavari-koong deeko' dee'ke sinang maa'ereauka', aa'noko tamung kompereauka' tevari, doore'neenga.’”
GEN.3.4	Nka teie boru'ke aa'puu' teni manikuma, “A, dee' bakei doorearoo'naang. 
GEN.3.5	Dee'ke tee sinang teu'koong maa'ereta deeko' dee' tee noru' daate'daree'naang kapoo' tampara ee'noko kapoo' orara noru'koo, ee'noko dee' tee Kumponing-pina' nari' otoree'naang. Kumponinge tee' noru'ui dee' tee' orokoruresing.”
GEN.3.6	Ee'noko tenang tenie manikumai tee teu'koong sinang oovuko onou ee' oro' tavo'kuu', “Bakei aung sinang maa'koo tampara, oro'oro'noo' tampa' oro'ke, ee'noko maa'anko norukasi' deeng-antamupeu'.” Tee ninka noru' ninka tee-koo sinang-koo nkavura maa'kuu', ee'noko nii'ning napo' tenie tee ba'ung nari' otoretu'nung avuio' maa'uu'. 
GEN.3.7	Ee'noko tenang tee noru' ookaanka-koong daate'aretu', ee'noko tenang noru'aretu' tenaanka tee simpenoi'ka, ee'noko tenang koi' piiki'koong para'noo' naro'ka pate'ureta duaana nkosiiretu'.
GEN.3.8	Teketa tenang kamunoo'nang boimpuio' tenaankai tee Ovoring Kumponing teke mintoonge nanuko taaravuretu', ee'noko koi'nanka-koo meu' baku'aretu'. 
GEN.3.9	Teka teie Ovoringe Kumponinge Aadama bokuvuma aa'puu', “Da' are' otomang?” 
GEN.3.10	Ee'noko teie aa'puu', “Ninge da'koong aurong mintoonge naniko taararamira amoromira simpenoi' deemarama oome'neeng-koo baku'maring.”
GEN.3.11	Ee'noko Kumponinge aa'puu', “Da' baie simpenoi' otoing nauruing? Ai' tee koi'koong sinang orokorantu'navari-koong maa'ei?” 
GEN.3.12	Ee'noko teie aa'puu', “Tenie anie manikumai dake ni'ninka nari' o'noree'naang ameu'nanie tee-koo koi'koong-koo sinang-koo amuio' maa'kansing.”
GEN.3.13	Teketa teie Ovoringe Kumponinge teni manikuma aa'puu', “Dake tee aming-koo tee' nkoveing?” Ee'noko tenie manikumai aa'puu', “Boru'ke tosimuio' tee' ninge maa'ansing.”
GEN.3.14	Teketa Ovoringe Kumponinge tee boru' aa'puu', “Dake tee tee' oro' kapoo' nkoveing-koo dakaang barakosi' tee dau basi ookara kau'karenaumo-nanka bau'naananka-koo ee'noko pora'koonanka-koo. Da' tee ke'dei nanimatoaing otoainaroong-koo tee nankanankara maa'ema. 
GEN.3.15	Ee'noko ninge tee dee'naanka da' ee'noko ani manikuma karenaanka deeng-antarampeaing ee'noko napo' teing dee'ke deurukaa' tee'ke kare-nupoong otoromaatoaing. Teni baurukaa'koo narunge
GEN.3.16	Napo' teni manikuma aa'puu' Kumponinge, “Ninge tee da' pankaing sisikeera arompaing tenang parema mantompemaatoaing. Sisikeera ninka parematoaing. Nka tee, da'ung-koo pia otoi otoaing, ee'noko bakaang pia siompemaatoai.”
GEN.3.17	Ee'noko napo' Aadama-koo aa'puu', “Dake teni da'aang bakaang kara taaravera tee koi'koong sinang orokoantu'nung maa'eing-koo, ninge tee kansi' taamang keentoma barakosi'ansing taamananka tampa' nkoarava' otoainge, ee'noko da' pore'doma deeko' tee-koo kansi'koo taamanimatoaing ookara batei da' otoaining-koo. 
GEN.3.18	Ee'noko kansi'keta koi'nanka too'murintaa'po'nanka dupuai, napo' baa'nanka orananka dupuai, ee'noko dake maa'koo pora'kooning baa'nanka maa'emaatoai. 
GEN.3.19	Ee'noko iontakaanang mintoontarama taamanimatoai, bera doora kansi'koo tororaravainoo'ke basi, te' ee'noo' da' nkorantu'noo', ai' da' tee da'mong, napo' da'mong-koo doonko tororaravaing.”
GEN.3.20	Ee'noko Aadamai teni ba'aang miring Iivi
GEN.3.21	Ee'noko Kumponinge Ovoringe kau'karenaumo-nanka-koong dopa'koo mononopa' nkovura Aadama ee'noko teni Iivi avuretu' kurumparee'naang.
GEN.3.22	Teketa Kumponinge Ovoringe aa'puu', “Aung tee naning nii'pina' oro'paring aa'noing kapoo' tampara ee'noko orara noru'ui. Emu' tee koi' domang isikung avu'navari-koo due' be'koo taura'pampiauka', tevari-koong sinang maa'ura napo' domampari oto'neenga.” 
GEN.3.23	Tee'pura Ovoringe Kumponinge tenau-eta Iideni'nau-eta bata'uu' tamung pora'ke mintoomparaa'naang, tee naning kansi'ketaing kansi' nenke'uma. 
GEN.3.24	Tenang Kumponinge tering bata'ureta, tee-koo tenau-koo Iideni'nau-koo duaa' pomanoo'aapenameng-koo koosinunanka purinto'nanka donkong-antavuru', tee tevung taung koi' domang-anta-aape be'navung para'ai otoromaatoo'naang, bainatu nta'pina' urung kompai eevaavaama.
GEN.4.1	Enang tee Aadama Iivi-ninka ba'aang ninka otoresi teni kempo'kuu'. Teketa tooto' narung donkaani paravuu' tenie, miring Keini'.
GEN.4.2	Napo' kemu'kana' tenie donkaani Keini'ke baara'ma'nung paravuu' miring Eebelo'.
GEN.4.3	Dama'ke tee Keini'ke tee-koo keenkeenanka-koo sinananka nkavurira Ovoring-koo boontunamparu'. 
GEN.4.4	Ee'noko Eebelo'ke sipisipi'nanka-koo nii'ning tutuna'ning-kooning dato'urira menaanka dovang-nairu ninka boontunamparu'. Ee'noko Ovoring Eebelo'koo aa'na' dotuaru' ee'noko tee-koo bakaang-koo boontunang-koo. 
GEN.4.5	Teka Keini'koo ee'noko tee-koo bakaang-koo boontunang-koo dotuaravaruu'. Ee'noko Keini' tee'koo aa'na' iirai oing oraka' oro'paru'.
GEN.4.6	Ee'noko Ovoringe aa'puu' tee Keini', “Da' aming-koo iirarora oing oraka' oro'daramang? 
GEN.4.7	Da' tampa' boontunantaravaing deeko' ning da'koo dotumaravaing, ape' aung? Teka tee dake kapoo' orara nkoveko deeko' tee orara aarumo maamuari otong da' kurumaa'koo. Nka dake purintarara puru'eaing tee.”
GEN.4.8	Teketa Keini'ke tee baara'ma'nung Eebelo' bokuvuma aa'puu', “Poai io' tokoi pora'ke korokoromareai.” Ee'noko tenang pora' bereta Keini' tee-koo baara'ma'nung-koo Eebelo'koo dau kokoroarara teka tavuma dupisi'uu' tee.
GEN.4.9	Tenang Ovoringe aa'puu' tee Keini', “Eebelo' arerai tee daara'ma'nung?” Ee'noko Keini'ke aa'puu', “Ninge noru'ampa' tee, ai' ning tee ntara'ma'nung tare-koo si'meu'nunge?”
GEN.4.10	Ee'noko Ovoringe aa'puu', “Nka dake aming nkoveing? Tee daara'ma'nung bakaang ereng-koong aurong tee ning-koo biromparamang kansi'keta. 
GEN.4.11	Emu' tee da' barakosi'dama aa'damaang: Anketa kansi'keta da' tenkeniaing, a' te' kansi'noo' daara'ma'nung-koong ereng tuuvuio' naivuinoo' daka dake dupisi'eio'. 
GEN.4.12	Da' tee pore'doma kansi'koo keempeko taamang tampa' nkoaravauka'nung ee'noko tokoo dakanoo' masipo' oto'deruauka', tamung kansi'koo kororaramatoaing.”
GEN.4.13	Teketa Keini'ke aa'puu' tee Ovoring, “Ee baka', aung tee kiimata pankaing masikung. Dake ameio' orarunsie dupisi'muu'naang. 
GEN.4.14	Dake tee ning e'mung bata'meing anketa kansi'keta, ee'noko dakaang biraanke-ita baku'meinge. Ee'noko tokoo nkanoo' oto'memuauka'; tamung kansi'koo koromarama'noaing. Naninge tokoa oomura deeko' tamung anutua dupisi'muaing makosie.”
GEN.4.15	Teka Kumponinge aa'puu' tee, “A, tee' deea'. Nii'nung naninge da' taruma dupisi'duaing deeko', tee naning tee ninge aa'na' dau basinoo' kiimata avompaing.” Ee'noko Ovoringe Keini'koo taa'ni'anta sipuu' naninge tokoa oovura tavu'neeng-koo tee. 
GEN.4.16	Teketa tenang Keini' Ovoring-ankoita tenkenuu', ee'noko bera Ata'nanu' tampaama-nameng-koo beu' teketa Iideni'keta duaa' pomanoo'aapenameng-koo.
GEN.4.17	Emu' tee Keini', osi pankaing kanivui otoko, ba'aang kempo'kura bauring donkaani paravuu' miring Iinoke; ee'noko Keini'ke tee osi opura napo' Iinoke namirimpuu'. 
GEN.4.18	Ee'noko Iinoke tee Irat bauma. Tee Irat tee Meusiel bauma, ee'noko Meusiel tee Metusiel bauma, ee'noko Metusiel tee Leemeki' bauma.
GEN.4.19	Ee'noko Leemeki'ke kenaanka manikumaara nampuretu'. Nii'nani-koong miring Eda, ee'noko nani Sila'. 
GEN.4.20	Ee'noko Edai Jabal paravuu', Jabal tee teing pora'ke nanaama boromaka'nanka tareariko'ning biuma. 
GEN.4.21	Tee Jabal baara'ma'nung miring Jubal, ee'noko tee Jubal tee teing nantoong kovi dovang kiita kompaamaing biuma. 
GEN.4.22	Dama'ke napo' tenie Sila'ke Tubokein paravuu'. Tubokein tee teing nantoong baraasi˜ dovang-koo aini aa'ning-koo kapoo' nkonuka biuma. Tee Tubokein ba'mari miring Naama.
GEN.4.23	Nii'na'mung Leemeki'ke tenaanka ba'aankaara nauvurema aa'puretu', “Eda naanka Sila' ee, nkaang kara tampa' masika' taaramereai. Naninge narunge nemakai ning baikemuio' ninge dupisi'ansieeng maku'koo, ee'noko ba'marange mero'koo piavorora deeko' ee' nauarampaing, 
GEN.4.24	‘Baa naning Keini' dupisi'uaing aa'na' dau basinoo' kiimata nkavuaing, ee'noko naning ning tamuaing bakei aa'na' aa'na' kiimata dau basinoo' kompuaing.’”
GEN.4.25	Dama'ke napo' Aadama ninka otoresi ba'aange tooto' narung donkaani napo' paravuu' miring Set,
GEN.4.26	Dama'ke napo' Set bauring ponto'aru' ee'noko Iinosi' tampuu'. Tenang ee'nang nantoonge Kumponing Iaaue
GEN.5.1	Aung tee Aadama bakanaving-koong mirinanka, tee naning Kumponinge nkovuu'nung baka bakaang oro' siompui otoko. 
GEN.5.2	Kumponinge kenaankara nkovuretu', donkaani ee'noko manikuma, ee'noko biraankevureta “naninka” tampuretu'.
GEN.5.3	Tenang Aadama mare' narung daaku'keta beenaumo kivora [130] deemparama bauring narung nkoaru' tee-pina' masika' oro'. Miring Set tampuu' tee. 
GEN.5.4	Temare'keta Set ponto'aru'namare'keta deto Aadama ˜beenaumo-taa daaku' [800] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' donkaang ee'noko maniku' nkoariru'. 
GEN.5.5	Ookara mare' naro'ka Aadama otou'ning ˜karenaumo-taa daaku' bera beenaumo kivora [930] deemparama bou'.
GEN.5.6	Teketa tee Set mare' narung daaku'keta pa'noko' [105] deemparako bauring narung ponto'aru' miring Iinosi'. 
GEN.5.7	Temare'keta Iinosi' ponto'aru'namare'keta deto tee Set ˜beenaumo-taa daaku' bera ˜kenaanka-taa [807] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' nkoariru' donkaang ee'noko maniku'. 
GEN.5.8	Ookara mare' Set otou'ning naro'ka ˜karenaumo-taa daaku' bera kivora-ita kenaanka [912] deemparama boo'paru'.
GEN.5.9	Tenang tee Iinosi' mare' ˜karenaumo-taa kivora [90] deemparama bauring narung nkoaru' miring Kenan. 
GEN.5.10	Temare'keta Kenan ponto' aru'namare'keta tee Iinosi' ˜beenaumo-taa daaku' bera kivora-ita pa'noko' [815] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' ponto'ariru', donkaang ee'noko maniku'. 
GEN.5.11	Ookara mare' Iinosi' otou'ning naro'ka ˜karenaumo-taa daaku' bera pa'noko' [905] deemparama boo'paru'.
GEN.5.12	Teketa tee Kenan mare' ˜kenaanka-taa kivora [70] deemparako bauring narung Maaleli' ponto'aru'. 
GEN.5.13	Ee'noko temare'keta Maaleli' ponto'aru'namare'keta deto Kenan ˜beenaumo-taa daaku' bera karenaumo kivora [840] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' nkoariru', donkaang ee'noko maniku'. 
GEN.5.14	Ookara mare' Kenan otou'ning naro'ka ˜karenaumo-taa daaku' bera kivora [910] deemparama bou'.
GEN.5.15	Tenang tee Maaleli' ˜narung-taa kivora bera pa'noko' [65] mare' deemparako bauring narung Jerete' ponto'aru'. 
GEN.5.16	Temare'keta Jerete' ponto'aru'namare'keta deto Maaleli' ˜beenaumo-taa daaku' bera beenaumo kivora [830] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' ponto'ariru', donkaang ee'noko maniku'. 
GEN.5.17	Ee'noko ookara mare' Maaleli' otou'ning naro'ka ˜beenaumo-taa daaku' bera ˜karenaumo-taa ee'noko pa'noko' [895] deemparama boo'paru'.
GEN.5.18	Teketa Jerete' mare' narung daaku'keta ˜narung-taa kivora bera kenaanka [162] deemparako bauring Iinoke ponto'aru'. 
GEN.5.19	Temare'keta Iinoke ponto'aru'namare'keta deto Jerete' ˜beenaumo-taa daaku' [800] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' ponto'ariru', donkaang ee'noko maniku'. 
GEN.5.20	Ee'noko Jerete' ookara mare' naro'ka ˜karenaumo-taa daaku' bera ˜narung-taa kivora-ita kenaanka [962] otora bou'.
GEN.5.21	Tenang Iinoke mare' ˜narung-taa kivora-eta pa'noko' [65] deemparako bauring Metusela' ponto'aru'. 
GEN.5.22	Ee'noko temare'keta Metusela' ponto'aru'namare'keta Iinoke beenaumo daaku' [300] mare' otou', Kumponing ninka nari' tampa' navuaresi, ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' ponto'ariru', donkaang ee'noko maniku'. 
GEN.5.23	Ookara mare' Iinoke otou'ning naro'ka beenaumo daaku' bera ˜narung-taa kivora-ita pa'noko' [365]. 
GEN.5.24	Iinoke tee Kumponing ninka tampa' navuareko'noo'koo Kumponinge nkavuio' napo' nantoonge ooaavaruu'. 
GEN.5.25	Teketa Metusela' mare' narung daaku' bera ˜beenaumo-taa kivora ee'noko ˜kenaanka-taa [187] deemparako bauring Leemeki' ponto'aru'. 
GEN.5.26	Temare'keta Leemeki' ponto'aru'namare'keta ˜kenaanka-taa daaku' bera ˜beenaumo-taa kivora-ita kenaanka [782] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' nkoariru', donkaang ee'noko maniku'. 
GEN.5.27	Ookara mare' Metusela' otou'ning naro'ka ˜karenaumo-taa daaku' bera ˜narung-taa kivora-ita napo' ˜karenaumo-taa [969] deemparama boo'paru'.
GEN.5.28	Tenang napo' tee Leemeki' mare' narung daaku' bera ˜beenaumo-taa kivora-ita kenaanka [182] deemparako bauring narung ponto'aru'. 
GEN.5.29	Ee'noko miring Nooa'
GEN.5.30	Temare'keta Nooa' ponto'aru'namare'keta Leemeki' pa'noko' daaku' bera ˜karenaumo-taa kivora-ita pa'noko' [595] mare' otou', ee'noko teing-koo mare'koo kuunge napo' nii'ning baurukaa' ponto'ariru', donkaang ee'noko maniku'. 
GEN.5.31	Ookara mare' Leemeki' otou'ning naro'ka ˜kenaanka-taa daaku' bera ˜kenaanka-taa kivora-ita ˜kenaanka-taa [777] deemparama boo'paru'.
GEN.5.32	Ee'noko Nooa' mare' pa'noko' daaku' [500] tamung otora baurukaa' beenaumo ponto'ariru' aa'ning Siemi', Aam ee'noko Jepat.
MAT.1.1	Aung ane' tee Jiisuu' Karistoo' bakanarempo'koong mirinanka otoing, tee ee'nung Deevita' bakanaving-koong, tee Deevita' napo' tee Eebaraami' bakanaving-koong.
MAT.1.2	Eebaraami' tee Aisake' bauma.
MAT.1.2	Aisake' napo' tee Jeekopi' bauma.
MAT.1.2	Jeekopi' tee Juda bauma batatakaampi ee'noko baara'mainkaang ninka nari'.
MAT.1.3	Juda tee Peeresi namainta Siira beuma. Beuko teni Teemaa.
MAT.1.3	Peeresi tee Eesirong bauma.
MAT.1.3	Eesirong napo' tee Arami' bauma.
MAT.1.4	Arami' tee Aminadapi' bauma.
MAT.1.4	Aminadapi' tee Naasoni bauma.
MAT.1.4	Naasoni tee Salamong bauma.
MAT.1.5	Salamong tee Booasi bauma, bauko teni Reeap.
MAT.1.5	Booasi tee Oobete' bauma, teie bauko teni Rut.
MAT.1.5	Oobete' tee Jeese' bauma. Ee'noko
