GEN.1.2	Erd vikîvala û bêşikil bû, tariyê kûrahî rapêçabû. Ruhê Xwedê li ser rûyê avê digeriya.
GEN.1.28	Xwedê ew pîroz kirin û ji wan re got: «Zêde û berdar bin, erdê dagirin û bixin bin serweriya xwe. Bibin serwerên masiyên deryayan, teyrên ezmanan û hemû afirîdên ku dişêlin.» 
GEN.1.29	Piştre Xwedê got: «Ez hemû giya û şînahiyên ku li ser rûyê erdê ber didin û her dara fêkiyan didim we ku tovê wê di berê wê de ye. Wê ev ji we re bibin xwarin. 
GEN.1.30	Ez ji bo hemû heywanên kovî, teyrên ezmanan û afirîdên ku dişêlin –ji bo her tiştê ku hilma jiyanê pê re ye– ez hemû şînahiyan ji bo xwarinê didim.» Wisa jî çêbû. 
GEN.1.31	Xwedê hemû tiştên çêkiribûn dîtin ku qenc e. Bû êvar û bû sibe, ev roja şeşan bû.
GEN.2.1	Erd û ezman bi hemû nexşên xwe temam bûn. 
GEN.2.3	Xwedê roja heftan bereket kir û ew wek rojeke pîroz kifş kir. Çimkî Xwedê di wê rojê de ji hemû karê afirandinê bêhna xwe veda.
GEN.2.4	Serpêhatiya afirandina erd û ezman ev e: Gava ku Xudan Xwedê erd û ezman afirandin, 
GEN.2.5	hê li erdê tu şitlekî çolê tunebû û tu giyayekî çolê şîn nebûbû. Çimkî Xudan Xwedê hê baran bi ser erdê ve nebarandibû û mirovê ku erdê bajo jî tunebû. 
GEN.2.6	Lê ji erdê hilm radibû û tevahiya rûyê erdê av dida. 
GEN.2.7	Xudan Xwedê Adem ji axa erdê çêkir û hilma jiyanê pif kir pozê wî. Bi vî awayî Adem bû canê jîndar.
GEN.2.8	Xudan Xwedê li rojhilat, li Adenê bexçeyek çand û Ademê ku şikil dabûyê danî wê derê. 
GEN.2.9	Xudan Xwedê ji axê cûr bi cûr darên spehî û xweşfêkî gihandin. Di navenda bexçe de dara jiyanê û dara zanîna qencî û xerabiyê jî hebû.
GEN.2.10	Çemek ji Adenê dertê, bexçe av dide, li wir ji hev vediqete û dibe çar mil. 
GEN.2.11	Navê çemê pêşî Pîşon e. Ew bi tevahiya herêma Hawîlayê ve diherike ku li wir zêr heye. 
GEN.2.12	Zêrê vê herêmê qenc e û li vir şîrêz û onîks jî hene. 
GEN.2.13	Navê çemê diduyan Gîhon e û ev jî fetlometlo ber bi erdê Kûşê
GEN.2.14	Navê çemê sisiyan Dîcle ye û ber bi rojhilatê Aşûrê ve diherike. Çemê çaran jî Firat e.
GEN.2.15	Xudan Xwedê Adem hilda û li nav Bexçê Adenê danî ku li wê derê bixebite û hay ji bexçe hebe. 
GEN.2.16	Xudan Xwedê li Adem emir kir û got: «Tu dikarî ji her dara bexçe bixwî, 
GEN.2.17	lê ji dara zanîna qencî û xerabiyê nexwe. Çimkî gava tu jê bixwî, bêguman tê bimirî.»
GEN.2.18	Xudan Xwedê got: «Ne baş e ku Adem tenê bimîne, ezê alîkarek lêhatî jê re çêkim.» 
GEN.2.19	Xudan Xwedê tevahiya heywanên erdê û teyrên ezmanan ji axê çêkir. Wî hemû anîn ba Adem da ku bibîne, wê çi navî li wan bike. Adem bi çi navî bangî afirîdên jîndar kir, ew bû navê wan. 
GEN.2.20	Adem nav li hemû heywanên kedî, heywanên kovî û teyrên ezmanan danî. Lê ji bo Adem alîkarek lêhatî nehat dîtin.
GEN.2.21	Xudan Xwedê kir ku Adem bikeve xeweke giran. Hê di xewê bû, wî parsûyekî wî derxist û goşt xist cihê wî. 
GEN.2.22	Xudan Xwedê ji wî parsûyê ku ji bedena Adem derxistibû, jinekê çêkir da Adem. 
GEN.2.23	Adem got:
GEN.2.23	«Niha ev hestî ji hestiyê min,
GEN.2.23	Goşt ji goştê min e.
GEN.2.23	Wê ji wê re ‹Jin›
GEN.2.23	Çimkî ew ji mêr hat girtin.»
GEN.2.25	Adem û jina xwe, herdu jî tazî bûn û şerm nedikirin.
GEN.3.2	Jinê ji marî re got: «Em dikarin ji fêkiyên darên li bexçê bixwin; 
GEN.3.3	lê Xwedê got: ‹Divê ku hûn ji fêkiyê dara li navenda bexçê nexwin û dest nedinê yan na hûnê bimirin.›»
GEN.3.4	Mar ji jinê re got: «Hûn qet namirin. 
GEN.3.5	Çimkî Xwedê dizane gava ku hûn ji wê bixwin, wê çavên we vebin, hûnê bibin wek Xwedê û bi qencî û xerabiyê bizanin.»
GEN.3.7	Li ser vê yekê çavên herduyan jî vebûn û fêm kirin ku tazî ne. Loma pelên hêjîran bi hev ve dirûtin û xwe nixamtin.
GEN.3.8	Bihîstin ku Xudan Xwedê, di hênikahiya rojê de, di nav bexçe de digere. Adem û jina xwe, ji ber Xudan Xwedê, xwe di nav darên bexçe de veşartin. 
GEN.3.9	Lê Xudan Xwedê gazî Adem kir û got: «Tu li ku derê yî?»
GEN.3.10	Adem got: «Min li bexçe tu bihîstî û ez tirsiyam, çimkî ez tazî bûm û min xwe veşart.»
GEN.3.11	Xudan Xwedê got: «Kê ji te re got ku tu tazî yî? Ma te ji wê dara ku min ji te re gotibû: ‹Jê nexwe› xwar?»
GEN.3.12	Adem got: «Wê jinika ku te dabû min, fêkiyek ji wê darê da min û min jî xwar.»
GEN.3.13	Jinikê lê vegerand û got: «Mar ez xapandim, loma min xwar.»
GEN.3.14	Li ser vê yekê Xudan Xwedê ji marî re got:
GEN.3.14	«Ji ber ku te ev yek kir,
GEN.3.14	Wê di nava hemû heywanên kedî û kovî de,
GEN.3.14	Yê herî bi nalet tu bî.
GEN.3.14	Tê li ser zikê xwe bişêlî,
GEN.3.14	Di hemû rojên jiyana xwe de axê bixwî.
GEN.3.15	Nav ziriyeta te û ya wê.
GEN.3.15	Ewê serê te biperçiqîne,
GEN.3.15	Tê jî êrîşî pehniya wî bikî.»
GEN.3.16	Xudan Xwedê ji jinikê re got:
GEN.3.16	«Gava zarokanînê ezê êşa te gelekî zêde bikim
GEN.3.16	Û bi êş tê zarokê xwe bînî.
GEN.3.16	Wê hewcedariya te ji mêrê te re hebe
GEN.3.16	Lê ewê serwerê te be.»
GEN.3.17	«Ji ber ku te guhdariya jina xwe kir
GEN.3.17	Û ji wê dara ku min ji te re gotibû,
GEN.3.17	‹Divê tu nexwî›, te xwar,
GEN.3.17	Ax ji rûyê te bi nalet bû.
GEN.3.17	Tê di hemû rojên jiyana xwe de
GEN.3.17	Bi zehmetî jê bixwî.
GEN.3.18	Wê ax stirî û diriyan bide te.
GEN.3.18	Tê giyayên çolê bixwî.
GEN.3.19	Tê nanê xwe, bi xwêdana eniya xwe bixwî.
GEN.3.19	Heta ku tu bizivirî wê axa tu jê hatî çêkirin.
GEN.3.19	Çimkî tu ax î û tê bizivirî axê.»
GEN.3.20	Adem navê jina xwe Hawa
GEN.3.21	Xudan Xwedê ji Adem û jina wî re kincên çermîn çêkirin û li wan kir. 
GEN.3.22	 Piştre Xudan Xwedê got: «Niha Adem bû yekî mîna me, çimkî êdî bi qencî û xerabiyê dizane. Divê niha ji bo wî destûr neyê dayîn ku destê xwe dirêjî fêkiyê dara jiyanê bike, jê bixwe û her û her bijî.» 
GEN.3.23	Bi vî awayî Xudan Xwedê Adem ji Bexçê Adenê derxist, da ku, axa ku jê hatibû çêkirin, bajo. 
GEN.3.24	Piştî ku wî berî Adem da, ji bo parastina riya dara jiyanê wî li aliyê rojhilatê Bexçê Adenê xerûb û şûrekî agiravêj ê ku bi her aliyî ve dizivire bi cih kirin.
GEN.4.1	Adem çû ba jina xwe Hawa. Ew bi zaro ma û Qayîn jê re çêbû. Hawa got: «Bi alîkariya Xudan min kurek anî.» 
GEN.4.2	Wê piştre birayê wî Habîl anî dinyayê. Habîl bû şivanê pez, Qayîn bû cotkar. 
GEN.4.3	Piştî demekê, Qayîn ji hatina dexla axê hinek anî û pêşkêşî Xudan kir. 
GEN.4.4	Habîl jî ji nûberên keriyê xwe yên qelew anî. Xudan Habîl û pêşkêşiya wî qebûl kir. 
GEN.4.5	Lê Qayîn û pêşkêşiya wî red kir. Qayîn gelek hêrs bû û rûyê xwe tirş kir.
GEN.4.6	Xudan ji Qayîn re got: «Tu çima hêrs bûyî û te çima rûyê xwe tirş kir? 
GEN.4.7	Heger tu ya rast bikî, ma ezê te qebûl nekim? Lê heger tu ya rast nekî, guneh li ber deriyê te, di kozikê de li benda te ye. Lê divê tu bi ser guneh bikevî.»
GEN.4.9	Xudan ji Qayîn pirsî: «Ka birayê te Habîl li ku ye?»
GEN.4.9	Qayîn got: «Ez nizanim, ma ez nobedarê birayê xwe me?»
GEN.4.11	Niha tu ji aliyê axê ve bûyî naletî. Ew axa ku devê xwe vekir û xwîna birayê te ji destê te qebûl kir. 
GEN.4.12	Axa ku tu dajoyî, wê ji niha û pêve ber nede te. Tê li ser rûyê erdê bibî bêwar û eware.»
GEN.4.13	Qayîn ji Xudan re got: «Cezayê min bi qasî ku nayê hilgirtin giran e. 
GEN.4.14	Îro tu ji vê axê berî min didî. Êdî ezê ji hizûra te dûr bikevim û li rûyê erdê bibim bêwar û eware. Kî min bibîne, wê min bikuje.»
GEN.4.15	Li ser vê yekê Xudan jê re got: «Kî te bikuje, wê heft caran tol jê bê standin.» Piştre Xudan nîşanek bi Qayîn ve danî ku kes wî nekuje. 
GEN.4.16	Qayîn ji hizûra Xudan derket û çû li rojhilatê Bexçê Adenê, li herêma Nodê
GEN.4.17	Qayîn çû ba jina xwe, jina wî bi zaro ma û Henox anî. Wê gavê Qayîn bajarek ava dikir. Wî navê kurê xwe Henox li bajêr kir. 
GEN.4.18	Ji Henox re Îrad çêbû. Îrad bû bavê Mehûyaêl, Mehûyaêl bû bavê Metûşaêl û Metûşaêl jî bû bavê Lamex. 
GEN.4.19	Lamex du jin ji xwe re anîn; navê yekê Eda û navê ya din Sîlla bû. 
GEN.4.20	Ji Edayê re Yaval çêbû. Ew bavkalê wan kesan bû ku di konan de rûdiniştin û xwediyê keriyan bûn. 
GEN.4.21	Navê birayê wî Yûval bû. Ew bavkalê wan kesan bû ku li çengê û li bilûrê dixistin. 
GEN.4.22	Ji Sîllayê re Tûval-Qayîn çêbû. Tûval-Qayîn tûnc û hesin dikutan û aletên cûr bi cûr çêdikirin. Naema, xwişka Tûval-Qayîn bû.
GEN.4.23	Lamex ji jinên xwe re got:
GEN.4.23	«Ya Eda û Sîlla, guhdariya min bikin;
GEN.4.23	Ya jinên Lamex, guhên xwe bidin peyvên min.
GEN.4.23	Ji ber ku wî ez birîndar kirim, min zilamekî kuşt,
GEN.4.23	Zilamekî ciwan ê ku ez êşandim.
GEN.4.24	Heger heft caran tola Qayîn bê standin,
GEN.4.24	Wê heftê û heft caran tola Lamex bê standin.»
GEN.4.25	Adem dîsa çû ba jina xwe; wê kurek anî û navê wî Şêt
GEN.4.26	Kurekî Şêt jî çêbû û wî navê Enoş lê kir.
GEN.4.26	Gazîkirin û hildana navê Xudan wê demê destpê kir.
GEN.5.2	 Wî ew nêr û mê afirandin û pîroz kirin. Roja ku wî ew afirandin, wî navê wan «Mirov» danî. 
GEN.5.3	Gava ku Adem sed û sî salî bû, kurekî wî yê mîna wî û di sûretê wî de çêbû. Wî navê wî Şêt danî. 
GEN.5.4	Piştî bûyîna Şêt, Adem heşt sed salên din ma û kur û keçên wî yên din çêbûn. 
GEN.5.5	Adem bi tevahî neh sed û sî sal kir û mir.
GEN.5.6	Gava ku Şêt sed û pênc salî bû kurê wî Enoş çêbû. 
GEN.5.7	Piştî ku Şêt bû bavê Enoş, ew heşt sed û heft salên din ma û kur û keçên wî yên din çêbûn. 
GEN.5.8	Şêt bi tevahî neh sed û diwanzdeh sal kir û mir.
GEN.5.9	Gava ku Enoş nod salî bû, kurê wî Qênan çêbû. 
GEN.5.10	Piştî ku Enoş bû bavê Qênan, ew heşt sed û panzdeh sal ma û kur û keçên wî yên din çêbûn. 
GEN.5.11	Enoş bi tevahî neh sed û pênc sal kir û mir.
GEN.5.12	Gava ku Qênan heftê salî bû, kurê wî Mahalalêl çêbû. 
GEN.5.13	Piştî ku Qênan bû bavê Mahalalêl, ew heşt sed û çil sal ma û kur û keçên wî yên din çêbûn. 
GEN.5.14	Qênan bi tevahî neh sed û deh sal kir û mir.
GEN.5.15	Gava ku Mahalalêl şêst û pênc salî bû, kurê wî Yered çêbû. 
GEN.5.16	Piştî ku Mahalalêl bû bavê Yered, ew heşt sed û sî sal ma û bû bavê kur û keçên din. 
GEN.5.17	Mahalalêl bi tevahî heşt sed û nod û pênc sal kir û mir.
GEN.5.18	Gava ku Yered sed û şêst û du salî bû, kurê wî Henox çêbû. 
GEN.5.19	Piştî ku Yered bû bavê Henox, ew heşt sed sal ma û kur û keçên wî yên din çêbûn. 
GEN.5.20	Yered bi tevahî neh sed û şêst û du sal kir û mir.
GEN.5.22	Piştî ku Henox bû bavê Metûşelah, Henox sê sed sal bi Xwedê re meşiya, kur û keçên wî yên din çêbûn. 
GEN.5.23	Henox bi tevahî sê sed û şêst û pênc sal kir. 
GEN.5.24	Henox bi Xwedê re diçû û êdî nehat dîtin, çimkî Xwedê ew hilda ba xwe.
GEN.5.25	Gava ku Metûşelah sed û heştê û heft salî bû, kurê wî Lamex çêbû. 
GEN.5.26	Piştî ku Metûşelah bû bavê Lamex, ew heft sed û heştê û du sal ma û kur û keçên wî yên din çêbûn. 
GEN.5.27	Metûşelah bi tevahî neh sed û şêst û neh sal kir û mir.
GEN.5.28	Gava ku Lamex sed û heştê û du salî bû, kurekî wî çêbû. 
GEN.5.29	Wî navê wî Nûh
GEN.5.30	Piştî ku Lamex bû bavê Nûh, ew pênc sed û nod û pênc sal ma û bû bavê kur û keçên din. 
GEN.5.31	Lamex bi tevahî heft sed û heftê û heft sal kir û mir.
GEN.5.32	Gava ku Nûh pênc sed sal kir, ew bû bavê Sam, Ham û Yefet.
GEN.6.1	Gava ku mirov li ser rûyê erdê zêde bûn û keçên wan çêbûn, 
GEN.6.2	hebûnên ezmanî
GEN.6.3	Xudan got: «Wê Ruhê min her û her bi mirov re nemîne, çimkî ew xwîn û goşt e û wê jiyana wî sed û bîst sal be.» 
GEN.6.4	Di wan rojan de û piştre jî, dema ku hebûnên ezmanî keçên mirovan ji xwe re anîn û zarokên wan çêbûn, Nefîlî
GEN.6.6	Xudan ji afirandina mirovan poşman bû û dilê wî êşiya. 
GEN.6.7	Xudan got: «Ezê mirovên ku min afirandine, heywan, afirîdên ku bi erdê ve dişêlin û teyrên ezmanan ji ser rûyê erdê rakim. Çimkî ez li afirandina wan poşman bûm.» 
GEN.6.8	Lê dilê Xudan bi Nûh xweş bû.
GEN.6.10	Sê kurên Nûh hebûn: Sam, Ham û Yefet.
GEN.6.11	Di çavê Xwedê de dinya xera bûbû û bi zordariyê tije bûbû. 
GEN.6.12	Xwedê dît ku dinya çawa xera bûye, hemû mirovên li ser rûyê erdê ji rê derketibûn.
GEN.6.13	Xwedê ji Nûh re got: «Ezê dawiya hemû mirovan bînim. Çimkî ji rûyê wan ve zordarî zêde bû. Ezê tevî wan, rûyê erdê jî wêran bikim. 
GEN.6.14	Tu ji dara goferê
GEN.6.15	Divê tu gemiyê bi vî awayî çêkî: Wê dirêjahiya wê sê sed
GEN.6.16	Banê gemiyê jî çêke û bi qasî gazekî
GEN.6.17	Va ye, ezê li ser rûyê erdê tofanê rakim û hemû yên ku di bin ezmanan de dijîn û hilma jiyanê bi wan re heye tune bikim. Wê her bedena li ser rûyê erdê helak bibe. 
GEN.6.18	Lê ezê bi te re peymanekê çêkim. Tu bi kurên xwe, bi jina xwe û bi bûkên xwe re li gemiyê siwar bibe. 
GEN.6.19	Ji bo ku bi te re sax bimînin, tu ji her cureyê jîndaran cotekî, yek nêr, yek mê, bi xwe re bixe gemiyê. 
GEN.6.20	Wê ji her cureyê teyr, heywan û afirîdên ku bi erdê ve dişêlin cotek bên ba te, da ku sax bimînin. 
GEN.6.21	Ji bo te û wan bibe qût, ji her cure xwarinê bi xwe re bibe nav gemiyê.»
GEN.7.1	Piştre Xudan ji Nûh re got: «Tu û hemû mala xwe bikevin gemiyê, çimkî di nav vî nifşî de min tu rast dîtî. 
GEN.7.2	Ji hemû heywanên ku helal in heft cot nêr û mê, ji yên heram cotek nêr û mê 
GEN.7.3	û ji her cure teyrên ezmanan heft cot nêr û mê hilde ku hebûna xwe li ser rûyê erdê berdewam bikin. 
GEN.7.4	Çimkî piştî heft rojan, ezê çil roj û çil şevan baranê bibarînim û hemû jîndarên ku min çêkirine, ji rûyê erdê rakim.» 
GEN.7.5	Nûh her tiştê ku Xudan lê emir kiribû bi cih anî.
GEN.7.6	Gava ku ava tofanê li ser erdê rabû, Nûh şeş sed salî bû. 
GEN.7.7	 Nûh bi kurên xwe, bi jina xwe û bi bûkên xwe re ket gemiyê ku ji tofanê rizgar bibin. 
GEN.7.8	Cotên heywanên helal û heram, cotên teyran û cotên hemû afirîdên ku bi erdê ve dişêlin, 
GEN.7.9	cot bi cot nêr û mê hatin ba Nûh û ketin gemiyê, çawa ku Xwedê li Nûh emir kiribû. 
GEN.7.10	Piştî heft rojan tofan rabû.
GEN.7.12	Çil roj û çil şev baran bariya.
GEN.7.13	Wê rojê Nûh bi kurên xwe Sam, Ham û Yefet, bi jina xwe û bi her sê bûkên xwe re ket gemiyê. 
GEN.7.14	Bi wan re li gorî cureyên xwe hemû heywanên kovî, hemû heywanên kedî, hemû afirîdên ku bi erdê ve dişêlin û her cure teyr ketin gemiyê. 
GEN.7.15	Ji hemû yên ku hilma jiyanê bi wan re hebûn, cot bi cot hatin ba Nûh û ketin gemiyê. 
GEN.7.16	Heywanên ku ketin gemiyê, wek ku Xwedê li Nûh emir kiribû, ji her cureyê jîndaran nêr û mê bûn. Piştre Xudan derî li wî girt.
GEN.7.17	Tofan çil rojan berdewam kir. Av gelekî zêde bû û gemî ji erdê bilind kir. 
GEN.7.18	Her ku diçû av zêdetir dibû, gemî bi ser avê ket. 
GEN.7.19	Av ewqas bilind bû ku hemû çiyayên di bin baskê ezmanan de nixamtin. 
GEN.7.20	Av panzdeh gaz
GEN.7.21	Hemû jîndarên li ser rûyê erdê helak bûn; teyr, heywanên kedî, heywanên çolê, heywanên dişêlin û hemû mirov. 
GEN.7.22	Hemû yên ku hilma jiyanê di pozê wan de hebû, li ser rûyê erdê mirin. 
GEN.7.23	Ji mirovan bigire heta heywanan, ji heywanan bigire heta afirîdên ku dişêlin û ji wan jî bigire heta teyrên ezmanan. Tenê Nûh û yên bi wî re siwarê gemiyê bibûn, rizgar bûn. 
GEN.7.24	Av sed û pêncî rojan li ser erdê ma.
GEN.8.1	Paşê Xwedê Nûh û hemû heywanên kedî û kovî yên ku bi wî re di gemiyê de bûn bi bîr anî, bi ser rûyê erdê ve ba rakir û av nizim bû. 
GEN.8.2	Kaniyên kûrahiyê û qelşên ezmanan hatin girtin. Baran sekinî. 
GEN.8.3	Hêdî hêdî av ji rûyê erdê kişiya û piştî sed û pêncî rojan av kêm bû. 
GEN.8.4	Di roja hivdehê meha heftan de gemî li ser çiyayên Araratê rûnişt. 
GEN.8.5	Heta meha dehan her ku diçû av kêm bû. Di roja pêşî ya meha dehan de serê çiyayan hat dîtin.
GEN.8.6	Piştî çil rojî Nûh kuleka ku di gemiyê de çêkiribû vekir û 
GEN.8.7	qijaka reş berda derve. Heta ku av ziwa bû qijak vir ve û wê ve firiya. 
GEN.8.8	Piştre Nûh kevok berda ku bibîne av kişiyaye yan na. 
GEN.8.9	Lê kevokê cihekî ku lê deyne nedît, çimkî av hê jî gelek bû. Kevok vegeriya ba Nûh. Wî kevok hilda û anî ba xwe. 
GEN.8.10	Nûh heft rojên din jî sekinî û careke din kevok berda. 
GEN.8.11	Êvarê kevok zivirî, pelekî zeytûna ter di nav nikulê xwe de anî. Nûh fêm kir ku av ji ser rûyê erdê kişiyaye. 
GEN.8.12	Heft rojên din sekinî û dîsa kevok şand. Lê vê carê kevok venegeriya.
GEN.8.13	Gava Nûh şeş sed û yeksalî bû, di roja pêşî ya meha pêşî de, av kişiya û nema. Nûh banê gemiyê vekir û dît ku erd ziwa bûye. 
GEN.8.14	Di roja bîst û heftê meha diduyan de, erd bi tevahî ziwa bû.
GEN.8.15	Xwedê ji Nûh re got: 
GEN.8.16	«Tu bi jina xwe, kurên xwe û bûkên xwe re ji gemiyê derkeve. 
GEN.8.17	Bi xwe re ji her cureyê jîndaran, teyr, heywan û hemû afirîdên dişêlin derxe derve ku ew li dinyayê belav bibin, zêde û berdar bibin.»
GEN.8.18	Nûh bi jina xwe, kurên xwe û bûkên xwe re ji gemiyê derket. 
GEN.8.19	Hemû heywan, hemû afirîdên dişêlin û hemû teyr li gorî cureyên xwe ji gemiyê derketin.
GEN.8.20	Nûh ji bo Xudan gorîgehek çêkir û ji hemû heywan û teyrên paqij, qurbanên şewitandinê pêşkêş kirin. 
GEN.8.21	Xudan bi bêhna xweş a qurbanên şewitandî kêfxweş bû û got: «Bi ser ku meyla dilê mirov ji zaroktiyê ve bi ser xerabiyê ve ye, êdî ezê careke din ji ber mirovan vê axê nalet nekim. Wek ku min îcar kir, êdî ezê careke din her jîndarî tune nekim.
GEN.8.22	«Heta ku dinya hebe,
GEN.8.22	Wê çandinî û dirûn,
GEN.8.22	Sarî û germî,
GEN.8.22	Havîn û zivistan,
GEN.8.22	Şev û roj hebe.»
GEN.9.2	Wê hemû heywanên erdê û teyrên ezmanan ji we bitirsin û bibizdin. Min hemû afirîdên bi erdê ve dişêlin û masiyên deryayan kirin bin destê we. 
GEN.9.3	Hemû afirîdên jîndar ên dilivin, wê bibin xwarina we. Wek giyayên şîn ên ku min dabûn we, niha ez her tiştî didim we.
GEN.9.5	Xwîna we birije, ezê li heqê we bigerim. Ezê heqê we, ji her heywanî û ji her mirovî, ji yê ku xwîna birayê xwe dirijîne bixwazim.
GEN.9.6	Wê bi destê mirovan xwîna wî bê rijandin.
GEN.9.6	Çimkî Xwedê mirovan di sûretê xwe de çêkir.
GEN.9.7	Zêde bin û li ser erdê belav bin.»
GEN.9.8	Xwedê ji Nûh û kurên wî re got: 
GEN.9.9	«Ez peymana xwe bi we re, bi ziriyeta li pey we re çêdikim.» 
GEN.9.10	Lê zêde kir û got: «Min vê peymanê bi hemû jîndarên bi we re, çi teyr, çi heywanên kedî û kovî, hemû yên ku bi we re ji gemiyê derketin û bi hemû afirîdên jîndar ên ku li ser rûyê erdê dijîn re girê da. 
GEN.9.11	Peymana min a bi we re ev e: Wê êdî bi tofanê hemû jîndar tune nebin û wê careke din tofanek çênebe ku rûyê erdê helak dike.»
GEN.9.12	Xwedê got: «Nîşana peymana ku ez ji bo her û her bi we re û bi hemû jîndaran re girê didim ev e: 
GEN.9.13	Min keskesora xwe kir nav ewran û ewê di nav min û erdê de bibe nîşana vê peymanê. 
GEN.9.14	Gava ku ez ewran bînim ser erdê û keskesor di nav ewran re derkeve, 
GEN.9.15	ezê peymana ku min bi we re û bi her cureyê jîndaran re çêkiriye, bi bîr bînim. Wê êdî careke din tofan ranebe ku jîndaran tune neke. 
GEN.9.16	Her cara ku keskesor derkeve, ezê wê bibînim û wê peymana herheyî ya ku di nav Xwedê û her cureyê jîndarên li ser erdê de hatiye danîn, bibîr bînim.»
GEN.9.17	Di dawiyê de Xwedê ji Nûh re got: «Nîşana peymana min ev e ku min bi hemû jîndaran re girê daye.»
GEN.9.18	Kurên Nûh ên ku ji gemiyê derketin, Sam, Ham û Yefet bûn. Ham bavê Kenan bû. 
GEN.9.19	Ev her sê kurên Nûh bûn û hemû mirovên li ser rûyê erdê ji wan zêde bûn.
GEN.9.20	Nûh cotkar bû û rezê pêşî wî danî. 
GEN.9.21	Wî hinek şerab vexwar, serxweş bû û tazî di konê de vezeliya. 
GEN.9.22	Ham bavê Kenan bû. Wî bavê xwe tazî dît û ji herdu birayên xwe re got ku li derve bûn. 
GEN.9.23	Sam û Yefet cilek hilda, avêt ser milên xwe, berepaş çûn kon û bavê xwe yê tazî nixamtin. Pişta wan li bavê wan bû û wan tazîtiya wî nedît. 
GEN.9.24	Gava ji serxweşiya şerabê hişê Nûh hat serê wî, wî fêm kir ku kurê wî yê biçûk ji bo wî çi kiriye. 
GEN.9.25	Nûh got:
GEN.9.25	«Nalet li Kenan be,
GEN.9.25	Ji birayên xwe re bibe koleyê koleyan.»
GEN.9.26	Bi ser de wî got:
GEN.9.26	«Pîroz be Xudan Xwedayê Sam.
GEN.9.26	Kenan jê re bibe xulam.
GEN.9.27	Xwedê cihê Yefet
GEN.9.27	Û bila ew di konê Sam de bijî.
GEN.9.27	Kenan jê re bibe xulam.»
GEN.9.28	Piştî tofanê Nûh sê sed û pêncî sal ma. 
GEN.9.29	Nûh bi tevahî neh sed û pêncî sal kir û mir.
GEN.10.1	Qeyda ziriyetên kurên Nûh Sam, Ham û Yefet ku piştî tofanê kurên wan çêbûn, ev e:
GEN.10.2	Kurên Yefet: Gomer, Magog, Meday, Yewan, Tûval, Meşex û Tîras. 
