GEN.1.1	Mbere na mbere Imana yaremye ijuru n'isi. 
GEN.4.25	Adamu arongera atwika umugore we inda, abyara umuhungu amwita Seti ati “Ni uko Imana inshumbushije urundi rubyaro mu cyimbo cya Abeli, kuko Kayini yamwishe.” 
GEN.4.26	Na Seti abyara umuhungu amwita Enoshi, icyo gihe abantu batangira kwambaza izina ry'Uwiteka.
GEN.5.2	 umugabo n'umugore ni ko yabaremye, ibaha umugisha ibita Umuntu, ku munsi baremeweho. 
GEN.5.3	Kandi Adamu yamaze imyaka ijana na mirongo itatu avutse, abyara umuhungu ufite ishusho ye, usa na we, amwita Seti. 
GEN.5.4	Amaze kubyara Seti, Adamu arongera amara imyaka magana inani, ayibyaramo abahungu n'abakobwa. 
GEN.5.5	Iminsi yose Adamu yaramye ni imyaka magana urwenda na mirongo itatu, arapfa.
GEN.5.6	Seti yamaze imyaka ijana n'itanu avutse abyara Enoshi. 
GEN.5.7	Amaze kubyara Enoshi, Seti arongera amara imyaka magana inani n'irindwi, ayibyaramo abahungu n'abakobwa. 
GEN.5.8	Iminsi yose Seti yaramye ni imyaka magana urwenda na cumi n'ibiri, arapfa.
GEN.5.9	Enoshi yamaze imyaka mirongo urwenda avutse abyara Kenani, 
GEN.5.10	amaze kubyara Kenani, Enoshi arongera amara imyaka magana inani na cumi n'itanu, ayibyaramo abahungu n'abakobwa. 
GEN.5.11	Iminsi yose Enoshi yaramye ni imyaka magana urwenda n'itanu, arapfa.
GEN.5.12	Kenani yamaze imyaka mirongo irindwi avutse abyara Mahalalēli. 
GEN.5.13	Amaze kubyara Mahalalēli, Kenani arongera amara imyaka magana inani na mirongo ine, ayibyaramo abahungu n'abakobwa. 
GEN.5.14	Iminsi yose Kenani yaramye ni imyaka magana urwenda na cumi, arapfa.
GEN.5.15	Mahalalēli yamaze imyaka mirongo itandatu n'itanu avutse abyara Yeredi. 
GEN.5.16	Amaze kubyara Yeredi, Mahalalēli arongera amara imyaka magana inani na mirongo itatu, ayibyaramo abahungu n'abakobwa. 
GEN.5.17	Iminsi yose Mahalalēli yaramye ni imyaka magana inani na mirongo urwenda n'itanu, arapfa.
GEN.5.18	Yeredi yamaze imyaka ijana na mirongo itandatu n'ibiri avutse abyara Henoki. 
GEN.5.19	Amaze kubyara Henoki, Yeredi arongera amara imyaka magana inani, ayibyaramo abahungu n'abakobwa. 
GEN.5.20	Iminsi yose Yeredi yaramye ni imyaka magana urwenda na mirongo itandatu n'ibiri, arapfa.
GEN.5.21	Henoki yamaze imyaka mirongo itandatu n'itanu avutse abyara Metusela. 
GEN.5.22	Amaze kubyara Metusela, Henoki agendana n'Imana imyaka magana atatu, ayibyaramo abahungu n'abakobwa. 
GEN.5.23	Iminsi yose Henoki yaramye ni imyaka magana atatu na mirongo itandatu n'itanu. 
GEN.5.24	 Kandi Henoki yagendanaga n'Imana, ntiyaboneka, kuko Imana yamwimuye.
GEN.5.25	Metusela yamaze imyaka ijana na mirongo inani n'irindwi avutse abyara Lameki. 
GEN.5.26	Amaze kubyara Lameki, Metusela arongera amara imyaka magana arindwi na mirongo inani n'ibiri, ayibyaramo abahungu n'abakobwa. 
GEN.5.27	Iminsi yose Metusela yaramye ni imyaka magana urwenda na mirongo itandatu n'icyenda, arapfa.
GEN.5.28	Lameki yamaze imyaka ijana na mirongo inani n'ibiri avutse, abyara umuhungu. 
GEN.5.29	Amwita Nowa ati “Uyu azatumara umubabaro w'umurimo wacu n'uw'umuruho w'amaboko yacu, uva mu butaka Uwiteka yavumye.” 
GEN.5.30	Amaze kubyara Nowa, Lameki arongera amara imyaka magana atanu na mirongo urwenda n'itanu, ayibyaramo abahungu n'abakobwa. 
GEN.5.31	Iminsi yose Lameki yaramye ni imyaka magana arindwi na mirongo irindwi n'irindwi, arapfa.
GEN.5.32	Nowa yamaze imyaka magana atanu avutse, abyara Shemu na Hamu na Yafeti.
GEN.6.2	abana b'Imana bareba abakobwa b'abantu ari beza, barongoramo abo batoranyije bose. 
GEN.6.3	Uwiteka aravuga ati “Umwuka wanjye ntazahora aruhanya n'abantu iteka ryose, kuko ari abantu b'umubiri. Nuko rero iminsi yabo izaba imyaka ijana na makumyabiri.” 
GEN.6.4	 Muri iyo minsi abantu barebare banini bari mu isi, no mu gihe cyo hanyuma, abana b'Imana bamaze kurongora abakobwa b'abantu babyarana na bo abana, ari bo za ntwari za kera zari ibirangirire.
GEN.6.6	Uwiteka yicuza yuko yaremye abantu mu isi, bimutera agahinda mu mutima. 
GEN.6.7	Uwiteka aravuga ati “Nzarimbura abantu naremye, mbatsembe mu isi uhereye ku muntu n'inyamaswa n'amatungo n'ibikururuka n'inyoni n'ibisiga byo mu kirere, kuko nicujije yuko nabiremye.” 
GEN.6.8	Ariko Nowa agirira umugisha ku Uwiteka.
GEN.6.10	Kandi yabyaye abahungu batatu, Shemu na Hamu na Yafeti. 
GEN.6.11	Kandi isi yari yononekaye mu maso y'Imana, yuzuye urugomo. 
GEN.6.12	Imana ireba isi, ibona yuko yononekaye, kuko abafite umubiri bose bari bononnye ingeso zabo mu isi.
GEN.6.13	Imana ibwira Nowa iti “Iherezo ry'abafite umubiri bose rije mu maso yanjye, kuko isi yuzuye urugomo ku bwabo, dore nzabarimburana n'isi. 
GEN.6.14	Nuko rero wibārize inkuge mu giti cyitwa goferu, ugabanyemo ibyumba, uyihome ubushishi imbere n'inyuma. 
GEN.6.15	Uyibāze utya: uburebure bw'umurambararo bw'iyo nkuge bube mikono magana atatu, ubugari bwayo bube mikono mirongo itanu, uburebure bw'igihagararo bwayo bube mikono mirongo itatu. 
GEN.6.16	Kandi uzacemo idirishya, rizaba irya mukono umwe nuyirangiza hejuru, umuryango w'inkuge uzawushyire mu rubavu rwayo. Uzayishyiremo amazu, iyo hasi n'iya kabiri hejuru yayo n'iya gatatu. 
GEN.6.17	Nanjye dore nzazana umwuzūre w'amazi mu isi, urimbure ibifite umubiri byose, birimo umwuka w'ubugingo, ubitsembe hasi y'ijuru, ibiri mu isi byose bipfe. 
GEN.6.18	Ariko nzakomeza isezerano ryanjye nawe, uzinjirane muri iyo nkuge n'abana bawe n'umugore wawe n'abakazana bawe. 
GEN.6.19	Kandi mu moko yose y'ibibaho bifite umubiri byose, uzinjize muri iyo nkuge bibiri bibiri, ngo ubirokorane nawe, bizaba ikigabo n'ikigore. 
GEN.6.20	Mu nyoni no mu bisiga nk'uko amoko yabyo ari, no mu matungo nk'uko amoko yayo ari, no mu bikururuka hasi byose nk'uko amoko yabyo ari, bibiri by'amoko yose bizaze aho uri, kugira ngo ubirokore. 
GEN.6.21	Kandi uzijyanire mu biribwa byose, ubyihunikire bizabe ibyo kubatungana n'ibyo muri kumwe.” 
GEN.6.22	 Nowa agenza atyo, ibyo Imana yamutegetse byose aba ari byo akora.
GEN.7.1	Uwiteka abwira Nowa ati “Injirana mu nkuge n'abo mu nzu yawe mwese, kuko ari wowe nabonye ukiranuka mu maso yanjye muri iki gihe. 
GEN.7.2	Mu matungo yose no mu nyamaswa zose zitazira, ujyanemo birindwi birindwi, ibigabo n'ibigore, no mu nyamaswa zizira, ujyanemo ebyiri ebyiri, ingabo n'ingore, 
GEN.7.3	no mu nyoni n'ibisiga byo mu kirere, ujyanemo birindwi birindwi, ibigabo n'ibigore, kugira ngo urubyaro rwabyo ruzarokoke rube mu isi yose. 
GEN.7.4	Kuko iminsi irindwi nishira, nzashyanisha imvura mu isi, iminsi mirongo ine ku manywa na nijoro, nkarimbura ibifite ubugingo naremye byose, nkabitsemba mu isi.” 
GEN.7.5	Nowa akora byose, uko Uwiteka yabimutegetse.
GEN.7.6	Ubwo umwuzūre w'amazi wabaga ku isi, Nowa yari amaze imyaka magana atandatu avutse. 
GEN.7.7	 Nowa yinjirana muri iyo nkuge n'abana be n'umugore we n'abakazana be, ngo aticwa n'amazi y'umwuzūre. 
GEN.7.8	Mu matungo, no mu nyamaswa zitazira, no mu zizira, no mu nyoni n'ibisiga, no mu bikururuka hasi byose, 
GEN.7.9	bibiri bibiri birinjira bisanga Nowa mu nkuge, ikigabo n'ikigore, uko Imana yamutegetse. 
GEN.7.10	Maze iyo minsi irindwi ishize, amazi y'umwuzūre asandara mu isi.
GEN.7.12	Imvura imara iminsi mirongo ine igwa mu isi, ku manywa na nijoro. 
GEN.7.13	Kuri uwo munsi Nowa yinjirana muri ya nkuge na Shemu na Hamu na Yafeti abana be, n'umugore we, n'abakazana be, uko ari batatu. 
GEN.7.14	Binjiranamo n'inyamaswa zose nk'uko amoko yazo ari, n'amatungo yose nk'uko amoko yayo ari, n'ibikururuka hasi byose nk'uko amoko yabyo ari, n'ibisiga byose nk'uko amoko yabyo ari, n'inyoni zose n'ibifite amababa byose. 
GEN.7.15	Birinjira bisanga Nowa mu nkuge, bibiri bibiri mu bifite umubiri byose birimo umwuka w'ubugingo. 
GEN.7.16	Ibyinjiye byari ikigabo n'ikigore byo mu bifite umubiri byose, uko Imana yamutegetse. Uwiteka amukingiraniramo.
GEN.7.17	Umwuzure umara mu isi iminsi mirongo ine, amazi aragwira aterura ya nkuge, ishyirwa hejuru y'isi. 
GEN.7.18	Amazi arakwira cyane arushaho kugwira cyane mu isi, ya nkuge ireremba ku mazi. 
GEN.7.19	Amazi arushaho gukwira cyane mu isi, imisozi miremire yose yo munsi y'ijuru ryose irarengerwa. 
GEN.7.20	Amazi agera mu kirere hejuru nka mikono cumi n'itanu, imisozi irarengerwa. 
GEN.7.21	Ibifite umubiri byose byigenza ku isi birapfa, uhereye ku nyoni n'ibisiga, n'amatungo n'inyamaswa, n'ibikururuka hasi byose n'abantu bose. 
GEN.7.22	Ibifite umwuka w'ubugingo mu mazuru byose, ibiri ku butaka byose, birapfa. 
GEN.7.23	Ibifite ubugingo byose biri ku butaka birarimbuka, uhereye ku bantu n'amatungo, n'ibikururuka n'inyoni n'ibisiga byo mu kirere, bitsembwa mu isi. Nowa wenyine arokokana n'ibyo yari kumwe na byo muri ya nkuge. 
GEN.7.24	Amazi amara iminsi ijana na mirongo itanu agikwiriye cyane mu isi.
GEN.8.1	Imana yibuka Nowa n'ibifite ubugingo byose n'amatungo yose byari kumwe na we mu nkuge, Imana izana umuyaga ku isi amazi atangira gukama. 
GEN.8.2	Amasōko y'ikuzimu araziba, imigomero yo mu ijuru iragomerwa, imvura iva mu ijuru iricwa. 
GEN.8.3	Amazi asubirayo, ava ku butaka ubudasiba, ya minsi ijana na mirongo itanu ishize, amazi aragabanuka. 
GEN.8.4	Mu kwezi kwa karindwi, ku munsi wako wa cumi n'irindwi, ya nkuge ihagarara ku misozi ya Ararati. 
GEN.8.5	Amazi agabanuka ubudasiba ageza ku kwezi kwa cumi, mu kwezi kwa cumi ku munsi wako wa mbere, impinga z'imisozi ziraboneka.
GEN.8.6	Iminsi mirongo ine ishize, Nowa akingura idirishya ryo mu nkuge yabājije, 
GEN.8.7	yohereza igikona, kirajarajara, kugeza aho amazi yakamiye ku isi. 
GEN.8.8	Maze yohereza inuma kugira ngo amenye yuko amazi agabanutse ku isi. 
GEN.8.9	Maze ntiyabona aho ishinga ikirenge cyayo imugarukaho ku nkuge, kuko amazi yari akiri ku isi yose, ayisingiriza ukuboko arayenda, ayisubiza mu nkuge. 
GEN.8.10	Asiba iminsi irindwi, yongera kohereza iyo numa kuva mu nkuge, 
GEN.8.11	igaruka aho ari nimugoroba, ifite ikibabi kibisi cy'umunzenze mu kanwa kayo, icyo yakuye ku giti. Bituma Nowa amenya yuko amazi agabanutse ku isi. 
GEN.8.12	Asiba indi minsi irindwi, yohereza ya numa, ntiyasubira kumugarukaho.
GEN.8.13	Mu mwaka wa magana atandatu n'umwe, mu kwezi kwa mbere, ku munsi wako wa mbere, amazi akama mu isi. Nowa akuraho igipfundikiye ya nkuge, arareba, abona ubutaka bwumye. 
GEN.8.14	Mu kwezi kwa kabiri, ku munsi wako wa makumyabiri n'irindwi, isi iruma.
GEN.8.15	Imana ibwira Nowa iti 
GEN.8.16	“Sohokana mu nkuge n'umugore wawe n'abana bawe n'abakazana bawe. 
GEN.8.17	Kandi usohokane ibibaho byose muri kumwe, byo mu bifite umubiri byose, inyoni n'ibisiga n'amatungo n'ibikururuka hasi byose, kugira ngo bibyarire mu isi cyane byororoke bigwire mu isi.” 
GEN.8.18	Nowa asohokana n'abana be n'umugore we n'abakazana be, 
GEN.8.19	amatungo yose n'inyamaswa zose n'ibikururuka byose, n'inyoni zose n'ibisiga byose, ibyigenza ku isi byose nk'uko amoko yabyo ari, bisohoka muri ya nkuge.
GEN.8.20	Nowa yubakira Uwiteka igicaniro, atoranya mu matungo yose no mu nyamaswa zose zitazira no mu nyoni n'ibisiga bitazira, atambira kuri icyo gicaniro ibitambo byoswa. 
GEN.8.21	Uwiteka ahumurirwa n'umubabwe, Uwiteka aribwira ati “Sinzongera ukundi kuvuma ubutaka ku bw'abantu, kuko gutekereza kw'imitima y'abantu ari kubi, uhereye mu bwana bwabo, kandi sinzongera kwica ibifite ubugingo byose nk'uko nakoze. 
GEN.8.22	Isi ikiriho, ibiba n'isarura, n'imbeho n'ubushyuhe, n'impeshyi n'urugaryi, n'amanywa n'ijoro, ntibizashira.”
GEN.9.2	Inyamaswa zo mu isi zose n'inyoni n'ibisiga byo mu kirere byose bizabagirira ubwoba, bizabatinya. Murabihawe byo n'ibyuzuye ku butaka byose, n'amafi yo mu nyanja yose. 
GEN.9.3	Ibyigenza byose bifite ubugingo bizaba ibyokurya byanyu, mbibahaye byose nk'uko nabahaye ibimera bibisi. 
GEN.9.4	 Ariko ntimukaryane inyama n'ubugingo bwayo, ni bwo maraso yayo. 15.23 
GEN.9.5	Kandi amaraso yanyu, amaraso y'ubugingo bwanyu, sinzabura kuyahorera. Nzayahorera inyamaswa zose kandi umuntu na we nzamuhorera ubugingo bw'umuntu, nzabuhorera undi muntu wese. 
GEN.9.6	 Uvushije amaraso y'umuntu, amaraso ye azavushwa n'abantu, kuko Imana yaremye umuntu afite ishusho yayo.
GEN.9.8	Imana ibwirana Nowa n'abana be iti 
GEN.9.9	“Ubwanjye nkomeje isezerano ryanjye namwe n'urubyaro rwanyu ruzakurikiraho, 
