MAT.1.1	Aganay sləm aŋa azla­baba madzi­dziga aŋa Yesu Kristu, bəzi aŋa David, bəzi aŋa Abəraham. 
MAT.3.7	Ama mok uwana Yuhana anəŋà azla Farisəya la azla Sadu­kiya aŋuvaw tatsà à waŋ à slaka aŋha kà maɗa­hatàŋ batem kà, agòɗ à atà: “Maham à ahəŋ aŋa matsapa: uwa apə̀h à akul kà kadàtəfaw à seriya aŋa Zəzagəla uwana la gay ala, adàsa à waŋ aw uwa? 
MAT.3.8	Lagwa kapəhawla sləray aŋkul uwana ala, apəhla ala kà kada­sakaw à sləray aŋkul uwana uwarà kaɗa­hà­hàwwàŋ. 
MAT.3.9	Ŋgaha kà kadzugwaw kà mats zlapay la gəl aŋkul: ‘Abəraham kà baba gami madzi­dziga’, kagodaw aw. Haɗay, gəpəh à akul kà, Zəzagəla aslala vok apak azlaakur ala kà mayyi à tsəh ala aŋa Abəraham. 
MAT.3.10	Lagwa kà, goslka kà maɗehəŋ à ahəŋ gà nekwa kà mahərats la tsəh à ahàf à afik. Kəla ahàf uwana av mayyay delga aw, agay manats à ahəŋ gà ŋgaha maduw à akàl à tsəh. 
MAT.3.11	Gi kà, gəɗa­ha­kulla batem kà la iyaw, kà mapəhla ala kà kadapəhaw gay la ləv ala pəra. Ama dza uwana adàs à waŋ la lig gulo la ahəŋ kà adà­ɗa­ha­kulla batem kà la Masasəɗok Zəzagəla, ŋgaha la akàl. Masla kà, aɗuwa gi la maslay ndzer, gi kà, gəsla kà mapaləŋ ala amiyaka bà zuwiɗ kwimik aŋha babay aw. 
MAT.3.12	Kətsaw maduw hi aŋha la ahàl kà maduwla hi kà mavàh hi ala la tafàr. Hi kà atsàk à vəɗa aŋha à abà, ama tafàr kà aduwal à akàl uwana à tsəh adà­ma­tsila la abà aw.”
MAT.3.13	Kiya uwaga Yesu atsìzlla ala la gudəŋ Galili asà à Urdun à slaka Yuhana kà maɗa­halla batem. 
MAT.3.14	Ama gəl akàɗ à Yuhana à vok, agòɗal: “Gi la uwana gənuəkuɗa aŋa batem la slaka aŋak aya kà pəra, katsà à slaka gulo kà maɗàh à ka batem aya ay?” 
MAT.3.15	Ama Yesu awulàlla: “Kə̀s, apakà vok kiya uwanay dadàŋ, kà uwana kiya uwanay la uwana məhənaw uwana ala Zəzagəla apə̀h à anu ala la uwana anàv anu gesina.” 
MAT.3.16	La lig la ahəŋ aɗa­hàlla batem. Uwana Yesu adasa à uda la iyaw la abà kà, zagəla apə̀zlla à ama ala, anəŋà Masasəɗok aŋa Zəzagəla atsà à ahəŋ, adzà à gəl aŋha bokuba haba­koku. 
MAT.3.17	Ŋgaha kiya uwaga aya, kuda atsə̀n à ahəŋ la zagəla la afik: “Dza uwanay kà bəzi gay ləv gulo, gəf marabay gulo la madzugway gulo kà à masla à afik”, agòɗ. 
MAT.4.1	Kiya uwaga Masasəɗok Zəzagəla adàla Yesu à fəta à abà kà seteni aŋa mapa­patay. 
MAT.4.2	Mok uwana Yesu adaɗàh mavakay dzik ufaɗ, la mahənay dzik ufaɗ kà, may akə̀s masla. 
MAT.4.3	Kiya uwaga seteni azà vok à slaka aŋha la magoɗal: “Baŋa kak Kona aŋa Zəzagəla ndzer kà, ‘Pàk kaf!’, gòɗ à akur uwanay.” 
MAT.4.4	Yesu awùlla à uda: “Uwaga kà matse­tse­rayga:
MAT.4.4	ˈDza adzadzar vok kà la kaf pəra aw, ama la kəla gay gesina uwana atsa à waŋ la paŋaw aŋa Zəzagəla la awtày.ˈ” 
MAT.4.5	Kiya uwaga seteni adàla masla à Uru­sa­lima, à gudəŋ tsi­ɗa­ŋaga à abà, adàla à gəl aŋa məŋ gày Zəzagəla à afik, 
MAT.4.6	agòɗal: “Baŋa kak Kona aŋa Zəzagəla ndzer kà: Vàl à ahəŋ la abanay, kà uwana uwaga kà matse­tse­rayga:
MAT.4.6	ˈ‘Dàw!’, Zəzagəla adàgoɗ à azla­ma­lika aŋha lakəl aŋak kà mazlak ka
MAT.4.6	Ŋgaha tadàkəs ka la matsaw ka kà, kà akur aŋa mazləl ka asik aw.ˈ” 
MAT.4.7	Yesu awulàlla: “Tatsetsèr à wakità à abà la slaka anik babay kà:
MAT.4.7	ˈKa­pa­pata Sufəl Zəzagəla aŋak aw.ˈ”
MAT.4.8	La lig la ahəŋ seteni adàla à gəl gudəŋ matsəka­ka­ɗayga à afik aya, apə̀halla makoray aŋa gudəŋ à vok gesina la mazləɓay aŋha. 
MAT.4.9	“Gədàvà à ka uwaga gesina, à baŋa kakəɗeɗ à gi à ahəŋ kasləkaw gi”, agòɗal.
MAT.4.10	Yesu agòɗal: “Zà vok, kak seteni! Haɗay, tatsetsèr à wakità Zəzagəla à abà kà:
MAT.4.10	ˈZlə̀ɓà Sufəl Zəzagəla aŋak, ŋgaha ɗàhalla sləray kà masla kokuɗa gəl aŋha pəra.ˈ”
MAT.4.11	La abatà seteni asàkal à ahəŋ. Azla­ma­lika tasà à waŋ à slaka Yesu kà mazla­kəŋ.
MAT.4.12	Mok uwana Yesu atsənàŋ tadùw Yuhana à daŋay kà, atsìzlla ala, adà aŋha à Galili. 
MAT.4.13	Asàk à madz à ahəŋ la Nazaret, ahàd kà madz à ahəŋ la Kaper­nahum, gudəŋ uwana la gay dərəv aŋa Galili, la makoray aŋa Zabulon la Neftali la abà. 
MAT.4.14	Apakà vok kiya uwaga kà, kà gay aŋa masla mapəhal gay à ahàl Yesayya aŋa magəɗ à afik:
MAT.4.15	ˈKutso aŋa Zabulon la aŋa Neftali,
MAT.4.15	Uwana la gay mukwà, la kutso uwana la dərəv à uda anik aŋa mukwà Urdun,
MAT.4.15	Ŋgaha la Galili uwana azladza uwana azla Yahu­diya aw, tadz à ahəŋ la abà.
MAT.4.16	Tsəhay uwana adz à ahəŋ la mələs la abà,
MAT.4.16	Adànəŋ magol uɗaka.
MAT.4.16	Azla­uwana tadz à ahəŋ la dzəgay aŋa mamətsay la abà bay,
MAT.4.16	Uɗaka adàpəhatàla vok.ˈ
MAT.4.17	Dagay la kaslà uwatà, Yesu adzəkà mapəh gay Zəzagəla, agòɗ à atà: “Pə̀hàw gay la ləv ala kà uwana makoray aŋha kà nekwa.”
MAT.4.18	Mok uwana Yesu augu­zahay la gay mukwà aŋa Galili kà, anəŋà Səmon uwana tazallala Piyer atà la deda aŋha Andəre, uwana tadàw dzarawa aŋatà à iyaw à abà; kà uwana atà azlaməna makas kilfi. 
MAT.4.19	Yesu agòɗ à atà: “Nəfàw gi, ŋgaha gədàpakakulla kà azlaməna makas azladza.” 
MAT.4.20	Katskats tasàk à dzarawa aŋatà à ahəŋ ŋgaha tanəfà masla.
MAT.4.21	Adà à huma à gay kərkər zwek, tanəŋà Yakuba atà la Yuhana deda aŋha, azla­kona aŋa Zebede. Tagà la kəslah iyaw aŋatà la afik la baba aŋatà Zebede, taɗàh dzarawa aŋatà, Yesu azàl atà. 
MAT.4.22	La katskats tasàk à kəslah iyaw aŋatà à ahəŋ la baba aŋatà gà, tanəfà Yesu.
MAT.4.23	Yesu auguzàh la kutso Galili gesina, ata­pàhla azladza la azlagày madəv kuɗa la aku, azahà à ata gay marabəŋ lakəl aŋa makoray Zəzagəla, ŋgaha awarà azladza ala la azlatsəhay ɗuvats anik anik, la azla­deri gesina. 
MAT.4.24	Azladza tatsənàŋ tapəhay lakəl aŋha la makoray aŋa Səriya gesina, ŋgaha tasàhla azlaməna ɗuvats anik anik à waŋ gesina uwana tas ŋgərpa, la azla­ma­sasəɗok mawi­siga, la azla­deri ŋgaha awarà atà ala. 
MAT.4.25	Maham à ahəŋ dza aŋuvaw anəfà masla, tasà à waŋ la kutso Galili, la makoray aŋa gudəŋ kulo, la Uru­sa­lima, la Yahu­diya ŋgaha la gay makwi aŋa dərəv à uda aŋa mukwà Urdun.
MAT.5.1	Mok uwana Yesu anəŋà maham à ahəŋ dza uwaga, ahàd à gudəŋ à afik adzà madzay la abatà, azlaməna matapla aŋha tasà à waŋ à slaka aŋha. 
MAT.5.2	Ŋgaha Yesu adzəkà matapatàla la kiya uwanay:
MAT.5.3	“Marabay agay la azladza uwana tasəl la gəl aŋatà kà azlaməna kuɗa, kà uwana makoray Zəzagəla kà aŋatà!
MAT.5.4	Marabay agay la azla­uwana atà la mazaw la gəl la abà, kà uwana Zəzagəla adàtasl à atà gay à ahəŋ!
MAT.5.5	Marabay agay la azla­uwana azlatələmma, kà uwana tadàɓəz kutso uwana Zəzagəla apə̀hà ahəŋ!
MAT.5.6	Marabay agay la azla­uwana tawoya madz à ahəŋ bokuba uwana asa à Zəzagəla, kà uwana Zəzagəla adà­hatàŋ lela!
MAT.5.7	Marabay agay la azla­uwana vok aham à atà kà azladza anik, kà uwana vok adàham à Zəzagəla kà atà suwaŋ!
MAT.5.8	Marabay agay la azla­uwana azla­sətaka la ləv aŋatà la tsəh, kà uwana tadànəŋ Zəzagəla!
MAT.5.9	Marabay agay la azla­uwana tatsala lapiya à tataka aŋatà à abà, kà uwana Zəzagəla adàzal atà ala azlabəza aŋha!
MAT.5.10	Marabay agay la azla­uwana tatərəɓ atà, kà uwana taɗehəŋ kà uwana asà à Zəzagəla, makoray Zəzagəla kà adàgay kà aŋatà ndzer!
MAT.5.11	Marabay agay la akul, à baŋa azladza tatsək à akul mago­ɗahay à gəl, takal akul gay à vok, tapəh à akul azla­ma­wi­siga à vok gesina babay, kà uwana akul azlaməna matapla la slaka gulo.
MAT.5.12	Vàlàhàw à zagəla, ràbàw kà uwana masik məŋga akud akul la zagəla. La kità bay tatərə̀ɓàhàŋ azlaməna mapəh à atà gay à ahàl kà mapàh à azladza, uwana tadzà à ahəŋ uwarà.”
MAT.5.13	“Akul la uwana akul azla­slugul aŋa gudəŋ à vok. Ama baŋa slugul azlaɗay aya aw ma, la mana tazla­ɗəŋ ala aya ma? Akəsà vok aya aw, say mafətəkw ala pəra, ŋgaha azladza tamələŋ à tsəh.”
MAT.5.14	“Akul la uwana akul azlau­ɗaka aŋa gudəŋ à vok. Huɗ gudəŋ uwana maŋal à gəl gudəŋ à afik gà, kà ahàɗ vok à ahəŋ aw. 
MAT.5.15	Tavàts fənəs aŋa maf à tsəh tasà aw, ama tafay kà à slaka masərət fənəs à ahəŋ, kà mav uɗaka à azladza gesina, uwana la kay uwaga. 
MAT.5.16	Kiya uwaga la uwana uɗaka aŋkul auɗay la huma aŋa azladza gudəŋ à vok kəla suwaŋ, kà azladza gudəŋ à vok aŋa manəŋ sləray aŋkul kà delga, ŋgaha atà tadà­zləɓ Baba aŋkul uwana la zagəla la afik.”
MAT.5.17	“Kadzugwaw kà gəsà à waŋ kà maslàh mapəhay aŋa Musa ala, ŋgaha la mapàhla ala aŋa azlaməna mapəh à atà gay à ahàl kagoɗaw aw, ama gəsà à waŋ kà, kà masəla godega aŋha à uda pəra ndzer. 
MAT.5.18	Haɗay, gəpəh à akul la dziriga: Tsəràh à uwana zagəla la kutso adàdəv à gay, amiyaka bà bəzi manəhay aŋa mapəhay uwanay adàkəɗ vok aw, ŋgaha tsəràh à makəɗ gəl à ahəŋ aŋa tatak gesina. 
MAT.5.19	Kà uwaga kəla dza uwana apəsew bəzi manəhay aŋa mapəhay uwaga, ŋgaha atapla azladza anik kà maɗehəŋ kiya aŋha kà, masla kà adàgay bəzi gà la makoray Zəzagəla. Ama dza uwana akəs mapəhay uwaga, ŋgaha atapla azladza kà maɗehəŋ kiya aŋha kà, masla kà adàgay məŋga la makoray Zəzagəla. 
MAT.5.20	Ndzer, gəgoɗ à akul: Baŋa dziriga aŋkul aɗuw aŋa azlaməna mapàhla wakità seriya ala, ŋgaha la azla Farisəya aw kà, kadaw à makoray Zəzagəla aw.”
MAT.5.21	“Katsənàw uwana tapàh à azla­baba aŋkul madzi­dziga: ‘Kakəɗ dza aw, dza uwana akəɗ dza kà tadala à huma seriya.’
MAT.5.22	Ama gi gəgoɗ à akul kà: Kəla uwa­be­yuwi uwana apàk ləv lakəl aŋa deda aŋha kà, ad à huma seriya. Dza uwana: ‘Kak bada’, agoɗ à deda aŋha kà, tadala à huma seriya aŋa azla­ma­siga. Dza uwana: ‘Kak kusoŋu’, agoɗ à deda aŋha kà, azlayla vok ad à akàl à abà. 
MAT.5.23	Lagwa kà, baŋa kadzəka makəɗ tatak à Zəzagəla, ŋgaha awul à ka à gəl kà gay la ahəŋ la tataka aŋkul la abà la deda aŋak kà, 
MAT.5.24	sàk à tatak aŋak à ahəŋ la abatà, hàd, katsənà vok gay la deda aŋak dadàŋ, ŋgaha baŋa gay adadəv à gay kà, wùl à waŋ, kakəɗ tatak aŋak à Zəzagəla adagay zla!”
MAT.5.25	“Baŋa dza apuwà à ka gudzi à gəl, pəra kahamàw à tetəvi à ama kà mad à seriya kà, mərà vok kà akul aŋa matsən vok gay la mok uwana akul la tetəvi la ama dadàŋ, kà masla aŋa maf ka à ahàl aŋa masla seriya aw, ŋgaha babay kà masla seriya aŋa maf ka à azla­slodzi à ahàl, ŋgaha atà aŋa maduw ka à daŋay aw. 
MAT.5.26	La dziriga gəgoɗ à ka, tetuwa kadàsa à uda la abatà aw say baŋa kadà­tse­tsekwah azla­ka­lamay aŋak à waŋ gesina dadàŋ.”
MAT.5.27	“Katsənàwwàŋ bokuba uwana apəhà vok kà: ‘Kada à gəl gaw aw.’
MAT.5.28	Ama gi kà, gəgoɗ à akul kà: Kəla dza uwana anə̀ŋ à mis aŋa dza anik à adi la makəɗal à adi vok la ləv aŋha la tsəh kà, adadà à gəl gaw. 
MAT.5.29	Baŋa kà yewdi ahàl kaf aŋak la uwana katəɗ à tsakana à abà kà, ɓə̀ɗ à adi ala, məl ala kərkər, kà uwana ŋuləm kà manəbay vok aŋak tekula azà ala, kà kak aŋa mad à gày akàl à abà la vok aŋak gesina. 
MAT.5.30	Iyay, baŋa ahàl kaf aŋak la uwana apapat ka à tsakana à abà kà, nàts à vok ala, ŋuləm kà aŋak kà manəbay vok aŋak tekula azà ala, à kà vok aŋak gesina aŋa mad à gày akàl à abà.”
MAT.5.31	“Apəhà vok aya babay kà: ‘Dza uwana akudək mis aŋha kà, say avàl wakità aŋa mavàh vok ala à ahàl dadàŋ.’
MAT.5.32	Ama gi kà, gəgoɗ à akul kà: Kəla uwa­be­yuwi uwana akudək mis aŋha, uwala aɓə̀zal à gəl la mazaɓ zil la tsəh aw kà, masla à zil uwaga kà adada à gəl gaw, à baŋa azəɓ mis anik, ŋgaha dza uwana azəɓ mis makuɗəkay gà babay kà, adàda à gel gaw, suwaŋ.”
MAT.5.33	“Bà gotənaŋ katsənàwwàŋ tapə̀h à azla­baba gami madzi­dziga babay kà: ‘Kazuw mawaɗay la fida aw, ama hənà mawaɗay aŋak ala kà la Sufəl Zəzagəla la afik pəra.’ 
MAT.5.34	Ama gi kà, gəgoɗ à akul kà: Kazuwaw mawaɗay aw! Kazuwaw mawaɗay baməraka la zagəla aw, kà uwana uwaga kà kursi aŋa Sufəl Zəzagəla. 
MAT.5.35	Baməraka la kutso aw, kà uwana uwaga kà slaka maf asik à ahəŋ aŋha, adagay la Uru­sa­lima bay aw, kà uwana uwaga kà məŋ gudəŋ aŋa Sufəl.
MAT.5.36	Kazuw mawaɗay la gəl aŋak aw, kà uwana kaslala vok, kà mapak aŋidz gəl aŋak tekula ala kà me­ɗe­kuga, baŋaw kà marsiga aw. 
MAT.5.37	Ama gòɗàw pəra kà: ‘Iyay’, baŋaw ‘Awaŋ’, kà uwana kəla tatak uwana dza aziŋ à uwaga à gəl kà, aguwa à uda kà la slaka masla mawi­siga.”
MAT.5.38	“Katsənàwwàŋ bokuba uwana apəhà vok kà: ‘Yewdi mapəlay la yewdi, sliɗ bay mapəlay la sliɗ.’
MAT.5.39	Ama gi kà, gəgoɗ à akul kà: Kawulawla mawi­siga à dza uwana asal maɗa­ha­kulla mawi­siga à vok aw. Baŋa dza aɓə̀k à ka ahàl à paŋaw ahàl kaf kà, gòlla paŋaw ahàl gudzay à awtày aya. 
MAT.5.40	Baŋa dza akəl à ka gay à vok, kà mazəɓ tsempa aŋak kà, sàkal azəɓ dawara gà aya babay. 
MAT.5.41	Baŋa dza afa à ka gasa à gəl kà mazəɓal tatak maha­nayga, kà mazəɓalaŋ dahoy pəlis tekula kà, dàlla mahoy pəlis səla. 
MAT.5.42	Và à dza uwana anav à ka tatak; kagola lig à dza uwana à gay asal makəl goder la slaka aŋak aw!”
MAT.5.43	“Katsənàwwàŋ bokuba uwana apəhà vok kà: ‘Wòyà masla magay aŋak ŋgaha pəsèw masla məzam aŋak.’
MAT.5.44	Ama gi kà, gəgoɗ à akul kà: Wòyàwwàŋ azlaməna məzam aŋkul, də̀vàw kuɗa kà aŋa azladza uwana tatərəɓ akul. 
