MAT.1.1	Hehakaho Jesu Keriso oni amuhija vejajina. Jesuho Teviti 'ee Eparahami puni amuja.
MAT.2.13	'E'eme Natohwi jihuni ona oji'ini roe Josapi navahi ijá 'wama A iviamaa 'urine Hariha 'u'uakaho apene 'ee oaha aheme aseha Ijipiti va'amana. 'Enareje ijí hi'eje Nara kú'o 'warava henareje iji'a 'unama ro'amana. Ijihuni maijaho Herotira Hariha 'u'ua kaji 'ana'i 'ahau'ukamare'e sa'iro venukúnina 'wamana. 
MAT.2.14	'Ejume ijí na'ia kajiano hu 'urine Hariha 'u'ua kajaho apene 'ee oaha aheme Ijipiti va'ana. 
MAT.2.15	'Enarena pu ijino Ijipiti hi'eme Heroti kwamana. 'Ejumakame Natohwijara nitama poropeti ijá 'waramana
MAT.2.15	Nuni Hariha Ijipiti vaji Nara Hu 'umejuta 'iamana.
MAT.2.16	'E'eme Heroti hina ajihana ea hami hami vwihaji'inijija hua pisiviara'e henarena niho'o ajivume ea 'aho'a irechamie ijá 'iama Va'e Petirihemi kasima ka'ene mai'o juara no'ohe'i papa'areji'inijihi 'aniha 'iavume va'ara. Ea ka'ene hua pisimiajipo 'waravume henaja'ina'e va'ara. 
MAT.2.17	Ikaho nitama poropeti Jeramaiara 'waramajara roe nimai renana. Hu ika'ina 'waramana.
MAT.2.18	'Ejume pu Rama vaji he'eju'e virisia veji'i niramarume 'ee eahura ni'ima'ura ve'eju'e Recheru harihwapumu venana vo ea 'ahopo hu oja somahuna areria pana 'wamana.
MAT.2.19	'E'ejume iji'a Heroti kwavumakavi'i Natohwi jihuni ona oji'inijara roe ijí Ijipiti Josapi navahi ijá 'wama 
MAT.2.20	Ea ka'ene ike Hariha 'u'uake 'ana'i venajaho nikwamanakúne a kú'o 'urine Hariha 'u'uakaho apene 'ee oaha aheme 'unama Isureri va'amana 'wamana. 
MAT.2.21	'Ejume hu 'urine ijí Hariha 'u'ua kajaho apene oaha aheme Isureri va'ara. 
MAT.2.22	'Enakaivo Akireasira Heroti ka'ene huni omijihuni tinia apene Jutia 'ajohuma henarena Josapiho jumana. 'Ejume Godira navahi ijá 'wama Karari va'a 'wavume hu ijí Karari va'ana. 
MAT.2.23	'Enarena hu va'e ara iha Nasareti hinana. Hu ijá venajihuni maijaho poropetiepo raka ka'ene 'waravajija nimai re'avarono avanana. Pu ika'ina 'waravara Hu Nasareti ora 'wahuna 'iavara.
MAT.3.1	Ijí vea kajino Joni Papitisita Jutia puni nechi'i riri ea Godoni vu'a najaha roana. 
MAT.3.2	Hu ijá 'waramana Ta'aroha joni sisea amairie arira renama. Godoni arijihuni 'unama niroe tu'u renukúnina 'iamana. 
MAT.3.3	Poropeti Aisea 'wavujara Hu rone ika'ina 'waramana
MAT.3.3	Hu nechi'i riri namine ijá 'umenu Natohwi jihuni 'unama amairie Huni 'unamijija arira re'avara 'umenu 'wamana.
MAT.3.4	'Enakaivo Joni oni atehijija kameru huni sapasi vejara'omo hu ijí same 'ee huni 'aha mu'oi charia apúsame 'ee huni 'irumijaho pújúha 'ee aneura rihiji'i inuna. 
MAT.3.5	'E'eme ijihuni vea kajino ea ka'ene Jerusaremi ora 'ee Jutia ora 'ee eaka mapoka ka'ene Jotani rori hiju kajija ni'aha kwino huni roara. 
MAT.3.6	'Enareja pu puni sisea vwihane nahama Godi 'wara'i kaivo aremamaa arevajihuna'e hu pu Jotani 'unirame toi samana. 
MAT.3.7	'E'eme Hu kivume Parasia 'ee Sajusia hura toi sama'amarono rouma kimarena hu pu ijá 'iama Ja tapara ka'ene sisesa jihipuni harihija joni eha sisea ni'ima'ura ka'ene túna'i roujaho irara ja 'waravukame ja juhame iki roajivare? 
MAT.3.8	'Ina rukina re'avara. Joni 'unama sahasijaho ta'arohareje niare'i kaivo ea maiu'ina re'avara. 
MAT.3.9	Ja vwiha ika'ina pavwiha'avara. Nú Eparahami oni harihija'omo nú areri rena hiju paro'avara kaivo Godira areri veje ike muna ikihipo Eparahami oni harihija rehuna. Ijihuna'e nú areri rena hiju paro'avara. 
MAT.3.10	Iviamai taupa icha aneji namuna'omo icha kajija 'ina maa pare'avajaho 'umareje 'uhue veni ato'aruhuna. 
MAT.3.11	Na ja toa vaji samaume 'urijajihuni maijaho ja joni sisea vwihane temukavume nahama Godi 'wara'ika'i aremama arevaji najaharejo ijihuna'e toa vaji samauta kaivo Ea ka'ene nuni túna'i roujara Godoni 'Avena 'ee haruriji'i samahuna. Na Hu Hu'úmo areria pana 'ee nara Huni mumora hwana jahenahuna areria pana. 
MAT.3.12	'Enakaivo icha ka'ene 'witia aruma sirikuvujaho Huni ija tahi namuna'omo Hura 'witia mutuuri ruhijijino mutuareje maijaho niana'ika'i siseijijahija vena ka'ene pautaruti sa'ika'i namujiano ato'aruhuna.
MAT.3.13	Jesuho Karari rene roe Jotani Jonira apene toi apúsama'amarono roana. 
MAT.3.14	'Enakaivo Joni rarene ijá 'wama Ara na toi apúsami'amajaho areri re'ena. 'Ú nara A toa vaji apúsama'urono roane? 'wamana. 
MAT.3.15	'Ejume Jesura eha vene ijá 'wama Nú iviamaa ijá vehunijihuni maijaho ijá vejakame 'unama arimai rene mamai re'amarono ava'eja 'wamana. 'Ejume Joniho Huni ira hene avamana. 
MAT.3.16	'E'eme Jesuho toi apúsavume 'uriji'i kavume kahi akúpi 'ahi vwicha re'eme Godoni 'Avena maraho'ora puna'i jaima 'ariha roe Huni haha 'ahi ajimana. 
MAT.3.17	'E'eme ira kahi akúpa 'ahi rena roe ijá 'iama Ikaho Nuni Hariha ka'ene Na oja mahujina. Na Hunijihuna'e niho'o teamanimu 'iamana.
MAT.4.1	'E'eme Godoni 'Aveni vejume Jesuho va'e nechi'i hi'eje 'avena sisei roe vena ka'amarono va'ana. 'Enakaivo Jesu ijí 'aura arema 
MAT.4.2	hi'eme na'ia mapoka (40) pa'are'eme matumana. 
MAT.4.3	'E'eme 'avena sisei roe ijá 'wama A Godoni Hariha re'amajaho veje munakaho puretia renama 'wamana. 
MAT.4.4	'Ejume Jesura eha vene ijá 'wama Godoni ira vaji ijá 'waramana
MAT.4.4	Ea puretiapo reje majama hihuna pana kaivo ira ka'ene Godira 'waramujara reje majama hihuna 'wamana.
MAT.4.5	'Ejumakame 'avena sisea kajara Hua ahema ajima va'e Temiporu atahuri ranamana. 
MAT.4.6	'Enarena hu ijá 'wama Areri Godoni ira vaji 'waramaja'ina'e A Godoni Hariha re'amajaho mwamapene kami mwe'i 'onava kavuma.
MAT.4.6	Godoni ona oji'inijipo A iji 'unarama apena 'ariha va'e kami ranamaakame muna A paninama kavuma 'wame 'wamana.
MAT.4.7	'Ejumakame Jesura ijá 'wama Godoni ira vaji kú'o ika'ina 'waramana. A oni Godi paapene vena ka'amana 'wamana. 
MAT.4.8	'Ejume kú'o 'avena sisea kajara Jesuho ahema va'e huri'a ka'ene niho'o jopatu'uriji ajima va'e kahi huri nami'i kaivo kwaa araka mapokakija 'ee puni mamaijaho nahana. 
MAT.4.9	'Enarena 'avena sisea Jesu ijá 'wama A nitupari same nuana vetie na oja mi'amajaho ike uneunechaka mapokakija ni'aha kwino nara A vaja'eju 'wamana. 
MAT.4.10	'Ejume Jesura 'avena sisea kajaho ijá 'wama 'Avena sisea karera! Karori va'a! Godoni ira vaji 'warumajaho
MAT.4.10	Natohwa ka'ene oni Godijiru oja mahe Hunaru vena'amana 'wamana.
MAT.4.11	'Ejume 'avena siseijaho Jesu rana'ika'i va'eme ona oji'inapo roe Hu ni'ajahara.
MAT.4.12	'Enakaivo Jesuho hejume Joniho tipurai ranavuma heji'i Hu Karari va'ana. 
MAT.4.13	'Enarena Hu va'e Nasareti are'ika'i va'e Kapeniami hinana. Ijí ara kajaho soha rorina. Ara kajaho Sepurani 'wame 'ee Napatarai 'wavuri vajina. 
MAT.4.14	Ijaho Poropeti Aisea oni vaji 'waramajara roe nimai nimai renu. Hu ika'ina'e 'waramana.
MAT.4.15	Ara ka'ene Sepurani 'wame 'ee Napatarai 'wavujija soha rori Jotani ona kara'i Karari ka'ene Jenitaruepo hijujina.
MAT.4.16	Ea ka'ene ijí nutuvi'ini hijujija hanaji'ina ni'ima'ura kavara. 'Ene ea ka'ene nutuvi'inaka nikwamasahuja'ina rena hijujihi hanaji'ina kajara hananiu 'wamana.
MAT.4.17	Vea kajiano Jesuho aneja vene vu'a 'waramarena ijá 'iama Ta'arohe joni sisea vwihane teamukave aremamai are'i kaivo ea maiu'ina reha! Ijihuni maijaho Godoni ara niroe rori roa paranukúnina 'iamana.
MAT.4.18	'Enarena Jesuho Karari soha rora kaji kahi va'i kivume ea iha Saimani ka'ene Pitana 'wavuji'o huni 'u'ua ka'ene Enituruna 'wavuji'o hine úa vesamapene roara. Ijihuni maijaho pu úa vesavi'ina. 
MAT.4.19	'Ejumakame Jesura pu ijá 'iama Nuni roajivakame jara 'úa vesavu kaja'ina'e Na ja najahe ja ea ahera'avara 'iamana. 
MAT.4.20	'Ejume pu ni'aha kwino puni namea irecha 'o'i kaivo pu pu'úmo va'ara. 
MAT.4.21	'Ejume pu va'i kivume vu ea 'aho'a Sepati oni harihija Jemisina 'wavuji'o Joni ka'ene huni 'u'uiji'i emahwa pu'úmo puni sisima vaji hine puni namea hwearikara. 'Ejume Hu pu 'umenaana. 
MAT.4.22	'Ejume pu ni'aha kwino puni sisima raname 'ee omaha rana'i kaivo pu pu'úmo va'ara.
MAT.4.23	'Enarena Jesura va'e Karari vaja kaji 'uraha oji'i puni Sinakoku vaji Godoni arijihuni vu'a mai maiu'ina najahana. 'Eji'i eaka mapokijihi atama ani ani'ina ka'ene rena'e 'ee 'uniravajija vejume sonahiara. 
MAT.4.24	'Ejumakame Huni pinani 'urina va'e Siria vaji va'uma henarene eaka mapokijipo hahapo hianame 'ee hahapo siseranie 'ee ea ka'ene 'avena sisei ajima'e 'ee ea ka'ene mwe'i 'arihe simavi'i name 'ee ea ka'ene irima'ina 'eka Huni roume Hura vejume maranie 'ee sonahiara. 
MAT.4.25	'Ejumakame ijihuna'e ea niho'o mapoka mapoka Hu tamatihara. Ara ka'ene Hu tamatihajaho Karari ora 'ee Jerusaremi ora 'ee Jutia ora 'ee ara ka'ene Jotani toa one kara'i hijujija 'ee Tikaparasi hijujija ni'aha kwinu Hua tamatiha ojara.
MAT.5.1	Hu kimajaho ea mapoka mapoka Hua 'ararihae ojuma kimarena va'e huri'i ajime hi'eme Huni tisaiporua Huni roara.
MAT.5.2	'Ejume Hu ijí aneja vene pu najaha ijá 'iama
MAT.5.3	Ea ka'ene puni 'avena pivusahujija ivi'a teamanamama. Ijihuni maijaho Godoni arijaho ivi'a puna renu.
MAT.5.4	'Ene ea ka'ene temuka'ika'i pasonahii'inijija ivi'a teamanamama. Ijihuni maijaho pu niho'o oja sonahihuna.
MAT.5.5	'Ene ea ka'ene masuani hiji'inijija teamanava. Ijihuni maijaho mwe'a kakaho pumai rehuna.
MAT.5.6	'Ene ea ka'ene 'unama mai matuname 'ee toa puna'i huanavujija ivi'a teamanava. Ijihuni maijaho pu niho'o sonahihuna.
MAT.5.7	'Ene ea ka'ene ea 'aho'a numiravujija teamanava. Ijihuni maijaho Godira pu 'u'o numirahuna.
MAT.5.8	'Ene ea ka'ene puni oja ariramaa rejajija teamanava. Ijihuna'e pu Godi kahuna.
MAT.5.9	'Ene ea ka'ene ea 'aho'a venau'e pu pu'úmo matauvi'inijija teamanava. Ijihuni maijaho Godira pu Huni harihija 'i'ena.
MAT.5.10	'Ene ea ka'ene 'unama ariramaa 'uraha o'eju'e ea 'ahopo sise'i 'ahiujija pu teamanava. Ijihuni maijaho Godoni arijaho puna renukúne.
MAT.5.11	Nunijihuna'e erapo ja ira sisea 'warame 'ararihie vu'a sisea ani ani'ina 'warame ijá veja ki'avajaho ja teamana'avara.
MAT.5.12	Ja niho'o teamaname 'ee mari'u'avara. Ijihuni maijaho joni eha natohwa kahino akúpa 'ahi namu. Ea 'aho'a nimarako poropetia ka'ene hijajija sise'i 'ahiaja'ina'e ja 'u'o sise'i 'ahihuna.
MAT.5.13	Ja areri mwe'a kehuni misa. 'Enakaivo misa kajihuni vweijara pa'are'ipisa ichá'ina'e veje kú'o vwea reja'e? Misa ija'inijija vwea pa'ana'omo usekujukame emaapo momori tautiura. 
MAT.5.14	Ja mwe'a kehuni hanaji'ina ara huri'a 'ahi vejujija niho'o vaja panavura. 
MAT.5.15	'Ene emaapo naheha 'ejujaho pu pa'eka va'e si'uara vaja irechavura kaivo samai irechavura. 'Eju'e ea ka'ene sea vaji hijujija hananiura. 
MAT.5.16	Ija'ina'e joni hanaji'inijara ea mapoka puni una'i hanani'amana. 'Ejakame pu kive maaru vejakame pu joni Oma ka'ene kahi akúpa 'ahi hinuji ta'arohuna.
MAT.5.17	Ja niho'o ika'ina pavwiha'avara. Nara roukaho varapa tamana 'ee poropetia ho'o veje pa'are'amarono routa ro'ava. Na pu ato'aruma'i rohuna pana kaivo ijihipuni maiji ve'i 'ahiume routa. 
MAT.5.18	Na nimai nimai ja 'waravu ike akúpa mwe'akaho ni'aha kwino ijá pa'arehuna. 'Enakaivo unenu'u pina ma'uparitumaa ho ma'u'ua Godoni Iri jihuni vaji navujaho niho'o papa'arehuna kaivo ijá na'eje uneunechaka mapokijija roe areri rehuna. 
MAT.5.19	Ea irara ike varapa tamana ma'u'ua 'ene 'ee ea 'aho'a najahe pu 'u'o ija'ina'e ve'avajaho hu Godoni ara niho'o ma'u'ua 'iahuna. 'Enakaivo ea irara hene vene ea tamana kaji naja'avajaho hu Godoni ara ea natohwa 'wahuna.
MAT.5.20	Na nimai nimai ja 'waravu jara 'unama arira ka'ene ojujara niho'o arimai parenareje Sikuraipi 'ee Parasi paasita'amajaho ja niho'o Godoni ara pavahuna.
MAT.5.21	Nitama sahu jona 'waramajaho ja nihejara. Ea pa'ana'e kwa'amana. Ea irara ea 'anaa kwa'amajaho 'otua vehuna. 
MAT.5.22	Na niho'o nimaa nimai ja 'waravu. Ei pini napuraha 'ajime 'ee se'amajaho ea kajaho 'otua vetihuna. 'Ee ea irara vweaha húmata pa'ana 'wa'amajaho hu 'u'o 'otua ni'inijino vehuna. 'Ee ea irara a 'vwiha pa'ana 'wa'amajaho hu veni vahuna arerina. 
MAT.5.23	'E'eje a swara Godi ma'iro veji'i a vweuna sise'i 'ahaaji vwiha'amajaho 
MAT.5.24	swara kajaho ijá rana'ika'i vukú'o 'unama va'e vweune'i 'wame amairiareja'e iji'a roe Godi swara ma'amana. 
MAT.5.25	'Ene ei pini a 'otua apenaare 'otua veta'iro veja ka'amajaho ja no'o 'unamu toi vai'i a hu hu'úmo vu'a 'wame amairi'avara. Ijihuni maijaho hu a apena va'e 'otua veji'ina natohwi jihuni ija tahi ranamaa ve'enakúne. 'Ejakame ijí 'otua veji'ina natohwa kajara hirisima mihakame pu apena va'e tipura ranama ve'ejakúne 'wamana. 
MAT.5.26	Na nimaa nimai a 'waravu a ijí tipurai hinuva'o monia túchamaa ijaho maharene ro 'e'uhuna.
MAT.5.27	Ika'ina 'waramajaho a nihenana. A niho'o ea pipuni napara patura'amana 'úmana. 
MAT.5.28	'Enakaivo Na ika'ina 'waravu. Ei pini napara kame huni oja vaji itu'amajaho hu areri ijí napara kajaho nituramana rehuna. 
MAT.5.29	'Ene oni nia mana'inijara vena'e a sisea ve'amajaho nia kuha kajaho tajahena pi'onave va'amana. Ijihuni maijaho oni haha kwisu kajara veje oni haha kajaho maho'o veni vahuna sisea. 
MAT.5.30	'Ene oni ija mana'inijara veje a sisea ve'amajaho ijí ija kajaho 'uhua pi'onave va'amana. Ijihuni maijaho oni ija 'uhua apene pi'ona'amajiana vo oni haha maho'o veni vaji vahuna.
MAT.5.31	'Ene vu pina ijá 'warumana. Ei pini huni napara rana'amajaho hu niranamani heha vena mahuna 'warumana. 
MAT.5.32	'Enakaivo Na nimai a 'waravu. Ea pipuni napara'e parui pini ahemo'amajaho paruaha kajara areri naparaha kajaho ranahuna. 'Enajihuna'e parua ka'ene huni napara kaji ranamajara veje hu parua pina ve'amajaho hu sisea vehuna. 'Ee ea irara napara ka'ene ranavi'iniji 'wa'amajaho hu 'u'o sisea vehuna.
MAT.5.33	'Ene pinijaho nitama emaapo 'waruvajaho ja niheji'ina.
MAT.5.33	A raka nahama 'waramajaho patu'amana kaivo Natohwi jihuni una'i nahama 'wara'amajaho ve'amana 'úmara.
MAT.5.34	Na nimai a 'waravu. A ika'ina pa'wara'amana Ichutoa pikiva hejuma pa'wa'amana. Ijihuni maijaho ijaho Godoni ruha'omo Godi ijí hinukúne pa'wara'amana. 
MAT.5.35	'Ene vukú'o ika'ina pa'wa'amana. Mwe'a ikena'omo nimai 'waravu pa'wa'amana. Ijihuni maijaho ike mwe'akaho Godira Huni mumora ijihuni toi irechamuna. 'Ene vukú'o ika'ina pa'wa'amana Jerusaremina'omo nimai 'waravu pa'wa'amana. Ijihuni maijaho Jerusaremi Kini Natohwi jihuni arakúne ija'ina pa'wara'amana. 
MAT.5.36	'Enakúne a ika'ina pa'wara'amana Nuni húmata ikena'omo nimaa nimai 'waravu pa'ia'amana. Ijihuni maijaho a niho'o oni húmata kaji veje sajasa'ina rene 'ee aja rehuna niho'o areria pana. 
MAT.5.37	Ijaho 'avena siseijarahara a venau'e ira kajaho 'waramukúne ija'ina pa'wara'amana kaivo manimaa 'iame 'ee pana 'i'amana.
MAT.5.38	Nitama vu'a ka'ene rena roajaho ika'ina 'waruvara. Ei pini ea pina'e 'anae nia kuha su'amajaho eha 'u'o 'anae nia kuha su'amana. 'Ee ei pini ea pina'e 'anae ea pipuni upaja hija'usa'amajaho hu 'u'o 'anae upaja hija'usa'amana. 
MAT.5.39	'Enakaivo na ja 'waravu. Ei pini sise'i 'ahi'iro veja ka'amajaho a eha paveti'amana kaivo hu a noanu tahijiha ka'amajaho a vu ta'arohe ropuna'i mahe 'ani'amana. 
MAT.5.40	'Ene ei pini oni setia ape'iroreje 'otui veta'amajaho oni tapuka 'u'o tajahene ma'amana. 
MAT.5.41	'Ene ei pini ja no'o ma'uako 'aha josu va'avarono 'ejaha'amajaho ja no'o va'areje niho'o hura 'waramajaho asima va'e jopatu'ura va'avara. 
MAT.5.42	'Ene ei pini a unenu'u pina hu ma'amarono 'warava he'amajaho ma'amana. 'Ene ei pini oni unenu'u pina apena venareje vukú'o ma'iro 'warava he'amajaho ma'amana.
MAT.5.43	'Ene ja nihejara nitama vu'a ka'ene 'waravara. A ehuanaru oja mi'i kaivo oni nakijihija sena'amana 'úvara. 
MAT.5.44	'Enakaivo Na ijá 'iavo Ja joni naka oja mi'avara. 'Ene ea 'ahopo ja sise'i 'ahia ki'avajaho puni siporua 'ona'avara. 
MAT.5.45	'Enareje ja joni Oma ka'ene akúpa 'ahi hinujihuni harihija re'avara. Hu Huni vea veju'e ea ka'ene siseijihipuna rine 'ee maijihipuna 'u'o rinuna. 'Ene Hu veju'e neha pine ea maijihipuna marane ea sisea veji'ini jihipuna 'u'o maranuna. 
MAT.5.46	'Ene ja ea ka'ene oja ja mihujiru oja mi'avajaho ja eha iraka apehune? Ea ka'ene takisia apeji'inijija 'u'o ija'ina vejura. 
MAT.5.47	'Ene ja vwehu jonaru 'ajoravuja'ina'e 'ú ja ea 'aho'a ija'ina'e asitahe 'ajoravure? 'Ú Jenitarua 'u'o ija'ina pavejure? 
MAT.5.48	Ijihuna'e joni Omi kahi akúpa 'ahi ariramaa hinujihuna'e ja 'u'o ariramaa hi'avara.
MAT.6.1	Ja hami vwiha'avara ea 'ahopuni nia 'ahi pu ki'avarono ja joni 'unama ka'ene arimaiji ve'ava. Ja ijá ve'avajaho joni Oma ka'ene kahi akúpa 'ahi hinujaho ja eha pamihuna. 
MAT.6.2	Ja ura ea uneunecha pa'amaiji swara vaji'irono ve'avajaho ja ea mapoka ni'i ni'i ki'avaroreje nipia apena hwasi'ava. Ijihuni maijaho ea ka'ene ira'asinijipo Sinakoku vaja 'ee ma'ahi riri kaji ani ani vejakame ea 'ahopo pu ta'arora'avarono ija'ina vejura. Na niho'o nimaa nimai ja 'waravu. Pu puni eha niapejara. 
MAT.6.3	'Enakúne ja ea swara vaji'i ve'avajaho paveje joni mana'inijara raka ka'ene venujaho joni ani'inijaho ka'amana. 
MAT.6.4	'Enakúne ja ea uneunecha pa'amaiji swara vaji'iro ve'avajaho hemi vajihakame joni Oma ka'ene hemi kimujara eha vaji'amana.
MAT.6.5	'Enakúne ja siporua 'o'i ve'avajaho ja ea ka'ene ira'asinijipo vejuja'ina'e pave'avara. Pu niho'o Sinikoku vaja 'ee ma'aha riri namine siporua 'ojura. Ruha ka'ene ea mapoka ni'i ni'i kihuni tinijiano namine ojura. Na niho'o nimaa ja 'waravu pu puni eha niapejara. 
MAT.6.6	'Enakúne ja siporua 'o'iro ve'avajaho va'e joni sei vaji va'e vwicha ku'i kaivo joni Omijihuni siporua 'o'avara. Ijihuni maijaho ja ijí ruha hemi siporua 'oju'e kimujara Hu joni eha mihuna. 
MAT.6.7	'Enakúne ja siporua 'o'avajaho ja hine vu'a nikwinu'ina kaji hura hara pa'oji'i na'avara. Jenitaruepo Hu henarena roji'i vu'a nikwinu'ina kaji apena hura hara 'oji'i navura. 
MAT.6.8	Ja ijí ea kajipo vejuja'ina'e pave'avara. Ijihuni maijaho ja raka pivusahare'e Amo jari'iro vejujija ja mai'o pajarivi'ini Hu nihena kimuna.
