GEN.1.1	太初，上帝创造了天地。 
GEN.5.4	生了
GEN.5.5	九百三十岁去世。
GEN.5.7	之后又活了八百零七年，生儿育女， 
GEN.5.8	九百一十二岁去世。
GEN.5.10	之后又活了八百一十五年，生儿育女， 
GEN.5.11	九百零五岁去世。
GEN.5.13	之后又活了八百四十年，生儿育女， 
GEN.5.14	九百一十岁去世。
GEN.5.16	之后又活了八百三十年，生儿育女， 
GEN.5.17	八百九十五岁去世。
GEN.5.19	之后又活了八百年，生儿育女， 
GEN.5.20	九百六十二岁去世。
GEN.5.22	之后与上帝亲密同行三百年，生儿育女， 
GEN.5.23	共活了三百六十五年。 
GEN.5.24	与上帝亲密同行，后来被上帝接去，不在世上了。
GEN.5.26	之后又活了七百八十二年，生儿育女， 
GEN.5.27	九百六十九岁去世。
GEN.5.29	取名叫
GEN.5.30	生
GEN.5.31	七百七十七岁去世。
GEN.6.1	人类在地上逐渐增多，生了女儿。 
GEN.6.2	上帝的儿子们
GEN.6.3	耶和华说：“人既然是血肉之躯，我的灵不会永远住在人的里面，然而人还可以活一百二十年。” 
GEN.6.4	从那时起，地上出现了一些巨人，他们是上古有名的勇士，是上帝的儿子和人的女儿所生的后代。
GEN.6.5	耶和华看见人罪恶深重，心中终日思想恶事， 
GEN.6.6	就后悔在地上造了人，心里伤痛， 
GEN.6.7	说：“我要把所造的人从地上除掉，连同一切飞禽走兽和爬虫都除掉，我后悔造了他们。” 
GEN.6.8	只有
GEN.6.9	以下是有关
GEN.6.10	生了三个儿子：
GEN.6.11	当时的世界在上帝眼中非常败坏，充满了暴行。 
GEN.6.12	上帝看见世界败坏了，因为世人行为败坏。 
GEN.6.13	祂对
GEN.6.14	你要为自己用歌斐木建造一艘方舟，里面要有舱房，内外都要涂上柏油。 
GEN.6.15	你建造的方舟要长一百三十三米，宽二十二米，高十三米。 
GEN.6.16	舟顶要有五十厘米高的透光口，门开在方舟的侧面，整艘方舟要分为上、中、下三层。 
GEN.6.17	看啊，我要使洪水在地上泛滥，毁灭天下。地上一切有气息的生灵都要灭亡。 
GEN.6.18	但我要跟你立约，你与妻子、儿子和儿媳都可以进方舟。 
GEN.6.19	每种动物你要带两只进方舟，雌雄各一只，好保存它们的生命。 
GEN.6.20	各种飞禽走兽和爬虫要按种类每样一对到你那里，好保住生命。 
GEN.6.21	你要为自己和这些动物预备各种食物，贮存起来。”
GEN.7.1	耶和华对
GEN.7.2	洁净的动物，你要每样带七公七母，不洁净的动物每样带一公一母， 
GEN.7.3	飞鸟每样带七公七母，叫它们以后可以在地上繁衍后代。 
GEN.7.4	因为七天之后，我要在地上降雨四十昼夜，毁灭我所造的一切生灵。” 
GEN.7.5	凡耶和华所吩咐的，
GEN.7.6	洪水泛滥的那一年，
GEN.7.7	与妻子、儿子们和儿媳们都进了方舟，躲避洪水。 
GEN.7.8	洁净的动物、不洁净的动物、飞禽和地上的一切爬虫， 
GEN.7.9	都一公一母成对地到
GEN.7.10	那七天过后，洪水在地上泛滥起来。
GEN.7.12	地上倾盆大雨降了四十昼夜。 
GEN.7.13	那天，
GEN.7.14	所有的野兽、牲畜、地上的爬虫和飞鸟都按种类进入方舟。 
GEN.7.15+GEN.7.16	这些动物都一公一母成对地到
GEN.7.17	洪水在地上泛滥了四十天，水不断地往上涨，把方舟漂了起来。 
GEN.7.18	洪水来势汹汹，淹没大地，方舟漂浮在水面上。 
GEN.7.19	水势越来越大，把天下各处的高山都淹没了。 
GEN.7.20	水淹没了群山，水面高出群山七米。 
GEN.7.21	世上所有的飞禽、走兽、牲畜、爬虫和人类都死了。 
GEN.7.22	在陆地上所有用鼻孔呼吸的生灵都死了。 
GEN.7.23	地上的人类、飞禽走兽和爬虫等一切生灵都被毁灭了，只剩下
GEN.7.24	洪水淹没大地一百五十天。
GEN.8.1	上帝眷顾
GEN.8.2	深渊的泉源和天上的水闸都关闭了，大雨也停了。 
GEN.8.3	地上的洪水慢慢消退，过了一百五十天，水退下去了。 
GEN.8.4	七月十七日，方舟停在
GEN.8.5	水继续消退，到十月一日，山顶都露出来了。
GEN.8.6	又过了四十天，
GEN.8.7	放出一只乌鸦。它一直在空中飞来飞去，直到地上的水都干了。 
GEN.8.8	后来，
GEN.8.9	但遍地都是水，鸽子找不到歇脚的地方，就飞回了方舟，
GEN.8.10	过了七天，
GEN.8.11	到了黄昏，鸽子飞回来，嘴里衔着一片新拧下来的橄榄叶，
GEN.8.12	等了七天，他又放出鸽子，这一次，鸽子没有回来。
GEN.8.14	到了二月二十七日，大地完全干了。 
GEN.8.15	上帝对
GEN.8.16	“你与妻子、儿子和儿媳可以出方舟了。 
GEN.8.17	你要把方舟里的飞禽走兽及爬虫等所有动物都带出来，让它们在地上多多繁殖。” 
GEN.8.18	于是，
GEN.8.19	方舟里的飞禽走兽和爬虫等所有地上的动物，都按种类出了方舟。
GEN.8.21	耶和华闻到这燔祭的馨香，心想：“虽然人从小就心存恶念，但我再不会因为人的缘故而咒诅大地，再不会毁灭一切生灵。 
GEN.8.22	只要大地尚存，播种收割、夏热冬寒、白昼黑夜必永不停息。”
GEN.9.1	上帝赐福给
GEN.9.2	你们要管理所有地上的走兽、空中的飞鸟、地上的爬虫和海里的鱼，它们都必惧怕你们。 
GEN.9.3	凡是活着的动物都可作你们的食物，就像菜蔬和谷物一样。 
GEN.9.4	只是你们不可吃带血的肉，因为血就是生命。 
GEN.9.5	凡是杀人害命的，无论人或兽，我必向他们追讨血债。凡杀人的，我必追讨他的血债。 
GEN.9.6	凡杀害人的，也必被人杀害，因为人是上帝照着自己的形象造的。 
GEN.9.7	你们要生养众多，使地上人口兴旺。”
GEN.9.8	上帝又对
GEN.9.9	“我要跟你们和你们的后代， 
GEN.9.10	以及所有和你们在一起、从方舟出来的飞禽走兽和牲畜等各种动物立约。 
GEN.9.11	我与你们立约，不再叫洪水淹没一切生灵，也不再让洪水毁灭大地。” 
GEN.9.12	上帝说：“我与你们及各种生灵立世代永存的约，我要给这个约一个记号。 
GEN.9.13	我把彩虹放在云中，作为我跟大地立约的记号。 
GEN.9.14	我使云彩覆盖大地的时候，会有彩虹在云中出现。 
GEN.9.15	这样我会记得我与你们及一切生灵所立的约，水就不会再泛滥淹灭所有生灵。 
GEN.9.16	当我看见彩虹在云中出现的时候，就会记得我与地上一切生灵立的永约。” 
GEN.9.17	上帝对
GEN.9.18	与
GEN.9.19	这三个儿子的后代遍布天下。
GEN.9.21	一天，他喝葡萄酒喝醉了，赤裸着身体躺在帐篷里。 
GEN.9.22	的父亲
GEN.9.23	于是，
GEN.9.25	就说：
GEN.9.25	“
GEN.9.25	必做他弟兄的仆人的仆人。”
GEN.9.26	又说：
GEN.9.26	“
GEN.9.27	愿上帝扩张
GEN.9.27	愿他住在
GEN.9.27	让
GEN.9.28	洪水以后，
GEN.9.29	一生共活了九百五十岁。
GEN.10.1	洪水以后，
GEN.10.3	的儿子是
GEN.10.4	的儿子是
GEN.10.5	的这些后裔按宗族、语言和民族分散在各海岛。
GEN.10.7	的儿子是
GEN.10.9	在耶和华眼中是个孔武有力的猎人，因此有俗话说：“要像
GEN.10.10	他首先在
GEN.10.11	后来扩展到
GEN.10.12	又在
GEN.10.14	人、
GEN.10.16	他的后代还有
GEN.10.17	人、
GEN.10.18	人、
GEN.10.19	的疆域从
GEN.10.20	以上记载的都是
GEN.10.22	的儿子是
GEN.10.23	的儿子是
GEN.10.24	生
GEN.10.25	有两个儿子，一个名叫
GEN.10.26	生
GEN.10.27	、
GEN.10.28	、
GEN.10.29	、
GEN.10.30	他们居住的地方，从
GEN.10.31	以上记载的都是
GEN.10.32	这些人都是洪水以后
GEN.11.1	那时，天下人都用同一种语言，讲同一种话。 
GEN.11.2	人们向东迁移时，在
GEN.11.3	他们彼此商量说：“来呀，我们烧些砖吧。”他们用砖作石块，用柏油作水泥来造塔， 
GEN.11.4	说：“来吧，让我们造一座城和一座高耸入云的塔，这样我们可以扬名天下，不致分散在地上。” 
GEN.11.5	耶和华从天上下来，要察看人建造的城和塔。 
GEN.11.6	耶和华说：“看啊，他们同属一个民族，都用同一种语言，现在就做这样的事，如果继续下去，他们会为所欲为。 
GEN.11.7	让我们下去变乱他们的语言，使他们彼此言语不通。” 
GEN.11.8	于是，耶和华把他们从那里分散到世界各地，他们便不再建造那城了。 
GEN.11.9	因此，人称那城为
GEN.11.10	以下是
GEN.11.10	洪水过后两年，
GEN.11.11	之后又活了五百年，生儿育女。
GEN.11.13	之后又活了四百零三年，生儿育女。
GEN.11.15	之后又活了四百零三年，生儿育女。
GEN.11.17	之后又活了四百三十年，生儿育女。
GEN.11.19	之后又活了二百零九年，生儿育女。
GEN.11.21	之后又活了二百零七年，生儿育女。
GEN.11.23	之后又活了二百年，生儿育女。
GEN.11.25	之后又活了一百一十九年，生儿育女。
GEN.11.27	以下是
GEN.11.28	比他父亲
GEN.11.29	和
GEN.11.30	不能生育，没有孩子。
GEN.11.32	在那里去世，享年二百零五岁
GEN.12.1	耶和华对
GEN.12.2	我必使你成为大国，我必赐福给你，使你声名远播。你必成为别人的祝福。 
GEN.12.3	我必赐福给那些祝福你的人，咒诅那些咒诅你的人。世上万族必因你而蒙福。”
GEN.12.5	带着妻子
GEN.12.6	继续前行，来到
GEN.12.7	耶和华向
GEN.12.8	然后，他们又启程前往
GEN.12.9	之后，
GEN.12.10	当时，那地方闹饥荒，灾情非常严重，
GEN.12.11	快要到
GEN.12.12	人看见你，一定会因为你是我的妻子而杀了我，让你活着。 
GEN.12.13	所以，请你说你是我的妹妹，这样他们会因为你而善待我，留我一命。” 
GEN.12.14	一行到了
GEN.12.15	法老的官员见了
GEN.12.16	因为
GEN.12.17	耶和华因
GEN.12.18	法老便召见
GEN.12.19	为什么说她是你妹妹，以致我娶她为妻呢？现在你妻子在这里，带她走吧！” 
GEN.12.20	法老就吩咐人把
GEN.13.2	这时候
GEN.13.3+GEN.13.4	他从南地渐渐迁移到
GEN.13.5	和
GEN.13.6	他们的牲畜很多，那地方容纳不下，他们无法住在一起。 
GEN.13.7	的牧人和
GEN.13.9	整片土地不就在你面前吗？我们分开吧。如果你往左边去，我就往右边走；如果你往右边去，我就往左边走。” 
GEN.13.10	举目眺望，看见整个
GEN.13.11	于是，
GEN.13.12	住在
GEN.13.13	人极其邪恶，在耶和华眼中罪恶滔天。
GEN.13.15	你所能看见的地方，我都要赐给你和你的后代，直到永远。 
GEN.13.16	我要使你的后代多如地上的尘土，人若能数算地上的尘土，才能数算你的后代。 
GEN.13.17	你起来走遍这片土地，因为我要把这片土地赐给你。” 
GEN.13.18	就把帐篷迁移到
GEN.14.1+GEN.14.2	那时，
GEN.14.3	五王会师
GEN.14.4	他们受
GEN.14.5	第十四年，
GEN.14.6	在
GEN.14.7	然后，他们返回
GEN.14.8	那时，
GEN.14.9	抵抗
GEN.14.10	谷有许多柏油坑，
GEN.14.11	四王把
GEN.14.12	并劫走
GEN.14.13	有一个逃出来的人把这件事情告诉了
GEN.14.14	听见侄儿被掳的消息，便率领家中三百一十八名训练有素的壮丁去追赶他们，一直追到但。 
GEN.14.15	夜里，
GEN.14.16	夺回所有被劫的财物，并救出他侄儿
GEN.14.18	王
GEN.14.19	他祝福
GEN.14.19	“愿创造天地的主、至高的上帝赐福给
GEN.14.20	将敌人交在你手中的至高上帝当受称颂！”
GEN.14.20	于是，
GEN.14.21	王对
GEN.14.22	对他说：“我向创造天地的主、至高的上帝耶和华起誓， 
GEN.14.23	凡是你的东西，就是一根线、一条鞋带，我都不会拿，免得你说，‘我使
GEN.14.24	除了我的随从已经吃用的以外，我什么也不要。至于我的盟友
GEN.15.1	这些事以后，耶和华在异象中对
GEN.15.2	说：“主耶和华啊，你要赐我什么呢？我没有儿子，继承我家业的人是
GEN.15.3	又说：“你没有赐我儿子，我家中的仆人将继承我的产业。” 
GEN.15.4	耶和华又对他说：“这人不会成为你的继承人，你亲生的儿子才是你的继承人。” 
GEN.15.5	耶和华把
GEN.15.6	信耶和华，耶和华便算他为义人。
GEN.15.7	耶和华又对他说：“我是耶和华，我带你离开了
GEN.15.8	说：“主耶和华啊，我怎么知道我会得到这片土地呢？” 
GEN.15.9	耶和华说：“你要给我预备三岁的母牛、母山羊和公绵羊各一头，斑鸠和雏鸽各一只。” 
GEN.15.10	一一照办，把牲畜都劈成两半，一半对着一半地摆列，但没有劈开雀鸟。 
GEN.15.11	有鸷鸟飞到那些尸体上，
GEN.15.12	太阳下山的时候，
GEN.15.13	耶和华对他说：“你要清楚知道，你的后裔必流落异乡，被奴役、虐待四百年。 
GEN.15.14	但我必惩罚奴役他们的国家，之后他们必带着大量的财物离开那里。 
GEN.15.15	而你必享长寿，安然离世。 
GEN.15.16	到了第四代
GEN.15.17	太阳下山后，大地黑暗，突然有冒烟的火炉和点着的火炬在肉块中经过。 
GEN.15.18	就在那天，耶和华跟
GEN.15.19	就是
GEN.15.20	人、
GEN.15.21	人、
GEN.16.2	对
GEN.16.3	于是，
GEN.16.4	与
GEN.16.5	对
GEN.16.6	对
GEN.16.7	耶和华的天使在旷野中通往
GEN.16.8	便问她：“
GEN.16.9	耶和华的天使对她说：“你要回到女主人那里顺服她。” 
GEN.16.10	又说：“我必使你的后代多得不可胜数。” 
GEN.16.11	接着又说：“你现在怀了孕，将来会生一个男孩，你要给他取名叫
GEN.16.12	这孩子性情必像野驴，他要跟人作对，人也要跟他作对。他必与他所有的弟兄为敌。” 
GEN.16.13	称对她说话的耶和华为“看顾人的上帝”，她说：“我竟然在这里看见了看顾我的上帝。” 
GEN.16.14	因此，她称
GEN.16.15	后来
GEN.16.16	生
GEN.17.2	我要与你立约，我要使你子孙极其兴旺。” 
GEN.17.3	就俯伏在地，上帝又对他说： 
GEN.17.4	“我要与你立约，你必成为许多民族的始祖。 
GEN.17.5	以后你的名字不再叫
GEN.17.6	我要使你的子孙极其兴旺，许多民族和君王必从你而出。 
GEN.17.7	我要和你并你的子子孙孙立永恒的约，我要做你和你子孙的上帝。 
GEN.17.8	我要把你现在寄居的整个
GEN.17.9	上帝又对
GEN.17.10	你们所有的男子都要受割礼，这是我与你和你的子孙所立的约，你们要遵守。 
GEN.17.11	你们都要割包皮，作为我与你们立约的记号。 
GEN.17.12	你们世世代代的男子在出生后的第八日都要接受割礼。在你家里出生的和用钱从外族人那里买来的奴仆也要受割礼。 
GEN.17.13	不论是在你家里生的，还是你用钱买来的男子，都要接受割礼，这样你们的肉体上就有我永恒之约的记号。 
GEN.17.14	任何没有接受割礼的男子，要将他从民中铲除，因为他违背了我的约。”
GEN.17.15	上帝对
GEN.17.16	我必赐福给她，让她为你生一个儿子。她必成为万族的母亲，万民的君王必从她而出。” 
GEN.17.17	就俯伏在地，笑了起来，心想：“我一百岁了，还能有孩子吗？
GEN.17.18	对上帝说：“愿
GEN.17.19	上帝说：“不，你妻子
GEN.17.20	至于
GEN.17.21	必在明年这时候给你生
GEN.17.22	上帝说完以后，便离开
GEN.17.24	接受割礼的时候九十九岁。 
GEN.17.25	他的儿子
GEN.17.26	他们父子二人就在那天接受了割礼。 
GEN.17.27	家里所有的男子，包括家中出生的和买回来的，都一起接受了割礼。
GEN.18.1	耶和华在
GEN.18.2	抬头看见三个人站在对面，就跑去迎接他们，俯伏在地， 
GEN.18.3	说：“我主，你们若肯赏光，请不要匆匆路过仆人这里。 
GEN.18.4	我让人拿点水来，你们洗洗脚，在树下歇一会儿。 
GEN.18.5	我拿点饼来，你们补充一下体力再上路吧。你们既然路过这里，我理应招待你们。”他们说：“好，就照你说的做吧！”
GEN.18.6	于是，
GEN.18.7	又跑到牛群中牵了一头肥嫩的小牛，吩咐仆人赶快准备好。 
GEN.18.8	把奶、奶酪和准备好的牛肉摆在客人面前，站在树荫下招待他们。
GEN.18.9	那三位客人问
GEN.18.10	其中一人说：“明年这时候，我会再来你这里，
GEN.18.11	和
GEN.18.12	暗自发笑，心想：“我已经这么老了，还会有这种福气吗？况且我的丈夫也很老了。” 
GEN.18.13	耶和华问
GEN.18.14	什么事难得住耶和华呢？明年这时候，我会再来你这里，
GEN.18.15	听见后非常害怕，连忙否认说：“我没有笑！”但耶和华说：“不，你确实笑了。”
GEN.18.16	那三个人就起身朝
GEN.18.17	耶和华说：“我要做的事怎么可以瞒着
GEN.18.18	必成为强盛的大国，世上万国必因他而蒙福。 
GEN.18.19	我拣选了他，是要他教导自己的子孙后代持守我的道、秉公行义。这样，我必实现对他的应许。” 
GEN.18.20	耶和华说：“
GEN.18.21	我现在要下去看看他们的所作所为是否如所说的那样邪恶，如果不是，我也会知道。”
GEN.18.22	其中二人转身向
GEN.18.23	上前说：“你要把义人和恶人一同毁灭吗？ 
GEN.18.24	倘若城中有五十个义人，你还要毁灭那城吗？你会不会为了五十个义人而饶恕那座城呢？ 
GEN.18.25	你绝不会黑白不分，把义人和恶人一同毁灭。你是普天下的审判者，难道不秉公行事吗？” 
GEN.18.26	耶和华回答说：“倘若我在
GEN.18.27	说：“主啊，虽然我渺小如灰尘，但我还要大胆地求问你， 
GEN.18.28	倘若只有四十五个义人，你会因为少了五个义人而毁灭全城吗？”耶和华说：“倘若我在城里找到四十五个义人，我也不会毁灭那城。” 
GEN.18.29	又说：“倘若在那里找到四十个义人呢？”耶和华说：“为了那四十个人的缘故，我不会毁灭那城。” 
GEN.18.30	说：“求主不要发怒，容许我再问一次，倘若在那里只找到三十个义人呢？”耶和华说：“倘若在那里只找到三十个，我也不会毁灭那城。” 
GEN.18.31	说：“我大胆再问一次，倘若在那里只找到二十个义人呢？”耶和华说：“为了那二十个人的缘故，我也不会毁灭那城。” 
GEN.18.32	又说：“求主不要发怒，让我问最后一次，倘若在那里只找到十个义人呢？”耶和华说：“为了那十个人的缘故，我也不会毁灭那城。” 
GEN.18.33	耶和华跟
GEN.19.1	那两个天使在黄昏的时候来到
GEN.19.2	“我主啊，请到仆人家洗洗脚，住一夜，明天早上再继续赶路吧！”他们说：“不，我们要在街上过夜。” 
GEN.19.3	执意邀请他们，他们便答应到他家里作客。
GEN.19.4	他们正准备就寝的时候，
GEN.19.5	对
GEN.19.6	走出来，关上门，到众人面前， 
GEN.19.7	对他们说：“各位弟兄，请不要做这种邪恶的事！ 
GEN.19.8	我有两个女儿，还是处女，我愿意把她们交出来任凭你们处置，只是请你们不要侮辱这两个人，他们是我家里的客人。” 
GEN.19.9	他们对
GEN.19.10	那两位天使伸手把
GEN.19.11	并让门外的人，不论老少都眼目昏花，摸来摸去也找不着
GEN.19.12	天使对
GEN.19.13	因为我们就要毁灭这城了。耶和华已经听见控诉这罪恶之城的声音，祂差遣我们来毁灭这城。” 
GEN.19.14	听了就去通知他女儿的未婚夫说：“快走吧！耶和华要毁灭这城了！”可是他们却以为他是在开玩笑。
GEN.19.15	天刚亮的时候，天使便催促
GEN.19.16	却犹疑不决，天使便拉着
