GEN.1.1	Uniotabakin ka Nukën 'Ibu Diosan uniokëxa, naíkamë 'ëo 'imainun me. 
GEN.1.28	Uniotankëxun ka upíokin sinánxunkin kakëxa: Bakë bëchipati kamina mekama tsitsirui 'uákamë 'ëoti 'ain; baka mëu 'ikë ñuinakama 'imainun manan nuánkë pëchiñu ñuinakama, 'imainun axa men niríkë ñuinakama aín 'ibu kamina 'iti 'ain.
GEN.1.29	Usokin pain a ñukama 'atankëxun ka Nukën 'Ibu Diosan kakëxa: Ka is mitsu kana menu kookë ikama ax tuáñu ikama 'imainun, 'ain bimi pitima akamabi 'inanin. Akamax ka mitsun piti 'iti 'ikën.
GEN.1.30	'Aínbi kana ñuinakama axa men nikë 'imainun manan 'ikë pëchiñu ñuinakama 'imainun men niríkë ñuina akamabi kana menuax 'irukë in bimikama pinun 'inanin.
GEN.1.30	Kikëbë ka usai 'iakëxa, 
GEN.1.31	usokin 'axun ka Nukën 'Ibu Diosan an uniokë ñukama upíira upí 'ikë isakëxa. Usaxa bë́ankionx pë́karatëkënkë ax ka mapai 'imainun achúshi nëtë 'iakëxa.
GEN.2.1	Usokin 'atankëxun ka Nukën 'Ibu Diosan naí 'imainun me, anua 'ikë ñukama këñunbi 'akin kamabi sënëonkëxa. 
GEN.2.2	Mapai achúshi 'imainun achúshi nëtën ka Nukën 'Ibu Diosan an 'akë ñukama sënëonkëxa, usokin 'atankëx ka tantiakëxa. 
GEN.2.3	Usa 'ain ka mapai achúshi 'imainun rabë́ nëtë a upíokin sinánxuni a nëtëx ka upíira 'iti 'ikë kiax kiakëxa, a nëtën ka kamabi ñukama uniotankëx tantiakëxa. 
GEN.2.4	Ënë banax ka usakin ka Nukën 'Ibu Diosan naí 'imainun me uniokëxa kixun ñuikë bana 'ikën.
GEN.2.4	Usakin Nukën 'Ibu Diosan naíkamë 'ëo këñun me uniokin sënë́onkë 'aínbi ka, 
GEN.2.5	anu añu ñubi 'aima pain 'iakëxa, añu ñubi ka me mëuküax 'irukëma pain 'iakëxa, uñeribi ka Nukën 'Ibu Diosan 'ibumiama pain 'ikën an me chabóti, 'imainun ka an naë mëníoti uni 'aima pain 'iakëxa. 
GEN.2.6	Usa 'aínbi ka menuax mekama chabói 'umpax shióbuakëxa. 
GEN.2.7	Usa 'ain ka Nukën 'Ibu Diosan mebi unisa 'inun 'atankëxun aín rëkinu rëxúnkakëxa, rëxúnkakëxëshi ka uíni uni 'iakëxa. Usai 'ika uni uniakëxa.
GEN.2.8	Usokin 'atankëxun ka Nukën 'Ibu Diosan Edén kakë naësa me, auküaxa bari urukë, anu achúshi naësa okin 'axun anuxun kamabi ñu bëruánti anubi ëankëxa. 
GEN.2.9	A naësa me anu ka Nukën 'Ibu Diosan bëtsi bëtsi i upíbu 'ixuan aín bimi upíbu pisabi 'inun tuati a koónun 'imiakëxa. Imianan ka naësa me a nëbëtsi a pia uni upiti tsóti 'imainun, a pikin uisa ñux kara upí 'ikë a 'unánan uisa ñux kara 'atima 'ikë a 'unánti aribi kónun 'imiakëxa.
GEN.2.10	Usa 'ain ka Edén kakë naësa me anuax achúshi baka an naësa a chabóti shióbukë, anuax ka amo rabë́ 'imainun amorabë́ 'inun baka saëakëxa. 
GEN.2.11	A baka achúshinëx ka Pisón kakin anëkë 'iakëxa, an ka Havilá kakë mekama bëararakë 'iakëxa. A menu ka 'itsaira kuri 'iakëxa. 
GEN.2.12	A menu ka kuri upíira 'imainun i bëpín sanuira 'ianan ka ónice kakë maxáxribi anu 'iakëxa. 
GEN.2.13	Bëtsi baka ka Guihón kakin anëkë 'iakëxa, an ka Cus kakë me bëararakë 'iakëxa. 
GEN.2.14	Bëtsi baka ka Tigris kakin anëkëribi 'iakëxa, ax ka Asiria amiaxa bari urukë ami kikiani kuankëxa. 'Imainun ka Bëtsi bakaribi ax Éufrate kakë 'iakëxa.
GEN.2.15	Edén kakë me anu naësa achúshi 'atankëxun ka Nukën 'Ibu Diosan an uniokë uni kakëxa: ënë bërúanan mënioi kamina ënu tsóti 'ain, 
GEN.2.16	katankëxun ka ësokinribi kakëxa: Min kamina piti 'ain kamabi i bimi naësa ënua 'ikë ënë, 
GEN.2.17	'ën kana mi kain, anun upí 'imainun 'aisama ñu 'unánti a i ain bimi kamina pitima 'ain. Uisaran karamina a bimi pin a nëtënbi kamina bamakë 'iti 'ain. 
GEN.2.18	Katankëxun ka Nukën 'Ibu Diosan kakëxa: uníxa ashira 'iti ka 'aisama 'ikën. Usa 'ain kana an 'akinti bëtsi 'axúnti 'ain.
GEN.2.19	Usakin 'atankëxun ka Diosan menua uniokë ñuinakama 'imainun ñuina pëchiñukama unin anënun uninu uankëxa. A unían anëkë 'aish ka kamabi ñuinakama a piti a pitima 'imainun kamabi ñuina pëchiukama 'imainun raëkëmakama anëñu 'iakëxa, 
GEN.2.20	anëkëx ka aín anë ax anubi bërúakëxa. Usa 'aínbi ka a ñuinakama achúshinëxi a uni 'akinsama 'iakëxa.
GEN.2.21	Usa aín ka Nukën 'Ibu Diosan a uni 'aímai upiti 'uxtanun 'uxmiakëxa, 'uxmikëxa 'aímai upiti uxan ka aín putu achúshi bitankëxun aín naminbi amiribishi bëtasakëxa. 
GEN.2.22	A putúbi ka Nukën 'Ibu Diosan achúshi xanu 'inun uniokëxa, uniotankëxun ka a uninu bëakëxa, 
GEN.2.23	bëia isi, ka uni kiakëxa: ¡Ënëx ka 'ën namibi 'anan 'ën xobi 'akë 'ikën! Aín anëx ka xanu 'iti 'ikën, ax ka Diosan unin putúbi bixun 'akë 'ikën. 
GEN.2.24	Usa 'ain ka unin aín xanu bikin aín papa aín tita ënti 'ikën, usa 'aish ka a rabëtaxbi achúshi unisashi 'iti 'ikën.
GEN.2.25	Usakin 'akëx ka uni 'imainun xanu chupañuma 'iakëxa, 'aínbi ka usa 'ixunbi a rabëxun rabinti sinánma 'ikën, sinanima ka usabi 'iakëxa.
GEN.3.1	Nukën 'Ibu Diosan uniokë bëtsi ñuina raëkëma kamasamaira ka runu 'iakëxa, usa 'ixun ka xanu ñukákëxa:
GEN.3.1	—¿Asérabi kara Diosan i bimi naësa ënu 'ikëkama ënë pixunma anun mi kax?
GEN.3.2	Kakëxun ka xanun kakëxa:
GEN.3.2	—Bëtsi i bimibi naësanu 'ikë kananuna piti 'ain, 
GEN.3.3	'aínbi kananuna naësa nëbëtsi 'ikë i bimi ashi pitima 'ain. Diosan ka a i bimi pixunma 'anan mëxunma 'anun a pibi isanuna bamati 'ai kixun nu kaxa. 
GEN.3.4	Kakëxunbi ka runun xanu kakëxa:
GEN.3.4	—Ama, usama ka kamina bamatima 'ain. 
GEN.3.5	Diosan ka upíokin 'unánxa uisa nëtën kaina a i bimi pi a nëtënbi kamina mitsux sinánñuira 'ixun uisa ñu kara upí 'ikë 'unánan uisa ñu kara upíma 'ikë, aribi 'unáni asaribi 'iti 'ain.
GEN.3.6	Usakin kakëxun ka xanun a bimi kuisa, upíira upí 'ikë isakëxa, a piax sinánñuira 'isa iskin ka anun kuëënkin xanun i bimi biakëxa. I bimi bixun kukin, ka aín bënëribi 'inánkëxa. 'Inánkëxun ka anribi piakëxa. 
GEN.3.7	Pikinshi ka a rabë́xunbi chupañuma kananuna 'ai kixun sinánkëxa. Usai 'ikin ka chupañuma 'ixun higo kakë i pëi xëokëxa, xëotankëx ka a rabëtaxbi anun tsitatakiakëxa.
GEN.3.8	Usakë a xupibukëbëtan ka bëbu 'imainun xanun Nukën 'Ibu Dios bari kuainakëkëbëa suñu bëkikëbë nitsia kuakëxa, kuati ka uni aín xanubë abákiani kuanx naësanu 'ikë ikama tanain unëakëxa. 
GEN.3.9	'Aínbi ka Nukën 'Ibu Diosan kuënkin uni kakëxa:
GEN.3.9	—¿Uinu kaina 'ain? 
GEN.3.10	Kakëxun ka unin kakëxa:
GEN.3.10	—Mi kana naësa nëbëtsi nitsia kuan, usa 'aish kana chupañuma 'aish rakuë́ti unëa. 
GEN.3.11	Kakëxun ka Nukën 'Ibu Diosan ñukákëxa:
GEN.3.11	—¿Uin kara chupañuma kamina aín kixun mi kax? ¿Karamina a pixunma 'anun 'ën mi kakë i bimi a pikëma 'ain? 
GEN.3.12	Kakëxun ka unin kakëxa:
GEN.3.12	—Minmi abë 'inun 'inánkë xanu ënën ka i bimi 'ë 'inánxa, 'inánkëxun kana 'ën pian.
GEN.3.13	Usakian kakëxun ka Nukën 'Ibu Diosan xanu ñukákëxa:
GEN.3.13	—¿Uisa kupí kaina usokin 'an? Kakëxun ka xanun kakëxa:
GEN.3.13	—Runun 'ë paránkëxun, kana a i bimi pian.
GEN.3.14	Usa 'ain ka Nukën 'Ibu Diosan runu kakëxa:
GEN.3.14	—Min kamina ësokin ñu 'an, usa 'aish kamina raíri ñuina kamasama 'iti 'ain. Min shikanëinshi niriti kamina ninuxun 'ain. Usa 'ain kamina me putuishi pinuxun 'ain.
GEN.3.15	'Ën kana mixmi xanubë nishananun 'imiti 'ain, 'ën 'imikëx ka min rëbúnki 'imainun xanun rëbúnki nishananti 'ikën. Aín rëbúnkinën ka min maxkánu mi amánuxun 'aia, 'akëxun kamina aín taë tsipútunu 'anuxun 'ain.
GEN.3.16	Usakin runu katankëxun ka Nukën 'Ibu Diosan xanuribi kakëxa:
GEN.3.16	—'Ën kana min tuia chaiira paë tanimi bakënun 'imiti 'ain, paën kamina bakënuxun 'ain. 'Aínbi kamina usai 'ibi min bënëbë 'inuxun 'ain, 'ianan kamina, an kakësabiokin 'ati 'ain.
GEN.3.17	Ësakin xanu katankëxun ka bëburibi kakëxa:
GEN.3.17	—Min kamina min xanun kakëxun kuan. Usa 'ixun kamina a pixunma 'anun 'ën mi kakë i bimi a pian, ënë pixunma ka 'at 'ën kakëxunbi, usa 'ain ka bërí me 'aisama min 'ucha kupí 'iti 'ikën; usa 'ain kamina 'itsaira ñu mëëkin menu ñu 'apáxun anun mix bamati nëtë 'itámainun pinuxun 'ain. 
GEN.3.18	'Ianan ka menu ñu muxañu tubënrui 'irunuxun 'aia, 'imainun kamina barixun ninu 'ikë ñukamabi piti 'ain. 
GEN.3.19	Min nichakin 'itsaira ñu mëëtankëxun kamina pinuxun 'ain, me 'akë kamina 'ain, usa 'ain kamina anúnmi me 'itëkënti 'itámainun ñu menuxun 'ain, me 'akë kamina 'ain, usa 'aish kamina me 'itëkënuxun 'ain.
GEN.3.20	Usa 'ain ka unin aín xanu Eva kakin anëakëxa, ax ka kamabi uni axa tsókë aín tita 'itiokin.
GEN.3.21	Nukën 'Ibu Diosan ñuina xaká xanu aín ri 'axuanan bëbu aín tari pañunun 'axunkin, 
GEN.3.22	kakëxa: Ka is, bërí ka unix nukama achúshisa 'ikën, usa 'ixun ka uisa ñu kara upí 'ikë 'unánan uisa ñu kara 'aisama 'ikë aribi 'unánti 'ikën. Usa 'ain kamina a pi tsóti i bimi aribimina xënibua 'aínbi tsónuxun pi bërúanti 'ain. 
GEN.3.23	Usakin katankëxun ka Nukën 'Ibu Diosan uni Edénnua chikínkin, an uniokë 'ixuan me naëoxun anu ñu mëënun kixun ëankëxa.
GEN.3.24	Usakin uni chikíntankëxun ka Nukën 'Ibu Diosan naësa amiaxa bari urukë au ain ángel raíri Edénu 'ikë bainu nitsíankëxa. Ax ka ángel suntárusa 'iakëxa. An ka manë xëtokë tsi rëkirukësa 'ixuan kuainakë bëkinkin anun bamatima i bimi anua uíxbi kuantirabanan bai bëarati anu nankëxa.
GEN.4.1	Usa 'ain ka uni aín xanubë 'iakëxa. 'Itankëx ka xanux tutankëx aín rëkuën tuá Caín bakë́ankëxa, bakë́anx ka kiakëxa: Bërí kana bëbu tuá achúshiñu 'ain. Nukën 'Ibunbi ka 'ë 'inánxa. 
GEN.4.2	Usakin a pain 'atankëxun ka Abel Caínan xukë́n aribi tuakëxa. Abel axa an ñuina 'arakakë uni 'imainun ka Caín ax an ñu 'apákë uni 'iakëxa.
GEN.4.3	Uiti bari kara inúkëbëtan ka achúshi nëtë 'ikëbëtan, Caínan aín ñu 'apákë a 'inánti bikë a Nukën 'Ibu 'inánkëxa. 
GEN.4.4	Usakian 'aia iskin ka Abelnënribi aín 'arakakë ñuina aín rëkuën tuá upíira kaístankëxun 'ën 'Ibu kana 'inánti 'ain kixun sinánxun buánxuankëxa. Usakin 'aia ka Nukën 'Ibun Abelnën 'inánkë ñuina upíira 'ikë isakëxa, 
GEN.4.5	'aínbi ka Nukën 'Ibu Diosan Caínan 'inánkë aín ñu 'apákë a upíirama 'ikë isakëxa, iskëbë ka Caín 'aisamairai xuamati aín xukë́nmi nishakëxa. 
GEN.4.6	Usai 'ia ka Nukën 'Ibun kakëxa: ¿Uisa kupín karamina 'aisamairai min xukë́nmi xuamati nishin? 
GEN.4.7	Min upíokin ñu 'akin kamina upíokin sinántsian, 'aínbi kamina 'aiman, usa 'ain ka min 'uchati 'uramara 'ikën. Usa 'aínbi kamina min abi tënëkin 'atima 'ain.
GEN.4.8	Achúshi nëtën ka Caínan aín xukë́n Abel kakëxa, ¡nu rabëtax karanuna nitsi kuantima 'ain! Kabiani abë uri kuankin ka Caínan aín xukë́n Abel ami xuamati nishkë 'ixun iskëuxunma mëëkin rëakëxa.
GEN.4.9	Usokin 'akë ka Nukën 'Ibun Caín ñukákin kakëxa:
GEN.4.9	—¿Uinu kara min xukë́n Abel 'it? Kakëxunbi ka Caínën kakëxa:
GEN.4.9	—Kana 'unániman. ¿'Ën karana 'ën xukë́n nitsia bërúanti 'ain? 
GEN.4.10	Usai kia ka Nukën 'Ibun kakëxa:
GEN.4.10	—¿Uisa kupín karamina usakin 'an? Min xukë́n 'anákanën imi menu, 'apamikinmi 'akë an ka uisa karana oti 'ai usakin 'ën mi 'anun kia. 
GEN.4.11	Usa 'ain kamina, mix 'atimokë 'aish ënë menuax chikínkë 'iti 'ain, anuxun min xukën aín imi 'apamikin 'akë me ënuax. 
GEN.4.12	Minmi ñu, mëëkin 'apákëxbi ka biminuxuma 'aia. Usa 'aish kamina ñuñuma, kuainbëkinishi tantima mekama oi ninuxun 'ain. 
GEN.4.13	Usakian Nukën 'Ibu kakëxunbi ka Caínën kakëxa:
GEN.4.13	—'Ën kana min 'aisamaira okin tëmëramikëxunbi tënëtima 'ain. 
GEN.4.14	Bërí kamina ënë menua 'ë chikinin usa 'aish kana kuainbëkinishi mekama oi ninuxun 'ain, mi 'ura kana uisaran nëtënbi tantima 'inuxun 'ain. 'Iaka uínbi kara mëraia an 'ë 'ati 'ikën. 
GEN.4.15	'Aínbi ka Nukën 'Ibun ësokin kakëxa:
GEN.4.15	—Uin kara mi rëtia ax ka mapai achúshi 'imainun rabë́okin 'atimokë 'iti 'ikën. Usakin katankëxun ka Nukën 'Ibun Caín 'unántiokëxa, uin kara mëraia an rëtima okin.
GEN.4.16	Usakian Nukën 'Ibu kakëx ka Caín anuaxa abë banakë me ëbiani kuankëxa, kuantankëx ka Nod, kakë me amiaxa bari urukë Edén 'ikë anu 'iakëxa.
GEN.4.17	Usa 'ain ka Caínan xanu bitankëxun ami bëbu tuá 'inun bëchiakëxa, aín anë ka 'iakëxa Henoc kakë. Usakin bëchitankëxun ka Caínan achúshi ëma 'akëxa. 'Atankëxun ka aín bëchikënën anën Henoc kakin anëakëxa.
GEN.4.18	Henoc ax ka Iradnën papa 'iakëxa, Irad ax ka Mehujaelnën papa 'iakëxa, Mehujael ax ka Metusaelnën papa 'iakëxa, 'imainun ka Metusael ax Lámecnën papa 'iakëxa.
GEN.4.19	Lámec ax ka xanu rabë́ñu 'iakëxa: Achúshinëxa Adá kakin anëkë 'imainun ka bëtsíxribi Silá kakin anëkë 'iakëxa. 
GEN.4.20	Adánën tuakëx ka Jabal kakin anëkë 'iakëxa, an pain ka ñuina chukúma 'imainun ñuina chakama 'arakakëxa. Usa 'aishi ka achúshi 'itinushi bukuima aín xanu 'imainun aín bëchikë 'imainun aín ñuinakamabë mekamanu kuainbëkini pastonuax bëtsi pastonu kuankëxa. Usa 'aish ka upíokin xubu oima chupa këxtú xubusa okin 'akë anuishi 'ikë uni 'iakëxa, usa 'ixun ka a unin vaca 'arakakëxa. 
GEN.4.21	Jabal ax ka achúshi xukë́ñu 'iakëxa. Aín anë ka Jubal kakin anëkë 'iakëxa, usa 'ain ka a unin rëbúnkinëx kamabi ñu 'unánkë 'ixun arpa 'anan paka 'akë a bana oti 'unánkë uni 'iakëxa. 
GEN.4.22	Silánën tuá Tubal-caín kakin anëkë a ka manë panshian unionan bëtsi ñukamaribi uniokë uni 'iakëxa. Tubal-caín ain chirabakë achúshinëx ka Naamá kakin anëkë 'iakëxa. 
GEN.4.23	Achúshi nëtën ka Lámecnën aín xanu Adá 'imainun Silá kakëxa:
GEN.4.23	'Ën mi bana ñuixunmainun kamina upíokin kuati 'ain:
GEN.4.23	Achúshi uni ka bëná 'iaxa, a kana anbia 'ë 'aisama oisa tankëxun rëan.
GEN.4.24	Asérabia Caínax mapai achúshi 'imainun rabë́okin 'uchakë 'ain kana, 'ëxribi
GEN.4.24	'aisamaira okin setenta 'imainun siete okin 'uchokë 'ëx 'iti 'ain, kiax ka Lámec kiakëxa.
GEN.4.25	Amiribishi aín xanubë 'itankëxun ka Adánnën achúshi bëbu tuá 'atëkëankëxa, ax ka Set kakin anëkë 'iakëxa, usa 'ain ka kiakëxa: Diosan ka bëtsi tuáribi 'ë 'inánxa Caínëan aín xukë́n Abel rëa 'ain. 
GEN.4.26	Usa 'ain ka Setnënribi achúshi bëchikë 'akëxa, aín anëx ka Enós kakë 'iakëxa. Usa 'ain ka a nëtëkaman unin Nukën 'Ibu 'akinun kixun ñukákëxa.
GEN.5.1	Ënëx ka Adánnën rëbúnkinën anëkama kuënëokë 'ikën. Uni uniokin ka Nukën 'Ibu Diosan, asaribi 'itánun 'akëxa; 
GEN.5.2	'akin ka bëbu 'imainun xanu 'akëxa, 'atankëxun ka upíokin sinánxukin kakëxa. A nëtë́an uni uniokë, a nëtën ka Dios kiakëxa: Ënëx ka uni kakin anëkë 'ikën.
GEN.5.3	Adán axa ciento treinta baritiañu 'ain ka aín bëchikë Set a iskësabi ax bakë́ankëxa. 
GEN.5.4	Usakin 'atankëxun ka Adán ochocientos baritia tsókin ka bëbu 'imainun xanu okin bakë bëchipakëxa; 
GEN.5.5	usokin bakë bëchipatankëx ka novecientos treinta baritia sënë́mi tsóakëxa. Tsótankëx ka a bari 'iruax ñuakëxa.
GEN.5.6	Set ax ciento cinco baritiañu 'ain ka aín rëkuën bakë bëchikë Enós kakë ax bakë́ankëxa. 
GEN.5.7	Usakin 'atankëx ka Set ochocientos siete baritia, 'imi tsóakëxa, tsókin ka bëbu 'imainun xanuribiokin bakë bëchipatëkëankëxa; 
GEN.5.8	usakin bakë bëchipatankëx ka novecientos doce baritia sënë́mi tsóakëxa. Tsótankëx ka a bari sënënkëbë ñuakëxa.
GEN.5.9	Enós ax noventa baritiañu 'ain ka aín bëchikë Cainán bakë́ankëxa. 
GEN.5.10	Usakin 'atankëx ka Enós ochocientos quince baritia 'imikin ka bëbu 'imainun xanuribiokin bakë bëchipatëkëankëxa; 
GEN.5.11	usokin bakë bëchipatankëx ka novecientos cinco baritia sënë́mi tsóakëxa. Tsótankëx ka a bari sënënkëbë ñuakëxa.
GEN.5.12	Cainán ax setenta baritiañu 'ain ka aín bëchikë Mahalalel bakë́ankëxa. 
GEN.5.13	Usakin 'atankëx ka Cainán ochocientos cuarenta baritia sënë́mi tsóakëxa; tsókin ka bëbu 'imainun xanuribiokin bakë bëchipatëkëankëxa; 
GEN.5.14	usokin bakë bëchipatankëx ka novecientos diez baritia sënë́mi tsóakëxa. Tsótankëx ka a bari sënënkëbë ñuakëxa.
GEN.5.15	Mahalalel ax sesenta 'imainun cinco baritiañu 'ain ka aín bëchikë Jéred bakë́ankëxa. 
GEN.5.16	Usakin 'atankëx ka Mahalalel ochocientos treinta baritia 'imi tsóakëxa; tsókin ka bëbu 'imainun xanuribiokin bakë bëchipatëkëankëxa; 
GEN.5.17	usokin bakë bëchipatankëx ka ochocientos noventa 'imainun cinco bari sënë́mi tsóakëxa. Tsótankëx ka a bari sënënkëbë ñuakëxa.
GEN.5.18	Jéred ax ciento sesenta 'imainun rabë́ baritiañu 'ain ka aín bëchikë Henoc bakë́ankëxa. 
GEN.5.19	Usakin 'atankëx ka Jéred ochocientos baritia 'imi tsóakëxa; tsókin ka bëbu 'imainun xanuribiokin bakë bëchipatëkëankëxa; 
GEN.5.20	usokin bakë bëchipatankëx ka novecientos sesenta 'imainun rabë́ baritia sënë́mi tsóakëxa. Tsótankëx ka a bari sënënkëbë ñuakëxa.
GEN.5.21	Henoc ax sesenta 'imainun cinco baritiañu 'ain ka ain bëchikë Matusalén bakë́ankëxa. 
GEN.5.22	Henoc ax ka Nukën 'Ibu Dios kuëënkësabi oi tsóakëxa. Usa 'ain ka aín rëkuën bëchikë Matusalén bëchitankëx, Henoc ax tsóakëxa trescientos baritia, 'imikin ka bëbu 'imainun xanuribiokin bakë bëchipatëkëankëxa; 
GEN.5.23	usa 'aish ka Henoc kamabi aín baritia tsókë 'iakëxa trescientos sesenta 'imainun cinco baritia tsóakëxa. 
GEN.5.24	Henoc ax ka Nukën 'Ibu Dios kuëënkësabi oi tsókë uni 'iakëxa, usa 'ikë ka achúshi nëtë 'ikëbëtan Nukën 'Ibu Diosan bikëx nëtë́akëxa.
GEN.5.25	Matusalén axa ciento ochenta 'imainun siete baritia 'ain ka aín bëchikë bakë́ankëxa. 
GEN.5.26	Usa 'ain ka Matusalén setecientos ochenta 'imainun rabë́ baritia tsoakëxa; tsókin ka bëbu 'imainun xanuribiokin bëchipatëkëankëxa; 
GEN.5.27	usa 'ain ka novecientos sesenta 'imainun nueve baritia sënë́mi tsóakëxa. Tsótankëx ka a bari sënënkëbë ñuakëxa.
GEN.5.28	Lámec ax ciento ochenta 'imainun rabë́ baritia 'ain ka aín bëchikë achúshi bakë́ankëxa, 
