MAT.1.1	Naunaekhimayun Jesus Christim hivullingita atingit, tamna Davidim kingullia, Abrahamlu kingullia. 
MAT.3.2	“Ihumaliukikpagittiguk kilaum atanguvia kaglilengman”. 
MAT.3.3	Isaiam tamna inuk ukautigiyaa ukakpagami,
MAT.3.3	“Inuilgulmi inum tukhulautum nipaa tuhaanaktuk, apkuhiugitti Atanek pivlugu, apkutingit nalguktihigit.”
MAT.3.4	Ilaa John annugakakhimayuk camelim amianik, tapfihimavluni ayyikutaanik amingmik. Negivaktuk milugiayuanik igutamlu ukhuiniktauk. 
MAT.3.5	Talva inuit Jerusalemiullu Judaemiullu, Jordam nunaaninlu John upaktaat 
MAT.3.6	baptaiektauyumavlutik kugagmi Jordanmi tapfumanga ukautigivlugit huinekutitik. 
MAT.3.7	Pharisekut, Sadducekullu amihut tikinmata baptaiektauyumangmata Johnim ukautiyain, “Nimegiangukpiagaluaktuhi kia kimaukuyaahi nangianaktumin kailektumin? 
MAT.3.8	Takki allangukuvluhi nagutkiyamun naguyumik havakpagluhi, 
MAT.3.9	ilipfingniglu ukaktailuhi, 'Uvagut Abraham angutigiyagaluakput'. Ukautigapfi, God piyumagumi kitungakliukhunguyuk Abrahamun uyagangnin hapkunanga. 
MAT.3.10	Atuaktaun upalungayaktuk napaaktumun. Napaaktun nalliat ahianiyuitkumik kipiyauyukhat ikualakuvlugit. 
MAT.3.11	“Uvanga imengmun baptaiekpagipfi ihumaliukikuvluhi, kingunipkunlunin inuk tikittukhak uvamnin ataniukiyauyuk. Ilaa tapfuma kamiitlunin tigumiaktakhagingitagaluakka kanguhutikhakakpallaagama. Tapfumali baptaiekhunguyaahi Anengnimik Naguyumik, ingnengmiglu. 
MAT.3.12	Tapfuma pualgitini atugniaktaa ihuakuvlugu tutkugvium natia kattikuvlugit mukpauyakhait naguyun mukpauyakhagvingmun igitugit igitauyukhat ingnengmun kamilaitumun.
MAT.3.13	Tapfumani Jesus Galileemin kaivluni Jordanmun kugagmun tikittuk baptaiektauyumavluni Johnmin. 
MAT.3.14	Johnli taimaliugumangngitgaluaktuk ukakhuni, “Uvanga baptaiektauyukhauyugaluyungali ilingnin. Hug ilvin tikitpinga?” 
MAT.3.15	Kiugamiuk Jesus ukallangmiyuk, “Takkili, Godim piyumangit pilit.” Johnlu angektuk. 
MAT.3.16	Jesuslu baptaiektaugami kakivluni imangmin, tayyainak kilak angmangman tautuktaa Godim Anengniga atkaktillugu tingmiaktun inminun tikittuni. 
MAT.3.17	Aahintauk nipi kilangmin tuhaanaktuk ukakhuni “Una engniga nagugiyaga akhun kuviahutigivlugulu.”
MAT.4.1	Talva Anengnim Naguyum Jesus aullautiyaa inuilgulmun Tupilangmin uktuktaukuvlugu. 
MAT.4.2	Uvlikaaktillugu 40nik negitailigami kaalekpiaktuk. 
MAT.4.3	Tapfumungalu huinekipkaiyi upangniktuk ukakhuni, “Godim engnigipatin ukua uyagain ukautikit mukpauyangukuvlugit.” 
MAT.4.4	Jesusim kiuyaali ukakhuni, “Godim ukauhiani tiitigakhimayuk, ' Inum inuyutigiyakhagingitain mukpauyainat kihimi ukauhitigunli tapkununa Godim ukautigiyaitigun' ” 
MAT.4.5	Talva Tupilaum Jesus aullautiyaa iglukagvingmun naguyumun angayyuvikpagyuam kaanganun ilivlugu, 
MAT.4.6	ukallautiyaalu, “Godim engnigipatin mihigiagin ataanun tiitigakhimangman, 'Godim ihalgulini pitkuhimayain munagikuvlutin,' imaatuntauk 'Tapkua algaitigun tiguniaktaatin itiganlunin aanekunagu uyagagmun.' ” 
MAT.4.7	Jesusim ukallautiyagaluanga, “Tiitigakhimayuk aahini, 'Godinik Ataningnik uktuktailutin ihuitumik.' ” 
MAT.4.8	Aahintauk Tupilaum Jesus maiyuktitaa manilgum kingikpiaktum kaanganun takupkakhugit nunat atanguvingillu tamaita, tapkua alianangningilu tapfumunga 
MAT.4.9	ukautivlugulu, “Uvanga hapkuninga tamainik tuniniaktagin hitkuvigigungma angayyuvigikuvlunga.” 
MAT.4.10	Talva Jesusim ukautiyaa “Satanguk aahivagin tiitigakhimangman, 'Angayyuvigiyakhan Godin Atanin kivgaktuglugulu tamna kihimi.” 
MAT.4.11	Talva Tupilaum kimagmagu ilaa Ihalgulgit Jesus tikittugu kivgaktuktaat.
MAT.4.12	Jesuslu ilaani tuhaagami John Baptaiekti itektauvingmungaktitauman Galileemun aullaktuk, 
MAT.4.13	Nazareth kimakhugu Capaernaumungaktuk attakhuni Zebulun Naphtalim nunaaniitumun, 
MAT.4.14	Isaiam nalautaiyim ukauhiit ilumukuvlugit ukangman,
MAT.4.15	“Zebulun Naphtalim nunaa tagiup hinaaniituk, Jordam avataani, Galilee inukaktuk Jewmiungitunik – 
MAT.4.16	takanani inuit taakhivaktun kaumayuaktumik tauktukpaktun, inungnunlu tukunium tagaaniitunun kaumanek nuiyuk.”
MAT.4.17	Talvangaanin Jesus ukauyyinahualektuk ukakhuni, “Ihumaliukigitti kilaum atanguvia tikilengman.” 
MAT.4.18	Galileem tahiata hinaatigun pihuktillugu Jesus angutingnik nukagingnik tautukakhuni, kuvyaktunahuaktungnik ikalukhiuktiumanik. Aipa atikaktuk Simon, Petermik taiyauyugaluak, tapfuma anekataa Andrewmik atikaktuk. 
MAT.4.19	Jesusim ukallautiyaik, “Malikhinga iliptik inukhiuktinguktiniagaptik.” 
MAT.4.20	Tayyainak kuvyatik kimakhugit maliktaak. 
MAT.4.21	Aullamigamilu aahin Jesusim nukagik allak tautuktaik, James, Zebedeem engniga, Johnlu ilagimatku angutitik umiagmi. Kuvyamingnik havaktillugit Jesusim kaitkuyaik. 
MAT.4.22	Tayyainak kimakhugit umiaktik, angutitiglu maliktaak. 
MAT.4.23	Jesuslu Galileem nunaatigun aullainaktuk atugvingni ilihauyyivluni atanguvium ukauhianik naguyunik ukauyyivlunilu piiyakhugit aaniagutin, aiyukangnillu aaniaktunin. 
MAT.4.24	Aahin Jesusim havaangit aglingnaktun tuhaanagmata Syriam nunaani tamaini, tapfumunga aaniakhimayun, aanialgutilgillu, agiuktulgillu, kiinayuktullu, tumangayullu kagitiyauyun, tapfuma naguhipkaktain tamaita. 
MAT.4.25	Inuillu amigaitpiaktun Galileemin, iglukavingninlu kulinin, Jerusaleminlu, Judeaminlu, Jordam avataaninlu maliktaat.
MAT.5.1	Jesus inungnik amigaitunik tautukami manilgulmun maiyugaktuk. Ingimanlu maligutaita upaktaat. 
MAT.5.2	Ilihautinahualegamigit tapkua ukaktuk,
MAT.5.3	“Kuviahuktun tapkua ilingayun umatimingni, kilaum atanguvia nanminiginiagamitku.
MAT.5.4	Kuviahuktun tapkua ingumayun anuakhuktauniagamik.
MAT.5.5	“Kuviahuktun tapkua anangayayuitun kinguvakhakangniagamitigit nunat.
MAT.5.6	Kuviahuktun tapkua kaalekpiaktun imekilekhutik ilumugnengmun, ilumektauniagamik.
MAT.5.7	Kuviahuktun tapkua nagliktaktun nagligiyauniagmik.
MAT.5.8	Kuviahuktun tapkua umatilgit halumayunik, takuniagamitku God.
MAT.5.9	Kuviahuktun tapkua ningaktailingnaktun Godim kitungainik taiyauniagamik.
MAT.5.10	Kuviahuktun tapkua nangiktitauyun ilumugnek pivlugu, kilaum atanguvia piyutiginiagamitku.
MAT.5.11	Kuviahungniaktuhi inuin mamiahutigipahi uvanga pivlunga, ukanilutigiluhi ihuitumik, 
MAT.5.12	aliahuinakpagluhi, kuviahukpagittilu akiliutikhahi anginmata kilangmi, taima inuin nangiktitpagmatigit nalautaiyit inulaatinahi.
MAT.5.13	“Ilipfi inungni tagiututun-ililektuhi, tagiugli hakuekumi kanuk tagiuktun-iniaka^ Hukhaunginamik igitauyukhan tungmaktaukuvlugit.
MAT.5.14	“Ilipfilu kaumaniuyuhi inungnun. Iglukagvik manilgup kaanganiitkumi iiyektaulimaituk. 
MAT.5.15	Inumlunin kullik ikigumiuk uligunaitaa kullikagvingmun ililugu kihimi, kaumakuvlugu iglu taman. 
MAT.5.16	Ilipfi kullihi ikumainakhimalit inungnun tapkua havaapfingnik naguyunik tautukuvlugit kuyagilugulu angutikhi kilangmiituk.
MAT.5.17	“Tikihimayunga piiyakuvlugit pitkuyain ihumayukhaungituhi ilaa, tikitpaktungali pitkuyain nalautaiyinlu tiitigangit naamakhitiniaktagaluatka kihimi. 
MAT.5.18	Ilumun ukautigipfi, kilak nunalu nungutitauniagutainun pitkuyainin tiitekhanin tungnek atauhinaklunin tamagunaituk pitkuyain tamangmik naamakhilgaktinagit. 
MAT.5.19	Kinalika hapka pitkuyain ilanganik maligngitkumi maliktaililugillu inuit allat, tamna kilaum atanguviani ataniukiyaungitumik taiyauhunguyuk. Kinalikalunin hapkuninga maligumi ilithauyyivlunilu allanun, tamna ataniukiyauyumik taiyauhunguyuk kilaum atanguviani. 
MAT.5.20	Ukautigipfilu ilumugnihi naamakiyaungitpat tiitigaktin Pharisekunlu ilumugningingnin kilaum atanguvianun itegunaituhi.
MAT.5.21	“Tuhaavaktuhi hivullihi ukautigimagit imaatun, 'Inuaktailutin kinalika inuakumi uktugvingmun agitiyauyukhak.' 
MAT.5.22	Uvangali ukautiyagaluapfi imaa, kinalika katangutiminun ningakumi, tamna kanuiliyuitillugu, uktugvingmun agitiyauyukhauyugaluak. Kinalikalunin katagutiminun ukanilukumi apekhuivingmun agitiyauniagunakhiyuk, kialikalunin katangutini taigumiuk 'Ihumaitumik' aiyukakhunguyuk kapiahugvium ingninganin. 
MAT.5.23	Taima ilvin tunihivingmun aitugiaktugniaguvin itkaumagaluaktillutin katangutin ihumaluglengman ilingnun, 
MAT.5.24	aitutin kimaguk tunihivium hangani, aigiaginlu katangutin ihumaluguektikaalugu kaitfaayyavutin aitukuvlutin naguyumik. 
MAT.5.25	Ilvin imakaagiyin ilannaliuguk paaktauguptik aullautinakhavaatin uktuktimun, tapfuma itektauvigmungaktinakhavaatin. 
MAT.5.26	Ilumun ukautiyagin tapfumanga aniyunaektutin akilekhimatinatin tuniyauyukhanik tamainik.
MAT.5.27	“Tuhaavaktuhi ingilgan ukaktaumata, 'Allatuktailutin.' 
MAT.5.28	Uvangali ukautiyagaluapfi kinalika angnangmik iyigingnakumi aagiyumavlugu atautikun umamigun pivaktagaluanga tamna. 
MAT.5.29	Ilvin iyivin talitpium huinekipkakpatin ungavaguk igillugu; timivit ilanga tamakkan nagutkiak timin taman igitaukunagit kapiahugvingmun. 
MAT.5.30	Algakin talitpiumlunin huinekipkakpatin kipigiaguk igillugu; timivin ilanga tamakkan nagutkiak timin taman kapiahugvingmun igitaukunagit.
MAT.5.31	“Ukakhimayuk ingilgan, 'Kinalika nuliyaminik avipkaigumi tuniyakhagiyaa tiitekhanik avitukham naunaikutaanik.' 
MAT.5.32	Uvangali ukautiyagaluapfi kinalika nuliyaminik avipkaigumi, angnak allatuyuitillugu, allatuktunguktitaa, kinalikalunin avihimayumik nulianikumi allatuktuktauk taima.
MAT.5.33	“Aahin tuhavaktuhi kangagaaluk ukaktaumata, 'ukagianiluktailutin, Godmunli ukagiagaiguvin ukagiyautin maliglugit kihimi', 
MAT.5.34	Uvangali ukautiyagaluapfi ukagiaktailutin kilakun, Godim ikhivautagimagu, 
MAT.5.35	nunakunlunin, Godim itigagvigimagu, Jerusalemkunlunin, Atanekpaum iglukagvigimagu. 
MAT.5.36	Huli ukagiaktailutin niakuakun ilvin nuyakit ilangatlunin allanguktilimainangni kakuktamun kengnagiktumunlunin. 
MAT.5.37	Ukagaiguvin 'Ilaa'-inakpaglutin, 'Imanak'-inakpaglutinlunin ukagiakhimaitumik allanik.
MAT.5.38	“Tuhaavaktuhi ukaktaumata 'Iyi iyingmik, kigun kigumik himmeglugit.' 
MAT.5.39	Ukautiyagaluapfi inuk aanekhiyumainakkan ilingnik tapfumunga kanu-iliyukhaungitkaluaktutin. Inuk tiglukkan uluangnun tamna pipkaklugu igluanun, 
MAT.5.40	inuglunin tuhuluni pinahualekpagu atigin kulitangniklu tuniguk, 
MAT.5.41	kialikalu akhugluni aullautitpatin ingilgakuvlutin mailmun atauhengmun, aipagilugu malgunun. 
MAT.5.42	Inuk tukhiakkan ilingnin tunivigilugu, atukiktilugu kinalika atukiktitauyumayuk.
MAT.5.43	“Tuhaavaktuhi ukaktaumata kangagaaluk, 'Nuakatin nagugiyakhan akiganli nagugitailugu.' 
MAT.5.44	Uvangali ukautiyagaluapfi, akigahi nagugihigit, inuillu nangiktitpahi kengautilugit 
MAT.5.45	kitungaulekuvluhi angutipfingnun kilangmiitumun tapfuma hikeni nuikumagu naguyunun nagungitununlu nipaluggutilugit ilumuktun ilumugngitunlu. 
MAT.5.46	Nagugiyihi kihimi nagugigupfigit kanuk akiliuhiangnialekihi? Manilekhiyitauk taimaliungilat? 
MAT.5.47	Katangutihi kihimi hallugupfigit allanin ayyikingituhi, Jewmiungitun taimalingnakngilat? 
MAT.5.48	Ilipfili ilumuktukhauyuhi Angutikhi kilangmiituk ilumugman.
MAT.6.1	Ilaa ilumuktumik pitailuhi inuin takuangni tapkua tautuktinakuvluhi akiliuhiagunainakhavuhi Angutipfingnin kilangmiitumin.
MAT.6.2	“Imaatun, aitugaiguvin huvluktagaliktuktailutin ilumukhektutun atugvingni, apkutainilu, kuyagiyaumata inungnin. Ilumun ukautigipfi, tapkua akiliuhiakpaktun. 
MAT.6.3	Ilvin aitugaiguvin algakkin haumit nalulit talipikpit aitutikhaanik 
MAT.6.4	aitutin tautaugnaitkuvlugit, Angutivillu tautuktum tautugnaitumik akilekhunguyaatin.
MAT.6.5	“Kengagaiguvinlu ilumukhektutun-itukhaungitgaluaktutin tapkua nangekumainangmata kengakhutik katimavingni, apkutinilu, tautuktauyumavlutik inungnin. Ilumuktumik ukautigipfi, tapkua akiliuhiakpaktun. 
MAT.6.6	Ilvilli kengagaiguvin iglungnun itegin ukuakaalugulu Angutin tautugnaitumiituk kengagvigiguk, Angutivillu tautuktum tautugnaitumik akilekhunguyaatin. 
MAT.6.7	Kengaktilluhilu ukainagialikaktailuhi naluyutun tapkua ukauhimigun amigaitutigun tuhaayaunahuginmata. 
MAT.6.8	Tapkuanaatun-itailuhi ilipfi Angutikhi piyakhapfingnik ilihimangman apegitinakhi.
MAT.6.9	Imaatun kengakpagluhi.
MAT.6.9	Angutikput kilangmiitutin.
MAT.6.9	Atkin nagugiyauli.
MAT.6.10	Atanguvin kaili,
MAT.6.10	Ihumatin taimaliullit nunami kilangmi-iliyutun.
MAT.6.11	Uvlumi nekikhaptingnik aituktigut
MAT.6.12	Huinekutiptingniglu ihumagiyunaeglutin,
MAT.6.12	Huinekiyigiyavut ihumalutigihuigaptigit,
MAT.6.13	Uktuktaunegmun hivulliuktailuta tupilagminlu annautitigut.
MAT.6.14	Ilipfi huinekutain inuit ihumagiyunaegupfigik Angutipfi kilangmiitum ihumagiyunaegviginiaktaahitauk. 
MAT.6.15	Ilipfili inuit ihumagiyunaegvigingitkupfigik Angutipfi huinekutihi ihumagiyunaegunaitaintauk.
MAT.6.16	“Negitailigaigupfilu akuliapfi tautugningit allanguktitailugit ilumukhektutun, tapkua akuliatik pingiyakpagmatigik negitailiyututun-itkuvlugit inungnun. Ilumun ukautigipfi, tapkua akiliuhiaktun. 
MAT.6.17	Ilvinli negitailigaiguvin niakuan ukhukteglugu akulianlu uallugulu 
MAT.6.18	tautugnakunatin inungnin negitailigaluaktillutin, Angutingnin tautugnaitumin kihimi, Angutivillu tautuktum tautugnaitumik akilekhunguyaatin.
MAT.6.19	“Pikutinik akituyunik tutkugiaktuktailugit nunami kupilgut kattiniumlunin nungutihungumatigik kukinagialgitlunin. 
MAT.6.20	Pikutinigli akituyunik ilipfingnun tutkugiaktuglugit kilangmi, kupilgut kattiniumlunin nungutilimaimatigik, kukiyuktunlu kukilimaitpiangmata tapkuninga. 
MAT.6.21	Ilipfi piyutikagvipfingni-itpata pikutihi umatihitauk talvaniiniaktun ilaa.
MAT.6.22	“Timim iyi kaumanegiyaa. Iyin nagutpan timin kaumangniaktuk. 
MAT.6.23	Iyin nagutngitpanli timin taakhiniaktugaluak. Ilungni kaumanit taakhigumi taakpiaktuk akhun taima.
MAT.6.24	“Atanengnun malgunun inuk kivgaktulimaituk, aipa nagugiyunainamiuk aipanga nagugikuvlugu, imaalunin, inum aipa tuhaaniagamiuk aipanga nagugiyunaitkaluaktillugu. Ilipfitauk Godmun, Nunaum pikutainunlu atautikun kivgaktulimaitkaluaktuhi.
MAT.6.25	“Aahin ukautigipfi, inuhihi ihumalutigitailugit, nekihapfingniglunin imikhapfingniglunin, timipfilunin annugakhainik. Inum inuhiga nagutkiyaungilak nekimin, timimi annugaininlunin? 
MAT.6.26	Tautugiakhigit kupanuat. Tapkua nautiyekhiyuitun katihingitkivlutik tutkukhivingnun, Angutipfili kilangmiitum negipkakpaktagaluangit tapkua. Ilipfi tapkunanga nagutkiyaungilahi? 
MAT.6.27	Nallipfingnin kina ihumalukumi tukuningata tikiniagutaanik nutkangniakka? 
MAT.6.28	Aahin annugaktigun hug ihumalukpihi? Nauttiat nunamiitun ihumagihigik naulengmata; tapkua havagiaktugyuitun atigiliungitkivlutik, 
MAT.6.29	ukautiyagaluapfi Solomon pikutiminik akitukpiaktunik pikakaluaktillugu tamna annugakhimaitugaluak ukuanatun nauttiaktun. 
MAT.6.30	Ivgit nunamiitun uvlumi naulektun, akagugunmanli igitauyukhat ingnengvingmun. Godim ivgit annugaktigumigit, tapfuma annugaktitunaitpahi, ukpegnekukituhi? 
MAT.6.31	Talva ihumaluktailivagluhi ukagluhi 'Humik neginiakkita? 'Humiglu imengniakkita?' imaalunin, 'Kanuk annugakhakangniakita? 
MAT.6.32	Tapkua tamaita Jewmiungitun piyumangmatigik; Angutikhili kilangmiituk piyakhapfingnik tapkuninga ilihimayugaluak. 
MAT.6.33	Godim atanguvia, ilumugnigalu pinahualegupfigik tapkua tamangmik tuniyauhunguyun ilipfingnun. 
MAT.6.34	“Talva akagu ihumalutigitailuhiuk, akagu inminik ihumalugnagialik. Uvlum ihumalugningit naamalit inminun.
MAT.7.1	“Uktugiaktuktailuhi uktuktaukunahi ilipfi. 
MAT.7.2	Uktugiaktugupfi uktugiaktunipfingnik uktuktauhunguyuhi ilipfi ayyikiitumik piluhi. 
MAT.7.3	Ilvin katangutivit iyingani iyyiun hug takuviuk malugingitkaluaktillugu keyuk iyingnihimayuk? 
MAT.7.4	Kanuktuntauk katangutin ukautiniakkiuk imaatun, 'Uvanga iyyiut pieglagu iyingnin', iyin keyukakaluaktillugu ilvin? 
MAT.7.5	Ilumukhektuktutin, hivullengmik iyingnin keyuk pieguk tautuktiakuvlutin iyyiut piekuvlugu katangutivit iyinganin. 
MAT.7.6	Kenmit tunitailugit humillika nagutpiaktunik pinekutiniglu tuktuklugnun, tapkua tutinakhavain ugiagumavluhi ilipfi.
MAT.7.7	“Tukhiagitti tunihiviuniakuvluhi talva, kenigitti pakekuvluhi, tigluktugittilu ukuiguyyaukuvluhilu. 
MAT.7.8	Kinalika tukhiagumi tunihiviuniaktuk, kenigiaktugumilunin pakengniaktuk, tigluktugumilunin tamna ukuiguyyauniaktuktauk. 
MAT.7.9	Nallipfi kia inum tapfuma engningata tukhiagvigipani mukpauyamik, uyagagmik tuniniakkauk? 
MAT.7.10	Tukhiagvigipani ikalugmiglunin nimegiagmik tuniniakkauk? 
MAT.7.11	Ilipfili nagungitkaluaktilluhi nutakahi tunigupfigik naguyumik, Angutipfi kilangmitum nagutkiyanik tuniniagunakhiyain tapkua inuit tukhiagvigipayyuk.
MAT.7.12	“Ilipfi kanu-iliugutikhapfingnik piyumagupfi inungnin, ilaa ayyikutaaniktauk taimaliukpagluhi tapkununga; pitkuyat, nalautaiyitlu tiitigangit maliktauyun taima.
MAT.7.13	“Itegvingmun negukiktumun itegitti, itegvik, apkunlu aullayuk nungutitaunegmun negutuman, amigaitunlu inuit atuktaat tamna. 
MAT.7.14	Inunengmunli itegvik negukitpiaktuk, apkunlu aiyungnaktuk, tapkuatauk atuktaat ikitugaluit.
MAT.7.15	“Upingakhitailuhi nalautaiyimagluktunin tikitpahi annugakakhutik imnaitun ilumingnili amakuktun ugiaktutun-ililektugaluit. 
MAT.7.16	Tapkua ahiagingnin ilitaginiaktahi. Inuit ahianikkat grapesnik ukpingnin, figniglunin kakilautilingnin? 
