PRO.2.1	гьула̄зу дие амро-насигьатлана ми дибола йакӀиъ йовахда,
PRO.2.2	Аᵸкъиллъилахъа энекзи йахъал аьᵸгъана жухъна зогъда,
PRO.2.2	аᵸкъло михъаллакьа йакӀис кулна зогъда,
PRO.2.3	Аᵸкъло-насигьатна ми дудой илӀеда,
PRO.2.3	аᵸкъло-лъайна дудой бокӀда,
PRO.2.4	Окколас аьᵸгачой ми гьулина йиᵸзда,
PRO.2.4	мизаъ йиᵸхъолло хазиналгъацой, ми гьолълъогъой муьгъалӀна эᵸкьеда,
PRO.2.5	БетӀергьаллихъа гьичӀейолъи сийо жо йахъцасна йикъеш дул,
PRO.2.5	Аллагьлила илмолакьана оᵸкъас ми.
PRO.2.6	БетӀергьаллийа̄ъ аьᵸкъиллъи ницца,
PRO.2.6	Гьолцоъкьа̄йа̄ъ цӀодорлъина лъайна михъос.
PRO.2.7	ЙакӀо йаᵸцова̄ аьдамла̄л ко̄ гуцӀолал нитоназу гьаьдураб гей Гьули,
PRO.2.7	гьаьлаллъилаъ мекье-гугьцалал къейо тил тухъинна эчеш Гьули.
PRO.2.8	РитӀухълъилаъ эᵸкье-гогьцалас гьинодана цӀуми йовагьца Гьолцо,
PRO.2.8	гьинила муъмин-сукӀос гьинодана гьинкъи гаьчча̄ йовагьца.
PRO.2.9	Дӣхъа энекзи ахълъо, йакӀо йаᵸцо̄лъина, битӀараблъина, гьаьлалаблъина – вагьли сийо йахъцана дул йикъеш,
PRO.2.9	гьула̄зу дибо къацӀцӀа̄ гьинодана кӀетӀа̄ йа̄хъца.
PRO.2.10	Дул аᵸкъиллъи йиᵸхъолъ,
PRO.2.10	илмо-лъайна дибола руьгьлил ахо бахъца.
PRO.2.11	Бета кӀетӀо-цаццо гьацокӀал йикъейа жойла ми цӀуми овас,
PRO.2.11	цӀодорлъила ми тиса уьᵸхолаш.
PRO.2.12	Чикейа̄ аьдаьмла̄ла гьидсо ми аᵸкъиллъила цӀуми овас,
PRO.2.12	мекъаб-тӀекъаб нисоцала̄кьасна хъосар овас.
PRO.2.13	КолӀлӀа̄ гьинода̄кьа̄ мекьал ба̄тӀна,
PRO.2.13	гьолло кӀетӀо гьино йечанне̄ш.
PRO.2.14	Кешлъи йо̄вакьа рази ба̄хъца гьолло̄л,
PRO.2.14	чикейа пасадлъилакьана гьоллос йакӀода цӀийабалӀос.
PRO.2.15	Гьоллос гьинодана чӀикӀ-чӀекӀдийа̄ гей,
PRO.2.15	гьоллокьалакьа̄ мекьейа̄сна гьино кьичӀеш.
PRO.2.16	Аᵸкъиллъила цӀуми о̄с ми сукӀола ахъакьасна,
PRO.2.16	гьолълъола бихха мицакьасна.
PRO.2.17	Оьлохъанлъилаъ зукъойо гьудул эчанне̄йо гьолълъо,
PRO.2.17	гьинила Аллагьли халкъилал нилӀийо йаьжена амрона шоъилло гьолълъо.
PRO.2.18	Гьолълъола билӀо-къайлина ми хелликьа оᵸкъолца,
PRO.2.18	гьолълъос гьинона бувагъова̄дой эᵸкьецас гьино гей.
PRO.2.19	Гьолълъодой гьицакийо гьоᵸсна сукӀо кьа̄ь оᵸкъаъас,
PRO.2.19	цӀиддаса оьмролаш гьинона гьоллол йиᵸхъаъас.
PRO.2.20	Вагьалълъобза ми кӀетӀа гьидкьа̄ эᵸкье-гогь,
PRO.2.20	муъмилла̄с гьинона ми йоха.
PRO.2.21	ЙакӀо йаᵸцова̄ аьдамла вагьалӀо Аллагьли нилӀийа мицакьа ба̄хъца,
PRO.2.21	мунагьла гаьчча̄на ракьликьа кьодо гьихбалъос.
PRO.2.22	ЙакӀо чикейа̄ аьдамлана дунналикьас бовахна тӀувацца,
PRO.2.22	хийанатлъи йогьцас аьдамлана мицакьас хемухаъасзу боваъилца.
PRO.3.1	Йе дие оьжо, дие малъ-хъайлана шоваъла̄къа,
PRO.3.1	дие амрована йакӀиъ йоваха.
PRO.3.2	Гьолло дибо оьмро бихалокӀца,
PRO.3.2	дул сагъ-саламатлъина насиб йо̄с.
PRO.3.3	Гургьел-цӀобна божилъина тӀутӀа̄къа,
PRO.3.3	гьоллол билъалъ абоцацой йеᵸйахела,
PRO.3.3	йакӀила лӀибакьана ча̄ха.
PRO.3.4	Гьолълъогъа муьгъатта̄ Аллагьна аьдамлана рази ба̄хъца дӯкьа,
PRO.3.4	кӀетӀо ца̄на гулца дӯкьа.
PRO.3.5	ЙакӀо йоᵸкъонна БетӀергьалликьа ми бож,
PRO.3.5	дибола аᵸкъло-лъайликьа божна эᵸкье-гова̄къа.
PRO.3.6	Нӣйо гьино йохдана, Аллагь икъелал икье-аькье ми –
PRO.3.6	дул кӀетӀо гьино йегалца Гьолцо.
PRO.3.7	Мизу дул аᵸкъил гейлӀо гицӀа̄къа.
PRO.3.7	БетӀергьаллихъа гьичӀе, кешлъиладойс ата̄к;
PRO.3.8	Дибола магъол дарулъилаъ йахъца гьули,
PRO.3.8	дибо бицодана къуватабла йовагьца гьолълъо.
PRO.3.9	БоцӀи-ризкъилас бутӀана, гьула̄зу мицалъ гуцӀойо аьᵸйдда̄ш муькъона
PRO.3.9	ми БетӀергьаллил назро йова.
PRO.3.10	Бета дибо баькьла муькъодаш йовацца,
PRO.3.10	кӀейана ицӀцӀа гъинолис нитоназу гъоьдо богьна боцца.
PRO.3.11	БетӀергьаллис адло-тадбир ми боха, дие оьжо,
PRO.3.11	Гьолцо дӯкьа аьйиб гуллъо ми данде эца̄къа.
PRO.3.12	Гьинил аццала сукӀол бо̄с БетӀергьалли адло;
PRO.3.12	абол аццала оьждисцой гьолцос тӀалабна бо̄с.
PRO.3.13	Гьардараб гаьъад аᵸкъиллъи гьинил йиᵸхъойо сукӀо,
PRO.3.13	гьула̄зу гьинил аᵸкъло-лъай михъойо сукӀона!
PRO.3.14	Аᵸкъиллъи йиᵸхъо̄лъи кӀетӀо гей йаᵸцойо окколас аьᵸга михъовагъа,
PRO.3.14	йаᵸцова меседлигъа кӀетӀо гей гьолълъоъкьа̄ йиᵸхъоцас жона.
PRO.3.15	Жавгьар-якъутлигъана
PRO.3.15	дул йакӀил йаццас къацӀцӀо жо гьолълъол данде йоᵸкъойхъаъас.
PRO.3.16	Гьолълъола кӀетӀакьала каъ гей оьмролаш йихалолъи,
PRO.3.16	оᵸкьакьала каъ гей бечелъина къадро-къиматна.
PRO.3.17	ЙакӀил раьгьат бахъцас кӀетӀа̄ гьинода гей гьолълъос,
PRO.3.17	къацӀцӀола гьолло гьинода̄на рекъеллила гьид бейажеш.
PRO.3.18	Аᵸкълолакьа муьхо-маьхецала̄л оьмролаш хоьхо гей гьоло,
PRO.3.18	гьолълъол михъа̄ тил тухъилла̄на талигьабла гей.
PRO.3.19	Аᵸкъиллъилаъкьа̄ БетӀергьалли вагьалӀо ракьлил бигъа гулло,
PRO.3.19	аᵸкълолаъкьа̄ гьасна йилӀакъолло.
PRO.3.20	Гьолцола лъайлиъкьа̄ мицакьа эᵸхейа йеᵸйагьийо,
PRO.3.20	гьаса-мусаъкьа̄ мицакьа водо гуйиллийо.
PRO.3.21	Йе дие оьжо, къона жо гьаьгъа аьᵸйда̄ш йолъола̄къа ми –
PRO.3.21	аᵸкълолакьа оᵸкъо-тохъийолъина кӀетӀо-цаццо батӀа йовал йикъейолъина:
PRO.3.22	вагьли йахъца дибола оьмролал чӀаголъи,
PRO.3.22	гьула̄зу билъалъ йеᵸхелцас кӀетӀо тетена.
PRO.3.23	Гьолълъогъа муьгъатта̄ ми гьоᵸсна гьичӀечӀе эᵸкьеш дибола гьидлакьа̄,
PRO.3.23	хаьбана хаьлӀе муьхъаъаш дибо.
PRO.3.24	УтӀал аᵸко эᵸкьелъна ми гьицӀаъас,
PRO.3.24	утӀна йоᵸкъойо малӀона кӀетӀо йахъца.
PRO.3.25	ЙакӀкьа гаьчӀел мокъова балагьлихъана гьицӀа̄къа,
PRO.3.25	мунагьла тели гаьгьийа̄кьа йоᵸкъоцала къарилъилахъана гьицӀа̄къа.
PRO.3.26	БетӀергьан Аллагь ахъца дул михъа̄ тигъа тухълал йоᵸсоцой,
PRO.3.26	дибо хаьба къорлиъ михъанна мейаъас Гьолцо.
PRO.3.27	Дӯхъа йогьна йахъцас кӀетӀослъина,
PRO.3.27	вере, рес гаьчча сукӀол йойчӀе йечаннейа̄къа.
PRO.3.28	Гьицала мадугьаллил йатӀийо жо дӯхъа зогъда,
PRO.3.28	гьолцохъа ниса̄къа ми же ата̄ олъолӀо,
PRO.3.28	бета гогьлӀо, хиса нилӀаллӀо нисона.
PRO.3.29	Дӯъ божилъи гаьгьийа мадугьаллил кешлъилал иᵸгьолда̄къа.
PRO.3.30	Дул кешлъи йойэшла сукӀогъой аьдада даьъба бова̄къа.
PRO.3.31	Зулмо-сукӀол йахъийакьа ми йакӀо йагъолла̄къа,
PRO.3.31	гьолцола гьинода̄ъас гьоᵸсна кьодос гьино гьакӀа̄къа.
PRO.3.32	Мекълъи-тӀекълъи йогьцас сукӀо БетӀергьаллил атӀаъас,
PRO.3.32	валийа Гьолцо гьиндой гьицадаба̄кӀца.
PRO.3.33	Кешлъи йогьцала сукӀола билӀокьа БетӀергьаллис наьъана мокъос,
PRO.3.33	муъмилла̄ла билӀо-аᵸхакьа Гьолцо баркат мокъолца.
PRO.3.34	КӀетӀосинабликьа лъоᵸвабацала аьдамла̄кьа Гьули лъоᵸвас,
PRO.3.34	мутӀиъ бахъийа̄кьа Гьули рази ахъца.
PRO.3.35	Аᵸкъилла̄л ирслиъ къадро-къимат михъос,
PRO.3.35	аьбдалла̄л инжитлъи-гьаькъирлъи телилъца.
PRO.4.1	Абола малъилахъа энекзи ба̄хъ, оьжда,
PRO.4.1	ахо энекзи ба̄хъ, мизолзу аᵸкъло мокъалъгъа.
PRO.4.2	КӀетӀа̄ аᵸкълова до мизол нийацца.
PRO.4.2	Дие амрона миже шоъла̄къа.
PRO.4.3	До зукъойо диела абос итӀино оьжо,
PRO.4.3	диела ийос гьоᵸс гаьгьийо атӀийо къована.
PRO.4.4	Або дил аᵸкъло нилӀна, гьолцо дӣхъа ниса̄гьийо:
PRO.4.4	Дие йаьжбо йакӀиъ йеᵸйагьа;
PRO.4.4	диела амролакьа уьᵸхо-аьᵸхеда, чӀаго гьихлъас ми.
PRO.4.5	Аᵸкъиллъи тӀалаб йова, аᵸкъло-насигьат тӀалаб бова.
PRO.4.5	Диела сикӀаъкьа̄ гувагьийа̄ йаьжбо шоваъла̄къа,
PRO.4.5	до малъзи йо̄ва жойлакьас тарзи ахъа̄къа.
PRO.4.6	Аᵸкъиллъи тӀутӀна йечаннейа̄къа, гьолълъо ми цӀуми о̄с;
PRO.4.6	дул гьули йатӀ, гьолълъо ми цӀуми о̄с.
PRO.4.7	Аᵸкъиллъилас авал йахъца аᵸкъло бокӀоллолъи,
PRO.4.7	дибо бечелъина йиᵸсона, ми аᵸкъло-насигьат боха.
PRO.4.8	Аᵸкъиллъилас ми гьуьрмат бова, гьолълъо мина кьодда̄кӀца;
PRO.4.8	ми гьолълъол аᵸлъо йоцӀа, гьолълъо дибо къадро-къимат кьодда̄кӀца.
PRO.4.9	Дибола къаьмкьа кьодо кӀетӀо матӀайиᵸцо гулца гьолълъо,
PRO.4.9	кьухъийо тажна
PRO.4.10	Йе дие оьжо, дӣхъа энекзи ахъ ми,
PRO.4.10	дие йаьжбо аьᵸдалаъ йеᵸйагьа –
PRO.4.10	гьолълъохъа дибо оьмро бихалолъца.
PRO.4.11	До дул йегалца аᵸкъиллъилас гьино,
PRO.4.11	йаᵸкъойцӀойо шагьейалаъкьа̄ йежеш до ми.
PRO.4.12	Эᵸкьешлаъ, хаьба багъал загьмат бахъаъас дул,
PRO.4.12	чӀанагъона эᵸкьешлаъна хаьба къе̄ мехаъас.
PRO.4.13	Малъ-хъайла̄хъа энекзи ахъ, гьолло̄л йакӀиъ цӀуми йовагьа –
PRO.4.13	вагьли дибо чӀаголъи гей.
PRO.4.14	Лъаькъейа̄ аьдамла̄ла гьидна ми хаьба гухъла̄къа,
PRO.4.14	чикейа̄ сукӀоба̄ла гьидкьалакьа̄на эᵸкье-гова̄къа.
PRO.4.15	Вагьли гьино ата̄ йоха,
PRO.4.15	гьолълъокьа кьодолакьа̄на эᵸкьа̄къа,
PRO.4.15	гьули гаьлъгъа йечаннегьна, шеблаъкьа̄ эᵸкье.
PRO.4.16	Кешлъи йоваъда гьоллос гьаьйда йиᵸйабацаъас,
PRO.4.16	гьоᵸсдана сукӀо къаьм лӀийода̄ эклаъда, гьоллос малӀо йоᵸкъаъас!
PRO.4.17	Кешлъи йо̄с гьолло баьба муьхъчалаъцой,
PRO.4.17	Зулму бо̄с гьолло гъино хулӀослаъцой!
PRO.4.18	Муъмилла̄с гьино йеᵸлъейо йахъца бихъола канлъилалъ,
PRO.4.18	хискьалакьа̄ лӀобакьал гьули йилӀа бабалолъца.
PRO.4.19	Лъаькъейа̄ аьдамла̄ш гьино гьаьъ хаьлӀейо колӀлӀо йахъца,
PRO.4.19	на̄ хаьба гьидеш мехецасна бикъаъас гьоллол.
PRO.4.20	Йе дие оьжо, дие йаьжбо аьᵸдалаъ йеᵸйагьа,
PRO.4.20	диела каламлихъана энекзи ахъ.
PRO.4.21	Ми гьаьгъа аьᵸйда̄ш гьолло̄л йоваъла̄къа,
PRO.4.21	йакӀила оᵸкьаъ цӀуми йовагьа.
PRO.4.22	Вагьалло̄л йаьжбо гьидел йиᵸйахъова̄л чӀаголъи йиᵸхъос,
PRO.4.22	гьоллола магъол дарулъилаъна йа̄хъца.
PRO.4.23	Дибола хазиналгъана ахо цӀуми йова дибо йакӀо,
PRO.4.23	гьулиъкьа̄йаъ гувагьца чӀаголъилас лъӣбо.
PRO.4.24	СикӀас гьилла-макро дудойс цацакӀзи йова,
PRO.4.24	мицас мекълъи-тӀекълъина дудойс ата̄кӀа.
PRO.4.25	Дибо гьаьйда йаᵸкъойцӀо гувабацӀала,
PRO.4.25	дибо говацӀо̄лъина йаᵸкъойцӀо аьᵸйда̄ говацӀо̄лъи йахъала.
PRO.4.26	Дибола гьид аᵸкъойцӀо эᵸкьеда,
PRO.4.26	бадло къацӀцӀола гьинода̄кьана гьичӀейолъи гьаъа дул.
PRO.4.27	Йа кӀетӀакьалаъда̄, йа оᵸкьакьалаъда̄ кӀаьй уьᵸха̄къа ми;
PRO.4.27	дибозу хаьба кешлъиладойс ата̄кӀа.
PRO.5.1	Йе дие оьжо, энекзи ахъ диела аᵸкълолахъа,
PRO.5.1	до нисоцала жойлас маьънана бова.
PRO.5.2	Гьолълъоъкьа̄ ми бичӀи-лъай гаьгьийо ахъас,
PRO.5.2	дибола сикӀала каламлиъ илмо-лъайна бахъас.
PRO.5.3	СукӀола ахъала сикӀаъкьа̄ нуцо гӯс, йеᵸлъ йеᵸхеллаълъийо бахъца гьолълъо нисоцас хабарна.
PRO.5.4	Амма гьолълъодда̄ла йахъцас жона хаьчӀи-бохлъийо никъа̄йо йахъца,
PRO.5.4	балъайлъийо тушойона йахъца.
PRO.5.5	Гьолълъола хаьбала̄ хеллиъ бейажеш,
PRO.5.5	журжагьлиъ йеᵸйакьецас йа̄хъца гьолълъос хаьба̄на.
PRO.5.6	Гьинила оьмролала гьинолис пикрона боваъас гьолълъо,
PRO.5.6	чӀикӀ-чӀекӀдийа̄ гьинода̄кьа йеᵸкьецас гей гьоло гьинилзу йикъечӀе.
PRO.5.7	Гьаᵸже, дие оьжда, миже дӣхъа энекзи ба̄хъ,
PRO.5.7	диела сикӀаъкьа̄ гувагьийа̄ йаьжбона ата̄ йоваха̄къа.
PRO.5.8	Гьолълъо аьдаьмлидойс ата̄кӀа дибо гьино,
PRO.5.8	гьолълъола аᵸцлидойна гьицака̄къа,
PRO.5.9	дибо къуват сукӀол мекьечӀе гьихлъанна,
PRO.5.9	гургьел гаьччал дибо оьмролаш лӀӣбо йеᵸйакьечӀе гьихбалъанна йадда;
PRO.5.10	дибола боцӀи-ризкъила сукӀола аьдамла̄ш оᵸха йовацӀлечӀе гьихлъанна,
PRO.5.10	дул загьматлъи йегана йо̄йо жо сукӀола билӀоъ йеᵸкьечӀе гьихлъанна йатӀна зогъда.
PRO.5.11	Бетана ми угъаллакьа зигардизи ахъца –
PRO.5.11	къуватна гикьа мокъова, магъона заип бахъийа мехлаъ.
PRO.5.12	Бета ми нисас: «Малъ-хъайна аᵸкълона дил ригьзи бахъийас куц,
PRO.5.12	кантӀизи ахъийолъина диела йакӀи гьаькъир йогьцас зукъойо куц!
PRO.5.13	Дил малъ-хъай богьцала̄с калам аьᵸдалаъ мейэш до,
PRO.5.13	аᵸкъло-насигьат ниццала̄хъана энекзи ахъеэш.
PRO.5.14	Халкъиладойна жамаъатлидойна аьᵸйда̄
PRO.5.14	дӣкьа букъо балагь мокъал бахъца».
PRO.5.15	Дибола лъикьас гугьцасна,
PRO.5.15	гьула̄зу дибола таьгьризлиъис йоᵸкъоцасна лъи хулӀа.
PRO.5.16	Дибола мокӀиъис лъи къатӀла̄ъ йеᵸкьал нуцӀаъас,
PRO.5.16	майдалла̄кьа, эᵸхейа йа̄хъна, тор йеᵸкьал нуцӀаъас гьули.
PRO.5.17	Гьоᵸс ми бетӀергьанаб йахъал нуцӀос гьули лъи,
PRO.5.17	бадлос къацӀос йахъал нуцӀаъас.
PRO.5.18+PRO.5.19	Дибо лъи гуцӀова мицал баркат гулала,
PRO.5.18+PRO.5.19	анталаъ йоᵸкъова ахъа рази овала.
PRO.5.18+PRO.5.19	Дул хирияб билъона гьоло,
PRO.5.18+PRO.5.19	гьайбатаб жайранна гьоло!
PRO.5.18+PRO.5.19	Гьолълъола берцинлъила нитоназу йакӀо йоцӀлала дибо,
PRO.5.18+PRO.5.19	гьолълъола рокьиланна нитоназу мутӀиъ ахъна гьихлъала ми.
PRO.5.20	Ми суд, дие оьжо, сукӀола ахъал мутӀиъ ахъал нуцӀона,
PRO.5.20	сукӀола ахъал аᵸлъо йоцӀал нуцӀона.
PRO.5.21	БетӀергьаллила гьаьйда̄дой аьᵸйда̄ гей инсаллис оьмро,
PRO.5.21	инсаллис къацӀцӀа̄ гьинодана йийакъеш гьолцол.
PRO.5.22	Лъаькъейо сукӀо гьинила чикейа ишла̄ къази огьна охца,
PRO.5.22	гьинила мунагьла̄ гьули кӀиц гунна иᵸцос.
PRO.5.23	Нисойо йоваъалъ гьули угъас,
PRO.5.23	гьинила аьнтлъила къоссина овас.
PRO.6.1	Йе дие оьжо, мадугьаллидда̄ла гьогцо нилӀал нуцӀойо оккона ми дӯкьа кьодо йохда,
PRO.6.1	сукӀола сукӀодда̄ла къотӀи богьна ко̄на йилӀакъонна йохда,
PRO.6.2	дибола сикӀаъас гӯва йаьжи ми къорлиъ иᵸхъолца,
PRO.6.2	ми нилӀийа йаьжи илӀакъонна охца.
PRO.6.3	Ми мадугьаллила каъ кези ахълъо, гьолълъо къорлиъис, сийо йогьнана эццакал аьмал бова, дие оьжо.
PRO.6.3	Эᵸкьанна эᵸкьена, инжитаб гьаьлълъилакьа гьолцо мадугьаллидой аьᵸйда̄на эчена, гьардизи ахъ.
PRO.6.4	Дудойс малӀо йоцӀа,
PRO.6.4	милӀал гьаьйда йиᵸйацолал йеᵸйагьа̄къа.
PRO.6.5	Билъохъаллихъас мецакал жайралли валатӀо богьцалаъцой,
PRO.6.5	мигьна̄ йовахцала сукӀохъас ко̄ъос меццакал лӀаха-маче мигьнали бикьецалаъцой,
PRO.6.5	мизу хъосар ахъал аьмал бова.
PRO.6.6	Йа кӀаъаб сукӀо, дулзу аᵸкъло мокъал,
PRO.6.6	ми гьуᵸцалдой эᵸкье, гьоло муьхо-маьхецалахъана говацӀо.
PRO.6.7	Гьолълъос йа гьаьким гаьъа,
PRO.6.7	йа гьолълъокьа кьодо голло хъаравул гаьъа,
PRO.6.7	йа хан гаьъа.
PRO.6.8	Амма гьолълъо азодо гьинил йуьᵸхъал оьлло жо йо̄с,
PRO.6.8	муькъо-бох йокӀолцола замаллиъ йуьᵸхъал жона йокӀолца.
PRO.6.9	Йа кӀаъаб сукӀо, нитокцалди ми уьча̄хена эчеш?
PRO.6.9	Нитод ми милӀалъцо лъуьълӀош?
PRO.6.10	Даьгьабба̄жана уьча̄хаш,
PRO.6.10	даьгьабба̄жана гьаьйда йиᵸйацолас,
PRO.6.10	ко̄дана сидкьа гьоᵸсо гуванна йоькькьаша̄жана утӀна эцас ми.
PRO.6.11	Вагьалълъо мехлаъ къачагъцой йоᵸкъас дудой мискинлъи,
PRO.6.11	лъаькъейо сукӀоцой йоᵸкъос дудой йазихлъина.
PRO.6.12	Мекъабла йаьжла̄ш сикӀона йоцӀинна
PRO.6.12	эᵸкье-го̄с гьаьликатабна къаьдарабна сукӀо.
PRO.6.13	Дӯхъа оᵸтӀоласлаъ, гьолцо гьаьй йаькьелца,
PRO.6.13	хаьба къе̄ баькьелца, зокьла̄д ишара бо̄с.
PRO.6.14	Гьолцола йакӀиъ инжитлъи-къабигьлъи гей;
PRO.6.14	нитоназу кешлъи йовал иᵸгьолдас гьули,
PRO.6.14	нитоназу аьдамла даьъба-йаьжла̄ъ ме̄ш гьолцо.
PRO.6.15	Амма йакӀкьа гаьчӀел хел мокъос гьолцокьа,
PRO.6.15	гелокьасзу угъос гьули – гьолцол комак михъаъас.
PRO.6.16	Гьула БетӀергьаллил йатӀаъцас илъна жо,
PRO.6.16	гьула̄зу Гьолцол йакӀил йатӀаъцас алӀнасна жо:
PRO.6.17	букъа аьмалликьа говацӀо̄лъи,
