GEN.1.1	Pada mulanya, ketika Allah mula menciptakan alam semesta,
GEN.2.4	Demikianlah riwayat penciptaan alam semesta.
GEN.2.4	Pada masa TUHAN
GEN.2.5	belum ada benih yang bercambah dan belum ada tumbuh-tumbuhan di atas bumi, kerana Allah belum menurunkan hujan dan belum ada orang yang mengusahakan tanah, 
GEN.2.6	tetapi air keluar dari bawah permukaan bumi dan mengairi tanah.
GEN.2.8	Selanjutnya TUHAN Allah membuat taman di Eden, di sebelah timur, lalu menempatkan manusia yang sudah dibentuk-Nya itu di situ. 
GEN.2.9	 Di taman itu TUHAN Allah menumbuhkan segala jenis pokok yang cantik, yang menghasilkan buah-buahan baik. Di tengah-tengah taman itu tumbuh juga pokok yang memberi hidup, dan pokok yang memberi pengetahuan tentang yang baik dan yang jahat.
GEN.2.10	Sebatang sungai mengalir dari Eden dan mengairi taman itu; di luar Eden sungai itu terbahagi menjadi empat batang sungai. 
GEN.2.11	Sungai yang pertama bernama Pison, yang mengalir mengelilingi tanah Hawila. 
GEN.2.12	Di situ terdapat emas tulen, dan juga wangi-wangian yang sukar didapati, serta batu-batu permata. 
GEN.2.13	Sungai yang kedua bernama Gihon, yang mengalir mengelilingi tanah Kus.
GEN.2.14	Sungai yang ketiga bernama Tigris, yang mengalir di sebelah timur Asyur. Sungai yang keempat bernama Efrat.
GEN.2.15	Kemudian TUHAN Allah menempatkan manusia itu di Taman Eden untuk mengusahakan serta memelihara taman itu. 
GEN.2.16	Allah berfirman kepada manusia itu, “Engkau boleh makan buah-buahan daripada semua pokok di taman ini, 
GEN.2.17	kecuali buah daripada pokok yang memberi pengetahuan tentang yang baik dan yang jahat. Engkau tidak boleh makan buah pokok itu; jika engkau memakannya, engkau pasti mati pada hari itu juga.”
GEN.2.18	Kemudian TUHAN Allah berfirman, “Tidak baik manusia hidup seorang diri. Aku akan menjadikan seorang teman yang sesuai untuk menolong dia.” 
GEN.2.19	Oleh itu Allah mengambil sedikit tanah dan membentuk semua jenis binatang dan burung. Kemudian Allah membawa semuanya kepada manusia itu untuk mengetahui nama yang akan diberikannya kepada binatang dan burung. Demikianlah caranya tiap-tiap binatang dan burung mendapat nama. 
GEN.2.20	Manusia itu memberikan nama kepada semua binatang dan burung, tetapi tiada satu pun antaranya dapat menjadi teman yang sesuai untuk menolong dia.
GEN.2.21	Kemudian TUHAN Allah menyebabkan manusia itu tidur dengan nyenyak. Sementara dia terlena, TUHAN mengeluarkan satu daripada tulang rusuk manusia itu, lalu menutupnya semula dengan daging. 
GEN.2.22	Daripada tulang rusuk itu, Allah membentuk seorang perempuan, lalu membawanya kepada lelaki itu. 
GEN.2.23	Kemudian lelaki itu berkata,
GEN.2.23	“Inilah dia, orang yang sama dengan aku –
GEN.2.23	tulang daripada tulangku,
GEN.2.23	dan daging daripada dagingku.
GEN.2.23	Aku namakan dia perempuan,
GEN.2.23	kerana dia diambil daripada lelaki.”
GEN.2.25	Lelaki dan perempuan itu bertelanjang, tetapi mereka tidak berasa malu.
GEN.3.2	“Kami boleh makan buah daripada setiap pokok di taman ini,” jawab perempuan itu, 
GEN.3.3	“kecuali buah pokok yang ada di tengah-tengah taman. Allah melarang kami makan buah pokok itu ataupun menyentuhnya; jika kami berbuat demikian, kami akan mati.”
GEN.3.4	Ular itu menjawab, “Itu tidak benar; kamu tidak akan mati. 
GEN.3.5	Allah berfirman demikian kerana Dia tahu bahawa jika kamu makan buah itu, fikiran kamu akan terbuka; kamu akan menjadi seperti Allah
GEN.3.6	Perempuan itu nampak bahawa pokok itu cantik dan buahnya enak dimakan. Dia berfikir betapa baiknya jika dia menjadi bijaksana. Oleh itu dia memetik buah pokok itu dan memakannya. Dia juga memberikan buah pokok itu kepada suaminya, dan suaminya pun makan buah itu. 
GEN.3.7	Sebaik sahaja mereka makan buah itu, fikiran mereka terbuka dan mereka sedar bahawa mereka bertelanjang. Oleh itu mereka merangkaikan daun ara, lalu menutupi tubuh mereka dengan rangkaian daun itu.
GEN.3.8	Pada petang itu, mereka mendengar TUHAN Allah berjalan di taman, lalu mereka bersembunyi di antara pokok-pokok supaya tidak dapat dilihat-Nya. 
GEN.3.9	Tetapi TUHAN Allah memanggil lelaki itu, “Di manakah engkau?”
GEN.3.10	Lelaki itu menjawab, “Aku mendengar Engkau di taman; aku takut, lalu aku bersembunyi kerana aku bertelanjang.”
GEN.3.11	“Siapa yang memberitahukan bahawa engkau bertelanjang?” tanya Allah. “Adakah engkau makan buah yang terlarang itu? Aku sudah melarang engkau makan buah itu.”
GEN.3.12	Lelaki itu menjawab, “Perempuan yang Engkau jadikan temanku memberikan buah itu kepadaku, lalu aku memakannya.”
GEN.3.13	Perempuan itu menjawab, “Ular menipu aku sehingga aku makan buah itu.”
GEN.3.14	Kemudian TUHAN Allah berfirman kepada ular itu, “Terkutuklah engkau kerana perbuatan itu; antara semua binatang, hanya engkau yang harus menanggung kutukan ini. Mulai sekarang engkau akan menjalar dan makan debu seumur hidupmu. 
GEN.3.15	 Engkau dan perempuan itu akan saling membenci; keturunannya dan keturunanmu akan sentiasa bermusuhan. Keturunannya akan meremukkan kepalamu dan engkau akan mematuk tumit mereka.”
GEN.3.16	TUHAN Allah berfirman kepada perempuan itu, “Aku akan menambah kesusahanmu semasa engkau hamil, dan juga kesakitanmu pada masa engkau bersalin. Walaupun demikian, engkau akan tetap berahi kepada suamimu, namun engkau akan tunduk kepadanya.”
GEN.3.17	Kemudian TUHAN Allah berfirman kepada lelaki itu, “Engkau mendengarkan kata-kata isterimu, lalu makan buah yang Aku larang engkau makan. Oleh sebab perbuatanmu itu, terkutuklah tanah. Engkau mesti bekerja keras seumur hidupmu agar tanah ini dapat menghasilkan makanan yang cukup. 
GEN.3.18	 Tanah akan menghasilkan semak dan duri; tumbuh-tumbuhan liar akan menjadi makananmu. 
GEN.3.19	Engkau akan bekerja keras dan berpeluh-peluh untuk membuat tanah ini menghasilkan sesuatu, sampai engkau kembali ke tanah kerana engkau dibentuk daripada tanah. Engkau dijadikan daripada tanah, dan engkau akan kembali ke tanah.”
GEN.3.20	Adam
GEN.3.21	Kemudian TUHAN Allah membuat pakaian daripada kulit binatang untuk Adam dan isterinya, lalu mengenakan pakaian itu pada mereka.
GEN.3.23	Maka TUHAN Allah mengusir manusia itu keluar dari Taman Eden dan menyuruhnya mengusahakan tanah, yang daripadanya manusia dibentuk.
GEN.3.24	Kemudian di sebelah timur taman itu, TUHAN Allah menempatkan kerub,
GEN.4.1	Kemudian Adam bersetubuh dengan isterinya, lalu isterinya hamil. Dia melahirkan seorang anak lelaki dan berkata, “Dengan pertolongan TUHAN aku sudah mendapat seorang anak lelaki.” Maka Hawa menamakan anaknya Kain.
GEN.4.2	Kemudian Hawa melahirkan seorang anak lelaki lagi yang diberi nama Habel. Habel menjadi gembala domba, tetapi Kain menjadi petani. 
GEN.4.3	Beberapa waktu kemudian, Kain mengambil sebahagian daripada hasil tuaiannya lalu mempersembahkannya kepada TUHAN. 
GEN.4.4	 Kemudian Habel mengambil seekor anak domba sulung dan menyembelih anak domba itu, lalu memberikan potongan-potongan yang terbaik sebagai persembahan kepada TUHAN. TUHAN berkenan kepada Habel dan persembahannya, 
GEN.4.5	tetapi Dia tidak berkenan kepada Kain dan persembahannya. Maka Kain naik marah dan mukanya masam. 
GEN.4.6	Maka TUHAN berfirman kepada Kain, “Mengapa engkau marah? Mengapa mukamu masam? 
GEN.4.7	Jika engkau melakukan yang benar, pasti engkau tersenyum;
GEN.4.9	TUHAN bertanya kepada Kain, “Di mana Habel, adikmu?”
GEN.4.9	Kain menjawab, “Aku tidak tahu. Haruskah aku menjaga adikku?”
GEN.4.11	Engkau terkutuk dan tidak boleh lagi mengusahakan tanah. Tanah itu sudah menyerap darah adikmu, seolah-olah tanah membuka mulut untuk menerima darah adikmu ketika engkau membunuh dia. 
GEN.4.12	Jika engkau bercucuk tanam, tanah tidak akan menghasilkan apa-apa; engkau akan menjadi pengembara yang tidak mempunyai tempat tinggal di bumi.”
GEN.4.13	Kemudian Kain berkata kepada TUHAN, “Hukuman itu terlalu berat, aku tidak dapat menanggungnya. 
GEN.4.14	Engkau mengusir aku dari tanah ini dan dari hadirat-Mu. Aku akan menjadi pengembara yang tidak mempunyai tempat tinggal di bumi, dan aku akan dibunuh oleh sesiapa sahaja yang menjumpai aku.”
GEN.4.15	Tetapi TUHAN berfirman, “Tidak. Jika engkau dibunuh, maka sebagai pembalasan, tujuh orang termasuk pembunuhmu itu akan dibunuh juga.” Kemudian TUHAN membubuhkan suatu tanda pada Kain supaya sesiapa sahaja yang menjumpai dia tidak membunuhnya. 
GEN.4.16	Maka Kain pergi dari hadirat TUHAN, lalu tinggal di tanah yang bernama “Pengembaraan” di sebelah timur Eden.
GEN.4.17	Kain dan isterinya mempunyai seorang anak lelaki yang diberi nama Henokh. Kemudian Kain membina sebuah kota dan menamakan kota itu menurut nama anak lelakinya. 
GEN.4.18	Henokh mempunyai seorang anak lelaki bernama Irad. Irad bapa Mehuyael, Mehuyael bapa Metusael, dan Metusael bapa Lamekh. 
GEN.4.19	Lamekh mempunyai dua orang isteri, Ada dan Zila. 
GEN.4.20	Ada melahirkan Yabal. Keturunan Yabal ialah bangsa yang memelihara ternakan dan tinggal di khemah. 
GEN.4.21	Adik Yabal bernama Yubal. Keturunan Yubal ialah pemuzik yang memainkan kecapi dan seruling. 
GEN.4.22	Zila melahirkan Tubal-Kain. Keturunan Tubal-Kain membuat pelbagai perkakas
GEN.4.23	Lamekh berkata kepada isterinya, “Ada dan Zila, dengarlah kataku. Aku sudah membunuh seorang pemuda kerana dia memukul aku. 
GEN.4.24	Jika tujuh orang dibunuh sebagai pembalasan terhadap orang yang membunuh Kain, tujuh puluh tujuh orang akan dibunuh jika aku dibunuh.”
GEN.4.25	Adam dan isterinya mendapat seorang anak lelaki lagi. Hawa berkata, “Allah sudah mengurniai aku seorang anak lelaki untuk menggantikan Habel yang dibunuh oleh Kain.” Maka Hawa menamakan anaknya Set.
GEN.4.26	Set mempunyai seorang anak lelaki yang diberi nama Enos. Pada zaman itulah orang mula menyebut nama TUHAN apabila beribadat.
GEN.5.1	Inilah senarai keturunan Adam. (Pada masa Allah menciptakan manusia, Allah menjadikan mereka seperti diri-Nya sendiri. 
GEN.5.2	 Dia menciptakan mereka lelaki dan perempuan. Dia memberkati mereka dan menamakan mereka “Manusia”.) 
GEN.5.3	Ketika Adam berumur 130 tahun, dia mendapat seorang anak lelaki yang mirip dengan dia, lalu dia menamakannya Set. 
GEN.5.4	Selepas itu Adam hidup selama 800 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.5	Adam meninggal ketika berumur 930 tahun.
GEN.5.6	Ketika Set berumur 105 tahun, dia mendapat seorang anak lelaki bernama Enos. 
GEN.5.7	Selepas itu Set hidup selama 807 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.8	Set meninggal ketika berumur 912 tahun.
GEN.5.9	Ketika Enos berumur 90 tahun, dia mendapat seorang anak lelaki bernama Kenan. 
GEN.5.10	Selepas itu Enos hidup selama 815 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.11	Enos meninggal ketika berumur 905 tahun.
GEN.5.12	Ketika Kenan berumur 70 tahun, dia mendapat seorang anak lelaki bernama Mahalaleel. 
GEN.5.13	Selepas itu Kenan hidup selama 840 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.14	Dia meninggal ketika berumur 910 tahun.
GEN.5.15	Ketika Mahalaleel berumur 65 tahun, dia mendapat seorang anak lelaki bernama Yared. 
GEN.5.16	Selepas itu Mahalaleel hidup selama 830 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.17	Dia meninggal ketika berumur 895 tahun.
GEN.5.18	Ketika Yared berumur 162 tahun, dia mendapat seorang anak lelaki bernama Henokh. 
GEN.5.19	Selepas itu Yared hidup selama 800 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.20	Dia meninggal ketika berumur 962 tahun.
GEN.5.21	Ketika Henokh berumur 65 tahun, dia mendapat seorang anak lelaki bernama Metusalah. 
GEN.5.22	Selepas itu, Henokh hidup akrab dengan Allah selama 300 tahun. Henokh mendapat anak-anak lain 
GEN.5.23	dan mencapai umur 365 tahun. 
GEN.5.24	 Oleh sebab Henokh selalu hidup akrab dengan Allah, dia menghilang kerana diambil oleh Allah.
GEN.5.25	Ketika Metusalah berumur 187 tahun, dia mendapat seorang anak lelaki bernama Lamekh. 
GEN.5.26	Selepas itu Metusalah hidup selama 782 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.27	Dia meninggal ketika berumur 969 tahun.
GEN.5.28	Ketika Lamekh berumur 182 tahun, dia mendapat seorang anak lelaki. 
GEN.5.29	Lamekh berkata, “Anak ini akan memberi keringanan pada masa kita bekerja keras untuk mengusahakan tanah yang dikutuk oleh TUHAN.” Maka Lamekh menamakan anak itu Nuh.
GEN.5.30	Selepas itu Lamekh hidup selama 595 tahun lagi, dan mendapat anak-anak lain. 
GEN.5.31	Lamekh meninggal ketika berumur 777 tahun.
GEN.5.32	Ketika Nuh berumur 500 tahun, dia mendapat tiga orang anak lelaki, iaitu Sem, Yafet, dan Ham.
GEN.6.1	Apabila manusia sudah bertambah banyak sehingga tercerai-cerai di seluruh dunia, dan anak-anak perempuan dilahirkan, 
GEN.6.2	makhluk-makhluk ilahi
GEN.6.3	Kemudian TUHAN berfirman, “Aku tidak membenarkan manusia hidup selama-lamanya; mereka makhluk fana yang harus mati. Mulai sekarang umur mereka tidak akan lebih daripada 120 tahun.” 
GEN.6.4	 Pada zaman itu, dan juga selepas zaman itu, ada raksasa di bumi. Mereka keturunan gadis-gadis manusia yang berkahwin dengan makhluk-makhluk ilahi. Raksasa-raksasa itu pahlawan handalan dan termasyhur pada zaman dahulu kala.
GEN.6.5	TUHAN nampak betapa jahatnya manusia di bumi; fikiran mereka sentiasa dipenuhi kejahatan. 
GEN.6.6	Oleh itu TUHAN menyesal kerana sudah menjadikan manusia dan menempatkan mereka di bumi. TUHAN begitu kecewa 
GEN.6.7	sehingga Dia berfirman, “Aku akan membinasakan manusia yang sudah Kuciptakan itu, dan juga semua binatang serta burung, kerana Aku menyesal menciptakan semuanya.” 
GEN.6.8	 Tetapi Nuh menyenangkan hati TUHAN.
GEN.6.11	tetapi semua orang lain jahat di sisi Allah, dan kekejaman terdapat di mana-mana. 
GEN.6.12	Allah memandang dunia dan nampak kejahatan sahaja, kerana kehidupan semua manusia jahat.
GEN.6.13	Kemudian Allah berfirman kepada Nuh, “Aku sudah mengambil keputusan untuk menamatkan hidup semua manusia. Aku akan membinasakan mereka berserta bumi, kerana bumi sudah penuh dengan kekejaman mereka. 
GEN.6.14	Binalah sebuah bahtera untukmu; sebuah bahtera daripada kayu keras. Buatlah bilik-bilik di dalamnya, dan lapisilah bahagian dalam dan luar bahtera itu dengan tar. 
GEN.6.15	Bahtera itu harus berukuran 133 meter panjang, 22 meter lebar, dan 13 meter tinggi. 
GEN.6.16	Buatlah bumbung
GEN.6.17	Aku akan mendatangkan banjir untuk membinasakan setiap makhluk yang hidup di bumi. Segala sesuatu di bumi akan mati, 
GEN.6.18	tetapi Aku hendak membuat perjanjian dengan engkau. Masuklah ke dalam bahtera itu bersama-sama isterimu, anak-anakmu serta isteri-isteri mereka. 
GEN.6.19+GEN.6.20	Bawalah seekor jantan dan seekor betina daripada setiap jenis burung dan binatang darat, yang kecil mahupun yang besar, supaya semua itu tidak turut binasa. 
GEN.6.21	Bawalah juga segala jenis makanan untukmu dan untuk semua binatang itu.” 
GEN.6.22	 Nuh melakukan segala sesuatu yang diperintahkan Allah.
GEN.7.1	Kemudian TUHAN berfirman kepada Nuh, “Aku mendapati engkau satu-satunya orang yang melakukan kehendak-Ku. Oleh itu masuklah ke dalam bahtera bersama-sama semua anggota keluargamu. 
GEN.7.2+GEN.7.3	Bawalah tujuh pasang daripada tiap-tiap jenis burung dan binatang yang halal, tetapi hanya satu pasang daripada tiap-tiap jenis yang haram. Lakukanlah hal itu supaya daripada setiap jenis binatang dan burung ada yang terselamat, lalu dapat membiak semula di bumi. 
GEN.7.4	Tujuh hari lagi Aku akan menurunkan hujan yang tidak akan berhenti selama empat puluh hari dan empat puluh malam, supaya semua makhluk hidup yang sudah Aku ciptakan itu binasa.” 
GEN.7.5	Lalu Nuh melakukan segala yang diperintahkan TUHAN.
GEN.7.6	Nuh berumur enam ratus tahun ketika berlaku banjir di bumi. 
GEN.7.7	 Nuh dan isterinya, bersama dengan anak-anaknya serta isteri-isteri mereka, masuk ke dalam bahtera untuk menyelamatkan diri daripada banjir. 
GEN.7.8	Seekor jantan dan seekor betina daripada tiap-tiap jenis burung dan binatang, baik yang halal mahupun yang haram, 
GEN.7.9	masuk ke dalam bahtera bersama dengan Nuh, seperti yang diperintahkan oleh Allah. 
GEN.7.10	Tujuh hari kemudian banjir melanda bumi.
GEN.7.12	lalu hujan turun selama empat puluh hari dan empat puluh malam. 
GEN.7.13	Pada hari itu juga, Nuh dan isterinya masuk ke dalam bahtera bersama dengan ketiga-tiga orang anak mereka, iaitu Sem, Yafet, dan Ham, serta isteri masing-masing. 
GEN.7.14	Bersama-sama mereka masuk pula setiap jenis binatang, baik yang jinak mahupun yang liar, yang besar mahupun yang kecil, dan juga setiap jenis burung. 
GEN.7.15	Seekor jantan dan seekor betina daripada tiap-tiap makhluk hidup masuk ke dalam bahtera bersama dengan Nuh, 
GEN.7.16	seperti yang diperintahkan oleh Allah. Selepas semuanya masuk, TUHAN menutup pintu bahtera.
GEN.7.17	Banjir terus-menerus melanda bumi selama empat puluh hari, dan air naik sehingga bahtera terapung. 
GEN.7.18	Air semakin naik sehingga bahtera terapung-apung pada permukaan air. 
GEN.7.19	Air masih naik sehingga meliputi gunung-gunung yang paling tinggi. 
GEN.7.20	Air terus-menerus naik sampai tujuh meter lebih tinggi daripada puncak gunung. 
GEN.7.21+GEN.7.22+GEN.7.23	TUHAN membinasakan semua makhluk yang hidup di bumi: manusia, burung, dan binatang darat yang kecil mahupun yang besar. Hanya Nuh dan semua yang ada bersama-sama dia di dalam bahtera tidak binasa. 
GEN.7.24	Air tidak kunjung surut selama seratus lima puluh hari.
GEN.8.1	Allah tidak melupakan Nuh dan semua binatang yang ada bersama-samanya di dalam bahtera. Allah membuat angin bertiup sehingga air mulai surut. 
GEN.8.2	Segala mata air di bawah tanah dan pintu air di langit ditutup. Hujan berhenti, 
GEN.8.3	lalu air semakin surut. Selepas seratus lima puluh hari, paras air tidak berapa tinggi lagi. 
GEN.8.4	Pada hari ketujuh belas bulan ketujuh, bahtera itu terkandas di sebuah puncak di banjaran Ararat. 
GEN.8.5	Air semakin surut dan pada hari pertama bulan kesepuluh, puncak-puncak gunung mula kelihatan.
GEN.8.6	Selepas empat puluh hari, Nuh membuka sebuah tingkap bahtera 
GEN.8.7	lalu melepaskan seekor burung gagak. Burung itu tidak kembali tetapi terbang kian ke mari sehingga air banjir surut sama sekali. 
GEN.8.8	Sementara itu, Nuh melepaskan seekor burung merpati untuk mengetahui sama ada air sudah surut. 
GEN.8.9	Oleh sebab air masih meliputi seluruh muka bumi, burung merpati itu tidak mendapat tempat untuk hinggap. Burung merpati itu kembali ke bahtera; Nuh menghulurkan tangannya lalu membawa burung itu ke dalam bahtera. 
GEN.8.10	Nuh menunggu selama tujuh hari, kemudian melepaskan burung itu semula. 
GEN.8.11	Pada petang hari, burung itu kembali kepada Nuh sambil membawa sehelai daun zaitun yang segar pada paruhnya. Dengan itu Nuh mengetahui bahawa air sudah surut. 
GEN.8.12	Dia menunggu selama tujuh hari lagi, lalu melepaskan merpati itu sekali lagi; kali ini merpati itu tidak kembali.
GEN.8.13	Ketika Nuh berumur 601 tahun, pada hari pertama bulan pertama, air telah surut sama sekali. Nuh membuka bumbung bahtera dan memandang di sekelilingnya. Dia mendapati permukaan tanah sudah mulai kering. 
GEN.8.14	Pada hari kedua puluh tujuh bulan kedua, bumi telah kering.
GEN.8.15	Kemudian Allah berfirman kepada Nuh, 
GEN.8.16	“Keluarlah dari bahtera bersama-sama isterimu, anak-anakmu serta isteri-isteri mereka. 
GEN.8.17	Bawalah keluar semua burung dan binatang darat, yang kecil mahupun yang besar, supaya burung dan binatang itu dapat berkembang biak dan tersebar ke seluruh bumi.” 
GEN.8.18	Nuh keluar dari bahtera bersama dengan isterinya, anak-anaknya serta isteri masing-masing. 
GEN.8.19	Semua burung dan binatang darat keluar dari bahtera, tiap-tiap jenis bersama dengan kelompok sejenisnya.
GEN.8.20	Nuh mendirikan sebuah mazbah untuk TUHAN. Dia mengambil seekor daripada tiap-tiap jenis burung dan binatang yang halal, lalu di atas mazbah itu, dia mempersembahkan semuanya sebagai korban untuk menyenangkan hati TUHAN. 
GEN.8.21	Bau harum korban itu menyenangkan hati TUHAN, lalu TUHAN berfirman di dalam hati, “Aku tidak lagi mengutuk bumi kerana perbuatan manusia; Aku tahu bahawa sejak masa muda, fikiran manusia itu jahat. Aku tidak lagi membinasakan semua makhluk hidup, seperti yang telah Aku lakukan kali ini. 
GEN.8.22	Selagi bumi ini ada, akan ada masa menanam dan masa menuai, musim sejuk dan musim panas, musim kemarau dan musim hujan, siang dan malam.”
GEN.9.2	Semua burung dan ikan, serta binatang lain akan takut kepada kamu; semuanya berada dalam kekuasaan kamu. 
GEN.9.3	Kini kamu boleh makan semuanya, serta tumbuh-tumbuhan hijau; Aku memberikan semua itu kepada kamu sebagai makanan. 
GEN.9.4	 Hanya daging yang masih berdarah tidak boleh kamu makan, kerana nyawa itu terkandung di dalam darah. 
GEN.9.5	Setiap orang dan binatang yang membunuh manusia akan Kuhukum mati. 
GEN.9.6	 Manusia diciptakan seperti Allah; oleh itu, sesiapa yang membunuh manusia akan dibunuh oleh manusia juga.
GEN.9.8	Allah berfirman kepada Nuh dan anak-anaknya, 
GEN.9.9	“Sekarang Aku membuat perjanjian dengan kamu dan keturunan kamu, 
GEN.9.10	dan juga dengan semua makhluk hidup, iaitu burung dan binatang; semua yang keluar dari bahtera bersama dengan kamu. 
GEN.9.11	Inilah perjanjian-Ku dengan kamu. Aku berjanji bahawa semua makhluk hidup tidak akan dibinasakan oleh banjir lagi. Banjir tidak akan memusnahkan bumi lagi. 
GEN.9.12	Sebagai tanda perjanjian abadi yang Aku buat dengan kamu dan semua makhluk hidup, 
GEN.9.13	Aku menempatkan pelangi-Ku di langit. Pelangi menjadi tanda perjanjian-Ku dengan dunia. 
GEN.9.14	Tiap-tiap kali Aku meliputi langit dengan awan dan pelangi itu kelihatan, 
GEN.9.15	Aku akan mengingat perjanjian-Ku dengan kamu dan dengan semua makhluk hidup, bahawa banjir tidak lagi akan membinasakan semua makhluk hidup. 
GEN.9.16	Apabila pelangi itu kelihatan di langit, Aku akan melihatnya dan mengingat perjanjian abadi antara Aku dan semua makhluk yang hidup di bumi. 
GEN.9.17	Itulah tanda perjanjian yang Aku buat dengan semua makhluk yang hidup di bumi.”
GEN.9.18	Anak-anak Nuh yang keluar dari bahtera itu ialah Sem, Ham, dan Yafet. (Ham ialah bapa Kanaan.) 
GEN.9.19	Ketiga-tiga orang anak Nuh itu ialah nenek moyang semua orang di dunia.
GEN.9.20	Nuh ialah petani, dan dialah yang mula-mula menanam anggur. 
GEN.9.21	Setelah Nuh minum wainnya, dia menjadi mabuk. Dia menanggalkan semua pakaiannya lalu berbaring telanjang di dalam khemahnya. 
