MAT.1.1	BAHWA inilah surat katurunan Isa Almasih, iya itu anak Daud, dan anak Ibrahim.
MAT.1.18	¶ Alkesah adapun pri kŭjadian Isa Almasih adalah dŭmkian: Shahadan adapun Mŭriam Ibunya itu sudahlah bŭrtunangan dŭngan Yusof: maka sabŭlom marika itu bŭrdamping, maka nyatalah Mŭriam itu tŭlah mŭngandong dŭngan kuasa Roh Alkudus.
MAT.1.19	Maka Yusof tunangannya itu, sŭbab orang yang bŭnar, dan tiadalah iya mahu mŭmbri malu nyata nyata akan dia, maka iya bŭrfikirlah handak mŭmbuangkan dia diam diam.
MAT.1.20	Adapun tŭtkala iya bŭrfikir dŭmkiam itu, hieran, dilihatnyalah sa’orang Maliekat Tuhan dalam mimpi, katanya, hie Yusof, anak Daud, bahwa janganlah angkau takot mŭnŭrima Mŭriam itu akan istrimu, kŭrna gandongannya itu tŭlah jadi dŭngan kuasa Roh Alkudus.
MAT.1.21	Maka iya kŭlak akan bŭranak sa’orang anak laki laki, dan handaklah angkau namai akan dia ISA: kŭrna iyalah kŭlak akan mŭlŭpaskan umatnya deri pada dosanya.
MAT.1.22	Adapun sagala hal ini tŭlah jadi supaya gŭnaplah pŭrkara yang dikatakan ulih Nabi iya itu deripada Tuhan, katanya,
MAT.1.23	Tengoklah sa’orang anak darah itu akan mŭngandong dan bŭranakkan sa’orang anak laki laki, maka iya itu akan dinamai Imanuel, yang tŭrsalin artinya, Allah sŭrta kami.
MAT.1.24	Maka apabila bangunlah Yosof deripada tidornya, maka dipŭrbuatnyalah spŭrti surohan maliekat itu kapadanya, lalu ditrimanyalah tunangannya itu.
MAT.1.25	Maka tiadalah iya bŭrdamping dŭngan dia sabŭlom dipranakkannya anaknya yang sulong itu: maka dinamai ulih Yosof akan kanak kanak itu ISA.
MAT.2.1	ADAPUN sŭtlah sudah Isa dipranakkan diBathliham tanah Yahuda, tŭtkala Herodis mŭnjadi raja disitu, hieran, datanglah orang orang pŭndita deri sŭblah timor kaJerusalem,
MAT.2.2	Katanya, Dimanakah Raja orang Yahudi yang bahru dipranakkan itu? kŭrna kami tŭlah mŭlihat bintangnya dinŭgri timor, maka datanglah kami handak mŭnyŭmbah akan dia.
MAT.2.3	Hata apabila didŭngar ulih Raja Herodis akan hal itu, maka susahlah hatinya, sŭrta dŭngan sagala isi Jerusalem itu pun bŭrsama sama.
MAT.2.4	Maka sŭtlah sudah dikampongkannya sagala Imam yang bŭsar bŭsar, dan Khatib Khatib deripada kaum itu, lalu dipreksainyalah kapada marika itu dimanakah Almasih itu akan jadi.
MAT.2.5	Maka kata marika itu kapadanya, diBathliham tanah Yahuda, kŭrna dŭmkianlah tŭlah disuratkan ulih Nabi.
MAT.2.6	Hie Bathliham tanah Yahuda, bukannya angkau tŭrkŭchil deri antara sagala kapala nŭgri Yahuda, kŭrna akan kluar kŭlak deri dalammu sa’orang Raja, maka iya itu akan mŭmrentahkan kaumku Israil.
MAT.2.7	Sŭtlah itu maka dipanggil ulih Raja Herodis akan pŭndita pŭndita itu diam diam, sŭrta dipreksainya kapada marika itu baik baik, bilakah bintang itu tŭlah kŭlihatan.
MAT.2.8	Hata maka disurohnyalah marika itu pŭrgi kaBathliham, katanya, pŭrgilah kamu chari baik baik kanak kanak itu, maka apabila kamu tŭlah mŭndapat dia, brilah tahu padaku, supaya aku pun datang mŭnyŭmbah akan dia.
MAT.2.9	Maka apabila didŭngar ulih marika itu akan pŭrkataan Raja, lalu pŭrgilah iya, hieran, adapun bintang yang dilihatnya dinŭgri timor itu, adalah tŭrdahulu bŭrjalan dihadapan marika itu, sampie datanglah bintang itu tŭrhŭnti diatas tŭmpat yang ada kanak kanak itu.
MAT.2.10	Maka apabila dilihat ulih marika itu akan bintang itu, suka chitalah marika itu dŭngan suka chita yang amat bŭsar.
MAT.2.11	¶ Shahadan maka apabila masoklah marika itu kadalam rumah itu, maka dilihatnya kanak kanak itu dŭngan Mŭriam ibunya, lalu sujudlah marika itu mŭnyŭmbah akan dia; sŭtlah sudah dibukakannya tŭmpat pŭrmasannya, lalu dipŭrsŭmbahkannyalah padanya akan hadiah hadiah, iya itu mas, dan kŭmnyan dan mor.
MAT.2.12	Sŭtlah diingatkan Allah akan marika itu dalam mimpi, bahwa janganlah marika itu kŭmbali kapada Herodis lagi, maka pulanglah iya kanŭgrinya deripada sempang yang lain.
MAT.2.13	Shahadan apabila marika itu sudah kŭmbali, hieran, datanglah sa’orang maliekat Tuhan kapada Yusof, dilihatnya dalam mimpi, katanya, bangunlah angkau, ambil kanak kanak itu sŭrta dŭngan ibunya, bawalah lari kaMasir, tinggallah angkau disana, sampie aku mŭmbri tahu akan dikau, kŭrna Herodis mŭnchari kanak kanak itu handak dibunohnya dia.
MAT.2.14	Maka apabila bangunlah iya lalu diambilnya kanak kanak itu sŭrta dŭngan ibunya pada malam, lalu bŭrjalanlah iya kaMasir.
MAT.2.15	Maka tinggallah iya disana sampie kapada kutika mati Herodis, supaya gŭnaplah barang yang dikatakan ulih Nabi deri pada Tuhan, katanya, Bahwa aku tŭlah mŭmanggil anakku deri dalam nŭgri Masir.
MAT.2.16	¶ Kalakian apabila dilihat ulih Herodis, bahwa iya tŭlah ditipu ulih pŭndita pŭndita itu, maka tŭrlalulah marahnya, sŭrta disurohkannya orang pŭrgi mŭmbunoh sagala budak budak yang ada diBathliham, dan pada skalian jajahannya itu yang ada bŭrumor dua tahun dan korang deripada itu, diturotnya spŭrti kutika yang tŭlah dipreksainya baik baik deripada pŭndita pŭndita itu.
MAT.2.17	Maka pada tŭtkala itu gŭnaplah pŭrkara yang dikatakan ulih Nabi Jermiah;
MAT.2.18	Katanya, Kadŭngaranlah dinŭgri Rama, satu suara ratap dan tangis, dan duka chita yang amat sangat, iya itu Rahil mŭnangiskan anaknya, tiadalah iya mahu dihiburkan sŭbab katidaan anaknya.
MAT.2.19	¶ Adapun apabila matilah Herodis, hieran, datanglah sa’orang mŭliekat Tuhan, dilihat Yosof dalam mimpi diMasir;
MAT.2.20	Katanya, Bangunlah angkau, ambil akan kanak kanak itu sŭrta dŭngan ibunya, bawalah pŭrgi katanah Israil, kŭrna adapun yang handak mŭmbunoh kanak kanak itu sudah mati.
MAT.2.21	Hata bangunlah iya, sambil diambilnya kanak kanak itu sŭrta dŭngan ibunya, maka pŭrgilah iya katanah Israil.
MAT.2.22	Tŭtapi apabila didŭngarnya Arkilaus tŭlah mŭnjadi Raja mŭnggantikan krajaan Herodis, bapanya dalam tanah Yahuda, maka takotlah iya pŭrgi kasana, maka diingatkan Allah akan dia dalam mimpi, lalu mŭnyempanglah iya kapada jajahan tanah Galilia.
MAT.2.23	Maka datanglah iya tinggal dalam sa’buah nŭgri yang bŭrnama Nazareth, iya itu supaya gŭnaplah barang yang dikatakan ulih nabi nabi, bahwa Isa itulah akan bŭrgŭlar sa’orang Nazreth.
MAT.3.1	SŬBARMULA maka pada masa itu kluarlah Yahya Pŭmbaptis, sŭrta mŭngajar dalam padang bŭlantara tanah Yahuda.
MAT.3.2	Maka katanya, Taubatlah kamu skalian, kŭrna krajaan shorga sudah dŭkat.
MAT.3.3	Maka derihal Yahya inilah tŭlah dikatakan ulih Nabi Jasia, katanya, Suara orang bŭrtriak dalam padang bŭlantara, sŭdiakanlah jalan bagie Tuhan, dan bŭtulkanlah lorong lorongnya.
MAT.3.4	Shahadan adapun pakiean Yahya itu deripada bulu onta, dan pŭngikat pinggangnya kulit, dan makanannya bilalang dan ayer madu dihutan.
MAT.3.5	Maka tŭtkala itu kluarlah sagala orang isi Jerusalem, dan isi sŭgŭnap tanah Yahuda, dan orang isi sagala jŭjahan yang dŭkat dŭngan sungie Jordan, datang mŭndapatkan dia.
MAT.3.6	Lalu sagala marika itupun dibaptiskannyalah dalam Jordan, sŭrta mŭngakulah marika itu akan dosa dosanya.
MAT.3.7	¶ Shahadan apabila dilihat ulih Yahya banyak orang Farisia dan Sadokia, itupun datang kapada baptisannya, maka bŭrkatalah iya bagie marika itu, Hie katurunan ular yang bisa, siapakah yang tŭlah mŭngingatkan kamu mŭnyurohkan lari deripada morka yang akan datang?
MAT.3.8	Sŭbab itu handaklah angkau kluarkan buah buahan kalakuan yang stuju dŭngan taubat.
MAT.3.9	Dan janganlah kamu sangkakan dalam hatimu, bahwa Ibrahim itu bapa pada kita, kŭrna aku bŭrkata padamu, bahwa Allah itu bulih iya mŭngadakan deripada batu batu ini pun kanak kanak bagie Ibrahim.
MAT.3.10	Maka skarang inipun tŭlah sŭdialah mata kapak diakar pohon kayu, sŭbab itu barang suatu pohon kayu yang tiada bŭrbuah yang baik, iya itu ditŭbang dibuangkan kadalam api.
MAT.3.11	Maka sungguh pun aku baptiskan kamu dŭngan ayer akan bŭrtaubat, tŭtapi orang yang datang kŭlak kŭmdian deripadaku, tŭrlebih kuasanya deripadaku, maka aku ini tiada layak mŭngangkat trompanya, maka iyalah kŭlak akan mŭmbaptiskan kamu dŭngan Roh Alkudus dan api.
MAT.3.12	Nyiru ada ditangannya, maka iya kŭlak akan mŭnyuchikan sagala anta gandomnya, lalu dikumpulkannya masok gandomnya kadalam langguan; tŭtapi sŭkam itu dibakarnya habis habis dŭngan api yang tiada padam.
MAT.3.13	¶ Bŭrmula maka Isa pun datanglah deri Galilia kaJordan kapada Yahya, supaya dibaptiskan ulih Yahya akan dia.
MAT.3.14	Tŭtapi ditŭgahkan ulih Yahya, katanya, Bahwa patutlah hamba ini angkau baptiskan, skarang angkaukah datang kapada hamba?
MAT.3.15	Maka disahut Isa sambil bŭrkata, Biarkanlah skarang, kŭrna dŭmkianlah yang patut pada kita mŭnggŭnapi sagala surohan. Hata maka diluluskannya itu.
MAT.3.16	Sŭbarmula sŭtlah sudah Isa dibaptiskan itu, maka naiklah iya deri dalam ayer, hieran, tŭrbukalah langit bagienya, maka dilihatnya Roh Allah pun turon spŭrti sa’ekor mŭrpati rupanya mŭnghinggap diatasnya.
MAT.3.17	Hieran, maka suatu suara deri langit bŭrkata, Bahwa inilah anakku yang kukasih, maka akan dialah juga aku suka chita.
MAT.4.1	KUMDIAN deripada itu, maka Isa pun dibawalah ulih Roh pŭrgi kapada suatu padang bŭlantara, supaya dichobai ulih Iblis akan dia.
MAT.4.2	Hata maka puasalah iya ampat puloh hari ampat puloh malam, kumdian deripada itu, bahrulah iya lapar.
MAT.4.3	Maka Iblis itupun datanglah kapadanya sambil bŭrkata, Jikalau kiranya angkau anak Allah, maka surohkanlah batu batu ini mŭnjadi roti.
MAT.4.4	Tŭtapi jawab Isa, katanya, Bahwa tŭlah tŭrsurat, bukannya manusia ini bulih hidop dŭngan makan roti sahja, mŭlainkan ulih tiap tiap pŭrkataan yang tŭrbit deripada mulot Allah.
MAT.4.5	Sŭtlah itu lalu diambil Iblis akan Isa pula, dibawanya pŭrgi kaBethalmukadis, sŭrta didirikannya akan dia diatas bumbongan ka’abah;
MAT.4.6	Maka katanya pula pada Isa, Jikalau kiranya angkau anak Allah, tŭrjunkanlah dirimu kabawah, kŭrna sudah tŭrsurat, Bahwa Allah akan bŭrfŭrman kapada sagala maliekatnya deri halmu, maka akan ditatangnya dikau diatas tangannya supaya jangan tŭrantak kakimu pada batu.
MAT.4.7	Maka bŭrkata Isa padanya, Bahwa tŭlah tŭrsurat pula, maka janganlah angkau mŭnchobai Tuhan Allahmu itu.
MAT.4.8	Maka dibawalah ulih Iblis pula akan dia ka’atas sa’buah bukit yang amat tinggi, lalu diunjokkannyalah padanya sagala krajaan dunia dan kamulianaya;
MAT.4.9	Maka katanya pada Isa, Bahwa skalian ini akan kubrikan padamu, jikalau angkau mahu sujud mŭnyŭmbah aku.
MAT.4.10	Maka tŭtkala itu bŭrkata Isa padanya, Nyahlah angkau hie Shietan, kŭrna sudah tŭrsurat, Bahwa handaklah angkau mŭnyŭmbah Tuhan Allahmu, sŭrta bŭribadat kapadanya sahja.
MAT.4.11	Sŭtlah itu, maka undorlah Iblis deripadanya, hieran, maka datanglah bŭbrapa maliekat mŭlayani akan dia.
MAT.4.12	¶ Maka apabila didŭngar ulih Isa akan khabar Yahya sudah dimasokkan orang kadalam pŭnjara, lalu iyapun pŭrgilah kaGalilia.
MAT.4.13	Maka sŭtlah sudah iya mŭninggalkan Nazareth, lalu datanglah iya diam diKapŭrnaom, yang ditŭpi pantie tasik pada batasan tanah Zabulan dan Nafthali.
MAT.4.14	Supaya gŭnaplah pŭrkataan yang dikatakan ulih Nabi Jasia, katanya,
MAT.4.15	Tanah Zabulan dan Nafthali, dŭkat kŭtasik yang disŭbrang Jordan, iya itu Galilia orang sŭsat.
MAT.4.16	Adapun orang yang dudok dalam gŭlap tŭlah mŭlihat suatu trang yang amat bŭsar: dan bagie sagala orang yang dudok dalam bŭnua yang dinawangi ulih kamatian, tŭlah tŭrbitlah suatu trang adanya.
MAT.4.17	¶ Arkian maka deripada kutika itu, bahrulah dimulie ulih Isa mŭngajar, katanya, Taubatlah kamu, kŭrna krajaan shorga sudah dŭkat.
MAT.4.18	¶ Maka apabila Isa bŭrjalan ditŭpi pantie tasik Galilia itu, lalu dilihatnya dua orang bŭrsaudara, iya itu Simon yang bŭrgŭlar Petrus, dau Andria saudaranya, marika itu mŭmbuang pukat dalam tasik itu, kŭrna marika itu pŭmukat.
MAT.4.19	Maka bŭrkatalah Isa padanya, Marilah kamu mŭngikot aku, kŭrna aku handak mŭnjadikan kamu pŭmukat manusia.
MAT.4.20	Maka pada kutika itu juga marika itu mŭninggalkan pukatnya, lalu mŭngikot akan dia.
MAT.4.21	Maka apabila Isa sudah bŭrjalan deri sana, lalu dilihatnya pula dua orang lain bŭrsaudara, iya itu Yakob anak Zabdi, dan Yahya saudaranya, dalam sa’buah pŭrahu, sŭrta dŭngan bapanya Zabdi itu mŭmbubol pukatnya, lalu dipanggil ulih Isa akan marika itu.
MAT.4.22	Maka dŭngan skutika itu juga marika itu mŭninggalkan pŭrahunya sŭrta bapanya, lalu diikotnya akan dia.
MAT.4.23	¶ Bŭrmula maka Isa pun mŭnjalanilah akan sagala tanah Galilia, sambil mŭngajar dalam kanisa kanisa marika itu, sŭrta mŭmashorkan Injil krajaan Allah, dan lagi mŭnyŭmbohkan sagala jŭnis pŭnyakit dan pŭnyakitan diantara kaum itu.
MAT.4.24	Maka pŭchahlah wartanya itu sampie bŭrkŭliling sagala bŭnua Syria: maka dibawakan oranglah kapadanya sagala orang yang sakit dŭngan bŭrjŭnis jŭnis pŭnyakit, dan sŭngsara, dan orang yang kŭna jin, dan orang gila babi, dan orang tepok; maka disŭmbuhkanlah ulih Isa akan marika itu.
MAT.4.25	Maka banyaklah orang mŭngikot akan dia deri tanah Galilia, dan deri nŭgri Dikapulis, dan deri nŭgri Jerusalem, dan tanah Yahuda, dan deri tanah yang disŭbrang sungie Jordan.
MAT.5.1	BŬRMULA maka apabila dilihat ulih Isa akan pŭrhimpunan orang banyak itu, maka naiklah iya ka’atas sa’buah bukit, sŭtlah iya dudok, lalu datanglah murid muridnya mŭnghampiri akan dia.
MAT.5.2	Shahadan maka dibukanya mulotnya sŭrta mŭngajar marika itu; katanya,
MAT.5.3	Bŭrbahgialah sagala orang yang rŭndah hatinya: kŭrna marika itulah yang mŭmpunyai krajaan shorga.
MAT.5.4	Bŭrbahgialah sagala orang yang duka chita: kŭrna marika itu juga akan dihiburkan.
MAT.5.5	Bŭrbahgialah sagala orang yang lŭmah lŭmbut hatinya: kŭrna marika itu juga mŭmpusakai tanah.
MAT.5.6	Bŭrbahgialah sagala orang yang lapar dan dahaga akan kabŭnaran: kŭrna marika itu juga akan dikŭnyangkan.
MAT.5.7	Bŭrbahgialah sagala orang yang bŭrhati kasihan: kŭrna marika itulah juga akan mŭndapat kasihan.
MAT.5.8	Bŭrbahgialah sagala orang yang suchi hatinya: kŭrna marika itulah akan mŭmandang Allah.
MAT.5.9	Bŭrbahgialah sagala orang yang mŭndamiekan orang: kŭrna marika itulah akan dinamai anak anak Allah.
MAT.5.10	Bŭrbahgialah sagala orang yang tŭrannyaya sŭbab iya mŭnurut yang bŭnar: kŭrna marika itulah yang mŭmpunyai krajaan shorga.
MAT.5.11	Bŭrbahgialah kamu apabila diumpat orang akan kamu, dan diannyayainya kamu, sŭrta mŭngatakan sagala jŭnis jŭnis pŭrkataan jahat dŭngan bohongnya, iya itu deri sŭbab aku.
MAT.5.12	Bŭrsuka sukalah kamu dŭngan suka chita yang amat sangat: bahwa bŭsarlah fahalamu dalam shorga, kŭrna dŭmkianlah juga sagala nabi nabi yang dahulu dahulu deripada kamu itu pun tŭlah diannyayakan orang adanya.
MAT.5.13	¶ Maka kamu inilah spŭrti garam didunia ini: tŭtapi jikalau kiranya tawarlah garam itu, bagimanakah grangan bulih pulang samula, sŭbab itu suatu pun tiada apa gunanya lagi, mŭlainkan dibuangkan, iya itu dipijak pijak ulih manusia.
MAT.5.14	Maka kamu inilah spŭrti trang didunia ini, adapun nŭgri yang dipŭrbuat diatas sa’buah bukit itu, tiada bulih disŭmbunyikan.
MAT.5.15	Atau pun tiada pŭrnah orang mŭmasang dian, ditudongkannya dibawah suatu bŭkas, mŭlainkan diatas kaki dian juga, supaya iya mŭnŭrangkan sagala orang yang dalam rumah itu.
MAT.5.16	Maka biarlah kiranya trangmu bŭrchahya dihadapan manusia, maka apabila dilihatnya akan sagala pŭrbuatanmu yang baik itu, supaya dipŭrmuliakannya ayahmu yang ada dishorga.
MAT.5.17	¶ Bahwasanya janganlah kamu kirakan, aku datang ini handak mŭrosakkan hukum taurat, atau surat nabi nabi, aku tiada datang mŭrosakkan, mŭlainkan mŭnggŭnapi.
MAT.5.18	Kŭrna sasungguhnya aku bŭrkata kapada kamu, sahingga langit dan bumi ini lŭnyap skali pun, nŭschaya tiada akan bŭrkorangan skali kali suatu nokta, atau kuman deripada hukum taurat, sampielah samuanya digŭnapi juga.
MAT.5.19	Maka sŭbab itu, jikalau barang siapa mŭrosakkan salah suatu deripada hukum yang tŭrkŭchil ini skali pun, dan diajarkannya kapada manusia dŭmkian itu, maka orang itu akan disŭbutkan amat kŭchil dalam krajaan shorga; tŭtapi jikalau dipŭrbuat, dan diajarkannya spŭrti dalam hukum itu, maka orang itu akan disŭbutkan bŭsar dalam krajaan shorga.
MAT.5.20	Kŭrna aku bŭrkata pada kamu, jikalau tiada kabŭnaranmu itu tŭrlebih deripada kabŭnaran khatib khatib dan orang Farisia itu, skali kali tiada dapat kamu masok kadalam krajaan shorga.
MAT.5.21	¶ Shahadan kamu tŭlah mŭnŭngar pŭrkataan orang dahulu kala, Bahwa janganlah angkau mŭmbunoh orang, dan barang siapa mŭmbunoh itu, maka iya itu patut dihukumkan.
MAT.5.22	Tŭtapi aku bŭrkata kapadamu, Bahwa barang siapa yang marah akan saudaranya dŭngan tiada sŭmŭna mŭna, maka iya itu patutlah dihukumkan; dan barang siapa yang bŭrkata kapada saudaranya, hie jahil, iya itu patutlah dihukumkan ulih mŭjlis bichara; dan barang siapa yang bŭrkata, hie gila, iya itu patutlah dihukumkan dalam api naraka.
MAT.5.23	Maka sŭbab itu, apabila angkau mŭmbawakan pŭrsŭmbahanmu kapada tŭmpat pŭrsŭmblihan, maka disana pun jikalau angkau tŭringat bahwa ada saudaramu kŭchil hati akan dikau;
MAT.5.24	Maka biarlah pŭrsŭmbahan itu dihadapan tŭmpat pŭrsŭmblihan, maka pŭrgilah angkau bŭrdamie dahulu dŭngan saudaramu itu, sŭtlah itu maka datanglah angkau pŭrsŭmbahkan pŭrsŭmbahanmu itu.
MAT.5.25	Maka sŭgralah angkau pŭrgi bŭrdamie dŭngan musohmu, slagi angkau ada bŭrsama sama sa’jalan dŭngan dia, supaya jangan barang bila pun baik, disŭrahkannya angkau kapada hakim, maka hakim pula mŭnyŭrahkan dikau kapada mata mata, maka mata mata itu akan mŭmasokkan dikau kadalam pŭnjara.
MAT.5.26	Bahwa sasungguhnya aku bŭrkata kapadamu, maka sŭblom kiranya angkau mŭmbayar hutangmu itu, jikalau bŭrkorangan satu duit pun, nŭschaya tiada angkau bulih kluar deri sana.
MAT.5.27	¶ Bŭrmula kamu tŭlah mŭnŭngar pŭrkataan orang dahulu kala, iya itu janganlah angkau bŭrbuat zinah;
MAT.5.28	Tŭtapi aku bŭrkata kapadamu, maka barang sa’orang mŭmandang pŭrampuan sŭrta dŭngan inginnya akan dia, spŭrti sudah iya bŭrbuat zinah dŭngan dia dalam hatinya.
MAT.5.29	Sŭbab itu, jikalau mata kananmu mŭndatangkan salah kapadamu, korekkanlah dia buangkan deripadamu, kŭrna tŭrlebih fiedahnya kalau hilang suatu deripada sagala anggotamu, asal jangan kŭlak sagala tubohmu dimasokkan kadalam api naraka.
MAT.5.30	Dan lagi jikalau tangan kananmu mŭndatangkan salah padamu, potongkanlah dia buangkan deripadamu, kŭrna tŭrlebih fiedahnya kalau hilang suatu deripada anggotamu, asal jangan kŭlak sagala tubohmu itu dimasokkan kadalam naraka.
MAT.5.31	Maka tŭlah dikatakan, barang siapa handak bŭrchŭrie dŭngan istrinya, bahwa patutlah iya mŭmbri surat chŭrie kapadanya;
MAT.5.32	Tŭtapi aku bŭrkata padamu, bahwa barang siapa yang bŭrchŭrie dŭngan istrinya kachuali sŭbab zinah, maka iya itu mŭndatangkan sŭbab kapada pŭrampuan itu bŭrbuat zinah, dan barang siapa pula kahwin dŭngan pŭrampuan yang bŭrchŭrie itu, maka iya pun bŭrbuat zinah juga adanya.
MAT.5.33	¶ Dan lagi kamu tŭlah mŭnŭngar pŭrkataan orang dahulu kala, bahwa janganlah angkau bŭrsumpah dusta, mŭlainkan handaklah angkau mŭnyampiekan kapada Tuhan akan pŭrkara sumpahmu itu:
MAT.5.34	Tŭtapi aku bŭrkata kapadamu, janganlah angkau bŭrsumpah skali kali, baik dŭmi shorga, kŭrna iya itu arash Allah adanya;
MAT.5.35	Baik dŭmi bumi, kŭrna iya itu alas kakinya, baik dŭmi Jerusalem, kŭrna iya itu nŭgri raja yang maha bŭsar.
MAT.5.36	Maka janganlah angkau bŭrsumpah dŭmi kapalamu, kŭrna tiada angkau kuasa mŭnjadikan sahlie rambut itu puteh atau hitam.
MAT.5.37	Tŭtapi biarlah pŭrkataanmu itu, Ya, ya; Tidak, tidak: kŭrna barang pŭrkataan yang lebih deripada itu, iya itu deri pada yang jahat adanya.
MAT.5.38	¶ Bahwa kamu tŭlah mŭnŭngar yang tŭlah dikatakan, iya itu Mata ganti mata, dan gigi ganti gigi;
MAT.5.39	Tŭtapi aku bŭrkata padamu, bahwa janganlah angkau mŭlawan akan orang yang jahat, mŭlainkan barang siapa yang mŭnampar pipimu kanan, balikkanlah pula padanya pipi yang lain pun.
MAT.5.40	Dan jika sa’orang mŭndawa dikau dalam hukum deri hal handak mŭngambil bajumu, brikanlah padanya sŭlimutmu pun.
MAT.5.41	Dan barang siapa mŭnggagahi angkau bŭrjalan satu mil jauhnya, maka pŭrgilah sŭrtanya sa’jauh dua mil.
MAT.5.42	Brilah akan orang yang mŭminta padamu, dan jika orang handak mŭminjam barang apa kapadamu, janganlah angkau hŭmpakan dia.
MAT.5.43	¶ Bahwa kamu tŭlah mŭnŭngar yang tŭlah dikatakan iya itu, patutlah kamu mŭngasihi akan samamu manusia, dan mŭmbŭnchi akan musohmu.
MAT.5.44	Tŭtapi aku bŭrkata kapadamu, kasihlah ulihmu akan musohmu, dan mintakanlah biar slamat sagala orang yang mŭngutoki kamu, dan buatlah baik akan sagala orang yang mŭmbŭnchi kamu, dan mintakanlah doa kapada sagala orang yang bŭrbuat jahat akan kamu, dan yang mŭngannyayai akan kamu.
MAT.5.45	Supaya kamu mŭnjadi anak anak ayahmu yang ada dishorga, kŭrna iya mŭnŭrbitkan mataharinya ka’atas orang yang jahat dan yang baik, dan dituronkannya hujannya ka’atas orang yang adil dan lalim.
MAT.5.46	Kŭrna jikalau kamu kasihi kiranya akan orang yang mŭngasihi kamu, apakah fahala pada kamu? bukankah orang mŭmŭgang chukie pun ada bŭrbuat dŭmkian?
MAT.5.47	Maka jikalau kamu mŭmbri sŭlam kapada sama kaummu sahja, apakah lebihnya pŭrbuatan kamu itu deripada orang lain? bukankah orang mŭmŭgang chukie pun ada bŭrlaku dŭmkian?
MAT.5.48	Maka tŭgal itu, handaklah kamu mŭnjadi samporna spŭrti ayahmu yang ada dishorga itu samporna adanya.
MAT.6.1	INGATLAH baik baik, janganlah kamu mŭmbri sŭdŭkah dihadapan manusia supaya dilihat orang, maka jikalau dŭmkian nŭschaya tiadalah kŭlak kamu mŭndapat fahala deripada ayahmu yang ada dishorga.
MAT.6.2	Maka sŭbab itu apabila angkau mŭmbri sŭdŭkah, janganlah angkau mŭnyuroh tiup srunie dihadapanmu spŭrti dipŭrbuat ulih orang orang munafik dalam kŭnisa kŭnisa, dan lorong lorong, supaya dipŭrmuliakan ulih manusia akan dia, maka sasungguhnya aku bŭrkata padamu, bahwa itulah yang didapati marika itu fahalanya.
MAT.6.3	Tŭtapi apabila kamu mŭmbri sŭdŭkah, bahwa janganlah angkau bri tahu tangan kirimu, apa yang dipŭrbuat ulih tangan kananmu.
MAT.6.4	Supaya biarlah sŭdŭkahmu itu dŭngan tŭrsŭmbunyi, dan ayahmu yang ada mŭlihat sagala pŭrkara yang tŭrsŭmbunyi, maka iyalah juga akan mŭmbalas padamu nyata nyata.
