MAT.1.1	Ekitabu kyesyondengo sya Yesu Kristo, mugala wa Dawidi, mugala wa Abrahamu.
MAT.1.20	Nikwa abere anemoganirya emyatsi eyi, lebaya, omulaika woMukama mwamuhulukira omo nzoli, mwamubwira ati, Yosefu, mugala wa Dawidi, sigubahe eriherukya Maria mukali wawe, kusangwa obukule buwe ni bweKirimu Kibuyirire; 
MAT.1.21	asyabuta omugala, mwasyaluka erina riwe mo Yesu, kusangwa asyalamya abandu buwe okwebibi byabo. 
MAT.1.22	Ebyosi ebi byamabibya bibererere ebyabugawa noMukama omwisi womuminyereri ati:
MAT.1.23	Lebaya, omukondo asyaheka obukule, asyabuta mugala,
MAT.1.23	Nerina riwe ryasyahulwa omo Emanueli
MAT.1.23	(eribindula ryo riti, Mungu haguma netu).
MAT.1.24	Yosefu abere abuka omo tugotseri, mwakola ngoko omulaika woMukama amutegeka; mwaherukya mukaliwe, 
MAT.1.25	nikwa mwatamuminya erihika aho abutira mugala; mwaluka erina riwe mo YESU.
MAT.2.1	Omugulu Yesu abutirawa oko Betelehemu weYudea omo biro byomwami Herode, lebaya, abandu bamenge bakalwa oko luhande lweyo eryuba rikahuluka mobahika eYerusalema, mobabuga bati, 
MAT.2.2	ari hahi oyo wabutawa mo mwami wa baYuda kwehi? Kusangwa twabirilola oko ngununu yiwe eyo ryuba rikahuluka, twabiriasa erimukukamira. 
MAT.2.3	Omwami Herode abere owa eki, mwahangahangya, nabomo Yerusalema bosi haguma naye; 
MAT.2.4	nerihindania abahereri bakulu nabasaki babandu, mwabulyabo aho Kristo angabutirwa. 
MAT.2.5	Mobamubwira bati, Omo Betelehemu ya Yudea; ngoko kisakire nomuminyereri ati:
MAT.2.6	Nawe Betelehemu, omo kihugo kyaYuda,
MAT.2.6	suri muke na hake omukati-kati ka barongani ba Yuda;
MAT.2.6	Kusangwa ukuwe ho hasyahuluka omurongani
MAT.2.6	Oyo wasyarisya abandu bage Israeli.
MAT.2.7	Neryo Herode mwabirikira abamenge bubi-sobiso mwaminyira kubo omugulu engununu yahuluka; 
MAT.2.8	mwatumabo eBetelehemu, ati, Mugende musonde kutsibu busana nomwana oyo, mwamabimubana mwasyambwira, nage inatoka eriya mukukamira. 
MAT.2.9	Nabo babere babiowa omwami mobagenda; neryo lebaya, engununu eyo balolako eyo eryuba rikahuluka moyagenda embere syabo, erihika aho yahangana endata kwaho mwana abya. 
MAT.2.10	Omugulu babere babilangira engununu mobabuyahirwa kutsibu, nobutseme bunene; 
MAT.2.11	neriya omo nyumba mobalola oko mwana haguma na Maria nyinya wuwe, mobagwa ahisi erimukukamira. Neryo, mobasengula ebindu byabo mobamuha erihitya, zahabu, na uvumba na manemane. 
MAT.2.12	Nomugulu bamabisagisibwa omwilota sibasube ewaHerode, mobasuba ewabo omo yindi nzira.
MAT.2.13	Nikwa omugulu bamabigenda, lebaya omulaika woMukama mwabutukira Yosefu omo nzoli, ati, Hangana wimaye omwana nenyinya wuwe, usagire eMisiri, ubyeyo aho nasyakubwirira; kusangwa Herode akandisonda-sonda omwana, erimuherya. 
MAT.2.14	Naye mwahangana mwimya omwana nenyinya omo kiro, mwagenda eMisiri, 
MAT.2.15	mwikalayo erihika okwihola rya Herode. Eki kyabya eriberererya ekyabugawa noMukama omwisi womuminyereri ati, Nasyabirikira omugala wage erilwa eMisiri.
MAT.2.16	Neryo Herode, abere alebya kwatebawa nabandu ba menge, mwakarama kutsibu, mwatuma neriita abana bobulume bosi eBetelehemu nomo mitano yosi yayo ababya bemituta ibiri nabatebabugayo, ngo mugulu aminyira oko bamenge. 
MAT.2.17	Neryo mokyabererera ekyabugawa nomuminyereri Yeremia ati:
MAT.2.18	Omulenge mogubwa eRama,
MAT.2.18	Eririra nerisusumana rinene,
MAT.2.18	Raele akarira busana nabana buwe;
MAT.2.18	Mwagana erisibikibwa, kusangwa sibakiriho.
MAT.2.19	Nikwa Herode abihola, lebaya, omulaika woMukama mwabutukira Yosefu omo nzoli eMisiri, mwabuga ati, 
MAT.2.20	Hangana, wimaye omwana na nyinya, ugende omo kihugo kya Israeli, kusangwa abasonda eriita omwana babirihola.
MAT.2.21	Naye mwahangana mwimya omwana na nyinya, mobaya omo kihugo kya Israeli. 
MAT.2.22	Nikwa abere owa ko Arkelao yu katabala eYudea omo mwanya wa Herode ise wuwe, mubaha eriyayo, nerisagisibwa omo nzoli mwasubula mwaya omo kihugo kya Galilaya.
MAT.2.23	Neryo mwaya eriikala omo muyi owakahulawa mo Nazareti, kibererere ekyabugawa nabaminyereri bati, Asyahulwa mo muNazareti.
MAT.3.1	Omo biro ebyo Yoane Mubatisa mwahika, akakangirirya omo mbwarara yeYudea ati, 
MAT.3.2	Mubinduke, kusangwa obwami bwelubula buri hakuhi. 
MAT.3.3	Kusangwa yoyo wahulawa nomuminyereri Isaya omugulu abuga ati,
MAT.3.3	Omulenge oyu kabirikira omo mbwarara:
MAT.3.3	Mukokotaye enzira yoMukama,
MAT.3.3	Mutungananaye esyombalu siwe.
MAT.3.4	Yoane abya ambite olukimba lwobweya bwengamia, nomukoba wengobi omo mbindi yiwe; nakaryo kuwe kabya esyongike nobuki bwomoli. 
MAT.3.5	Yerusalema neYudea ne kihugo kyosi ekihererenie neYorodani mobaya ahari, 
MAT.3.6	mobabatisibwa naye omo lusi lwaYorodani, ibanemokangya ebibi byabo. 
MAT.3.7	Nikwa omugulu alangira abaFarisayo na baSadukayo erihika okwibatisya, mwabuga nabo ati, Inywe bana besyonzoka! Ni ndi wabasagisaya okwisaga erikarama rikandisyasa kwehi? 
MAT.3.8	Mubute ebiguma ebitolere eribinduka, 
MAT.3.9	simuganiraye eriyibwira muti, Tuwite Abrahamu yo tata wetu; kusangwa ngababwira nyiti, Mungu angatoka eribindulira Abrahamu yabana omo mabwe aya. 
MAT.3.10	Na lino embasa ikirye oko murihi wemiti; oburi muti owatebuta ebiguma byowene akakondawa ahisi iniaguswa oko muliro. 
MAT.3.11	Ngababatisaya omo magetsi busana neribinduka, nikwa oyu kasa enyuma kwingye andengirye kagala, sinyitolere eriheka esyongendero siwe; asyababatisya neKirimu Kibuyirire nomo muliro. 
MAT.3.12	Olugare luwe luri omo byala biwe, asyabirya ekibuga kiwe nerihindanya enganu yiwe omo mbiso, nikwa omusunga asyahisya go omo muliro owatehombera.
MAT.3.13	Neryo Yesu mwalwa eGalilaya mwasa oko Yorodani ku Yoane eribatisibwa naye. 
MAT.3.14	Nikwa Yoane asonda erimuganisya ati, Ingye nyitolere iwanyibatisya nawe ukanyihikako kwehi? 
MAT.3.15	Nikwa Yesu mwamusubirya ati, Unyiligire eribya litya lino; kusangwa ritolere itwaberererya ebitunganene byosi. Neryo mwamuligira. 
MAT.3.16	Neryo omugulu Yesu amabibatisibwa, neryo-neryo mwalwa omo magetsi, lebaya, elubula molwakingukala naye mwalebya eKirimu kyoMungu kikandagala nga kalikuku, nerimwikirako; 
MAT.3.17	kandi lebaya, omulenge mwalwa elubula ati, Oyu ni Mugala wage mwanze, namatsemesibwa omwisi wuwe ndeke.
MAT.4.1	Neryo Yesu mwasondolibwa neKirimu omo mbwarara erilengwako na Satani. 
MAT.4.2	Mwatsira akaryo amatungi makumi ani nebiro makumi ani, nenyuma waho mwakwa enzala. 
MAT.4.3	Nomutebya mwasa mwamubwira ati, Wamabya uri Mugala woMungu, utegeke amabwe aya abye amandu. 
MAT.4.4	Nikwa mwamusubirya ati, Kisakire kiti, Omundu siaribyaho busana nobundu busa, nikwa busana noburi kinywa kikalwa omo buno bwoMungu. 
MAT.4.5	Kandi Satani moyamutwala oko muyi abuyirire, moyamuhira oko mukuto wehekalu, 
MAT.4.6	mwabuga naye ati, Wamabya uri Mugala woMungu uyiguse ahisi; kusangwa kisakire kiti,
MAT.4.6	Asyaha abamalaika buwe ehamuli busana nawe, eriku teya, kandi,
MAT.4.6	Noko byala byabo basyakubagarira,
MAT.4.6	Isiwahuma ekisandu kyawe okwibwe.
MAT.4.7	Yesu mwabuga naye ati, Kandi kisakire kiti, Susyelenga oko Mukama Mungu wawe. 
MAT.4.8	Kandi, Satani moyamutwala oko kitwa kirikiri kutsibu, moyamukangya amami gosi we kihugo kino nolukengerwa lwago; moyabuga naye iti, 
MAT.4.9	Ebyosi ebi nasyakuhabyo, wamagwa ahisi neringukamira. 
MAT.4.10	Yesu mwasubiryayo ati, Lwaho, Satani! kusangwa kisakire kiti, Wasyakukamira Mukama Mungu wawe, kandi wasyamukolera iyowene. 
MAT.4.11	Neryo Satani moyamusigania, neryo lebaya, abamalaika mobasa erimukolera.
MAT.4.12	Neryo omugulu owa ko Yoane abiribohwa, mwayilwiraho mwaya eGalilaya; 
MAT.4.13	nerilwa eNazareti mwayikala eKapernaumu hakuhi nengetsi, omo kihugo kya Zebuluni neNafutali, 
MAT.4.14	ebyabugawa nomuminyereri Isaya ibyatoka eriberera biti:
MAT.4.15	E kihugo kya Zebuluni ne kihugo kye Nafutali,
MAT.4.15	Obwanga bwengetsi, eyisiria weYorodani,
MAT.4.15	Galilaya yeBihanda—
MAT.4.16	Abandu abikere omo mwirimya
MAT.4.16	Babirilangira oluseke lunene,
MAT.4.16	Busana nabo bikere omo kihugo nomo kitsutsu kyoluholo
MAT.4.16	Ekyakakala kyamakolerya.
MAT.4.17	Eritsuka oko mugulu oyo Yesu mwatsuka eritulago ati, Mubinduke, kusangwa obwami bwelubula buri hakuhi.
MAT.4.18	Abere akalendera oko luhande lwe Ngetsi ya Galilaya, mwalola oko ababutirwe haguma babiri, Simoni oyo kahulawa mo Petero na Anderea mugala wabo, bakagusa ekisohi kyomo ngetsi; kusangwa babya basohi. 
MAT.4.19	Mwabuga nabo ati, Munyikwame, ngandisyabayira mo basohi babandu. 
MAT.4.20	Neryo-neryo mobasiga ebisohi byabo mobamukwama. 
MAT.4.21	Neriyitunda embere mwalangira abandi babutirwe haguma babiri, Yakobo mugala wa Zebedayo na Yoane mugala wabo, ibane mo bwato haguma na tata wabo Zebedayo, bakalanda ebisohi byabo, neryo mwabirikirabo. 
MAT.4.22	Neryo-neryo mobasiga obwato nise wabo, mobamukwama.
MAT.4.23	Kandi mwatimbatimba eGalilaya hosi, erikangirirya omo manyumba wabo werihindana neritula engulu yowene yobwami nerilamya esyondwala syosi namakoni gosi omukati-kati kabandu. 
MAT.4.24	Kandi engulu yiwe moyatsungana eSiria hosi, kandi mobamuletera abakoni bosi, abagalawa omo misindomisindo yesyondwala namagali, nabari kwesyombinga, neba tutsa, nababasire, mwalamyabo. 
MAT.4.25	Nesyondeko nene mosyamukwama erilwa eGalilaya neDekapoli neYerusalema ne Yudea neyisiria oko Yorodani.
MAT.5.1	Abere alangira esyondeko, mwahetukira oko kitwa, abere abikala abiga buwe mobahika hari. 
MAT.5.2	Neryo mwakumbula obuno buwe mwakangiriryabo ati:
MAT.5.3	Omuyisa ari nabera omo kirimu, kusangwa
MAT.5.3	obwami bwelubula ni bwabo.
MAT.5.4	Omuyisa ari nabo bakarira,
MAT.5.4	kusangwa basyasibikibwa.
MAT.5.5	Omuyisa ari na bomutima molo,
MAT.5.5	kusangwa basyarya e kihugo mo mwandu.
MAT.5.6	Omuyisa ari nabakwire enzala nenyota busana neritunganene,
MAT.5.6	kusangwa basyagutibwa.
MAT.5.7	Omuyisa ari nabakagenyera,
MAT.5.7	kusangwa basyabana erigenyerwa.
MAT.5.8	Omuyisa ari nabomutima mubuya,
MAT.5.8	kusangwa basyalola oko Mungu.
MAT.5.9	Omuyisa ari nabakayira obuholo,
MAT.5.9	kusangwa basyabirikirwa mo bagala boMungu.
MAT.5.10	Omuyisa ari nabo abakendereribawa busana neritunganene,
MAT.5.10	kusangwa obwami bwelubula ni bwabo.
MAT.5.11	Omuyisa ari nenyu omugulu bandu basyabatsuma neribendererya neribuga emisindo yosi yebibi busana nenyu namabihi busana nage. 
MAT.5.12	Mutseme, mutsange kutsibu, kusangwa ebihembo byenyu ni binene elubula, kusangwa ko banendereraya abaminyereri batya ababya emuliro wenyu.
MAT.5.13	Muri munyu we kihugo; nikwa omunyu amatalya obusi bwago, obusi bwago ibwasyasubibwa mugo mobuti kwehi? isiyowene busana nekindu, rye neriguswa eyihya neriryatangirirwa omwisi we bisandu byabandu. 
MAT.5.14	Muri ekyakakala kye kihugo. Omuyi ahirirwe oko kitwa siangatoka eribisama. 
MAT.5.15	Kutse abandu sibeakaya oluseke bakahiralo omwisi wekitiri, nikwa oko kikahamba oluseke, ilwakolerya abosi bari omo nyumba. 
MAT.5.16	Muleke oluseke lwenyu lukoleraye embere syabandu, balangire emibiri yowene yenyu bapipe Tata wenyu oyuri elubula.
MAT.5.17	Simuganiraye muti nasa erilusya ebihano nabaminyereri; sinasa erilusyabyo nikwa eriberereryabyo. 
MAT.5.18	Kusangwa kwenene, ngabuga nenyu, erihika aho elubula ne kihugo byasyalengera, sihari akakwarari, nakatondi, ebikandisyalwa oko bihano erihika aho ebyosi byasyabererera. 
MAT.5.19	Nikwa oyu kaketa ekiguma kyebihano ebi bike nerikangirirya abandu atya, asyahulwa mo muke kutsibu omo bwami welubula; nikwa oyu kakolabyo nerikangiriryabyo asyahulwa mo mukulu omo bwami bwelubula. 
MAT.5.20	Kusangwa ngababwira, nyiti, eritunganene ryenyu ryamatindalaba eryabasaki na baFarisayo, simwendisingira na hake omo bwami bwelubula.
MAT.5.21	Mwabiriowa ekyabugawa nabandu bakera, bati Susita: noyu kita ryangaleka iniatswerwa lubi. 
MAT.5.22	Nikwa ngababwira nyiti, oyu kahitana ku mugala wabo ryasyaleka iniatswerwa olubi; noyu wasyatsuma mugala wabo ati, uwe mbulamugasu ryasyaleka iniahika oko batsweri, noyu kabuga ati, uwe kikiru! ryasyaleka iniaya omo muliro wekulimu. 
MAT.5.23	Neryo wamaha erihitya ryawe aheriherera, neyo wamibuka mugala wenyu ari nomwatsi kuwe, 
MAT.5.24	usiganaye erihitya ryawe embere syaheriherera ugende; utsuke erisangana na mugala wenyu, neryo iwasa uhe erihitya ryawe. 
MAT.5.25	Usangane luba nomutsongeri wawe, mukinagenda okwibugiro, omutsongeri wawe siakuhe oko mutsweri, nomutsweri iniakuha oko musoda, neryo iwaguswa omo nyumba yomuliki; 
MAT.5.26	kwenene, ngababwira, siwendisyalwamo na hake utewabiriha esenge yenyumanyuma.
MAT.5.27	Mwabiriowa ngoko kyabugawa kiti, Susyesingira. 
MAT.5.28	Nikwa ngababwira nyiti, oyu kalangira omukali nengumbu nyibi iniamabimusingira omo mutima wuwe. 
MAT.5.29	Eriso ryawe ryamali ryamaleka ukakola ebibi, ukureryo uguseryo hali; ryowene kuwe ekitsuko kiguma kyawe erihera kwilaba omubiri wawe gosi eriguswa omo muliro wekulimo. 
MAT.5.30	Nebyala byawe byamali byamaleka ukakola ebibi, utwebyo ugusebyo; ryowene ukuwe ekitsuko kiguma kyawe erihera kwilaba omubiri wawe gosi eriya omo muliro wekulimo.
MAT.5.31	Kandi mokyabugwa ambu, Oyu wasyakomola omukaliwe, amuhe engomolo yerimuhiga. 
MAT.5.32	Nikwa ngababwira nyiti, oyu kakomola omukahwe, butsira busana nerisingira, akamuyira mo musingiri; noyu kahikaya oyu riakomolawa iniamasingira.
MAT.5.33	Kandi mwabiriowa ko kyabwirawa bandu bakera kiti, Susyelahiraya na mabihi, nikwa wasyakola oko Mukama ebyo walahiriraya. 
MAT.5.34	Nikwa ngababwira, nyiti, Sulahiraye na hake, kutse nelubula, kusangwa ni kitumbi kyobwami kyoMungu, 
MAT.5.35	kutse ne kihugo, kusangwa ni kitumbi kyebisandu biwe, kutse neYerusalema, kusangwa ni muyi woMwami mukulu. 
MAT.5.36	Susyelahiraya nomutwe wawe, kusangwa siwangatoka eriyira oluywiri luguma mo lwero kutse lwiragulu. 
MAT.5.37	Nikwa ebyo mukabuga bibye Ega, Ega, kutse eyihi, eyihi; ebirengire ebi bikalwa oko bibi.
MAT.5.38	Mwabiriowa ngoko kyabugawa kiti, Eriso busana neriso nerina busana nerina. 
MAT.5.39	Nikwa ngababwira nyiti, Simulwe nomundu mubi. Nikwa omundu amakuswirya oko ritema ryamali, umubindulire erindi; 
MAT.5.40	nomundu amakutsongera amaheka ekanzu yawe umusigire nolukimba lwawe; 
MAT.5.41	omundu amakuhatikana erigenda naye kilometre kiguma, ugende naye nekyakabiri. 
MAT.5.42	Uhe kwoyu kakusaba, sugane eribweka oyu kayibweka kuwe.
MAT.5.43	Mwabiriowa ngoko kyabugawa kiti, Wanze mulikyenyu ukwe enzigu yawe ekiniga. 
MAT.5.44	Nikwa ngababwira nyiti, Mwanze esyonzigu syenyu musabire abakabendereraya, 
MAT.5.45	imwatoka eribya abagala baTata wenyu oyuri elubula; kusangwa akahanganaya eryuba riwe oko babi noko babuya, akatuma embula oko batunganene noko batatunganene. 
MAT.5.46	Kusangwa mwamanza ababanzire mwasyahembwaki kwehi? Abasolesya sibekola batya kwehi? 
MAT.5.47	Mwamabukya abagala benyu basa, mukakola ebilengire abandi byahi kwehi? Ebihanda nabo sibekola batya kwehi? 
MAT.5.48	Nenyu mubye abahikene, ngoko Tata wenyu welubula ahikene.
MAT.6.1	Muyitegaye simuyire obugenge bwenyu emuliro wabandu erilolwako nabo; kusangwa mwamayira mutya simuri nolu hembo luku Tata wenyu oyuri elubula. 
MAT.6.2	Nibya omugulu ukahitaya, subuhe engubi emuliro wawe, nga batebya ko bakakola omo manyumba werihindana nomo syombalu, bati basimawe nabandu. Kwenene ngabuga nenyu, bawite oluhembo lwabo. 
MAT.6.3	Nikwa omugulu ukahitaya, ebyala bwaye byamalembe sibiminye ekyo ebyala byamali bikakola, 
MAT.6.4	erihitya ryawe ribye bubi-sobiso; na Tata wawe oyu kalebaya bubi-sobiso asyakuhemba.
MAT.6.5	Nomugulu mukasaba, isimwabya nga batebya; kusangwa banzire eriimana nerisabira omo manyumba werihindana nomo ngonde yesyombalu, bati balolaweko nabandu. Kwenene ngabuga nenyu, banawite oluhembo lwabo. 
MAT.6.6	Nikwa omugulu ukasaba, wingire mo kisenge kyawe ukinge oluyi usabe Tata wawe oyuri bubi-sobiso; na Tata wawe oyu kalangira bubiso biso asyakuhemba. 
MAT.6.7	Nenyu omugulu mukasaba simusube omo binywa bityabitya kandi nakandi ngoko Ebihanda bikakola; kusangwa bakaganiraya basyogubwa busana nebinywa byabo bingi. 
MAT.6.8	Simubye ngabo, kusangwa Tata wenyu anasi ebibari bwaga isimwemwamusaba. 
MAT.6.9	Musabe mutya muti:
MAT.6.9	Tata wetu oyuri elubula,
MAT.6.9	Erina ryawe riyirawe mo ribuyirire.
MAT.6.10	Obwami bwawe bwase,
MAT.6.10	Erisonda ryawe riyirawe,
MAT.6.10	Omo kihugo ngoko riri omo lubula.
MAT.6.11	Utuhe munabwire obundu bwetu bwekirokiro;
MAT.6.12	Utubuyire emyinda yetu.
MAT.6.12	Ngoko netu tukabuyira abari kwemyinda yetu;
MAT.6.13	Sutulete omwilengwako,
MAT.6.13	Nikwa utulamaye oko kibi.
MAT.6.13	Kusangwa obwami ni bwawe,
MAT.6.13	Na kagala nolukengerwa,
MAT.6.13	Na kera na kera. Bibye bitya.
MAT.6.14	Kusangwa mwamabuyira abandu kwa malolo wabo, Tata wenyu welubula asyababuyira; 
MAT.6.15	nikwa mwamatindabuyira abandu amalolo wabo, Tata wenyu naye siendisyababuyira amalolo wenyu.
MAT.6.16	Kandi omugulu mukatsira akaryo, simubye nobusu bwengitsi, nga batebya, kusangwa bakatsandaya amasu wabo bati balolaweko nabandu. Kwenene, ngabuga nenyu, banawite oluhembo lwabo. 
MAT.6.17	Nikwa omugulu ukatsira karyo, uhakabaye omutwe wawe gwamauta unabe omo busu bwawe, 
MAT.6.18	eritsira ryawe sirilolaweko nabandu nikwa nina Tata wawe oyuri bubi-sobiso; na Tata wawe oyu kalebaya bubi-sobiso asyakuhemba.
MAT.6.19	Simuyibikire ebindu mona kihugo, aho ehinyurugunzu namakenge bikaheraya naho abarahi bakatula ibiba, 
MAT.6.20	nikwa muyibikire ebindu elubula, aho ebinyurugunzu kutse amakenge siariheraya naho abarahi sibetula neriiba. 
MAT.6.21	Kusangwa ahari ebindu byawe, ho mutima wawe akabya. 
MAT.6.22	Oluseke lwomubiri rye riso. Eriso ryawe ryamuwana, omubiri wawe gosi asyusula nekyakakala; 
MAT.6.23	nikwa eriso ryawe ryamabya ritowene, omubiri wawe gosi asyusula nomwirimya. Neryo ekyakakala omwisi wawe kyamabya mwirimya, omwirimya oyo ni mungi! 
MAT.6.24	Sihari oyo wangakolera abakama babiri; kusangwa asyakwa muguma ekiniga inianza ogundi, kutse asyabegera oko muguma neripona ogundi. Simwangatoka erikolera Mungu nebindu. 
MAT.6.25	Neryo ngababwira nyiti, simubye namaganiryo busana nengebe yenyu muti mwasyaryaki kutse mwasyapulyaki, kutse busana nomubiri wenyu nga mwasyambalaki. Engebe silabire karyo, nomubiri sialabire esyongimba kwehi? 
MAT.6.26	Musamalire esyonyonyu syomo kyanya; sisyebiba kutse erigesa kutse erihunika omo mbiso, nikwa Tata wenyu welubula akarisayasyo. Simuri benzwere eyilengiresyo kutsibu kwehi? 
MAT.6.27	Kandi nindi kwinywe busana na maganiryo angatoka eritomeka emituta yengebe yiwe kolulengero luguma kwehi? 
MAT.6.28	Kandi busana naki mukabya na maganiryo busana nesyongimba kwehi? Muganiraye ebirangaranga byomoli, ngoko bikalasa; sibyehinga kutse eriluka; 
MAT.6.29	nikwa ngababwira nyiti, Solomono omo lukengerwa luwe losi siabya ambite ebiringene nge kiguma kyebi. 
MAT.6.30	Nikwa Mungu amabya akambalaya ebiti byomoli atya, ebiriho lino nomungyakya bikagusawa omo riko, siendisyabambalya kwilaba aho, inywe bandu berikirirya ike kwehi? 
MAT.6.31	Neryo simubye namaganiryo, muti, Twasyaryaki kwehi? kutse Twasyapulyaki kwehi? kutse twasyambalaki kwehi? 
MAT.6.32	Kusangwa Ebihanda bikasonda-sonda emyatsi eyi yosi; na Tata wenyu welubula anasi ebyosi ebi ebibari bwaga. 
MAT.6.33	Nikwa mutsuke erisonda-sonda obwami buwe neritunganene riwe, nemyatsi eyi yosi yasyabya yenyu nibya. 
MAT.6.34	Kandi simubye na maganiryo busana nomongyakya, kusangwa mongyakya yasyabya namaganiryo wayo. Amalige wekiro kiguma abye angaho busana nekiro ekyo.
MAT.7.1	Simutswere, imomutatswerwa. 
MAT.7.2	Kusangwa omwitswera eryo mukatswera mwasyatswerwa muryo, nolulengo olo mukalengamo mwasyalengerwa mulo. 
MAT.7.3	Busana naki ukalangira akati akari omo riso rya mugala wenyu, nikwa surihenga ekitika ekiri omo riso ryawe kwehi? 
MAT.7.4	Kutse ukabwira mugala wenyu yuti, uti, Taleka natalusya akati akari omo riso ryawe, nekitika kikine omo riso ryawe kwehi? 
MAT.7.5	Uwe mutebya, tsuka erilusya ekitika ekiri omo riso ryawe, neryo wasyalangira ndeke erilusya akati akari omo riso rya mugala wenyu.
MAT.7.6	Simuhe esyombwa syekibuyirire; simuguse esyolulu syenyu emuliro wesyongurube isisyaryatangirirasyo omo bisandu byasyo isyabinduka nerilwa nenyu.
MAT.7.7	Mubulaye, mwasyahabwakyo; musonda-sonde mwasyabana; mukongote, mwasyakingulirwalo. 
MAT.7.8	Kusangwa omundundi oyu kasaba akimaya, noyu kasonda-sonda akabanakyo, na kwoyu kakongota lwasyakingulwa. 
MAT.7.9	Kutse ni mundundi kwinywe, omugala wuwe amamusaba obundu, iniamuha eribwe kwehi? 
MAT.7.10	Kutse amamusaba erihere, iniamuha enzoka kwehi? 
MAT.7.11	Mwamabya imuri babi, munasi eriha erihitya ryowene oko bana benyu, Tata wenyu oyuri omo lubula sialabire kwaho eriha ebindu byowene oko bakamusaba kwehi? 
MAT.7.12	Neryo kinduki mukasonda bandu babakolere, nenyu mukolebo mutya; kusangwa eri ni bihano nabaminyereri.
MAT.7.13	Mwingira omwirimbo ike; kusangwa eririmbo ni rigali nenzira ni nyigali nenyolo ebikalolaya okwihera, nabakingiramo ni bangi. 
MAT.7.14	Kusangwa eririmbo nike nenzira ikalire ebikalolaya oko ngebe, nabakabanayo ni bake.
MAT.7.15	Muyitegaye busana nabaminyereri bamabihi, abakabahikako omo syongimba syesyombuji nikwa omwisi ini mbwa syomoli. 
MAT.7.16	Mwasyaminyererabo ko biguma byabo. Ebinyu bikohawa oko misakisaku, kutse mitini oko matolu kwehi? 
MAT.7.17	Ritya omuti mubuya akabuta ebiguma byowene, nikwa omuti mubi akabuta ebiguma bibi. 
MAT.7.18	Omuti owene siangatoka eributa ebiguma bibi, kandi nomuti mubi siangatoka eribute ebiguma byowene. 
MAT.7.19	Oburi muti owatebuta ebiguma byowene akakondawa inaguswa oko muliro. 
MAT.7.20	Ritya mwasyaminyerabe oko ebiguma byabo. 
MAT.7.21	Omundu oyu kabuga nage ati, Mukama Mukama, yu tesingira omo bwami welubula, yonoyu kakola erisonda ryaTata wage oyuri elubula. 
MAT.7.22	Oko kiro ekyo bang basyabuga nage bati, Mukama, Mukama, motutaminyerera omo rina ryawe, motutagusa esyombinga mo rina ryawe, motutakola emibiri yamaka omo rina ryawe kwehi? 
MAT.7.23	Nage nasyabwirabo nyiti, Mondabaminya na kera; munyilwire hano inywe bakoli bebibi.
