MAT.1.1	Mɛkana maka kɛ lɛpɔ kasi Yesus Krist nɛ̀ mɛɗinɔ mɛ ɓesaŋmbambɔ ɓenɛ. Nyɛ nday Davit, nday Abaraham. 
MAT.2.5	Ɛ ɓo yeŋsa nyɛ nyɛ nde: «Kɛ Betɛlɛhɛm kɛ mɛnɛti mɛ Yuda, kɛto mɔ punja mɛlɛpi mɛ Njambiyɛ kɛtima nde: 
MAT.2.6	‹Ma wɛ Betɛlɛhɛm kɛ mɛnɛti mɛ Yuda, ko wɛ yeti mɔnɔ ɗya kɛ njoka kpasa mɛɗya mɛ mɛnɛti mɛ Yuda na, kɛto kum te ɛ ta kɛndɔ nɛ kandɔ mbɛ Isarayɛl kɔ ta wulɛ ndi kɛ yɔ.› »
MAT.2.7	Ɗete, ɛ Herod jeɓa ɓotu ɓe duwa̧ mɛyasi nɛ sɔ, ɛ nyɛ kombile diyɛ ɓo ŋgbak ŋgbak ŋgimɔ te yi sisɔ̧ te punduma nɔ kɛ́. 
MAT.2.8	Kɛ kɔŋte, ɛ nyɛ tomɛ ɓo kɛnjɛ kɛ Betɛlɛhɛm lɛpɔ nde: «Nɛ kɛ̂n, nɛ̀ wunɛ dîya yasi kimɔte kɛ kasi mɔnɔ te. Kɛ wunɛ si dolɔ nyɛ, nɛ̀ wunɛ njâki nje lɛpɔ nyɛ mi, nɛ́ mi nɛ ŋguru wombɛ kɛ̀ sendi kɛ̀ kanɔ nyɛ.» 
MAT.2.9	Kɛ ɓo ma si lɛŋgwɛ mɛtɔ kɛ yasi te yi kumande lɛpima kɛ́, ɛ ɓo kwa̧. Ɓo sém semɔ, sisɔ̧ te yi ɓo ɓɛŋma kɛ pulɔ komɛ yesɔ pundɛ kɔ kɛ kɛndɔ kɛ mbɔmbu yan. Kɛ nyɛ ma kumɔ ndi kɛ mbɛy te yi mbɔŋgɔ mɔnɔsikɛ ɓa̧ kɛte kɛ́, ɛ nyɛ tɛmɛ. 
MAT.2.10	Ɛ ɓotu ɓe duwa̧ mɛyasi ma nje semɔ sisɔ̧ nɛ kɔkɔ kɛ́, ɛ ɓo sosa ɓuɗyate. 
MAT.2.11	Ɓo nyiŋma tu̧ dolɔ mbɔŋgɔ mɔnɔsikɛ ɓenɛ nyaŋgwɛ wenɛ Mariya, ɛ ɓo kusɛ mɛɓɔŋ kɛ mɛnɛti kanɔ mbɔŋgɔ mɔnɔsikɛ. Ɓo walma kpasa kimɔ mɛyasi mɛte yi ɓo nja̧ nɔ kɛ́ nyɛ nyɛ. Yo ɓa̧ lɔr nɛ̀ yiŋa kpasa njɔnju jeti ɓu̧ yiŋa lɔbinda te yi ɓo kelɛ nɛ wɛtɛ mbunjɔ nde *mir kɛ́. 
MAT.2.12	Kɛ kɔŋte, ɛ Njambiyɛ lɛpɛ nyɛ ɓo nɛ nje te yi nyɛnɔ nde, ɓo tî yɔkwɛ nɛ kɔkɔ kɛ̀ punjɛ misi nyɛ Herod na. Kɛ nyɛ ma lɛpɔ nyɛ ɓo ɗete kɛ́, ɛ ɓo tɔkɛ mbaŋa nje dɛlɛ yí ɗuwɛ nɔ kɛ̀ nɔ ɗya ɗyan.
MAT.2.13	Kɛ ɓotu ɓe duwa̧ mɛyasi ma si kwa̧ kɛ́, ɛ wɛtɛ jaki Baba Mbokɔ nje punjɛ yotu nyɛ Yosɛp nɛ nje te yi nyɛnɔ lɛpɔ nyɛ nyɛ nde: «Tɛma, ɓoŋgɔ mbɔŋgɔ mɔnɔsikɛ ɓenɛ nyaŋgwɛ ɓɔmbɔ nɔ kɛ̀ nɔ kɛ Ejipt. Wunɛ ɗîy mate kumɔ kɛ ŋgimɔ te yi mi ta lɛpɔ nyɛ wɛ, kɛto Herod ta sa̧ nje te yi wo mɔnɔsikɛ.» 
MAT.2.14	Ɗete, ɛ Yosɛp tɛmɛ nɛ tu ɓu̧ mbɔŋgɔ mɔnɔsikɛ ɓenɛ nyaŋgwɛ kwa̧ nɔ kɛ̀ nɔ kɛ Ejipt. 
MAT.2.15	A ɗiyma mate kumɔ kɛ ŋgimɔ te yi Herod gwa̧ nɔ kɛ́. Yo kwaŋnama ɗete, nɛ́ lɛpi te yi Baba Mbokɔ lɛpima kɛ numbu mɔ punja mɛlɛpi mɛnɛ kɛ́ si tondu. A lɛpima nde: ‹Mi jeɓama mɔnmbɛ soŋɛ kɛ Ejipt.›
MAT.2.16	Kɛ Herod ma ɓɛŋɛ nde, ɓotu ɓe duwa̧ mɛyasi seɓila nyɛ kɛ́, ɛ njoŋ nɛ tusiyɛ, ɛ nyɛ tomɛ ɓomɔ, nɛ́ ɓo kɛ̀ wo mbɔŋgɔ ɓɔnɔ ɓembam hɛnɛ kumɔ kɛ ɓaka ɓe nɛ sew yiɓa kɛ Betɛlɛhɛm nɛ̀ kɛ pɔku te yite. A pɛsima mɛsew mɛ ɓɔnɔ ɓembam ɓete yi ɓo yâkaŋgwɛ wo ɓaka ɓeŋgwɛ ŋgimɔ te yi ɓotu ɓe duwa̧ mɛyasi semma nɛ sisɔ̧ nda yi ɓo lɛpima nyɛ nyɛ kɛ́. 
MAT.2.17	Ɗete, lɛpi te yi Jeremi te mɔ punja mɛlɛpi mɛ Njambiyɛ lɛpima nɛ mbɔmbu kɛ́ kelnama gbate. A lɛpima nde: 
MAT.2.18	‹Ɓo wokuma mɛkembi kɛ Rama, mɛɗukwe nɛ̀ ɓeya nyaŋgwɛ mɛjaɓa. Rasɛl kɛ lelɔ ɓɔnɔ ɓenɛ, a ti kway nde, mumɔ wɛ̂ɗya temɔ nɛ na, kɛto ɓɔnɔ ɓenɛ yeti se na.›
MAT.2.19	Kɛ Herod ma gwe kɛ́, ɛ wɛtɛ jaki Baba Mbokɔ punjɛ yotu nyɛ Yosɛp nɛ nje te yi nyɛnɔ kɛ Ejipt lɛpɔ nyɛ nyɛ nde: 
MAT.2.20	«Tɛma, ɓoŋgɔ mbɔŋgɔ mɔnɔsikɛ ɓenɛ nyaŋgwɛ ɗuwɛ nɔ nɛ kɔkɔ kɛ̀ nɔ kɛ Isarayɛl, kɛto ɓotu ɓete ɓe kwaɗya wo nyɛ ɓaka ma gwe.» 
MAT.2.21	Ɛ Yosɛp tɛmɛ ɓu̧ mɔnɔsikɛ ɓenɛ nyaŋgwɛ yɔkwɛ nɔ kɛ̀ nɔ kɛ Isarayɛl. 
MAT.2.22	Ma kɛ Yosɛp ma wokɔ nde, yo Arkelas ɓu̧ ɗiyɔ kumande kɛ Yuda kɛ numbu saŋgwɛ wenɛ Herod kɛ́, ɛ nyɛ gwe wɔ̧ te yi yɔkwɛ kɛ̀ mate. Yasi wɛtɛ, a nja kwa̧ kɛ̀ kɛ Galile nda yi Baba Mbokɔ nja̧ lɛpɔ nyɛ nyɛ kɛ nyɛnɔ kɛ́. 
MAT.2.23	A ka̧ ɗiyɔ kɛ wɛtɛ ɗya nde Nasarɛt. Yo kelnama ɗete, nɛ́ mɛlɛpi mɛte yi ɓotu ɓe punja mɛlɛpi mɛ Njambiyɛ lɛpima kɛ́ si tondu. Ɓo lɛpima nde: ‹Ɓo ta jeɓa nyɛ nde Mɔ Nasarɛt.›
MAT.3.1	Kɛ ŋgimɔ te yite Jaŋ te mɔ tɔpuna ɓomɔ kɛ mɔrɔku punduma kandɛ pelna Kimɔ Tom kɛ koŋgor kɛ mɛnɛti mɛ Yuda. 
MAT.3.2	A ɗikima lɛpɔ nde: «Wunɛ yêŋsaŋgwɛ temɔ, kɛto *Kandɔ te yi kwey ma wuta.» 
MAT.3.3	Jaŋ, nyɛ mɔ te yi Esayi te mɔ punja mɛlɛpi mɛ Njambiyɛ lɛpima kasi nɛ nde: ‹Wɛtɛ mumɔ kɛ kembiɗya kɛ mɔy koŋgor nde: Wunɛ kômbila nje Baba Mbokɔ. Wunɛ tɛ̂mbiɗya mɛnje mɛnɛ nɛ ŋgbeŋ.›
MAT.3.4	Jaŋ ɗikima lɛŋɛ nɛ wɛtɛ lambɔ te yi ɓo kelma nɛ mɛmburu mɛ *samo kɛ́. Mɛɗye mɛnɛ ɓa̧ ɓeɗɔlɔ nɛ̀ mutɔ mɛ jo te yi nyɛ ɗikima dolɔ kɛ likɔ kɛ́. Kanda te yi nyɛ ɗikima lɛŋɛ kɛ jon kɛ́, ɓo kél yo nɛ kotu nyamɔ. 
MAT.3.5	Ɓotu ɓe Yerusalɛm nɛ̀ ɓotu ɓe Yuda nɛ̀ ɓotu ɓete ɓe ɗikima ɗiyɔ kɛ pɔku goŋ Yurdɛ̧ ɓaka ɗikima nje hɛnɛ pɛlɛ yenɛ. 
MAT.3.6	Ɛ ɓo ɗiki jayɛ ɓeya mɛkele man kɛ mbɔmbu ɓomɔ, ɛ Jaŋ ɗiki tɔpɛ ɓo kɛ mɔrɔku kɛ Yurdɛ̧.
MAT.3.7	Kɛ Jaŋ ma ɓɛŋɛ nde, *Ɓefarisɛ̧ nɛ̀ *Ɓesadusɛ̧ ɓuɗyate kɛ nje kɛ yenɛ, na tɔpi ɓo kɛ mɔrɔku kɛ́, ɛ nyɛ lɛpɛ nyɛ ɓo nde: «Wunɛ mbo yeri, nda lɛpɛ nyɛ wunɛ nde, wunɛ yakama diyɔ lalɛ kɛ ŋgambi Njambiyɛ yi nje kɛ́? 
MAT.3.8	Wunɛ kêl mɛkele mɛte yi teɗye nde, wunɛ ma yeŋsa temɔ. 
MAT.3.9	Wunɛ tî ɓoɓa lɛpɔ kɛ mɔy temɔ yun nde, wunɛ ɓenday ɓe Abaraham. Kɛto mi kɛ kombile lɛpɔ nyɛ wunɛ nde: Njambiyɛ yakama yeŋsa mɛtari mɛte yikɛ nde, yo ɓɛ̂ki ɓɔnɔsikɛ nyɛ Abaraham. 
MAT.3.10	Njeŋ mɛ nɛ lɛndɛ kɛ njuku jeti, ɗete jeti hɛnɛ ɛ ɗiyɛ kinɛ wumɔ kimɔ mɛmbumɔ, ɓo ta pɛsɔ nyɛ ɓetɛ kɛ ɗitɛ. 
MAT.3.11	Mi tɔ́pa mbɛ wunɛ nɛ mɔrɔku yí teɗye nde, wunɛ ma yeŋsa temɔ. Yasi wɛtɛ, mɔ te ɛ nje kɛ kɔŋ mbɛ kɔ ta tɔpɛ nɛ wunɛ kɛ Kimɔ Sisiŋ nɛ̀ kɛ ɗitɛ, kɛto a nɛ ɗeti kwa̧ mi. Ko mi ti yaka sɔrɛ mɛnakala kɛ kol nɛ na. 
MAT.3.12	A nɛ jeti kɛ ɓɔ yí kutɔ nɛ nyambi, yí ɓakɛ njɔsɔ te nɛ̀ kopu te. A ta soŋɛ njɔsɔ nyambi kɛ̀ ɓakiɗye kɛ ndam. Ma a ta loɗyɛ mɛkopu mɛte kɛ ɗitɛ te yi ti ɗím kɛ́.»
MAT.3.13	Kɛ ŋgimɔ te yite ɛ Yesus tɛmɛ kɛ Galile kɛ̀ kɛ yi Jaŋ kɛ goŋ Yurdɛ̧, nɛ́ Jaŋ tɔpi nyɛ kɛ mɔrɔku. 
MAT.3.14	Yasi wɛtɛ, ɛ Jaŋ sɛŋɛ kutuɗya lɛpɔ nde: «’Yeti gba wɛ yâkaŋgwɛ tɔpɛ mi kɛ mɔrɔku na? Nan yi wɛ kpalɔ nje nde, mi tɔ̂pa wɛ kɛ mɔrɔku kɛ́?» 
MAT.3.15	Ɛ Yesus yeŋsa nyɛ nyɛ nde: «Tikɔ, nɛ́ yo pa kelna ɗete ndana, kɛto yo kimɔte nde, wusɛ tônjukwɛ mɛyasi hɛnɛ te yi nɛ ŋgbeŋ nda yi Njambiyɛ kwaɗyɛ.» Ɛ Jaŋ jayɛ kinɛ pitiɗye se yaŋa nyɛ nyɛ na. 
MAT.3.16	Ndi nɛ tɔpuna nɛ kɛ mɔrɔku, ɛ Yesus ɓendɛ ŋgindi nɛdɔ. Semɔ semɔ, ɗyoɓɔ nɛmbiya, ɛ nyɛ ɓɛŋɛ Sisiŋ Njambiyɛ kɛ piyɛ nda pepɔ nje kɛ yotu nɛ 
MAT.3.17	yaka nɛ wɛtɛ mɛn kɛ wulɛ ɗyoɓɔ lɛpɔ nde: «Yɔkɔ mɔnmbɛ, sɔŋ temɔ mbɛ, temɔ mbɛ hɛnɛ kɛ yotu nɛ.»
MAT.4.1	Kɛ kɔŋte, ɛ Kimɔ Sisiŋ kelɛ nde, Yesus kɛ̂n kɛ koŋgor, nɛ́ *Kum ɓeya mɛkele kɛ̀ ɓoɓi nyɛ. 
MAT.4.2	Yesus kiyma mɛɗye yaka mɛyesɔ kamɔni nɛ̀ mɛtu kamɔni. Kɛ kɔŋte, ɛ nyɛ wokɛ nja. 
MAT.4.3	Ɛ *Mɔ ɓoɓuna ɓomɔ kɔ nje kɛ kɛki nɛ lɛpɔ nyɛ nyɛ nde: «Ŋgɛ ɓɛ nde, wɛ Mɔnɔ Njambiyɛ, lɛpɔ nyɛ mɛtari maka nde, yo yêŋsaŋgwɛ ɓɛ mampa.» 
MAT.4.4	Yasi wɛtɛ, ɛ Yesus yeŋsa nyɛ nyɛ nde: «Yo kɛtinate kɛ mɛkana mɛ Njambiyɛ nde: ‹Mumɔ ti yaka joŋna ndi nɛ mampa nyɛpɔ na, mumɔ yakama joŋna nɛ mɛlɛpi hɛnɛ te yi pundɛ kɛ numbu Njambiyɛ.› »
MAT.4.5	Kɛ kɔŋte, ɛ Kum ɓeya mɛkele kɔ ɓu̧ nyɛ kɛ̀ nɔ kɛ Yerusalɛm, ɗya te yi Njambiyɛ tɔkuma, kwa̧ tɛmbiɗye nyɛ kɛ tosiyɔ̧ mbanjɔ Njambiyɛ 
MAT.4.6	lɛpɔ nyɛ nyɛ nde: «Ŋgɛ ɓɛ nde, wɛ Mɔnɔ Njambiyɛ, ɗokɔ piyɛ kɛ mɛnɛti, kɛto yo kɛtinate nde: ‹Njambiyɛ ta nyɛ numbu nyɛ ɓejaki ɓenɛ kɛto yɔ, ɗete ɓo ta jɛkiɗye ɓɔ ɓiye nɛ wɛ, kambɔ wɛ mɛ nje ɗumɔ kol yɔ kɛ tari.› » 
MAT.4.7	Ɛ Yesus lɛpɛ nyɛ nyɛ nde: «Yo kɛtinate nde: ‹Wɛ tî ɓoɓa Baba Mbokɔ te Njambiyɛ wɔ na.› »
MAT.4.8	Ɛ Kum ɓeya mɛkele kɔ ɓu̧ nyɛ sendi, kɛ̀ nɔ kɛ wɛtɛ nyaŋgwɛ ɗɔŋna keki, teɗye nyɛ mɛkandɔ hɛnɛ kɛ to mɛnɛti nɛ̀ mɛnyɔŋɔ mɛte yi ɗiyɛ kɛte kɛ́. 
MAT.4.9	Ɛ nyɛ lɛpɛ nyɛ nyɛ nde: «Mɛyasi mɛnɔri hɛnɛ, mi ta nyɛ wɛ yo, ŋgɛ wɛ kusɛ mɛɓɔŋ kɛ mɛnɛti kanɔ mi.» 
MAT.4.10	Ɛ Yesus lɛpɛ nyɛ nyɛ nde: «*Satan, lɔndɔ kɛ kɛki mbɛ. Yo kɛtinate nde: ‹Kanɔ Baba Mbokɔ te Njambiyɛ wɔ, kelɔ mɛsay nyɛ ndi nyɛ nyɛpɔ.› » 
MAT.4.11	Ndana, ɛ Kum ɓeya mɛkele kɔ tikɛ nyɛ, ɛ ɓejaki ɓe Njambiyɛ nje nje kelɔ mɛsay nyɛ nyɛ.
MAT.4.12	Kɛ Yesus ma wokɔ nde, ɓo ɓiyma Jaŋ nyɛ kɛ jɔɓɔ kɛ́, ɛ nyɛ tɛmɛ kwa̧ kɛ̀ kɛ Galile. 
MAT.4.13	A ɗuwa̧ kɛ Nasarɛt kɛ̀ ɗiyɔ kɛ Kapɛrnawum kɛ goŋ matɔ kɛ mɛnɛti mɛ Sabulɔŋ nɛ̀ Nɛftali. 
MAT.4.14	Mɛyasi kwaŋnama ɗete yí tonjɛ nɛ mɛlɛpi mɛte yi Esayi te mɔ punja mɛlɛpi mɛ Njambiyɛ lɛpima kɛ́. 
MAT.4.15	A lɛpima nde: ‹Ɓotu ɓe mɛnɛti mɛ Sabulɔŋ nɛ̀ Nɛftali pɛlɛ pɔku nyaŋgwɛ matɔ kɛ ŋginjɛ Yurdɛ̧, mɛnɛti mɛ Galile te yi ɓotu ɓete ɓe yeti kɛ duwɛ Njambiyɛ ɓaka, 
MAT.4.16	ɓotu ɓaka ɓe ɗiyma kɛ mɔy yitil ɓaka ɓɛŋma nyaŋgwɛ mɛjasi. Ɓotu ɓete ɓe ɗiyma kɛ ndiliŋ mbɛy te yi sɔŋ ɓaka, mɛjasi kumma pɛlɛ yan.› 
MAT.4.17	Kandɛ kɛ ŋgimɔ te yite, ɛ Yesus kandɛ pelna Kimɔ Tom lɛpɔ nde: «Wunɛ yêŋsaŋgwɛ temɔ, kɛto *Kandɔ te yi kwey ma wuta.»
MAT.4.18	Kɛ ŋgimɔ te yi Yesus ɓa̧ kɛ kɛndɔ kɛ goŋ nyaŋgwɛ matɔ Galile, ɛ nyɛ ɓɛŋɛ ɓembam yiɓa, ɓo púndu mɔy wɛtɛ, Simɔn te yi ɓo jeɓa nde Piyɛr kɔ ɓenɛ maŋ wenɛ Andere. Ɓo ɓa̧ kɛ ɓetɛ bulajama kɛ matɔ, kɛto ɓo ɓa̧ ɓotu ɓe wona ɓenjanjɔ. 
MAT.4.19	Ɛ nyɛ lɛpɛ nyɛ ɓo nde: «Wunɛ ɓêŋgwɛ mi, mi ta kelɔ nde, wunɛ ɓɛ̂ki ɓotu ɓe ɗalna ɓomɔ teɗye nje Njambiyɛ.» 
MAT.4.20	Ɛ ɓo tɛmɛ nɛ ŋgɛt ŋgbɛsɛ mɛbulajama man ɓeŋgwɛ nyɛ. 
MAT.4.21	Yesus nja̧ toŋgiɗya kɛ̀ mbɔmbu, ɛ nyɛ ɓɛŋɛ sendi ɓaŋa ɓembam yiɓa, ɓo púndu sendi mɔy wɛtɛ, Jak te mɔnɔ Seɓede ɓenɛ maŋ wenɛ Jaŋ. Ɓo ɓa̧ kɛ mɔy landi ɓenɛ ɓe saŋgwɛ wan Seɓede kɛ kombile mɛbulajama man, ɛ Yesus jeɓa ɓo. 
MAT.4.22	Ɛ ɓo tɛmɛ nɛ ŋgɛt ŋgbɛsɛ landi nɛ̀ saŋgwɛ wan kwa̧ ɓeŋgwɛ nyɛ.
MAT.4.23	Yesus kɛndima linje mɛnɛti mɛ Galile hɛnɛ, teɗye ɓomɔ mɛlɛpi mɛ Njambiyɛ kɛ mɛmbanjɔ mɛwesiɗya mɛ Ɓeyudɛn, pelɛ Kimɔ Tom kɛ kasi *Kandɔ Njambiyɛ, siɗyɛ kwalɔ mɛkɔn nɛ̀ kwalɔ mɛkɔsu hɛnɛ kɛ yotu ɓomɔ. 
MAT.4.24	Ɗinɔ ɗyenɛ wumma kumɔ kɛ ndiŋgɛlɛ mɛnɛti mɛ Siri. Ɓo ɗikima ɓu̧ ɓotu ɓe kɔn hɛnɛ nje nɔ kɛ yenɛ. Yo ɓa̧ ɓotu ɓete ɓe ɓa̧ kɛ wokɔ yotu kwanate nɛ̀ ɓaka ɓe ɓa̧ kɛ saŋgwa nɛ mɛbɔnɛ nɛ̀ kwalɔ mɛkɔn wɛtɛ wɛtɛ nɛ̀ ɓotu ɓete ɓe ɓeya mɛsisiŋ ɗikima njaŋgwɛ ɓo ɓaka. Yo ɓa̧ nɛ ɓotu ɓete ɓe ɓa̧ kɛ kɔnɔ nɛ jaja nɛ̀ ɓotu ɓe kɔsu. Ɓo ɗikima ɓu̧ ɓo hɛnɛ nje nɔ kɛ yenɛ, ɛ nyɛ ɗiki siɗyɛ mɛkɔn man. 
MAT.4.25	Nyaŋgwɛ ŋgil ɓomɔ ɗikima ɓeŋgwɛ nyɛ. Ɓo ɗikima wulɛ Galile nɛ̀ kɛ nyaŋgwɛ mɛɗya kamɔ nɛ̀ kɛ Yerusalɛm nɛ̀ Yuda hɛnɛ nɛ̀ ŋginjɛ Yurdɛ̧.
MAT.5.1	Kɛ Yesus ma ɓɛŋɛ ɓuɗya ŋgil ɓomɔ kɛ́, ɛ nyɛ kwa̧ ɓendɔ keki kwa̧ ɗiyɔ mɛtiɗyɛ. Ɛ ɓejekɛ ɓenɛ nje kɛ kɛki nɛ. 
MAT.5.2	Ɛ nyɛ ɓutɛ numbu kandɛ teɗya mɛlɛpi mɛ Njambiyɛ nyɛ ɓo lɛpɔ nde:
MAT.5.3	«Ɓotu ɓete ɓe duwɛ kɛ temɔ yan nde, ɓo kinɛ ɗeti ɓaka nɛ mɛsosa, kɛto *Kandɔ te yi kwey, yo yan.
MAT.5.4	Ɓotu ɓete ɓe nɛ ŋgambi kɛ temɔ kɛto mɛbɔnɛ ɓaka nɛ mɛsosa, kɛto Njambiyɛ ta wɛɗye temɔ yan.
MAT.5.5	Ɓotu ɓete ɓe nɛ wɛyna temɔ ɓaka nɛ mɛsosa, kɛto ɓo ta namɔ mɛnɛti maka.
MAT.5.6	Ɓotu ɓete ɓe gwe nja̧ nɛ̀ yɛsiɗyɛ kelna ŋgbeŋ mɛkele ɓaka nɛ mɛsosa, kɛto Njambiyɛ ta nyɛ ɓo ɗeti te yi kelɔ ɗete.
MAT.5.7	Ɓotu ɓete ɓe gwe ŋgwɛtɛ ɓɛsɔ ɓaka nɛ mɛsosa, kɛto a ta gwe ŋgwɛtɛ yan.
