MAT.1.1	Tone nüri bama pünanaquiti Jesucristo tücañe, bama ipiarientetorrti David y arrti Abraham.
MAT.1.22	Nanaiña arrüna pasao sane, nauqui acoco arrümanu nurarrti Tuparrü tücañe turuquiti profetarrü:
MAT.1.23	Arrümanu cupiquirri chisuputaratiquipü ñoñünrrü, anati ñana ipiaümacarrü icütüpü, nürirrti Emanuel.
MAT.1.23	Auqui besüro arrüna nürirrti nantü: Anati Tuparrü uyarrüpecu.
MAT.1.24	Nauquiche sütopücoti José, isamutenti sane tacana arrüna yacüpucurrti maniqui ángel ümoti. Yasutiuti Mariarrü icüpostoboti. 
MAT.1.25	Pero anatiatai ichepe champü causane uiti ümo, cheperrtü tanati icu cürrü maniqui ipiaümacarrü. Numo tanati icu cürrü süro üriboti Jesús.
MAT.2.1	Arrti Jesús anati icu cürrü au manu pueblurrü nürirri Belén, au manu cürrü nürirri Judea, au na cauta nacarrti yüriaburrü Herodes.
MAT.2.1	Au manu tiemporrü iñataimia au Jerusalén manuma mañoñünca cuamatü auqui tauna ümo tansürü. Arrüma estudiaboma ñome arrüba nostoñeca abe icu napese. 
MAT.2.2	Ñanquitioma pünanaqui macrirrtianuca cauta nacarrti maniqui üriatu bama israelitarrü maniqui aübo anati icu cürrü. Namatü:
MAT.2.2	—Sumarrtai taha arrüna auquiche sobetü arrümanu nocoborese nibiasarurrti. Uirri nauquiche sobetü supanaun ümoti.
MAT.2.3	Nauquiche ipiatenti yüriaburrü Herodes arrüna sane, chümarrtacarrüpatai ümoti. Namanaiña macrirrtianuca au Jerusalén, chümarrtacarrüpataito ümoma. 
MAT.2.4	Auqui oberabarama uiti Herodes arrübama üriatu bama sacerdoterrü y arrübama manunecana nüriacarrü nauqui anquirioti pünanaquimia. Cauta ñana anati icu cürrü maniqui Cristo. 
MAT.2.5	Arrüma namatü:
MAT.2.5	—Anati ñana icu cürrü au pueblurrü Belén, auna cürrü Judea, itopiqui ane corobo tücañe uiti maniqui taman profetarrü sane:
MAT.2.6	Nanti Tuparrü:
MAT.2.6	Arraño bama pohoso au Belén yarusürürrü año eanaqui bama auqui piquiataca puebluca au na cürrü Judea,
MAT.2.6	itopiqui auqui naubesa pueblurrü anati ñana taman yüriaburrü naqui bacuirarabo itacu niyesa genterrü Isarel.
MAT.2.7	Auqui arrti Herodes anecanatai yatasucurrti ümo manuma mañoñünca cuamatü auqui tauna ümo tansürü nauqui anquirioti pünanaquimia, isane nanenese tücañe arrtaimia manu nocoborese. 
MAT.2.8	Nanti ümoma:
MAT.2.8	—¡Amecosi au Belén apanquisio nurria arrtü tanati icu cürrü maniqui ñaüma! Arrtü tütabücoti aboi, aburasoi isucarüñü nauqui yerotito rranaun ümoti.
MAT.2.9	Arrümanu nocoborese arrtaimia auqui niporrüma, cusürübo aübuma, tochenco onü taman porrü arrümanu cauta anati maniqui ñaüma. 
MAT.2.10	Arrümanuma mañoñünca pucünuñama nurria, nauquiche tarrtaimia manu nocoborese ane onü manu taman porrü. 
MAT.2.11	Numo süromampo besüro narrtarrüma ümoti maniqui ñaüma, anati ichepe nipiacütoti. Auqui bachesoiyoma esati y manaunuma ümoti. Yaübutama nibiaurirrimia, auqui macumananama ümoti, oro, rroriocorrü y mirra. 
MAT.2.12	Au manu tobirri arrti Tuparrü nanti ümoma au niposiquirrimia:
MAT.2.12	—Champürrtü urria arrtü apasücübüca tato au niporrti yüriaburrü Herodes. Sane nauquiche basücübücoma tato besüro uimia au niporrüma auqui quiatarrü cutubiurrü.
MAT.2.13	Nauquiche tüsüroma tato manuma mañoñünca, tamanti ángel itusiancanatiyü isucarüti José auqui niposiquirrti, nanti sane:
MAT.2.13	—¡Atüsai aiquiarrti maniqui ñaüma aübu nipiacütoti. Acosi au Egipto. Acamanu asiquia cheperrtü surapoi tatito asucarücü! Itopiqui arrti yüriaburrü Herodes rranrrti apacheriuruti naqui ñaüma, nauqui aitabairotiti.
MAT.2.14	Auqui arrti José atüraiti, iquianatiti maniqui ñaüma aübu nipiacütoti au manu tobirri. Besüburuti aübuma au manu cürrü nürirri Egipto. 
MAT.2.15	Taha süsioma chepe numo coiñoti maniqui yüriaburrü Herodes. Arrüna sane pasao nauqui acoco arrümanu turapoiticaü Tuparrü tücañe turuquiti taman profetarrü. Nanti sane: “Rraemenca iyoti isaü na ayeti tato auqui Egipto”.
MAT.2.16	Nauquiche tütusio ümoti yüriaburrü que arrümanuma mañoñünca encañaoma ümoti, chümarrtacarrüpatai ümoti ui nitüborirrti. Sane nauquiche bacüpuruti nauqui ataborimia namanaiña bama mañaümanca au manu pueblurrü Belén y au manu cürrü saimia. Taborioma uimia arrübama aübo aboma icu cürrü, hasta bama tütabe torrü añorrü ümoma. Itopiqui ta tütabe torrü añorrü nipiasaca manu nanenese auche tücañe arrtaimia nocoborese manuma mañoñünca cuamatü auqui tauna ümo tansürü. 
MAT.2.17	Sane cocono caüma arrüna corobo uiti profetarrü Jeremías tücañe. Nanti sane:
MAT.2.18	Rabotü taman tosibirri au manu pueblurrü Ramá y fuerte nareocorrü y suchequirri.
MAT.2.18	Arrümanu areoro ta Raquel, areoro ui nisuchequirri isiu bama aürrü itopiqui chauqui tücoiñoma, chirranrrüpü nauqui anati naqui ipucünumucuta.
MAT.2.19	Nauquiche tücoiñoti yüriaburrü Herodes, tamanti ángel esaquiti Tuparrü itusiancanatiyü isucarüti José au niposiquirrti nauquiche anancatiqui au Egipto, nanti sane ümoti:
MAT.2.20	—Atüsai, aiquiarrti maniqui ñaüma aübu nipiacütoti y acosi tato au cürrü Israel, itopiqui chauqui tücoiñoma manuma rranrrüma aitabairomati naqui ñaüma.
MAT.2.21	Auqui arrti José atüraiti, iquianatiti maniqui ñaüma aübu nipiacütoti. Basücübücoma tato au manu cürrü Israel. 
MAT.2.22	Nauquiche tipiatenti José que arrti Arquelao matoconoti itoboti Herodes naqui yaütoti, birrubuti José aüroti tato au Judea. Arrti ángel manitanati ümoti au niposiquirrti, nauqui aürotitü au manu cürrü nürirri Galilea. 
MAT.2.23	Nauquiche tiñataimia au Galilea, süromatü avivimia au manu pueblurrü nürirri Nazaret. Arrüna sane pasao nauqui acoco arrüna turapoimia bama profetarrü tücañe, que arrti Jesús tiene que nürirrtito uimia Nazareno.
MAT.3.1	Au manio naneneca tücañe, arrti Juan Bautista cuati au manu rroense Judea, nauqui anunecati. 
MAT.3.2	Nanti sane:
MAT.3.2	—Apiñorroncosaño nauqui urria nausüboriqui, itopiqui tüsaimia tiemporrü nauqui üriaburuti Tuparrü.
MAT.3.3	Arrti profetarrü Isaías turapoiti tücañe. Nanti sane:
MAT.3.3	Rabotü taman tosibirri eana rroense.
MAT.3.3	Nantü sane:
MAT.3.3	“¡Apicoñoco cutubiurrü cümenuti Señor, y apipesünaca nurria!”
MAT.3.4	Naibirrti Juan tücañe niqui manu numuquianrrü camello, nipoñoentorrti taquirrtai. Niyaratarrti pururrü nubasoroca y nuhurrü eanaqui nüunrrü. 
MAT.3.5	Cuamatü esati arrübama auqui Jerusalén y auqui manu cürrü Judea y auqui taha saimia manu sapoco nürirri Jordán. Cuamatü onsaperioma arrüna nurarrti. 
MAT.3.6	Urapoimia isucarüti Juan nanaiña arrüba nomünantü uimia, ürioma uiti eana turrü au manu sapoco nürirri Jordán.
MAT.3.7	Süromatito esati Juan sürümanama bama fariseorrü y saduceorrü, nauqui ürimia uiti. Auqui nanti ümoma:
MAT.3.7	—¡Niñupariente noirroboca! ¿Quitipü urapoiche ausucarü nauqui puerurrü aupesübu ñünana cuabotü carrticurrü tütane saimia? 
MAT.3.8	Arrtü aurrianca aupesübu, apisamune arrüna urria, na atusi ta apiñorroncosaño ñemanauncurratoe. 
MAT.3.9	Tapü abasiquia apapensa que arraño ui na abecatü eanaqui nesarrti familiarrü Abraham champü nümoche apiñorronconaño. Itopiqui arrti Tuparrü puerurrti aisamunenti ipiarienteboti Abraham oboi arrüba canca. 
MAT.3.10	Chauqui totoro nurria hacharrü nauqui atüsü ba sueca. Arrüba sueca churriampü nobütarrü botüsüro. Amontonabohio nauqui abü.
MAT.3.11	Arrti Juan nantito sane:
MAT.3.11	—Ñemanauncurratoe arrüñü rraunimiaca ui turrtai, nauqui atusi que chauqui tapiñorroncocaño. Pero sucanañü ito aume: Anati naqui cuatiqui isiuñü. Arrti maunimianati uiti Espíritu Santo y ui pese. Ane manrrü nüriacarrti rropünanaquiñü, arrüñü chiyaserebiquiapü ni iñeniompü nisapaturrti. 
MAT.3.12	Arrti chauqui tacomoraboti nauqui asucüti nesarrti trigo. Arrümanu trigo iñatati peese pünanaqui niyarrirri. Arrümanu niyarrirri amontonabo uiti y tiene que acheti pese ümo. Arrümanu pese champü nitacüru noncorrü. Tapü trigo ahüburu uiti.
MAT.3.13	Auqui iñataiti Jesús auqui Galilea au manu sapoco nürirri Jordán, auna cauta anancati Juan Bautista. Rranrrti nauqui üriti uiti Juan. 
MAT.3.14	Chirranrrtipü baeta Juan aiñaunimianatiti, nanti ümoti Jesús:
MAT.3.14	—Arrüñü tiene que isüri obi, ¿causane ayetü yesañü nauqui üri sobi?
MAT.3.15	Aiñumuti Jesús, nanti:
MAT.3.15	—Aiñaunimiasañüantai, itopiqui tiene que uicoco nanaiña arrüna yacüpucurrti Tuparrü. Sane nauquiche arrti Jesús ürioti uiti Juan.
MAT.3.16	Nauquiche tüchauqui nüriquirrti Jesús, süroti tato taiyiritu eanaqui turrü. Au manu rratorrü aurübo napese, auqui asaratitü ümoti Espíritu Santo, cuati onüti tacana naca nututaquimia. 
MAT.3.17	Auqui rabotito taman manitacarrü auqui napese, nantü sane:
MAT.3.17	—Tonenti naqui Isaü, naqui chiyaupü nicuarrti iñemo, tarucu nipucünuncu icuatati.
MAT.4.1	Auqui manu sürotitü Jesús uiti Espíritu Santo eana manu rroense auna cauta pururrü canca y cüosorrü, nauqui aüro macocotorrü ümoti uiti choborese.
MAT.4.2	Cuarenta naneneca y cuarenta tobiquia nacarrti chübasotipü. Auqui onquisioti nicürüpürrti.
MAT.4.3	Auqui caüma sürotitü choborese esati, nauqui aiñanti ñacocotorrti ümoti. Nanti sane:
MAT.4.3	—Arrtü ñemanauncurratoe arrücü Aütorrti Tuparrü aisamusio pan arrüba canca.
MAT.4.4	Auqui aiñumuti Jesús, nanti:
MAT.4.4	—Nantü au Nicororrü: “No solamenterrü ui pan osüboriquia. Arrtü uicocota nurarrti Tuparrü, uirri ito osüboriquia”.
MAT.4.5	Auqui manu arrti choborese iquianatiti Jesús au manu pueblurrü nürirri Jerusalén. Iquianatiti onü manu yapetairratoe niporrti Tuparrü. 
MAT.4.6	Nanti ümoti:
MAT.4.6	—Arrtü ñemanauntuapae arrücü Aütorrti Tuparrü, aiñemecasü auqui na ape, itopiqui nantü sane Nicororrü:
MAT.4.6	Arrti Bae Tuparrü tiene que acüputi ümo bama nesarrti angelerrü, nauqui acuirama atacucü, tapü obürio aemo oboi canca.
MAT.4.7	Auqui aiñumuti Jesús:
MAT.4.7	—Pero nantito icu Nicororrü: “Tapü aiñata macocotorrü ümoti Tuparrü”.
MAT.4.8	Auquimanu arrti choborese iquianatitito Jesús onü taman yiriturrü apetaisürü. Acamanu itusiancatati isucarüti nanaiña arrüba nacioneca abe icu na cürrü, aübu nanaiña niñocoñoporrü. 
MAT.4.9	Nanti ümoti:
MAT.4.9	—Itorrimiata aemo nanaiña arrüna ane icu na cürrü, arrtü achesoiquia yesañü y anaunca iñemo.
MAT.4.10	Auqui nanti Jesús ümoti:
MAT.4.10	—¡Aquicho auquina yesaquiñü naqui choborese, itopiqui icu Nicororrü nantü sane: “Anaun y aserebi ümotiatai Tuparrü!”
MAT.4.11	Auqui arrti choborese sürotitü esaquiti Jesús; au manu rratorrü cuamatü bama angelerrü aserebimia ümoti.
MAT.4.12	Au manio naneneca arrti Jesús ipiatenti que arrti Juan Bautista anati au preso. Auqui süroti tato au Nazaret au manu cürrü Galilea. 
MAT.4.13	Pero champürrtü asioti acamanu. Sürotito aviviti au manu pueblurrü nürirri Capernaum, abeu manu narubaitu turrü saimia ñome ba cüca nobürirri Zabulón y Neftalí. 
MAT.4.14	Sane cocono arrümanu corobo tücañe uiti profetarrü Isaías:
MAT.4.15	Arrüba cüca Zabulón y Neftalí abe saimia narubaitu turrü, topü manu sapoco Jordán, nobürirri ito Galilea, auna cauta aboma bama chütüpü israelitarrü.
MAT.4.16	Arrümanuma macrirrtianuca auqui manio puebluca churriampü nisüboriquirrimia, amoncoma eana tomiquianene, pero caüma cuatü taman basarurrü nauqui anentarrü ümoma.
MAT.4.16	Arrübama amoncoma eana nomünantü tacana coiñoma, caüma cuatito taman basarurrü nauqui anentarrü ümoma. (Uirri caüburuma eanaqui nomünantü.)
MAT.4.17	Auquimanu comensaboti Jesús anunecati ümo macrirrtianuca, nanti ümoma:
MAT.4.17	—Apiñorroncosaño, itopiqui contoatai üriabucati Tuparrü.
MAT.4.18	Arrti Jesús amencoti abeuqui manu narubaitu turrü au Galilea. Acamanu asaratitü ümo torrü mañoñünca, yaruquitorrümantoe. Arrti maniqui taman nürirrti Simón y nürirrtito Pedro. Arrti maniqui quiatarrü nürirrti Andrés. Arrüma batrabacarama acaübuma nopiocorrü eanaqui turrü ui momese. 
MAT.4.19	Auqui nanti Jesús ümoma:
MAT.4.19	—¡Ausiapata isiuñü, irranca iñununecanaño apacaübu mañoñünca eanaqui nomünantü!
MAT.4.20	Au manu rratorrü arrümanuma torrü iñocotama nimomerrüma. Süromatü isiuti Jesús.
MAT.4.21	Manrrü taha asaratitito ümo bama maquiataca torrü, arrti Jacobo ichepeti yaruquitorrti nürirrti Juan, tonema aütorrti Zebedeo. Amoncoma au taman barco ichepeti yaütorrüma, icoñocotama nimomerrüma. Auqui tasuruma ito uiti Jesús. 
MAT.4.22	Au manu rratorrü iñocotama manu barco. Onconotito yaütorrüma uimia, süromatü isiuti Jesús.
MAT.4.23	Arrti Jesús amencoti au nanaiña manu cürrü Galilea, manunecanati ümo macrirrtianuca au manio poca sinagoga. Urapoiti isucarüma arrüba omirria manitacaca icütüpüti Tuparrü. Bacurarati ümo bama maunrrocono oboi arrüba aruqui nanaiña norrococa. Urriancama tato uiti. 
MAT.4.24	Ipiatema nürirrti au nanaiña manu cürrü Siria. Canama esati arrübama tarucu nitaquisürücürrüma oboi arrüba aruqui nanaiña norrococa, arrübama aboma machoboreca auma, arrübama chüpuerurrüpüma amema y arrübama consa. Enterurrüma urriancama tato uiti Jesús. 
MAT.4.25	Sürümana genterrü sürotü isiuti auqui Galilea, auqui manu cürrü nürirri Diez Puebluca, auqui Jerusalén, auqui manu cürrü Judea y auqui manu topüqui manu sapoco nürirri Jordán. 
MAT.5.1	Taman nanenese asaratitü Jesús cümenu sürümana macrirrtianuca. Auqui süroti onü taman yiriturrü. Acamanu tümonsoti y arrübama ñanunecasarrti tümonsoma ito itupecuti.
MAT.5.2	Auqui manunecanati, nanti sane:
MAT.5.3	—Urriampae naca bama ichimiancanamacü, itopiqui arrti Tuparrü bayurarati ümoma, nauqui aye uimia esati, arrtü türiabucati.
MAT.5.4	‛Urriampae naca bama suchebo, itopiqui arrti Tuparrü bacheboti ipucünuncubuma ñana.
MAT.5.5	‛Urriampae naca bama itaquisünacanamacü, itopiqui torrio ñana nanaiña cürrü uiti Tuparrü ümoma.
MAT.5.6	‛Urriampae naca bama cürüpüo y tosüo iyo nomirria nurarrti Tuparrü, itopiqui bayurarati caüma ümoma.
MAT.5.7	‛Urriampae naca bama ipiaca apucüru, itopiqui arrti Bae Tuparrü pucürusutito itacuma.
MAT.5.8	‛Urriampae naca bama urria ñapensacarrüma, itopiqui asaramati Tuparrü ñana.
MAT.5.9	‛Urriampae naca bama bapachero causane nauqui urria naca maquiataca, itopiqui tonema ñana aütorrti Tuparrü.
MAT.5.10	‛Urriampae naca bama taquisürü itopiqui arrüna urria nisüboriquirrimia, itopiqui tonema bama üriabucama ñana ichepeti Tuparrü.
MAT.5.11	‛Urriampae nabaca arrtü unuma año y ocüsioma aume bama macrirrtianuca auqui niyaca, o arrtü mapañama aucütüpü. 
MAT.5.12	Aupucünu, tapü ausuchecatai, itopiqui ane naucua au napese. Apaquionsaño: Arrübama profetarrü cusürübo amopünanaqui taquisürüma ito tücañe.
MAT.5.13	Nanti Jesús ümo bama ñanunecasarrti:
MAT.5.13	—Arraño tacana siürrü icu na cürrü. Arrtü arrümanu siürrü ensoro nisücürrü, chüpuerurrüpü aserebiqui. Botabatai acü na aicümonema macrirrtianuca.
MAT.5.14	‛Arraño tacana basarurrü ümo macrirrtianuca icu na cürrü. Arrtü taman pueblurrü ane onü taman yiriturrü, chüpuerurrüpü chütusiopü. 
MAT.5.15	Chüpuerurrüpü uiñonoco basarurrü nauqui uitamurriquia. Tiene que uiñotorrimia ape, nauqui anentarrü ümo bama abomampo. 
MAT.5.16	Sane ito arraño tiene que anentarrü aboi ümo macrirrtianuca. Tapü apiñanecata isucarüma arrüna urria napisamute, sane nauqui aiñanaunumati Aubaü, naqui anati au napese, itopiqui uiti arrüna urria napisamute.
MAT.5.17	Nantito Jesús:
MAT.5.17	—Tapü apapensaca que isecatü nauqui apiñoco sobi napacoconauncu ümo nüriacarrü uiti Moisés, ichepe ñanunecacarrüma bama profetarrü, ta isecatü nauqui acoco sobi. 
MAT.5.18	Ñemanauncurratoe sucanañü aume: Mientras que aninqui cürrü y napese, chüpuerurrüpü acaübu ni tamanpü letrarrü eanaqui nüriacarrü, cheperrtü cocono nanaiña arrüna corobo. 
MAT.5.19	Arrti naqui chicocotapü arrüna yacüpucu nüriacarrü panaca chitonempatai, y manunecanati ümo genterrü tapü icocotama, tonenti naqui manrrü chücuasürüpatai arrtü türiabucati Tuparrü. Tapü arrti naqui icocota y manunecanatito ümo macrirrtianuca sane, tonenti naqui cuasürüti arrtü türiabucati Tuparrü uyarrüpecu. 
MAT.5.20	Tiene que apisamune isiu nirrancarrti Tuparrü nauqui manrrü urria nausüboriqui pünanaqui nisüboriqui bama manunecana nüriacarrü y bama fariseorrü si no, chüpuerurrüpü aye aboi esati Tuparrü, au na cauta üriabucati.
MAT.5.21	Nantito Jesús:
MAT.5.21	—Arraño chauqui tamoncoi manu bacüpucurrü ümo bama antiburrü tücañe: “Tapü apatabaiquia, itopiqui arrtü apatabaiquia tiene que ayetü carrticurrü aume”. 
MAT.5.22	Tapü arrüñü caüma sucanañü aume: Arrti naqui tüborico ümoti quiatarrü tiene que acurrtati Tuparrü aübuti. Arrti naqui unutiti quiatarrü, tiene que carrticaboti ui mayüriabuca. Arrti naqui mapaurramacanati ümoti quiatarrü, tonenti naqui sürobotü au infierno.
MAT.5.23	‛Sane nauquiche arrtü aecatü au niporrti Tuparrü aübu nacumanata ümoti y aquioncü taha iyoti aruqui ane isane churriampü uiti aübucü, 
MAT.5.24	auqui caüma aiñoco nacumanata acamanu esa altar y acosi esati aruqui nauqui airrimiaca tato aübuti. Auqui caüma puerurrü asücübü tato nauqui aitorrimia nacumanata ümoti Bae Tuparrü.
MAT.5.25	‛Arrtü ebeca ümoti quiatarrü y aecatü uiti esa nüriacarrü, arrtü tabaca isiu cutubiurrü, anqui püanaquiti marrimiacatarrü, tapü aiñatai uiti esati yüriaburrü. Itopiqui arrti caüma itorrimianatiyü mecu masortaboca y arrüma caüma iñanamacü au preso. 
MAT.5.26	Ñemanauncurratoe sucanañü aemo chataesübucapü uimia cheperrtü apacaca nanaiña nebequi.
MAT.5.27	Nantito Jesús:
MAT.5.27	—Tamoncoi arrüna corobo tücañe sane: “Tapü aecatü isiu quiatarrü paürrü”. 
MAT.5.28	Tapü arrüñü sucanañü aume: Arrti naqui asaratü ümo taman paürrü y tirranrrti ümo, chauqui tütane nomünantü uiti au nausasürrti.
MAT.5.29	‛Arrtü atacheca asaratü ümo arrüna churriampatai ui taman nasüto, mejor aiquiaübu, arusaübu. Itopiqui manrrü urria arrtü ensoro arrümanu taman nasüto, pünanaquirrtü enterurrü nacütüpü sürotü au infierno. 
MAT.5.30	Arrtü aisamute nomünantü ui nepanauncu nehe, mejor aitüsüna y arusaübu. Itopiqui manrrü urria arrtü ensoro tamantai nehe pünanaquirrtü enterurrü nacütüpü sürotü au infierno.
MAT.5.31	‛Tücañe ane ito corobo sane: “Arrti naqui rranrrti aiñocoti nicüpostoti, tiene que aitorrimiati ümo taman quichonimiacarrü corobo icu arrüna uiche atusi que chitonenquipü nicüpostoti. 
MAT.5.32	Tapü arrüñü sucanañü aume: Arrtü anati naqui iñocota nicüpostoti, arrüna champü causane nisüboriquirri aübuti, chauqui tütane nomünantü uiti. Itopiqui auqui nacarrti caüma puerurrü aürotü avivi aübuti quiatarrü. Y arrti naqui poso aübu, chauqui tütane ito nomünantü uiti.
MAT.5.33	‛Tamoncoi ito tücañe arrüna manitacarrü ümo bama antiburrü, arrüna nantü sane: “Tapü chücoconopü aboi arrüna arrtü ane isane aburapoi aübu curusürru au nürirrti Tuparrü”. 
MAT.5.34	Arrüñü sucanañü aume, tapü apitusiancata curusürrü. Arrti Tuparrü anati au napese. Sane nauquiche tapü apitusiancata curusürrü au nüri napese. 
MAT.5.35	Tapü apitusiancata ito curusürrü au nüri cürrü, itopiqui tone arrüna cauta ito üriabucati. Ni au nüripü Jerusalén, itopiqui tone nesarrti pueblurrü naqui yarusürürrü yüriaburrü, naqui Tuparrü. 
MAT.5.36	Tapü apitusiancata ito curusürrü au nüri nautanu, itopiqui chüpuerurrüpü año apiquiampia nisu taman niqui nautanu. Uitiatai Tuparrü puerurrü. 
MAT.5.37	Aburasoi solamenterrü arrüna arrtü sane o chüsanempü. Itopiqui arrtü tapipiasatapae, chauqui tuiti choborese.
MAT.5.38	‛Arrümanu nüriacarrti Moisés tücañe nantü sane: “Arrtü anati naqui ane causane uiti aemo, atoco tato atüborito ümoti”. 
MAT.5.39	Tapü arrüñü caüma sucanañü aume: Arrtü anati naqui tüborico aume, tapü apasutiu nitüborirrti. Arrtü anati naqui iñompebairotiyü au taman nasu, aitorrimia ito quitarrü narücüqui nasu ümoti. 
MAT.5.40	Arrtü anati naqui iquianü au nüriacarrü nirrancarrti aiquiaübuti apünanaquicü nacamisa, aitorrimia ito nasaco ümoti. 
MAT.5.41	Arrtü icüpurumacü aübu cacarrü nauqui aiquia ümoma taman kilómetro, acosi aübu torrü kilómetros. 
MAT.5.42	Arrtü anati naqui manquio isane apünanaquicü, aitorrimia ümoti. Tapü chaprerrtacapü ümoti naqui rranrrü aprerrta apünanaquicü.
MAT.5.43	Nantito Jesús:
MAT.5.43	—Tamoncoi ito arrüna manitacarrü, nantü sane: “Tari cuasürüti aemo naqui buenorrti aübücü, y atübori ümoti naqui tüboricatai aemo”. 
MAT.5.44	Tapü arrüñü sucanañü aume: Tari cuasürüma aume bama tüboricatai aume. Apicunusüancarrüma bama churriampü ñanitacarrüma aume. Apisamuse arrüna urria aübu bama ipiaurramanaño. Apean itacu bama tüboricatai aucuata y arrübama autaquisürüca uimia. 
MAT.5.45	Sane caüma tusio ta arraño aütorrti naqui Aubaü anati au napese. Itopiqui uiti cuara surrü ümo bama malorrü y ümo bama ito buenurrü. Uitito rrobeoca ümo bama champü nipünatema y ümo bama ito tarucu nipünatema. 
MAT.5.46	Arrtü cuasürüma aume solamenterrü arrübama Hasta arrübama mayacobraca impuesto isamutema ito sane panaca picarurrüma. 
MAT.5.47	Arrtü apanquiquia nurria solamenterrü ümo bama aubaruqui o ümo bama apisuputacama, ¿napaquionco urria arrüna apisamute sane? Arrübama ito chisuputaramatipü Tuparrü isamutema ito sane. 
MAT.5.48	Apiña nausüboriqui tacana nisüboriquirrti naqui Aubaü anati au napese. Arrti champü isane nipünatenti.
MAT.6.1	Nantito Jesús:
MAT.6.1	—Aensarrtü abasiquia apitusianca napanauncu ümoti Tuparrü isucarü macrirrtianuca, solamenterrü ui naurrianca asaramatü aume. Arrtü apisamute sane, chüpuerurrüpü ane naucua au napese uiti Tuparrü naqui Auyaü. 
