GEN.1.1	Ar y dechrau cyntaf, dyma Duw yn creu y bydysawd a'r ddaear. 
GEN.2.14	Tigris ydy enw'r drydedd afon. Mae hi'n llifo i'r dwyrain o ddinas Ashŵr. Ac Ewffrates ydy enw'r bedwaredd afon.
GEN.2.15	Dyma'r 
GEN.2.16	A dyma fe'n rhoi gorchymyn i'r dyn: “Cei fwyta ffrwyth unrhyw goeden yn yr ardd, 
GEN.2.17	ond paid bwyta ffrwyth y goeden sy'n rhoi gwybodaeth am bopeth – da a drwg. Pan wnei di hynny byddi'n siŵr o farw.”
GEN.2.18	Dwedodd yr 
GEN.2.19	A dyma'r 
GEN.2.20	Rhoddodd enwau i'r anifeiliaid, i'r adar, ac i'r bywyd gwyllt i gyd, ond doedd run ohonyn nhw yn gwneud cymar iddo i'w gynnal.
GEN.2.21	Felly dyma'r 
GEN.2.22	Wedyn dyma'r 
GEN.2.23	A dyma'r dyn yn dweud,
GEN.2.23	“O'r diwedd! Un sydd yr un fath â fi!
GEN.2.23	Asgwrn o'm hesgyrn, a chnawd o'm cnawd.
GEN.2.23	‛Dynes‛ fydd yr enw arni,
GEN.2.23	am ei bod wedi'i chymryd allan o ddyn.”
GEN.2.24	Dyna pam mae dyn yn gadael ei dad a'i fam ac yn cael ei uno â'i wraig. Byddan nhw'n dod yn uned deuluol newydd.
GEN.2.25	Roedd y dyn a'i wraig yn hollol noeth, a doedd ganddyn nhw ddim cywilydd.
GEN.3.1	Roedd y neidr yn fwy cyfrwys na phob anifail gwyllt arall roedd yr 
GEN.3.2	“Na,” meddai'r wraig, “dŷn ni'n cael bwyta ffrwyth unrhyw goeden yn yr ardd. 
GEN.3.3	Dim ond am ffrwyth y goeden yng nghanol yr ardd y dwedodd Duw, ‘Peidiwch bwyta ei ffrwyth hi a pheidiwch ei chyffwrdd hi, rhag i chi farw.’” 
GEN.3.4	Ond dyma'r neidr yn dweud wrth y wraig, “Na! Fyddwch chi ddim yn marw. 
GEN.3.5	Mae Duw yn gwybod y byddwch chi'n gweld popeth yn glir pan wnewch chi fwyta ohoni. Byddwch chi'n gwybod am bopeth – da a drwg – fel Duw ei hun.”
GEN.3.6	Gwelodd y wraig fod ffrwyth y goeden yn edrych yn dda i'w fwyta. Roedd cael ei gwneud yn ddoeth yn apelio ati, felly dyma hi'n cymryd peth o'i ffrwyth ac yn ei fwyta. Yna rhoddodd beth i'w gŵr oedd gyda hi, a dyma fe'n bwyta hefyd. 
GEN.3.7	Yn sydyn roedden nhw'n gweld popeth yn glir, ac yn sylweddoli eu bod nhw'n noeth. Felly dyma nhw'n rhwymo dail coeden ffigys at ei gilydd a gwneud sgertiau iddyn nhw'u hunain.
GEN.3.8	Yna dyma nhw'n clywed sŵn yr 
GEN.3.9	Ond galwodd yr 
GEN.3.10	Atebodd y dyn, “Rôn i'n clywed dy sŵn di yn yr ardd, ac roedd arna i ofn am fy mod i'n noeth. Felly dyma fi'n cuddio.” 
GEN.3.11	“Pwy ddwedodd wrthot ti dy fod di'n noeth?” meddai Duw. “Wyt ti wedi bwyta ffrwyth y goeden ddwedais i wrthot ti am beidio ei fwyta?” 
GEN.3.12	Ac meddai'r dyn, “Y wraig wnest ti ei rhoi i mi – hi roddodd y ffrwyth i mi, a dyma fi'n ei fwyta.” 
GEN.3.13	Yna gofynnodd yr 
GEN.3.14	Dyma'r 
GEN.3.14	“Melltith arnat ti am wneud hyn!
GEN.3.14	Ti fydd yr unig anifail dof neu wyllt sydd wedi dy felltithio.
GEN.3.14	Byddi'n llusgo o gwmpas ar dy fol
GEN.3.14	ac yn llyfu'r llwch drwy dy fywyd.
GEN.3.15	Byddi di a'r wraig yn elynion.
GEN.3.15	Bydd dy had di a'i had hi bob amser yn elynion.
GEN.3.15	Bydd e'n sathru dy ben di,
GEN.3.15	a byddi di'n taro ei sawdl e.”
GEN.3.16	Yna dyma fe'n dweud wrth y wraig:
GEN.3.16	“Bydd cael plant yn waith llawer anoddach i ti;
GEN.3.16	byddi'n diodde poenau ofnadwy wrth eni plentyn.
GEN.3.16	Byddi di eisiau dy ŵr,
GEN.3.16	ond bydd e fel meistr arnat ti.”
GEN.3.17	Wedyn dyma fe'n dweud wrth Adda:
GEN.3.17	“Rwyt ti wedi gwrando ar dy wraig
GEN.3.17	a bwyta ffrwyth y goeden rôn i wedi dweud amdani,
GEN.3.17	‘Paid bwyta ei ffrwyth hi.’
GEN.3.17	Felly mae'r ddaear wedi'i melltithio o dy achos di.
GEN.3.17	Bydd rhaid i ti weithio'n galed i gael bwyd bob amser.
GEN.3.18	Bydd drain ac ysgall yn tyfu ar y tir,
GEN.3.18	a byddi'n bwyta'r cnydau sy'n tyfu yn y caeau.
GEN.3.19	Bydd rhaid i ti weithio'n galed a chwysu i gael bwyd i fyw,
GEN.3.19	hyd nes i ti farw a mynd yn ôl i'r pridd.
GEN.3.19	Dyna o lle y daethost ti.
GEN.3.19	Pridd wyt ti, a byddi'n mynd yn ôl i'r pridd.”
GEN.3.20	Dyma'r dyn yn rhoi'r enw Efa
GEN.3.21	Wedyn dyma'r 
GEN.3.22	A dyma'r 
GEN.3.23	Felly dyma'r 
GEN.3.24	Pan gafodd y dyn ei daflu allan o'r ardd, gosododd Duw gerwbiaid ar ochr ddwyreiniol yr ardd yn Eden, a chleddyf tân yn chwyrlïo, i rwystro unrhyw un rhag mynd at y goeden sy'n rhoi bywyd.
GEN.4.1	Cysgodd Adda gyda'i wraig Efa, a dyma hi'n beichiogi. Cafodd blentyn, sef Cain, ac meddai, “Dw i wedi cael plentyn, gyda help yr 
GEN.4.2	Wedyn cafodd blentyn arall, brawd i Cain, sef Abel.
GEN.4.2	Tyfodd Abel i fod yn fugail, ond roedd Cain yn trin y tir. 
GEN.4.3	Adeg y cynhaeaf daeth Cain â pheth o gynnyrch y tir i'w roi yn offrwm i'r 
GEN.4.4	Daeth Abel â rhai o ŵyn cyntaf y praidd, a rhoi'r rhai gorau yn offrwm i Dduw. Roedd Abel a'i offrwm yn plesio'r 
GEN.4.5	ond wnaeth e ddim cymryd sylw o Cain a'i offrwm e. Roedd Cain wedi gwylltio'n lân. Roedd i'w weld ar ei wyneb! 
GEN.4.6	Dyma'r 
GEN.4.7	Os gwnei di beth sy'n iawn bydd pethau'n gwella. Ond os na wnei di beth sy'n iawn, mae pechod fel anifail yn llechu wrth y drws. Mae am dy gael di, ond rhaid i ti ei reoli.”
GEN.4.8	Dwedodd Cain wrth ei frawd, “Gad i ni fynd allan i gefn gwlad.”
GEN.4.9	Dyma'r 
GEN.4.10	A dyma'r 
GEN.4.11	Melltith arnat ti. Rhaid i ti adael y tir yma lyncodd waed dy frawd pan wnest ti ei ladd. 
GEN.4.12	Byddi'n ceisio trin y tir ond yn methu cael cnwd da ohono. Byddi'n crwydro o gwmpas yn ddigyfeiriad.”
GEN.4.13	Ac meddai Cain wrth yr 
GEN.4.14	Ti wedi fy ngyrru i ffwrdd o'r tir, a bydda i wedi fy nhorri i ffwrdd oddi wrthot ti. Bydda i'n crwydro o gwmpas yn ddigyfeiriad, a bydd pwy bynnag sy'n dod o hyd i mi yn fy lladd.”
GEN.4.15	Ond dyma'r 
GEN.4.16	Felly aeth Cain i ffwrdd oddi wrth yr 
GEN.4.17	Cysgodd Cain gyda'i wraig, a dyma hi'n beichiogi. Cafodd blentyn, sef Enoch. Roedd Cain yn adeiladu pentref gyda wal i'w amddiffyn, a galwodd y pentref yn ‛Enoch‛ ar ôl ei fab. 
GEN.4.18	Roedd Enoch yn dad i Irad, Irad yn dad i Mechwiael, Mechwiael yn dad i Methwshael, a Methwshael yn dad i Lamech.
GEN.4.19	Dyma Lamech yn cymryd dwy wraig iddo'i hun – Ada oedd enw un a Sila oedd y llall. 
GEN.4.20	Cafodd Ada blentyn, sef Iabal. Iabal oedd y cyntaf i fyw mewn pebyll a chadw anifeiliaid. 
GEN.4.21	Roedd ganddo frawd o'r enw Iwbal. Iwbal oedd y cyntaf i ganu'r delyn a'r ffliwt. 
GEN.4.22	Dyma Sila, y wraig arall, yn cael plentyn hefyd, sef Twbal-cain. Fe oedd y cyntaf i weithio gyda metelau, a gwneud offer pres a haearn. Roedd gan Twbal-cain chwaer o'r enw Naamâ.
GEN.4.23	Dyma Lamech yn dweud wrth ei wragedd:
GEN.4.23	“Ada a Sila, gwrandwch arna i!
GEN.4.23	Wragedd Lamech, sylwch beth dw i'n ddweud:
GEN.4.23	Byddwn i'n lladd dyn am fy anafu i,
GEN.4.23	neu blentyn am fy nharo i.
GEN.4.24	Os bydd y dial am Cain saith gwaith gwaeth,
GEN.4.24	bydd y dial am Lamech saith deg saith gwaith!”
GEN.4.25	Cysgodd Adda gyda'i wraig eto, a chafodd hi fab arall. Galwodd hwn yn Seth, “am fod Duw wedi rhoi 
GEN.4.26	Cafodd Seth fab, a'i alw yn Enosh. Dyna pryd y dechreuodd pobl addoli'r 
GEN.5.1	Dyma restr deuluol Adda:
GEN.5.1	Pan greodd Duw bobl, gwnaeth nhw i fod yn ddelw ohono'i hun. 
GEN.5.2	Creodd nhw yn wryw ac yn fenyw, bendithiodd nhw, a rhoi'r enw ‛dynoliaeth‛ iddyn nhw.
GEN.5.3	Pan oedd Adda yn 130 oed, cafodd fab a'i alw'n Seth. Roedd Seth yr un ffunud â'i dad. 
GEN.5.4	Buodd Adda fyw am 800 mlynedd ar ôl i Seth gael ei eni, a chafodd blant eraill. 
GEN.5.5	Felly roedd Adda yn 930 oed yn marw.
GEN.5.6	Pan oedd Seth yn 105 oed cafodd ei fab Enosh ei eni. 
GEN.5.7	Buodd Seth fyw am 807 o flynyddoedd ar ôl i Enosh gael ei eni, a chafodd blant eraill. 
GEN.5.8	Felly roedd Seth yn 912 oed yn marw.
GEN.5.9	Pan oedd Enosh yn 90 oed cafodd ei fab Cenan ei eni. 
GEN.5.10	Buodd Enosh fyw am 815 mlynedd ar ôl i Cenan gael ei eni, a chafodd blant eraill. 
GEN.5.11	Felly roedd Enosh yn 905 oed yn marw.
GEN.5.12	Pan oedd Cenan yn 70 oed cafodd ei fab Mahalal-el ei eni. 
GEN.5.13	Buodd Cenan fyw am 840 mlynedd ar ôl i Mahalal-el gael ei eni, a chafodd blant eraill. 
GEN.5.14	Felly roedd Cenan yn 910 oed yn marw.
GEN.5.15	Pan oedd Mahalal-el yn 65 oed cafodd ei fab Iered ei eni. 
GEN.5.16	Buodd Mahalal-el fyw am 830 mlynedd ar ôl i Iered gael ei eni, a chafodd blant eraill. 
GEN.5.17	Felly roedd Mahalal-el yn 895 oed yn marw.
GEN.5.18	Pan oedd Iered yn 162 oed cafodd ei fab Enoch ei eni. 
GEN.5.19	Buodd Iered fyw am 800 mlynedd ar ôl i Enoch gael ei eni, a chafodd blant eraill. 
GEN.5.20	Felly roedd Iered yn 962 oed yn marw.
GEN.5.21	Pan oedd Enoch yn 65 oed cafodd ei fab Methwsela ei eni. 
GEN.5.22	Roedd gan Enoch berthynas agos gyda Duw, a buodd fyw am 300 mlynedd ar ôl i Methwsela gael ei eni, a chafodd blant eraill. 
GEN.5.23	Felly dyma Enoch yn byw i fod yn 365 oed. 
GEN.5.24	Roedd ganddo berthynas agos gyda Duw, ond yn sydyn doedd e ddim yna. Roedd Duw wedi'i gymryd i ffwrdd.
GEN.5.25	Pan oedd Methwsela yn 187 oed cafodd ei fab Lamech ei eni. 
GEN.5.26	Buodd Methwsela fyw am 782 o flynyddoedd ar ôl i Lamech gael ei eni, a chafodd blant eraill. 
GEN.5.27	Felly roedd Methwsela yn 969 oed yn marw.
GEN.5.28	Pan oedd Lamech yn 182 oed cafodd fab, 
GEN.5.29	a'i alw yn Noa.
GEN.5.30	Buodd Lamech fyw am 595 mlynedd ar ôl i Noa gael ei eni, a chafodd blant eraill. 
GEN.5.31	Felly roedd Lamech yn 777 oed yn marw.
GEN.5.32	Pan oedd Noa yn 500 mlwydd oed roedd ganddo dri mab – Shem, Cham a Jaffeth.
GEN.6.1	Wrth i boblogaeth y byd dyfu ac i ferched gael eu geni, 
GEN.6.2	dyma'r bodau nefol yn gweld fod merched dynol yn hardd. A dyma nhw'n cymryd y rhai roedden nhw'n eu ffansïo i fod yn wragedd iddyn nhw'u hunain. 
GEN.6.3	Yna dyma'r 
GEN.6.4	Roedd cewri yn byw ar y ddaear bryd hynny (ac wedyn hefyd). Nhw oedd y plant gafodd eu geni ar ôl i'r bodau nefol gael rhyw gyda merched dynol. Dyma arwyr enwog yr hen fyd.
GEN.6.5	Roedd yr 
GEN.6.6	Roedd yr 
GEN.6.7	Felly dyma fe'n dweud, “Dw i'n mynd i gael gwared â'r ddynoliaeth yma dw i wedi'i chreu. Ydw, a'r anifeiliaid, yr holl ymlusgiaid a phryfed a'r adar hefyd. Dw i'n sori mod i wedi'u creu nhw yn y lle cyntaf.”
GEN.6.8	Ond roedd Noa wedi plesio'r 
GEN.6.9	Dyma hanes Noa a'i deulu:
GEN.6.9	Roedd Noa yn ddyn da – yr unig un bryd hynny oedd yn gwneud beth roedd Duw eisiau. Roedd ganddo berthynas agos gyda Duw. 
GEN.6.10	Roedd ganddo dri mab, sef Shem, Cham a Jaffeth.
GEN.6.11	Roedd y byd wedi'i sbwylio yng ngolwg Duw. Roedd trais a chreulondeb ym mhobman. 
GEN.6.12	Gwelodd Duw fod y byd wedi'i sbwylio go iawn. Roedd pawb yn gwneud drwg. 
GEN.6.13	Felly dyma Duw yn dweud wrth Noa, “Dw i wedi penderfynu bod rhaid i bawb gael eu dinistrio. Mae trais a chreulondeb ym mhobman, felly dw i'n mynd i'w dinistrio nhw, a'r byd hefo nhw. 
GEN.6.14	Dw i am i ti adeiladu arch, sef cwch mawr, wedi'i gwneud o goed goffer. Rhanna hi yn ystafelloedd a'i selio hi y tu mewn a'r tu allan â phyg. 
GEN.6.15	Gwna hi'n 130 metr o hyd, 22 metr o led ac 13 metr o uchder. 
GEN.6.16	Rho do ar yr arch, ond gad fwlch o 45 centimetr rhwng y to ac ochrau'r arch. Rho ddrws ar ochr yr arch, ac adeilada dri llawr ynddi – yr isaf, y canol a'r uchaf. 
GEN.6.17	Dw i'n mynd i ddod â llifogydd ar y ddaear a boddi popeth sy'n anadlu. Bydd popeth byw yn marw. 
GEN.6.18	Ond bydda i'n gwneud ymrwymiad i ti. Byddi di'n mynd i mewn i'r arch – ti a dy feibion, dy wraig di a'u gwragedd nhw.
GEN.6.19	“Dw i am i ti fynd â dau o bob math o anifail i'r arch hefo ti i'w cadw'n fyw, sef un gwryw ac un benyw. 
GEN.6.20	Dau o bob math o adar, pob math o anifeiliaid a phob math o ymlusgiaid – bydd dau o bopeth yn dod atat ti i'w cadw'n fyw. 
GEN.6.21	Dos â bwyd o bob math gyda ti hefyd, a'i storio. Digon o fwyd i chi ac i'r anifeiliaid.”
GEN.6.22	A dyma Noa yn gwneud yn union fel roedd Duw wedi dweud wrtho.
GEN.7.1	Dyma'r 
GEN.7.2	Dos â saith pâr o bob anifail sy'n iawn i'w fwyta a'i aberthu, ac un pâr o bob anifail arall. Un gwryw ac un fenyw ym mhob pâr. 
GEN.7.3	Dos â saith pâr o bob aderyn gyda ti hefyd. Dw i eisiau i'r amrywiaeth o anifeiliaid ac adar oroesi ar y ddaear. 
GEN.7.4	Wythnos i heddiw bydda i'n gwneud iddi lawio. Bydd hi'n glawio nos a dydd am bedwar deg diwrnod. Dw i'n mynd i gael gwared â phopeth byw dw i wedi'i greu oddi ar wyneb y ddaear.” 
GEN.7.5	A dyma Noa yn gwneud yn union fel roedd yr 
GEN.7.6	Roedd Noa yn 600 oed pan ddaeth y llifogydd a boddi'r ddaear. 
GEN.7.7	Aeth Noa a'i wraig, ei feibion a'u gwragedd i mewn i'r arch i ddianc rhag y llifogydd. 
GEN.7.8	Dyma'r anifeiliaid gwahanol (y rhai oedd yn iawn i'w bwyta a'u haberthu, a'r lleill hefyd), a'r gwahanol fathau o adar a chreaduriaid bach eraill, 
GEN.7.9	yn dod at Noa i'r arch bob yn bâr – gwryw a benyw. Digwyddodd hyn yn union fel roedd Duw wedi dweud wrth Noa.
GEN.7.10	Wythnos union wedyn dyma'r llifogydd yn dod ac yn boddi'r ddaear. 
GEN.7.11	Pan oedd Noa yn 600 mlwydd oed, ar yr ail ar bymtheg o'r ail fis,
GEN.7.11	byrstiodd y ffynhonnau dŵr tanddaearol,
GEN.7.11	ac agorodd llifddorau'r awyr.
GEN.7.12	Buodd hi'n bwrw glaw yn drwm, ddydd a nos, am bedwar deg diwrnod.
GEN.7.13	Ar y diwrnod y dechreuodd hi lawio, aeth Noa i'r arch gyda'i wraig, ei feibion, Shem, Cham a Jaffeth, a'u gwragedd nhw. 
GEN.7.14	Gyda nhw roedd y gwahanol fathau o anifeiliaid gwyllt a dof, yr ymlusgiaid, ac adar a phryfed – popeth oedd yn gallu hedfan. 
GEN.7.15	Aeth y creaduriaid byw i gyd at Noa i'r arch bob yn ddau – 
GEN.7.16	gwryw a benyw, yn union fel roedd Duw wedi dweud wrth Noa. A dyma'r 
GEN.7.17	Dyma'r dilyw yn para am bedwar deg diwrnod. Roedd y llifogydd yn mynd yn waeth, nes i'r arch gael ei chodi ar wyneb y dŵr. 
GEN.7.18	Roedd y dŵr yn codi'n uwch ac yn uwch, a'r arch yn nofio ar yr wyneb. 
GEN.7.19	Roedd cymaint o ddŵr nes bod hyd yn oed y mynyddoedd o'r golwg. 
GEN.7.20	Daliodd i godi nes bod y dŵr dros saith metr yn uwch na'r mynyddoedd uchaf. 
GEN.7.21	Cafodd popeth byw ei foddi – adar, anifeiliaid dof a gwyllt, yr holl greaduriaid sy'n heidio ar y ddaear, a phob person byw. 
GEN.7.22	Roedd pob creadur oedd yn anadlu ac yn byw ar dir sych wedi marw. 
GEN.7.23	Dyma Duw yn cael gwared â nhw i gyd – pobl, anifeiliaid, ymlusgiaid a phryfed, ac adar. Cafodd wared â'r cwbl. Dim ond Noa a'r rhai oedd yn yr arch oedd ar ôl.
GEN.7.24	Wnaeth y dŵr ddim dechrau gostwng am bum mis.
GEN.8.1	Ond doedd Duw ddim wedi anghofio am Noa a'r holl anifeiliaid gwyllt a dof oedd gydag e yn yr arch. Felly gwnaeth i wynt chwythu, a dyma lefel y dŵr yn dechrau mynd i lawr. 
GEN.8.2	Dyma'r ffynhonnau dŵr tanddaearol a'r llifddorau yn yr awyr yn cael eu cau, a dyma hi'n stopio glawio. 
GEN.8.3	Dechreuodd y dŵr fynd i lawr. 
GEN.8.4	Bum mis union ar ôl i'r dilyw ddechrau,
GEN.8.5	Ddau fis a hanner wedyn, wrth i'r dŵr ddal i fynd i lawr o dipyn i beth, daeth rhai o'r mynyddoedd eraill i'r golwg.
GEN.8.6	Pedwar deg diwrnod ar ôl i'r arch lanio, dyma Noa yn agor ffenest 
GEN.8.7	ac yn anfon cigfran allan. Roedd hi'n hedfan i ffwrdd ac yn dod yn ôl nes oedd y dŵr wedi sychu oddi ar wyneb y ddaear. 
GEN.8.8	Wedyn dyma Noa yn anfon colomen allan, i weld a oedd y dŵr wedi mynd. 
GEN.8.9	Ond roedd y golomen yn methu dod o hyd i le i glwydo, a daeth yn ôl i'r arch. Roedd y dŵr yn dal i orchuddio'r ddaear. Estynnodd Noa ei law ati a dod â hi yn ôl i mewn i'r arch. 
GEN.8.10	Arhosodd am wythnos cyn danfon y golomen allan eto. 
GEN.8.11	Y tro yma, pan oedd hi'n dechrau nosi, dyma'r golomen yn dod yn ôl gyda deilen olewydd ffres yn ei phig. Felly roedd Noa'n gwybod bod y dŵr bron wedi mynd. 
GEN.8.12	Yna arhosodd am wythnos arall cyn anfon y golomen allan eto, a'r tro yma ddaeth hi ddim yn ôl.
GEN.8.13	Pan oedd Noa yn 601 oed, ar ddiwrnod cynta'r flwyddyn roedd y llifogydd wedi mynd. Dyma Noa yn symud rhan o'r gorchudd oedd ar do'r arch, a gwelodd fod y ddaear bron wedi sychu. 
GEN.8.14	Erbyn y seithfed ar hugain o'r ail fis roedd y ddaear yn sych.
GEN.8.15	A dyma Duw yn dweud wrth Noa, 
GEN.8.16	“Dos allan o'r arch, ti a dy deulu. 
GEN.8.17	Tyrd â phopeth allan – yr adar a'r anifeiliaid, a phob creadur bach arall – dw i eisiau iddyn nhw gael haid o rai bach, drwy'r ddaear i gyd.” 
GEN.8.18	Felly dyma Noa a'i wraig, a'i feibion a'u gwragedd nhw, yn mynd allan o'r arch. 
GEN.8.19	A daeth yr anifeiliaid i gyd, a'r ymlusgiaid, a'r adar allan yn eu grwpiau.
GEN.8.20	Yna cododd Noa allor i'r 
GEN.8.21	Roedd yr aberth yn arogli'n hyfryd i'r 
GEN.8.22	Tra mae'r byd yn bod,
GEN.8.22	bydd amser i blannu a chasglu'r cynhaeaf;
GEN.8.22	bydd tywydd oer a thywydd poeth,
GEN.8.22	haf a gaeaf, nos a dydd.”
GEN.9.1	Dyma Duw yn bendithio Noa a'i feibion, a dweud wrthyn nhw: “Dw i eisiau i chi gael plant, fel bod mwy a mwy ohonoch chi. Llanwch y ddaear. 
