GEN.1.1	Tô tigkanayan ka langun, igimu ka Manama tô langit
GEN.1.22	Madigár tô igbággé ka Manama tun ta langun dan, asta igkagiyan din tô langun na ágkanté tun ta wayig asta dagat, na mà din, “Rubbad kó, asta parapung kó ébô mapánnù tô dagat ákniyu.” Igkagiyan din tô mga manuk na áglayang, na mà din, “Parapung kó tun ta kaluwagan ka banuwa.” 
GEN.1.23	Igdukilám asta igsállám. Tô gó ipángnga tô ikalima álló.
GEN.1.24	Igkagi tô Manama, na mà din, “Duwán marapung klasi na manté tun ta tanà, mga mannanap ka kappawaan asta mga mannanap ka kabánnássan, agad magdakál asta marénták.” Inému dán ni. 
GEN.1.25	Purisu igimu ka Manama tô langun dan, asta igkita din na madigár tô igimu din.
GEN.1.26	Na, igkagi tô Manama, na mà din, “Mimu ki ka manubù na iring áknita. Imun ta sikandan na pangulu katô langun na igimu ta, agad mga sáddà, mga manuk, asta langun mannanap, agad dakál asta délák.”
GEN.1.27	Purisu igimu ka Manama tô manubù na iring kandin. Iring ka Manama tô manubù na igimu din. Igimu din sikandan na mama asta bayi.
GEN.1.28	Madigár tô igbággé ka Manama tun kandan, asta igkagi sikandin, na mà din, “Parapung kó ébô duwán mga karubbadan yu na móddô tun ta kaluwagan ka banuwa asta mangulu kó kandan. Sikiyu tô mangulu katô mga sáddà, mga manuk, asta langun mannanap na manté nit bówwó ka tanà.”
GEN.1.29	Igkagi tô Manama, na mà din, “Igbággé ku ákniyu tô langun pamulanán na duwán lisu nit bówwó ka tanà asta tô langun kayu na duwán buuy ébô duwán ágkakan yu. 
GEN.1.30	Igbággé ku tô langun ka madigár mga pamulanán tun ta mga mannanap ka kappawaan, mga manuk, asta mga mannanap ka kabánnássan ébô duwán ágkakan ka langun na manté nit bówwó ka tanà.” Inému dán ni.
GEN.1.31	Igsállág tô Manama tun ta langun igimu din, asta igkita din na madigár tô igimu din. Igdukilám asta igsállám. Tô gó ipángnga tô ikannám ka álló.
GEN.2.1	Na, ipángnga dán igimu ka Manama tô langit asta tô tibuk banuwa, asta tô langun-langun.
GEN.2.2	Tô ándà pa dunggù tô ikapittu álló, ipángnga dán tô langun na igimu ka Manama. Purisu tun ta ikapittu álló igpaginawa sikandin tikud tun ta lumu din. 
GEN.2.3	Igássa ka Manama tô ikapittu álló para kandin. Tô gó é álló na igpaginawa sikandin, su ipángnga dán tô iglumu din. 
GEN.2.4	Iring kani tô kému katô langit asta tibuk banuwa.
GEN.2.4	Tô igimu katô Áglangngagán na Manama ni banuwa asta tô langit, 
GEN.2.5	ándà pa pamulanán nit tanà, asta ándà igtubù, su ándà pa pódani katô Áglangngagán na Manama ni tanà, asta ándà pa manubù na igkamát. 
GEN.2.6	Asal duwán wayig na igsánnáp tikud tun dalám ka tanà ébô malámmás tô kaluwagan ka tanà.
GEN.2.7	Na, igkangé tô Áglangngagán na Manama katô barukbuk ka tanà, asta igimu din tô manubù. Pángnga igimu, igidupan din tô idung katô manubù ébô lumaginawa. Purisu duwán dán kantayan katô manubù.
GEN.2.8	Na, igimu katô Áglangngagán na Manama tô kayun tun ta Eden dadan tun ta silatan, asta tô gó é igpóddóan din katô manubù na igimu din. 
GEN.2.9	Igpamula katô Áglangngagán na Manama tô marapung klasi ka kayu. Tuu madigár ágsállággán, asta madigár tô buuy. Duwa tô kayu na igpamula din tun ta tángngaan katô kayun. Tô gó é kayu na ágbággé ka kantayan na ándà ágtamanán asta tô kayu na ágbággé katô mga manubù ka kagpáttan ka ándin tô madigár asta ka ándin tô madat.
GEN.2.10	Duwán wayig tun ta Eden na áglámmás ka tanà. Dadan tun ta ágbabà ka Eden, igpasuwayé tô wayig, asta inému na ulu ka áppat magdakál mga wayig. 
GEN.2.11	Pison tô ngadan katô una wayig, asta igarus tun ta tanà na igngadanan Habila na ágkakitaan ka bulawan. 
GEN.2.12	Madigár tô bulawan dutun, asta duwán dità ka kayu na pamammut, asta mahal mga batu na dakál é lagà. 
GEN.2.13	Gihon tô ngadan katô ikaduwa wayig, asta igarus tun ta tanà na igngadanan Cus. 
GEN.2.14	Tigris tô ngadan katô ikatállu wayig, asta igarus dadan tun ta silatan ka tanà na igngadanan Asiria. Eufrates tô ngadan katô ikappat wayig.
GEN.2.15	Igpóddô katô Áglangngagán na Manama tô manubù tun ta kayun ka Eden ébô dumóppón asta ébô tumómmóng sikandin. 
GEN.2.16	Igtalan tô Áglangngagán na Manama kandin, na mà din, “Mému kannán nu tô buuy katô langun kayu tun ta kayun, 
GEN.2.17	asal yaka ágkan katô buuy ka kayu na ágbággé ka kagpáttan ka ándin tô madigár asta ka ándin tô madat. Su atin ka kuman ka kanan, maté ka gó yan álló yan.”
GEN.2.18	Igkagi tô Áglangngagán na Manama, na mà din, “Dì madigár ka sábbad dád é manubù. Purisu imun ku tô duma din na nángngà para kandin ébô duwán tumabang kandin.”
GEN.2.19	Na, tikud tun ta tanà igimu katô Áglangngagán na Manama tô langun mannanap asta mga manuk. Igpid ka Manama ni langun tun ta manubù ébô ngadanan din. Agad ándin tô igngadan din, tô dán gó é ngadan dan. 
GEN.2.20	Purisu igngadanan katô manubù tô langun mannanap ka kappawaan, mga manuk, asta mga mannanap ka kabánnássan, asal tun kandan ándà palang nángngà para kandin.
GEN.2.21	Purisu igpatudug katô Áglangngagán na Manama tô manubù. Róggun igtudug sikandin, igkangé ka Manama tô gusuk, asta igsagpángngan din tô amù ka ákkud. 
GEN.2.22	Tô igkangé dán katô Áglangngagán na Manama tô gusuk, igimu din tô bayi tikud tun ta gusuk, asta igpid din tô bayi tun ta mama.
GEN.2.23	Igkagi tô mama, na mà din, “Na, duwán dán gó! Tikud tun ta tullan ku tô kandin tullan, asta tikud tun ta ákkud ku tô kandin ákkud. Ngadanan ku sikandin na bayi, su igkangé sikandin tikud tun ta mama.”
GEN.2.24	Purisu tumanan tô mama katô ámmà din asta katô innà din, asta pasábbadé tô mama asta tô sawa din. Tô duwa dan mému dán sábbad.
GEN.2.25	Agad iglawa-lawa tô mama asta tô bayi, asal ándà dan payyaé.
GEN.3.1	Na, tun ta langun mannanap na igimu katô Áglangngagán na Manama, tô áppuy tô tuu katig áglimbung. Iginsà tô áppuy katô bayi, na mà din, “Bánnal na igkagi tô Manama ákniyu na dì mému kannán yu tô buuy ka langun kayu kannun ta kayun?”
GEN.3.2	Igtaba tô bayi, na mà din, “Mému ké kuman katô mga buuy ka kayu kannun ta kayun. 
GEN.3.3	Asal igkagi tô Manama na kailangan dì ké kuman katô buuy ka kayu tun ta tángngaan kani kayun, asta kailangan dì ké mawid kanan su maté ké.”
GEN.3.4	Asal igkagi tô áppuy, na mà din, “Dì kó gó maté. 
GEN.3.5	Tô gó é igkagi ka Manama su isóddóran din na atin ka kuman kó kanan, duwán kasóddóran yu asta mému kó na iring kandin, su duwán dán kagpáttan yu ka ándin tô madigár asta ka ándin tô madat.”
GEN.3.6	Na, ikagpát tô bayi na madigár kannán tô buuy katô kayu, madigár ágsállággán, asta ágbággé ka kagpáttan. Purisu igkangé din tô buuy asta igkan din. Duwán pagsik igbággé din tun ta duma din, asta igkan sikandin. 
GEN.3.7	Tô ikakan dan dán, duwán dán kagpáttan dan, asta isóddóran dan na iglawa-lawa dan. Purisu igkangé dan tô mga daun ka kayu igera asta igimu dan na pagtambun katô lawa dan.
GEN.3.8	Na, tô mapun dán, igdinág dan tô kapanó-panó katô Áglangngagán na Manama tun ta kayun. Purisu igállás dan tun ta kayun ébô dì dan kitanán katô Áglangngagán na Manama. 
GEN.3.9	Asal igtawar tô Áglangngagán na Manama katô mama, na mà din, “Ánda ka?”
GEN.3.10	Igtaba sikandin, na mà din, “Igdinág ku sikuna tun ta kayun, asta imáddanganna su iglawa-lawa a. Purisu igállássa.”
GEN.3.11	Iginsà tô Manama, na mà din, “Manan ka isóddóran nu na iglawa-lawa ka? Sadan tô igulit áknikó? Igkan ka katô buuy ka kayu na igkagi ku áknikó na dì mému kannán?”
GEN.3.12	Igkagi tô mama, na mà din, “Tô bayi na igpaduma nu kanak, tô gó é igbággé katô buuy kanak. Purisu igkanna.”
GEN.3.13	Iginsà tô Áglangngagán na Manama katô bayi, na mà din, “Manan ka iglumu nu ni?”
GEN.3.13	Igtaba tô bayi, na mà din, “Tô áppuy tô iglimbung kanak. Purisu igkanna.”
GEN.3.14	Na, igkagi tô Áglangngagán na Manama katô áppuy, na mà din, “Supakan ka tingód kani madat na iglumu nu. Tun ta langun mannanap, sikuna dád tô supakan iring kani. Tikud nigó, dumullug-dullug kad tun ta barukbuk ka tanà sippang ka maté ka. 
GEN.3.15	Sikuna asta tô bayi pósigé, asta pósigé tô áknikó mga karubbadan asta tô kandin mga karubbadan. Bunalán katô mga karubbadan din tô ulu nu, asta kagatán nu tô palu dan.
GEN.3.16	Igkagi tô Manama katô bayi, na mà din, “Dugangan ku tô kahirapan ka kapamasusu nu. Atin ka mamasusu ka, riyun nu tô masakit. Asal kadigárran ka gó katô duma nu,
GEN.3.17	Igkagi tô Manama katô mama, na mà din, “Igpaminág ka gó katô sawa nu, asta igkan ka katô buuy ka kayu na igkagi ku áknikó na dì mému kannán. Purisu tingód áknikó imun ku na mahirap tô kalumu nu ka tanà. Kailangan lumumu ka gó sippang ka maté ka ébô duwán ágkakan nu. 
GEN.3.18	Tumubù tô mga sigbát asta tô mga dugin tun ta tanà, asta mapirit ka kuman katô mga pamulanán tun ta tanà. 
GEN.3.19	Inalayun ka lumumu asta atingan ébô duwán ágkakan nu sippang ka lábbángngán ka tun ta tanà, su igimu ka tikud tun ta tanà, asta lumónód ka tun ta tanà.”
GEN.3.20	Igngadanan i Adan
GEN.3.21	Duwán mga umpak na igimu katô Áglangngagán na Manama tikud tun ta kindal ka mga mannanap, asta igbággé din ki Adan asta katô sawa din.
GEN.3.22	Na, igkagi tô Áglangngagán na Manama, na mà din, “Tô mga manubù inému dán na iring áknita, su duwán dán kagpáttan dan tingód ka ándin tô madigár asta ka ándin tô madat. Dì mému mudù dan katô buuy tikud tun ta kayu na makabággé ka kantayan na ándà ágtamanán, su atin ka kannán dan, dì dan gó maté ka ándà ágtamanán.”
GEN.3.23	Purisu igpéwà katô Áglangngagán na Manama tô duwa manubù tikud tun ta kayun ka Eden. Igpalumu ka Manama si Adan katô tanà na igtikudan din. 
GEN.3.24	Tô igpéwà dán ka Manama tô mga manubù tikud tun ta Eden, igpabanté din tô mga panaligan na ágngadanan kerubin dadan tun ta silatan katô kayun, asta igtagù ka Manama tô kampilan na ágrágrág asta ágbiring-biring ébô ándà palang manubù na makapadani tun ta kayu na ágbággé ka kantayan na ándà ágtamanán.
GEN.4.1	Na, igpalayuké si Adan asta tô sawa din, asta igmabáddás si Eva. Tô ipamasusu dán tô batà din, igkagi si Eva, na mà din, “Ukit ka tabang katô Áglangngagán, itanggap ku tô batà ku mama.” Purisu igngadanan din tô batà din ki Cain.
GEN.4.2	Pángnga ipamasusu si Cain, ipamasusu puman tô adi din mama na si Abel.
GEN.4.2	Tô igdakál dán tô duwa gabatà, si Abel tô ágdóppón ka mga karnero, asta si Cain tô ágkamát.
GEN.4.3	Na, duwán álló na igpid i Cain tô mga buuy katô igpamula din ébô bággén din tun ta Áglangngagán, 
GEN.4.4	asta si Abel tô igsalin katô madigár tambang kaké nati ka karnero din, igiyó din, asta igpid din tô tuu madigár ákkud ébô bággén din tun ta Manama. Igtanggap katô Áglangngagán tô igbággé i Abel. 
GEN.4.5	Asal ándà tanggapi ka Manama tô igbággé i Cain. Purisu tuu isókó si Cain, asta igtammud sikandin.
GEN.4.6	Na, iginsà tô Áglangngagán ki Cain, na mà din, “Manan ka isókó ka? Manan ka igtammud ka? 
GEN.4.7	Tumanggappa áknikó ka nángngà tô áglumun nu. Asal ka dì nángngà tô lumun nu, banté ka, su iring na ágbanganan ka katô salà ébô talun ka. Asal kailangan makapanalu ka katô salà.”
GEN.4.8	Na, ándà kadugé, igkagi si Cain katô kataladi din na si Abel, na mà din, “Madun ki tun ta kinamát.”
GEN.4.8	Tô igdunggù dan dán tun ta kinamát, igpadaniyan i Cain tô kataladi din, asta igmatayan din.
GEN.4.9	Na, iginsà tô Áglangngagán ki Cain, na mà din, “Ánda tô kataladi nu na si Abel?”
GEN.4.9	Igtaba si Cain, na mà din, “Taman. Ánnà a taradóppón katô kataladi ku.”
GEN.4.10	Igkagi tô Áglangngagán, na mà din, “Manan ka iglumu nu ni madat? Iring na ágtawar kanak tô dipanug katô kataladi nu tikud tun ta tanà! 
GEN.4.11	Tikud áknganni, supakan ku sikuna, asta ándà dán pulusán nu tun ta pamulanán tun ta tanà, su tanà tô igránnábban katô dipanug din. 
GEN.4.12	Atin ka kumamát ka, dì muuy tô pamulanán nu. Tikud áknganni, ándà dán óddóan nu, asta tumalap-talap ka nit banuwa.”
GEN.4.13	Igkagi si Cain, na mà din, “Diya makatiis katô supak nu kanak. 
GEN.4.14	Péwaán ad ikuna nigó ébô diyad mamula, asta papanónnad ikuna tikud tun ta saruwan nu. Inalayunna tumalap-talap nit banuwa. Atin ka kitanánna ka duma mga manubù, matayanna.”
GEN.4.15	Asal igkagi tô Áglangngagán kandin, na mà din, “Dì matuman yan, su atin ka duwán mimmaté áknikó, sulian asta supakan ku ka makapittu.”
GEN.4.15	Purisu igpatówan katô Áglangngagán si Cain ébô dì matayan ka manubù na kumita kandin. 
GEN.4.16	Purisu igtanan si Cain katô Áglangngagán, asta igóddô sikandin tun ta lunsud ka Nod,
GEN.4.17	Na, igpalayuké si Cain asta tô sawa din, asta duwán batà dan na ipamasusu na si Enoc. Ándà kadugé, igimu si Cain ka dakál lunsud, asta igngadanan din pagsik Enoc na magunawa katô ngadan ka batà din. 
GEN.4.18	Si Enoc tô ámmà i Irad. Si Irad tô ámmà i Mehujael. Si Mehujael tô ámmà i Metusael. Si Metusael tô ámmà i Lamec.
GEN.4.19	Igduwé si Lamec. Si Ada tô ngadan katô una sawa din, asta si Sela tô ngadan katô ikaduwa sawa din. 
GEN.4.20	Si Ada tô innà i Jabal, asta si Jabal tô inému na kamónaan katô langun na igóddô tun ta mga tulda asta ágdóppón ka mga mannanap. 
GEN.4.21	Duwán adi i Jabal na si Jubal, asta sikandin tô inému na kamónaan katô langun manubù na katig ágpadaging ka alpa asta gidup ka plawta. 
GEN.4.22	Si Sela tô innà i Tubal-Cain na taraimu ka talumbaga asta putó. Duwán tábbé i Tubal-Cain na si Naama.
GEN.4.23	Igkagi si Lamec katô duwa sawa din, na mà din,
GEN.4.23	“Ada asta Sela, paminág kó kanak,
GEN.4.23	su duwán ulitán ku ákniyu.
GEN.4.23	Igmatayan ku tô mallaki na igsuntuk asta igamù kanak.
GEN.4.24	Atin ka makapittu tô kadattan ka supak na dumunggù tun ta manubù na mimmaté ki Cain,
GEN.4.24	kapittuwan pittu (77) pa tô kadattan ka supak na dumunggù tun ta manubù na sumulì kanak.”
GEN.4.25	Na, pángnga inaté si Abel, igpalayuké si Adan asta tô sawa din, asta ipamasusu tô batà mama. Igkagi si Eva, na mà din, “Igbággayanna ka Manama kani batà na ikabullas ki Abel, su igmatayan i Cain.” Purisu igngadanan din tô batà din ki Set.
GEN.4.26	Duwán batà mama na ipamasusu katô sawa i Set, asta igngadanan i Set tô batà din ki Enos.
GEN.4.26	Na, tô gó tô timpo na igtigkané tô mga manubù na iggamit katô ngadan na Áglangngagán
GEN.5.1	Ni gó tô mga ngadan katô rubbad i Adan.
GEN.5.1	Tô igimu ka Manama tô manubù, igimu din sikandin na iring kandin. 
GEN.5.2	Igimu din tô manubù mama asta bayi. Madigár tô igbággé din kandan, asta igngadanan din sikandan na manubù.
GEN.5.3	Tô sábbad gatus tállu pulù (130) dán tô idad i Adan, ipamasusu tô batà din mama iring kandin. Igngadanan din tô batà din ki Set. 
GEN.5.4	Pángnga ipamasusu si Set, walu gatus (800) ámmé tô iglabé sippang ka inaté si Adan, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.5	Tô siyó gatus tállu pulù (930) dán tô idad i Adan, inaté sikandin.
GEN.5.6	Tô sábbad gatus lima (105) dán tô idad i Set, ipamasusu tô batà din mama na si Enos. 
GEN.5.7	Pángnga ipamasusu si Enos, walu gatus pittu (807) ámmé tô iglabé sippang ka inaté si Set, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.8	Tô siyó gatus sapulù duwa (912) dán tô idad i Set, inaté sikandin.
GEN.5.9	Tô kasiyawan (90) dán tô idad i Enos, ipamasusu tô batà din mama na si Cainan. 
GEN.5.10	Pángnga ipamasusu si Cainan, walu gatus sapulù lima (815) ámmé tô iglabé sippang ka inaté si Enos, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.11	Tô siyó gatus lima (905) dán tô idad i Enos, inaté sikandin.
GEN.5.12	Tô kapittuwan (70) dán tô idad i Cainan, ipamasusu tô batà din mama na si Mahalaleel. 
GEN.5.13	Pángnga ipamasusu si Mahalaleel, walu gatus kappatan (840) ámmé tô iglabé sippang ka inaté si Cainan, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.14	Tô siyó gatus sapulù (910) dán tô idad i Cainan, inaté sikandin.
GEN.5.15	Tô kannámman lima (65) dán tô idad i Mahalaleel, ipamasusu tô batà din mama na si Jared. 
GEN.5.16	Pángnga ipamasusu si Jared, walu gatus tállu pulù (830) ámmé tô iglabé sippang ka inaté si Mahalaleel, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.17	Tô walu gatus kasiyawan lima (895) dán tô idad i Mahalaleel, inaté sikandin.
GEN.5.18	Tô sábbad gatus kannámman duwa (162) dán tô idad i Jared, ipamasusu tô batà din mama na si Enoc. 
GEN.5.19	Pángnga ipamasusu si Enoc, walu gatus ámmé (800) tô iglabé sippang ka inaté si Jared, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.20	Tô siyó gatus kannámman duwa (962) dán tô idad i Jared, inaté sikandin.
GEN.5.21	Tô kannámman lima (65) dán tô idad i Enoc, ipamasusu tô batà din mama na si Metusela. 
GEN.5.22	Pángnga ipamasusu si Metusela, maggát igpamaké si Enoc katô Manama ka tállu gatus (300) ámmé. Duwán duma mga gabatà i Enoc na ipamasusu. 
GEN.5.23	Igdunggù dán tô idad din ka tállu gatus kannámman lima (365). 
GEN.5.24	Inalayun maggát igpamaké si Enoc katô Manama sippang ka álló na inandà sikandin, su igbatun sikandin ka Manama tun ta langit.
GEN.5.25	Tô sábbad gatus kawaluwan pittu (187) dán tô idad i Metusela, ipamasusu tô batà din mama na si Lamec. 
GEN.5.26	Pángnga ipamasusu si Lamec, pittu gatus kawaluwan duwa (782) ámmé tô iglabé sippang ka inaté si Metusela, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.27	Tô siyó gatus kannámman siyó (969) dán tô idad i Metusela, inaté sikandin.
GEN.5.28	Tô sábbad gatus kawaluwan duwa (182) dán tô idad i Lamec, duwán batà din mama na ipamasusu. 
GEN.5.29	Igkagi sikandin, na mà din, “Ni gó tô manubù na papaginawa áknita tikud tun ta kahirapan ka lumu ta nit tanà tingód katô supak katô Áglangngagán.” Purisu igngadanan din tô batà din ki Noe.
GEN.5.30	Pángnga ipamasusu si Noe, lima gatus kasiyawan lima (595) ámmé tô iglabé sippang ka inaté si Lamec, asta duwán duma mga gabatà din na ipamasusu. 
GEN.5.31	Tô pittu gatus kapittuwan pittu (777) dán tô idad i Lamec, inaté sikandin.
GEN.5.32	Pángnga ka lima gatus (500) tô idad i Noe, ipamasusu tô tállu gabatà din gamama na si Sem, si Ham, asta si Japet.
GEN.6.1	Na, tô igmarapung dán tô mga manubù nit bówwó ka tanà, asta tô igmarapung dán tô mga gabayi na ipamasusu, 
GEN.6.2	duwán mga sakup
GEN.6.3	Na, igkagi tô Áglangngagán, na mà din, “Dì mému kanak ka manté tô mga manubù ka ándà ágtamanán, su manubù dan dád na ágkamaté. Tikud nigó, sippang dád man ka sábbad gatus duwa pulù (120) tô idad ka mga manubù.”
GEN.6.4	Tô timpo sayyan asta tô mga ámmé na iglabé, duwán mga higante, su sikandan tô mga rubbad ka mga sakup ka Manama tikud tun ta langit na iglayuk katô mga gabayi nit banuwa. Magani asta ibantug dan sayyan.
GEN.6.5	Igkita katô Áglangngagán na tuu madat tô áglumun katô mga manubù nit banuwa, asta inalayun madat tô panámdám dan asta tô kakalyag dan. 
GEN.6.6	Purisu igrákkád tô Áglangngagán tingód katô mga manubù na igimu din asta igpóddô din nit banuwa. Tuu iranu sikandin. 
GEN.6.7	Purisu igkagi tô Áglangngagán, na mà din, “Iwaán ku tô mga manubù na igimu ku tikud tun ta bówwó ka tanà. Ipánnasán ku tô mga manubù, tô mga mannanap, asta tô mga manuk, su igrákkádda na igimu kandan.”
GEN.6.8	Asal idayawan gó tô Áglangngagán tingód ki Noe.
GEN.6.9	Ni gó tô igulit tingód ki Noe. Tun ta langun manubù, si Noe dád tô igtanggap ka Manama na nángngà tun ta saruwan din, asta dì ágkabuyas sikandin. Igpadumaé si Noe asta tô Manama. 
GEN.6.10	Tállu tô gabatà din gamama, na si Sem, si Ham, asta si Japet.
GEN.6.11	Asal igkita ka Manama na ássa dád ki Noe, madat tô langun manubù nit banuwa, asta ipánnù tô kaluwagan ka banuwa ka samuk. 
GEN.6.12	Igsállág tô Manama tun ta banuwa, asta igkita din na madat tô langun manubù, su inalayun madat tô áglumun dan.
GEN.6.13	Igkagi tô Manama ki Noe, na mà din, “Kakalyag ku na dadattan ku tô langun nit banuwa. Purisu ipánnasán ku tô langun manubù, su ipánnù dán tô kaluwagan ka banuwa katô madat mga áglumun dan. 
GEN.6.14	Purisu imu ka ka arka
GEN.6.15	Sábbad gatus tállu pulù tállu (133) metros tô kalaguyudan katô arka, duwa pulù duwa (22) metros tô kaluwagan, asta sapulù tállu (13) metros tô kallayatan. 
GEN.6.16	Atáppi nu tô arka, asta imu nu tô gukitan ka karamag madani tun ta atáp na tángngà ka metro tô kallayat. Imu nu ka tállu andana tô tun dalám asta sábbad sállat tô tun ta kilidan.
GEN.6.17	“Palunupan ku ni tanà ka wayig ébô mapánnas tô langun áglaginawa. Maté tô langun nit banuwa. 
GEN.6.18	Asal mimuwa ka kasabotan tun áknikó ébô manté ka. Ahu kó tun ta arka, sikuna, tô mga gabatà nu, tô sawa nu, asta tô mga ikóddô áknikó. 
GEN.6.19+GEN.6.20	Pid nu tô sábbad mama asta sábbad bayi tikud tun ta tagsábbad-sábbad klasi ka mga mannanap asta mga manuk. Madun dan tun áknikó ébô manté. 
GEN.6.21	Pid nu pagsik tô marapung klasi ka makan ébô duwán ágkakan para ákniyu langun.”
GEN.6.22	Na, igtuman i Noe tô langun sugù ka Manama kandin.
GEN.7.1	Na, igkagi tô Áglangngagán ki Noe, na mà din, “Ahu ka asta tô pamilya nu tun ta arka, su agad marapung tô mga manubù áknganni, sikuna dád tô nángngà kannun ta saruwan ku. 
GEN.7.2	Pid nu tô tagpittu paris na mama asta bayi tikud tun ta tagsábbad-sábbad klasi ka mannanap na mému góbbón asta bággén kanak, asta pid nu tô tagsábbad paris na mama asta bayi tikud tun ta tagsábbad-sábbad klasi ka mannanap na dì mému góbbón asta bággén kanak. 
GEN.7.3	Pid nu tô tagpittu paris na mama asta bayi tikud tun ta tagsábbad-sábbad klasi ka manuk ébô duwán puman rubbad katô langun nit bówwó ka tanà. 
GEN.7.4	Na, pángnga ka pittu álló, pódanán ku, asta dì tumikkas sippang ka kappatan (40) álló asta kappatan (40) dukilám ébô ipánnasán ku tô langun áglaginawa na igimu ku nit bówwó ka tanà.”
GEN.7.5	Igtuman i Noe tô langun sugù katô Áglangngagán kandin. 
GEN.7.6	Tô iglunupan ni banuwa, ánnám gatus (600) tô idad i Noe. 
GEN.7.7	Igsaké sikandin katô arka, asta igtákkás tô mga gabatà din, tô sawa din, asta tô mga ikóddô kandin ébô dì dan mapánnas ka lunup. 
GEN.7.8+GEN.7.9	Ilimud tô tagsábbad paris na mama asta bayi tikud tun ta tagsábbad-sábbad klasi ka mga mannanap asta mga manuk, agad tô mému góbbón asta bággén tun ta Manama, asta tô dì mému góbbón. Igsadun tô langun tun ki Noe, asta igahu tun ta arka, iring katô igsugù ka Manama ki Noe. 
GEN.7.10	Pángnga ka pittu álló, igtigkané iglunupan tô banuwa.
GEN.7.11	Tô ánnám gatus (600) tô idad i Noe, tun ta ikasapulù pittu (17) álló ka ikaduwa bulan katô ámmé, ipókéan tô langun sánnáp tun dalám ka dagat, asta ipókéan tô langun ágtikudan ka udan tun ta kawang-awangan. 
GEN.7.12	Na, igudan ka kappatan (40) álló asta kappatan (40) dukilám.
GEN.7.13	Tô ándà pa lunupi tô tanà, taganà igahu si Noe tun ta arka asta tô mga gabatà din na si Sem, si Ham, asta si Japet, tô sawa i Noe, asta tô mga ikóddô kandin. 
