MAT.1.1	Yisúʻ Masíh, ibn i Dáúd, ibn i Ibráhím ká nasabnáma.
MAT.4.18	Aur us ne Galíl kí jhíl ke kanáre phirte húe do bháiyoṉ, yaʻní Shamaʻún ko jo Patras kahlátá hai, aur us ke bháí Andriyás ko jhíl meṉ jál dálte dekhá; kyúṉki wuh machhliyoṉ ke pakaṛnewále the; 
MAT.4.19	aur un se kahá, ki Mere píchhe chale áo, to maiṉ tumheṉ ádmíoṉ ká pakaṛnewálá banáúṉgá. 
MAT.4.20	Wuh fauran jál chhoṛkar us ke píchhe ho liye. 
MAT.4.21	Aur waháṉ se áge baṛhkar, us ne âur do bháiyoṉ, yaʻní Zabdí ke beṭe Yaʻqúb, aur us ke bháí Yúhanná ko dekhá ki apne báp Zabdí ke sáth kishtí par apne jáloṉ kí marammat kar rahe haiṉ, aur unheṉ buláyá. 
MAT.4.22	Wuh fauran kishtí aur apne báp ko chhoṛkar us ke píchhe ho liye.
MAT.4.23	Aur Yisúʻ tamám Galíl meṉ phirtá rahá, aur un ke ʻibádatḳhánoṉ meṉ taʻlím detá, aur bádsháhat kí ḳhushḳhabarí kí manádí kartá, aur logoṉ kí har tarah kí bímárí aur har tarah kí kamzorí ko dúr kartá rahá. 
MAT.4.24	Aur us kí shuhrat tamám Súriya meṉ phail gayí; aur log sab bímároṉ ko, jo tarah tarah kí bímáríoṉ aur taklífoṉ meṉ giriftár the, aur unheṉ jin meṉ badrúheṉ thíṉ, aur mirgíwáloṉ, aur maflújoṉ ko us ke pás láe; aur us ne unheṉ achchhá kiyá. 
MAT.4.25	Aur Galíl, aur Dikapulis, aur Yarúshalem, aur Yahúdiya, aur Yardan ke pár se baṛí bhíṛ us ke píchhe ho lí.
MAT.5.1	Wuh is bhíṛ ko dekhkar, paháṛ par chaṛh gayá; aur jab baiṭh gayá, to us ke shágird us ke pás áe; 
MAT.5.2	aur wuh apní zabán kholkar unheṉ yúṉ taʻlím dene lagá;
MAT.5.3	Mubárak haiṉ wuh jo dil ke garíb haiṉ, kyúṉki ásmán kí bádsháhat unhíṉ kí hai.
MAT.5.4	Mubárak haiṉ wuh jo gamgín haiṉ, kyúṉki wuh tasallí páeṉge.
MAT.5.5	Mubárak haiṉ wuh jo halim haiṉ, kyúṉki wuh zamín ke wáris hoṉge.
MAT.5.6	Mubárak haiṉ wuh jo rástbází ke bhúke aur piyáse haiṉ, kyúṉki wuh ásúda hoṉge.
MAT.5.7	Mubárak haiṉ wuh jo rahmdil haiṉ, kyúṉki un par rahm kiyá jáegá.
MAT.5.8	Mubárak haiṉ wuh jo pákdil haiṉ, kyúṉki wuh Ḳhudá ko dekheṉge.
MAT.5.9	Mubárak haiṉ wuh jo sulh karáte haiṉ, kyúṉki wuh Ḳhudá ke beṭe kahláeṉge.
MAT.5.10	Mubárak haiṉ wuh jo rástbází ke sabab satáe gaye haiṉ, kyúṉki ásmán kí bádsháhat unhíṉ kí hai. 
MAT.5.11	Jab mere sabab log tumheṉ laʻn taʻn kareṉge, aur satáeṉge, aur har tarah kí burí báteṉ tumhárí nisbat náhaqq kaheṉge, to tum mubárak hoge. 
MAT.5.12	Ḳhushí karná, aur niháyat shádmán honá, kyúṉki ásmán par tumhárá ajr baṛá hai, is liye ki logoṉ ne un nabíoṉ ko bhí jo tum se pahle the, isí tarah satáyá thá.
MAT.5.13	Tum zamín ke namak ho, lekin agar namak ká maza játá rahe, to wuh kis chíz se namkín kiyá jáegá? Phir wuh kisí kám ká nahíṉ, siwá is ke, ki báhar pheṉká jáe, aur ádmíoṉ ke páṉwoṉ ke níche rauṉdá jáe. 
MAT.5.14	Tum dunyá ke núr ho; jo shahr paháṛ par basá húá hai, wuh chhip nahíṉ saktá; 
MAT.5.15	aur chirág jalákar paimáne ke níche nahíṉ, balki chirágdán par rakhte haiṉ, to us se ghar ke sab logoṉ ko raushní pahuṉchtí hai. 
MAT.5.16	Isí tarah tumhárí raushní ádmíoṉ ke sámne chamke, táki wuh tumháre nek kámoṉ ko dekhkar tumháre Báp kí, jo ásmán par hai, baṛáí kareṉ.
MAT.5.17	Yih na samjho, ki maiṉ Tauret yá nabíoṉ kí kitáboṉ ko mansúḳh karne áyá húṉ; mansúḳh karne nahíṉ, balki púrá karne áyá húṉ. 
MAT.5.18	Kyúṉki maiṉ tum se sach kahtá húṉ, ki jab tak ásmán aur zamín ṭal na jáeṉ, ek nuqta yá ek shosha Tauret se hargiz na ṭalegá, jab tak sab kuchh púrá na ho jáe. 
MAT.5.19	Pas jo koí in chhoṭe se chhoṭe hukmoṉ meṉ se bhí kisí ko toṛegá, aur yihí ádmíoṉ ko sikháegá, wuh ásmán kí bádsháhat meṉ sab se chhoṭá kahláegá; lekin jo un par ʻamal karegá, aur un kí taʻlím degá, wuh ásmán kí bádsháhat meṉ baṛá kahláegá. 
MAT.5.20	Kyúṉki maiṉ tum se kahtá húṉ, ki Agar tumhárí rástbází faqíhoṉ aur Farísíoṉ kí rástbází se ziyáda na hogí, to tum ásmán kí bádsháhat meṉ hargiz dáḳhil na hoge. 
MAT.5.21	Tum sun chuke ho, ki agloṉ se kahá gayá thá, ki Ḳhún na kar, aur jo koí ḳhún karegá, wuh ʻadálat kí sazá ke láiq hogá; 
MAT.5.22	lekin maiṉ tum se yih kahtá húṉ, ki jo koí apne bháí par gusse hogá, wuh sadar ʻádálat
MAT.5.23	Pas agar tú qurbángáh par apní nazr guzrántá
MAT.5.24	to wahíṉ qurbángáh ke áge apní nazr chhoṛ de, aur jákar pahle apne bháí se miláp kar; tab ákar apní nazr guzrán. 
MAT.5.25	Jab tak tú apne muddaʻí ke sáth ráh meṉ hai, us se jald sulh kar le, kahíṉ aisá na ho ki muddaʻí tujhe munsif ke hawále kar de, aur munsif tujhe sipáhí ke hawále kar de, aur tú qaidḳháne meṉ ḍálá jáe. 
MAT.5.26	Maiṉ tujh se sach kahtá húṉ, ki jab tak tú kauṛí kauṛí adá na kar degá, waháṉ se hargiz na chhúṭegá.
MAT.5.27	Tum sun chuke ho ki kahá gayá thá, ki Ziná na kar; 
MAT.5.28	lekin maiṉ tum se yih kahtá húṉ, ki jis kisí ne burí ḳhwáhish se kisí ʻaurat par nigáh kí, wuh apne dil meṉ us ke sáth ziná kar chuká. 
MAT.5.29	Pas agar terí dahiní áṉkh tujhe ṭhokar khiláe, to use nikálkar apne pás se pheṉk de; kyúṉki tere liye yihí bihtar hai, ki tere aʻzá meṉ se ek játá rahe, aur terá sárá badan jahannam meṉ na ḍálá jáe. 
MAT.5.30	Aur agar terá dahiná háth tujhe ṭhokar khiláe, to us ko káṭkar apne pás se pheṉk de; kyúṉki tere liye yihí bihtar hai, ki tere aʻzá meṉ se ek játá rahe, aur terá sárá badan jahannam meṉ na jáe 
MAT.5.31	Yih bhí kahá gayá thá, ki Jo koí apní bíwí ko chhoṛe, use taláqnáma likh de. 
MAT.5.32	Lekin maiṉ tum se yih kahtá húṉ, ki jo koí apní bíwí ko harámkárí ke siwá kisi âur sabab se chhoṛ de, wuh us se ziná karátá hai; aur jo koí us chhoṛí húí se biyáh kare, wuh ziná kartá hai.
MAT.5.33	Phir tum sun chuke ho, ki agloṉ se kahá gayá thá, ki Jhúthí qasam na khá, balki apní qasameṉ Ḳhudáwand ke liye púrí kar. 
MAT.5.34	Lekin maiṉ tum se yih kahtá húṉ, ki biʼlkull qasam na kháná; na to ásmán kí, kyúṉki wuh Ḳhudá ká taḳht hai; 
MAT.5.35	na zamín ki, kyúṉki wuh us ke páṉwoṉ ke níche kí chaukí hai; na Yarúshalem kí, kyúṉki wuh buzurg Bádsháh ká shahr hai; 
MAT.5.36	na apne sir kí qasam kháná, kyúṉki tú ek bál ko bhí safed yá kálá nahíṉ kar saktá. 
MAT.5.37	Balki tumhárá kalám Háṉ háṉ, yá Nahíṉ nahíṉ ho; kyúṉki jo is se ziyáda hai, wuh badí se hai.
MAT.5.38	Tum sun chuke ho, ki kahá gayá thá, ki Áṉkh ke badle áṉkh, aur dáṉt ke badle dáṉt; 
MAT.5.39	lekin maiṉ tum se yih kahtá húṉ, ki sharir ká muqábala ná karná; balki jo koí tere dahine gál par tamáṉcha máre, dúsrá bhí us ki taraf pher de; 
MAT.5.40	aur agar koí tujh par nálish 
MAT.5.41	aur jo koí tujhe ek kos begár meṉ le jáe, us ke sáth do kos chalá já. 
MAT.5.42	Jo koí tujh se máṉge, use de; aur Jo tujh se qarz cháhe, us se muṉh na moṛ.
MAT.5.43	Tum sun chuke ho, ki kahá gayá thá; Apne paṛausí se mahabbat rakh, aur apne dushman se ʻadáwat; 
MAT.5.44	lekin maiṉ tum se yih kahtá húṉ, ki apne dushmanoṉ se mahabbat rakkho, aur apne satánewáloṉ ke liye duʻá máṉgo; 
MAT.5.45	táki tum apne Báp ke jo ásmán par hai beṭe ṭhahro; kyúṉki wuh apne súraj ko badoṉ aur nekoṉ donoṉ par chamkátá hai, aur rástbázoṉ aur nárástoṉ donoṉ par meṉh barsátá hai. 
MAT.5.46	Kyúṉki agar tum apne mahabbat rakhnewáloṉ hí se mahabbat rakkho, to tumháre liye kyá ajr hai? kyá mahsúl lenewále bhí aisá nahíṉ karte? 
MAT.5.47	Aur agar tum faqat apne bháiyoṉ hí ko salám karo, to kyá ziyáda karte ho? kyá gairqaumoṉ ke log bhí aisá nahíṉ karte? 
MAT.5.48	Pas cháhiye ki tum kámil ho jaisá tumhárá ásmání Báp kámil hai.
MAT.6.1	Ḳhabardár, apne rástbázi ke kám ádmíoṉ ke sámne dikháne ke liye na karo; nahíṉ to tumháre Báp ke pás jo ásmán par hai tumháre liye kuchh ajr nahíṉ hai.
MAT.6.2	Pas jab tú ḳhairát kare, to apne áge narsingá na bajwá, jaisá riyákár ʻibádatḳhánoṉ aur kúchoṉ meṉ karte haiṉ, táki log un kí baṛáí kareṉ. Maiṉ tum se sach kahtá húṉ, ki wuh apná ajr pá chuke. 
MAT.6.3	Balki jab tú ḳhairát kare, to jo terá dahiná háth kartá hai, use terá báyáṉ háth na jáne; 
MAT.6.4	táki terí ḳhairát poshída rahe; is súrat meṉ terá Báp, jo poshídagí meṉ dekhtá hai, tujhe badla degá. 
MAT.6.5	Aur jab tum duʻá máṉgo, to riyákároṉ kí mánind na ho; kyúṉki wuh ʻibádatḳhánoṉ meṉ aur bázároṉ ke moṛoṉ par khaṛe hokar duʻá máṉgni pasand karte haiṉ, táki log unheṉ dekheṉ. Maiṉ tum se sach kahtá húṉ, ki wuh apná ajr pá chuke. 
MAT.6.6	Balki jab tú duʻá máṉge, to apní koṭhrí meṉ já, aur darwáza band karke apne Báp se jo poshídagí meṉ hai duʻá máṉg; is súrat meṉ terá Báp jo poshídagí meṉ dekhtá hai, tujhe badla degá. 
MAT.6.7	Aur duʻá máṉgte waqt, gairqaumoṉ ke logoṉ kí tarah bak bak na karo; kyúṉki wuh samajhte haiṉ, ki hamáre bahut bolne ke sabab hamárí suní jáegí. 
MAT.6.8	Pas un kí mánind na bano, kyúṉki tumhárá Báp tumháre máṉgne se pahle hí jántá hai, ki tum kin kin chízoṉ ke muhtáj ho. 
MAT.6.9	Pas tum is tarah duʻá máṉgá karo, ki Ai hamáre Báp, tú jo ásmán par hai; terá nám pák máná jáe; 
MAT.6.10	terí bádsháhat áe; terí marzí, jaisí ásmán par púrí hotí hai, zamín par bhí ho; 
MAT.6.11	hamárí roz kí roṭí áj hameṉ de; 
MAT.6.12	aur jis tarah ham ne apne qarzdároṉ ko muʻáf kiyá hai, tú bhí hamáre qarz hameṉ muʻáf kar; 
MAT.6.13	aur hameṉ ázmáish meṉ na lá, balki burái se bachá. [Kyúṉki bádsháhí aur qudrat aur jalál hamesha tere hí haiṉ. Ámin.] 
MAT.6.14	Is liye ki agar tum ádmíoṉ ke qusúr muʻáf karoge, to tumhárá ásmáni Báp bhí tumheṉ muʻáf karegá. 
MAT.6.15	Aur agar tum ádmíoṉ ke qusúr muʻáf na karoge, to tumhárá Báp bhí tumháre qusúr muʻáf na karegá.
MAT.6.16	Aur jab tum roza rakkho, to riyákároṉ kí tarah apní súrat udás na banáo, kyúṉki wuh apná muṉh bigáṛte haiṉ, táki log unheṉ rozadár jáneṉ. Maiṉ tum se sach kahtá húṉ, ki wuh apná ajr pá chuke. 
MAT.6.17	Balki jab tú roza rakkhe, to apne sir meṉ tel ḍál, aur muṉh dho; 
MAT.6.18	táki ádmí nahíṉ, balki terá Báp, jo poshídagí meṉ hai, tujhe rozadár jáne; is súrat meṉ terá Báp, jo poshídagí meṉ dekhtá hai, tujhe badla degá.
MAT.6.19	Apne wáste zamín par mál jamaʻ na karo, jaháṉ kíṛá aur zang ḳharáb kartá hai, aur jaháṉ chor naqb lagáte aur churáte haiṉ; 
MAT.6.20	balki apne liye ásmán par mál jamaʻ karo, jaháṉ na kíṛá ḳharáb kartá hai, na zang, aur na waháṉ chor naqb lagáte aur churáte haiṉ; 
MAT.6.21	kyúṉki jaháṉ terá mál hai, wahíṉ terá dil bhí lagá rahegá. 
MAT.6.22	Badan ká chirág áṉkh hai: pas agar terí áṉkh durust ho, to terá sárá badan raushan hogá; 
MAT.6.23	aur agar terí áṉkh ḳharáb ho, to terá sárá badan tárík hogá; pas agar wuh raushní jo tujh meṉ hai táríkí ho, to táríkí kaisí baṛí hogí! 
MAT.6.24	Koí ádmí do málikoṉ kí ḳhidmat nahíṉ kar saktá; kyúṉki yá to ek se ʻadáwat rakkhegá, aur dúsre se mahabbat, yá ek se milá rahegá, aur dúsre ko náchíz jánegá. Tum Ḳhudá aur daulat donoṉ kí ḳhidmat nahíṉ kar sakte. 
