MAT.1.1	Iga nyigo marina ga waku wa Yesu Kristo awei o kyishari kya Dawidi na Abrahamu.
MAT.2.16	Naaho-ng'u Herode, ammbone kye ammbutio shindo sha ngyeṟo nyi wandu walya wawoṙe wuṟango wo mbonyi tsa nyenyeri naleicho nyashi mnu, kaṙuma wandu wakawaaga wana woose wa kyisoṟo wawekyeri kulya Betilehemu na ipfo mṟasenyi koose, wookyia wawoṙe maka iwi na wanda ya iho, ko kyiyeri kyoose alekyimanya ko wandu walya wawoṙe wuṟango wo mbonyi tsa nyenyeri. 
MAT.2.17	Naaho-ng'u kyileafukyia kyindo kyilegambo nyi moonguo shisuku Yeremia, echigamba,
MAT.2.18	“Ṟui lyileaṙanyio Rama,
MAT.2.18	wukyiwa, na ikapa ṟanyi lying'anyi,
MAT.2.18	Raheli echifiiṟia wana wakye,
MAT.2.18	alaiṙikyie iwiyiṟio moo,
MAT.2.18	kyipfa woose wawepfiie.”
MAT.2.19	Kyaindi kyiyeri Herode alepfa, malaika o Mndumii nalecha na ko Yosefu ndoṙonyi ipfo Misiri, 
MAT.2.20	kagamba, “Amka, uṙuo mana na wamae uwuye na kulya urukyenyi lo Isiraelyi; kyipfa wampfa walya waweikundi iwaaga mana-cho.” 
MAT.2.21	Kayenda kaṙuo mana na wamae, kashika uruka lo Isiraelyi. 
MAT.2.22	Kyaindi amwicho kye Arikyelao nawoṙe wuchilyi ipfo Uyuda handu ha Herode awuye, naleowuo iyenda pfo; na oe ammbawaso ndoṙonyi kayenda ngyuura tsa Galyilaya. 
MAT.2.23	Kakaa mṟinyi uwekyelago Nasareti; kundu kyiafukyie kyindo kyileṙeṙo nyi weonguo shisuku: “Nechilago Mnasorayo.”
MAT.3.1	Mfiri iya Yohane Mpatisi naleyenda echionguo mbonyi ngyicha nukyenyi ya Uyuda, na igamba, 
MAT.3.2	“Ṙumbuyenyi wunyamaṟi; kyipfa Wumangyi wo ruwewu womshika kufuhi.” 
MAT.3.3	Cha kyipfa icho nyi oe alegambo nyi moonguo shisuku echigamba,
MAT.3.3	“Ṟui lya mndu aieṙia nuka,
MAT.3.3	ṟeyeṟenyi njia ya Mndumii,
MAT.3.3	goṟotsenyi kundu echiiṙia.”
MAT.3.4	Na Yohane naweṟee ikunya lya mapfukye ga ngamia na ukowa lo njonyi kyitsinyi kyakye; na kyelya kyakye nyi-we nzie na wukyi wo nguṙunyi. 
MAT.3.5	Naaho-ng'u wandu wa Yerusalemu waleyenda kokye, na wa Uyuda koose, na wa ngyuuruka tsoose tsa mbai ya Yoridan; 
MAT.3.6	na oe kawapatisa kulya mfonyi o Yoridan, wechitocha ngyuunyamaṟi tsawo. 
MAT.3.7	Na lyilya alewona wafoi kyiiṙi kya Mafarisayo na Masadukayo wechicha na wupatisonyi wokye, nalewawia, “Nyoe maalea ga njoka, nyi wui alemwikyimbia nyoe iṙicha nyashi-yo iicha? 
MAT.3.8	Kyasia kumbienyi ndunda tsiṙuṙanyi na iṙumbuya wunyamaṟi. 
MAT.3.9	Maa mulakusaṟe mrimenyi konyu kye, ‘Muwoṙe awu, nyi oe Abrahamu; kyipfa ngammbia kye Ruwa neiṙima kyiiṙi kya magoe-ga iiria Abrahamu wana.’ 
MAT.3.10	Na soka lyammbikyio matsindenyi ga mashiṙi; kyasia orio ikyiṙi lyilekyekumbia ndunda ngyicha lyekyemanyo na iwiyitso moṙonyi. 
MAT.3.11	Ny'kyaloi inyi ngyimpatisa kui mṟinga kyipfa kya iṙumbuya wunyamaṟi; kyaindi ulya aicha numa yako nawoṙe pfinya kuta inyi, ngyiwaṟi maa iira shiaṙu shakye-pfo; oe nechimpatisa kui Mumuyo Mweele na kui moṙo. 
MAT.3.12	Indo lyakye lyeela shindo lyikyeri kuwokonyi kokye, na oe nechiaia muului oose handu hakye heelyia shindo; na isania nganu yakye kyikumbinyi, kyaindi muului nechiurumatsa moṙonyi ulekyeruma.”
MAT.3.13	Kyiyeri-kyo Yesu kacha awuka Galyilaya mṟasa Yoridan ko Yohane kundu napatiso. 
MAT.3.14	Kyaindi Yohane katambagana imshingyia, echigamba, “Inyi ngyilangyie ipatiso nyi iyoe, na iyoe nuicha na koko?” 
MAT.3.15	Yesu kagaluo kammbia, “Iṙikyia wulalu kuṙi; kyipfa nyi wuṙo kyiluwaṟi iafutsia wusumganyi woose.” Kyasia kamwiṙikyia. 
MAT.3.16	Na Yesu ampatiso cha ilyi kaṙo iwuka kulya mṟingyenyi; na mapuchi gakaseia, kawona Mumuyo o Ruwa echisokyia wuye yakye cha mbeta. 
MAT.3.17	Na ṟui lyiwukyie ruwewu lyikagamba, “Ichu nyi Mana oko, mkunde oko, ngyimchihiye kyipfa kyakye.”
MAT.4.1	Numa ya iho Yesu kaṙoo nyi Mumuyo kundu ko nuka, kundu nayesho nyi Mokyiriinzi. 
MAT.4.2	Kakuretekyia mfiri makumi gaana kyio na kyingoto, mafurumionyi kawoṙo njaa. 
MAT.4.3	Myeshi kacha na kokye kammbia, “Kokooya iyoe nyi mana o Ruwa, wia magoe-ga gawe mkate.” 
MAT.4.4	Na oe kagaluo, kagamba, “Kyikyiṟeie, ‘Mndu echiwona moo kui mkate tikyi-pfo, kyaindi ko orio ṙeṙo Ruwa agamba.’ ” 
MAT.4.5	Kyasia Mokyiriinzi kamṙuo mṟasa Yerusalemu, mṟi mweele, kammbikyia wuye ya uweri lo hekalu 
MAT.4.6	kammbia, “Kokooya iyoe nyi Mana o Ruwa kuwiyitse wanda; kyipfa kyikyiṟeie,
MAT.4.6	‘Nechikuṙumia malaika wakye;
MAT.4.6	na wechikuwaṙa mawokonyi gawo;
MAT.4.6	ulachekapa ṙende igoenyi.’ ”
MAT.4.7	Yesu kammbia, “Ngoseṟa kyikyiṟeie, ‘Ulayeshe Mndumii Ruwa opfo.’ ” 
MAT.4.8	Numa ya iho Mokyiriinzi kamṙuo fumvunyi lyileshi mnu, kamloṟa ngyuuchilyi tsoose tsa wuyana, na wung'anyi wotso, 
MAT.4.9	kammbia, “Ishi shoose ngyechikuenenga, kongyiindia.” 
MAT.4.10	Naaho-ng'u Yesu alemmbia, “Wuka iha, Satana, kyipfa kyikyiṟeie, ‘India Mndumii Ruwa opfo, umterewe oe amonyi.’ ” 
MAT.4.11	Numa ya iho Mokyiriinzi kamleka; na malaika wakacha wakamtarama.
MAT.4.12	Yesu amwicho kye Yohane Mpatisi nampfungye, naleyenda mṟasa Galyilaya. 
MAT.4.13	Kawuka Nasareti, kacha kakaa Kaperinaumu, mṟi ukyeri mbai ya ipalyipalyi, mṟasenyi o Sabulon na Naftalyi; 
MAT.4.14	kundu kyiafukyie kyindo kyileṙeṙo nyi moonguo shisuku Yesaya, echigamba,
MAT.4.15	“Uruka lo Sabulon na uruka lo Naftalyi,
MAT.4.15	ṟuko lya ipalyipalyi, molyolya o Yoridan,
MAT.4.15	Galyilaya ya wandu walaiṙikyie Ruwa.
MAT.4.16	Wandu walya wakyeri meemenyi
MAT.4.16	wammbona saa ing'anyi,
MAT.4.16	na walya wakyeri urukyenyi lo kyirinje kya upfu,
MAT.4.16	ngyeela yammboneka kowo.”
MAT.4.17	Wookyia kyiyeri-kyo Yesu nalewooka ionguo mbonyi ngyicha, na igamba, “Ṙumbuyenyi wunyamaṟi kyipfa Wumangyi wo ruwewu womtikyira kufuhi.”
MAT.4.18	Na oe kyiyeri aweichumia mbai ya ipalyipalyi lya Galyilaya, nalewona wana wa mka wawi, Simion ekyelago Petiro na Anderea mono-wamae wechiwiyitsa ndusu tseṙeia makunga ipalyipalyinyi; kyipfa wawekyeri wandu wekyeṙega makunga. 
MAT.4.19	Kawawia, “Ngyioshenyi, na inyi ngyechimugaluo muwe wandu wekyeṙega wandu.” 
MAT.4.20	Cha ilyi wakaṙa ndusu tsilya tsawo tseṙega makunga, wakamwosha. 
MAT.4.21	Kaengyeṟa ichumia, kawona wana wengyi wa mka wawi, Yakobo mana o Sebedayo, na Yohane mono-wamae, wakyeri ngalawenyi hamwi na Sebedayo awu-yawo, wechiachikyia ndusu tsawo tseṙega makunga; kawalaga. 
MAT.4.22	Cha ilyi wakaṙa ngalawa iya yawo na awu-yawo wakamwosha. 
MAT.4.23	Na oe nawetenga-tenga urukyenyi lo Galyilaya loose, echilosha masinagoginyi gawo na ilosha Mbonyi Ngyicha ya Wumangyi, na ikyiṟa ndoṟe na wufafa wo orio mbaṟe wandunyi. 
MAT.4.24	Na mbonyi tsakye tsikaṙunganana urukyenyi lo Shamu loose; wakamwendie woose waweluoe, wawoṙo nyi orio ndoṟe na orio ilyiso wukyiwa, wawoṙo nyi waṟufui wawicho, na wekyeuma nguku, na wapfiie ngapfu ura lumwi; kawakyiṟa. 
MAT.4.25	Na wuingyi wo wandu wukomwosha, iwookyia Galyilaya na Dekapolyi, na Yerusalemu na Uyuda, na molyolya o Yoridan.
MAT.5.1	Na oe kyiyeri alewona wuingyi wo wandu, naleṙo na fumvunyi; na amṙamie, wanalosho wakye walecha na kokye. 
MAT.5.2	Kawooka iwalosha echigamba,
MAT.5.3	“Wagusu iwo wawoṙe wukyiwa wo mrima;
MAT.5.3	kyipfa Wumangyi wo ruwewu nyi wowo.
MAT.5.4	Wagusu iwo wawasokyie nyi fowa;
MAT.5.4	kyipfa iwo wechiwiyiṟio moo.
MAT.5.5	Wagusu iwo wawoṙe wuhoo;
MAT.5.5	kyipfa iwo wechioṟa uruka.
MAT.5.6	Wagusu iwo wawoṙe njaa na nyoṙa ya wusumganyi;
MAT.5.6	kyipfa iwo wechiigutso.
MAT.5.7	Wagusu iwo wawoṙe isaṟia;
MAT.5.7	kyipfa iwo wechiwona isaṟia.
MAT.5.8	Wagusu iwo wawoṙe mrima mmbaṙami;
MAT.5.8	kyipfa iwo wechiwona Ruwa.
MAT.5.9	Wagusu iwo wekyeende ufoṟo;
MAT.5.9	kyipfa iwo wechilago wana wa Ruwa.
MAT.5.10	Wagusu iwo wechipfulutso nyashi kyipfa kya iwa wasumganyi;
MAT.5.10	kyipfa Wumangyi wo ruwewu nyi wowo.
MAT.5.11	Wagusu nyoe ilyi wechimkapa kyipfa kya wusumganyi na impfulutsa nyashi na imuiria orio kyindo kyiwicho kui wongo, kyipfa kyako. 
MAT.5.12	Chihiyonyi, na ikyesa; kyipfa wori wonyu nyi wung'anyi ruwewu. Kyipfa nyi wuṙo walepfulutsa nyashi weonguo shisuku walemusongoya nyoe.”
MAT.5.13	“Nyoe nyi munyu o wuyana. Kyaindi munyu ukyeri unyamaṟikyie owiko-kyi mṟasa uṙahie? Ochiwaṙa-se kyiira maa ale-pfo, sile iwiyitso nja na ichumo-chumo nyi wandu. 
MAT.5.14	Nyoe nyi saa ya wuyana. Mṟi oiṙima ikuṟiika ukyeri wuye ya fumvu-pfo. 
MAT.5.15	Maa wandu wekyekoṟa taa na iiwikyia handu hakuṟiikyie-pfo, kyaindi handu hakuirie; nayo ikalyimikyia woose wakyeri numba. 
MAT.5.16	Na wuṙo ngyeela yanyu ilyimikye mbele ya wandu, waiṙime iwona mawuto ganyu mecha, waṟumishe Awu-yonyu akyeri ruwewu.”
MAT.5.17	“Mulakusaṟe kye ngyilecha iilacha mawawaso na shilya weonguo shisuku wagambie. Ote. Ngyilecha iilacha-pfo, kyaindi iichuṟia. 
MAT.5.18	Kyipfa, ny'kyaloi, ngammbia, mṟasa kyiyeri ruwewu na uruka shechiwuka ho, maa kyindo kyitung'tu kya mawawaso kyechiwuka ho-pfo, mṟasa shoose shiafukyie. 
MAT.5.19	Kyasia mndu oose echinyamaṟa iwawaso lyimwi kyiiṙi kya iga gai matutu, na ilosha wandu kuṙo, nechilago mtutu kuta woose Wumangyinyi wo ruwewu; kyaindi mndu echigaosha na igalosha, icho nechilago ang'anyi Wumangyinyi wo ruwewu. 
MAT.5.20	Kyipfa ngammbia-kye wusumganyi wonyu wulandeng'anie wulya wo walosha wa mawawaso na Mafarisayo, mochiiṙa maa ale na Wumangyinyi wo ruwewu-pfo.”
MAT.5.21	“Mulemuicho chandu wandu wa kacha walewio ulawaage; na mndu kawaaga kyimmbaṟi ianduyo. 
MAT.5.22	Kyaindi inyi ngammbia, orio mndu mokapo nyi nyashi kyipfa kya mono-wamae kyimmbaṟi ianduyo. Na mndu molahia mono-wamae, kyimmbaṟi iṙeṙio moondu. Na mndu kamlaga tondo, kyimmbaṟi ngyehena ya moṙo. 
MAT.5.23	Kyasia koende kyiano kyapfo na mbele ya Ruwa, na kunu kokumbuo kye mono-womoo nawoṙe ṙeṙo na iyoe, 
MAT.5.24	ṙa kyiano-kyo kyapfo mbele ya Ruwa, uyende, uachikyie kuwooka mbonyi tsapfo na mono-womoo, numa uwuye uenengyie kyiano kyapfo. 
MAT.5.25	Achikyia iwinyi mbonyi tsapfo na ulya uwoṙe na oe moondu kyiyeri uṙuṙanyi na oe njienyi; ulya uwoṙe na oe moondu alachekuṙuo ko moṙumbuo moondu, na moṙumbuo moondu kakuṙuo ko asikari, kowiyitso kyipfungonyi. 
MAT.5.26	Ny'kyaloi, ngakuwia, ochiwuka pfo maa ale-pfo mṟasa umarise itaa helo iya ya mafurumionyi.”
MAT.5.27	“Muleicho kye kyikyigambe, ulaṟuguye maa ulaṟuguyo. 
MAT.5.28	Kyaindi inyi ngammbia orio mndu aambuya mndu mka kui imlanga, amumṟuguya ipfo mrimenyi kokye. 
MAT.5.29	Riso lyapfo lya kulyoe lyikakutewe, lyikuluoe ulyiwiyitse kuleshi na iyoe; kyipfa kyikuwaṟi kyoonyi kyapfo kyimwi kyiṙekye kundu mmbiu opfo oose ulawiyitso ngyehenenyi. 
MAT.5.30	Na kuwoko kopfo ko kulyoe kukokutewe, ṙumbuo kuwoko-ko uwiyitse kuleshi na iyoe. Kyipfa kyikuwaṟi kyoonyi kyapfo kyimwi kyiṙekye, kundu mmbiu opfo oose ulawiyitso ngyehenenyi.”
MAT.5.31	“Kyiwekyiṙeṙe taa, mndu kaṙa mka okye, namwenengye kyiṟeio kyelekana na oe. 
MAT.5.32	Kyaindi inyi ngammbia, orio mndu aṙa mka okye, sile ko mbonyi tsa wuṟui, namgaluo mṟui; na mndu kaalyika ulya aṙio naṟuguya.”
MAT.5.33	“Ngoseṟa mulemuicho chandu wandu wa kacha walewio, ulalye nyamu kui rina lya Ruwa, kyaindi afutsia nyamu tsapfo ko Mndumii. 
MAT.5.34	Kyaindi inyi ngammbia, molalye nyamu maa ale; maa kui ruwewu, kyipfa ikyo nyi kyiṙi kya Ruwa kya wuchilyi. 
MAT.5.35	Maa kui uruka, kyipfa nyiho hewikyia maṙende gakye; maa kui Yerusalemu, kyipfa nyicho mṟi o mangyi ang'anyi. 
MAT.5.36	Maa ulalye nyamu kui mṙoe opfo, kyipfa oiṙima igaluo uchui lumwi iwa uwiṟo ang'u njuu-pfo. 
MAT.5.37	Kyaindi maṙeṙo ganyu gawe yee, yee; ote, ote; kyipfa gaelewetsie igo gawukyie ko ulya mmbicho.”
MAT.5.38	“Mulemuicho kye kyikyigambe, riso ko riso, na yego ko yego; 
MAT.5.39	kyaindi inyi ngammbia, mulawingane na mndu mmbicho; kyaindi mndu akukapa nguchu ya ura lo kulyoe, mgalutsie na nguchu ya kawi. 
MAT.5.40	Na mndu akundi ikulaga moondunyi na iṙuo iwale lyapfo, mṙeeye na ijoho taa. 
MAT.5.41	Na mndu echikuitika uyende na oe mailyi imwi, yenda na oe tsiwi. 
MAT.5.42	Akuterewa, mwenengye; na mndu akundi iakuo kopfo ulamwime.”
MAT.5.43	“Mulemuicho kye kyikyigambe, ukunde momṟasa opfo, na usuo mokyituwa opfo. 
MAT.5.44	Kyaindi inyi ngammbia, kundenyi washituwa wanyu, terewienyi walya waimpfulutsa nyashi; 
MAT.5.45	kundu muiṙime iwa wana wa Awu-yonyu akyeri ruwewu. Kyipfa oe nekyeenenga mmbaṟi okye wawicho na wecha, nekyeolotsia mvuo wasumganyi na walai wasumganyi. 
MAT.5.46	Kyipfa mukokunda wamukundi nyoe tupu, mowona wori wuha? Maa wesania ukamba, wekyeṟunda isho isho-pfoe? 
MAT.5.47	Ngoseṟa mukoiṟikyiṟa wana wa wamanyu tupu, moṟunda kyi kya ngoseṟa? Maa wandu walaiṙikyie Ruwa wekyewuta cha isho-pfoe? 
MAT.5.48	Kyasia nyoe mochiwa wandu walawoṙe mti, chandu Awu-yonyu o ruwewu alawoṙe mti.”
MAT.6.1	“Mulaloṟe wucha wonyu mbele ya wandu, kundu wamuambuye. Kyipfa mukoṟunda muṙo, mowona wori ko Awu-yonyu akyeri ruwewu-pfo. 
MAT.6.2	Kyasia kyiyeri-kyo uienengyia kyiano kyesaṟia molakushele, chandu wakulembecheṟi wekyewuta ipfo masinagoginyi na njienyi, kundu waṟumisho nyi wandu. 
MAT.6.3	Ny'kyaloi, ngammbia, wammbona wori wowo. Kyaindi kyiyeri iyoe uienengyia kyiano kyesaṟia, maa kuwoko kopfo ko kumoso kulamanye kyindo kuwoko kopfo ko kulyoe kuiṟunda. 
MAT.6.4	Kyiano kyapfo kyesaṟia kyiwe kui kyiṟika; na Awu-yopfo ulya ekyewona maa shilya shikuṟiikyie nechikuenenga iṟikoso.”
MAT.6.5	“Ngoseṟa kyiyeri muiterewa, mulawe cha wakulembecheṟi; kyipfa wo wakundi iterewa wagoṟokyi masinagoginyi na mbai ya njia, kundu wawono nyi wandu. Ny'kyaloi, ngyimmbia, wamuambilyia wori wowo. 
MAT.6.6	Kyaindi iyoe kyiyeri-kyo uiterewa, iṙa na kyiṟinyi kyapfo uwiirie moongo, na komshinga moongo opfo, uterewe mbele ya Awu-yopfo akyeri handu hakuṟiikyie; na Awu-yopfo ekyewona maa shilya shikuṟiikyie nechikuenenga iṟikoso. 
MAT.6.7	Na nyoe kyiyeri-kyo mukyeri kyiterewonyi, mulagambe shindo shifoi shilawoṙe kyiira, cha wandu walaichi Ruwa, kyipfa wo wekyekusaṟa kye wechiaṙanyio kyipfa kya maṙeṙo gawo iwa gafoi. 
MAT.6.8	Kyasia mulawe cha iwo; kyipfa Awu-yonyu naichi shilya mukundi maa nyoe mulamterewa. 
MAT.6.9	Kyasia nyoe terewenyi kuṙi,
MAT.6.9	‘Awu-yoṙu ukyeri ruwewu,
MAT.6.9	Rina lyapfo lyitano lyiele,
MAT.6.10	Wumangyi wopfo wuche,
MAT.6.10	kyindo ukundi kyiṟundikye,
MAT.6.10	iha wuyanenyi cha kulya ruwewu.
MAT.6.11	Uluenengye kando kaṙu inu.
MAT.6.12	Uluhooṟie maṙeko gaṙu,
MAT.6.12	chandu na soe lokyehooṟia walya wekyeluṙekyio.
MAT.6.13	Na ulaluṙuo kyiyeshionyi,
MAT.6.13	kyaindi ulukyiṟe ngyeṟo tsa ulya mmbicho.
MAT.6.13	[Cha kyipfa Wumangyi nyi wopfo, na pfinya, na mng'ano, mṟasa mlungana. Amen.’ ”]
MAT.6.14	“Cha kyipfa mukohooṟia wandu maṙeko gawo, na Awu-yonyu o ruwewu nechimuhooṟia nyoe. 
MAT.6.15	Kyaindi mulandehooṟie wandu maṙeko gawo, maa Awu-yonyu echimuhooṟia nyoe maṙeko ganyu-pfo.”
MAT.6.16	“Ngoseṟa kyiyeri moṙumbuo ikuretekyia kundu muṟumishe Ruwa, mulawe cha wakulembecheṟi wawoṙe shaam shiwoṙe nzineeri. Kyipfa wekyenyamaṟa shaam shawo, kundu wawono nyi wandu kye wailya maa inyo-pfo. Ny'kyaloi ngammbia, wamuambilyia wori wowo. 
MAT.6.17	Kyaindi iyoe kyiyeri okuretekyia, kushie mafuṙa mṙoenyi, usambe kyaam; 
MAT.6.18	kundu ulawono nyi wandu kye nokuretekyia, sile nyi Awu-yopfo akyeri handu hakuṟiikyie, na Awu-yopfo ekyewona maa shilya shikuṟiikyie nechikuenenga iṟikoso.”
MAT.6.19	“Mulakoome shindo sha woguru kyipfa kyanyu iha wuyanenyi, handu mashinu na koṟa shekyenyamaṟa, na mbafu tsekyefunja na iiwa. 
MAT.6.20	Kyaindi koomenyi shindo sha woguru kyipfa kyanyu ruwewu, kulekyenyamaṟika kyindo kyipfa kya mashinu maa koṟa, maa mbafu tsilekyefunja na iiwa. 
MAT.6.21	Kyipfa handu kyindo kyapfo kya woguru kyikyeri na ho-ndu na mrima opfo ochikaa.”
MAT.6.22	“Taa ya mmbiu nyi riso. Kyasia riso lyapfo lyechiṟunda necha mmbiu opfo oose ochiwaṙa ngyeela. 
MAT.6.23	Kyaindi riso lyapfo lyikanyamaṟika, mmbiu opfo oose ochiwaṙa meema. Kyasia ngyeela iya ikyeri kopfo ikawa meema; nyi meema ung'anyi mnu!”
MAT.6.24	“Kuwoṙe mndu echiiṙima iṟundia wandumii wawi-pfo; cha kyipfa nechisuo ichu, na ikunda ichu; ang'u nechikuwaṙa na ichu na imina ichu. Moiṙima iṟundia Ruwa na masaa-pfo. 
MAT.6.25	Kyipfa kya ikyo ngammbia, mulawinie moo yanyu, mulye kyi ang'u munyo kyi; maa mmbiu yanyu muṟaae kyi. Moo chi ngoseṟa ya kyelya, na mmbiu chi ngoseṟa ya kyindo kyeṟaa? 
MAT.6.26	Ambuyenyi shileye sha ngyinenyi kye shekyeṙonga-pfo, maa shekyesambuo-pfo, maa shekyesania kyikumbinyi-pfo; na awu-yonyu o ruwewu nekyeshiembeṟa shoose. Nyoe muwoṙe woguru wung'anyi kuta shileye-sho-pfoe? 
MAT.6.27	Nyi wui konyu maa kakuwinisha eiṙima iengyeṟa maa ale mfiri yakye ya iha wuyanenyi? 
