MAT.1.1	Jesucristo Abrahampaj Davidpajpiwan mirayninmanta carkan. Cayka Jesucristopaj abueloncuna: 
MAT.2.8	Belenman paycunata cachaspataj, nerkan:
MAT.2.8	—Puriychis, chay wawamanta allinta yachamuychis. Tarispataj willawanquichis nokapas adoramunaypaj.
MAT.2.9	Chay jina willaskawan yachajcuna puripojtincutaj, chay ricuskancu koyllur ñaupakencuta purerkan, wawa maypichus cachcarkan chaycama; chaypitaj sayaycorkan. 
MAT.2.10	Yachajcuna koyllurta sayaycuskanta ricuspa, sinchita cusicorkancu. 
MAT.2.11	Wasiman yaycuspa, wawata maman Mariatawan tariparkancu. Konkoriycuspataj, wawata adorarkancu. Cajoncitoncuta quicharaspa, korita, inciensota, mirratawan korkancu. 
MAT.2.12	Dios moskoynincupi willarkan ama Herodesman cutinancupaj. Chayraycu wajninta llajtancuman cutiporkancu.
MAT.2.13	Yachajcuna ripojtincuña, Señorpaj angelnin Joseman moskoyninpi riqhurispa, nerkan: “Jatariy, wawata mamantawan pusaricuspa, Egipto nacionman escapay ujtawan kanman willanaycama, imaraycuchus Herodes wawata masc'achenka wañuchinanpaj.”
MAT.2.14	Josetaj jatarispa, wawata mamantawan chay tutapacha Egiptoman pusaporkan. 
MAT.2.15	Chaypi camorkan Herodes wañunancama. Chayka pasarkan Señor Diospaj profetanpaj niskan junt'acunanpaj: “Egiptomanta Churiyta wajarkani.”
MAT.2.16	Gobernaj Herodestaj yachajcunapaj engañaskanta reparacuspa, phiñacorkan. Cacharkantaj Belenpi campocunantinpi caj tucuy khari wawacunata wañuchimunancupaj iscay watayojmanta uranejman, Jesuspaj naciskan chay tiempomanta yachajcunapaj willaskanman jina. 
MAT.2.17	Ajinata junt'acun profeta Jeremiaspaj escribiskan:
MAT.2.18	“Ramá llajtapi sinchi wakay athun llaquiycunapiwan carkan.
MAT.2.18	Raquel wakarkan churincuna wañuchiskaña
MAT.2.18	caskanmanta,
MAT.2.18	manataj sonkochaska cayta munarkanchu.”
MAT.2.19	Herodes wañupojtintaj, Egiptopi Señorpaj angelnin Joseman moskoypi nerkan: 
MAT.2.20	“Jatariy, wawata mamantawan pusaricuspa, Israelman cutipuy. Wawata wañuchiy munajcuna wañurapuncuña.”
MAT.2.21	Chhicataj José jatarispa, wawata mamantawan Israelman pusaporkan. 
MAT.2.22	Josetaj uyarerkan Arquelao Judeapi gobernachcaskanta tatan Herodespaj cuentanmanta. Chayraycu chayman puriyta manchachicorkan. Dios Joseman moskoyninpi willajtintaj, Galileaman puriporkan. 
MAT.2.23	Nazaretman chayaspataj, chaypi tiyacorkan, profetacunapaj niskancu junt'acunanpaj: “Jesuska nazareno sutichaska canka.”
MAT.3.1	Chay p'unchaycunapi Judeapi caj ch'usaj lugarpi Juan Bautista riqhurerkan. 
MAT.3.2	Willaskanpi nerkan: “¡Diosman cutiricuychis! ¡Diospaj gobiernonka kayllapiña cachcan!”
MAT.3.3	Juanmanta Diospaj profetan Isaías escriberkan:
MAT.3.3	“Ch'usaj lugarpi uj runa wajach'aconka:
MAT.3.3	‘Señor jamuchcan.
MAT.3.3	Sonkoyquichista paypaj waquichiychis
MAT.3.3	recto ñanta jina.’ ”
MAT.3.4	Juanpaj p'achantaj camello millmamanta carkan, karamanta cinturonwan chumpiycuska. Miqhunantaj carkan langosta niska athun t'inti, t'aja misq'ipiwan. 
MAT.3.5	Runacuna Jerusalenmanta, tucuy Judea provinciamanta, Jordán kayllacunamantawan jamorkancu uyarej. 
MAT.3.6	Juantaj juchancu willacojcunata bautizarkan Jordán mayupi.
MAT.3.7	Achqha fariseocunata saduceocunatawan bautizachicoj jamojta ricuspa, nerkan: “¡Pallicunapaj miraynin! ¿Pitaj kancunaman nerkasunquichis Diospaj jamoj castigonmanta escapacunayquichista? 
MAT.3.8	Allinta causaychis, Diosman cutiriskayquichis sut'inta ricuchicunanpaj. 
MAT.3.9	Amataj ninacuychischu: ‘Nokanchiska Abrahampaj wawancuna canchis’ nispaka. Segurayquichis, Dioska cay rumicunatapas Abrahampaj wawancunaman tucuchinman. 
MAT.3.10	Jacha listoña, sach'acunata saphinmantapacha p'atanapaj. Tucuy sach'ata mana allin urejtaka p'ataspa ninaman wijch'uncu. Chay jinata Dios castigasunquichis. 
MAT.3.11	Ciertota noka unullawan bautizayquichis, Diosman cutiriskayquichis ricuchicunanpaj. Nokamanta waj jamuchcan, paycajka Santo Espirituwan ninapiwan bautizasunquichis. Payka nokamanta astawan atiyniyoj; paypaj ñaupakenpi ni imapaschu cani, ni abarcanta pascaranallaypajpas. 
MAT.3.12	Pay maquinpi wayrachinata apamuchcan, trigota limpiochaspa trojenpi wakaychananpaj, yurantataj mana jayc'aj wañoj ninawan ruphachipunanpaj.”
MAT.3.13	Jesús Galileamanta Jordán mayuman purerkan, Juanwan bautizachicoj. 
MAT.3.14	Juantaj ni imaraycu Jesusta bautizayta munarkanchu:
MAT.3.14	—Astawanpas noka kanpaj bautizaskayqui canay. Kantaj jamunqui nokaman bautizachicoj —nispa.
MAT.3.15	Jesustaj contestarkan:
MAT.3.15	—Cunanka ruwallay, Diospaj tucuy mandacuskancunata junt'ananchispaj.
MAT.3.15	Juantaj casucorkan. 
MAT.3.16	Jesús bautizachicuspa unumanta llojsichcajtin, janaj pacha quicharacorkan. Ricorkantaj Diospaj Espíritun pay pataman paloma jina uraycamuchcajta. 
MAT.3.17	Janaj pachamantataj Dios nimorkan: “Caymi munaska Chureyka. Payta ajllani.”
MAT.4.1	Chaymanta Santo Espíritu Jesusta ch'usaj lugarman pusarkan, chaypi supay pruebata ruwananpaj.
MAT.4.2	Jesustaj tawa chunca p'unchayta tawa chunca tutatawan mana miqhuska caspa, yarekachicorkan. 
MAT.4.3	Chaypacha supay Jesusman chimpaycorkan pruebata ruwananpaj. Nerkantaj:
MAT.4.3	—Sichus ciertopuni Diospaj Churin canqui chayka, cay rumicunata t'antaman tucuchiy.
MAT.4.4	Jesustaj contestarkan:
MAT.4.4	—Escrituraka nin: ‘Mana miqhunallawanchu runaka causanka, manachayri Diospaj siminmanta llojsej tucuy palabrancunawan.’
MAT.4.5	Chaymanta supay santocaj Jerusalén llajtaman pusarkan; templo pataman astawan altocaj lugarman llojsichispa, 
MAT.4.6	nerkan:
MAT.4.6	—Sichus ciertopuni Diospaj Churin canqui chayka, caymanta wijch'uycucuy; imaraycuchus Escrituraka nin:
MAT.4.6	‘Dios angelnincunata cachamonka cuidanasunquichispaj.
MAT.4.6	Maquincuwan jap'isunquichis rumicunaman mana tacacunayquipaj.’
MAT.4.7	Jesús contestarkan:
MAT.4.7	—Escrituraka nillawanchistaj: ‘Ama Señor Diosniyquita pruebata ruwanquichu.’
MAT.4.8	Chaymanta supay uj athun loma pataman pusarkan. Chaymanta cay pachapi caj tucuy nacioncunata athun sumaj caynincunatawan ricuchispa, 
MAT.4.9	nerkan:
MAT.4.9	—Noka tucuy cayta koskayqui, konkoriycuspa adorawanqui chayka.
MAT.4.10	Chaypacha Jesús nerkan:
MAT.4.10	—Puriy caymanta, Satanás. Escrituraka niwanchis: ‘Señor Diosnillayquita adoranqui; pay sapallanta sirvinqui.’
MAT.4.11	Chhicataj supay Jesusmanta ithiricaporkan. Angelcunataj jamuspa sirverkancu.
MAT.4.12	Jesús Juan Bautista carcelpi caskanta uyarispa, Galileaman purerkan. 
MAT.4.13	Nazaret llajtamanta llojsipuspa, Capernaum llajtaman puriporkan, Galilea kocha cantoman, Zabulón Neftalí lugarnejman, 
MAT.4.14	Señor Diospaj profetan Isaiaspaj escribiskan junt'acunanpaj:
MAT.4.15	“Zabulón, Neftalí lugarcunapi, Jordán mayu
MAT.4.15	chimpapi, kocha cantopi tiyajcuna,
MAT.4.15	Galileapi caj waj dios adorajcunapiwan,
MAT.4.16	chay runacuna, tutayajpi jina tiyajcuna,
MAT.4.16	uj athun c'anchayta riconkacu.
MAT.4.16	Chay c'anchay wañuy llanthucunapi
MAT.4.16	tiyajcunaman c'anchayconka.”
MAT.4.17	Chhicamantapacha Jesús willayta kallarerkan: “Diosman cutiricuychis, imaraycuchus Diospaj gobiernon kayllapiña” nispa.
MAT.4.18	Jesús Galilea kocha cantonta purichcaspa, iscay waukentinta ricorkan. Ujnin Simón Pedro sutiyoj carkan, ujnintaj Andrés. Paycuna challwiru carkancu; challwacunata jap'inancupaj llicata kochaman cachaycuchcarkancu. 
MAT.4.19	Jesús paycunata nerkan:
MAT.4.19	—Jamuychis, nokawan puriychis. Nokataj runacunata Diosman pusamojta ruwaskayquichis, imaynatachus challwata jap'ej cachcanquichis jinata.
MAT.4.20	Chhicapacha llicancuta sakerpayaspa, Jesuswan puriporkancu.
MAT.4.21	Juch'uytawan ñaupajman purispa, Jesús waj iscay waukentinta ricorkan: Santiagota Juantawan, Zebedeopaj churincunata. Botepi tatancuwan llicata jallch'aspa cachcajtincu, Jesús wajarkan. 
MAT.4.22	Chhicapacha boteta tatancutawan sakerpayaspa, Jesuswan puriporkancu.
MAT.4.23	Jesús tucuy Galileanejpi purerkan, sinagoga wasicunapi yachachispa, Diospaj gobiernonmanta sumaj evangeliota willaspa. Alliyacherkantaj runacunata tucuy ima onkoycunamanta nanaycunamantawan. 
MAT.4.24	Chayraycu enteron Siria provinciapi parlarkancu Jesús atiyniyoj caskanta. Pusamorkancutaj tucuy ima onkoywan ñac'arejcunata, sajra espirituyojcunata, t'ucuyojcunata, such'ucunatawan; Jesustaj alliyacherkan.
MAT.4.25	Achqha runacuna Galileamanta, Decapolismanta, Jerusalenmanta, Judeamanta, Jordán mayu chimpamanta Jesusta katerkancu.
MAT.5.1	Jesús achqha runata ricuspa lomaman llojserkan. Tiyaycojtin, discipuloncuna payman chimpaycorkancu. 
MAT.5.2	Jesustaj yachachiyta kallarerkan nispa:
MAT.5.3	“Cusicuyniyojmi ‘Diosta necesitani, juchayoj cani’ nejcunaka. Paycunapaj Diospaj gobiernon canka.
MAT.5.4	“Cusicuyniyojmi juchancunamanta llaquiska cajcunaka. Dios paycunata cusichenka.
MAT.5.5	“Cusicuyniyojmi humilde sonkoyojcunaka. Dios paycunaman prometicuskan jallp'ata konka.
MAT.5.6	“Cusicuyniyojmi Diospaj niskanta ruwayta munajcunaka, yarekaska unumanta ch'aquiska jina. Dios yanapanka munaskancuta ruwanancupaj.
MAT.5.7	“Cusicuyniyojmi ujcunata qhuyapayajcunaka. Dios paycunata qhuyapayanka.
MAT.5.8	“Cusicuyniyojmi limpio sonkoyojcunaka. Paycuna Diosta riconkacu.
MAT.5.9	“Cusicuyniyojmi sonko tiyaycuchejcunaka. Paycuna Diospaj wawan cankacu.
MAT.5.10	“Cusicuyniyojmi Diospaj niskanman jina ruwaskancumanta ñac'arichiskacunaka. Paycunapaj Diospaj gobiernon canka.
MAT.5.11	“Cusicuyniyojmi canquichis, kancuna insultaska, chejniska, kancuna contra tucuy imata llullacuspa parlajtincu. 
MAT.5.12	Cusicuychis, contento caychis; janaj pachapi athun premiota jap'ekanquichis. Ajinallatataj Diosmanta willaj ñaupaj profetacunata chejnispa ñac'aricherkancu.
MAT.5.13	“Kancuna runacunapaj cachi jina canquichis. Ch'apajyawajchis chayri, ¿imaynatataj cachinchawajchis? Manaña sirviwajchischu; calleman wijch'uska cawajchis runacuna sarunanpaj.
MAT.5.14	“Kancuna runacunapaj c'anchaynin canquichis. Loma patapi ruwaska llajtaka mana pacaska cayta atinchu. 
MAT.5.15	Nillataj lamparata jap'ichispaka, cajonwan c'umpiycuncuchu; manachayri alto patapi churancu, wasipi tucuy cajcunata c'anchananpaj. 
MAT.5.16	Ajinallatataj kancunapas runacunapaj ñaupakenpi lámpara jina c'anchaychis. Paycunapas allin ruwaskayquichista ricuspa, janaj pachapi caj Tatayquichista alabanancupaj.
MAT.5.17	“Ama yuyaychischu Moisespaj leyninta profetacunapaj yachachiskantapas chincachej jamuskaytaka; manachayri tucuyninta junt'aj jamuni. 
MAT.5.18	Segurayquichis, janaj pacha cay pachapas tucucunancama, mana ni uj letrapas ni uj puntollapas leymanta chincankachu tucuynin junt'acunancama. 
MAT.5.19	Pillapas mana casucunmanchu juch'uycaj leyllatapas, ajinallatataj yachachinman chayka, Diospaj gobiernonpi sinchi juch'uy canka. Pillapas casucojka ajinallatataj yachachejka, Diospaj gobiernonpi athunyachiska canka. 
MAT.5.20	Niyquichis, leymanta yachachejcunamanta fariseocunamantawan nejtin Diosta mana astawan sumajta casucunquichischu chayka, Diospaj gobiernonman mana yaycunquichischu.
MAT.5.21	“Kancuna uyarerkanquichis abueloyquichiscunaman niskata: ‘Ama wañuchinquichu. Pillapas wañuchejka juchachaska canka.’ 
MAT.5.22	Nokataj niyquichis, pillapas wauken contra phiñacojka, juchachaska canka. Pichus waukenta insultajpas, Athun Asambleapi juchachaska canka. Pichus sinchita phiñaricuspa, waukenta ‘sonso’ ninman chayka, nina lauray infiernopi castigaska canka.
MAT.5.23	“Altarman ofrendayquita apaspa waukeyquita ofendiskayquita yuyariwaj chayka, 
MAT.5.24	altarpaj ñaupakenpi ofrendayquita sakespa, cutiriy, waukeyquiwanraj allinyacuy. Chaymanta cutimuspataj, ofrendayquita Diosman koy.
MAT.5.25	“Pipas juchayquimanta demandaspa juezman apachichcasunquiman chayka, ñanpi purichcaspallaraj paywan allinyacuy, ama autoridadman entreganasunquipaj. Mana jina cajtenka, autoridadka guardianwan carcelman wisk'achisunqui. 
MAT.5.26	Segurayqui, carcelmanta mana llojsinquichu, lliujta paganayquicama.
MAT.5.27	“Kancuna uyarerkanquichis cay ñaupaj niskata: ‘Ama adulterio juchata ruwanquichu.’ 
MAT.5.28	Nokataj niyquichis, pillapas uj warmita munapayan chayka, ñapas sonkonpi adulterio juchata ruwanña.
MAT.5.29	“Ajina ari, paña lado ñawiyqui juchaman urmachejtenka, orkhospa wijch'uy. Allinmi ujnin partella cuerpoyquimanta chincananka, tucuy cuerpoyqui infiernoman wijch'uska canantapachaka. 
MAT.5.30	Ajinallatataj, paña maquiyqui juchaman urmachejtenka, p'atakaska wijch'uy. Allinmi ujnin partella cuerpoyquimanta chincananka, tucuy cuerpoyqui infiernoman wijch'uska canantapachaka.
MAT.5.31	“Ñaupajta nillarkancutaj: ‘Pillapas warminmanta divorciacojka, divorcio papelta kochun.’ 
MAT.5.32	Nokataj niyquichis, adulterio juchapi mana cachcajtin, pillapas warminmanta divorciacojka warminta adulterio juchaman urmachinman. Divorciaska warmiwan casaracojka adulterio juchata ruwallantaj.
MAT.5.33	“Uyarillarkanquichistaj cay ñaupaj niskata: ‘Juramentowan Diosman prometicuskayquichista junt'anayquichis.’ 
MAT.5.34	Nokataj niyquichis, amapuni juranquichischu janaj pacharaycu, chayka Diospaj tronon; 
MAT.5.35	ni cay pacharaycupas, chayka Diospajta; nitaj Jerusalenraycupas, chayka athun Reypaj llajtan; 
MAT.5.36	nillataj umayquichisraycupas, imaraycuchus mana atiwajchischu uj chujchallayquichistapas yurajman ni yanaman tucuchiyta. 
MAT.5.37	Verdad cajtenka, ‘arí’ ninayquichis. Mana verdad cajtintaj, ‘mana’ ninayquichis. Chayman yapajtiyquichiska, mana allinchu.
MAT.5.38	“Cay ñaupaj niskata uyarerkanquichis: ‘Ñawimanta ñawita, quirumanta quiruta.’ 
MAT.5.39	Nokataj niyquichis, sajra runawanka ama vengacuychischu. Paña lado uyayquipi t'ajllejtenka, uj lado uyayquita kollaytaj. 
MAT.5.40	Pipas quejasunquiman p'achayquita kechunasunquipaj chayka, sacoyquitawan kopuy. 
MAT.5.41	Pillapas uj kilometrota k'epinta apachisunquiman chayka, iscay kilometrota apapuy. 
MAT.5.42	Pillapas mañacojmanka koy; “ayniriway” nejmantaj, ama “mana” niychu.
MAT.5.43	“Cay ñaupaj niskata uyarillarkanquichistaj: ‘Amigoyquita munacuy, chejnicojniyquitataj chejniy.’ 
MAT.5.44	Nokataj niyquichis, enemigoyquichiscunata munacuychis. Maldicicojcunata bendiciychis; chejnicojcunatapas allin cajta ruwaychis. Ñac'arichicojcunapaj Diosmanta mañapuychis oracionpi. 
MAT.5.45	Ajinata ruwaspaka, janaj pachapi cachcaj Tatayquichispaj wawan caskayquichista ricuchichcanquichis. Payka sajra runapaj allin runapajpas intita c'anchachimun. Ajinallatataj parachimun tucuypaj, allin runapaj sajra runapajpas. 
MAT.5.46	Kancuna munacojcunallata munacuwajchis chayri, ¿imatataj Diosmanta jap'ekawajchisri? ¿Manachu juchasapacunapas quiquillantataj ruwancu? 
MAT.5.47	Waukeyquichiscunallata saludawajchis chayri, ¿ima allintataj ruwawajchisri? ¿Manachu waj dios adorajcunapas quiquillantataj ruwancu? 
MAT.5.48	Sumaj cabal mana juchachana jina caychis, janaj pachapi caj Tatayquichis cabal mana juchachana jina ajinata.
MAT.6.1	“Religionniyquichis ama runapaj ricunallanta ruwanquichischu. Jinata ruwanquichis chayka, janaj pachapi caj Tatayquichis mana ni imata kosunquichischu.
MAT.6.2	“Necesitajcunaman yanapanquichis chayka, ama tucuy runacunaman willaracunquichischu iscay uya runacuna jinaka. Paycunaka sinagoga wasicunapi callecunapipas jinata ruwancu, paycunamanta allinta parlanancupaj. Segurayquichis, Diosmanta mana imatapas jap'ekankacuchu. 
MAT.6.3	Necesitajcunaman yanapaspaka, ama ni piman willanquichu ni sinchi amigoyquimanpas. 
MAT.6.4	Ch'inllamanta ruway. Chhicataj tucuy ruwaskayquita ricoj Tatayqui premioyquita kosunqui.
MAT.6.5	“Oracionta ruwaspaka ama iscay uya runacuna jinallaka ruwanquichischu. Paycunaka sinagoga wasicunapi plaza esquinacunapi sayaycuspa, oracionta ruwancu runa ricunallanpaj. Segurayquichis, Diosmanta mana imatapas jap'ekankacuchu. 
MAT.6.6	Kancajtaj, Diosman oracionta ruwanayquipajka, wasiyquiman yaycuy; puncuyquita wisk'aycuspa, sapayqui kanwan cachcaj Tatayquiman oracionta ruway. Pacapi ruwaskayqui oracionta uyarej Tatayquitaj sut'inta kosunqui.
MAT.6.7	“Diosman oracionta ruwaspaka, ama achqha palabrata cutirispa cutirispa parlanquichu verdadero Diosta mana rejsej runa jinaka. Paycunaka pensancu achqha parlaskancuwan Dioswan uyarichicuyta. 
MAT.6.8	Kancunaka ama paycuna jina ruwanquichischu, imaraycuchus Dios Tatayquichiska necesitaskayquichiscunata yachanña, manaraj mañachcajtiyquichis. 
MAT.6.9	Kancunaka cay jinata oracionta ruwaychis:
MAT.6.9	‘Janaj pachapi cachcaj Tataycu, sutiyqui
MAT.6.9	yupaychaska cachun.
MAT.6.10	Gobiernoyqui jamuchun; munayniyqui ruwaska
MAT.6.10	cachun, imaynatachus janaj pachapi,
MAT.6.10	ajinallatataj cay pachapipas.
MAT.6.11	Sapa p'unchaypaj t'antaycuta cunan kowaycu.
MAT.6.12	Juchaycuta perdonawaycu,
MAT.6.12	imaynatachus nokaycu contra
MAT.6.12	juchallicojtapas perdonaycu jinata.
MAT.6.13	Ama tentacionman urmachiwaycuchu,
MAT.6.13	astawanpas tucuy mana allincunamanta librawaycu.
MAT.6.13	Kanpajta gobiernoyqui, tucuy atiyniyqui,
MAT.6.13	tucuy gloriayquipas wiñaypaj wiñayninpaj.
MAT.6.13	Ajina cachun.’
MAT.6.14	“Kancuna contra juchallicojcunata perdonanquichis chayka, janaj pachapi caj Tatayquichis kancunatapas perdonallasunquichistaj. 
MAT.6.15	Mana perdonanquichis chayka, Dios Tatayquichis manallataj juchayquichiscunata perdonasunquichischu.
MAT.6.16	“Ayunaspaka ama llaquiska uya caychischu, iscay uya runacuna jinaka. Paycunaka llaquiska uyancuta ricuchicuncu, runacuna ayunaskancuta yachanancupaj. Segurayquichis, runapaj alabaskallanta jap'ekankacu. 
MAT.6.17	Kancajtaj, ayunaspaka uyayquita uphacuy, allinta jallch'acuy, 
MAT.6.18	runacuna ayunaskayquita ama reparanancupaj. Kanwan cachcaj Dios Tatallayqui ayunaskayquita yachanka, paytaj premioyquita kosunqui.
MAT.6.19	“Ama cay pachapi khapajyaychischu. Caypeka thuta miqhun, tucuy ima khorwarin, suwapas suwan. 
MAT.6.20	Astawanka janaj pachapi tantaychis khapaj canayquichispaj. Chaypeka mana thuta miqhunchu, ni ima khorwarinchu, nitaj pipas suwanchu. 
MAT.6.21	Maypichus khapaj cayniyquichis cachcan, chayllapitaj sonkoyquichispas cachcan.
MAT.6.22	“Ñawiyquichis c'anchay jina cuerpoyquichispaj. Ñawiyquichis allin cajtin, tucuy cuerpoyquichis c'anchayniyoj canka. 
MAT.6.23	Mana allin cajtenka, tucuy cuerpoyquichis tutayajpi canka. Chay kanpi caj c'anchay tutayapojtenka, ¡imayna yana tutayajrajchá canka mana creej sonkoyquipeka!
MAT.6.24	“Iscay patronta mana pipas sirviyta atinmanchu, imaraycuchus ujninta chejnenka, ujnintataj munaconka. Ujcajman junt'anka, ujcajmantataj ni ima importankachu. Mana aticunchu Diosta kolketawan sirvinaka.
MAT.6.25	“Cayta niyquichis, causanayquichismanta, miqhunayquichismanta, ujyanayquichismanta, p'achallicunayquichismantapiwan ama llaquicuychischu. Causayka astawan valin miqhunamanta nejtenka, cuerpopas p'achamanta nejtenka. 
MAT.6.26	Khawariychis, jalaycachaj pisketocuna mana tarpuncuchu nitaj ajthapincuchu, ni trojepi tantancuchu. Chaywanpas janaj pachapi caj Dios Tatayquichis miqhunata kon. Kancunaka astawan valinquichis pisketocunamanta nejtenka. 
MAT.6.27	Kancuna sinchita afanacuspari, ¿atiwajchischu cusca metrollatapas yapacuyta alto canayquichispaj?
MAT.6.28	“¿Imaraycutaj p'achamanta llaquicunquichis? Khawariychis campopi t'icacunapaj wiñaskanta. Mana llanc'ancuchu, nitaj phuchcancuchu. 
MAT.6.29	Chaywanpas niyquichis, Salomonpas tucuy khapaj cayninwan manapuni ujnin t'ica jinallapas p'achallicorkanchu. 
MAT.6.30	Kora cunan wiñachcan, pakarintaj ruphachiska canka. Sichus Dios koratapas sumajta p'achallin chayka, ¡astawanraj kancunacajtaka p'achallisunquichis, pisi creeyniyoj runacuna! 
MAT.6.31	Chayraycu ama llaquicuychischu, ‘¿imatataj miqhusaj, ujyasaj, p'achallicusaj?’ nispa. 
MAT.6.32	Diospi mana creejcuna tucuy caycunamantaka afanacuncu. Kancunapajka can uj Tatayquichis, payka ima necesitaskayquichista yachanña. 
MAT.6.33	Ñaupajtaka Diospaj gobiernonpi afanacuychis, paypaj munaskanta ruwaspa. Chhicataj tucuy ima necesitaskayquichista Diosmanta jap'ekanquichis yapaskata. 
MAT.6.34	Ama llaquicuychischu pakarin p'unchaymantaka. Pakarenka waj llaquicuycunata apamonka. Sapa p'unchay imaymana llaquicuycunata apamun.
MAT.7.1	“Ama ujcunata juchachaychischu, Dios kancunata mana juchachanasunquichispaj. 
