LUK.1.1	Kän mange käsäkädä dackä ngakä wexeki kasogäning na kä'desesäning tä warogkang tä räbäne kä'day, 
LUK.2.16	Na sägä'docco tetex sa'doxa Mariyom na Yusif na pipi sägäsänggasa tä kuburicci säziye male tängang. 
LUK.2.17	Kala sägox pipi, na saser ngaki saläpa täsa tä ngakä piping, 
LUK.2.18	na känggi kä'day kädängang käsaydä aga tä ngaki menggä megäs kalegeyang. 
LUK.2.19	Yä Mariyom kameskäde ngaki kä'day tä mägaxse ndä cägäre tä mägaxsäce ka ngakong key.
LUK.2.20	Na kala menggä megäs kämele, dädäxti Kaläg tä ngaki kä'day sägädäng na sägoxang, xa nga kä'day ka'das ngaki saläpe täsang.
LUK.2.21	Tä sänggi tespedespeng, salu ma na sadogas agäma ka Yasuwa, agi malayika kadogas musku cägoxsonga täma songang.
LUK.2.22	Ani Mariyom kä'desenäs sänggä iyekeneng, tä bangä asiriyenä Musa, Yusif na Mariyom kagoying Yasuwa tä Ursalim ndey sädogas ma tä Kaläg 
LUK.2.23	ka'das ngaki gärekärejeyno ta asiriyenä Kalägkang, ka “Pipugi siyedäng tä zälägkang näs enggä apangasang sädoga kä'day tagä Kaläg”, 
LUK.2.24	ndey sädämze ka'das legeygi asiriyenä Kaläg kangatang, ka sädoga enggä kurugä pa pädax na cong näs kurugä kaxsetang sädoga pädax.
LUK.2.25	Ndä gang 'doxtiyandäng tä Ursalim säbangäs Simiyan apangza lelexang ndä kamen ngakä Kaläg ndä bene käxa xonyo Israyil. Ligidä Kalägkandäng täma. 
LUK.2.26	Ligidä Kaläg kaläpe täma ka mäxse song basa ka mox Almasini Bazuwec Kaläg kayaxsängang. 
LUK.2.27	Na Ligidä Kaläg koyo Simiyan na mawung taxä tämed tä Kaläg, mändey Yusif na Mariyom kagoying päxä pipi Yasuwa ndey ka säsog tanyara täng tä bangä asiriye, 
LUK.2.28	na Simiyan käpokä ma tä asängge ndä log Kaläg ngade ka,
LUK.2.29	“Gang, tä bangä ngadagkägi gi Kalägi ngondeyang, mene andang 'daki me wexiccägi 'doc na modey.
LUK.2.30	Xa agang kox me 'dagkicci
LUK.2.31	käbolasa tagä kän kä'dayang.
LUK.2.32	Mangang mäs banyiccang,
LUK.2.32	ndey gi Kaläg, lapasäwa tä känggi näs Yaxudiny songang,
LUK.2.32	na dädäxtic tä känggägi menggä Israyil.”
LUK.2.33	Na todi Yusif na Mariyom käpegse tä ngaki kalegeyno ta päxäsang. 
LUK.2.34	Simiyan kapes sa. Na ngade ta bosa Mariyom ka, “Ndelde wunggugo appoyo! Kaläg kalebäng päxä pipinong ndä mang mäsogo telänad na ngäsakä kän mange tä Israyil na mälayis bolicci kän saxeng. 
LUK.2.35	Ndä nästire, mäganygä kän mange lapetäsäno tä bangä wexekäma ndä gining tä ngasägi, mägaxsägi 'dudowa!”
LUK.2.36	Mändey me logeyandäng näs ux säbangäs Xana päxä pe Fanawil tä caxsä wayakä Asir. Ce caboxsä na'do, sabagäning na yoxuce sägäcuccu tä jendäg paxtänding basa xäskäma. 
LUK.2.37	Na cäguccu tä mandurtug tä jendäg udiny tesped wang tesped (84). Ndä casäja axä tämed tä Kaläg song, cädukuru na uxkud tä ngasäce ndä cäpalacca ongud na säxe kä'day.
LUK.2.38	Na tänya xonggondi, cawung täsa na cadeb logakä Kaläg ndä cälege ngakä pipi tä menggä Yaxudinygi kä'day bene tegic tä Ursalimang.
LUK.2.39	Na kala Yusif na Mariyom kä'dese nga kä'day tä bangä asiriyenä Kaläg, na sägämele tä Nasra tä cabärä Calil. 
LUK.2.40	Na päxä pipi ka'donga ndä kalay pädäg, käpäsäwa na lelertäg ndä payiccä Kalägkang na ma.
LUK.2.41	Me Yasuwanag na bosa 'docco tä Ursalim jenijeni tä Pärkid
LUK.2.42	Ani jendägkä Yasuwa käcogäs asiny wang pädaxang, sägä'docco tiyati tä Ursalim na bangä adi. 
LUK.2.43	Sägä'docco sägä'dese Pärkid na tä melgäsa tä pa, päxä celic Yasuwa kalay tong tä Ursalim. Ndä mesa na bosa yex song. 
LUK.2.44	Sa säcuccu ka mandäng na känggi säwedeccä nangang, sägäcogu sängädi nuxungang, na sägä'docco sämänecce sänyame ma tä warä wayakäsa na biskodagäsa. 
LUK.2.45	Ndä sa'doxas ma song na sägämele tä Ursalim tä nyam.
LUK.2.46	Tä sänggi kodos tä bangeneng, sa'doxas ma taxä tämed tä Kaläg, tä kaxsä kal. Mägäcca tä pidänä balduwiny, mädelde wunduma täsa ndä mämäne sa. 
LUK.2.47	Na känggi kä'day kädäng legeygä Yasuwang, kädongo tä yerändägkäma na bucuku nga ta menggä bäldey. 
LUK.2.48	Mesa na bosa kox ma na wadäka koyo na bosa ngade täma ka, “Päxang, wi siye gi käsogkuwa täwas mänang? Lala, menggo na agänang wanyamedig owdugi paccey.”
LUK.2.49	Na mägämele täsa ka, “Wi siye anggo nyamadang owdangang? Anggo 'diyang ka pang Appanang nyaza anycu tängang?”
LUK.2.50	Ndä musku kax menggäsa kabäle ngakäma täsa song. 
LUK.2.51	Na sacoccoleza sägämelese tä Nasra ndä mädede nga täsa. Ndä bosa meskede ngaki kasoguningang kä'day tä mägaxse.
LUK.2.52	Ndä Yasuwa 'dongada na lelertägke, ndä Kaläg na kän paye ma.
LUK.3.1	Tä jendägki asiny wang mädägkang tä butugku Tapariyos Kaysar, ndä Pälatis Alpondi buguningzä Yaxudiya. Xirudus bazuweccang tä Calil, na päxä bosa Filipus päxä bazuweccang tä cabärä Itoriya na Taruxontis. Yä Lisaniyus bazuweccang tä Apäliya.
LUK.3.2	Legeygä Kaläg kawuno ta Yoxana päxä pe Zakariya tä pumpung ani Xanas na Kiyafa, seley layis ngotorpugu menggä tämed tä Kalägkang. 
LUK.3.3	Na mägä'doc tä Colonggonä Urdun kä'day, mäduwale ngakä xajkä kän tä ngaka tasiny, na pac tä ma. Ndey Kaläg cay ngaka tasinygäsa xa sägäxaje.
LUK.3.4	Ka'das ani gärekärejesawa tä sorunu legeygä me logey Isayang,
LUK.3.4	“Ndänge ngasawan logacca tä pumpung ka,
LUK.3.4	‘Weye akäsog tä Bazuweccog,
LUK.3.4	ndokala akäsog täma.
LUK.3.5	Ko'dota kä'day 'docco päseccä,
LUK.3.5	cabärta na enggä cobocoboriny mäxotusuno,
LUK.3.5	na akäsogi kagolopewang dokol,
LUK.3.5	na sogi ngudungudulang zäräzirigiwa,
LUK.3.6	ndey kän kä'day laley xonyakä Kaläg.’”
LUK.3.7	Na Yoxana ngade tä xä'däni kawuno tä paccang ka, “Ama caxsä enggä tämong! Xänang kädaxä anggo ka mpexkeng zängaygä Kaläg tanggong? 
LUK.3.8	Ndä gang läpäning 'dogi lapedäng ka anggo kälayisang kängga kämele tä Kalägkang. Ndakä layisang kängga bangada Apraxim tä ngastängga ka menanang. Ndakä ngadang ka, ‘ 'Doga siyewa tä kogkandäng song.’ Agänang aläpedäng tanggo ka Kaläg nguso nganyugong teyis pipu ta Apraxim! 
LUK.3.9	Seley ganang kompa käcicilisuwa tä mäxkä ewe ndä eti iyedäng engge apoccu songang säluwutäsa täzäg ndä sägawa tä mas.”
LUK.3.10	Na xä'dä kamän ma ka, “Neng gang wasogig wi?” 
LUK.3.11	Yoxana kabuc täsa ka, “Käxa tandu täng pädaxang larä na käxi ne wundungang ndä käxa siyake tängang sog mänang.”
LUK.3.12	Menggä yawgä tuluba mändey kawuno tä pac tä ma na mäne ma ka, “Me bäldic, yä wasogig wi?” 
LUK.3.13	Na maläpe täsa ka, “Ndakä yawadang weg mangeccä tä wegki saläpäng tanggong.”
LUK.3.14	Ndä kulung asägaru mändey kamän ma ka, “Yä was, wasogig wi?” Na maläpe ka, “Ndakä bagkadang weg tä kän na rejic mändey na celdug, gixi maxiye na 'dogi sädogodäng tanggong.”
LUK.3.15	Na todi kän wadäka kalaye tidiny xa satäng bene Almasi, na soxo ka Yoxanang näs Almasi. 
LUK.3.16	Yoxana kabuc täsa kä'daygäsa ka, “Agä anäs käxa pacce anggo tä ma winy, yä kigkandäng wunodung ndä panggudugke mo'do kanggä. Agänang anäs käxa ulidi käbadage song. Ndä ma mäwunodung mägodung Ligidä Kaläg tanggo na mas. 
LUK.3.17	Ndä adalandäng ta andäma ndey mexenäs nyada täpox yä mädoga kuny tä curunuma, yä nyada mädunyu na masa paxewa song.”
LUK.3.18	Ndä ta akäsogong na pagad mange, Yoxana kalogey yaxsäwecci apo lege ngakä Kalägkang. 
LUK.3.19	Ndä ani Yoxana kä'dedeyis Xirudus tä ngakä batakä uxä päxä bosani säbangäs Xirudiya na wexeki mändey mawex tasiny kä'day, 
LUK.3.20	Xirudus kasog 'doga tas mändey. Madene Yoxana tä ax.
LUK.3.21	Kän kä'day käpacäning tä ma, na Yasuwa mändey kawung sägäpaccä. Ani mäpalaccanäsäng tiyati kalengesäwa, 
LUK.3.22	na Ligidä Kaläg kacoccoleza täma oxowa ka'das kuruwic na legey käpätäsäng tiyati ngadeccä ka, “Giningang nuxundugkägi näs penanggi ampaye ngakeneng. Xa ngakägi kasog wanang tiding.”
LUK.3.23	Ani Yasuwa kadebäs wexekeneng, satäma jendäg ud wang asiny. Ndä kän oxo ka mäs päxä pe Yusif,
LUK.3.23	päxä pe Xali, 
LUK.3.24	päxä pe Matad,
LUK.3.24	päxä pe Lawi, päxä pe Malki,
LUK.3.24	päxä pe Yuna, päxä pe Yusif,
LUK.3.25	päxä pe Matäsaya, päxä pe Amus,
LUK.3.25	päxä pe Naxum, päxä pe Xasäli,
LUK.3.25	päxä pe Nacayi, 
LUK.3.26	päxä pe Mas,
LUK.3.26	päxä pe Matäsaya, päxä pe Samayin,
LUK.3.26	päxä pe Yusic, päxä pe Goda,
LUK.3.27	päxä pe Yoxanan, päxä pe Resa,
LUK.3.27	päxä pe Zaräpapil, päxä pe Saltil,
LUK.3.27	päxä pe Niri, 
LUK.3.28	päxä pe Malki,
LUK.3.28	päxä pe Adi, päxä pe Gäsim,
LUK.3.28	päxä pe Almadam, päxä pe Ir,
LUK.3.29	päxä pe Gesuwa, päxä pe Aläyasär,
LUK.3.29	päxä pe Yoram, päxä pe Matad,
LUK.3.29	päxä pe Lawi, 
LUK.3.30	päxä pe Simiyan,
LUK.3.30	päxä pe Yaxuza, päxä pe Yusif,
LUK.3.30	päxä pe Gonam, päxä pe Aliyakim,
LUK.3.31	päxä pe Maliya, päxä pe Minan,
LUK.3.31	päxä pe Matada, päxä pe Nasan,
LUK.3.31	päxä pe Dawud, 
LUK.3.32	päxä pe Yasa,
LUK.3.32	päxä pe Oped, päxä pe Pos,
LUK.3.32	päxä pe Sala, päxä pe Naxsun,
LUK.3.33	päxä pe Aminadip, päxä pe Adämin,
LUK.3.33	päxä pe Arni, päxä pe Xasrun,
LUK.3.33	päxä pe Faris, päxä pe Yaxuza,
LUK.3.34	päxä pe Yaxup, päxä pe Isxag,
LUK.3.34	päxä pe Apraxim, päxä pe Tarex,
LUK.3.34	päxä pe Naxur, 
LUK.3.35	päxä pe Suruc,
LUK.3.35	päxä pe Raw, päxä pe Falic,
LUK.3.35	päxä pe Apir, päxä pe Sela,
LUK.3.36	päxä pe Kayinan, päxä pe Arfagäsad,
LUK.3.36	päxä pe Sam, päxä pe Nox,
LUK.3.36	päxä pe Lamag, 
LUK.3.37	päxä pe Mätäsalex,
LUK.3.37	päxä pe Anax, päxä pe Yarad,
LUK.3.37	päxä pe Maxalil, päxä pe Kinan,
LUK.3.38	päxä pe Anos, päxä pe Sed,
LUK.3.38	päxä pe Adam, päxä pe Kaläg.
LUK.4.1	Ndä nyägäligä Yasuwa na Ligidä Kaläg, mägämel na Colonggonä Urdun, Ligidä Kaläg kagoying ma tä pumpung. 
LUK.4.2	Däniye käläbä ma tä sängga udiny pädax. 'Doga masi wundung tä sänggi, ani sänggi kä'desesänonusang ma magä'di na'do. 
LUK.4.3	Na Däniye ngade täma ka, “Näs Päxä Kaläg seleyang, lapi tä ngayiccong layis zäx.” 
LUK.4.4	Yasuwa kabuc ka, “Gärekärejesawa tä Sorunu Kaläg ka, ‘Siyatag tol naye käxa julang song.’”
LUK.4.5	Na Däniye kabag ma tä ke'dengge'demes ndä banye ow na gertä bugundugku walangiccä täzäg kä'day täma. 
LUK.4.6	Na Däniye läpadas ta Yasuwa ka, “Adogodung bugundugkong kä'day tä andägi na tädäxtägki wedetese nangang, xa sadogung panggudug tä andang ndä adogada tä käxi ampayeng. 
LUK.4.7	Ndä känox kundukurusa käpaley agängang, wekong kä'day känggig.” 
LUK.4.8	Yasuwa kabuc ka, “Gärekärejesawa ka, ‘Dukurusa pala Kalägägi na wexe ngake tol.’”
LUK.4.9	Däniye kabag Yasuwa tä Ursalim, na kädokalasa ma tiyati täzä ndandangzä axä tämed tä Kaläg, na ngade täma ka, “Känox näs Päxä Kaläg seleyang, xudiwa täzäg todong. 
LUK.4.10	Xa gärekärejesawa ka,
LUK.4.10	“‘Kaläg yaxsedäng malayikadage tägi
LUK.4.10	ndey meskädä gi,’
LUK.4.11	‘muso gi ta asängga wange gi
LUK.4.11	ndey ka 'dingäsa exenägi tä ngayic song.’”
LUK.4.12	Na Yasuwa kabuc ka, “Sorunu Kaläg ngade ka, ‘Ndakä läbä Bazuwec Kalägägi song.’” 
LUK.4.13	Na todi Däniye kä'dese läbke bägälic, na kala kawangasa ma basa xongoda.
LUK.4.14	Yasuwa käligäwa na panggudugku Ligidä Kaläg, na kämel tä Calil, na todi lulungudäma kuduwalewa kä'day tä kaxsä cabär. 
LUK.4.15	Na madeb bäldey tä axinygä palicinygä Yaxudiny na kän kä'day kädädäxti ma.
LUK.4.16	Ndä kala gang Yasuwa kawung tä Nasra, tä owdi ma'donga tängang, na mägä'doc maläs axä paliccä Yaxudiny tä xongondu Sapid, xa nyang näs tanyara tämang. Mangäsa tiyati tä geney, 
LUK.4.17	na sadogas sorunu me logey Isaya täma. Na malenge soru ma'doxa owdi gärekärejesawa ka,
LUK.4.18	“Ligidä Bazuwec Kalägkandäng na agä,
LUK.4.18	xa nya nyaseny agä
LUK.4.18	ka agä anduwaley yaxsäweccä nyani apong tä menggä wiy.
LUK.4.18	Ndä nya nyayaxsä agä ka agä anduwale 'dagkic tä känggi kacikiliningang
LUK.4.18	na ndey ngojony zayza,
LUK.4.18	na känggi sägäcäläxtiyang sä'daka,
LUK.4.19	ka agä anduwale jendä agä waydagä Bazuwec tä kän.”
LUK.4.20	Na kala mägäräkä Sorunu Kaläg na madoga tä käxi kamen wexetang na mägäcca. Na Känggi kä'day tä axä paliccä Yaxudinyang kamende aga täma. 
LUK.4.21	Na Yasuwa käbäldeyza läpede täsa ka, “Ngakä Kalägong kändängeng genewang, xongondong kalayenäs wega.”
LUK.4.22	Na kala kä'daykäsa salegeyze appoyo tä ngakä Yasuwa, na sa'dämdes legeygi tidiny käptäzäng ikämang. Na sängadeccä ka, “Yä 'doxtong de päxä pe Yusifang?”
LUK.4.23	Yasuwa ngade täsa ka, “Nästire anggo zeredeng ngakong tagä ka, ‘Wanga tumarajuwic, däxä ngase!’ na kämpayang tagä ka, ‘ 'Dogi kandängig ka gi käsog tä cabärä Kafärnaxumang, soga todong tä cabärägi mändey.’”
LUK.4.24	Na mapos legey ka, “Aläpedäng zänggä nga tanggo ka, me logeyandäng sägixidi tä cabäre song. 
