MAT.1.1	SIN AK'SIN Jesus Christ David okkuai' Abraham okkuai' un'ix o sĭnaks' oaiĕxĕsts. 
MAT.2.11	Ki otaitsipĭs'sau nap'ioyĭs, Mary oksis'tsi ipĭnnu'yiauaie pokai'ĭsk, ki ĭnnĭssi'iau, ki itatsĭm'mĭmmiau: ki otaipasuk'ĭnĭssauĕsts otakomŭtskotuksuauĕsts, ĭssak'okotsiauaie gold ki frankincense ki myrrh. 
MAT.2.12	Ap'ĭstotokiuă papaukŏkianĭstcsax mŏkstaiskĭto'tosau, noke'tsi moksokui itŭp'akaiiau. 
MAT.2.13	Ki otau'mattosau, satsĭk, Ap'ĭstotokiuă sto'tokatatscs papauta'atsiuaie Joseph, an'ĭsitouaie, Nipuat', ki mattos'au pokau' ki oksĭs'tsi ki ikŭm'itappoat Egypt, ki stau'pit ki kĭtak'otŭmanĭsto; tŭk'kă, Herod ai'akapsŭmmiuaie inŭk'sipokau mŏks'enitŏsaie. 
MAT.2.14	Otai'puawksi, sepiai'akotuyiuax inŭk'sipokau ki oksĭs'tsi ki Egypt itŭp'itappoiau: 
MAT.2.15	Ki itau'piuaie otai'ĭnsaie Herod, mŏksenŭp'anĭstosi Ap'ĭstotokiuă otse'poawsĭn, otsiprophet i totsi'uaie, Egypt, ŭn'nimaie nitsĭt' ŭtŭmmau noko'a. 
MAT.2.16	Herod, otai'noŏsax mokŏk'ietappix otap'apĭstotoyĭsax, eks'kaiĭstsetŭkkiu, ki itŭp'otokŏttsiuax (otsen'nakemix) Bethlehem ki sa'akapotsim, ai'stokistuyimix sŏk'umappix ikŏn'ainĭttsiauax; kŭttaistoki'stuyimix sŏk'umappix mat'okŏnainittsiauax, umut'otsksĭnippi otsokap'sŭppoŏtsesattŭsax mokŏk'ietappix. 
MAT.2.17	Itŭm'enŭpanĭstomaie Jeremy prophet otse'poawsĭn otan'ipi, 
MAT.2.18	Epo'awsĭnni itsĭk'kitokhtsip Rama, asain'sĭnni ki aiĭm'motseisĭnni ki omŭkoyesĭnni, Rachel o'kosix itau'asŭniu ki matokuikiawpĭketŭkkiu'ats, tŭkkă, itsen'iau. 
MAT.2.19	Herod otse'ĭnsi, sat'sĭk, Ap'istotokiuă oto'tokatatsĭs Joseph otsipapau'takaie, Egypt otsitai'tappiisaie. 
MAT.2.20	An'ĭstsiuaie, Nipuat'ki mattos'au inŭk'sipokau ki oksĭs'tsi, ki itŭp'itappoat Israel istau'ŏsĭnĭm; tŭk'kă ini'au anniks'isk ap'ŭssummiiskaie otsipai'tappiisĭnni. 
MAT.2.21	Ki itsipuau ki aiako'tuyiuax pokau'a ki o ksĭs'tsi, ki Israel ĭstauŏsĭn'im ito'to. 
MAT.2.22	Ki otokh'tsĭssi Archelaus otau'atsuaiitsitapai'naiisi un'ni otsĭn'naiisĭnni, ĭsstŭn'ĭmaie mŏk'ĭttapposaie; ki Ap'ĭstotokiuă otsipapauanĭstosaie, Galilee itanĭs'tŭpitappo: 
MAT.2.23	Ki akapioyis, Nazareth anĭstau, ito'to kiitoko'yiu; mŏkenŭpanĭstosaie prophetix otan'iipiax, akanĭstai'nikŏttau Nazaren'aikuŭn.
MAT.3.1	ANNISTS'ISK ksĭstsiku'ĭstsk John Baptist ito'to Judæa istoksĭs'tapiksŏkkui, itŭs'-ksĭnimatstokiu, 
MAT.3.2	Ki an'iu sauai'tsitak, spots'im ĭstsĭn'naiisĭnni aststsiu'. 
MAT.3.3	Am'auk annŏk' matap'piuŏk Isaiah prophet an'iu Nitsităppiuă ksĭstapitauosĭnim sokse'puyiu, Sŭppoatsĭstotokh'sattoat Nin'a oksokui, oksoku'ĭsts mokŏm'otstsĭsests. 
MAT.3.4	Ki John, Camel oku'yĭsts, itsĭs'totosiu, ki ĭstsikŏp'okui itsep'siu; ki otso'ŏssĭnĕsts tsikatsix ki namap'iniu. 
MAT.3.5	Jerusalem istokŏnai'tappix otokŏnitota'akax, ki Judæa ĭstokŏnai'tappix, ki Jordan ĭstauŏssĭn'im ĭstokŏnai'tappix mat'okŏnitautaakax. 
MAT.3.6	Ki nie'tŭktai Jordan (an'istop), otsĭt'ŭstapinopiax, ki otsauum'itsitappiisuĕsts aiinŭp'anĭstomiauĕsts. 
MAT.3.7	Ki otsinno'ŏssax otas'taaiĭssax akai'tappiiax Pharisees ki Saducees, otsittŭp'auauŏkŏssax otsĭtŭsta'pĭnŭkipi, an'ĭstsiuax, Pĭtseksĭnau'kosix, tŭkka' kĭtan'ikoau kŏkanĭstŭpĭstŭpiksatossuai annik' ĭstse'tŭksĭnik astai'tsiik? 
MAT.3.8	Ai'sŭsksattok matsiĭn'ĭsts mŏk'itanĭstosi kĭtsauai'tsitani: 
MAT.3.9	Pini'tsitsiikasik kĭtsitsi' tanauĕsts kok'kĭtŭnĭssuai Kĭn'un Abrahami; kitan'ĭstopuau Ap'ĭstotokiua, am'oxim okotokix ikotsĭstauatomoaiau Abraham pokax. 
MAT.3.10	Kiannok' kŏts'eksĭsts kaxa'kin itsipo'toau: kŏnai'ĭstsĭs saiĭnasĭssi ak'aikakiaiau ki ak'aututsaiau. 
MAT.3.11	Okke' kimut'sĭtŭstapĭnopuau kŏkkĭtsisauai'tsitasuai: apatots'ĭk annŏk' ai'aksakootoŏk aiĭs'skunitapsiu, nimatsĭkŏkokotopa'tomoauats matsikĭsts': Ostoi' kimutak'ĭstapĭnokoau Atsĭm'istaaw ki ĭs'tsi: 
MAT.3.12	Ose'kotŭkkiatsĭs ai'ĭnĭmaie, kiaupŭx'ĭxtoxixi otsĭt'aisuisuitsipĭk'iakipi aiaksokapse'maie, osos'tsipĭkiapioyĭs aiakitsĭptsĭpotomĕsts otapaiĕn'ĭnsĭmmanĭsts; ki ĭstotox'ksiĭsts ĭstsi'i matakatsiu'ats ai'aketsĭnsimĕsts. 
MAT.3.13	Jesus Galilee itŭm'aumatto, Jordani nie'tŭktai ito'to, John mŏkitsĭstapĭniĭsaie. 
MAT.3.14	Ki John paiau'tsimĭuaie, ki otan'ikaie, ksĕsto'a ĭs ta' pĭn o kĭt, kitaketak'sipuksipat to kŏkokotsĭs'tapĭnnŏksi, ki kumauksipuksipaakĭks? 
MAT.3.15	Jesus an'ĭstsiuaie pokĭtse'tsĭt annok': nŏks'ĭstutsĭsĭnan mokŏm'motsitappiisĭnni. Itŭmipaio'kĭts etomoyiuaie. 
MAT.3.16	Ki Jesus aiĭs'tapĭnnŏssi, itopĭtsĭssoa'tomaie okke': ki, sat'sĭk, spots'im kau'opiu, ki nan'nuyiuaie Ap'ĭstotokiua otatsĭm'istaaw itutui'sŭpĭnŭmaie sĭstsi'i itsĭnauŭni'ĭnai, ki itokhitopi'ĭnai: 
MAT.3.17	Ki, satsik, epo'awsĭnni spots'im itunni'u amok'auk nĭtŭk'omĭmokoa, nitsekŏkh'sĭmau.
MAT.4.1	ATSIM'ISTAAW ksĭs'tapiksŏkkui itŭmitŭppĭp'iuaie Jesus, sauum'itsitappiua mŏk saksksĭnnoŏsaie. 
MAT.4.2	Ki nĭsĭp'puyi koku'ĭsts, ki nĭsĭp'puyi ksĭstsikuĭsts otsĭt'saioyipists, itsakoo'notsiu. 
MAT.4.3	Ki Issaks'ksĭnĭmaitappii itoto'yĭnaie an'iĭnai, Ikŭm'ŭmeniki Ap'ĭstotokiua okku'i, am'oxim ok'otokixĭm sĭtsĭp'satsisau mŏkitapaiĕnasau. 
MAT.4.4	Ki itŭnĭs'tsiuaie, Sĭnaip Matap'pi matokot'otsipaitappi'iuats napaiĕn, Ap'ĭstotokiua maoi'i umutokŏnai'poawsĭsts aiakotsepaitappiiu. 
MAT.4.5	Sauum'itsitappiuă otsĭtsitapĭppiok Atsĭm'akapioyĭs, ki itokhit'sipotoyeik Nato'iapioyĭs, 
MAT.4.6	Ki an'ĭstsiuaie, Ikŭm'ŭmeniki Ap'ĭstotokiua okku'i, ĭnĭs'suiauŭnit: sĭn'aip, akanĭstsiuax oto'tokatatsix ksĕsto'a: ki otsu'auĕsts kitakitotsiketsi'enokiau, kokŏt'sĭsts kŏkstai'tŭkŏkhsau ok'otoki. 
MAT.4.7	Jesus itŭnĭs'tsiuaie, mat'sĭnaip, kimataksaksksĭnoau'ats Nin'a, kitap'ĭstotokă. 
MAT.4.8	Sauum'itsitappiuă spaiĭstŭkki otsittŭmmi'piokaie itaiĭstummŭt'tsiikaie kŏnauau'ŏsinists ki istsap'inatsiikiests; 
MAT.4.9	Ki anĭstsiuaie, am'ostsim kŏnauau'ŏsĭnĭsts kitak'okoto, apĭs'tuksĭsanopieniki, atsĭm'mĭmmokeniki. 
MAT.4.10	Jesus itŭman'ĭstsiuaie, Mĭs'taput, Satan: sĭn'aip, Nina Ap'ĭstotokiua kitak'atsĭmmĭmmau, ki kitak'aitanĭstaitoau. 
MAT.4.11	Ki Sauum'itsitappiuă otai'skikaie ki, sat'sĭk, oto'tokatatsix ito'toyikiax ki otspum 'okax. 
MAT.4.12	Jesus otokh'tsĭmsi John ĕen'ŏsaie itsitap'po Galilee: 
MAT.4.13	Ki otŭnĭstŭpa'atosaie Nazareth, Capernaum ito'to ki itoko'yiu, ĭssoots'i omŭk'sikĭmi ai'aketsksŏkkui Zebulon ki Nephtalim: 
MAT.4.14	Isaiah otse'poawsin mŏksenŭpanĭstosi otanipi, 
MAT.4.15	Zebulon ĭstau'ossĭnni ki Nephthalim ĭstau'ŏssĭnni o mŭk'sikĭmi ĭsta'potsim, Jordan ap'ŭmmotsim, Galilee ĭstok'auaax; 
MAT.4.16	Anniks'ĭsk matap'pixk, ski'natsi itau'pixk omŭk'anatsi nan'ĭmmiau: ki anniks'ĭsk matap'pixk auŏssĭn'ni eĭnsĭn'ni itstsi'ipi ki eĭniu'tŭxĭssĭnni itstsi'ipi, itau'pixk, ksĭstsikui'natsiu otsŭs'kŏpsiu. 
MAT.4.17	Annik' Jesus aumŭtŭpsokse'puyiu, ki an'iu, Sauai'tsitak; Spots' ĭmistokŏk'itsimani ăststsiu'. 
MAT.4.18	Ki Jesus, auau'ŏkassi, Galilee ĭstomŭk'sikĭmi, itsĭnnu'yiuax aiĭs'kŭnnĭmotseiyix, Simon, an'ĭstau Peter; ki oskŭn' anĭstau Andrew, ĭsksĭmmatŭk'kiomikatsĭs omŭk'sikĭmi itai'suiapĭxĭmiauaie, tŭk'ka itomik'aitappiisau. 
MAT.4.19	Ki itŭnĭs'tsiuax, noksŭppa'akik, ki kitakitaumik'ottaiau matap'pix. 
MAT.4.20	Ki atomik'atsuai itskĭm'miau ki itopokiuo'iauaie. 
MAT.4.21	O mŭt'tŭkkiosi matsĭtsĭnnuyeiuax mat'toskŭnĭmmotseiix, James, Zebedee o ku'yi, ki John oskŭn', ipĭt'sŭpĭnnuyiuax ak'iosatsĭs, Zebedee, iin'oauaie, aip'sĭmiax otomik'atsuauax: ki itsĭn'nikŏttsiuax. 
MAT.4.22	Ki ipĭt'skĭttsiiauaie un'oauaie ki ak'iosatsĭs, ki itopokiuo'iauaie. 
MAT.4.23	Ki Jesus Galilee ĭstokŏnau'ŏssĭnni itap'auauŏkau, otatoiapioko'auĕsts itai'pĭstsksĭnimatstokiu ki aisokse'puyiu spots' im istsetam'itsĭniksĭnni; ki matap'pix opŭs'tsĭmmesuai ki otok'tokossĭnuauĕsts ikŏn an'kŭttutuyiuax. 
MAT.4.24	Ki otap'ĭstutŭksĭnni ikŏnauanetŭnĭstopaie Syria ĭstau'ŏssĭnni; ki ikŏnai'oktokosix, ki amianĭstsipŭs'tsĭmisix, ki anniks'isk matap' pixk sauumitsitappiuă itsĭps'tokoyiau, ki mat'tsapsix, ki an'auxenix, ikŏnitautsĭppotoaiax; ki ikŏnau'kuttutuyiuax 
MAT.4.25	Ki Galilee ĭstokŏnai'tappix ikŏnawk'pokiuoiauaie, ki Decapolis, ki Jeiusalem, ki Judæa, ki Jordan ap'ŭmmotsim ĭstŏkonai'tappix matsekŏnawkpokiuo'iauaie.
MAT.5.1	Kĭ otsĭnno'ossax akai'tappix ni tum'mo ita'mĭsso: ki otau'pĭssi otsitappim'ix ototaakax: 
MAT.5.2	Ki itsipa'kuiakiu ki itŭsksĭnĭm'atsiuax, ki itŭniu, 
MAT.5.3	Anniks'isk matap'pixk oskĕttsipŏppuauĕxk ĭkikĭn'etŭkkiĭsk, etam'etŭkkiau: spots'im ĭstsĭn'naiisĭnni osto'auai otsinan'oaiau. 
MAT.5.4	Au'yesĭx etam'etŭkkiau: aiaksikiawpiksĭstotoaiau. 
MAT.5.5	Ikkĭnap'itappiix etam'etŭkkiau: ksŏk'kum otaksĭnan'oaiau. 
MAT.5.6	Ino'tăttomix mokŏm'motsipaitappiisĭnni ki inăk'attomix mokŏm'motsipaitappiisĭnni etam'ĕtukkiau: ai'akokuyian. 
MAT.5.7	Kĭmapi'itappix etam'etŭkkiau: otak'sikĭmokiau 
MAT.5.8	Ksĭkus'skĕttsipŏppix etam'etŭkkiau: ai'aksĭnnuyiauaie Ap'ĭstotokiuă. 
MAT.5.9	Inŭs'tsetappix etam'etŭkkiau: akanĭstainikŏttaiau Ap'ĭstotokiuă o'kosĭx. 
MAT.5.10	Anniks'isk matap'pixk itsikĭm'atsĭstotoaiau otŏkommo'tsitappiuŏsoauĕsts etam'etŭkkiau; otsinan'oaiau spots' im istsĭn'naiisĭnni. 
MAT.5.11	Oksĭs'totokoeniki ki maka'pi sĭtsĭp'sŭkoeniki, ki aisĭmmĭm'motsenikiau, tŭkka kĭtŭk'omĭmmokoau kitse'tametŭksuai. 
MAT.5.12	So poke'tametŭkkĭk, spopai'piĭk; kitakitakai'sakĭnnosŭko spots'im: apatots'ik neto'yik ŭnninetoksĭstotoyiuax Ap'ĭstotokiuă otsiprophetix. 
MAT.5.13	Kĕsto'akauk ksŏk'kum ĭstsĭstsĭxipoku: atstosai'e umut'aiawxipi itsĭx'ipokuyi, tsanĭstapiu ksŏk'kum umutaiaksitsĭxipokuĭstutsip? Matŭtokoapi'uats, ki aksĭs'tapĭxip, ki akitsitautŭtsamiai'osi. 
MAT.5.14	Kĕsto'akauk ksŏk'kum ĭstŭn'natsii. Akap'ioyĭs aitokittokhi netum'moyi matokotsiksĭsattop'ats. 
MAT.5.15	Matap'pix matotstsĭm'axauaie anak'imatsĭs mŏkitsitaistakhtotosauaie assuyĭn'i, itai'sŭppatomiau itai'sŭpanakĭmatsopi, ki matap'pix itsĭps'taupix napioyĭs itokŏnnauan'akĭmaiau. 
MAT.5.16	Neto'yik kitan'akimatsĭs ĭstot'ŭnnasayit matap'pix mŏk'itsĭnniĭsau kitawx'ĭstutsipists mŏk'ĭtstsakŭttosauaie kin'a spots'im. 
MAT.5.17	Pinstak nimut'otopi nŏkitŭnnĭstupipotsĭsau okŏk'itsĭmani, ki prophet ix otŭn' issuai: nimatŭtoto'pa nŏkĭtŭnnĭstŭpipotsĭsau, nimut'oto mŏkĭtsŭpanĭs'tsĭstutsisau. 
MAT.5.18	Kitau'mŭnĭstopuau spots'im ki ksŏk'kum otsauomai'tsĭnikasi, ki okŏk'itsĭmani otsitsauomsŭpanĭstsiopi tŭks'kai sikŭk'sĭnaksĭn okŏk'itsĭmani itstsi'ipi mat'akitsĭnikauatsaie. 
MAT.5.19	Annŏk tukskai am'ostsim inŭxe'poawsists kŭttai'aksĭstutsĭmŏkaie, ki ai'aksksĭnĭmatsokax matap'pix mŏk'staiĭstutsĭsaxaie, ak'anĭstainikŏttau inŭks'tsĭm spots' im; annŏk' ai'aksistutsimests ki ai'aksksinimatsokax matap'pix mŏks'ĭstutsĭmĕsts, ak'anĭstainikŏttau omŭk'sĭm spots'im. 
MAT.5.20	Kit an'ĭstopuau kitokŏmotsipaitappiisĭnni saiĭs'tŭpŭkuiŏkhsĭssi Scribes ki Pharisees ot'okŏmotsipaitappiisuĕsts kimatakitsipipuauats spots'im ĭstsĭn'naiisĭnni. 
MAT.5.21	Kikai'okhtsipuau ŭkkaiiap'ix otan'ikoaiau, Pinuye'nĭkik: ki annŏk'ai'akoyenikiuŏk ai'akesetsĭmaie okŏk'itsĭmani: 
MAT.5.22	Ki kitan'ĭstopuau annŏk' ksĭstapĭstsĭm'iuōk ox'okoă ai'akesetsĭmaie okŏk'itsĭmani; ki annŏk' ak'anĭstsiuŏk ox'okoa Raca, aiakesetsimaie okok'itsĭmani: ki annŏk' ak'anĭstsiuŏk, kĭtŭt'tsapsi, ai'akesetsĭmaie Gihenni ots'tsiĭmiaie. 
MAT.5.23	Puksipĭp'potomĭniki kitak'iksĭstomŭtskotŭksĭnni natoi'apioyĭs, ki ĭsksĭnĭm'ĭniki kixokoa kĭtsĭs'tsĭmmok, 
MAT.5.24	Ŭn'nim altar ĭstsskit' kitakiksĭstomŭtskotŭksĭnni, ki matskot'; matom'ots matsin'nŭstseik ksĕsto'a ki kĭxokoa, ki tŭm'ŭtsipuksiput ki sakumŭts'kotoat kitsiksĭst'omŭtskotŭksĭnni. 
MAT.5.25	Kipĭnnŭs'tseĭmĭs kikakhtum'o, kĭtsakiokhpokau'pimŏssi: kŏkstaiĭstapĭpiok au'kŏkitsĭmaii, ki au'kŏkitsĭmaii ŏk'staukotsei eĕnake'nai, ki kĭtakitsĭps'tapixik itai'ĭnŭkiopi, 
MAT.5.26	Kitau' mŭnĭsto kitsauomai'ponitatossi kitak'sakookotossi, kimataksuxpa. 
MAT.5.27	Kikai'okhtsipuau otanipuauĕsts ŭkkaiiap'ix, Kimatakauŏkotapuaua: 
MAT.5.28	Ki nestoa kitan'ĭstopuau, annŏk' ŭs'sŭmmiuŏk ake'uŏk mŏk'sta tossaie, ŭkaukhtauauŏkautăttseuaie u'skĕttsipŏppi. 
MAT.5.29	Kinet'oopspi itsuyĭsseeniki, sauau'tos ki mĭs'tŭpapiksĭstsĭs: ŏkh'siu tŭks'kŭma mŏk'saiĭnakuaiĭssi koŏpspi, ŏkstaiĭs'tupapiksĭs kostŭm Gehenna. 
MAT.5.30	Kinet'otsĭs itsuyĭsse'eniki kawksĭnnĭt', ki mĭs'tŭpapĭxit: ŏkh'siu tuks'kaii kotsĭs'i mŏk'saiĭnakuaiĭssi, ŏkstaiĭs'tŭpapiksĭs kostŭm Gehenna. 
MAT.5.31	Ǔk'auanĭstop annŏk' aiaksiksiuatsiuŏk otokem'ani ŭnnianĭst'okotsĭs iksiuo'isĭnaksĭn: 
MAT.5.32	Ki kitan'ĭstopuau annŏk' aiaksiksiuatsiuŏk otokem'ani, otsauomauau'ŏkotasi, nokets'ĭnai otauŏkotăts'okaie; ki annŏk' aiakokkem'iuŏk otai'ksiuatai'ĭsk itau'ŏkatau. 
MAT.5.33	Stsĭk'i, kikai'okhtsipuau otan'ipuauĕsts ŭk'kaiiap'ix, kimataksiksĭstapatauŭni'pa, ki, kitakitauanĭstau Ap'ĭstotokiua kitatauŭn'ĭssĭnni: 
MAT.5.34	Ki kitan'ĭstopuau, Pinŭt'auŭnik; spots'im pinitŭpŭtauŭnĭk; tŭk'ka Ap'ĭstotokiua otspiso'pŏtsĭsaie: 
MAT.5.35	Ksŏk'kum pini'tŭpŭtauŭnik; itsĭssuikau'piu: Jerusalem pini'tŭpŭtauŭnik; tŭkka Omŭx'ina ot'akapioyimaie. 
MAT.5.36	Kimat'akitŭpŭtauunipa kotokŏn', kimatkotsiksixĭstutsipats nitu'kuyekai ki kimatokotsixĭstutsipats. 
MAT.5.37	Ki anik' A, A; Sa, Sa; mato'ketauanieniki, mat'ŏkhsiu. 
MAT.5.38	Kikai'okhtsipuau, ŭk'auanĭstop sauau'toainiki moŏps'pi, kitak'okŏtanĭstotoko: ki sauau'tsĭmĭniki mokhpe'kĭnni, kitak'okŏtanĭstotoko. 
MAT.5.39	Ki kitan'ĭstopuau pinstsĭmmĭm'motsemis sauum'itsitappiuă: ki annŏk' kitakauaiak'iokŏk kĭtsets'stoksĭs matoko'tsĭs ki mat'stoksĭs'. 
MAT.5.40	Ki matap'pi makitotsĭssĭp'puyĭssaie au'kŏkitsĭmaii, ki stakhts'isokŏsĭm mŏk'otsĭsaie, mat ŭn'nĭstotsĭs kisau'tŭtsisokŏsĭm. 
MAT.5.41	Ki annŏk' kĭtsitappa'atsokŏk tuks'ka ŭskskak'sĭnni, pokom'ĭs na'toki iskskaksĭnni. 
MAT.5.42	Annŏk' kitau'kŏmŏnikŏk, ko'tsĭs, ki annŏk' kitai'akŭkkumatŭkok, pino'tŭkaatsis. 
MAT.5.43	Kikai'okhtsipuau ŭk'auanĭstop kitak'ŭkomĭmmau kitopokau 'pimokă ki kitak'aukĭmaukikakhtum'o. 
MAT.5.44	Ki kitan'ĭstopuau ŭkomĭm'mĭsau kikakhtum'ix, Atsĭm'mĭmmĭsau anniks'ĭsk matap'pixk kitai'pakosĭnikokoauaxk ŏkhs'ĭstutosau anniks'ĭsk matap'pixk kitau'kĭmokoauaxk, ki aua'tsĭmoiikatomosau anniks'ĭsk matap'pixk kitse'ksĭstotokoauaxk, ki kitai'kĭmatsĭstotokoauaxk; 
MAT.5.45	Kokaukosĭmmi'ĭssuai Kĭn'oau spots'im: tŭk'ka ikkŭnats'iuaie natos'i sauum'itsitappix ki ŏkh'sitappix, ki soio'tŭmstuyiuax mokŏm'otsitappix ki sau'okŏmotsitappix. 
