GEN.1.1	Kezdetben 
GEN.3.12	És monda az ember: Az asszony, a kit mellém adtál vala, ő ada nékem arról a fáról, úgy evém. 
GEN.3.13	És monda az Úr Isten az asszonynak: Mit cselekedtél? Az asszony pedig monda: 
GEN.3.14	És monda az Úr Isten a kígyónak: Mivelhogy ezt cselekedted, átkozott légy minden barom és minden mezei vad között; hasadon járj, és 
GEN.3.15	És ellenségeskedést szerzek közötted és az asszony között, a te magod között, és az ő magva között: 
GEN.3.16	Az asszonynak monda: Felette igen megsokasítom viselősséged fájdalmait, fájdalommal szűlsz magzatokat; és epekedel 
GEN.3.17	Az embernek pedig monda: Mivelhogy hallgattál a te feleséged szavára, és ettél arról a fáról, a melyről azt parancsoltam, hogy ne egyél arról: Átkozott legyen a föld te miattad, fáradságos munkával élj belőle életednek minden napjaiban. 
GEN.3.18	Töviset és bogácskórót 
GEN.3.19	Orczád verítékével egyed a te kenyeredet, míglen 
GEN.3.20	Nevezte vala pedig Ádám az ő feleségét Évának, mivelhogy ő lett anyja minden élőnek. 
GEN.3.21	És csinála az Úr Isten Ádámnak és az ő feleségének bőr ruhákat, és felöltözteté őket. 
GEN.3.22	És monda az Úr Isten: Ímé az ember olyanná lett, mint mi közűlünk egy, jót és gonoszt tudván. Most tehát, hogy ki ne nyújtsa kezét, hogy szakaszszon az élet fájáról is, hogy egyék, s örökké éljen: 
GEN.3.23	Kiküldé őt az Úr Isten az Éden kertjéből, hogy mívelje a földet, a melyből vétetett vala. 
GEN.3.24	És kiűzé az embert, és oda helyezteté az Éden kertjének keleti oldala felől a Kerúbokat és a villogó pallos lángját, hogy őrizzék az élet fájának útját.
GEN.4.1	Azután ismeré Ádám az ő feleségét Évát, a ki fogad vala méhében és szűli vala Kaint, és monda: Nyertem férfiat az Úrtól. 
GEN.4.2	És ismét szűlé annak atyjafiát, Ábelt. És Ábel juhok pásztora lőn, Kain pedig földmívelő. 
GEN.4.3	Lőn pedig idő multával, hogy Kain ajándékot vive az Úrnak a föld gyümölcséből. 
GEN.4.4	És Ábel is vive az ő juhainak első fajzásából és azoknak kövérségéből. És tekinte 
GEN.4.5	Kainra pedig és az ő ajándékára nem tekinte, miért is Kain haragra gerjede és fejét lecsüggeszté. 
GEN.4.6	És monda az Úr Kainnak: Miért gerjedtél haragra? és miért csüggesztéd le fejedet? 
GEN.4.7	Hiszen, ha jól cselekszel, emelt fővel járhatsz; ha pedig nem jól cselekszel, a bűn az ajtó előtt leselkedik, és reád van vágyódása; de te uralkodjál rajta.
GEN.4.8	És szól s beszél vala Kain Ábellel, az ő atyjafiával. És lőn, mikor a mezőn valának, támada Kain Ábelre az ő atyjafiára, és 
GEN.4.9	És monda az Úr Kainnak: Hol van Ábel a te atyádfia? Ő pedig monda: Nem tudom, avagy őrizője vagyok-é én az én atyámfiának? 
GEN.4.10	Monda pedig 
GEN.4.11	Mostan azért átkozott légy e földön, mely megnyitotta az ő száját, hogy befogadja a te atyádfiának vérét, a te kezedből. 
GEN.4.12	Mikor a földet míveled, ne adja az többé néked az ő termő erejét, bujdosó és vándorló légy a földön. 
GEN.4.13	Akkor monda Kain az Úrnak: Nagyobb az én büntetésem, hogysem elhordozhatnám. 
GEN.4.14	Ímé elűzöl engem ma e földnek színéről, és a te színed elől el kell rejtőznöm; bujdosó és vándorló leszek a földön, és akkor akárki talál reám, megöl engemet. 
GEN.4.15	És monda néki az Úr: Sőt inkább, aki megöléndi Kaint, hétszerte megbüntettetik. És megbélyegzé az Úr Kaint, hogy senki meg ne ölje, a ki rátalál. 
GEN.4.16	És elméne Kain az Úr színe elől, és letelepedék Nód földén, Édentől keletre.
GEN.4.17	És ismeré Kain az ő feleségét, az pedig fogada méhében, és szűlé Hánókhot. És építe várost, és nevezé azt az ő fiának nevéről Hánókhnak. 
GEN.4.18	És lett Hánókhnak fia, Irád: És Irád nemzé Mekhujáelt: Mekhujáel pedig nemzé Methusáelt, és Methusáel nemzé Lámekhet. 
GEN.4.19	Lámekh pedig vett magának két feleséget: az egyiknek neve Háda, a másiknak neve Czilla. 
GEN.4.20	És szűlé Háda Jábált. Ez volt atyjok a sátorban-lakóknak, és a barompásztoroknak. 
GEN.4.21	Az ő atyjafiának pedig Jubál vala neve: ez volt atyja minden lantosnak és síposnak. 
GEN.4.22	Czilla pedig szűlé Tubálkaint, mindenféle réz- és vasszerszámok kovácsolóját: és Tubálkain hugát, Nahamát. 
GEN.4.23	Akkor monda Lámekh az ő feleségeinek: Oh Háda és Czilla, hallgassatok szómra, Lámekh feleségei, halljátok beszédem: embert öltem, mert megsebzett; ifjat öltem, mert megütött. 
GEN.4.24	Ha 
GEN.4.25	Ádám pedig ismét ismeré az ő feleségét, és az szűle néki fiat, és nevezé annak nevét 
GEN.4.26	Séthnek is született fia, és nevezé annak nevét Énósnak. Akkor kezdték segítségül hívni az Úrnak nevét.
GEN.5.1	Ez az Ádám nemzetségének könyve. A mely napon teremté Isten az 
GEN.5.2	Férfiúvá 
GEN.5.3	Élt vala pedig Ádám száz harmincz esztendőt, és nemze 
GEN.5.4	És telének Ádám napjai, minekutánna 
GEN.5.5	És lőn Ádám egész életének ideje kilenczszáz harmincz esztendő; és meghala. 
GEN.5.6	Éle pedig Séth száz öt esztendőt, és nemzé Énóst. 
GEN.5.7	És éle Séth, minekutánna Énóst nemzette, nyolczszáz hét esztendeig; és nemze fiakat és leányokat. 
GEN.5.8	És lőn Séth egész életének ideje kilenczszáz tizenkét esztendő; és meghala. 
GEN.5.9	Éle pedig Énós kilenczven esztendőt, és nemzé Kénánt. 
GEN.5.10	És éle Énós, minekutánna Kénánt nemzette, nyolczszáz tizenöt esztendeig, és nemze fiakat és leányokat. 
GEN.5.11	És lőn Énós egész életének ideje kilenczszáz öt esztendő; és meghala. 
GEN.5.12	Éle pedig Kénán hetven esztendőt, és nemzé Mahalálélt. 
GEN.5.13	És éle Kénán, minekutánna Mahalálélt nemzette, nyolczszáz negyven esztendeig; és nemze fiakat és leányokat. 
GEN.5.14	És lőn Kénán egész életének ideje kilenczszáz tíz esztendő; és meghala. 
GEN.5.15	Éle pedig Mahalálél hatvanöt esztendőt, és nemzé Járedet. 
GEN.5.16	És éle Mahalálél, minekutánna Járedet nemzette, nyolczszáz harmincz esztendeig, és nemze fiakat és leányokat. 
GEN.5.17	És lőn Mahalálél egész életének ideje nyolczszáz kilenczvenöt esztendő; és meghala. 
GEN.5.18	Éle pedig Járed száz hatvankét esztendőt, és nemzé Énókhot. 
GEN.5.19	És éle Járed, minekutánna Énókhot nemzette, nyolczszáz esztendőt; és nemze fiakat és leányokat. 
GEN.5.20	És lőn Járed egész életének ideje kilenczszáz hatvankét esztendő; és meghala. 
GEN.5.21	Éle pedig Énókh hatvanöt esztendőt, és nemzé Methuséláht. 
GEN.5.22	És járt 
GEN.5.23	És lőn Énókh egész életének ideje háromszáz hatvanöt esztendő. 
GEN.5.24	És mivel Énókh Istennel járt 
GEN.5.25	Éle pedig Methusélah száz nyolczvanhét esztendőt és nemzé Lámekhet. 
GEN.5.26	És éle Methusélah, minekutánna Lámekhet nemzette, hétszáz nyolczvankét esztendőt; és nemze fiakat és leányokat. 
GEN.5.27	És lőn Methusélah egész életének ideje kilenczszáz hatvankilencz esztendő; és meghala. 
GEN.5.28	Éle pedig Lámekh száz nyolczvankét esztendőt, és nemze fiat. 
GEN.5.29	És nevezé azt Noénak, mondván: Ez vígasztal meg minket munkálkodásunkban s kezünk terhes fáradozásában e földön, melyet megátkozott az Úr. 
GEN.5.30	És éle Lámekh, minekutánna Noét nemzette, ötszáz kilenczvenöt esztendőt; és nemze fiakat és leányokat. 
GEN.5.31	És lőn Lámekh egész életének ideje hétszázhetvenhét esztendő; és meghala. 
GEN.5.32	És mikor Noé ötszáz esztendős volt, nemzé Noé Sémet, Khámot és Jáfetet.
GEN.6.1	Lőn pedig, hogy az emberek sokasodni kezdének a föld színén, és leányaik születének. 
GEN.6.2	És láták az Istennek fiai az emberek leányait, hogy szépek azok, és vevének magoknak feleségeket 
GEN.6.3	És monda az Úr: Ne maradjon az én lelkem örökké az emberben, mivelhogy ő test; legyen életének ideje száz húsz esztendő. 
GEN.6.4	Az óriások valának a földön abban az időben, sőt még azután is, mikor az Isten fiai bémenének az emberek leányaihoz, és azok 
GEN.6.5	És látá az Úr, hogy megsokasult az ember gonoszsága a földön, 
GEN.6.6	Megbáná azért az Úr, hogy teremtette az embert a földön, és bánkódék az ő szívében. 
GEN.6.7	És monda az Úr: Eltörlöm az embert, a kit teremtettem, a földnek színéről; az embert, a barmot, a csúszó-mászó állatokat, és az ég madarait; mert bánom, hogy azokat teremtettem. 
GEN.6.8	De Noé kegyelmet talála az Úr előtt.
GEN.6.9	Noénak pedig ez a története: Noé igaz, tökéletes férfiú vala a vele egykorúak között. Istennel jár vala Noé. 
GEN.6.10	És nemze Noé három fiat: Sémet, Khámot és Jáfetet. 
GEN.6.11	A föld pedig romlott vala Isten előtt és megtelék a föld erőszakoskodással. 
GEN.6.12	Tekinte azért Isten a földre, és ímé meg vala romolva, mert minden test 
GEN.6.13	Monda azért Isten Noénak: Minden testnek vége elérkezett előttem, mivelhogy a föld erőszakoskodással telt meg általok: és ímé elvesztem őket a földdel egybe. 
GEN.6.14	Csinálj magadnak bárkát gófer fából, rekesztékeket csinálj a bárkában, és szurkozd meg belől és kivűl szurokkal. 
GEN.6.15	Ekképen csináld pedig azt: A bárka hoszsza háromszáz sing legyen, a szélessége ötven sing, és a magassága harmincz sing. 
GEN.6.16	Ablakot csinálj a bárkán, és egy singnyire hagyd azt felülről; a bárka ajtaját pedig oldalt csináld; alsó, közép, és harmad padlásúvá csináld azt. 
GEN.6.17	Én pedig ímé özönvizet hozok a földre, hogy elveszessek minden testet, a melyben élő lélek van az ég alatt; valami a földön van, elvész. 
GEN.6.18	De te veled szövetséget kötök, és bemégy a bárkába, te 
GEN.6.19	És minden élőből, s minden testből, mindenből kettőt-kettőt vígy be a bárkába, hogy veled együtt életben maradjanak: hímek és nőstények legyenek. 
GEN.6.20	A madarak közűl az ő nemök szerint, a barmok közűl az ő nemök szerint és a földnek minden csúszó-mászó állatjai közűl az ő nemök szerint; mindenből kettő-kettő menjen be hozzád, hogy életben maradjanak. 
GEN.6.21	Te pedig szerezz magadnak mindenféle eledelt, mely megehető, és takarítsd be magadhoz, hogy neked is, azoknak is legyen eledelűl. 
GEN.6.22	És úgy cselekedék Noé; 
GEN.7.1	Monda az Úr Noénak: Menj be te, és egész házadnépe a bárkába: mert téged láttalak 
GEN.7.2	Minden tiszta baromból hetet-hetet vígy be, hímet és nőstényét; azokból a barmokból pedig, a melyek nem tiszták, kettőt-kettőt, hímet és nőstényét. 
GEN.7.3	Az égi madarakból is hetet-hetet, hímet és nőstényét, hogy magvok maradjon az egész föld színén. 
GEN.7.4	Mert hét nap múlva esőt bocsátok a földre negyven nap és negyven éjjel; és eltörlök a föld színéről minden állatot, melyet teremtettem. 
GEN.7.5	Cselekedék azért Noé mind a szerint, a mint az Úr néki megparancsolta vala. 
GEN.7.6	Noé pedig hatszáz esztendős vala, mikor az özönvíz volt a földön. 
GEN.7.7	Beméne azért Noé 
GEN.7.8	A tiszta barmok közűl, és a tisztátalan barmok közűl, a madarak közűl, és minden földön csúszó-mászó állat közűl, 
GEN.7.9	Kettő-kettő méne be Noéhoz a bárkába, hím és nőstény: a mint Isten megparancsolta vala Noénak. 
GEN.7.10	Lőn pedig hetednapra, hogy megjöve az özönvíz a földre.
GEN.7.11	Noé életének hatszázadik esztendejében, a második hónapban, e hónap tizenhetedik napján, felfakadának ezen a napon a nagy mélység minden forrásai, és az ég csatornái megnyilatkozának. 
GEN.7.12	És esék az eső a földre negyven nap és negyven éjjel. 
GEN.7.13	Ugyanezen a napon ment vala be Noé és Sém és Khám és Jáfet, Noénak fiai, és Noé felesége és az ő fiainak három felesége velök együtt a bárkába. 
GEN.7.14	Ők, és minden vad az ő neme szerint és minden barom az ő neme szerint és minden csúszó-mászó állat, mely csúsz-mász a földön, az ő neme szerint és minden repdeső állat az ő neme szerint, minden madár, minden szárnyas állat. 
GEN.7.15	Kettő-kettő méne be Noéhoz a bárkába minden testből, melyben élő lélek vala. 
GEN.7.16	A melyek pedig bemenének, hím és nőstény méne be minden testből, a mint parancsolta vala Isten őnéki: és az Úr bezára utána 
GEN.7.17	Mikor az özönvíz negyven napig volt a földön, annyira nevekedének a vizek, hogy felveheték a bárkát, és az felemelkedék a földről. 
GEN.7.18	A vizek pedig áradának és egyre nevekedének a földön, és a bárka jár vala a víz színén. 
GEN.7.19	Azután a vizek felette igen nagy erőt vevének a földön, és a legmagasabb hegyek is mind elboríttatának, melyek az egész ég alatt valának. 
GEN.7.20	Tizenöt singgel nevekedének a vizek feljebb, minekutánna a hegyek elboríttattak vala. 
GEN.7.21	És oda vesze minden földön járó test, madár, barom, vad, és a földön nyüzsgő minden csúszó-mászó állat; és 
GEN.7.22	Mindaz, a minek orrában élő lélek lehellete vala, a szárazon valók közűl mind meghala. 
GEN.7.23	És eltörle 
GEN.7.24	És erőt vevének a vizek a földön, száz ötven napig.
GEN.8.1	Megemlékezék pedig az Isten Noéról, és minden vadról, minden baromról, mely ő vele a bárkában vala: és szelet bocsáta az Isten a földre, és a vizek megapadának. 
GEN.8.2	És bezárulának a mélység forrásai s az ég csatornái; és megszűnt az eső az égből. 
GEN.8.3	És elmenének a vizek a földről folyton fogyván, és száz ötven nap mulva megfogyatkozának a vizek. 
GEN.8.4	A bárka pedig a hetedik hónapban, a hónak tizenhetedik napján, megfeneklett az Ararát hegyén. 
GEN.8.5	A vizek pedig folyton fogyának a tizedik hónapig; a tizedikben, a hó első napján meglátszának a hegyek csúcsai. 
GEN.8.6	És lőn negyven nap múlva, kinyitá Noé a bárka ablakát, melyet csinált vala. 
GEN.8.7	És kibocsátá a hollót, és az elrepűlt, meg visszaszállt, míg a vizek a földről felszáradának. 
GEN.8.8	Kibocsátá a galambot is, hogy meglássa, vajjon elfogytak-é a vizek a föld színéről. 
GEN.8.9	De a galamb nem talála lábainak nyugvóhelyet és visszatére ő hozzá a bárkába, mert víz vala az egész föld színén; ő pedig kezét kinyujtá, megfogá, és bévevé azt magához a bárkába. 
GEN.8.10	És várakozék még másik hét napig, és ismét kibocsátá a galambot a bárkából. 
GEN.8.11	És megjöve ő hozzá a galamb estennen, és ímé leszakasztott olajfalevél vala annak szájában. És megtudá Noé, hogy elapadt a víz a földről. 
GEN.8.12	És ismét várakozék még másik hét napig, és kibocsátá a galambot, és az nem tére többé ő hozzá vissza. 
GEN.8.13	És lőn a hatszáz egyedik esztendőben, az első hónak első napján, felszáradának a vizek a földről, és elfordítá Noé a bárka fedelét, és látá, hogy ímé megszikkadt a földnek színe. 
GEN.8.14	A második hónapban pedig, a hónak huszonhetedik napján megszárada a föld.
GEN.8.15	És szóla az Isten Noénak, mondván: 
GEN.8.16	Menj ki a bárkából te és a te feleséged, a te fiaid, és a te fiaid feleségei te veled. 
GEN.8.17	Minden vadat, mely veled van, minden testből, madarat, barmot, és minden földön csúszó-mászó állatot vígy ki magaddal, hogy nyüzsögjenek a földön, szaporodjanak és sokasodjanak a földön. 
GEN.8.18	Kiméne azért Noé és az ő fiai, az ő felesége, és az ő fiainak feleségei ő vele. 
GEN.8.19	Minden állat, minden csúszó-mászó, minden madár, minden a mi mozog a földön, kijöve a bárkából az ő neme szerint. 
GEN.8.20	És oltárt építe Noé az Úrnak, és vőn minden tiszta állatból és minden tiszta madárból, és áldozék égőáldozattal az oltáron.
GEN.8.21	És megérezé az Úr a kedves illatot, és monda az Úr az ő szívében: Nem átkozom meg többé a földet az emberért, mert 
GEN.8.22	Ennekutánna míg a föld lészen, vetés és aratás, hideg és meleg, nyár és tél, nap és éjszaka 
GEN.9.1	Azután megáldá Isten Noét és az ő fiait, és azt mondá nékik: Szaporodjatok 
GEN.9.2	És féljen és rettegjen tőletek a földnek minden állatja az égnek minden madara: minden a mi nyüzsög a földön, és a tengernek minden hala kezetekbe adatott; 
GEN.9.3	Minden mozgó állat, a mely él legyen nektek eledelűl; a mint a zöld fűvet, nektek 
GEN.9.4	Csak a húst az őt elevenítő 
GEN.9.5	De a ti véreteket, a melyben van a ti éltetek, 
GEN.9.6	A ki 
GEN.9.7	Ti pedig 
GEN.9.8	És szóla az Isten Noénak és vele az ő fiainak, mondván: 
GEN.9.9	Én pedig ímé 
GEN.9.10	És minden élő állattal, mely veletek van: madárral, barommal, minden mezei vaddal, mely veletek van; mindattól kezdve a mi a bárkából kijött, a földnek minden vadjáig. 
GEN.9.11	Szövetséget kötök ti veletek, hogy soha ezután el nem vész özönvíz miatt minden test; és soha sem lesz többé özönvíz a földnek elvesztésére. 
GEN.9.12	És monda az Isten: Ez a jele a szövetségnek, melyet én örök időkre szerzek közöttem és ti köztetek, és minden élő állat között, mely ti veletek van: 
GEN.9.13	Az én ívemet helyeztetem a felhőkbe, s ez lesz jele a szövetségnek közöttem és a föld között. 
GEN.9.14	És lészen, hogy mikor felhővel borítom be a földet, meglátszik az ív a felhőben. 
GEN.9.15	És megemlékezem az én szövetségemről, mely van én közöttem és ti közöttetek, és minden testből való élő állat között; és nem lesz többé a víz özönné minden testnek elvesztésére. 
GEN.9.16	Azért legyen tehát az ív a felhőben, hogy lássam azt és megemlékezzem az örökkévaló szövetségről Isten között és minden testből való élő állat között, mely a földön van. 
GEN.9.17	És monda Isten Noénak: Ez ama szövetségnek jele, melyet szerzettem én közöttem és minden test között, mely a földön van. 
GEN.9.18	Valának pedig Noé fiai, kik a bárkából kijöttek vala: Sém és Khám és Jáfet. Khám pedig Kanaánnak atyja. 
GEN.9.19	Ezek hárman a Noé fiai s ezektől népesedék meg az egész föld.
GEN.9.20	Noé pedig földmívelő kezde lenni, és szőlőt ültete. 
GEN.9.21	És ivék a borból, s megrészegedék, és meztelenen vala sátra közepén. 
GEN.9.22	Khám pedig, Kanaánnak atyja, meglátá az ő atyjának mezítelenségét, és hírűl adá künnlevő két testvérének. 
GEN.9.23	Akkor Sém és Jáfet ruhát ragadván, azt mindketten vállokra veték, és háttal menve takarák be atyjok mezítelenségét; s arczczal hátra meg sem láták atyjok mezítelenségét. 
GEN.9.24	Hogy felserkene Noé mámorából, és megtudá a mit vele az ő kisebbik fia cselekedett vala: 
GEN.9.25	Monda: Átkozott Kanaán! Szolgák szolgája 
GEN.9.26	Azután monda: Áldott az Úr, Sémnek Istene, néki légyen szolgája Kanaán! 
GEN.9.27	Terjeszsze ki Isten Jáfetet, lakozzék Sémnek sátraiban; légyen néki szolgája a Kanaán! 
GEN.9.28	Éle pedig Noé az özönvíz után háromszáz ötven esztendeig. 
GEN.9.29	És vala Noé egész életének ideje kilenczszáz ötven esztendő; és meghala.
GEN.10.1	Ez pedig a Noé fiainak, Sémnek, Khámnak és Jáfetnek nemzetsége; és fiaik születének az özönvíz után. 
GEN.10.2	Jáfetnek 
GEN.10.3	A Gómer fiai pedig: Askhenáz, Rifáth, és Tógármah. 
GEN.10.4	Jávánnak pedig fiai: Elisah, Thársis, Kitthim és Dodánim. 
GEN.10.5	Ezekből váltak ki a szigetlakó népek az ő országaikban, mindenik a maga nyelve, családja és nemzetsége szerint. 
GEN.10.6	Khámnak pedig fiai: 
GEN.10.7	Khúsnak pedig fiai: Széba, Hávilah, Szábthah, Rahmáh, Szabthékah. Rahmáhnak pedig fiai: Séba és Dédán. 
GEN.10.8	Khús nemzé 
GEN.10.9	Ez hatalmas vadász vala az Úr előtt, azért mondják: Hatalmas vadász az Úr előtt, mint Nimród. 
GEN.10.10	Az ő birodalmának kezdete volt Bábel, Erekh, Akkád és Kálnéh a Sineár földén. 
GEN.10.11	E földről ment aztán Assiriába, és építé Ninivét, Rekhoboth városát, és Kaláht. 
GEN.10.12	És Reszent Ninivé között és Kaláh között: ez az a nagy város. 
GEN.10.13	Miczráim pedig nemzé: Lúdimot, Anámimot, Lehábimot és Naftukhimot. 
GEN.10.14	Pathruszimot és Kaszlukhimot, a honnan a Filiszteusok származtak, és Kafthorimot. 
GEN.10.15	Kanaán pedig nemzé Czídont, az ő elsőszülöttét, és Khétet. 
GEN.10.16	Jebuzeust, Emorreust, és Girgazeust. 
GEN.10.17	Khivveust, Harkeust, és Szineust. 
GEN.10.18	Arvadeust, Czemareust, Hamatheust. És azután elszéledének a Kananeusok nemzetségei. 
GEN.10.19	Vala pedig a Kananeusok határa, Czídonból Gérár felé menve Gázáig; Sodoma, Gomora, Ádmáh, és Czeboim felé menve Lésáig. 
GEN.10.20	Ezek a Khám fiai családjok, nyelvök, földjök s nemzetségök szerint. 
GEN.10.21	Sémnek is lettek gyermekei; a ki Héber minden fiainak atyja, Jáfetnek testvérbátyja vala. 
GEN.10.22	Sém 
GEN.10.23	Arámnak fiai pedig: Úcz, Húl, Gether és Más. 
GEN.10.24	Arpaksád 
GEN.10.25	Hébernek is lett két fia: Az egyiknek neve Péleg, mivelhogy az ő idejében osztatott el a föld; testvérének pedig neve Joktán. 
GEN.10.26	Joktán pedig nemzé Almodádot, Sélefet, Haczarmávethet és Jerákhot. 
GEN.10.27	Hadórámot, Úzált és Dikláth. 
