MAT.1.1	 A Krisztus Jézus származásáról 
MAT.1.20	 Mikor ez az indulat megmozdult benne, álomban az Úrnak egy angyala jelent meg neki és így szólt: „Dávid fia József, ne riadj vissza attól, hogy menyasszonyodat, Máriát magadhoz vedd, mert ami benne fogant, a Szent Szellemtől való!
MAT.1.21	 Fiat fog szülni s te majd nevezd annak nevét Jézusnak, 
MAT.1.22	 Ez az egész dolog azért történt így, hogy beteljesedjék, amit az Úr a prófétán át szólt:
MAT.1.23	 „Lám csak, egy szűz viselős lesz, fiat szül, s ezt Immánuel névvel nevezik, minek fordítása: Velünk az Isten!”
MAT.1.24	 Mikor József az álomból felébredt, megtette, amit az Úr angyala neki elrendelt, magához vette asszonyát.
MAT.1.25	 De nem ismerte őt addig, amíg fiat nem szült. Ennek aztán a Jézus nevet adta.
MAT.2.1	 Miután Jézus Heródes király napjaiban a júdeai Betlehemben megszületett, egyszer csak napkeletről mágusok érkeztek Jeruzsálembe,
MAT.2.2	 kik ezt kérdezték: „Hol van a zsidók újszülött királya? Mert láttuk a csillagát napkeleten és eljöttünk, hogy leboruljunk előtte!”
MAT.2.3	 Ahogy Heródes király ezt meghallotta, nyugtalanná lett és vele egész Jeruzsálem is.
MAT.2.4	 Összehívatta hát a nép valamennyi főpapját és írástudóját és megtudakolta tőlük: hol kell születnie a Krisztusnak?
MAT.2.5	 Azok azt felelték: „A júdeai Betlehemben, mert így szól a prófétán át adott írás:
MAT.2.6	 Júda földje Betlehem, semmiképpen sem vagy te legkisebb Júda vezérei közül, mert belőled származik majd egy vezér, aki népemet, Izráelt, terelgetni fogja.”
MAT.2.7	 Ekkor Heródes titkon elhívatta a mágusokat és pontos választ kért tőlük afelől az idő felől, mely óta az a csillag ragyog.
MAT.2.8	 Aztán elküldte őket Betlehembe.” Menjetek – mondotta – és tartsatok pontos kutatást a gyermek felől. Ha megtalálnátok, adjatok nekem hírt róla. Hadd menjek el én is, hadd boruljak le előtte én is.”
MAT.2.9	 Azok, miután a királyt meghallgatták, elutaztak. Egyszerre az a csillag, melyet napkeleten láttak, előttük haladt, amíg el nem jutott a fölé a hely fölé, ahol a gyermek volt és ott megállt.
MAT.2.10	 Mikor 
MAT.2.11	 Miután bementek a házba, megpillantották a gyermeket anyjával, Máriával, leborultak a földre és imádták őt. Azután felnyitották kincstartóikat és ajándékokat vittek neki: aranyat, tömjént és mirhát.
MAT.2.12	 De miután álomban kijelentést kaptak, hogy ne térjenek vissza Heródeshez, más úton mentek vissza országukba.
MAT.2.14	még azon az éjjelen felkelt, magához vette a gyermeket s annak anyját és elköltözött Egyiptomba.
MAT.2.15	 Ott volt, míg Heródes be nem fejezte 
MAT.2.16	 Heródest igen nagy indulat fogta el, mikor észrevette, hogy a mágusok kijátszották. Elküldött s megölette mindazokat a fiúkat, akik Betlehemben és annak határaiban két éven alul voltak, annak az időnek megfelelően, melyet a mágusoktól pontosan kikérdezett.
MAT.2.17	 Ekkor teljesedett be a Jeremiás prófétán át szólt ige:
MAT.2.18	 „Kiáltást hallottak Rámában, nagy sírást, jajveszékelést: Ráhel gyermekeit siratta s nem akart vigasztalódni, hogy nincsenek.”
MAT.2.19	 Mihelyt Heródes befejezte 
MAT.2.20	 „Kelj fel, vedd magadhoz a gyermeket s annak anyját és menj Izráel földjére. Mert halottak már azok, akik a gyermek lelkére törtek.”
MAT.2.21	 Felkelt 
MAT.2.22	 Mikor azonban meghallotta, hogy Júdeán atyja, Heródes helyén Arkhelausz uralkodik, félt odamenni. Miután álomban kijelentést kapott, félrevonult, Galilea vidékeire ment.
MAT.2.23	 Mikor odaért, egy Názáret nevű városban telepedett meg, hogy beteljesedjék a prófétákon át szólt ige, hogy názáretinek fogják hívni.
MAT.3.1	 Azokban a napokban megjelent Júdea pusztájában Bemerítő János
MAT.3.2	 és ezt hirdette: „Térjetek új felismerésre, mert itt van közel a mennyek királysága!”
MAT.3.3	 Hiszen őróla mondja az Ézsaiás prófétán át szólt ige: „Egy hang kiált a pusztában: Készítsétek el az Úrnak útját! Egyenesekké tegyétek ösvényeit!”
MAT.3.4	 János ruhája teveszőrből volt, bőr övezte derekát és eledele sáska és vadméz volt.
MAT.3.5	 Akkoriban Jeruzsálem, továbbá az egész Júdea és a Jordán egész környéke kiment hozzá
MAT.3.6	 s miközben vétkeiket megvallották, bemeríttették magukat vele a Jordán folyóba.
MAT.3.7	 De mikor látta, hogy sok farizeus és szadduceus is jön hozzá, hogy bemerítkezzék, így szólt hozzájuk: „Viperák fajzatai, ki figyelmeztetett titeket, hogy a rátok következő harag elől menekülnötök kell?
MAT.3.8	 Teremjetek hát oly gyümölcsöt, mely méltó ahhoz, hogy új felismerésre térjetek,
MAT.3.9	 s ne véljétek, hogy így gondolkozhattok: Ábrahám az atyánk! Mert azt mondom, hogy Isten képes ezekből a kövekből gyermeket támasztani Ábrahámnak.
MAT.3.10	 A fejsze pedig ott van már a fák gyökerén. Kivágnak minden fát, mely nem terem nemes gyümölcsöt és tűzre vetik!
MAT.3.11	 Én vízbe merítlek titeket, hogy más felismerésre térjetek, ám, aki utánam jön, erősebb nálam, s én arra sem vagyok elég, hogy saruját vigyem 
MAT.3.12	 Kezében lesz szórólapátja és áttisztítja szérűjét, búzáját csűrbe takarja, a polyvát pedig olthatatlan tűzzel megégeti!”
MAT.3.13	 Ekkor érkezett Jézus Galileából a Jordán mellé Jánoshoz, hogy bemeríttesse magát vele.
MAT.3.14	 De az erősen ellenállt és így szólt: „Nekem van arra szükségem, hogy te bemeríts engem, és mégis te jössz énhozzám?”
MAT.3.15	 Jézus azonban ezt felelte neki: „
MAT.3.16	 Miután Jézus bemerítkezett, azonnal feljött a vízből. Egyszerre csak megnyíltak az egek és 
MAT.3.17	 Azután szózat hangzott az égből és az ezt mondta: „Ez az én szeretett fiam, benne leltem tetszésemet.”
MAT.4.1	 Ekkor Jézust a Szellem felvitte a pusztába, hogy a vádló megkísértse.
MAT.4.2	 Negyven napon és negyven éjen át böjtölt s utoljára megéhezett.
MAT.4.3	 Ekkor hozzáment a kísértő és így szólította meg: „Ha Isten Fia vagy, mondd, hogy ezek a kövek kenyerekké váljanak.”
MAT.4.4	 Ám ő ezt felelte: „Írva van: Ne egyedül kenyérrel éljen az ember, hanem mindazzal a beszéddel, mely Isten szájából kijön.”
MAT.4.5	 Ezután magával vitte őt a vádló a szent városba és odaállította a szent hely ormára.
MAT.4.6	 „Ha Isten Fia vagy – mondta neki –, vesd magad alá! Írva van ugyanis: Angyalainak parancsol felőled, kezükön hordjanak, hogy lábad soha kőbe ne üsd!”
MAT.4.7	 „Az is írva van: – felelte neki Jézus – Ne tedd próbára Istenedet, az Urat!”
MAT.4.8	 Megint magával vitte a vádló egy igen magas hegyre s megmutatta neki a világ összes királyságait és azok dicsőségét.
MAT.4.9	 „Ezeket mind neked fogom adni, ha leborulsz és imádsz engem” – mondotta neki.
MAT.4.10	 Akkor Jézus ezt felelte: „El innen, sátán! Hiszen írva van: Istenedet, az Urat imádd, és csak őt szolgáld!”
MAT.4.11	 Ezzel elhagyta őt a vádló. Egyszerre angyalok jöttek hozzá és felszolgáltak neki.
MAT.4.12	 Miután 
MAT.4.13	 Elhagyta Názáretet és átköltözött a tóparti Kapernaumba, Zebulon és Neftalim határába,
MAT.4.14	 hogy az Ézsaiás prófétán át szólt ige beteljesedjék:
MAT.4.15	 „Zebulon földje és Neftalim földje, tómellék, Jordánon túl, nemzetek Galileája,
MAT.4.16	 a sötétségben ülő nép nagy világosságot látott: A halál földjén és árnyékában ülő népnek világosság támadt!”
MAT.4.17	 Ez időtől kezdve Jézus hirdetni kezdte: „Térjetek új felismerésre, mert közel van a mennyek királysága!”
MAT.4.18	 Miközben a galileai tenger partján járt, két testvért pillantott meg ott: Simont, kit Péternek mondanak és a testvérét, Andrást, amint éppen a körhálót vetették a tengerbe. Halászok voltak ugyanis.
MAT.4.19	 „Jertek utánam! – szólította meg őket – majd emberek halászaivá teszlek titeket.”
MAT.4.20	 Azok erre tüstént otthagyták a hálót s követték őt.
MAT.4.21	 Mikor onnan továbbment, két másik testvért pillantott meg, Zebedeus fiát, Jakabot és annak testvérét Jánost, amint atyjukkal, Zebedeussal a hajóban hálóikat szedték rendbe. Őket is hívta
MAT.4.22	 s ők tüstént otthagyták a hajót és atyjukat, követték őt.
MAT.4.23	 Majd bejárta egész Galileát, közben zsinagógáikban tanított, a királyság örömhírét hirdette és a nép között orvosolt minden betegséget és mindenféle gyengeséget.
MAT.4.24	 Híre az egész Szíriába eljutott, elhozták hozzá mindazokat, akiknek mindenféle betegség gonosz bántalmakat okozott, akiket kínok leptek meg s ördögök tartottak megszállva, akik holdkórosok, gutaütöttek voltak és meggyógyította őket.
MAT.4.25	 Nagy tömegek követték őt Galileából, a Tízvárosból, Jeruzsálemből, Júdeából és a Jordánon túlról.
MAT.5.1	 Ahogy a tömegeket meglátta, felment a hegyre. Ott leült és hozzámentek tanítványai.
MAT.5.2	 Ekkor megnyitotta száját és így tanította őket:
MAT.5.3	 „Boldogok a Szellem által a szegények, mert övék a mennyek királyi uralma!
MAT.5.4	 Boldogok, akik sírnak, mert meg fogják bátorítani őket!
MAT.5.5	 Boldogok a szelídek, mert örökrészül fogják kapni a földet!
MAT.5.6	 Boldogok azok, akik az igazságosságra éheznek és szomjaznak, mert majd kielégítik őket!
MAT.5.7	 Boldogok a könyörülők, mert rajtuk is könyörülni fognak!
MAT.5.8	 Boldogok a tisztaszívűek, mert látni fogják az Istent.
MAT.5.9	 Boldogok a békességet készítők, mert majd Isten fiainak hívják őket!
MAT.5.10	 Boldogok azok, akiket az igazságosságért üldöznek, mert övék a mennyek királyi uralma!
MAT.5.11	 Boldogok lesztek, még ha gyaláznak is titeket, ha énérettem üldöznek, és hazugul mindenféle rosszat mondanak majd ellenetek!
MAT.5.12	 Örüljetek, ujjongjatok ilyenkor, mert nagy a béretek a mennyekben! Hiszen már a prófétákat is így üldözték, akik előttetek éltek!
MAT.5.13	 Ti vagytok a föld sava! Ha a só ízét vesztené, mivel sóznak azután? Semmi ereje nincs többé, másra nem való, minthogy kivessék, és az emberek rajta tapossanak.
MAT.5.14	 Ti vagytok a világ világossága. Lehetetlen elrejteni a hegyen épített várost.
MAT.5.15	 Mécsest sem azért gyújtanak, hogy véka alá tegyék, hanem a mécslábra, onnan világít mindenkinek, aki a házban van.
MAT.5.16	 A ti világosságotok is úgy ragyogjon fel az emberek előtt, hogy mikor nemes tetteiteket látják, mennyekben 
MAT.5.17	 Ne gondoljátok, hogy a törvényt, vagy a prófétákat eltörölni jöttem. Nem eltörölni, hanem betölteni jöttem őket.
MAT.5.18	 Bizony azt mondom nektek, hogy amíg a menny és a föld elmúlnak, a törvényből egy i betű vagy egy vesszőcske sem múlik el, amíg csak minden meg nem történik.
MAT.5.19	 Ha tehát valaki a legkisebb parancsolatok közül egyet megront, és úgy tanítja az embereket, azt a mennyek királyságában a legkisebbnek fogják nevezni. Azt ellenben, aki megteszi és tanítja is, nagynak fogják nevezni a mennyek királyságában.
MAT.5.20	 Mert azt mondom nektek, hogyha igazságosságotok felül nem fogja múlni az írástudókét és farizeusokét, semmiképp be nem mehettek a mennyek királyságába.
MAT.5.21	 Hallottátok, hogy az ősöknek azt mondották: Ne ölj! Aki öl, az ítéletre kerül!
MAT.5.22	 Én azonban azt mondom nektek: Mindenki ítéletre kerül, aki testvérével haragot tart. Annak, aki testvérének azt mondja: Bolond, a nagy tanács elé kell kerülnie! Azt pedig, aki azt mondja: Ostoba, megfogta már a tüzes gyehenna.
MAT.5.23	 Ha tehát adományodat oltárra viszed, és ott eszedbe jut, hogy testvérednek valami 
MAT.5.24	 hagyd az adományt az oltár előtt, eredj el, békülj ki előbb testvéreddel, és csak aztán jöjj el és vidd fel adományodat.
MAT.5.25	 Siess megegyezni ellenfeleddel, míg az úton együtt vagy vele, hogy ellenfeled valahogy a bírónak ne adjon át, a bíró meg a törvényszolgának és a börtönbe ne vessenek! ?
MAT.5.26	 Bizony azt mondom neked, elő nem jössz onnan, amíg meg nem fizetsz az utolsó fillérig.
MAT.5.27	 Hallottátok, hogy azt mondták: Ne törj házasságot!
MAT.5.28	 De én azt mondom nektek, hogy szívében már házasságot tört az is mind, aki úgy nézett asszonyra, hogy megkívánta azt.
MAT.5.29	 Ha jobb szemed tőrbe ejt, vájd ki, vesd el magadtól! Hasznosabb neked, hogy tagjaid közül egy vesszen el, mint hogy egész testedet a gyehennára vessék!
MAT.5.30	 És ha jobb kezed ejt tőrbe, vágd le, dobd el magadtól! Hasznosabb neked, ha tagjaid közül egy vész el és nem egész tested jut a gyehennára!
MAT.5.31	 Azt mondták, aki feleségét elbocsátja, adjon válólevelet neki!
MAT.5.32	 Én azonban azt mondom néktek: Maga hajtja házasságtörésbe feleségét mindenki, aki azt paráznaság okán kívül elbocsátja és házasságtörő az, aki elbocsátottal összeházasodik.
MAT.5.33	 Azt is hallottátok, 
MAT.5.34	 De én azt mondom nektek, hogy egyáltalán ne esküdjetek! Se az égre, mert az az Isten trónusa!
MAT.5.35	 Se a földre, mert az lábának zsámolya. Se Jeruzsálemre, mert az ama nagy Királynak városa!
MAT.5.36	 Fejedre se esküdj, mert hajad egyetlen szálát sem tudod fehérré, vagy feketévé tenni!
MAT.5.37	 Beszédetek igen-igen, nem-nem legyen! Ami ennél több, az a rossztól való.
MAT.5.38	 Hallottátok, hogy azt mondták: Szemet szemért és fogat fogért!
MAT.5.39	 De én azt mondom nektek: Ne álljatok ellene a rossznak, hanem ha valaki jobb felől arcul üt, fordítsd oda a másik 
MAT.5.40	 annak pedig, aki el akarja perelni a köntösödet, add oda neki a köpenyedet is.
MAT.5.41	 Ha valaki egy mérföldnyi futárszolgálatra kényszerít, menj el neki kettőre!
MAT.5.42	 Adj annak, aki kér tőled, s el ne fordulj attól, aki kölcsönt akar tőled!
MAT.5.43	 Hallottátok, hogy azt mondták: Szeresd felebarátodat, gyűlöld ellenségedet!
MAT.5.44	 De én azt mondom nektek: Szeressétek ellenségeiteket, imádkozzatok üldözőitekért,
MAT.5.45	 hogy mennybéli Atyátok fiaivá lehessetek, mert ő napját rosszakra is, jókra is felhozza, esőt ad igazságosoknak is, hamisaknak is.
MAT.5.46	 Ha csak azokat fogjátok szeretni, akik szeretnek titeket, micsoda béretek lesz? Hát a vámszedők nem ugyanazt cselekszik-e?
MAT.5.47	 Ha csak testvéreiteket köszöntitek, mivel tesztek többet? Hát a pogányok nem ugyanazt teszik-e?
MAT.5.48	 Legyetek tökéletesekké, ahogy mennyei Atyátok is tökéletes (célját betöltött).
MAT.6.1	 Ügyeljetek arra, hogy igazságos 
MAT.6.2	 Ha könyöradományt osztanál, ne kürtöltess magad előtt a zsinagógákban és az utcákon, ahogy a képmutatók teszik, hogy az emberek dicsőítsék őket! Bizony azt mondom nektek, elesnek jutalmuktól.
MAT.6.3	 Mikor könyöradományt adsz, balkezed ne tudja, mit tesz a jobb,
MAT.6.4	 hogy könyörületességed rejtve maradjon s Atyád, aki rejtve néz, visszafizesse azt neked!
MAT.6.5	 Mikor imádkoztok, akkor se legyetek olyanok, mint a képmutatók, mert ezeknek az kedves, ha a zsinagógákban és a piacok szegletein állva úgy imádkozhatnak, hogy az emberek látják őket. Én azonban azt mondom, elveszítik jutalmukat.
MAT.6.6	 Te ellenben mikor imádkozol, eredj be kamrádba, zárd be az ajtót, s úgy imádkozz rejtve levő Atyádhoz és Atyád, aki rejtve néz, visszafizeti majd neked.
MAT.6.7	 Mikor imádkoztok, ne fecsegjetek, mint a pogányok, azok ugyanis úgy vélekednek, hogy sok beszédükért hallgatják meg őket.
MAT.6.8	 Ne legyetek hozzájuk hasonlók! Hiszen Atyátok, még mielőtt kérnétek Őt, tudja már, mire van szükségetek!
MAT.6.9	 Ti hát így imádkozzatok: Mennybéli Atyánk! Megszentelt legyen neved,
MAT.6.10	 jöjjön el királyi uralkodásod, történjék meg akaratod, a földön éppúgy, mint a mennyben!
MAT.6.11	 Naponkénti kenyerünket add meg ma is!
MAT.6.12	 Engedd el tartozásainkat, ahogy mi is elengedtük azokat a nekünk tartozóknak!
MAT.6.13	 Ne vígy bennünket kísértésbe, hanem ragadj ki a rosszból!
MAT.6.14	 Ha ugyanis elengeditek az embereknek eleséseiket, nektek is elengedi mennyei Atyátok azokat.
MAT.6.15	 De ha ti nem engeditek el az embereknek, nektek sem fogja elengedni Atyátok a ti eleséseiteket.
MAT.6.16	 Mikor böjtöltök, ne járjatok sötét arccal, mint a képmutatók! Eltorzítják ugyanis az arcukat, hogy az emberek lássák, hogy ők böjtölnek. Bizony azt mondom nektek, hogy elestek jutalmuktól.
MAT.6.17	 Te ellenben, ha böjtölsz, kend meg fejedet, mosd meg arcodat,
MAT.6.18	 hogy az emberek ne lássák, hogy böjtölsz, csak rejtve levő Atyád. És Atyád, aki rejtve néz, meg fog fizetni neked!
MAT.6.19	 Ne gyűjtsetek magatoknak kincseket a földön, hol 
MAT.6.20	 hanem a mennyben gyűjtsetek magatoknak kincseket, hol sem moly, sem rozsda 
MAT.6.21	 Mert ahol a kincsetek, ott lesz a szívetek is.
MAT.6.22	 A test mécsese a szem. Ha tehát szemed egyszerű, az egész tested világos lesz,
MAT.6.23	 de ha rossz a szemed, az egész tested sötét lesz. Ha aztán a benned levő világosság sötétség, mekkora lesz a sötétség!
MAT.6.24	 Senki sem lehet két úr rabszolgája, mert vagy gyűlölni fogja az egyiket és szeretni a másikat, vagy az egyikhez ragaszkodik, és a másikat megveti majd. Nem szolgálhattok egyszerre Istennek és a mammonnak!
MAT.6.25	 Azért azt mondom nektek: Ne aggodalmaskodjatok lelketekért, hogy mit egyetek, vagy mit igyatok, se testetekért, hogy mibe öltözzetek! Nem több-e a lélek, mint az eledel s a test, mint az öltözet?
MAT.6.26	 Tekintsetek az égi madarakra, hogy nem vetnek, nem aratnak, csűrbe sem takarnak, mennyei Atyátok mégis táplálja őket! Nem vagytok-e különbek azoknál?
MAT.6.27	 Ki az közületek, aki– azzal, hogy gondot hordoz, egy arasszal meg tudja nyújtani életét?
MAT.6.28	 Az öltözet felől is miért viseltek gondot? Tanuljátok el a mező liliomaitól, hogyan növekednek! Nem fáradnak, nem szőnek,
MAT.6.29	 mégis azt mondom nektek, hogy Salamon minden dicsőségében sem öltözködött úgy, mint közülük egy!
MAT.6.30	 Ha pedig Isten így ruházza a mező füvét, mely ma van, holnap a kemencébe vetik, mennyivel inkább titeket, ti kishitűek!
MAT.6.31	 Ne vegyetek hát gondot magatokra ilyen beszéddel: Mit együnk? Mit igyunk? Mivel ruházkodjunk?
MAT.6.32	 Mert mindezekre a pogányok törekszenek. Hiszen mennyei Atyátok tudja, hogy mindezekre szükségetek van.
MAT.6.33	 A királyságot és az Isten igazságosságát keressétek előbb, és azokhoz ezeket is hozzáadják majd nektek!
MAT.6.34	 Ne viseljetek hát gondot a holnapért, a holnapnak ugyanis meg lesz a maga gondja, elég minden napra annyi a bajból, amennyi reá jut.
MAT.7.1	 Ne ítéljetek, hogy titeket se ítéljenek!
MAT.7.2	 Azzal az ítélettel fognak titeket megítélni, amellyel ti ítéltek, azzal a mértékkel fognak mérni nektek, mellyel ti mértek.
MAT.7.3	 Miért nézegeted a testvéred szemében levő szálkát, mikor a saját szemedben a gerendát sem veszed észre?
MAT.7.4	 Vagy hogy mondhatod testvérednek: Hadd vegyem ki szemedből a szálkát! Mikor a te szemedben ott a gerenda?
MAT.7.5	 Képmutató! Vesd ki előbb saját szemedből a gerendát, aztán láss hozzá, hogy testvéred szeméből a szálkát kivesd.
MAT.7.6	 Ne adjátok oda azt, ami szent a kutyáknak, és ne dobjátok gyöngyeiteket a disznók elé, mert talán a lábukkal tapossák majd szét, s aztán visszafordulnak, és belétek hasítanak!
MAT.7.7	 Kérjetek s adnak majd nektek, keressetek és találni fogtok, zörgessetek és megnyitnak majd nektek.
MAT.7.8	 Mert minden kérő kap, minden kereső talál, és minden zörgetőnek megnyitnak majd.
MAT.7.9	 Vagy talán van olyan ember közöttetek, aki ha fia kenyeret kér, követ ad neki?
MAT.7.10	 Vagy ha halat kér, kígyót ad neki?
MAT.7.11	 Ha tehát ti, noha rosszak vagytok, tudtok jó ajándékokat adni gyermekeiteknek, mennyivel inkább fog adni mennybéli Atyátok jókat azoknak, akik őt arra kérik!
MAT.7.12	 Mindenben úgy tegyetek hát az emberekkel, ahogy akarjátok, hogy ők tegyenek veletek! Mert ez az, amit a törvény és a próféták 
MAT.7.13	 A szűk kapun át menjetek be! Mert tágas kapu és széles út, félre, a veszedelembe visznek, és sokan vannak, akik rajta mennek be.
MAT.7.14	 Mert szűk kapu és szoros út visz el az életre, csak éppen kevesen találnak rája.
MAT.7.15	 Óvakodjatok a hamis prófétáktól, akik juhok ruhájában mennek hozzátok, de belül ragadozó farkasok!
MAT.7.16	 Gyümölcseikről ismeritek fel őket. Vajon szednek-e tövisbokorról szőlőt és a tüskéről fügét?
MAT.7.17	 Így hát minden jó fa nemes gyümölcsöket terem s minden hitvány fa rossz gyümölcsöket terem.
MAT.7.18	 Jó fa nem képes rossz gyümölcsöket teremni, sem hitvány fa nem teremhet nemes gyümölcsöket.
MAT.7.19	 Kivágnak, és tűzre vetnek minden fát, mely nem terem nemes gyümölcsöt.
MAT.7.20	 Tehát gyümölcseikről ismeritek fel azokat is.
MAT.7.21	 Nem mindenki fog a mennyek királyságába bemenni, aki nekem azt mondja: Uram, Uram! Csak, aki mennybéli Atyám akaratát teszi.
MAT.7.22	 Azon a napon sokan szólnak majd így hozzám: Uram, Uram! Hát nem a te neveddel prófétáltunk-e? Nem a te neveddel űztünk-e ki ördögöket? Nem a te neveddel tettünk-e sok hatalmas 
MAT.7.23	 Én akkor ilyen vallomást fogok nekik tenni: Sohasem ismertelek titeket! Távozzatok tőlem ti, akik a törvény megrontásán munkálkodtok.
MAT.7.24	 Így hát mindenki, aki meghallgatja beszédeimet és megteszi azokat, hasonló lesz az olyan eszes emberhez, aki házát sziklára építette.
MAT.7.25	 Felhőszakadás támadt, áradások jöttek, szelek fújtak, rázúdultak a házra, de az nem omlott le, mert alapja sziklára volt vetve.
MAT.7.26	 Ám mindenki, aki meghallgatja beszédeimet, de nem teszi meg, hasonló lesz az olyan ostoba emberhez, aki házát fövenyre építette.
MAT.7.27	 Felhőszakadás támadt, áradások jöttek, szelek fújtak, rázúdultak arra a házra, az leomlott nagy zúdulással.”
MAT.7.28	 Úgy történt, hogy mikor Jézus befejezte ezeket a beszédeket, tanításán megdöbbentek a tömegek,
MAT.7.29	 mert úgy tanította őket, mint akinek fennhatósága van az 
MAT.8.1	 Ahogy lejött a hegyről, nagy tömeg követte.
MAT.8.2	 Egyszer csak egy bőrpoklos futott hozzá, lábához borult és megszólította: „Uram, ha csak akarnád, volna hatalmad, hogy engem megtisztíts.”
MAT.8.3	 Erre kinyújtotta kezét, megfogta és így szólt: „Akarom! Tisztulj meg!” Azonnal le is tisztult annak poklossága.
MAT.8.4	 Majd így szólt hozzá Jézus: „Vigyázz, senkinek ne szólj, hanem eredj, mutasd meg magadat a papnak és vidd fel tanúbizonyság-tételül nekik azt az adományt, melyet Mózes rendelt.”
MAT.8.5	 Bement Kapernaumba és egy százados lépett hozzá.
MAT.8.6	 „Uram! – esengett –, odahaza a legényemet ágyba döntötte a gutaütés, és borzasztóan kínlódik.”
MAT.8.7	 „Elmegyek, és gyógyítani fogom” – mondotta neki Jézus.
MAT.8.8	 De a százados ezt felelte: „Uram, nem vagyok én arra elég méltó, hogy fedelem alá jöjj, hanem csak szóval mondd, s legényem meggyógyul.
MAT.8.9	 Hiszen magam is fennhatóság alatt álló ember vagyok, alattam katonák vannak. Ha ezt mondom egyiknek: Indulj útnak, elindul, a másiknak: Jer csak! Eljön, s a rabszolgámnak: Tedd meg ezt! Megteszi.”
MAT.8.10	 Mikor Jézus ezt hallotta, elcsodálkozott és ezt mondotta azoknak, akik őt követték: „Bizony azt mondom nektek, Izráelben senkinél ekkora hitet nem találtam.
MAT.8.11	 Azt mondom nektek, hogy a mennyek királyságában napkeletről is, napnyugatról is sokan fognak érkezni s Ábrahámmal, Izsákkal és Jákóbbal asztalhoz dőlni.
MAT.8.12	 E királyság fiait ellenben ki fogják dobni a külső sötétségbe, ott lesz aztán csak sírás és fogcsikorgatás.”
MAT.8.13	 A századoshoz pedig így szólt Jézus: „Eredj! Ahogy hittél, úgy történjék veled!” S még abban az órában meggyógyult a legénye.
MAT.8.14	 Jézus aztán Péter házába ment be. Ott meglátta, hogy 
MAT.8.15	 Megfogta kezét, s arra elhagyta azt a láz. Aztán felkelt az 
MAT.8.16	 Ahogy beesteledett, sok ördöngőst vittek hozzá és ő szavával sok szellemet kiűzött. Sokakat gyógyított, akik gonoszul szenvedtek,
MAT.8.17	 hogy beteljesedjék az Ézsaiás prófétán át szólt ige: „Erőtlenségeinket elvette, és betegségeinket elhordozta!”
MAT.8.18	 Mikor Jézus tömeget látott maga körül, megparancsolta, hogy menjenek el a túlsó partra.
MAT.8.20	 De Jézus ezt felelte neki: „A rókáknak van barlangjuk, az égi madaraknak fészkük, de az ember Fiának nincs hova lehajtania fejét.”
MAT.8.21	 Egy másik tanítvány így szólt hozzá: „Uram, engedd meg nekem, hogy elmenjek előbb s eltemessem apámat,”
MAT.8.22	 Jézus azonban ezt felelte: „Kövess engem s hagyd, hogy a holtak temessék el halottaikat!”
MAT.8.23	 Majd beszállt egy hajóba s tanítványai követték.
MAT.8.24	 Egyszerre nagy rengés támadt a tavon, úgyhogy a hajót 
