MAT.1.1	Ǝntanay da esmawan n aljadan ǝn Ɣaysa Ǝlmǝsix, ahaya n ǝnnǝbi Dawǝd, d ǝnnǝbi Ibrahim:
MAT.1.19	Yusǝf, imosan alǝs oɣadan, wǝr ira ǝsǝkkǝrukǝd ǝn Maryama daɣ aytedan. Awen daɣ a fǝl isammarkas daɣ man-net as a dǝr-ǝs iɣrǝd da wǝr t-illa i ǝhan salan-nasan. 
MAT.1.20	Isamadran daɣ awen da as t-in-ibaz etǝs inafalal-as-du angalos n Ǝmǝli daɣ targǝt, inn-as: «Yusǝf, ahaya ǝn Dawǝd, a kay-wǝr-tǝggǝz tasa n azalaf ǝn Maryama, fǝlas barar wa ihan tadist-net, Infas wa Zǝddigan a d-ifal. 
MAT.1.21	Ad tǝgrǝw barar amaran kay ag-as esǝm Ɣaysa fǝlas ǝnta a zʼassafsin tamattay-net daɣ bakkadan.» 
MAT.1.22	Arat wa kul iga fǝl ad andu awal wa d-imal Mǝššina ǝs tarrayt n ǝnnǝbi Isayas as inna: 
MAT.1.24	As d-inkar Yusǝf daɣ etǝs, immozal s arat was t-omar angalos n Ǝmǝli, izlaf Maryama. 
MAT.1.25	Mišan wǝr kala a dǝr-ǝs inamansa har ihǝw barar. As ihǝw, ig-as Yusǝf esǝm Ɣaysa.
MAT.2.1	Azzaman n Ǝmǝnokal Herod a daɣ ihǝw Ɣaysa, daɣ ǝɣrǝm ǝn Betalxam, daɣ amaḍal ǝn Yahudǝyya. Ǝglan-du musanan ǝn manayan a d-ǝfalnen dǝnnǝg har d-osan Yerusalam. 
MAT.2.2	Ǝnnan: «Ma iga ǝmǝnokal ǝn Kǝl-Ǝlyǝhud wa ihǝwan da sǝket? Atri-net a nǝnay daɣ dǝnnǝg, amaran nǝkk-ay-du y a das-nǝssǝjǝd.» 
MAT.2.3	Arat wa as t-isla ǝmǝnokal Herod, iga aššawaša zǝwwǝran, ǝnta harkid Kǝl-Yerusalam kul. 
MAT.2.4	Iššedaw-du imuzaran ǝn limaman, ǝd musanan n Ǝttawret, issǝstǝn-tan d adag wa daɣ zʼihǝw Ǝlmǝsix. 
MAT.2.5	Ǝnnan-as: «Aɣrǝm ǝn Betalxam a daɣ zʼihǝw daɣ amaḍal ǝn Yahudǝyya, fǝlas ǝnnǝbi Mika iktâb âs: 
MAT.2.7	Tǝzzar isassaɣra-du ǝmǝnokal Herod imusanan win manayan en, imos awen arat igân daɣ ǝssir, issǝstan-tan ǝd tamert tas igmad aššak as ǝnta daɣ d-inafalal ǝtri wa ǝmalan den. 
MAT.2.8	Dǝffǝr awen issok-en Betalxam inn-asan: «Agliwat, taknim asawad i dad illa barar wa ihǝwan da, as tu-tǝgrawam, tǝmmǝram-i-du tǝmǝlam-i dad illa, fǝl ad t-akka ǝssǝjǝdaɣ-as nak da.» 
MAT.2.9	As dasan-iɣrad ǝmǝnokal awal, ǝglan. Tǝzzar oggan atri wa dasan-inafalalan daɣ jǝnnawan dat awen daɣ dǝnnǝg. Wǝr immǝzzay ǝtri en ad illa dat-san, azzar-asan, as imal dǝnnǝg adag wa iha barar, izzǝkkat. 
MAT.2.10	As ǝnayan atri as izzǝkkat, ǝknan tǝfalawist, 
MAT.2.11	ǝggazan-in ehan, ǝnayan barar d anna-net Maryama, ǝgaraffen ǝssǝjadan i barar. Dǝffǝr adi, oran ilalan-nasan, ǝkkasan-as-du daɣ-san šibǝddar ǝganen daɣ urǝɣ, d ǝššin sǝqqidan ǝzodnen, ǝmosnen ǝzzǝnǝf ǝn taɣǝlbast. 
MAT.2.12	Dǝffǝr awen isannafalal-asan-du Mǝššina daɣ targǝt as ad wǝr ǝqqǝlan Herod. Awen da a fǝl obazan tarrayt iyyat ǝqqalan akal-nasan.
MAT.2.13	Dǝffǝr as ǝglân, inafalal-du angalos n Ǝmǝli i Yusǝf daɣ targǝt, inn-as: «Ǝnkǝr, tidawaɣ ǝd barar d anna-net, takka tarmad akal ǝn Masar taqqama daɣ-as har dak-ǝmǝlaɣ assaɣa wa du-za-tǝqqǝla, fǝlas barar di ad igmǝy Herod ǝd tanaɣay-net.» 
MAT.2.14	Inkar Yusǝf, iddew ǝd barar d anna-net, eway ehad, obaz tarrayt ikka Masar. 
MAT.2.15	Ǝqqiman daɣ Masar den da har aba Herod. Arat wa iga fǝl ad andu awal wa d-iga Ǝmǝli ǝs tarrayt n ǝnnǝbi Osay a daɣ inna: 
MAT.2.16	As issan Herod as imusanan win manayan ǝmmizrayan batu-net ǝɣlayan-tu, iɣašašat, omar s ad tǝwǝnɣin bararan ǝn yayyan kul win ǝhǝwnen daɣ aɣrǝm ǝn Betalxam, ǝd ɣǝlǝyɣǝlayan-net, a d-obazan ɣur ǝššin elan har azzaman win den, imos as tamert ten da as das-ǝnnan musanan win ǝnta daɣ d-inafalal ǝtri. 
MAT.2.17	Den daɣ ad inda awal wa d-iga Ǝmǝli ǝs tarrayt n ǝnnǝbi Irmǝya a daɣ innâ: 
MAT.2.19	Dǝffǝr tǝmattant ǝn Herod, inafalal angalos n Ǝmǝli i Yusǝf daɣ targǝt, daɣ akal ǝn Masar. 
MAT.2.20	Inn-as angalos: «Ǝnkǝr, tidawaɣ ǝd barar di d anna-net, tǝqqǝlaɣ akal n Israyil, fǝlas aytedan win ǝranen tenaɣay-net, aba-tan.» 
MAT.2.21	Inkar Yusǝf, iddew ǝd barar d anna-net, iqqal akal n Israyil. 
MAT.2.22	Mišan igraw isalan as Arkalawǝs, a imosan ǝmǝnokal n akal ǝn Yahudǝyya, daɣ adag n abba-net Herod. Tǝzzar tǝggaz tasa Yusǝf, ab-as ihal iki ǝn Yahudǝyya, ikka akal ǝn Galilaya id Mǝššina a das-d-isannafalalan awen daɣ targǝt. 
MAT.2.23	Igla iɣsar daɣ ǝɣrǝm as itawannu Nazaret. Ǝmmǝk en daɣ as ǝgan aratan win, fǝl ad andu awal wa d-iga Ǝmǝli ǝs tarrayt n ǝnnǝbitan as ǝnnan: 
MAT.3.1	Elan dǝffǝr awen, issǝnta Yaxya wa isalmaɣan daɣ aman igi ǝn tǝlxutbat daɣ taneray ǝn Yahudǝyya. 
MAT.3.2	Igannu: «Utabat! Illikan as, Taɣmar ta n jǝnnawan tahôz!» 
MAT.3.3	Yaxya en daɣ a fǝl immǝgrad ǝnnǝbi Isayas assaɣa wad inna: 
MAT.3.4	Yaxya ilsa tabdoq tǝgât daɣ anzadan n ǝmnǝs, otâb s ǝsatǝb n agašek. Iddâr s ǝjwalan ǝd turawat. 
MAT.3.5	A t-in-tasin aytedan, ǝgmâdan-du Yerusalam, d akal ketnet wa n Yahudǝyya, d amaḍal kul wa n ɣǝlǝyɣǝlayan n agarew wa n Yordan, 
MAT.3.6	tutaban daɣ bakkadan-nasan dat tamattay, isalmaq-qan Yaxya daɣ aman daɣ agarew wen. 
MAT.3.7	Osan-du Farisaytan aggotnen, ǝd Sadusaytan, y a tan-issǝlmǝɣ Yaxya daɣ aman. As inay Yaxya arat wen inn-asan: «Xa taššolen šin! Ma kawan-issosanan ǝdǝrrǝg y attadib wa d-izayan ǝn Mǝššina? 
MAT.3.8	Daɣ adi taggiwat imazalan olaɣnen tǝsǝttǝddim sǝr-san tǝtubt-nawan! 
MAT.3.9	Wǝr igda ad tǝgannim daɣ man-nawan: "Nakkanay ǝzzurrǝyya n ǝnnǝbi Ibrahim a nǝmos," fǝlas silakanaɣ-awan as Mǝššina ifrâg ad isǝmmǝttǝy šihun šin tǝhannayam da, ixlǝk-du daɣ-asnat ǝzzurrǝyya y Ibrahim! 
MAT.3.10	Agat ǝnnǝyat! Tazǝft harwa ǝmǝrǝdda da tǝmmotag y a du-tǝsǝddǝngǝr y eškan. Daɣ adi ašǝk kul wa wǝr nǝtirǝw aratan olaɣnen, ad itǝwǝɣtǝs, itǝwǝgǝr-in daɣ tǝmsay! 
MAT.3.11	Nak, aman a daq qawan-salmaɣa, fǝl ad sǝnnǝfilǝlaɣ s awen tǝtubt-nawan. Mišan wa du-z-asin dǝffǝr-i, awa di-iga daɣ šigrat, wǝr eweda wala arra ǝn suɣan ǝn ɣateman-net. Ǝnta Infas Wa Zǝddigan ǝd tǝmsay a daq qawan-z-issǝlmǝɣ. 
MAT.3.12	Iha ǝlmital n awedan ittâfan tesayt y ad izzǝzǝr alkama-net. Išadaw alkama daɣ tadangawt-net, šiɣal amaran ag-enat daɣ tǝmsay tǝbilaglagat faw.»
MAT.3.13	Adan en da daɣ d-osa Ɣaysa, igmâd-du akal ǝn Galilaya, ikka-du agarew wa n Yordan, y ad t-issǝlmǝɣ Yaxya daɣ aman. 
MAT.3.14	Mišan igmay Yaxya d a daɣ-as ikkǝs awen. Inn-as Yaxya: «Nak a iddǝraran s a di-tǝssǝlmǝɣa daɣ aman, amaran kay iman-nak a di-d-ikkan?» 
MAT.3.15	Ijjǝwwab-as Ɣaysa inn-as: «Ǝmǝrǝdda ardu s arat wǝdi da, fǝlas ilzam-anaɣ ad nassandu arat kul wa ira Mǝššina.» Tǝzzar irda Yaxya s ǝsǝlmǝɣ ǝn Ɣaysa. 
MAT.3.16	Itawasalmaɣ Ɣaysa ɣas, igmad-du aman, ǝnnolaman jǝnnawan daɣ amazay wen da, ogga Infas ǝn Mǝššina as d-igmad ijǝnnawan, iha šaššelan ǝn tǝdabert, iwar-tu. 
MAT.3.17	Igmad-du ǝmǝsli ijǝnnawan inna: «Ǝnta ǝddi Barar-in ǝkne tara, amaran ǝnta a d-issǝndan agna-nin.»
MAT.4.1	Tǝzzar issoka Infas wa Zǝddigan Ɣaysa taneray y a daɣ-as t-ajjarrab Iblis. 
MAT.4.2	As iga Ɣaysa ǝkkozat tǝmǝrwen n ǝzǝl d ǝkkozat tǝmǝrwen n ahad izûm, iggaz-tu gǝlǝk. 
MAT.4.3	Ihoz-t-idu Iblis a n ǝnǝjjerrǝb inn-as: «Kud kay Barar ǝn Mǝššina, tamǝra šihun a s ad ǝqqǝlnat amensay.» 
MAT.4.4	Mišan inn-as Ɣaysa: «Wǝrgeɣ ǝnnan Ǝlkǝttaban: 
MAT.4.5	Ikka dǝr-ǝs Iblis aɣrǝm wa zǝddigan ǝn Yerusalam, issǝbdad-tu fǝl afalla n Ahan wa Zǝwwǝran n Ǝlɣibada, 
MAT.4.6	inn-as: «Kud kay Barar ǝn Mǝššina, tǝtǝrǝgge, fǝlas ǝnnan Ǝlkǝttaban: 
MAT.4.7	Inn-as Ɣaysa: «Wǝrgeɣ za Ǝlkǝttaban di ǝnnân: 
MAT.4.8	Dǝffǝr awen ikka dǝr-ǝs Iblis afalla n ǝdɣaɣ iknan tǝzzǝgrǝt, issǝswad-tu daɣ taɣmaren kul n ǝddǝnet ǝd tǝhussay-nasnat, 
MAT.4.9	inn-as: «Awa togge den kul ǝkfeɣ-ak-ku as di-tǝssǝjada tǝɣbadaɣ-i.» 
MAT.4.10	Inn-as Ɣaysa: «Ugag-i, Aššaytan! Wǝrgeɣ ǝnnan Ǝlkǝttaban: 
MAT.4.11	Amaran oyy-ay Iblis. Ǝhinan-in angalosan ǝkkân-du Ɣaysa ǝssanan daɣ-as.
MAT.4.12	As isla Ɣaysa ǝtǝrmǝs ǝn Yaxya, iqqal akal ǝn Galilaya. 
MAT.4.13	Mišan wǝr iqqim daɣ ǝɣrǝm ǝn Nazaret. Kalar igla iɣsar daɣ tǝɣrǝmt tǝgât Kafarnahum, tǝwârat tǝgadamayt n agaraw wa n Galilaya daɣ amaḍal ǝn Zǝbulun ǝd wa n Naftali. 
MAT.4.14	Ǝmmǝk en daɣ as inda awal wa d-iga Ǝmǝli ǝs tarrayt n ǝnnǝbi Isayas a daɣ innâ: 
MAT.4.17	Azzaman en da a daɣ iggaz Ɣaysa šin igi ǝn tǝlxutbat igannu: «Utabat, fǝlas Taɣmar ta n jǝnnawan tǝhôz!»
MAT.4.18	Ǝzǝl iyyan ijiwankat Ɣaysa fǝl tǝgadamayt n agaraw wa n Galilaya as inay ǝššin mǝdrayan, s iyyan esǝm-net Simɣon was itawannu Butros, d amadray-net Andrawǝs. Meddan win inabazan ǝn kifitan a ǝmosan. As tan-inay fattawan daɣ agaraw sangaytan-nasan win abbaz ǝn kifitan. 
MAT.4.19	Inn-asan Ɣaysa: «Ǝlkǝmat-i, a kawan-aga meddan sǝr-i du-za-tawaynen aytedan y a tan-assafsa daɣ bakkadan-nasan.» 
MAT.4.20	Oyyan sangaytan-nasan daɣ tamazayt ten da, əlkaman-as. 
MAT.4.21	As iga Ɣaysa arat ǝn teklay dǝffǝr awen, inay ǝššin mǝdrayan wiyyad, ǝmosnen Yaqub d amadray-net Yaxya win maddanǝs ǝn Zabaday. As tan-inay nimahan aɣlal n aman d abba-nasan Zabaday, kannin sangaytan-nasan win as tabazan kifitan. Iɣr-en Ɣaysa. 
MAT.4.22	Amazay wen daɣ ad oyyan aɣlal-nasan, ǝfalan abba-nasan, ǝlkaman i Ɣaysa.
MAT.4.23	Issǝwal Ɣaysa akal ǝn Galilaya ketnet, isasaɣru daɣ nan n ǝlɣibada ǝn Kǝl-Ǝlyǝhud. Immâl Ǝlinjil, imosan isalan ǝn Taɣmar ta n jǝnnawan, izuzǝy aytedan daɣ ǝkkulluk ǝn tǝwǝrna, d ǝkkulluk n ǝlɣib. 
MAT.4.24	Ǝmmǝk en daɣ as itawasla Ɣaysa daɣ amaḍal ǝn Surǝya kul. A das-du-tamawayan aytedan kul win ǝrinnen, ǝd win t-ǝllanen d ǝlɣiban a ǝqqalan, ǝd win ǝssǝranan kǝlǝsuf, ǝd win ǝlanen ikǝrǝkkitan ǝd nǝbdan, izuzǝy-tan. 
MAT.4.25	Ǝlkâmnat-as tǝmattiwen aggotnen a d-ǝfalnen Galilaya, d akal was itawannu «Wa-n-Maraw-Ɣǝrman», ǝd Yerusalam, d akal ǝn Yahudǝyya, d amaḍal wa ihan dǝnnǝg ǝn Yordan.
MAT.5.1	As inay Ɣaysa šimattiwen šin t-id-osanen den, iwar adɣaɣ. Iqqim den da, ǝhozan-tu nǝttulab-net. 
MAT.5.2	Issǝnta ǝsǝssǝɣri n aytedan win ǝllanen den. Inn-asan:
MAT.5.3	«Ǝbbilalan aytedan win ǝllǝqqawnen daɣ man-nasan,
MAT.5.3	ǝqbâlan as ǝddiraran ǝs Mǝššina
MAT.5.3	fǝlas Taɣmar ta n jǝnnawan šin-nasan.
MAT.5.4	Ǝbbilalan win hallinen,
MAT.5.4	fǝlas a tan-isǝddǝwǝt Mǝššina.
MAT.5.5	Ǝbbilalan win ǝssǝrasnen iman-nasan,
MAT.5.5	fǝlas ad ǝgrǝwan akal wa dasan-issǝnsa Mǝššina.
MAT.5.6	Ǝbbilalan win ǝknanen deran n awa oɣadan,
MAT.5.6	fǝlas ad t-ǝgrǝwan.
MAT.5.7	Ǝbbilalan win hanattatnen i naragan-nasan,
MAT.5.7	fǝlas ǝntanay da a dasan-ihǝnǝttǝt Mǝššina.
MAT.5.8	Ǝbbilalan win as zaddogan wallan-nasan,
MAT.5.8	fǝlas ad ǝnǝyan Mǝššina.
MAT.5.9	Ǝbbilalan win tagginen alxer,
MAT.5.9	fǝlas a dasan-agu Mǝššina esǝm bararan-net.
MAT.5.10	Ǝbbilalan win tawadgaznen fǝl igi n awa oɣadan,
MAT.5.10	fǝlas Taɣmar ta n jǝnnawan šin-nasan.
MAT.5.11	Tǝbbilalam kawanay a rabbadan aytedan, ǝdgâzan-kawan, wǝr t-illa ǝzzǝnǝf n ǝzgǝn a kawan-wǝr-ǝssǝwaran, fǝl ǝddǝlil-in. 
MAT.5.12	Awalla, dawatat, tǝfǝliwǝsam, fǝlas tǝlâm arozan aggotnen daɣ jǝnnawan. Ǝnnǝbitan win dat-wan, da ǝmmǝk wǝdi daɣ as tawadgazan.»
MAT.5.13	Inn-asan Ɣaysa: «Kawanay tesǝmt a tǝmosam y ǝddǝnet. Amaran as imos as tesǝmt ta, ab-as tǝla tembay, mǝni ǝmmǝk was tat-du-za-tǝtǝwǝsuɣǝl tembay-net? Tesǝmt ta, ab-as tǝnfa wala: wǝr tǝhor ar d a din-tǝtǝwǝgǝr sǝdi, a tat-dayyazan aytedan. 
MAT.5.14	Ǝnnur n ǝddǝnet a tǝmosam. Aɣrǝm ikrâsan fǝl afalla n ǝdɣaɣ, wǝr t-illa awedan a tu-wǝr-za-nǝnǝy. 
MAT.5.15	Ǝmmǝk en daɣ a tǝga fǝtǝla: As tǝrɣa, wǝr za tǝtǝwǝggu daw ǝɣǝzu! Kalar ǝtǝwǝgga a za tagu daɣ adag iknan ahaku fǝl ad tǝsǝmmǝlǝwlǝw aytedan kul win ǝhanen ehan. 
MAT.5.16	Ǝmmǝk di daɣ as imǝlǝwlǝwet ǝnnur-nawan, dat aytedan kul, fǝl ad ǝnǝyan aratan olaɣnen win tǝtaggim, awǝy-du sǝr-san awen ad ǝmmâlan tanaya n Abba-nawan di ihan ijǝnnawan.»
MAT.5.17	Inn-asan Ɣaysa: «Ad wǝr tǝɣilam assa a d-ǝge y a din-ǝkkǝsaɣ awa iktaban daɣ Ǝttawret, madeɣ Ǝlkǝttaban n Ǝnnǝbitan. Wǝrgeɣ adi a d-ǝkke, kalar assa a d-ǝgeɣ y a tan-assanda. 
MAT.5.18	Ǝggiyyeɣ ǝsilakanaɣ-awan as: Iket ǝllan-tu jǝnnawan d amaḍal, Ǝttawret wǝr t-in-za-tǝgmǝd wala tǝtǝbǝqqet, amaran wala ɣas ǝsakkal wǝr t-in-z-igmǝd iket wǝr inda arat kul wa daɣ-as iktaban. 
MAT.5.19	Awen daɣ a fǝlas awedan wa immǝzrayan wala ɣas alwajib wa ogaran tǝmmǝdrǝyt, omar aytedan s ad agin awen da, awedan wǝdi ǝnta a zʼagǝran eres daɣ Taɣmar ta n jǝnnawan. Mišan as imos as ibbirdag awedan y alwajiban win, isasaɣr-en y aytedan, wǝdi ad igrǝw adkul daɣ Taɣmar ta n jǝnnawan. 
MAT.5.20	Awalla, ǝmâlaɣ-awan âs as wǝr tǝgem i Mǝššina ǝbǝrdǝg ogaran wa das-ǝgan musanan n Ǝttawret, ǝd Farisaytan, wǝdi wǝr za tǝggǝzam Taɣmar ta n jǝnnawan.
MAT.5.21	Tǝslâm as itiwanna y aljadan-nana daɣ Ǝttawret: 
MAT.5.21	As iga awedan iman, ad t-ibǝz ǝššǝriɣa awwaddab. 
MAT.5.22	Nak za ǝnneɣ-awan, awedan kul wa iggaz alham n iyyan, wǝdi ad t-ibǝz ǝššǝriɣa awwaddab. Awedan deɣ kul wa innan y iyyan: "Anafnoz!" Wǝdi ad itǝwǝsǝbdǝd dat Asaggawar wa Zǝwwǝran as itawannu Sanhedrin fǝl ad itǝwǝšrǝɣ, amaran awedan wa innan y iyyan: "Kay amaros!" Wǝdi ǝššǝriɣa-net Jahannama. 
MAT.5.23	Daɣ adi as du-tǝkteɣ as iššak-kay awedan daɣ amazay wa daɣ du-tewaya tǝkutay-nak s adag wa n ǝsǝqqǝd ǝn tǝkutawen, 
MAT.5.24	tayya takutay-nak ǝddi da, tagla har tǝnǝmǝsurǝfa d awedan wǝdi, dǝffǝr adi amaran tǝqqǝla taga takutay-nak. 
MAT.5.25	As kay-issǝwar awedan lahan, takna dǝr-ǝs tarmad iket di ad tǝhâm tarrayt. As wǝr iga adi, awedan wǝdi, ad išǝššiwǝd batu tǝdi ǝlqali. Tǝzzar inkǝr ǝlqali ag-ik daɣ fassan ǝn soji a kay-z-agin daɣ kasaw. 
MAT.5.26	As iga adi amaran ǝggǝyyeɣ ǝsilakanaɣ-ak as wǝr du-za-tǝgmǝdaɣ iket wǝr tǝɣreda arazam n arat kul was kay-ǝwaran ǝrruzmatan-net. Wala tamma iyyadda wǝr din-za-taqqam.
MAT.5.27	Tǝslâm as itiwanna: 
MAT.5.28	Nak za ǝnneɣ-awan awedan kul wa igan daɣ tǝntut asawad daɣ isidaran ǝnǝmǝnsa-net, wǝdi igâ dǝr-ǝs ǝzzǝna daɣ ǝwǝl-net. 
MAT.5.29	Kud šat-nak ta n ǝɣil a tǝbukat a dak-tǝqqǝl ǝssǝbab n igi n abakkad, tǝkǝkkǝreq-qat-du tǝgǝraq-qat-in, id of-ak tǝgmad-kay tǝslǝt-nak iyyadda, y ad tǝtǝwǝgǝr tǝɣǝssa-nak kul daɣ Jahannama. 
MAT.5.30	Amaran kud ǝfus-nak wa n ǝɣil a ibukan a dak-iqqǝl ǝssǝbab n igi abakkad, tǝfrǝsaq-qin tǝgǝraq-q-in, id of-ak tǝgmad-kay tǝslǝt-nak iyyadda, y ad tǝggǝz tǝɣǝssa-nak ketnet Jahannama.»
MAT.5.31	Igla Ɣaysa iššewal, inn-asan: «Itiwanna deɣ: 
MAT.5.32	Nak za silakanaɣ-awan as i izammazzayan tantut-net fǝl a wǝr nǝmos igi ǝn meddan, wǝdi ǝsǝssugi a tat-iga ǝzzǝna, amaran as izlaf alǝs iyyan tantut ta tǝmmǝzzayat da, wǝdi ǝzzǝna a iga ǝnta da.
MAT.5.33	Tǝslâm deɣ as itawanna y aljadan-nana: 
MAT.5.34	Nak za ǝnneɣ-awan, ad wǝr tǝhhadam fǝl arat waliyyan fadda: Gǝr za ǝs jǝnnawan, fǝlas edag n ǝlxǝkum ǝn Mǝššina a mosan, 
MAT.5.35	wala deɣ tǝhǝdam s amaḍal, fǝlas ǝnta a illan daw daran-net, wala deɣ tǝhǝdam ǝs Yerusalam, fǝlas ǝnta a tǝmosat aɣrǝm n Ǝmǝnokal wa Zǝwwǝran, a t-imosan Mǝššina. 
MAT.5.36	Ad wǝr tǝhhadaɣ ǝnta da s aɣaf-nak, fǝlas wǝr tǝfregaɣ ǝsǝmlǝl n anzad-net waliyyan da, wala deɣ ǝsǝkwǝl-net. 
MAT.5.37	Ganniwat ɣas: "Ayew" y awa imosan tidǝt, madeɣ "kala" y awa imosan bahu. Batu a du-tǝššotam fǝl adi kul Aššaytan as du-tǝha.
MAT.5.38	Tǝslâm as itiwanna: 
MAT.5.39	Nak za ǝnneɣ-awan ad wǝr tǝtagazam iman-nawan daɣ amaksan. Kalar as dak-iqqas fǝl ǝmdǝd-nak wa n ǝɣil, takfaq-qu amdǝd-nak wa hadan. 
MAT.5.40	As ira awedan a kay-ibǝz s ǝššǝriɣa fǝl ad igrǝw alɣaššaba-nak, takfaq-qu ǝbǝrnuz-nak da. 
MAT.5.41	As kay-išahhaššal awedan aggay ǝn lalan-net har ǝgim ǝn takkolt, tawǝyaɣ-as-tan har ǝššin gim ǝn takkolt. 
MAT.5.42	I kay-onsayan takfaq-qu, i daɣ-ak igmayan ǝmarwas, a das-tu-wǝr-tǝgdǝla.
MAT.5.43	Tǝslâm as itiwanna: 
MAT.5.44	Nak za ǝnneɣ-awan: Iriwat izǝnga-nawan, ad tǝtaggim šiwatriwen olaɣnen y aytedan win kawan-ǝsasnen, 
MAT.5.45	fǝl ad tǝqqǝlam ǝs tidǝt da bararan n Abba-nawan wa ihan ijǝnnawan. Ǝnta a d-isagmadan tǝfuk-net fǝl aytedan win maksanan ǝd win olaɣnen, isawat akonak-net fǝl win oɣadnen ǝd win nǝmmǝzray. 
MAT.5.46	Kud wǝr tarem âr aytedan win kawan-ǝranen, awak ma imos aroz wa za tǝgrǝwam daɣ awen? Wǝrgeɣ aytedan win zarzamnen takǝsen a ǝmosnen imaksanan da awen daɣ a ǝgan? 
MAT.5.47	As imos as imǝdrayan-nak ɣas a tareɣ tǝsaslamaq-qan, awak ma imos arat immittayan wa tǝgeɣ? Wǝrgeɣ aytedan win wǝr nǝssen Mǝššina da adi daɣ a taggin? 
MAT.5.48	Daɣ adi kawanay, ǝqqǝlat aytedan ǝkmâlnen šilat n Abba-nawan wa ihan ijǝnnawan.»
MAT.6.1	Igla Ɣaysa iššewal, inn-asan: «Ǝnkǝdat d igi n ǝlɣibada imosan sokni. As wǝr iga adi wǝr za tǝgrǝwam arozan ɣur Abba-nawan wa ihan ijǝnnawan.»
MAT.6.2	«As tǝtagga takutay y amaddarar, ad wǝr iqqǝl adi arat tǝsinafalala, zun awa taggin ǝlmunafiqan daɣ nan n ǝlɣibada ǝn Kǝl-Ǝlyǝhud, ǝd tarrayen, fǝl tara n ad ǝgrǝwan adkul ɣur aytedan. Ǝggǝyyeɣ ǝsilakanaɣ-awan as ǝlmunafiqan win di arozan-nasan ǝgrâwan-tan. 
