MAT.1.1	Taariika iwdi Iisaa *Almasiihu mo Daawuuda mo Ibraahiima.
MAT.2.6	‹Ko an yo koɗolun Bayti-Lahiimi,
MAT.2.6	jeyaakun e nder leydi bolondaa Yahuuda,
MAT.2.6	hinaa a gasoohun hayfineede e yeeso
MAT.2.6	ɗiya koɗooli hittuɗi e nder Yahuuda.
MAT.2.6	Ko fii lanɗo yaltay e maa
MAT.2.6	ko ardoo jamaa an *Isra'iila on.› »
MAT.2.7	Onsay Heroodu noddi ɓen gandiɗuɓe e gundoo, o torii ɓe yo ɓe tentinan mo saa'i mo hoodere nden feeɲi e mun on. 
MAT.2.8	Onsay o immini ɓe Bayti-Lahiimi, o wi'i ɓe: «Yahee humpitoyoɗon no laaɓiri fii kun paykun. Si on yi'oyii kun, humpiton mi min kadi, mi yaha mi sujjana kun.» 
MAT.2.9	Ɓay wonii ɓe nanii ko lanɗo on wi'i kon, ɓe yahi. Tawi hoodere nde ɓe yi'unoo ka funnaange nden no wontirde yeeso maɓɓe. Ɓay wonii nde hewtii fewndo ka paykun kun woni ɗon, nde darii. 
MAT.2.10	Ɓay kamɓe gandiɗuɓe ɓen ɓe yiitii hoodere nden, ɓe heewi weltaare. 
MAT.2.11	Onsay ɓe naati ka suudu, ɓe yi'i paykun kun e yumma mun Mariyama, ɓe jiccii, ɓe sujjani kun. E hoore ɗun ɓe yaltini jawle maɓɓe, ɓe okkori kun kaŋŋe e urngallo no wi'ee libaana e *mirri. 
MAT.2.12	Onsay Allaahu on andini ɓe e koyɗol wonde hita ɓe yiltito ka Heroodu. Ɓe rewti laawol goo, ɓe hooti ka leydi maɓɓe.
MAT.2.13	Ɓay wonii ɓen gandiɗuɓe yahii, malaa'ikaajo Joomiraaɗo on feeɲani Yuusufu e koyɗol, o wi'i mo: «Immo, ƴettaa paykun kun e yumma mun, dogaa yahaa *Misira, wonaa ton haa nde mi wi'i yo a artu woo. Ko fii Heroodu ɗaɓɓitoyay paykun kun fii warugol kun.» 
MAT.2.14	Yuusufu immii jemma, ƴetti paykun kun e yumma mun, yahi Misira. 
MAT.2.15	O woni ton haa Heroodu maayi. Ko nii ko Joomiraaɗo on daalirnoo annabaajo on kon laatori, wonde: «Mi noddii Ɓiɗɗo an on yo o yaltu Misira.»
MAT.2.16	Ɓay Heroodu yi'ii wonde gandiɗuɓe ɓen janfike mo, o tikki. Onsay o yamiri yo ɓe waroy kala paykun gorun kun duuɓi ɗiɗi maa jaasukun ɗun wonkun e nder Bayti-Lahiimi e koɗoloy takkiikoy ɗon koy, ɗun yaadi e saa'i mo gandiɗuɓe ɓen feɲɲinannoo mo on. 
MAT.2.17	Ko nii ko daaliranoo annabi Yeremiiya kon laatori, wonde:
MAT.2.18	«Hito nanike ka wi'etee ɗon Raama:
MAT.2.18	wullaandu e sowru tiiɗundu.
MAT.2.18	Tawi ko Raahiilu woni wullude ɓiɓɓe mun ɓen,
MAT.2.18	o jaɓaano yarlineede, ko fii ɓe woodaaka han kadi.»
MAT.2.19	Ɓay wonii Heroodu maayii, malaa'ikaajo Joomiraaɗo on feeɲani Yuusufu e koyɗol Misira, 
MAT.2.20	o wi'i mo: «Immo, ƴettaa paykun kun e yumma mun, yiltitoɗaa leydi Isra'iila, ko fii faalanooɓe warude paykun kun ɓen maayii.» 
MAT.2.21	Onsay Yuusufu ƴetti paykun kun e yumma mun, o yahi leydi Isra'iila. 
MAT.2.22	Kono o nani wonde Arkalaawu laamike diiwal Yahuuda ngal lonto ben mun Heroodu, o huli wonoygol ton. Allaahu on ɓanginani mo e koyɗol, o yaari e ngal diiwal Jaliilu, 
MAT.2.23	o wonoyi e saare no wi'ee Naasirata, fii no ko daaliranoo annabaaɓe ɓen kon laatora, wonde: «O noddoyte Naasirayankoojo.»
MAT.3.1	Ko e on saa'i ɗon, Yaayaa *lootoowo maande tuubuubuyee on feeɲi, tawi himo waajoo ka wulaa diiwal Yahuuda, 
MAT.3.2	himo wi'a: «Tuubee, ko fii laamu kammu ngun ɓadike!» 
MAT.3.3	Tawi ko fii makko annabi *Isaaya wowlunoo, o wi'i:
MAT.3.3	«Kaa hawa ko hawa ewnotooɗo ka wulaa, wi'a:
MAT.3.3	‹Moƴƴinee laawol Joomiraaɗo on,
MAT.3.3	fewnon juri makko ɗin!› »
MAT.3.4	Tawi dolokke Yaayaa on ko leeɓi ngelooba, dattol keeci makko ɗin ko guri. Tawi ko kanu e njuuri buruure o ɲaamata. 
MAT.3.5	Hoɗuɓe Yerusalaam ɓen e ɓe ka diiwal Yahuuda ɓen fow e koɗooli hunduɗi Yurdayniwol ɗin fow ari e makko. 
MAT.3.6	Ɓe qirritii junuubaaji maɓɓe ɗin, o looti ɓe maande tuubuubuyee ka maayo Yurdayniwol.
MAT.3.7	Ɓay o yi'ii *Fariisiyaaɓe e *Sadduusiyaaɓe buy no arude fii *lootegol maande tuubuubuyee, o wi'i ɓe: «Ko onon yo iwdi kuura! Ko hombo tindini on dogugol tikkere aroyaynde nden? 
MAT.3.8	Awa yo kuuɗe mon ɗen hollu wonde on tuubii. 
MAT.3.9	Hara on hooloraali wi'ugol wonde ko Ibraahiima woni maama mon, ko fii mi andinii on, Alla no waawi wattude ɗee kaaƴe ɗoo ɓiɓɓe Ibraahiima. 
MAT.3.10	Toode teenirde nden no waalii ka binde leɗɗe. Kala leggal ngal rimataa ɓiɓɓe moƴƴuɓe, ngal soppete, ngal bugee ka yiite!
MAT.3.11	«Min ko ndiyan mi woni on lootirde maande tuubuubuyee. Kono on aroyoowo ɓaawo an no ɓuri lan doole, awa kadi mi hewtaa hay solugol paɗe makko ɗen. On non ko *Ruuhu Seniiɗo on e yiite o lootirta on. 
MAT.3.12	Himo jogii feeteewo makko ngon ka jungo ko o hentinira bete
MAT.3.13	Onsay Iisaa iwri Jaliilu, o ari Yurdayniwol ka Yaayaa, fii yo on lootu mo. 
MAT.3.14	Kono Yaayaa salii, wi'i: «Ko min haani arude yo a lootan! Kono an a arii yo mi loote!» 
MAT.3.15	Kono Iisaa jaabii mo wi'i: «Accu wonira non, ko fii ko nii haanirani en timmingol peewal ngal fow.» Ko e hoore ɗun Yaayaa jaɓi mo lootude. 
MAT.3.16	No Iisaa gayniranoo looteede, o ƴawi ka ndiyan, tun kammu ngun udditii, o yi'i Ruuhu Allaahu on no tippora e makko wa gabooru. 
MAT.3.17	Onsay hawa nanii ka kammu, no wi'a: «Ko oo woni Ɓiɗɗo an Yiɗaaɗo, mo mi weltori on!»
MAT.4.1	Ɓawto ɗun, Ruuhu Allaahu on nawri Iisaa ka wulaa fii no Ibuliisa ndarndora mo. 
MAT.4.2	O hoori balɗe cappanɗe nay, jemma e ɲalorma. Ɓawto ɗun o weelaa. 
MAT.4.3	Ndarndotooɗo on ɓadii mo, wi'i: «Si tawii ko a *Ɓiɗɗo Alla, yamir ɗee kaaƴe yo ɗe wontu ɲaametee.»
MAT.4.4	Iisaa jaabii: «No windii wondema: ‹Neɗɗo hinaa ɲaametee tun wuurirta, kono ko kala konguɗi iwruɗi ka Alla.› »
MAT.4.5	Ibuliisa nawri mo kadi ka saare hormorde, ɗun ko Yerusalaam, o joɗɗinoyi mo ka hoore warɲakere *juulirde mawnde, o wi'i mo: 
MAT.4.6	«Si tawii ko a Ɓiɗɗo Alla, hocco ɗon cikkoɗaa ka leydi, ko fii no windii wondema: ‹O yamiray malaa'ikaaɓe makko ɓen fii maa, ɓe tamboro-maa juuɗe maɓɓe ɗen, fii wota koyngal maa ngal feggo e hayre.› »
MAT.4.7	Iisaa jaabii mo wi'i: «No windii kadi wondema: ‹Wota a ndarndo Joomiraaɗo on, on Alla maa.› »
MAT.4.8	Ibuliisa nawri mo kadi e fello toowungo fota, o holli mo laamateeriiji aduna on fow e darja mun. 
MAT.4.9	O wi'i mo: «Mi okkete ɗun fow si a jiccike, a sujjanii lan.»
MAT.4.10	Iisaa jaabii, wi'i: «Pottito, yo Ibuliisa, ko fii no windii: ‹Ko Alla Joomiraaɗo maa on sujjantaa, rewaa mo kanko tun.› »
MAT.4.11	Onsay Ibuliisa pottitii mo. Ɓawto ɗun malaa'ikaaɓe ɓadii Iisaa fii kurkanagol mo.
MAT.4.12	Ɓay Iisaa andii Yaayaa wattaama e joge, o yahi Jaliilu. 
MAT.4.13	O eggi Naasirata, o yahi, o hoɗoyi Kafernahuum ka daande weendu ka kernidi ɗon e Zabuluunu e Naftali, 
MAT.4.14	fii no ko daaliranoo annabi Isaaya kon laatora, wonde:
MAT.4.15	«Ko an yo leydi Zabuluunu e Naftali
MAT.4.15	leyɗe wonɗe ka daande weendu,
MAT.4.15	gaɗa Yurdayniwol,
MAT.4.15	ɗun ko Jaliilu ka ɗiya leƴƴi hoɗi e mun.
MAT.4.16	Oo jamaa wonɗo e nder niwre
MAT.4.16	yi'ii ndaygu moolanaangu,
MAT.4.16	e hoore ɓen jooɗiiɓe e ndin leydi
MAT.4.16	ndi ɗowdi mayde woni e mun,
MAT.4.16	ndaygu jalbanii ɓe.» 
MAT.4.17	Gila ɗun Iisaa fuɗɗii waajaade, wi'a: «Tuubee, ko fii laamu kammu ngun ɓadike!»
MAT.4.18	E nder ko o yiilotoo e daande *Weendu Jaliilu ndun kon, o yi'i musiɓɓe ɗiɗo no bugoo *jalaaji ka weendu, tawi ɓen ko yungooɓe: goɗɗo on no wi'ee Sim'uunu, mo o jammoyta Petruusu, oya on no wi'ee Andaraawu, miɲɲiraawo makko kanko Sim'uunu on. 
MAT.4.19	O wi'i ɓe: «Jokkee lan, mi wattay on yungooɓe yimɓe.» 
MAT.4.20	Ɗon kisan ɓe acciti jalaaji ɗin, ɓe jokki mo.
MAT.4.21	E nder yaadu maɓɓe ndun, Iisaa yi'i musiɓɓe ɗiɗo goo kadi, tawi ɓen ko Yaaquuba e miɲan mun Yuuhanna, ɓen ko ɓiɓɓe Zabadii. Tawi ɓen no wondi e ben mun Zabadii ka nder laana, hiɓe moƴƴintina jalaaji maɓɓe. Kanko Iisaa o noddi ɓe. 
MAT.4.22	Ɗon kisan ɓe acci ɗon laana kan e ben maɓɓe, ɓe jokki mo.
MAT.4.23	Tawi Iisaa no yiiloo e nder Jaliilu fow, janna ka nder juulirɗe, waajoo fii Kibaaru Moƴƴo *laamu Alla ngun, e himo ɲawndora kala noone ɲabbeeli e nawnaaje yimɓe ɓen. 
MAT.4.24	Fii makko andii e nder Sirii on fow. O addanaa kala tampirɗo nawnaare e noonee muuseendiiji e ɓe jinna e iirotooɓe e maaya-ɓanduuɓe, o ndikkini ɓe. 
MAT.4.25	Jamaa moolanaaɗo iwruɗo Jaliilu e *Dekapooli e Yerusalaam e diiwal Yahuuda ngal e ɓe gaɗa Yurdayniwol jokki mo.
MAT.5.1	Ɓay Iisaa yi'ii jamaa on, o ƴawi ka fello, o jooɗii, taalibaaɓe makko ɓen kadi ɓadii mo. 
MAT.5.2	Onsay o woni e jannugol jamaa on, wi'a:
MAT.5.3	«Yondiniiɓe ka ɓernde ɓen ko malaaɓe,
MAT.5.3	ɓay laamu kammu ngun ko kamɓe wonani.
MAT.5.4	Yoomuɓe ɓen ko malaaɓe,
MAT.5.4	ɓay ɓerɗe maɓɓe ɓuttinoyte.
MAT.5.5	Newiiɓe ɓen ko malaaɓe,
MAT.5.5	ɓay ɓe ronoyay leydi ndin.
MAT.5.6	Weelaaɓe ɗonɗaa peewal ɓen ko malaaɓe,
MAT.5.6	ɓay ɓe harnoyte.
MAT.5.7	Yurmeteeɓe ɓen ko malaaɓe,
MAT.5.7	ɓay ɓe yurminoyte.
MAT.5.8	Laaɓa-ɓerndeeɓe ɓen ko malaaɓe,
MAT.5.8	ɓay ɓe yi'oyay Alla.
MAT.5.9	Ɓuttinooɓe ɓen ko malaaɓe,
MAT.5.9	ɓay ɓe noddiroyte ɓiɓɓe Alla.
MAT.5.10	Cukketeeɓe sabu peewal ngal ko malaaɓe,
MAT.5.10	ɓay laamu kammu ngun ko kamɓe wonani.
MAT.5.11	«On wonay malaaɓe nde ɓe yenni on e nde ɓe cukkii on e nde ɓe fawi penaale e kala bone e hoore mon sabu an. 
MAT.5.12	Weltee, wonon e nder welo-welo, ɓay hiɗon maranaa njoddi mawndi ka kammu, ko fii ko nii ɓe cukkornoo annabaaɓe adinooɓe on ɓen.
MAT.5.13	«Ko onon woni lanɗan aduna on. Kono si dakamme majjan on iwii, haray ko honno dakamme majjan on wattirtee? Haray ɗan alaa nafa fus si hinaa bugegol ka yaasi, ɗan yaaɓee.
MAT.5.14	«Ko onon woni ndaygu aduna on. Si saare wonii e hoore fello, haray nde waawetaake suuɗeede. 
MAT.5.15	Hay gooto huɓɓintaa lampu, hippa mo e miran, kono o waɗay mo e kene, o ndayginana kala wonɗo ka nder suudu. 
MAT.5.16	Yo ndaygu mon ngun jalbir nii yeeso yimɓe ɓen, fii no ɓe yi'ira kuuɗe mon moƴƴe ɗen, ɓe mawnina Ben mon Wonɗo ka kammu on.»
MAT.5.17	«Wota on sikku ko mi arani ko fii firtugol Sariya on maa ko annabaaɓe ɓen wi'i kon. Min mi ardaali fii firtugol ɗi, kono ko fii laatingol ɗi. 
MAT.5.18	Ka haqiiqa mi andinii on, haa kammu ngun e leydi ndin muta, ko hay ciifun e toɓɓere iwataa e nder bindol Sariya on, haa fow laatoo. 
MAT.5.19	Kala non bonnuɗo gootel e ɓurngel fanɗude e yamirooje ɗen, janni kadi yimɓe ɓen warrugol wano non, o innete ɓurɗo fanɗude e laamateeri kammu ngun. Kono kala ɗoftiiɗo janni, on innete tedduɗo e nder laamateeri kammu ngun. 
MAT.5.20	Awa mi andinii on, si peewal mon ngal ɓuraali ngal jannooɓe fii Sariya on ɓen ngal e ngal *Fariisiyaaɓe ɓen ngal, on naatataa ka laamateeri kammu few.
MAT.5.21	«On nanii wonde maamaaɓe men ɓen wi'ano: ‹Wota a ittu hoore
MAT.5.22	Kono min mi wi'ay on, kala tikkanɗo musiɗɗo mun ɲaawete. Kala wi'uɗo musiɗɗo mun kadi ‹komoojo› ɲaawete yeeso dental fewjooɓe ɓen. Kala non wi'uɗo musiɗɗo mun ‹la'iifu› haray no e laawol yiite jahannama.
MAT.5.23	«Si hiɗa sakkaade ka juulirde, a anditii ɗon wonde musiɗɗo maa no monoran-maa goɗɗun, 
MAT.5.24	haray accu ɗon ittugol sadaka maa on, yahaa taho moƴƴintinoyaa hakkunde maa e musiɗɗo maa on, si araa non ittaa sadaka maa on.
MAT.5.25	«Eto no faamondiriraa e mo haɓiduɗaa on kisan fewndo wonuɗon ka ɗatal, fii wota on mo haɓiduɗaa watte e juuɗe ɲaawoowo on, on ɲaawoowo kadi watte e juuɗe suufaajo on, on waɗe ka kaso. 
MAT.5.26	Ko fii ka haqiiqa mi andinii ma, a yaltataa ɗon fannamaa a yoɓaali mbuuɗu sakkitoro on.
MAT.5.27	«On nanii kadi wi'aama wonde: ‹wota a jeenu.›
MAT.5.28	Kono min mi wi'ay on, kala ndaaruɗo debbo fii himmangol mo, haray ontigi jeenii mo ka ɓernde mun. 
MAT.5.29	Si tawii yiitere maa ɲaamere nden wonay sabu haa feggoɗaa, haray awu nde, bugoɗaa nde ka woɗɗiti-maa. Ko fii no ɓuru-maa moƴƴande ka teral maa gootal hayra, edii ka ɓandu maa ndun fow bugee ka jahannama. 
MAT.5.30	Si tawii jungo maa ɲaamo ngon kadi wonay sabu haa feggoɗaa, haray taƴu ngo, bugoɗaa ka woɗɗiti-maa. Ko fii no ɓuru-maa moƴƴande ka teral maa gootal hayra edii ka ɓandu maa ndun fow yaha ka jahannama.
MAT.5.31	«Wi'aama kadi, kala on accituɗo ɓeyngu mun haray yo o waɗan mo kaydi sertigal.
MAT.5.32	Kono min mi wi'ay on, kala on accituɗo ɓeyngu mun, si hinaa hara on jeenu, haray o waɗii mo jeenoowo. Kala non kadi ƴettuɗo debbo seedaaɗo haray onɗon kadi jeenii.
MAT.5.33	«On nanii kadi wonde maamaaɓe men ɓen wi'ano: ‹Wota mo firta woondoore, hunnu woondooje ɗe woondanɗaa Joomiraaɗo on ɗen.›
MAT.5.34	Kono min mi wi'ay on, wota on woondu toode, wota on woondir kammu ngun, ko fii ko ngu jullere laamu Alla. 
MAT.5.35	Wota on woondir kadi leydi ndin, ko fii ko ndi ndaɗɗudi tundaaje makko ɗen, maa woondiron Yerusalaam, ko fii ko saare Lanɗo Mawɗo on non. 
MAT.5.36	Wota mo woondira hoore mun nden kadi, ko fii on waawaa rawninde maa ɓawlinde hay cukulol gootol. 
MAT.5.37	Yo ‹hiiyii› mon on wonu ‹hiiyii›, ‹oo'o› mon on wona ‹oo'o.› Ko ɓeyditaa e ɗun woo, haray ko e Ibuliisa iwri.
MAT.5.38	«On nanii kadi wi'aama wonde: ‹ko yiitere yoɓirtee yiitere, ɲiire yoɓiree ɲiire.›
MAT.5.39	Kono min mi wi'ay on, wota mo dartoo bonɗo, awa kadi mo bantike ma e waɓɓugo ɲaamo, tuɗan mo ngoya kadi. 
MAT.5.40	On mo faala-maa naɓude ka ɲaawoore fii ƴettugol ma fokiya on, accidu mo e waramba on kadi. 
MAT.5.41	On mo karhu-maa kadi rondanagol mo dongal, naɓaa yeru sagara gooto, naɓan mo yeru sagara ɗiɗi. 
MAT.5.42	Okkor on toriiɗo ma, wota a huccu kadi on faalaaɗo ma ɲawlaade.
MAT.5.43	«On nanii kadi wi'aama wonde: ‹Yo a yiɗu giɗo maa, aɲaa gaɲo maa.› 
MAT.5.44	Kono min mi wi'ay on: yiɗee ayɓe mon ɓen, toranoɗon wonɓe cukkaade on ɓen, 
MAT.5.45	ɗun on wonay ɓiɓɓe Ben mon Wonɗo ka kammu on. Ko fii himo fuɗinana bonɓe ɓen e moƴƴuɓe ɓen naange makko ngen, himo saaƴinana kadi feewuɓe ɓen e ɓe feewaa ɓen ndiyan ɗan. 
MAT.5.46	Si tawii non ko yiɗuɓe on ɓen tun yiɗuɗon, haray ko mbarjaari hondi heɓoyton? E hinaa ƴantirooɓe sagalle janfa ɓen kadi ko non warrata? 
MAT.5.47	Si tawii ko musiɓɓe mon ɓen tun hiwrotoɗon, haray ko honɗun waɗuɗon ko ɓeyditii? Hinaa ɓe gomɗinaa ɓen kadi ko non warrata? 
MAT.5.48	Awa wonee timmuɓe wano Ben mon kammuyankeejo on woniri Timmuɗo non.»
MAT.6.1	«Reenee e waɗirgol golle mon moƴƴe ɗen yiingo. Si hinaa ɗun on heɓataa njoddi ka Ben mon Wonɗo ka kammu on.
MAT.6.2	«Nde hiɗon okkora miskinɓe ɓen, wota on wuttu *liite yeeso mon wano faasiqiiɓe ɓen gerdata non ka juulirɗe e ka ɗate fii no yimɓe ɓen mantira ɓe. Ko fii ka haqiiqa mi andinii on ɓe hendike mbarjaari maɓɓe ndin. 
MAT.6.3	Nde hiɗon okkora miskinɓe ɓen, wota jungo mon nano ngon andu ko ɲaamo ngon waɗi kon, 
MAT.6.4	fii no dokkal mon ngal wonira e gundoo, ɗun Ben mon, on Yi'oowo ko yi'otaako, jonnitoyay on mbarjaari mon ndin.
MAT.6.5	«Nde hiɗon juula kadi wota on wa'u wa faasiqiiɓe ɓen, ɓen yiɗuɓe juulugol hara no darii ka nder juulirɗe e ka sera ballaŋe fii hollitagol yimɓe ɓen. Ko fii, ka haqiiqa mi andinii on, ɓe hendike mbarjaari maɓɓe ndin. 
MAT.6.6	Kono onon, nde hiɗon juula, naatee ka nder cuuɗi mon, ombon baafe mon ɗen, juulon e Ben mon mo yi'otaako on. Ɗun, Ben mon Yi'oowo ko yi'otaako kon, jonnitoyay on mbarjaari mon ndin.
MAT.6.7	«Nde hiɗon juula, wota on fillifillinno haalaaji ɗuuɗuɗi wano ɓe wonaa Yahuudiyanke ɓen non, ko fii ɓen no sikka ko no ɓe ɗuɗɗiniri haalaaji woo ɓe jaɓirantee. 
MAT.6.8	Wota on nandintino e maɓɓe, ko fii Ben mon no andi ko honɗun faalaɗon ado on toraade mo.
MAT.6.9	«Ko nii haanuɗon tororde Alla:
MAT.6.9	‹Baaba amen Wonɗo ka kammu,
MAT.6.9	yo innde maa nden hormore,
MAT.6.10	yo laamu maa ngun feeɲu,
MAT.6.10	yo faale maa on waɗu ka aduna
MAT.6.10	wano woniri non ka kammuuli.
MAT.6.11	Okkor men hande ɲaametee haananɗo men on.
MAT.6.12	Yaafanoɗaa men bonnereeji amen ɗin,
MAT.6.12	wano menen kadi men yaaforani bonnuɓe men ɓen non.
MAT.6.13	Wota a naadu men e jarrabuyee,
MAT.6.13	kono jattin men Bonɗo on.
MAT.6.13	Ko fii ko an heerori laamu e bawgal e mangu, haa poomaa. Aamiina.›
MAT.6.14	«Si on yaafanike yimɓe ɓen bonnereeji maɓɓe ɗin, haray Baaba mon kammuyankeejo on yaafanto on onon kadi bonnereeji mon ɗin. 
MAT.6.15	Kono si on yaafanaaki yimɓe ɓen, haray Ben mon kadi yaafantaako on bonnereeji mon ɗin.
MAT.6.16	«Nde hiɗon hoora, wota on ɲirɓin geece mon ɗen wa faasiqiiɓe ɓen, ko fii kamɓe ɓe waylay geece maɓɓe ɗen fii hollugol yimɓe ɓen wonde hiɓe hoori. Ka haqiiqa mi andinii on, kamɓe ɓe hendike mbarjaari maɓɓe ndin. 
MAT.6.17	Kono onon, nde hiɗon hoora, urnee ko'e mon ɗen, looton geece mon ɗen, 
MAT.6.18	fii wota on hollu yimɓe ɓen wonde hiɗon hoori, hara ko Ben mon mo yi'otaako on tun yi'i kon ko waɗuɗon e nder gundoo. Ɗun, Ben mon Yi'oowo ko yi'otaako on, jonnitay on mbarjaari mon ndin.»
MAT.6.19	«Wota on mooɓu jawle ka hoore leydi, ka ɗe bonirta wuɗugol e kornugol, e ka wuyɓe fusata ƴetta. 
MAT.6.20	Kono mooɓee ɗe ka kammu ka ɗe wuɗataa e ka ɗe kornataa e ka wuyɓe fusataa ƴetta. 
MAT.6.21	Ko fii ko ka keyee mon on woni woo, ɓernde mon nden wonata.
MAT.6.22	«Ko yiitere woni ndaygu ɓandu. Si tawii yiitere nden no selli, haray ɓandu ndun fow no ndaygi. 
MAT.6.23	On mo yiitere mun ɲawi, haray ɓandu ontigi ndun fow no e nder niwre. Si tawii non ngun ndaygu wongu e ontigi ko niwre, haray ko embere honto nden niwre mawni!
MAT.6.24	«Hay gooto waawataa gollande jeyɓe ɗun ɗiɗo, ko si o aɲay oya, o yiɗa oya, maa o haɓɓoo e oya, o itta bote e oya. Ko ɗun waɗi si on waawataa rewude Alla rewon jawdi.
MAT.6.25	«Ko ɗun waɗi si mi wi'ay on: wota on aanu fii ko ɲaamon maa ko yaron e nder ngurndan mon ɗan, maa fii ko ɓornon ɓalli mon ɗin. Taw si hinaa ngurndan ɓuri neema, awa kadi ɓandu ɓuri koltu? 
MAT.6.26	Ndaaree colli ɗin ka kammu: ɗi sankataa, ɗi wa'ataa, ɗi mooɓataa hay huunde e nder caagaaje, kono Ben mon Kammuyankeejo on no wurni ɗi. E taw si on ɓuraa ɗi hittude? 
MAT.6.27	Ko hombo e mon, e nder annde mun, waawata ɓeydude ngurndan mun ɗan beru sogonal gootal?
