MAT.1.1	Leꞌe naŋ titinge loumwah tikin Jisas Krais. Loumwah kin kiŋ Dewit hindi Abraham.
MAT.2.4	Kin gal lenge pris ondoh topoꞌe lenge jetmam tikin wusyep erŋeme yat pe, kin ŋisilih lenge na, “Miyeꞌ ŋaiye Got si nalaŋatme nange ka ungwisme lenge miyeꞌ tuweinge kin pe, kin narp a?” 
MAT.2.5	Tinge yungwisme wusyep kin na, “Nato moi malaih Betlehem ŋaiye nato provins Judia.” Ki gande wusyep ŋaiye profet nainge taꞌe leꞌe,
MAT.2.6	kom naŋ nin ka ŋembere.
MAT.2.6	Tehei kin taꞌe leꞌe, miyeꞌ ende yip ka tuhur miyeꞌ ondoh pe,
MAT.2.6	ka embepeteme lenge miyeꞌ tuweinge ŋam, Israel.
MAT.2.7	Taꞌe luku pe, Herot syumbe yul ŋember wusyep nal lenge miyeꞌ sande tekeꞌe titinge ŋau anah yat pe, kin yul ŋanange wusyep ŋotop tinge. Topoꞌe kin nambaꞌe sisyeme ŋupe ŋaiye wutukun embere luku nate sai. 
MAT.2.8	Miꞌe pe, kin nember lenge yal Betlehem pe, kin ŋana lenge na, “Pa yil pe, pa yende wah nihe ŋaiye pa yahaiꞌe talah uku. Ŋupe ŋaiye pa yetekeꞌ kin pe, yenge wusyep yute yini ŋam no, ma sisyeme. Taꞌe luku pe, ŋam topoꞌe ma se plihe mila mirisukwarme kin.” 
MAT.2.9	Ŋupe ŋaiye tinge si yisande wusyep kiŋ miꞌe pe, tinge yal yaŋah tinge. Pe tinge yetekeꞌe wutukun ilyeh uku ŋaiye tinge si yetekeꞌe yanar ŋau anah nal yerme tinge. Kin nate sai naŋarꞌe gah luh ŋaiye talah nate.
MAT.2.10	Ŋupe ŋaiye tinge yetekeꞌe wutukun uku pe, ŋoihmbwaip tinge hriphrip ŋembere supule. 
MAT.2.11	Ŋupe ŋaiye tinge yal yoto yukoh no, tinge yetekeꞌe talah topoꞌe mam kin Maria pe, tinge yisarꞌe ŋihipmbep yirisukwarme kin. Miꞌe pe, tinge chumbur tem tinge yosoko yitini yaŋaꞌe kin. Tinge yaŋaꞌe gol, topoꞌe sanda ŋaiye bwore supule, topoꞌe lou mbirꞌ ŋaiye naihe sengehrepe miꞌ supule. 
MAT.2.12	Tinge yate posoh yate tange pe, Got ŋana lenge nange yukur ka plihe yilme Herot. Tinge tahar pe, tinge yul yal yaŋah ŋoinde yal moi tinge.
MAT.2.13	Ŋupe ŋaiye lenge miyeꞌ uku si yal miꞌe pe, Josep nate posoh nate tange pe, walip hlaꞌ ende tikin Lahmborenge nate ŋetekeꞌe pe, kin ŋaname na, “Herot nala ahaiꞌe talah ŋaiye ka onombe ka ole. Taꞌe luku pe, na tuhur posoh pe, na ambaꞌe talah topoꞌe mam kin pe, na enge lenge hindi girnge el Isip. Pa yurp yil tutume ŋaiye ma mini yip nange pa yusme moi uku.” 
MAT.2.14	Josep tahar posoh nambaꞌe mam hindi talah pe, nenge lenge hindi yasme ŋup ilyeh uku jarnge yal Isip. 
MAT.2.15	Tinge yarp Isip yal tatame ŋaiye Herot nule. Ŋaiꞌe ŋaiꞌe luku ki gande wusyep tikin Lahmborenge ŋaiye ŋanange nat mut lenge profet, “Ŋam gwalme talah ŋam ŋaiye ka ote tus osme Isip.”
MAT.2.16	Ŋupe ŋaiye Herot sisyeme nange lenge miyeꞌ titinge ŋau anah uku homboꞌe yeh me kin pe, ŋoihmbwaip kin nihe supule. Kin nember lenge miyeꞌ wondoh kin yalꞌe yalꞌe yal yoto moi Betlehem topoꞌe moi syeꞌ ŋaiye sai sehei me moi uku nange ka yongomb lenge lahmiyeꞌ lalme ŋaiye wahtaip tinge yukur nusungurhme wahtaip hoi. Herot ŋende ŋai uku gande ŋupe ŋaiye kin ŋisilih lenge miyeꞌ uku no, tinge yiname jande ŋupe ŋaiye tinge yetekeꞌe wutukun. 
MAT.2.17	Ŋai uku ki gande wusyep ende ŋaiye somohonme profet Jeremaia ŋanange taꞌe leꞌe,
MAT.2.18	Resel wilil lenge talah ti.
MAT.2.18	Ti gwarnge ŋaiye lenge miyeꞌ tuweinge ka yute yende miꞌmiꞌ me ŋoihmbwaip ti.
MAT.2.18	Detale, lenge talah ti lalme si yule.”
MAT.2.19	Ŋupe ŋaiye Herot si nule miꞌe pe, Josep nate posoh nate tange pe, walip hlaꞌ tikin Lahmborenge nate ŋetekeꞌe kin ŋanar Isip. 
MAT.2.20	Kin ŋaname na, “Tuhur ambaꞌe mam topoꞌe talah pe, plihe enge lenge el Israel. Detale, lenge miyeꞌ ŋaiye yala yonombe talah si yule.” 
MAT.2.21	Taꞌe luku pe, kin tahar nambaꞌe lenge mam hindi talah nenge lenge nal Israel. 
MAT.2.22	Kom ŋupe ŋaiye Josep ŋasande wusyep nange Arkelaus si nambaꞌe luh yai kin Herot taꞌe kiŋ lenge Judia pe, kin hiꞌ garnge ŋaiye ka el moi uku. Kom Josep plihe nate tange pe, Got ŋaname wusyep nange ka el distrik Galili. 
MAT.2.23	Kin nal narp moi ŋaiye tinge jalme Nasaret. Taꞌe luku pe, wusyep ŋaiye lenge profet yanange pe, kin bwore mise. Tinge yanange na,
MAT.2.23	Ka jilme kin nange kin miyeꞌ tikin Nasaret.
MAT.3.1	Ŋup uku pe, Jon tikin Baptais nal moi gungurar ŋaiye nato provins Judia pe, kin ŋanange nalaŋatme wusyep tikin Got. 
MAT.3.2	Kin ŋanange na, “Yimbilme ŋoihmbwaip yusme pupwa. Detale, lemame tikin moihlaꞌ si nat sehei.” 
MAT.3.3	Jon kin miyeꞌ ŋaiye profet Aisaia ŋanange wusyep me kin. Profet Aisaia ŋanange na,
MAT.3.3	Miyeꞌ ende kin gal gal ŋanange wusyep gan na tas moi gungurar
MAT.3.3	ŋaiye mitiŋ pakai.
MAT.3.3	Pe kin ŋanange na, “Yende miꞌmiꞌ me yaŋah me Lahmborenge,
MAT.3.3	yiche yihyete yaŋah me kin ŋaiye ka bwore yelme!”
MAT.3.5	Lenge miyeꞌ tuweinge lalme ŋaiye yatme kin pe, tinge yase moi embere Jerusalem yat, topoꞌe provins Judia lalme, topoꞌe moi lalme ŋaiye sai sehei me mih Jordan. 
MAT.3.6	Tinge yanange yoworꞌe yember pupwa ŋaiye tinge yende pe, kin gihyeꞌe lenge pinip na gah mih Jordan.
MAT.3.8	Pa yasamb lenge yarp bworere yip no, ka sisyeme nange yip si yimbilme ŋoihmbwaip yip. 
MAT.3.9	Yukur pa ŋoiheryembe yil yoto ŋoihmbwaip yip tuꞌe leꞌe, ‘O Abraham kin yai loumwah poi kili. Taꞌe luku pe, poi si bwore bwarme mal ŋembep tikin Got.’ Ŋam mana yip bwore mise! Got tatame ŋaiye ka ende ŋeser eꞌe ka tuꞌe ŋaiye ŋambaih talah tikin Abraham. 
MAT.3.10	Hei, yisyunde! Ŋim ŋeser si ŋende miꞌmiꞌ ŋanar ŋaiye ka gine lou eteme lou tehei. Lou lalme ŋaiye yukur teŋei esep bworerme pe, ka jene yiche yil yunuh nih.
MAT.3.11	Ŋam jaih yip pinip pakaiye masamb yip wutuꞌ taꞌe ŋaiye yip si yimbilme ŋoihmbwaip. Kom miyeꞌ ŋaiye ka ot gunde ŋam pe, ka jih yip Yohe Yirise topoꞌe nih. Miyeꞌ ŋaiye ka ot gunde ŋam pe, bongol kin nengelyembe ŋam. Ŋam yukur miyeꞌ bwore tatame ŋaiye ma mungul ŋihip hiꞌ kin. 
MAT.3.12	Kin ŋende miꞌmiꞌ narp ŋaiye ka iyarꞌe lenge miyeꞌ tuweinge ŋaiye bwore angaꞌme lenge pupwa. Ka ende ŋahilyeh tuꞌe miyeꞌ wah ŋaiye ŋendere me kakah esep, topoꞌe gurngur hoporonge. Kin nember kakah esep ŋaiye bwore nato yokoh ŋai kin. Kut ŋaiye gurngur topoꞌe hoporonge pe, ka esekeh el nih ŋaiye riri sai nyermbe nyermbe. Yukur ka oip.”
MAT.3.13	Ŋup uku pe, Jisas nase moi jeheinge nato distrik Galili nat nal mih Jordan ŋaiye Jon ka gihyeꞌe pinip me kin. 
MAT.3.14	Kom Jon plihe bunjenge ŋoihmbwaip kin ŋanange na, “Nin na pingih pinip me ŋam. O detaꞌe lai ti ni natme ŋam?” 
MAT.3.15	Pe Jisas nungwisme wusyep kin na, “Kom ŋaiye tukwini pe, osme ŋaiꞌe ŋaiꞌe ka el gunde tuꞌe luku. Ŋaiye ya mende tuꞌe luku pe, ka el gunde ŋaiꞌe ŋaiꞌe lalme ŋaiye Got ŋasande.” Taꞌe luku pe, Jon ŋenerme wusyep kin. 
MAT.3.16	Ŋupe ŋaiye Jisas nambaꞌe pinip miꞌe no, kin nasme pinip nate ŋanah. Pe moihlaꞌ ginir pe, kin ŋetekeꞌe yipihinge tikin Got nate gah taꞌe jesumbihnip ŋaiye narp anah kin. 
MAT.3.17	Miꞌe pe, tinge yisande wusyep diꞌ ende nase moihlaꞌ nat ŋanange na, “Leꞌe talah bwore ŋam pe,
MAT.4.2	Jisas yukur ŋono ŋai nal tatame ŋup 40 pe, kin ŋasande nimbot. 
MAT.4.3	Miꞌe pe, Satan natme kin pe, kin ŋaname Jisas na, “Ŋaiye nin talah tikin Got pe, ini lenge ŋeser eꞌe ka yimbilme yil tuꞌe ŋaiye kakah.” 
MAT.4.4	Kom Jisas nungwisme wusyep kin na, “Wusyep tikin Got ŋanange taꞌe leꞌe,
MAT.4.4	Lenge miyeꞌ tuweinge yukur ka yono ŋai ilyehme no,
MAT.4.4	ka yurp laip, pakai,
MAT.4.4	ka junde wusyep tikin Got topoꞌe.”
MAT.4.5	Miꞌe pe, Satan nambaꞌe kin nenge nal moi yirise Jerusalem pe, kin nember kin nanah yukoh yirise hlaꞌ supule. 
MAT.4.6	Pe kin ŋaname Jisas na, “Ŋaiye nin talah tikin Got pe, ni papalai e guh. Taꞌe na, wusyep tikin Got ŋanange taꞌe leꞌe,
MAT.4.6	Got se ka ini lenge walip hlaꞌ kin ŋaiye ka bepsime nin.
MAT.4.6	Tinge se ka syep yurpe nin yenge yunuh hlaꞌ,
MAT.4.6	pe yukur ŋeser ende ka se gere ŋihip nin.”
MAT.4.7	Yukur na ondolꞌme Got, kin Lahmborenge nin.”
MAT.4.8	Miꞌe pe, Satan nambaꞌe Jisas nenge nanah hwate dininde nanah hlaꞌ supule pe, kin ŋasambe Jisas moiye moiye lalme ŋaiye sai kekep eꞌe, topoꞌe ŋaiꞌe ŋaiꞌe bwore bwore titinge. 
MAT.4.9	Satan ŋaname Jisas na, “Ŋaiye na asarꞌe ŋihipmbep risukwarme ŋam pe, ŋaiꞌe ŋaiꞌe lalme luku ma yule nin.” 
MAT.4.10	Jisas nungwisme wusyep kin na, “Satan! El angaꞌme ŋam. Wusyep tikin Got ŋanange taꞌe leꞌe,
MAT.4.10	Risukwarme Lahmborenge ŋaiye Got nin pe, ende wah me kin ŋilyeh.”
MAT.4.11	Taꞌe luku pe, Satan nasme Jisas nal pe, lenge walip hlaꞌ yate yungwisme kin.
MAT.4.13	Kin yukur narp nato Nasaret, kom kin nal narp Kaperneam. Moi Kaperneam kin sai sehei me pinip umun Galili nato kekep titinge bamtihei ŋaiye Sebulun hindi Naptali. 
MAT.4.14	Ŋai uku kin ŋende bwore mise gande wusyep ende ŋaiye Got ŋanange nat mut profet Aisaia na,
MAT.4.15	topoꞌe lenge miyeꞌ tuweinge tikin kekep ŋaiye bamtihei Naptali pe,
MAT.4.15	kekep uku sai siheime ŋahwikin embere ŋaiye gande ŋoloh tikih,
MAT.4.15	topoꞌe kekep sai mih umbur Jordan. Luku kekep tikin distrik Galili pe,
MAT.4.15	lenge haiten syeꞌ yarp.
MAT.4.16	Lenge miyeꞌ tuweinge luku somohon yarp yepelmbe supule.
MAT.4.16	O tinge si yetekeꞌe yirise.
MAT.4.16	Lenge miyeꞌ tuweinge luku yarp yoto moi ŋaiye yepelmbe tikin nule,
MAT.4.16	kom yirise si naŋarꞌe gah tinge.
MAT.4.18	Jisas nanga pinip umun tikih Galili nal pe, kin ŋetekeꞌe lenge miyeꞌ toꞌ tataime hoi ŋaiye jite ŋuyoꞌ. Naŋ tinge hindi pe, Saimon ŋaiye tinge jalme Pita, topoꞌe toꞌ kin Andru. Tinge hindi yiche tem yal jah pinip umun ŋaiye ka jite ŋuyoꞌ pe, luku wah wuhyau tinge. 
MAT.4.19	Jisas ŋana lenge hindi na, “Hindi yut topoꞌe ŋam. Ma yasam yip yaŋah ŋaiye pa yambaꞌ lenge miyeꞌ tuweinge.” 
MAT.4.20	Nilyehe sai tinge yasme tem tinge jah yanar pe, tinge yal topoꞌe Jisas. 
MAT.4.21	Jisas plihe nanga nal sikirp topoꞌe pe, kin ŋetekeꞌe lenge miyeꞌ toꞌ tataime hoi. Naŋ tinge Jems hindi Jon, tinge talah tikin Sebedi. Tinge yarp yal yoto loumbil pinip yotop yai tinge Sebedi. Tinge jerenge tem tinge ŋaiye ginir yarp pe, Jisas gal lenge. 
MAT.4.22	Pe nilyehe sai tinge yasme loumbil pinip topoꞌe yai tinge pe, tinge jande Jisas yal.
MAT.4.24	Wusyep ŋaiye wah kin sisil nalꞌe nalꞌe nato provins Siria. Taꞌe luku pe, lenge miyeꞌ tuweinge yenge lenge mitiŋ ŋaiye wahriꞌ epwa tetehei ŋende yumbune tinge no, tinge yasande syohe pupwa. Lenge miyeꞌ tuweinge ŋaiye yipihinge pupwa gahanahme tinge, topoꞌe lenge mitiŋ ŋaiye yambaꞌe wahriꞌ epwa ŋaiye ŋihip syep dolndol no, tinge tambe. Topoꞌe lenge mitiŋ ŋaiye lupu tinge nule. Pe Jisas ŋende miꞌme wahriꞌ epwa tinge lalme. 
MAT.4.25	Lenge miyeꞌ tuweinge wondoh embere titinge Galili, topoꞌe titinge distrik Dekapolis, topoꞌe titinge Jerusalem, topoꞌe Judia, topoꞌe titinge kekep ŋaiye sai nal umbur ŋaiye mih Jordan pe, tinge lalme jande kin yal.
MAT.5.1	Jisas ŋetekeꞌe lenge miyeꞌ tuweinge wondoh embere taꞌe luku pe, kin nal ŋanah hwate malaih ende pe, kin gah narp. Lenge jetalah kin yate yarp yoyorꞌme kin.
MAT.5.2	Pe kin ŋanange wusyep ŋasambe lenge taꞌe leꞌe,
MAT.5.3	Lenge miyeꞌ tuweinge ŋaiye tale titinge yal ŋembep tikin Got pe,
MAT.5.3	tinge ka hriphrip.
MAT.5.3	Detale, Got se ka ambaꞌe lenge enge el oto lemame kitikin.
MAT.5.4	Detale, Got se ka angange ŋoihmbwaip ŋumwaiye.
MAT.5.5	tinge ka hriphrip.
MAT.5.5	Detale, Got se ka angang lenge kekep lalme.
MAT.5.6	ŋaiꞌe ŋaiꞌe bwore bwarme jande ŋoihmbwaip tikin Got pe,
MAT.5.6	tinge ka hriphrip.
MAT.5.6	Detale, Got se ka ungwis lenge ŋaiye ka yende ŋaiꞌe ŋaiꞌe junde ŋasande kin.
MAT.5.7	Lenge miyeꞌ tuweinge ŋaiye yasambe ŋoihmbwaip michukor tinge yal
MAT.5.7	lenge mitiŋ ŋaiye yende hwap yatme tinge pe, tinge ka hriphrip.
MAT.5.7	Detale, Got se ka asamb lenge ŋoihmbwaip michukor kin elme tinge.
MAT.5.8	tinge ka hriphrip.
MAT.5.8	Detale, tinge luku ka yetekeꞌe Got.
MAT.5.9	Lenge miyeꞌ tuweinge ŋaiye yarp bumbe no,
MAT.5.9	tinge yungwis lenge yonombe tuhwar topoꞌe yarmbe pe, tinge ka hriphrip.
MAT.5.9	Detale, Got se ka gil lenge talah kitikin.
MAT.5.10	ŋaiye tinge yende ŋaiꞌe ŋaiꞌe jande ŋoihmbwaip bwore tikin Got pe,
MAT.5.10	tinge ka hriphrip.
MAT.5.10	Detale, tinge se ka yurp yi yoto lemame tikin moihlaꞌ.
MAT.5.12	Yip pa yambaꞌe ŋoihmbwaip ŋumwaiye pe, pa hriphrip supule. Detale, yitini embere ŋanar nanah moihlaꞌ ŋeseperhme yip. Tinge yende yumbune lenge profet ŋaiye yarp yerme yip ŋahilyeh taꞌe luku.
MAT.5.14	Yip taꞌe nih yirise ŋaiye tikin kekep lalme leꞌe. Moi embere ende ŋaiye sai nanah hwate yukur ka se tise. 
MAT.5.15	Lenge miyeꞌ tuweinge yukur yinise nih lam tinge ya yoto marp tuwihe, pakai. Tinge yenete nih lam yal yanah hendeinge hlaꞌ ŋaiye ka aŋaꞌe yirise el lenge mitiŋ lalme ŋaiye yarp yoto yukoh.
MAT.5.16	Ki ŋahilyeh me yirise ŋaiye sai me yip iki ka aŋarꞌe guh ŋembep lenge miyeꞌ tuweinge no, ka yetekeꞌe ŋaiꞌe ŋaiꞌe bwore bwore ŋaiye yip yende. Pe ka yirisukwarme yai yip ŋaiye narp nanah moihlaꞌ.”
MAT.5.17	“Yip yukur pa ŋoiheryembe nange ŋam mat ŋaiye ma gwenyenme wusyep erŋeme tikin Moses topoꞌe wusyep titinge profet, pakai. Ŋam yukur mat ŋaiye ma gwinyenme wusyep uku, ŋam mat ŋaiye ma moworꞌe member wusyep tehei uku mil halhale. 
MAT.5.18	Ŋam mana yip bwore mise! Tatame ŋaiye kekep topoꞌe moihlaꞌ ka e miꞌe, kom yukur tatame ŋaiye wusyep sikirp ende tikin wusyep erŋeme ka talai, pakai. Wusyep erŋeme luku ka si el tutume ŋup yuwo. 
MAT.5.19	Taꞌe luku pe, ŋaiye miyeꞌ ende ka oworꞌe wusyep erŋeme sikirp no, ka asamb lenge miyeꞌ syeꞌ no, ka yende junde pe, naŋ kin ka malaih sikirp el oto lemame tikin Got. O lahmende ŋaiye ŋasande wusyep erŋeme no, kin ŋende gande, topoꞌe plihe ŋana lenge mitiŋ syeꞌ ŋaiye ka yende ŋahilyeh pe, naŋ kin ka ŋembere el oto lemame tikin Got. 
MAT.5.20	Ŋam mana yip bwore mise. Yip pa yende wah nihe junde wusyep erŋeme tikin Got no, pa yengelyembe lenge jetmam tikin wusyep erŋeme topoꞌe lenge Farisi. Ŋaiye pakai pe, yukur pa yi yoto lemame tikin moihlaꞌ.”
MAT.5.22	Kom tukwini ŋam mana yip na, lahmende ŋaiye ka ŋoihmbwaip nihme toꞌ kin pe, kin ka gin wusyep kot. Topoꞌe miyeꞌ ŋaiye ŋaname ŋilim wusyep me toꞌ kin nange kin miyeꞌ pakaiye pe, kin ka ote gin wusyep el ŋembep lenge kokorohtup. Topoꞌe miyeꞌ ŋaiye ka gonosambalaiꞌ inime toꞌ kin nange kin kwote pe, miyeꞌ uku kin ka el hel.
MAT.5.23	O ŋaiye nin nala ember ofa nin elme Got el unuh ŋeser hendeinge pe, na ŋoiheryembe elme toꞌ nin na, wusyep tuhwar ende kin sai bumbe me yip hindi. 
MAT.5.24	Ŋaiye kin sai pe, na osme ofa ka inir sehei me alta, kut na el la ininge wusyep onombe tuhwar uku topoꞌe toꞌ nin miꞌe pe, na se el la aŋaꞌe ofa nin elme Got. 
MAT.5.25	Ŋaiye miyeꞌ ende nala ende wusyep me nin no, na el la gin wusyep kot pe, ŋaiye teter yukur yip yal jere luh ŋaiye wusyep pe, hindi yininge yonombe wusyep uku yinir moi. O ŋaiye pa hindi yil jere luh ŋaiye wusyep pe, se ka ember nin elme miyeꞌ ŋaiye narpe wusyep. Pe miyeꞌ ŋaiye narpe wusyep se ka ember nin el lenge kokorohtup pe, tinge se ka yember nin yil mwahupwaiꞌe. 
MAT.5.26	Ŋam mana yip bwore mise. Nato mwahupwaiꞌe pe, na orp el tutume ŋaiye na iche wuhyau tutume ŋaiye tinge si yalaŋatme.”
MAT.5.28	Kom tukwini ŋam da mini yip tuꞌe leꞌe, ŋaiye miyeꞌ ende ka etekeꞌe tuwei no, ŋoihmbwaip kin ka tuhur me ti pe, miyeꞌ uku si nambaꞌe ŋimei topoꞌe ti nato ŋoihmbwaip meleꞌe kin. 
MAT.5.29	Taꞌe luku pe, ŋaiye ŋembep non nin ka kete nin ŋaiye na ende hwap pe, ongoꞌ iche el! Ki bwore ŋaiye na osme ŋembep umbur nin ende ŋaiye ŋende hwap uku el. Pe yukur ka yiche wahriꞌ nin lalme el hel. 
MAT.5.30	O ŋaiye syep non nin ka kite nin ŋaiye na ende hwap pe, otombo syep uku iche el! Ki bwore ŋaiye na osme syep nin ende luku no, yukur na plihe ende hwap. Pe wahriꞌ nin lalme luku yukur ka se el hel.”
MAT.5.32	Kom tukwini ŋam mana yip, ŋaiye tuwei miyeꞌ uku yukur wende niŋ pinip yar, kom kin ginyenme pe, kin si ŋende tuwei kin woworꞌe wusyep erŋeme ŋaiye dindiꞌ. Ŋaiye tuwei uku ta wila windiꞌ miyeꞌ ende pe, tinge hindi hoime si yende niŋ pinip yar.”
MAT.5.34	Kom tukwini ŋam mana yip. Yukur pa yininge wusyep ende yende bongolme wusyep yip, topoꞌe pa jil naŋ tikin moihlaꞌ. Tehei kin taꞌe leꞌe, moihlaꞌ kin luh yilihe ŋaiye Got narp. 
MAT.5.35	Topoꞌe yukur pa plihe jil naŋ kekep yende bongolme wusyep yip. Tehei kin taꞌe leꞌe, kekep pe, luh tikin Got ŋaiye kin nikil ŋihip ŋanah tikir. Topoꞌe yukur pa plihe jil naŋ Jerusalem yende bongolme wusyep yip. Detale, Jerusalem pe, moi embere tikin Got ŋaiye kiŋ embere supule. 
MAT.5.36	Topoꞌe yukur na gil ŋondoh nin ende bongolme wusyep nin. Detale, nin yukur tatame na ende dohwaih nin ka bunjenge e tuꞌe ŋosohe lakai wukauwe. 
MAT.5.37	Na ininge na, ‘Hei, ma mende.’ Lakai na ininge na, ‘Ŋam yukur ma mende.’ Wusyep mune ŋaiye nin plihe neŋelꞌe nal topoꞌe luku pe, wusyep tikin Satan.”
MAT.5.39	Kom tukwini ŋam mana yip. Yukur na plihe ungwisme hwap mune pupwa ŋaiye miyeꞌ ende ŋende natme nin. Ŋaiye miyeꞌ ende ka angalai syep gute wutiꞌ non nin pe, plihe bunjenge aŋaꞌe wutiꞌ yaŋgam el ka angalai syep gute topoꞌe. 
MAT.5.40	O ŋaiye miyeꞌ ende nala ende wusyep me nin ŋaiye ka ambaꞌe temhroŋ nin pe, plihe aŋaꞌe temhroŋ mwate nin el topoꞌe. 
MAT.5.41	O ŋaiye miyeꞌ ende ka ini nin wusyep bongol nange na ungwisme kin ikirh me ŋaiꞌe ŋaiꞌe enge el tuꞌe kilomita ŋilyeh pe, ungwisme enge el tuꞌe kilomita hoi. 
MAT.5.42	O ŋaiye lahende ka isilih nin nange na aŋaꞌe ŋainde pe, aŋaꞌe el. O ŋaiye ka isilih nin nange na aŋaꞌe ŋainde ti, min ka ungwisme nin pe, yukur na ininge pakai, aŋaꞌe el.”
MAT.5.43	“Yip si yisande wusyep ŋaiye ŋanange na,
