GEN.1.1	IN die 
GEN.5.31	So was dan al die dae van Lameg sewehonderd-sewen-en-sewentig jaar, en hy het gesterwe.
GEN.5.32	En Noag was vyfhonderd jaar oud, en Noag het die vader geword van 
GEN.6.1	TOE die mense op die aarde begin vermeerder en daar vir hulle dogters gebore is,
GEN.6.2	sien die 
GEN.6.3	Toe sê die 
GEN.6.4	In dié dae was die reuse op die aarde, en ook daarna, toe die seuns van God by die dogters van die mense ingegaan en dié vir hulle kinders gebaar het. Dit is die geweldiges uit die ou tyd, die manne van naam.
GEN.6.5	Toe die 
GEN.6.6	het 
GEN.6.7	En die 
GEN.6.8	Maar Noag 
GEN.6.9	Dit is die geskiedenis van Noag. 
GEN.6.10	En Noag het drie seuns gehad: Sem, Gam en Jafet.
GEN.6.11	Maar die aarde was verdorwe 
GEN.6.12	Toe sien God die aarde aan, en — dit was verdorwe, want alle vlees het sy wandel op die aarde verderwe.
GEN.6.13	En God sê vir Noag: 
GEN.6.14	Maak vir jou 'n ark van goferhout. Met afdelings moet jy die ark maak en dit binne en buite met pik bestryk.
GEN.6.15	Só moet jy dit maak: driehonderd el die lengte van die ark, vyftig el sy breedte en dertig el sy hoogte.
GEN.6.16	'n Opening moet jy aan die ark maak; en op die maat van 'n el moet jy dit aan die bokant afwerk en die deur van die ark aan die sykant insit. Jy moet dit met 'n onderste, tweede en derde 
GEN.6.17	Want kyk, Ék bring 'n watervloed oor die aarde, om van onder die hemel te verdelg alle vlees waar 'n lewensgees in is. Alles wat op die aarde is, sal wegsterwe.
GEN.6.19	En van al wat lewe, van alle vlees, moet jy twee van elke 
GEN.6.20	Van die voëls volgens hulle soorte en van die vee volgens hulle soorte, van al die kruipende diere van die aarde volgens hulle soorte, twee van elke 
GEN.6.21	En jy, neem vir jou van al die voedsel wat geëet word, en versamel dit by jou, dat dit vir jou en hulle as voedsel kan dien.
GEN.6.22	En 
GEN.7.1	DAARNA het die 
GEN.7.2	Van al die 
GEN.7.3	Ook van die voëls van die hemel telkens sewe paar, die mannetjie met die wyfie, om die geslag in die lewe te hou op die hele aarde.
GEN.7.4	Want oor nog sewe dae sal Ek laat reën op die aarde, veertig dae en veertig nagte, en al die lewende wesens wat Ek gemaak het, van die aarde verdelg.
GEN.7.5	En Noag het gedoen net soos die 
GEN.7.6	En Noag was seshonderd jaar oud toe die watervloed oor die aarde gekom het.
GEN.7.7	En Noag en sy seuns en sy vrou en die vroue van sy seuns saam met hom het in die ark gegaan vanweë die waters van die vloed.
GEN.7.8	Van die rein diere en van die diere wat nie rein is nie, en van die voëls en van alles wat op die aarde kruip,
GEN.7.9	het daar twee-twee na Noag in die ark gegaan, 'n mannetjie en 'n wyfie, soos God Noag beveel het.
GEN.7.10	Ná die sewe dae kom toe die waters van die vloed op die aarde.
GEN.7.11	In die seshonderdste jaar van die lewe van Noag, in die tweede maand, op die sewentiende dag van die maand, op dieselfde dag, is al 
GEN.7.12	en die stortreën was op die aarde veertig dae en veertig nagte lank.
GEN.7.13	Op daardie selfde dag het Noag en Sem en Gam en Jafet, die seuns van Noag, sowel as die vrou van Noag en die drie vroue van sy seuns saam met hulle in die ark gegaan.
GEN.7.14	Hulle en al die wilde diere volgens hulle soorte en al die vee volgens hulle soorte en al die diere wat op die aarde kruip, volgens hulle soorte en al die voëls volgens hulle soorte, voëls van allerhande vere —
GEN.7.15	van al die vlees waar 'n lewensgees in was, het twee-twee na Noag in die ark gegaan.
GEN.7.16	En die wat ingaan, het gegaan as mannetjie en wyfie van alle vlees soos God hom beveel het. En die 
GEN.7.17	En die vloed was veertig dae lank op die aarde: die waters het vermeerder en die ark opgehef, sodat dit opgerys het bo die aarde.
GEN.7.18	En die waters het die oorhand gekry en grootliks vermeerder op die aarde, terwyl die ark op die waters drywe.
GEN.7.19	En die waters het heeltemal die oorhand gekry op die aarde, sodat al die hoë berge onder die ganse hemel bedek was.
GEN.7.20	Vyftien el bo hulle het die waters die oorhand gekry, sodat die berge bedek was.
GEN.7.21	En alle vlees wat op die aarde beweeg, het weggesterwe: die voëls en die vee en die wilde diere en al die gedierte wat op die aarde wemel, en al die mense.
GEN.7.22	Alles wat die asem van die lewensgees in sy 
GEN.7.23	So is dan al die lewende wesens verdelg wat op die aarde was, die mens sowel as die vee en die kruipende diere en die voëls van die hemel; hulle is verdelg van die aarde af. En net 
GEN.7.24	En die waters het die oorhand behou oor die aarde honderd-en-vyftig dae lank.
GEN.8.1	EN God het 
GEN.8.3	Toe het die waters geleidelik van die aarde teruggegaan, en die waters het afgeneem aan die end van honderd-en-vyftig dae.
GEN.8.4	En die ark het in die sewende maand, op die sewentiende dag van die maand, op die gebergte van Árarat gerus.
GEN.8.5	En die waters het geleidelik afgeneem tot die tiende maand. In die tiende 
GEN.8.6	Toe het Noag aan die end van veertig dae die venster oopgemaak van die ark wat hy gebou het,
GEN.8.7	en 'n kraai uitgestuur wat gedurig heen en weer gevlieg het totdat die waters weggedroog het van die aarde af.
GEN.8.8	Daarop laat hy 'n duif van hom af wegvlieg om te sien of die waters oor die aarde verminder het.
GEN.8.9	Maar die duif het geen rusplek vir die holte van sy voet gevind nie en na hom teruggekeer in die ark; want die waters was oor die hele aarde. So het hy dan sy hand uitgesteek en hom gegryp en in die ark by hom gebring.
GEN.8.10	Daarna het hy weer sewe dae gewag. Toe stuur hy die duif weer uit die ark.
GEN.8.11	En die duif het teen die aand na hom gekom, en daar was 'n groen olyfblad in sy bek! Toe merk Noag dat die waters oor die aarde verminder het.
GEN.8.12	Daarna wag hy weer sewe dae en stuur die duif uit. Maar hy het nie weer na hom teruggekeer nie.
GEN.8.13	In die 
GEN.8.14	in die tweede maand, op die sewen-en-twintigste dag van die maand, was die aarde droog.
GEN.8.15	En God het met Noag gespreek en gesê:
GEN.8.16	Gaan uit die ark, jy en jou vrou en jou seuns en die vroue van jou seuns saam met jou.
GEN.8.17	Laat saam met jou uitgaan al die diere wat by jou is, van alle vlees: die voëls en die vee en al die diere wat op die aarde kruip, dat hulle kan wemel op die aarde en 
GEN.8.18	Toe gaan Noag uit en sy seuns en sy vrou en die vroue van sy seuns saam met hom.
GEN.8.19	Al die diere, alles wat kruip, en al die voëls, alles wat op die aarde beweeg, volgens hulle soorte, het uit die ark uitgegaan.
GEN.8.20	En Noag het vir die 
GEN.8.21	En die 
GEN.8.22	Van nou af sal al die dae van die aarde, saaityd en oestyd, koue en hitte, somer en winter, 
GEN.9.1	EN God het Noag en sy seuns geseën en aan hulle gesê: 
GEN.9.2	Die vrees en die skrik vir julle sal wees oor al die diere van die aarde en al die voëls van die hemel: alles wat op die aarde beweeg, en al die visse van die see. Hulle is in julle hand oorgegee.
GEN.9.4	Net die vleis 
GEN.9.5	Maar wat julle eie bloed betref, dit sal Ek eis: 
GEN.9.7	Maar julle, wees vrugbaar en vermeerder; wemel op die aarde en vermeerder daarop.
GEN.9.8	Verder het God met Noag en sy seuns by hom gespreek en gesê:
GEN.9.9	Maar Ek, 
GEN.9.10	en met al die lewende wesens wat by julle is: die voëls, die vee en al die wilde diere van die aarde by julle — al wat uit die ark uitgegaan het, naamlik al die diere van die aarde.
GEN.9.11	En 
GEN.9.12	En God het gesê: 
GEN.9.14	As Ek dan wolke oor die aarde bring en hierdie boog verskyn in die wolke,
GEN.9.15	dan sal 
GEN.9.16	As die boog dan in die wolke staan, sal Ek dit aansien om gedagtig te wees aan die ewige verbond tussen God en al die lewende wesens in alle vlees wat op die aarde is.
GEN.9.17	En God het vir Noag gesê: Dit is die teken van die verbond wat Ek opgerig het tussen My en alle vlees wat op die aarde is.
GEN.9.18	EN die seuns van Noag wat uit die ark uitgegaan het, was Sem en Gam en Jafet. En 
GEN.9.19	Hierdie drie was die seuns van Noag; en met hulle begin die uitbreiding van al die aardbewoners.
GEN.9.20	En Noag het as landbouer 'n wingerd begin plant.
GEN.9.21	Maar toe hy van die wyn gedrink het, het hy dronk geword en naak in sy tent gelê.
GEN.9.22	En Gam, die vader van Kanaän, het sy vader se naaktheid gesien en dit aan sy twee broers daarbuite te kenne gegee.
GEN.9.23	Toe neem Sem en Jafet die bo-kleed en hou dit op hulle skouers terwyl hulle agteruitloop, en hulle het die naaktheid van hulle vader bedek: hulle gesig was agtertoe gedraai, sodat hulle die naaktheid van hulle vader nie gesien het nie.
GEN.9.24	Toe Noag van sy wyn wakker word en merk wat sy jonger seun hom aangedoen het,
GEN.9.25	sê hy: Vervloek is Kanaän! 'n 
GEN.9.26	Verder het hy gesê: Geseënd is die 
GEN.9.27	Mag God aan Jafet ruimte verskaf, en mag hy woon in die tente van Sem! Maar Kanaän moet sy dienskneg wees.
GEN.9.28	En Noag het ná die vloed driehonderd-en-vyftig jaar gelewe.
GEN.9.29	So was dan al die dae van Noag negehonderd-en-vyftig jaar, en hy het gesterwe.
GEN.10.1	EN dit is die stamboom van die seuns van Noag: Sem, Gam en Jafet — vir hulle is daar seuns gebore ná die vloed.
GEN.10.3	En die seuns van Gomer was: Áskenas en Rifat en 
GEN.10.4	En die seuns van Jawan was: Elísa en Tarsis, die Kittiërs en Dodaniete —
GEN.10.5	uit hulle het verdeeld geraak 
GEN.10.7	En die seuns van Kus was: Seba en Háwila en Sabta en Raéma en Sábtega. En die seuns van Raéma: Skeba en Dedan.
GEN.10.8	Kus was ook die vader van Nimrod. Hý het begin om 'n geweldenaar op aarde te wees.
GEN.10.9	Hy was 'n geweldige jagter voor die aangesig van die 
GEN.10.10	En die begin van sy ryk was Babel en Ereg en Akkad en Kalne in die land Sínear.
GEN.10.11	Uit hierdie land het hy getrek na Assur en gebou: Ninevé en Réhobot-Ir en Kalag
GEN.10.12	en Resen, tussen Ninevé en Kalag — dit is die groot stad.
GEN.10.14	en die Patrusiete en Kasluhiete — waaruit die 
GEN.10.15	En Kanaän was die vader van Sidon, sy eersgeborene, en Het
GEN.10.16	en die Jebusiete en Amoriete en Girgasiete
GEN.10.17	en die Hewiete en Arkiete en Siniete
GEN.10.18	en die Arwadiete en Semariete en Hamatiete. En daarna het die geslagte van die Kanaäniete hulle versprei.
GEN.10.19	En die gebied van die Kanaäniete was van Sidon af in die rigting van Gerar tot by Gasa, in die rigting van Sodom en Gomorra en Adma en Sebóim tot by Lesa.
GEN.10.20	Dit was die seuns van Gam volgens hulle geslagte, na hulle tale, in hulle lande, in hulle nasies.
GEN.10.21	En ook vir Sem, die stamvader van al die seuns van Heber, die ouer broer van Jafet, is 
GEN.10.22	Die 
GEN.10.23	En die seuns van Aram was: Us en Hul en Geter en Mas.
GEN.10.24	En Arpágsad was die vader van Selag, en Selag van Heber.
GEN.10.25	En vir Heber is twee seuns gebore; die naam van die een was Peleg, want in sy dae het die aardbewoners verdeeld geraak; en die naam van sy broer was Joktan.
GEN.10.26	En Joktan was die vader van Almódad en Selef en Hasarmáwet en Jerag
GEN.10.27	en Hadóram en Usal en Dikla
GEN.10.28	en Obal en Abímael en Skeba
GEN.10.29	en 
GEN.10.30	En hulle woonplek was van Mesa af in die rigting van Sefar, die berg van die Ooste.
GEN.10.31	Dit is die seuns van Sem volgens hulle geslagte, na hulle tale, in hulle lande, volgens hulle nasies.
GEN.10.32	Dit is die geslagte van die seuns van Noag volgens hulle afstamming, in hulle nasies; en uit hulle het die nasies op die aarde hulle verdeel ná die vloed.
GEN.11.1	EN die hele aarde het dieselfde taal gehad en een en dieselfde woorde.
GEN.11.2	En toe hulle wegtrek na die ooste, vind hulle 'n laagte in die land 
GEN.11.3	Daarop sê hulle vir mekaar: Kom laat ons stene vorm en dit goed brand. Hulle gebruik toe die bakstene vir bousteen en die 
GEN.11.4	En hulle sê: Kom, laat ons vir ons 'n stad bou en 'n toring 
GEN.11.6	En die 
GEN.11.7	Kom, 
GEN.11.8	So het die 
GEN.11.9	Daarom het hulle dit Babel genoem, want daar het die 
GEN.11.11	En Sem het ná die geboorte van Arpágsad nog vyfhonderd jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.12	Toe Arpágsad vyf-en-dertig jaar oud was, 
GEN.11.13	En Arpágsad het ná die geboorte van Selag nog vierhonderd-en-drie jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.14	Toe Selag dertig jaar oud was, het hy die vader van Heber geword.
GEN.11.15	En Selag het ná die geboorte van Heber nog vierhonderd-en-drie jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.16	Toe Heber vier-en-dertig jaar oud was, het hy die vader van Peleg geword.
GEN.11.17	En Heber het ná die geboorte van Peleg nog vierhonderd-en-dertig jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.18	Toe Peleg dertig jaar oud was, het hy die vader van Rehu geword.
GEN.11.19	En Peleg het ná die geboorte van Rehu nog tweehonderd-en-nege jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.20	Toe Rehu twee-en-dertig jaar oud was, het hy die vader van Serug geword.
GEN.11.21	En Rehu het ná die geboorte van Serug nog tweehonderd-en-sewe jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.22	Toe Serug dertig jaar oud was, het hy die vader van Nahor geword.
GEN.11.23	En Serug het ná die geboorte van Nahor tweehonderd jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.24	Toe Nahor negen-en-twintig jaar oud was, het hy die vader van Tera geword.
GEN.11.25	En Nahor het ná die geboorte van Tera nog honderd-en-negentien jaar gelewe. En hy het seuns en dogters gehad.
GEN.11.26	Toe Tera sewentig jaar oud was, het hy die vader geword van Abram, Nahor en Haran.
GEN.11.27	En dit is die stamboom van Tera: Tera het die vader geword van Abram, Nahor en Haran, en Haran van Lot.
GEN.11.28	En Haran het gesterwe terwyl sy vader Tera nog geleef het, in sy geboorteland, in Ur van die Chaldeërs.
GEN.11.29	En Abram en Nahor het vir hulle vroue geneem. Die naam van Abram se vrou was Sarai, en die naam van Nahor se vrou was 
GEN.11.30	En Sarai was onvrugbaar, sy het geen kind gehad nie.
GEN.11.31	En Tera 
GEN.11.32	En die dae van Tera was tweehonderd-en-vyf jaar, en Tera het in Haran gesterwe.
GEN.12.1	EN die 
GEN.12.2	En Ek sal jou 'n groot nasie maak en jou seën en jou naam so groot maak, dat jy 'n seën sal wees.
GEN.12.4	Toe het Abram weggetrek soos die 
GEN.12.5	En Abram het Sarai, sy vrou, en Lot, sy broerskind, geneem en al hulle besittings wat hulle bymekaargemaak en die slawe wat hulle 
GEN.12.6	En Abram het deur die land getrek na die plek Sigem, tot by die 
GEN.12.7	Daarop verskyn die 
GEN.12.8	En daarvandaan het hy verder versit na die gebergte oos van Bet-el en sy tent opgeslaan tussen Bet-el aan die weste- en Ai aan die oostekant, en daar vir die 
GEN.12.9	Daarna het Abram al verder na die Suidland weggetrek.
GEN.12.10	En daar was 
GEN.12.11	En toe hy op die punt staan om Egipte in te trek, het hy met sy vrou Sarai gespreek: Kyk, ek weet dat jy 'n vrou is mooi van aansien.
GEN.12.12	As die Egiptenaars jou nou sien, sal hulle sê: Dit is sy vrou — en hulle 
GEN.12.13	Sê tog jy is my suster, dat dit met my goed kan gaan ter wille van jou en ek om jou ontwil in die lewe kan bly.
GEN.12.14	Toe Abram dan in Egipte gekom het, sien die Egiptenaars dat die vrou baie mooi was.
GEN.12.15	Ook het die vorste van Farao haar gesien en haar by Farao geprys. En die vrou is na die paleis van Farao geneem.
GEN.12.16	En hy het goed gedoen aan Abram om haar ontwil, sodat hy kleinvee en beeste en esels, slawe en slavinne, eselinne en kamele in besit gekry het.
GEN.12.17	Maar die 
GEN.12.18	Daarop laat Farao Abram roep en hy sê: Wat het jy my nou aangedoen? Waarom het jy my nie te kenne gegee dat sy jou vrou is nie?
GEN.12.19	Waarom het jy gesê: Sy is my suster — sodat ek haar vir my as vrou geneem het? Daar is jou vrou dan nou; neem 
GEN.12.20	En Farao het aan enkele manne aangaande hom bevel gegee, en hulle het hom weggebring met sy vrou en sy hele besitting.
GEN.13.1	SO het Abram dan uit Egipte na die Suidland opgetrek, hy met sy vrou en sy hele besitting, en Lot saam met hom.
