GEN.1.1	Na počiatku stvoril Boh nebo a zem.
GEN.2.25	Obaja, človek i jeho žena, boli nahí, no jeden pred druhým sa nehanbili.
GEN.3.1	Had bol najľstivejší zo všetkých poľných zvierat, ktoré utvoril Hospodin, Boh. Povedal žene: „Naozaj vám Boh zakázal jesť zo všetkých stromov záhrady?“
GEN.3.2	Žena mu odpovedala: „Ovocie zo stromov v záhrade jesť smieme,
GEN.3.3	ale o ovocí stromu, ktorý je uprostred záhrady, Boh povedal: ‚Nejedzte z neho, nedotknite sa ho, aby ste nezomreli!‘“ 
GEN.3.4	No had žene povedal: „Nie, určite nezomriete!
GEN.3.5	Boh totiž vie, že v deň, keď budete z neho jesť, otvoria sa vám oči a budete ako Boh, budete poznať dobro i zlo.“
GEN.3.6	Žena videla, že by bolo dobré jesť zo stromu, lebo strom je na pohľad lákavý a na získanie múdrosti vábivý. Vzala z jeho ovocia, jedla, potom dala aj svojmu mužovi, ktorý bol s ňou, a jedol aj on.
GEN.3.7	Obom sa otvorili oči a spoznali, že sú nahí. Splietli figové listy a urobili si zástery.
GEN.3.8	Keď počuli hlas Hospodina, Boha, ktorý sa prechádzal po záhrade za popoludňajšieho vánku, ukryl sa človek i jeho žena pred Hospodinom, Bohom, medzi stromy záhrady.
GEN.3.9	Hospodin, Boh, zavolal na človeka a opýtal sa ho: „Kde si?“
GEN.3.10	On odpovedal: „Počul som tvoj hlas v záhrade, zľakol som sa, pretože som nahý, a tak som sa skryl.“
GEN.3.11	Potom sa ho spýtal: „Kto ti povedal, že si nahý? Nejedol si azda zo stromu, z ktorého som ti zakázal jesť?“
GEN.3.12	Človek odvetil: „Žena, ktorú si mi dal, aby bola so mnou, dala mi z toho stromu, tak som jedol.“
GEN.3.13	Nato povedal Hospodin, Boh, žene: „Čo si to urobila?“ Ona odpovedala: „Had ma naviedol, tak som jedla.“
GEN.3.14	Hospodin, Boh, povedal hadovi:
GEN.3.14	„Pretože si to urobil, budeš prekliaty,
GEN.3.14	vyvrhnutý spomedzi všetkého dobytka
GEN.3.14	a všetkých divých zvierat.
GEN.3.14	Budeš sa plaziť po bruchu
GEN.3.14	a hltať prach po všetky dni svojho života.
GEN.3.15	Nepriateľstvo ustanovujem medzi tebou a ženou,
GEN.3.15	medzi tvojím potomstvom a jej potomstvom;
GEN.3.15	ono ti rozšliape hlavu, ty mu však zraníš pätu!“
GEN.3.16	Žene povedal:
GEN.3.16	„Rozmnožím tvoje trápenie v tehotenstve,
GEN.3.16	v bolestiach budeš rodiť deti.
GEN.3.16	Budeš túžiť po svojom mužovi,
GEN.3.16	ale on bude vládnuť nad tebou.“
GEN.3.17	Mužovi povedal:
GEN.3.17	„Pretože si poslúchol hlas svojej ženy
GEN.3.17	a jedol si zo stromu,
GEN.3.17	z ktorého som ti zakázal jesť,
GEN.3.17	nech je pre teba prekliata pôda.
GEN.3.17	S námahou sa z nej budeš živiť
GEN.3.17	po všetky dni svojho života.
GEN.3.18	Tŕnie a bodľačie ti bude rodiť
GEN.3.18	a ty budeš jesť poľné byliny.
GEN.3.19	V pote tváre budeš jesť chlieb,
GEN.3.19	kým sa nevrátiš do zeme,
GEN.3.19	lebo z nej si bol vzatý,
GEN.3.19	veď prach si a do prachu sa vrátiš.“
GEN.3.20	Človek dal svojej žene meno Eva, pretože ona bola matkou všetkých živých.
GEN.3.21	Hospodin, Boh, urobil mužovi a jeho žene kožené šaty a zaodel ich. 
GEN.3.22	Potom Hospodin, Boh, povedal: „Hľa, človek sa stal ako jeden z nás: Pozná dobro i zlo. Len aby teraz nesiahol rukou na strom života, nejedol z neho a nežil naveky!“
GEN.3.23	Hospodin, Boh, ho vyhnal zo záhrady Eden, aby obrábal pôdu, z ktorej bol vzatý.
GEN.3.24	Odohnal človeka a na východ od záhrady Eden postavil cherubov a blýskavý plamenný meč, aby strážili cestu k stromu života.
GEN.4.1	Adam poznal svoju ženu Evu, ona počala, porodila Kaina a povedala: „Dostala som muža od Hospodina.“
GEN.4.2	Porodila aj jeho brata Ábela. Ábel sa stal pastierom oviec, ale Kain obrábal pôdu.
GEN.4.3	Po istom čase priniesol Kain obetu Hospodinovi z poľných plodín.
GEN.4.4	Ábel obetoval prvorodené zo svojho stáda s tukom. Hospodin priaznivo zhliadol na Ábela a na jeho obetu,
GEN.4.5	ale na Kaina a na jeho obetu tak nepohliadol. Kain sa veľmi nahneval a tvár sa mu zamračila.
GEN.4.6	Hospodin povedal Kainovi: „Prečo sa hneváš? Prečo sa ti tvár tak zamračila?
GEN.4.7	Či neprijmem aj teba, ak budeš robiť dobre? No ak nerobíš dobre, pri dverách číha na teba hriech a jeho žiadostivosť, ale ty ju máš ovládať.“ 
GEN.4.8	Kain povedal svojmu bratovi Ábelovi: „Vyjdime von!“ Keď boli na poli, Kain napadol svojho brata Ábela a zabil ho.
GEN.4.9	Tu sa Hospodin spýtal Kaina: „Kde je tvoj brat Ábel?“ On odvetil: „Neviem. Som azda strážcom svojho brata?“
GEN.4.10	Opäť sa ho spýtal: „Čo si to urobil? Hlas krvi tvojho brata kričí ku mne zo zeme.
GEN.4.11	Teraz budeš kliatbou vyhnaný z pôdy, ktorá otvorila ústa, aby z tvojej ruky vypila krv tvojho brata.
GEN.4.12	Keď budeš obrábať pôdu, už ti nevydá svoju silu. Budeš sa nepokojne potulovať po zemi.“
GEN.4.13	Kain povedal Hospodinovi: „Môj trest je väčší, než vládzem zniesť. 
GEN.4.14	Ty ma dnes vyháňaš z pôdy a budem sa skrývať pred tebou. Budem sa nepokojne potulovať po zemi; ktokoľvek ma stretne, zabije ma.“
GEN.4.15	Hospodin mu však povedal: „Nie, to sa nestane, lebo ktokoľvek by zabil Kaina, toho postihne sedemnásobná pomsta.“ Hospodin poznačil Kaina, aby ho nikto, kto ho stretne, nezabil.
GEN.4.16	Kain sa vzdialil od Hospodina a býval v kraji Nód, na východ od Edenu.
GEN.4.17	Kain poznal svoju ženu, ktorá počala a porodila Henocha
GEN.4.18	Henochovi sa narodil syn Irád; Irád splodil Mechújaela, Mechújael Metúšaela a Metúšael Lemecha. 
GEN.4.19	Lemech si vzal dve ženy. Jedna sa volala Ada a druhá Cilla. 
GEN.4.20	Ada porodila Jabála, ktorý sa stal praotcom tých, čo bývajú v stanoch pri stádach. 
GEN.4.21	Jeho brat sa volal Jubál; on sa stal praotcom všetkých, čo hrajú na citare a flaute. 
GEN.4.22	Aj Cilla porodila, a to Túbal-Kajina. Bol kováč a zhotovoval rozličné výrobky z bronzu a zo železa. Túbal-Kajinova sestra bola Naama. 
GEN.4.23	Raz povedal Lemech svojim ženám:
GEN.4.23	„Ada a Cilla, počujte môj hlas,
GEN.4.23	Lemechove ženy, načúvajte mojej reči!
GEN.4.23	Zabil som muža, ktorý ma poranil,
GEN.4.23	mládenca, ktorý ma udrel.
GEN.4.24	Ak je pomsta za Kaina
GEN.4.24	sedemnásobná,
GEN.4.24	za Lemecha je
GEN.4.24	sedemdesiatsedemnásobná.“
GEN.4.25	Adam opäť poznal svoju ženu. Porodila syna a dala mu meno Šét, lebo povedala: „Boh mi dal iného potomka namiesto Ábela, ktorého zabil Kain.“
GEN.4.26	Aj Šétovi sa narodil syn a dal mu meno Enóš. Vtedy sa začalo vzývať meno Hospodina.
GEN.5.1	Toto je rodokmeň Adama. Keď Boh stvoril človeka, utvoril ho na Božiu podobu.
GEN.5.2	Ako muža a ženu ich stvoril, požehnal ich a dal im meno človek, keď ich stvoril.
GEN.5.3	Keď mal Adam stotridsať rokov, splodil syna na svoj obraz a podobu a dal mu meno Šét.
GEN.5.4	Po Šétovom narodení žil Adam osemsto rokov a narodili sa mu synovia a dcéry. 
GEN.5.5	Celý vek Adamovho života bol deväťstotridsať rokov, potom zomrel.
GEN.5.6	Keď mal Šét stopäť rokov, narodil sa mu Enóš.
GEN.5.7	Po Enóšovom narodení žil Šét osemstosedem rokov a narodili sa mu synovia a dcéry. 
GEN.5.8	Celý vek Šétovho života bol deväťstodvanásť rokov, potom zomrel.
GEN.5.9	Keď mal Enóš deväťdesiat rokov, narodil sa mu Kenán.
GEN.5.10	Po Kenánovom narodení žil Enóš osemstopätnásť rokov a narodili sa mu synovia a dcéry. 
GEN.5.11	Celý vek Enóšovho života bol deväťstopäť rokov, potom zomrel.
GEN.5.12	Keď mal Kenán sedemdesiat rokov, narodil sa mu Mahalalel. 
GEN.5.13	Po Mahalalelovom narodení žil Kenán osemstoštyridsať rokov a narodili sa mu synovia a dcéry. 
GEN.5.14	Celý vek Kenánovho života bol deväťstodesať rokov, potom zomrel.
GEN.5.15	Keď mal Mahalalel šesťdesiatpäť rokov, narodil sa mu Jered. 
GEN.5.16	Po Jeredovom narodení žil Mahalalel osemstotridsať rokov a narodili sa mu synovia a dcéry. 
GEN.5.17	Celý vek Mahalalelovho života bol osemstodeväťdesiatpäť rokov, potom zomrel.
GEN.5.18	Keď mal Jered stošesťdesiatdva rokov, narodil sa mu Henoch.
GEN.5.19	Po Henochovom narodení žil Jered osemsto rokov a narodili sa mu synovia a dcéry. 
GEN.5.20	Celý vek Jeredovho života bol deväťstošesťdesiatdva rokov, potom zomrel.
GEN.5.21	Keď mal Henoch šesťdesiatpäť rokov, narodil sa mu Matuzalem
GEN.5.22	Po Matuzalemovom narodení žil Henoch tristo rokov, chodil s Bohom a narodili sa mu synovia a dcéry.
GEN.5.23	Celý vek Henochovho života bol tristošesťdesiatpäť rokov. 
GEN.5.24	Henoch chodil s Bohom a nebolo ho, lebo ho Boh vzal.
GEN.5.25	Keď mal Matuzalem stoosemdesiatsedem rokov, narodil sa mu Lemech. 
GEN.5.26	Po Lemechovom narodení žil Matuzalem sedemstoosemdesiatdva rokov a narodili sa mu synovia a dcéry. 
GEN.5.27	Celý vek Matuzalemovho života bol deväťstošesťdesiatdeväť rokov, potom zomrel.
GEN.5.28	Keď mal Lemech stoosemdesiatdva rokov, narodil sa mu syn, 
GEN.5.29	ktorému dal meno Noach a povedal: „Tento nás poteší pri našej práci a námahe našich rúk s pôdou, ktorú Hospodin preklial.“
GEN.5.30	Po Noachovom narodení žil Lemech päťstodeväťdesiatpäť rokov a narodili sa mu synovia a dcéry. 
GEN.5.31	Celý vek Lemechovho života bol sedemstosedemdesiatsedem rokov, potom zomrel.
GEN.5.32	Keď mal Noach päťsto rokov, narodil sa mu Šém, Chám a Jefet.
GEN.6.1	Keď sa ľudia začali rozmnožovať na zemi a rodili sa im dcéry,
GEN.6.2	Boží synovia videli, že ľudské dcéry sú krásne, vzali si z nich za manželky tie, ktoré si vybrali.
GEN.6.3	Hospodin povedal: „Môj duch nezostane večne v človekovi, lebo je telo; jeho vek bude stodvadsať rokov.“
GEN.6.4	V tom čase i neskôr, keď sa Boží synovia stýkali s ľudskými dcérami a tie im rodili, vznikali na zemi obri, tí slávni muži dávnych čias.
GEN.6.5	Hospodin videl, že ľudská zloba na zemi je veľká a všetko zmýšľanie ľudského srdca je ustavične naklonené len k zlu.
GEN.6.6	Hospodin oľutoval, že utvoril človeka na zemi a cítil v srdci bolesť.
GEN.6.7	Hospodin povedal: „Človeka, ktorého som stvoril, vyhubím z povrchu zeme; počnúc človekom až po dobytok, plazy a nebeské vtáctvo, lebo ľutujem, že som ich utvoril.“
GEN.6.8	Ale Noach našiel u Hospodina milosť.
GEN.6.9	Toto je Noachov príbeh: Noach bol spravodlivý a bezúhonný muž medzi svojimi vrstovníkmi. Noach chodil s Bohom.
GEN.6.10	Narodili sa mu traja synovia: Šém, Chám a Jefet.
GEN.6.11	Zem však bola skazená pred Bohom a plná násilia. 
GEN.6.12	Boh videl, že zem je skazená, pretože celé ľudstvo na zemi si počínalo skazene.
GEN.6.13	Boh povedal Noachovi: „Rozhodol som sa skoncovať so všetkým tvorstvom, lebo zem je plná násilia. Zničím ich aj so zemou.
GEN.6.14	Urob si koráb z góferového dreva; v korábe urob priehrady a vymaž ho zvnútra i zvonka smolou.
GEN.6.15	Urobíš ho takto: dĺžka korábu bude tristo lakťov, šírka päťdesiat lakťov a jeho výška tridsať lakťov. 
GEN.6.16	Koráb dokonči tak, že pri vrchu urobíš svetlík na jeden lakeť. Do bočnej steny korábu osaď dvere; urob v ňom spodné, stredné a vrchné podlažie.
GEN.6.17	Ja privediem vody potopy na zem, aby som spod neba vyhubil každého tvora, v ktorom je dych života. Všetko, čo je na zemi, zahynie.
GEN.6.18	S tebou uzavriem zmluvu; do korábu vojdeš ty, tvoji synovia, tvoja žena a tvoje nevesty.
GEN.6.19	Zo všetkých druhov živočíchov vezmeš do korábu po páre, aby s tebou zostali nažive; bude to samec a samica. 
GEN.6.20	Vojdú ta s tebou po páre z vtáctva, dobytka i zo všetkých zemských plazov podľa svojich druhov, aby zostali nažive. 
GEN.6.21	Ty si vezmi z každej potravy, čo sa môže jesť, a zhromaždi ju k sebe; tebe aj im to bude za pokrm.“ 
GEN.6.22	Noach urobil všetko tak, ako mu Boh prikázal.
GEN.7.1	Potom Hospodin povedal Noachovi: „Vojdi do korábu s celou svojou rodinou, lebo som videl, že si spravodlivý predo mnou v tomto pokolení.
GEN.7.2	Zo všetkých čistých zvierat vezmi so sebou sedem párov, samca a samicu; z nečistých zvierat po páre, samca a samicu.
GEN.7.3	Aj z nebeského vtáctva vezmeš po sedem párov, samca a samicu, aby sa zachovalo potomstvo na celej zemi, 
GEN.7.4	lebo ešte sedem dní a potom spustím na zem dážď trvajúci štyridsať dní a štyridsať nocí a vyhubím z povrchu zeme každú bytosť, ktorú som utvoril.“
GEN.7.5	Noach urobil všetko, čo mu rozkázal Hospodin. 
GEN.7.6	Noach mal šesťsto rokov, keď voda potopy zaplavila zem.
GEN.7.7	Noach vošiel do korábu a s ním aj jeho synovia, jeho žena a jeho nevesty pred vodami potopy.
GEN.7.8	Z čistých i z nečistých zvierat, z vtáctva a zo všetkého, čo sa hýbe na zemi, 
GEN.7.9	vošlo po dvoch k Noachovi do korábu, samec a samica, ako mu prikázal Boh.
GEN.7.10	Keď prešlo sedem dní, valila sa voda potopy na zem. 
GEN.7.11	V šesťstom roku Noachovho života, v druhom mesiaci, sedemnásteho dňa toho mesiaca, vyrazili všetky pramene obrovskej prahlbiny, roztvorili sa nebeské uzávery
GEN.7.12	a pršalo na zem štyridsať dní a štyridsať nocí. 
GEN.7.13	V ten istý deň vošiel do korábu Noach a s ním jeho synovia Šém, Chám a Jefet, jeho žena a jeho tri nevesty. 
GEN.7.14	Oni a všetky zvieratá, všetok dobytok, všetky plazy, čo sa hýbu na zemi, všetko vtáctvo, všetky operence a okrídlence podľa svojich druhov 
GEN.7.15	vošli k Noachovi do korábu po páre zo všetkých tvorov, v ktorých je dych života. 
GEN.7.16	Zo všetkých tvorov vošiel samec a samica tak, ako mu Boh prikázal. Hospodin za ním zavrel koráb.
GEN.7.17	Na zemi nastala štyridsaťdňová potopa. Voda stúpala, zdvihla koráb a ten sa vzniesol zo zeme. 
GEN.7.18	Voda veľmi stúpala a zaplavovala všetko na povrchu zeme, no koráb sa vznášal na vode. 
GEN.7.19	Voda tak veľmi stúpala nad pevninou, že zatopila všetky vysoké vrchy pod šírym nebom. 
GEN.7.20	O pätnásť lakťov prevyšovala voda vrchy, ktoré pokryla.
GEN.7.21	Zahynuli všetky tvory, ktoré sa pohybovali po zemi, vtáctvo, dobytok, divá zver, plazy, ktoré sa hýbali po zemi, i všetci ľudia.
GEN.7.22	Z toho, čo bolo na suchej zemi, zahynulo všetko, čo malo v nozdrách dych života. 
GEN.7.23	Boh zahubil všetky bytosti, čo boli na povrchu zeme: ľudí, dobytok, plazy a nebeské vtáctvo. Všetko bolo vyhubené zo zeme, ostal iba Noach a to, čo bolo s ním v korábe.
GEN.7.24	Voda ovládala zem stopäťdesiat dní.
GEN.8.1	Boh si spomenul na Noacha, na všetku divú zver a všetok dobytok, ktorý bol s ním v korábe; Boh zoslal na zem vietor a voda opadávala.
GEN.8.2	Zatvorili sa aj žriedla prahlbiny a nebeské uzávery; zastavil sa aj dážď z neba. 
GEN.8.3	Voda, čo pritekala a odtekala, strácala sa zo zeme a po stopäťdesiatich dňoch jej ubúdalo. 
GEN.8.4	V siedmom mesiaci, v sedemnásty deň tohto mesiaca, zastal koráb na pohorí Araratu.
GEN.8.5	Voda ustupovala a opadávala až do desiateho mesiaca. V prvý deň desiateho mesiaca sa objavili končiare vrchov. 
GEN.8.6	Keď uplynulo štyridsať dní, Noach otvoril na korábe okno, ktoré urobil, 
GEN.8.7	a vypustil krkavca; ten odlietal a prilietal, kým voda na zemi nevyschla.
GEN.8.8	Vypustil aj holubicu, aby zistil, či vody z povrchu zeme už ubudlo.
GEN.8.9	No keď nenašla miesto, kde by jej noha spočinula, vrátila sa k nemu do korábu. Na celej zemi bola ešte voda. Vystrel ruku, chytil holubicu a vzal ju do korábu. 
GEN.8.10	Počkal ešte ďalších sedem dní a znova vypustil z korábu holubicu. 
GEN.8.11	Podvečer sa k nemu vrátila a v zobáku priniesla čerstvý olivový lístok. Noach spoznal, že voda zo zeme ustúpila. 
GEN.8.12	Čakal ešte ďalších sedem dní a vypustil holubicu, no tá sa k nemu už nevrátila. 
GEN.8.13	V šesťstoprvom roku, v prvom mesiaci, v prvý deň mesiaca, voda na zemi vyschla. Noach otvoril strechu korábu, pozrel sa von a videl, že povrch zeme je už suchý. 
GEN.8.14	V druhom mesiaci, v dvadsiaty siedmy deň mesiaca, zem bola suchá.
GEN.8.15	Boh prehovoril k Noachovi: 
GEN.8.16	„Vyjdi z korábu so svojou ženou, so svojimi synmi a so svojimi nevestami.
GEN.8.17	Vyveď všetky druhy živočíchov, ktoré sú s tebou: vtáctvo, dobytok a všetky plazy, čo sa hmýria na zemi, aby sa pohybovali po zemi, plodili sa a množili sa na zemi.“
GEN.8.18	Vyšiel teda Noach, s ním jeho synovia, jeho žena, jeho nevesty, 
GEN.8.19	všetky zvieratá, všetky plazy, všetky vtáky, všetko, čo sa hýbe na zemi, podľa svojich rodov, to všetko vyšlo z korábu. 
GEN.8.20	Potom Noach postavil oltár Hospodinovi, vzal zo všetkého čistého dobytka i z čistých vtákov a priniesol spaľované obety na oltár.
GEN.8.21	Hospodin pocítil príjemnú vôňu a povedal si: „Už nikdy pre človeka neprekľajem zem, lebo zmýšľanie ľudského srdca je od mladosti náklonné na zlé. Preto už nikdy nevyhubím všetky živé bytosti, ako som to urobil.
GEN.8.22	Kým bude trvať zem, sejba ani žatva,
GEN.8.22	chlad ani horúčava, leto ani zima,
GEN.8.22	deň ani noc neprestanú.“
GEN.9.1	Boh požehnal Noacha i jeho synov a povedal im: „Ploďte sa, množte sa a naplňte zem!
GEN.9.2	Strach a hrôza z vás padne na všetky pozemské zvieratá, na všetko nebeské vtáctvo i na všetko, čo sa hýbe na zemi. Všetky morské ryby sú dané do vašej moci.
GEN.9.3	Všetko, čo sa hýbe a žije, budete mať za pokrm, všetko vám dávam, ako predtým zelené byliny.
GEN.9.4	Len mäso s dušou, teda s jeho krvou, jesť nebudete,
GEN.9.5	lebo za vašu krv budem brať na zodpovednosť každé zviera, za život človeka budem brať na zodpovednosť človeka, jeho brata.
GEN.9.6	Ak niekto preleje krv človeka,
GEN.9.6	nech jeho krv preleje človek,
GEN.9.6	lebo Boh utvoril človeka
GEN.9.6	na Boží obraz.
GEN.9.7	Vy sa však ploďte a množte,
GEN.9.7	rozmáhajte sa na zemi
GEN.9.7	a množte sa na nej!“
GEN.9.8	Boh povedal Noachovi a jeho synom, čo boli s ním: 
GEN.9.9	„Uzatváram svoju zmluvu s vami i s vaším potomstvom
GEN.9.10	a so všetkými živými bytosťami, čo sú s vami, s vtáctvom, s dobytkom a so všetkou divou zverou, čo je s vami, so všetkým, čo vyšlo z korábu, so všetkou zverou zeme.
GEN.9.11	Uzatváram s vami svoju zmluvu, že voda potopy už nezničí nijakého živého tvora a nebude už potopy, ktorá by zničila zem.“
GEN.9.12	Boh povedal: „Toto je znamením zmluvy, ktorú uzatváram medzi mnou a vami a všetkými živými tvormi, čo sú s vami, pre všetky budúce pokolenia:
GEN.9.13	Svoju dúhu som položil na oblak, aby bola znamením zmluvy medzi mnou a zemou.
GEN.9.14	Kedykoľvek nahromadím mračná nad zemou a na oblaku sa ukáže dúha, 
GEN.9.15	rozpomeniem sa na svoju zmluvu medzi mnou a vami a všetkými živými tvormi; voda už nebude potopou na zničenie všetkých živých tvorov.
GEN.9.16	Keď sa na oblaku ukáže dúha, pozriem na ňu a rozpomeniem sa na večnú zmluvu medzi Bohom a každým živým tvorom na zemi.“
GEN.9.17	Boh povedal Noachovi: „Toto je znamenie zmluvy, ktorú som ustanovil medzi mnou a každým živým tvorom na zemi.“
GEN.9.18	Noachovi synovia, ktorí vyšli z korábu, boli: Šém, Chám a Jefet. Chám bol otcom Kanaána.
GEN.9.19	Títo traja boli Noachovi synovia a z nich sa rozšírilo ľudstvo po celej zemi.
GEN.9.20	Noach bol prvý roľník, ktorý vysadil vinicu.
GEN.9.21	Raz sa napil vína, opil sa a obnažený si ľahol vo svojom stane.
GEN.9.22	Chám, Kanaánov otec, však videl svojho otca obnaženého a povedal to vonku svojim dvom bratom.
