GEN.1.1	Na počiatku stvoril Boh nebo a zem.
GEN.2.12	"Zlato z onej krajiny je vzácne; tam sa nachádza aj bdéliová živica a drahokam ónyx."
GEN.2.13	"Druhá rieka sa volá Gíchón; tá tečie okolo krajiny Kúš."
GEN.2.14	"Tretia rieka sa volá Chiddekela
GEN.2.15	Hospodin Boh vzal človeka a voviedol ho do záhrady Éden, aby ju obrábal a strážil.
GEN.2.16	Potom Hospodin Boh rozkázal človeku: Zo všetkých stromov záhrady smieš jesť,
GEN.2.17	ale zo stromu poznania dobra a zla nesmieš jesť, lebo v deň, keď budeš z neho jesť, istotne zomrieš.
GEN.2.18	Potom riekol Hospodin Boh: Nie je dobré človeku byť osamote. Dám mu pomoc, ktorá mu bude roveň.
GEN.2.19	"Vtedy Hospodin Boh utvoril zo zeme všetku poľnú zver i všetko nebeské vtáctvo a priviedol ich k človeku, aby videl, ako ich nazve; každý živý tvor sa mal volať tak, ako ho nazve človek."
GEN.2.20	A človek pomenoval všetok dobytok, nebeské vtáctvo i všetku poľnú zver. Ale pre človeka nenašiel pomoc, ktorá by mu bola roveň.
GEN.2.21	"Vtedy Hospodin Boh dopustil na človeka tvrdý spánok; keď zaspal, vyňal mu jedno rebro a jeho miesto uzavrel mäsom."
GEN.2.22	Z rebra, ktoré Hospodin Boh vyňal človeku, utvoril ženu a priviedol ju k človeku.
GEN.2.23	Nato povedal človek:
GEN.2.23	Toto je už kosť z mojich kostí
GEN.2.23	a telo z môjho tela.
GEN.2.23	Bude sa volať mužena,
GEN.2.23	lebo je z muža vzatá.
GEN.2.24	Preto muž opustí svojho otca i svoju matku a priľne k svojej žene a budú jedným telom.
GEN.2.25	Obaja však boli nahí, človek i jeho žena, ale nehanbili sa.
GEN.3.1	Had bol ľstivejší ako všetky poľné zvieratá, ktoré Hospodin Boh učinil. Ten povedal žene: Či naozaj riekol Boh: Nesmiete jesť zo žiadneho rajského stromu?
GEN.3.2	Žena odpovedala hadovi: Z ovocia rajských stromov smieme jesť,
GEN.3.3	ale o ovocí stromu, ktorý je v strede raja, riekol Boh: Nejedzte z neho, ani sa ho nedotknite, aby ste nezomreli!
GEN.3.4	"Had však povedal žene: Vôbec nezomriete;"
GEN.3.5	"ale Boh vie, že v ten deň, keď budete z neho jesť, otvoria sa vám oči a budete ako Boh; budete vedieť, čo je dobro a čo zlo."
GEN.3.6	"Keď žena videla, že by bolo dobre jesť zo stromu, že je pre oči zvodný a lákavý na zmúdrenie, vzala z jeho ovocia a jedla; potom dala aj svojmu mužovi, ktorý bol s ňou; aj on jedol."
GEN.3.7	"Vtedy sa obidvom otvorili oči a spoznali, že sú nahí; pospínali si teda figové lístie a urobili si zástery."
GEN.3.8	Keď začuli kroky Hospodina Boha, chodiaceho za podvečerného vánku po záhrade, skryl sa človek a jeho žena pred Hospodinom Bohom medzi stromy záhrady.
GEN.3.9	Hospodin Boh však zavolal na človeka a riekol: Kde si?
GEN.3.10	"On odpovedal: Počul som Ťa v záhrade, bál som sa, lebo som nahý; i skryl som sa."
GEN.3.11	Nato Boh riekol: Kto ti oznámil, že si nahý? Nejedol si zo stromu, z ktorého som ti zakázal jesť?
GEN.3.12	"Človek odpovedal: Žena, ktorú si mi dal, aby bola pri mne, dala mi zo stromu; i jedol som."
GEN.3.13	"Nato riekol Hospodin Boh žene: Čo si to urobila? A žena odpovedala: Had ma podviedol; nuž jedla som."
GEN.3.14	Vtedy riekol Hospodin Boh hadovi:
GEN.3.14	Pretože si to urobil,
GEN.3.14	prekliaty budeš nad všetok dobytok
GEN.3.14	i nad všetky poľné zvieratá.
GEN.3.14	Po bruchu sa budeš plaziť
GEN.3.14	a prach budeš hltať
GEN.3.14	po všetky dni svojho života.
GEN.3.15	"Položím nepriateľstvo
GEN.3.15	medzi teba a ženu,
GEN.3.15	medzi tvoje potomstvo
GEN.3.15	a jej potomstvo;
GEN.3.15	ono ti rozmliaždi hlavu
GEN.3.15	a ty mu schvatneš pätu.
GEN.3.15	"
GEN.3.16	"Žene riekol:
GEN.3.16	Veľmi ti rozmnožím ťažoby
GEN.3.16	v tvojom tehotenstve;
GEN.3.16	v bolestiach budeš rodiť deti
GEN.3.16	a budeš túžiť za svojím mužom,
GEN.3.16	ale on bude vládnuť nad tebou.
GEN.3.16	"
GEN.3.17	A Adamovi
GEN.3.17	Pretože si poslúchol
GEN.3.17	hlas svojej ženy a jedol si zo stromu,
GEN.3.17	čo som ti zakázal:
GEN.3.17	Nebudeš jesť z neho! -
GEN.3.17	pre teba bude pôda prekliata
GEN.3.17	s námahou sa z nej budeš živiť.
GEN.3.18	Ba tŕnie a hložie bude ti rodiť
GEN.3.18	a poľné byliny budeš jedávať.
GEN.3.19	V pote tváre budeš jesť chlieb,
GEN.3.19	kým sa nevrátiš do zeme,
GEN.3.19	lebo z nej si vzatý,
GEN.3.19	pretože si prach
GEN.3.19	a do prachu sa vrátiš.
GEN.3.20	Adam nazval svoju ženu Evou
GEN.3.21	Hospodin Boh učinil Adamovi a jeho žene odevy z kože a zaodel ich.
GEN.3.22	Hospodin Boh však riekol: Hľa, človek je už ako jeden z nás, keďže pozná dobro i zlo. Aby však teraz nenačiahol ruku, aby nevzal a nejedol zo stromu života a aby nežil večne,
GEN.3.23	poslal ho Hospodin Boh von zo záhrady Éden obrábať pôdu, z ktorej bol vzatý.
GEN.3.24	Potom zahnal človeka a na východ od záhrady osadil cherubov s blýskavými plamennými mečmi, aby strážili cestu k stromu života.
GEN.4.1	"Potom Adam poznal svoju ženu Evu; ona počala a porodila Kaina. Povedala: Dostala som muža od Hospodina."
GEN.4.2	"Potom porodila Ábela, jeho brata; Ábel bol pastierom oviec, Kain bol však roľníkom."
GEN.4.3	Po nejakom čase Kain priniesol Hospodinovi obeť z plodín poľa.
GEN.4.4	Aj Ábel obetoval z prvorodeniat svojho stáda, a to z najtučnejších. Vtedy Hospodin priaznivo zhliadol na Ábela a na jeho obeť,
GEN.4.5	ale na Kaina a na jeho obeť nezhliadol. Nato Kain vzbĺkol veľkým hnevom a zamračila sa mu tvár.
GEN.4.6	Hospodin však riekol Kainovi: Prečo si vzbĺkol hnevom a prečo sa ti zamračila tvár?
GEN.4.7	"Zaiste, ak budeš dobre robiť, rozjasní sa ti; ak však nebudeš dobre robiť, hriech striehne pri dverách, na teba je upriamená jeho žiadostivosť; ale ty ho opanuj!"
GEN.4.8	Nato Kain povedal svojmu bratovi Ábelovi: Poďme na pole. Keď boli na poli, Kain napadol brata Ábela a zabil ho.
GEN.4.9	"Tu riekol Hospodin Kainovi: Kde je tvoj brat Ábel? A on odvetil: Neviem; či som ja strážcom svojho brata?"
GEN.4.10	Nato Boh riekol: Čo si to urobil? Hlas krvi tvojho brata volá zo zeme ku mne.
GEN.4.11	Teraz budeš kliatbou zahnaný z pôdy, ktorá otvorila ústa, aby prijala krv tvojho brata z tvojich rúk.
GEN.4.12	"Keď budeš obrábať pôdu, nebude ti viac dávať svoju silu; tulákom a bludárom budeš na zemi."
GEN.4.13	I povedal Kain Hospodinovi: Väčší je môj trest, než by som ho vládal zniesť.
GEN.4.14	"Ajhľa, dnes ma odháňaš z pôdy a ja sa musím skrývať pred tvojou tvárou; budem tulákom a bludárom na zemi; a kto ma stretne, zabije ma."
GEN.4.15	Hospodin mu však riekol: Práve preto, ktokoľvek by zabil Kaina, odnesie si sedemnásobnú pomstu. A Hospodin urobil Kainovi znak, aby ho nikto, kto ho stretne, nezabil.
GEN.4.16	Vtedy Kain odišiel od tváre Hospodinovej a býval v krajine Nód, východne od Édenu.
GEN.4.17	"Kain poznal svoju ženu; ona počala a porodila Enocha. Potom staval mesto a nazval to mesto menom svojho syna Enocha."
GEN.4.18	"Enochovi sa narodil Irád a Irád splodil Mechujáéla; Mechujáél zas splodil Metušáéla a Metušáél splodil Lámecha."
GEN.4.19	"Lámech si vzal dve ženy; jedna sa volala Ádá, druhá sa volala Cillá."
GEN.4.20	"Ádá porodila Jábála; on bol praotcom tých, čo bývajú v stanoch a pri stáde."
GEN.4.21	"Jeho brat sa volal Júbal; on bol praotcom tých, čo hrajú na citare a píšťale."
GEN.4.22	Cillá porodila Túbal-Kaina, kováča rozličného bronzového a železného náčinia. Sestra Túbal-Kaina bola Naamá.
GEN.4.23	Raz povedal Lámech svojim ženám:
GEN.4.23	Ádá a Cillá, čujte môj hlas,
GEN.4.23	Lámechove ženy,
GEN.4.23	počúvajte moju reč!
GEN.4.23	V odplate za ranu zabil som muža,
GEN.4.23	za svoju ranu mladíka.
GEN.4.24	Ak bude Kain sedem razy pomstený,
GEN.4.24	tak Lámech sedemdesiatsedem razy.
GEN.4.25	"Adam poznal opäť svoju ženu; porodila syna a dala mu meno Šét; lebo mi Boh dal - tak hovorila - nové potomstvo miesto Ábela, pretože Kain ho zabil."
GEN.4.26	"Aj Šétovi sa narodil syn; dal mu meno Enóš. Vtedy sa začalo vzývať meno Hospodinovo."
GEN.5.1	Toto je zoznam Adamových pokolení: Keď Boh stvoril človeka, učinil ho na Božiu podobu.
GEN.5.2	"Ako muža a ženu ich stvoril; keď ich požehnal, v deň ich stvorenia dal im meno Človek."
GEN.5.3	Keď mal Adam stotridsať rokov, splodil syna sebe podobného, na svoj obraz, a dal mu meno Šét.
GEN.5.4	Adam žil po splodení Šéta ešte osemsto rokov, a mal synov i dcéry.
GEN.5.5	"Celkove Adam žil deväťstotridsať rokov; potom zomrel."
GEN.5.6	Keď mal Šét stopäť rokov, splodil Enóša.
GEN.5.7	Šét po splodení Enóša žil ešte osemstosedem rokov, a mal synov i dcéry.
GEN.5.8	"Celkove Šét žil deväťstodvanásť rokov; potom zomrel."
GEN.5.9	Keď mal Enóš deväťdesiat rokov, splodil Kénána.
GEN.5.10	Enóš žil ešte osemstopätnásť rokov po splodení Kénána a mal synov i dcéry.
GEN.5.11	"Celkove Enóš žil deväťstopäť rokov; potom zomrel."
GEN.5.12	Keď mal Kénán sedemdesiat rokov, splodil Mahalaléla.
GEN.5.13	Kénán žil ešte osemstoštyridsať rokov po splodení Mahalaléla a mal synov i dcéry.
GEN.5.14	"Celkove Kénán žil deväťstodesať rokov; potom zomrel."
GEN.5.15	Mahalalél mal šesťdesiatpäť rokov, keď splodil Jereda.
GEN.5.16	Mahalalél žil ešte osemstotridsať rokov po splodení Jereda a mal synov i dcéry.
GEN.5.17	"Celkove Mahalalél žil osemstodeväťdesiatpäť rokov; potom zomrel."
GEN.5.18	Jered mal stošesťdesiatdva rokov, keď splodil Enocha.
GEN.5.19	Jered žil ešte osemsto rokov po splodení Enocha a mal synov i dcéry.
GEN.5.20	"Celkove Jered žil deväťstošesťdesiatdva rokov; potom zomrel."
GEN.5.21	Keď mal Enoch šesťdesiatpäť rokov, splodil Metúšelacha
GEN.5.22	Enoch chodil s Bohom a žil ešte tristo rokov po splodení Metúšelacha a mal synov a dcéry.
GEN.5.23	Celkove Enoch žil tristošesťdesiatpäť rokov.
GEN.5.24	"Enoch chodil s Bohom; ale zrazu ho nebolo, lebo Boh ho vzal."
GEN.5.25	Keď mal Metúšelach stoosemdesiatsedem rokov, splodil Lámecha.
GEN.5.26	Metúšelach žil ešte sedemstoosemdesiatdva rokov po splodení Lámecha, a mal synov i dcéry.
GEN.5.27	"Celkove Metúšelach žil deväťstošesťdesiatdeväť rokov; potom zomrel."
GEN.5.28	Keď mal Lámech stoosemdesiatdva rokov, splodil syna,
GEN.5.29	nazval ho Nóachom a povedal: Tento nás poteší pri našej práci, pri námahe našich rúk na pôde, ktorú Hospodin preklial.
GEN.5.30	Lámech žil ešte päťstodeväťdesiatpäť rokov po splodení Nóacha a mal synov i dcéry.
GEN.5.31	"Celkove Lámech žil sedemstosedemdesiatsedem rokov; potom zomrel."
GEN.5.32	Keď mal Nóach päťsto rokov, splodil Šéma, Cháma a Jáfeta.
GEN.6.1	Keď sa ľudia začali množiť na zemi a rodili sa im aj dcéry,
GEN.6.2	Boží synovia videli, že ľudské dcéry sú pekné, a brali si za ženy všetky, ktoré si vyvolili.
GEN.6.3	"Vtedy riekol Hospodin: Môj duch nebude prebývať v človeku naveky, lebo on je len telo; a žiť bude stodvadsať rokov."
GEN.6.4	V tých časoch, ba aj potom, keď synovia Boží vchádzali k ľudským dcéram a ony im rodili, boli obrami na zemi. To sú hrdinovia, čo boli povestnými mužmi za starodávna.
GEN.6.5	Keď však Hospodin videl, že skazenosť ľudí na zemi bola veľká a že všetko zmýšľanie ich srdca bolo ustavične zlé,
GEN.6.6	Hospodin oľutoval, že učinil človeka na zemi, a zabolelo ho srdce.
GEN.6.7	I riekol Hospodin: Zotriem z povrchu zeme človeka, ktorého som stvoril, ľudí aj zvieratá až po plazy a nebeské vtáky, lebo som oľutoval, že som ich učinil.
GEN.6.8	Ale Nóach našiel milosť v očiach Hospodinových.
GEN.6.9	Toto je Nóachov rodokmeň: Nóach bol muž spravodlivý a bezúhonný medzi svojimi vrstovníkmi. Nóach chodieval s Bohom.
GEN.6.10	Nóach splodil troch synov: Šéma, Cháma a Jáfeta.
GEN.6.11	"Ale zem bola porušená v Božích očiach; na zemi bolo plno násilia."
GEN.6.12	Boh videl, že zem bola porušená, lebo každé telo viedlo porušený život na zemi.
GEN.6.13	Vtedy Boh riekol Nóachovi: Koniec nastal každému telu predo mnou, lebo pre ľudí zem je plná násilia. Vyhubím ich zo zeme.
GEN.6.14	"Urob si koráb z góferového dreva; urob koráb s priehradami a natri ho zvnútra i zvonku smolou."
GEN.6.15	Takto to urob: tristo lakťov bude dĺžka korábu, päťdesiat lakťov jeho šírka a tridsať lakťov jeho výška.
GEN.6.16	Na korábe urob svetelný otvor. Sprav ho na lakeť od vrchu, dvere korábu umiestni na boku. Urob spodné, stredné a horné podlažie.
GEN.6.17	Lebo ja uvediem potopu vôd na zem, aby som vyhubil spod neba každé telo, ktoré má v sebe dych života. Všetko, čo je na zemi, musí zhynúť.
GEN.6.18	Ja však ustanovím svoju zmluvu s tebou a do korábu vojdeš ty a s tebou tvoji synovia, tvoja žena a ženy tvojich synov.
GEN.6.19	"Zo všetkých živočíchov, z každého tela, vovedieš do korábu po páre, aby si ich pri sebe zachoval nažive; budú to samec a samica."
GEN.6.20	Zo všetkých druhov vtáctva, zo všetkých druhov dobytka, zo všetkých druhov plazov, zo všetkého vojdú k tebe dvojice, aby ostali nažive.
GEN.6.21	"Ty si však naber zo všetkých potravín na jedenie a uskladni ich; budú potravou tebe aj im."
GEN.6.22	Nóach urobil všetko tak, ako mu prikázal Boh.
GEN.7.1	Potom riekol Hospodin Nóachovi: Vojdi ty i celá tvoja domácnosť do korábu, lebo som videl, že ty si spravodlivý predo mnou v tomto pokolení.
GEN.7.2	Vezmi so sebou zo všetkých čistých zvierat po sedem: samcov a samice, a zo zvierat, ktoré nie sú čisté, po páre: samca a samicu.
GEN.7.3	Aj z nebeského vtáctva po sedem: samcov a samice, aby sa ich rod zachoval na celom zemskom povrchu.
GEN.7.4	"Lebo o sedem dní spustím na zem dážď na štyridsať dní a štyridsať nocí; zotriem zo zeme všetky tvory, ktoré som utvoril."
GEN.7.5	A Nóach urobil všetko tak, ako mu prikázal Hospodin.
GEN.7.6	Nóach mal šesťsto rokov, keď prišla na zem potopa.
GEN.7.7	I vošiel Nóach a s ním jeho synovia, jeho žena i ženy jeho synov do korábu pred vodami potopy.
GEN.7.8	Z čistých i z nečistých zvierat, zo všetkého vtáctva i zo všetkého, čo sa plazí po zemi,
GEN.7.9	vošli do korábu k Nóachovi po páre: samec a samica, ako prikázal Boh Nóachovi.
GEN.7.10	Po siedmich dňoch prišli vody potopy na zem.
GEN.7.11	V šesťstom roku Nóachovho života sedemnásteho dňa druhého mesiaca, ešte toho dňa prepukli všetky žriedla veľkej prahlbiny, otvorili sa okná nebies
GEN.7.12	a lial sa dážď na zem štyridsať dní a štyridsať nocí.
GEN.7.13	"Toho istého dňa vstúpil do korábu Nóach a s ním Nóachovi synovia: Šém, Chám a Jáfet, Nóachova žena a tri ženy jeho synov;"
GEN.7.14	oni aj všetky druhy živočíchov, všetky druhy dobytka, všetky druhy plazov, čo sa pohybujú po zemi, a všetky druhy vtákov,
GEN.7.15	vošli k Nóachovi do korábu po páre z každého tvora, čo má v sebe dych života.
GEN.7.16	A tie, čo vošli, vošli ako samec a samica z každého tvora, ako mu Boh prikázal. Nato Hospodin zavrel za ním dvere.
GEN.7.17	Keď potopa trvala na zemi štyridsať dní, rozmnožili sa vody, zdvihli koráb, takže sa nadniesol od zeme.
GEN.7.18	Vody stúpali a veľmi sa rozmnožili na zemi, takže koráb plával na hladine vôd.
GEN.7.19	Keď vody stále viac stúpali, pokryli všetky vysoké vrchy pod celým nebom.
GEN.7.20	Vody ich presahovali o pätnásť lakťov a pokryli vrchy.
GEN.7.21	Tak zhynulo každé telo, čo sa pohybovalo na zemi, a to ako vtáctvo, dobytok, divá zver, aj všetci ľudia.
GEN.7.22	Z toho, čo bolo na suchej zemi, pomrelo všetko, čo malo v sebe život.
GEN.7.23	"Tak zotrel Boh všetky tvory, ktoré boli na povrchu zeme; všetko od človeka po dobytok, od plazov po nebeské vtáctvo bolo zotreté zo zeme, tak že zostal iba Nóach a čo bolo s ním v korábe."
GEN.7.24	Vody však vládli nad zemou stopäťdesiat dní.
GEN.8.1	"Vtedy sa Boh rozpomenul na Nóacha, na všetky živočíchy i na dobytok, ktoré boli s ním v korábe; Boh poslal vietor na zem a vody opadli."
GEN.8.2	Zavreli sa žriedla prahlbiny aj okná nebies a dážď z neba ustal.
GEN.8.3	Vody sa viac a viac vracali do zeme a po stopäťdesiatich dňoch začalo vôd ubúdať.
GEN.8.4	V siedmom mesiaci, sedemnásteho dňa toho mesiaca spočinul koráb na Araráte
GEN.8.5	"Vôd stále ubúdalo až do desiateho mesiaca; prvý deň desiateho mesiaca ukázali sa končiare vrchov.
GEN.8.5	"
GEN.8.6	Potom, po štyridsiatich dňoch, Nóach otvoril okno korábu, ktoré urobil,
GEN.8.7	a vypustil krkavca. Ten vyletel a poletoval sem i tam, kým na zemi nevyschli vody.
GEN.8.8	Potom vypustil holubicu, aby videl, či sa vody na povrchu zeme umenšili.
GEN.8.9	Keď však holubica nenašla miesto, kde by jej noha spočinula, vrátila sa k nemu do korábu, lebo vody boli na celom povrchu zeme. Vystrel ruku, chytil ju a vtiahol k sebe do korábu.
GEN.8.10	Potom čakal ešte ďalších sedem dní a znova vypustil holubicu z korábu.
GEN.8.11	K večeru sa holubica vrátila k nemu, a hľa, v zobáku mala čerstvý olivový list. Z toho Nóach poznal, že sa vody na zemi umenšili.
GEN.8.12	Potom počkal ďalších sedem dní a vypustil holubicu, ale tá sa už nevrátila k nemu.
GEN.8.13	Šesťsto prvého roku Nóachovho života, prvého dňa prvého mesiaca vyschli vody na zemi. Vtedy Nóach odstránil z korábu pokrov, a hľa, povrch zeme už obschol.
GEN.8.14	Dvadsiateho siedmeho dňa druhého mesiaca bola zem úplne suchá.
GEN.8.15	Tu riekol Boh Nóachovi:
GEN.8.16	Vyjdi z korábu a s tebou tvoja žena, tvoji synovia i ženy tvojich synov.
GEN.8.17	Vyveď všetky živočíchy, ktoré sú z každého tvora s tebou, a to vtáctvo, dobytok i všetky plazy, čo sa plazia po zemi, nech sa hýbu na zemi, nech sa plodia a množia na zemi.
GEN.8.18	Nato vyšiel Nóach a s ním jeho synovia, jeho žena a ženy jeho synov.
GEN.8.19	Všetky živočíchy, plazy, vtáctvo a všetko, čo sa hýbalo na zemi, vyšlo z korábu po čeľadiach.
GEN.8.20	Vtedy Nóach postavil oltár Hospodinovi a vzal zo všetkých čistých zvierat, zo všetkých čistých vtákov a obetoval spaľované obete na oltári.
GEN.8.21	Keď Hospodin zacítil príjemnú vôňu, riekol si: Nebudem už pre človeka preklínať zem, lebo jeho zmýšľanie je zlé od mladosti, a nebudem už biť všetko živé, ako som to urobil.
GEN.8.22	Dokiaľ však zem trvať bude,
GEN.8.22	sejba ani žatva, chlad ani horúčosť,
GEN.8.22	leto ani zima, deň ani noc
GEN.8.22	nikdy neprestanú.
GEN.9.1	Vtedy Boh požehnal Nóacha i jeho synov a riekol im: Ploďte a množte sa a naplňte zem!
GEN.9.2	"Strach a hrôza z vás nech padne na všetky zvieratá zeme, na všetko nebeské vtáctvo, na všetko, čo sa plazí po zemi, na všetky morské ryby; sú vám dané do rúk."
GEN.9.3	"Nech vám slúži ako potrava všetko, čo sa hýbe, čo je živé; ako kedysi zelené byliny, teraz vám dávam všetko."
GEN.9.4	Len mäso s krvou, jeho dušou, nesmiete jesť.
GEN.9.5	"Ba aj za vašu krv, za váš život budem brať na zodpovednosť; budem brať na zodpovednosť za ňu každé zviera i človeka; človeka i jeho brata budem brať na zodpovednosť za život človeka.
GEN.9.5	"
GEN.9.6	Ak niekto prelieva ľudskú krv,
GEN.9.6	tomu nech človek preleje jeho krv,
GEN.9.6	lebo Boh učinil človeka na Boží obraz.
GEN.9.7	Vy však ploďte a množte sa, hýbte sa na zemi a množte sa na nej.
GEN.9.8	Potom Boh riekol Nóachovi a jeho synom, čo boli s ním:
GEN.9.9	Ajhľa, ja ustanovujem svoju zmluvu s vami a s vaším budúcim potomstvom
GEN.9.10	aj s každým živým tvorom, čo je pri vás, totiž s vtáctvom, dobytkom a všetkou poľnou zverou pri vás, od všetkého, čo vyšlo z korábu, až po všetky živočíchy zeme.
GEN.9.11	Ustanovujem s vami svoju zmluvu, že vody potopy už nevyničia všetko tvorstvo a nebude už potopy, aby zničila zem.
GEN.9.12	Boh ďalej riekol: Toto bude znamením zmluvy, ktorú pre všetky budúce pokolenia robím medzi sebou a medzi vami i medzi všetkými živými tvormi, čo sú pri vás:
GEN.9.13	"svoju dúhu kladiem na oblaky; bude znamením zmluvy medzi mnou a medzi zemou."
GEN.9.14	Keď nakopím oblaky nad zemou a ukáže sa dúha na oblakoch,
GEN.9.15	"rozpomeniem sa na svoju zmluvu medzi mnou a medzi vami i medzi všetkými živými tvormi zo všetkého tvorstva; a vody sa už nestanú potopou, aby zničili každé z tvorstva."
GEN.9.16	Keď bude dúha na oblakoch, pozriem sa na ňu, aby som sa rozpomenul na večnú zmluvu medzi Bohom a medzi každým živým tvorom zo všetkého tvorstva, ktoré je na zemi.
GEN.9.17	Vtedy riekol Boh Nóachovi: Toto je znamenie zmluvy, ktorú som ustanovil medzi sebou a medzi každým tvorom, čo je na zemi.
GEN.9.18	"Nóachovi synovia, ktorí vyšli z korábu, boli: Šém, Chám a Jáfet; Chám bol otcom Kanaánovým."
