GEN.1_1.1	I. 
GEN.1_1.25	VII. 
GEN.1_1.26	VIII. 
GEN.1_1.28	Ba ifahowoeʼõ ira Lowalangi, imane chõra: Miʼoʼono ba miʼojaʼõ ami, mifoʼõsi goeli danõ ba mibeʼe barõ mbawami, samatõrõ īʼa ba nasi ami, awõ wofo ba daloe mbanoea, awõ zaliw̃aliw̃a ba danõ fefoe, sanananana ba goeli danõ. 
GEN.1_1.29	Ba imane Lowalangi: Hiza, oebeʼe fõnami fefoe zinanõ sowoea ba goeli danõ heza, awõ geoe sowoea sohoenō, tanõmõ dania — daʼõ gõmi. 
GEN.1_1.30	Ba ba zaliw̃aliw̃a ba danõ andrõ fefoe ba ba wofo ba daloe mbanoea fefoe, mõi ba zanana ba danõ, sonoso ba boeloe ndroeʼoe hadia ia gõra. Ba itõrõ. 
GEN.1_1.31	. Ba bongi ba moloeo, ba loeo si õnõ.
GEN.2_1.1	I. 
GEN.2_1.2	Ba me loeo si fitoe iʼoʼozoei wombõinia andrõ Lowalangi, nifazõchinia andrõ; 
GEN.2_1.3	 me no molombase ia ba daʼõ, me no awai halõw̃õnia andrõ fefoe, niwõwõinia ba nifazõchinia.
GEN.2_1.4	II. 
GEN.2_1.5	ba lõ eoeʼeoe na ba mbenoea ba lõ sinanõ na ba mbolo mbenoea; lõʼõ na nifoteoe Jehowa Lowalangi tanõ, ba lõ niha na, sonowi menaʼõ. 
GEN.2_1.6	Ba saoe zi mõi mijaw̃a moroi ba danõ, inamoi goeli danõ maʼasagõrõ. 
GEN.2_1.7	Ba iwõwõi niha Jehowa Lowalangi, tanõ mbõrõta, nihalõ ba mbenoea ba iwoewoesi ba dõgi nichoenia hanoehanoe fangorifi ba tobali sonoso niha andrõ. 
GEN.2_1.8	III. Ba ifazõchi kaboe Jehowa Lowalangi, ba Gedena, tánõ ba gatoemboecha loeo, ba ifaʼaso ba daʼõ niha andrõ, nifazõchinia. 
GEN.2_1.9	Ba ifatoemboeʼõ moroi ba danõ ngawalõ geoe sowoea Lowalangi, eoe somasi ita famaigi ba sami boea, ba eoe fangorifi ba daloe kaboe ba eoe famotochi ba dõdõ si sõchi ba si lõ sõchi. 
GEN.2_1.10	Ba sara nidanõ si otarai Gedena, ba wamoʼidanõ kaboe andrõ; ba si fabali dania ia, tobali õfa rozi; si sara, ba Fizona dõi; 
GEN.2_1.11	daʼõ zamasoei tanõ Hewila andrõ maʼafefoe, ba nisõndra balaki. 
GEN.2_1.12	Ba balaki ba danõ andrõ, ba no si sõchi. Ba tesõndra gõi ba daʼõ mbaloeri ba feremata oena. 
GEN.2_1.13	Ba tõi nidanõ si sara, ba Gihona, samasoei tanõ Goesi daʼõ. 
GEN.2_1.14	Ba si sara zoei, ba Hideke dõi, jaʼia fõnafõna danõ Asiria; ba si sara, ba Oiferati. 
GEN.2_1.15	Ba ihalõ niha no mege Jehowa Lowalangi, ifaʼaso ba kaboe Edena andrõ, ba wangehao ba ba wanaro.
GEN.2_1.16	IV. 
GEN.2_1.18	V. 
GEN.2_1.19	Me noa saʼae ifazõchi Jehowa Lowalangi moroi ba danõ fefoe zaliw̃aliw̃a ba danõ, awõ wofo ba daloe mbanoea, ba iʼohe ba niha, enaʼõ ifaigi, hadia dõi ibeʼe, ba hadia siʼai nibeʼe niha tõi zonoso andrõ, daʼõ dõira dania. 
GEN.2_1.20	Ba ifotõi niha fefoe goerifõ niha, awõ wofo ba daloe mbanoea, awõ goetoe ndroeʼoe fefoe; ba ba niha, ba lõ faloecha nawõ, si fabõbõ chõnia. 
GEN.2_1.21	Ba ifafõrõ niha Jehowa Lowalangi, femõrõ sabõlõ, ba me no mõrõ ia, ba ihalõ zara dõla nosoenia ba ifoʼõsi nagole nahania. 
GEN.2_1.22	Ba ibaliʼõ ira alawe Jehowa Lowalangi dõla nosoe andrõ, nihalõnia ba niha, ba ifasao ba niha. 
GEN.2_1.23	Ba imane niha: Tõla fõfõ dõlagoe daʼõ ba nagole fõfõ nagolegoe; labeʼe tõinia ndra alawe, me no ba ndra matoea tehalõ ia. 
GEN.2_1.24	Andrõ iʼerogõ ndra amania inania niha, ba molemba ia ba ngambatõnia, ba tobali ha samboea boto ira. 
GEN.2_1.25	Ba si lõ noecha ira, daroea ira niha ngambatõnia, ba lõʼõ sa aila ira.
GEN.3_1.1	I. 
GEN.3_1.2	Ba imane ira alawe chõ goelõ: Tola sa maʼā mboea geoe ba kaboe, 
GEN.3_1.3	ba ba mboea geoe andrõ si so ba daloe kaboe, ba no iw̃aʼõ Lowalangi: Lõ tola miʼā ia, ba bõi mibabaja, fa bõi mate ami! 
GEN.3_1.4	Ba imane oelõ ba ndra alawe: Maʼifoe sa lõ mate ami; 
GEN.3_1.5	ba iʼila sibai sa Lowalangi: miʼā siʼaikõ ia, ba teboka hõrõmi, ba tobali si mane Lowalangi ami, saboto ba dõdõ si sõchi ba si lõ sõchi. 
GEN.3_1.6	Ba me iʼila saʼae ira alawe, wa sõchi niʼā mboea geoe andrõ, awõ wa si sõchi famaigi, awõ wa no omasiõ geoe daʼõ, ba wanõndra faʼatoeatoea chõnia, ba ihalõ mboea, iʼa, ba ibeʼe gõi õ ngambatõnia si so ba ngainia, ba iʼā gõi. 
GEN.3_1.7	Ba teboka hõrõra, daroea ira, ba oroma chõra, wa lõ baloebaloera; ba lafatagoe laelae, oeʼira.
GEN.3_1.8	II. 
GEN.3_1.9	Ba hoemede Jehowa Lowalangi ba niha, imane chõnia: Heza so ndraʼoegõ? 
GEN.3_1.10	Ba imane: Oerongo wehozihozi gaheoe ba kaboe, ba ataʼoedo, me lõ baloebaloegoe, ba oebiniʼõ ndraʼo. 
GEN.3_1.11	Ba imane: Ha niha zangoemaʼõ chõoe, wa lõ baloebaloemõ? Hadia, no oʼā mboea geoe andrõ niw̃aʼõgoe chõoe: Bõi ā daʼõ? 
GEN.3_1.12	Ba imane niha: Alawe andrõ, nibeʼeoe awõgoe, daʼõ zameʼe õgoe, mboea geoe andrõ, ba no oeʼā. 
GEN.3_1.13	Ba imane Jehowa Lowalangi ba ndra alawe: Hadia nilaoemõ andrõ? Imane ira alawe: Oelõ zamowõhõ jaʼo, fa oeʼā. 
GEN.3_1.14	Ba imane Jehowa Lowalangi chõ goelõ: Me no õlaoe daʼõ, ba niʼelifi ndraʼoegõ fõna goerifõ niha fefoe ba fõna goetoendroeʼoe fefoe; õʼananaʼõ taloe wofanõfanõ ba õʼā danõ, gõtõ waʼanaoe nosooe! 
GEN.3_1.16	Ba ba ndra alawe, ba imane: Erege sibai dõdõoe ba dabidabina oebeʼe, afõchõ dania wadono chõoe, ba õʼisõ [sa atṍ] ngambatõoe ba samatõrõ jaʼoegõ ia! 
GEN.3_1.17	Ba ba niha, ba imane: Me no õʼoʼõ niwaʼõ ngambatõoe ba me no õʼā mboea geoe andrõ, niw̃aʼõgoe chõoe wangoemaʼõ: Bõi ā ia, ba niʼelifi mbenoea, bõrõ ndraʼoegõ; jaʼerege dõdõoe wemanga gõoe chõnia, gõtõ waʼanaoe nosooe. 
GEN.3_1.18	Doi ba doeʼoe ziloea chõnia chõoe, ba si manga goelegoele ba nowi ndraʼoegõ. 
GEN.3_1.19	Abõbõi dania mbawaoe ba wemanga gõoe, irege mangawoeli ndraʼoegõ ba danõ tooe, ba nihalõ jaʼoegõ. 
GEN.3_1.20	Ba ibeʼe tõi ngambatõnia Chawa niha, me maʼoewoenia fefoe zaoeri dania. 
GEN.3_1.21	Ba ifobaroe niha Lowalangi baroe oeli goetoe ndroeʼoe, awõ ngambatõnia.
GEN.3_1.22	III. 
GEN.3_1.23	Ba iheta ba kaboe Edena niha Jehowa Lowalangi, enaʼõ mangahalõ ia ba danõ, ba nihalõ jaʼia. 
GEN.3_1.24	Ifõfanõ niha ba ifataro Keroebi fõna kaboe Edena, tánõ ba gatoemboecha loeo chõnia, Keroebi si so fõda si takile, nifaligoi, ba wanaro lala ba geoe fangorifi andrõ.
GEN.4_1.1	I. 
GEN.4_1.2	Ba ifoeli moʼono, Habeli dõi, achi Gaʼino. Ba sangoeri biribiri Habeli ba sangahalõ Gaʼino. 
GEN.4_1.3	Ba ara maʼifoe, ba ibeʼe zoemange Jehowa Kaʼino boea nowi chõnia. 
GEN.4_1.4	Ba ibeʼe gõi Habeli, ono goerifõnia si aʼa, tawõ ibeʼe. Ba omasi Jehowa Habeli ba soemange chõnia; 
GEN.4_1.5	ba Kaʼino ba soemange andrõ chõnia, ba lõ omasi ia. Ba mofõnoe sibai Gaʼino ba abao mbawania. 
GEN.4_1.6	Ba imane Jehowa chõ Gaʼino: Hana wa mofõnoe ndraʼoegõ, ba hana wa abao mbawaoe? 
GEN.4_1.8	II. 
GEN.4_1.9	Ba imane Jehowa chõ Gaʼino: Heza so nachioe Habeli? Ba imane: Lõ oeʼila; hadia, samaigimaigi achigoe andrõ ndraʼodo? 
GEN.4_1.10	Ba imane: Hadia nilaoemõ? Hiza, moeʼao chõgoe ndro nachioe andrõ moroi ba danõ tooe. 
GEN.4_1.11	Ba iadaʼe, ba niʼelifi ndraʼoegõ, nifofanõ ba danõ andrõ, si no mamokai bawania, ba wamadoe do nachioe andrõ, moroi ba dangaoe. 
GEN.4_1.12	Na monowi ndraʼoegõ ba danõ, ba lõʼõ saʼae ibeʼe chõoe mboeania; si lõ hinaoma ndraʼoegõ ba goeli danõ! 
GEN.4_1.13	Ba imane Kaʼino chõ Jehowa: Si tebai oetaha loealoea horõgoe andrõ. 
GEN.4_1.14	Õfofanõ ndraʼo maʼṍchõ, moroi ba danõ, ba saminiʼõ jaʼia fõnaoe ndraʼodo ba si lõ hinaoma ba goeli danõ, ba ha niha zi faloecha chõgoe, ba iboenoedo. 
GEN.4_1.15	Ba imane chõnia Jehowa: Hiza, mewitoe lalaoe mbalõ ba zamoenoe Kaʼino. Ba ifotandra Gaʼino Jehowa, fa bõi iboenoe si faloecha chõnia. 
GEN.4_1.16	Ba mofanõ Gaʼino, iʼerogõ Jehowa; ba danõ Nodi soso ia dania, tánõ ba gatoemboecha loeo, iʼotarai Gedena.
GEN.4_1.17	III. 
GEN.4_1.18	Ba ono Chanoki, ba Iradi. Ba ono Giradi ba Mehoejaʼeli, ba ono Mehoejaʼeli, ba Metoezaʼeli, ba ono Metoezaʼeli ba Lameki. 
GEN.4_1.19	Ba samodomboea dongania Lameki andrõ, Ada dõi zi samboea ba Sila dõi zi samboea. 
GEN.4_1.20	Ba moʼono Gada, Jabalo dõi nononia, toea zi so baosi, sangoeri hadia ia daʼõ. 
GEN.4_1.21	Ba achinia Joebalo, toea zolaoe biola ba sigoe. 
GEN.4_1.22	Ba moʼono gõi Zila, Toebakaʼino nononia, toea ziamboe daʼõ, ba talifoesõnia alawe, ba Naʼama. 
GEN.4_1.23	Ba imane Lameki chõ woʼomonia andrõ si daroea: Jaʼoegõ Ada ba jaʼoegõ Sila, mifondrongondrongo wehedegoe andre! Jaʼami foʼomo Lameki, jaʼaboto ba dõdõmi niw̃aʼõgoe! Oeboenoe niha, balõ zocho andre chõgoe ba ono niha balõ zelezitõ andre. 
GEN.4_1.24	Na fitoe winaeta wolaoe balõ Gaʼino, ba fitoe ngafoeloe a fitoe winaeta mbalõ Lameki andre.
GEN.4_1.25	IV. 
GEN.4_1.26	Ba moʼono gõi Zeti andrõ, ba ibeʼe tõi nononia Genosi. Ba me loeo daʼõ, ba labõrõtaigõ weʼangarõfi li dõi Jehowa.
GEN.5_1.1	I. 
GEN.5_1.2	ira matoea ba ira alawe wamazõchinia jaʼira, ba ifahowoeʼõ ira ba ibeʼe tõira niha, me loeo tefazõchi ira.
GEN.5_1.3	II. 
GEN.5_1.4	Ba me no toemboe chõnia Zeti andrõ, ba 800 fache tõ waʼanaoe noso Gadamo, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.5	Ba faʼanaoe noso Gadamo fefoe, faʼarania ba goeli danõ, ba 930 fache; ba mate ia. 
GEN.5_1.6	Ba no 105 fache Zeti, ba toemboe chõnia Genosi andrõ. 
GEN.5_1.7	Ba me no toemboe chõnia Genosi, ba 807 fache tõ Zeti, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.8	Ba faʼanaoe noso Zeti fefoe, ba 912 fache, ba mate ia. 
GEN.5_1.9	Ba 90 fache Genosi, ba toemboe chõnia Genana andrõ. 
GEN.5_1.10	Ba me no toemboe chõnia Genana andrõ, ba 815 fache tõ Genosi andrõ, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.11	Ba faʼanaoe noso Genosi fefoe, ba 905 fache, ba mate ia. 
GEN.5_1.12	Ba me no 70 fache Genana andrõ, ba toemboe chõnia Mahalaleli. 
GEN.5_1.13	Ba me no toemboe chõnia Mahalaleli, ba 840 fache tõ Genana ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.14	Ba faʼanaoe noso Genana fefoe, ba 910 fache, ba mate ia. 
GEN.5_1.15	Ba me no 65 fache Mahalaleli andrõ, ba toemboe chõnia Jaredi. 
GEN.5_1.16	Ba me no toemboe chõnia Jaredi andrõ, ba 830 fache tõ Mahalaleli, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.17	Ba faʼanaoe noso Mahalaleli fefoe, ba 895 fache, ba mate ia. 
GEN.5_1.18	Ba me no 162 fache Jaredi, ba toemboe chõnia Chenoki. 
GEN.5_1.19	Ba me no toemboe chõnia Chenoki andrõ, ba 800 fache tõ Jaredi, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.20	Ba faʼanaoe noso Jaredi fefoe, ba 962 fache, ba mate ia. 
GEN.5_1.21	Ba me no 65 fache Chenoki, ba toemboe chõnia Metoesala. 
GEN.5_1.22	Ba me no toemboe chõnia Metoesala andrõ, ba 300 fache tõ Chenoki, lõ aefaʼaefa chõnia Lowalangi ba dõrõw̃ania ba goeli danõ, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.23	Ba faʼanaoe noso Chenoki fefoe, ba 365 fache. 
GEN.5_1.25	Ba me no 187 fache Metoesala, ba toemboe chõnia Lameki. 
GEN.5_1.26	Ba me no toemboe chõnia Lameki andrõ, ba 782 fache tõ Metoesala, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.27	Ba faʼanaoe noso Metoesala fefoe, ba 969 fache, ba mate ia. 
GEN.5_1.28	Ba me no 182 fache Lameki andrõ, ba toemboe chõnia nono matoea. 
GEN.5_1.29	Ba ibeʼe tõinia Noachi imane: Daʼe dania zondrara tõdõda ba waʼerege dõdõda ba ba waʼakao dangada andre, ba danõ, niʼelifi Jehowa. 
GEN.5_1.30	Ba me no aefa toemboe chõnia Noachi andrõ, ba 595 fache tõ Lameki, ba toemboetoemboe chõnia ndraono, ono matoea ba ono alawe. 
GEN.5_1.31	Ba faʼanaoe noso Lameki fefoe, ba 777 fache, ba mate ia. 
GEN.5_1.32	Ba me no 500 fache Noachi, ba toemboe chõnia Zemi ba Chamo ba Jafeti.
GEN.6_1.1	I. 
GEN.6_1.2	ba laʼila ono matoea chõ Lowalangi, wa no si sõchi sibai nono alawe ba niha, ba lahalõ zomasi ira. 
GEN.6_1.3	Ba imane Jehowa: Lõ tola saʼae Ehehagoe zamatõrõ tõdõ niha, õsi niha ira, ba waʼeloengoera andrõ; famonosogoe jaʼira na, ba ja hatṍ 120 fache. 
GEN.6_1.4	Ba me loeo daʼõ ba so ba goeli danõ niha seboea sibai boto; ba me no oroedoe nono matoea chõ Lowalangi ba nono alawe ba niha, ba me moʼono ira chõra — ba daʼõ niha sabõlõ andrõ, seboea sibai toeria ba gõtõ fõna andrõ. 
GEN.6_1.5	Ba me iʼila Jehowa, wa no eboea sibai zi lõ sõchi ba niha ba goeli danõ, wa no si lõ sõchi manõ geraʼerara, awõ nichoi dõdõra, si lõ mamalõmalõ, 
GEN.6_1.6	ba mangesa dõdõ Jehowa, wa no ifazõchi niha ba goeli danõ, iboesi sibai tõdõnia. 
GEN.6_1.7	Ba imane Jehowa: Daʼoehori ba goeli danõ niha andrõ nifazõchigoe, he niha ba he oerifõra ba he koeõkoeõ andrõ ba he fofo ba daloe mbanoea; mangesa saʼae dõdõgoe, wa no oefazõchi ira. 
GEN.6_1.8	Ba Noachi andrõ, ba faloecha waʼebolo dõdõ Lowalangi.
GEN.6_1.9	II. 
GEN.6_1.10	Ba tõloe nono Noʼachi: Semi ba Chamo ba Jafeti. 
GEN.6_1.11	Ba no tekiko goeli danõ fõna Lowalangi, anõnõ danõ horõ. 
GEN.6_1.12	Ba iʼila Lowalangi, wa no tekiko sibai goeli danõ, noa sa tefoejoe lala nõsi goeli danõ fefoe.
GEN.6_1.13	III. 
GEN.6_1.14	Fazõchi chõoe nowo, naroeʼoe geoenia, ba õfobateʼe ba õgalõgalõni soeloemooe, tánõ bacha ba tánõ baero. 
GEN.6_1.15	Ba õmane wamazõchi jaʼia: 300 hela waʼanaoe nowo andrõ ba 50 hela waʼebolo ba 30 hela waʼalaw̃a. 
GEN.6_1.16	Ba õfosandrela nowo, jaw̃a, ba dete, sahela waʼalaw̃a õbeʼe. Ba bawandroehõ nowo, ba ba ngai õbeʼe; õfotõloe ngaʼõtõ ba oi bateʼe õbeʼe. 
GEN.6_1.17	Lõ ara tõ sa dania ba anõnõ danõ idanõ oebeʼe, ba wangohori fefoe nõsi goeli danõ, si so noso, barõ mbanoea, si jaw̃a; fefoe zi so ba goeli danõ ba si tekiko oebeʼe. 
GEN.6_1.18	Ba ba chõoe, ba fawoeʼoe li ndraʼo, ba si mõi ba nowo ndraʼoegõ jaʼoegõ ba onooe matoea andrõ ba foʼomooe ba oemõnõoe andrõ, awõoe. 
GEN.6_1.19	Ba ba zi so noso fefoe, ba nõsi goeli danõ maʼafefoe, ba doeadoea geoe, domboedomboea õʼohe jaw̃a ba nowo, ba wangorifi jaʼira, awõoe; sara zi matoea ba sara zi alawe. 
GEN.6_1.20	Fofo andrõ, ngawangawalõ, ba oerifõ niha ngawangawalõ ba sanananana ba goeli danõ fefoe, ngawangawalõ ba doeadoea mõi chõoe ba nowo jaw̃a, enaʼõ teʼorifi. 
GEN.6_1.21	Ba jaʼoegõ, ba faigi chõoe ngawalõ gõ fefoe, niʼagaʼaga, ba hõna chõoe, õoe dania ba õra. 
GEN.6_1.22	Ba iʼoʼõ sibai Noachi, dali niw̃aʼõ Lowalangi chõnia. 
GEN.7_1.1	I. 
GEN.7_1.2	Ba zaliw̃aliw̃a ba danõ, si lõ si lõ sõchi, ba fitoefitoe halõ, si matoea ba si alawenia; ba ba zi so si lõ sõchi ba doeadoea, si matoea ba si alawenia. 
GEN.7_1.3	Ba si manõ ba wofo ba daloe mbanoea, fitoefitoe, si matoea ba si alawenia, ba wangorifi tanõmõ ba goeli danõ maʼasagõrõ. 
GEN.7_1.4	Hatṍ fitoe bongi sa, ba moteoe ba goeli danõ oebeʼe, õfa woeloe ngaloeo ba õfa woeloe mbongi, ba oehori ba goeli danõ fefoe zi so andrõ, nifazõchigoe. 
GEN.7_1.5	Ba iʼoʼõ sibai Noachi niw̃aʼõ Jehowa chõnia. 
GEN.7_1.6	Ba no 600 fache Noachi, me anõnõ danõ idanõ. 
GEN.7_1.7	Ba mõi ba nowo Noachi, awõ nononia ba foʼomonia ba oemõnõnia, fõna waʼanõnõ danõ andrõ. 
GEN.7_1.8	Ba saliw̃aliw̃a ba danõ, si lõ hadia ia si lõ sõchi, ba si so si lõ sõchi ba fofo ba sanananana ba goeli danõ, 
GEN.7_1.9	ba faedo weʼamõi baowo chõ Noachi, sarasara zi matoea ba sarasara zi alawe, si mane niw̃aʼõ Lowalangi chõ Noachi.
GEN.7_1.10	II. 
GEN.7_1.11	Me 600 fache Noachi, me baw̃a si doea, ba zi mewelewitoe, daʼõ mbaw̃a, ba zangoemboengoemboe manõ nidanõ moroi ba namõ sabacha, ba teboka zandrela mbanoea si jaw̃a. 
GEN.7_1.12	Ba abõlõbõlõ sibai deoe ba goeli danõ, õfa woeloe ngaloeo ba õfa woeloe mbongi. 
GEN.7_1.13	Ba me loeo daʼõ mõi baowo Noachi ba Semi ba Chamo ba Jafeti, ono Noachi ba foʼomo Noachi ba oemõnõnia andrõ si datõloe, 
GEN.7_1.14	ba fao, jaʼira ba oetoe ndroeʼoe andrõ fefoe ba oerifõ niha fefoe, ngawangawalõ ba koeõkoeõ fefoe, sanananana ba danõ, ngawangawalõ, awõ ngawalõ wofo, fefoe zoʼafi. 
GEN.7_1.15	Daʼõ zi mõi chõ Noachi, baowo, doeadoea, fefoe nõsi goeli danõ, si so noso. 
GEN.7_1.16	Ba si mõi jaw̃a, ba sarasara zi matoea ba sarasara zi alawe, fefoe nõsi goeli danõ, si mane niw̃aʼõ Lowalangi chõnia. Ba ikoesi mbawandroehõ Jehowa, foerinia.
GEN.7_1.17	III. 
GEN.7_1.18	Ba itoegoe eboea sibai molõ, tedooedooe sibai ba goeli danõ, ba hoelõ zolojo nowo ba molõ andrõ. 
GEN.7_1.19	Itoegoe eboea sibai nidanõ ba goeli danõ, tobali anõnõ hili salaw̃a fefoe, ba goeli danõ. 
GEN.7_1.20	Felelima siʼoe inõnõi hili idanõ, tobaloe manõ. 
GEN.7_1.21	Ba tekiko nõsi goeli danõ fefoe, saliw̃aliw̃a ba goeli danõ, he fofo ba he oerifõ niha ba he oetoe ndroeʼoe, fefoe hadia ia zanananana ba goeli danõ, ba dozi niha. 
GEN.7_1.22	Fefoe zi so noso ba nichoe, si so ba danõ jaw̃a, ba mate. 
GEN.7_1.23	Si manõ wangohorinia fefoe zi so ba goeli danõ, he niha, ba he oerifõ niha ba koeõkoeõ ba fofo ba daloe mbanoea; tehori ba danõ, tobali hatṍ Noachi zi tosai, awõ hadia ia zi fao chõnia baowo. 
GEN.7_1.24	Ba lõ alõʼalõ nidanõ ba goeli danõ, 150 wongi.
GEN.8_1.1	I. 
GEN.8_1.2	Ba tedoehõ goemboe andrõ ba namõ, ba sandrela andrõ ba mbanoea si jaw̃a, ba tetaha deoe si oroi mbanoea si jaw̃a. 
GEN.8_1.3	Ba itoegoe alõ nidanõ ba goeli danõ, ogoʼõ, me no iroegi 150 wongi. 
GEN.8_1.4	Ba ba zi mewelewitoe ba mbaw̃a si fitoe, ba tosake nowo ba hili Gararata. 
GEN.8_1.5	Ba itoegoe alõʼalõ nidanõ, iroegi mbaw̃a si foeloe. Ba me tesaʼa ba mbaw̃a si foeloe, ba oroma zoezoe hili misa.
GEN.8_1.6	II. 
GEN.8_1.7	ba ifoloi gaga, ba manõrõnõrõ manõ daʼõ, irege ogoʼõ nidanõ ba goeli danõ. 
GEN.8_1.8	Aefa daʼõ, ba ifoloi marafadi, ba wamaigi, na no ogoʼõ nidanõ ba goeli danõ. 
GEN.8_1.9	Ba lõ isõndra doegela, solombase ia, marafadi andrõ, ba mangawoeli ia baowo chõ Noachi, me lõ saefa na waʼanõnõ goeli danõ maʼafefoe; ba iʼoroʼõ dangania Noachi, ifoeli ihalõ baowo chõnia marafadi andrõ. 
GEN.8_1.10	Ba fitoe bongi tõ ifoeli ibaseʼõ, ba ifoeli ifoloi marafadi, moroi ba nowo. 
GEN.8_1.11	Ba mangawoeli chõnia daʼõ me tánõ owi, ba hiza ba mbawania mbadõbadõ falo, sawena ifatõ. Ba aboto ba dõdõ Noachi, wa no ogoʼõ nidanõ ba goeli danõ. 
GEN.8_1.12	Ba ibaseʼõ zoei, fitoe bongi tõ, ba ifoeli ifoloi marafadi, ba lõ mangawoeli chõnia daʼõ.
GEN.8_1.13	III. 
GEN.8_1.14	Ba ba zi doea woeloe a fitoe ba mbaw̃a si doea, ba aloea otoefo goeli danõ. 
GEN.8_1.15	Ba hoemede Lowalangi chõ Noachi, imane: 
GEN.8_1.16	Hetaʼõ baowo, jaʼoegõ ba foʼomooe ba onooe ba oemõnõoe, awõoe. 
GEN.8_1.17	Ba fefoe zaliw̃aliw̃a ba danõ, si no fao chõoe, fefoe nõsi goeli danõ, he fofo ba he oerifõ niha ba he koeõkoeõ fefoe, sanananana ba danõ, ba fao chõoe weʼamõi tooe, enaʼõ maliw̃aliw̃a ba goeli danõ ba enaʼõ moʼonoʼono ba wangojaʼõ jaʼira ba goeli danõ. 
GEN.8_1.18	Ba mõi tooe Noachi ba ononia ba foʼomonia ba oemõnõnia. 
GEN.8_1.19	Fefoe zi õfa ahe, fefoe koeõkoeõ ba fefoe wofo, fefoe zaliw̃aliw̃a ba goeli danõ, ngawangawalõ, ba aheta baowo.
GEN.8_1.20	IV. 
