MAT.1.1	Ăṭṭarex n-
MAT.1.19	Yusəf-i n-anəmmutăr-net, ăhaləs n-ămaɣdal a ămoos, inhăy a-s tanfust-den-dăɣ ɣas, ăssosăm, wăr t-illa ere dăɣ-ija isălan ed wăr-irha ad-tăt-ikšəf. Təssəba n-a-wen-dăɣ a făl t-dd-ijjăš ənniyăt n-ad-hin-izjăr isălan-net dăɣ-ufăr. 
MAT.1.20	Izinəzjum dăɣ-a-wen-dăɣ a-s has-dd ănfalăl ănjălos n-Emăli dăɣ-tăharjit, innʼ-as: «Yusəf Ăgg-Dawəd, wăr tăksuḍăd adubən n-Măryăma făl-a-s ənniyăt wa la, Unfas Šăddijăn a-s əssəbab-net, 
MAT.1.21	ad-təkrəš alyaḍ, təjəd-as isəm Ɣisa făl-a-s ənta a madăn-iɣləs tamətte-net dăɣ-ibăkkaḍăn-net.» 
MAT.1.22	A-wa iket-net ija i-ad-itbət a-wa innă ănnăbi n-Măssinăɣ iyyăn a-s innă:
MAT.1.22	«Innă Emăli:
MAT.1.23	‹Săjdăt!
MAT.1.23	Ad-təkrəš tămawaḍt wărăt təzzey meddən ənniyăt,
MAT.1.23	təkrəš alyaḍ, iwăr-t isəm Imanuwil›.
MAT.1.23	Imanuwil, ălmăɣna-net: Măssinăɣ, izzăɣ-dd jere-năɣ.»
MAT.1.24	Inkăr-dd Yusəf dăɣ-eḍəs, ămešăl a-wa has-innă ănjălos n-Emăli, iẓẓəẓlăy-dd Măryăma, 
MAT.1.25	măšan wăr dăr-s oher isəftaɣ har təjrăw eɣăf-net, təkrăš alyaḍ, ăswăr-t isəm Ɣisa.
MAT.2.1	Ăzzăman wa d-ămoos Harudəs ămănokal n-teje ta n-Ălyăhudəyăt ad-iwa Ɣisa dăɣ-taɣrəmt ta n-Bătlehăm hăt teje-ten-dăɣ. Ăzzăman-en-dăɣ daɣ ad-dd-osăn imusănăn dd-falnen emăynăj, əkkan-dd Yărussălam, 
MAT.2.2	sastanăn ăddinăt d-ămănokal n-kăl-Ălyăhud wa s-iket iwa s-ənhăyăn atăr-net a-s dd-izjăr s-emăynăj; əllăɣen-asăn a-s ass ad-dd-jăn i-ad-t-əɣbədăn. 
MAT.2.3	Islʼ ămănokal Harudəs i-măjrăd-wen-dăɣ ɣas, iššəwwăš ənta d-kăl-Yărussălam iket-dăɣ-năsăn. 
MAT.2.4	Ăsdăw-dd ḍarăt-a-wen e d t-illăm ămănokal n-
MAT.2.5	Ǝnnăn-as: «Bătlehăm ta hăt teje ta n-Ălyăhudəyăt a dăɣ-mad-iwəy făl-a-s iktab ănnăbi iyyăn a-s, inna Măssinăɣ:
MAT.2.6	‹Ya Bătlehăm, kămm-i hăt teje ta n-Ălyăhudəyăt, tidət,
MAT.2.6	wăr təkned təmɣăre jer-tiɣărmaten ti n-kăl-Ălyăhud
MAT.2.6	măšan, kămm-i-dăɣ ənḍărrăt ad-dd-mad-izjăr ămănokal
MAT.2.6	wa madăn-izar i-tamətte-nin ta n-kăl-Iṣrayil,
MAT.2.6	isəssiɣəd-tăt.› »
MAT.2.7	Islă Harudəs i-a-wen ɣas, ikkăs-dd imusănăn-winnin s-takše, ad-tăn-ikann asəstan d-ăzzăman wa dăɣ-hasăn-dd-ănfalăl atăr wa s-ənnăn ənhayăn-t. 
MAT.2.8	Issəglʼ-en ḍarăt-a-wen, dăɣ-a-s hasăn-inna: «Ăkkăt Bătlehăm, təknəm asəstan d-alyaḍ, afăl t-təjrăwăm, əqqəlăt-ahi-dd, təjəm dăɣ-i isălan i-ad-t-ăkkăɣ, ărkăɣăɣ-as năkk-dăɣ.» 
MAT.2.9	Ǝslăn i-a-wa inna, əglăn. A ənḍărrăn, atăr-wənnin ənhăyăn s-emăynăj-da-dăɣ, ăzzar-asăn har tanămhăla n-ehăn wa iha alyaḍ. 
MAT.2.10	Ǝnhăyăn atăr-en, əknăn tedăwit. 
MAT.2.11	Ǝjjăšăn ehăn wa jənnəj-ənhăyăn atăr, ənhăyăn alyaḍ d-ma-s Măryăma, ărkăɣăn-as, ad-t-ɣabbădăn. Orăn ḍarăt-a-wen tisətwar-năsăn, əkkăsăn-as-dd tibəddar n-orăɣ d-matălxer d-telḍəḍt.
MAT.2.12	Ǝllan-t dihen-dăɣ a-s tăn-issəlmăd Măssinăɣ dăɣ-tăharjit s-udaɣnet i-ad-əqqəlăn Harudəs. Jăn tabarăt tiyyăt săl ta dd-jăn, əqqălăn ăkall-năsăn.
MAT.2.13	Ǝglăn imusănăn ənnin ɣas, ănfalăl-dd ănjălos n-Emăli i-Yusəf dăɣ-tăharjit, innʼ-as: «Yusəf, ənkăr, əḍkəl alyaḍ d-ma-s, jawăḍ s-ăkall wa n-Miṣra, təzzăɣăd dihen-dăɣ har ašăl wa d-hak mad-ănnăɣ tăddoobed ad-dd-təqqəlăd făl-a-s alyaḍ-i, itammăɣ-as Harudəs i-ad-t-ănɣ.» 
MAT.2.14	Inkăr, iḍkăl alyaḍ d-ma-s, ăhona s-Miṣra ehăḍ-wen-dăɣ, 
MAT.2.15	izzăɣ dihen har ăba Harudəs. Ijʼ-a-wen i-ad-itbət a-wa innă ănnăbi iyyăn a-s innă, innă Emăli:
MAT.2.15	«Ǝɣreɣ-dd Rure-ɣ i-ad-dd-izjăr Miṣra.»
MAT.2.16	Ilmăd Harudəs a-s əssəswădăn-t imusănăn ed wăr t-dd-olesăn uɣəl ɣas, ikăf s-aḍkăr. Omăr ălwăqq-wen-dăɣ s-ad-ămmătăn ilyaḍăn wi hănen Bătlehăm d-attayăn-net t-əllanen daw-əssin iwətyan ed tăqqăn-ten-dăɣ a togdăhăt d-ta s-has-ənnăn imusănăn, ănfalălăn-asăn-dd atăr dăɣ-s. 
MAT.2.17	Ămoos a-wen-dăɣ ijăn a ăssiitbătăn a-wa innă ănnăbi Yirmiya
MAT.2.18	«Ijʼ emăsli n-tisnant dăɣ-aɣrəm wa n-Rama,
MAT.2.18	ja tahăla d-tikălelen.
MAT.2.18	A-wa Răhila hallăt ilyaḍăn-net,
MAT.2.18	ăbă-dd a tăt-isəssisumăn,
MAT.2.18	ed ilyaḍăn-net, ămmun iket-dăɣ-năsăn.»
MAT.2.19	Ăba Harudəs ɣas, ănfalăl-dd ănjălos n-Emăli i-Yusəf dăɣ-tăharjit dăɣ-ăkall wa n-Miṣra, innʼ-as: 
MAT.2.20	«Ǝḍkəl alyaḍ d-ma-s ămăra, təqqəlăd ăkall wa n-Iṣrayil ed ăddinăt wi s-kăla tattarăn iji n-iman-net, ăba-tăn.» 
MAT.2.21	Inkăr Yusəf, iḍkăl alyaḍ d-ma-s, iqqăl ăkall wa n-Iṣrayil. 
MAT.2.22	Măšan, islă a-s Erkilyas ăgg Harudəs a ămnakălăn dăɣ-edăgg n-ti-s făll-teje ta n-Ălyăhudəyăt ɣas, igdăl-as əmməttəsu ad-tăt-ăkk i-ad-dăɣ-s izzăɣ. Ănfalăl-as-dd Măssinăɣ dăɣ-tăharjit, innʼ-as ad-ăkk teje ta n-Galila. 
MAT.2.23	Iwwăḍ-in teje-ten ɣas, izzăɣ dăɣ-taɣrəmt s-isəm-net Năṣirăt. Ija a-wen i-ad-itbət a-wa ənnăn ănnăbităn făll-
MAT.2.23	«Ad-t-iwăr isəm: U-Năṣirăt.»
MAT.3.1	Išilan-win-dăɣ d-izzăɣ Ɣisa taɣrəmt ta n-Năṣirăt, ad-issəntă Exya wa n-Enəsselmăɣ ămašal-net, ijanna i-ăddinăt dăɣ-tenere n-teje ta n-Ălyăhudəyăt: 
MAT.3.2	«Utabăt făl-a-s 
MAT.3.3	A-wen-dăɣ išlăn Exya, a dăɣ-ăssewăl ănnăbi Saya,
MAT.3.3	«Ad-t-iməl ăhaləs ăsiɣăren dăɣ-tenere,
MAT.3.3	ijanna i-ăddinăt:
MAT.3.3	‹Ăknăt tabarăt i-Emăli,
MAT.3.3	səssiɣədăt data-s ibaran-net.› »
MAT.3.4	A-s ităjj a-wen-dăɣ, ilsa Exya asălso iknan s-elăm n-amnəs warăn amẓadăn, ijbas s-taməntəka n-elăm, iddar s-tašwalt d-torawăt. 
MAT.3.5	Tisən-t-dd ăddinăt dd-falnen aɣrəm wa n-Yărussălam d-teje ta n-Ălyăhudəyăt iket-net d-idăggan iket-năsăn wi ohăẓnen ejănš wa n-Ɣurdəni, 
MAT.3.6	ad-tilɣun ibăkkaḍăn-năsăn dat-tamətte, isalmaɣ-tăn Exya dăɣ-ejănš wa n-Ɣurdəni.
MAT.3.7	Ijrăh-in Exya a-s tamətte ta t-dd-təkkăt, han-tăt ăddinăt ăjjootnen la taggayt ta n-
MAT.3.8	Sətbətăt tătubt-năwăn s-timašalen ăhuuskătnen, 
MAT.3.9	wăr tăsfăllăm făll-tənna n-a-s əzzurəyăt n-Ibrahim a tămoosăm ed afăl tăqqăl s-isălan n-əzzurəyăt ɣas, Măssinăɣ, ăddoobăt ad-isəmməskəl tihun-ti-dăɣ hannăyăm, ixlək-dd dăɣ-snăt əzzurəyăt i-Ibrahim. 
MAT.3.10	Ăjăt ənniyăt făl-a-s emm n-tutăla ăru d-insa făll-ikewăn n-ihəškan, e d t-illăm ahəšk wărăn itirəw aratăn iha ălfăyda, ad-hin-ăttănkăḍ, itwəjăr-in dăɣ-efew. 
MAT.3.11	Năkk, aman a dăɣ-kăwăn-salmaɣăɣ i-ad-umas a-wen ašămol n-tătubt-năwăn măšan, ilkam-ahi ăhaləs hi-ijan mijraw wa-dăɣ s-wăr-ănhăjjăɣ wăla-dăɣ d-ad-əḍəsăɣ issal n-tifădelen-net, ənta, 
MAT.3.12	iṭṭaf tesăyt-net ta s-mad-hin-izuzzăr allon-net, isədəw əttăɣam wa olăɣăn dăɣ-ejănd-net, irməs ahošăr wa wăr-ihʼ ălfăyda, ijăr-t-in dăɣ-efew ăhijăljălăn hărkuk.»
MAT.3.13	Dăɣ-a-wen-dăɣ a dd-ifăl Ɣisa teje ta n-Galila, ikkă-dd Exya i-ad-t-isəlmăɣ dăɣ-ejănš wa n-Ɣurdəni 
MAT.3.14	măšan, unjăy Exya s-a-wen, ănn-ak, innʼ-as: «Năkk a ămiɣatărăn s-ad-hi-səlmăɣăd dăɣ-aman, ɣas əndek e-d ilʼ əmmək n-a-s kăyy a hi-dd-itakkăn i-a-wen?» 
MAT.3.15	Innʼ-as Ɣisa: «Ămăra-dăɣ, əqbəl s-a-wen ed əmmək-wen-dăɣ a-s mad-nămašăl a-wa oɣădăn, irha Măssinăɣ.» Ijʼ-as Ɣisa măjrăd-wen-dăɣ ɣas, issəlmăɣ-t Exya. 
MAT.3.16	Ătwăsălmăɣ Ɣisa, diha-dăɣ dd-izjăr aman, ad-dd-ămerăn išənnawăn dăɣ-təssəba-net, inhăy Unfas Šăddijăn n-Măssinăɣ har fălla-s dd-ăzzubbăt dăɣ-ănnuɣ n-tedăbert măllăt. 
MAT.3.17	Dăɣ-tamăzăyyat-ten-dăɣ ad-dd-ijmăḍ emăsli išənnawăn, innăn:
MAT.3.17	«A-wa 
MAT.3.17	ənta a dăɣ-ăsriwăn iman-in.»
MAT.4.1	Oɣăd 
MAT.4.2	Ija dihen əkkoẓăt timərwen n-ehăḍ d-ašăl, ăẓum, wăr-ikša, wăr-iswa. Šămad tokay tăqqăn-ten-dăɣ, ad-ălluẓ. 
MAT.4.3	Ălwăqq-wen-dăɣ ad-t-ohăẓ Iblis-i n-ălmužărrib, innʼ-as:
MAT.4.3	«Šămad kăyy a-s 
MAT.4.4	Innʼ-as Ɣisa: «Iktab dăɣ-măjrăd n-Măssinăɣ a-s:
MAT.4.4	‹Tămudre n-ăgg-adəm, wăr təmdă făl tetăte ɣas,
MAT.4.4	iddăret daɣ s-e d t-illăm
MAT.4.4	măjrăd dd-izjarăn emm n-Măssinăɣ.› »
MAT.4.5	Iwwăy-t Iblis ḍarăt-a-wen s-aɣrəm wa šăddijăn n-Yărussălam, ijʼ-e făll-afălla n-
MAT.4.6	«Šămad kăyy a-s Rure-s n-Măssinăɣ, ăyy iman-năk s-ăkall ed iktab dăɣ-măjrăd n-Măssinăɣ a-s:
MAT.4.6	‹Ad-săr-k dd-amăr Măssinăɣ ănjălosăn-net
MAT.4.6	əkbəlăn-kăy dăɣ-ifassăn-năsăn
MAT.4.6	i-ad-wăr hak-rəssəl wăla-dăɣ tăhunt tiyyăt ɣas.› »
MAT.4.7	Innʼ-as Ɣisa: «Iktab daɣ dăɣ-măjrăd n-Măssinăɣ a-s:
MAT.4.7	‹Wăr-e tarəməd Emăli-năk, Măssinăɣ.› »
MAT.4.8	Iwwăy-t daɣ Iblis s-aḍaɣ iyyăn iknan aḍkul, issəknʼ-e əddəwəlăn n-ăddunya iket-net d-ălxurmăt-năsăn, innʼ-as ămăra:
MAT.4.9	«Hakkăɣ-kăy a-wa-dăɣ iket-net, afăl dat-i tărkăɣăd, tăɣbădăd-ahi.»
MAT.4.10	Innʼ-as Ɣisa: «Iblis, ajəj-ahi; iktab dăɣ-măjrăd n-Măssinăɣ a-s:
MAT.4.10	‹Ăɣbəd Emăli-năk Măssinăɣ,
MAT.4.10	ənta ɣas a fălla-k ilan ălxidmăt.› »
MAT.4.11	Oyyʼ-e Iblis ḍarăt-a-wen, osăn-t-dd ănjălosăn ăssaɣăt-wen-dăɣ, ăxdămăn-as.
MAT.4.12	Islă Ɣisa atărməs n-Exya wa n-Enəsselmăɣ ɣas, ikkă teje ta n-Galila. 
MAT.4.13	Izjăr taɣrəmt ta n-Năṣirăt, iglă izzăɣ ta n-Qăfărnaxum, a-wen taɣrəmt hat asălim n-ejănš wa n-Galila dăɣ-attayăn n-teje ta n-Ẓabilun d-ta n-Naftali; 
MAT.4.14	ămoos a-wen a ăssiitbătăn măjrăd wa ija ănnăbi Saya
MAT.4.15	«Ya kăl-Ẓabilun, ya kăl-Naftali!
MAT.4.15	Kăwăneḍ-i hănen asălim d-ejănš wa n-Galila,
MAT.4.15	Kăwăneḍ-i hin-əllanen i-ejănš wa n-Ɣurdəni, săjdăt!
MAT.4.15	Kăwăneḍ-i n-kăl-teje ta n-Galila əzzăɣăn inəẓẓulam,
MAT.4.16	Tamətte ta hăt tihay, ămlăwlăw-dd fălla-s ănnur măqqărăn,
MAT.4.16	ăddinăt daɣ wi s-kăla əzzăɣăn tihay ti hănen tamăttant,
MAT.4.16	ašăl-i, ăzzubbăt-dd fălla-săn ănnur.»
MAT.4.17	Ɣur-dihen-dăɣ ad-issənta Ɣisa ămašal-net, ixaṭṭăb, ijanna i-ăddinăt: «Utabăt făl-a-s 
MAT.4.18	Irjaš Ɣisa ašăl iyyăn dăɣ-asălim n-ejănš wa n-Galila a-s inhăy əssin ayətmatăn: Simyon wa s-itawănna Bəṭrus d-ăŋŋa-s Idris, təjjarăn tătart-năsăn dăɣ-aman ed iməhhuyya n-imănan a ămoosăn, 
MAT.4.19	innʼ-asăn: «Ǝlkəmăt-ahi, ad-kăwăn-ăjăɣ meddən săr-i dd-sadawnen ăddinăt i-ad-tăn-ăɣləsăɣ.» 
MAT.4.20	Oyyăn titarren-năsăn ălwăqq-wen-dăɣ, əlkămăn-as.
MAT.4.21	Illa-hin i-dihen, olăs daɣ Ɣisa ahănay n-əssin ayətmatăn iyyăḍ: Yaqub d-ăŋŋa-s Exya, han turăft n-aman əntăneḍ d-abba-năsăn Zăbdi, samăkrasăn titarren-năsăn; iɣrʼ-en-dd s-iman-net əntăneḍ-dăɣ. 
MAT.4.22	Oyyăn abba-năsăn hakd turăft n-aman dihen-dăɣ, əlkămăn-as ălwăqq-wen-dăɣ.
MAT.4.23	Ălliil Ɣisa teje ta n-Galila iket-net, isaɣra ăddinăt dăɣ-ihănan n-ăddin wi n-
MAT.4.24	Intăj isəm-net dăɣ-ăkall iket-net har ăwwăḍ Surya. Tamawayăn-dd săr-s imarhinăn d-inaɣyabăn d-iməlšan d-wi təjrăw tašăkărkărăt d-inəbdan, izizuy-tăn iket-dăɣ-năsăn. 
MAT.4.25	Dăɣ-asikəl-net, təlkam-as tamətte tăjjeet han ăddinăt dd-falnen teje ta n-Galila d-tidbi ti n-mărawăt; iyyăḍ, Yărussălam d-Ălyăhudəyăt d-illa-hin i-Ɣurdəni sihen ad-dd-falăn.
MAT.5.1	Inhăy Ɣisa əjut n-tamətte ta has-təlkămăt ɣas, iwwăn taḍaɣt tiyyăt, ăqqima, əkkăn-t-dd inəṭṭulab-net, ăqqimăn edes-has; 
MAT.5.2	iḍkăl măjrăd, ad-tăn-isaɣra, ijannʼ-asăn:
MAT.5.3	«Tənḍəḍ i-wi ăẓoẓnen iman-năsăn dat-Măssinăɣ
MAT.5.3	ed 
MAT.5.4	Tənḍəḍ i-wi ăsninnen dăɣ-iman-năsăn
MAT.5.4	ed ad-ismaḍăn ulhawăn-năsăn.
MAT.5.5	Tənḍəḍ i-wi ăẓednen ha taẓidert
MAT.5.5	ed ad-əkusən ăkall.
MAT.5.6	Tənḍəḍ i-wi inaqq laẓ d-fad n-asətbat n-iqqud
MAT.5.6	ed ad-ăyyăwănăn dăɣ-a-wa s-tammăɣăn.
MAT.5.7	Tənḍəḍ i-wi s-ha tăhanint ulhawăn-năsăn
MAT.5.7	ed ad-hasăn-aḍən Măssinăɣ tăhanint.
MAT.5.8	Tənḍəḍ i-wi s-šăddijăn ulhawăn-năsăn
MAT.5.8	ed ad-ənhəyăn Măssinăɣ.
MAT.5.9	Tənḍəḍ i-wi n-kăl-ălɣafyăt
MAT.5.9	ed ad-tăn-iwăr isəm: dăgg-Măssinăɣ.
MAT.5.10	Tənḍəḍ i-wi tamăḍraynen dăɣ-təssəba n-iqqud-năsăn
MAT.5.10	dăɣ-erhet n-Măssinăɣ
MAT.5.10	ed Təmmənəya n-Măssinăɣ, ti-năsăn.
MAT.5.11	Tənḍəḍ-awăn e-d kăwăn-gaggărăn ăddinăt,
MAT.5.11	tiɣəzzəbun-kăwăn,
MAT.5.11	jannen fălla-wăn s-bahu
MAT.5.11	e d t-illăm a lăbasăn dăɣ-ăddimmăt-in.
MAT.5.12	Dăwătăt, talwəm dăɣ-iman-năwăn ed ad-ijat
MAT.5.12	marušăt-năwăn dăɣ-ălžănnăt,
MAT.5.12	ălɣizabăt-wen-dăɣ kăwăn-săknen ăddinăt ašăl-i-dăɣ,
MAT.5.12	a əssəknăn i-ănnăbităn wi hawăn-dd-ăzzarnen.»
MAT.5.13	«Kăwăneḍ a-s tesəmt n-ăddunya măšan, tesəmt, afăl tăt-təjmăḍ temḍe-net, ma s-tăt-e-isəsməm ăwadəm? Ad-ăbas t-illa a tənfa ar ad-hin-tăḍf, əfkəlfəkəlăn-tăt ăddinăt.
MAT.5.14	Kăwăneḍ a-s ănnur n-ăddunya. Aɣrəm ya iwarăn afălla n-aḍaɣ wăr mad-iffăr; 
MAT.5.15	ăddinăt, wăr sărmisăn tefătelt təzzar, əjən-tăt daw-ăkoss, ănn-ak, ăsaḍəf ăsikakăn a făll-tăt-e-siləyăn i-ad-ăsimălăwlăw ănnur-net ehăn d-a-wa t-ihăn iket-net. 
MAT.5.16	A-wen-dăɣ a făl, imləwləwet ănnur-năwăn kăwăneḍ-dăɣ, s-əmmək-en-dăɣ, dat-ăddinăt i-ad-ənhəyăn imărkedăn-năwăn, səmɣărăn Abba-năwăn-i ihăn išənnawăn.»
MAT.5.17	Innʼ-asăn Ɣisa daɣ: «Wăr teɣalăt năkk, oseɣ-dd i-ad-hin-əkkəsăɣ a-wa innă alămăr wa n-ănnăbi Mosa d-a-wa ənnăn ănnăbităn wi iyyăḍnen, asətbat-net a-s dd-oseɣ wădden anăxas-net. 
MAT.5.18	Ăsidătteɣ-awăn a-s ad-iba išənnawăn d-ăkall, wăr-ăba wăla-dăɣ tahnəqqet wăla tătbăqqet tiyyăt ɣas dăɣ-alămăr n-Măssinăɣ a ikkăs wăr-itbet a-wa dăɣ-s ătwănnăn iket-net. 
MAT.5.19	A-wen-dăɣ a făl ere ănmăšrăyăn i-alămăr wa dăɣ-săn ojărăn təmməḍrit, meɣ ittăr ad-išənnəməšrəy ăwadəm iyyăn s-a-wen-dăɣ, ăwadəm-en, ənta a madăn-umas wa ojărăn iba n-təfărre dăɣ-
MAT.5.20	Ǝkkasăɣ-kăwăn dăɣ-taɣdărt n-a-s afăl wăr-ojer iqqud-năwăn wa 
MAT.5.21	«Wădden, təslam a-s imɣarăn-năwăn wi n-ibda, ătwănnʼ-asăn, inna Măssinăɣ: ‹Wăr jed iman ed ere ijăn iman dăɣ, iwăr-t uḍlem dat-Măssinăɣ›, 
MAT.5.22	măšan năkk, ənneɣ-awăn a-s: ere ijjăš aḍkăr făll-ăŋŋa-s dăɣ, iwar-t uḍlem, ere innăn i-ăŋŋa-s: ‹Amăros›, ăniihăjja s-ad-ămawăy s-ăššăreɣa wa măqqărăn s-itawănna Sinhidrin
MAT.5.23	Afăl təkked 
MAT.5.24	wăr ketăd, ăyyʼ-et dədi-dăɣ, əqqəl ăŋŋa-k har hak-ănš təzzar, təjəd takute-năk i-Măssinăɣ.
MAT.5.25	Kunta irwas-kăy ăwadəm, iškʼ-ak s-əlxəkum, ufʼ-ak ad-dăr-s tənməknăd šik iket-di d-hin-tiwəḍăm əlxəkum ed əlxəkum, afăl t-in-tăwwăḍăm, ad-kăy-ăj ere wa kăy-ăsiwărăn uḍlem dăɣ-ifassăn n-ăgg-ăššăreɣa, ăjʼ-ik ăgg-ăššăreɣa dăɣ-ifassăn n-ălgomi, ăjʼ-ik ălgomi dăɣ-takărmut. 
MAT.5.26	Ăsidătteɣ-ak a-s edăgg-en, afăl t-təjjăšăd, wăr t-dd-mad-təzjărăd a təkked wăr dd-təssəmdăd timẓal n-har tămma ta kăy-irwăs.»
MAT.5.27	«Wădden, təslam a-s ătiwănna: ‹Wăr jed əzzəna›, 
MAT.5.28	năkk ənneɣ-awăn a-s ere ijăn dăɣ-tamăḍt wăr-ădobăn akăyad n-derhan, isălan əmdăn, iznʼ-et dăɣ-ulh-net. 
MAT.5.29	Kăyy, kunta tiṭṭ-năk ta n-aɣil a kăy-isifun abăkkaḍ, kukkərət-tăt-dd, təjrəd-tăt-in fălla-k hărwa wăr tămešălăd abăkkaḍ-wen-dăɣ, ed ufʼ-ak, iji n-tiṭṭ təjjəšăd ălžănnăt, uhən tətwəjărăd-in dăɣ-temse təmda taɣəssa-năk. 
MAT.5.30	Kunta daɣ ăfuss-năk wa n-aɣil a kăy-isifun abăkkaḍ, ənkəḍ-t, təjrəd-t-in fălla-k hărwa wăr tămešălăd abăkkaḍ-wen-dăɣ, ed ufʼ-ak, iji n-ăfuss təjjəšăd ălžănnăt, uhən təjjăšăd temse təmda taɣəssa-năk.»
MAT.5.31	«Təssanăm a-s ătwănnă: ‹Ere irhăn azəmməzzi n-hănne-s, ăkfʼ-et-tăt tăkarḍe n-aməzzi təzzar› 
MAT.5.32	măšan, năkk, ənneɣ-awăn: ere ăzmăzzăyăn hănne-s s-wădden arămas a tăt-ija tikər-as, ijʼ-et temăznit; ere daɣ wa ădobănăn tamăḍt dd-tămmiizzăyăt, izna.»
MAT.5.33	Ḍarăt-a-wen-dăɣ, innʼ-asăn: «Təslam a-s ătiwănna i-imɣarăn-năwăn wi n-ibda: ‹Wăr mad-tărẓəd tafləst, a-wa hăḍăd s-Măssinăɣ s-ad-t-tăjəd, ăjʼ-e›, 
MAT.5.34	măšan, năkk, ənneɣ-awăn: wăr heḍăm făw. Wăr heḍăm s-išənnawăn ed əntăneḍ a-s tasăqqaymut n-təmmənukəla n-Măssinăɣ, 
MAT.5.35	wăla s-ăkall ed ənta a-s isəkkukal n-iḍarăn-net wăla s-Yărussălam ed ənta a-s aɣrəm wa n-Măssinăɣ-i n-ămănokal măqqărăn, 
MAT.5.36	wăla făll-eɣăf-năk ed wăr tăddobed ad-səmləlăd wăla ad-səkwəlăd wăla-dăɣ iyyăn ɣas dăɣ-amẓadăn-năk. 
MAT.5.37	E-d kăwăn-issəstăn ăwadəm d-hărăt, ănnăt-as: ‹Ǝyya› i-tidət, tənnəm: ‹Ăbo› i-bahu, a tăssewăḍăm făll-a-wen-dăɣ, Iblis a dd-ifal.»
MAT.5.38	Innʼ-asăn daɣ: «Təslam a-s ătiwănna: ‹Tiṭṭ a təẓẓalăt tiṭṭ, esen a itəẓẓalăn esen›, 
MAT.5.39	măšan, năkk, ənneɣ-awăn: əlɣənăt i-ere hawăn-irhan a lăbasăn; afăl hak-istăɣ ăwadəm făll-tăjomăst-năk ta n-aɣil, səgdəl-as daɣ ta iyyăḍăt. 
