MAT.1.1	Dawute naa, Abrahaame naa gidida Yesus Kirstoosa yeletetha zarkey hayssafe kaallizayssa;
MAT.2.14	Hessa gish Yoosefey dendidi aayiyo naazara ekkidi gidoththara duge Gibxe biitta bides. 
MAT.2.15	Herdoosi hayqqana gakkanaas heen de7ides. Hessanka “Ta naaza ta Gibxe biittafe xeeygadis” giidi Goday kase nabe duunan haasayidayssi polettides. 
MAT.2.16	Eranchati iza baleththidayssa erida wode Herdoosi keehi hanqettides. Eranchati izas kase yootida mala ba as kiittidi nam7u laythanne nam7u layth kumontayta Beetelemeninne Beetaleme yuushon diza guutha attuma nayta ubba wodhisides.
MAT.2.17+MAT.2.18	Hessan
MAT.2.17+MAT.2.18	“Yeehoynne gita waaso giirisay Eraaman siyettides;
MAT.2.17+MAT.2.18	Ira7eela ba naytas yeekkadus;
MAT.2.17+MAT.2.18	nayti wuri wurida gish
MAT.2.17+MAT.2.18	minnanas dandayonta ixadus”
MAT.2.17+MAT.2.18	geetettidi nabe Ermaasan yootettidays polettides. 
MAT.2.19	Herdoosi hayqqidappe guye Goda kiitanchay agumora Yoosefes Gibxe biittan beettidi, 
MAT.2.20	“Dendada guutha Naazanne iza aayiyo ekkada Isra7eele biitta simma; Naaza wodhana koyizayti hayqqida” gides. 
MAT.2.21	Yoosefey dendidi naaza aayiyra ekkidi Isra7eel biitta simmides.
MAT.2.22	Gido attin Arkalawosi ba aawa Herdoosa soon Yuhudan kawotidayssa siydinne he baanas babbides; Goday agumora izi he boonta mala yootida gish Galila awurajja bides. 
MAT.2.23	Naazirete geetettiza katamayo biidi heen duus oykkides. Hessanka kase nabetan “Naazirete as geetettana” geetettidi kasetidi sinthafes hasayettidayssi kumides. 
MAT.3.1+MAT.3.2	He wode xammaqiza Yohannisi asaas “Salo kawotethi matida gish inte nagarappe simmite” gi sabakishe Yuhuda bazzora yides. 
MAT.3.3	“Goda oge ooththite, wogga ogezakka lo7ethite gishe bazzo biittan waassiza qaala”
MAT.3.3	geetettidi kase nabe Isayaasan yootetidayssi Yohannisa gishassa. 
MAT.3.4	Yohannisi gaamella isikefe oosettida may7o may7ees. Ba xeessan dafo gixxees; izi miza qumay degera essanne boole. 
MAT.3.5	Yerusalameppe, kumeththa Yuhudappenne Yordanoose shaafa matan diza dere asay wuri Yohannisakko wodhdhidi, 
MAT.3.6	ba nagarakka izas paaxishe Yordaanoose Shaafan iza kushen xammaqettides.
MAT.3.7	Daro Farsaaweetinne Saduqaaweti izi xammaqizaso yishin beyidi Yohannisi “Inteno shooshato! Inte sinthara diza hanqofe attana mala intena ooni bessidee? 
MAT.3.8	Inte inte nagarappe simmidayssa bessiza ooso ooththite. 
MAT.3.9	‘Nu aaway Abrahaamey nuus dees’ gizayssan interka intena baleththofte; ta intes Xoossi hayta shuchchatappe Abrahaames naa ooththi denthanas dandayees gays. 
MAT.3.10	Hekko kaltay qanxanaas mithata garsan giigeti uttides; hessa gish lo7o ayfe ayfonta mithi wuri qanxettananne taman yeggettana. 
MAT.3.11	Tani maarotethas haaththan xammaqays; haray atto shin ta iza caamma tookkanas bessontadey taappe aadhdhiza minoy guyera yaana; izikka Xillo Ayananinne taman intena xammaqana. 
MAT.3.12	Kath suragiza pithay iza kushen dees; izikka ba kaththa baleza pitti geeshshana; ba gistezakka kaththa di7en qolana; happa gidikko to7onta taman xuugana” gides.
MAT.3.13	He wode Yesusi Yohannisan xammaqettanas Galilappe Yordanoose shaafa bides. 
MAT.3.14	Gido attin Yohannisi “Hayssi hanenna; tani nenan xammaqettana bessishin neni waanada taakko yay?” giidi izara marshettides.
MAT.3.15	Yesusikka “Aykkoy baawa, ero garkii? Hayssa ooththidi nuni xilloteth ubba polanas nuus bessees” gides. Yohansikka iza qofa ero gi ekides. 
MAT.3.16	Yesusi xammaqetidi haaththafe kezida mala heerakka saloy doyettin Xoossa Ayanay haraphe kafo misatidi iza bolla wodhdhishin beyides. 
MAT.3.17	Saloppekka “Tani izan ufayetiza Naazinne ta siiqiza ta Naazi hayssa” giza qaalay siyettides. 
MAT.4.1	Hessafe guye Xillo Ayanay Xala7en paacettana mala Yesusa duge bazzo biitta efides. 
MAT.4.2	Oyddu tammu gallassinne oyddu tammu qamma xoomidappe guye Yesusi gafides. 
MAT.4.3	Paacizayssi Yesusakko shiiqidi “Ne Xoossa Naa gidikko ane hayta shuchchata uketh gidana mala azaza” gides.
MAT.4.4	Yesusikka “ ‘Asi Xoossa duunappe keziza qaalanpe attin kaththan xalla deenna’ geetetti xaafettides” giidi izas zaarides. 
MAT.4.5	Qasseka Xala7ey Yesusa geeshsha katamayo efi Xoossa Keeththa quste bolla kessidi, 
MAT.4.6	“Ne Xoossa Naa gidikko ane hayssafe duge guppa; ayssi giikko
MAT.4.6	‘Ne tohoy shuchchan dhuphetonta mala kiitanchati
MAT.4.6	ba kushera nena oykki denthana mala ne gish
MAT.4.6	Xoossi ba kiitancha kiittana’ geetetti xaafettides” gides. 
MAT.4.7	Yesusikka “Geeshsha Maxaafan ‘Ne Goda Xoossa paacofa’ geetetti xaafettides” giidi zaarides. 
MAT.4.8	Qasseka Xala7ey Yesusa keehi dhoqa zuma bolla kessidi salo gupanthon diza kawoteththa bonchozara ubba ehi bessidi, 
MAT.4.9	“Ne kundada taas goynnikko hayssa ubba ta nees immana” gides.
MAT.4.10	Yesusi “Haysso Xala7e! Ta sinthafe haakka! ‘Neni ne Godas Xoossas goynna; izas xalala azazeta’ geetetti Geeshsha maxaafan xaafettides” gides. 
MAT.4.11	Hessafe Xala7ey iza aggidi bides; kiitanchatikka yiidi iza maaddida.
MAT.4.12	Yesusi, Yohannisi qashetidayssa siydi gede Galila simmides. 
MAT.4.13	Naazirete katama aggidi Zaabiloone Niftaaleme heeran abba matan diza Qifirnahoome kataman duus oykkides. 
MAT.4.14+MAT.4.15+MAT.4.16	“Hessan Zaabilooneninne Niftaaleme biittan,
MAT.4.14+MAT.4.15+MAT.4.16	Yordanooseppe he pinthan abba lanqera efiza oge matan diza
MAT.4.14+MAT.4.15+MAT.4.16	Ayzaabe gidida Galila dere asay,
MAT.4.14+MAT.4.15+MAT.4.16	dhuman diza derey wolqama poo7o beyides.
MAT.4.14+MAT.4.15+MAT.4.16	Hayqo kuwa giddon
MAT.4.14+MAT.4.15+MAT.4.16	diza deres poo7oy poo7ides”
MAT.4.14+MAT.4.15+MAT.4.16	geetettidi nabe Isayaasa duunan kasetidi hasayettidayssi polettides.
MAT.4.17	Yesusi he wodeppe ha simmin “Salo kawotethi matides, maarota gelite” giidi sabbako oykkides. 
MAT.4.18	Yesusi Galila Abba lanqera aadhdhishe nam7u ishanta; heytikka Phexroosa geetettiza Simoonanne iza isha Indiraasa beyides. Istika mole oykkizayta gidida gish mole oykkiza gite abban yeggishe deettes. 
MAT.4.19	Yesusi ista “Haa yiite! Tana kaallite! Ta intena as oykkiza as kessana” gides. 
MAT.4.20	Isti heerakka mole oykkiza giteza yeggi aggidi Yesusa kaallida.
MAT.4.21	Guuth sinthe bishe hara nam7u ishanta Zabidoosa naa nam7ata Yaqoobenne Yohannisa beyides; istika ba aawa Zabidoosara wogolo giddon mole gite lo7ethettes. Yesusikka ista xeygin; 
MAT.4.22	isti heerakka wogolozanne ba aawa aggidi kaallida.
MAT.4.23	Yesusi Ayhudata ista Woosa Keeththan tamarsishenne kawoteththa Mishiraachcho qaala sabbakishe qasse dere giddon ay hargeyka sakizayta pathishe kumeththa Galilan yuuyides. 
MAT.4.24	Hessa geedon lo7o nashoy kumeththa Sooriya biittan siyettides; dereyka dumma dumma sakon daro waayetizayta, daydanthi istan gelidayta, bollafe biittan yeggiza hargey dizaytanne silidayta izakko ehin ubbaakka pathides. 
MAT.4.25	Hessafe dendidayssan Galilappe, tammu katamatappe, Yerusalameppenne Yuhudappe, Yordanoose shaafa pinthafe yida daro asay iza kaallides. 
MAT.5.1	Daro derey shiiqidayssa beyidi Yesusi pude zuma bolla kezi uttides; iza kaallizaytikka izakko yida. 
MAT.5.2	Izikka ista hizgi tamarso oykkides;
MAT.5.3	“Ayanan bana kawushshizayti
MAT.5.3	anjettidayta;
MAT.5.3	ayssi giikko Salo Kawoteth istassa.
MAT.5.4	Qadhetizayti anjettidayta,
MAT.5.4	ayssi giikko isti minettana. 
MAT.5.5	Ashketi anjettidayta;
MAT.5.5	ayssi giikko isti biitta laattana. 
MAT.5.6	Xilloteth
MAT.5.6	gafetizaytinne
MAT.5.6	saamotizayti
MAT.5.6	anjettidayta;
MAT.5.6	ayssi giikko isti kallana. 
MAT.5.7	Asas lo7o ooththizayti
MAT.5.7	anjettidayta;
MAT.5.7	ayssi giikko istaska lo7oy oosettana.
MAT.5.8	Wozina xilloti anjettidayta;
MAT.5.8	ayssi giikko isti Xoossa beyana.
MAT.5.9	Saroteth ooththizayti
MAT.5.9	anjettidayta;
MAT.5.9	ayssi giikko isti Xoossa nayta geetetti xeeygettana.
MAT.5.10	Xillotetha gish goodettizayti
MAT.5.10	anjettidayta;
MAT.5.10	ayssi giikko salo kawotethi istassa. 
MAT.5.11	“Ta geedon asay intena cayikko, goodikkonne iita yo7o wordora inte bolla haasayikko inte anjettidayta. 
MAT.5.13	“Inte ha biitta asas maxine mala. Maxiney ba mal7otetha yeddiza gidikko gede kare yegettidi yedhetethafe attin, zaaridi demmanas dandayizee? 
MAT.5.14	Inte deres poo7o. Zuma bolla diza katamaya qotetanas danda7ukku. 
MAT.5.15	Asi xompe oythidi keeththan diza asaa kumeththas poo7ana mala dhoqason woththes attin geema soon woththi erenna. 
MAT.5.16	Hessathoka asay inte lo7o ooso beyidi salon diza inte Aawa bonchana mala inte poo7oy asa sinthan poo7o. 
MAT.5.17	“Tani Muse woganne nabeta qaala shaarana yida intes misatoppo; polanas yadis attin shaaranas yabeekke. 
MAT.5.18	Ta intes tumu gays; saloynne sa7ay aadhdhana gakkanaas Muse wogay wuri polettana attin wogappe issi pidaleykka woykko qeerinyakka shaaretukku. 
MAT.5.19	Hessa gish oonikka ha azazotappe guuxizaro gidikkoka ooththonta yeggi aadhdhikko, hankoytaka yedhi aadhdhana mala tamarsikko salo kawoteththan hessadey guuth geetetti xeeygettana; gido attin hayta azazota ooththi polishe hankoyta polana mala tamarsikko hessadey Salo Kawoteththan gita geetettana. 
MAT.5.20	Ta intes gays, inte xillotethi Farsaaweetappenne Muse woga tamarsizayta xillotethappe aadhdhonta aggikko Salo Kawoteth gelana dandayekketa.
MAT.5.21	“Kase asatas ‘Wodhoppa; wodhidade bolla pirdettana’ geetettidayssa inte siyideta. 
MAT.5.22	Ta qasse intes gizay ba isha bolla ogey baynda hanqettizade bolla pirdettana; oonikka ba isha ‘Nappay’ gizaddey duulata sinthan oyshettana. ‘Eeyay’ gizade Gaanname tama pirday naages. 
MAT.5.23	Hessa gish neni yarsho shiishshizason Xoossas yarshana gishin ne ishay ne bolla mishetidazi nees qoppetikko, 
MAT.5.24	ne yarshizayssa heen yarshoson aggagada koyro baada ne ishara giiga; hessafe guye simmada ne yarshoza Xoossas shiishsha.
MAT.5.25	“Nena mootida ne morkey ne bolla pirdisonta mala, pirdiza daannay qachizayssas nena aaththi immonta mala, qasho keeththan ne wodhdhonta mala buro oge bolla dashe ne morkera elela giigaycha. 
MAT.5.26	Ta nees tumu gays; izi pirdisi wursida gidikko wursetha santiyo qanxana gakkanaas qashoppe birshetaka.
MAT.5.27	“ ‘Laymatoppa’ gizayssa inte siyideta. 
MAT.5.28	Tani gidikko intena hizgays; macasa amo ayfera xeellidadey wuri ba woznan izira laymatides. 
MAT.5.29	Nagara ooththanas ne ushacha ayfey nees gaaso gidikko neeppe kessa wora yegga; ne asatethay kumeth gede Gaanname taman yegetanappe ne asatethafe issina paccikko lo7o. 
MAT.5.30	Ne ushachcha kushey nagara oosos gaaso gidikko neeppe qanxa digga; ne asatethay kumeth Gaannamen yegetanayssafe ne asatethafe issi billitey nees pacce gidikko lo7o.
MAT.5.31	“ ‘Macho anji yeddizadey pirma waraqata izis immana bessees’ geetettides. 
MAT.5.32	Tani qasse intena hizgays, hara asara laymatishin beyonta dishe ba macho anjizadey wuri iza laymatana mala ooththes. Hessathoka anjettidaro ekizadeyka laymatida mala qoodetes. 
MAT.5.33	“Kase asatas ‘Wordo caaqofa; Xoossa sinthan ne caaqidayssa naaga’ geetettidayssa inte siyideta. 
MAT.5.34	Ta qas intena aykkokka caaqofte gays; saloy Xoossas uttiza alga gidida gish salon caaqofte. 
MAT.5.35	Biittay Xoossa tohoy yedhizaso gidida gish biittanka caaqofte. Wogga kawo katama gidida gish Yerusalamenka caaqofte. 
MAT.5.36	Inte hu7enka caaqofte; inte hu7e binanappe issineyokka booth woykko kareth histanas dandayekketa. 
MAT.5.37	Hessa gish inte inte giddon haasayettishin inte haasayay “Ee” gaanaz gidikko “Ee” giite “Akay” gaanaz gidikko “Akay” giite; hessafe kare gididay wuri iita asappe yizaza.
MAT.5.38	“ ‘Ayfe gishas ayfe achcha gishas achcha’ geetettidayssa inte siyideta. 
MAT.5.39	Ta qasse intes gizay iita ooththidadera eqetoppite; gido attin nees ushachcha shagala baqqizades hankoyssakka yuusha bessa. 
MAT.5.40	Issi asi ne giddora may7idayssa neeppe ekkanas nena mootikko bollara may7idayssakka gujada izas imma. 
MAT.5.41	Issi asi nena issi saate oge ne baana mala wolqathikko issife nam7u dakko gidana oge izara ba. 
MAT.5.42	Nena woossizades imma; neeppe tal7e ekkanas koyizades zokko zaaroppa.
MAT.5.43	“ ‘Ne lagge siiqa; ne morke ixxa’ geetettidayssa siyideta. 
MAT.5.44	Ta qas intena inte morketa dosite; intena goodizaytas woossite gays. 
MAT.5.45	Inte hessatho ooththikko inte salo Aawas nayta gidana. Izi awa arshe iitatassinne lo7otas issi bolla gaththi imees. Irakka xillotassinne nagaranchatas issi bolla bukises. 
MAT.5.46	Intena dosizayta xalala inte dosikko intes aaza go7ay dizee? Qaraxa qanxisizyti hessatho ooththetennee? 
MAT.5.47	Inte ishata xalla inte sarotikko hankoytappe aazan lo7etii? Ammanontaytikka hessatho ooththetes. 
MAT.5.48	Hessa gish inte salo Aaway wosoy bayndayta gidida mala inteka wosoy bayndade gidite. 
MAT.6.1	“Asi intena beyana mala asa sinthan lo7o ooththonta mala naagettite; hessatho ooththikko inte salo Aawappe go7a demmeketa. 
MAT.6.2	Inte manqotas maado immiza wode asi tana beyo giidi asa sinthan bonchetanas ogeninne Ayhuda Woosa Keeththan xurumba punisiza qoodheppe qommon hanizaytatho ooththofte. Ta intes tumu gays; isti ba waaga ubba haan ekkichida. 
MAT.6.3	Inte manqotas immishin ushachcha kushey ooththiza hadirisa kushey eroppo. 
MAT.6.4	Inte imoy geeman gido; qotan oosettidayssa beyiza inte Aawayka inte waaga intes immana.
MAT.6.5	“Inte woossishe qoodheppe qommon hanizayta mala hanoppite; isti asi beyana mala Ayhuda woosa keeththataninne oyddu oge bolla eqqidi woossanas dossettes. Ta intes tumu gays; isti kumeththa waaga ekichida. 
MAT.6.6	Ne woossana geliza ne kifile gela; karekka ne bolla gordada geeman diza ne Aawakko woossa. Geeman oosettidayssa beyiza ne Aaway ne ooso mala nees immana.
MAT.6.7	“Ammanonta asay issi qaala zaari zaari woossikko istas siyetiza misatin isti zaari zaari gizayssatho inteka woossishe issi qaala zaari zaari gooppite. 
MAT.6.8	Gido attin inte Aaway inte woossanappe kasetidi intes aazi koshshizakkone eriza gish inte ista misatoppite. 
MAT.6.9	Inte woossishe
MAT.6.9	‘Salon diza nu Aawawu!
MAT.6.9	Ne sunthi anjeto.
MAT.6.10	Ne kawotethi haayo;
MAT.6.10	ne sheney salon gidida mala
MAT.6.10	sa7anka hano.
MAT.6.11	Hachchis gidiza kath
MAT.6.11	nuus hachchi imma.
MAT.6.12	Nu nuna qohidaytas
MAT.6.12	atto giza mala
MAT.6.12	nekka nu qoho nuus atto ga.
MAT.6.13	Iitappe nuna ashsha attin nuna
MAT.6.13	paacen gelthofa;
MAT.6.13	bonchoy
MAT.6.13	merpe merna gakkanaas neyssa. Amiin’ gi woossite.
MAT.6.14	“Inte intena qohidaytas atto giikko inte salo Aaway intes atto gaana. 
MAT.6.15	Qasse inte asa nagara atto gonta ixikko inte Aawayka inte nagara atto geenna.
MAT.6.16	“Inte xooma xoomishe qoodheppe qommora xoomizaytatho shullofte. Isti ba xoomizayssa asi erana mala ba ayfeso iissetes. Ta tumu gays; hessatho ooththizayti ba waaga kumeth ekkichida. 
MAT.6.17	Neni xooma xoomashe ne ayfeso meeceta, ne hu7e tiyetta. 
MAT.6.18	Hessatho ne xoomikko geeman diza ne Aaway xalala erizazinne asi oonikka eronta qotan gidana. Qotan oosettidayssa beyiza ne Aawayka ne waaga nees immana.
MAT.6.19	“Bilay mizason buuqidinne shiydi mooretizason kaysoy bookkidi kaysanas dandayizason, ha biitta bolla intes miishe shiishofte. 
MAT.6.20	Gido attin bilay maanas, buuqidi woykko shiydi mooretontason, kaysoy bookki ekkana dandayontason heen salon intes miishi shiishshite. 
MAT.6.21	Ne miishay dizason ne woznay heen dees.
MAT.6.22	“Ayfey asatethas poo7o; hessa gish ne ayfey paxa gidikko, ne kumeththa asatethayka poo7o gidana. 
MAT.6.23	Ne ayfey hargancha gidikko, ne kumeththa asatethayka dhuma xalla gidana. Histikko nenan diza poo7oy dhuma gidikko, qasse dhumay waanida gird gida dhuma gidandee?
MAT.6.24	“Issi asi nam7u godas ooththana dandayenna. Issa ixidi nam7anthoza dosana; woykko issa bonchidi nam7antha leqqana; Xoossassinne miishas nam7atas gaththi ooththanas dandayettenna.
MAT.6.25	“Hessa gish ta intena inte duussa gish ay miinoo? Ay uyinoo? Ay may7inoo? giidi hirgofte gays. Shempoy qumappe, ashoy may7oppe aadhdhenee? 
MAT.6.26	Ane salo kafota xeellite! Zerettenna, maxettenna, di7en qoletenna shin inte salo Aaway ista mizees. Inte istafe keehi aadhdheketii? 
MAT.6.27	Ane intefe daro waayettidi baas imettida laytha bolla hara issi gallas gujana dandayiza asi dizee? 
MAT.6.28	“Qasse may7o gish aazas hirgetii? Ane coo denban diza ciishshata xeellite; daaburetenna woykko suqetenna. 
MAT.6.29	Hessa gish ta intena gizay haray atto shin kawo Solomoonikka ba bonchora ha ciishshatappe issiney mala lo7o may7ibenna. 
MAT.6.30	Inteno pace ammanoy dizayto! Hachchi asa ayfen beettidi wonto taman wodhdhana maata hayssatho mayziza Xoossi intena hessafe lo7ethi aaththi mayzanas dandayenee? 
MAT.6.31	Hessa gish nu ay maanee? Ay uyanee? Ay may7anee? giidi hirgofte. 
MAT.6.32	Hanko ammanonta asay hayssa demmanas daro qoppees. Hayssi wuri intes koshshizayssa inte salo Aaway erees. 
MAT.6.33	Harappe sinthatidi Xoossa Kawoteththa xilloteth koyite; hayti wuri intes gujettana. 
MAT.6.34	Hessa gish wontos keehi qoppofte; wonto metoy wontos aqo; issi issi gallassay baassi gidiza metora dees.
MAT.7.1	“Inte bolla pirdetonta mala hara asa bolla pirdofte. 
MAT.7.2	Inte pirdida mala inte bollakka pirdettana. Inte makkida miishara intes makettana. 
MAT.7.3	Ne ayfen diza gita mitha beyonta dashe ne isha ayfen diza qeeri buura aazas xeellay? 
MAT.7.4	Ne ayfen gita mithi dishin ne isha ‘Ane ta ne ayfeppe qeeri buurayo kessays’ gaanas waana dandayay? 
MAT.7.5	Neno qoodheppe qommon hanizaysso kasetada ne ayfen diza gita mitha kessaycha. Hessafe kaallada ne isha ayfen diza buura kessanas lo7etha xeellandasa. 
MAT.7.6	Ba tohon yedhonta malanne simmidi intena saxi daakerethonta mala anjettidayssa kanata sinthan yeggofte; qasse inte worqakka guddunthata sinthan yeggofte.
MAT.7.7	“Woossite intes imettana; koyite inte demmana; kare qoxite intes doyettana. 
MAT.7.8	Woossida ubbas imettana; koyiza asi demmana; qoxizades karey doyettana. 
MAT.7.9	Inte giddofe issades nay uketh woossikko shuch immiza aaway dandee? 
MAT.7.10	Woykko mole woossikko shoosh immizadey dandee? 
MAT.7.11	Histin inte iitata gidi uttidi inte naytas lo7o miish imo erizayta gidikko inte salo Aaway iza woossizaytas waanidi aadhdhiza lo7o miish imenee? 
MAT.7.12	Hessa gish hara asi intes ooththana mala inte koyizayssa, inteka haratas ooththite. Muse wogaynne nabeti hayssan kuuyettes. 
MAT.7.13	“Xuuntha pengera gelite; dhayoso efiza ogey gita; pengeykka aaho; daro asay he pengezara gelees. 
MAT.7.14	De7os gaththiza ogey gidikko xuuntha; pengeykka xuuntha; gelanaytikka guuthata xalala.
MAT.7.15	“Istas giddo baggay Kana suyte mala gidi uttidinne dorsa ite may7idi inte giddo gelidi giddora ooththiza wordo nabetappe naagettite. 
MAT.7.16	Inte ista, ista ooson erandeta. Aguntha worappe woyney, kindicho agunthafe balase ayfey maxetizee? 
MAT.7.17	Hessathoka lo7o mithi wuri lo7o ayfees; iita mithika iita ayfe ayfees. 
MAT.7.18	Lo7o mithi iita ayfe ayfanas dandayontayssa mala iita mithi lo7o ayfe ayfanas dandayenna. 
MAT.7.19	Lo7o ayfe ayfonta mithi wurikka qanxetananne taman yegettana. 
MAT.7.20	Hessa gish inte ista isti ayfiza ayfen shaakki erana. 
MAT.7.21	“Salon diza ta Aawa shene polonta dishe tana ‘Godo! Godo!’ gizay wuri Salo Kawoteth gelenna. 
MAT.7.22	He gallas daroti ‘Godo! Godo! Nuni ne sunthan tinbite yootibekonii? Ne sunthan daydanthi kessibekonii? Ne sunthan daro malata ooththibekonii?’ gaana. 
MAT.7.23	He wode ta istas ‘Ta intena mulekka erikke! Inte iitati taappe haakkite’ gaada qoncera ta istas yootana.
MAT.7.24	“Histikko hayssa ta qaala siydi ooson peyshizadey ba keeththe zaalla bolla keexizade misatees. 
MAT.7.25	Deexo iray bukkin; haroyka harottides; carkoyka carkides; keeththaka sugides shin zaalla bolla keexettida gish kundibenna.
MAT.7.26	“Hayssa ta qaala siydi ooththontadey gidikko ba keeththe ace bolla keexida eeya asa mala. 
MAT.7.27	Deexo iray bukkin haroyka harottides; carkoyka carkides; he keeththaka sugides; keeththayka iita kundeth kundides” gides. 
MAT.7.28	Yesusi tamarsi wursin asay iza timirtezan malalettides. 
MAT.7.29	Gaasoyka Muse woga tamarsizayta mala gidonta izi godateththi diza asa mala tamarsides.
MAT.8.1	Yesusi zuma bollafe wodhdhin daro derey iza kaallides. 
