GEN.1.1	Bunso zaa piiligu, Naawunni n daa n maalini saazu ni tiŋŋa. 
GEN.3.12	Daba maa yeli u, “Poga la e n naa ti ma la n ti ma tii maa walli ma di.”
GEN.3.13	Duuma Naawunni boosi poga maa, “Bo n na e niŋi lala?”
GEN.3.13	Poga maa yeli u, “Waafu la n yomsi ma, ma di u.”
GEN.3.14	Niŋi n na, Duuma Naawunni yeli waafu maa “A kpali bunso e n niŋi a zu, a yi buŋkobiri zaa puwa, e ko ni nye n ŋa naŋgbansiibu, za zinaa wara e ni naa e puu vuura tiŋŋa, ka e dira tanni, a yi e nyevuri niŋi. 
GEN.3.15	M ni ti dintiri o ba e ni poga maa sunsuuniŋi, ka e biisi ni o biisi gba ni niŋi dindima. O bii ni zaasi e zu, ka e mi dumi o nosiŋkpaari.”
GEN.3.16	Niŋi n na, Naawunni yeli poga maa, “M ni ti e mari sufusaaŋu, ka nye beerim, dindaso e n ya n dogi. Ŋama nyaaŋa, e sira yela ni ba e sufu niŋi ga, ka o mini n ni niŋi e zudaana.”
GEN.3.17	Niŋi n na, o yeli daba maa gba, “A kpali e ni wumi n ti e poga, ka di tiwaliso ni yeli ya da di la zu, m si tiŋgbaŋaa noori, ka pa e tumi n beligi ga, ka nye bindirigu, a yi e beebu puwa. 
GEN.3.18	Tiŋgbaŋŋu maa ni buli matimari ni goosi, ka ya dira moo niŋi tiisi wala. 
GEN.3.19	E ni tumi ga, a nyee zibiiŋu, e bindirigu zu, a yi tiŋgbaŋŋu maa niŋi, ka e lee n pori n kpe tanni maa niŋi. Tanni ba naa n me i, e ni lee n pori n loobi tanni.”
GEN.3.20	Adam digili o poga maa yuuri Hawa, o gbinni n niŋi nisaaladima zaa ma. 
GEN.3.21	Ka Duuma Naawunni naa buŋkobiri gbana maali bimpinna pili Adam ni o poga.
GEN.3.22	Niŋi n na, Duuma Naawunni yeli, “Pimparaŋa nisaala pa loobini maa tirima, a baŋŋi yasuma ni yabeeri. A bi daga ti n cheli o ba kpe, ka tee n nye soori n lee n di tiso n tira nyevuri la walli, ka ki lee n kpi, ka ba niŋi n wara.” 
GEN.3.23	A zu, Duuma Naawunni nyisi u yi pu maa n ba Idin paaligu la, o wa ti koora tiŋgbanso o n ŋma n me u la niŋi. 
GEN.3.24	O n nyisi u yi pu maa niŋi la, o ti malaakasi ni tokobiso n leegira bugum poli n jinna, pu maa wuluŋpusigu, a kogira nisaaniŋi, nira zaa o da nye soori ta nyevuri tii maa ziya.
GEN.4.1	Adam ni o poga lagimi, o mari puwa, a dogi daba. Niŋi n na Hawa yeli, “Naawunni n suŋŋi ma, ma dogi daba, ka digili o yuuri Keen.” 
GEN.4.2	A nyaaŋa, Hawa lee n dogi daba, Ebel. Ebel daa niŋini buŋkobguuna, ka Keen mi niŋi kokpaara.
GEN.4.3	A n daa n ti paa jemani yinni, Keen mari o pu bindira, a ti puusi Naawunni. 
GEN.4.4	Ka Ebel mi ku o pee bipiiligu, ka naa o zimaŋa ziya puusi Naawunni, a peri Naawunni ga, o deeg o puusigu. 
GEN.4.5	Ama, Keen ni o puusigu daa n bi peri Naawunni, suuri gbaa Keen. 
GEN.4.6	Duuma boosi Keen, “Bo zu n na e je suuri, a dugu nufu? 
GEN.4.7	Ka e di niŋi bunso n daga, m di ki deeg e puusigu? Ama, e n bi niŋi nene la zu, yabeeri kpabirini o nyaŋŋi i, ama, a daga e nyaŋŋi u.”
GEN.4.8	Dindaso, Keen yeli o sunzo Ebel, “Cheli ti gaa laŋgaraa.” Ba n we nisaaniŋi, Keen ŋme u ku.
GEN.4.9	Niŋi n na, Duuma boosi Keen, “E sunzo ba ya?”
GEN.4.9	Keen yeli, “M bi baŋŋi. Mani n nyaasira u?”
GEN.4.10	Duuma boosi u, “Bo tumtumbee n na e tumi a? E sunzo zeem do tiŋŋa chaari n tira ma, a maa, m darigi e tubiri. 
GEN.4.11	A zu, naŋgbansiibu niŋini e toori, e ki lee n tee n ko o niŋi, e sunzo zeem la zu. 
GEN.4.12	Ka e buri bunso zaa, a ki niŋi. E ki mari yiri, ka gaa n chaŋina.”
GEN.4.13	Keen yeli Duuma, “M tubidarigirisimaa ba toom ga ti ma. 
GEN.4.14	Zinni, e kari ma ni yi e saani, a ni tiŋgbaŋaa niŋi. M ki mari yiri, ka gaa n chaŋina. Ka nivu zaa paa ma, o n ku ma.”
GEN.4.15	Duuma yeli u, “Akai, ka nira zaa ku i, ni ku o niriba bayapoin yo samini.” Lala zu, Naawunni duligi Keen, a kpaasi niriba tuba, a maa ba da ku u. 
GEN.4.16	A zu, Keen yi Naawunni saani, a we paaliguso ba n boona Nodi, o gbinni n niŋi, gaa n chaŋina, a yi Idin wuluŋpusigu.
GEN.4.17	Niŋi n na, Keen naa poga, a dogi biya, ka digili o yuuri Inoki. Ka me tiŋtintaa, ka naa bii maa yuuri digili tiŋŋa maa.
GEN.4.25	A jemani maa, Adam ni o poga lee n dogi daba. Poga maa yeli, “Naawunni lee n ti ma ni biduwa, o za Ebel noba niŋi, so Keen n daa n ku la.” O digili o yuuri Sefi. 
GEN.4.26	Niŋi n na, Sefi gba naa poga, a dogi daba, ka digili o yuuri Inosi.
GEN.4.26	A jemani maa n na niriba piili n naa Duuma yuuri kpeesira u.
GEN.5.1	Gbaŋŋu a yetirini Adam baligu yela, Naawunni daa maali ni nisaala, o ŋmaani u. 
GEN.5.2	O maali bani daba ni poga, ka nafa ba, a booli ba nisaaladima. 
GEN.5.3	Adam di yuma koowa ni pisita, ka dogi biya, o ŋmaani u, o digili o yuuri Sefi. 
GEN.5.4	Sefi dogim nyaaŋa, o di yuma kobsinii, ka lee n dogi biduusi ni bipunsi. 
GEN.5.5	Adam yuma kobsiwai ni pisita nyaaŋa n na o kpi.
GEN.5.6	Sefi yuma koowa ni anu poin ka dogi Inosi. 
GEN.5.7	O n dogi Inosi nyaaŋa, O yuma kobsinii ni ayapoin, ka o n lee n dogi biduusi ni bipunsi. 
GEN.5.8	Sefi yuma kobsiwai ni pii ni ayi, ka o kpi.
GEN.5.9	Inosi yuma kobsiwai, ka o dogi Keenan. 
GEN.5.10	Keenan dogirisim nyaaŋa, Inosi yuma kobsinii ni pii ni anu, a nyaaŋa n na o lee n dogi biduusi ni bipunsi. 
GEN.5.11	Inosi dini yuma kobsiwai ni anu ka kpi.
GEN.5.12	Keenan yuma pisiyapoin ka dogi Mahalali. 
GEN.5.13	O n dogi Mahalali nyaaŋa, o di yuma kobsinii, a ni pisinaasi, ka lee n dogi biduusi ni bipunsi. 
GEN.5.14	Keenan daa n dini yuma kobsiwai ni piiya, ka kpi.
GEN.5.15	Mahalali yuma pisiyoobu ni anu, ka dogi Jaadi. 
GEN.5.16	O n dogi Jaadi nyaaŋa, o dini yuma kobsinii a ni pisita, ka dogi biduusi ni bipunsi. 
GEN.5.17	Mahalali yuma kobsinii a ni pisiwai ni anu, ka o kpi.
GEN.5.18	Jaadi yuma koowa ni pisiyoobu, ni ayi, ka dogi Inoki. 
GEN.5.19	O n dogi Inoki nyaaŋa, o yuma kobsinii, ka o lee n dogi biduusi ni bipunsi. 
GEN.5.20	Jaadi yuma kobsiwai ni pisiyoobu ni ayi, ka o kpi.
GEN.5.21	Inoki yuma pisiyoobu ni anu poin ka o dogi Matuusala. 
GEN.5.22	O n dogi Matuusala nyaaŋa, Inoki daa n niŋi petira Naawunni, yuma kobsita poin ka dogi biduusi ni bipunsi. 
GEN.5.23	Inoki yuma daa n niŋi kobsita ni pisiyoobu ni anu. 
GEN.5.24	Inoki ni Naawunni n daa chaŋina, o naag u du saa, ka o bi kpi.
GEN.5.25	Matuusala yuma koowa ni pisinii ni ayapoin, ka o dogi Lameki. 
GEN.5.26	O n dogi Lameki nyaaŋa, o yuma kobsiyapoin ni pisinii ni ayi, ka dogi biduusi ni bipunsi. 
GEN.5.27	Matuusala daa niŋini yuma kobsiwai ni pisiyoobu ni awai, ka kpi.
GEN.5.28	Lameki dini yuma koowa ni pisinii ni ayi, ka dogi biduwa. 
GEN.5.29	Ka digili o yuuri Nuhu, ka yeli, ŋala n ni maa ti sufusi, a yi ti tuma pelli, a kpali Naawunni n si tiŋgbaŋŋu a noori la zu. 
GEN.5.30	O n dogi Nuhu nyaaŋa, Lameki dini yuma kobsinu ni pisiwai ni anu, ka dogi biduusi ni bipunsi. 
GEN.5.31	Lameki daa n dini yuma kobsiyoobu ni pisiyapoin ni ayapoin, ka kpi.
GEN.5.32	Nuhu daa n dini yuma kobsinu, ka dogi Sem ni Ham a ni Jafeti.
GEN.6.1	Jemanso niriba n daa wasi n paali durinye ŋa, ba daa n dogini bipunsi. 
GEN.6.2	Naawunni biduusi nyaasi bipunsi maa veelim, ka naa seesi n peri ba. 
GEN.6.3	Duuma yeli, “M sisuŋŋu ki ba nisaala niŋi, o ba niŋi wara. O n niŋi valiga la zu, o yuugirisim zaa o niŋi yuma koowa ni pisiyi ko.”
GEN.6.4	A jemani maa, Naawunni biduusi n daa n naa bipunsi maa, ba dogi biisi ba boona ba Nifilim. Barima n daa niŋi nivutintaasi, a mari kpeeŋu, yumdamta n gaari.
GEN.6.5	Niŋi n na, Duuma daa n nye seema nisaaladima n niŋi ferebeeri dima, a niŋina yabeeri ga, jemani zaa. 
GEN.6.6	A daa n niŋi u sufusaaŋu ni beerim ga, o n maali nisaaladima niŋi durinye puwa, o yeli, ka n di baŋŋi ya. 
GEN.6.7	Ka yeli, “M ni muri nisaaladima, buŋkobiri, bunvuurigusi, a ni niinsi. A kpali ba beebu ti m sufu saami.” 
GEN.6.8	Ama, Nuhu wune yela daa n peri Duuma.
GEN.6.9	Nuhu yela n ŋa. O ko n daa n zora Naawunni, ka dagiri bi tabi u. 
GEN.6.10	O daa n mari biduusi bata, Sem, Ham ni Jafeti. 
GEN.6.11	Ama durinye niriba zaa daa n niŋina yabeeri Naawunni nufu niŋi, a wusira kpeeŋu. 
GEN.6.12	Niŋi n na, Naawunni nyaasi durinye niriba maa, ka ba zaa niŋini yabeniŋiniba.
GEN.6.13	Niŋi n na, Naawunni yeli Nuhu, “A kpali durinye ŋa yabeeri ni kpeeŋu wusigu a zu, m ni muri u. Bunso zu ni ya n muri nisaaladima ni tiŋgbaŋaa zaa n na la. 
GEN.6.14	A zu, kpabi dasuma kpaasi ŋarintintaa, ka maali diisi yi o puwa, ka naa kootaali taari o puu ni o nyaaŋa zaa. 
GEN.6.15	N ŋa n na ma kpabira o zoogirisim, o wogilim, noba kobsinaasi ni pisinu, o yelim, noba pisiyapoin ni anu, o duubu mini, noba pisinaasi ni anu. 
GEN.6.16	Pili ŋariŋu maa, ka niŋi o saazu sugulugu, o yelim o niŋi maa noba ayi, ka niŋi dinaŋgbanluŋko, ka maali diisi ata tomi taaba zu, a maa kpaa, ka a mari gbinniŋi, sunsuuniŋi, a ni saazu. 
GEN.6.17	A kpali bo, m ya n ti ni koom paali durinye zaa, a muri bunvuusira zaa nyem. 
GEN.6.18	Ama nyiwune, m ya n ti i ni noori. Lala jemani maa ti paa, mari e poga, e biisi, a ni ba pogiba kpe ŋariŋu maa. 
GEN.6.19+GEN.6.20	A lee n naa n paasi, mari buŋkobiri ni niinsi zaa baligu ayaayi, daba ni poga, a kpe ŋariŋu maa. Ka nyaasira a. 
GEN.6.21	Ka e laŋsi bindira baligu zaa niŋi ŋariŋu maa puwa, a niŋi ya ni buŋkobiri maa bindira.” 
GEN.6.22	Niŋi n na, Nuhu niŋi bunso zaa Naawunni n yeli u la.
GEN.7.1	Lala jemani n ti paa, Duuma yeli Nuhu, “E ni e baligu ya kpe ŋarintintaa la puwa, a kpali bo, m nyeya maa e ko n niŋi nivusuŋŋu a yi durinye ŋa niŋi. 
GEN.7.2	Mari buŋkobseesi n daga sariga nyisigu tulum buyapoinyapoin daba ni poga, a ni buŋkobseesi n bi daga sariga nyisigu daba ni poga ayaayi ko, 
GEN.7.3	a ni niinsi balisi tulum buyapoinyapoin daba ni poga, ka nyaasira a, a wasira durinye ŋa puwa. 
GEN.7.4	Daba ayapoin nyaaŋa, m ni ti saa ta dapisinaasi, wuntoona ni yiina, a muri bunvuusigu zaa ni maali durinye ŋa puwa”. 
GEN.7.5	Nuhu niŋi bunso zaa Naawunni n yeli o niŋi la.
GEN.7.6	Jemanso koom maa n daa n paali maa, Nuhu daa n niŋini yuma kobsiyoobu. 
GEN.7.7	O ni o poga, a ni ba biisi, ni ba deempogiba kpe ŋarintintaa maa puwa, kopaali maa da muri ba. 
GEN.7.8+GEN.7.9	Niŋi n na, Nuhu mari buŋkobseesi n daga sariga nyisigu, a ni seesi n bi daga, niinsi a ni bunvuurigusi zaa kpe ŋarintintaa maa puwa, daba ni poga, a maa seema Naawunni n yeli u la. 
GEN.7.10	Daba ayapoin maa nyaaŋa, komutugu maa piili.
GEN.7.11	Nuhu yuma kobsiyoobu, o dapii ni ayapoin, ŋmerisi ayi yumini maa niŋi, tiŋkoom ni kosoosi zaa chibi, sakoom kpaa n yi sagbana zu. 
GEN.7.12	Saa maa ta dapisinaasi wuntoona ni yiina.
GEN.7.13	Dindaso saa maa n piili n chena n na, Nuhu ni o poga, a ni o biduusi ba boona Sem, Ham ni Jafeti ni ba pogiba kpe ŋariŋu maa. 
GEN.7.14	Ka ba mari buŋkobiri balisi zaa gba paasi n kpe ŋariŋu maa. 
GEN.7.15	Binnyaara zaa baligu ayaayi gba paasi Nuhu niŋi kpe ŋariŋu maa. 
GEN.7.16	Bunvuusira maa daa niŋini daba ni poga, a maa seema Duuma Naawunni n daa yeli la. Nuhu ni bini maa zaa n kpe n baasi, Duuma gbagba yo ŋarintintaa maa noori.
GEN.7.17	Saa maa n ta dapisinaasi la, seela zaa paali koom, a mari ŋariŋu maa du n pa kozu. 
GEN.7.18	Koom maa paali ga, ŋariŋu maa laŋina. 
GEN.7.19	Koom maa paali n muni zoori zaa. 
GEN.7.20	A muni zoori maa noba limsim pisiyi, 
GEN.7.21+GEN.7.22	binnyaara zaa ni ba tiŋgbaŋŋu maa zaa muri, niinsi, buŋkobiri balisi ni nisaaladima zaa. 
GEN.7.23	Seema Duuma daa n muri binnyaara zaa n ba tiŋgbaŋŋu maa niŋi n na la, nisaaladima, buŋkobiri a ni niinsi zaa. Ama Nuhu ni o niriba, a ni binseesi n daa ba ŋariŋu la puu ko daa n bi muri. 
GEN.7.24	Koom maa n daa n paali n za, daasi koowa ni pisinu.
GEN.8.1	Niŋi n na, Naawunni daa n bi tami Nuhu ni buŋkobiri la zaa n daa n ba ŋariŋu maa puu la yela, o ti sauwa vaara, koom maa piili n sigira. 
GEN.8.2	O ti konimbiisi zaa n daa n ba tiŋŋa bulisira la zaa nyeri, ka yo saa dinaŋgbana, saa maa kasigi. 
GEN.8.3	Koom maa naa daasi koowa ni pisinu a sigi. 
GEN.8.4	Dapii ni ayapoin daari, ŋmerisi ayapoin daana niŋi, ŋariŋu maa sigi n ti za zoso ba n boona Ararat la zukpaa niŋi. 
GEN.8.5	Koom maa sigira, a ti paa ŋmerisi pii daana dayinni, zoori yi n turi.
GEN.8.6	Dapisinaasi nyaaŋa, Nuhu yoo sugulugu. 
GEN.8.7	Ka tumi nyiŋgbuŋ, o bi lee n pori n ta, ka ba niŋi n yigi n poli n jinna, a ti paa koom maa n ŋu. 
GEN.8.8	Niŋi n na, Nuhu lee n tumi ŋmenni ni o yi n nyaasi n nyee koom maa sigiya a. 
GEN.8.9	Ŋmenni maa daa n bi nye ziya o dobi, a kpali koom maa daa n na n paali maa zu, o pori n ta ŋariŋu maa ziya, Nuhu teeg o nuu gbaag u niŋi. 
GEN.8.10	O guri daba ayapoin nyaaŋa, o lee n tumi ŋmenni. 
GEN.8.11	Dindaari maa zaanoori, ŋmenni maa pori n ta ka tiso ba n boona olivi la vapaali kagini o noori. Niŋi n na, Nuhu baŋŋi maa koom maa sigira. 
GEN.8.12	O lee n guri daba ayapoin, ka lee tumi ŋmenni maa gbagba, ŋala wune ŋmenni maa bi lee n pori n ta.
GEN.8.13	Nuhu yuma kobsiyoobu ni yinni, o ŋmeripiiligu dayinni n na koom maa sigi nyem. Niŋi n na, Nuhu yoo ŋariŋu maa dinoori, ka nye maa tiŋŋa pa kuugira. 
GEN.8.14	O ŋmerisi ayi daana dapisiyi ni ayapoin n na tiŋŋa daa kuu nyem. 
GEN.8.15	Niŋi n na, Naawunni yeli Nuhu, 
GEN.8.16	“Pimparaŋa, e ni e poga ni ya biduusi ni ba pogiba ya yi ŋariŋu maa puwa. 
GEN.8.17	Nyisi niinsi ni bunvuusira zaa n ba ŋariŋu la puu la paasi n yi, a ba niŋi dogi n wasi n paali tiŋŋa a.” 
GEN.8.18	Niŋi Nuhu ni o poga ni ba biduusi ni ba pogiba yi ŋariŋu maa puwa. 
GEN.8.19	Lala n na ba nyisi bunvuusira ni niinsi la gba yi ŋariŋu maa puwa, a ni a peerigusi.
GEN.8.20	Niŋi n na, Nuhu laŋsi kuga a maali sariga nyisigu ziya, ka nyisi buŋkobiri la ni niinsi la seesi n daga sariga nyisigu, a nyisi sariga, a kusi a ti Naawunni. 
GEN.8.21	Naawunni ni wumi bunvuusira la sariga ŋuwa, o yeli o maŋŋa, “M ki lee n si tiŋŋa a noori, a kpali niriba yaniŋisa zu. M baŋiya maa nisaala bibiilim niŋi zaa, fere feera niŋini yabeeri, m ki lee n muri bunvuusira seema ni daa n niŋi la zaa. 
GEN.8.22	Za jemani a wa ti paa durinye nyisigirisim, jemani ni ba niŋi ti n ŋa binaa, bumbutigu ni a naagirisim, waari ni zibiiŋu, wuuni ni seeniŋi, bee ni yiiŋu, a zaa ni mari a jemani.”
GEN.9.1	Naawunni nafa Nuhu ni o biisi, ka yeli ba, “Ya dogi biisi, ba wasi n paali tiŋgbaŋaa zaa. 
GEN.9.2	Buŋkobiri, niinsi a ni korotosi zaa ni zora ya, ka ba ya nuusi niŋi. 
GEN.9.3	Pimparaŋa, ya ni dira a zaa, a ni bumbutira, m naani a zaa ti ya, a niŋi ya bindira. 
GEN.9.4	Bunluŋkoso n bi daga ya n di n di niŋi, valiso zeem n bi yi o niŋi, a kpali bo, zeem maa niŋi n na nyevuri be. 
GEN.9.5	Ka nira nyisi o todaana nyevuri, o ni nye tubidarigirisim, ka ba ku buŋkoowa zaa ni nyisi nisaala nyevuri. 
GEN.9.6	Niso zaa ni ku nisaala, niso gba ni ku u, a kpali Naawunni meni nisaala maa o ŋmaani u.
GEN.9.7	“Ama nyiwune, dogi bidamta, lala jemani ya yaŋsi ni paali tiŋgbaŋaa zaa niŋi.”
GEN.9.8	Naawunni yeli Nuhu ni o biisi, 
GEN.9.9	“M digilini naŋgbanni tira ya ni e yaŋsi, 
GEN.9.10	a ni binvuusira zaa, niinsi, buŋkobiri a ni bunso zaa n paasi ya niŋi yi ŋariŋu la puwa. 
