MAT.1.1	Neney na ɗeriwel ma mezley ma baba tete ma Yezu Kriste hay, bəzey ma David, bəzey ma Abraham.
MAT.1.21	A da yawa bəzey mawal aha, ka da pafama mezəley ŋga na na, Yezu, hərway a da buwatərawa ndaw ma səkway ŋga hay ba da meŋgəsey ta hay.»
MAT.1.22	Tek a neney tabiyaha a da key andza ha na, ma ka ndesley andza Bay’ərlam ma tsərawa ta huɗa mey ma ndaw sek ana:
MAT.1.23	Nəkafama, bəzey a da təɗar a vaw a dem slaw aha, a da yawa wawa,
MAT.1.23	a da pafama mezəley ŋga na na, Emanuwel,
MAT.1.23	ka ləva na «Bay ma Bəla ta lakwa».
MAT.1.24	Andza ma me pərkey ŋga na, Zozef me key andza na ma madurlam ma Bay’ərlam a hana ma ləvar ana: ŋga ma zəga kokwa ŋga a 'ay ŋga. 
MAT.1.25	Amana ka dzəmam vaw kakay, ha ŋga ma yərawa wawa ŋga mawal aha, ma pafa mezəley ŋga na Yezu.
MAT.2.1	A yəmərawa Yezu da Betlehem ma Zudey, da har Erod ŋga bay ɗuhwa na. Nəkafama ndaw ma sərada me zazərey wurzla hay, ma səmawa da bəzay lam a Zeruzalem na, 
MAT.2.2	arka ma tsəham: «Bay ɗuhwa na ma zuif hay ma yəmərawa ekəɗey ana na, ŋga ka waray? La ma nəkadəmərawa wurzla ŋga na ma sləlawa da bəzay lam, la səmawa ma da gərdey ka mey dey ŋga.» 
MAT.2.3	Ka mey a neney wayna na, bay ɗuhwa na Erod me dzəmey ka vaw, ta ndaw ma Zeruzalem ahiya dzay tabiyaha. 
MAT.2.4	Ŋga ma kusata baba ɗuhwa na me key kuley ana hay tabiyaha, ta ndaw me sesəkey mewey ma səkway, ma tsəhafata slam ana ndaw ma vaha 'ar ana na, ma yaha na, ka waray? 
MAT.2.5	Ma mbəɗafəmara kava: «Da Betlehem ma Zudey, hərway na ndaw sek ma windərawa na na:
MAT.2.6	‹Kah Betlehem, dala ma Zuda,
MAT.2.6	dey ta kava kah na wuraw bəzaha ma dala ma Zuda kakay,
MAT.2.6	hərway bay a da bawa da kah,
MAT.2.6	a da tsəkura Israyel, səkway ɗaw.› »
MAT.2.7	Arka Erod ma zəlata ndaw ma zazərey wurzla na hay ta masasuɗok aha, ma tsəhafata har ma wurzla na ma ɓatar vaw ana; 
MAT.2.8	arka ma sləradata a Betlehem, ta ma ləvatar aha: «Dawam da tsəhəmərawa wawa na haya hayaha, kendzey aza kuray ka ndzafama ba na, aza ka ɓadəmaya tey, i daway i da gərdawa ka mey dey ŋga tiyatsa.» 
MAT.2.9	Ka guma ma bay ɗuhwa ha na hana ma tsatar ana na, taya ma zəgam tsəveɗ; nəkafama wurzla ta hana na, ma nəkadəmərawa ma sləlawa na na, ma kəlatar ka mey, ma daway a da lətsey na, ka slam ma wawa na ŋga da huɗa na. 
MAT.2.10	Andza ma nəkadama wurzla na na, a datar 'ar bəza kakay. 
MAT.2.11	Ma fuləkwam a 'ay ana, ma nəkadama wawa na, ta Mariya may ŋga, ma gərdam, ma namar dəba. Ma wurama akwetey ta hay, ma vəlamar tek ma hayaha: gura, tek me bəzləmey me zey hayna, kaw mal me fəɗey ka vaw. 
MAT.2.12	Arka, 
MAT.2.13	A dəba ma ma daw ta ba na, nəkafa madurlam ma Bay’ərlam ma ɓar vaw a Zozef da dey mesəney; ma ləvar: «Lətsey, zəga wawa na ta may ŋga, hwam a Ezipte. Ndzey da huɗa kasl ka pas a ɗaw ma da tsəkaɓa guma mekelehe, hərway Erod a da səpa wawa na, ma da kəɗa ba vagay aha.» 
MAT.2.14	Zozef me lətsey, ma zəga wawa na ta may na, ma hwam tek ata ta dəvaɗ aha a Ezipte. 
MAT.2.15	Ŋga ma ndzawa da huɗa, ha kasl ka memətsey ma Erod, ma aza ka ndesley andza na ma Bay’ərlam ma tsərawa ta huɗa mey ma ndaw sek ana: I zələrawa bəzey ɗaw na, da Ezipte.
MAT.2.16	Arka andza Erod ma nəkada ndaw ma zazərey wurzla a ŋga na hay ka pətənama ba na, mevel ma tsar kambəlaɓa, ŋga me slərey ka da sləmata wawa hay ba da Betlehem ta sa ma dala ŋga na sa na hay tabiya ha, mendzey ma wawa hay tabiya ha kasl ka mevey tsew, zla da har ma ndaw ma zazərey wurzla hay ma ɓadəmara na. 
MAT.2.17	Kəɗey tok na, me ndesley na andza ma ndaw sek Zeremi ma tsərawa na:
MAT.2.18	«Vəɗe ma ɗay ma tsənawa da Rama,
MAT.2.18	ma tuway ta sesermey aha zaɗaɗa:
MAT.2.18	Rasel a tuway wawa ŋga hay,
MAT.2.18	a bədey vaw kakay, hərway wawa ŋga hay dasakay.»
MAT.2.19	A dəba ma memətsey ma Erod na, madurlam ma Bay’ərlam ma ɓar vaw a Zozef da dey mesəney da Ezipte. 
MAT.2.20	Ŋga ma ləvar: «Lətsey, zəga wawa na ta may ŋga, zəgey tsəveɗ me mey 'ar a dala ma Israyel, hərway ndaw ma səpam ma da kəɗa wawa na na, ka mətsam tsoy.» 
MAT.2.21	Zozef me lətsey, ma zəga wawa na ta may ŋga me mey a dala ma Israyel. 
MAT.2.22	Ama andza ŋga ma tsənada ba Arkelaws bay aha da Zudey da veɗ ma baba ŋga Erod na, ŋga me wesey ma daway a huɗa. Arka andza ma 
MAT.2.23	arka ŋga ma sawa me ndzey da wuraw ana daha a zəlamar Nazaret; hərway aza ka ndesley andza ma ndaw sek me ləvawa na: A da zəlamar na ndaw Nazaret.
MAT.3.1	Da har ana ŋga na na, Zaŋ Batis ma tsarawa, a tələkey mey da palah ma Zudey: 
MAT.3.2	«Mbəɗadama mendzey kwar ba, Slala ma 'ərlam ka gurawa ba.» 
MAT.3.3	 Ezayi a tsawa na ka ŋga, ŋga me ləvey:
MAT.3.3	«Vəɗe ma ɗay a tsənawa da palah,
MAT.3.3	ləmadama buwal ma Bay’ərlam.
MAT.3.3	Ləmadəmara tsəveɗ aŋga hay dender dender.»
MAT.3.4	Zana ma Zaŋ ana me pey ka vaw na, ma mbez ma zlegweme, ma dzuwa ha hərap da bəzay hwoɗ ta kanda ma həzlay. Tek aŋga me zəmey na hwayok ta 'uwam ma ley. 
MAT.3.5	Arka na ndaw ma Zerulem hay, ma Zude, ma dala ma Zurdeŋ hay tabiya ha ma dawam ka tsakay ŋga. 
MAT.3.6	Zaŋ tok na a dzuhəɓadata a yam da wayaŋ ma Zurdeŋ, taya tey na a ɓadama meŋgəsey ta hay.
MAT.3.7	Andza ŋga ma nəkadata Fariziyeŋ hay ta 
MAT.3.8	Ekəɗey na kam tek na, ma ɓada ha mbəɗada me mendzey kwar ba na; 
MAT.3.9	ka da dzalam ka 'ar vaw kwar ana me ləvey: ‹la na, baba la na Abraham tsa zlay›. Hərway i ɓadakwar, ŋgwa neney hay na, Bay ma Bəla a slafa ma təradata bəzey ma Abraham ahiya. 
MAT.3.10	Ekəɗey na zlamba ma wa vaw aha tsoy, ma da rətsey salslasləlay ma vəɗe tek hay, mendzey ma vəɗe ma tek ma yam bəzey hayakakay ana hay na, a da rətsəmata ba, a da kuyadəmata ba a waw.
MAT.3.11	«Yah na, i dzuhəɓadakwar na a yam, ma ɓada ma mbəɗey mendzey, ama ndaw ma da sawa da dəba ɗaw ana na, gədaŋ aha a fənaya: i ɗa ndaw aha ma tsukwadara tahərak aŋga da sek kakay. Ŋga na a da dzuhəɓadakwar na da Mesəfrey Kokwoɗ ana ta waw. 
MAT.3.12	Vəley ŋga me kəfey daw ma zəga ha da har, a da petsey gəlaŋ aŋga. Daw hayna na a həla a dey. Ama dzandzar ana na, a da kakəra ba da waw me mətsey kakay ana.»
MAT.3.13	Arka Yezu ma tsarawa, a sawa da Galiley ha kasl a Zurdeŋ ka tsakay ma Zaŋ, ma ŋga ka dzuhəɓada a yam. 
MAT.3.14	Zaŋ a wuɗey akwa na ma mbəɗar mey, ma ləvar: «Ma da dzuhəɓadaya dzadzak na kah tok na, ka sawa ka tsakay ɗaw ma i ka dzuhəɓadaka na ma mey mey?» 
MAT.3.15	Ama Yezu na ma mbəɗar kava: «Ekəɗey na mbəkada ka key andza ha, təɗe ŋga lama i da ndasladama dzerey tabiyaha na andza ha.» Arka na ŋga ma mbəkada ka key andza ha. 
MAT.3.16	Andza ma dzuhəɓadama ba na, Yezu ma bawa da yam. Arka ndasl ma 'ərlam me ndzesləɗey, ŋga ma nəkada Mesəfrey ma Bay ma Bay Bəla a harɗawa ha andza hwoɗgwam ma sawa ka ŋga. 
MAT.3.17	Arka Vəɗe ma ɗay ma tsənawa da 'ərlam a ləvey: «Neney na Bəzey ma mey 'ərev a ɗaw, ma daya 'ar na ŋga, i ma wala na.»
MAT.4.1	Arka na Mesəfrey Kokwoɗ ana ma dahəɗa Yezu a palah, ma aza Setene ka pafa wuiya. 
MAT.4.2	A dəba ma me key 
MAT.4.3	Arka ndaw me pey wuiya ma gurafa, ma ləvar: « Haɗaw kah Bəzey ma Bay ma Bəla na, ləvatar a ŋgwa na ɗey hay ka təram peŋ aha kwa.» 
MAT.4.4	Ama ŋga ma mbəɗafara: «Ma winda ha da Mewindey Kokwoɗ ana hay na: ndaw a ndzey na ta tek me zəmey dada kakay, amana ta guma ma bawa da huɗa mey ma Bay ma Bəla ana hay tabiyaha na.» 
MAT.4.5	Arka Setene ana hana ma dada a Zeruzalem, wuraw kokuwoɗ ana, ma pada ka 'ar ma 'Ay me key 
MAT.4.6	Arka ma ləvar: «Haɗaw kah Bəzey ma Bay ma Bəla na, kəley a gwadaw, hərway ma winda ha na:
MAT.4.6	‹a da vəlatar slam har a madurlam aŋga hay kavəday ɗek,
MAT.4.6	ka ndawəmaka a har ata,
MAT.4.6	ma aza kah ka da tsey metsembeɗ ta ŋgwa hay zlay.› »
MAT.4.7	Yezu ma ləvar: «Ma winda ha da Mewindey Kokwoɗ ana hay tiyatsa na: Ka da həlafa suwet ka Bay’ərlam, Bay ɗek zlay.» 
MAT.4.8	Arka Setene ma zəga satsa ka 'ar ma mamba sololo ha, ma ɓafara har ka slala ma bəla hay tabiyaha ta maram a ta adzay, 
MAT.4.9	ma ləvar: «Tek a neney hay tabiya ha na, i da vəladaka, haɗaw ha gərdey ba, ha naya dəba ba na» 
MAT.4.10	Arka Yezu ma ləvar: «Daw ba 
MAT.4.11	Arka Setene a hana na ma mbəkada Yezu. 
MAT.4.12	Andza Yezu ma tsənada Zaŋ ŋga da daŋgay na, ŋga ma daw təŋga a Galiley. 
MAT.4.13	Ŋga me lətsey ba da Nazaret, ma daw mendzey təŋga da Kafarnawom, wuraw na ka mey ma bəlay ma Galiley, da dala ma Zabuloŋ ta Nefətali. 
MAT.4.14	Ma ka ndesley andza ma ndaw sek Ezayi ma tsərawa na:
MAT.4.15	«Ŋgwa ma Zabuloŋ ta Nefətali,
MAT.4.15	buwal ma tsakay ma bəlay, dala ma diya ma Zurdeŋ,
MAT.4.15	Galiley mezlezleŋ tsəveɗ ma ndaw bəra na hay!
MAT.4.16	Səkway na ma ndza ha da ləvaŋ ana,
MAT.4.16	ka nəkadərawa waw me nəkey dey ɗuhwa ha ba.
MAT.4.16	Ma ndaw ma ndza hiya da dala ma ləvaŋ ma memətsey ana hay na, waw me nəkey dey ka sləlawa ba.»
MAT.4.17	A zəgawa zla da na ŋga na na, Yezu ma zlar me tələkey mey waya: «Mbəɗadama mendzey kwar ba, Slala ma 'ərlam ka gura ba»
MAT.4.18	Andza Yezu a daway aha ka mey ma bəlay ma Galiley na, ma nəkadata ndaw hay tsew ta malam aŋga, Simoŋ na ma zəlamar Piyer ana, ta malam aŋga Andrey, a kəlam aha zəva ta hay a bəlay: taya ndaw me həley kəlef hay. 
MAT.4.19	Yezu ma ləvatar: «Səmawa səpəmaya bəzay, i da təradakwar ndaw me həley ndaw hay ahiya.» 
MAT.4.20	Arka tsana ma mbəkadama zəva ta hay ŋguɗek, taya ma səpamar bəzay. 
MAT.4.21	Me gurey ka mey satsa na, ma nəkadata ndaw hay tsew ta malam aŋga: Zak bəzey ma Zebedey ta malam aŋga Zaŋ, taya da kombiwal andza baba ta Zebedey, a ləmam aha zəva ta. Ŋga ma zəlata. 
MAT.4.22	Taya na ŋguɗek ma mbəkadama kombiwal ata ta baba ta adzay tsana, ma səpamar bəzay.
MAT.4.23	Arka Yezu ma hala dala ma Galiley tabiyaha, a tatəkadata ndaw hay da 'ay me ɗuley mey ta hay, a tələkada mey ta Mey Hayna Wayna ma Slala ma 'ərlam, a ndaladata ndaw dzedzey ana hay tabiya ha, ta ndaw ma təra na hay, da walaŋ ma səkway. 
MAT.4.24	Tek aŋga na hay me key na me pey mey, me husey a dala ma Siri tabiyaha. Ma sadəmərawa ndaw ma kam tsetseh ana hay, ma ndalamam ta dzedzey gle gle ma sadata banay: ndaw ta fakalaw da 'ar ana hay, ndaw bəzey kiya ma katar ana hay, ta ndaw ma mbara vaw ana hay, arka ŋga ma ndaladata. 
MAT.4.25	Ndaw ana ma kusa na hay tabiyaha a səpamar bəzay deɓ deɓ. Ndaw ana hay na, a səmawa na da Galiley, da Dekapol, da Zeruzalem, da Zudey ta ndaw ma diya ma wayaŋ ma Zurdeŋ hay.
MAT.5.1	Andza Yezu ma nəkadata ndaw ana ma kusa hiya na hay na, ŋga me tsəley a mamba, ŋga me ndzey ɗar. Gawla aŋga hay ma gurafama. 
MAT.5.2	Ŋga ma zlar me tsey guma, ma tatəkadata:
MAT.5.3	«Ndaw ta mevel ma ndaw
MAT.5.3	mbarga na hay na taya da wuiya zləna,
MAT.5.3	Slala ma 'ərlam ma vəlaha ma ta.
MAT.5.4	Ndaw ləfeɗeɗe ana hay na, taya da wuiya zləna,
MAT.5.4	a da ndzafama dala.
MAT.5.4	andza na ma 
MAT.5.5	Ndaw ma tuway ana hay na taya da wuiya zləna,
MAT.5.5	a da bədadəmata.
MAT.5.6	Ndaw may ma tsatar,
MAT.5.6	ma harta hiya ta dzerey ana hay na,
MAT.5.6	taya da wuiya zləna, a da rəham.
MAT.5.7	Ndaw na ndaw hay ma kəmatar
MAT.5.7	da vaw ana hay na taya ta wuiya zləna,
MAT.5.7	hərway a da kam da vaw tey.
MAT.5.8	Ndaw na ta mevel tsəzlakka na hay na,
MAT.5.8	taya da wuiya zləna,
MAT.5.8	a da nəkadama Bay ma Bəla ta dey ta.
MAT.5.9	Ndaw na ma kam mber ma zozoy hay na,
MAT.5.9	taya da wuiya zləna,
MAT.5.9	a da zəlamata na bəzey ma Bay ma Bəla ahiya.
MAT.5.10	Ndaw ma kadəmata tatakway
MAT.5.10	hərway ma dzerey ana hay na,
MAT.5.10	taya da wuiya zləna,
MAT.5.10	Slala ma 'ərlam ma vəla ha ma ta.
MAT.5.11	Ka da ndzam da wuiya, kendzey andza a tsaɗəmakwar,
MAT.5.11	kwa andza a kadəmakwar tatakoy,
MAT.5.11	a tsafəmakwar so ha ka tek haya kakay ana hay tabiyaha hərway ɗaw na. 
MAT.5.12	Ayaw, ndzam da wuiya, ndzam perkeke,
MAT.5.12	hərway masa kwar da 'ərlam ma paha ɗuhwa ha, zləna,
MAT.5.12	akwa a kadəmatərawa tatakoy ta ndaw sek ana hay,
MAT.5.12	ma da husawa ka kuray ana na, andza ha.»
MAT.5.13	Kuray na mandaŋ ma dala hay. Kendzey andza mandaŋ a vəɗey sakay na, a da təradama ka vəɗey na ta mey sa mey? Tsoy a nefey sakay, seŋgey; sey a batəkwadama na a bəla, ndaw hay a halam ta 'arra. 
MAT.5.14	Kuray na waw me nəkey dey ma bəla hay. Wuraw ma kaha tsaŋ ka 'ar ma mamba na, a kəzley kakay. 
MAT.5.15	Kendzey a kam waw ka lalam na, ma da hwarkwafa 'uwaŋ kakay seŋgey, ama na a padama na tsaŋ ka slam ma luwey lalam, ma ka nəkatar dey a ndaw na da 'ay ana hay tabiya ha. 
MAT.5.16	Andza ha satsa na, waw a kwar ka wuɗey ka slam dey ma ndaw hay, ma ka nəkadama tek a kwar hayna hay ma kam ana na, ka hasəkadəmara bəzay a Baba kwar na da 'ərlam ana.
MAT.5.17	Ka da dzalam da 'ar a kwar, i sawa na ma da mbəzladata 
MAT.5.18	Hərway i ɓadakwar dərka na, ha aza ka me ndəvey ma ndasl ma 'ərlam ta dala na, kwa tek asləta, kwa tek ketekwəɗey ma da devesey da 
MAT.5.19	Zla ekəɗey, ndaw ma mbəzlada kwa na bəza na ketekwəɗey ana da walaŋ ma mey ma mewey eɗey hay na, ma tatəkadata ndaw hay ka kama andza ha na na, a da ləvam bəza ha ketekwəɗey da Slala ma 'ərlam na ŋga. Dzadzak na, ndaw ma ka tərre, ma tatəkadatara a ndaw hay ka kam andza ha na na, a da ləvam ɗuhwa ha da Slala ma 'ərlam na ŋga tok. 
MAT.5.20	Hərway i ləvakwar ekəɗey na: haɗaw dzerey kwar me key ka fəna ma ndaw me sesəkey 
MAT.5.21	Kuray ka tsənadama ba, a ləvamatərawa a baba tete hay na: Ka da kəɗey ndaw vagay aha zlay. Zləna ndaw ana ka kəɗey ndaw ba vagay aha na, a zəgama a slam ma sariya. 
MAT.5.22	Ama yah ekəɗey, i ləvakwar: Kwa way way ma kafa mevel ka malam aŋga tsana, a zəgama ka slam ma sariya; kwa way way ma ləvar a malam aŋga: ‹kah na dəla ha na›, a zəgama ka slam ma sariya ɗuhwaha. Ndaw ma ləvar a malam aŋga: ‹'ar me mbəɗey na›, kassla ma dada a waw ma laɓaha na. 
MAT.5.23	Kendzey ka da da tek ma ger a ɗek ka 
MAT.5.24	mbəkada tek ana hwoɓ ka slam ma 
MAT.5.25	Kendzey ka dawam aha a slam ma sariya ta ndaw dugwan eɗek na, səpey tsam tsam ma dazladama mey ba, zləna, dakay na ndaw dugwan ana hana na a da vəladaka a har ma ndaw me key sariya, ndaw me key sariya tey a da vəladaka a har ma sowedzey, sowedzey tey a da kəladaka a daŋgay. 
MAT.5.26	Ayaw dərka na, i ləvaka ekəɗey: ɗaɗa a da kəladəməkawa ha da huɗa kakay, ha ka pas eɗek ma wurəka tərre ta sisey a dzay ana.
MAT.5.27	Kuray ka tsənadama ba a tsəmawa na: Ka da key madama zlay. 
MAT.5.28	Ama yah ekəɗey i ləvakwar: kwa way way me nəkey dey zur zur ka ŋgwas na, ka key madama tsoy ta ŋgwas ana, da mevel aŋga. 
MAT.5.29	Haɗaw dey ma har zəmay ɗek a vahaka ba a meŋgəsey na, tsursla, kəlada ba dəreŋ ta kah, hərway ŋgama mezəvey ma vaw ɗek asləta ka zəɗey, ta neney kah ma da daw ta 'ar eɗek adzay kərem, a waw ma laɓa ha na na. 
MAT.5.30	Haɗaw har zəmay ɗek a vahaka ba a meŋgəsey na, rətsa, kəlada ba dəreŋ ta kah; hərway ŋgama mezəvey ma vaw ɗek asləta ka zəɗey, ta neney kah ma da daway ta 'ar eɗek adzay kərem, a waw ma laɓa ha na na.
MAT.5.31	Ka slam naŋgar ma tsa ha na: haɗaw ndaw a da ɓəla ŋgwas aŋga na, ka kar ɗeriwel ma me ɓəley vaw a har. 
MAT.5.32	Ama yah ekəɗey, i ləvakwar: kwa way way ma ɓəla ŋgwas aŋga na, a kəlada ŋgwas ana a madama -sey a zəga ŋgwas ana na, kendzey 
MAT.5.33	«Kuray ka tsənadama ba satsa, a ləvəmatar a baba tete hay na: ‹Ka kar masəfaya a me mbəɗey ɗek ana zlay, ama na ka tek ma me mbəɗey ɗek ana ka slam dey ma Bay’ərlam ana.› 
MAT.5.34	Ama yah ekəɗey i ləvakwar: ɗaɗa ka da mbəɗam tizlay tabiyaha: kwa ta ndasl ma 'ərlam na, ka da mbəɗam zlay zləna, hərway koriwal ma Bay ma Bəla, 
MAT.5.35	kwa ta dala zlay, hərway slam me pey sek aŋga, kwa ta Zeruzalem zlay, hərway wuraw ma Bay ɗuhwa ha. 
MAT.5.36	Kwa ta 'ar eɗek na, ka da mbəɗada zlay, hərway ka slafa ma tərada mbez 'ar eɗek asləta babara ha, dakay na zezeŋ aha kakay. 
MAT.5.37	Kendzey ka tsam guma na, ləvam: 'Ayaw na, ‹ayaw›, a'ay na, ‹a'ay›; sa na tabiyaha, a sawa na da ndaw wewer.»
MAT.5.38	«Kuray ka tsənadama ba, a tsəmawa na tsosl dey na, tsosl tey! Tsoy sler na, tsoy tey! 
MAT.5.39	Ama yah ekəɗey, i ləvakwar: ka da madəmatara gandaf ma ndaw seweɗ zlay. Dzadzak haɗaw ndaw ka kəlaka marawa ba, ka tsakay sləmay ma har zəmay na, ɓadara naŋgar sa. 
MAT.5.40	Ndaw me wuɗey ma dadaka a slam ma sariya ma da zəgadaka gabak eɗek ba na, gəradara ka zəga ta dawra na dzay. 
MAT.5.41	Kendzey ndaw a təkaka ɗay kəsadaya sek gabal na, dawam sek gabal tsew dzay ta ŋga na tok. 
MAT.5.42	Ndaw a tsəhafaka tek na, vəlar. Ndaw a wuɗey me dedəɗey tek ka kah na, ka da mbəɗar dəba zlay.»
MAT.5.43	«Kuray ka tsənadama ba, a tsəmawa na: ‹Wuɗa ndaw ka tsakay ɗek ana, ndaw dugwan a ɗek na ka da ŋgəlada dey zlay.› 
MAT.5.44	Ama yah ekəɗey i ləvakwar: wuɗəmata ndaw dugwan a kwar hay, ɗulafəmata mey ka ndaw ma kadəmakwar tatakoy ana hay, 
MAT.5.45	ma kuray ka da təram dərka na bəzey ma Baba kwar da 'ərlam ahiya, hərway ŋga na, a sləradərawa pas aŋga na, ka ndaw seweɗ ana hay, ta ndaw kokwoɗ ana hay dzay; a pawa yam na, ka ndaw dzerey ana hay, ta ndaw dzerey kakay ana hay dzay. 
MAT.5.46	Hərway haɗaw ka wuɗam na ndaw ma wuɗəmakwar ana hay dada na, ka da ndzafam masa na ka mey sa mey tok? Ndaw me tsekeley dzaŋgal hay tekeɗe na, a kam aha andza ha tey seŋgey. 
MAT.5.47	Haɗaw ka tsəmatar guma na a malam a kwar hay dada na, ka kam tek me rəzley ndaw aha da huɗa na na waray tok? Ndaw na 
MAT.5.48	Kuray tok na, ka da təram na kərem kokwoɗ a hiya, andza Baba kwar da 'ərlam, ŋga na kərem kokwoɗ aha na.»
MAT.6.1	« Wan daw ka vaw me key tek ma kuley kwar ka slam dey ma ndaw hay me ɓey ta vaw aha zlay, dakay na, masa kwar da har ma Baba kwar da 'ərlam na dakay. 
MAT.6.2	Kendzey ka key sadaka na, ka da wudey ka vaw, andza ma ndaw ta 'erneh da mey tsew ana hay, ma kam da 'ay me ɗuley mey hay, ka buwal ɗuhwa na hay, ma ndaw hay ka hasəkadəmatara bəzay ana, zlay. I ɓadakwar dərka na: taya na ka ndzafama masa ta tsoy. 
MAT.6.3	Kah ekəɗey na, kendzey ka key sadaka na, kwa har gula ɗek na ka sərada tek ma har zəmay ɗek me key ana zlay, 
MAT.6.4	ma sadaka ɗek ana ka ndzey da masasuɗok, arka Baba ɗek ma nəkada tek eɗek a hana me key da masasuɗok ana na, a da madaka.»
MAT.6.5	Kendzey ka ɗulam mey na, ka da kam andza ma ndaw ta 'erneh da mey tsew ana hay, zlay; taya a wuɗam me ɗuley mey na, ta me lətsey da 'ay me ɗuley mey hay, ka mezlezleŋ tsəveɗ hay, ma ndaw hay ka nəkadəmata. I ɓadakwar dərka na: taya na, ka ndzafama masa ta tsoy. 
MAT.6.6	Ama kah ekəɗey, kendzey ka wuɗey me ɗuley mey na, fuləkwey a ver a ɗek, wuɗey mambaw ka vaw, ɗular mey a Baba ka tsakay ɗek ana da masasuɗok. Arka na, Baba ɗek a nəkada tek eɗek ana hana da masasuɗok ana na, a da madaka. 
MAT.6.7	Kendzey ka ɗulam mey na, ka da madama bəzay ma guma dey haɗadzidzay andza ma ndaw 
MAT.6.8	Ka da kam andza ma ta tizlay; zləna, hərway amba kuray ka tsəham tek ana na, Baba kwar ana a sərada tek a kwar ana ma wuɗam ana.
MAT.6.9	Kuray tok na, ɗulam mey na andza neney:
MAT.6.9	Baba lakwa kah na da 'ərlam ana,
MAT.6.9	hayna ɓadatara a ndaw hay tabiya ha na kah ana na way.
MAT.6.10	Hayna sadərawa Slala ɗek.
MAT.6.10	Hayna tek eɗek me wuɗey ana na ka key ka dala andza na da ’ərlam ana.
MAT.6.11	Vəlandərawa tek me zəmey ma teseɗey na ma sandar ana.
MAT.6.12	Safandar yam ba ka meŋgəsey la ma kəmaka na, andza la na tiyatsa ma safəmata yam ka ndaw ma ŋgəsəmandar ana hay.
MAT.6.13	Ka da mbəkafandar har ka pətənəmandar zlay.
MAT.6.13	Amana ləhadandərawa ba da har ma Ndaw me pətəney ndaw ana.
MAT.6.14	Akwa na, haɗaw ka safəmata ha yam ka meŋgəsey ma ndaw hay na, Baba kwar ma 'ərlam a da safakwar yam tiyatsa; 
MAT.6.15	ama haɗaw ka safəmata ha yam ka ndaw hay kakay na, Baba kwar ma 'ərlam a da safakwar aha yam ka meŋgəsey kwar hay kakay tey.
MAT.6.16	Kendzey ka kam aha 
