GEN.1.1	Na počátku Bůh stvořil nebe a zemi. 
GEN.1.29	Bůh také řekl: „Hle, dal jsem vám všechny byliny vydávající semeno na celém povrchu země i každý strom, na němž je ovoce vydávající semeno. To vám bude za pokrm. 
GEN.1.30	Také veškeré polní zvěři, všem nebeským ptákům i všemu, co leze po zemi, zkrátka všemu, co má v sobě život, jsem dal za pokrm všechny zelené byliny“ – a stalo se. 
GEN.1.31	Bůh viděl všechno, co učinil, a hle, bylo to velmi dobré! Byl večer a bylo ráno, den šestý. 
GEN.2.1	Tak bylo dokončeno nebe a země s veškerou jejich rozmanitostí. 
GEN.2.2	Sedmého dne Bůh dokončil dílo, na němž pracoval; sedmého dne odpočinul od veškeré práce, kterou dělal. 
GEN.2.3	Bůh sedmý den požehnal a posvětil jej, neboť v něm Bůh odpočinul od všeho díla, jež vykonal, když tvořil. 
GEN.2.4	To je příběh nebe a země, o jejich stvoření.
GEN.2.4	Tenkrát, když Hospodin Bůh učinil zemi a nebe, 
GEN.2.5	na zemi ještě nebylo žádné polní křoví a nerostly žádné polní byliny. Hospodin Bůh na zem ještě nesesílal déšť a nebyl ani člověk, který by obdělával půdu. 
GEN.2.6	Ze země však vystupovala pára a zavlažovala celý zemský povrch. 
GEN.2.7	Hospodin Bůh pak z prachu země zformoval člověka
GEN.2.8	Hospodin Bůh vysázel v Edenu
GEN.2.9	Hospodin Bůh nechal ze země vyrůst všelijaké stromy lákavé na pohled a dobré k jídlu, včetně stromu života uprostřed zahrady a stromu poznání dobra i zla. 
GEN.2.10	Z Edenu vycházela řeka, aby zavlažovala zahradu, a odtud se rozdělovala do čtyř hlavních toků. 
GEN.2.11	První se jmenuje Píšon. Obtéká celou zemi Chavílu, kde je zlato, 
GEN.2.12	a zlato té země je výborné. Je tam i vonná pryskyřice bdelium a kámen onyx. 
GEN.2.13	Druhá řeka se jmenuje Gíchon; ta obtéká celou zemi Habeš. 
GEN.2.14	Třetí řeka se jmenuje Tigris a teče na východ od Asýrie. A čtvrtá řeka je Eufrat. 
GEN.2.15	Hospodin Bůh tedy vzal člověka a usadil ho do zahrady Eden, aby ji obdělával a střežil. 
GEN.2.16	Hospodin Bůh člověku přikázal: „Z každého stromu v zahradě můžeš svobodně jíst, 
GEN.2.17	kromě stromu poznání dobra i zla. Z toho nejez, neboť v den, kdy bys z něj jedl, jistě zemřeš.“ 
GEN.2.18	Hospodin Bůh také řekl: „Není dobré, aby člověk byl sám; opatřím mu rovnocennou oporu.“ 
GEN.2.19	(Hospodin Bůh totiž zformoval ze země všechnu polní zvěř i všechno nebeské ptactvo a přivedl je k Adamovi, aby viděl, jak je pojmenuje. Jakkoli pak Adam nazval kterého živočicha, tak se jmenoval. 
GEN.2.20	Adam tedy pojmenoval všechen dobytek, nebeské ptactvo i všechnu polní zvěř. Pro Adama se ale nenašla rovnocenná opora.) 
GEN.2.21	Hospodin Bůh tedy na Adama přivedl hluboký spánek. Když usnul, vzal jedno z jeho žeber a zaplnil to místo tělem. 
GEN.2.22	Z onoho žebra, které vzal z Adama, pak Hospodin Bůh vytvořil ženu a přivedl ji k Adamovi. 
GEN.2.23	Adam tenkrát řekl: 
GEN.2.23	„To je konečně ona: 
GEN.2.23	kost z mých kostí, 
GEN.2.23	tělo z mého těla! 
GEN.2.23	Bude se nazývat manželkou, 
GEN.2.23	neboť je vzata z manžela!“ 
GEN.2.24	To proto muž opouští otce i matku – aby přilnul ke své manželce a stali se jedním tělem. 
GEN.2.25	Oba dva, muž i jeho žena, byli nazí a nestyděli se. 
GEN.3.1	Nejchytřejší ze všech polních zvířat, která Hospodin Bůh učinil, byl had. Ten řekl ženě: „Opravdu vám Bůh zakázal jíst ze všech stromů v zahradě?“ 
GEN.3.2	„Ovoce stromů v zahradě jíst smíme,“ odpověděla žena hadovi. 
GEN.3.3	„Ale o ovoci stromu uprostřed zahrady Bůh řekl: ‚Nejezte z něj, ani se ho nedotýkejte, jinak zemřete.‘“
GEN.3.4	Na to had ženě řekl: „Určitě nezemřete! 
GEN.3.5	Bůh ale ví, že jakmile pojíte z toho stromu, otevřou se vám oči a budete jako Bůh: budete znát dobro i zlo.“ 
GEN.3.6	Když tedy žena viděla, že onen strom je dobrý k jídlu a lákavý na pohled, strom žádoucí k nabytí rozumu, vzala z jeho ovoce a jedla. Dala i svému muži, který byl s ní, a také on jedl. 
GEN.3.7	Tehdy se jim oběma otevřely oči a poznali, že jsou nazí. Svázali tedy fíkové listí a udělali si zástěrky. 
GEN.3.8	Vtom ale uslyšeli hlas Hospodina Boha procházejícího se zahradou za denního vánku. Tehdy se Adam a jeho žena skryli před Hospodinem Bohem uprostřed stromů zahrady. 
GEN.3.9	„Kde jsi?“ volal Hospodin Bůh na Adama. 
GEN.3.10	Ten odpověděl: „Slyšel jsem v zahradě tvůj hlas a dostal jsem strach, protože jsem nahý. Proto jsem se skryl.“ 
GEN.3.11	„Kdo ti řekl, že jsi nahý?“ tázal se Bůh. „Nejedl jsi z toho stromu, z něhož jsem ti zakázal jíst?“ 
GEN.3.12	Adam odpověděl: „Žena, kterou jsi mi dal, aby byla se mnou, ta mi dala z toho stromu, a tak jsem jedl.“ 
GEN.3.13	„Cos to udělala?“ řekl Hospodin Bůh ženě. 
GEN.3.13	„Had mě podvedl, a tak jsem jedla,“ odpověděla. 
GEN.3.14	Hospodin Bůh tehdy řekl hadovi: 
GEN.3.14	„Za to, cos udělal, budeš zlořečený 
GEN.3.14	mezi vším dobytkem i divokými zvířaty. 
GEN.3.14	Po všechny dny svého života polezeš po břiše 
GEN.3.14	a žrát budeš prach. 
GEN.3.15	Rozpoutám také nepřátelství mezi tebou a ženou 
GEN.3.15	i mezi tvým a jejím potomkem. 
GEN.3.15	On ti rozdrtí hlavu 
GEN.3.15	a ty mu rozdrtíš patu.“ 
GEN.3.16	Ženě řekl: 
GEN.3.16	„Rozmnožím útrapy tvého těhotenství, 
GEN.3.16	své děti budeš rodit v bolestech. 
GEN.3.16	Po muži budeš dychtivě toužit, 
GEN.3.16	on ti však bude poroučet.“ 
GEN.3.17	Adamovi řekl: 
GEN.3.17	„Protožes poslechl svou ženu 
GEN.3.17	a jedl ze zakázaného stromu, 
GEN.3.17	země bude kvůli tobě zlořečená! 
GEN.3.17	Po všechny dny svého života 
GEN.3.17	z ní budeš jíst v útrapách; 
GEN.3.18	bude ti plodit trní a bodláčí 
GEN.3.18	a ty budeš jíst polní byliny. 
GEN.3.19	V potu tváře budeš jíst svůj chléb, 
GEN.3.19	dokud se nevrátíš do země, 
GEN.3.19	neboť z ní pocházíš: 
GEN.3.19	Prach jsi a v prach se obrátíš!“ 
GEN.3.20	Adam pak dal své ženě jméno Eva (to jest Živa), neboť ona byla matkou všech živých. 
GEN.3.21	Hospodin Bůh udělal Adamovi a jeho ženě kožený oděv a oblékl je. 
GEN.3.22	Hospodin Bůh si tehdy řekl: „Hle, člověk se stal jakoby jedním z nás, neboť zná dobro i zlo. Nyní se tedy postarám, aby nevztáhl ruku, nevzal také ze stromu života a nežil navěky.“ 
GEN.3.23	Proto Hospodin Bůh člověka vyhnal ze zahrady Eden, aby obdělával zemi, z níž byl vzat. 
GEN.3.24	Vyhostil člověka a na východní straně zahrady Eden umístil cheruby s míhajícím se plamenným mečem, aby střežili cestu ke stromu života. 
GEN.4.1	Adam se miloval se svou ženou Evou a ta počala a porodila Kaina. Tehdy řekla: „Získala jsem od Hospodina muže!“
GEN.4.2	Porodila také Ábela, jeho bratra. Ábel se pak stal pastýřem ovcí, ale Kain obdělával půdu. 
GEN.4.3	Po nějaké době se stalo, že Kain přinesl Hospodinu oběť z plodů země, 
GEN.4.4	zatímco Ábel ji přinesl z prvorozených ovcí svého stáda a z jejich tuku. Hospodin našel zalíbení v Ábelovi a v jeho oběti, 
GEN.4.5	ale v Kainovi a jeho oběti zalíbení nenašel. Kaina to rozlítilo, až se mu zkřivila tvář. 
GEN.4.6	Hospodin tedy Kainovi řekl: „Proč se zlobíš? Proč máš zkřivenou tvář? 
GEN.4.7	Copak tě nepřijmu, když budeš jednat dobře? Když ale nebudeš jednat dobře, pak ve dveřích číhá hřích a dychtí po tobě. Ty ale máš nad ním panovat.“ 
GEN.4.8	Kain svému bratru řekl: „Pojďme na pole!“
GEN.4.9	„Kde je tvůj bratr Ábel?“ zeptal se Kaina Hospodin. 
GEN.4.9	"Nevím," odpověděl. „Jsem snad strážcem svého bratra?“ 
GEN.4.10	„Cos to udělal?“ řekl mu Bůh. „Slyš, krev tvého bratra ke mně volá ze země! 
GEN.4.11	Teď budeš zlořečenější než země, která otevřela ústa, aby vpila krev tvého bratra, kterou jsi prolil! 
GEN.4.12	Když budeš obdělávat zem, už ti nedá svoji sílu. Budeš na zemi tulákem a štvancem.“ 
GEN.4.13	„Můj trest je větší, než lze unést,“ odpověděl Kain Hospodinu. 
GEN.4.14	„Pohleď, dnes mě vyháníš ze vší úrodné země a budu se před tebou muset skrývat. Budu na zemi tulákem a štvancem a kdokoli mě najde, ten mě zabije!“ 
GEN.4.15	Hospodin mu řekl: „Kdokoli zabije Kaina, ponese sedminásobnou pomstu.“ Hospodin pak na Kaina vložil znamení, aby ho nikdo, kdo ho najde, nezabil. 
GEN.4.16	Kain tedy odešel od Hospodinovy tváře a usadil se v zemi Nód
GEN.4.17	Kain se miloval se svou ženou a ta počala a porodila Chanocha. Postavil město a pojmenoval ho po svém synovi Chanoch. 
GEN.4.18	Chanochovi se pak narodil Irad, Irad zplodil Mechujaele, Mechujael zplodil Metušaele a Metušael zplodil Lámecha. 
GEN.4.19	Lámech si vzal dvě ženy: jedna se jmenovala Ada, druhá Cila. 
GEN.4.20	Ada porodila Jábala, jenž se stal otcem těch, kdo žijí ve stanech a pasou stáda. 
GEN.4.21	Jeho bratr jménem Jubal se stal otcem všech, kdo hrají na citery a píšťaly. 
GEN.4.22	Cila také porodila, a to Tubal-kaina, mistra všech kovářů bronzu a železa. A Tubal-kainova sestra byla Naama. 
GEN.4.23	Lámech řekl svým ženám: 
GEN.4.23	„Ado a Cilo, poslouchejte mě, 
GEN.4.23	ženy Lámechovy, slyšte mou řeč: 
GEN.4.23	Zabil jsem muže za ránu, kterou mi zasadil, 
GEN.4.23	zabil jsem mladíka za zranění, jež mi způsobil. 
GEN.4.24	Bude-li Kain mstěn sedmkrát, 
GEN.4.24	Lámech bude mstěn sedmasedmdesátkrát!“ 
GEN.4.25	Adam se znovu miloval se svou ženou a ta porodila syna a dala mu jméno Set (to jest Náhrada). Řekla si totiž: „Bůh mi dal jiného potomka náhradou za Ábela, kterého zabil Kain.“ 
GEN.4.26	Také Setovi se pak narodil syn a dostal jméno Enoš, Člověk. Tehdy začalo vzývání Hospodinova jména. 
GEN.5.1	Toto je kniha Adamova příběhu. 
GEN.5.1	Tenkrát, když Bůh stvořil člověka, učinil jej podle své podoby.
GEN.5.2	Stvořil je jako muže a ženu, požehnal jim a v den, kdy byli stvořeni, jim dal jméno Adam, Člověk. 
GEN.5.3	Když bylo Adamovi 130 let, zplodil syna podle své podoby, ke svému obrazu, a dal mu jméno Set. 
GEN.5.4	Po zplození Seta žil Adam ještě 800 let a plodil syny a dcery. 
GEN.5.5	Adam žil celkem 930 let a potom zemřel. 
GEN.5.6	Když bylo Setovi 105 let, zplodil Enoše. 
GEN.5.7	Po zplození Enoše žil Set ještě 807 let a plodil syny a dcery. 
GEN.5.8	Set žil celkem 912 let a potom zemřel. 
GEN.5.9	Když bylo Enošovi 90 let, zplodil Kénana. 
GEN.5.10	Po zplození Kénana žil Enoš ještě 815 let a plodil syny a dcery. 
GEN.5.11	Enoš žil celkem 905 let a potom zemřel. 
GEN.5.12	Když bylo Kénanovi 70 let, zplodil Mahalalela. 
GEN.5.13	Po zplození Mahalalela žil Kénan ještě 840 let a plodil syny a dcery. 
GEN.5.14	Kénan žil celkem 910 let a potom zemřel. 
GEN.5.15	Když bylo Mahalalelovi 65 let, zplodil Járeda. 
GEN.5.16	Po zplození Járeda žil Mahalalel ještě 830 let a plodil syny a dcery. 
GEN.5.17	Mahalalel žil celkem 895 let a potom zemřel. 
GEN.5.18	Když bylo Járedovi 162 let, zplodil Enocha. 
GEN.5.19	Po zplození Enocha žil Járed ještě 800 let a plodil syny a dcery. 
GEN.5.20	Járed žil celkem 962 let a potom zemřel. 
GEN.5.21	Když bylo Enochovi 65 let, zplodil Metuzaléma. 
GEN.5.22	Po zplození Metuzaléma žil Enoch s Bohem ještě 300 let a plodil syny a dcery. 
GEN.5.23	Enoch žil celkem 365 let. 
GEN.5.24	Enoch žil s Bohem, až jednou zmizel, neboť ho Bůh vzal. 
GEN.5.25	Když bylo Metuzalémovi 187 let, zplodil Lámecha. 
GEN.5.26	Po zplození Lámecha žil Metuzalém 782 let a plodil syny a dcery. 
GEN.5.27	Metuzalém žil celkem 969 let a potom zemřel. 
GEN.5.28	Když bylo Lámechovi 182 let, zplodil syna 
GEN.5.29	a dal mu jméno Noe, Úleva, neboť řekl: „Ten nám přinese úlevu od těžké dřiny našich rukou, kterou máme se zemí, jíž Hospodin zlořečil.“ 
GEN.5.30	Po zplození Noema žil Lámech 595 let a plodil syny a dcery. 
GEN.5.31	Lámech žil celkem 777 let a potom zemřel. 
GEN.5.32	A když bylo Noemovi 500 let, zplodil Sema, Chama a Jáfeta. 
GEN.6.1	Když se lidstvo na zemi začalo množit a rodily se jim dcery, 
GEN.6.2	Boží synové viděli, jak jsou lidské dcery krásné, a brali si za ženy všechny, jichž se jim zachtělo. 
GEN.6.3	Tehdy si Hospodin řekl: „Můj Duch nezůstane v člověku navěky – je to koneckonců smrtelník! Ať jeho život trvá jen sto dvacet let.“ 
GEN.6.4	(V oněch dnech, a také později, se na zemi vyskytovali zrůdní obři. Boží synové totiž přicházeli k lidským dcerám a ty jim je rodily. To jsou ti dávní hrdinové, ti muži slavné pověsti.) 
GEN.6.5	Hospodin viděl, jak se na zemi množí lidské zlo a že všechny myšlenky, jež spřádají v srdcích, jsou den co den jen zlé. 
GEN.6.6	Hospodin litoval, že vůbec učinil člověka, a trápil se v srdci. 
GEN.6.7	Tehdy si řekl: „Člověka, jehož jsem stvořil, smetu z povrchu země a s ním i dobytek, drobnou havěť a nebeské ptactvo! Je mi líto, že jsem je učinil.“ 
GEN.6.8	Noe však u Hospodina nalezl milost. 
GEN.6.9	Toto je Noemův příběh. 
GEN.6.9	Noe byl mezi svými současníky spravedlivý a poctivý člověk. Noe žil s Bohem. 
GEN.6.10	Noe zplodil tři syny: Sema, Chama a Jáfeta. 
GEN.6.11	Země však byla v Božích očích zkažená a plná násilí. 
GEN.6.12	Bůh pohlédl na zemi a hle, byla zkažená! Každý smrtelník na zemi žil zkaženě. 
GEN.6.13	Bůh Noemovi řekl: „Se všemi smrtelníky je konec. Země je plná jejich násilí, a tak je zničím i se zemí. 
GEN.6.14	Postav si archu z cypřišového dřeva. Archu propleteš rákosím a zevnitř i zvenčí ji vymažeš smolou. 
GEN.6.15	Uděláš ji takto: archa bude 300 loktů dlouhá, 50 loktů široká a 30 loktů vysoká.
GEN.6.16	V arše necháš průzor a o loket výše ji zastřešíš; do boku archy také vsadíš dveře. Uděláš v ní spodní, druhé a třetí patro. 
GEN.6.17	Hle, já sám způsobím na zemi záplavu vody, jež zničí všechny živé tvory pod nebem. Vše, co je na zemi, zahyne. 
GEN.6.18	S tebou však uzavřu smlouvu, a tak vejdeš do archy – ty a s tebou tví synové, tvá žena a ženy tvých synů. 
GEN.6.19	Ze všeho živého, z veškerého tvorstva, přivedeš do archy po páru od každého druhu, aby přežili s tebou. Bude to samec a samice 
GEN.6.20	z různých druhů ptáků, z různých druhů dobytka i z všemožných druhů zemské havěti. Z toho všeho k tobě přijde po páru, abys je zachoval naživu. 
GEN.6.21	Proto si opatři veškerou potravu, která se jí, a připrav zásoby jídla pro sebe i pro ně.“ 
GEN.6.22	Noe tak učinil; učinil všechno přesně tak, jak mu Bůh přikázal. 
GEN.7.1	Hospodin potom Noemovi řekl: „Vejdi s celou svou domácností do archy. Viděl jsem totiž, že jsi přede mnou v tomto pokolení jediný spravedlivý. 
GEN.7.2	Ze všech čistých zvířat vezmeš k sobě po sedmi párech, vždy samce a samici; ze všech nečistých zvířat však jen po páru, samce a samici. 
GEN.7.3	Také z nebeského ptactva vezmeš po sedmi párech, vždy samce a samici, pro zachování jejich semene na zemi. 
GEN.7.4	Už za sedm dní totiž na zem sešlu déšť, jenž potrvá čtyřicet dní a čtyřicet nocí. Vše, co jsem učinil, smetu z povrchu země.“ 
GEN.7.5	A Noe učinil všechno tak, jak mu Hospodin přikázal. 
GEN.7.6	Země byla zaplavena vodou, když bylo Noemovi šest set let. 
GEN.7.7	Kvůli té vodní záplavě vešel Noe do archy a s ním jeho synové, jeho žena a ženy jeho synů. 
GEN.7.8	Ze všech čistých i nečistých zvířat, ze všech ptáků i ze všeho, co leze po zemi, 
GEN.7.9	vešli k Noemovi do archy vždy dva a dva, samec a samice, jak to Noemovi přikázal Bůh. 
GEN.7.10	Po sedmi dnech pak byla země zaplavena vodou. 
GEN.7.11	Stalo se to šestistého roku Noemova života, sedmnáctého dne druhého měsíce. Ten den vytryskly všechny prameny veliké propasti a nebeské průduchy se otevřely. 
GEN.7.12	Průtrž vod trvala na zemi čtyřicet dní a čtyřicet nocí. 
GEN.7.13	Noe, jeho synové Sem, Cham a Jáfet, Noemova žena a tři ženy jeho synů vešli onoho dne do archy. 
GEN.7.14	Oni i všemožné druhy zvěře, dobytka, havěti lezoucí po zemi i ptactva, všichni ptáci a okřídlenci 
GEN.7.15	přišli k Noemovi do archy. Ze všeho, v čem je duch života, přišli po jednom páru. 
GEN.7.16	Z veškerého tvorstva přišel samec a samice, jak jim Bůh přikázal. A Hospodin za ním zavřel. 
GEN.7.17	Na zemi pak během čtyřiceti dní nastala potopa. Vody přibývalo, až nadnesla archu, takže se zvedla od země. 
GEN.7.18	Voda se na zemi mohutně vzdouvala, rychle jí přibývalo a archa plula po vodní hladině. 
GEN.7.19	Voda se na zemi vzdouvala stále mohutněji, až přikryla všechny vysoké hory pode vším nebem. 
GEN.7.20	A když byly hory přikryty, vzedmula se voda ještě o patnáct loktů.
GEN.7.21	Veškeré tvorstvo na zemi, vše, co se hýbe, zahynulo – ptactvo i dobytek, zvěř i veškerá havěť hemžící se po zemi, i všichni lidé. 
GEN.7.22	Vše, co mělo v chřípí dech života, vše, co žilo na souši, pomřelo. 
GEN.7.23	Bůh smetl všechny živé tvory z povrchu země. Vše od člověka až po dobytek, drobnou havěť i nebeské ptactvo bylo smeteno ze země. Zůstal jen Noe a ti, kdo s ním byli v arše. 
GEN.7.24	Voda se na zemi vzdouvala sto padesát dní. 
GEN.8.1	Bůh však pamatoval na Noema i na všechnu zvěř a dobytek, který s ním byl v arše. Nechal nad zemí vát vítr a voda se utišila. 
GEN.8.2	Prameny propasti i nebeské průduchy se zavřely a průtrž z nebe přestala. 
GEN.8.3	Voda začala ze země zvolna ustupovat a po sto padesáti dnech konečně opadla. 
GEN.8.4	Sedmnáctého dne sedmého měsíce archa spočinula na pohoří Ararat. 
GEN.8.5	Voda zvolna opadala až do desátého měsíce. Prvního dne desátého měsíce se ukázaly vrcholky hor. 
GEN.8.6	Po čtyřiceti dnech Noe otevřel okno, jež v arše udělal, 
GEN.8.7	a vypustil havrana. Ten vylétal a zase se vracel, dokud voda na zemi nevyschla. 
GEN.8.8	Potom vypustil holubici, kterou měl s sebou, aby zjistil, zda voda ustoupila z povrchu země. 
GEN.8.9	Holubice však nenašla místo, kde by mohla nohama spočinout, a vrátila se k němu do archy, neboť voda ještě pokrývala celý povrch země. Noe tedy vystrčil ruku, chytil ji a vzal ji k sobě do archy. 
GEN.8.10	Počkal ještě sedm dní a znovu vypustil holubici z archy. 
GEN.8.11	Večer se k němu holubice vrátila a hle, v zobáku měla čerstvý olivový lístek! Tak Noe poznal, že voda ustoupila ze země. 
GEN.8.12	Počkal tedy dalších sedm dní, vypustil holubici znovu a už se k němu nevrátila. 
GEN.8.13	Šestistého prvního roku Noemova života, prvního dne prvního měsíce, začala voda na zemi vysychat. Noe tedy odsunul příklop archy, podíval se ven a hle, zemský povrch osychal. 
GEN.8.14	Dvacátého sedmého dne druhého měsíce byla země suchá. 
GEN.8.15	Tehdy Bůh k Noemovi promluvil: 
GEN.8.16	„Vyjdi z archy – ty a s tebou tví synové, tvá žena a ženy tvých synů. 
GEN.8.17	Vyveď s sebou všechno živé, co máš u sebe – veškeré tvory z ptactva, dobytka i havěti lezoucí po zemi. Ať se hemží na zemi a ať se na zemi plodí a množí.“ 
GEN.8.18	Noe tedy vyšel ven a s ním i jeho synové, jeho žena a ženy jeho synů. 
GEN.8.19	Všechna zvěř, všechna havěť, každý pták, všechno, co se hýbe po zemi, vyšlo z archy podle svých čeledí. 
GEN.8.20	Noe tehdy postavil Hospodinu oltář a vzal ze všech čistých zvířat a ze všeho čistého ptactva a obětoval na oltáři zápalné oběti. 
GEN.8.21	Když Hospodin ucítil příjemnou vůni, řekl si v srdci: „Už nikdy kvůli člověku neprokleji zem, i když jsou myšlenky lidského srdce už od mládí zlé. Nikdy už nepobiji vše živé, jako jsem to učinil. 
GEN.8.22	Dokud bude trvat země, 
GEN.8.22	nikdy nepřestane setba a žeň, 
GEN.8.22	chlad a horko, léto, zima 
GEN.8.22	ani noc a den.“ 
GEN.9.1	Bůh tehdy Noemovi i jeho synům požehnal a řekl jim: „Ploďte a množte se, naplňte zem. 
GEN.9.2	Ať z vás má strach a hrůzu všechna polní zvěř, všechno nebeské ptactvo, všechno, co se hýbe po zemi, i všechny mořské ryby: jsou vám vydáni do rukou. 
GEN.9.3	Všechno živé, co se hýbe, vám bude za pokrm; to všechno vám dávám tak jako dříve zelené byliny. 
GEN.9.4	Nesmíte však jíst maso, dokud je v něm život, totiž krev. 
GEN.9.5	Krev vašeho života budu rozhodně mstít. Každé zvíře i člověka za ni budu volat k odpovědnosti. Za lidský život budu volat k odpovědnosti každého jeho bratra. 
GEN.9.6	Kdo prolije krev člověka, 
GEN.9.6	toho krev bude člověkem prolita, 
GEN.9.6	neboť k obrazu Božímu 
GEN.9.6	učinil Bůh člověka. 
GEN.9.7	Ploďte se tedy a množte se, 
GEN.9.7	ať se vámi jen hemží zem, 
GEN.9.7	takto se na ní rozmnožte!“ 
GEN.9.8	Potom Bůh k Noemovi a jeho synům promluvil: 
GEN.9.9	„Hle, já uzavírám smlouvu s vámi, s vaším budoucím semenem 
GEN.9.10	i s každou živou bytostí, jež je s vámi – s ptactvem, dobytkem i se vší polní zvěří – se vším živým, co vyšlo z archy. 
GEN.9.11	Uzavírám s vámi tuto smlouvu: Veškeré tvorstvo už nikdy nebude vyhubeno záplavou vody. Už nikdy nenastane potopa, jež by zničila zemi.“ 
GEN.9.12	Tehdy Bůh řekl: „Toto je znamení smlouvy, kterou uzavírám s vámi i s každou živou bytostí, jež je s vámi, pro všechna příští pokolení: 
GEN.9.13	Na oblak pokládám duhu, aby byla znamením smlouvy mezi mnou a zemí. 
GEN.9.14	Kdykoli zahalím zemi oblakem a na oblaku se ukáže duha, 
GEN.9.15	připomenu si svou smlouvu s vámi i s každou živou bytostí, a už nikdy nepřijde záplava vody, aby vyhubila veškeré tvorstvo. 
GEN.9.16	Když bude na oblaku duha, pohlédnu na ni, abych si připomněl věčnou smlouvu mezi Bohem a každou živou bytostí na zemi.“ 
GEN.9.17	Bůh Noemovi řekl: „Toto je znamení smlouvy, kterou jsem učinil s veškerým tvorstvem na zemi.“ 
GEN.9.18	Noemovi synové, kteří vyšli z archy, byli Sem, Cham a Jáfet (onen Cham byl otcem Kanaána). 
GEN.9.19	Tito tři byli Noemovi synové; z nich se zalidnila celá země. 
GEN.9.20	Zemědělec Noe byl první, kdo vysadil vinici. 
GEN.9.21	Napil se vína, opil se a ležel obnažen ve svém stanu. 
GEN.9.22	Cham, otec Kanaána, spatřil nahotu svého otce a pověděl o tom oběma svým bratrům venku. 
GEN.9.23	Sem a Jáfet tedy vzali plášť a oba si ho dali na ramena. Pak šli pozpátku a přikryli nahotu svého otce. Byli obráceni čelem nazpátek, a tak nahotu svého otce nespatřili. 
GEN.9.24	Když se Noe probral z opilosti a dozvěděl se, co mu jeho nejmladší syn provedl, 
GEN.9.25	řekl: 
GEN.9.25	„Zlořečený buď Kanaán; 
GEN.9.25	ať je pro své bratry 
GEN.9.25	otrokem všech otroků!“ 
GEN.9.26	Řekl také: 
