GEN.1.1	Na počátku
GEN.2.9	Hospodin Bůh dal ze země vyrůst veškerému stromoví žádoucímu na pohled a dobrému k jídlu, stromu života uprostřed zahrady a stromu poznání dobrého a zlého.
GEN.2.10	Z Edenu vytéká řeka, aby napájela zahradu. Odtamtud se rozděluje a tvoří čtyři ramena. 
GEN.2.11	První se jmenuje Píšon, to obtéká celou zemi Chavílu, kde 
GEN.2.12	Zlato té země 
GEN.2.13	Druhá řeka se jmenuje Gíchón: ta obtéká celou zemi Kúš. 
GEN.2.14	Třetí řeka se jmenuje Chidekel:
GEN.2.15	Hospodin Bůh vzal člověka a umístil
GEN.2.16	A Hospodin Bůh člověku přikázal:
GEN.2.17	ale ze stromu poznání dobrého a zlého, z toho nejez.
GEN.2.18	I řekl Hospodin Bůh: Není dobré, aby byl člověk samoten. Učiním mu pomoc
GEN.2.19	Hospodin Bůh vytvořil ze země všechnu polní zvěř a všechno nebeské ptactvo a přivedl 
GEN.2.20	A člověk pojmenoval všechen dobytek a nebeské ptactvo i všechnu polní zvěř, ale pro člověka se nenalezla pomoc jako jeho protějšek. 
GEN.2.21	Hospodin Bůh tedy uvrhl na člověka hluboký spánek, a 
GEN.2.22	A Hospodin Bůh vybudoval z žebra, které vzal z člověka, ženu a přivedl ji k člověku. 
GEN.2.23	Člověk řekl: Teď
GEN.2.24	Proto muž opustí svého otce i svou matku a přilne ke své ženě a budou jedno tělo. 
GEN.2.25	A oba, člověk i jeho žena, byli nazí a nestyděli
GEN.3.1	Had
GEN.3.2	Žena hadovi odpověděla: Z ovoce stromů v zahradě 
GEN.3.3	Ale o ovoci stromu, který 
GEN.3.4	Had ženě řekl: Jistě nezemřete, 
GEN.3.5	neboť Bůh ví, že v den, kdy z něho budete jíst, se vaše oči otevřou a budete jako Bůh, budete znát dobré a zlé. 
GEN.3.6	Žena viděla, že 
GEN.3.7	Oběma se otevřely oči a poznali, že jsou nazí. Sešili tedy fíkové listí a udělali si bederní roušky.
GEN.3.8	Pak uslyšeli hlas Hospodina Boha, procházejícího se po zahradě v denním větru,
GEN.3.9	Hospodin Bůh zavolal na člověka a zeptal se ho: Kde jsi? 
GEN.3.10	 odpověděl: Slyšel jsem tvůj hlas v zahradě a bál jsem se, protože jsem nahý; proto jsem se schoval. 
GEN.3.11	I řekl: Kdo ti pověděl, že jsi nahý? Nejedl
GEN.3.12	Člověk odpověděl: Žena, kterou jsi dal, 
GEN.3.13	Nato Hospodin Bůh ženě řekl: Cos to učinila? Žena řekla: Had mě podvedl a 
GEN.3.14	A Hospodin Bůh řekl hadovi: Protože jsi to učinil, buď proklet 
GEN.3.15	A položím nepřátelství mezi tebe a ženu a mezi símě tvé a símě její; ono tobě rozdrtí hlavu a ty jemu rozdrtíš patu.
GEN.3.16	Ženě řekl: Velice rozmnožím tvé strádání
GEN.3.17	A Adamovi
GEN.3.18	Bude ti vydávat trní a bodláčí a budeš jíst polní rostliny. 
GEN.3.19	V potu své tváře budeš jíst chléb, dokud se nenavrátíš do země, neboť jsi z ní vzat. Prach jsi a do prachu se navrátíš. 
GEN.3.20	A člověk svou ženu pojmenoval Eva,
GEN.3.21	A Hospodin Bůh udělal Adamovi a jeho ženě kožené suknice a oblékl je.
GEN.3.22	I řekl Hospodin Bůh: Hle, člověk je jako jeden z nás 
GEN.3.23	Proto Hospodin Bůh poslal člověka pryč ze zahrady Eden, aby obdělával zemi, z níž byl vzat. 
GEN.3.24	Vyhnal ho a postavil od východu k zahradě Eden cheruby s míhajícím se plamenným mečem, aby střežili cestu 
GEN.4.1	I poznal
GEN.4.2	Dále porodila jeho bratra Ábela.
GEN.4.3	Po 
GEN.4.4	I Ábel 
GEN.4.5	ale na Kaina a na jeho obětní dar neshlédl. Kain vzplanul velikým hněvem a jeho tvář opadla.
GEN.4.6	Hospodin Kainovi řekl: Proč jsi vzplanul hněvem a proč tvoje tvář opadla? 
GEN.4.7	Cožpak nebudeš pozdvižen,
GEN.4.8	Kain řekl svému bratru Ábelovi: 
GEN.4.9	Hospodin řekl Kainovi: Kde 
GEN.4.10	 řekl: Cos 
GEN.4.11	A nyní budeš proklet 
GEN.4.12	Když budeš obdělávat zemi, již ti nevydá svou sílu. Budeš na zemi bezdomovcem a tulákem. 
GEN.4.13	Kain Hospodinu odpověděl: Můj trest
GEN.4.14	Hle, dnes jsi mne vyhnal z povrchu země a před tvou tváří se budu 
GEN.4.15	Hospodin mu řekl: Ne tak.
GEN.4.16	Kain odešel od Hospodina a pobýval v zemi Nódu
GEN.4.17	I poznal Kain svou ženu, 
GEN.4.18	Henochovi se narodil Írad, Írad zplodil Mechújáela, Mechújáel
GEN.4.19	Lámech si vzal dvě ženy. Jméno jedné 
GEN.4.20	Áda porodila Jábala, který se stal otcem těch, kdo bydlí 
GEN.4.21	Jeho bratr se jmenoval Júbal. Ten se stal otcem všech hrajících na lyru a flétnu. 
GEN.4.22	A Sila, ta také porodila: Túbalkaina, kováře všech bronzových a železných nástrojů.
GEN.4.23	I řekl Lámech svým ženám: Ádo a Silo, slyšte můj hlas! Ženy Lámechovy, naslouchejte mé řeči! Neboť jsem zabil muže za svou modřinu, chlapce
GEN.4.24	Jestliže Kain bude pomstěn sedminásobně, Lámech sedmdesátisedminásobně.
GEN.4.25	Adam znovu poznal svou ženu, 
GEN.4.26	A Šétovi, také jemu se narodil syn. Dal mu jméno Enóš. Tehdy začalo vzývání Hospodinova jména.
GEN.5.1	Toto 
GEN.5.2	muže a ženu je stvořil. V den, 
GEN.5.3	I žil Adam sto třicet let a zplodil 
GEN.5.4	Po zplození Šéta bylo Adamových dnů osm set let a zplodil syny a dcery. 
GEN.5.5	Všech dnů, kdy Adam žil, bylo devět set třicet let, a zemřel.
GEN.5.6	Šét žil sto pět let a zplodil Enóše. 
GEN.5.7	Po zplození Enóše žil Šét osm set sedm let a zplodil syny a dcery. 
GEN.5.8	Všech Šétových dnů bylo devět set dvanáct let, a zemřel.
GEN.5.9	Enóš žil devadesát let a zplodil Kénana. 
GEN.5.10	Po zplození Kénana žil Enóš osm set patnáct let a zplodil syny a dcery. 
GEN.5.11	Všech Enóšových dnů bylo devět set pět let, a zemřel.
GEN.5.12	Kénan žil sedmdesát let a zplodil Mahalalela. 
GEN.5.13	Po zplození Mahalalela žil Kénan osm set čtyřicet let a zplodil syny a dcery. 
GEN.5.14	Všech Kénanových dnů bylo devět set deset let, a zemřel.
GEN.5.15	Mahalalel žil šedesát pět let a zplodil Jereda. 
GEN.5.16	Po zplození Jereda žil Mahalalel osm set třicet let a zplodil syny a dcery. 
GEN.5.17	Všech Mahalalelových dnů bylo osm set devadesát pět let, a zemřel.
GEN.5.18	Jered žil sto šedesát dva let a zplodil Henocha. 
GEN.5.19	Po zplození Henocha žil Jered osm set let a zplodil syny a dcery. 
GEN.5.20	Všech Jeredových dnů bylo devět set šedesát dva let, a zemřel.
GEN.5.21	Henoch žil šedesát pět let a zplodil Metúšelacha. 
GEN.5.22	Po zplození Metúšelacha chodil Henoch s Bohem tři sta let a zplodil syny a dcery. 
GEN.5.23	Všech Henochových dnů bylo tři sta šedesát pět let. 
GEN.5.24	Henoch chodil s Bohem a 
GEN.5.25	Metúšelach žil sto osmdesát sedm let a zplodil Lámecha. 
GEN.5.26	Po zplození Lámecha žil Metúšelach sedm set osmdesát dva let a zplodil syny a dcery. 
GEN.5.27	Všech Metúšelachových dnů bylo devět set šedesát devět let, a zemřel.
GEN.5.28	Lámech žil sto osmdesát dva let a zplodil syna 
GEN.5.29	a dal mu jméno Noe
GEN.5.30	Po zplození Noeho žil Lámech pět set devadesát pět let a zplodil syny a dcery. 
GEN.5.31	Všech Lámechových dnů bylo sedm set sedmdesát sedm let, a zemřel.
GEN.5.32	Když bylo Noemu pět set let, zplodil Noe Šéma, Cháma a Jefeta.
GEN.6.1	Když se lidé začali na zemi množit a rodily se jim dcery, 
GEN.6.2	synové Boží viděli, že lidské dcery jsou hezké,
GEN.6.3	A Hospodin řekl: Můj duch nebude v člověku
GEN.6.4	V oněch dnech byli na zemi obři
GEN.6.5	I viděl Hospodin, jak mnoho 
GEN.6.6	a Hospodin litoval, že na zemi učinil člověka, a trápil se ve svém srdci. 
GEN.6.7	Hospodin řekl: Vyhladím z povrchu země člověka, kterého jsem stvořil, 
GEN.6.8	Ale Noe nalezl milost
GEN.6.9	Toto 
GEN.6.10	Noe zplodil tři syny: Šéma, Cháma a Jefeta. 
GEN.6.11	Země však byla před Bohem zkažená;
GEN.6.12	Bůh hleděl na zemi, a hle, byla zkažená, protože všechno tvorstvo na zemi pokazilo
GEN.6.13	I řekl Bůh Noemu: Přede mne přišel konec všeho těla,
GEN.6.14	Udělej si archu
GEN.6.15	A udělej ji takto: Délka archy 
GEN.6.16	U archy udělej světlík a ukonči ho loket odshora.
GEN.6.17	A hle, já přivedu potopu, vody na zemi, abych zničil pod nebem všechno tvorstvo, v němž 
GEN.6.18	Ale s tebou ustanovím svou smlouvu. Vejdeš do archy ty a s tebou tvoji synové, tvá žena i ženy tvých synů. 
GEN.6.19	A ze všeho živého, z veškerého tvorstva, uvedeš pár od každého 
GEN.6.20	Z ptactva podle jeho druhů, ze zvěře podle jejích druhů 
GEN.6.21	A ty si seber ze všech 
GEN.6.22	A Noe 
GEN.7.1	Pak Hospodin řekl Noemu: Vejdi ty a celá tvá rodina do archy, neboť jsem viděl, 
GEN.7.2	Ze všech čistých zvířat vezmeš s sebou po sedmi
GEN.7.3	Také z nebeského ptactva po sedmi
GEN.7.4	Protože již za sedm dnů sešlu na zemi déšť 
GEN.7.5	A Noe udělal všechno, jak mu Hospodin přikázal.
GEN.7.6	Noemu bylo šest set let, když nastala potopa, vody na zemi. 
GEN.7.7	I vešel Noe a jeho synové, jeho žena i ženy jeho synů s ním před
GEN.7.8	Z čistých zvířat i ze zvířat, která nejsou čistá, z ptactva i 
GEN.7.9	 po párech
GEN.7.10	I stalo se za sedm dnů, že vody potopy přišly na zemi.
GEN.7.11	V šestistém roce života
GEN.7.12	A na zemi nastal déšť 
GEN.7.13	Právě toho dne vešli Noe i Šém, Chám a Jefet, synové Noeho, žena Noeho a tři ženy jeho synů s nimi do archy, 
GEN.7.14	oni i všechna zvěř podle svých druhů, všechen dobytek podle svých druhů, všichni plazi pohybující se na zemi, podle svých druhů, všichni létavci podle svých druhů, každý pták, každý okřídlenec. 
GEN.7.15	Vešli k Noemu do archy po párech ze všeho tvorstva, v němž 
GEN.7.16	Přicházeli 
GEN.7.17	Potopa na zemi trvala čtyřicet dnů, voda přibývala, zvedla archu a 
GEN.7.18	Vody se na zemi rozmáhaly a velmi přibývaly a archa plula po povrchu vod. 
GEN.7.19	Vody se na zemi převelice rozmáhaly, až byly přikryty všechny vysoké hory všude pod nebem. 
GEN.7.20	Vody se rozmohly 
GEN.7.21	A zahynulo všechno tvorstvo pohybující se na zemi -- ptactvo, dobytek i zvěř, veškerá havěť hemžící se na zemi i všichni lidé. 
GEN.7.22	Všechno, co 
GEN.7.23	Tak 
GEN.7.24	A vody se nad zemí rozmáhaly sto padesát dnů.
GEN.8.1	Bůh však pamatoval na Noeho, na všechnu zvěř i na všechen dobytek, který 
GEN.8.2	Prameny hlubiny a nebeské průduchy byly zacpány a déšť z nebe byl zadržen. 
GEN.8.3	A voda ze země postupně a vytrvale ustupovala, takže po sto padesáti dnech vody ubylo 
GEN.8.4	a v sedmém měsíci sedmnáctého dne měsíce archa spočinula na pohoří Araratu.
GEN.8.5	Vody postupně ubývalo až do desátého měsíce. Prvního 
GEN.8.6	A po čtyřiceti dnech Noe otevřel v arše okno, které udělal, 
GEN.8.7	a vypustil havrana, 
GEN.8.8	Pak vypustil
GEN.8.9	Ale holubice nenalezla pro svou nohu místo odpočinku a vrátila se k němu do archy, protože voda 
GEN.8.10	Dychtivě čekal
GEN.8.11	Holubice se k němu k večeru vrátila, a hle, v zobáku měla čerstvě utržený olivový list. Noe poznal, že voda ze země ustoupila. 
GEN.8.12	Čekal ještě dalších sedm dnů a vypustil holubici, ale již se k němu znovu nevrátila. 
GEN.8.13	V šestistém prvém roce 
GEN.8.14	Ve druhém měsíci, ve dvacátém sedmém dni měsíce země vyschla.
GEN.8.15	I promluvil Bůh k Noemu: 
GEN.8.16	Vyjdi z archy ty a s tebou tvá žena i tvoji synové a ženy tvých synů. 
GEN.8.17	Vyveď s sebou všechno živé, co 
GEN.8.18	A Noe vyšel a s ním jeho synové, jeho žena i ženy jeho synů. 
GEN.8.19	Všechna zvěř, všichni plazi a všichni létavci -- všechno, co se hýbe na zemi -- vyšli podle svých čeledí z archy.
GEN.8.20	Noe pak postavil Hospodinu oltář a vzal ze všeho čistého dobytka a ze všeho čistého ptactva a přinesl na oltáři zápalnou oběť. 
GEN.8.21	I ucítil Hospodin příjemnou vůni a řekl si v
GEN.8.22	Po všechny dny země 
GEN.9.1	Pak Bůh požehnal Noeho a jeho syny a řekl jim: Ploďte a množte se a naplňte zemi. 
GEN.9.2	Bázeň 
GEN.9.3	Všechno živé, co se hýbe, budete mít za pokrm. Jako 
GEN.9.4	Jen maso s jeho životem,
GEN.9.5	Ano, vaši krev, 
GEN.9.6	Kdo prolévá krev člověka, 
GEN.9.7	Ale vy se ploďte a množte, hemžete se na zemi a rozmnožte se na ní.
GEN.9.8	A Bůh řekl Noemu a s ním jeho synům: 
GEN.9.9	Hle, já ustanovuji svou smlouvu s vámi a s vaším potomstvem po vás 
GEN.9.10	a s každou živou duší, která 
GEN.9.11	Ustanovuji s vámi svou smlouvu, že již nevyhladím
GEN.9.12	A Bůh řekl: Toto 
GEN.9.13	Na oblak jsem dal
GEN.9.14	Když zahalím zemi oblakem a na oblaku se ukáže duha, 
GEN.9.15	připomenu si svou smlouvu mezi mnou a vámi i každou živou duší v celém tvorstvu a voda se již nestane potopou, aby zničila všechno tvorstvo. 
GEN.9.16	Když bude na oblaku duha, spatřím ji a připomenu si věčnou smlouvu mezi Bohem a každou živou duší v celém tvorstvu, které 
GEN.9.17	A Bůh řekl Noemu: Toto 
GEN.9.18	Synové Noeho, kteří vyšli z archy, byli: Šém, Chám a Jefet.
GEN.9.19	Tito tři 
GEN.9.20	Noe 
GEN.9.21	Jednou
GEN.9.22	Chám, otec Kenaana, viděl nahotu svého otce a oznámil 
GEN.9.23	Ale Šém a Jefet vzali plášť, položili si 
GEN.9.24	Když se Noe probral ze svého vína
GEN.9.25	řekl: Buď proklet Kenaan! Ať je svým bratrům posledním 
GEN.9.26	Dále řekl: Požehnán buď Hospodin, Bůh Šémův. Ať je Kenaan jejich
GEN.9.27	 Bůh rozšíří Jefeta,
GEN.9.28	Po potopě byl Noe živ tři sta padesát let. 
GEN.9.29	Všech dnů Noeho bylo devět set padesát let, a zemřel.
GEN.10.1	Toto 
GEN.10.2	Synové Jefetovi: Gomer,
GEN.10.3	Synové Gomerovi: Aškenaz, Rífat a Togarma.
GEN.10.4	Synové Jávanovi: Elíša a Taršíš,
GEN.10.5	Z těch se rozptýlily přímořské národy ve svých zemích, každý podle svého jazyka 
GEN.10.6	Dále synové Chámovi: Kúš,
GEN.10.7	A synové Kúšovi:
GEN.10.8	Kúš pak zplodil Nimroda. On první se stal
GEN.10.9	On byl mocný lovec před Hospodinem; proto se říká: Mocný lovec před Hospodinem jako Nimrod. 
GEN.10.10	Počátkem
GEN.10.11	Z této země vyšel 
GEN.10.12	a Resen mezi Ninivem a Kelachem -- to 
GEN.10.13	Misrajim zplodil Lúďany
GEN.10.14	Patrúsany,
GEN.10.15	Kenaan zplodil Sidóna,
GEN.10.16	Jebúsejce,
GEN.10.17	Chivejce,
GEN.10.18	Arváďana, Semárce a Chamáťana, a potom se kenaanské čeledi rozptýlily. 
GEN.10.19	Pomezí Kenaanců se táhlo od Sidónu, 
GEN.10.20	Tito 
GEN.10.21	Také Šémovi, staršímu bratru Jefetovu,
GEN.10.22	Synové Šémovi: Élam a Ašúr,
GEN.10.23	A synové Aramovi: Ús a Chúl, Geter a Maš.
GEN.10.24	Arpakšád zplodil Šelacha a Šelach zplodil Hebera.
GEN.10.25	Heberovi se narodili dva synové. Jméno jednoho 
GEN.10.26	Joktán pak zplodil Almódada a Šelefa, Chasarmáveta a Jeracha, 
GEN.10.27	Hadórama, Úzala
GEN.10.28	Óbala,
GEN.10.29	Ofíra, Chavílu a Jóbaba; ti všichni 
GEN.10.30	Jejich sídliště se táhlo od Méši, 
GEN.10.31	Tito 
GEN.10.32	Tyto 
GEN.11.1	Celá země byla jedné řeči
GEN.11.2	Jak táhli od východu,
GEN.11.3	Řekli jeden druhému: Nuže, udělejme cihly a důkladně 
GEN.11.4	A řekli: Nuže, vybudujme si město a věž, jejíž vrchol 
GEN.11.5	Hospodin sestoupil, aby viděl to město a věž, které lidští synové stavěli. 
GEN.11.6	Hospodin řekl: Hle, 
GEN.11.7	Nuže, sestupme
GEN.11.8	Tak je odtamtud Hospodin rozptýlil po celém povrchu země, a přestali stavět to město. 
GEN.11.9	Proto nazvali jeho jméno Bábel,
GEN.11.10	Toto 
GEN.11.11	Po zplození Arpakšáda žil Šém pět set let a zplodil syny a dcery.
GEN.11.12	Arpakšád žil třicet pět let a zplodil Šelacha. 
GEN.11.13	Po zplození Šelacha žil Arpakšád čtyři sta tři let a zplodil syny a dcery.
GEN.11.14	Šelach žil třicet let a zplodil Hebera. 
GEN.11.15	Po zplození Hebera žil Šelach čtyři sta tři let a zplodil syny a dcery.
GEN.11.16	Heber žil třicet čtyři let a zplodil Pelega. 
GEN.11.17	Po zplození Pelega žil Heber čtyři sta třicet let a zplodil syny a dcery.
GEN.11.18	Peleg žil třicet let a zplodil Reúa. 
GEN.11.19	Po zplození Reúa žil Peleg dvě stě devět let a zplodil syny a dcery.
GEN.11.20	Reú žil třicet dva let a zplodil Serúga. 
GEN.11.21	Po zplození Serúga žil Reú sto sedm let a zplodil syny a dcery.
GEN.11.22	Serúg žil třicet let a zplodil Náchora. 
GEN.11.23	Po zplození Náchora žil Serúg sto let a zplodil syny a dcery.
GEN.11.24	Náchor žil dvacet devět let a zplodil Teracha. 
GEN.11.25	Po zplození Teracha žil Náchor sto devatenáct let a zplodil syny a dcery.
GEN.11.26	Terach žil sedmdesát let a zplodil Abrama,
GEN.11.27	Toto 
GEN.11.28	Háran zemřel před
GEN.11.29	Abram a Náchor si vzali ženy: Jméno Abramovy ženy 
GEN.11.30	Sáraj však byla neplodná, neměla dítě.
GEN.11.31	Terach vzal svého syna Abrama, svého vnuka Lota, syna Háranova, svou snachu Sáraj, ženu svého syna Abrama, a vyšli spolu z chaldejského Úru, aby šli do kenaanské země. Přišli až do Cháranu
GEN.11.32	Terachových dnů bylo dvě stě pět let, když Terach v Cháranu zemřel.
GEN.12.1	Hospodin řekl Abramovi: Odejdi
GEN.12.2	A učiním tě velkým národem, požehnám tě a tvé jméno učiním velkým, a buď
GEN.12.3	Požehnám těm, kdo žehnají tobě, a na toho, kdo tě proklíná,
GEN.12.4	A Abram šel
GEN.12.5	Abram vzal svou ženu Sáraj, Lota, syna svého bratra, a všechen majetek, jejž nabyli, i lidi, které získali v Cháranu, a vyšli, aby se ubírali do kenaanské země. I přišli do kenaanské země.
GEN.12.6	Abram prošel zemi až do místa Šekemu,
GEN.12.7	I ukázal se Abramovi Hospodin a řekl: Tuto zemi dám tvému semeni.
GEN.12.8	Odtamtud táhl k pohoří východně od Bételu
GEN.12.9	Pak Abram vyrazil
GEN.12.10	Pak v zemi nastal hlad. Abram sestoupil
GEN.12.11	Když se přiblížil k
GEN.12.12	Když tě Egypťané uvidí a řeknou: To 
GEN.12.13	Říkej prosím, 
GEN.12.14	Když přišel Abram do Egypta, Egypťané uviděli tu ženu, jak velice je krásná. 
GEN.12.15	Když ji spatřila faraonova knížata, chválila ji u faraona. Žena byla vzata 
GEN.12.16	 Abramovi kvůli ní prokázal dobro: dostal brav, skot a osly, otroky a otrokyně,
GEN.12.17	Faraona a jeho dům však Hospodin zasáhl velikými ranami pro Sáraj, ženu Abramovu. 
GEN.12.18	Farao si zavolal Abrama a řekl: Cos mi to provedl? Proč jsi mi neoznámil, že je 
GEN.12.19	Proč jsi řekl: Je 
GEN.12.20	A farao o něm dal příkaz 
GEN.13.1	Tak vystoupil
GEN.13.2	Abram 
GEN.13.3	A postupoval po svých denních pochodech od Negebu až k Bételu, až na místo mezi Bételem a Ajem, kde byl zprvu jeho stan, 
GEN.13.4	k místu oltáře, který tam na počátku udělal. Tam Abram vzýval Hospodinovo jméno.
GEN.13.5	Také Lot, který putoval s Abramem, měl ovce, skot a stany. 
GEN.13.6	Ale země jim nestačila,
GEN.13.7	Až nastal spor
GEN.13.8	Abram řekl Lotovi: Ať není svár mezi mnou a tebou a mezi mými pastýři a tvými pastýři, neboť jsme muži bratři.
GEN.13.9	Což před tebou není celá země? Odděl se prosím ode mne: Jestliže 
GEN.13.10	Lot pozvedl oči a spatřil celou jordánskou rovinu,
GEN.13.11	Lot si tedy vybral celou jordánskou rovinu
GEN.13.12	Abram pobýval v kenaanské zemi a Lot pobýval ve městech roviny a přiblížil 
GEN.13.13	Sodomští lidé však 
GEN.13.14	Poté, co se Lot od něho odloučil, Hospodin Abramovi řekl: Nuže, pozvedni oči a z místa, kde jsi, se podívej na sever a na jih, na východ i na západ, 
GEN.13.15	protože celou tu zemi, kterou vidíš, dám tobě a tvému potomstvu až navěky. 
GEN.13.16	A tvého potomstva učiním jako prachu země. Jestliže někdo bude moci spočítat prach země, tak bude spočteno i tvé potomstvo. 
GEN.13.17	Vstaň 
GEN.13.18	Tak Abram putoval se stany,
GEN.14.1	Ve dnech šineárského
GEN.14.2	vedli válku proti sodomskému králi Bérovi a gomorskému králi Biršovi, ademskému králi Šineábovi, sebójskému králi Šemeberovi a králi Bely, což 
GEN.14.3	Tito všichni se spojili
GEN.14.4	Dvanáct let sloužili Kedorlaómerovi,
GEN.14.5	Ve čtrnáctém roce přitáhl Kedorlaómer a králové, kteří 
GEN.14.6	a Chorejce v jejich pohoří Seíru až k Elpáranu, který 
GEN.14.7	Když se vraceli,
GEN.14.8	Vytáhl tedy král sodomský, král gomorský, král ademský, král sebójský a král Bely, což 
GEN.14.9	proti élamskému králi Kedorlaómerovi, gójimskému králi Tideálovi, šineárskému králi Amráfelovi a elasarskému králi Arjókovi -- čtyři králové proti pěti. 
GEN.14.10	Údolí Sidím 
GEN.14.11	Pak 
GEN.14.12	Vzali také Abramova synovce
GEN.14.13	Pak přišel jeden uprchlík a oznámil 
GEN.14.14	Když Abram uslyšel, že jeho bratr byl vzat do zajetí, shromáždil
GEN.14.15	V noci proti nim se svými otroky rozdělil 
GEN.14.16	Donesl zpět všechen majetek, také svého bratra Lota s jeho majetkem přivedl zpět, také ženy a lid.
GEN.14.17	Po jeho návratu z pobití Kedorlaómera a králů, kteří 
GEN.14.18	Také Malkísedek,
GEN.14.19	A požehnal mu slovy: Požehnán buď Abram Bohu Nejvyššímu, Tvůrci
GEN.14.20	A požehnán buď Bůh Nejvyšší, který vydal tvé protivníky do tvé ruky. Nato mu 
GEN.14.21	Sodomský král Abramovi řekl: Dej mi lidi a majetek si vezmi. 
GEN.14.22	Abram však sodomskému králi odpověděl: Pozvedl jsem ruku
GEN.14.23	že z ničeho, co 
GEN.14.24	Nechci nic, pouze 
GEN.15.1	Po těchto událostech se stalo k Abramovi ve vidění Hospodinovo slovo: Neboj
GEN.15.2	Ale Abram řekl: Panovníku Hospodine,
GEN.15.3	Abram ještě řekl: Hle, nedal jsi mi potomka, a tak bude mým dědicem
GEN.15.4	A hle, 
GEN.15.5	Vyvedl ho ven a řekl: Jen pohleď na nebesa a spočítej hvězdy, budešli je moci spočítat. A řekl mu: Tak bude tvé potomstvo.
GEN.15.6	I uvěřil 
GEN.15.7	A řekl mu: Já 
GEN.15.8	Odpověděl: Panovníku Hospodine, podle čeho poznám, že ji obdržím? 
GEN.15.9	I řekl mu: Vezmi pro mne tříletou jalovici, tříletou kozu, tříletého berana a hrdličku s holoubětem. 
GEN.15.10	Vzal tedy pro něho všechna tato 
GEN.15.11	Dravci se slétali na mrtvoly, ale Abram je odháněl. 
GEN.15.12	A když zapadalo slunce, na Abrama padl hluboký spánek, a hle, padala na něho hrůza 
GEN.15.13	A 
GEN.15.14	Avšak národ, kterému budou otročit, budu soudit a potom vyjdou s velikým majetkem. 
GEN.15.15	A ty vejdeš ke svým otcům v pokoji; budeš pohřben v dobrém stáří.
GEN.15.16	Až čtvrtá generace
GEN.15.17	Pak zapadlo slunce a nastal soumrak, a hle, kouřící pec a ohnivá pochodeň,
GEN.15.18	V onen den Hospodin uzavřel s Abramem smlouvu slovy: Tvému potomstvu dám tuto zemi od egyptské řeky až k té veliké řece, řece Eufratu, 
GEN.15.19	Kénijce, Kenazejce a Kadmónce, 
GEN.15.20	Chetejce, Perizejce a Refájce, 
