MAT.1.1	Antuyawino neturakkanneno gagginafuwera i Jesu Kristo a gaka i Ari David a gaka kappayi Abraham. 
MAT.2.8	Wasin naammuwannan, dinundunnera sey Betlehem e sinapiꞌna si, “Umangkayu sinay, e tufukandaw si nalawad inaya kaluꞌbit. Nu sumpalandaw, mulikayuna sitaw ta itulduyu sikwak takesi umangngappaya maddayaw sikwana.”
MAT.2.9+MAT.2.10	Wasin nabalina nattunino ari sikwara, ginikkatira, e nappelalotino aangganda, se initara kappayino bituna initara siꞌin. Nefuyuꞌnera makkiyad sino batungngeno balaya agyananino kaluꞌbit, kasena nittud. 
MAT.2.11	Sinallungira sino balay, e initareno kaluꞌbit anni Maria a inana. Namaliturira a naddayaw sino kaluꞌbit, kasera nelawanino nakkakangina a neyangkalinda, e neyaꞌdara sikwaneno rigalura a bulawan, bambanguwa insensuwa ngananda si frankinsens, anna mirra.
MAT.2.12	Wasin manawiran, nepatenappi Dios sikwara si ammerana muli ki Herodes, antu gafuna, tangananino nallakaranda a nuli sino lubbunda.
MAT.2.13	Wasin inanawinnino nalalaingira, nappadda ki Jose ino tata a angheli Afu Dios si tenap, e sinapiꞌna sikwana si, “Gumabwakka, e ibukalnuweno kaluꞌbit annino inana ta umangkayu sey Egipto. Agyangkayu sinay kiyad si itulduk si mulikayu, se ino gakkaddi Herodes, paintufuꞌngeno kaluꞌbit ta ipapapatena.”
MAT.2.14	Wasinoy, ginabwati Jose e neikkaꞌneno kaluꞌbit annino inana si tangngana gafi ta umangngira sey Egipto. 
MAT.2.15	Antuweno nagyananda kiyad sino natayani Herodes. Nakwenay takesi meyakkuruwino nepasapiti Afu Dios sino gumalabbunna a kunna si, “Inayangkuweno Abbingku a manaw sey Egipto.”
MAT.2.16	Wasin nalasini Herodes a binalabaliyampelangino nalalaingira, nappelalotino bunguꞌna. E sinapiꞌna sino sindalunera ta umangngira mamapatay sino amminira a kaluꞌbita lalakiya maddawun kiyad si adwarun sey Betlehem anda sino weweꞌnginna a lulubbun. Se ammuna si antuweno fustuwa kabayangngeno tiyempowa nappaddanino bitun se ammena kinalyawanino sinapitino nalalaingira sikwana. 
MAT.2.17	Gafu sinaya nakwa, neyakkuruwino nepasapiti Dios sino gumalabbunna a i Jeremias a kunna si,
MAT.2.18	“Madingngag sey Rameno nappelalota tangiꞌda gafu sino loneno nakanda. Tangitani Raquelino abbingngera. Ammena anggamma mabambayan, nu ammena lud aggetangatangit, se awaninnino abbingngera.”
MAT.2.19	Wasin natayinni Herodes, nappaddeno tata a angheli Afu Dios ki Jose si tenap sin nagyananda sey Egipto, 
MAT.2.20	e sinapiꞌna si, “Gumabwakka ta iyanomino kaluꞌbit annino inana ta mulikayu sey lubbundawa Israel, se natayinnino nassapit si mapapatayino kaluꞌbit.” 
MAT.2.21	Antu gafuna, ginikkatira e nuliyera sey Israel.
MAT.2.22	Udde wasin diningngaggi Jose si nepataliyi Arkelao a abbingi Herodes a matturay sey Judea, mattalawa muli sinay. Nepatenakkappayi Afu Dios ki Jose ta umangngira magyan sey probinsiya a Galilea. 
MAT.2.23	Inangngira nagyan sey Nazaret. Nakwenay takesi meyakkuruwino nepasapiti Dios sino gumalabbunna mappeafu ki Kristo a kunna si, “Maingngananna si taga-Nazaret.”
MAT.3.1	Wasin tiyempowa nagyanangkepera Jesus sey Nazaret, inangngi Juan a Gumabawtisar sino kalolowata sakoꞌma Judea, e nanuldu sino tolayira a inang naningngag sikwana. 
MAT.3.2	Sinapiꞌna si, “Iboboliyuweno liwaꞌdaw, se araꞌniyennino patturayani Dios.” 
MAT.3.3	I Juanino sinapiti Isaias a gumalabbun sin nassapitanna si,
MAT.3.3	“Antuneno mikulakulawu sey kalolowata massapit si, ‘Idadandawino lakarannino Afuyu a gumamwang takesi nalawanneno dalana pallakaranna.’ ”
MAT.3.4	Ino barawasiyi Juan, naangwa si duꞌduꞌna kamelyu anna gaddangino sintaronna. Ino aꞌakkananna, durun anna diyuna ayokan. 
MAT.3.5	Inang sikwaneno tolayira a naggabwat sey Jerusalem anda sino ammina lulubbunna Judea anda sino lulubbuna nassalidadammang sino wawwanga Jordan. 
MAT.3.6	Nepunnureno liwaꞌda, kaseyira binawtisarani Juan sino wawwanga Jordan.
MAT.3.7	Udde wasin naita i Juanino odduwera a Fariseo anda Saduceo a umang mappabawtisar sikwana, sinapiꞌna sikwara si, “Mayan umangkayuwa massalasangkun sitaw? Inyeno nassapit sikwayu si meliꞌwakayu sino kastiguwi Dios nu mabawtisarangkayu? 
MAT.3.8	Ammena dama, nu ammeyu abbu ipaita sino aggangwayu si gakkuruwa neboboliyuweno liwaꞌdaw. 
MAT.3.9	Ammeyu kappay nganan si meliꞌwakayu sino kastiguna se i Abrahamino gagginafuyu, se massiki iyawira a batu, dama i Dios a pabbalin si gakagaka i Abraham. 
MAT.3.10	Inona kastiguwi Dios sikwayu, meyamparig si wataya nedadana paggabba si kayu, e kadda kayuwa ammena mammunga si nalawad, mefungalla magabba e masikkulan.”
MAT.3.11	Wasinoy, netuluyna a nassapit si, “Aneno metufara gumamwanga napatig amma sikwak. Gafu sinaya kinapatingnga, ammek meannunga mattammit sino sapatuꞌna.
MAT.3.12	Antuneno mangukum sino tolayira. Meyamparig si tolaya aneno miyawa pittaꞌma sino apaya naaggik. E ino nabbaggat, iyalangnga, udde ino pittapanna, itakkumma sino afuya ammena maaddap.”
MAT.3.13	Sinoya tiyempowa namawtisarani Juan sino tolayira, ginamwangi Jesus a naggabwat sey Galilea e inang sino wawwanga Jordan ta mappabawtisar ki Juan. 
MAT.3.14	Udde amme anggammi Juan, e sinapiꞌna si, “Ikkanaꞌngaddino mappabawtisar sikwam. Mayan ikkammangke ino umang mappabawtisar sikwak?”
MAT.3.15	Udde sinombati Jesus si, “Kadde, massiki akwannu, se antuweno meannunga akwanta takesi tuntulanta amminino anggammi Dios a makwa.” Wasinoy, binawtisarani Juan.
MAT.3.16	Wasin nasinduwa nabawtisarani Jesus, ginaꞌdangin sino dappit, e kakaꞌmeng kelanga nabukkatanino langit. E naitaneno Espirituwi Dios a naddassa kunnangke kalapatiya naffun sikwana. 
MAT.3.17	E agyanino naddamit sey langita nassapit si, “Antuyawino iiddukangkuwa Abbingku, e maanggammakungke gafu sikwana.”
MAT.4.1	Wasinoy, nefuyutino Espirituwi Diosi Jesus sino kalolowat takesi tutunggungani Ofag. 
MAT.4.2	Nagyan sinay si appatafuluwa aw anna gafiya awana nangapangngan, kasena giniꞌneno bisinna. 
MAT.4.3	Wasinoy, i Ofagga gumatutunggung, inang sino agyananna e sinapiꞌna si, “Nu gakkuruwa ikkeno Abbingi Dios, sapitannu sitawira a batu ta mabbaliyera si maakkan.”
MAT.4.4	Udde sinombati Jesus si, “Ino neturakka sapiti Dios, kunna si, ‘Bakkampelanga maakkanino ikabiyangnga tolay, nu ammena kappelud ammina sapitanni Dios.’ ”
MAT.4.5	Wasinoy, nefuyuti Ofag sino nadiosana lubbuna Jerusalem, e nepataꞌdangnga sino kataꞌnangana partineno Templo. 
MAT.4.6	E sinapiꞌna si, “Nu gakkuruwa ikkeno Abbingi Dios, mallattuka, se ino neturakka sapiti Dios, kunna si, ‘Tunanni Diosino anghelnera ta imutandaka. Tampayandaka takesi ammeka makalowan, massiki ino takkim, ammena mabiyaran si batu.’ ”
MAT.4.7	Sinombati Jesus si, “On, udde kungkappayino neturakka sapiti Dios si, ‘Ammemmad dalodawanni Dios a Afum.’ ”
MAT.4.8	Waso kunnenoy, nefuyuti Ofag sino ataꞌnangingke a kulud, e nepaitana sikwaneno ammina patturayan sito lubag andino kinabaꞌnanda. 
MAT.4.9	Sinapiti Ofag sikwana si, “Iyaꞌdak ammin yaw sikwam, nu mamalitugga a maddayaw sikwak.”
MAT.4.10	Udde sinombati Jesus si, “Manokan, Ofag! Se kunnino neturakka sapiti Dios si, ‘Dayawandonaddi Dios a Afuyu, e antu nabbelangino passerbiyandaw.’ ”
MAT.4.11	Wasinoy, inanawi Ofag, e agyanino anghelira a ginamwanga nanuffun sikwana.
MAT.4.12	Wasin diningngaggi Jesus si nabaluri Juan, nuli sey Galilea. 
MAT.4.13	Udde ammena nagyan sey Nazaret, nu ammena lud nagyan sey Capernaum, tata a lubbun sino dappiꞌna bebaya Galilea a sakoꞌmeno Zabulon anni Neftali siꞌin. 
MAT.4.14	Nakwenay takesi meyakkuruwino nepasapiti Dios ki Isaias a gumalabbunna a kunna si,
MAT.4.15	“Ino Galilea a sakopanneno lubagga neyaꞌda sino gakagakara Zabulon andino gakagakara Neftali, a agyan sino dappiꞌna bebay anna sino dammangngeno wawwanga Jordan, antuweno agyananino bakkannira a Judyu. 
MAT.4.16	Ino tolayira sinay, kunnangke nagyanira si lammuk, e kunnangke ireno iturayanino katayan se awana innanamanda. Udde sitoya, aneno itanda a natuyagga sirwat, se nappadda sikwareno mappabaggaw sino nakanda.”
MAT.4.17	Mangiyafu sinoya tiyempo, neyafuwi Jesus a nanulduwa nassapit si, “Iboboliyuweno liwaꞌdaw, se araꞌniyennino patturayani Dios.”
MAT.4.18	Wasin tata si awa malallakari Jesus sino dappiꞌna bebaya Galilea, initaneno adwera a makkolaka gumattafukul, da Simon a isamura si Pedro anni Andres. Iyattureno tafukulda sino bebay. 
MAT.4.19	Sinapiꞌna sikwara si, “Mebulungkayu sikwak takesi pabbalintakayu si kunnangke gumattafukul si tolay.” 
MAT.4.20	Inanawandanino tafukulda e nebulunira sikwana.
MAT.4.21	Sin aggelakalakarira sino dappiꞌna bebay, inita kappayi Jesusino adwera a makkolaka da Santiago anni Juan a abbingira i Zebedeo. Aggatakayira andino amara sino abanda a mamiyangay sino tafukulda. Inayanira i Jesus, 
MAT.4.22	e inanawandanino abanda annino amara, e nebulunira pay ki Jesus.
MAT.4.23	Nannodoyuwi Jesus sino ammina probinsiya a Galilea. Nanuldu sino sinagogera a nangibanyag sino nalawara damag mappeafu sino patturayani Dios, anna nepabbattunoyneno naddadaruma a takitino tolayira annino dyaꞌna baggira. 
MAT.4.24	Naddinnamino inangangwa i Jesus kiyad sino ammina sakopanna Siria, antuweno inang sikwaneno ammina matakitira anna madyatanira a kakunneno naunagganira si narakkatta espiritu, ino makkoldatira, andino paralitikuwera, e nepabbattunoynera ammin. 
MAT.4.25	Antu gafuna, odduweno tolayira a dinandan sikwana a naggabwat sey Galilea, sino Tafuluwera a Lubbun, sey Jerusalem anda sino korwana lubbunna Judea, anna sino dammangngeno wawwanga Jordan.
MAT.5.1	Wasin inita i Jesusino odduwera a tolay, nanuꞌdu sino kulud
MAT.5.2	sinulduwannera. Sinapiꞌna si,
MAT.5.3	“Nagasatino tolayira a nangammu si pobiriyera si pannakadama a mangwa sino panggammani Dios nu awana duffunna, se ireno mesapat sino patturayanna.
MAT.5.4	“Nagasatino tolayira a aggalowino nakanda gafu sino liwaꞌda, se bambayanira i Dios.
MAT.5.5	“Nagasatino tolayira a tagatulutuluk sino urayi Dios, se appandeno ammina nekariyi Dios.
MAT.5.6	“Nagasatino tolayira a kabbatandangke a mangwa sino panggammani Dios, se duffunannera ta damara a akwan.
MAT.5.7	“Nagasatino tolayira a naallak si korwana tolay, se allakkannira payi Dios.
MAT.5.8	“Nagasatino tolayira a pittatandeno nakanda sino panggammani Dios, se iraneno mita sikwana.
MAT.5.9	“Nagasatino tolayira a mappalawad sino abbafarulunino kasittolerera, se ireno mebilang si abbingi Dios.
MAT.5.10	“Nagasatino tolayira a melopalopet gafu sino pangwanda sino panggammani Dios, se ireno mesapat sino patturayani Dios.
MAT.5.11	“Nagasakkayu nu atatallandakayu anna ilopalopeꞌdakayu anna massisiriyera a massapit si narakkat mappeafu sikwayu gafu sino nanguruwandaw sikwak. 
MAT.5.12	Nappelaloꞌnaddino aanggandaw, se nedadumeno labuta neyimfuni Dios para sikwayu sey langit. Se ino akwanda sikwayu, kunna kappayino nakwa sino gumalabbunira siꞌin.”
MAT.5.13	Netuluyi Jesus a nanuldu, e sinapiꞌna si, “Ikkayuwa mangurug sikwak, meyampariggayu si asin sino tolayira sito lubag. Udde nu dumantakino asin, ammenan dama a pulinino peꞌna. Awaninna serbina, e metakkubbelang, e pappipiꞌnakkanino tolayira.
MAT.5.14	“Meyampariggayu kappay si sirwata mawwaldag sino nakammino tolayira sito lubag. Dandammandonad si nu wara lubbun sino munsuꞌnga kulud, maitengke. 
MAT.5.15	Awangkappay misigi si lampara, kasena abbungan si angngoran, nu ammena lud itappat takesi itan amminino taabbalayireno akwanda. 
MAT.5.16	Kunna kappay sikwayu, ammeyu nad ilefangngino angnguruddaw, nu ammekayu lud massirwat sino ammina tolay takesi itandeno nalawara aggangwayu e dayawandana i Dios a Amayu sey langit.”
MAT.5.17	Wasinoy, sinapikkappayi Jesus si, “Ammeyu nad dandamman si inangngak sitawa mappaibbat sino lintiyi Moises andino neturakkino gumalabbunira, nu ammek lud inang sitaw takesi iyakkuruggu amminino sinapiꞌda.
MAT.5.18	Sapitangku gakkurug sikwayu, makkiyad si ana kepay yo lubag anna langit, awaningke a maawan sino ana sino lintiyi Dios, massiki ino kaabbafawana sapit onnu ino tata a tulnak, kiyad si makwa amminino gakkaddi Dios. 
MAT.5.19	Antu gafuna, nu wara ammena mangurug sino massiki kalalampawana lintiyi Dios anna antu kappayino itulduna sino korwanira, mebilang si kaabbafawan sino patturayani Dios. Udde ino mangurug sino lintig e itulduna pay sino korwanira, mebilang si napatig sino patturayani Dios. 
MAT.5.20	Udde ino sapitangku sikwayu, nu ammena nalawarino annuntuldaw sino lintiyi Dios amma sino Fariseowera andino mammesturuwerana lintig, ammeyu dama a mesapat sino patturayanna.”
MAT.5.21	Netuluyi Jesus a nassapit si, “Diningngaddawino lintiya netuldu sino gagginafutamira siꞌina kunna si, ‘Ammeyu nad mamapatay, se nu wara mamapatay, maukum anna makastigu.’ ” 
MAT.5.22	Udde sapitangku sikwayu si massiki ino mabbungut sino bulunna, maukum. Ino kappay tolaya miyatatal sino bulunna a massapit si “Awana serbim,” medarum sino pangafuwanira. E ino kappay tolaya massapit sino bulunna si “Abulka,” meannunga metakkub sino afuy sey infiyernu. 
MAT.5.23	Antu gafuna, nu wara iwaꞌlaꞌnu ki Dios sino Templo, e madandammu si wara pabbungutanino bulunnu sikwam, 
MAT.5.24	anawannu naddino iwaꞌlaꞌnu ta umangka abbu mappakoli sikwana, kaseka muliya miwaꞌlat sino iyaꞌdam ki Dios.
MAT.5.25	“Nu wara manggamma midarum sikwam, malangka nadda umang sikwana ta makitatabbagga si nalawad. Se nu ammem akwan inay, idarundaka sino huwes, iyalawaꞌdaka sino pulis, e mabalugga. 
MAT.5.26	Sapitangku gakkurug sikwam si ammeka makalawan sino abbaluran kiyad si mapagan amminino multam.”
MAT.5.27	“Diningngaddokappayino netuldu sikwara siꞌina kunna si, ‘Ammekayu nad makibulun.’ 
MAT.5.28	Udde sapitangku sikwayu si ino lalakiya aggatulang si tata a bafay e imallanna, nakibulunin sino nakamma. 
MAT.5.29	Antu gafuna, nu ino diwanana matamino paggabwatanino palliwatannu, tuketannu ta itakkummu. Se tawwareno makuranganino baggim si tata a partina amma sino awana kurangnga, e metakkugga sey infiyernu. 
MAT.5.30	E nu ino kappay diwanana kamaꞌnuweno paggabwatanino palliwatannu, gaꞌbungannu ta itakkummu. Se tawwareno makuranganino baggim si tata a partina amma sino awana kurangnga, e metakkugga sey infiyernu.”
MAT.5.31	“Aneno netuldu kappay siꞌina kunna si, ‘Nu ikatwayino lalakiyeno atawana, wara nad iyaꞌdana si turakka pangitan si nakkatwayira.’ 
MAT.5.32	Udde sapitangku sikwayu si ino lalakiya mikatway sino atawana a bakkanna gafu sino akkibulunino bafay, malliwat. Liwaꞌna se pabbalinneno bafay si makibulun nu mangatawa kappay. E ino kappay lalakiya mangatawa si bafaya nekatway, makaliwakkappay si makibulun.”
MAT.5.33	Netuluyi Jesus a nassapit si, “Diningngaddokappayino netuldu sino gagginafutamira siꞌina kunna si, ‘Ammeyu nad talekkuranino nekariyu, nu ammeyu lud akwanino nesapatayu ki Afu Dios.’ 
MAT.5.34	Udde sapitangku sikwayu si ammekayungke nad massapata. Ammeyu nad passapateno langit, se antuweno pattutturani Dios a matturay. 
MAT.5.35	Ammeyu naggappay passapateno lubag, se antuweno pitappatanna sino takkina, onnu sey Jerusalem, se antuweno lubbunino madandayawa Ari. 
MAT.5.36	Massiki ino uluyu, ammeyu nad passapata, se ammeyu dama a mapafuraw onnu mapangisitino massiki tata a abuk. 
MAT.5.37	Unoyneno sapitandopelang si ‘On’ onnu ‘Awan’ nu gakkuruwino ikarim, a ammeyu dagganan si sapata. Se massiki sanna a idaggayu, maggabwat ki Satanas.”
MAT.5.38	“Diningngaddokappayino netuldu sikwara siꞌina kunna si, ‘Nu wara tolaya manaral sino mateno bulunna, madaral kappenaddino matana, e ino tolaya manammu sino ngipanneno bulunna, matammu kappenaddino ngipanna.’ 
MAT.5.39	Udde sapitangku sikwayu si ammeyu nad mabbalat sino tolaya mangwa si narakkat sikwayu, nu ammekayu lud mangwa si kunnayaw. Nu wara manipang sino diwanana paringilnu, purayannu ta sipangnganna kappayino tafik. 
MAT.5.40	Nu wara kappay midarum sikwam e pammultandaka si barawasi, nalawad nu iyaꞌdangkappayino tafalnu. 
MAT.5.41	E nu wara mipatut sikwama mattu sino iggamma si takilometro, massiki nu attunnu si adwa a kilometro. 
MAT.5.42	Nu wara marang sikwam, aꞌdannu, e nu wara kappay takkawanda sikwam, ipatakkom.”
MAT.5.43	“Diningngaddawino netuldu sikwara siꞌina kunna si, ‘Anggammandonaddino bafulundawira, e kababannaddawino kakkalingayuwera.’ 
MAT.5.44	Udde sapitangku sikwayu si anggammandonaddino kakkalingayuwera anna ikararandonaddino milopalopetira sikwayu 
MAT.5.45	takesi maita si gakkuruwa abbindakayuwi Dios a Amayu sey langit. Se i Dios, pawwaldanneno sinag sino ammina tolay, massiki narakkat onnu nalawad. E purananna kappay sino lubangngeno naggaddangnga tolay anna sino lubangngeno bakkanna naggaddang. 
MAT.5.46	Nu ino pelang manggam sikwayuweno anggammandaw, wara kad labuꞌdaw ki Dios? Massiki ino naingapira a gumattuki si buwit, damara a mangwa si kunnenoy. 
MAT.5.47	E nu ino pelang bafulundawireno pannakammandaw, sanna kaddino kedumandaw sino korwanira? Se massiki ino ammera nangammu ki Dios, akwanda kappay. 
MAT.5.48	Kunnantu, maawag si awaningke nad pakkuranganino kinalawaddaw a kakunna i Dios a Amayu sey langita awaningke pakkuranganna.”
MAT.6.1	Netuluyi Jesus a nanuldu, e sinapiꞌna si, “Itandaw ta nu mangwakayu si nalawad, ammeyu ipaita si korwana tolay ta dayawandakayu. Se nu kunnenoyino akwandaw, awanna a labut si appandaw sino Amayu sey langit.
MAT.6.2	“Antu gafuna, nu mangaꞌdakayu si duffun sino mekakallakkira, ammeyu nad ipaita anna padidingngag sino odduwera a tolay a kunneno akwanino massasannakammira sino paddayawanda anna sino dalan takesi medayawira. Sapitangku gakkurug sikwayu, inapparanino labuꞌda. 
MAT.6.3	Antuweno nu wara iyaꞌdayuwa duffun sino mekakallakkira, ammeyu nad ipakaammu massiki sino kadikkattana bulundaw 
MAT.6.4	takesi awana makaammu. E ino Amayuwa mita sino akwandawa amme maammuwanna korwan, antuneno mallabut sikwayu.”
MAT.6.5	Sinapikkappayi Jesus si, “Nu makkararaggayu, ammeyu nad tuntulannino aggangweno massasannakammira, se angganda a mattaꞌdagga makkararag sino paddayawanda anna sino paddarambalanna dalan takesi itanireno tolayira. Sapitangku gakkurug sikwayu, inapparanino labuꞌda. 
MAT.6.6	Udde nu makkararagga, sumallungka si kwartuwa ikka pelang e iyakuꞌnu, kaseka makkararag ki Dios a Amama ammena maita. E ino Amama mita sino akwannuwa amme maammuwanna korwan, antuneno mallabut sikwam.
MAT.6.7	“Sino kararaddaw, ammeyu nad musar si odduwa sapit a ammeyu dandammannino anggamma sapitan a kunneno aggangweno tolayira a amme nangammu ki Dios. Kunnenayino akwanda se aridda si madingngaggino kararadda gafu sino kasoddangnga. 
MAT.6.8	Ammeyu tuntulannino akkararadda, se ino Amayu sey langit, ammunanino awandaw liyeyuwa arangngan. 
MAT.6.9	Kunna nad yawino akkararaddaw.
MAT.6.9	‘Amamiya ana sey langit, madayonaddino ngannu. 
MAT.6.10	Gumamwangngaddino patturayannu takesi maangweno panggammannu sito lubag a kunna pay sey langit. 
MAT.6.11	Iyaꞌdam sikwamiyeno makkana awammi sitawa aw. 
MAT.6.12	Pakomannuweno liwaꞌmi se pakomammi kappayino nakaliwatira sikwami. 
MAT.6.13	Duffunandakami ta ammekami matutunggungan e meliꞌwakami si narakkat.’
MAT.6.14	“Pakomandonaddino malliwatira sikwayu, se nu pakomandawira, pakomandakayu kappayino Amayu sey langit. 
MAT.6.15	Udde nu ammeyuwera pakoman, amme kappay pakomanino Amayu sey langitino liwaꞌdaw.”
MAT.6.16	Wasinoy, netuluyi Jesus a nassapit si, “Nu mallantangkayuwa mangngan, ammeyu nad ipaita si malowino nakandaw a kunneno aggangweno massasannakammira. Se angganda a maammuwanino tolayira si mallantangira a mangngan, antuweno ammera lawarannino baggira. Sapitangku gakkurug sikwayu, inapparanino labuꞌda. 
MAT.6.17	Antuweno nu mallantangkayuwa mangngan, mimutungkayu nad anna mallagguggayu 
MAT.6.18	takesi awana mangammu si mallantangkayuwa mangngan, nu bakkampelangi Dios a Amayuwa ammena maita. Se itanneno akwandawa amme maammuwanna korwan, e antuneno mallabut sikwayu.”
MAT.6.19	“Ammekayu mampat si kinabaꞌnang sito lubag, se ino kukwayu sitaw, naladda a darallanna anay anna lati,
MAT.6.20	Antu nad ampattandawino kinabaꞌnandaw sey langit, se awaningke a anay anna latiya manaral, e awangkappaya makatallunga mattakaw. 
MAT.6.21	Se ino kakuruwanna, ino agyananino kinabaꞌnandaw, antu kappayino agyananino nakandaw.”
MAT.6.22	“Ino mata, antuweno gumansirwaꞌna baggi. Antu gafuna, nu nalawarino angngitama mittata ki Dios, mabbaggawino nakammu. 
MAT.6.23	Udde nu narakkattino angngitam, lammuk kepayino nakammu. Nu sapitannu si nabaggawino nakammu gampade lammuk kena, gakkuruwingke a lammuk kepay.”
MAT.6.24	“Ammena dama nu adweno amungngeno tata a aripan, se anggammanneno tata e kaꞌganneno tata. Ipatingnga kappayino tata e balawanneno tata. Antu gafuna, nu pirakino aggadandammandaw, ammeyu dama a mangwa sino panggammani Dios.
MAT.6.25	“Antuwenayino gafuna a sapitangku sikwayu, ammekayu nad maddararan mappeafu sino akkanan, inuman, anna barawasiya maawaddaw sitawa biyag. Ammena kad napatiyino biyag anna baggiyu amma sino akkanan anna barawasi? Gafu se i Diosino nangaꞌda sino biyag anna baggiyu, antu kappayino mangaꞌda sino maawaddaw. 
MAT.6.26	Dandammandonaddino mammanukira. Ammera mabbini, ammera ke maggani, awangkappay alanda a pimfunan sino akkananda, udde ammera mabisinan, se iyaꞌdeno Amayu sey langitino akkananda. Ammekayu kad napatig amma sino mammanukira? 
MAT.6.27	Ino tata kappay, massiki nu makadaradararangkayu, ammeyu dama a pasoddannino biyaddaw si massiki taorappelang.
