MAT.1.1	Nkanda ya mbutukulu ya Yesu Klisto, mwana ya Davidi, mwana ya Abalahami. 
MAT.2.6	Nge Betelemi, mu nsi ya Yuda, nge ikele fioti ve nakati bamfumu ya Yuda, kadi mu nge tabasika nyadi ya tavanda mvungi ya bantu ya mono Isaeli. 
MAT.2.7	Buna Elode bingaka banduenga mu kinsweki, ye yuvulaka bau mbote ntangu nki mbwetete monikaka.
MAT.2.8	Yandi fidisaka bau ku Betelemi, ye tubaka: Kwenda kusosa mbote mwana fioti, bu beno imene kumona yandi, twala mono ndinga, ye mono mpe lenda kwiza kusambila yandi.
MAT.2.9	Kansi bu bau imene kuwa ntinu, bau kwendaka, tala, mbwetete ya bau monaka mu este kwendaka nantwala na bau, ti yo kwizaka kutelema va zulu ya sika ya mwana fioti vandaka.
MAT.2.10	Bu bau monaka mbwetete, bau yangalalaka na kiese ya luta mingi.
MAT.2.11	Bau kotaka mu nzo ye monaka mwana fioti ye Malia, ngudi ya yandi; bau fukamaka ye sambilaka yandi ye kangulaka bima ya bau ya ntalu, bau pesaka yandi matabisi, wola ye bima ya mfwitila mwisi ye mile. 
MAT.2.12	Bu Nzambi imene kuluengisa bau mu ndozi kuvutuka kwa Elode ve, bau kwendaka nzila yankaka ku ntoto ya bau.
MAT.2.13	Bu bau imene kwenda, tala, wanjo ya Mfumu monikaka kwa Yosefi mu ndozi, kutuba: Telema, baka mwana fioti ye ngudi ya yandi, ye tinina ku Ngipiti, ye vanda kuna ti mono tuba kwa nge, kadi Elode tasosa mwana fioti kufwa yandi.
MAT.2.14	Yandi telemaka ye bakaka mwana ye ngudi ya yandi mu mpimpa, ye kwendaka ku Ngipiti.
MAT.2.15	Bau vandaka kuna ti Elode kufwaka, na yo lenda kumaniswa ya Mfumu tubaka mu mbikudi, kutuba: Mono imene kubinga Mwana ya mono tuka, Ngipiti. 
MAT.2.16	Bu Elode zabaka banduenga sekaka yandi, yandi vandaka na makasi mingi, yandi fidisaka kufwa bana babakala yonso mu Betelemi ye ndambu yonso ya mfinama, bau ya mvu zole ye ya konda yau, bonso vandaka ntangu ya yandi yuvulaka banduenga mbote.
MAT.2.17	Buna mambu ya tubwaka mu Yelemia mbikudi maniswaka, yandi tuba:
MAT.2.18	Ndinga kuwakana mu Lama. Bau kudila ye kunionga mingi; Lakeli kudila bana ya yandi, yandi zolaka kubombwa ve, kadi bau ikele ve.
MAT.2.19	Bu Elode imene kufwa, tala, wanjo ya Mfumu monikaka kwa Yosefi mu ndozi mu Ngipiti, kutuba:
MAT.2.20	Telema, baka mwana ye ngudi ya yandi, kwenda kukota mu nsi ya Isaeli, kadi bau ya sosaka moyo ya mwana fioti imene kufwa.
MAT.2.21	Yandi telemaka ye bakaka mwana ye ngudi ya yandi ye kwizaka mu nsi ya Isaeli.
MAT.2.22	Bu yandi kuwaka Alakelao ikele kuyala mu Yuda mu sika ya tata ya yandi Elode, yandi titaka kwenda kuna; bu Nzambi imene kuluengisa yandi mu ndozi, yandi kwendaka mu ndambu ya Ngalili,
MAT.2.23	ye kwizaka kuvanda mu bwala ya bingwa Nazaleti, na yo lenda kumaniswa ya tubwaka mu bambikudi: Yandi tabingwa mwisi Nazaleti.
MAT.3.1	Mu bilumbu yina Yoane Mbotiki kwizaka kusamuna mu nsi ya mpamba ya Yuda, kutuba: 
MAT.3.2	Pindula mabanza, kadi kimfumu ya zulu ikele mfinama. 
MAT.3.3	Kadi yai ikele yandi ya tubwaka mu mbikudi Yesaya, kutuba: Ndinga ya mosi kuboka mu nsi ya mpamba: Yidika nzila ya Mfumu ye sungika tunzila ya yandi. 
MAT.3.4	Yoane kibeni vandaka na mvwatu ya mika ya mbizi yanene ya bingwa kamela ye mukaba ya mukanda va luketo ya yandi; madia ya yandi vandaka bampasu ye mbwiki ya nseke. 
MAT.3.5	Buna Yelusalemi ye Yuda yonso ye nsi yonso ya zunga Yodani basikaka kwa yandi.
MAT.3.6	Bau botikwa kwa yandi mu nzadi ya Yodani, ye bau ndimaka masumu ya bau. 
MAT.3.7	Kansi bu yandi monaka bafalisi ya basaduki mingi kwiza ku mbotika, yandi tubaka kwa bau: Beno bana ya banioka ya mbi, nani longaka beno kutina makasi ya ikele kwiza ? 
MAT.3.8	Sambu na yai, sala mabundu ya lunga mpindulu ya mabanza; 
MAT.3.9	Ye banza ve kutuba mu beno kibeni: Beto ikele na tata, ikele Abalahami, kadi mono tuba kwa beno: Nzambi lenda kufulukisa bana na matadi yai kwa Abalahami. 
MAT.3.10	Ntangu yai soka imene kutulwa na mianzi ya banti; konso nti ya buta mabundu ya mboto ve, tazengwa ye loswa mu tiya. 
MAT.3.11	Mono ikele kubotika beno mu masa mu mpindulu ya mabanza, kansi yandi ya kwiza nanima na mono luta mono mu ngolo, mono lunga ve kunata nsampatu ya yandi. Yandi tabotika beno mu Mpeve Yanlongo ye mu tiya. 
MAT.3.12	Vevomono ya yandi ekile mu diboko ya yandi, yandi tasukula mbote sika ya yandi ya vevila; yandi tayonzika nkeni ya ble ya yandi mu lundulu, kansi mpusu yandi tayoka mu tiya ya zima ve. 
MAT.3.13	Buna Yesu katukaka na Ngalili ye kwizaka kwa Yoane ku Yodani kubotukwa yandi. 
MAT.3.14	Kansi Yoane zolaka kubuya yandi, kutuba: Mono fwiti kubotukwa na nge, ye nge ikele kwiza kwa mono ?
MAT.3.15	Yesu vutulaka kutuba kwa yandi: Bika yo salwa ntangu yai, kadi yo lunga beto kulungisa lunungu yonso. Buna yandi buyaka ve.
MAT.3.16	Bu Yesu botukwaka, nswalu yandi basikaka tuka masa, tala, mazulu kangukaka, yandi monaka Mpeve ya Nzambi kulumuka mu kifwani ya yembe, ye kwiza va yandi. 
MAT.3.17	Tala, ndinga katukaka tuka mazulu, kutuba: Yai ikele Mwana ya mono ya zolwa, ya yangidisa mono. 
MAT.4.1	Buna Yesu tombolwaka na Mpeve ku nsi ya mpamba, kuyunswa na diable. 
MAT.4.2	Bu yandi imene kubuya madia bilumbu makumi iya ye mpimpa makumi iya, buna yandi vandaka na nzala. 
MAT.4.3	Muyunsi kwizaka ye tubaka kwa yandi: Kana nge ikele Mwana ya Nzambi, tuba ku matadi yai kupinduka mampa.
MAT.4.4	Yandi vutulaka ye tubaka: Yo ikele kusonama: Muntu tavanda na moyo sambu na mampa kaka ve, kansi na ndinga yonso ya basika tuka munoko ya Nzambi. 
MAT.4.5	Buna diable nataka yandi ku bwala ya nlongo, ye tulaka yandi va nludi ya tempelo,
MAT.4.6	ye tubaka kwa yandi: Kana nge ikele Mwana ya Nzambi, dilosa nansi, kadi yo ikele kusonama: Yandi tasikidikisa banjo ya yandi sambu na nge, bau tanata nge mu maboko ya bau, na nge tasakuba dikulu ya nge va ditadi ve. 
MAT.4.7	Yesu tubaka kwa yandi: Yo ikele kusonama diaka: Nge tayunsa Mfumu Nzambi ya nge ve, 
MAT.4.8	Diable nataka yandi diaka va mongo ya nda mingi, ye songaka yandi bimfumu yonso ya nsi ye nkembo ya yau,
MAT.4.9	ye tubaka kwa yandi: Yai yonso mono tapesa kwa nge kana nge fukama ye sambila mono.
MAT.4.10	Buna Yesu tubaka kwa yandi: Satana, katuka awa, kadi yo ikele kusonama: Nge fwiti kusambila Mfumu Nzambi ya nge, yandi kaka nge fwiti kusadila.
MAT.4.11	Buna diable bikaka yandi, tala, banjo kwizaka kusadila yandi.
MAT.4.12	Bu yandi kuwaka, bau imene kusimba Yoane, yandi kwendaka ku Ngalili; 
MAT.4.13	yandi bikaka Nazaleti ye kwizaka kuvanda mu Kapenaumi ya ikele mfinama ku mbu, mu ndambu ya Zebuluni ye Nafatali,
MAT.4.14	na yo lenda kumaniswa ya tubwaka mu mbikudi Yesaya, kutuba: 
MAT.4.15	Nsi ya Zebuluni ye nsi ya Nafatali na nzila ya mbu ku simu ya Yodani, ikele Ngalili ya bapaien,
MAT.4.16	bantu ya vandaka mu tombe monaka mwini ya nene, bau ya vandaka mu sika ye kini ya lufwa, kwa bau mwini imene kwiza.
MAT.4.17	Tuka na ntangu yina, Yesu yantikaka kusamuna ye kutuba: Pindula mabanza, kadi kimfumu ya zulu ikele mfinama. 
MAT.4.18	Bu yandi tambulaka mfinama ku mbu ya Ngalili, yandi monaka bampangi zole, Simoni ya bingwa Petelo, ye Andele mpangi ya yandi, bau vandaka kulosa konde mu mbu, kadi bau vandaka bantambi. 
MAT.4.19	Yandi tubaka kwa bau: Kwiza, landa mono ye mono taki tula beno bantambi ya bantu.
MAT.4.20	Nswalu bau bikaka makonde ye landaka yandi.
MAT.4.21	Tuka kuna bu yandi ikele kwenda, yandi monaka bampangi zole yankaka, Yakobi ye Yoane mpangi ya yandi, bana ya Zebedai mu bota, ye monaka tata ya bau Zebedai, bau yidikaka makonde ya bau; yandi bingaka bau.
MAT.4.22	Nswalu bau bikaka bota ye tata ya bau ye landaka yandi.
MAT.4.23	Yesu kwendaka kutambula mu nsi yonso ya Ngalili, kulonga mu banzo ya bau ya sambilu, ye kusamuna nsamu mbote ya kimfumu, ye kubelula maladi mutindu yonso ye kimbevo yonso nakati na bantu. 
MAT.4.24	Nsangu ya yandi kwendaka mu nsi yonso ya Silia. Bau twalaka kwa yandi bambevo yonso ya vandaka na maladi ye mpasi mpila na mpila, ya bakama na bampeve ya mbi ye bantu ya mbikulu ya ngonda ye bantu ya mianzi; yandi belulaka bau.
MAT.4.25	Bibuka mingi landaka yandi, tuka Ngalili ye Dekapoli ye Yelusalemi ye Yuda ye muna simu ya Yodani. 
MAT.5.1	Bu yandi monaka bibuka, yandi tombokaka va mongo; bu yandi vandaka, banlonguki ya yandi kwizaka kwa yandi.
MAT.5.2	Yandi kangulaka munoko ya yandi ye longaka bau:
MAT.5.3	Kiese ikele na bansukami mu mpeve, kadi kimfumu ya zulu ikele ya bau. 
MAT.5.4	Kiese ikele na bau ya ikele na kiadi, kadi bau tabombwa. 
MAT.5.5	Kiese ikele na banlembami, kadi bau tabaka difwa ya ntoto.
MAT.5.6	Kiese ikele na bau ya ikele na nzala ye kiwini ya lunungu, kadi bau tayukutisawa. 
MAT.5.7	Kiese ikele na bau ya kuwila nkenda, kadi bau tawilwa nkenda.
MAT.5.8	Kiese ikele na bau ya ikele vedila mu ntima, kadi bau tamona Nzambi. 
MAT.5.9	Kiese ikele na bau ya sala yenge, kadi bau tabingwa bana ya Nzambi.
MAT.5.10	Kiese ikele na bau ya zomwa sambu na lunungu, kadi kimfumu ya zulu ikele ya bau. 
MAT.5.11	Kiese ikele na beno, bu bantu finga beno ye zoma beno, ye bu bau tatuba luvunu ye tuba beno ikele mbi sambu na mono. 
MAT.5.12	Vanda na kiese ye yangalala mingi, kadi nsendo ya beno mu zulu ikele nene, sambu na mpilayai bau zomaka bambikudi ya vandaka nantwala ya beno.
MAT.5.13	Beno ikele mungwa ya ntoto; kansi kana mungwa katuka nzenzo, mu nki yo tazenzulwa diaka ? Yo ikele na mfunu diaka ve, kansi kuloswa ye bantu diata yo na makulu. 
MAT.5.14	Beno ikele mwini ya nsi. Bwala ya ikele va mongo lenda swekwa ve. 
MAT.5.15	Mpe bantu kwika mwinda ve ye tula yo nansi ya kitunga, kansi va meza ya mwinda, ye yo kienzudila bantu yonso ya ikele mu nzo. 
MAT.5.16	Mpilayai, bika mwini ya beno kienzula nantwala ya bantu, na bau lenda kumona bisalu ya beno ya mbote, ye kembila Tata ya beno ya ikele mu zulu. 
MAT.5.17	Banza ve mono kwizaka kufwa nsiku keti bambikudi; mono kwizaka ve kufwa yo, kansi kulungisa yo.
MAT.5.18	Kadi kieleka mono tuba kwa beno: Ti zulu ye ntoto mana, kisoni fioti keti kitini mosi ya kisoni takatuka na nsiku ve, ti mambu yonso maniswa. 
MAT.5.19	Konsonani ya takufwa nsikudukusu mosi ya fioti yai ye longa bantu mpilayai, yandi tabingwa ya fioti mu kimfumu ya zulu; kansi konsonani ya sala yau ye longa yau, yandi tabingwa ya nene mu kimfumu ya zulu. 
MAT.5.20	Kadi mono tuba kwa beno: Kana lunungu ya beno luta ve yina ya basoniki ye bafalisi, beno takota tafioti ve mu kimfumu ya zulu. 
MAT.5.21	Beno imene kuwa na yo tubwaka kwa bankulu: Nge takufwa muntu ve, ye konsonani ya kufwa muntu tabaka dikambu ya mfundusu. 
MAT.5.22	Kansi mono tuba kwa beno: Konsonani ya ikele na makasi na mpangi ya yandi, yandi ikele mu mfundusu ya yo; ye konsonani ya tuba kwa mpangi ya yandi: Nge nzoba, yandi tabaka dikambu ya bamayala; kansi konsonani ya tuba: Nge nzoba, yandi tabaka dikambu ya bilungi ya tiya. 
MAT.5.23	Sambu na yai, kana nge ikele kutula nkailu ya nge va zikwa, ye kuna nge bambuka na mpangi ya nge ikele na nge mambu, 
MAT.5.24	bika nkailu ya nge kuna nantwala ya zikwa, ye kwenda ntete kuyidika mambu na mpangi ya nge, buna kwiza kupesa nkailu ya nge.
MAT.5.25	Yidika mambu na mbeni ya nge nswalu, bu nge ikele na yandi mu nzila, keti mbeni ya nge tayekula nge kwa mfundusu, ye mfundusu kwa polisi, ye nge tatulwa mu boloko. 
MAT.5.26	Kieleka mono tuba kwa nge: Nge tabasika kuna ve, ti nge futa mfuka yonso, na dikuta mosi bika ve.
MAT.5.27	Beno imene kuwa yina ya tubwaka: Sala bizumba ve. 
MAT.5.28	Kansi mono tuba kwa beno: Konsonani ya tala nkento mu lusolo ya mbi, imene kusala bizumba na yandi mu ntima ya yandi. 
MAT.5.29	Kana disu ya nge ya kibakala tesisa nge sakuba, katula yo ye losa yo; kadi yo luta mbote na kiela mosi ya nitu ya nge kufwa keti nitu ya nge yamvimba loswa mu bilungi. 
MAT.5.30	Kana diboko ya nge ya kibakala tesisa nge sakuba, zenga yo ye losa yo, kadi yo luta mbote na kiela mosi ya nitu ya nge kufwa keti na nitu ya nge yamvimba loswa mu bilungi.
MAT.5.31	Yo tubwaka diaka: Konsonani ya bika nkento ya yandi, bika yandi pesa yandi nkanda ya kufwa makwela. 
MAT.5.32	Kansi mono tuba kwa beno: Konsonani ya bika nkento ya yandi, kana yo ikele ve sambu na bizumba, yandi kitula yandi nkwa bizumba, ye konsonani ya kwela na yandi, bu yandi imene kukatulwa, yandi sala bizumba. 
MAT.5.33	Diaka beno imene kuwa na yo tubwaka kwa bankulu: Kudia ve ndefi ya luvunu, kansi nge tasadila Mfumu ndefi ya nge. 
MAT.5.34	Kansi mono tuba kwa beno: Kudia ndefi ta mbala mosi ve, ya zulu ve, kadi yo ikele kiti ya nkembo ya Nzambi.
MAT.5.35	Kudia ndefi ve ya ntoto kadi yo ikele mfiduku ya makulu ya yandi, ye ya Yelusalemi ve, kadi yo ikele mbanza ya Ntinu ya nene. 
MAT.5.36	Kudia ve ndefi na ntu ya nge, kadi nge lenda ve kukitula nsuki mosi mpembe keti ndombe.
MAT.5.37	Bika mambu ya beno vanda: E, e, ve, ve; konso nki ya luta yai katuka na nkwa mbi. 
MAT.5.38	Beno imene kuwa na yo tubwaka: Disu na disu ye dinu na dinu. 
MAT.5.39	Kansi mono tuba kwa beno: Buya ve yandi ya ikele mbi, kansi konsonani ya bula nge na bundi ya kibakala, pindudila yandi yankaka mpe. 
MAT.5.40	Konso muntu ya zola kwenda na nge kwa mfundusi ye baka kinkutu ya nge, bikila yandi mpe kazaku ya nge.
MAT.5.41	Konsonani ya tambudisa nge kilometela mosi, kwenda na yandi zole.
MAT.5.42	Pesa kwa yandi ya lomba na nge, yandi ya zola kuleva na nge, buya yandi ve. 
MAT.5.43	Beno imene kuwa na yo tubwaka: Zola bamfinangani ya nge, ye vanda na makasi na mbeni ya nge. 
MAT.5.44	Kansi mono tuba kwa beno: Zola bambeni ya beno, ye lombila bau ya zoma beno, 
MAT.5.45	na beno lenda kuvanda bana ya Tata ya beno ya ikele mu zulu, kadi yandi kutelemisa ntangu ya yandi va ya mbi ye va mbote, ye yandi nokisa mvula va ya lunungu ye va konda lunungu,
MAT.5.46	Kadi kana beno zola bau ya zola beno, beno ikele na nsendo nki ? Bamfutisi sala ve mpilayai ? 
MAT.5.47	Kana beno pesa mbote kwa bampangi ya beno kaka, beno sala nki ya luta bankaka ? Bapaien sala ve mpilayai ?
MAT.5.48	Sambu na yai beno vanda ya lunga, bonso Tata ya beno mu zulu ikele ya lunga. 
MAT.6.1	Toma tala, na beno sala ve lunungu ya beno nantwala ya bantu, sambu na kumonikwa kwa bau; kana mpilayai beno ikele na nsendo ve ya Tata ya beno ya ikele mu zulu. 
MAT.6.2	Mpilayai, kana nge pesa matabisi ya nkenda, bula mpungi ve nantwala na nge, bonso bankwa luvunu ikele kusala mu banzo ya sambilu ye mu banzila, na bau lenda kubaka nkembo ya bantu. Kieleka mono tuba kwa beno: Bau imene kubaka nsendo ya bau.
MAT.6.3	Kansi bu nge pesa matabisi ya nkenda, zabisa ve diboko kinkento ya nge ya diboko kibakala ya nge ikele kusala,
MAT.6.4	na matabisi ya nkenda ya nge lenda kuvanda mu kinsweki; ye Tata ya nge ya tala mu kinsweki tavutudila nge. 
MAT.6.5	Bu beno lomba, vanda ve bonso bankwa luvunu, kadi bau zola kutelema ye lomba mu banzo ya sambilu, ye mu fuma ya banzila, na bau lenda kumonika kwa bantu. Kieleka mono tuba kwa beno: Bau imene kubaka nsendo ya bau.
MAT.6.6	Kansi bu nge lomba, kota mu nzo ya nge ya kati, bu nge imene kukanga kielo ya nge, lomba Tata ya nge ya ikele mu kinsweki: Tata ya nge ya tala mu kinsweki tavutudila nge.
MAT.6.7	Kansi bu nge lomba, tuba bituba-tuba ve bonso bapaien sala, kadi bau banza bau takuwilwa sambu na ndinga mingi ya bau.
MAT.6.8	Sambu na yai vanda ve bonso bau, kadi Tata ya beno zaba nsatu ya beno ntete na beno lomba yandi.
MAT.6.9	Sambu na yai beno lomba mpilayai: Tata ya beto ya ikele mu zulu, bika nkumbu ya nge zitiswa; 
MAT.6.10	bika kimfumu ya nge kwiza; bika luzolo ya nge salwa va ntoto bonso mu zulu,
MAT.6.11	madia ya beto ya lumbu na lumbu, pesa beto lumbu yai,
MAT.6.12	vidisa mfuka ya beto bonso beto mpe imene kuvidisa bau ya ikele na beto mfuka,
MAT.6.13	twala beto mu mpukumunu ve, kansi vulusa beto na nkwa mbi. Kadi kimfumu ye ngolo ye nkembo ikele ya nge mvu ya mvu. Amen.
MAT.6.14	Kadi kana beno vidisa masumu ya bantu, Tata ya beno ya zulu tavidisa beno mpe. 
MAT.6.15	Kansi kana beno vidisa ve masumu ya bantu, Tata ya beno tavidisa ve masumu ya beno. 
MAT.6.16	Bu beno buya madia, vanda ve na luse ya ntantu bonso bankwa luvunu, sambu na bau ikele kupindula luse ya bau, na bau lenda kumonika kwa bantu na bau ikele kubuya madia. Kieleka mono tuba kwa beno. Bau imene kubaka nsendo ya bau.
MAT.6.17	Kansi bu nge buya madia, sita ntu ya nge na mafuta ye sukula luse ya nge,
MAT.6.18	na nge tamonika ve kwa bantu, nge ikele kubuya madia, kansi kwa Tata ya nge ya ikele mu kinsweki; ye Tata ya nge ya tala mu kinsweki tavutudila nge.
MAT.6.19	Dibumbila bima ya ntalu va ntoto ve, sika ya banyama ye nkazu ikele kubivisa yau, ye bamwivi ikele kutima ye kuyiba; 
MAT.6.20	kansi dibumbila bima ya ntalu ya beno mu zulu, sika ya banyama ye kubaka matadi ikele kubivisa yau ve, ye bamwivi ikele kutima ye kuyiba ve; 
MAT.6.21	kadi sika ya kima ya ntalu ya nge ikele, kuna ntima ya nge ikele mpe.
MAT.6.22	Mwinda ya nitu ikele disu. Mpilayai kana disu ya nge ikele mbote, nitu ya nge yonso tafuluka na mwini. 
MAT.6.23	Kansi kana disu ya nge ikele mbi, nitu ya nge yonso tafuluka na tombe. Mpilayai kana mwini ya ikele mu nge ikele tombe buna tombe yina ikele kuluta mingi.
MAT.6.24	Muntu lenda ve kusadila bamfumu zole, kadi yandi tavanda na makasi na mosi ye zola yankaka, keti yandi tavanda na mosi ye saula yankaka. Beno lenda ve kusadila Nzambi ye kimvwama. 
MAT.6.25	Sambu na yai mono tuba kwa beno: Vanda na mbanza ve sambu na moyo ya beno, na beno takudia nki, keti beno takunwa nki, keti sambu na nitu ya beno, na beno tavwata nki. Moyo luta madia ve, ye nitu luta mvwatu ve ? 
MAT.6.26	Tala bandeke ya zulu, bau ikele kukuna ve kubuka ve ye kutikisa ve mu lundulu: kansi Tata ya beno ya zulu ikele kudikila bau. Beno luta bau ntalu mingi ve ? 
MAT.6.27	Nani ya beno mu mabanza ya yandi lenda kuyika centimetela makumi tanu ku nda ya yandi ?
MAT.6.28	Sambu ya nki beno vanda na mabanza sambu na mvwatu ? Tala, bintuntu ya nseke, bonso yau kula. Yau sala ve ye tunga bwanda ve.
MAT.6.29	Kansi mono tuba kwa beno, Solomo na nkembo ya yandi yonso vwataka ve bonso mosi ya bayai.
MAT.6.30	Kansi kana Nzambi vwatisa matiti ya nseke mpilayina, ya ikele bubu ye mbazi taloswa mu foloni, buna yandi taluta vwatisa beno, beno bankwa lukwikilu fioti.
MAT.6.31	Sambu na yai vanda na mabanza ve kutuba: Beto takudia nki ? Keti beto takunwa nki ? Keti beto tavwata nki ?
MAT.6.32	Kadi bapaien ikele kusosa bima yai yonso. Kadi Tata ya beno ya zulu, ikele kuzaba na beno ikele na nsatu ya bima yai yonso. 
MAT.6.33	Kansi beno sosa ntete kimfumu ya Nzambi ya lunungu ya yandi, ye bima yai yonso mpe tapeswa kwa beno.
MAT.6.34	Sambu na yai, vanda na mabanza ve ya mbazi, kadi mbazi tavanda na mabanza ya yo mosi. Lumbu ye mbi na yo ikele kulunga.
MAT.7.1	Fundisa ve, ye beno tafunduswa ve. 
MAT.7.2	Kadi na mfundusu ya beno fundisa, beno tafunduswa; ye kitezo ya beno teza yo tatezwa kwa beno. 
MAT.7.3	Sambu ma nki nge mona kanti ya ikele mu disu ya mpangi ya nge, kansi nge tala ve nti ya nene ya ikele mu disu ya nge ? 
MAT.7.4	Keti nki mpila nge tatuba kwa mpangi ya nge: Bika mono katula kanti na disu ya nge, ye tala, nti ikele mu disu ya nge kibeni ?
MAT.7.5	Nge nkwa luvunu, ntete katula nti yanene na disu ya nge kibeni, buna nge tamona mbote kukatula kanti na disu ya mpangi ya nge.
MAT.7.6	Pesa yina ya ikele nlongo kwa bambwa ve, mpe losa ve matadi nzimbu ya beno nantwala ya bangulu, kadi bau tadiata yau nansi ya bitambi ya bau ye pinduka ye lwadisa beno.
MAT.7.7	Lomba ye yo tapeswa kwa beno, sosa ye beno tamona, kunkuta ye yo takangulwa kwa beno. 
MAT.7.8	Kadi konsonani ya lomba tabaka, konsonani ya sosa tamona, konsonani ya kunkuta yo takangulwa. 
MAT.7.9	Muntu nki nakati ya beno, kana mwana ya yandi lomba dimpa, yandi tapesa yandi ditadi ? 
MAT.7.10	Keti kana yandi lomba mbizi ya masa, yandi tapesa yandi nioka ?
MAT.7.11	Buna kana beno ya ikele mbi zaba kupesa bana ya beno matabisi ya mbote, buna Tata ya beno, ya ikele mu zulu taluta kupesa bima ya mbote kwa bau ya lomba yandi ?
MAT.7.12	Sambu na yai, konso nki ya beno zola bantu kusadila beno, yina beno sadila bau mpe, kadi yai ikele nsiku ye bambikudi. 
MAT.7.13	Kota mu mwelo ya fioti, kadi mwelo ikele nene ye nzila ikele nene ya kulumuka ku lufwa, ye mingi ikele kukota muna.
MAT.7.14	Kadi mwelo ikele fioti ye nzila ikele fioti ya twala ku moyo, kansi ndambu ikele kumona yo.
MAT.7.15	Dikeba sambu na bambikudi ya luvunu, ya kwiza kwa beno mu mvwatu ya mameme, kansi nakati bau ikele bambizi ya makasi. 
