MAT.1.1	ایسّا مَسیه، 
MAT.2.20	پرێشتگا گوَشت: «پاد آ، چُکّ و چُکّئے ماتا بزور و پدا وتی مُلک، اِسراییلا پِر بترّ. چیا که چُکّئے کُشگئے شئور بُرّۆک
MAT.2.21	نون ایسُّپ پاد آتک و چُکّ و چُکّئے ماتی زرتنت و پدا اِسراییلئے مُلکا آتک. 
MAT.2.22	بله وهدے سهیگ بوت که هیرودیسئے جاها آییئے چُکّ 
MAT.2.23	اۆدا، ناسِرَهئے شهرا جهمنند
MAT.3.1	آ رۆچان، پاکشۆدۆکێن یَهیا آتک و 
MAT.3.2	«چه وتی گناهان پشۆمان ببێت،
MAT.3.3	یَهیا هما اِنت که 
MAT.3.4	یَهیایا چه اُشترئے پُٹان گوَپتگێن پۆشاک گوَرا اَت و پۆستێن کمربندے لانکا بستگ‌اَت. آییئے وَرد و وراک، مَدَگ و گیابانی بێنگ
MAT.3.5	 نندۆک، 
MAT.3.6	وتی گناهانی پشۆمانی‌اِش زاهر کرت و یَهیایا اُرْدُنئے کئورا 
MAT.3.7	وهدے یَهیایا دیست که 
MAT.3.8	انچێن کار بکنێت چه آیان پَدّر ببیت که شما په دل چه وتی گناهان پشۆمان بوتگێت. 
MAT.3.9	چه وتی دلا اے هبرا در بکنێت که ‹ما اِبراهێمئے نَسل و اۆبادگ اێن.› من شمارا گوَشان که هُدا چه اے سِنگ و ڈۆکان هم، په اِبراهێما چُکّ و اۆبادگ پێدا کرتَ کنت. 
MAT.3.10	نون تَپَر تئیار اِنت که درچکان چه بُنا بگُڈّیت و هر درچکے که شَرّێن بَرَ نئیاریت، گُڈّگ و آسا دئور دئیگَ بیت.
MAT.3.11	«من په شمئے گناهانی پشۆمانیا، شمارا گۆن آپا 
MAT.3.12	آییا چه بوچّ و پُگان دانئے جتا کنگ و گیشّێنگا، هَنشۆنے
MAT.3.13	گڑا ایسّا چه 
MAT.3.14	بله یَهیایا جُهد کرت آییا په اے کارا مئیلیت و گوَشتی: «باید من چه تئیی دستا پاکشۆدی بگران، تئو چۆن منی گوَرا کائے؟» 
MAT.3.15	ایسّایا گوَشت: «انّون بِلّ که انچُش ببیت، اے پئیما هُدائے رَزایا سرجمَ کنێن.» گڑا آییا مَنِّت و ایسّایی پاکشۆدی دات. 
MAT.3.16	وهدے ایسّایا پاکشۆدی گپت و چه آپا در آتک، اَناگت آسمانئے دپ پَچ بوت و 
MAT.3.17	چه آسمانا تئوارے آتک: «اے منی دۆستێن بَچّ اِنت و من چه اِشیا باز وشّ و رَزا آن.»
MAT.4.1	رَندا، چه 
MAT.4.2	چِل شپ و چِل رۆچ رۆچگ دارگا رند ایسّا شدیگ بوت. 
MAT.4.3	گڑا شئیتان په آییئے چَکّاسگا آتک و گوَشتی: «اگن تئو 
MAT.4.4	ایسّایا پَسّئو دات: «پاکێن کتابا نبیسگ بوتگ:
MAT.4.5	پدا شئیتانا ایسّا پاکێن شهرا برت و 
MAT.4.6	گوَشتی: «اگن تئو 
MAT.4.7	ایسّایا گوَشت: «هئو، بله چُش هم نبیسگ بوتگ: 
MAT.4.8	نون شئیتانا یک سکّێن بُرزێن کۆهێئے سرا برت و چه اۆدا 
MAT.4.9	گوَشتی: «اگن تئو منی دێما کۆنڈان بکپئے و منا 
MAT.4.10	گڑا ایسّایا گوَشت: «او شئیتان! چه منی دێما گُم بئے! پاکێن کتابا نبیسگ بوتگ: 
MAT.4.11	نون شئیتانا آ یله دات و شت. 
MAT.4.12	وهدے ایسّا سَهیگ بوت که یَهیا دَزگیر کنگ بوتگ، گڑا 
MAT.4.13	ناسِرَهئے شهری یله دات و کَپَرناهومئے شهرا جهمنند بوت. کَپَرناهوم، جَلیلئے مَزَن‌گوَرمئے
MAT.4.14	پمێشکا اے ڈئول بوت که 
MAT.4.17	چه هما وهدا، ایسّایا اے کُلئو و پئیگامئے رسێنگ بُنگێج کرت. گوَشتی: «چه وتی گناهان پشۆمان ببێت چیا که 
MAT.4.18	وهدے ایسّا 
MAT.4.19	ایسّایا گۆن آیان گوَشت: «بیاێت، منی رَندگیریا بکنێت و من شمارا انچُشَ کنان که ماهیگ گِرگئے بدلا، مردمانی دلا شکار بکنێت.»
MAT.4.20	آیان هما دمانا وتی دام یله دات و آییئے همراه بوتنت. 
MAT.4.21	وهدے کمّے دێما شت، دگه دو برات، آکوب و یوهَنّایی دیستنت که زِبْدیئے چُکّ اتنت. بۆجیگئے
MAT.4.22	آیان هم وتی پت گۆن بۆجیگا یله دات و آییئے همراه بوتنت.
MAT.4.23	ایسّایا سجّهێن 
MAT.4.24	سجّهێن سوریَها آییئے نام و تئوار پْرشت و مردمان هر ڈئولێن ناجۆڑ و نادْراه، 
MAT.4.25	جَلیل، دِکاپولیس، 
MAT.5.1	مردمانی مزنێن مُچّیئے گِندگا رند، ایسّا کۆهێئے سرا سر کپت. وهدے بُرزگا نِشت، مرید هم آییئے کِرّا آتکنت. 
MAT.5.2	گڑا اے ڈئولا آیانی تالیم دئیگا لگّت:
MAT.5.3	«بَهتاور اَنت هما که آیانی روه وار و بَزّگ اِنت، چیا که 
MAT.5.4	«بَهتاور اَنت هما که گَمیگ و پُرسیگ اَنت، چیا که آیان تسلّا و دِلبڈّیَ
MAT.5.5	«بَهتاور اَنت هما که نرم‌دل و مهربان اَنت، چیا که زمینئے میراس بَرۆک هما بنت.
MAT.5.6	«بَهتاور اَنت هما که هَکّ و اِنساپئے شدیگ و تُنّیگ اَنت، چیا که آ سێرَ بنت.
MAT.5.7	«بَهتاور اَنت هما که په دگران رهمَ کننت، چیا که آیانی سرا هم رهم کنگَ بیت.
MAT.5.8	«بَهتاور اَنت هما که دِلِش پاک و ساپ اِنت، چیا که آ هُدایا گندنت.
MAT.5.9	«بَهتاور اَنت هما که سُهل و اێمنیَ کارنت، چیا که آ 
MAT.5.10	«بَهتاور اَنت هما که په هُدائے راهئے گِرَگا بُهتام
MAT.5.11	«بَهتاور اێت شما که په منیگی مردم شمارا دُژمانَ دئینت و آزارَ رسێننت، شمئے پُشتا درۆگَ بندنت و بدَ گوَشنت. 
MAT.5.12	گَل و وَشدل ببێت و شادهی بکنێت، چیا که آسمانا شمئے مُزّ سکّ باز اِنت. پێسریگێن نبیانی سرا هم اے ڈئولێن آزارِش رسێنتگ.
MAT.5.13	«شما جهانئے واد اێت، بله اگن وادئے تام برئوت، گڑا چۆن پدا وادۆک بوتَ کنت؟ اَبێد چه
MAT.5.14	«شما جهانئے نور و رُژن اێت، شهرے که کۆهێئے سرا اِنت، چێر و اَندێم بوتَ نکنت. 
MAT.5.15	هچکَس رۆکێن چِراگا تَگارێئے
MAT.5.16	همے ڈئولا شمئے رُژن، مردمانی دێما شَهم بدنت تان شمئے نێکێن کاران بگندنت و شمئے آسمانی پتا ستا بدئینت و بساڑاینت.
MAT.5.17	«گُمان مکنێت که من په 
MAT.5.18	شمارا راستێنَ گوَشان، زمین و آسمانئے گار و بێران بئیگا پێسر، 
MAT.5.19	پمێشکا اگن کَسے چه شَریَتئے پرمانان گوَنڈترێنے سُست بگیپت و کار مبندیت و دگران هم انچُش درس و سَبک بدنت، آ، 
MAT.5.20	پمێشکا شمارا گوَشان، اگن شمئے پهرێزکاری و شَرکِردی چه 
MAT.5.21	«شما اِشکتگ که گۆن پێشیگێن مردمان گوَشگ بوتگ: ‹هۆن و کۆش مکن،
MAT.5.22	بله من شمارا گوَشان، هرکَس وتی براتئے سرا زَهرَ گیپت، آ هم هَکدیوانئے
MAT.5.23	پمێشکا اگن کُربانجاها، کُربانیگ کنگئے وهدا یات و تْرانگا کپتئے که تئیی براتا گۆن تئو گِلَگے هست‌اِنت، 
MAT.5.24	وتی کُربانیگا همۆدا کُربانجاها بِلّ و برئو پێسرا گۆن وتی براتا سُهل کن، گڑا بیا کُربانیگ بکن. 
MAT.5.25	اگن کَسێا گۆن تئو اَڑ و داوایے هست و ترا هَکدیوانا بارت، گڑا رَسَگا پێسر، راها گۆن آییا وتی اَڑا بگیشّێن و سُهل بکن. چُش مبیت کازیئے دێما برگ ببئے، آ ترا اَپسرئے دستا بدنت و اَپسر ترا بَندیجاها ببارت و جێل بکنت. 
MAT.5.26	ترا راستێنَ گوَشان، تان زَرّانی گُڈّی پئیی و پئیسها پُرَّ نکنئے، چه اۆدا آزاتَ نبئے.
MAT.5.27	«شما اِشکتگ که گوَشگ بوتگ: ‹زِنا مکن›.
MAT.5.28	بله من شمارا گوَشان، اگن کَسے په بدچمّی و دِلدُزّی جنێنێا بچاریت، بزان وتی دلا، گۆن هما جنێنا زِنایی کرت. 
MAT.5.29	پمێشکا اگن تئیی راستێن چمّ ترا دێم په گناها ببارت، آییا کَشّ و دئور بدئے، چیا که چه سرجمێن جانئے تَهتَرونا کپگا په تئو شرتر همِش اِنت که تئیی جسمئے یک بند و بۆگے چه تئو جتا ببیت. 
MAT.5.30	همے ڈئولا، اگن تئیی راستێن دست ترا دێم په گناها ببارت، گڑا آییا بُرّ و دئور بدئے، چیا که چه سرجمێن جانئے تَهتَرونا رئوگا په تئو شرتر اِش اِنت که تئیی جسمئے یک بند و بۆگے چه تئو جتا ببیت.
MAT.5.31	«اے هم گوَشگ بوتگ: ‹اگن کَسے وتی جنا یله بکنت، گڑا باید آییا تلاک‌نامَهے بدنت›.
MAT.5.32	بله من شمارا گوَشان، اگن جنێنێا زِنا نکرتگ و مرد آییئے سئون و تلاکان بدنت، بزان آییئے زِنهکاریئے سئوبَ بیت و اگن کَسے هما جنۆزامێن جنێنا سور و سانگ بکنت، گڑا بزان گۆن آییا زنا کنت.
MAT.5.33	«شما اے هم اِشکتگ که گۆن پێشیگێن مردمان گوَشگ بوتگ: ‹وتی سئوگندا مپرۆش، 
MAT.5.34	بله من شمارا گوَشان، هچبر سئوگند مئوَرێت، نه په آسمانا، چیا که هُدائے تَهت اِنت، 
MAT.5.35	نه په زمینا، چیا که هُدائے پادانی چێرئے پدگ و چارچۆبه اِنت، نه په 
MAT.5.36	په وتی سرا هم سئوگند مئوَر، چیا که سرئے مودانی یک ٹالێا سیاه و اِسپێت کرتَ نکنئے. 
MAT.5.37	پمێشکا اۆدا که ‹هئو› گوَشگی اِنت، بگوَشێت ‹هئو› و اۆدا که ‹اِنّه› گوَشگی اِنت، بگوَشێت ‹اِنّه›. چه اِشیا گێشتر شئیتانئے کار اِنت.
MAT.5.38	«شما اِشکتگ که گوَشگ بوتگ: ‹په چمّا چمّ و په دَنتانا دَنتان›.
MAT.5.39	بله من شمارا گوَشان، رَدکارێن مردمانی کارانی دێما مه‌اۆشتێت، اگن کَسێا تئیی راستێن گُبّا
MAT.5.40	اگن کَسے په تئیی جامگئے کَشّگا ترا هَکدیوانا ببارت، وتی کباها
MAT.5.41	اگن کَسے ترا په زۆر و بیگاری هزار گامئے
MAT.5.42	کَسے که چه تئو لۆٹیت، آییا بدئے و اگن یکّے وامَ لۆٹیت، چَک و پَد مبئے.
MAT.5.43	«شما اِشکتگ که گوَشگ بوتگ: ‹گۆن وتی همساهگا مِهر بکن
MAT.5.44	بله من شمارا گوَشان، گۆن وتی دژمنا مِهر بکنێت و په همایان که شمارا آزارَ دئینت نێکێن دْوا بلۆٹێت، 
MAT.5.45	تان وتی آسمانی پتئے چُکّ ببێت، چیا که آ وتی رۆچا په نێک و بدانَ دْرپشێنیت
MAT.5.46	اگن تهنا گۆن هما مردمان مِهر کنێت که گۆن شما مِهرَ کننت، گڑا شمارا چۆنێن مُزّے رسیت؟ 
MAT.5.47	اگن اێوکا وتی براتان دْرود و دْرَهبات
MAT.5.48	پمێشکا شما باید تمان و بےائیب ببێت، انچُش که شمئے آسمانی پت وتی جاها تمان و بےائیب اِنت.
MAT.6.1	«هُژّار بێت! وتی نێکێن کاران په مردمانی پێش دارگا مکنێت، چیا که اے ڈئولا شمارا چه آسمانی پتئے نێمگا هچ مُزّے نرسیت. 
MAT.6.2	وهدے چیزے هئیراتَ کنئے، گڑا جار مجن و ڈَنڈۆر مکن. دورو و دوپۆستێن مردم، 
MAT.6.3	وهدے هئیراتے چه راستێن دستا دئیئے، چپّێن دست سهیگ مبیت، 
MAT.6.4	تانکه تئیی داتگێن هئیرات سرپۆش و چێراَندری ببیت. گڑا تئیی آسمانی پت، که چێرێنانَ گِندیت، تئیی مُزّا دنت.
MAT.6.5	«وهدے دْوا کنێت، گڑا دورو و دوپۆستێن مردمانی ڈئولا مکنێت، چیا که آیان 
MAT.6.6	بله هروهد دْوا کنئے، وتی لۆگا برئو، لۆگئے دپا ببند و چه وتی آسمانی پتا، که چه چمّان چێر و اَندێم اِنت، دْوا بلۆٹ، گڑا تئیی پت، که چێرێنانَ گِندیت، تئیی مُزّا دنت. 
MAT.6.7	وهدے دْوا کنێت، گڑا 
MAT.6.8	آیانی پئیما مبێت، چیا که شمئے آسمانی پت چه لۆٹگا پێسر وتَ زانت که شمارا چے گَرَز اِنت.
MAT.6.9	«شما اے ڈئولا دْوا بلۆٹێت:
MAT.6.9	‹او مئے پت، که بُرزێن آسمانا ائے!
MAT.6.9	تئیی نام شرپدار بات.
MAT.6.10	تئیی بادشاهی بیایات.
MAT.6.10	تئیی واهگ و اِراده زمینئے سرا هم هما ڈئولا سرجم بات که آسمانا سرجمَ بیت.
MAT.6.11	مئے مرۆچیگێن رِزک و رۆزیگا مرۆچی مارا بدئے.
MAT.6.12	مئے گناه و رَدیان ببَکش، انچُش که ما وتی سجّهێن دئینکار بَکشتگ‌اَنت.
MAT.6.13	مارا آزمایش و چَکّاسا دئور مدئے و چه شئیتانا
MAT.6.14	«چیا که اگن شما مردمانی گناه و مئیاران ببَکشێت و سر بگوَزێت، گڑا شمئے آسمانی پت شمئے گناه و مئیاران هم بَکشیت و سرَ گوَزیت، 
MAT.6.15	بله اگن شما مردمانی گناه و مئیاران مبکشێت و سر مگوَزێت، گڑا شمئے آسمانی پت هم شمئے گناه و مئیاران نبکشیت و سرَ نگوَزیت.
MAT.6.16	«وهدے رۆچگَ بێت، دورو و دوپۆستێن مردمانی ڈئولا وتی دێما تابان و گمناک مکنێت. آ وتی روا گیمُّرێننت و مونجا کننت تان مردم بزاننت رۆچگ اَنت. شمارا راستێنَ گوَشان، مُزّے که آیان رَسگی اَت، رَستِش. 
MAT.6.17	بله وهدے رۆچگَ بئے، گڑا وتی دێم و روا بشۆد و سرا چرپ کن، 
MAT.6.18	تانکه مردم مزاننت تئو رۆچگ ائے، تهنا تئیی آسمانی پت که چێراَندێم اِنت، هما بزانت. آ وهدی تئیی آسمانی پت که چێراَندریَ گندیت تئیی مُزّا دنت.
MAT.6.19	«اے جهانا په وت مال و مَڈّی
MAT.6.20	په وت آسمانا گنج و هزانگ اَمبار بکنێت که اۆدا نه آیان وَرۆک و رَمێزَ وارت، نه زنگَ گیپت و نه دُزَّ پُلنت و برنت. 
MAT.6.21	تئیی دل هما جاها رئوت که مال همۆدا اِنت.
MAT.6.22	«چَمّ، جِسم و جانئے چِراگ اِنت. اگن تئیی چمّ وشّ و دْراه اِنت، گڑا تئیی سجّهێن جِسم و جان رُژناگَ بیت. 
MAT.6.23	بله اگن تئیی چمّ ناجۆڑ اِنت، گڑا تئیی سجّهێن جِسم و جان تهارَ بیت. نون اگن تئیی جِسم و جانئے رُژن وت تهاریے ببیت، گڑا آ تهاری چۆنێن مزنێن تهاریے بیت.
MAT.6.24	«هچکَس په دو واجها گُلامی کرتَ نکنت، یا گۆن یکّێا دژمنیَ کنت و دومیگی دۆستَ بیت، یا گۆن ائولیگا وپادارَ بیت و چه آ دگرا بدیَ کئیت. شما یَکوهد و یَکجاه هُدا و زَرّئے گُلامیا کرتَ نکنێت. 
MAT.6.25	پمێشکا شمارا گوَشان که په وتی زِندا پرێشان و دِلتپرکه مبێت که: ‹چے بوَرێن و چے بنۆشێن؟› نه په وتی جِسم و جانا که: ‹چے بپۆشێن؟›. زِند چه وراکا و جِسم و جان چه پۆشاکا گێشترَ نکرزیت؟ 
MAT.6.26	آسمانئے بالی مُرگان بچارێت، نه کِشنت و نه رُننت و نه اَمبارَ کننت، بله اَنگت شمئے آسمانی پت آیان وراک و رۆزیگَ دنت. شمئے اَرزش و کیمّت چه آیان گێشتر نه‌اِنت؟ 
MAT.6.27	کئے گۆن پِگر و هئیالانی زۆرا وتی زِندئے رۆچان یک ساهتے هم گێش کرتَ کنت؟
MAT.6.28	په پُچّ و پۆشاکا چیا پرێشان اێت؟ گیابانئے گُل و پُلّانی نێمگا دلگۆش کنێت، چۆن رُست و رُدۆمَ کننت. نه زهمتے کَشّنت و نه رێسنت و گوَپنت، 
MAT.6.29	بله شمارا گوَشان که 
MAT.6.30	او کَمباوران! وهدے هُدا گیابانئے کاهان اے ڈئولا زێبا و بْرَهدارَ کنت که مرۆچی هست‌اَنت و باندا تَرونا سۆچگَ بنت، گڑا شمارا چِه پئیما شرترێن پۆشاکَ ندنت؟
MAT.6.31	«پمێشکا پرێشان و دِلتپرکه مبێت و مگوَشێت که: ‹بارێن چے بوَرێن و چے بنۆشێن؟› یا: ‹چے بپۆشێن؟›. 
MAT.6.32	 سجّهێن هُداناباورێن مردم اے چیزانی رَندا تچنت، بله شمئے آسمانی پتَ زانت که شمارا اے چیز پَکار اَنت. 
MAT.6.33	چه هر چیزا پێسر، 
MAT.6.34	په بانداتیگێن رۆچا پرێشان و پِگریگ مبێت، چیا که باندات، وتی پِگرا وتَ کنت. مرۆچیگێن جنجال، په مرۆچیگا بَسّ اَنت.
MAT.7.1	«دگران اێر مجنێت و ایراز مگرێت، تانکه شما اێر جنَگ مبێت. 
MAT.7.2	انچُش که شما دگران اێرَ جنێت، همے پئیما شما اێر جنَگَ بێت و گۆن هر کئیل و پئیمانهێا که بدئیێت، گۆن هما کئیلا شمارا دئیگَ بیت. 
MAT.7.3	چیا وتی براتئے چمّئے پیلّاشْکا
MAT.7.4	ترا که بُنڈے چمّا اِنت، چۆن وتی براتا گوَشتَ کنئے: ‹بِلّ که تئیی چمّئے پیلّاشْکا درَ کنان›؟ 
MAT.7.5	او دوپۆستێن شَتَلکار! پێسرا وتی چمّئے بُنڈا در کن، رَندا تئیی چمّ پَچَ بیت و وتی براتئے چمّئے پیلّاشْکا کَشّتَ کنئے.
MAT.7.6	«پاک و پَلگارێن چیزان کُچکان مدئیێت و وتی مروارِدان هوکّانی دێما مپرێنێت. چۆ مبیت که آیان لگتمال بکننت و پِر بترّنت و شمئے جندا دِرّ و دْراش بکننت.
MAT.7.7	«بلۆٹێت، شمارا دئیگَ بیت. شۆهاز بکنێت، درَ گێجێت. دروازگا بٹُکّێت، پَچَ بیت. 
MAT.7.8	چیا که هرکَس بلۆٹیت، آییا رسیت. هرکَس شۆهاز بکنت، درَ گێجیت. هرکَس دروازگا بٹُکّیت، په آییا پَچَ بیت. 
MAT.7.9	شمئے نیاما چُشێن پتے هست که اگن آییئے چُکّ نان بلۆٹیت ڈۆکے بدنتی؟ 
MAT.7.10	یا اگن ماهیگ بلۆٹیت مارے بدنتی؟ 
MAT.7.11	شما که رَدکار اێت، اَنگت وتی چُکّان شَرّێن چیزانی دئیگا زانێت. گڑا مئے آسمانی پت چنکدر شرترَ زانت که وتی لۆٹۆکێن چُکّان وشّێن چیز بدنت.
MAT.7.12	«پمێشکا، هر کارا گۆن دگران هما ڈئولا نێکی بکنێت که لۆٹێت آ دگه هم گۆن شما بکننت. 
MAT.7.13	«چه تنکێن دروازگا بپُتریت. چیا که پْراهێن دروازگ و پْراهێن راه، گاری و بێگواهیئے نێمگا بارت و بازێنے هما راها زوریت. 
MAT.7.14	بله تنک اِنت آ دروازگ و گران اِنت آ راه که زِندئے نێمگا بارت و اے راهئے رئوۆک هم کمّ اَنت.
MAT.7.15	«چه درۆگێن پئیگمبران هُژّار ببێت. آ، مێشئے پۆستا گوَرا کننت و شمئے کِرّا کاینت بله چه بُن و بێها دِرّۆکێن گُرک اَنت. 
MAT.7.16	شما چه آیانی کِردا آیان پَجّاهَ کارێت. چه ڈَنگران
MAT.7.17	شَرّێن درچک، شَرّێن بَر و نیبگَ کاریت و سِلّێن درچک سِلّێن بَر و نیبگَ کاریت. 
MAT.7.18	شَرّێن درچک، سِلّێن بَر آورتَ نکنت و سِلّێن درچک شَرّێن بَر داتَ نکنت. 
MAT.7.19	درچکے که شَرّێن بَرَ نئیاریت، گُڈَّگ و سۆچگَ بیت. 
MAT.7.20	پمێشکا آیان چه بَران پَجّاهَ کارێت.
MAT.7.21	«هما که منا ‹
MAT.7.22	وهدے آ رۆچَ کئیت بازێنے منا گوَشیت: ‹هُداوند، او هُداوند! ما گۆن تئیی ناما پئیگمبری نکرتگ؟ گۆن تئیی ناما چه مردمان 
MAT.7.23	گڑا من آیان راستێنَ گوَشان: ‹او بدکاران! من هچبر شمارا پَجّاه نئیاورتگ، چه منی دێما دور ببێت.›
MAT.7.24	«پمێشکا، هرکَس که منی اے هبرانَ اِشکنت و آیانی سرا کارَ کنت، هما زانتکار و هۆشمندێن مردمئے پئیما اِنت که وتی لۆگی تلارئے سرا بست. 
MAT.7.25	هئور بوت، هار و هیرّۆپ آتک، پورّ و سْیَه‌گواتان گۆن آ لۆگا ڈیکّ وارت، بله لۆگ نکپت، چیا که آییئے بُنرِد
MAT.7.26	بله کَسے که منی هبران گۆشَ داریت و آیانی سرا کارَ نکنت، هما هۆڈ و کَمزانتێن مردمئے ڈئولا اِنت که وتی لۆگی رێکانی سرا بست. 
MAT.7.27	هئور بوت، هار و هیرّۆپ آتک، پورّ و سْیَه‌گواتان گۆن آ لۆگا ڈیکّ وارت، لۆگ کپت و پهک وئیران بوت.»
MAT.7.28	وهدے ایسّایا اے هبر هلاس کرتنت، مردمانی مُچّی چه آییئے درس و سَبکان هئیران بوت و بَه منتنت،
MAT.7.29	چیا که آییا 
MAT.8.1	وهدے ایسّا چه کۆها اێر کپت، مردمانی مزنێن مُچّیے آییئے رندا گۆن کپت. 
MAT.8.2	یک مردے که آییا سْیَه‌گَرّئے
MAT.8.3	ایسّایا دست شهارت، دستی پِر مُشت و گوَشتی: «منَ لۆٹان، وشّ و پَلگار بئے.» هما دمانا مرد چه سْیَه‌گَرّا پَلگار بوت. 
MAT.8.4	گڑا ایسّایا گۆن آییا گوَشت: «هُژّار بئے! هچکَسا چه اے هبر و هالا سهیگ مکن، بله برئو، وتا 
MAT.8.5	وهدے ایسّا کَپَرناهومئے شهرا رَست، یک رومی پئوجی اَپسرے آییئے کرّا آتک، مِنّتگیری کرت و گوَشتی: 
MAT.8.6	«او واجه! منی هِزمتکارێن بچک لۆگا لَنگ و مُنڈ اِنت و کپتگ، سکّێن درد و دۆران دُچار اِنت.» 
MAT.8.7	ایسّایا گوَشت: «گڑا منَ کایان، آییا دْراهَ کنان.» 
MAT.8.8	پئوجی اَپسرا پَسّئو دات: «او واجه! منَ نکرزان که تئو منی لۆگا بیائے، تئو تهنا هُکم بکن، منی هِزمتکار دْراهَ بیت. 
