MAT.1.1	Igioroni jio abuk ana afureta hohonyiok Yesu Kristo to woyo ba Dafide, lonyi Abramo.
MAT.4.6	ette jiaran jihonyi, “Elle ira iyye Lonyi Hollum, orruaŋai ahuan hoi ifau; nyio, igioroni ibuk Hollum jio,
MAT.4.6	‘Ifak adi Hollum ajilohien honyi irririari iyye;
MAT.4.6	Ittarrauni adi isi iyye ta ahas hosi,
MAT.4.6	oŋida obo amoruo obeŋ iriafu
MAT.4.6	ara duadi bu eeju hoi.’ ”
MAT.4.8	Attati Sittan iyaru Yesu ihide doŋe onno ohodo 'to bebe, ette itahutana inyi olobiehien 'daŋ hutta fau iko olohuo hosi 'daŋ, 
MAT.4.9	ette jiaran jihonyi, “Esiarak adi ni iyye erre hunia 'daŋ elle irigoŋo iyye ifau itahabuyere nani.”
MAT.4.11	Attati Sittan idiaharu inyi, teya ette ajilohien ifuanna, ette iluahio inyi.
MAT.4.13	Iwot nyia inyi to Nasaret, ette leten imanya Kapernaum abore gala etteger tafar enne ittokon anna anya 'to Galilea, atta fau Sebulun iko Naftali. 
MAT.4.14	Ihani nyia ihuo nyia, itasiruniere ekiana ninyia ojio Isaya ekianani Hollum jio,
MAT.4.15	“Afau Sebulun iko afau Naftali,
MAT.4.15	huttekoi hari enne ittokon, afohor owore Yordano tole,
MAT.4.15	Galilea, afau Lufajak!
MAT.4.16	Igonyuni adi aati hulla amanyai 'to idumele
MAT.4.16	afaŋan onno obolo.
MAT.4.16	Afaŋ adi inyi jio hia,
MAT.4.16	hulla amanyai 'to ifau ette idumele ono naye.”
MAT.4.18	To ninyia adahari Yesu ilotifor tafar Galilea, igonyu nyia inyi ayafohok arrihai, hulla arai ellarak; Simone (alla anya 'to Petro) iko illanyi Andrea. Ayafohoi nyia isi aham ta aboyo itua tafar. 
MAT.4.19	Attati Yesu jiaran jihosi, “Ijifuniete ani, ettiyanak adi ni itai iloŋuttari aati jihoŋ.” 
MAT.4.20	Teya teya, idiaharai nyia isi aboyo hosi ette ijifaru inyi.
MAT.4.21	Ninyia holo inyi kai ahosiere, ette inyi igonyuna omuk ellarak arrihai, Yakobo iko Yoane lonyirok Sebedeyo. Owoni nyia isi itogol iko monyosi Sebedeyo, hullo orifie aboyo hosi, ette Yesu iloŋuna isi. 
MAT.4.22	Teya teya, ette isi idiaharu atogol iko monyosi ette ijifaru Yesu.
MAT.4.23	Ilur nyia Yesu Galilea 'daŋ, buo ittiyenio buo fe ittittoyo Asayyo Ayijok huno Olobie itua hasik imojiti. Itaŋidario nyia buo fe inyi aati jio eŋuati 'daŋ gele gele. 
MAT.4.24	Itaniŋoroi nyia asayyo honyi afau Siria 'daŋ; ania, ette aati iyaŋuno jihonyi aati 'daŋ hullo owoni 'to iko eŋuati gele gele, iko omuk hullo orrohojari 'to: hullo owoni 'to iko aminiaŋa, ahue, buo hullo oye aŋacio huattek, buo inyi ette itaŋida isi 'daŋ. 
MAT.4.25	Ijifarai nyia inyi eluluŋi hunne ittaha 'to to Galilea iko jio Aborejin Gala huna 'Tomon, to Yerusalem iko to Yudea buo fe ta fau onno owon 'to ifohor owore Yordano tole.
MAT.5.1	Igonyu nyia Yesu eluluŋ waati, ette idahina jio obo adoŋe ollo odiha ette itoŋo. Okudani nyia ejifak honyi inyi, 
MAT.5.2	buo inyi ette itterio ettiyenio isi.
MAT.5.3	“Hotomunohi hia, hulle ilociaŋi 'to to hosiere Hollum;
MAT.5.3	ara Olobie ettedou ahonosi!
MAT.5.4	Hotomunohi hia, hulla atarihai 'to,
MAT.5.4	itilik adi Hollum atajia hosi!
MAT.5.5	Hotomunohi hia, hulla anyalami 'to,
MAT.5.5	ifuotuni adi isi ecoriti Hollum!
MAT.5.6	Hotomunohi hia, hulla awahi 'to bebe abisan,
MAT.5.6	isio adi Hollum erre 'daŋ jihosi!
MAT.5.7	Hotomunohi hia, hullo owoni 'to iko amehino jio aati hullomuk,
MAT.5.7	omehino adi Hollum jihosi!
MAT.5.8	Hotomunohi hia, hullo olibori tajia,
MAT.5.8	igonyuni adi isi Hollum!
MAT.5.9	Hotomunohi etumuarak waati,
MAT.5.9	iloŋoi adi isi aduri Hollum!
MAT.5.10	ara Nolobie ettedou ahonosi!
MAT.5.11	“Omunoti alla amorie aati itai, ittigemie itai, buo fe ikianai tetai erre hunno orrohoji 'to ta agesemi ta arahan hatai a huloŋ. 
MAT.5.12	Omunoti buo fe isahuttati; nyio, obolo adi esiorio jihatai idou. Nyio, ittigemie nyia isi ekianak Hollum hunyia berien ihuo nyia.
MAT.5.13	“Irata itai ihuo amile jio aati 'daŋ. Ati elle ilik amile, inyiahini adi eduarit honyi aŋai? Abeŋ inyi inyiak iyiji; tania, oruasari adi inyi addi, ette aati irrirrieyo inyi.
MAT.5.14	“Irata itai ihuo afaŋan jio aati 'daŋ hutta fau. Obeŋ abore gala onno oduhoni ihide doŋe oremik idima. 
MAT.5.15	Obeŋ tulo itawulohi allomo, ette imuhonia ta arrany. Ati oyihak adi inyi allomo ania ihide fillili, oŋida afaŋ jio aati 'daŋ hutto tua haji. 
MAT.5.16	Ijiara afaŋan hatai hatafaŋa jio aati, oŋida isi igonyuni ehanita hatai hunno oyiji 'to, ette itahabuyo Monyatai ollo owon 'to idou.
MAT.5.17	“Hègigiloti jio, attu ni itapuahiere efahita Mose iko ettiyenita huno ekianak Hollum. Abeŋ ni attu itapuahiere isi, ati attu ni itasiruniere isi. 
MAT.5.18	Hode, eramak ni itai jio, many iholoŋ ono esidi idou iko afau, obeŋi adi iyari addi obo ekiana jio efahita, ara duadi bu egieri ollo odiha 'to, many itasirunierek isi 'daŋ. 
MAT.5.19	Lia, ollo omesio 'to efahi abotie duadi bu ollo omuta 'to buo fe ittiyenio aati ihuo nyia, ofiaha adi inyi Ilobie ettedou. Ati lia, elle ijifatio 'to efahita buo fe ittiyenio isi jio aati, ara adi inyi elettok Ilobie ettedou. 
MAT.5.20	Tania, eramak ni itai jio, alla abeŋ abisan hatai agalik ayiji ono ettiyanak ifahita iko ono 
MAT.5.22	Ati eramak ni itai jio, lia, elle iloŋojita 'to
MAT.5.23	Tania, elle ilo iyye ititiek ehumi isioriere esiori hoi jio Hollum, buo diya itte iyiyiuna jio iloŋojita illahoi jihoi to obo eram, 
MAT.5.24	idiaharu esiorio hoi ihosiere ititiek ehumi; ilo do itabisaniere eram hoi iko illahoi. Ojio teya, ocohunie yo isioriere esiorio hoi jio Hollum.
MAT.5.25	“Itimuoru atulo alla awak 'to iyaru iyye ilokikoi, hèbiaŋata itai ifanyata diya. Alla abociere inyi iyye many ihosiere aŋotoni hirre, isiarak adi aŋotoni hirre iyye jio oseŋer; buo isi ette ifitana iyye ibabus. 
MAT.5.26	Hode, eramak ni iyye jio, ibeŋ adi iyye ihouno many idumari iyye edumiti 'daŋ, hunno oŋotoni jihoi.
MAT.5.27	“Itaniŋuna nyia itai ojiori jio, ‘Hèrototi.’ 
MAT.5.28	Ati eramak ni itai jio, atulo alla adaya 'to obo aŋotte; aroto inyi luŋa ta ataji honyi. 
MAT.5.29	Elle iyaru onyek iŋet iyye iyyau, ogolotu inyi, ibiroi addi! Nyio, iyyak iŋotik iyye aŋati huan hoi, buo ahuan hoi 'daŋ obeŋ ibironio iferno. 
MAT.5.30	Buo fe elle iyaru aani iŋet hoi iyye iyyau, oŋutu inyi tub itte ibiroro addi! Nyio, iyyak iŋotik iyye aani, buo ahuan hoi 'daŋ obeŋ ibironio iferno.
MAT.5.32	Ati eramak ni itai jio, lia, elle ifuhak 'to ŋoruoi honyi obojiai, buo obiaŋara te eram silara, itaroto inyi ŋoruoi honyi; buo alla ayemu obo atulo aŋotte onno opiahai 'to iko habi, oroto buo fe alle alia 'daŋ.
MAT.5.33	“Itaniŋuna nyia buo fe itai jio, iramani nyia jio aati hunyia berien jio, ‘Hètapuahata ettuŋo hatai, ihanata jio Lamonye ihuo ittuŋotti nyia itai.’ 
MAT.5.34	Ati ihuania eramak ni itai jio, hèttuŋoti luŋa. Hèttuŋoti te nedou nyio, ara inyi aseger ilohittok ono Hollum. 
MAT.5.35	Hèttuŋoti buo fe ta afau; nyio, ara inyi amaji ebalori hejek honyi. Hèttuŋoti to Yerusalem, nyio, abore gala ono Loobu elle ittokon ania. 
MAT.5.36	Hèttuŋoti to ossi hatai; nyio, ittallihoto itai ihan obo ofitti aboŋ kuyya emoli. 
MAT.5.37	Elle ijiatta itai ‘Aafe’, ijiara luŋa ara Aafe; buo fe elle ijiatta itai ‘Obeŋ’, ijiara luŋa ara obeŋ. Obo ariŋ enne inyiahata itai ifunnihina, ottu nyia jio Sittan.
MAT.5.38	“Itaniŋuna nyia itai ojiori jio, ‘Alla agolotu obo onyek hoi, ogolotu buo fe ononyi; buo fe elle isiahu obo aalai hoi isiahu buo fe ononyi.’ 
MAT.5.39	Ati eramak ni itai jio, hènienu lia, elle ihan 'to onno orroho jihatai. Alla annaŋ obo amahalio hoi etteŋet, ijiara buo fe inyi annaŋ ebotie. 
MAT.5.40	Elle iyaru obo atulo iyye ilokikoi iyari agamis hoi, isiarak buo fe jihonyi akout hoi. 
MAT.5.41	Alla arrosok obo iyye iwwahari erre honyi many amail abotie, akafaru isi amaili arrihai. 
MAT.5.42	Isiatta erre jio lia, ollo omojo 'to; hèyimoti buo fe lia, alla awak 'to ohuroni jihonyi obo ariŋ.
MAT.5.43	“Itaniŋuna nyia itai ojiori jio, ‘Itabuarata atajia jio mottiarak hatai buo iliwati amiorok hatai.’ 
MAT.5.44	Ati eramak ni itai jio, itabuarata atajia hatai jio amiorok hatai buo fe imojoti to hia, hulle ittigemie 'to itai. 
MAT.5.45	Oŋida bati irata olonyirok Monyatai ettedou. Nyio, itafaŋak inyi oloŋ honyi buo fe itasahi ahide honyi jio ayijok iko jio arrohojak 'daŋ arabotie. 
MAT.5.46	Alla abuori atajia hatai ijiai hia, hullo obuori atajia hosi itai; anyio 'tadi enne inyiahata itai irumana? Ara duadi bu eddudduhak musuru, obeŋi soho isi ihanie ihuo nyia? 
MAT.5.47	Elle ifonyati itai mottiarak hatai ijiai, owon ti obo ariŋ anna agalik 'to ottoloŋi? Obeŋi soho Alufajak ihanie ihuo nyia? 
MAT.5.48	Oyijoto, ihuo onno oyijori Monyatai ettedou.
MAT.6.2	“Elle isio iyye aluahio jio olociaŋ, hèhut amohuo jio oŋida aati igonyuni iyye, ihuo enne ihanierek etihanak huattek itua hasik emojiti iko ilofirihi. Ihanie isi ihuo nyia jio, oŋida aati itahuye isi. Hode hode, eramak ni itai jio, arumani isi esiorita hosi. 
MAT.6.3	Ati elle isio iyye aluahio jio olociaŋ, isiarak ollokuai, hèlaha obo atulo omijak, ara duadi bu motte hoi. 
MAT.6.4	Buo Monyohoi elle igonyu 'to erre hunne ihanio iyye edimai, ette isiarana adi jihoi esiorio.
MAT.6.6	Ati elle imojo iyye, ojiŋak itua haji, ihianak ekat, itte mojo jio Monyohoi ollo obeŋ tulo igonyu. Buo Monyohoi elle igonyu 'to erre hunne ihanio iyye edimai, ette isiarana adi esiorio jihoi.
MAT.6.7	“Elle imojo iyye, hètabolorio ekiana asai ihuo Alufajak, hulle igigiloi 'to jio itaniŋu adi Hollum isi te emojiti hosi hunno ohodori 'to. 
MAT.6.8	Hèra ihuo isi; nyio, omijak Monyohoi ariŋ enne iwak iyye many hèbeŋ iyye ikoddaŋ ifiyo inyi. 
MAT.6.9	Ati omojoi ihuo ana:
MAT.6.9	‘Monye hohoi ollo owon idou,
MAT.6.9	Ijiara abaŋi afure hoi onno olibo 'to
MAT.6.10	Hetettu Nolobie hoi.
MAT.6.10	Ijiara awahan hoi hétera ifau ihuo anna arari inyi idou.
MAT.6.11	Isiarak jihohoi ahana aŋiyo hohoi ottoloŋi.
MAT.6.12	Obusak epalita hohoi
MAT.6.12	ihuo enne ebusaniere hohoi epalita waati hulle ihanie 'to onno orroho jihohoi.
MAT.6.13	Hèyaru hohoi jio ekemiti hunno ogoli 'to
MAT.6.13	Ati itahoru hohoi jio Olorroho’
MAT.6.15	Ati elle ibiaŋata itai ibusana epalita waati hullomuk, obeŋ adi buo fe Monyatai obusak epalita hatai.
MAT.6.16	“Elle iferuna itai, hètumuroto omomite ihuo etihanak huattek. Ibasani isi ahuattek hosi oŋida aati omijani aferuna hosi. Hode, eramak ni itai jio, arumani isi esiorita hosi. 
MAT.6.17	Ati elle iferuna itai, imujulati buo fe igugurutata oofir, 
MAT.6.18	oŋida aati obeŋi omijani aferuna hatai…arari fe Monyatai hama, ollo obeŋ tulo igonyu, omijak. Buo Monyohoi, elle igonyu 'to erre hunne ihanio iyye edimai, ette adi isiarana jihoi esiorio.
MAT.6.19	“Hèttunana esamiti hatai jio afau ana, ŋadi eŋenyu iko oloŋoruo otuhi isi; buo fe ahahalak oremehini ihahalaru. 
MAT.6.20	Ati, ottunana esamiti hatai idou; amaji onno obiaŋari eŋenyu iko oloŋoruo oremehini ituk isi; buo fe ahahalak ittallihi ihahalaru isi. 
MAT.6.21	Nyio, odulo adi ataji hoi jio amaji onno ottunarik esamiti hoi.
MAT.6.22	“Arai oŋite ihuo allomo ihuan. Alla ayiji oŋite hoi, afaŋ adi ahuan hoi 'daŋ. 
MAT.6.23	Buo alla arrohoji oŋite hoi, owon adi ahuan hoi 'daŋ idumele enne iriok 'to bebe. Alla ara afaŋan ottonohoi edumele, orroho adi eriohi honyi bebe!
MAT.6.24	“Obeŋ obo atulo oremik igiama jio elettaha arrihai; nyio, oliwari adi inyi abotie, buo ataji honyi obuor obotie; oniŋio adi inyi abotie, buo iyasio obotie. Ittallik iyye irahan a hegiamani Hollum buo fe a holo esamiti.
MAT.6.25	“Tania, eramak ni itai, hèhawwati te nesu hatai; ta anyio adi enne iŋiyete itai, ta anyio adi enne imatati itai; kuyya buo fe ta aboŋojin hunne iyyafana itai ihuattek. Obeŋ soho nesu hatai agalik aŋiyo? Obeŋi soho ahuattek hatai agalihini aboŋojin? 
MAT.6.26	Ike imijata aheny; obeŋi isi oyehini hinyomoti, kuyya odeŋuni himmai, buo fe obeŋi ottunani riŋ imuguo; ati itaŋiyo Monyatai ettedou isi. Ibiaŋata soho itai igalihina aheny? 
MAT.6.27	Ŋai jihatai ollo oremik 'to ifonihina nesu honyi obo kai
MAT.6.28	“Nyioti ihawwati itai te eram boŋojin? Ike imijata obolori ayaburita hutto mur aŋai? Obeŋi isi igiamai buo fe obeŋi ihuhumuni aboŋojin hosi. 
MAT.6.29	Ati, eramak ni itai jio, ara duadi bu Solomon hobu iko esamiti honyi 'daŋ, obeŋi nyia aboŋojin honyi ilamani ihuo obo jio ayaburita hunia. 
MAT.6.30	Ati, elle itiyyefio Hollum amiyaŋ otto mur, onno owon 'to ahana buo motie osuahini iyali, obeŋ 'tadi inyi itiyyef itai agalik 'daŋ? Aii, itai aati hullo omuta neruk!
MAT.6.31	“Tania, hèhawwati jio, ‘Eŋiyo adi hohoi anyio? Kuyya emata adi hohoi anyio? kuyya eyyafatio adi hohoi anyio?’ 
MAT.6.32	(Erre hunia, hunno ottifiai aati 
MAT.6.33	Ati ottifiati do Olobie Hollum iko erre hunna awak inyi; buo adi inyi ette isiarana jihatai erre hunnomuk hunia 'daŋ. 
MAT.6.34	Tania, hèhawwati te erre huno motie; nyio, owoni adi ehawwata huno motie hama. Ijiara ettigemita huno oloŋ abotie, oremehini to oloŋ ania hama.
MAT.7.1	“Hèŋototo eram omuk, oŋida buo fe Hollum obeŋ oŋot eram hatai. 
MAT.7.2	Nyio, oŋot adi Hollum eram hatai ihuo enne iŋociette itai eram hullomuk. Ekoi enne iŋociette itai eram omuk, inyi adi buo fe onno oŋocierek eram hatai. 
MAT.7.3	Nyio igonyu iyye aboroti to honyek illahoi, buo ibeŋ igonyu abeleri otto honyek hoi? 
MAT.7.4	Kuyya aŋai irinyak iyye ajiaran jio illahoi, ‘Illa, hadi eduhu ni addi aboroti otto honyek hoi ania,’ buo abeleri owon ihonyek hoi? 
MAT.7.5	Jai! Iyye etihanani huan olo, iduhu do addi abeleri otto honyek hoi; buo diya, iremik adi iyye ihum igonyuna buo fe iduhuna addi aboroti otto honyek illahoi.
MAT.7.6	“Hèsiatta aŋohe ariŋ elibo; nyio, oyitonie adi isi itai, ette ihony itai; hèsiatta buo fe asihira hatai jio abataha, nyio, irrirriei adi isi asihira hunia.
MAT.7.7	“Ifiyete, buo isiori adi jihatai; ottifiati, buo inyurana adi itai; ikukuhoto, buo aŋahini adi ekat jihatai. 
MAT.7.8	Nyio, lia, elle ifiyo 'to, ifuotu adi; buo fe lia, ollo ottifia 'to, onyurak adi; buo fe lia, elle ikukuho 'to aŋahini adi jihonyi. 
MAT.7.9	Jihatai monyie, elle ifiyo lonyi hoi iyye emune, isio adi iyye inyi amoruo? 
MAT.7.10	Kuyya alla amojo inyi ahami, isio adi iyye inyi amunu? 
MAT.7.11	Elle imijana itai, hulle irrohojata 'to, esiorio hirre hunno oyiji 'to jio aduri hatai, aŋai 'tadi Monyatai ettedou, obeŋ 'tadi esiorio honyi erre ayijok jio hia hulle omojoi 'to jihonyi, agalik!
MAT.7.13	“Ojiŋara ta akol ollo ottida 'to; nyio, alat akol onno ojiŋarik iferno. Iliaha ekoi onno ofuarik diya, buo fe aati hullo ojiŋari 'to tenyi, oluaji. 
