MAT.1.1	Jiꞌi sen kuachrjenixin ndo Jesucristo. Jeꞌe ndo kuachrjenixin ndo, ndo David ko ndo Abraham.
MAT.1.11	Sen bakeꞌe nchakon sabikao na̱ sen israelita tjajna Babilonia, bikao na̱ sen xranchi sen itji ndoꞌachjiso ko ntiꞌa juinchencheꞌe na̱ sen ixra̱ ko juengeꞌa na̱ sen ꞌna̱.
MAT.1.12	Juexinja ti bijeꞌe na̱ sen ntiꞌa tjajna meꞌe, tjumeꞌe ndo Jeconías ikjui ndotée ndo Salatiel
MAT.1.12	ko ndo Salatiel ikjui ndotée ndo Zorobabel.
MAT.1.13	Ko ndo Zorobabel ikjui ndotée ndo Abiud
MAT.1.13	ko ndo Abiud ikjui ndotée ndo Eliaquim
MAT.1.13	ko ndo Eliaquim ikjui ndotée ndo Azor.
MAT.1.14	Ko ndo Azor ikjui ndotée ndo Sadoc
MAT.1.14	ko ndo Sadoc ikjui ndotée ndo Aquim
MAT.1.14	ko ndo Aquim ikjui ndotée ndo Eliud.
MAT.1.15	Ko ndo Eliud ikjui ndotée ndo Eleazar
MAT.1.15	ko ndo Eleazar ikjui ndotée ndo Matán
MAT.1.15	ko ndo Matán ikjui ndotée ndo Jacob.
MAT.1.16	Ko ndo Jacob ndotée ndo José
MAT.1.16	ko ndo José ndoxiꞌe jan María
MAT.1.16	ko jeꞌe jan María janée ndo Jesús,
MAT.1.16	ndo Jesús, ndo nchekinꞌin sen Cristo.
MAT.1.17	Itenoó sen xranchrjen kuachrjenixin ndo Abraham ko tjumeꞌe konoxin ndo David ko kaxon itenoó sen kuachrjenixin ndo David, ko tjumeꞌe ni tjajna Babilonia sabikao na̱ sen israelita tjajnée na̱ ko tjumeꞌe íjngo itenoó sen jongíꞌe, tjumeꞌe jongíꞌe ndo Cristo.
MAT.1.19	Ndo José, ndo tsoña̱ ndoxiꞌe jan María, jeꞌe ndo naa xi tsango jian, méxin, imao tjaun ndo xrokuintuꞌe ndo jan ixi tjaunꞌa ndo xrokonoꞌe chujni. 
MAT.1.20	Ko ó tsixraxaon ndo jaña, nchakon naa ndo ángel neꞌe Ncháina tsikonoxinꞌen ndo ngaya kotáchrién ndo ko jaꞌin nichja ndo ángel:
MAT.1.20	―José, jaꞌa ti kuachrjenixian ndo David, xrakonꞌa ixi tsayeꞌé jan María xranchi janchriꞌa ixi ichjan xrochónda jan, xjan meꞌe ixi juachaxien Espíritue ndo Dio tsjongíexin xjan. 
MAT.1.21	*Ko jan María sinchejongíꞌe jan naa xjan xi ko sinchekiꞌian xjan Jesús; jaña tsinꞌin xjan ixi jeꞌe xjan tsantsje xjan ijie̱ chónda chujni.
MAT.1.22	Kain jiꞌi konꞌen ixi jaña tsichronga ndo Dio ngajin sen kuanichja chijnie Ndo ó saꞌó. Jaꞌin tsindachro ndo:
MAT.1.23	Naa nchrichajan tseyá nchrichan ichjan,
MAT.1.23	ko xrochónda nchrichan naa ichjan,
MAT.1.23	ko jeꞌe xjan ndatsinꞌin xjan Emanuel.
MAT.1.23	Jiꞌi xrondachro: ndo Dio stekuꞌuna ndo.
MAT.1.24	Hora xingameꞌe ndo José kuitikaon ndo ngeꞌe ti ndachro ndo ángel neꞌe Ncháina
MAT.1.25	*Xra kuintejuakaoꞌa kichuu sen, jeꞌe jan juinchejongíꞌe jan naa ichjan ko ndo José juinchekinꞌin ndo xjan Jesús.
MAT.2.1	Tjajna Belén tikinixinꞌen Judea, ntiꞌa jongíexin ndo Jesús. Nchakon meꞌe bakeꞌe naa xi rey bakinꞌin Herodes, xi meꞌe bakituanꞌan ntiꞌa. Nchakon meꞌe kui̱i̱ kaxin sen tsango noꞌe nchekuanxin nchanotsé. Sen meꞌe kui̱xi̱n sen ndatsjonxin chjuya. 
MAT.2.2	Ko juanchangi sen:
MAT.2.2	―¿Ti no jii xjan tsijongíꞌe xjan rey tsetuenꞌen ni judío? Ixi bikona nchanotsée xjan ndatsjonxin chjuya, ko juiꞌina ixi tsajonna juasaya
MAT.2.3	Ko xi rey Herodes kuinꞌen xa meꞌe, juincheꞌa xa juaxruxin ko kaxon kain ni tjajna Jerusalén. 
MAT.2.4	Tjumeꞌe xi rey Herodes kuiyeꞌe xa sen taana ícha tetuanꞌan ko kain ni tjako ley, ko juanchangiꞌe xa na̱ ixi no xrojongíexin ndo Cristo. 
MAT.2.5	Jeꞌe na̱ juatingíexin na̱:
MAT.2.5	―Jeꞌe xjan tsjongíexin xjan tjajna Belén tikinixinꞌen Judea, jaña tsikjin sen kuanichjaxin chijnie ndo Dio ó saꞌó:
MAT.2.6	Jaꞌa tjajna Belén nunteꞌe Judá,
MAT.2.6	á jeꞌa jaꞌa naa tjajna ícha nchíín
MAT.2.6	ngakjenꞌen ikaxin tjajna ícha ijié,
MAT.2.6	ko ntiꞌi tsachrjexin naa ngisen ícha tsetuanꞌan, ko jeꞌe ndo tsayakonꞌen ndo tjajnána Israel.
MAT.2.7	Tjumeꞌe xi Herodes imao kuiyeꞌe xa sen nchekuanxin nchanotsé ko juanchangi xa ngisa konoxin nchanotsé. 
MAT.2.8	Ko tjumeꞌe ndachro xa:
MAT.2.8	―Itjinta Belén, ntiꞌa tjanchangínta ixi ichjan meꞌe, ko ti no tsinchíinta xjan, nchenónanta ixi janꞌan kaxon itsji ngajin xjan tsajon juasaya.
MAT.2.9	Ko sen nchekuanxin nchanotsé kuinꞌen sen ngeꞌe ichro xi rey ko sakuintekji sen ko nchanotsé bikon sen meꞌe kuitaoꞌen sen ntiꞌa ko tjumeꞌe kuíxin nchanotsé ngataꞌa ti no jii jeꞌe xjan. 
MAT.2.10	Ko sen nchekuanxin nchanotsé tsango chéꞌe sen ixi bikon sen no bakeꞌe nchanotsé. 
MAT.2.11	Ko hora kuixinꞌin sen nchia ko bikon sen xjan jikao xjan jan María, janée xjan, bakeꞌexin ntatuchiꞌin sen, kuajon sen juasaya ngajin xjan ko kuantjeꞌe sen nta̱baúl tsikikaꞌo sen ko kuajon sen chika oro ko tsjo xraxe ko xro̱a̱n mirra. 
MAT.2.12	Ko tjumeꞌe koxienxin sen ixi íxrokjanꞌi sen ti jii xi Rey Herodes. Méxin, kua sen inaa chaꞌo, sakjui sen tjajnée sen.
MAT.2.13	Ko nchakon sakuintekji sen nchekuanxin nchanotsé, tjumeꞌe naa ndo ángel neꞌe Ncháina konoxin ngaya kotáchrién ndo José ko ndachro ndo ángel:
MAT.2.13	―Tingatjen, satikoꞌa ichjan ko janée xjan, satjinta tjajna Egipto. Ko ntiꞌa tinteenta ti xrondachrja̱njan janꞌan, ixi xi Herodes tjaun xa tsenꞌen xjan.
MAT.2.14	Tjumeꞌe ndo José kuaya ndo ko sabikao ndo ichjan ko janée xjan, tiie meꞌe kua sen chaꞌo sakjui sen tjajna Egipto. 
MAT.2.15	Ntiꞌa bakeꞌe sen, kuenjan xi Herodes. Jaña konꞌen ixi jaña tsichronga sen kuanichjaxin ndo Dio: “Tjajna Egipto bakeꞌe chjanꞌna ko janꞌan kuiyaꞌa xjan.”
MAT.2.16	Hora konoꞌe xi rey Herodes ixi sen nchekuanxin nchanotsé íkjanꞌi sen xranchi kuetuenꞌen xa sen, meꞌe xi Herodes tsango koñao xa ko kuetuanꞌan xa ixi tsenꞌen kain xjan xi, xjan xrachóndaꞌi yuu nano ste tjajna Belén ko xjan ste ngandeꞌe tjajna kaxon. Jaña kuetuanꞌan xa ixi jixraxaon xa ngeꞌe ndachro sen nchekuanxin nchanotsé. 
MAT.2.17	Jaꞌin konꞌen ixi ti tsikjin ndo Jeremías, ndo kuanichja chijnie Dio, nchakon tsindachro ndo:
MAT.2.18	Jaꞌin kuinꞌen chujni tée naa sen nichjaxin tjajna Ramá,
MAT.2.18	tsango kuyako sen ko tsango tsjanga sen.
MAT.2.18	Meꞌe nchri Raquel jitsjangaxin chjenꞌen nchra.
MAT.2.18	Ko tjaunꞌa nchra ixi xrojan ngisen sinchecháxin nchra ixi ó tsikintekenꞌen chjenꞌen nchra.
MAT.2.18	Jaña jitaxin xroon.
MAT.2.19	Ntiꞌa kuintee sen tjajna Egipto kuenjan xi Herodes ko naa ndo ángel neꞌe Ncháina konoxin ndo ngajin ndo José ngaya kotáchrién ndo ko jaꞌin ndachro ndo:
MAT.2.20	―Tingatjen ko satikoꞌa ichjan ko janée xjan, ikjannta tjajna Israel ixi ó ndakuenꞌen ni tjaun xrokóña xjan.
MAT.2.21	Ko tjumeꞌe ndo José kuaya ndo ko sabikao ndo xjan ko janée xjan tjajna Israel. 
MAT.2.22	Ko konoꞌe ndo José ixi xi Arquelao, chjenꞌen xi Herodes, tetuanꞌan xa nunte Judea, ti baketuanꞌan ndotée xa, xronka ndo José ixi xrokjui ndo ntiꞌa. Ko ixi tsichronga ndo Dio ixi kotachrin, méxin sakjui sen nunte tikinixinꞌen Galilea. 
MAT.2.23	*Ko tjajna ndatinꞌin Nazaret, ntiꞌa kuintee sen. Jaña konꞌen ixi jaña tsichronga sen kuanichjaxin ndo Dio ó saꞌó ko tsindachro sen ixi ndo Jesús xrojuinchekinꞌin na̱ ndo nazareno.
MAT.3.1	Nchakon meꞌe ndo Juan Bautista kuiji ndo ti jii ijna̱ nchese nunte Judea, ntiꞌa nichja ndo chijnie ndo Dio 
MAT.3.2	*ko jaꞌin nichja ndo:
MAT.3.2	―Ikjan titikaonnta ndo Dio ixi ó tuinxin tsonoxin juachaxien ndo.
MAT.3.3	Ndo Juan, meꞌe ndo tsindachro ndo Isaías:
MAT.3.3	Tée naa sen tuyako ti jii ijna̱:
MAT.3.3	“Nchekonchjiannta chaꞌo tsi̱ꞌxi̱n Ncháina
MAT.3.3	ko nchenataoxinnta chaꞌo.”
MAT.3.4	Ko manta jitsáa ndo Juan Bautista tsikonchjianxin chjuen kucamello ko naa tju̱a̱ jingatoxin ndo. Ko ti bajine ndo jeoxón kuxruꞌa ko tsjeen kunoa, kuntajie. 
MAT.3.5	Ko bakiji chujni Jerusalén ko ni Judea ko kueya chujni tjajna ste ngandeꞌe inda Jordán ko bakiꞌen na̱ ti kuandachro ndo. 
MAT.3.6	Ko kuachronga na̱ ti ndakoꞌa juincheꞌe na̱ ngajin ndo Dio ko tjumeꞌe ndo Juan bikitée ndo na̱ ti jii ndajitinga ndatinꞌin Jordán.
MAT.3.7	―Jaꞌanta tsikachrjenixinnta kunchee, ¿ngisen ntatjunta satsingeꞌenta juañaue ndo Dio ti ó tuinxin tsi̱i̱? 
MAT.3.8	Xrokonda ixi nduaxin tsjakonta ixi ó ti jian rincheꞌenta ko titikaonnta Ncháina.
MAT.3.9	*Ko xrondachroꞌanta ixi kuachrjenixinnta ndo Abraham ko jaña sinchejiénta asáanta ixi janꞌan ntatjunta ixi ixro jiꞌi chao ndo Dio sinchéña ndo chujni tsachrjenixin ndo Abraham. 
MAT.3.10	*Ko jacha ó jichónꞌen jacha xrochrijinxin nueꞌe nta̱yua ixi kain nta̱a̱ tajonꞌa itu jian xrokonda xrochrijin nta̱a̱ ko xroche nta̱a̱. 
MAT.3.11	Ko nduaxin tjakonta ixi juincheniꞌanta ti ndakoꞌa juincheꞌenta ko janꞌan inda bikitéexinta. Ko ícha tjumeꞌe tsi̱i̱ inaa ndo ícha tetuanꞌan, ko janꞌan tikinixinnaꞌi tsikiꞌan katée ndo, ko jeꞌe ndo tsikitéxinnta ndo Espíritue ndo Dio ko xroꞌi. 
MAT.3.12	Ko jeꞌe ndo ó jitikaꞌo ndo kachrintue ndo tsjenduaxin ndo noatrigo ko tsinchexin ndo no ti xineno ko tsakeꞌe ndo noa ti jii ntaneꞌto ko xineno tsjaaka ndo xineno, ko xroꞌi meꞌe naiꞌa tsanga xroꞌi.
MAT.3.13	Ndo Jesús kui̱xi̱n ndo nunte Galilea ko kuiji ndo ti jii ndajitinga ndatinꞌin Jordán ti jii ndo Juan Bautista ixi tsikitée ndo Jesús. 
MAT.3.14	Ko ndo Juan tjaunꞌa ndo tsikitée ndo ndo Jesús ko jaꞌin ndachro ndo:
MAT.3.14	―Xrokonda jaꞌanta tsikiténinta janꞌan, ko jaꞌanta tjiꞌinta ngajin ixi janꞌan tsikitéenta.
MAT.3.15	Ko ndo Jesús juatingíexin ndo:
MAT.3.15	―Jaña xrokonda sincheꞌena jai, ixi jaña tsitikaonna kain ti kuetuanꞌan ndo Dio.
MAT.3.15	Meꞌe ndo Juan kuitikaon ndo. 
MAT.3.16	Ko ndo Jesús bikitée ndo, tuinxin xenduaxin ndo inda ko meꞌe xitjeꞌe̱ ngajní
MAT.3.17	*Ko tuinxin kuinꞌenni naa tée séen kui̱xi̱n ngajní ko ndachro:
MAT.3.17	―Jiꞌin chjanꞌna tsango tjuaꞌa ko juaxruxin ritjén ngajin xjan.
MAT.4.2	Bakeꞌe ndo ijna̱, ko yuukan nchakon ko tiie juinchekatse ñao ndo jinta, méxin kuenꞌen ndo jinta. 
MAT.4.3	Ko Xixronꞌanxrée konchjiñeꞌe xa ti jii ndo Jesús ixi tjaun xa tsakaon xa ndo, méxin ndachro xa:
MAT.4.3	―Siá nduaxin jaꞌa Chjenꞌen ndo Dio, ndache ixro meꞌe xrokjan xro nutja.
MAT.4.4	Ko jeꞌe ndo juatingíexin ndo:
MAT.4.4	―Jitaxin xroon chijnie ndo Dio: “Jeꞌa jeꞌo nutja tsechónxin chujni. Kaxon kain chijnie ndo Dio, meꞌe tsechónxin chujni.”
MAT.4.5	Tjumeꞌe Xixronꞌanxrée bikao xa ndo Jesús tjajna tsango tjúá, tjajna Jerusalén, ko juinchengajinꞌin xa ndo ti ícha nui ngataꞌa niꞌngo, 
MAT.4.6	ko ndachro xa:
MAT.4.6	―Siá nduaxin jaꞌa Chjenꞌen ndo Dio, chrinka ti nunte ixi jitaxin xroon chijnie ndo Dio:
MAT.4.6	Jeꞌe ndo tsetuenꞌen ndo sen ángel tikinixinꞌen ndo
MAT.4.6	ixi xrotsengia sen
MAT.4.6	ixi tsontengíxinꞌa tutáa ixro.
MAT.4.7	Ko jeꞌe ndo Jesús juatingíexin ndo:
MAT.4.7	―Kaxon ndachro chijnie ndo Dio: “Tsakéꞌa naa ngeꞌe ixi tsikuan á chao sincheꞌe ndo Dio.”
MAT.4.8	Ko íjngo nchakon bikao xa ndo Jesús ngataꞌa ijna̱ ícha noi ko juakoꞌe xa ndo kain tjajna jii ngataꞌa nunte xasintajni
MAT.4.9	Ko ndachro Xixronꞌanxrée:
MAT.4.9	―Kain jiꞌi xrotjáꞌa siá jaꞌa tsakeꞌexian ntatuchiꞌian ko xrochjána̱na juasiaa.
MAT.4.10	Tjumeꞌe jeꞌe ndo Jesús ndachro ndo:
MAT.4.10	―Satjia jaꞌa Xixronꞌanxrée, ixi ndachro xroon chijnie ndo Dio: “Jeꞌo Ncháa ndo Dio xrokonda xrochjeꞌé ndo juasaya ko jeꞌo ngajin jeꞌe ndo tsitikaoan.”
MAT.4.11	Ko Xixronꞌanxrée ngaxiton xa ko tjumeꞌe kui̱i̱ kaxin sen ángel ngajin ndo Jesús ko kuayakonꞌen sen ndo.
MAT.4.13	*Ko kuitueꞌa ndo tjajna Nazaret; sakjui ndo tjajna Capernaum, tjajna meꞌe jii ngandeꞌe ndachaon tjenka nunte Zabulón ko Neftalí. 
MAT.4.14	Jaꞌin konꞌen xranchi ti tsikjin ndo Isaías chijnie ndo Dio. Jaꞌin tsindachro ndo:
MAT.4.15	Nunte Zabulón ko nunte Neftalí ti jii chaꞌo
MAT.4.15	ngandeꞌe ndachaon tuenxin ndajitinga ndatinꞌin Jordán,
MAT.4.15	nunte Galilea ti ste ni chúxinꞌa ndo Dio.
MAT.4.16	Chujni tjajna ste naxixeꞌe bikon na̱ ijié xroꞌi,
MAT.4.16	ko ni ste ti jii tsaꞌon neꞌe xichononte,
MAT.4.16	xroꞌi bingasáñeꞌe na̱.
MAT.4.17	―Tintuꞌenta ti ndakoꞌa kuancheꞌenta ixi juachaxien ndo Dio jii ngajní ó tjenkanta jii.
MAT.4.18	Ndo Jesús jitatsinga ndo ngandeꞌe ndachaon ndatinꞌin Galilea, ntiꞌa bikon ndo yuu sen, sen meꞌe kichuu sen, naa ndo ndatinꞌin Simón ko kuanchekinꞌin na̱ ndo Pedro, ko ndo kichuu ndo ndatinꞌin ndo Andrés. Jeꞌe sen stetánka sen nochaꞌa ngangi inda, ko kuansengi sen kuchee̱ ixi jeꞌe sen ixra̱ meꞌe kuancheꞌe sen. 
MAT.4.19	Ko ndo Jesús ndache ndo sen:
MAT.4.19	―Xrokuiinta ruaꞌnaninta ko janꞌan sintakuanꞌannta xronichjeꞌenta chujni meꞌe tsitikaon na̱ najanꞌan, ko xrokjui xranchi xrotsénta kuchee̱.
MAT.4.20	Ko tuinxin kuintuꞌe sen nochaꞌa ko ruéꞌe sen ndo.
MAT.4.21	Ko kuiji ndo Jesús ícha ndáꞌa bikon ndo íjngo yuu sen, ko sen meꞌe kaxon kichuu sen, naa ndo ndatinꞌin Jacob ko inaa ndo ndatinꞌin Juan, yui sen chjenꞌen ndo Zebedeo ko yui sen stekao sen ndotée sen ngaxinꞌin nta̱barco ixi stetjaun sen nochaꞌa tséxin sen kuchee̱. Tjumeꞌe ndo Jesús kuiyeꞌe ndo sen. 
MAT.4.22	Ko jeꞌe sen tuinxin kuintuꞌe sen nta̱barco ko kuintuꞌe sen ndotée sen ko ruéꞌe sen ndo Jesús.
MAT.4.24	Ko kain ti ixra̱ jian kuancheꞌe ndo, meꞌe konoꞌe ni ste nunte Siria ko bikaꞌo na̱ kain ni kuachónda ngixeꞌi ichin ko ni chónda espíritue Xixronꞌanxrée, ni bakendáa, ko ni juaꞌi itji, ko ndo Jesús juinchexruenꞌen ndo na̱. 
MAT.4.25	Ko kueya chujni kuarueꞌe na̱ ndo Jesús, ni nunte Galilea ko ni tjajna Decápolis ko ni tjajna Jerusalén ko nunte Judea ko ni kui̱xi̱n tuenxin ndajitinga ndatinꞌin Jordán.
MAT.5.1	Ndo Jesús bikon ndo ixi xejo kueya chujni, meꞌe kuajinꞌin ndo ngataꞌa ijna̱ ko ntiꞌa bakeꞌe ndo nunte. Ko kaxon sen teyuu kuarueꞌe ndo, konchjiñeꞌe sen ngajin ndo. 
MAT.5.2	Tjumeꞌe ndo Jesús kuaxi nichja ndo ko jaꞌin ndachro ndo:
MAT.5.3	―Juaxruxin tsakeꞌe sen xraxaon ixi nduaxin xrokondeꞌe sen ndo Dio ixi sen meꞌe tsayéꞌe sen juachaxin tsintee sen ti tetuanꞌan ndo Dio.
MAT.5.4	’Juaxruxin tsakeꞌe kain sen stechíín ixi xrojan ngeꞌe ti ndakoꞌa konꞌen sen, ko jeꞌe ndo Dio tsajon ndo juachaxin ixi juaxruxin tsintee sen.
MAT.5.5	’Juaxruxin tsakeꞌe sen nchejiéꞌa aséen ixi jeꞌe sen tsayéꞌe sen nunte ti ó ndachro ndo Dio tsajon ndo.
MAT.5.6	’Juaxruxin tsakeꞌe kain sen tjaun xranchi xrojuine o̱ xrokuiꞌi chijnie ndo Dio ixi jeꞌe ndo Dio tsajon ndo ti jian ngaya aséen sen.
MAT.5.7	’Juaxruxin tsakeꞌe sen tingijna sen kichuu, jaña ndo Dio kaxon tsikonóeꞌe ndo sen.
MAT.5.8	’Juaxruxin tsakeꞌe sen kuitikaon ko juinchetjúá aséen ixi jeꞌe sen nduaxin tsikon sen ndo Dio.
MAT.5.9	’Juaxruxin tsakeꞌe kain sen stetingijna ixi tsinteke̱to̱ꞌa chujni ko ndo Dio sinchekinꞌin ndo sen chjenꞌen ndo.
MAT.5.12	*Cháꞌanta ko juaxruxin takeꞌénta ixi jaꞌanta tsayeꞌenta naa ngeꞌe ícha jian jii ngajní. Ixi jaña juinchekao na̱ sen saꞌó, sen kuanichja chijnie ndo Dio.
MAT.5.15	*Xroꞌan ngisen sinchekakiin naa xroꞌi ko tsakeꞌe sen xroꞌi ngangi naa chikute. Naꞌi, xroꞌi takeꞌe xroꞌi noi ngataꞌa naa nta̱a̱ ixi sinchengasáña xroꞌi kain chujni ste nchia. 
MAT.5.16	*Jaña jaꞌanta kaxon nchengasáñeꞌenta kain chujni jii ngandajinnta, meꞌe tsikon chujni ti jian ncheꞌenta, jaña jeꞌe na̱ tsajon na̱ juasaya ngajin Ndotáina jii ngajní.
MAT.5.17	’Jaꞌanta xraxaonꞌanta ixi janꞌan juiꞌi ixi sintamaꞌa ley kuajon ndo Moisés ko ti ngeꞌe ndachro ikaxin sen nichja chijnie ndo Dio. Naꞌi. Janꞌan juiꞌi ixi tsitikaꞌon kain ti kuetuanꞌan ndo Dio ko sintakuanꞌannta ngeꞌe xrondachro chijni meꞌe. 
MAT.5.18	*Ko nduaxin xrontatjunta ixi xratsatsingaꞌi ngajní ko nunte xasintajni, xroꞌan ley kuetuanꞌan ndo Dio tsoméꞌe, ko ní naa letra tsachrjendeꞌa. Naꞌi, kain ti ndachro chijni, meꞌe xrokonda tsonꞌen. 
MAT.5.19	Ko ngisen tsitikaonꞌa ko sincheꞌa ti ndachro ley kuetuanꞌan ndo Dio, maski naa ley nchíín tsitikaonꞌa sen, ko jaña sinchekuenꞌen sen chujni, kaxon nchion juasie ndo Dio tsayéꞌe sen ti jii ngajní tetuanꞌan ndo Dio. Ko siá ndako tsitikaon sen ley kuetuanꞌan ndo Dio ko jaña sinchekuenꞌen sen chujni, ijié juasie ndo Dio tsayéꞌe sen ntiꞌa ti jitetuanꞌan ndo Dio, 
MAT.5.20	Méxin, janꞌan ntatjunta xrokonda tsango jian tsitikaonnta ndo Dio ícha ixi ni fariseo ko ni tjako ley kuetuanꞌan ndo Dio, ko siá sincheꞌanta ícha jian juaꞌi tsixinꞌinnta ti tetuanꞌan ndo Dio.
MAT.5.21	’Jaꞌanta ó kuinꞌennta ti kuituenꞌen sen saꞌó: “Juaꞌi naatsóñaxónnta ni kichuunta, ixi ngisen sincheꞌe jaña tsitsingataꞌa sen ijie̱.” 
MAT.5.22	Ko janꞌan ndachrja̱n siá xrojan ngisen xraningakonꞌen sen sen kichuu, sen meꞌe tsitsingataꞌa sen ijie̱. Ko ngisen tsengeꞌe kichuu teka, sen meꞌe, ni tetuanꞌan tsjankataꞌa na̱ sen ijie̱. Ko ngisen xrondache sen kichuu ixi tsinchetjáña jaa sen, sen ndachro meꞌe satsji sen ngangi xroꞌi kain nchakon. 
MAT.5.23	Méxin siá tsikuꞌunta naa ngeꞌe tsajonxinnta juasianta ngajin ndo Dio ngaxinꞌin niꞌngo ko ntiꞌa xroxraxaonnta ixi xrojan sen kichuunta toñaoꞌanta sen, 
MAT.5.24	ntiꞌao tintuꞌenta ngeꞌe ritikuunta ngataꞌa altar, ko itjinta, tjaunnta sen ko tjancheꞌenta sen juatitjáña kondeexin ngeꞌe kue̱to̱nta. Tjumeꞌe ikjannta ko tájonnta ti bikuunta ngajin ndo Dio.
MAT.5.25	’Siá xrojan ngisen kuichro ijie̱ kontraanta, cháña tuinxin tjaunnta sen ko nchekonchjiannta ti stetoñaoxinnta ixi xrayaꞌonta chaꞌo, ko xratjasoꞌanta ti jii xi nchéña ijie̱ ba̱ tsituanꞌan xa xi policía xroxraxinꞌinnta xa ndoꞌachjiso. 
MAT.5.26	Ko nduaxin ntatjunta ixi tsachrjexinꞌanta ndoꞌachjiso tsjengajanta ꞌna̱ kain ti tasinkanta.
MAT.5.27	’Jaꞌanta kuinꞌennta chijni tsikitueꞌen sen saꞌó jaꞌin ndachro: “Chondaꞌinta inaa nchri, nchri jeꞌa nchrinchriꞌanta o̱ jeꞌa xixiꞌanta.” 
MAT.5.28	Ko janꞌan ndachrja̱n ngixeꞌi naa xi xrotsjeꞌe xa inaa nchri ko tsingakuenxin xa nchra, meꞌe ó juincheꞌe xa ti ndakoꞌa ngaya aséen xa.
MAT.5.30	*Ko siá tjáa ndatsjonxin jian sintekateya ixi sincheꞌe ti ndakoꞌa, cháña tonchrijian tjáa ko ndáꞌa tjanka ixi cháña tsitjáña tuꞌo cuerpoa ko jeꞌa tsitjáña nchijíi jaꞌa ti jii xroꞌi naiꞌa tsanga.
MAT.5.32	*Ko janꞌan ndachrja̱n ixi ngixeꞌi xi ítjaunꞌa nchrinchriꞌe xa, ko tjaun xa tsintuꞌe xa nchra, chao, jeꞌo siá nchrinchriꞌe xa juincheyeꞌe nchra xa ixi inaa xi. Siá naꞌi, meꞌe jeꞌe xa xranchi xrojuinchekateya xa nchra sincheꞌe nchra ti ndakoꞌa. Ko xi tsuteꞌe naa nchri, nchri tsikintuꞌe xixiꞌe, xi meꞌe tsama xa ijie̱ kaxon, xranchi naa xi kuejuakao inaa nchri.
MAT.5.33	’Kaxon tsikinꞌennta ti kuetuenꞌen sen saꞌó: “Takeꞌanta ndo Dio xranchi nduaxin xrojuincheꞌenta ti ndachronta ko ncheꞌanta; jaꞌanta xrokonda sincheꞌenta ti tsindachronta ngajin Ncháina.” 
MAT.5.34	*Ko janꞌan ndachrja̱n ixi juaꞌi tsakéenta ndo Dio ko ncheꞌanta ti ndachronta o̱ ngixeꞌi naa ngeꞌe ti jii ngajní ixi ngajní meꞌe ntaxitueen ndo Dio, ti tetuanxin ndo. 
MAT.5.35	Ko kaxon juaꞌi tsakéenta nunte xasintajni ko nduaxinꞌa sincheꞌenta ixi ngataꞌa nunte ntiꞌi takeꞌe tutée ndo Dio, ko juaꞌi xronichjaxinnta ixi tjajna Jerusalén ixi tjajna meꞌe tjajnée ndo Dio, ndo Rey tsango tetuanꞌan. 
