MAT.1.1	Níilii caasamuncii Yéesu 
MAT.2.9+MAT.2.10	Ga waa buuraa woꞌꞌa naɓa bi lëehíꞌta, ɓa ammba waas. Ee ga waa ɓa en ga waasɗa, ɓa hotissa kuꞌolkaa ɓa séenee ga Peŋkuɗa. Daa ɓa hotja hen keeñɓa soossa lool. Kuꞌolkaa kuliyukka ga fíkíiɓa bi ga ɗekataa oomaanaa enohɗa, ja tuukka da. 
MAT.2.11	Fodaama, ɓa aassa ɗuuƴ kaanfaa. Ɓa hotta kuꞌoomaakaa na eeci, Mariyaama. Ɓa ƴíꞌꞌa, jaamukussa kuꞌoomaakaa. Lëehíꞌta ɓa pëkíssa hëmbúcaagaɓa, ɓa eꞌtari cikëñíꞌcaa: enee wúrúus, cúuraay, na 
MAT.2.12	Waa ennda ɗa, Kooh yéegallaɓa ga heeƴ an ɓa hanat kiɓoyukoh ga Eroot. Ɓa ɓoƴkohha waas wiliis ɓaa ƴah kúlɓa.
MAT.2.13	Laakka 
MAT.2.13	- Kolka, ɓewaa oomaanii na eeci, núpaa kúlkaa Esípti, ndaga buuꞌ 
MAT.2.14	Yoseef kolukka ga wek, ɓeɓpa oomaanaa na eeci, kaꞌneera naɓa kúlkaa Esípti. 
MAT.2.15	Ya tessa daama bi ga daa Eroot kaanɗa. Fodaama iñaa Haꞌmudii woꞌee, koorohha ga kúuwkaa 
MAT.2.17	Fodaama, iñii yii ee Yérémíi 
MAT.2.18	«Laakin koonaakaa kelohuk ga teeraa Ramaa,
MAT.2.18	tikodukoh na tilooyoh timéeskíꞌ taa da.
MAT.2.18	Rasel yërí en na kikoduk towutaagari,
MAT.2.18	ee ya waaꞌtii ken ɗékóhíꞌti, ndaga ta lísissii.»
MAT.2.19	Waama, lak buuꞌ 
MAT.2.20	woꞌꞌari an:
MAT.2.20	- Ɓuwaa heelsee kiꞌap oomaaniiɗa kaanuunun. Kolka, ɓewaa oomaanii na eeci, ɓoƴkaa kúlkaa 
MAT.2.21	Yoseef kolukka, ɓeɓpa oomaanaa na eeci, ya ɓoyukka kúlkaa Isarayeel. 
MAT.2.22	Ee daa Yoseef kelohee an Arkelawoos yërí lam Eroot, paamci ga kibuuꞌkaa kúlkaa Yúudée, ya niikka da kikaꞌ. Kooh woꞌꞌa nari ga heeƴ, ya kaꞌneera gohaa Gëlílée. 
MAT.2.23	Ya dëkka ga teeraa woꞌu 
MAT.3.1	Ga jamaanaama, Saŋ-Bëtís hayya ga, ya yaa jangat ga ɗuuƴ ëgíꞌ-dúndagaa kúlkaa Yúudée an:
MAT.3.2	- Súpítat kipeskiigarúu, ndaga Nguurii ga ɗookɗa deeyin!
MAT.3.3	Saŋ yërí en ɓaa 
MAT.3.3	«Laakin koonaa-ɓoꞌ, kaa en na kiwoꞌ didóolíꞌ ga ëgíꞌ-dúndagaa an:
MAT.3.3	“Waayukɗat 
MAT.3.4	Saŋ ekukee kúltífaa terohu na fënúf geeleem, ya pëkírukka liiɓ-on ga kenohkaa. Ya daanee kiñam paƴ na kúum. 
MAT.3.5	Ɓuwaa ɓaa meyoh Yéerúsaleem, na ɓéeɓ kúlkaa Yúudée na ɓéeɓ dëkcaa deeƴ húlúwaa Yúrdeŋɗa, ɓaa hay gari. 
MAT.3.6	Ɓa ɓaa récuk baakaaꞌcaagaɓa ga fíkíi ɓéeɓ ee Saŋ yaa bëtísiꞌɓa ga húlúwaa Yúrdeŋ. 
MAT.3.7	Daa Saŋ hotee 
MAT.3.7	- Heet goŋ-saamaancii, ɓii lëdíꞌtúu ɓa iñaa tahanndúu kirëc ga aylukaa Kooh ƴah kihayɗa? 
MAT.3.8	Kon tumat iñcaa teewohin an ɗú récukin baakaaꞌciigarúu. 
MAT.3.9	Ee kaa abat ga hellúu an: “
MAT.3.10	Diima deŋ këkúsaa tíimin boscaa tediktaa, kigúꞌ níilcaa. Kon kedikkaa límmbii towu tijófíꞌ tóoh, gúru, jafu ga kiwii. 
MAT.3.11	Mi, mi bëtísiꞌꞌúu ga músú kiteewoh an ɗú súpítin kipeskiigarúu. Wayee ɓaa en na kihay ga fenoorooɗa ƴahhúu kibëtísiꞌ na Helaa yiselaꞌíꞌyaa na ga kiwii. Yërí wëñnjoo kimat: mi jutuutin ga kiɗol ñafaꞌcaagari. 
MAT.3.12	Kankaa kaa ga yahci ee ya ƴah kifaaꞌ yoonaagari, ya ek tohootaagari ga dapaa; wayee fekiꞌfaa, ya hayfa kitëkíꞌ ga kiwiikaa ƴímoo taaꞌɗa.
MAT.3.13	Waa ennda ɗa, Yéesu kúlkohha Gëlílée hayya kibëtísiꞌuknee ga Saŋ ga húlúwaa Yúrdeŋ. 
MAT.3.14	Wayee Saŋ tookkii, ya woꞌꞌa Yéesu an:
MAT.3.14	- Mi yërí sooluk kihay garaa fu bëtísiꞌꞌoo, fu nammba garoo kihay!
MAT.3.15	Wayee Yéesu loffari an:
MAT.3.15	- Tookaa hen rek, ndaga ɗu jomin kimëtíꞌ iñaa Kooh waaꞌɗa.
MAT.3.15	Waa ennda ɗa, Saŋ tookka. 
MAT.3.16	Daa Yéesu bëtísiꞌsee bi lëehíꞌta, ya meƴca músúmaa. Ga saasi asamaanaa lëgísukka, ya hotta Helaa Kooh yaa yoosuk ga ɗookci en fan hoꞌ. 
MAT.3.17	Laakka koonaakaa meyoh ɗook woꞌꞌa an:
MAT.3.17	- Ɓii yii yërí en Kowukiigoo mi keeñukɗa, keeñnjoo soosin gari!
MAT.4.1	Waa ennda ɗa, Helaa yiselaꞌíꞌyaa woocca Yéesu, ɓayyari ga ɗekat, ëgíꞌ-dúndaŋ doonaa Seytaani fíꞌti. 
MAT.4.2	Ga waa Yéesu ooꞌta noh-noh cidaaŋkaah-nikiis na wekcaagaca, faf kiyaaɓ ammbari. 
MAT.4.3	Waa ennda ɗa, Seytaani deeƴca Yéesu kifíꞌti. Ya woꞌꞌari an:
MAT.4.3	- En lak fu yërí en 
MAT.4.4	Wayee Yéesu loffari an:
MAT.4.4	- Këyítfaa woꞌ an: «Ɓoꞌ pesohanndii na mbúurú doŋ, wayee ɓan, na tóoh woꞌeenaa meyohin ga kúuw Kooh.»
MAT.4.5	Waa ennda ɗa, Seytaani ɓayyari Yéerúsaleem, teeraa wiselaꞌíꞌwaa, yíppari ga ɗook 
MAT.4.6	woꞌꞌari an:
MAT.4.6	- En lak fu yërí en Kowukii Koohaa, yípukaa kakay, ndaga Këyítfaa woꞌ an:
MAT.4.6	«Kooh hayyaa kinakiꞌ 
MAT.4.6	ɓa teeŋngaa ga yahcaagaɓa, doonaa kotfu këftukoo ga atoh.»
MAT.4.7	Yéesu loffari an:
MAT.4.7	- Bíduunun ɓan an: «Kaa jéematuk 
MAT.4.8	Waa ennda ɗa, Seytaani ɓayissa Yéesu ga ɗook jaŋjaŋ wihóoríꞌ, ya teeɓpari dëkcii ga ëldúnaɗa tóoh na ndamaa nguuraagaca, 
MAT.4.9	woꞌꞌari an:
MAT.4.9	- Mi hayyaa kiꞌon iñcuma tóohca binaa fu ƴíꞌ ga fíkíiroo, fu jaamukkoonaa.
MAT.4.10	Wayee Yéesu woꞌꞌari an:
MAT.4.10	- Nískaa dii Seytaani! Ndaga Këyítfaa woꞌ an:
MAT.4.10	«Fu ƴíꞌɗan Haꞌmudii, Koohyiigaraa
MAT.4.10	ee fu jaamukanndi ya doŋ.»
MAT.4.11	Waa ennda ɗa, Seytaani hannda Yéesu kiꞌíis kimma, laakka malaakacaa Kooh hayu ga Yéesu ɓa ɓaa toputuꞌꞌi.
MAT.4.12	Ga waa Yéesu kelohha an Saŋ-Bëtís abuunun ga kasu, ya kaꞌta gohaa Gëlílée. 
MAT.4.13	Ya yuŋngii ga 
MAT.4.14	Iñaama laakka fodaama doonaa iñaa 
MAT.4.15	«Ɗú ɓu-Sabulon, ɗú ɓu-Neftalíi;
MAT.4.15	Gohcii deeƴ ga giiyii bi ga ɓakaa hanoh húlúwaa Yúrdeŋ gaaɗa;
MAT.4.15	Fu Gëlílée, kúlkii ɓuwii enussii yaawúuꞌ dëkohɗa!
MAT.4.16	Heetii dëkee ga ñúusɗa, hotin leeꞌlaat wiyaak,
MAT.4.16	ɓuwaa dëk ga kúlkaa kiñúusíꞌkaa kikaan enohɗa, leeꞌlaat hayin gaɓa!»
MAT.4.17	Waa ennda ɗa, Yéesu aawwa kijangat an:
MAT.4.17	- Súpítat kipeskiigarúu, ndaga 
MAT.4.18	Yéesu enee na kitíidisuk ga seereenaa 
MAT.4.19	Yéesu woꞌꞌaɓa an:
MAT.4.19	- Taabukattoo, mi hayyúu kitum ɓimbaaloh ɓoꞌ! 
MAT.4.20	Ga saasi ɓa foñnja mbaalcaagaɓa, ɓaa taabukki. 
MAT.4.21	Ga waa Yéesu kaꞌta bi ga fíkíi, ya hotta ɓoꞌ ɓanak ɓiliis ɓaa bokoh. Enee towutaa 
MAT.4.22	Yéesu ɓayyaɓa; ga saasi, ɓa foñnja paamɓa na gaal-loocaa, ɓaa taabukki.
MAT.4.23	Yéesu yaa wíil gohaa Gëlílée ɓéeɓwa, yaa jëgíroh ga 
MAT.4.24	Teekaagari síwwa ga ɓéeɓ kúlkaa Síríi. Ya yaa komu ɓéeɓ ɓuwaa ɗúukool, ee ɗúukoolcaagaɓa na mesiklaatcaagaɓa bokkii. Ennda ɓuwaa raɓ abee na ɓaa laakee cikeen-keen, na lafañcaa, ya yaa wëkíꞌɓa. 
MAT.4.25	Mbooloo wiyaak waa taabukki: ɓuwaa meyohee gohaa Gëlílée na gohaa Teerucaa Cidaaŋkaahcaa, na teeraa Yéerúsaleem, na gohaa Yúudée, na gohaa hanoh húlúwaa Yúrdeŋ gaaɗa.
MAT.5.1	Daa Yéesu hotee mbooloomaa, ya lappa ɗook jaŋjagaa, ya yuŋnga, tëelíbéecaagari hayussa ga yahaaci. 
MAT.5.2	Ya aawwaɓa kijëgíꞌ woꞌeencii cii:
MAT.5.3	- Ɓa yewinin múuꞌ, ɓuwii tookuunun ga keeñɓa kinduulkaagaɓa ga fíkíi Koohɗa, ndaga 
MAT.5.4	Ɓa yewinin múuꞌ, ɓuwii en na kikoduk watiɗa, ndaga Kooh hayɓa kiɗékóhíꞌ!
MAT.5.5	Ɓa yewinin múuꞌ, ɓuwii yewinin jamɗa, ndaga ɓërí ƴah kilam ëldúna!
MAT.5.6	Ɓa yewinin múuꞌ, ɓuwii ɗíibuk kipes ga iñaa Kooh nakohɗa, ndaga Kooh hayɓaka kitumiꞌ!
MAT.5.7	Ɓa yewinin múuꞌ, ɓuwii laakin yërmaandi ga mooroomɓaɗa, ndaga Kooh hay kilaak yërmaandi gaɓa!
MAT.5.8	Ɓa yewinin múuꞌ, ɓuwii setin keeñɗa, ndaga ɓa hay kihot Kooh!
MAT.5.9	Ɓa yewinin múuꞌ, ɓuwii saki jam daa ɓa enoh tóohɗa, ndaga ɓa hay kiɓayu ɓitowu Kooh!
MAT.5.10	Ɓa yewinin múuꞌ, ɓuwii hatalu ga kipesɓa, ndaga kitum iñaa Kooh nakohɗa; Nguuraa ga ɗookɗa wuuɓa!
MAT.5.11	Ɗú yewinin múuꞌ, binaa mi tah ɗú ɓassi, ɗú hatalsi ga kipessúu, ɗú woꞌɗusi enaama yibóníꞌ yaa en ɓéeɓ ee saboh!
MAT.5.12	Leenaa keeñnjúu soosat, ɗú neɓluki, ndaga neehalaagarúu ga ɗookɗa hay kiyak. En kiꞌenaa, 
MAT.5.13	- Ɗú ɓërí en maraamii ëldúna. Binaa maraa safissiinaa, ma ɗaanohsan na ya? Ma laaksisoo jeriñ, ma aamsan ga lëedúu, ɓuwaa togisohma. 
MAT.5.14	Ɗú ɓërí en leeꞌlaatii ëldúna. Teeraa tawahu ga ɗook tëgël mínoo kiɗaakuk. 
MAT.5.15	Ken taaloo lampu líꞌ kanu ga ɗookgaanaa. Wayee fu líkanwa hen doonaa wa mín kileeꞌ ga ɓéeɓ ɓuwaa enu ga túuyaaɗa. 
MAT.5.16	Kon leeꞌlaatii en garúuɗa jom kimelic fodaama ga fíkíi ɓuwii. Doonaa ɓa mín kihot tumeencaagarúu cijófíꞌcaa, ee ɓa mín kikañ Paammbúu yii en ga ɗookɗa.
MAT.5.17	- Kaa foogat an mi hay kinís 
MAT.5.18	Mi woꞌꞌúuka ee kayoh; en an asamaanii na kakayfii cii lís diinaa, kuꞌoc jíinoo wala kufíiskaa wëñ kijutuut ga Bíncii Waasii nískoo ga, bi ga daa tóoh laakan. 
MAT.5.19	Kërí tah, ɓaa fu foñ enaama yíinoo doŋ yaa wëñ kijutuut ga iñcii nakohu kitumɗa, fu jëgíꞌ ɓuwaa kitum fodaamanaa, fu tíksan ɓaa wëñ kijutuut ga 
MAT.5.20	Mi woꞌꞌúu man: jëgíroh-waascii na 
MAT.5.21	- Ɗú kelohin an woꞌsee caasamuncaa an: «Kaa laŋ kumuun ɓoꞌ. Ɓaa laŋ kumuun ɓoꞌ ɓéeɓ hay kiɓayu ga waas.» 
MAT.5.22	Ee mi woꞌꞌúu man: Ɓaa ayluk mooroomcinaa, gënin gari ya ɓayu waas. Ɓaa ɓas mooroomci an “Fu enndii dara” ɓéeɓ, gënin gari ya ɓayu ga fíkíi 
MAT.5.23	Binaa book, ɓaa fu tuuk kiꞌeꞌ Kooh sarah ga 
MAT.5.24	foñaa sarahaa daama ga loteelaa. Kara, fu júwohnee na mooroomfu paaƴ. Lëehíraa, ɓoƴka, fu eroh sarahaagaraa. 
MAT.5.25	Binaa fu laakoh na ɓoꞌ, ɗú taam kilayohneenaa, gaawaa nari kijúwoh ga waasaa. En ɗanaa ya tíkooraa ga yah attiꞌohaa, yaama tíkkaa ga yah ëlkëetaa, fu tëcu ga kasu. 
MAT.5.26	Mi woꞌꞌúuka ee kayoh; fu meyohoo daama ee fu fayyii iñaa fu laakiꞌtiɗa bi ga fíftínaa mëeñjohɗa.
MAT.5.27	- Ɗú kelohin an woꞌsee an: «Kaa ɗúk ƴaalfu wala ɓetifu, fu faanuk na ɓoꞌ yiliis.» 
MAT.5.28	Ee mi, mi woꞌꞌúu man: ɓaa fu malak ɓeti mooroomfu bi helfu tes garinaa, fu ɗúkin ɓetifu, fu faanukka na ɓetifaama ga helfu. 
MAT.5.29	Binaa en lak kuhaskaagaraa ñaabaa tahhaa kitum baakaaraa, lukitaaja fu jafja diꞌúsaayíꞌ. Iñaa gën garaaɗa wërí en kiñak ɓak wíinoo ga faanfiigaraa loo faanfiigaraa tóohfa jafu ga safara. 
MAT.5.30	Ee en lak yah-ñaabaagaraa tahhaa kitum baakaaraa, gúraawa, fu jafwa diꞌúsaayíꞌ. Iñaa gën garaaɗa wërí en kiñak ɓak wíinoo ga faanfiigaraa loo faanfiigaraa tóohfa jafu ga safara.
MAT.5.31	- Laakin iñaa woꞌsee an: «ɓaa fu foñ ɓetifunaa, eraari jikëyítjaa teewoh an fu fasiꞌinndi.» 
MAT.5.32	Wayee mi woꞌꞌúu an: ɓéeɓ ɓaa fu foñ ɓetifu, ee enndii an ya ɗúkkaa hen faanukka na ƴaal yiliisaa, fu ekki ga kifaanuk na ɓoꞌ yiliis. Ee ɓaa fu pañ ɓetifaa fasiꞌu henaa, iñaa kiɗúk ɓetifu fu faanuk na ɓeti filiis.
MAT.5.33	- Ɗú kelohin ɓan an woꞌsee caasamuncaa an: «Kaa waatuk sooƴ, wayee iñaa fu waatukin kitum ga fíkíi 
MAT.5.34	wayee mi, mi woꞌꞌúu man: Kaa waatat hen dara. Enndii ga teekii ɗook-Kooh, ndaga Kooh yuŋ daama kinguuruk. 
MAT.5.35	Enndii ga teekii kakayfii ndaga Kooh tum da ditogaaꞌ kotci. Enndii ga teekii Yéerúsaleem, ndaga daama en teeraa buurii yiyaakyii. 
MAT.5.36	Kaa waatuk ga hafiigaraa ndaga fu mínoo kiyaanaawiꞌ wala kisúusúusíꞌ kufen jíinoo ga. 
MAT.5.37	Woꞌeenndúu en “Eheenaa”, enat “Ehee”. En óꞌóonaa enat “óꞌóo”. Iñaa ɓaatuk ga ɓéeɓ, meyoh ga Seytaani.
MAT.5.38	- Ɗú kelohin woꞌu an: “Kobot baam fayohsi baam”
MAT.5.39	wayee mi, woꞌꞌúu an: ɓoꞌ tummbúu iñaa meskinaa, kaa ëldúkat. Binaa ɓoꞌ múttaa paꞌ ga ŋaamaagaraa ñaabaanaa, eraari wíinoowaa ɓan. 
MAT.5.40	Binaa ɓoꞌ waaꞌtaa kiɓay waas kiteꞌ túrkaagaraanaa, íisɗaari ɓan sibidooraa. 
MAT.5.41	Binaa ɓoꞌ gítínndaa kitíin gaaf cijúnninaa, tíidaa nari cijúnni-kanak. 
MAT.5.42	Ɓoꞌ kíimmbaanaa onaari, ee kaa saŋ kilúun ɓaa hayinndaa kilúuduk.
MAT.5.43	- Ɗú kelohin woꞌu an: «Waaraa ɓaa en fiiliifu, fu saŋ ɓaa waaꞌtii garaa kihot»; 
MAT.5.44	wayee mi, mi woꞌꞌúu an: Waarat ɓuwii waarussii garúu kihotɗa ee ɓuwii hatallúu ga kipesɗa, ɗú kíimɗiɓa Kooh. 
MAT.5.45	Ɗú tumkanaa, ɗú hay kiꞌen towutii Paamudiigarúu en ga ɗookɗa. Ndaga nohiigari ya oninwa ɓuwii joffii na ɓuwii jofinɗa. Ya towi ga ɗook ɓuwii júwinɗa na ɓuwii júɓpiiɗa. 
MAT.5.46	Binaa en lak ɗú waaꞌ ɓuwii waaꞌtúuɗa rekaa, neehalii wiida wërí ɗú laakan ga iñaama? Iñaama, bi ga juuticii sah tumsinndi. 
MAT.5.47	En lak ɗú këñɗohi na ɓoꞌꞌúu dogaa, ɗú tum ya daama yiyëkíꞌ? Iñaama, bi ga yiifaꞌcii tumsinndi. 
MAT.5.48	Kon enat ɓuwaa matin, fodii dii Paammbúu yii ga ɗook matɗa.
MAT.6.1	- Binaa ɗú en na kitum iñii Kooh nakohɗanaa, abukat ga kiheel kihotuk bi tah ɗú tumika ga fíkíi ɓuwii ɓéeɓ. Enndiikanaa, ɗú laakanndii neehal wíinoo ga Paammbúu yii ga ɗookɗa. 
MAT.6.2	Kon binaa fu en na kisarah ɓaa laakoonaa kaa típ han, kiwaaꞌ kiyéeguk, fodaa daa ɓuwaa ɓíinoo jófjófɗuki tumsi ga ɗuuƴ 
MAT.6.3	Wayee fu, binaa fu en na kisarah ɓaa laakoonaa, yah-segaagaraa hanat kiꞌínoh iñaa yah-ñaabaagaraa tumɗa, 
MAT.6.4	doonaa sarahaagaraa ɗaakuk, ee paamfu yii hotin ga iñaa ɗaakukinɗa, hayyaaka kiꞌík.
MAT.6.5	Ee binaa ɗú en na kikíim Koohaa, kaa madat na ɓuwii ɓíinoo jófjófɗukiɗa. Ɓa waari kituuk ɓa kíimi Kooh ga ɗuuƴ 
MAT.6.6	Wayee fu, fu en na kikíim Koohaa, aasaa túuyaagaraa wëñ kiɗaakuk ga kaanfuɗa, fu laŋ halaa, fu kíim Paamudiigaraa. Ya yaa da, ga ɗekataa wiɗaakukíꞌwaama. En ɗanaa, Paamudiigaraa hotin ga iñaa ɗaakukinɗa hayyaaka kiꞌík.
MAT.6.7	- Binaa ɗú en na kikíim Koohaa kaa madat na yiifaꞌcii, ɗú am ga kiwoꞌ rek ɗú ínohoo kilëehíꞌ. Ɓa fooŋ an ɓa yewin tiwoꞌaa Kooh tumiꞌɓa iñaa ɓa kíimɗa. 
MAT.6.8	Kaa ëldúkohatɓa. Iñaa ɗú sooluk, balaa sah ɗú kíimmbi Kooh, Paamudiigarúunaa, lak ya ínohinndi haat. 
MAT.6.9	Kon ɗú jom kikíim Kooh anee:
MAT.6.9	«Paammbíi yii ga ɗookɗa,
MAT.6.9	ɓéeɓ ɓuwii ínohat kiselaꞌkii teekiigaraa,
MAT.6.10	Iñaa fu waaꞌɗa laakat ga kakay,
MAT.6.10	fodaa ka laak ga ɗookɗa.
MAT.6.11	Onaaríi iñaa ɗí jom kiñam ga besii watiɗa.
MAT.6.12	Bayalaaríi baakaaꞌcii ɗí tumiɗa,
MAT.6.12	fodaa ɗí ɓan, ɗí bayalin ɓuwaa tooñnjíiɗa.
MAT.6.13	Ee kaa íissíi ɗí keen ga fíꞌ Seytaani,
MAT.6.13	wayee músalaaríi ga sépíꞌíꞌ-ga-nofii,
MAT.6.13	[ndaga fu yërí laak kinguuruk,
MAT.6.13	fu yërí laak kimín, fu yërí laak ndam, bi taaꞌ.
MAT.6.13	Aameen]
MAT.6.14	En kiꞌenaa, binaa ɗú bayal ɓuwii iñcii ɓa tooñirúuɗanaa, Paammbúu yii ga ɗookɗa hayyúu kibayal ɓan. 
MAT.6.15	Wayee binaa ɗú bayallii ɓuwiinaa, Paammbúu yii ga ɗookɗa ɓan bayaloorúu baakaaꞌciigarúu.
MAT.6.16	- Binaa ɗú en na kiꞌooraa, kaa súuñɗukat fodii dii ɓuwii jófjófɗuki tumsiɗa: ɓa api faancaagaɓa kiteeɓ ɓuwaa ɓéeɓ an ɓa oorin. Mi woꞌꞌúuka ee kayoh; ɓa laasin neehalaagaɓa kumëeñíꞌ. 
MAT.6.17	Wayee fu, binaa fu en na kiꞌooraa, sëmúluka bi set, fu laꞌkoleñ hafaagaraa, 
MAT.6.18	doonaa fu teewoo ɓuwaa an fu en na kiꞌooꞌ. Paamudiigaraa hotin ga iñaa ɗaakukinɗa doŋ ínohanka. Ee Paamudiigaraa hotin ga iñaa ɗaakukinɗa hayyaaka kiꞌík.
MAT.6.19	- Kaa nëgírohɗat haffúu alal ga ëldúna. Dii, maasoh na homaak míninwa kilaas, yasohwa, ee lokcii mínin kihay pook kaan, ɓayuwa. 
MAT.6.20	Namat kinëgírohiꞌ haffúu alal ga ɗook, daa maasoh na homaak mínsoowa kiyasoh ee lokcii mínsoo kihay, pooku kaan, ɓa ɓaywa. 
MAT.6.21	En kiꞌenaa, daa alalfu enoh ɓéeɓ, keeñfu waa da ɓan.
MAT.6.22	- Kuhas kërí en lampii faanfii. Kon binaa dara enndii na kuhasfunaa, faanfaagaraa tóohfa ƴah ga leeꞌlaat. 
MAT.6.23	Wayee binaa tuhastaagaraa mesikaa, faanfaagaraa ɓéeɓfa en ga ñúus. Kon binaa leeꞌlaatii en garaaɗa ñúusaa, waama ñúus hídan na kitërúus!
MAT.6.24	- Ken mínoo kisúrgaꞌuk ga haꞌ-kaan ɓanak. Faw fu saŋ yíinoo, fu waaꞌ yaa tesɗa; wala fu taabuk yíinoo, fu foñluk yaa tesɗa. Ɗú mínoo kiꞌatukoh kitop Kooh na kitop 
MAT.6.25	- Iñaama tah mi woꞌꞌúu an: kaa ɓítukat ga ñamahaa [wala anahaa] ɗú laakan sooli kipesoh wala yëerícaa ɗú laak sooli kiꞌekuk ga faanndúuɗa. Ndaga kipes kërí wëñ kilaak solu ñamah ee faan fërí wëñ yëerí kilaak solu. Enndii ɗee? 
MAT.6.26	Malkat ga selii púdiɗa. Ɓa sokoo, ɓa píikoo, ɓa laakoo dap, ee Paammbúu yii ga ɗookɗa yii ñëmíꞌɓa. Enndii ɗú wëñ selii púdiɗa kilaak solu fúufe? 
