GEN.1.1	A kipatcilin Pasian in van le lei piangsak hi. 
GEN.1.21	 Pasian in hih bangin amau nam ciat zui-in tuipi ganhing liante le tui sung a dim a nungta a tangtheite, le amau nam ciat zui-in kha a nei vasa namkim a piangsak hi. Pasian in hoih sa hi. 
GEN.1.22	 Pasian in tuate thupha pia a, "Cipha unla pungin tuipi sung tuilak teng dim un; leitungah vasate pung ta hen," ci hi. 
GEN.1.23	 Nitak omin zingsang om a - ni ngana ahi hi.
GEN.1.24	 Tua ciangin Pasian in, "Leitung in amau nam ciat zui-in a nungta ganhingte: innsate, a bokvak ganhingte le gamsate amau nam ciat zui-in piangsak ta hen," a ci hi. A cih bangin ompah hi. 
GEN.1.25	 Pasian in gamsa amau nam ciat, innsa amau nam ciat, a bokvak ganhingte khempeuh amau nam ciat bawl hi. Pasian in hoih sa hi.
GEN.1.26	 Tua ciangin Pasian in, "Ei lim ei tawh a kibangin mihing bawl ni-in, tuipi sunga ngasate, leitunga om huihlak vasate, innsate le a bokvak ganhingte a
GEN.1.27	 Tua bangin Pasian in ama lim sunin mihing piangsak a,
GEN.1.27	Pasian lim sunin amah piangsakin
GEN.1.27	anu le apa-in amaute piangsak hi.
GEN.1.28	 Pasian in amaute thupha pia a, amaute tungah, "Cipha unla pung un; leitung khempeuh dim unla thuzawh un. Tuipi ngasate huihlak vasate le a bokvak a nungta ganhing khempeuh uk un," ci hi.
GEN.1.29	 Tua ciangin Pasian in, "Leitung buppi-a po khaici a nei lopa namkim le a gah sunga khaici a nei singkung namkim khempeuh kong pia hi. Tuate in note an ding ahi hi. 
GEN.1.30	 Leitunga ganhing khempeuh, huihlak vasa khempeuh, a bokvak ganhing khempeuh - a sunga nuntakna huu a nei khempeuh - kunghing namkimte a an dingun ka pia hi," ci hi. A cih bangin hipah hi.
GEN.1.31	 Pasian in a bawlsa na khempeuh mu a, a hoih mahmah hi. Nitak omin zingsang om a - ni gukna ahi hi.
GEN.2.1	Tua bangin vante le leitung - na khempeuh a vekpi-in kimansiang dimdem hi.
GEN.2.2	 A ni sagihna ni-in Pasian in asepsep pen zota a; a ni sagihna ni-in a sep khempeuh pan tawlnga b
GEN.2.3	 Pasian in a ni sagihna ni thupha pia-in siangthosak hi, bang hang hiam cih leh tua ni-in a sepsa piansakna khempeuh panin a tawlnga hi.
GEN.2.4	 Hih in vante le lei a kipian-sak lai-a piansak zia ahi hi.
GEN.2.4	, Pasian in leitung le vante a bawl lai - 
GEN.2.5	 leitung c
GEN.2.6	 ahi hangin 
GEN.2.8	 Tu in 
GEN.2.9	 Tua ciangin 
GEN.2.10	 Huan a kawtsak gun khat Eden panin luang hi; tua panin gun li-in kakhia hi. 
GEN.2.11	 A masa min Pishon hi a, kham omna Havilah gam bup nawk hi. 
GEN.2.12	 (Tua gama kham hoih hi; sing namtui nai g
GEN.2.13	 A nihna gun min Gihon hi-a Cush h
GEN.2.14	 A thumna gun min Tigris hi a, Asshur nisuahna lam dung zui-in luang hi. A lina gun min Euphrates ahi hi.
GEN.2.16	 Tua ciangin 
GEN.2.17	 ahi hangin a sia a pha theihna singkung panin na ne peuhmah kei ding hi; ahang in, tua na nek hunhunin na si pelmawh ding hi," ci hi.
GEN.2.20	 Tua ciangin mipa in innsa khempeuh, huih lak vasa khempeuh le gamlak a ganhing khempeuh min a phuak hi.
GEN.2.20	Ahi hangin Adam i
GEN.2.21	 Tua ciangin 
GEN.2.22	 Tua ciangin 
GEN.2.23	 Tua mipa in,
GEN.2.23	"Tu-in hihin kei guh pana guh,
GEN.2.23	kei sa pana sa ahi hi;
GEN.2.23	amah pasal pana kilakhia ahi manin
GEN.2.23	numei l
GEN.2.24	 Hih thu hangin pasal in a nu a pa nusia in a zi tawh kigawm dinga, amaute sakhat suak ding uh hi.
GEN.2.25	 Mipa le a zi a nih un a guaktang un om uh a, a zum kei uh hi.
GEN.3.1	 Pasian bawlsa gamsa khempeuh sangin gulpi khem a siam zaw hi. Amah in numei kiangah, "Pasian in, ‘Huan sunga sing khatpeuh pan na ne kei un,’ hong ci takpi hiam?" a ci hi.
GEN.3.2	 Numei in gulpi kiangah, "Huan sunga singte panin a gah ka ne thei ding uh hi; 
GEN.3.3	 ahi hangin Pasian in bel, ‘Huan laizanga sing panin a gah na ne kei ding uh a, zong na lawng peuhmah kei ding uh hi; na hih uh leh na si ding uh hi,’ hong ci mah hi,’ a ci hi.
GEN.3.4	 Gulpi in numei kiangah, "Na si peuhmah kei ding uh hi, 
GEN.3.5	 ahang in tua na nek uh ciangin na mit uh kihong dinga, Pasian tawh kibangin sia le pha na theih ding uh Pasian in thei hi," a ci hi.
GEN.3.6	 Numei in tua singgah a muh ciangin nek dingin limci sa-a, a mit la keei a, pilna zong ngah nuam ahi manin tawmkhat la-in a ne hi. Amah tawh a omkhawm a pasal zong tawmkhat pia-a, a pasal in a ne hi. 
GEN.3.7	 Tua ciangin a nih un a mit uh kihonga, guaktang ahina uh a kithei tel uh hi; tua ciangin theiteh khuituah uh a amau le amau kituamna-in bawl uh hi.
GEN.3.8	 Tua ciangin mipa le a zi in, tua ni khuadaih hunin huan sunga 
GEN.3.9	 Ahi hangin 
GEN.3.10	 Amah in, "Huan sungah na gin ka za-a, guaktang a om ka hi manin lau-in ka bu hi," ci-in dawng hi.
GEN.3.11	 Tuateh amah in, "Note guaktang na hilam uh kuan hong gen hiam? Nek loh dinga thu kong piak singkung pan ne na hi uh hiam?" ci hi.
GEN.3.12	 Mipa in, "Kei tawh om dinga na koih numei - amah in singkung pana singgah tawm hong pia-a ka ne hi,’ a ci hi.
GEN.3.13	 Tua ciangin 
GEN.3.13	Numei in, "Gulpi in hong khema ka ne hi," a ci hi.
GEN.3.14	 Tua ciangin 
GEN.3.14	"Innsate khempeuh le gamsate
GEN.3.14	khempeuh sangin nang hong kihamsiat zaw hi!"
GEN.3.14	Na gilpi-in na tal dinga
GEN.3.14	na nuntak laiteng
GEN.3.14	leivui na ne ding hi.
GEN.3.15	 Nang le numei kikal le
GEN.3.15	nang suan le khak a
GEN.3.15	ama suan-le-khakte kikalah kihuatna ka omsak ding hi;
GEN.3.15	amah in na lutang suzan b
GEN.3.15	nang ama khetul na tu ding hi," ci hi.
GEN.3.16	 Amah in numei kiangah,
GEN.3.16	"Nau na suah natnate ka khangsak mahmah ding hi;
GEN.3.16	na sa mahmah in nau na suak ding hi.
GEN.3.16	Na lunggulhna na pasal aa hi dinga,
GEN.3.16	amah in nang hong uk ding hi," a ci hi.
GEN.3.17	 Amah in Adam tungah, "Na zi thu mangin, ‘Singkung pan ne peuhmah kei in,’ ci-a kong thupiak ne na hi manin,
GEN.3.17	"Nang hangin leitang kihamsiat hi;
GEN.3.17	na nuntak sung khempeuh
GEN.3.17	gimpi-in na semin na kivak ding hi.
GEN.3.18	 Nang adingin leitung in lingkungte le kiakte posak dinga
GEN.3.18	lo sunga kungte na ne ding hi.
GEN.3.19	 Leivui pana nang hong kila ahi
GEN.3.19	nungsang lei-a na ciah kik
GEN.3.19	mateng na tala khua-ul suahna
GEN.3.19	tawh an na ne ding hi;
GEN.3.19	leivui na hi manin leivui-ah
GEN.3.19	na ciah kik ding hi," ci hi.
GEN.3.20	 Adam c
GEN.3.22	 Tua ciangin 
GEN.3.23	 Tua ciangin 
GEN.3.24	 Mipa a hawlkhiat khit ciangin Eden Huan nisuahna lam panga e
GEN.4.1	Adam f
GEN.4.2	 Tua nung ciangin a sanggampa Abel a suak hi.
GEN.4.2	Abel in tuuhon cinga, Cain in lo kho hi. 
GEN.4.3	 A hun a cin ciangin Cain in 
GEN.4.4	 Ahi hangin Abel in a gante lak-a a tacilte sathau-bak a puak hi. 
GEN.4.5	 Ahi hangin Cain le a biakna, a angvan kei hi. Tua ciangin Cain heh mahmah a, a maigum hi.
GEN.4.6	 Tua ciangin 
GEN.4.7	 A maan hih lecin nang hong kisang lo ding ahi hiam? Ahi hangin a maan na hih kei leh na kongbiangah mawhna in hong buk khinkhian hi; nang zawh hong sawm hi, ahi hangin nang na zawhgawp ding ahi hi," ci hi.
GEN.4.8	 Tu-in Cain in a sanggampa Abel kiangah, ‘Gamlakah vakkhia ni," a
GEN.4.9	 Tua ciangin 
GEN.4.9	Amah in, "Ka thei kei hi, ka sanggampa a cingpa ka hi hiam?" ci-in dawng hi.
GEN.4.11	 Tu-in hamsiatna na thuaka, na sanggampa sisan na khutin sang dinga a kamka leitang panin nang hong kihawlkhia hi. 
GEN.4.12	 Leitang na khawh ciangin nang ading gah hong piangsak nawn kei ding hi. Leitungah cihna ding theilo-a a kawivak pa na suak ding hi," ci hi.
GEN.4.14	 Tu-in leitang panin kei nong hawlkhia a, na omna panin kei hong kisel ding hi; leitungah cihna ding theilo-a a kawivak pa ka suak ding a, hong mu peuhpeuh in kei hong that ding hi," ci hi.
GEN.4.15	 Ahi hangin 
GEN.4.16	 Tua ciangin 
GEN.4.17	 Cain in a zi luppih a, a zi gai-in suak-a Enoch ahi hi. Tua ciangin Cain in khuapi khat lama a min ama tapa min mah Enoch a phuak hi. 
GEN.4.18	 Enoch pan Irad suak a, Irad pen Mehujael’ pa hi a, Mehujael pen Methushael’ pa hi in, Mathushael pen Lamech’ pa ahi hi.
GEN.4.19	 Lamech in numei nih tenpih a, khat Adah hi in, a khat pen Zillah ahi hi. 
GEN.4.20	 Adah in ta Jabal nei hi; amah bukah tenga innsa khawite’ pa ahi hi. 
GEN.4.21	 A sanggampa min Jubal ahi hi; amah harp le tamngai tumte’ khempeuh pa ahi hi. 
GEN.4.22	 Zillah in zong tapa Tubal-Cain nei a, amah sumngo le sik na zat khempeuh d
GEN.4.23	 Lamech in a zite kiangah,
GEN.4.23	"Adah le Zillah aw, na ngai un;
GEN.4.23	Lamech’ zite aw, ka kammalte za un.
GEN.4.23	Kei hong liamsak mi khat,
GEN.4.23	kei hong liamsuah khangno khat ka that e
GEN.4.24	 Cain a zah sagih vei kithuk ahileh
GEN.4.24	Lamech a zah sawm sagih le sagih vei-in kithuk ding hi," ci hi.
GEN.4.25	 Adam in a zi luppih kik a tapa khat nei in, "Cain in Abel that ahih manin Pasian in Abel tangin ta dang hong pia hi," a cihna-in a min Seth f
GEN.4.26	 Seth in zong tapa nei a, a min Enosh phuak hi.
GEN.4.26	Tua huna kipan mihingte in 
GEN.5.1	Hih in Adam gui sutna ahi hi.
GEN.5.1	Pasian in mi a piansak-in Pasian tawh a kibangin bawl hi. 
GEN.5.2	 Amah in amaute anu le apa piangsaka thupha a pia hi. A piansak hun lai-in amaute "mihing" h
GEN.5.3	 Adam kum 130 a nuntak khit ciangin amah tawh a kibang ama lim a sun tapa khat nei a, a min Seth phuak hi. 
GEN.5.4	 Seth a suah khit ciangin, Adam kum zagiat nungta a, tanu dang le tapa dang a nei lai hi. 
GEN.5.5	 Adam a nuntak sung khempeuh kum 930 hi a, tua khit ciangin si hi.
GEN.5.6	 Seth kum 105 a nuntak khit ciangin Enosh pa a suak hi. 
GEN.5.7	 Enosh’ pa i
GEN.5.8	 Seth a nuntak sung khempeuh kum 912 hi a, tua khit ciangin si hi.
GEN.5.9	 Enosh kum 90 a nuntak khit ciangin tapa Kenan a nei hi. 
GEN.5.10	 Kenan’ pa ahi khit ciangin Enosh kum 815 nungta lai-a, tanu dang le tapa dang a nei lai hi. 
GEN.5.11	 Enosh nuntak sung khempeuh kum 905 hi a, tua ciangin a si hi.
GEN.5.12	 Kenan kum 70 a nuntak khit ciangin tapa Mahalalel nei hi. 
GEN.5.13	 Mahalalel’ pa ahi khit nungin Kenan kum 840 nungta lai-a, tanu dang le tapa dang a nei lai hi. 
GEN.5.14	 Kenan a nuntak sung khempeuh kum 910 hi a, tua khit ciangin si hi.
GEN.5.15	 Mahalalel kum 65 a nuntak khit ciangin tapa Jared a nei hi. 
GEN.5.16	 Jared’ pa ahi khit nungin Mahalalel kum 830 nungta lai-a, tanu dang le tapa dang a nei lai hi. 
GEN.5.17	 Mahalalel a nuntak sung khempeuh kum 895 hi a, tua khit ciangin si hi.
GEN.5.18	 Jared kum 162 a nuntak khit ciangin tapa Enoch nei hi. 
GEN.5.19	 Enoch’ pa ahi khit nungin Jared kum 800 nungta lai-a tanu dang le tapa dang a nei lai hi. 
GEN.5.20	 Jared a nuntak hun sung khempeuh kum 962 hi a, tua khit ciangin a si hi.
GEN.5.21	 Enoch kum 65 a nuntak khit ciangin tapa Methuselah a nei hi. 
GEN.5.22	 Methuselah’ pa ahi nungin Pasian tawh Enoch kum 300 sung tonkhawm a, tanu dang le tapa dang a nei lai hi. 
GEN.5.23	 Enoch nuntak sung khempeuh kum 365 ahi hi. 
GEN.5.24	 Pasian Enoch tawh tonkhawm hi; tua khit ciangin amah a om nawn kei hi. Bang hang hiam cih leh Pasian in amah lamang hi.
GEN.5.25	 Methuselah kum 187 a nuntak khit ciangin tapa Lamech a nei hi. 
GEN.5.26	 Amah Lamech’ pa a hi khit nungin Methuselah kum 782 nungta lai a, tanu dang le tapa dang a nei hi. 
GEN.5.27	 Methuselah a nuntak sung khempeuh kum 969 hi a, tua ciangin a si hi.
GEN.5.28	 Lamech kum 182 a nuntak khit ciangin tapa khat a nei hi. 
GEN.5.29	 Amah in, "
GEN.5.30	 Noah a suah khit nungin Lamech kum 595 nungta lai-a, tanu dang le tapa dang a nei lai hi. 
GEN.5.31	 Lamech a nuntak sung khempeuh kum 777 hi a, tua khit ciangin a si hi.
GEN.5.32	 Noah kum 500 a upat nungin tapa Shem, Ham le Japheth-te a nei hi.
GEN.6.1	Lei tungah mite khangin tampi a phak uh ciangin amaute in tanute nei uh a, 
GEN.6.2	 Pasian’ tapate in mihingte tanute melhoihsa in, amaute a deih peuhpeuh uh telin tenpih uh hi. 
GEN.6.3	 Tua khit ciangin 
GEN.6.4	 Tua hun lai-in lei tungah Nephilim-te om uh a - tua khitin zong om uh hi - Pasian’ tapate mihingte’ tanute kiangah pai uh-a amaute tawh ta nei uh hi. Amaute khanglui lai-a mi thahat minthangte ahi uh hi.
GEN.6.6	 Leitungah mi a bawl 
GEN.6.7	 Tua ahi manin 
GEN.6.8	 Ahi hangin Noah in 
GEN.6.9	 Hih in Noah khanggui sutna ahi hi.
GEN.6.9	Noah, ama khan hun lai-in mite lakah thumaana kawkbaang loin Pasian tawh a tonkhawm mi khat ahi hi. 
GEN.6.10	 Noah in tapa thum:Shem, Ham le Japheth a nei hi.
GEN.6.11	 Tu-in Pasian muhna-ah leitung siagawpa ngongtatna tawh kidim hi. 
GEN.6.12	 Pasian in leitung mite khempeuh a siat gamtat manin leitang a siat luat lam a mu hi. 
GEN.6.13	 Tua ahi manin Pasian in Noah tungah, "Ngongtatna tawh leitang kidim ahi manin, amaute hangin mi khempeuh ka beisak ding hi. Leitung le a mite a nih in ka susia khawm taktak ding hi. 
GEN.6.14	 Tua ahi ciangin cypress d
GEN.6.15	 Na bawlzia ding hih bang ahi hi: Gunkuangpi pi 450 sausak in, pi 75 zaisak inla pi 45 sang e
GEN.6.16	 A tung zong lam inla, a tunglam khutpi 18 f
GEN.6.17	 Keimah in vante nuai-a om khempeuh, a sunga husang ganhing khempeuh a susia dingin tuiciin ka tungsak ding hi. Leitung a na khempeuh ka sia mangsak ding hi. 
GEN.6.18	 Ahi hangin nang tawh thukhun ka bawl ding hi. Nang, na tate, na zi, na tate zite tawh - gunkuangpi sungah na lut ding uh hi. 
GEN.6.19	 Na gunkuangpi sungah nuntakna a nei ganhing khempeuh nih ciat - a nu le a pa, na khum dinga na khawi ding hi. 
GEN.6.20	 Vasa nam, ganhing nam, leitunga a bokvak ganhing nam ciat panin nih ta na kiangah hong pai ding uh a, a nungta dingin na kem ding hi. 
GEN.6.21	 Nang le tuate an dingin nek theih namkim khol in," a ci hi.
GEN.6.22	 Noah in Pasian thupiak bang tektekin na khempeuh a hih hi.
GEN.7.1	Tua ciangin 
GEN.7.2	 Ganhing a siang nam ciat pan sagih h
GEN.7.3	 leitung bupah vasa namte a kizop nadingin vasa nam tek pan anu le apa sagih zong la in. 
GEN.7.4	 Tu-a kipan ni sagih ni ciangin leitungah sun sawmli le zan sawmli sung guah ka zusak dinga ka bawlsa nuntakna nei peuhmah lei maitang pan ka phiatsiang ding hi," ci hi.
GEN.7.6	 Leitungah tuiciin a tunin Noah kum zaguk upa ta hi. 
GEN.7.7	 Tuiciin pan a suakta dingin Noah le a tapate, a zi le a tapate’ zite tawh gunkuangpi sungah lut uh hi. 
GEN.7.8	 Ganhingte, asiang le anin, vasate le leitunga a bokvak ganhing khempeuh, 
GEN.7.9	 anu le apa a kopkopin Noah kiangah va pai uh a, Pasian in Noah a thupiak bangin gunkuangpi sungah a lut uh hi. 
GEN.7.10	 Ni sagih khit ciangin leitungah tuiciin tung hi.
GEN.7.11	 Noah khan a kum zagukna kum, a kha nihna a ni sawm le sagihna ni - tua ni-in a thuk mahmah mun-a tuinakte puakkham a, vante a tuiciin kongpite kihong hi. 
GEN.7.12	 Tua ciangin leitungah sun sawmli le zan sawmli guah zu hi.
GEN.7.13	 Tua ni mahmah in Noah le a tapate Shem, Ham le Japheth, a zi le a tapate’ zite tawh gunkuangpi sungah lut uh hi. 
GEN.7.14	 Amaute in gamsate amau nam ciat, innsate amau nam tawh kizui-in, leitunga a bokvak ganhingte amau nam ciat tawh kizui, vasa khempeuh amau nam ciat tawh kizui-in, kha nei khempeuh a lutpih uh hi. 
GEN.7.15	 Amau sunga nuntakna huih a dik ganhing peuhmah a kopkopin Noah kiangah pai uh a, gunkuangpi sungah lut uh hi. 
GEN.7.16	 Pasian in Noah a thupiak bangin a sunga lut nuntakna a nei ganhing peuhmah anu le apa ahi hi. Tua khit ciangin 
GEN.7.17	 Ni sawmli sung leitung ah tui khangkhang a,a khanna zui-in tui in gunkuangpi lei tungah laamto hi. 
GEN.7.18	 Leitungah tui khangin nak tam mahmah a, gunkuangpi tui tungah a laam hi. 
GEN.7.19	 Leitung sangpi-ah khangto a vante nuai-a mualsangte khempeuh tuamcip hi. 
GEN.7.20	 Tui khanga mualsangte tungah pi sawmnih i
GEN.7.21	 Leitunga a gamta a nungta ganhingte khempeuh - vasate, innsate, gamsate, leitunga a hon om ganhingte khempeuh le mihing khempeuh kisia khin hi. 
GEN.7.22	 Leikeu tunga om a nakvang pana nuntakna huih a dik peuhmah si hi. 
GEN.7.23	 Lei maitanga om a nungta peuhmah kiphiatkhia hi; mihingte ahi a ganhingte ahi a leitunga a bokvak ganhingte le huihlak vasate ahi zongin lei panin a kiphiatsiang hi. Noah le gunkuangpi sunga amah tawh a omte bek suak ta hi.
GEN.7.24	 Tui in lei, ni za le sawm nga sung a tuumcip hi.
GEN.8.1	Ahi hangin Pasian in Noah le amah tawh gunkuangpi sunga a omkhawm innsate le gamsate khempeuh phawk gige a, leitungah huih nungsakin tui kiam hi. 
GEN.8.2	 Tu-in a thukna muna tuinakte le vante a tuiciin kongpite kikhak zo a, vantung panin guah a zu nawn kei hi. 
GEN.8.3	 Leitungah damdamin tui kiam hi. Ni za le sawmnga a bei ciangin tui kiam manga, 
GEN.8.4	 a kha sagihna a ni sawm le sagihna ni-in gunkuangpi Ararat-a mualte tungah a kinga hi. 
GEN.8.5	 A kha sawmna dong tui kiamkiam a, a kha sawmna ni masa ni-in mual dawnte kimu thei hi.
GEN.8.6	 Ni sawmli khit ciangin Noah in gunkuangpi-a a bawlsa tawlet honga, 
GEN.8.7	 va-ak khat a khah leh leitunga tui a keu mateng a tung kik zel hi. 
GEN.8.8	 Tua ciangin amah in lei maitang pan tui a kiam siang ta hiam cih theih nadingin vakhu khat khah hi. 
GEN.8.9	 Ahi hangin vakhu in leitung khempeuh ah tui om lai ahi manin a tuk nading mun a mu kei hi; tua ahi manin gunkuangpi sung Noah kiangah a ciah kik hi. A mah in a khut zankhia in vakhu la a gunkuangpi sung ama kiangah a omsak kik hi. 
GEN.8.10	 Ni sagih ngak lai-a gunkuangpi pan vakhu khah leuleu hi. 
GEN.8.11	 Nitak-in vakhu a tun kik ciangin a tukkhiat thak olive teh khat a mukah tuah hi! Tua khit ciangin Noah in lei panin tui kiam ta hi, cih thei hi. 
GEN.8.12	 Ni sagih mah ngak lai-a vakhu khahkhia kik hi. Ahi hangin tua pen ama kiangah a kileh nawn kei hi.
GEN.8.13	 Noah kum zaguk le khat a phak kum masa a kha masa, ani masa pen ni-in lei panin tui a keu siang hi. Tua ciangin Noah in gunkuangpi khuhna phelkhia a, lei maitang a keu lam mu hi. 
GEN.8.14	 A kha nihna a ni sawm nih le sagihna ni-in leitung a keu siang sinsen hi.
GEN.8.15	 Tua ciangin Pasian in Noah tungah, 
GEN.8.16	 "Nang le na zi le na tapate le a zite uh gunkuangpi panin paikhia un. 
GEN.8.17	 No tawh a omkhawm a nungta ganhingte amau nam ciat - vasate, ganhingte le leitunga a bokvak ganhingte - leitungah amaute khangin cipha-a a pung nadingin paikhiasak in," a ci hi.
GEN.8.18	 Tua ahi ciangin Noah a tapate le a zi tawh a tapate’ zite tawh a paikhia khawm uh hi. 
GEN.8.19	 Ganhing khempeuh, leitunga a bokvak ganhing khempeuh le vasate khempeuh - leitunga a gamtang namkim - nam khat khit nam khat gunkuangpi sung pan paikhia uh hi.
GEN.8.20	 Tua khit ciangin Noah in 
GEN.8.22	 "Leitung a kip laiteng
GEN.8.22	khaici vawh hun le an lak hun,
GEN.8.22	a vot le a sa,
GEN.8.22	phalbi le khuakhal
GEN.8.22	sun le zan
GEN.8.22	a bei ngei kei ding hi," ci hi.
GEN.9.1	Tua ciangin Pasian in Noah le a tapate thupha pia in amaute tungah, "Cipha-in pung unla tampi pha-in leitung dim un. 
GEN.9.2	 Leitung ganhing khempeuh, huihlak vasa khempeuh leitunga a bokvak ganhing peuhmah le tuipi ngasa khempeuh in note hong kihta in hong zahtak ding uh hi; note khut sungah tuate hong kipia hi. 
GEN.9.3	 A nungta a gamtang na khempeuh na an ding uh ahi hi. Kung hingte note kong piak bang tektek in tu-in na khempeuh note kong pia hi.
GEN.9.4	 "Ahi hangin a nuntakna sisan, a sunga om laisiah a sa na ne peuhmah kei ding uh hi. 
GEN.9.5	 Note nuntakna sisan tangin sisan mah ka kal teitei dinga, ganhingte khatpeuh tungah zong ka kal ding hi. Mikim tungah zong a mihing nuntakna mah ka kal ding hi.
GEN.9.6	 "Mihing sisan suah peuhmah,
GEN.9.6	mi mah in amah sisan suah ding hi.
GEN.9.6	Ahang in, Pasian lim sunin
GEN.9.6	Pasian in mi a bawlsa ahi hi.
GEN.9.7	 Note na hi uh leh cipha unla pungin tampi pha un; leitungah kibehlapin pung un," ci hi.
GEN.9.8	 Tua ciangin Pasian in Noah le amah tawh a omkhawm a tapate tungah, 
GEN.9.9	 "Tu-in note le note nunga na suan-le-khakte uh, 
GEN.9.10	 le note tawh a omkhawm a nungta ganhing khempeuh - vasate, innsate le gamsate khempeuh gunkuangpi sung pana note tawh a paikhia - leitunga nuntakna a nei peuhmah, tawh ka thukhun ka bawl hi. 
GEN.9.11	 Note tawh thukhun ka bawl hi: Nuntakna nei khempeuh tuiciin tunna tawh ki beisak kik nawn lo ding hi; leitung susia dingin tuiciin a tung kik nawn kei ding hi," a ci hi.
GEN.9.12	 Tua ciangin Pasian in, "Hih in no le note tawh a om a nungta ganhingte khempeuh kikalah mailama khangte khempeuh adingin thukhun ka bawlna lim ahi hi: 
GEN.9.13	 Ka sakhituihup meii lakah ka kaisak hi. Tua pen kei le leitung thuciamna lim hi ding hi. 
GEN.9.14	 Leitungah meii ka kaisak a meii lakah sakhituihup a kilat peuhpeuh ciangin 
GEN.9.15	 note le a nungta ganhing namte khempeuh le kei kikal-a ka thukhun ka phawk ding hi. Nuntakna khempeuh a susia dingin leitungah tuiciin a tung kik nawn kei ding hi. 
GEN.9.16	 Meii lakah sakhituihup a kilat simin ka mu dinga Pasian le leitunga om a nungta ganhing nam khempeuh kikalah a kip tawntung thukhun ka phawk ding hi," ci hi.
GEN.9.17	 Pasian in Noah kiangah, "Hih in kei le leitunga nungta khempeuh kikala thukhun lim ahi hi," ci hi.
GEN.9.18	 Gunkuangpi sung pan a paikhia Noah’ tapate Shem, Ham le Japheth ahi hi. (Ham pen Canaan’ pa ahi hi.) 
GEN.9.19	 Hihte Noah tapa thumte hi a, amaute panin leitung khempeuha kizel mite a piang ahi hi.
GEN.9.20	 Lokhomipa Noah in lenggui huan khat bawl a
GEN.9.21	 Tua pana piang lenggahzu a dawn ciangin khama, a buk sungah puansilh loin a lum hi. 
GEN.9.22	 Canaan’ pa Ham in a pa guaktang-a om mu-a a pua-a om a sanggam nihte kiangah ko hi. 
GEN.9.23	 Ahi hangin Shem le Japheth in puan khat la in a liangko uah bang uh a, nung-le-pai in a pa uh guaktanga om a khuh uh hi. A pa uh guaktangna a muh loh nadingun a lehngat uh hi.
GEN.9.24	 Noah a lenggahzu kham na pan a tei ciangin a tapa tum pen in ama tunga a bawlna a theih ciangin 
GEN.9.25	 amah in,
GEN.9.25	"Canaan in hamsiatna thuak ta hen!
GEN.9.25	A sanggamte adingin
GEN.9.25	sila niam pen hi ta hen," ci hi.
GEN.9.26	 Amah in,
GEN.9.26	, Shem’ Pasian in thupha ngah ta hen!
GEN.9.26	Shem’ sila in Canaan omsak ta hen. b
GEN.9.27	 Pasian in Japheth c
GEN.9.27	Shem’ bukte sungah Japheth tengsak henla,
GEN.9.27	ama d
