GEN.1.1	In the beginning God (
1SA.3.10	Then the L
1SA.3.11	The L
1SA.3.12	On that day I will carry out against Eli everything that I have spoken concerning his house (family), from beginning to end. 
1SA.3.13	Now I have told him that I am about to judge his house forever for the sinful behavior which he knew [was happening], because his sons were bringing a curse on themselves [dishonoring and blaspheming God] and he did not rebuke them. 
1SA.3.14	Therefore I have sworn to the house of Eli that the sinful behavior of Eli’s house (family) shall not be atoned for by sacrifice or offering forever.”
1SA.3.15	So Samuel lay down until morning. Then he opened the doors of the L
1SA.3.16	But Eli called Samuel and said, “Samuel, my son.” And he answered, “Here I am.” 
1SA.3.17	Then Eli said, “What is it that He said to you? Please do not hide it from me. May God do the same to you, and more also, if you hide from me anything of all that He said to you.” 
1SA.3.18	So Samuel told him everything, hiding nothing from him. And Eli said, “It is the L
1SA.3.19	Now Samuel grew; and the L
1SA.3.20	And all Israel from Dan [in the north] to Beersheba [in the south] knew that Samuel was appointed as a prophet of the L
1SA.3.21	And the L
1SA.4.1	And the word of [the L
1SA.4.2	The Philistines assembled in battle formation to meet Israel, and when the battle was over, Israel was defeated by the Philistines, who killed about four thousand men on the battlefield. 
1SA.4.3	When the people (soldiers) came into the camp, the elders of Israel said, “Why has the L
1SA.4.4	So the people sent 
1SA.4.5	So it happened that as the ark of the covenant of the L
1SA.4.6	When the Philistines heard the noise of the shout, they said, “What 
1SA.4.7	The Philistines were afraid, for they said, “God has come into the camp.” And they said, “Woe [disaster is coming] to us! For nothing like this has happened before. 
1SA.4.8	Woe to us! Who will rescue us from the hand of these mighty 
1SA.4.9	Take courage, and be men, O Philistines, so that you do not become servants to the Hebrews, as they have been servants to you; act like men and fight!”
1SA.4.10	So the Philistines fought; Israel was defeated and every man fled to his tent. It was a very great defeat, for thirty thousand foot soldiers of Israel fell. 
1SA.4.11	Also the ark of God was taken; and the two sons of Eli, Hophni and Phinehas, were killed.
1SA.4.12	Now a man [from the tribe] of Benjamin ran from the battle line and came to Shiloh that same day with his clothes torn and dust on his head [as signs of mourning over the disaster]. 
1SA.4.13	When he arrived, Eli was sitting on his seat by the road, keeping watch, because his heart was anxious about the ark of God. When the man arrived to report [the news] in the city, everyone in the city cried out [to God, for help]. 
1SA.4.14	When Eli heard the noise of the outcry, he asked, “What is the noise of this uproar?” And the man came hurriedly and told Eli. 
1SA.4.15	Now Eli was ninety-eight years old; his eyes were dim so that he could not see. 
1SA.4.16	The man said to Eli, “I have come from the battle line. Indeed, I escaped from the battle line today.” Eli said, “How did things go, my son?” 
1SA.4.17	The messenger replied, “Israel has fled before the Philistines and there has also been a great slaughter among the people. Also your two sons, Hophni and Phinehas, are dead, and the ark of God has been taken.” 
1SA.4.18	When he mentioned the ark of God, Eli fell off the seat backwards by the side of the [city] gate. His neck was broken and he died, for he was old and heavy. He had judged Israel for forty years.
1SA.4.19	Now his daughter-in-law, Phinehas’ wife, was pregnant, and was about to give birth; so when she heard the news that the ark of God had been taken and that her father-in-law and her husband had died, she kneeled down and gave birth, because her [labor] pains began. 
1SA.4.20	And about the time of her death [following the sudden birth] the women attending her said to her, “Do not be afraid, for you have given birth to a son.” But she did not answer or pay any attention. 
1SA.4.21	And she named the boy 
1SA.4.22	She said, “The glory has left Israel, for the ark of God has been taken.”
1SA.5.1	Then the Philistines took the ark of God, and they brought it from Ebenezer to 
1SA.5.2	They took the ark of God and brought it into the house of Dagon and set it beside [the image of] Dagon [their chief idol]. 
1SA.5.3	When the people of Ashdod got up early the next day, behold, Dagon had fallen on his face on the ground before the ark of the L
1SA.5.4	But when they got up early the next morning, behold, Dagon had [again] fallen on his face on the ground before the ark of the L
1SA.5.5	This is the reason neither the priests of Dagon nor any who enter Dagon’s house step on the threshold of Dagon in Ashdod to this day.
1SA.5.6	Then the hand of the L
1SA.5.7	When the men of Ashdod saw what had happened, they said, “The ark of the God of Israel must not remain with us, for His hand is heavy on us and on Dagon our god.” 
1SA.5.8	So they sent 
1SA.5.9	But it happened that after they had taken it 
1SA.5.10	So they sent the ark of God to 
1SA.5.11	So they sent 
1SA.5.12	The men who had not died were stricken with tumors and the cry of the city [for help] went up to heaven.
1SA.6.1	Now the ark of the L
1SA.6.2	And the Philistines called for the priests and the diviners (seers), saying, “What shall we do with the ark of the L
1SA.6.3	They said, “If you send away the ark of the God of Israel, do not send it empty [without a gift]; but be sure to return [it] to Him [together with] a guilt offering. Then you will be healed, and it will be known to you why His hand is not removed from you.” 
1SA.6.4	Then they said, “What shall the guilt offering be which we shall return to Him?” They answered, “
1SA.6.5	So you shall make replicas of your tumors and of your mice that ravage the land, and give glory to the God of Israel; perhaps He will lighten His hand [of judgment] on you and your gods and your land. 
1SA.6.6	Why then do you harden your hearts [allowing pride to cause your downfall] just as the Egyptians and Pharaoh hardened their hearts? When He had severely dealt with them 
1SA.6.7	Now then, make a new cart and prepare two 
1SA.6.8	Then take the ark of the L
1SA.6.9	But watch, 
1SA.6.10	And the men did so, and took two milk cows and hitched them to the cart, and corralled their calves at home. 
1SA.6.11	They put the ark of the L
1SA.6.12	And the cows went straight toward Beth-shemesh along the highway, lowing as they went, and did not turn away to the right or the left. And the Philistine lords (governors) followed them to the border of Beth-shemesh.
1SA.6.13	Now 
1SA.6.14	The cart came into the field of Joshua of Beth-shemesh and stopped there. A large stone was there; and the men split up the wood of the cart [for firewood] and offered the cows as a burnt offering to the L
1SA.6.15	The Levites had taken down the ark of the L
1SA.6.16	When the five lords of the Philistines saw what happened, they returned to Ekron that day.
1SA.6.17	These are the golden tumors which the Philistines returned as a guilt offering to the L
1SA.6.18	also the golden mice, 
1SA.6.19	The L
1SA.6.20	The men of Beth-shemesh said, “Who is able to stand before the L
1SA.6.21	So they sent messengers to the residents of Kiriath-jearim, saying, “The Philistines have returned the ark of the L
1SA.7.1	So the men of Kiriath-jearim came and took up the ark of the Lord and brought it into the house of Abinadab on the hill, and they consecrated Eleazar his son to care for the ark of the Lord. 
1SA.7.2	And from that day the ark remained in Kiriath-jearim for a very long time, for it was twenty years [until the reign of King David]; and all the house of Israel lamented (wailed) 
1SA.7.3	Then Samuel said to all the house of Israel, “If you are returning to the L
1SA.7.4	So the Israelites removed the Baals and the Ashtaroth and served the L
1SA.7.5	Samuel said, “Gather all Israel together at Mizpah and I will pray to the L
1SA.7.6	So they gathered at Mizpah, and drew water and poured it out before the L
1SA.7.7	Now when the Philistines heard that the Israelites had gathered at Mizpah, the lords (governors) of the Philistines went up against Israel. And when the Israelites heard it, they were afraid of the Philistines. 
1SA.7.8	And the sons of Israel said to Samuel, “Do not cease to cry out to the L
1SA.7.9	So Samuel took a nursing lamb and offered it as a whole burnt offering to the L
1SA.7.10	As Samuel was offering up the burnt offering, the Philistines approached for the battle against Israel. Then the L
1SA.7.11	And the men of Israel came out of Mizpah and pursued the Philistines, and struck them down as far as [the territory] below Beth-car.
1SA.7.12	Then Samuel took a stone and set it between Mizpah and Shen, and he named it Ebenezer (stone of help), saying, “Thus far the L
1SA.7.13	So the Philistines were subdued and they did not come anymore into Israelite territory. And the hand of the L
1SA.7.14	The cities which the Philistines had taken from Israel were restored to Israel, from Ekron to Gath; and Israel recovered the cities’ territory from the Philistines. Also there was peace between Israel and the Amorites.
1SA.7.15	Now Samuel judged Israel all the days of his life. 
1SA.7.16	He used to go annually on a circuit to Bethel, Gilgal, and Mizpah, and he judged Israel in all these places. 
1SA.7.17	Then he would return to Ramah, because his home was there; and there he judged Israel, and there he built an altar to the L
1SA.8.1	And it came about when Samuel was old that he appointed his sons as judges over Israel. 
1SA.8.2	Now the name of his firstborn was Joel, and the name of his second, Abijah; they were judging in Beersheba. 
1SA.8.3	His sons, however, did not walk in his ways, but turned aside after dishonest gain, took bribes, and perverted justice.
1SA.8.4	Then all the elders of Israel gathered together and came to Samuel at Ramah 
1SA.8.5	and said to him, “Look, you have grown old, and your sons do not walk in your ways. Now appoint us a king to judge us [and rule over us] like all the other nations.” 
1SA.8.6	But their demand 
1SA.8.7	The L
1SA.8.8	Like all the deeds which they have done since the day that I brought them up from Egypt even to this day—in that they have abandoned (rejected) Me and served other gods—so they are doing to you also. 
1SA.8.9	So now listen to their voice; only solemnly warn them and tell them the ways of the king who will reign over them.”
1SA.8.10	So Samuel told all the words of the L
1SA.8.11	He said, “These will be the ways of the king who will reign over you: he will take your sons and appoint them for himself to his chariots and among his horsemen and they will run before his chariots. 
1SA.8.12	He will appoint them for himself to be commanders over thousands and over fifties, and 
1SA.8.13	He will take your daughters to be perfumers, cooks, and bakers. 
1SA.8.14	He will take the best of your fields, your vineyards, and your olive groves, and give them to his servants. 
1SA.8.15	He will take a tenth of your grain and of your vineyards and give it to his officers and to his servants. 
1SA.8.16	He will take your male servants and your female servants and your best young men and your donkeys and use them for his work. 
1SA.8.17	He will take a tenth of your flocks, and you yourselves shall be his servants. 
1SA.8.18	Then you will cry out on that day because of your king whom you have chosen for yourselves, but the L
1SA.8.19	Nevertheless, the people refused to listen to the voice of Samuel, and they said, “No, but there shall be a king over us, 
1SA.8.20	so that we too may be like all the nations [around us], that our king may judge [and govern] us and go out before us and fight our battles.” 
1SA.8.21	Samuel had heard all the words of the people and repeated them 
1SA.8.22	And the L
1SA.9.1	There was a man of [the tribe of] Benjamin whose name was Kish the son of Abiel, the son of Zeror, the son of Becorath, the son of Aphiah, a Benjamite, a mighty man of influence 
1SA.9.2	Kish had a son named Saul, a choice and handsome man; among the sons of Israel there was not a man more handsome than he. From his shoulders and up he was [a head] taller than any of the people.
1SA.9.3	Now the donkeys of Kish, Saul’s father, had wandered off 
1SA.9.4	And they passed through the hill country of Ephraim and the land of Shalishah, but did not find 
1SA.9.5	When they came to the land of Zuph, Saul said to his servant who was with him, “Come, let us return, otherwise my father will stop 
1SA.9.6	The servant said to him, “Look here, in this city there is a man of God, and the man is held in honor; everything that he says comes true. Now let us go there; perhaps he can advise us about our journey [and tell us where we should go].” 
1SA.9.7	Then Saul said to his servant, “But look, if we go [to see him], what shall we bring to the man? For the bread from our sacks is gone and there is no gift to bring to the man of God. What do we have [to offer]?” 
1SA.9.8	The servant replied again to Saul, “Here in my hand I have a quarter of a shekel of silver; I will give that to the man of God, and he will advise us as to [where we should go on] our journey [to find the donkeys].” 
1SA.9.9	(Formerly in Israel, when a man went to inquire of God, he would say, “Come, let us go to the seer”; for 
1SA.9.10	Saul said to his servant, “Well said; come, let us go.” So they went to the city where the man of God was living.
1SA.9.11	As they went up the hill to the city, they met some young women going out to draw water, and said to them, “Is the seer (prophet) here?” 
1SA.9.12	They answered them, “He is; look, he is ahead of you. Hurry now, for he has come into the city today because the people have a sacrifice on the high place today. 
1SA.9.13	As you enter the city you will find him before he goes up to the high place to eat, for the people will not eat until he comes, because he must ask the blessing on the sacrifice; afterward, those who are invited will eat. So go up now, for about now you will find him.” 
1SA.9.14	So they went up to the city. And as they came into the city, there was Samuel coming out toward them to go up to the high place.
1SA.9.15	Now a day before Saul came, the L
1SA.9.16	“About this time tomorrow I will send you a man from the land of Benjamin, and you shall anoint him as leader over My people Israel; and he will save My people from the hand of the Philistines. For I have looked upon [the distress of] My people, because their cry [for help] has come to Me.” 
1SA.9.17	When Samuel saw Saul, the L
1SA.9.18	Then Saul approached Samuel in the [city] gate and said, “Please tell me where the seer’s house is.” 
1SA.9.19	Samuel answered Saul, “I am the seer. Go on ahead of me to the high place, for you shall eat with me today; and in the morning I will let you go, and will tell you all that is on your mind. 
1SA.9.20	As for your donkeys which were lost three days ago, do not be concerned about them, for they have been found. And for whom are all things that are desirable in Israel? Are they not for you and for all your father’s household (family)?” 
1SA.9.21	Saul replied, “Am I not a Benjamite, of 
1SA.9.22	Then Samuel took Saul and his servant and brought them into the hall [at the high place] and gave them a place [to sit] at the head of the persons—about thirty men—who were invited [while the rest ate outside]. 
1SA.9.23	Samuel said to the cook, “Bring the [priests’] portion that I gave you, regarding which I told you, ‘Set it aside.’ ” 
1SA.9.24	Then the cook lifted up the leg (thigh) with 
1SA.9.25	When they came down from the high place into the city, Samuel spoke with Saul on the 
1SA.9.26	They got up early [the next day]; and at dawn Samuel called Saul [who was sleeping] on the roof, saying, “Get up, so that I may send you on your way.” Saul got up, and both he and Samuel went outside. 
1SA.9.27	As they were going down to the outskirts of the city, Samuel said to Saul, “Tell the servant to go on ahead of us so that he may pass by but you stand still now so that I may proclaim the word of God to you.”
1SA.10.1	Then Samuel took the flask of oil and poured it on Saul’s head, kissed him, and said, “Has the L
1SA.10.2	When you leave me today, you will meet two men beside Rachel’s tomb in the territory of Benjamin at Zelzah; they will say to you, ‘The donkeys you went to look for have been found. And your father has stopped caring about them and is worried about you, saying, “What shall I do about my son?” ’ 
1SA.10.3	Then you will go on further from there, and you will come to the terebinth tree of Tabor, and three men going up to [sacrifice to] God at Bethel will meet you there, one carrying three young goats, another carrying three loaves of bread, and another carrying a jug of wine. 
1SA.10.4	They will greet you and give you two 
1SA.10.5	After that you will come to 
1SA.10.6	Then the Spirit of the L
1SA.10.7	When these signs come to you, do for yourself whatever 
1SA.10.8	You shall go down ahead of me to Gilgal; and behold, I will be coming down to you to offer burnt offerings and to sacrifice peace offerings. You shall wait seven days until I come to you and show you what you must do.”
1SA.10.9	Then it happened when Saul turned his back to leave Samuel, God changed his heart; and all those signs came to pass that day. 
1SA.10.10	When they came to the hill [Gibeah], behold, a group of prophets met him; and the Spirit of God came on him mightily, and he prophesied [under divine guidance] among them. 
1SA.10.11	Now when all who knew Saul previously saw that he actually prophesied now [by inspiration] with the prophets, the people said one to another, “What has happened to [Saul, who is nobody but] the son of Kish? Is Saul also among the prophets?” 
1SA.10.12	And a man from there answered, “But who is the father of the others?” So it became a proverb, “Is Saul also among the prophets?” 
1SA.10.13	When Saul had finished prophesying, he went to the high place [of worship].
1SA.10.14	Saul’s uncle said to him and to his servant, “Where did you go?” And Saul said, “To look for the donkeys. And when we saw that they were nowhere to be found, we went to Samuel [for help].” 
1SA.10.15	Saul’s uncle said, “Please tell me, what did Samuel say to you?” 
1SA.10.16	And Saul said to his uncle, “He told us plainly that the donkeys had been found.” But he did not tell him about the matter of the kingdom which Samuel had mentioned.
1SA.10.17	Then Samuel called the people together to the L
1SA.10.18	and he said to Israel, “Thus says the L
1SA.10.19	But today you have rejected your God, who Himself saves you from all your disasters and distresses; yet you have said, ‘No! Set a king over us.’ Now then, present yourselves before the L
1SA.10.20	And when Samuel brought all the tribes of Israel near, the tribe of Benjamin was chosen by lot. 
1SA.10.21	Then he brought the tribe of Benjamin near by their families, and the family of Matri was chosen by lot. And Saul the son of Kish was chosen by lot; but when they looked for him, he could not be found. 
1SA.10.22	So they inquired further of the L
1SA.10.23	So they ran and took him from there, and when he stood among the people, he was taller than any of the people from his shoulders upward. 
1SA.10.24	Samuel said to all the people, “Do you see him whom the L
1SA.10.25	Then Samuel told the people the 
1SA.10.26	Saul also went home to Gibeah; and the 
1SA.10.27	But some 
1SA.11.1	Now Nahash the 
1SA.11.2	But Nahash the Ammonite told them, “I will make 
1SA.11.3	The elders of Jabesh said to Nahash, “Give us seven days so that we may send messengers throughout the territory of Israel. Then, if there is no one to save us, we will come out [and surrender] to you.” 
1SA.11.4	Then the messengers came to Gibeah of Saul and told the news to the people; and all the people raised their voices and wept aloud.
1SA.11.5	Now Saul was coming out of the field behind the oxen, and he said, “What is 
1SA.11.6	The Spirit of God came upon Saul mightily when he heard these words, and he became extremely angry. 
1SA.11.7	He took a team of oxen and cut them in pieces, and sent them throughout the territory of Israel by the hand of messengers, saying, “Whoever does not come out to follow Saul and Samuel, the same shall be done to his oxen.” Then fear of the L
1SA.11.8	He assembled 
1SA.11.9	They said to the messengers who had come, “You shall say to the men of Jabesh-gilead: ‘Tomorrow, by the time the sun is hot, you will have 
1SA.11.10	So the men of Jabesh said [to Nahash the Ammonite], “Tomorrow we will come out to you [to surrender], and you may do to us whatever seems good to you.” 
1SA.11.11	The next morning Saul put the men into three companies; and they entered the [Ammonites’] camp during the [darkness of the early] morning watch and killed the Ammonites until the heat of the day; and the survivors were scattered, and no two of them were left together.
1SA.11.12	The people said to Samuel, “Who is the one who said, ‘Shall Saul reign over us?’ Bring the men, and we will put them to death.” 
1SA.11.13	But Saul said, “No man shall be put to death this day, for today the L
1SA.11.14	Samuel said to the people, “Come, let us go to Gilgal and there restore the kingdom.” 
1SA.11.15	So all the people went to Gilgal, and there they made Saul king before the L
1SA.12.1	Then Samuel said to all Israel, “Behold, I have listened to your voice in everything that you have said to me and have appointed a king over you. 
1SA.12.2	And now, here is the king walking before you. As for me, I am old and gray, and here are my sons with you. I have walked before you from my childhood to this day. 
1SA.12.3	Here I am; testify against me before the L
1SA.12.4	They said, “You have not exploited us or oppressed us or taken anything at all from a man’s hand.” 
1SA.12.5	Samuel said to them, “The L
1SA.12.6	Then Samuel said to the people, “It is the L
1SA.12.7	Now then, take your stand, so that I may plead 
1SA.12.8	When Jacob [and his sons] had come into Egypt [and later when the Egyptians oppressed them] and your 
1SA.12.9	But when they forgot the L
1SA.12.10	They cried out to the L
1SA.12.11	Then the L
1SA.12.12	But when you saw that Nahash king of the Ammonites had come against you, you said to me, ‘No, but a king shall reign over us’—although the L
1SA.12.13	Now therefore, here is [Saul] the king whom you have chosen, and for whom you asked; behold, the L
1SA.12.14	If you will fear the L
1SA.12.15	But if you do not listen to the L
1SA.12.16	So now, take your stand and see this great thing which the L
1SA.12.17	Is it not [the beginning of the] wheat harvest today? I will call to the L
1SA.12.18	So Samuel called to the L
1SA.12.19	Then all the people said to Samuel, “Pray to the L
1SA.12.20	Samuel said to the people, “Do not be afraid. You have [indeed] done all this evil; yet do not turn away from following the L
1SA.12.21	You must not turn away, for 
1SA.12.22	The L
1SA.12.23	Moreover, as for me, far be it from me that I should sin against the L
1SA.12.24	Only fear the L
1SA.12.25	But if you still do evil, both you and your king will be swept away [to destruction].”
1SA.13.1	Saul was 
1SA.13.2	Saul chose for himself 3,000 men of Israel; of whom 2,000 were with him in Michmash and in the hill country of Bethel, while 1,000 were with Jonathan at Gibeah of Benjamin. But he sent the rest of the people away, each one to his own tent. 
1SA.13.3	Jonathan attacked 
1SA.13.4	All Israel heard that Saul had defeated the Philistine garrison, and also that Israel had become despicable to the Philistines. And the people were summoned to join Saul at Gilgal.
1SA.13.5	Now the Philistines gathered to fight against Israel, 30,000 chariots and 6,000 horsemen, and troops in multitude, like sand on the seashore. They came up and camped at Michmash, east of Beth-aven. 
1SA.13.6	When the men of Israel saw that they were in a tight situation (for their troops were hard-pressed), they hid in caves, in thickets, in cellars, and in [dry] cisterns (pits). 
1SA.13.7	Also 
1SA.13.8	Now Saul waited seven days, according to the appointed time which Samuel had set, but Samuel had not come to Gilgal; and the people were scattering away from Saul. 
1SA.13.9	So Saul said, “Bring me the burnt offering and the peace offerings.” And 
1SA.13.10	As soon as he finished offering the burnt offering, 
1SA.13.11	But Samuel said, “What have you done?” Saul said, “Since I saw that the people were scattering away from me, and that you did not come within the appointed time, and that the Philistines were assembling at Michmash, 
1SA.13.12	therefore, I said, ‘Now the Philistines will come down against me at Gilgal, and I have not asked for the L
1SA.13.13	Samuel said to Saul, “You have acted foolishly; you have not kept the commandment of the L
1SA.13.14	But now your kingdom shall not endure. The L
1SA.13.15	Then Samuel arose and went up from Gilgal to Gibeah of Benjamin. And Saul assembled 
1SA.13.16	Saul and his son Jonathan and the people with them were staying in Geba of Benjamin, while the Philistines camped at Michmash. 
1SA.13.17	And the raiding party came from the Philistine camp in three companies: one company turned toward Ophrah, to the land of Shual, 
1SA.13.18	another company turned toward Beth-horon, and another toward the border overlooking the Valley of Zeboim toward the wilderness.
1SA.13.19	Now no 
1SA.13.20	So all [the men of] Israel went down to the Philistines, each to get his plowshare, pick, axe, or sickle sharpened. 
1SA.13.21	The fee [for sharpening] was a pim (two-thirds of a shekel) for the plowshares, the picks, the pitchforks, and the axes, and to straighten the goads (cattle prods). 
1SA.13.22	So it came about on the day of battle that 
1SA.13.23	And the garrison of the Philistines went out to the pass at Michmash.
1SA.14.1	One day Jonathan the son of Saul said to his young armor bearer, “Come, let us go over to the Philistine garrison on the other side.” But he did not tell his father. 
1SA.14.2	Saul was staying in the outskirts of Gibeah under a pomegranate tree in Migron; and with him were about six hundred men, 
1SA.14.3	and Ahijah the son of Ichabod’s brother Ahitub the son of Phinehas, the son of Eli, the L
1SA.14.4	Between the passes by which Jonathan sought to cross over to get to the Philistine garrison, there was a rocky crag on the one side and a rocky crag on the other side; one [crag] was named Bozez, and the other, Seneh. 
1SA.14.5	The one crag was on the north in front of Michmash, and the other on the south in front of Geba.
1SA.14.6	Jonathan said to his young armor bearer, “Come, let us cross over to the garrison of these uncircumcised men; it may be that the L
1SA.14.7	And his armor bearer said to him, “Do everything that is in your heart (mind); here I am with you 
1SA.14.8	Jonathan said, “See now, we are going to cross over to the [Philistine] men and reveal ourselves to them. 
1SA.14.9	If they say to us, ‘Wait until we come to you,’ then we will stand in our place and not go up to them. 
1SA.14.10	But if they say, ‘Come up to us,’ we will go up, for the L
1SA.14.11	When both of them revealed themselves to the garrison of the Philistines, the Philistines said, “Look, the Hebrews are coming out of the holes where they have hidden themselves.” 
1SA.14.12	So the men of the garrison responded to Jonathan and his armor bearer, “Come up to us and we will tell you something.” Jonathan said to his armor bearer, “Climb up after me, for the L
1SA.14.13	Then Jonathan climbed up on his hands and feet, his armor bearer following after him. The enemy fell before Jonathan [in combat], and his armor bearer killed 
1SA.14.14	That first slaughter which Jonathan and his armor bearer made was about twenty men within about half a [plow] furrow in a plot of land [the area of which a yoke of oxen could plow in a day]. 
1SA.14.15	And there was trembling in the [Philistine] camp, in the field, and among all the people; even the garrison and the raiding party trembled [in fear], and the earth quaked and it became a trembling 
1SA.14.16	Saul’s watchmen in Gibeah of Benjamin looked, and behold, the multitude melted away and they went here and there. 
1SA.14.17	Then Saul said to the people with him, “Take a count and see who has left us.” When they had taken a count, behold, Jonathan and his armor bearer were missing. 
1SA.14.18	Saul said to Ahijah [the priest], “Bring the ark of God here.” For at that time the ark of God was with the sons of Israel. 
1SA.14.19	While Saul talked to the priest, the commotion in the Philistine camp continued and increased, so Saul said to the priest, “Withdraw your hand.” 
1SA.14.20	Then Saul and all the people who were with him rallied and went into the battle; and behold, every [Philistine] man’s sword was against his companion, in wild confusion. 
1SA.14.21	Now the Hebrews who were with the Philistines previously, who went up with them all around in the camp, they also 
1SA.14.22	When all the men of Israel who had hidden themselves in the hill country of Ephraim heard that the Philistines had fled, they too pursued them closely in the battle. 
1SA.14.23	So the L
1SA.14.24	But the men of Israel were hard-pressed that day, because Saul had put the people under a curse, saying, “Cursed be the man who eats food before evening, and before I have taken vengeance on my enemies.” So none of the people ate any food. 
1SA.14.25	All 
1SA.14.26	When the people entered the forest, the honey was dripping, but no man put his hand to his mouth [to taste it], because the people feared the oath [of Saul]. 
1SA.14.27	But Jonathan had not heard when his father put the people under the oath. So he put out the end of the staff that was in his hand and dipped it into a honeycomb, and then he put his hand to his mouth, and his 
1SA.14.28	But one of the people told him, “Your father strictly put the people under an oath, saying, ‘Cursed be the man who eats food today.’ ” And the people were exhausted [and hungry]. 
1SA.14.29	Then Jonathan said, “My father has troubled the land [with his foolish curse]. See how my 
1SA.14.30	How much better [it would have been] if only the people had eaten freely today from the spoil of their enemies which they found! For now the slaughter among the Philistines has not been great.”
1SA.14.31	They struck the Philistines that day from Michmash to Aijalon. And the people were very tired. 
1SA.14.32	[When night came and the oath ended] the people rushed greedily upon the spoil. They took sheep, oxen, and calves, and slaughtered them on the ground; and they ate them [raw] with the blood [still in them]. 
1SA.14.33	Then Saul was told, “Look, the people are sinning against the L
1SA.14.34	Saul said, “Spread out among the people and tell them, ‘Each one of you bring me his ox or his sheep, and butcher it [properly] here and eat; and do not sin against the L
1SA.14.35	And Saul built an altar to the L
1SA.14.36	Then Saul said, “Let us go down after the Philistines by night and plunder them until the morning light, and let us not leave a man of them [alive].” They said, “Do whatever seems good to you.” Then the priest said, “Let us approach God here.” 
1SA.14.37	Saul asked [counsel] of God, “Shall I go down after the Philistines? Will You hand them over to Israel?” But He did not answer him that day. 
1SA.14.38	Then Saul said, “Come here, all you who are leaders of the people, and let us find out how this sin [causing God’s silence] happened today. 
1SA.14.39	For as the L
1SA.14.40	Then he said to all the Israelites, “
1SA.14.41	Therefore, Saul said to the L
1SA.14.42	Saul said, “Cast [lots] between me and my son Jonathan.” And Jonathan was selected.
1SA.14.43	Saul said to Jonathan, “Tell me what you have done.” So Jonathan told him, “I tasted a little honey with the end of the staff that was in my hand. Here I am, I must die!” 
1SA.14.44	Saul answered, “May God do so [to me], and more also [if I do not keep my word], for you shall most certainly die, Jonathan.” 
1SA.14.45	But the people said to Saul, “Must Jonathan, who has brought about this great victory in Israel, be put to death? Far from it! As the L
1SA.14.46	Then Saul stopped pursuing the Philistines, and the Philistines went to their own place.
1SA.14.47	When Saul assumed control of the kingdom of Israel, he fought against all his enemies on every side: Moab, the sons (descendants) of Ammon, Edom, the kings of Zobah, and the Philistines. Wherever he turned, he inflicted punishment. 
1SA.14.48	He acted valiantly and defeated the Amalekites, and rescued Israel from the hands of those who had plundered them.
1SA.14.49	Now Saul’s sons were Jonathan, Ishvi, and Malchi-shua. The names of his two daughters 
1SA.14.50	The name of Saul’s wife was Ahinoam the daughter of Ahimaaz. The commander of his army was named Abner, the son of Ner, Saul’s uncle. 
1SA.14.51	Kish was the father of Saul, and Ner the father of Abner was the son of Abiel.
1SA.14.52	Now the war against the Philistines was severe (brutal, relentless) all the days of Saul; and whenever Saul saw any mighty or courageous man, he recruited him for his staff.
1SA.15.1	Samuel said to Saul, “The Lord sent me to anoint you king over His people Israel. Now listen 
1SA.15.2	Thus says the L
1SA.15.3	Now go and strike Amalek and completely destroy everything that they have; do not spare them, but kill both man and woman, child and infant, ox and sheep, camel and donkey.’ ”
1SA.15.4	So Saul summoned the people and numbered them at Telaim—200,000 foot soldiers and 10,000 men of Judah. 
1SA.15.5	Saul came to the city of Amalek and set an ambush in the valley. 
1SA.15.6	Saul said to the 
1SA.15.7	Saul defeated the Amalekites, from Havilah as far as Shur, which is east of Egypt. 
1SA.15.8	He captured Agag the king of the Amalekites alive, though he totally destroyed all [the rest of] the people with the sword. 
1SA.15.9	Saul and the people spared Agag and the best of the sheep, the oxen, the fatlings, the lambs, and everything that was good, and they were not willing to destroy them entirely; but everything that was undesirable or worthless they destroyed completely.
1SA.15.10	Then the word of the L
1SA.15.11	“I regret that I made Saul king, for he has turned away from following Me and has not carried out My commands.” Samuel was angry [over Saul’s failure] and he cried out to the L
1SA.15.12	When Samuel got up early in the morning to meet Saul, he was told, “Saul came to 
1SA.15.13	So Samuel came to Saul, and Saul said to him, “Blessed are you of the L
1SA.15.14	But Samuel said, “What then is this bleating of the sheep in my ears, and the lowing of the oxen which I hear?” 
1SA.15.15	Saul said, “They have brought them from the Amalekites, for the people spared the best of the sheep and oxen 
1SA.15.16	Then Samuel said to Saul, “Stop, and let me tell you what the L
1SA.15.17	Samuel said, “Is it not true that even though you were small (insignificant) in your own eyes, you were 
1SA.15.18	and the L
1SA.15.19	Why did you not obey the voice of the L
1SA.15.20	Saul said to Samuel, “I have obeyed the voice of the L
1SA.15.21	But the people took some of the spoil, sheep and oxen, the best of the things [that were] to be totally destroyed, to sacrifice to the L
1SA.15.22	Samuel said,
1SA.15.22	“Has the L
1SA.15.22	As in obedience to the voice of the L
1SA.15.22	Behold, to obey is better than sacrifice,
1SA.15.22	And to heed [is better] than the fat of rams.
1SA.15.23	For rebellion is as [serious as] the sin of divination (fortune-telling),
1SA.15.23	And disobedience is as [serious as] false religion and idolatry.
1SA.15.23	Because you have rejected the word of the L
1SA.15.23	He also has rejected 
1SA.15.24	Then Saul said to Samuel, “I have sinned; for I have transgressed the command of the L
