GEN.1.1	In the beginning of God's preparing the heavens and the earth —
GEN.2.5	and no shrub of the field is yet in the earth, and no herb of the field yet sprouteth, for 
GEN.2.6	and a mist goeth up from the earth, and hath watered the whole face of the ground.
GEN.2.7	And 
GEN.2.8	And 
GEN.2.9	and 
GEN.2.10	And a river is going out from Eden to water the garden, and from thence it is parted, and hath become four chief [rivers];
GEN.2.11	the name of the one [is] Pison, it [is] that which is surrounding the whole land of the Havilah where the gold [is],
GEN.2.12	and the gold of that land [is] good, there [is] the bdolach and the shoham stone;
GEN.2.13	and the name of the second river [is] Gibon, it [is] that which is surrounding the whole land of Cush;
GEN.2.14	and the name of the third river [is] Hiddekel, it [is] that which is going east of Asshur; and the fourth river is Phrat.
GEN.2.15	And 
GEN.2.16	And 
GEN.2.17	and of the tree of knowledge of good and evil, thou dost not eat of it, for in the day of thine eating of it — dying thou dost die.’
GEN.2.18	And 
GEN.2.19	And 
GEN.2.20	And the man calleth names to all the cattle, and to fowl of the heavens, and to every beast of the field; and to man hath not been found an helper — as his counterpart.
GEN.2.21	And 
GEN.2.22	And 
GEN.2.23	and the man saith, ‘This [is] the [proper] step! bone of my bone, and flesh of my flesh!’ for this it is called Woman, for from a man hath this been taken;
GEN.2.24	therefore doth a man leave his father and his mother, and hath cleaved unto his wife, and they have become one flesh.
GEN.2.25	And they are both of them naked, the man and his wife, and they are not ashamed of themselves.
GEN.3.1	And the serpent hath been subtile above every beast of the field which 
GEN.3.2	And the woman saith unto the serpent, ‘Of the fruit of the trees of the garden we do eat,
GEN.3.3	and of the fruit of the tree which [is] in the midst of the garden God hath said, Ye do not eat of it, nor touch it, lest ye die.’
GEN.3.4	And the serpent saith unto the woman, ‘Dying, ye do not die,
GEN.3.5	for God doth know that in the day of your eating of it — your eyes have been opened, and ye have been as God, knowing good and evil.’
GEN.3.6	And the woman seeth that the tree [is] good for food, and that it [is] pleasant to the eyes, and the tree is desirable to make [one] wise, and she taketh of its fruit and eateth, and giveth also to her husband with her, and he doth eat;
GEN.3.7	and the eyes of them both are opened, and they know that they [are] naked, and they sew fig-leaves, and make to themselves girdles.
GEN.3.8	And they hear the sound of 
GEN.3.9	And 
GEN.3.10	and he saith, ‘Thy sound I have heard in the garden, and I am afraid, for I am naked, and I hide myself.’
GEN.3.11	And He saith, ‘Who hath declared to thee that thou [art] naked? of the tree of which I have commanded thee not to eat, hast thou eaten?’
GEN.3.12	and the man saith, ‘The woman whom Thou didst place with me — she hath given to me of the tree — and I do eat.’
GEN.3.13	And 
GEN.3.14	And 
GEN.3.15	and enmity I put between thee and the woman, and between thy seed and her seed; he doth bruise thee — the head, and thou dost bruise him — the heel.’
GEN.3.16	Unto the woman He said, ‘Multiplying I multiply thy sorrow and thy conception, in sorrow dost thou bear children, and toward thy husband [is] thy desire, and he doth rule over thee.’
GEN.3.17	And to the man He said, ‘Because thou hast hearkened to the voice of thy wife, and dost eat of the tree concerning which I have charged thee, saying, Thou dost not eat of it, cursed [is] the ground on thine account; in sorrow thou dost eat of it all days of thy life,
GEN.3.18	and thorn and bramble it doth bring forth to thee, and thou hast eaten the herb of the field;
GEN.3.19	by the sweat of thy face thou dost eat bread till thy return unto the ground, for out of it hast thou been taken, for dust thou [art], and unto dust thou turnest back.’
GEN.3.20	And the man calleth his wife's name Eve: for she hath been mother of all living.
GEN.3.21	And 
GEN.3.22	And 
GEN.3.24	yea, he casteth out the man, and causeth to dwell at the east of the garden of Eden the cherubs and the flame of the sword which is turning itself round to guard the way of the tree of life.
GEN.4.1	And the man knew Eve his wife, and she conceiveth and beareth Cain, and saith, ‘I have gotten a man by 
GEN.4.2	and she addeth to bear his brother, even Abel. And Abel is feeding a flock, and Cain hath been servant of the ground.
GEN.4.3	And it cometh to pass at the end of days that Cain bringeth from the fruit of the ground a present to 
GEN.4.4	and Abel, he hath brought, he also, from the female firstlings of his flock, even from their fat ones; and 
GEN.4.5	and unto Cain and unto his present He hath not looked; and it is very displeasing to Cain, and his countenance is fallen.
GEN.4.6	And 
GEN.4.7	Is there not, if thou dost well, acceptance? and if thou dost not well, at the opening a sin-offering is crouching, and unto thee its desire, and thou rulest over it.’
GEN.4.8	And Cain saith unto Abel his brother, [‘Let us go into the field;’] and it cometh to pass in their being in the field, that Cain riseth up against Abel his brother, and slayeth him.
GEN.4.9	And 
GEN.4.10	And He saith, ‘What hast thou done? the voice of thy brother's blood is crying unto Me from the ground;
GEN.4.11	and now, cursed [art] thou from the ground, which hath opened her mouth to receive the blood of thy brother from thy hand;
GEN.4.12	when thou tillest the ground, it doth not add to give its strength to thee — a wanderer, even a trembling one, thou art in the earth.’
GEN.4.13	And Cain saith unto 
GEN.4.14	lo, Thou hast driven me to-day from off the face of the ground, and from Thy face I am hid; and I have been a wanderer, even a trembling one, in the earth, and it hath been — every one finding me doth slay me.’
GEN.4.15	And 
GEN.4.16	And Cain goeth out from before 
GEN.4.17	and Cain knoweth his wife, and she conceiveth, and beareth Enoch; and he is building a city, and he calleth the name of the city, according to the name of his son — Enoch.
GEN.4.18	And born to Enoch is Irad; and Irad hath begotten Mehujael; and Mehujael hath begotten Methusael; and Methusael hath begotten Lamech.
GEN.4.19	And Lamech taketh to himself two wives, the name of the one Adah, and the name of the second Zillah.
GEN.4.20	And Adah beareth Jabal, he hath been father of those inhabiting tents and purchased possessions;
GEN.4.21	and the name of his brother [is] Jubal, he hath been father of every one handling harp and organ.
GEN.4.22	And Zillah she also bare Tubal-Cain, an instructor of every artificer in brass and iron; and a sister of Tubal-Cain [is] Naamah.
GEN.4.23	And Lamech saith to his wives: — ‘Adah and Zillah, hear my voice; Wives of Lamech, give ear [to] my saying: For a man I have slain for my wound, Even a young man for my hurt;
GEN.4.24	For sevenfold is required for Cain, And for Lamech seventy and sevenfold.’
GEN.4.25	And Adam again knoweth his wife, and she beareth a son, and calleth his name Seth, ‘for God hath appointed for me another seed instead of Abel:’ for Cain had slain him.
GEN.4.26	And to Seth, to him also a son hath been born, and he calleth his name Enos; then a beginning was made of preaching in the name of 
GEN.5.1	This [is] an account of the births of Adam: In the day of God's preparing man, in the likeness of God He hath made him;
GEN.5.2	a male and a female He hath prepared them, and He blesseth them, and calleth their name Man, in the day of their being prepared.
GEN.5.3	And Adam liveth an hundred and thirty years, and begetteth [a son] in his likeness, according to his image, and calleth his name Seth.
GEN.5.4	And the days of Adam after his begetting Seth are eight hundred years, and he begetteth sons and daughters.
GEN.5.5	And all the days of Adam which he lived are nine hundred and thirty years, and he dieth.
GEN.5.6	And Seth liveth an hundred and five years, and begetteth Enos.
GEN.5.7	And Seth liveth after his begetting Enos eight hundred and seven years, and begetteth sons and daughters.
GEN.5.8	And all the days of Seth are nine hundred and twelve years, and he dieth.
GEN.5.9	And Enos liveth ninety years, and begetteth Cainan.
GEN.5.10	And Enos liveth after his begetting Cainan eight hundred and fifteen years, and begetteth sons and daughters.
GEN.5.11	And all the days of Enos are nine hundred and five years, and he dieth.
GEN.5.12	And Cainan liveth seventy years, and begetteth Mahalaleel.
GEN.5.13	And Cainan liveth after his begetting Mahalaleel eight hundred and forty years, and begetteth sons and daughters.
GEN.5.14	And all the days of Cainan are nine hundred and ten years, and he dieth.
GEN.5.15	And Mahalaleel liveth five and sixty years, and begetteth Jared.
GEN.5.16	And Mahalaleel liveth after his begetting Jared eight hundred and thirty years, and begetteth sons and daughters.
GEN.5.17	And all the days of Mahalaleel are eight hundred and ninety and five years, and he dieth.
GEN.5.18	And Jared liveth an hundred and sixty and two years, and begetteth Enoch.
GEN.5.19	And Jared liveth after his begetting Enoch eight hundred years, and begetteth sons and daughters.
GEN.5.20	And all the days of Jared are nine hundred and sixty and two years, and he dieth.
GEN.5.21	And Enoch liveth five and sixty years, and begetteth Methuselah.
GEN.5.22	And Enoch walketh habitually with God after his begetting Methuselah three hundred years, and begetteth sons and daughters.
GEN.5.23	And all the days of Enoch are three hundred and sixty and five years.
GEN.5.24	And Enoch walketh habitually with God, and he is not, for God hath taken him.
GEN.5.25	And Methuselah liveth an hundred and eighty and seven years, and begetteth Lamech.
GEN.5.26	And Methuselah liveth after his begetting Lamech seven hundred and eighty and two years, and begetteth sons and daughters.
GEN.5.27	And all the days of Methuselah are nine hundred and sixty and nine years, and he dieth.
GEN.5.28	And Lamech liveth an hundred and eighty and two years, and begetteth a son,
GEN.5.29	and calleth his name Noah, saying, ‘This [one] doth comfort us concerning our work, and concerning the labour of our hands, because of the ground which 
GEN.5.30	And Lamech liveth after his begetting Noah five hundred and ninety and five years, and begetteth sons and daughters.
GEN.5.31	And all the days of Lamech are seven hundred and seventy and seven years, and he dieth.
GEN.5.32	And Noah is a son of five hundred years, and Noah begetteth Shem, Ham, and Japheth.
GEN.6.1	And it cometh to pass that mankind have begun to multiply on the face of the ground, and daughters have been born to them,
GEN.6.2	and sons of God see the daughters of men that they [are] fair, and they take to themselves women of all whom they have chosen.
GEN.6.3	And 
GEN.6.4	The fallen ones were in the earth in those days, and even afterwards when sons of God come in unto daughters of men, and they have borne to them — they [are] the heroes, who, from of old, [are] the men of name.
GEN.6.5	And 
GEN.6.6	and 
GEN.6.7	And 
GEN.6.8	And Noah found grace in the eyes of 
GEN.6.9	These [are] births of Noah: Noah [is] a righteous man; perfect he hath been among his generations; with God hath Noah walked habitually.
GEN.6.10	And Noah begetteth three sons, Shem, Ham, and Japheth.
GEN.6.11	And the earth is corrupt before God, and the earth is filled [with] violence.
GEN.6.12	And God seeth the earth, and lo, it hath been corrupted, for all flesh hath corrupted its way on the earth.
GEN.6.13	And God said to Noah, ‘An end of all flesh hath come before Me, for the earth hath been full of violence from their presence; and lo, I am destroying them with the earth.
GEN.6.14	‘Make for thyself an ark of gopher-wood; rooms dost thou make with the ark, and thou hast covered it within and without with cypress;
GEN.6.15	and this [is] that which thou dost with it: three hundred cubits [is] the length of the ark, fifty cubits its breadth, and thirty cubits its height;
GEN.6.16	a window dost thou make for the ark, and unto a cubit thou dost restrain it from above; and the opening of the ark thou dost put in its side, — lower, second, and third [stories] dost thou make it.
GEN.6.17	‘And I, lo, I am bringing in the deluge of waters on the earth to destroy all flesh, in which [is] a living spirit, from under the heavens; all that [is] in the earth doth expire.
GEN.6.18	‘And I have established My covenant with thee, and thou hast come in unto the ark, thou, and thy sons, and thy wife, and thy son's wives with thee;
GEN.6.19	and of all that liveth, of all flesh, two of every [sort] thou dost bring in unto the ark, to keep alive with thee; male and female are they.
GEN.6.20	Of the fowl after its kind, and of the cattle after their kind, of every creeping thing of the ground after its kind, two of every [sort] they come in unto thee, to keep alive.
GEN.6.21	‘And thou, take to thyself of all food that is eaten; and thou hast gathered unto thyself, and it hath been to thee and to them for food.’
GEN.6.22	And Noah doth according to all that God hath commanded him; so hath he done.
GEN.7.1	And 
GEN.7.2	of all the clean beasts thou dost take to thee seven pairs, a male and its female; and of the beasts which are not clean two, a male and its female;
GEN.7.3	also, of fowl of the heavens seven pairs, a male and a female, to keep alive seed on the face of all the earth;
GEN.7.4	for after other seven days I am sending rain on the earth forty days and forty nights, and have wiped away all the substance that I have made from off the face of the ground.’
GEN.7.5	And Noah doth according to all that 
GEN.7.6	and Noah [is] a son of six hundred years, and the deluge of waters hath been upon the earth.
GEN.7.7	And Noah goeth in, and his sons, and his wife, and his sons' wives with him, unto the ark, from the presence of the waters of the deluge;
GEN.7.8	of the clean beasts and of the beasts that [are] not clean, and of the fowl, and of every thing that is creeping upon the ground,
GEN.7.9	two by two they have come in unto Noah, unto the ark, a male and a female, as God hath commanded Noah.
GEN.7.10	And it cometh to pass, after the seventh of the days, that waters of the deluge have been on the earth.
GEN.7.11	In the six hundredth year of the life of Noah, in the second month, in the seventeenth day of the month, in this day have been broken up all fountains of the great deep, and the net-work of the heavens hath been opened,
GEN.7.12	and the shower is on the earth forty days and forty nights.
GEN.7.13	In this self-same day went in Noah, and Shem, and Ham, and Japheth, sons of Noah, and Noah's wife and the three wives of his sons with them, unto the ark;
GEN.7.14	they, and every living creature after its kind, and every beast after its kind, and every creeping thing that is creeping on the earth after its kind, and every fowl after its kind, every bird — every wing.
GEN.7.15	And they come in unto Noah, unto the ark, two by two of all the flesh in which [is] a living spirit;
GEN.7.16	and they that are coming in, male and female of all flesh, have come in as God hath commanded him, and 
GEN.7.17	And the deluge is forty days on the earth, and the waters multiply, and lift up the ark, and it is raised up from off the earth;
GEN.7.18	and the waters are mighty, and multiply exceedingly upon the earth; and the ark goeth on the face of the waters.
GEN.7.19	And the waters have been very very mighty on the earth, and covered are all the high mountains which [are] under the whole heavens;
GEN.7.20	fifteen cubits upwards have the waters become mighty, and the mountains are covered;
GEN.7.21	and expire doth all flesh that is moving on the earth, among fowl, and among cattle, and among beasts, and among all the teeming things which are teeming on the earth, and all mankind;
GEN.7.22	all in whose nostrils [is] breath of a living spirit — of all that [is] in the dry land — have died.
GEN.7.23	And wiped away is all the substance that is on the face of the ground, from man unto beast, unto creeping thing, and unto fowl of the heavens; yea, they are wiped away from the earth, and only Noah is left, and those who [are] with him in the ark;
GEN.7.24	and the waters are mighty on the earth a hundred and fifty days.
GEN.8.1	And God remembereth Noah, and every living thing, and all the cattle which [are] with him in the ark, and God causeth a wind to pass over the earth, and the waters subside,
GEN.8.2	and closed are the fountains of the deep and the net-work of the heavens, and restrained is the shower from the heavens.
GEN.8.3	And turn back do the waters from off the earth, going on and returning; and the waters are lacking at the end of a hundred and fifty days.
GEN.8.4	And the ark resteth, in the seventh month, in the seventeenth day of the month, on mountains of Ararat;
GEN.8.5	and the waters have been going and becoming lacking till the tenth month; in the tenth [month], on the first of the month, appeared the heads of the mountains.
GEN.8.6	And it cometh to pass, at the end of forty days, that Noah openeth the window of the ark which he made,
GEN.8.7	and he sendeth forth the raven, and it goeth out, going out and turning back till the drying of the waters from off the earth.
GEN.8.8	And he sendeth forth the dove from him to see whether the waters have been lightened from off the face of the ground,
GEN.8.9	and the dove hath not found rest for the sole of her foot, and she turneth back unto him, unto the ark, for waters [are] on the face of all the earth, and he putteth out his hand, and taketh her, and bringeth her in unto him, unto the ark.
GEN.8.10	And he stayeth yet other seven days, and addeth to send forth the dove from the ark;
GEN.8.11	and the dove cometh in unto him at even-time, and lo, an olive leaf torn off in her mouth; and Noah knoweth that the waters have been lightened from off the earth.
GEN.8.12	And he stayeth yet other seven days, and sendeth forth the dove, and it added not to turn back unto him any more.
GEN.8.13	And it cometh to pass in the six hundredth and first year, in the first [month], in the first of the month, the waters have been dried from off the earth; and Noah turneth aside the covering of the ark, and looketh, and lo, the face of the ground hath been dried.
GEN.8.14	And in the second month, in the seven and twentieth day of the month, the earth hath become dry.
GEN.8.15	And God speaketh unto Noah, saying, ‘Go out from the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee;
GEN.8.16	every living thing that [is] with thee, of all flesh, among fowl, and among cattle, and among every creeping thing which is creeping on the earth, bring out with thee;
GEN.8.17	and they have teemed in the earth, and been fruitful, and have multiplied on the earth.’
GEN.8.18	And Noah goeth out, and his sons, and his wife, and his sons' wives with him;
GEN.8.19	every beast, every creeping thing, and every fowl; every creeping thing on the earth, after their families, have gone out from the ark.
GEN.8.20	And Noah buildeth an altar to 
GEN.8.21	and 
GEN.8.22	during all days of the earth, seed-time and harvest, and cold and heat, and summer and winter, and day and night, do not cease.’
GEN.9.1	And God blesseth Noah, and his sons, and saith to them, ‘Be fruitful, and multiply, and fill the earth;
GEN.9.2	and your fear and your dread is on every beast of the earth, and on every fowl of the heavens, on all that creepeth on the ground, and on all fishes of the sea — into your hand they have been given.
GEN.9.3	Every creeping thing that is alive, to you it is for food; as the green herb I have given to you the whole;
GEN.9.4	only flesh in its life — its blood — ye do not eat.
GEN.9.5	‘And only your blood for your lives do I require; from the hand of every living thing I require it, and from the hand of man, from the hand of every man's brother I require the life of man;
GEN.9.6	whoso sheddeth man's blood, by man is his blood shed: for in the image of God hath He made man.
GEN.9.7	And ye, be fruitful and multiply, teem in the earth, and multiply in it.’
GEN.9.8	And God speaketh unto Noah, and unto his sons with him, saying,
GEN.9.9	‘And I, lo, I am establishing My covenant with you, and with your seed after you,
GEN.9.10	and with every living creature which [is] with you, among fowl, among cattle, and among every beast of the earth with you, from all who are going out of the ark — to every beast of the earth.
GEN.9.11	And I have established My covenant with you, and all flesh is not any more cut off by waters of a deluge, and there is not any more a deluge to destroy the earth.’
GEN.9.12	And God saith, ‘This is a token of the covenant which I am giving between Me and you, and every living creature that [is] with you, to generations age-during;
GEN.9.13	My bow I have given in the cloud, and it hath been for a token of a covenant between Me and the earth;
GEN.9.14	and it hath come to pass (in My sending a cloud over the earth) that the bow hath been seen in the cloud,
GEN.9.15	and I have remembered My covenant which is between Me and you, and every living creature among all flesh, and the waters become no more a deluge to destroy all flesh;
GEN.9.16	and the bow hath been in the cloud, and I have seen it — to remember the covenant age-during between God and every living creature among all flesh which [is] on the earth.’
GEN.9.17	And God saith unto Noah, ‘This [is] a token of the covenant which I have established between Me and all flesh that [is] upon the earth.’
GEN.9.18	And the sons of Noah who are going out of the ark are Shem, and Ham, and Japheth; and Ham is father of Canaan.
GEN.9.19	These three [are] sons of Noah, and from these hath all the earth been overspread.
GEN.9.20	And Noah remaineth a man of the ground, and planteth a vineyard,
GEN.9.21	and drinketh of the wine, and is drunken, and uncovereth himself in the midst of the tent.
GEN.9.22	And Ham, father of Canaan, seeth the nakedness of his father, and declareth to his two brethren without.
GEN.9.23	And Shem taketh — Japheth also — the garment, and they place on the shoulder of them both, and go backward, and cover the nakedness of their father; and their faces [are] backward, and their father's nakedness they have not seen.
GEN.9.24	And Noah awaketh from his wine, and knoweth that which his young son hath done to him,
GEN.9.25	and saith: ‘Cursed [is] Canaan, Servant of servants he is to his brethren.’
GEN.9.26	And he saith: ‘Blessed of 
GEN.9.27	God doth give beauty to Japheth, And he dwelleth in tents of Shem, And Canaan is servant to him.’
GEN.9.28	And Noah liveth after the deluge three hundred and fifty years;
GEN.9.29	and all the days of Noah are nine hundred and fifty years, and he dieth.
GEN.10.1	And these [are] births of the sons of Noah, Shem, Ham, and Japheth; and born to them are sons after the deluge.
GEN.10.2	‘Sons of Japheth [are] Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
GEN.10.3	And sons of Gomer [are] Ashkenaz, and Riphath, and Togarmah.
GEN.10.4	And sons of Javan [are] Elishah, and Tarshish, Kittim, and Dodanim.
GEN.10.5	By these have the isles of the nations been parted in their lands, each by his tongue, by their families, in their nations.
GEN.10.6	And sons of Ham [are] Cush, and Mitzraim, and Phut, and Canaan.
GEN.10.7	And sons of Cush [are] Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah; and sons of Raamah [are] Sheba and Dedan.
GEN.10.8	And Cush hath begotten Nimrod;
GEN.10.9	he hath begun to be a hero in the land; he hath been a hero in hunting before 
GEN.10.10	And the first part of his kingdom is Babel, and Erech, and Accad, and Calneh, in the land of Shinar;
GEN.10.11	from that land he hath gone out to Asshur, and buildeth Nineveh, even the broad places of the city, and Calah,
GEN.10.12	and Resen, between Nineveh and Calah; it [is] the great city.
GEN.10.13	And Mitzraim hath begotten the Ludim, and the Anamim, and the Lehabim, and the Naphtuhim,
GEN.10.14	and the Pathrusim, and the Casluhim, (whence have come out Philistim,) and the Caphtorim.
GEN.10.15	And Canaan hath begotten Sidon his first-born, and Heth,
GEN.10.16	and the Jebusite, and the Amorite, and the Girgashite,
GEN.10.17	and the Hivite, and the Arkite, and the Sinite,
GEN.10.18	and the Arvadite, and the Zemarite, and the Hamathite; and afterwards have the families of the Canaanite been scattered.
GEN.10.19	And the border of the Canaanite is from Sidon, [in] thy coming towards Gerar, unto Gaza; [in] thy coming towards Sodom, and Gomorrah, and Admah, and Zeboim, unto Lasha.
GEN.10.20	These [are] sons of Ham, by their families, by their tongues, in their lands, in their nations.
GEN.10.21	As to Shem, father of all sons of Eber, brother of Japheth the elder, he hath also begotten:
GEN.10.22	Sons of Shem [are] Elam, and Asshur, and Arphaxad, and Lud, and Aram.
GEN.10.23	And sons of Aram [are] Uz, and Hul, and Gether, and Mash.
GEN.10.24	And Arphaxad hath begotten Salah, and Salah hath begotten Eber.
GEN.10.25	And to Eber have two sons been born; the name of the one [is] Peleg (for in his days hath the earth been divided,) and his brother's name [is] Joktan.
GEN.10.26	And Joktan hath begotten Almodad, and Sheleph, and Hazarmaveth, and Jerah,
GEN.10.27	and Hadoram, and Uzal, and Diklah,
GEN.10.28	and Obal, and Abimael, and Sheba,
GEN.10.29	and Ophir, and Havilah, and Jobab; all these [are] sons of Joktan;
GEN.10.30	and their dwelling is from Mesha, [in] thy coming towards Sephar, a mount of the east.
GEN.10.31	These [are] sons of Shem, by their families, by their tongues, in their lands, by their nations.
GEN.10.32	These [are] families of the sons of Noah, by their births, in their nations, and by these have the nations been parted in the earth after the deluge.
GEN.11.1	And the whole earth is of one pronunciation, and of the same words,
GEN.11.2	and it cometh to pass, in their journeying from the east, that they find a valley in the land of Shinar, and dwell there;
GEN.11.3	and they say each one to his neighbour, ‘Give help, let us make bricks, and burn [them] thoroughly:’ and the brick is to them for stone, and the bitumen hath been to them for mortar.
GEN.11.4	And they say, ‘Give help, let us build for ourselves a city and tower, and its head in the heavens, and make for ourselves a name, lest we be scattered over the face of all the earth.’
GEN.11.5	And 
GEN.11.6	and 
GEN.11.7	Give help, let us go down, and mingle there their pronunciation, so that a man doth not understand the pronunciation of his companion.’
GEN.11.8	And 
GEN.11.9	therefore hath [one] called its name Babel, for there hath 
GEN.11.10	These [are] births of Shem: Shem [is] a son of an hundred years, and begetteth Arphaxad two years after the deluge.
GEN.11.11	And Shem liveth after his begetting Arphaxad five hundred years, and begetteth sons and daughters.
GEN.11.12	And Arphaxad hath lived five and thirty years, and begetteth Salah.
GEN.11.13	And Arphaxad liveth after his begetting Salah four hundred and three years, and begetteth sons and daughters.
GEN.11.14	And Salah hath lived thirty years, and begetteth Eber.
GEN.11.15	And Salah liveth after his begetting Eber four hundred and three years, and begetteth sons and daughters.
GEN.11.16	And Eber liveth four and thirty years, and begetteth Peleg.
GEN.11.17	And Eber liveth after his begetting Peleg four hundred and thirty years, and begetteth sons and daughters.
GEN.11.18	And Peleg liveth thirty years, and begetteth Reu.
GEN.11.19	And Peleg liveth after his begetting Reu two hundred and nine years, and begetteth sons and daughters.
GEN.11.20	And Reu liveth two and thirty years, and begetteth Serug.
GEN.11.21	And Reu liveth after his begetting Serug two hundred and seven years, and begetteth sons and daughters.
GEN.11.22	And Serug liveth thirty years, and begetteth Nahor.
GEN.11.23	And Serug liveth after his begetting Nahor two hundred years, and begetteth sons and daughters.
GEN.11.24	And Nahor liveth nine and twenty years, and begetteth Terah.
GEN.11.25	And Nahor liveth after his begetting Terah an hundred and nineteen years, and begetteth sons and daughters.
GEN.11.26	And Terah liveth seventy years, and begetteth Abram, Nahor, and Haran.
GEN.11.27	And these [are] births of Terah: Terah hath begotten Abram, Nahor, and Haran; and Haran hath begotten Lot;
GEN.11.28	and Haran dieth in the presence of Terah his father, in the land of his birth, in Ur of the Chaldees.
GEN.11.29	And Abram and Nahor take to themselves wives; the name of Abram's wife [is] Sarai, and the name of Nahor's wife [is] Milcah, daughter of Haran, father of Milcah, and father of Iscah.
GEN.11.30	And Sarai is barren — she hath no child.
GEN.11.31	And Terah taketh Abram his son, and Lot, son of Haran, his son's son, and Sarai his daughter-in-law, wife of Abram his son, and they go out with them from Ur of the Chaldees, to go towards the land of Canaan; and they come unto Charan, and dwell there.
GEN.11.32	And the days of Terah are two hundred and five years, and Terah dieth in Charan.
GEN.12.1	And 
GEN.12.2	And I make thee become a great nation, and bless thee, and make thy name great; and be thou a blessing.
GEN.12.3	And I bless those blessing thee, and him who is disesteeming thee I curse, and blessed in thee have been all families of the ground.’
GEN.12.4	And Abram goeth on, as 
GEN.12.5	And Abram taketh Sarai his wife, and Lot his brother's son, and all their substance that they have gained, and the persons that they have obtained in Charan; and they go out to go towards the land of Canaan; and they come in to the land of Canaan.
GEN.12.6	And Abram passeth over into the land, unto the place Shechem, unto the oak of Moreh; and the Canaanite [is] then in the land.
GEN.12.7	And 
