GEN.1.1	In the beginning God created the heavens and the earth. 
GEN.1.28	God blessed them and God said to them, “Be fruitful and multiply, fill the land, and conquer it. Rule over the fish of the sea, the flying creatures of the sky, and over every animal that crawls on the land.” 
GEN.1.29	Then God said, “I have just given you every green plant yielding seed that is on the surface of the whole land, and every tree, which has the fruit of a tree yielding seed. They are to be food for you. 
GEN.1.30	Also for every wild animal, every flying creature of the sky and every creature that crawls on the land which has life, every green plant is to be food.” And it happened so. 
GEN.1.31	So God saw everything that He made, and behold it was very good. So there was evening and there was morning—the sixth day.
GEN.2.1	So the heavens and the earth were completed along with their entire array. 
GEN.2.2	God completed—on the seventh day—His work that He made, and He ceased—on the seventh day—from all His work that He made. 
GEN.2.3	Then God blessed the seventh day and sanctified it, for on it He ceased from all His work that God created for the purpose of preparing.
GEN.2.4	These are the genealogical records of the heavens and the earth when they were created, at the time when 
GEN.2.5	Now no shrub of the field was in the land yet, and no green plants of the field had sprouted yet. For 
GEN.2.6	But a mist came up from the land and watered the whole surface of the ground. 
GEN.2.7	Then 
GEN.2.8	Then 
GEN.2.9	Then 
GEN.2.10	A river flowed out of Eden to water the garden. From there it divided and became four riverheads. 
GEN.2.11	The name of the first is Pishon, the one that winds around the whole land of the Havilah, where there is gold. 
GEN.2.12	The gold of that land is good—bdellium and lapis lazuli stones are also there. 
GEN.2.13	The name of the second river is Gihon—it winds around the whole land of Cush. 
GEN.2.14	The name of the third river is Tigris—it runs east of Assyria. And the fourth river is Euphrates. 
GEN.2.15	Then 
GEN.2.16	Then 
GEN.2.17	But of the Tree of the Knowledge of Good and Evil you must not eat. For when you eat from it, you most assuredly will die! 
GEN.2.18	Then 
GEN.2.19	 had formed from the ground every animal of the field and every flying creature of the sky, so He brought them to the man to see what he would call them. Whatever the man called them—each living creature—that was its name. 
GEN.2.20	So the man gave names to all of the livestock, and to the flying creatures of the sky, and to all the animals of the field; but for the man He did not find a well-matched helper for him. 
GEN.2.21	 caused a deep sleep to fall on the man and he slept; and He took one of his ribs and closed up the flesh in its place. 
GEN.2.22	 built the rib, which He had taken from the man, into a woman. Then He brought her to the man. 
GEN.2.23	Then the man said, “This one, at last, is bone of my bones and flesh from my flesh. This one is called woman, for from man was taken this one.” 
GEN.2.24	This is why a man leaves his father and his mother and clings to his wife; and they become one flesh. 
GEN.2.25	Now both of them were naked, the man and his wife, and they were not ashamed.
GEN.3.1	But the serpent was shrewder than any animal of the field that 
GEN.3.2	The woman said to the serpent, “Of the fruit of the trees, we may eat. 
GEN.3.3	But of the fruit of the tree which is in the middle of the garden, God said, ‘You must not eat of it and you must not touch it, or you will die.’” 
GEN.3.4	The serpent said to the woman, “You most assuredly won’t die! 
GEN.3.5	For God knows that when you eat of it, your eyes will be opened and you will be like God, knowing good and evil.” 
GEN.3.6	Now the woman saw that the tree was good for food, and that it was a thing of lust for the eyes, and that the tree was desirable for imparting wisdom. So she took of its fruit and she ate. She also gave to her husband who was with her and he ate. 
GEN.3.7	Then the eyes of both of them were opened and they knew that they were naked; so they sewed fig leaves together and made for themselves loin-coverings. 
GEN.3.8	And they heard the sound of 
GEN.3.9	Then 
GEN.3.10	Then he said, “Your sound—I heard it in the garden and I was afraid. Because I am naked, I hid myself.” 
GEN.3.11	Then He said, “Who told you that you are naked? Have you eaten from the Tree from which I commanded you not to eat?” 
GEN.3.12	Then the man said, “The woman whom You gave to be with me—she gave me of the Tree, and I ate.” 
GEN.3.13	 said to the woman, “What did you do?” The woman said, “The serpent deceived me and I ate.” 
GEN.3.14	 said to the serpent, “Because you did this, Cursed are you above all the livestock and above every animal of the field. On your belly will you go, and dust will you eat all the days of your life. 
GEN.3.15	I will put animosity between you and the woman— between your seed and her seed. He will crush your head, and you will crush his heel. 
GEN.3.16	To the woman He said, “I will greatly increase your pain from conception to labor. In pain will you give birth to children. Your desire will be toward your husband, yet he must rule over you.” 
GEN.3.17	Then to the man He said, “Because you listened to your wife’s voice and ate of the tree which I commanded you, saying, ‘You must not eat of it’: Cursed is the ground because of you— with pain will you eat of it all the days of your life. 
GEN.3.18	Thorns and thistles will sprout for you. You will eat the plants of the field, 
GEN.3.19	By the sweat of your brow will you eat food, until you return to the ground, since from it were you taken. For you are dust, and to dust will you return.” 
GEN.3.20	Now Adam named his wife Eve because she was the mother of all the living. 
GEN.3.21	 made Adam and his wife tunics of skin and He clothed them. 
GEN.3.22	Then 
GEN.3.23	 sent him away from the Garden of Eden, to work the ground from which he had been taken. 
GEN.3.24	And He expelled the man; and at the east of the Garden of Eden He had 
GEN.4.1	Now the man had relations with Eve his wife and she became pregnant and gave birth to Cain. She said, “I produced a man with 
GEN.4.2	Then she gave birth again, to his brother Abel. Abel became a shepherd of flocks while Cain became a worker of the ground. 
GEN.4.3	So it happened after some time that Cain brought an offering of the fruit of the ground to 
GEN.4.4	while Abel—he also brought of the firstborn of his flock and their fat portions. Now 
GEN.4.5	but upon Cain and his offering He did not look favorably. Cain became very angry, and his countenance fell. 
GEN.4.6	Then 
GEN.4.7	If you do well, it will lift. But if you do not do well, sin is crouching at the doorway. Its desire is for you, but you must master it.” 
GEN.4.8	Cain spoke to Abel his brother. While they were in the field, Cain rose up against Abel his brother and killed him. 
GEN.4.9	Then 
GEN.4.10	Then He said, “What have you done? The voice of your brother’s blood is crying out to Me from the ground. 
GEN.4.11	So now, cursed are you from the ground which opened its mouth to receive your brother’s blood from your hand. 
GEN.4.12	As often as you work the ground, it will not yield its crops to you again. You will be a restless wanderer on the earth.” 
GEN.4.13	Cain said to 
GEN.4.14	Since You expelled me today from the face of the ground and I must be hidden from Your presence, then I will be a restless wanderer on the earth—anyone who finds me will kill me!” 
GEN.4.15	But 
GEN.4.16	Then Cain left 
GEN.4.17	Cain was intimate with his wife and she became pregnant and gave birth to Enoch. And he was building a city, and he named the city after the name of his son, Enoch. 
GEN.4.18	And to Enoch was born Irad. Irad fathered Mehujael, and Mehujael fathered Methushael, and Methushael fathered Lamech. 
GEN.4.19	Now Lamech took for himself two wives. The name of the first one was Adah, and the name of the second one was Zillah. 
GEN.4.20	Adah gave birth to Jabal—he was the pioneer of tent dwellers with livestock. 
GEN.4.21	His brother’s name was Jubal—he was the pioneer of all who skillfully handle stringed instruments and wind instruments. 
GEN.4.22	Now Zillah also gave birth to Tubal-Cain, the forger of every kind of bronze and iron tools; Tubal-Cain’s sister was Naamah. 
GEN.4.23	Lamech said to his wives, “Adah and Zillah: Hear my voice! Lamech’s wives: Listen to my speech! For I have killed a man for wounding me, and a boy for bruising me. 
GEN.4.24	If Cain is to be avenged seven times, then Lamech—77 times!” 
GEN.4.25	Adam was intimate with his wife again, and she gave birth to a son and she named him Seth, “For God has appointed me another seed in place of Abel—since Cain killed him.” 
GEN.4.26	To Seth, also was born a son. He named him Enosh. Then people began to call on 
GEN.5.1	This is the Book of the Genealogies of Adam: When God created Adam, in the likeness of God He made him. 
GEN.5.2	Male and female He created them, and He blessed them and called their name “Adam” when He created them. 
GEN.5.3	Adam lived 130 years, then fathered a son in his likeness, after his image, and named him Seth. 
GEN.5.4	Then the days of Adam after he fathered Seth were 800 years, and He fathered other sons and daughters. 
GEN.5.5	So all Adam’s days that he lived were 930 years, and then he died. 
GEN.5.6	Seth lived 105 years, then fathered Enosh. 
GEN.5.7	Seth lived 807 years after he fathered Enosh, and he fathered sons and daughters. 
GEN.5.8	So all Seth’s days were 912 years, and then he died. 
GEN.5.9	Enosh lived 90 years, then fathered Kenan. 
GEN.5.10	Enosh lived 815 years after he fathered Kenan, and he fathered sons and daughters. 
GEN.5.11	So all of Enosh’s days were 905 years, and then he died. 
GEN.5.12	Kenan lived 70 years, then fathered Mahalalel. 
GEN.5.13	Kenan lived 840 years after he fathered Mahalalel, he fathered sons and daughters. 
GEN.5.14	So all of Kenan’s days were 910 years, and then he died. 
GEN.5.15	Mahalalel lived 65 years, then fathered Jared. 
GEN.5.16	Mahalalel lived 830 years after he fathered Jared, and he fathered sons and daughters. 
GEN.5.17	So all of Mahalalel’s days were 895 years, and then he died. 
GEN.5.18	Jared lived 162 years, then fathered Enoch. 
GEN.5.19	Jared lived 800 years after he fathered Enoch, and he fathered sons and daughters. 
GEN.5.20	So all of Jared’s days were 962 years, and then he died. 
GEN.5.21	Enoch lived 65 years, then fathered Methuselah. 
GEN.5.22	Now Enoch walked with God continually for 300 years after he fathered Methuselah, and he fathered sons and daughters. 
GEN.5.23	So all of Enoch’s days were 365 years. 
GEN.5.24	And Enoch continually walked with God—then he was not there, because God took him. 
GEN.5.25	Methuselah lived 187 years and fathered Lamech. 
GEN.5.26	And Methuselah lived 782 years after he fathered Lamech, and he fathered other sons and daughters. 
GEN.5.27	So all of Methuselah’s days were 969 years, and then he died. 
GEN.5.28	Lamech lived 182 years and he fathered a son. 
GEN.5.29	And he named him Noah saying, “This one will comfort us from our work and from the pain of our hands because of the ground which 
GEN.5.30	Lamech lived 595 years after he fathered Noah, and he fathered sons and daughters. 
GEN.5.31	So all of Lamech’s days were 777 years, and then he died. 
GEN.5.32	And Noah was 500 years old when he fathered Shem, Ham and Japheth.
GEN.6.1	Now when humankind began to multiply on the face of the ground and daughters were born to them, 
GEN.6.2	then the sons of God saw that the daughters of men were good and they took for themselves wives, any they chose. 
GEN.6.3	Then 
GEN.6.4	The 
GEN.6.5	Then 
GEN.6.6	So 
GEN.6.7	So 
GEN.6.8	But Noah found favor in 
GEN.6.9	These are the genealogies of Noah. Noah was a righteous man. He was blameless among his generation. Noah continually walked with God. 
GEN.6.10	Noah fathered three sons: Shem, Ham and Japheth. 
GEN.6.11	Now the earth was ruined before God, and the earth was filled with violence. 
GEN.6.12	God saw the earth, and behold it was ruined because all flesh had corrupted their way upon the earth.
GEN.6.13	Then God said to Noah, “The end of all flesh is coming before Me, for the earth is filled with violence because of them. Behold, I am about to bring ruin upon them along with the land. 
GEN.6.14	Make for yourself an ark of gopher wood. You shall make the ark with compartments and smear pitch on it, both inside and out. 
GEN.6.15	Now this is how you shall make it: the length of the ark 300 cubits, its breadth 50 cubits, and its height 30 cubits. 
GEN.6.16	You shall make a roof for the ark, and you shall finish it to within a cubit from the top. You shall put the door of the ark in its side. You shall make it with lower, second, and third stories. 
GEN.6.17	Now I am about to bring the flood—water upon the land—to destroy all flesh in which is the spirit of life from under the sky. Everything that is on the land will perish. 
GEN.6.18	But I will establish My covenant with you. So you shall come into the ark—you, your sons, your wife, and your sons’ wives with you. 
GEN.6.19	Also of every living thing, of all flesh, you shall bring two of everything—male and female—into the ark to keep alive with you. 
GEN.6.20	Of the flying creatures according to their kind, of the livestock according to their kind, of all the crawling creatures of the ground according to their kind—two of everything will come to you to keep them alive. 
GEN.6.21	As for you: take for yourself every kind of edible food and gather it to yourself. It will be food for you and for them.” 
GEN.6.22	So Noah did according to all that God commanded him; he did so exactly.
GEN.7.1	Then 
GEN.7.2	Of every clean animal you shall take with you seven of each kind, male and female; and of the animals which themselves are not clean two, male and female; 
GEN.7.3	also of the flying creatures of the sky seven of every kind, male and female, to keep offspring alive on the face of the whole land. 
GEN.7.4	For in seven more days, I am going to make it rain upon the land forty days and forty nights, and I will wipe out all existence that I made from the face of the ground. 
GEN.7.5	So Noah did all just as 
GEN.7.6	Now Noah was 600 years old when the flood came—water upon the land. 
GEN.7.7	So Noah, his sons, his wife, and his sons’ wives, entered the ark because of the floodwaters. 
GEN.7.8	Of the clean animals and unclean animals, the flying creatures and everything that crawls on the ground, 
GEN.7.9	two by two they came to Noah, into the ark, male and female, just as God commanded Noah. 
GEN.7.10	After the seven days, the floodwaters were upon the land. 
GEN.7.11	In the six-hundredth year of Noah’s life, in the second month, on the seventeenth day of the month, on this day, all the water sources of the great deep burst open, and the windows of the sky were opened. 
GEN.7.12	Then there was rain upon the land 40 days and 40 nights. 
GEN.7.13	On that same day Noah, along with Noah’s sons Shem, Ham and Japheth, Noah’s wife and the three wives of Noah’s sons with them, entered the ark, 
GEN.7.14	they and every animal according to its kind, and all the livestock according to its kind, and every crawling creature that crawls on the land according to its kind, and every flying creature according to its kind, every bird, every winged creature. 
GEN.7.15	So to Noah and into the ark they went by twos—all flesh in which was the spirit of life. 
GEN.7.16	Those that came, male and female of all flesh, came just as God commanded him. Then 
GEN.7.17	The flood was forty days upon the land, and the waters increased and lifted the ark, so that it rose above the land. 
GEN.7.18	The waters overpowered and became very mighty over the land, and the ark drifted on the surface of the water. 
GEN.7.19	The waters completely overpowered the land so that all the high mountains beneath the entire sky were covered. 
GEN.7.20	The waters rose 15 cubits higher, as the mountains were covered. 
GEN.7.21	All flesh perished—those that crawl on the land, the flying creatures, livestock, wild animals, all creatures that swarm upon the land, and all humankind. 
GEN.7.22	Everything that had the breath of the spirit of life in its nostrils—everything on dry land—died. 
GEN.7.23	So He wiped out all existence that was upon the surface of the ground, everything from people to livestock, to crawling creatures, and to flying creatures of the sky. They were wiped out off the land. Only Noah and those with him in the ark survived. 
GEN.7.24	The waters overpowered the land for 150 days.
GEN.8.1	Then God remembered Noah and all the wild animals and all the livestock that were with him in the ark. So God caused a wind to pass over the land and the water subsided. 
GEN.8.2	Also the sources of the deep and the windows of the skies were closed up, and the rain from the sky was held back. 
GEN.8.3	The waters kept receding gradually from upon the land and the waters decreased by the end of 150 days. 
GEN.8.4	The ark came to rest in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat. 
GEN.8.5	The waters went on decreasing until the tenth month. In the tenth month, on the first day of the month, the tops of the mountains appeared. 
GEN.8.6	It was at the end of forty days that Noah opened the window of the ark that he had made. 
GEN.8.7	Then he sent out a raven and it kept going back and forth until the waters were drying up from the land. 
GEN.8.8	Then he sent out a dove to see whether the waters had receded from the surface of the ground. 
GEN.8.9	But the dove did not find a resting place for the sole of her foot. She returned to him in the ark because water covered the surface of the whole land. He stretched out his hand and he took her, and brought her to him into the ark. 
GEN.8.10	So he waited yet another seven days and again he sent the dove out from the ark. 
GEN.8.11	The dove came to him at evening, and surprisingly—a freshly plucked olive leaf was in its mouth. So Noah knew that the waters had receded from the land. 
GEN.8.12	After he waited seven more days, he sent out the dove, but she did not return to him again. 
GEN.8.13	It was in his six-hundred-and first year—in the first month, on the first day of the month—that the waters had dried up from the land. Then Noah removed the cover of the ark and he looked, and behold, the surface of the ground had dried up. 
GEN.8.14	By the second month, on the twenty-seventh day of the month, the land was dry. 
GEN.8.15	Then God spoke to Noah, saying, 
GEN.8.16	“Come out of the ark, you and your wife, your sons and your sons’ wives with you. 
GEN.8.17	Every animal that is with you of all flesh, including the flying creatures, livestock and every crawling creature that crawls on the land, bring out with you, and let them swarm in the land and be fruitful and multiply upon the land.” 
GEN.8.18	So Noah came out, with his sons, his wife, and his sons’ wives. 
GEN.8.19	Every animal—every crawling creature, every flying creature, everything that crawls upon the land—came out from the ark in their families. 
GEN.8.20	Then Noah built an altar to 
GEN.8.21	When 
GEN.8.22	While all the days of the land remain, seedtime and harvest, cold and heat, summer and winter, day and night will not cease.”
GEN.9.1	God blessed Noah and his sons, and He said to them, “Be fruitful and multiply and fill the land. 
GEN.9.2	The fear and terror of you will be on every wild animal, and on every flying creature of the sky, with everything that crawls on the ground and with all the fish of the sea—into your hand they are given. 
GEN.9.3	Every crawling thing that is alive will be food for you, as are the green plants—I have now given you everything. 
GEN.9.4	Only flesh with its life—that is, its blood—you must not eat! 
GEN.9.5	Surely your lifeblood will I avenge. From every animal and from every person will I avenge it. From every person’s brother will I avenge that person’s life. 
GEN.9.6	The one who sheds human blood, by a human will his blood be shed, for in God’s image He made humanity. 
GEN.9.7	But as for you, be fruitful and multiply! Flourish in the land and multiply in it.” 
GEN.9.8	Then God said to Noah and to his sons with him, saying, 
GEN.9.9	“Now I, behold, I am about to establish My covenant with you, and with your seed after you, 
GEN.9.10	and with every living creature that is with you, including the flying creatures, the livestock, and every wild animal with you, of all that is coming out of the ark—every animal of the earth. 
GEN.9.11	I will confirm My covenant with you—never again will all flesh be cut off by the waters of the flood, and never again will there be a flood to ruin the land.” 
GEN.9.12	Then God said, “This is the sign of the covenant that I am making between Me and you, and every living creature that is with you for all future generations. 
GEN.9.13	My rainbow do I place in the cloud, and it will be a sign of the covenant between Me and the land. 
GEN.9.14	Whenever I bring clouds over the land and the rainbow appears in the clouds, 
GEN.9.15	I will remember My covenant that is between Me and you and every living creature of all flesh. Never again will the waters become a flood to destroy all flesh. 
GEN.9.16	When the rainbow is in the cloud, I will look at it, to remember the perpetual covenant between God and every living creature of all flesh that is on the land.” 
GEN.9.17	Then God said to Noah, “This is the sign of the covenant that I have confirmed between Me and all flesh that is on the land.”
GEN.9.18	Noah’s sons who came out from the ark were Shem, Ham and Japheth, and Ham was the father of Canaan. 
GEN.9.19	These three were Noah’s sons, and from these the whole earth dispersed. 
GEN.9.20	Then Noah, a man of the soil, was first to plant a vineyard. 
GEN.9.21	He drank some of the wine, got drunk, and was uncovered in his tent. 
GEN.9.22	Then Ham, Canaan’s father, saw his father’s private parts and told his two brothers outside. 
GEN.9.23	So Shem and Japheth took the cloak and laid it over both their shoulders and walked backwards and with it covered their father’s private parts. But their faces were turned away, so they did not see their father’s private parts. 
GEN.9.24	When Noah woke up from his wine, he learned what his youngest son had done to him. 
GEN.9.25	So he said, “Cursed is Canaan: the lowest slave will he be to his brothers.” 
GEN.9.26	He also said, “Blessed be 
GEN.9.27	May God enlarge Japheth, may he dwell in the tents of Shem, and may Canaan be his slave.” 
GEN.9.28	Now Noah lived 350 years after the flood. 
GEN.9.29	So all Noah’s days were 950 years. Then he died.
GEN.10.1	And these are the genealogical records of Noah’s sons, Shem, Ham, and Japheth. Sons were born to them after the flood. 
GEN.10.2	Japheth’s sons were Gomer, Magog, Madai, Javan, Tubal, Meshech and Tiras. 
GEN.10.3	Gomer’s sons were Ashkenaz, Riphath and Togarmah. 
GEN.10.4	Javan’s sons were Elishah and Tarshish, Kittites and Dodanites. 
GEN.10.5	From these the coastlands of the nations spread out in their lands, each one according to his language, according to their families, into their nations. 
GEN.10.6	Ham’s sons were Cush, Mizraim, Put and Canaan. 
GEN.10.7	Cush’s sons were Seba, Havilah, Sabtah, Raamah, and Sabteca. And Raamah’s sons were Sheba, and Dedan. 
GEN.10.8	Now Cush fathered Nimrod. He started to become mighty in the land. 
GEN.10.9	He was a mighty hunter before 
GEN.10.10	The beginning of his kingdom included Babel, Erech, Accad and Calneh, in the land of Shinar. 
GEN.10.11	From that land he went out to Assyria and built Nineveh, Rechovot-ir, Calah 
GEN.10.12	and Resen, between Nineveh and Calah—it is the great city. 
GEN.10.13	Mizraim fathered the Ludites, the Anamites, the Lehabites, the Naphtuhites, 
GEN.10.14	the Pathrusites, the Casluhites—from whom came the Philistines—and the Caphtorites. 
GEN.10.15	Canaan fathered Sidon his firstborn, Heth, 
GEN.10.16	the Jebusite, the Amorite, the Girgashite, 
GEN.10.17	the Hivite, the Arkite, the Sinite, 
GEN.10.18	the Arvadite, the Zemarite and the Hamathite—and afterwards, the Canaanite families were scattered. 
GEN.10.19	Now the Canaanite border was from Zidon, as you go toward Gerar, as far as Gaza; as you go toward Sodom and Gomorrah, Admah and Zeboiim, as far as Lasha. 
GEN.10.20	These are Ham’s sons according to their families, according to their languages, in their lands, in their nations. 
GEN.10.21	Sons were also born to Shem, who was Japheth’s older brother and the father of all the sons of Eber. 
GEN.10.22	Shem’s sons were Elam, Asshur, Arpachshad, Lud and Aram. 
GEN.10.23	Aram’s sons were Uz, Hul, Gether and Mash. 
GEN.10.24	Arpachshad fathered Shelah, and Shelah fathered Eber. 
GEN.10.25	Two sons were born to Eber. The name of the first was Peleg—because in his days the land was divided—and his brother’s name was Joktan. 
GEN.10.26	Joktan fathered Elmodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah and Jobab. All of these are Joktan’s sons. 
GEN.10.30	Their dwelling place was from Mesha till you come toward Sephar, the eastern hill country. 
GEN.10.31	These are Shem’s sons, according to their families, according to their languages, in their lands, according to their nations. 
GEN.10.32	These are the families of the sons of Noah according to their genealogies in their nations, and from these the nations were dispersed on the earth after the flood.
GEN.11.1	Now the entire earth had the same language with the same vocabulary. 
GEN.11.2	When they traveled eastward, they found a valley-plain in the land of Shinar and settled there. 
GEN.11.3	They said to one another, “Come! Let’s make bricks and bake them until they’re hard.” So they used bricks for stone, and tar for mortar. 
GEN.11.4	Then they said, “Come! Let’s build ourselves a city, with a tower whose top reaches into heaven. So let’s make a name for ourselves, or else we will be scattered over the face of the whole land.” 
GEN.11.5	Then 
GEN.11.6	 said, “Look, the people are one and all of them have the same language. So this is what they have begun to do. Now, nothing they plan to do will be impossible. 
GEN.11.7	Come! Let Us go down and confuse their language there, so that they will not understand each other’s language.” 
GEN.11.8	So 
GEN.11.9	This is why it is named Babel, because 
GEN.11.10	These are the genealogical records of Shem: Shem was 100 years old when he fathered Arpachshad—two years after the flood. 
GEN.11.11	Shem lived 500 years after he fathered Arpachshad, and he fathered sons and daughters. 
GEN.11.12	Arpachshad lived 35 years when he fathered Shelah. 
GEN.11.13	Arpachshad lived 403 years after he fathered Shelah, and fathered sons and daughters. 
GEN.11.14	Shelah lived 30 years and he fathered Eber. 
GEN.11.15	Shelah lived 403 years after he fathered Eber, and fathered sons and daughters. 
GEN.11.16	Eber lived 34 years and he fathered Peleg. 
GEN.11.17	Eber lived 430 years after he fathered Peleg, and he fathered sons and daughters. 
GEN.11.18	Peleg lived 30 years and he fathered Reu. 
GEN.11.19	Peleg lived 209 years after he fathered Reu, and he fathered sons and daughters. 
GEN.11.20	Reu lived 32 years and he fathered Serug. 
GEN.11.21	Reu lived 207 years after he fathered Serug, and he fathered sons and daughters. 
GEN.11.22	Serug lived 30 years and fathered Nahor. 
GEN.11.23	Serug lived 200 years after he fathered Nahor, and he fathered sons and daughters. 
GEN.11.24	Nahor lived 27 years and he fathered Terah. 
GEN.11.25	Nahor lived 119 years after he fathered Terah, and he fathered sons and daughters. 
GEN.11.26	Terah lived 70 years when he fathered Abram, Nahor and Haran. 
GEN.11.27	These are Terah’s genealogies: Terah fathered Abram, Nahor and Haran. Haran fathered Lot. 
GEN.11.28	Haran died before Terah his father, in the land of his birth, in Ur of the Chaldeans. 
GEN.11.29	Abram and Nahor took wives for themselves. The name of Abram’s wife was Sarai, and the name of Nahor’s wife was Milcah—the daughter of Haran, father of Milcah and Iscah. 
GEN.11.30	Sarai was barren; she did not have a child. 
GEN.11.31	Terah took Abram his son and Lot, Haran’s son, his grandson, and Sarai his daughter-in-law, his son Abram’s wife, and he took them out of Ur of the Chaldeans to go to the land of Canaan. But when they came to Haran, they settled there. 
GEN.11.32	Terah’s days were 205 years, and Terah died in Haran.
GEN.12.1	Then 
GEN.12.2	My heart’s desire is to make you into a great nation, to bless you, to make your name great so that you may be a blessing. 
GEN.12.3	My desire is to bless those who bless you, but whoever curses you I will curse, and in you all the families of the earth will be blessed. 
GEN.12.4	So Abram went, just as 
GEN.12.5	Abram took Sarai his wife, and Lot his nephew, and all their possessions that they had acquired, and the people that they acquired in Haran, and they left to go to the land of Canaan, and they entered the land of Canaan. 
GEN.12.6	Abram passed through the land as far as the place of Shechem, as far as Moreh’s big tree. (The Canaanites were in the land then.) 
GEN.12.7	Then 
GEN.12.8	From there he moved to the mountain to the east of Beth-El and erected his tent (with Beth-El to the west and Ai to the east). There he built an altar to 
GEN.12.9	So Abram kept on journeying southward. 
GEN.12.10	Now there was a famine in the land. So Abram went down to Egypt to live as an outsider there, because the famine was severe in the land. 
GEN.12.11	Just as he was about to enter Egypt he said to Sarai his wife, “Look, please, I know that you are an attractive woman. 
GEN.12.12	So when the Egyptians see you they’ll say, ‘This is his wife.’ And they’ll kill me; but you, they’ll let live. 
GEN.12.13	Please say that you are my sister, so that I’ll be treated well for your sake, and my life will be spared because of you.” 
GEN.12.14	When Abram came to Egypt, the Egyptians did see that the woman was very beautiful. 
GEN.12.15	Indeed, Pharaoh’s officials saw her and they raved about her to Pharaoh. Then the woman was taken into Pharaoh’s house. 
GEN.12.16	But Abram was treated well for her sake, and he got sheep, cattle, male donkeys, male and female slaves, female donkeys and camels. 
GEN.12.17	But 
GEN.12.18	So Pharaoh called Abram and said, “What’s this that you did to me? Why didn’t you tell me that she is your wife? 
GEN.12.19	Why did you say, ‘She is my sister,’ so that I took her to be my wife? Now, here is your wife. Take—and go!” 
GEN.12.20	Then Pharaoh instructed men concerning him, and they expelled him, with his wife, and everything that belonged to him.
GEN.13.1	So Abram went up from Egypt—he and his wife and everything that belonged to him, and Lot with him—to the Negev. 
GEN.13.2	Now Abram was very rich in livestock, silver and gold. 
GEN.13.3	He proceeded by stages from the Negev as far as Beth-El—to the place where his tent had been at the beginning, between Beth-El and Ai, 
GEN.13.4	to the place of the altar that he had made there at first, and there Abram called on the Name of 
GEN.13.5	Now Lot, who was going with Abram, also had sheep and cattle and tents, 
GEN.13.6	so that the land could not support them living together, because their possessions were many, and they were not able to stay together. 
GEN.13.7	So there was a quarrel between the shepherds of Abram’s livestock and the shepherds of Lot’s livestock. (Now the Canaanites and the Perizzites were living in the land then.) 
GEN.13.8	So Abram said to Lot, “Please, let there be no strife between me and you, or between my shepherds and yours, since we are relatives. 
