GEN.1.1	In the beginning God created the heavens and the earth.
GEN.3.3	“It’s only the fruit from the tree in the middle of the garden that we are not allowed to eat. God said, ‘You must not eat it or even touch it; if you do, you will die.’”
GEN.3.4	“You won’t die!” the serpent replied to the woman. 
GEN.3.5	“God knows that your eyes will be opened as soon as you eat it, and you will be like God, knowing both good and evil.”
GEN.3.6	The woman was convinced. She saw that the tree was beautiful and its fruit looked delicious, and she wanted the wisdom it would give her. So she took some of the fruit and ate it. Then she gave some to her husband, who was with her, and he ate it, too. 
GEN.3.7	At that moment their eyes were opened, and they suddenly felt shame at their nakedness. So they sewed fig leaves together to cover themselves.
GEN.3.8	When the cool evening breezes were blowing, the man
GEN.3.9	Then the 
GEN.3.10	He replied, “I heard you walking in the garden, so I hid. I was afraid because I was naked.”
GEN.3.11	“Who told you that you were naked?” the 
GEN.3.12	The man replied, “It was the woman you gave me who gave me the fruit, and I ate it.”
GEN.3.13	Then the 
GEN.3.13	“The serpent deceived me,” she replied. “That’s why I ate it.”
GEN.3.14	Then the 
GEN.3.14	“Because you have done this, you are cursed
GEN.3.14	more than all animals, domestic and wild.
GEN.3.14	You will crawl on your belly,
GEN.3.14	groveling in the dust as long as you live.
GEN.3.15	And I will cause hostility between you and the woman,
GEN.3.15	and between your offspring and her offspring.
GEN.3.15	He will strike
GEN.3.15	and you will strike his heel.”
GEN.3.16	Then he said to the woman,
GEN.3.16	“I will sharpen the pain of your pregnancy,
GEN.3.16	and in pain you will give birth.
GEN.3.16	And you will desire to control your husband,
GEN.3.16	but he will rule over you.
GEN.3.17	And to the man he said,
GEN.3.17	“Since you listened to your wife and ate from the tree
GEN.3.17	whose fruit I commanded you not to eat,
GEN.3.17	the ground is cursed because of you.
GEN.3.17	All your life you will struggle to scratch a living from it.
GEN.3.18	It will grow thorns and thistles for you,
GEN.3.18	though you will eat of its grains.
GEN.3.19	By the sweat of your brow
GEN.3.19	will you have food to eat
GEN.3.19	until you return to the ground
GEN.3.19	from which you were made.
GEN.3.19	For you were made from dust,
GEN.3.19	and to dust you will return.”
GEN.3.20	Then the man—Adam—named his wife Eve, because she would be the mother of all who live.
GEN.3.21	And the 
GEN.3.22	Then the 
GEN.3.23	So the 
GEN.3.24	After sending them out, the 
GEN.4.1	Now Adam
GEN.4.2	Later she gave birth to his brother and named him Abel.
GEN.4.2	When they grew up, Abel became a shepherd, while Cain cultivated the ground. 
GEN.4.3	When it was time for the harvest, Cain presented some of his crops as a gift to the 
GEN.4.4	Abel also brought a gift—the best portions of the firstborn lambs from his flock. The 
GEN.4.5	but he did not accept Cain and his gift. This made Cain very angry, and he looked dejected.
GEN.4.6	“Why are you so angry?” the 
GEN.4.7	You will be accepted if you do what is right. But if you refuse to do what is right, then watch out! Sin is crouching at the door, eager to control you. But you must subdue it and be its master.”
GEN.4.8	One day Cain suggested to his brother, “Let’s go out into the fields.”
GEN.4.9	Afterward the 
GEN.4.9	“I don’t know,” Cain responded. “Am I my brother’s guardian?”
GEN.4.10	But the 
GEN.4.11	Now you are cursed and banished from the ground, which has swallowed your brother’s blood. 
GEN.4.12	No longer will the ground yield good crops for you, no matter how hard you work! From now on you will be a homeless wanderer on the earth.”
GEN.4.13	Cain replied to the 
GEN.4.14	You have banished me from the land and from your presence; you have made me a homeless wanderer. Anyone who finds me will kill me!”
GEN.4.15	The 
GEN.4.16	So Cain left the 
GEN.4.17	Cain had sexual relations with his wife, and she became pregnant and gave birth to Enoch. Then Cain founded a city, which he named Enoch, after his son. 
GEN.4.18	Enoch had a son named Irad. Irad became the father of
GEN.4.19	Lamech married two women. The first was named Adah, and the second was Zillah. 
GEN.4.20	Adah gave birth to Jabal, who was the first of those who raise livestock and live in tents. 
GEN.4.21	His brother’s name was Jubal, the first of all who play the harp and flute. 
GEN.4.22	Lamech’s other wife, Zillah, gave birth to a son named Tubal-cain. He became an expert in forging tools of bronze and iron. Tubal-cain had a sister named Naamah. 
GEN.4.23	One day Lamech said to his wives,
GEN.4.23	“Adah and Zillah, hear my voice;
GEN.4.23	listen to me, you wives of Lamech.
GEN.4.23	I have killed a man who attacked me,
GEN.4.23	a young man who wounded me.
GEN.4.24	If someone who kills Cain is punished seven times,
GEN.4.24	then the one who kills me will be punished seventy-seven times!”
GEN.4.25	Adam had sexual relations with his wife again, and she gave birth to another son. She named him Seth,
GEN.4.26	When Seth grew up, he had a son and named him Enosh. At that time people first began to worship the 
GEN.5.1	This is the written account of the descendants of Adam. When God created human beings,
GEN.5.2	He created them male and female, and he blessed them and called them “human.”
GEN.5.3	When Adam was 130 years old, he became the father of a son who was just like him—in his very image. He named his son Seth. 
GEN.5.4	After the birth of Seth, Adam lived another 800 years, and he had other sons and daughters. 
GEN.5.5	Adam lived 930 years, and then he died.
GEN.5.6	When Seth was 105 years old, he became the father of
GEN.5.7	After the birth of
GEN.5.8	Seth lived 912 years, and then he died.
GEN.5.9	When Enosh was 90 years old, he became the father of Kenan. 
GEN.5.10	After the birth of Kenan, Enosh lived another 815 years, and he had other sons and daughters. 
GEN.5.11	Enosh lived 905 years, and then he died.
GEN.5.12	When Kenan was 70 years old, he became the father of Mahalalel. 
GEN.5.13	After the birth of Mahalalel, Kenan lived another 840 years, and he had other sons and daughters. 
GEN.5.14	Kenan lived 910 years, and then he died.
GEN.5.15	When Mahalalel was 65 years old, he became the father of Jared. 
GEN.5.16	After the birth of Jared, Mahalalel lived another 830 years, and he had other sons and daughters. 
GEN.5.17	Mahalalel lived 895 years, and then he died.
GEN.5.18	When Jared was 162 years old, he became the father of Enoch. 
GEN.5.19	After the birth of Enoch, Jared lived another 800 years, and he had other sons and daughters. 
GEN.5.20	Jared lived 962 years, and then he died.
GEN.5.21	When Enoch was 65 years old, he became the father of Methuselah. 
GEN.5.22	After the birth of Methuselah, Enoch lived in close fellowship with God for another 300 years, and he had other sons and daughters. 
GEN.5.23	Enoch lived 365 years, 
GEN.5.24	walking in close fellowship with God. Then one day he disappeared, because God took him.
GEN.5.25	When Methuselah was 187 years old, he became the father of Lamech. 
GEN.5.26	After the birth of Lamech, Methuselah lived another 782 years, and he had other sons and daughters. 
GEN.5.27	Methuselah lived 969 years, and then he died.
GEN.5.28	When Lamech was 182 years old, he became the father of a son. 
GEN.5.29	Lamech named his son Noah, for he said, “May he bring us relief
GEN.5.30	After the birth of Noah, Lamech lived another 595 years, and he had other sons and daughters. 
GEN.5.31	Lamech lived 777 years, and then he died.
GEN.5.32	After Noah was 500 years old, he became the father of Shem, Ham, and Japheth.
GEN.6.1	Then the people began to multiply on the earth, and daughters were born to them. 
GEN.6.2	The sons of God saw the beautiful women
GEN.6.3	Then the 
GEN.6.4	In those days, and for some time after, giant Nephilites lived on the earth, for whenever the sons of God had intercourse with women, they gave birth to children who became the heroes and famous warriors of ancient times.
GEN.6.5	The 
GEN.6.6	So the 
GEN.6.7	And the 
GEN.6.8	But Noah found favor with the 
GEN.6.9	This is the account of Noah and his family. Noah was a righteous man, the only blameless person living on earth at the time, and he walked in close fellowship with God. 
GEN.6.10	Noah was the father of three sons: Shem, Ham, and Japheth.
GEN.6.11	Now God saw that the earth had become corrupt and was filled with violence. 
GEN.6.12	God observed all this corruption in the world, for everyone on earth was corrupt. 
GEN.6.13	So God said to Noah, “I have decided to destroy all living creatures, for they have filled the earth with violence. Yes, I will wipe them all out along with the earth!
GEN.6.14	“Build a large boat
GEN.6.15	Make the boat 450 feet long, 75 feet wide, and 45 feet high.
GEN.6.16	Leave an 18-inch opening
GEN.6.17	“Look! I am about to cover the earth with a flood that will destroy every living thing that breathes. Everything on earth will die. 
GEN.6.18	But I will confirm my covenant with you. So enter the boat—you and your wife and your sons and their wives. 
GEN.6.19	Bring a pair of every kind of animal—a male and a female—into the boat with you to keep them alive during the flood. 
GEN.6.20	Pairs of every kind of bird, and every kind of animal, and every kind of small animal that scurries along the ground, will come to you to be kept alive. 
GEN.6.21	And be sure to take on board enough food for your family and for all the animals.”
GEN.6.22	So Noah did everything exactly as God had commanded him.
GEN.7.1	When everything was ready, the 
GEN.7.2	Take with you seven pairs—male and female—of each animal I have approved for eating and for sacrifice,
GEN.7.3	Also take seven pairs of every kind of bird. There must be a male and a female in each pair to ensure that all life will survive on the earth after the flood. 
GEN.7.4	Seven days from now I will make the rains pour down on the earth. And it will rain for forty days and forty nights, until I have wiped from the earth all the living things I have created.”
GEN.7.5	So Noah did everything as the 
GEN.7.6	Noah was 600 years old when the flood covered the earth. 
GEN.7.7	He went on board the boat to escape the flood—he and his wife and his sons and their wives. 
GEN.7.8	With them were all the various kinds of animals—those approved for eating and for sacrifice and those that were not—along with all the birds and the small animals that scurry along the ground. 
GEN.7.9	They entered the boat in pairs, male and female, just as God had commanded Noah. 
GEN.7.10	After seven days, the waters of the flood came and covered the earth.
GEN.7.11	When Noah was 600 years old, on the seventeenth day of the second month, all the underground waters erupted from the earth, and the rain fell in mighty torrents from the sky. 
GEN.7.12	The rain continued to fall for forty days and forty nights.
GEN.7.13	That very day Noah had gone into the boat with his wife and his sons—Shem, Ham, and Japheth—and their wives. 
GEN.7.14	With them in the boat were pairs of every kind of animal—domestic and wild, large and small—along with birds of every kind. 
GEN.7.15	Two by two they came into the boat, representing every living thing that breathes. 
GEN.7.16	A male and female of each kind entered, just as God had commanded Noah. Then the 
GEN.7.17	For forty days the floodwaters grew deeper, covering the ground and lifting the boat high above the earth. 
GEN.7.18	As the waters rose higher and higher above the ground, the boat floated safely on the surface. 
GEN.7.19	Finally, the water covered even the highest mountains on the earth, 
GEN.7.20	rising more than twenty-two feet
GEN.7.21	All the living things on earth died—birds, domestic animals, wild animals, small animals that scurry along the ground, and all the people. 
GEN.7.22	Everything that breathed and lived on dry land died. 
GEN.7.23	God wiped out every living thing on the earth—people, livestock, small animals that scurry along the ground, and the birds of the sky. All were destroyed. The only people who survived were Noah and those with him in the boat. 
GEN.7.24	And the floodwaters covered the earth for 150 days.
GEN.8.1	But God remembered Noah and all the wild animals and livestock with him in the boat. He sent a wind to blow across the earth, and the floodwaters began to recede. 
GEN.8.2	The underground waters stopped flowing, and the torrential rains from the sky were stopped. 
GEN.8.3	So the floodwaters gradually receded from the earth. After 150 days, 
GEN.8.4	exactly five months from the time the flood began,
GEN.8.5	Two and a half months later,
GEN.8.6	After another forty days, Noah opened the window he had made in the boat 
GEN.8.7	and released a raven. The bird flew back and forth until the floodwaters on the earth had dried up. 
GEN.8.8	He also released a dove to see if the water had receded and it could find dry ground. 
GEN.8.9	But the dove could find no place to land because the water still covered the ground. So it returned to the boat, and Noah held out his hand and drew the dove back inside. 
GEN.8.10	After waiting another seven days, Noah released the dove again. 
GEN.8.11	This time the dove returned to him in the evening with a fresh olive leaf in its beak. Then Noah knew that the floodwaters were almost gone. 
GEN.8.12	He waited another seven days and then released the dove again. This time it did not come back.
GEN.8.13	Noah was now 601 years old. On the first day of the new year, ten and a half months after the flood began,
GEN.8.14	Two more months went by,
GEN.8.15	Then God said to Noah, 
GEN.8.16	“Leave the boat, all of you—you and your wife, and your sons and their wives. 
GEN.8.17	Release all the animals—the birds, the livestock, and the small animals that scurry along the ground—so they can be fruitful and multiply throughout the earth.”
GEN.8.18	So Noah, his wife, and his sons and their wives left the boat. 
GEN.8.19	And all of the large and small animals and birds came out of the boat, pair by pair.
GEN.8.20	Then Noah built an altar to the 
GEN.8.21	And the 
GEN.8.22	As long as the earth remains, there will be planting and harvest, cold and heat, summer and winter, day and night.”
GEN.9.1	Then God blessed Noah and his sons and told them, “Be fruitful and multiply. Fill the earth. 
GEN.9.2	All the animals of the earth, all the birds of the sky, all the small animals that scurry along the ground, and all the fish in the sea will look on you with fear and terror. I have placed them in your power. 
GEN.9.3	I have given them to you for food, just as I have given you grain and vegetables. 
GEN.9.4	But you must never eat any meat that still has the lifeblood in it.
GEN.9.5	“And I will require the blood of anyone who takes another person’s life. If a wild animal kills a person, it must die. And anyone who murders a fellow human must die. 
GEN.9.6	If anyone takes a human life, that person’s life will also be taken by human hands. For God made human beings
GEN.9.7	Now be fruitful and multiply, and repopulate the earth.”
GEN.9.8	Then God told Noah and his sons, 
GEN.9.9	“I hereby confirm my covenant with you and your descendants, 
GEN.9.10	and with all the animals that were on the boat with you—the birds, the livestock, and all the wild animals—every living creature on earth. 
GEN.9.11	Yes, I am confirming my covenant with you. Never again will floodwaters kill all living creatures; never again will a flood destroy the earth.”
GEN.9.12	Then God said, “I am giving you a sign of my covenant with you and with all living creatures, for all generations to come. 
GEN.9.13	I have placed my rainbow in the clouds. It is the sign of my covenant with you and with all the earth. 
GEN.9.14	When I send clouds over the earth, the rainbow will appear in the clouds, 
GEN.9.15	and I will remember my covenant with you and with all living creatures. Never again will the floodwaters destroy all life. 
GEN.9.16	When I see the rainbow in the clouds, I will remember the eternal covenant between God and every living creature on earth.” 
GEN.9.17	Then God said to Noah, “Yes, this rainbow is the sign of the covenant I am confirming with all the creatures on earth.”
GEN.9.18	The sons of Noah who came out of the boat with their father were Shem, Ham, and Japheth. (Ham is the father of Canaan.) 
GEN.9.19	From these three sons of Noah came all the people who now populate the earth.
GEN.9.20	After the flood, Noah began to cultivate the ground, and he planted a vineyard. 
GEN.9.21	One day he drank some wine he had made, and he became drunk and lay naked inside his tent. 
GEN.9.22	Ham, the father of Canaan, saw that his father was naked and went outside and told his brothers. 
GEN.9.23	Then Shem and Japheth took a robe, held it over their shoulders, and backed into the tent to cover their father. As they did this, they looked the other way so they would not see him naked.
GEN.9.24	When Noah woke up from his stupor, he learned what Ham, his youngest son, had done. 
GEN.9.25	Then he cursed Canaan, the son of Ham:
GEN.9.25	“May Canaan be cursed!
GEN.9.25	May he be the lowest of servants to his relatives.”
GEN.9.26	Then Noah said,
GEN.9.26	“May the 
GEN.9.26	and may Canaan be his servant!
GEN.9.27	May God expand the territory of Japheth!
GEN.9.27	May Japheth share the prosperity of Shem,
GEN.9.27	and may Canaan be his servant.”
GEN.9.28	Noah lived another 350 years after the great flood. 
GEN.9.29	He lived 950 years, and then he died.
GEN.10.1	This is the account of the families of Shem, Ham, and Japheth, the three sons of Noah. Many children were born to them after the great flood.
GEN.10.2	The descendants of Japheth were Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
GEN.10.3	The descendants of Gomer were Ashkenaz, Riphath, and Togarmah.
GEN.10.4	The descendants of Javan were Elishah, Tarshish, Kittim, and Rodanim.
GEN.10.5	Their descendants became the seafaring peoples that spread out to various lands, each identified by its own language, clan, and national identity.
GEN.10.6	The descendants of Ham were Cush, Mizraim, Put, and Canaan.
GEN.10.7	The descendants of Cush were Seba, Havilah, Sabtah, Raamah, and Sabteca. The descendants of Raamah were Sheba and Dedan.
GEN.10.8	Cush was also the ancestor of Nimrod, who was the first heroic warrior on earth. 
GEN.10.9	Since he was the greatest hunter in the world,
GEN.10.10	He built his kingdom in the land of Babylonia,
GEN.10.11	From there he expanded his territory to Assyria,
GEN.10.12	and Resen (the great city located between Nineveh and Calah).
GEN.10.13	Mizraim was the ancestor of the Ludites, Anamites, Lehabites, Naphtuhites, 
GEN.10.14	Pathrusites, Casluhites, and the Caphtorites, from whom the Philistines came.
GEN.10.15	Canaan’s oldest son was Sidon, the ancestor of the Sidonians. Canaan was also the ancestor of the Hittites,
GEN.10.16	Jebusites, Amorites, Girgashites, 
GEN.10.17	Hivites, Arkites, Sinites, 
GEN.10.18	Arvadites, Zemarites, and Hamathites. The Canaanite clans eventually spread out, 
GEN.10.19	and the territory of Canaan extended from Sidon in the north to Gerar and Gaza in the south, and east as far as Sodom, Gomorrah, Admah, and Zeboiim, near Lasha.
GEN.10.20	These were the descendants of Ham, identified by clan, language, territory, and national identity.
GEN.10.21	Sons were also born to Shem, the older brother of Japheth.
GEN.10.22	The descendants of Shem were Elam, Asshur, Arphaxad, Lud, and Aram.
GEN.10.23	The descendants of Aram were Uz, Hul, Gether, and Mash.
GEN.10.24	Arphaxad was the father of Shelah,
GEN.10.25	Eber had two sons. The first was named Peleg (which means “division”), for during his lifetime the people of the world were divided into different language groups. His brother’s name was Joktan.
GEN.10.26	Joktan was the ancestor of Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab. All these were descendants of Joktan. 
GEN.10.30	The territory they occupied extended from Mesha all the way to Sephar in the eastern mountains.
GEN.10.31	These were the descendants of Shem, identified by clan, language, territory, and national identity.
GEN.10.32	These are the clans that descended from Noah’s sons, arranged by nation according to their lines of descent. All the nations of the earth descended from these clans after the great flood.
GEN.11.1	At one time all the people of the world spoke the same language and used the same words. 
GEN.11.2	As the people migrated to the east, they found a plain in the land of Babylonia
GEN.11.3	They began saying to each other, “Let’s make bricks and harden them with fire.” (In this region bricks were used instead of stone, and tar was used for mortar.) 
GEN.11.4	Then they said, “Come, let’s build a great city for ourselves with a tower that reaches into the sky. This will make us famous and keep us from being scattered all over the world.”
GEN.11.5	But the 
GEN.11.6	“Look!” he said. “The people are united, and they all speak the same language. After this, nothing they set out to do will be impossible for them! 
GEN.11.7	Come, let’s go down and confuse the people with different languages. Then they won’t be able to understand each other.”
GEN.11.8	In that way, the 
GEN.11.9	That is why the city was called Babel,
GEN.11.10	This is the account of Shem’s family.
GEN.11.10	Two years after the great flood, when Shem was 100 years old, he became the father of
GEN.11.11	After the birth of
GEN.11.12	When Arphaxad was 35 years old, he became the father of Shelah. 
GEN.11.13	After the birth of Shelah, Arphaxad lived another 403 years and had other sons and daughters.
GEN.11.14	When Shelah was 30 years old, he became the father of Eber. 
GEN.11.15	After the birth of Eber, Shelah lived another 403 years and had other sons and daughters.
GEN.11.16	When Eber was 34 years old, he became the father of Peleg. 
GEN.11.17	After the birth of Peleg, Eber lived another 430 years and had other sons and daughters.
GEN.11.18	When Peleg was 30 years old, he became the father of Reu. 
GEN.11.19	After the birth of Reu, Peleg lived another 209 years and had other sons and daughters.
GEN.11.20	When Reu was 32 years old, he became the father of Serug. 
GEN.11.21	After the birth of Serug, Reu lived another 207 years and had other sons and daughters.
GEN.11.22	When Serug was 30 years old, he became the father of Nahor. 
GEN.11.23	After the birth of Nahor, Serug lived another 200 years and had other sons and daughters.
GEN.11.24	When Nahor was 29 years old, he became the father of Terah. 
GEN.11.25	After the birth of Terah, Nahor lived another 119 years and had other sons and daughters.
GEN.11.26	After Terah was 70 years old, he became the father of Abram, Nahor, and Haran.
GEN.11.27	This is the account of Terah’s family. Terah was the father of Abram, Nahor, and Haran; and Haran was the father of Lot. 
GEN.11.28	But Haran died in Ur of the Chaldeans, the land of his birth, while his father, Terah, was still living. 
GEN.11.29	Meanwhile, Abram and Nahor both married. The name of Abram’s wife was Sarai, and the name of Nahor’s wife was Milcah. (Milcah and her sister Iscah were daughters of Nahor’s brother Haran.) 
GEN.11.30	But Sarai was unable to become pregnant and had no children.
GEN.11.31	One day Terah took his son Abram, his daughter-in-law Sarai (his son Abram’s wife), and his grandson Lot (his son Haran’s child) and moved away from Ur of the Chaldeans. He was headed for the land of Canaan, but they stopped at Haran and settled there. 
GEN.11.32	Terah lived for 205 years
GEN.12.1	The 
GEN.12.2	I will make you into a great nation. I will bless you and make you famous, and you will be a blessing to others. 
GEN.12.3	I will bless those who bless you and curse those who treat you with contempt. All the families on earth will be blessed through you.”
GEN.12.4	So Abram departed as the 
GEN.12.5	He took his wife, Sarai, his nephew Lot, and all his wealth—his livestock and all the people he had taken into his household at Haran—and headed for the land of Canaan. When they arrived in Canaan, 
GEN.12.6	Abram traveled through the land as far as Shechem. There he set up camp beside the oak of Moreh. At that time, the area was inhabited by Canaanites.
GEN.12.7	Then the 
GEN.12.8	After that, Abram traveled south and set up camp in the hill country, with Bethel to the west and Ai to the east. There he built another altar and dedicated it to the 
GEN.12.9	Then Abram continued traveling south by stages toward the Negev.
GEN.12.10	At that time a severe famine struck the land of Canaan, forcing Abram to go down to Egypt, where he lived as a foreigner. 
GEN.12.11	As he was approaching the border of Egypt, Abram said to his wife, Sarai, “Look, you are a very beautiful woman. 
GEN.12.12	When the Egyptians see you, they will say, ‘This is his wife. Let’s kill him; then we can have her!’ 
GEN.12.13	So please tell them you are my sister. Then they will spare my life and treat me well because of their interest in you.”
GEN.12.14	And sure enough, when Abram arrived in Egypt, everyone noticed Sarai’s beauty. 
GEN.12.15	When the palace officials saw her, they sang her praises to Pharaoh, their king, and Sarai was taken into his palace. 
GEN.12.16	Then Pharaoh gave Abram many gifts because of her—sheep, goats, cattle, male and female donkeys, male and female servants, and camels.
GEN.12.17	But the 
GEN.12.18	So Pharaoh summoned Abram and accused him sharply. “What have you done to me?” he demanded. “Why didn’t you tell me she was your wife? 
GEN.12.19	Why did you say, ‘She is my sister,’ and allow me to take her as my wife? Now then, here is your wife. Take her and get out of here!” 
GEN.12.20	Pharaoh ordered some of his men to escort them, and he sent Abram out of the country, along with his wife and all his possessions.
GEN.13.1	So Abram left Egypt and traveled north into the Negev, along with his wife and Lot and all that they owned. 
GEN.13.2	(Abram was very rich in livestock, silver, and gold.) 
GEN.13.3	From the Negev, they continued traveling by stages toward Bethel, and they pitched their tents between Bethel and Ai, where they had camped before. 
GEN.13.4	This was the same place where Abram had built the altar, and there he worshiped the 
GEN.13.5	Lot, who was traveling with Abram, had also become very wealthy with flocks of sheep and goats, herds of cattle, and many tents. 
GEN.13.6	But the land could not support both Abram and Lot with all their flocks and herds living so close together. 
GEN.13.7	So disputes broke out between the herdsmen of Abram and Lot. (At that time Canaanites and Perizzites were also living in the land.)
GEN.13.8	Finally Abram said to Lot, “Let’s not allow this conflict to come between us or our herdsmen. After all, we are close relatives! 
GEN.13.9	The whole countryside is open to you. Take your choice of any section of the land you want, and we will separate. If you want the land to the left, then I’ll take the land on the right. If you prefer the land on the right, then I’ll go to the left.”
GEN.13.10	Lot took a long look at the fertile plains of the Jordan Valley in the direction of Zoar. The whole area was well watered everywhere, like the garden of the 
GEN.13.11	Lot chose for himself the whole Jordan Valley to the east of them. He went there with his flocks and servants and parted company with his uncle Abram. 
GEN.13.12	So Abram settled in the land of Canaan, and Lot moved his tents to a place near Sodom and settled among the cities of the plain. 
GEN.13.13	But the people of this area were extremely wicked and constantly sinned against the 
GEN.13.14	After Lot had gone, the 
GEN.13.15	I am giving all this land, as far as you can see, to you and your descendants
GEN.13.16	And I will give you so many descendants that, like the dust of the earth, they cannot be counted! 
GEN.13.17	Go and walk through the land in every direction, for I am giving it to you.”
GEN.13.18	So Abram moved his camp to Hebron and settled near the oak grove belonging to Mamre. There he built another altar to the 
GEN.14.1	About this time war broke out in the region. King Amraphel of Babylonia,
GEN.14.2	fought against King Bera of Sodom, King Birsha of Gomorrah, King Shinab of Admah, King Shemeber of Zeboiim, and the king of Bela (also called Zoar).
GEN.14.3	This second group of kings joined forces in Siddim Valley (that is, the valley of the Dead Sea
GEN.14.4	For twelve years they had been subject to King Kedorlaomer, but in the thirteenth year they rebelled against him.
GEN.14.5	One year later Kedorlaomer and his allies arrived and defeated the Rephaites at Ashteroth-karnaim, the Zuzites at Ham, the Emites at Shaveh-kiriathaim, 
GEN.14.6	and the Horites at Mount Seir, as far as El-paran at the edge of the wilderness. 
