GEN.1.1	In the beginning God created the sky and the earth. 
GEN.3.5	God knows that if you eat the fruit from that tree, you will learn about good and evil and you will be like God!”
GEN.3.6	The woman saw that the tree was beautiful, that its fruit was good to eat, and that it would make her wise. So she took some of its fruit and ate it. She also gave some of the fruit to her husband who was with her, and he ate it.
GEN.3.7	Then, it was as if their eyes were opened. They realized they were naked, so they sewed fig leaves together and made something to cover themselves.
GEN.3.8	Then they heard the L
GEN.3.9	But the L
GEN.3.10	The man answered, “I heard you walking in the garden, and I was afraid because I was naked, so I hid.”
GEN.3.11	God asked, “Who told you that you were naked? Did you eat fruit from the tree from which I commanded you not to eat?”
GEN.3.12	The man said, “You gave this woman to me and she gave me fruit from the tree, so I ate it.”
GEN.3.13	Then the L
GEN.3.13	She answered, “The snake tricked me, so I ate the fruit.”
GEN.3.14	The L
GEN.3.14	“Because you did this,
GEN.3.14	a curse will be put on you.
GEN.3.14	You will be cursed as no other animal, tame or wild, will ever be.
GEN.3.14	You will crawl on your stomach,
GEN.3.14	and you will eat dust all the days of your life.
GEN.3.15	I will make you and the woman
GEN.3.15	enemies to each other.
GEN.3.15	Your descendants and her descendants
GEN.3.15	will be enemies.
GEN.3.15	One of her descendants will crush your head,
GEN.3.15	and you will bite his heel.”
GEN.3.16	Then God said to the woman,
GEN.3.16	“I will cause you to have much trouble
GEN.3.16	when you are pregnant,
GEN.3.16	and when you give birth to children,
GEN.3.16	you will have great pain.
GEN.3.16	You will greatly desire your husband,
GEN.3.16	but he will rule over you.”
GEN.3.17	Then God said to the man, “You listened to what your wife said, and you ate fruit from the tree from which I commanded you not to eat.
GEN.3.17	“So I will put a curse on the ground,
GEN.3.17	and you will have to work very hard for your food.
GEN.3.17	In pain you will eat its food
GEN.3.17	all the days of your life.
GEN.3.18	The ground will produce thorns and weeds for you,
GEN.3.18	and you will eat the plants of the field.
GEN.3.19	You will sweat and work hard for your food.
GEN.3.19	Later you will return to the ground,
GEN.3.19	because you were taken from it.
GEN.3.19	You are dust,
GEN.3.19	and when you die, you will return to the dust.”
GEN.3.20	The man named his wife Eve, because she was the mother of all the living.
GEN.3.21	The L
GEN.3.22	Then the L
GEN.3.23	So the L
GEN.3.24	After God forced humans out of the garden, he placed angels and a sword of fire that flashed around in every direction on its eastern border. This kept people from getting to the tree of life.
GEN.4.1	Adam had sexual relations with his wife Eve, and she became pregnant and gave birth to Cain. Eve said, “With the L
GEN.4.2	After that, Eve gave birth to Cain’s brother Abel. Abel took care of flocks, and Cain became a farmer.
GEN.4.3	Later, Cain brought some food from the ground as a gift to God. 
GEN.4.4	Abel brought the best parts from some of the firstborn of his flock. The L
GEN.4.5	but he did not accept Cain and his gift. So Cain became very angry and felt rejected.
GEN.4.6	The L
GEN.4.7	If you do things well, I will accept you, but if you do not do them well, sin is ready to attack you. Sin wants you, but you must rule over it.”
GEN.4.8	Cain said to his brother Abel, “Let’s go out into the field.” While they were out in the field, Cain attacked his brother Abel and killed him.
GEN.4.9	Later, the L
GEN.4.9	Cain answered, “I don’t know. Is it my job to take care of my brother?”
GEN.4.10	Then the L
GEN.4.11	And now you will be cursed in your work with the ground, the same ground where your brother’s blood fell and where your hands killed him. 
GEN.4.12	You will work the ground, but it will not grow good crops for you anymore, and you will wander around on the earth.”
GEN.4.13	Then Cain said to the L
GEN.4.14	Today you have forced me to stop working the ground, and now I must hide from you. I must wander around on the earth, and anyone who meets me can kill me.”
GEN.4.15	The L
GEN.4.16	So Cain went away from the L
GEN.4.17	He had sexual relations with his wife, and she became pregnant and gave birth to Enoch. At that time Cain was building a city, which he named after his son Enoch. 
GEN.4.18	Enoch had a son named Irad, Irad had a son named Mehujael, Mehujael had a son named Methushael, and Methushael had a son named Lamech.
GEN.4.19	Lamech married two women, Adah and Zillah. 
GEN.4.20	Adah gave birth to Jabal, who became the first person to live in tents and raise cattle. 
GEN.4.21	Jabal’s brother was Jubal, the first person to play the harp and flute. 
GEN.4.22	Zillah gave birth to Tubal-Cain, who made tools out of bronze and iron. The sister of Tubal-Cain was Naamah.
GEN.4.23	Lamech said to his wives:
GEN.4.23	“Adah and Zillah, hear my voice!
GEN.4.23	You wives of Lamech, listen to what I say.
GEN.4.23	I killed a man for wounding me,
GEN.4.23	a young man for hitting me.
GEN.4.24	If Cain’s killer is punished seven times,
GEN.4.24	then Lamech’s killer will be punished seventy-seven times.”
GEN.4.25	Adam had sexual relations with his wife Eve again, and she gave birth to a son. She named him Seth and said, “God has given me another child. He will take the place of Abel, who was killed by Cain.” 
GEN.4.26	Seth also had a son, and they named him Enosh. At that time people began to pray to the L
GEN.5.1	This is the family history of Adam. When God created human beings, he made them in his own likeness. 
GEN.5.2	He created them male and female, and on that day he blessed them and named them human beings.
GEN.5.3	When Adam was 130 years old, he became the father of another son in his likeness and image, and Adam named him Seth. 
GEN.5.4	After Seth was born, Adam lived 800 years and had other sons and daughters. 
GEN.5.5	So Adam lived a total of 930 years, and then he died.
GEN.5.6	When Seth was 105 years old, he had a son named Enosh. 
GEN.5.7	After Enosh was born, Seth lived 807 years and had other sons and daughters. 
GEN.5.8	So Seth lived a total of 912 years, and then he died.
GEN.5.9	When Enosh was 90 years old, he had a son named Kenan. 
GEN.5.10	After Kenan was born, Enosh lived 815 years and had other sons and daughters. 
GEN.5.11	So Enosh lived a total of 905 years, and then he died.
GEN.5.12	When Kenan was 70 years old, he had a son named Mahalalel. 
GEN.5.13	After Mahalalel was born, Kenan lived 840 years and had other sons and daughters. 
GEN.5.14	So Kenan lived a total of 910 years, and then he died.
GEN.5.15	When Mahalalel was 65 years old, he had a son named Jared. 
GEN.5.16	After Jared was born, Mahalalel lived 830 years and had other sons and daughters. 
GEN.5.17	So Mahalalel lived a total of 895 years, and then he died.
GEN.5.18	When Jared was 162 years old, he had a son named Enoch. 
GEN.5.19	After Enoch was born, Jared lived 800 years and had other sons and daughters. 
GEN.5.20	So Jared lived a total of 962 years, and then he died.
GEN.5.21	When Enoch was 65 years old, he had a son named Methuselah. 
GEN.5.22	After Methuselah was born, Enoch walked with God 300 years more and had other sons and daughters. 
GEN.5.23	So Enoch lived a total of 365 years. 
GEN.5.24	Enoch walked with God; one day Enoch could not be found, because God took him.
GEN.5.25	When Methuselah was 187 years old, he had a son named Lamech. 
GEN.5.26	After Lamech was born, Methuselah lived 782 years and had other sons and daughters. 
GEN.5.27	So Methuselah lived a total of 969 years, and then he died.
GEN.5.28	When Lamech was 182, he had a son. 
GEN.5.29	Lamech named his son Noah and said, “He will comfort us in our work, which comes from the ground the L
GEN.5.30	After Noah was born, Lamech lived 595 years and had other sons and daughters. 
GEN.5.31	So Lamech lived a total of 777 years, and then he died.
GEN.5.32	After Noah was 500 years old, he became the father of Shem, Ham, and Japheth.
GEN.6.1	The number of people on earth began to grow, and daughters were born to them. 
GEN.6.2	When the sons of God saw that these girls were beautiful, they married any of them they chose. 
GEN.6.3	The L
GEN.6.4	The Nephilim were on the earth in those days and also later. That was when the sons of God had sexual relations with the daughters of human beings. These women gave birth to children, who became famous and were the mighty warriors of long ago.
GEN.6.5	The L
GEN.6.6	He was sorry he had made human beings on the earth, and his heart was filled with pain. 
GEN.6.7	So the L
GEN.6.8	But Noah pleased the L
GEN.6.9	This is the family history of Noah. Noah was a good man, the most innocent man of his time, and he walked with God. 
GEN.6.10	He had three sons: Shem, Ham, and Japheth.
GEN.6.11	People on earth did what God said was evil, and violence was everywhere. 
GEN.6.12	When God saw that everyone on the earth did only evil, 
GEN.6.13	he said to Noah, “Because people have made the earth full of violence, I will destroy all of them from the earth. 
GEN.6.14	Build a boat of cypress wood for yourself. Make rooms in it and cover it inside and outside with tar. 
GEN.6.15	This is how big I want you to build the boat: four hundred fifty feet long, seventy-five feet wide, and forty-five feet high. 
GEN.6.16	Make an opening around the top of the boat that is eighteen inches high from the edge of the roof down. Put a door in the side of the boat. Make an upper, middle, and lower deck in it. 
GEN.6.17	I will bring a flood of water on the earth to destroy all living things that live under the sky, including everything that has the breath of life. Everything on the earth will die. 
GEN.6.18	But I will make an agreement with you—you, your sons, your wife, and your sons’ wives will all go into the boat. 
GEN.6.19	Also, you must bring into the boat two of every living thing, male and female. Keep them alive with you. 
GEN.6.20	Two of every kind of bird, animal, and crawling thing will come to you to be kept alive. 
GEN.6.21	Also gather some of every kind of food and store it on the boat as food for you and the animals.”
GEN.6.22	Noah did everything that God commanded him.
GEN.7.1	Then the L
GEN.7.2	Take with you seven pairs, each male with its female, of every kind of clean animal, and take one pair, each male with its female, of every kind of unclean animal. 
GEN.7.3	Take seven pairs of all the birds of the sky, each male with its female. This will allow all these animals to continue living on the earth after the flood. 
GEN.7.4	Seven days from now I will send rain on the earth. It will rain forty days and forty nights, and I will wipe off from the earth every living thing that I have made.”
GEN.7.5	Noah did everything the L
GEN.7.6	Noah was six hundred years old when the flood came. 
GEN.7.7	He and his wife and his sons and their wives went into the boat to escape the waters of the flood. 
GEN.7.8	The clean animals, the unclean animals, the birds, and everything that crawls on the ground 
GEN.7.9	came to Noah. They went into the boat in groups of two, male and female, just as God had commanded Noah. 
GEN.7.10	Seven days later the flood started.
GEN.7.11	When Noah was six hundred years old, the flood started. On the seventeenth day of the second month of that year the underground springs split open, and the clouds in the sky poured out rain. 
GEN.7.12	The rain fell on the earth for forty days and forty nights.
GEN.7.13	On that same day Noah and his wife, his sons Shem, Ham, and Japheth, and their wives went into the boat. 
GEN.7.14	They had every kind of wild and tame animal, every kind of animal that crawls on the earth, and every kind of bird. 
GEN.7.15	Every creature that had the breath of life came to Noah in the boat in groups of two. 
GEN.7.16	One male and one female of every living thing came, just as God had commanded Noah. Then the L
GEN.7.17	Water flooded the earth for forty days, and as it rose it lifted the boat off the ground. 
GEN.7.18	The water continued to rise, and the boat floated on it above the earth. 
GEN.7.19	The water rose so much that even the highest mountains under the sky were covered by it. 
GEN.7.20	It continued to rise until it was more than twenty feet above the mountains.
GEN.7.21	All living things that moved on the earth died. This included all the birds, tame animals, wild animals, and creatures that swarm on the earth, as well as all human beings. 
GEN.7.22	So everything on dry land that had the breath of life in it died. 
GEN.7.23	God destroyed from the earth every living thing that was on the land—every man, animal, crawling thing, and bird of the sky. All that was left was Noah and what was with him in the boat. 
GEN.7.24	And the waters continued to cover the earth for one hundred fifty days.
GEN.8.1	But God remembered Noah and all the wild and tame animals with him in the boat. He made a wind blow over the earth, and the water went down. 
GEN.8.2	The underground springs stopped flowing, and the clouds in the sky stopped pouring down rain. 
GEN.8.3+GEN.8.4	The water that covered the earth began to go down. After one hundred fifty days it had gone down so much that the boat touched land again. It came to rest on one of the mountains of Ararat on the seventeenth day of the seventh month. 
GEN.8.5	The water continued to go down so that by the first day of the tenth month the tops of the mountains could be seen.
GEN.8.6	Forty days later Noah opened the window he had made in the boat, and 
GEN.8.7	he sent out a raven. It flew here and there until the water had dried up from the earth. 
GEN.8.8	Then Noah sent out a dove to find out if the water had dried up from the ground. 
GEN.8.9	The dove could not find a place to land because water still covered the earth, so it came back to the boat. Noah reached out his hand and took the bird and brought it back into the boat.
GEN.8.10	After seven days Noah again sent out the dove from the boat, 
GEN.8.11	and that evening it came back to him with a fresh olive leaf in its mouth. Then Noah knew that the ground was almost dry. 
GEN.8.12	Seven days later he sent the dove out again, but this time it did not come back.
GEN.8.13	When Noah was six hundred and one years old, in the first day of the first month of that year, the water was dried up from the land. Noah removed the covering of the boat and saw that the land was dry. 
GEN.8.14	By the twenty-seventh day of the second month the land was completely dry.
GEN.8.15	Then God said to Noah, 
GEN.8.16	“You and your wife, your sons, and their wives should go out of the boat. 
GEN.8.17	Bring every animal out of the boat with you—the birds, animals, and everything that crawls on the earth. Let them have many young ones so that they might grow in number.”
GEN.8.18	So Noah went out with his sons, his wife, and his sons’ wives. 
GEN.8.19	Every animal, everything that crawls on the earth, and every bird went out of the boat by families.
GEN.8.20	Then Noah built an altar to the L
GEN.8.21	The L
GEN.8.22	“As long as the earth continues,
GEN.8.22	planting and harvest,
GEN.8.22	cold and hot,
GEN.8.22	summer and winter,
GEN.8.22	day and night
GEN.8.22	will not stop.”
GEN.9.1	Then God blessed Noah and his sons and said to them, “Have many children; grow in number and fill the earth. 
GEN.9.2	Every animal on earth, every bird in the sky, every animal that crawls on the ground, and every fish in the sea will respect and fear you. I have given them to you.
GEN.9.3	“Everything that moves, everything that is alive, is yours for food. Earlier I gave you the green plants, but now I give you everything for food. 
GEN.9.4	But you must not eat meat that still has blood in it, because blood gives life. 
GEN.9.5	I will demand blood for life. I will demand the life of any animal that kills a person, and I will demand the life of anyone who takes another person’s life.
GEN.9.6	“Whoever kills a human being
GEN.9.6	will be killed by a human being,
GEN.9.6	because God made humans
GEN.9.6	in his own image.
GEN.9.7	“As for you, Noah, I want you and your family to have many children, to grow in number on the earth, and to become many.”
GEN.9.8	Then God said to Noah and his sons, 
GEN.9.9	“Now I am making my agreement with you and your people who will live after you, 
GEN.9.10	and with every living thing that is with you—the birds, the tame and the wild animals, and with everything that came out of the boat with you—with every living thing on earth. 
GEN.9.11	I make this agreement with you: I will never again destroy all living things by a flood. A flood will never again destroy the earth.”
GEN.9.12	And God said, “This is the sign of the agreement between me and you and every living creature that is with you. 
GEN.9.13	I am putting my rainbow in the clouds as the sign of the agreement between me and the earth. 
GEN.9.14	When I bring clouds over the earth and a rainbow appears in them, 
GEN.9.15	I will remember my agreement between me and you and every living thing. Floods will never again destroy all life on the earth. 
GEN.9.16	When the rainbow appears in the clouds, I will see it and I will remember the agreement that continues forever between me and every living thing on the earth.”
GEN.9.17	So God said to Noah, “The rainbow is a sign of the agreement that I made with all living things on earth.”
GEN.9.18	The sons of Noah who came out of the boat with him were Shem, Ham, and Japheth. (Ham was the father of Canaan.) 
GEN.9.19	These three men were Noah’s sons, and all the people on earth came from these three sons.
GEN.9.20	Noah became a farmer and planted a vineyard. 
GEN.9.21	When he drank wine made from his grapes, he became drunk and lay naked in his tent. 
GEN.9.22	Ham, the father of Canaan, looked at his naked father and told his brothers outside. 
GEN.9.23	Then Shem and Japheth got a coat and, carrying it on both their shoulders, they walked backwards into the tent and covered their father. They turned their faces away so that they did not see their father’s nakedness.
GEN.9.24	Noah was sleeping because of the wine. When he woke up and learned what his youngest son, Ham, had done to him, 
GEN.9.25	he said,
GEN.9.25	“May there be a curse on Canaan!
GEN.9.25	May he be the lowest slave to his brothers.”
GEN.9.26	Noah also said,
GEN.9.26	“May the L
GEN.9.26	May Canaan be Shem’s slave.
GEN.9.27	May God give more land to Japheth.
GEN.9.27	May Japheth live in Shem’s tents,
GEN.9.27	and may Canaan be their slave.”
GEN.9.28	After the flood Noah lived 350 years. 
GEN.9.29	He lived a total of 950 years, and then he died.
GEN.10.1	This is the family history of Shem, Ham, and Japheth, the sons of Noah. After the flood these three men had sons.
GEN.10.2	The sons of Japheth were Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
GEN.10.3	The sons of Gomer were Ashkenaz, Riphath, and Togarmah.
GEN.10.4	The sons of Javan were Elishah, Tarshish, Kittim, and Rodanim. 
GEN.10.5	Those who lived in the lands around the Mediterranean Sea came from these sons of Japheth. All the families grew and became different nations, each nation with its own land and its own language.
GEN.10.6	The sons of Ham were Cush, Mizraim, Put, and Canaan.
GEN.10.7	The sons of Cush were Seba, Havilah, Sabtah, Raamah, and Sabteca.
GEN.10.7	The sons of Raamah were Sheba and Dedan.
GEN.10.8	Cush also had a descendant named Nimrod, who became a very powerful man on earth. 
GEN.10.9	He was a great hunter before the L
GEN.10.10	At first Nimrod’s kingdom covered Babylon, Erech, Akkad, and Calneh in the land of Babylonia. 
GEN.10.11	From there he went to Assyria, where he built the cities of Nineveh, Rehoboth Ir, and Calah. 
GEN.10.12	He also built Resen, the great city between Nineveh and Calah.
GEN.10.13	Mizraim was the father of the Ludites, Anamites, Lehabites, Naphtuhites, 
GEN.10.14	Pathrusites, Casluhites, and the people of Crete. (The Philistines came from the Casluhites.)
GEN.10.15	Canaan was the father of Sidon, his first son, and of Heth. 
GEN.10.16	He was also the father of the Jebusites, Amorites, Girgashites, 
GEN.10.17	Hivites, Arkites, Sinites, 
GEN.10.18	Arvadites, Zemarites, and Hamathites. The families of the Canaanites scattered. 
GEN.10.19	Their land reached from Sidon to Gerar as far as Gaza, and then to Sodom, Gomorrah, Admah, and Zeboiim, as far as Lasha.
GEN.10.20	All these people were the sons of Ham, and all these families had their own languages, their own lands, and their own nations.
GEN.10.21	Shem, Japheth’s older brother, also had sons. One of his descendants was the father of all the sons of Eber.
GEN.10.22	The sons of Shem were Elam, Asshur, Arphaxad, Lud, and Aram.
GEN.10.23	The sons of Aram were Uz, Hul, Gether, and Meshech.
GEN.10.24	Arphaxad was the father of Shelah, who was the father of Eber. 
GEN.10.25	Eber was the father of two sons—one named Peleg, because the earth was divided during his life, and the other was named Joktan.
GEN.10.26	Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab. All these people were the sons of Joktan. 
GEN.10.30	They lived in the area between Mesha and Sephar in the hill country in the East.
GEN.10.31	These are the people from the family of Shem, arranged by families, languages, countries, and nations.
GEN.10.32	This is the list of the families from the sons of Noah, arranged according to their nations. From these families came all the nations who spread across the earth after the flood.
GEN.11.1	At this time the whole world spoke one language, and everyone used the same words. 
GEN.11.2	As people moved from the east, they found a plain in the land of Babylonia and settled there.
GEN.11.3	They said to each other, “Let’s make bricks and bake them to make them hard.” So they used bricks instead of stones, and tar instead of mortar. 
GEN.11.4	Then they said to each other, “Let’s build a city and a tower for ourselves, whose top will reach high into the sky. We will become famous. Then we will not be scattered over all the earth.”
GEN.11.5	The L
GEN.11.6	The L
GEN.11.7	Come, let us go down and confuse their language so they will not be able to understand each other.”
GEN.11.8	So the L
GEN.11.9	The place is called Babel since that is where the L
GEN.11.10	This is the family history of Shem. Two years after the flood, when Shem was 100 years old, his son Arphaxad was born. 
GEN.11.11	After that, Shem lived 500 years and had other sons and daughters.
GEN.11.12	When Arphaxad was 35 years old, his son Shelah was born. 
GEN.11.13	After that, Arphaxad lived 403 years and had other sons and daughters.
GEN.11.14	When Shelah was 30 years old, his son Eber was born. 
GEN.11.15	After that, Shelah lived 403 years and had other sons and daughters.
GEN.11.16	When Eber was 34 years old, his son Peleg was born. 
GEN.11.17	After that, Eber lived 430 years and had other sons and daughters.
GEN.11.18	When Peleg was 30 years old, his son Reu was born. 
GEN.11.19	After that, Peleg lived 209 years and had other sons and daughters.
GEN.11.20	When Reu was 32 years old, his son Serug was born. 
GEN.11.21	After that, Reu lived 207 years and had other sons and daughters.
GEN.11.22	When Serug was 30 years old, his son Nahor was born. 
GEN.11.23	After that, Serug lived 200 years and had other sons and daughters.
GEN.11.24	When Nahor was 29 years old, his son Terah was born. 
GEN.11.25	After that, Nahor lived 119 years and had other sons and daughters.
GEN.11.26	After Terah was 70 years old, his sons Abram, Nahor, and Haran were born.
GEN.11.27	This is the family history of Terah. Terah was the father of Abram, Nahor, and Haran. Haran was the father of Lot. 
GEN.11.28	While his father, Terah, was still alive, Haran died in Ur in Babylonia, where he was born. 
GEN.11.29	Abram and Nahor both married. Abram’s wife was named Sarai, and Nahor’s wife was named Milcah. She was the daughter of Haran, who was the father of both Milcah and Iscah. 
GEN.11.30	Sarai was not able to have children.
GEN.11.31	Terah took his son Abram, his grandson Lot (Haran’s son), and his daughter-in-law Sarai (Abram’s wife) and moved out of Ur of Babylonia. They had planned to go to the land of Canaan, but when they reached the city of Haran, they settled there.
GEN.11.32	Terah lived to be 205 years old, and then he died in Haran.
GEN.12.1	The L
GEN.12.2	I will make you a great nation,
GEN.12.2	and I will bless you.
GEN.12.2	I will make you famous,
GEN.12.2	and you will be a blessing to others.
GEN.12.3	I will bless those who bless you,
GEN.12.3	and I will place a curse on those who harm you.
GEN.12.3	And all the people on earth
GEN.12.3	will be blessed through you.”
GEN.12.4	So Abram left Haran as the L
GEN.12.5	He took his wife Sarai, his nephew Lot, and everything they owned, as well as all the servants they had gotten in Haran. They set out from Haran, planning to go to the land of Canaan, and in time they arrived there.
GEN.12.6	Abram traveled through that land as far as the great tree of Moreh at Shechem. The Canaanites were living in the land at that time. 
GEN.12.7	The L
GEN.12.8	Then he traveled from Shechem to the mountain east of Bethel and set up his tent there. Bethel was to the west, and Ai was to the east. There Abram built another altar to the L
GEN.12.9	After this, he traveled on toward southern Canaan.
GEN.12.10	At this time there was not much food in the land, so Abram went down to Egypt to live because there was so little food. 
GEN.12.11	Just before they arrived in Egypt, he said to his wife Sarai, “I know you are a very beautiful woman. 
GEN.12.12	When the Egyptians see you, they will say, ‘This woman is his wife.’ Then they will kill me but let you live. 
GEN.12.13	Tell them you are my sister so that things will go well with me and I may be allowed to live because of you.”
GEN.12.14	When Abram came to Egypt, the Egyptians saw that Sarai was very beautiful. 
GEN.12.15	The Egyptian officers saw her and told the king of Egypt how beautiful she was. They took her to the king’s palace, and 
GEN.12.16	the king was kind to Abram because he thought Abram was her brother. He gave Abram sheep, cattle, male and female donkeys, male and female servants, and camels.
GEN.12.17	But the L
GEN.12.18	So the king sent for Abram and said, “What have you done to me? Why didn’t you tell me Sarai was your wife? 
GEN.12.19	Why did you say, ‘She is my sister’ so that I made her my wife? Now, here is your wife. Take her and leave!” 
GEN.12.20	Then the king commanded his men to make Abram leave Egypt; so Abram and his wife left with everything they owned.
GEN.13.1	So Abram, his wife, and Lot left Egypt, taking everything they owned, and traveled to southern Canaan. 
GEN.13.2	Abram was very rich in cattle, silver, and gold.
GEN.13.3	He left southern Canaan and went back to Bethel where he had camped before, between Bethel and Ai, 
GEN.13.4	and where he had built an altar. So he worshiped the L
GEN.13.5	During this time Lot was traveling with Abram, and Lot also had flocks, herds, and tents. 
GEN.13.6	Abram and Lot had so many animals that the land could not support both of them together, 
GEN.13.7	so Abram’s herdsmen and Lot’s herdsmen began to argue. The Canaanites and the Perizzites were living in the land at this time.
GEN.13.8	Abram said to Lot, “There should be no arguing between you and me, or between your herdsmen and mine, because we are brothers. 
GEN.13.9	We should separate. The whole land is there in front of you. If you go to the left, I will go to the right. If you go to the right, I will go to the left.”
GEN.13.10	Lot looked all around and saw the whole Jordan Valley and that there was much water there. It was like the L
GEN.13.11	So Lot chose to move east and live in the Jordan Valley. In this way Abram and Lot separated. 
GEN.13.12	Abram lived in the land of Canaan, but Lot lived among the cities in the Jordan Valley, very near to Sodom. 
GEN.13.13	Now the people of Sodom were very evil and were always sinning against the L
GEN.13.14	After Lot left, the L
GEN.13.15	All this land that you see I will give to you and your descendants forever. 
GEN.13.16	I will make your descendants as many as the dust of the earth. If anyone could count the dust on the earth, he could count your people. 
GEN.13.17	Get up! Walk through all this land because I am now giving it to you.”
GEN.13.18	So Abram moved his tents and went to live near the great trees of Mamre at the city of Hebron. There he built an altar to the L
GEN.14.1	Now Amraphel was king of Babylonia, Arioch was king of Ellasar, Kedorlaomer was king of Elam, and Tidal was king of Goiim. 
