GEN.1.1	In the beginning, God
GEN.2.6	but a mist went up from the earth, and watered the whole surface of the ground. 
GEN.2.7	The 
GEN.2.8	The 
GEN.2.9	Out of the ground the 
GEN.2.10	A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers. 
GEN.2.11	The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold; 
GEN.2.12	and the gold of that land is good. Bdellium
GEN.2.13	The name of the second river is Gihon. It is the same river that flows through the whole land of Cush. 
GEN.2.14	The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates. 
GEN.2.15	The 
GEN.2.16	The 
GEN.2.17	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”
GEN.2.18	The 
GEN.2.19	Out of the ground the 
GEN.2.20	The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him. 
GEN.2.21	The 
GEN.2.22	The 
GEN.2.23	The man said, “This is now bone of my bones, and flesh of my flesh. She will be called ‘woman,’ because she was taken out of Man.” 
GEN.2.24	Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh. 
GEN.2.25	The man and his wife were both naked, and they were not ashamed.
GEN.3.1	Now the serpent was more subtle than any animal of the field which the 
GEN.3.2	The woman said to the serpent, “We may eat fruit from the trees of the garden, 
GEN.3.3	but not the fruit of the tree which is in the middle of the garden. God has said, ‘You shall not eat of it. You shall not touch it, lest you die.’”
GEN.3.4	The serpent said to the woman, “You won’t really die, 
GEN.3.5	for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.”
GEN.3.6	When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate. Then she gave some to her husband with her, and he ate it, too. 
GEN.3.7	Their eyes were opened, and they both knew that they were naked. They sewed fig leaves together, and made coverings for themselves. 
GEN.3.8	They heard the 
GEN.3.9	The 
GEN.3.10	The man said, “I heard your voice in the garden, and I was afraid, because I was naked; so I hid myself.”
GEN.3.11	God said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”
GEN.3.12	The man said, “The woman whom you gave to be with me, she gave me fruit from the tree, and I ate it.”
GEN.3.13	The 
GEN.3.13	The woman said, “The serpent deceived me, and I ate.”
GEN.3.14	The 
GEN.3.14	“Because you have done this,
GEN.3.14	you are cursed above all livestock,
GEN.3.14	and above every animal of the field.
GEN.3.14	You shall go on your belly
GEN.3.14	and you shall eat dust all the days of your life.
GEN.3.15	I will put hostility between you and the woman,
GEN.3.15	and between your offspring and her offspring.
GEN.3.15	He will bruise your head,
GEN.3.15	and you will bruise his heel.”
GEN.3.16	To the woman he said,
GEN.3.16	“I will greatly multiply your pain in childbirth.
GEN.3.16	You will bear children in pain.
GEN.3.16	Your desire will be for your husband,
GEN.3.16	and he will rule over you.”
GEN.3.17	To Adam he said,
GEN.3.17	“Because you have listened to your wife’s voice,
GEN.3.17	and have eaten from the tree,
GEN.3.17	about which I commanded you, saying, ‘You shall not eat of it,’
GEN.3.17	the ground is cursed for your sake.
GEN.3.17	You will eat from it with much labour all the days of your life.
GEN.3.18	It will yield thorns and thistles to you;
GEN.3.18	and you will eat the herb of the field.
GEN.3.19	You will eat bread by the sweat of your face until you return to the ground,
GEN.3.19	for you were taken out of it.
GEN.3.19	For you are dust,
GEN.3.19	and you shall return to dust.”
GEN.3.20	The man called his wife Eve because she would be the mother of all the living. 
GEN.3.21	The 
GEN.3.22	The 
GEN.3.23	Therefore the 
GEN.3.24	So he drove out the man; and he placed cherubim
GEN.4.1	The man knew
GEN.4.2	Again she gave birth, to Cain’s brother Abel. Abel was a keeper of sheep, but Cain was a tiller of the ground. 
GEN.4.3	As time passed, Cain brought an offering to the 
GEN.4.4	Abel also brought some of the firstborn of his flock and of its fat. The 
GEN.4.5	but he didn’t respect Cain and his offering. Cain was very angry, and the expression on his face fell. 
GEN.4.6	The 
GEN.4.7	If you do well, won’t it be lifted up? If you don’t do well, sin crouches at the door. Its desire is for you, but you are to rule over it.” 
GEN.4.8	Cain said to Abel, his brother, “Let’s go into the field.” While they were in the field, Cain rose up against Abel, his brother, and killed him.
GEN.4.9	The 
GEN.4.9	He said, “I don’t know. Am I my brother’s keeper?”
GEN.4.10	The 
GEN.4.11	Now you are cursed because of the ground, which has opened its mouth to receive your brother’s blood from your hand. 
GEN.4.12	From now on, when you till the ground, it won’t yield its strength to you. You will be a fugitive and a wanderer in the earth.”
GEN.4.13	Cain said to the 
GEN.4.14	Behold, you have driven me out today from the surface of the ground. I will be hidden from your face, and I will be a fugitive and a wanderer in the earth. Whoever finds me will kill me.”
GEN.4.15	The 
GEN.4.16	Cain left the 
GEN.4.17	Cain knew his wife. She conceived, and gave birth to Enoch. He built a city, and named the city after the name of his son, Enoch. 
GEN.4.18	Irad was born to Enoch. Irad became the father of Mehujael. Mehujael became the father of Methushael. Methushael became the father of Lamech. 
GEN.4.19	Lamech took two wives: the name of the first one was Adah, and the name of the second one was Zillah. 
GEN.4.20	Adah gave birth to Jabal, who was the father of those who dwell in tents and have livestock. 
GEN.4.21	His brother’s name was Jubal, who was the father of all who handle the harp and pipe. 
GEN.4.22	Zillah also gave birth to Tubal Cain, the forger of every cutting instrument of bronze and iron. Tubal Cain’s sister was Naamah. 
GEN.4.23	Lamech said to his wives,
GEN.4.23	“Adah and Zillah, hear my voice.
GEN.4.23	You wives of Lamech, listen to my speech,
GEN.4.23	for I have slain a man for wounding me,
GEN.4.23	a young man for bruising me.
GEN.4.24	If Cain will be avenged seven times,
GEN.4.24	truly Lamech seventy-seven times.”
GEN.4.25	Adam knew his wife again. She gave birth to a son, and named him Seth, saying, “for God has given me another child instead of Abel, for Cain killed him.” 
GEN.4.26	A son was also born to Seth, and he named him Enosh. At that time men began to call on the 
GEN.5.1	This is the book of the generations of Adam. In the day that God created man, he made him in God’s likeness. 
GEN.5.2	He created them male and female, and blessed them. On the day they were created, he named them Adam.
GEN.5.3	Adam lived one hundred and thirty years, and became the father of a son in his own likeness, after his image, and named him Seth. 
GEN.5.4	The days of Adam after he became the father of Seth were eight hundred years, and he became the father of other sons and daughters. 
GEN.5.5	All the days that Adam lived were nine hundred and thirty years, then he died.
GEN.5.6	Seth lived one hundred and five years, then became the father of Enosh. 
GEN.5.7	Seth lived after he became the father of Enosh eight hundred and seven years, and became the father of other sons and daughters. 
GEN.5.8	All of the days of Seth were nine hundred and twelve years, then he died.
GEN.5.9	Enosh lived ninety years, and became the father of Kenan. 
GEN.5.10	Enosh lived after he became the father of Kenan eight hundred and fifteen years, and became the father of other sons and daughters. 
GEN.5.11	All of the days of Enosh were nine hundred and five years, then he died.
GEN.5.12	Kenan lived seventy years, then became the father of Mahalalel. 
GEN.5.13	Kenan lived after he became the father of Mahalalel eight hundred and forty years, and became the father of other sons and daughters 
GEN.5.14	and all of the days of Kenan were nine hundred and ten years, then he died.
GEN.5.15	Mahalalel lived sixty-five years, then became the father of Jared. 
GEN.5.16	Mahalalel lived after he became the father of Jared eight hundred and thirty years, and became the father of other sons and daughters. 
GEN.5.17	All of the days of Mahalalel were eight hundred and ninety-five years, then he died.
GEN.5.18	Jared lived one hundred and sixty-two years, then became the father of Enoch. 
GEN.5.19	Jared lived after he became the father of Enoch eight hundred years, and became the father of other sons and daughters. 
GEN.5.20	All of the days of Jared were nine hundred and sixty-two years, then he died.
GEN.5.21	Enoch lived sixty-five years, then became the father of Methuselah. 
GEN.5.22	After Methuselah’s birth, Enoch walked with God for three hundred years, and became the father of more sons and daughters. 
GEN.5.23	All the days of Enoch were three hundred and sixty-five years. 
GEN.5.24	Enoch walked with God, and he was not found, for God took him.
GEN.5.25	Methuselah lived one hundred and eighty-seven years, then became the father of Lamech. 
GEN.5.26	Methuselah lived after he became the father of Lamech seven hundred and eighty-two years, and became the father of other sons and daughters. 
GEN.5.27	All the days of Methuselah were nine hundred and sixty-nine years, then he died.
GEN.5.28	Lamech lived one hundred and eighty-two years, then became the father of a son. 
GEN.5.29	He named him Noah, saying, “This one will comfort us in our work and in the toil of our hands, caused by the ground which the 
GEN.5.30	Lamech lived after he became the father of Noah five hundred and ninety-five years, and became the father of other sons and daughters. 
GEN.5.31	All the days of Lamech were seven hundred and seventy-seven years, then he died.
GEN.5.32	Noah was five hundred years old, then Noah became the father of Shem, Ham, and Japheth.
GEN.6.1	When men began to multiply on the surface of the ground, and daughters were born to them, 
GEN.6.2	God’s sons saw that men’s daughters were beautiful, and they took any that they wanted for themselves as wives. 
GEN.6.3	The 
GEN.6.4	The Nephilim
GEN.6.5	The 
GEN.6.6	The 
GEN.6.7	The 
GEN.6.8	But Noah found favour in the 
GEN.6.9	This is the history of the generations of Noah: Noah was a righteous man, blameless amongst the people of his time. Noah walked with God. 
GEN.6.10	Noah became the father of three sons: Shem, Ham, and Japheth. 
GEN.6.11	The earth was corrupt before God, and the earth was filled with violence. 
GEN.6.12	God saw the earth, and saw that it was corrupt, for all flesh had corrupted their way on the earth.
GEN.6.13	God said to Noah, “I will bring an end to all flesh, for the earth is filled with violence through them. Behold, I will destroy them and the earth. 
GEN.6.14	Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch. 
GEN.6.15	This is how you shall make it. The length of the ship shall be three hundred cubits,
GEN.6.16	You shall make a roof in the ship, and you shall finish it to a cubit upward. You shall set the door of the ship in its side. You shall make it with lower, second, and third levels. 
GEN.6.17	I, even I, will bring the flood of waters on this earth, to destroy all flesh having the breath of life from under the sky. Everything that is in the earth will die. 
GEN.6.18	But I will establish my covenant with you. You shall come into the ship, you, your sons, your wife, and your sons’ wives with you. 
GEN.6.19	Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female. 
GEN.6.20	Of the birds after their kind, of the livestock after their kind, of every creeping thing of the ground after its kind, two of every sort will come to you, to keep them alive. 
GEN.6.21	Take with you some of all food that is eaten, and gather it to yourself; and it will be for food for you, and for them.” 
GEN.6.22	Thus Noah did. He did all that God commanded him.
GEN.7.1	The 
GEN.7.2	You shall take seven pairs of every clean animal with you, the male and his female. Of the animals that are not clean, take two, the male and his female. 
GEN.7.3	Also of the birds of the sky, seven and seven, male and female, to keep seed alive on the surface of all the earth. 
GEN.7.4	In seven days, I will cause it to rain on the earth for forty days and forty nights. I will destroy every living thing that I have made from the surface of the ground.”
GEN.7.5	Noah did everything that the 
GEN.7.6	Noah was six hundred years old when the flood of waters came on the earth. 
GEN.7.7	Noah went into the ship with his sons, his wife, and his sons’ wives, because of the floodwaters. 
GEN.7.8	Clean animals, unclean animals, birds, and everything that creeps on the ground 
GEN.7.9	went by pairs to Noah into the ship, male and female, as God commanded Noah. 
GEN.7.10	After the seven days, the floodwaters came on the earth. 
GEN.7.11	In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month, on that day all the fountains of the great deep burst open, and the sky’s windows opened. 
GEN.7.12	It rained on the earth forty days and forty nights.
GEN.7.13	In the same day Noah, and Shem, Ham, and Japheth—the sons of Noah—and Noah’s wife and the three wives of his sons with them, entered into the ship— 
GEN.7.14	they, and every animal after its kind, all the livestock after their kind, every creeping thing that creeps on the earth after its kind, and every bird after its kind, every bird of every sort. 
GEN.7.15	Pairs from all flesh with the breath of life in them went into the ship to Noah. 
GEN.7.16	Those who went in, went in male and female of all flesh, as God commanded him; then the 
GEN.7.17	The flood was forty days on the earth. The waters increased, and lifted up the ship, and it was lifted up above the earth. 
GEN.7.18	The waters rose, and increased greatly on the earth; and the ship floated on the surface of the waters. 
GEN.7.19	The waters rose very high on the earth. All the high mountains that were under the whole sky were covered. 
GEN.7.20	The waters rose fifteen cubits
GEN.7.21	All flesh died that moved on the earth, including birds, livestock, animals, every creeping thing that creeps on the earth, and every man. 
GEN.7.22	All on the dry land, in whose nostrils was the breath of the spirit of life, died. 
GEN.7.23	Every living thing was destroyed that was on the surface of the ground, including man, livestock, creeping things, and birds of the sky. They were destroyed from the earth. Only Noah was left, and those who were with him in the ship. 
GEN.7.24	The waters flooded the earth one hundred and fifty days.
GEN.8.1	God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided. 
GEN.8.2	The deep’s fountains and the sky’s windows were also stopped, and the rain from the sky was restrained. 
GEN.8.3	The waters continually receded from the earth. After the end of one hundred and fifty days the waters receded. 
GEN.8.4	The ship rested in the seventh month, on the seventeenth day of the month, on Ararat’s mountains. 
GEN.8.5	The waters receded continually until the tenth month. In the tenth month, on the first day of the month, the tops of the mountains were visible.
GEN.8.6	At the end of forty days, Noah opened the window of the ship which he had made, 
GEN.8.7	and he sent out a raven. It went back and forth, until the waters were dried up from the earth. 
GEN.8.8	He himself sent out a dove to see if the waters were abated from the surface of the ground, 
GEN.8.9	but the dove found no place to rest her foot, and she returned into the ship to him, for the waters were on the surface of the whole earth. He put out his hand, and took her, and brought her to him into the ship. 
GEN.8.10	He waited yet another seven days; and again he sent the dove out of the ship. 
GEN.8.11	The dove came back to him at evening and, behold, in her mouth was a freshly plucked olive leaf. So Noah knew that the waters were abated from the earth. 
GEN.8.12	He waited yet another seven days, and sent out the dove; and she didn’t return to him any more.
GEN.8.13	In the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth. Noah removed the covering of the ship, and looked. He saw that the surface of the ground was dry. 
GEN.8.14	In the second month, on the twenty-seventh day of the month, the earth was dry.
GEN.8.15	God spoke to Noah, saying, 
GEN.8.16	“Go out of the ship, you, your wife, your sons, and your sons’ wives with you. 
GEN.8.17	Bring out with you every living thing that is with you of all flesh, including birds, livestock, and every creeping thing that creeps on the earth, that they may breed abundantly in the earth, and be fruitful, and multiply on the earth.”
GEN.8.18	Noah went out, with his sons, his wife, and his sons’ wives with him. 
GEN.8.19	Every animal, every creeping thing, and every bird, whatever moves on the earth, after their families, went out of the ship.
GEN.8.20	Noah built an altar to the 
GEN.8.21	The 
GEN.8.22	While the earth remains, seed time and harvest, and cold and heat, and summer and winter, and day and night will not cease.”
GEN.9.1	God blessed Noah and his sons, and said to them, “Be fruitful, multiply, and replenish the earth. 
GEN.9.2	The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that moves along the ground, and all the fish of the sea, are delivered into your hand. 
GEN.9.3	Every moving thing that lives will be food for you. As I gave you the green herb, I have given everything to you. 
GEN.9.4	But flesh with its life, that is, its blood, you shall not eat. 
GEN.9.5	I will surely require accounting for your life’s blood. At the hand of every animal I will require it. At the hand of man, even at the hand of every man’s brother, I will require the life of man. 
GEN.9.6	Whoever sheds man’s blood, his blood will be shed by man, for God made man in his own image. 
GEN.9.7	Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.”
GEN.9.8	God spoke to Noah and to his sons with him, saying, 
GEN.9.9	“As for me, behold, I establish my covenant with you, and with your offspring after you, 
GEN.9.10	and with every living creature that is with you: the birds, the livestock, and every animal of the earth with you, of all that go out of the ship, even every animal of the earth. 
GEN.9.11	I will establish my covenant with you: All flesh will not be cut off any more by the waters of the flood. There will never again be a flood to destroy the earth.” 
GEN.9.12	God said, “This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations: 
GEN.9.13	I set my rainbow in the cloud, and it will be a sign of a covenant between me and the earth. 
GEN.9.14	When I bring a cloud over the earth, that the rainbow will be seen in the cloud, 
GEN.9.15	I will remember my covenant, which is between me and you and every living creature of all flesh, and the waters will no more become a flood to destroy all flesh. 
GEN.9.16	The rainbow will be in the cloud. I will look at it, that I may remember the everlasting covenant between God and every living creature of all flesh that is on the earth.” 
GEN.9.17	God said to Noah, “This is the token of the covenant which I have established between me and all flesh that is on the earth.”
GEN.9.18	The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan. 
GEN.9.19	These three were the sons of Noah, and from these the whole earth was populated.
GEN.9.20	Noah began to be a farmer, and planted a vineyard. 
GEN.9.21	He drank of the wine and got drunk. He was uncovered within his tent. 
GEN.9.22	Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside. 
GEN.9.23	Shem and Japheth took a garment, and laid it on both their shoulders, went in backwards, and covered the nakedness of their father. Their faces were backwards, and they didn’t see their father’s nakedness. 
GEN.9.24	Noah awoke from his wine, and knew what his youngest son had done to him. 
GEN.9.25	He said,
GEN.9.25	“Canaan is cursed.
GEN.9.25	He will be a servant of servants to his brothers.”
GEN.9.26	He said,
GEN.9.26	“Blessed be the 
GEN.9.26	Let Canaan be his servant.
GEN.9.27	May God enlarge Japheth.
GEN.9.27	Let him dwell in the tents of Shem.
GEN.9.27	Let Canaan be his servant.”
GEN.9.28	Noah lived three hundred and fifty years after the flood. 
GEN.9.29	All the days of Noah were nine hundred and fifty years, and then he died.
GEN.10.1	Now this is the history of the generations of the sons of Noah and of Shem, Ham, and Japheth. Sons were born to them after the flood.
GEN.10.2	The sons of Japheth were: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras. 
GEN.10.3	The sons of Gomer were: Ashkenaz, Riphath, and Togarmah. 
GEN.10.4	The sons of Javan were: Elishah, Tarshish, Kittim, and Dodanim. 
GEN.10.5	Of these were the islands of the nations divided in their lands, everyone after his language, after their families, in their nations.
GEN.10.6	The sons of Ham were: Cush, Mizraim, Put, and Canaan. 
GEN.10.7	The sons of Cush were: Seba, Havilah, Sabtah, Raamah, and Sabteca. The sons of Raamah were: Sheba and Dedan. 
GEN.10.8	Cush became the father of Nimrod. He began to be a mighty one in the earth. 
GEN.10.9	He was a mighty hunter before the 
GEN.10.10	The beginning of his kingdom was Babel, Erech, Accad, and Calneh, in the land of Shinar. 
GEN.10.11	Out of that land he went into Assyria, and built Nineveh, Rehoboth Ir, Calah, 
GEN.10.12	and Resen between Nineveh and the great city Calah. 
GEN.10.13	Mizraim became the father of Ludim, Anamim, Lehabim, Naphtuhim, 
GEN.10.14	Pathrusim, Casluhim (which the Philistines descended from), and Caphtorim.
GEN.10.15	Canaan became the father of Sidon (his firstborn), Heth, 
GEN.10.16	the Jebusites, the Amorites, the Girgashites, 
GEN.10.17	the Hivites, the Arkites, the Sinites, 
GEN.10.18	the Arvadites, the Zemarites, and the Hamathites. Afterward the families of the Canaanites were spread abroad. 
GEN.10.19	The border of the Canaanites was from Sidon—as you go towards Gerar—to Gaza—as you go towards Sodom, Gomorrah, Admah, and Zeboiim—to Lasha. 
GEN.10.20	These are the sons of Ham, after their families, according to their languages, in their lands and their nations.
GEN.10.21	Children were also born to Shem (the elder brother of Japheth), the father of all the children of Eber. 
GEN.10.22	The sons of Shem were: Elam, Asshur, Arpachshad, Lud, and Aram. 
GEN.10.23	The sons of Aram were: Uz, Hul, Gether, and Mash. 
GEN.10.24	Arpachshad became the father of Shelah. Shelah became the father of Eber. 
GEN.10.25	To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother’s name was Joktan. 
GEN.10.26	Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab. All these were the sons of Joktan. 
GEN.10.30	Their dwelling extended from Mesha, as you go towards Sephar, the mountain of the east. 
GEN.10.31	These are the sons of Shem, by their families, according to their languages, lands, and nations.
GEN.10.32	These are the families of the sons of Noah, by their generations, according to their nations. The nations divided from these in the earth after the flood.
GEN.11.1	The whole earth was of one language and of one speech. 
GEN.11.2	As they travelled east,
GEN.11.3	They said to one another, “Come, let’s make bricks, and burn them thoroughly.” They had brick for stone, and they used tar for mortar. 
GEN.11.4	They said, “Come, let’s build ourselves a city, and a tower whose top reaches to the sky, and let’s make a name for ourselves, lest we be scattered abroad on the surface of the whole earth.”
GEN.11.5	The 
GEN.11.6	The 
GEN.11.7	Come, let’s go down, and there confuse their language, that they may not understand one another’s speech.” 
GEN.11.8	So the 
GEN.11.9	Therefore its name was called Babel, because there the 
GEN.11.10	This is the history of the generations of Shem: Shem was one hundred years old when he became the father of Arpachshad two years after the flood. 
GEN.11.11	Shem lived five hundred years after he became the father of Arpachshad, and became the father of more sons and daughters.
GEN.11.12	Arpachshad lived thirty-five years and became the father of Shelah. 
GEN.11.13	Arpachshad lived four hundred and three years after he became the father of Shelah, and became the father of more sons and daughters.
GEN.11.14	Shelah lived thirty years, and became the father of Eber. 
GEN.11.15	Shelah lived four hundred and three years after he became the father of Eber, and became the father of more sons and daughters.
GEN.11.16	Eber lived thirty-four years, and became the father of Peleg. 
GEN.11.17	Eber lived four hundred and thirty years after he became the father of Peleg, and became the father of more sons and daughters.
GEN.11.18	Peleg lived thirty years, and became the father of Reu. 
GEN.11.19	Peleg lived two hundred and nine years after he became the father of Reu, and became the father of more sons and daughters.
GEN.11.20	Reu lived thirty-two years, and became the father of Serug. 
GEN.11.21	Reu lived two hundred and seven years after he became the father of Serug, and became the father of more sons and daughters.
GEN.11.22	Serug lived thirty years, and became the father of Nahor. 
GEN.11.23	Serug lived two hundred years after he became the father of Nahor, and became the father of more sons and daughters.
GEN.11.24	Nahor lived twenty-nine years, and became the father of Terah. 
GEN.11.25	Nahor lived one hundred and nineteen years after he became the father of Terah, and became the father of more sons and daughters.
GEN.11.26	Terah lived seventy years, and became the father of Abram, Nahor, and Haran.
GEN.11.27	Now this is the history of the generations of Terah. Terah became the father of Abram, Nahor, and Haran. Haran became the father of Lot. 
GEN.11.28	Haran died in the land of his birth, in Ur of the Chaldees, while his father Terah was still alive. 
GEN.11.29	Abram and Nahor married wives. The name of Abram’s wife was Sarai, and the name of Nahor’s wife was Milcah, the daughter of Haran, who was also the father of Iscah. 
GEN.11.30	Sarai was barren. She had no child. 
GEN.11.31	Terah took Abram his son, Lot the son of Haran, his son’s son, and Sarai his daughter-in-law, his son Abram’s wife. They went from Ur of the Chaldees, to go into the land of Canaan. They came to Haran and lived there. 
GEN.11.32	The days of Terah were two hundred and five years. Terah died in Haran.
GEN.12.1	Now the 
GEN.12.2	I will make of you a great nation. I will bless you and make your name great. You will be a blessing. 
GEN.12.3	I will bless those who bless you, and I will curse him who treats you with contempt. All the families of the earth will be blessed through you.”
GEN.12.4	So Abram went, as the 
GEN.12.5	Abram took Sarai his wife, Lot his brother’s son, all their possessions that they had gathered, and the people whom they had acquired in Haran, and they went to go into the land of Canaan. They entered into the land of Canaan. 
GEN.12.6	Abram passed through the land to the place of Shechem, to the oak of Moreh. At that time, Canaanites were in the land.
GEN.12.7	The 
GEN.12.7	He built an altar there to the 
GEN.12.8	He left from there to go to the mountain on the east of Bethel and pitched his tent, having Bethel on the west, and Ai on the east. There he built an altar to the 
GEN.12.9	Abram travelled, still going on towards the South.
GEN.12.10	There was a famine in the land. Abram went down into Egypt to live as a foreigner there, for the famine was severe in the land. 
GEN.12.11	When he had come near to enter Egypt, he said to Sarai his wife, “See now, I know that you are a beautiful woman to look at. 
GEN.12.12	It will happen that when the Egyptians see you, they will say, ‘This is his wife.’ They will kill me, but they will save you alive. 
GEN.12.13	Please say that you are my sister, that it may be well with me for your sake, and that my soul may live because of you.”
GEN.12.14	When Abram had come into Egypt, Egyptians saw that the woman was very beautiful. 
GEN.12.15	The princes of Pharaoh saw her, and praised her to Pharaoh; and the woman was taken into Pharaoh’s house. 
GEN.12.16	He dealt well with Abram for her sake. He had sheep, cattle, male donkeys, male servants, female servants, female donkeys, and camels. 
GEN.12.17	The 
GEN.12.18	Pharaoh called Abram and said, “What is this that you have done to me? Why didn’t you tell me that she was your wife? 
GEN.12.19	Why did you say, ‘She is my sister,’ so that I took her to be my wife? Now therefore, see your wife, take her, and go your way.”
GEN.12.20	Pharaoh commanded men concerning him, and they escorted him away with his wife and all that he had.
GEN.13.1	Abram went up out of Egypt—he, his wife, all that he had, and Lot with him—into the South. 
GEN.13.2	Abram was very rich in livestock, in silver, and in gold. 
GEN.13.3	He went on his journeys from the South as far as Bethel, to the place where his tent had been at the beginning, between Bethel and Ai, 
GEN.13.4	to the place of the altar, which he had made there at the first. There Abram called on the 
GEN.13.5	Lot also, who went with Abram, had flocks, herds, and tents. 
GEN.13.6	The land was not able to bear them, that they might live together; for their possessions were so great that they couldn’t live together. 
GEN.13.7	There was strife between the herdsmen of Abram’s livestock and the herdsmen of Lot’s livestock. The Canaanites and the Perizzites lived in the land at that time. 
GEN.13.8	Abram said to Lot, “Please, let there be no strife between you and me, and between your herdsmen and my herdsmen; for we are relatives. 
GEN.13.9	Isn’t the whole land before you? Please separate yourself from me. If you go to the left hand, then I will go to the right. Or if you go to the right hand, then I will go to the left.”
GEN.13.10	Lot lifted up his eyes, and saw all the plain of the Jordan, that it was well-watered everywhere, before the 
