LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
LKA.2.14	“Glory to God in the highest heaven,
LKA.2.14	and on earth peace to those on whom his favor rests.”
LKA.2.15	When the angels had left them and gone into heaven, the shepherds said to one another, “Letʼs go to Bethlehem and see this thing that has happened, which the Lord has told us about.”
LKA.2.16	So they hurried off and found Mary and Joseph, and the baby, who was lying in the manger. 
LKA.2.17	When they had seen him, they spread the word concerning what had been told them about this child, 
LKA.2.18	and all who heard it were amazed at what the shepherds said to them. 
LKA.2.19	But Mary treasured up all these things and pondered them in her heart. 
LKA.2.20	The shepherds returned, glorifying and praising God for all the things they had heard and seen, which were just as they had been told.
LKA.2.21	On the eighth day, when it was time to circumcise the child, he was named Jesus, the name the angel had given him before he was conceived.
LKA.2.22	When the time came for the purification rites required by the Law of Moses, Joseph and Mary took him to Jerusalem to present him to the Lord 
LKA.2.23	(as it is written in the Law of the Lord, “Every firstborn male is to be consecrated to the Lord”
LKA.2.24	and to offer a sacrifice in keeping with what is said in the Law of the Lord: “a pair of doves or two young pigeons.”
LKA.2.25	Now there was a man in Jerusalem called Simeon, who was righteous and devout. He was waiting for the consolation of Israel, and the Holy Spirit was on him. 
LKA.2.26	It had been revealed to him by the Holy Spirit that he would not die before he had seen the Lordʼs Messiah. 
LKA.2.27	Moved by the Spirit, he went into the temple courts. When the parents brought in the child Jesus to do for him what the custom of the Law required, 
LKA.2.28	Simeon took him in his arms and praised God, saying:
LKA.2.29	“Sovereign Lord, as you have promised,
LKA.2.29	you may now dismiss
LKA.2.30	For my eyes have seen your salvation,
LKA.2.31	which you have prepared in the sight of all nations:
LKA.2.32	a light for revelation to the Gentiles,
LKA.2.32	and the glory of your people Israel.”
LKA.2.33	The childʼs father and mother marveled at what was said about him. 
LKA.2.34	Then Simeon blessed them and said to Mary, his mother: “This child is destined to cause the falling and rising of many in Israel, and to be a sign that will be spoken against, 
LKA.2.35	so that the thoughts of many hearts will be revealed. And a sword will pierce your own soul too.”
LKA.2.36	There was also a prophet, Anna, the daughter of Penuel, of the tribe of Asher. She was very old; she had lived with her husband seven years after her marriage, 
LKA.2.37	and then was a widow until she was eighty-four.
LKA.2.38	Coming up to them at that very moment, she gave thanks to God and spoke about the child to all who were looking forward to the redemption of Jerusalem.
LKA.2.39	When Joseph and Mary had done everything required by the Law of the Lord, they returned to Galilee to their own town of Nazareth. 
LKA.2.40	And the child grew and became strong; he was filled with wisdom, and the grace of God was on him.
LKA.2.41	Every year Jesusʼ parents went to Jerusalem for the Festival of the Passover. 
LKA.2.42	When he was twelve years old, they went up to the festival, according to the custom. 
LKA.2.43	After the festival was over, while his parents were returning home, the boy Jesus stayed behind in Jerusalem, but they were unaware of it. 
LKA.2.44	Thinking he was in their company, they traveled on for a day. Then they began looking for him among their relatives and friends. 
LKA.2.45	When they did not find him, they went back to Jerusalem to look for him. 
LKA.2.46	After three days they found him in the temple courts, sitting among the teachers, listening to them and asking them questions. 
LKA.2.47	Everyone who heard him was amazed at his understanding and his answers. 
LKA.2.48	When his parents saw him, they were astonished. His mother said to him, “Son, why have you treated us like this? Your father and I have been anxiously searching for you.”
LKA.2.50	But they did not understand what he was saying to them.
LKA.2.51	Then he went down to Nazareth with them and was obedient to them. But his mother treasured all these things in her heart. 
LKA.2.52	And Jesus grew in wisdom and stature, and in favor with God and man.
LKA.3.1	In the fifteenth year of the reign of Tiberius Caesar — when Pontius Pilate was governor of Judea, Herod tetrarch of Galilee, his brother Philip tetrarch of Iturea and Traconitis, and Lysanias tetrarch of Abilene —  
LKA.3.2	during the high-priesthood of Annas and Caiaphas, the word of God came to John son of Zechariah in the wilderness. 
LKA.3.3	He went into all the country around the Jordan, preaching a baptism of repentance for the forgiveness of sins. 
LKA.3.4	As it is written in the book of the words of Isaiah the prophet:
LKA.3.4	“A voice of one calling in the wilderness,
LKA.3.4	‘Prepare the way for the Lord,
LKA.3.4	make straight paths for him.
LKA.3.5	Every valley shall be filled in,
LKA.3.5	every mountain and hill made low.
LKA.3.5	The crooked roads shall become straight,
LKA.3.5	the rough ways smooth.
LKA.3.6	And all people will see Godʼs salvation.’ ”
LKA.3.7	John said to the crowds coming out to be baptized by him, “You brood of vipers! Who warned you to flee from the coming wrath? 
LKA.3.8	Produce fruit in keeping with repentance. And do not begin to say to yourselves, ‘We have Abraham as our father.’ For I tell you that out of these stones God can raise up children for Abraham. 
LKA.3.9	The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire.”
LKA.3.10	“What should we do then?” the crowd asked.
LKA.3.11	John answered, “Anyone who has two shirts should share with the one who has none, and anyone who has food should do the same.”
LKA.3.12	Even tax collectors came to be baptized. “Teacher,” they asked, “what should we do?”
LKA.3.13	“Donʼt collect any more than you are required to,” he told them.
LKA.3.14	Then some soldiers asked him, “And what should we do?”
LKA.3.14	He replied, “Donʼt extort money and donʼt accuse people falsely — be content with your pay.”
LKA.3.15	The people were waiting expectantly and were all wondering in their hearts if John might possibly be the Messiah. 
LKA.3.16	John answered them all, “I baptize you with
LKA.3.17	His winnowing fork is in his hand to clear his threshing floor and to gather the wheat into his barn, but he will burn up the chaff with unquenchable fire.” 
LKA.3.18	And with many other words John exhorted the people and proclaimed the good news to them.
LKA.3.19	But when John rebuked Herod the tetrarch because of his marriage to Herodias, his brotherʼs wife, and all the other evil things he had done, 
LKA.3.20	Herod added this to them all: He locked John up in prison.
LKA.3.21	When all the people were being baptized, Jesus was baptized too. And as he was praying, heaven was opened 
LKA.3.22	and the Holy Spirit descended on him in bodily form like a dove. And a voice came from heaven: “You are my Son, whom I love; with you I am well pleased.”
LKA.3.23	Now Jesus himself was about thirty years old when he began his ministry. He was the son, so it was thought, of Joseph,
LKA.3.23	the son of Heli, 
LKA.3.24	the son of Matthat,
LKA.3.24	the son of Levi, the son of Melki,
LKA.3.24	the son of Jannai, the son of Joseph,
LKA.3.25	the son of Mattathias, the son of Amos,
LKA.3.25	the son of Nahum, the son of Esli,
LKA.3.25	the son of Naggai, 
LKA.3.26	the son of Maath,
LKA.3.26	the son of Mattathias, the son of Semein,
LKA.3.26	the son of Josek, the son of Joda,
LKA.3.27	the son of Joanan, the son of Rhesa,
LKA.3.27	the son of Zerubbabel, the son of Shealtiel,
LKA.3.27	the son of Neri, 
LKA.3.28	the son of Melki,
LKA.3.28	the son of Addi, the son of Cosam,
LKA.3.28	the son of Elmadam, the son of Er,
LKA.3.29	the son of Joshua, the son of Eliezer,
LKA.3.29	the son of Jorim, the son of Matthat,
LKA.3.29	the son of Levi, 
LKA.3.30	the son of Simeon,
LKA.3.30	the son of Judah, the son of Joseph,
LKA.3.30	the son of Jonam, the son of Eliakim,
LKA.3.31	the son of Melea, the son of Menna,
LKA.3.31	the son of Mattatha, the son of Nathan,
LKA.3.31	the son of David, 
LKA.3.32	the son of Jesse,
LKA.3.32	the son of Obed, the son of Boaz,
LKA.3.32	the son of Salmon,
LKA.3.33	the son of Amminadab, the son of Ram,
LKA.3.33	the son of Hezron, the son of Perez,
LKA.3.33	the son of Judah, 
LKA.3.34	the son of Jacob,
LKA.3.34	the son of Isaac, the son of Abraham,
LKA.3.34	the son of Terah, the son of Nahor,
LKA.3.35	the son of Serug, the son of Reu,
LKA.3.35	the son of Peleg, the son of Eber,
LKA.3.35	the son of Shelah, 
LKA.3.36	the son of Cainan,
LKA.3.36	the son of Arphaxad, the son of Shem,
LKA.3.36	the son of Noah, the son of Lamech,
LKA.3.37	the son of Methuselah, the son of Enoch,
LKA.3.37	the son of Jared, the son of Mahalalel,
LKA.3.37	the son of Kenan, 
LKA.3.38	the son of Enosh,
LKA.3.38	the son of Seth, the son of Adam,
LKA.3.38	the son of God.
LKA.4.1	Jesus, full of the Holy Spirit, left the Jordan and was led by the Spirit into the wilderness, 
LKA.4.2	where for forty days he was tempted
LKA.4.3	The devil said to him, “If you are the Son of God, tell this stone to become bread.”
LKA.4.4	Jesus answered, 
LKA.4.5	The devil led him up to a high place and showed him in an instant all the kingdoms of the world. 
LKA.4.6	And he said to him, “I will give you all their authority and splendor; it has been given to me, and I can give it to anyone I want to. 
LKA.4.7	If you worship me, it will all be yours.”
LKA.4.8	Jesus answered, 
LKA.4.9	The devil led him to Jerusalem and had him stand on the highest point of the temple. “If you are the Son of God,” he said, “throw yourself down from here. 
LKA.4.10	For it is written:
LKA.4.10	“ ‘He will command his angels concerning you
LKA.4.10	to guard you carefully;
LKA.4.11	they will lift you up in their hands,
LKA.4.11	so that you will not strike your foot against a stone.’
LKA.4.12	Jesus answered, 
LKA.4.13	When the devil had finished all this tempting, he left him until an opportune time.
LKA.4.14	Jesus returned to Galilee in the power of the Spirit, and news about him spread through the whole countryside. 
LKA.4.15	He was teaching in their synagogues, and everyone praised him.
LKA.4.16	He went to Nazareth, where he had been brought up, and on the Sabbath day he went into the synagogue, as was his custom. He stood up to read, 
LKA.4.17	and the scroll of the prophet Isaiah was handed to him. Unrolling it, he found the place where it is written:
LKA.4.20	Then he rolled up the scroll, gave it back to the attendant and sat down. The eyes of everyone in the synagogue were fastened on him. 
LKA.4.21	He began by saying to them, 
LKA.4.22	All spoke well of him and were amazed at the gracious words that came from his lips. “Isnʼt this Josephʼs son?” they asked.
LKA.4.23	Jesus said to them, 
LKA.4.28	All the people in the synagogue were furious when they heard this. 
LKA.4.29	They got up, drove him out of the town, and took him to the brow of the hill on which the town was built, in order to throw him off the cliff. 
LKA.4.30	But he walked right through the crowd and went on his way.
LKA.4.31	Then he went down to Capernaum, a town in Galilee, and on the Sabbath he taught the people. 
LKA.4.32	They were amazed at his teaching, because his words had authority.
LKA.4.33	In the synagogue there was a man possessed by a demon, an impure spirit. He cried out at the top of his voice, 
LKA.4.34	“Go away! What do you want with us, Jesus of Nazareth? Have you come to destroy us? I know who you are — the Holy One of God!”
LKA.4.36	All the people were amazed and said to each other, “What words these are! With authority and power he gives orders to impure spirits and they come out!” 
LKA.4.37	And the news about him spread throughout the surrounding area.
LKA.4.38	Jesus left the synagogue and went to the home of Simon. Now Simonʼs mother-in-law was suffering from a high fever, and they asked Jesus to help her. 
LKA.4.39	So he bent over her and rebuked the fever, and it left her. She got up at once and began to wait on them.
LKA.4.40	At sunset, the people brought to Jesus all who had various kinds of sickness, and laying his hands on each one, he healed them. 
LKA.4.41	Moreover, demons came out of many people, shouting, “You are the Son of God!” But he rebuked them and would not allow them to speak, because they knew he was the Messiah.
LKA.4.42	At daybreak, Jesus went out to a solitary place. The people were looking for him and when they came to where he was, they tried to keep him from leaving them. 
LKA.4.43	But he said, 
LKA.4.44	And he kept on preaching in the synagogues of Judea.
LKA.5.1	One day as Jesus was standing by the Lake of Gennesaret,
LKA.5.2	He saw at the waterʼs edge two boats, left there by the fishermen, who were washing their nets. 
LKA.5.3	He got into one of the boats, the one belonging to Simon, and asked him to put out a little from shore. Then he sat down and taught the people from the boat.
LKA.5.4	When he had finished speaking, he said to Simon, 
LKA.5.5	Simon answered, “Master, weʼve worked hard all night and havenʼt caught anything. But because you say so, I will let down the nets.”
LKA.5.6	When they had done so, they caught such a large number of fish that their nets began to break. 
LKA.5.7	So they signaled their partners in the other boat to come and help them, and they came and filled both boats so full that they began to sink.
LKA.5.8	When Simon Peter saw this, he fell at Jesusʼ knees and said, “Go away from me, Lord; I am a sinful man!” 
LKA.5.9	For he and all his companions were astonished at the catch of fish they had taken, 
LKA.5.10	and so were James and John, the sons of Zebedee, Simonʼs partners.
LKA.5.10	Then Jesus said to Simon, 
LKA.5.11	So they pulled their boats up on shore, left everything and followed him.
LKA.5.12	While Jesus was in one of the towns, a man came along who was covered with leprosy.
LKA.5.13	Jesus reached out his hand and touched the man. 
LKA.5.14	Then Jesus ordered him, 
LKA.5.15	Yet the news about him spread all the more, so that crowds of people came to hear him and to be healed of their sicknesses. 
LKA.5.16	But Jesus often withdrew to lonely places and prayed.
LKA.5.17	One day Jesus was teaching, and Pharisees and teachers of the law were sitting there. They had come from every village of Galilee and from Judea and Jerusalem. And the power of the Lord was with Jesus to heal the sick. 
LKA.5.18	Some men came carrying a paralyzed man on a mat and tried to take him into the house to lay him before Jesus. 
LKA.5.19	When they could not find a way to do this because of the crowd, they went up on the roof and lowered him on his mat through the tiles into the middle of the crowd, right in front of Jesus.
LKA.5.20	When Jesus saw their faith, he said, 
LKA.5.21	The Pharisees and the teachers of the law began thinking to themselves, “Who is this fellow who speaks blasphemy? Who can forgive sins but God alone?”
LKA.5.22	Jesus knew what they were thinking and asked, 
LKA.5.24	 So he said to the paralyzed man, 
LKA.5.25	Immediately he stood up in front of them, took what he had been lying on and went home praising God. 
LKA.5.26	Everyone was amazed and gave praise to God. They were filled with awe and said, “We have seen remarkable things today.”
LKA.5.27	After this, Jesus went out and saw a tax collector by the name of Levi sitting at his tax booth. 
LKA.5.28	and Levi got up, left everything and followed him.
LKA.5.29	Then Levi held a great banquet for Jesus at his house, and a large crowd of tax collectors and others were eating with them. 
LKA.5.30	But the Pharisees and the teachers of the law who belonged to their sect complained to his disciples, “Why do you eat and drink with tax collectors and sinners?”
LKA.5.31	Jesus answered them, 
LKA.5.33	They said to him, “Johnʼs disciples often fast and pray, and so do the disciples of the Pharisees, but yours go on eating and drinking.”
LKA.5.34	Jesus answered, 
LKA.5.36	He told them this parable: 
LKA.6.1	One Sabbath Jesus was going through the grainfields, and his disciples began to pick some heads of grain, rub them in their hands and eat the kernels. 
LKA.6.2	Some of the Pharisees asked, “Why are you doing what is unlawful on the Sabbath?”
LKA.6.3	Jesus answered them, 
LKA.6.5	Then Jesus said to them, 
LKA.6.6	On another Sabbath he went into the synagogue and was teaching, and a man was there whose right hand was shriveled. 
LKA.6.7	The Pharisees and the teachers of the law were looking for a reason to accuse Jesus, so they watched him closely to see if he would heal on the Sabbath. 
LKA.6.8	But Jesus knew what they were thinking and said to the man with the shriveled hand, 
LKA.6.9	Then Jesus said to them, 
LKA.6.10	He looked around at them all, and then said to the man, 
LKA.6.11	But the Pharisees and the teachers of the law were furious and began to discuss with one another what they might do to Jesus.
LKA.6.12	One of those days Jesus went out to a mountainside to pray, and spent the night praying to God. 
LKA.6.13	When morning came, he called his disciples to him and chose twelve of them, whom he also designated apostles: 
LKA.6.14	Simon (whom he named Peter), his brother Andrew, James, John, Philip, Bartholomew, 
LKA.6.15	Matthew, Thomas, James son of Alphaeus, Simon who was called the Zealot, 
LKA.6.16	Judas son of James, and Judas Iscariot, who became a traitor.
LKA.6.17	He went down with them and stood on a level place. A large crowd of his disciples was there and a great number of people from all over Judea, from Jerusalem, and from the coastal region around Tyre and Sidon, 
LKA.6.18	who had come to hear him and to be healed of their diseases. Those troubled by impure spirits were cured, 
LKA.6.19	and the people all tried to touch him, because power was coming from him and healing them all.
LKA.6.20	Looking at his disciples, he said:
LKA.6.39	He also told them this parable: 
LKA.7.1	When Jesus had finished saying all this to the people who were listening, he entered Capernaum. 
LKA.7.2	There a centurionʼs servant, whom his master valued highly, was sick and about to die. 
LKA.7.3	The centurion heard of Jesus and sent some elders of the Jews to him, asking him to come and heal his servant. 
LKA.7.4	When they came to Jesus, they pleaded earnestly with him, “This man deserves to have you do this, 
LKA.7.5	because he loves our nation and has built our synagogue.” 
LKA.7.6	So Jesus went with them.
LKA.7.6	He was not far from the house when the centurion sent friends to say to him: “Lord, donʼt trouble yourself, for I do not deserve to have you come under my roof. 
LKA.7.7	That is why I did not even consider myself worthy to come to you. But say the word, and my servant will be healed. 
LKA.7.8	For I myself am a man under authority, with soldiers under me. I tell this one, ‘Go,’ and he goes; and that one, ‘Come,’ and he comes. I say to my servant, ‘Do this,’ and he does it.”
LKA.7.9	When Jesus heard this, he was amazed at him, and turning to the crowd following him, he said, 
LKA.7.10	Then the men who had been sent returned to the house and found the servant well.
LKA.7.11	Soon afterward, Jesus went to a town called Nain, and his disciples and a large crowd went along with him. 
LKA.7.12	As he approached the town gate, a dead person was being carried out — the only son of his mother, and she was a widow. And a large crowd from the town was with her. 
LKA.7.13	When the Lord saw her, his heart went out to her and he said, 
LKA.7.14	Then he went up and touched the bier they were carrying him on, and the bearers stood still. He said, 
LKA.7.15	The dead man sat up and began to talk, and Jesus gave him back to his mother.
LKA.7.16	They were all filled with awe and praised God. “A great prophet has appeared among us,” they said. “God has come to help his people.” 
LKA.7.17	This news about Jesus spread throughout Judea and the surrounding country.
LKA.7.18	Johnʼs disciples told him about all these things. Calling two of them, 
LKA.7.19	he sent them to the Lord to ask, “Are you the one who is to come, or should we expect someone else?”
LKA.7.20	When the men came to Jesus, they said, “John the Baptist sent us to you to ask, ‘Are you the one who is to come, or should we expect someone else?’ ”
LKA.7.21	At that very time Jesus cured many who had diseases, sicknesses and evil spirits, and gave sight to many who were blind. 
LKA.7.22	So he replied to the messengers, 
LKA.7.24	After Johnʼs messengers left, Jesus began to speak to the crowd about John: 
LKA.7.29	(All the people, even the tax collectors, when they heard Jesusʼ words, acknowledged that Godʼs way was right, because they had been baptized by John. 
LKA.7.30	But the Pharisees and the experts in the law rejected Godʼs purpose for themselves, because they had not been baptized by John.)
LKA.7.31	Jesus went on to say, 
LKA.7.36	When one of the Pharisees invited Jesus to have dinner with him, he went to the Phariseeʼs house and reclined at the table. 
LKA.7.37	A woman in that town who lived a sinful life learned that Jesus was eating at the Phariseeʼs house, so she came there with an alabaster jar of perfume. 
LKA.7.38	As she stood behind him at his feet weeping, she began to wet his feet with her tears. Then she wiped them with her hair, kissed them and poured perfume on them.
LKA.7.39	When the Pharisee who had invited him saw this, he said to himself, “If this man were a prophet, he would know who is touching him and what kind of woman she is — that she is a sinner.”
LKA.7.40	Jesus answered him, 
LKA.7.40	“Tell me, teacher,” he said.
LKA.7.43	Simon replied, “I suppose the one who had the bigger debt forgiven.”
LKA.7.44	Then he turned toward the woman and said to Simon, 
LKA.7.48	Then Jesus said to her, 
LKA.7.49	The other guests began to say among themselves, “Who is this who even forgives sins?”
LKA.7.50	Jesus said to the woman, 
LKA.8.1	After this, Jesus traveled about from one town and village to another, proclaiming the good news of the kingdom of God. The Twelve were with him, 
LKA.8.2	and also some women who had been cured of evil spirits and diseases: Mary (called Magdalene) from whom seven demons had come out; 
LKA.8.3	Joanna the wife of Chuza, the manager of Herodʼs household; Susanna; and many others. These women were helping to support them out of their own means.
LKA.8.4	While a large crowd was gathering and people were coming to Jesus from town after town, he told this parable: 
LKA.8.8	When he said this, he called out, 
LKA.8.9	His disciples asked him what this parable meant. 
LKA.8.10	He said, 
LKA.8.19	Now Jesusʼ mother and brothers came to see him, but they were not able to get near him because of the crowd. 
LKA.8.20	Someone told him, “Your mother and brothers are standing outside, wanting to see you.”
LKA.8.21	He replied, 
LKA.8.22	One day Jesus said to his disciples, 
LKA.8.23	As they sailed, he fell asleep. A squall came down on the lake, so that the boat was being swamped, and they were in great danger.
LKA.8.24	The disciples went and woke him, saying, “Master, Master, weʼre going to drown!”
LKA.8.24	He got up and rebuked the wind and the raging waters; the storm subsided, and all was calm. 
LKA.8.25	 he asked his disciples.
LKA.8.25	In fear and amazement they asked one another, “Who is this? He commands even the winds and the water, and they obey him.”
LKA.8.26	They sailed to the region of the Gerasenes,
LKA.8.27	When Jesus stepped ashore, he was met by a demon-possessed man from the town. For a long time this man had not worn clothes or lived in a house, but had lived in the tombs. 
LKA.8.28	When he saw Jesus, he cried out and fell at his feet, shouting at the top of his voice, “What do you want with me, Jesus, Son of the Most High God? I beg you, donʼt torture me!” 
LKA.8.29	For Jesus had commanded the impure spirit to come out of the man. Many times it had seized him, and though he was chained hand and foot and kept under guard, he had broken his chains and had been driven by the demon into solitary places.
LKA.8.30	Jesus asked him, 
LKA.8.30	“Legion,” he replied, because many demons had gone into him. 
LKA.8.31	And they begged Jesus repeatedly not to order them to go into the Abyss.
LKA.8.32	A large herd of pigs was feeding there on the hillside. The demons begged Jesus to let them go into the pigs, and he gave them permission. 
LKA.8.33	When the demons came out of the man, they went into the pigs, and the herd rushed down the steep bank into the lake and was drowned.
LKA.8.34	When those tending the pigs saw what had happened, they ran off and reported this in the town and countryside, 
