GEN.1.1	 In the beginning God created heaven and earth.
GEN.3.6	 The woman saw that the tree had fruit that was good to eat, nice to look at, and desirable for making someone wise. So she took some of the fruit and ate it. She also gave some to her husband, who was with her, and he ate it.
GEN.3.7	 Then their eyes were opened, and they both realized that they were naked. They sewed fig leaves together and made clothes for themselves.
GEN.3.8	 In the cool of the evening, the man and his wife heard the L
GEN.3.9	 The L
GEN.3.10	 He answered, “I heard you in the garden. I was afraid because I was naked, so I hid.”
GEN.3.11	 God asked, “Who told you that you were naked? Did you eat fruit from the tree I commanded you not to eat from?”
GEN.3.12	 The man answered, “That woman, the one you gave me, gave me some fruit from the tree, and I ate it.”
GEN.3.13	 Then the L
GEN.3.13	“The snake deceived me, and I ate,” the woman answered.
GEN.3.14	 So the L
GEN.3.14	You are cursed more than all the wild or domestic animals.
GEN.3.14	You will crawl on your belly.
GEN.3.14	You will be the lowest of animals as long as you live.
GEN.3.15	 I will make you and the woman hostile toward each other.
GEN.3.15	I will make your descendants
GEN.3.15	and her descendant hostile toward each other.
GEN.3.15	He will crush your head,
GEN.3.15	and you will bruise his heel.”
GEN.3.16	 He said to the woman,
GEN.3.16	“I will increase your pain and your labor
GEN.3.16	when you give birth to children.
GEN.3.16	Yet, you will long for your husband,
GEN.3.16	and he will rule you.”
GEN.3.17	 Then he said to the man, “You listened to your wife and ate fruit from the tree, although I commanded you, ‘You must never eat its fruit.’
GEN.3.17	The ground is cursed because of you.
GEN.3.17	Through hard work you will eat ⌊food that comes⌋ from it
GEN.3.17	every day of your life.
GEN.3.18	 The ground will grow thorns and thistles for you,
GEN.3.18	and you will eat wild plants.
GEN.3.19	 By the sweat of your brow, you will produce food to eat
GEN.3.19	until you return to the ground,
GEN.3.19	because you were taken from it.
GEN.3.19	You are dust, and you will return to dust.”
GEN.3.20	 Adam named his wife Eve [Life] because she became the mother of every living person.
GEN.3.21	 The L
GEN.3.22	 Then the L
GEN.3.23	 So the L
GEN.3.24	 After he sent the man out, God placed angels 
GEN.4.1	 Adam made love to his wife Eve. She became pregnant and gave birth to Cain. She said, “I have gotten the man that the L
GEN.4.2	 Then she gave birth to another child, Abel, Cain’s brother. Abel was a shepherd, and Cain was a farmer.
GEN.4.3	 Later Cain brought some crops from the land as an offering to the L
GEN.4.4	 Abel also brought some choice parts of the firstborn animals from his flock. The L
GEN.4.5	 but he didn’t approve of Cain and his offering. So Cain became very angry and was disappointed. 
GEN.4.6	 Then the L
GEN.4.7	 If you do well, won’t you be accepted? But if you don’t do well, sin is lying outside your door ready to attack. It wants to control you, but you must master it.”
GEN.4.8	 Cain talked to his brother Abel. Later, when they were in the fields, Cain attacked his brother Abel and killed him.
GEN.4.9	 The L
GEN.4.9	“I don’t know,” he answered. “Am I supposed to take care of my brother?”
GEN.4.10	 The L
GEN.4.11	 So now you are cursed from the ground, which has received the blood of your brother whom you killed. 
GEN.4.12	 When you farm the ground, it will no longer yield its best for you. You will be a fugitive, a wanderer on the earth.”
GEN.4.13	 But Cain said to the L
GEN.4.14	 You have forced me off this land today. I have to hide from you and become a fugitive, a wanderer on the earth. Now anyone who finds me will kill me!”
GEN.4.15	 So the L
GEN.4.16	 Then Cain left the L
GEN.4.17	 Cain made love to his wife. She became pregnant and gave birth to Enoch. Cain was building a city, and he named it Enoch after his son. 
GEN.4.18	 To Enoch was born Irad. Irad was the father of Mehujael. Mehujael was the father of Methushael. And Methushael was the father of Lamech.
GEN.4.19	 Lamech married two women, one named Adah and the other Zillah. 
GEN.4.20	 Adah gave birth to Jabal. He was the first person to live in tents and have livestock. 
GEN.4.21	 His brother’s name was Jubal. He was the first person to play the harp and the flute. 
GEN.4.22	 Zillah also had a son, Tubalcain, who made bronze and iron tools. Tubalcain’s sister was Naamah.
GEN.4.23	 Lamech said to his wives,
GEN.4.23	“Adah and Zillah, listen to me!
GEN.4.23	Wives of Lamech, hear what I say!
GEN.4.23	I killed a man for bruising me,
GEN.4.23	a young man for wounding me.
GEN.4.24	 If Cain is avenged 7 times,
GEN.4.24	then Lamech, 77 times.”
GEN.4.25	 Adam made love to his wife again. She gave birth to a son and named him Seth, because ⌊she said,⌋ “God has given 
GEN.4.26	 A son was also born to Seth, and he named him Enosh. At that time people began to worship the L
GEN.5.1	 This is the written account of Adam and his descendants.
GEN.5.1	When God created humans,
GEN.5.1	he made them in the likeness of God.
GEN.5.2	 He created them male and female.
GEN.5.2	He blessed them and called them humans
GEN.5.2	when he created them.
GEN.5.3	 When Adam was 130 years old, he became the father ⌊of a son⌋ in his own likeness, in his own image. He named him Seth. 
GEN.5.4	 After Adam became the father of Seth, he lived 800 years and had other sons and daughters. 
GEN.5.5	 Adam lived a total of 930 years; then he died.
GEN.5.6	 When Seth was 105 years old, he became the father of Enosh. 
GEN.5.7	 After he became the father of Enosh, Seth lived 807 years and had other sons and daughters. 
GEN.5.8	 Seth lived a total of 912 years; then he died.
GEN.5.9	 When Enosh was 90 years old, he became the father of Kenan. 
GEN.5.10	 After he became the father of Kenan, Enosh lived 815 years and had other sons and daughters. 
GEN.5.11	 Enosh lived a total of 905 years; then he died.
GEN.5.12	 When Kenan was 70 years old, he became the father of Mahalalel. 
GEN.5.13	 After he became the father of Mahalalel, Kenan lived 840 years and had other sons and daughters. 
GEN.5.14	 Kenan lived a total of 910 years; then he died.
GEN.5.15	 When Mahalalel was 65 years old, he became the father of Jared. 
GEN.5.16	 After he became the father of Jared, Mahalalel lived 830 years and had other sons and daughters. 
GEN.5.17	 Mahalalel lived a total of 895 years; then he died.
GEN.5.18	 When Jared was 162 years old, he became the father of Enoch. 
GEN.5.19	 After he became the father of Enoch, Jared lived 800 years and had other sons and daughters. 
GEN.5.20	 Jared lived a total of 962 years; then he died.
GEN.5.21	 When Enoch was 65 years old, he became the father of Methuselah. 
GEN.5.22	 After he became the father of Methuselah, Enoch walked with God for 300 years and had other sons and daughters. 
GEN.5.23	 Enoch lived a total of 365 years. 
GEN.5.24	 Enoch walked with God; then he was gone because God took him.
GEN.5.25	 When Methuselah was 187 years old, he became the father of Lamech. 
GEN.5.26	 After he became the father of Lamech, Methuselah lived 782 years and had other sons and daughters. 
GEN.5.27	 Methuselah lived a total of 969 years; then he died.
GEN.5.28	 When Lamech was 182 years old, he became the father of a son. 
GEN.5.29	 He named him Noah [Relief], and said, “This child will bring us relief from the work and painful labor of our hands since the L
GEN.5.30	 After Lamech became the father of Noah, he lived 595 years and had other sons and daughters. 
GEN.5.31	 Lamech lived a total of 777 years; then he died.
GEN.5.32	 When Noah was 500 years old, he became the father of Shem, Ham, and Japheth.
GEN.6.1	 The number of people increased all over the earth, and daughters were born to them. 
GEN.6.2	 The sons of God saw that the daughters of other humans were beautiful. So they married any woman they chose.
GEN.6.3	 Then the L
GEN.6.4	 The Nephilim were on the earth in those days, as well as later, when the sons of God slept with the daughters of other humans and had children by them. These children were famous long ago.
GEN.6.5	 The L
GEN.6.6	 The L
GEN.6.7	 So he said, “I will wipe off the face of the earth these humans that I created. I will wipe out not only humans, but also domestic animals, crawling animals, and birds. I’m sorry that I made them.” 
GEN.6.8	 But the L
GEN.6.9	 This is the account of Noah and his de scendants.
GEN.6.9	Noah had God’s approval and was a man of integrity among the people of his time. He walked with God. 
GEN.6.10	 He had three sons: Shem, Ham, and Japheth.
GEN.6.11	 The world was corrupt in God’s sight and full of violence. 
GEN.6.12	 God saw the world and how corrupt it was because all people on earth lived evil lives.
GEN.6.13	 God said to Noah, “I have decided to put an end to all people because the earth is full of their violence. Now I’m going to destroy them along with the earth. 
GEN.6.14	 Make yourself a ship of cypress wood. 
GEN.6.15	 This is how you should build it: the ship is to be 450 feet long, 75 feet wide, and 45 feet high. 
GEN.6.16	 Make a roof for the ship, and leave an 18-inch-high opening at the top.
GEN.6.17	 I’m about to send a flood on the earth to destroy all people under the sky—every living, breathing human. Everything on earth will die.
GEN.6.18	 “But I will make my promise 
GEN.6.19	 Bring two of every living creature into the ship in order to keep them alive with you. They must be male and female. 
GEN.6.20	 Two of every type of bird, every type of domestic animal, and every type of creature that crawls on the ground will come to you to be kept alive. 
GEN.6.21	 Take every kind of food that can be eaten and store it. It will be food for you and the animals.”
GEN.6.22	 Noah did this. He did everything that God had commanded him.
GEN.7.1	 The L
GEN.7.2	 Take with you seven pairs of every kind of clean animal (a male and a female of each) and one pair of every kind of unclean 
GEN.7.3	 Also, take seven pairs of every kind of bird (a male and a female of each) to preserve animal life all over the earth after the flood. 
GEN.7.4	 In seven days I will send rain to the earth for 40 days and 40 nights. I will wipe off the face of the earth every living creature that I have made.”
GEN.7.5	 So Noah did everything that the L
GEN.7.6	 Noah was 600 years old when the flood came to the earth. 
GEN.7.7	 Noah, his sons, his wife, and his sons’ wives went into the ship to escape the floodwaters. 
GEN.7.8	 Clean and unclean animals, birds, and creatures that crawl on the ground 
GEN.7.9	 came to Noah to go into the ship in pairs (a male and female of each) as God had commanded Noah.
GEN.7.10	 Seven days later the flood came on the earth. 
GEN.7.11	 On the seventeenth day of the second month of the six hundredth year of Noah’s life, all the deep springs burst open. The sky opened, 
GEN.7.12	 and rain came pouring down on the earth for 40 days and 40 nights.
GEN.7.13	 On that same day Noah and his sons Shem, Ham, and Japheth, as well as Noah’s wife and his three daughters-in-law went into the ship. 
GEN.7.14	 They had with them every type of wild animal, every type of domestic animal, every type of creature that crawls on the earth, and every type of bird (every creature with wings). 
GEN.7.15	 A pair of every living, breathing animal came to Noah to go into the ship. 
GEN.7.16	 A male and a female of every animal went in as God had commanded Noah. Then the L
GEN.7.17	 The flood continued for 40 days on the earth. The water increased and lifted the ship so that it rose high above the ground. 
GEN.7.18	 As the water rose and became very deep, the ship floated on top of the water. 
GEN.7.19	 The water rose very high above the earth. It covered all the high mountains everywhere under the sky. 
GEN.7.20	 It rose 23 feet above the mountaintops.
GEN.7.21	 Every creature that crawls on the earth died, including birds, domestic and wild animals, and everything that swarms over the earth, along with every human. 
GEN.7.22	 Everything on dry land (every living, breathing creature) died. 
GEN.7.23	 Every living creature on the face of the earth was wiped out. Humans, domestic animals, crawling creatures, and birds were wiped off the earth. Only Noah and those with him in the ship were left.
GEN.7.24	 The floodwaters were on the earth for 150 days.
GEN.8.1	 God remembered Noah and all the wild and domestic animals with him in the ship. So God made a wind blow over the earth, and the water started to go down. 
GEN.8.2	 The deep springs and the sky had been shut, and the rain had stopped pouring. 
GEN.8.3	 The water began to recede from the land. At the end of 150 days the water had decreased. 
GEN.8.4	 On the seventeenth day of the seventh month, the ship came to rest in the mountains of Ararat. 
GEN.8.5	 The water kept decreasing until the tenth month. On the first day of the tenth month, the tops of the mountains appeared.
GEN.8.6	 After 40 more days Noah opened the window he had made in the ship 
GEN.8.7	 and sent out a raven. It kept flying back and forth until the water on the land had dried up. 
GEN.8.8	 Next, he sent out a dove to see if the water was gone from the surface of the ground. 
GEN.8.9	 The dove couldn’t find a place to land because the water was still all over the earth. So it came back to Noah in the ship. He reached out and brought the dove back into the ship. 
GEN.8.10	 He waited seven more days and again sent the dove out of the ship. 
GEN.8.11	 The dove came to him in the evening, and in its beak was a freshly plucked olive leaf. Then Noah knew that the water was gone from the earth. 
GEN.8.12	 He waited seven more days and sent out the dove again, but it never came back to him.
GEN.8.13	 By the first day of the first month of Noah’s six hundred and first year, the water on the land had dried up. Noah opened the top of the ship, looked out, and saw the surface of the ground. 
GEN.8.14	 By the twenty-seventh day of the second month the land was dry.
GEN.8.15	 Then God spoke to Noah, 
GEN.8.16	 “Come out of the ship with your wife, your sons, and your sons’ wives. 
GEN.8.17	 Bring out every animal that’s with you: birds, domestic animals, and every creature that crawls on the earth. Be fertile, increase in number, and spread over the earth.”
GEN.8.18	 So Noah came out with his sons, his wife, and his sons’ wives. 
GEN.8.19	 Every animal, crawling creature, and bird—everything that moves on the earth—came out of the ship, one kind after another.
GEN.8.20	 Noah built an altar to the L
GEN.8.21	 The L
GEN.8.22	 As long as the earth exists,
GEN.8.22	planting and harvesting,
GEN.8.22	cold and heat,
GEN.8.22	summer and winter,
GEN.8.22	day and night
GEN.8.22	will never stop.”
GEN.9.1	 God blessed Noah and his sons and said to them, “Be fertile, increase in number, and fill the earth. 
GEN.9.2	 All the wild animals and all the birds will fear you and be terrified of you. Every creature that crawls on the ground and all the fish in the sea have been put under your control. 
GEN.9.3	 Everything that lives and moves will be your food. I gave you green plants as food; I now give you everything else.
GEN.9.4	 “But you are not to eat meat with blood in it. (Blood is life.) 
GEN.9.5	 In addition, I will demand your blood for your life. I will demand it from any animal or from any person. I will demand the life of any person ⌊who kills⌋ another person.
GEN.9.6	 Whoever sheds human blood,
GEN.9.6	by humans his blood will be shed,
GEN.9.6	because in the image of God, God made humans.
GEN.9.7	 Be fertile, and increase in number. Spread over the earth, and increase.”
GEN.9.8	 God also said to Noah and his sons, 
GEN.9.9	 “I am going to make my promise 
GEN.9.10	 and every living being that is with you—birds, domestic animals, and all the wild animals, all those that came out of the ship—every living thing on earth. 
GEN.9.11	 I am making my promise to you. Never again will all life be killed by floodwaters. Never again will there be a flood that destroys the earth.”
GEN.9.12	 God said, “This is the sign of the promise I am giving to you and every living being that is with you for generations to come. 
GEN.9.13	 I will put my rainbow in the clouds to be a sign of my promise to the earth. 
GEN.9.14	 Whenever I form clouds over the earth, a rainbow will appear in the clouds. 
GEN.9.15	 Then I will remember my promise to you and every living animal. Never again will water become a flood to destroy all life. 
GEN.9.16	 Whenever the rainbow appears in the clouds, I will see it and remember my everlasting promise to every living animal on earth.”
GEN.9.17	 So God said to Noah, “This is the sign of the promise I am making to all life on earth.”
GEN.9.18	 Noah’s sons, who came out of the ship, were Shem, Ham, and Japheth. 
GEN.9.19	 These were Noah’s three sons. From them the whole earth was populated. Ham was the father of Canaan.
GEN.9.20	 Noah, a farmer, was the first person to plant a vineyard. 
GEN.9.21	 He drank some wine, got drunk, and lay naked inside his tent. 
GEN.9.22	 Ham, father of Canaan, saw his father naked. So he went outside and told his two brothers.
GEN.9.23	 Shem and Japheth took a blanket and laid it over their shoulders. Then they walked in backwards and covered their father’s naked body. They turned their faces away so that they didn’t see their father naked.
GEN.9.24	 When Noah sobered up, he found out what his youngest son had done to him. 
GEN.9.25	 So he said,
GEN.9.25	“Canaan is cursed!
GEN.9.25	He will be the lowest slave to his brothers.
GEN.9.26	 Praise the L
GEN.9.26	Canaan will be his slave.
GEN.9.27	 May God expand the territory of Japheth.
GEN.9.27	May he live in the tents of Shem.
GEN.9.27	Canaan will be his slave.”
GEN.9.28	 Noah lived 350 years after the flood. 
GEN.9.29	 Noah lived a total of 950 years; then he died.
GEN.10.1	 This is the account of Noah’s sons Shem, Ham, and Japheth, and their descendants. Shem, Ham and Japheth had children after the flood.
GEN.10.2	 Japheth’s descendants were
GEN.10.2	Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.
GEN.10.3	 Gomer’s descendants were
GEN.10.3	Ashkenaz, Riphath, and Togarmah.
GEN.10.4	 Javan’s descendants were
GEN.10.4	the people from Elishah, Tarshish, Cyprus, and Rhodes.
GEN.10.5	 From these descendants the people of the coastlands spread into their own countries. Each nation had its own language and families.
GEN.10.6	 Ham’s descendants were
GEN.10.6	Cush, Egypt, Put, and Canaan.
GEN.10.7	 Cush’s descendants were
GEN.10.7	Seba, Havilah, Sabtah, Raamah,
GEN.10.7	and Sabteca.
GEN.10.7	Raamah’s descendants were
GEN.10.7	Sheba and Dedan.
GEN.10.8	 Cush was the father of Nimrod, the first mighty warrior on the earth. 
GEN.10.9	 He was a mighty hunter whom the L
GEN.10.10	 The first ⌊cities⌋ in his kingdom were Babylon, Erech, Accad, and Calneh in Shinar [Babylonia]. 
GEN.10.11	 He went from that land to Assyria and built Nineveh, Rehoboth Ir, Calah, 
GEN.10.12	 and Resen, the great city between Nineveh and Calah.
GEN.10.13	 Egypt was the ancestor of
GEN.10.13	the Ludites, Anamites, Lehabites, Naphtuhites, 14 Pathrusites, Casluhites (from whom the Philistines came), and the Caphtorites.
GEN.10.15	 Canaan was the father of
GEN.10.15	Sidon his firstborn, then Heth, 
GEN.10.16	 also the Jebusites, the Amorites, the Girgashites, 
GEN.10.17	 the Hivites, the Arkites, the Sinites, 
GEN.10.18	 the Arvadites, the Zemarites, and the Hamathites.
GEN.10.18	Later the Canaanite families scattered. 
GEN.10.19	 The border of the Canaanites extended from Sidon toward Gerar as far as Gaza and then toward Sodom, Gomorrah, Admah, and Zeboiim as far as Lasha.
GEN.10.20	 These were Ham’s descendants by families and languages within their countries and nations.
GEN.10.21	 Shem, Japheth’s older brother, also had children. ⌊Shem was⌋ the ancestor of all the sons of Eber.
GEN.10.22	 Shem’s descendants were
GEN.10.22	Elam, Asshur, Arpachshad, Lud, and Aram.
GEN.10.23	 Aram’s descendants were
GEN.10.23	Uz, Hul, Gether, and Mash.
GEN.10.24	 Arpachshad was the father of Shelah,
GEN.10.24	and Shelah was the father of Eber.
GEN.10.25	 Two sons were born to Eber.
GEN.10.25	The name of the one was Peleg [Division], because in his day the earth was divided.
GEN.10.25	His brother’s name was Joktan.
GEN.10.26	 Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	 Hadoram, Uzal, Diklah, 
GEN.10.28	 Obal, Abimael, Sheba, 
GEN.10.29	 Ophir, Havilah, and Jobab. These were Joktan’s sons. 
GEN.10.30	 The region where they lived extended from Mesha toward Sephar in the eastern mountains.
GEN.10.31	 These were Shem’s descendants by families and languages within their countries according to their nations.
GEN.10.32	 These were the families of Noah’s sons listed by their genealogies, nation by nation. From these ⌊descendants⌋ the nations spread over the earth after the flood.
GEN.11.1	 The whole world had one language with a common vocabulary. 
GEN.11.2	 As people moved toward the east,
GEN.11.3	 They said to one another, “Let’s make bricks and bake them thoroughly.” They used bricks as stones and tar 
GEN.11.4	 Then they said, “Let’s build a city for ourselves and a tower with its top in the sky. Let’s make a name for ourselves so that we won’t become scattered all over the face of the earth.”
GEN.11.5	 The L
GEN.11.6	 The L
GEN.11.7	 Let us go down there and mix up their language so that they won’t understand each other.”
GEN.11.8	 So the L
GEN.11.9	 This is why it was named Babel, because there the L
GEN.11.10	 This is the account of Shem and his descendants. Two years after the flood when Shem was 100 years old, he became the father of Arpachshad. 
GEN.11.11	 After he became the father of Arpachshad, Shem lived 500 years and had other sons and daughters.
GEN.11.12	 Arpachshad was 35 years old when he became the father of Shelah. 
GEN.11.13	 After he became the father of Shelah, Arpachshad lived 403 years and had other sons and daughters.
GEN.11.14	 Shelah was 30 years old when he became the father of Eber. 
GEN.11.15	 After he became the father of Eber, Shelah lived 403 years and had other sons and daughters.
GEN.11.16	 Eber was 34 years old when he became the father of Peleg. 
GEN.11.17	 After he became the father of Peleg, Eber lived 430 years and had other sons and daughters.
GEN.11.18	 Peleg was 30 years old when he became the father of Reu. 
GEN.11.19	 After he became the father of Reu, Peleg lived 209 years and had other sons and daughters.
GEN.11.20	 Reu was 32 years old when he became the father of Serug. 
GEN.11.21	 After he became the father of Serug, Reu lived 207 years and had other sons and daughters.
GEN.11.22	 Serug was 30 years old when he became the father of Nahor. 
GEN.11.23	 After he became the father of Nahor, Serug lived 200 years and had other sons and daughters.
GEN.11.24	 Nahor was 29 years old when he became the father of Terah. 
GEN.11.25	 After he became the father of Terah, Nahor lived 119 years and had other sons and daughters.
GEN.11.26	 Terah was 70 years old when he became the father of Abram, Nahor, and Haran.
GEN.11.27	 This is the account of Terah and his descendants. Terah was the father of Abram, Nahor, and Haran. Haran was the father of Lot. 
GEN.11.28	 While his father Terah was still alive, Haran died in Ur of the Chaldeans, his native land. 
GEN.11.29	 Both Abram and Nahor married. The name of Abram’s wife was Sarai, and the name of Nahor’s wife was Milcah, daughter of Haran. (Haran was the father of Milcah and Iscah.) 
GEN.11.30	 Sarai was not able to have children.
GEN.11.31	 Terah took his son Abram, his grandson Lot (son of Haran), and his daughter-in-law Sarai, wife of his son Abram. They set out together from Ur of the Chaldeans to go to Canaan. When they came as far as Haran, they stayed there. 
GEN.11.32	 Terah lived 205 years and died in Haran.
GEN.12.1	 The L
GEN.12.1	“Leave your land,
GEN.12.1	your relatives,
GEN.12.1	and your father’s home.
GEN.12.1	Go to the land that I will show you.
GEN.12.2	 I will make you a great nation,
GEN.12.2	I will bless you.
GEN.12.2	I will make your name great,
GEN.12.2	and you will be a blessing.
GEN.12.3	 I will bless those who bless you,
GEN.12.3	and whoever curses you, I will curse.
GEN.12.3	Through you every family on earth will be blessed.”
GEN.12.4	 So Abram left, as the L
GEN.12.5	 Abram set out for Canaan. He took along his wife Sarai, his nephew Lot, and all the possessions they had accumulated and the servants they had acquired in Haran.
GEN.12.6	 They arrived in Canaan,
GEN.12.7	 Then the L
GEN.12.8	 He moved on to the hills east of Bethel, and he put up his tent—with Bethel on the west and Ai on the east. He also built an altar to the L
GEN.12.9	 Abram kept moving toward the Negev.
GEN.12.10	 There was a famine in the land. Abram went to Egypt to stay awhile because the famine was severe. 
GEN.12.11	 When he was about to enter Egypt, Abram said to his wife Sarai, “I know that you’re a beautiful woman. 
GEN.12.12	 When the Egyptians see you, they’ll say, ‘This is his wife!’ Then they’ll kill me but let you live. 
GEN.12.13	 Please say that you’re my sister. Then everything will be alright for me, and because of you I will live.”
GEN.12.14	 When Abram arrived in Egypt, the Egyptians saw how very beautiful his wife was. 
GEN.12.15	 When Pharaoh’s officials saw her, they raved about her to Pharaoh, so Sarai was taken to Pharaoh’s palace. 
GEN.12.16	 Everything went well for Abram because of her, and he was given sheep, cattle, donkeys, male and female slaves, and camels.
GEN.12.17	 However, the L
GEN.12.18	 Then Pharaoh called for Abram. “What have you done to me?” he asked. “Why didn’t you tell me that she’s your wife? 
GEN.12.19	 Why did you say, ‘She’s my sister’ and allow me to take her for my wife? Here’s your wife! Take her and go!” 
GEN.12.20	 Pharaoh gave his men orders concerning Abram. They sent Abram away with his wife and everything that he had.
GEN.13.1	 Abram left Egypt with his wife and everything he had and went to the Negev. Lot was with him. 
GEN.13.2	 Abram was very rich because he had livestock, silver, and gold. 
GEN.13.3	 He traveled from place to place. He went from the Negev as far as Bethel, to the area between Bethel and Ai where his tent had been originally, 
GEN.13.4	 where he had first made an altar. There Abram worshiped the L
GEN.13.5	 Lot, who had been traveling with Abram, also had his own sheep, cattle, and tents. 
GEN.13.6	 There wasn’t enough pastureland for both of them. They had so many possessions that they were unable to remain together. 
GEN.13.7	 Quarrels broke out between Abram’s herders and Lot’s herders. (Canaanites and Perizzites were also living in that area.)
GEN.13.8	 Abram said to Lot, “Please, let’s not have any more quarrels between us or between our herders. After all, we’re relatives. 
GEN.13.9	 Isn’t all this land yours also? Let’s separate. If you go to the left, I’ll go to the right, and if you go to the right, I’ll go to the left.” 
GEN.13.10	 Then Lot looked in the direction of Zoar as far as he could see. He saw that the whole Jordan Plain was well-watered like the L
GEN.13.11	 Lot chose the whole Jordan Plain for himself. He moved toward the east. They each went their own way. 
GEN.13.12	 Abram lived in Canaan, while Lot lived among the cities of the plain, moving his tents as far as Sodom.
GEN.13.13	 (The people who lived in Sodom were very wicked. They committed terrible sins against the L
GEN.13.14	 After Lot left, the L
GEN.13.15	 I will give all the land you see to you and to your descendants for an indefinite period of time. 
