GEN.1.1	In the beginning God created the heavens and the earth.
GEN.1.26	And God said, Let us make man in our image, after our likeness; and let them have dominion over the fish of the sea and over the fowl of the air and over the beasts and over all the earth and over every serpent that moves upon the earth.
GEN.1.27	So God created man in his own image, in the image of God created he him; male and female created he them.
GEN.1.28	And God blessed them, and God said unto them, Be fruitful and multiply and fill the earth and subdue it and have dominion over the fish of the sea and over the fowl of the air and over every beast that moves upon the earth.
GEN.1.29	And God said, Behold, I have given you every grass bearing seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed; to you it shall be for food.
GEN.1.30	And to every beast of the earth and to every fowl of the air and to every thing that moves upon the earth, in which there is a living soul, I have given all green grass for food; and it was so.
GEN.1.31	And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.
GEN.2.1	Thus the heavens and the earth were finished, and all the host of them.
GEN.2.2	And on the seventh day God finished his work which he had made, and he rested on the seventh day from all his work which he had made.
GEN.2.3	And God blessed the seventh day and sanctified it because in it he had rested from all his work which God created in perfection.
GEN.2.4	These are the origins of the heavens and of the earth when they were created, in the day that the 
GEN.2.5	and every plant of the field before it was in the earth and all the grass of the field before it grew, for the 
GEN.2.6	But there went up a mist from the earth and watered the whole face of the ground.
GEN.2.7	And the 
GEN.2.8	And the 
GEN.2.9	And out of the ground made the 
GEN.2.10	And a river went out of Eden to water the garden, and from there it was divided into four heads.
GEN.2.11	The name of the first is Pison; that is it which compasses the whole land of Havilah, where there is gold;
GEN.2.12	and the gold of that land is good; there is bdellium and the onyx stone.
GEN.2.13	And the name of the second river is Gihon; this is the same that compasses the whole land of Ethiopia.
GEN.2.14	And the name of the third river is Hiddekel; this is that which goes toward the east of Assyria. And the fourth river is Euphrates.
GEN.2.15	And the 
GEN.2.16	And the 
GEN.2.17	but of the tree of the knowledge of good and evil, thou shalt not eat of it; for in the day that thou dost eat of it thou shalt surely die.
GEN.2.18	And the 
GEN.2.19	And out of the ground the 
GEN.2.20	And the man gave names to every beast, and to the fowl of the heavens, and to every animal of the field; but for the man there was not found a help meet for him.
GEN.2.21	And the 
GEN.2.22	and the 
GEN.2.23	And the man said, This is now bone of my bones and flesh of my flesh; she shall be called Woman because she was taken out of Man.
GEN.2.24	Therefore shall a man leave his father and his mother and shall cleave unto his wife; and they shall be one flesh.
GEN.2.25	And they were both naked, the man and his wife, and were not ashamed.
GEN.3.1	Now the serpent was more astute than all the animals of the field which the 
GEN.3.2	And the woman answered unto the serpent, We may eat of the fruit of the trees of the garden;
GEN.3.3	but of the fruit of the tree which is in the midst of the garden, God has said, Ye shall not eat of it; neither shall ye touch it, lest ye die.
GEN.3.4	Then the serpent said unto the woman, Ye shall not surely die:
GEN.3.5	For God knows that in the day ye eat of it then your eyes shall be opened, and ye shall be as gods, knowing good and evil.
GEN.3.6	And when the woman saw that the tree was good for food, and that it was desirable to the eyes, and a tree of covetousness to understand, she took of its fruit and ate and gave also unto her husband with her; and he ate.
GEN.3.7	And the eyes of them both were opened, and they knew that they were naked; so they sewed fig leaves together and made themselves girdles.
GEN.3.8	And they heard the voice of the 
GEN.3.9	And the 
GEN.3.10	And he replied, I heard thy voice in the garden, and I was afraid because I was naked; and I hid myself.
GEN.3.11	And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, of which I commanded thee not to eat?
GEN.3.12	And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I ate.
GEN.3.13	Then the 
GEN.3.14	And the 
GEN.3.15	and I will put enmity between thee and the woman and between thy seed and her seed; that seed shall bruise thy head, and thou shalt bruise his heel.
GEN.3.16	Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth sons; and thy desire shall be to thy husband, and he shall rule over thee.
GEN.3.17	And unto Adam he said, Because thou hast hearkened unto the voice of thy wife and hast eaten of the tree of which I commanded thee, saying, Thou shalt not eat of it, cursed shall be the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;
GEN.3.18	thorns also and thistles shall it bring forth to thee; and thou shalt eat the grass of the field;
GEN.3.19	in the sweat of thy face shalt thou eat bread until thou return unto the ground; for out of it wast thou taken, for dust thou art, and unto dust shalt thou return.
GEN.3.20	And the man called his wife’s name Eve because she was the mother of all living.
GEN.3.21	Then the 
GEN.3.22	And the 
GEN.3.23	therefore the 
GEN.3.24	So he drove out the man; and he placed at the east of the garden of Eden Cherubim and a flaming sword which turned every way to keep the way of the tree of life.
GEN.4.1	And the man knew Eve his wife, and she conceived and bore Cain and said, I have gained a man by the 
GEN.4.2	And she again bore his brother Abel. And Abel was a pastor of sheep, but Cain was a tiller of the ground.
GEN.4.3	And in process of time it came to pass that Cain brought of the fruit of the ground a present unto the 
GEN.4.4	And Abel, he also brought of the firstborn of his flock and of the fat thereof. And the 
GEN.4.5	but he did not look upon Cain and his present. And Cain was very wroth, and his countenance fell.
GEN.4.6	Then the 
GEN.4.7	If thou doest good, it shall certainly be accepted; and if thou doest not good, sin lies at the door. And his desire shall be unto thee, but thou must rule over him.
GEN.4.8	And Cain talked with Abel his brother, and it came to pass when they were in the field, that Cain rose up against Abel his brother and slew him.
GEN.4.9	And the 
GEN.4.10	And he said, What hast thou done? The voice of thy brother’s blood cries unto me from the ground.
GEN.4.11	And now thou art cursed from the earth, which has opened her mouth to receive thy brother’s blood from thy hand;
GEN.4.12	when thou tillest the ground, from now on it shall not yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth.
GEN.4.13	And Cain said unto the 
GEN.4.14	Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I hide; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass that anyone that finds me shall slay me.
GEN.4.15	And the 
GEN.4.16	And Cain went out from the presence of the 
GEN.4.17	And Cain knew his wife, and she conceived and bore Enoch; and he built a city and called the name of the city after the name of his son, Enoch.
GEN.4.18	And unto Enoch was born Irad, and Irad begat Mehujael, and Mehujael begat Methusael, and Methusael begat Lamech.
GEN.4.19	And Lamech took unto him two wives; the name of the one was Adah, and the name of the other Zillah.
GEN.4.20	And Adah bore Jabal; he was the father of those who dwell in tents and of those who have cattle.
GEN.4.21	And his brother’s name was Jubal; he was the father of all those who play the harp and organ.
GEN.4.22	And Zillah also bore Tubalcain, an instructor of every artificer in brass and iron; and the sister of Tubalcain was Naamah.
GEN.4.23	And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech, for I shall slay a man for my wound and a young man for my hurt;
GEN.4.24	if Cain shall be avenged sevenfold, truly Lamech seventy times seven.
GEN.4.25	And Adam knew his wife again, and she bore a son and called his name Seth; for God, said she, has appointed me another seed instead of Abel, whom Cain slew.
GEN.4.26	And to Seth, to him also there was born a son; and he called his name Enos. Then men began to call upon the name of the 
GEN.5.1	This is the book of the descendants of Adam. In the day that God created man, he made him in the likeness of God;
GEN.5.2	male and female created he them and blessed them and called their name Man, in the day when they were created.
GEN.5.3	And Adam lived one hundred and thirty years and begat a son in his own likeness, after his image, and called his name Seth:
GEN.5.4	And the days of Adam after he had begotten Seth were eight hundred years, and he begat sons and daughters;
GEN.5.5	and all the days that Adam lived were nine hundred and thirty years, and he died.
GEN.5.6	And Seth lived one hundred and five years and begat Enos.
GEN.5.7	And Seth lived after he begat Enos eight hundred and seven years and begat sons and daughters;
GEN.5.8	and all the days of Seth were nine hundred and twelve years, and he died.
GEN.5.9	And Enos lived ninety years and begat Cainan,
GEN.5.10	and Enos lived after he begat Cainan eight hundred and fifteen years and begat sons and daughters;
GEN.5.11	and all the days of Enos were nine hundred and five years, and he died.
GEN.5.12	And Cainan lived seventy years and begat Mahalaleel;
GEN.5.13	and Cainan lived after he begat Mahalaleel eight hundred and forty years and begat sons and daughters;
GEN.5.14	and all the days of Cainan were nine hundred and ten years, and he died.
GEN.5.15	And Mahalaleel lived sixty-five years and begat Jared;
GEN.5.16	and Mahalaleel lived after he begat Jared eight hundred and thirty years and begat sons and daughters;
GEN.5.17	and all the days of Mahalaleel were eight hundred ninety-five years and he died.
GEN.5.18	And Jared lived one hundred sixty-two years and he begat Enoch;
GEN.5.19	and Jared lived after he begat Enoch eight hundred years and begat sons and daughters;
GEN.5.20	and all the days of Jared were nine hundred sixty-two years, and he died.
GEN.5.21	And Enoch lived sixty-five years and begat Methuselah;
GEN.5.22	And Enoch walked with God after he begat Methuselah three hundred years and begat sons and daughters;
GEN.5.23	and all the days of Enoch were three hundred sixty-five years.
GEN.5.24	And Enoch walked with God; and he was not, for God took him.
GEN.5.25	And Methuselah lived one hundred eighty-seven years, and begat Lamech;
GEN.5.26	and Methuselah lived after he begat Lamech seven hundred eighty-two years and begat sons and daughters;
GEN.5.27	and all the days of Methuselah were nine hundred sixty-nine years, and he died.
GEN.5.28	And Lamech lived one hundred eighty-two years and begat a son;
GEN.5.29	and he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands because of the ground which the 
GEN.5.30	And Lamech lived after he begat Noah five hundred ninety-five years and begat sons and daughters;
GEN.5.31	and all the days of Lamech were seven hundred seventy-seven years, and he died.
GEN.5.32	And Noah was five hundred years old; and Noah begat Shem, Ham, and Japheth.
GEN.6.1	And it came to pass, when men began to multiply on the face of the earth and daughters were born unto them,
GEN.6.2	that the sons of God saw that the daughters of men were fair, and they took for themselves wives of all whom they chose.
GEN.6.3	And the 
GEN.6.4	There were giants in the earth in those days, and also after that, when the sons of God came in unto the daughters of men, and they bore sons to them, the same became mighty men who were of old, men of renown.
GEN.6.5	And GOD saw that the wickedness of man was great in the earth and that every imagination of the thoughts of his heart was only evil continually.
GEN.6.6	And the 
GEN.6.7	And the 
GEN.6.8	But Noah found grace in the eyes of the 
GEN.6.9	These are the generations of Noah. Noah was a just man and perfect in his generations, and Noah walked with God.
GEN.6.10	And Noah begat three sons, Shem, Ham, and Japheth.
GEN.6.11	The earth corrupted itself before God, and the earth filled itself with violence.
GEN.6.12	And God looked upon the earth, and, behold, it was corrupt, for all flesh had corrupted its way upon the earth.
GEN.6.13	And God said unto Noah, The end of all flesh is come before me, for the earth is filled with violence through them; and, behold, I will destroy them with the earth.
GEN.6.14	Make thee an ark of cedar trees; rooms shalt thou make in the ark and shalt reconcile it within and without covering it over with pitch. {Heb. ransom or atonement}
GEN.6.15	And this is the fashion of which thou shalt make it: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.
GEN.6.16	A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it.
GEN.6.17	And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, in which is the spirit of life, from under heaven; and every thing that is in the earth shall die.
GEN.6.18	But with thee I will establish my covenant; and thou shalt come into the ark, thou and thy sons and thy wife and thy sons’ wives with thee.
GEN.6.19	And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female.
GEN.6.20	Of fowls after their kind and of beasts after their kind, of every animal of the earth after its kind, two of every sort shall come unto thee, to keep them alive.
GEN.6.21	And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee and for them.
GEN.6.22	Thus did Noah; according to all that God commanded him, so did he.
GEN.7.1	And the 
GEN.7.2	Of every clean animal thou shalt take to thee seven pairs, the male and his female; but of animals that are not clean, two, the male and his female.
GEN.7.3	Of fowls also of the heavens by seven pairs, the male and the female; to keep seed alive upon the face of all the earth.
GEN.7.4	For yet in seven days, I will cause it to rain upon the earth forty days and forty nights; and every substance that I have made I will destroy from off the face of the earth.
GEN.7.5	And Noah did according unto all that the 
GEN.7.6	And Noah was six hundred years old when the flood of waters was upon the earth.
GEN.7.7	And Noah went in and his sons and his wife and his sons’ wives with him into the ark because of the waters of the flood.
GEN.7.8	Of clean animals and of animals that are not clean and of fowls and of every thing that moves upon the earth,
GEN.7.9	there went in two by two unto Noah into the ark, the male and the female, as God had commanded Noah.
GEN.7.10	And it came to pass after seven days that the waters of the flood were upon the earth.
GEN.7.11	In the six hundredth year of Noah’s life in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of the heavens were opened.
GEN.7.12	And there was rain upon the earth forty days and forty nights.
GEN.7.13	In that same day Noah and Shem and Ham and Japheth, the sons of Noah, and Noah’s wife and the three wives of his sons with them entered into the ark,
GEN.7.14	they and every animal after its kind and all the beasts after their kind and every creeping thing that moves upon the earth after its kind and every fowl after its kind, every bird, every thing with wings.
GEN.7.15	And they went in unto Noah into the ark, two by two of all flesh in which is the spirit of life.
GEN.7.16	And those that went in went in male and female of all flesh, as God had commanded him, and the 
GEN.7.17	And the flood was forty days upon the earth, and the waters multiplied and bore up the ark, and it was lifted up above the earth.
GEN.7.18	And the waters prevailed and multiplied greatly upon the earth, and the ark went upon the face of the waters.
GEN.7.19	And the waters prevailed exceedingly upon the earth, and all the high mountains that were under all the heavens were covered.
GEN.7.20	Fifteen cubits upward did the waters prevail, and the mountains were covered.
GEN.7.21	And all flesh died that moved upon the earth, both of fowl and of beasts and of animals and of every creeping thing that creeps upon the earth and every man;
GEN.7.22	all in whose nostrils was the breath of the spirit of life of all that was in the dry land died.
GEN.7.23	And every substance was destroyed which was upon the face of the ground, both man and cattle and the animals and the fowl of the heaven; and they were destroyed from the earth, and only Noah remained alive and those that were with him in the ark.
GEN.7.24	And the waters prevailed upon the earth one hundred and fifty days.
GEN.8.1	And God remembered Noah, and every living thing, and all the animals that were with him in the ark; and God made a wind to pass over the earth, and the waters ceased;
GEN.8.2	the fountains also of the deep and the windows of the heavens were stopped, and the rain from heaven was restrained;
GEN.8.3	and the waters turned back and forth upon the earth, and after the end of the hundred and fifty days the waters were abated.
GEN.8.4	And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat.
GEN.8.5	And the waters decreased continually until the tenth month; in the tenth month, on the first day of the month, the tops of the mountains were seen.
GEN.8.6	And it came to pass at the end of forty days that Noah opened the window of the ark which he had made,
GEN.8.7	and he sent forth a raven, which went forth to and fro until the waters were dried up from off the earth.
GEN.8.8	Also he sent forth a dove from him to see if the waters were abated from off the face of the ground,
GEN.8.9	but the dove found no rest for the sole of her foot, and she returned unto him into the ark, for the waters were still upon the face of the whole earth. Then he put forth his hand and took her and pulled her in unto him into the ark.
GEN.8.10	And he waited yet another seven days, and again he sent forth the dove out of the ark,
GEN.8.11	and the dove came in to him in the evening, and, behold, in her mouth was an olive leaf plucked off, so Noah knew that the waters were abated from off the earth.
GEN.8.12	And he stayed yet other seven days and sent forth the dove, which returned not again unto him any more.
GEN.8.13	And it came to pass in the six hundredth and first year of Noah, in the first month, the first day of the month, the waters were dried up from off the earth, and Noah removed the covering of the ark and looked and, behold, the face of the ground was dry.
GEN.8.14	And in the second month, on the twenty-seventh day of the month, the earth was dried.
GEN.8.15	And God spoke unto Noah, saying,
GEN.8.16	Go forth from the ark, thou and thy wife and thy sons, and thy sons’ wives with thee.
GEN.8.17	Bring forth with thee every animal that is with thee, of all flesh, both of fowl and of beasts and of every creeping thing that moves upon the earth, that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth.
GEN.8.18	And Noah went forth and his sons and his wife and his sons’ wives with him;
GEN.8.19	all the animals, every creature and every fowl and whatever moves upon the earth after their kinds went forth out of the ark.
GEN.8.20	And Noah built an altar unto the 
GEN.8.21	And the 
GEN.8.22	While the earth remains, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease.
GEN.9.1	And God blessed Noah and his sons and said unto them, Be fruitful and multiply and fill the earth.
GEN.9.2	And the fear of you and the dread of you shall be upon every animal of the earth and upon every fowl of the heavens, upon all that moves upon the earth and upon all the fishes of the sea; into your hand they are delivered.
GEN.9.3	Every moving thing that lives shall be food for you; even as the green grass I have given you all things.
GEN.9.4	But flesh with the soul (or life) thereof, which is its blood, ye shall not eat.
GEN.9.5	For surely your blood which is your souls I will require; at the hand of every animal I will require it and at the hand of man; at the hand of every man’s brother I will require the soul (or life) of man.
GEN.9.6	Whoever sheds man’s blood in man, his blood shall be shed; for in the image of God is man made.
GEN.9.7	And you, be ye fruitful and multiply; bring forth abundantly in the earth and multiply therein.
GEN.9.8	And God spoke unto Noah and to his sons with him, saying,
GEN.9.9	Behold that I establish my covenant with you and with your seed after you
GEN.9.10	and with every living soul that is with you, of the fowl, of the animals, and of every beast of the earth with you, from all that go out of the ark to every animal of the earth,
GEN.9.11	that I will establish my covenant with you, that all flesh shall not be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth.
GEN.9.12	And God said, This is the sign of the covenant which I make between me and you and every living soul that is with you, for perpetual ages:
GEN.9.13	I set my bow in the clouds, and it shall be for a sign of a covenant between me and the earth.
GEN.9.14	And it shall come to pass when I bring clouds over the earth, that the bow shall appear in the clouds;
GEN.9.15	and I will remember my covenant, which is between me and you and every living soul of all flesh; and the waters shall no more become a flood to destroy all flesh.
GEN.9.16	And the bow shall be in the clouds, and I will look upon it that I may remember the everlasting covenant between God and every living soul of all flesh that is upon the earth.
GEN.9.17	And God said unto Noah, This shall be the sign of the covenant, which I have established between me and all flesh that is upon the earth.
GEN.9.18	And the sons of Noah, that went forth from the ark, were Shem, Ham, and Japheth; and Ham is the father of Canaan.
GEN.9.19	These are the three sons of Noah; and of them was the whole earth overspread.
GEN.9.20	And Noah began to till the ground, and he planted a vineyard;
GEN.9.21	and he drank of the wine and was drunken; and he was uncovered within his tent.
GEN.9.22	And Ham, the father of Canaan, saw the nakedness of his father and told his two brethren outside.
GEN.9.23	Then Shem and Japheth took a garment and laid it upon both their shoulders and went backward, and covered the nakedness of their father; and their faces were backward, and they did not see their father’s nakedness.
GEN.9.24	And Noah awoke from his wine and knew what his younger son had done unto him.
GEN.9.25	And he said, Cursed be Canaan; a slave of slaves shall he be unto his brethren.
GEN.9.26	And he said, Blessed be the 
GEN.9.27	God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his slave.
GEN.9.28	And Noah lived after the flood three hundred and fifty years.
GEN.9.29	And all the days of Noah were nine hundred and fifty years, and he died.
GEN.10.1	Now these are the generations of the sons of Noah: Shem, Ham, and Japheth; and unto them were born sons after the flood.
GEN.10.2	The sons of Japheth: Gomer and Magog and Madai and Javan and Tubal and Meshech and Tiras.
GEN.10.3	And the sons of Gomer: Ashkenaz and Riphath and Togarmah.
GEN.10.4	And the sons of Javan: Elishah and Tarshish, Kittim and Dodanim.
GEN.10.5	By these were the isles of the Gentiles divided in their lands, each one after his tongue, after their families, in their nations.
GEN.10.6	And the sons of Ham: Cush and Mizraim and Phut and Canaan.
GEN.10.7	And the sons of Cush: Seba and Havilah and Sabtah and Raamah and Sabtecha. And the sons of Raamah: Sheba and Dedan.
GEN.10.8	And Cush begat Nimrod. He began to be powerful in the earth.
GEN.10.9	He was a powerful hunter before the 
GEN.10.10	And the beginning of his kingdom was Babel and Erech and Accad and Calneh in the land of Shinar.
GEN.10.11	Out of that land went forth Asshur, who built Nineveh and the city Rehoboth and Calah
GEN.10.12	and Resen between Nineveh and Calah; the same is a great city.
GEN.10.13	And Mizraim begat Ludim and Anamim and Lehabim and Naphtuhim
GEN.10.14	and Pathrusim and Casluhim (out of whom came the Philistines) and Caphtorim.
GEN.10.15	And Canaan begat Sidon, his firstborn, and Heth
GEN.10.16	and Jebusite and Amorite and Girgasite
GEN.10.17	and Hivite and Arkite and Sinite
GEN.10.18	and Arvadite and Zemarite and Hamathite; and afterward were the families of the Canaanites spread abroad.
GEN.10.19	And the border of the Canaanites was from Sidon, as thou comest to Gerar unto Gaza, as thou goest, unto Sodom and Gomorrah and Admah and Zeboim, even unto Lasha.
GEN.10.20	These are the sons of Ham, after their families, after their tongues, in their countries, and in their nations.
GEN.10.21	Unto Shem also, the father of all the sons of Eber, the elder brother of Japheth, even to him were sons born.
GEN.10.22	The sons of Shem: Elam, Asshur, Arphaxad, Lud, and Aram.
GEN.10.23	And the sons of Aram: Uz, Hul, Gether, and Mash.
GEN.10.24	And Arphaxad begat Salah, and Salah begat Eber.
GEN.10.25	And unto Eber were born two sons; the name of one was Peleg, for in his days the earth was divided; and his brother’s name was Joktan.
GEN.10.26	And Joktan begat Almodad, Sheleph, Hazarmaveth, Jerah,
GEN.10.27	Hadoram, Uzal, Diklah,
GEN.10.28	Obal, Abimael, Sheba,
GEN.10.29	Ophir, Havilah, and Jobab; all these were the sons of Joktan.
GEN.10.30	And their dwelling was from Mesha as thou goest unto Sephar, mount of the east.
GEN.10.31	These are the sons of Shem, after their families, after their tongues, in their lands, after their nations.
GEN.10.32	These are the families of the sons of Noah, after their descendants, in their nations; and by these were the Gentiles divided in the earth after the flood.
GEN.11.1	And the whole earth was of one language and of one speech.
GEN.11.2	And it came to pass as they journeyed from the east that they found a plain in the land of Shinar; and they dwelt there.
GEN.11.3	And they said one to another, Go to, let us make brick and burn them thoroughly. And they had brick instead of stone and slime instead of mortar.
GEN.11.4	And they said, Go to, let us build us a city and a tower whose top may reach unto heaven; and let us make us a name, lest we be scattered abroad upon the face of the whole earth.
GEN.11.5	And the 
GEN.11.6	And the 
GEN.11.7	Now, let us go down and there confound their language that they may not understand one another’s speech.
GEN.11.8	So the 
GEN.11.9	Therefore the name of it was called Babel because there the 
GEN.11.10	These are the generations of Shem: Shem was one hundred years old and begat Arphaxad two years after the flood:
GEN.11.11	And Shem lived after he begat Arphaxad five hundred years and begat sons and daughters.
GEN.11.12	And Arphaxad lived thirty-five years and begat Salah;
GEN.11.13	and Arphaxad lived after he begat Salah four hundred and three years and begat sons and daughters.
GEN.11.14	And Salah lived thirty years and begat Eber;
GEN.11.15	and Salah lived after he begat Eber four hundred and three years and begat sons and daughters.
GEN.11.16	And Eber lived thirty-four years and begat Peleg;
GEN.11.17	and Eber lived after he begat Peleg four hundred and thirty years and begat sons and daughters.
GEN.11.18	And Peleg lived thirty years and begat Reu;
GEN.11.19	and Peleg lived after he begat Reu two hundred and nine years and begat sons and daughters.
GEN.11.20	And Reu lived thirty-two years and begat Serug;
GEN.11.21	and Reu lived after he begat Serug two hundred and seven years and begat sons and daughters.
GEN.11.22	And Serug lived thirty years and begat Nahor;
GEN.11.23	and Serug lived after he begat Nahor two hundred years and begat sons and daughters.
GEN.11.24	And Nahor lived twenty-nine years and begat Terah;
GEN.11.25	and Nahor lived after he begat Terah one hundred and nineteen years and begat sons and daughters.
GEN.11.26	And Terah lived seventy years and begat Abram, Nahor, and Haran.
GEN.11.27	Now these are the generations of Terah: Terah begat Abram, Nahor, and Haran; and Haran begat Lot.
GEN.11.28	And Haran died before his father Terah in the land of his nature, in Ur of the Chaldees.
GEN.11.29	And Abram and Nahor took wives for themselves; the name of Abram’s wife was Sarai, and the name of Nahor’s wife, Milcah, the daughter of Haran, the father of Milcah and the father of Iscah.
GEN.11.30	But Sarai was barren; she had no child.
GEN.11.31	And Terah took Abram, his son, and Lot, the son of Haran, his son’s son, and Sarai, his daughter-in-law, his son Abram’s wife, and they went forth with them from Ur of the Chaldees to go into the land of Canaan; and they came unto Haran and dwelt there.
GEN.11.32	And the days of Terah were two hundred and five years, and Terah died in Haran.
GEN.12.1	But the 
GEN.12.2	and I will make of thee a great nation, and I will bless thee and make thy name great; and thou shalt be a blessing.
GEN.12.3	And I will bless those that bless thee and curse those that curse thee, and in thee shall all families of the earth be blessed.
GEN.12.4	So Abram departed, as the 
GEN.12.5	And Abram took Sarai, his wife, and Lot, his brother’s son, and all their substance that they had gathered and the souls that they had gotten in Haran; and they went forth to go into the land of Canaan; and into the land of Canaan they came.
GEN.12.6	And Abram passed through the land unto the place of Sichem, unto the plain of Moreh. And the Canaanite was then in the land.
GEN.12.7	And the 
GEN.12.8	And he went from there unto a mountain on the east of Bethel and pitched his tent, having Bethel on the west and Hai on the east; and there he built an altar unto the 
GEN.12.9	And Abram journeyed, going on still toward the Negev (south desert).
GEN.12.10	And there was a famine in the land, and Abram went down into Egypt to sojourn there, for the famine was grievous in the land.
GEN.12.11	And it came to pass when he was come near to enter into Egypt that he said unto Sarai, his wife, Behold now, I know that thou art a fair woman to look upon;
GEN.12.12	therefore it shall come to pass, when the Egyptians shall see thee that they shall say, This is his wife, and they will kill me, but they will save thee alive.
GEN.12.13	Say, I pray thee, thou art my sister, that it may be well with me for thy sake; and my soul shall live because of thee.
GEN.12.14	And it came to pass that when Abram was come into Egypt, the Egyptians beheld the woman that she was very fair.
GEN.12.15	The princes also of Pharaoh saw her, and commended her before Pharaoh, and the woman was taken into Pharaoh’s house.
GEN.12.16	And he treated Abram well for her sake: and he had sheep and oxen and he asses and menslaves and maidslaves and she asses and camels.
GEN.12.17	But the 
GEN.12.18	And Pharaoh called Abram and said, What is this that thou hast done unto me? Why didst thou not tell me that she was thy wife?
GEN.12.19	Why didst thou say, She is my sister? I might have taken her to me to wife; now, therefore, behold thy wife, take her, and go away.
GEN.12.20	Then Pharaoh commanded his men concerning him; and they sent him away and his wife with all that he had.
GEN.13.1	Thus Abram went up out of Egypt, he and his wife and all that he had and Lot with him into the Negev.
GEN.13.2	And Abram was very rich in cattle, in silver, and in gold.
GEN.13.3	And he retraced his journeys from the side of the Negev even to Bethel, unto the place where his tent had been at the beginning, between Bethel and Hai,
GEN.13.4	unto the place of the altar, which he had made there at the first: and there Abram called on the name of the 
GEN.13.5	And Lot also, who went with Abram, had flocks and herds and tents.
GEN.13.6	And the land was not able to bear them that they might dwell together, for their substance was so great that they could not dwell together.
GEN.13.7	And there was a strife between the pastors of Abram’s cattle and the pastors of Lot’s cattle; and the Canaanite and the Perizzite dwelt then in the land.
GEN.13.8	Then Abram said unto Lot, Let there be no strife, I pray thee, between me and thee and between my pastors and thine, for we are brethren.
