GEN.1.1	In the beginning, when God created the universe,
GEN.11.12	When Arpachshad was 35 years old, he had a son, Shelah; 
GEN.11.13	after that, he lived another 403 years and had other children.
GEN.11.14	When Shelah was 30 years old, he had a son, Eber; 
GEN.11.15	after that, he lived another 403 years and had other children.
GEN.11.16	When Eber was 34 years old, he had a son, Peleg; 
GEN.11.17	after that, he lived another 430 years and had other children.
GEN.11.18	When Peleg was 30 years old, he had a son, Reu; 
GEN.11.19	after that, he lived another 209 years and had other children.
GEN.11.20	When Reu was 32 years old, he had a son, Serug; 
GEN.11.21	after that, he lived another 207 years and had other children.
GEN.11.22	When Serug was 30 years old, he had a son, Nahor; 
GEN.11.23	after that, he lived another 200 years and had other children.
GEN.11.24	When Nahor was 29 years old, he had a son, Terah; 
GEN.11.25	after that, he lived another 119 years and had other children.
GEN.11.26	After Terah was 70 years old, he became the father of Abram, Nahor, and Haran.
GEN.11.27	These are the descendants of Terah, who was the father of Abram, Nahor, and Haran. Haran was the father of Lot, 
GEN.11.28	and Haran died in his hometown of Ur in Babylonia, while his father was still living. 
GEN.11.29	Abram married Sarai, and Nahor married Milcah, the daughter of Haran, who was also the father of Iscah. 
GEN.11.30	Sarai was not able to have children.
GEN.11.31	Terah took his son Abram, his grandson Lot, who was the son of Haran, and his daughter-in-law Sarai, Abram's wife, and with them he left the city of Ur in Babylonia to go to the land of Canaan. They went as far as Haran and settled there. 
GEN.11.32	Terah died there at the age of 205.
GEN.12.2	I will give you many descendants, and they will become a great nation. I will bless you and make your name famous, so that you will be a blessing.
GEN.12.3	But I will curse those who curse you.
GEN.12.3	And through you I will bless all the nations.”
GEN.12.4	When Abram was seventy-five years old, he started out from Haran, as the 
GEN.12.5	Abram took his wife Sarai, his nephew Lot, and all the wealth and all the slaves they had acquired in Haran, and they started out for the land of Canaan.
GEN.12.5	When they arrived in Canaan, 
GEN.12.6	Abram traveled through the land until he came to the sacred tree of Moreh, the holy place at Shechem. (At that time the Canaanites were still living in the land.) 
GEN.12.7	 The 
GEN.12.8	After that, he moved on south to the hill country east of the city of Bethel and set up his camp between Bethel on the west and Ai on the east. There also he built an altar and worshiped the 
GEN.12.9	Then he moved on from place to place, going toward the southern part of Canaan.
GEN.12.10	But there was a famine in Canaan, and it was so bad that Abram went farther south to Egypt, to live there for a while. 
GEN.12.11	When he was about to cross the border into Egypt, he said to his wife Sarai, “You are a beautiful woman. 
GEN.12.12	When the Egyptians see you, they will assume that you are my wife, and so they will kill me and let you live. 
GEN.12.13	 Tell them that you are my sister; then because of you they will let me live and treat me well.” 
GEN.12.14	When he crossed the border into Egypt, the Egyptians did see that his wife was beautiful. 
GEN.12.15	Some of the court officials saw her and told the king how beautiful she was; so she was taken to his palace. 
GEN.12.16	Because of her the king treated Abram well and gave him flocks of sheep and goats, cattle, donkeys, slaves, and camels.
GEN.12.17	But because the king had taken Sarai, the 
GEN.12.18	Then the king sent for Abram and asked him, “What have you done to me? Why didn't you tell me that she was your wife? 
GEN.12.19	Why did you say that she was your sister, and let me take her as my wife? Here is your wife; take her and get out!” 
GEN.12.20	The king gave orders to his men, so they took Abram and put him out of the country, together with his wife and everything he owned.
GEN.13.1	Abram went north out of Egypt to the southern part of Canaan with his wife and everything he owned, and Lot went with him. 
GEN.13.2	Abram was a very rich man, with sheep, goats, and cattle, as well as silver and gold. 
GEN.13.3	Then he left there and moved from place to place, going toward Bethel. He reached the place between Bethel and Ai where he had camped before 
GEN.13.4	and had built an altar. There he worshiped the 
GEN.13.5	Lot also had sheep, goats, and cattle, as well as his own family and servants. 
GEN.13.6	And so there was not enough pasture land for the two of them to stay together, because they had too many animals. 
GEN.13.7	So quarrels broke out between the men who took care of Abram's animals and those who took care of Lot's animals. (At that time the Canaanites and the Perizzites were still living in the land.)
GEN.13.8	Then Abram said to Lot, “We are relatives, and your men and my men shouldn't be quarreling. 
GEN.13.9	So let's separate. Choose any part of the land you want. You go one way, and I'll go the other.”
GEN.13.11	So Lot chose the whole Jordan Valley for himself and moved away toward the east. That is how the two men parted. 
GEN.13.12	Abram stayed in the land of Canaan, and Lot settled among the cities in the valley and camped near Sodom, 
GEN.13.13	whose people were wicked and sinned against the 
GEN.13.14	After Lot had left, the 
GEN.13.15	 I am going to give you and your descendants all the land that you see, and it will be yours forever. 
GEN.13.16	I am going to give you so many descendants that no one will be able to count them all; it would be as easy to count all the specks of dust on earth! 
GEN.13.17	Now, go and look over the whole land, because I am going to give it all to you.” 
GEN.13.18	So Abram moved his camp and settled near the sacred trees of Mamre at Hebron, and there he built an altar to the 
GEN.14.1	Four kings, Amraphel of Babylonia, Arioch of Ellasar, Chedorlaomer of Elam, and Tidal of Goiim, 
GEN.14.2	went to war against five other kings: Bera of Sodom, Birsha of Gomorrah, Shinab of Admah, Shemeber of Zeboiim, and the king of Bela (or Zoar). 
GEN.14.3	These five kings had formed an alliance and joined forces in Siddim Valley, which is now the Dead Sea. 
GEN.14.4	They had been under the control of Chedorlaomer for twelve years, but in the thirteenth year they rebelled against him. 
GEN.14.5	In the fourteenth year Chedorlaomer and his allies came with their armies and defeated the Rephaim in Ashteroth Karnaim, the Zuzim in Ham, the Emim in the plain of Kiriathaim, 
GEN.14.6	and the Horites in the mountains of Edom, pursuing them as far as Elparan on the edge of the desert. 
GEN.14.7	Then they turned around and came back to Kadesh (then known as Enmishpat). They conquered all the land of the Amalekites and defeated the Amorites who lived in Hazazon Tamar.
GEN.14.8	Then the kings of Sodom, Gomorrah, Admah, Zeboiim, and Bela drew up their armies for battle in Siddim Valley and fought 
GEN.14.9	against the kings of Elam, Goiim, Babylonia, and Ellasar, five kings against four. 
GEN.14.10	The valley was full of tar pits, and when the kings of Sodom and Gomorrah tried to run away from the battle, they fell into the pits; but the other three kings escaped to the mountains. 
GEN.14.11	The four kings took everything in Sodom and Gomorrah, including the food, and went away. 
GEN.14.12	Lot, Abram's nephew, was living in Sodom, so they took him and all his possessions.
GEN.14.13	But a man escaped and reported all this to Abram, the Hebrew, who was living near the sacred trees belonging to Mamre the Amorite. Mamre and his brothers Eshcol and Aner were Abram's allies. 
GEN.14.14	When Abram heard that his nephew had been captured, he called together all the fighting men in his camp, 318 in all, and pursued the four kings all the way to Dan. 
GEN.14.15	There he divided his men into groups, attacked the enemy by night, and defeated them. He chased them as far as Hobah, north of Damascus, 
GEN.14.16	and got back all the loot that had been taken. He also brought back his nephew Lot and his possessions, together with the women and the other prisoners.
GEN.14.17	When Abram came back from his victory over Chedorlaomer and the other kings, the king of Sodom went out to meet him in Shaveh Valley (also called King's Valley). 
GEN.14.18	 And Melchizedek, who was king of Salem and also a priest of the Most High God, brought bread and wine to Abram, 
GEN.14.19	blessed him, and said, “May the Most High God, who made heaven and earth, bless Abram! 
GEN.14.20	May the Most High God, who gave you victory over your enemies, be praised!” And Abram gave Melchizedek a tenth of all the loot he had recovered.
GEN.14.21	The king of Sodom said to Abram, “Keep the loot, but give me back all my people.”
GEN.14.22	Abram answered, “I solemnly swear before the 
GEN.14.23	that I will not keep anything of yours, not even a thread or a sandal strap. Then you can never say, ‘I am the one who made Abram rich.’ 
GEN.14.24	I will take nothing for myself. I will accept only what my men have used. But let my allies, Aner, Eshcol, and Mamre, take their share.”
GEN.15.1	After this, Abram had a vision and heard the 
GEN.15.2	But Abram answered, “Sovereign 
GEN.15.3	You have given me no children, and one of my slaves will inherit my property.”
GEN.15.4	Then he heard the 
GEN.15.5	 The 
GEN.15.7	Then the 
GEN.15.8	But Abram asked, “Sovereign 
GEN.15.9	He answered, “Bring me a cow, a goat, and a ram, each of them three years old, and a dove and a pigeon.” 
GEN.15.10	Abram brought the animals to God, cut them in half, and placed the halves opposite each other in two rows; but he did not cut up the birds. 
GEN.15.11	Vultures came down on the bodies, but Abram drove them off.
GEN.15.13	 The 
GEN.15.14	 But I will punish the nation that enslaves them, and when they leave that foreign land, they will take great wealth with them. 
GEN.15.15	You yourself will live to a ripe old age, die in peace, and be buried. 
GEN.15.16	It will be four generations before your descendants come back here, because I will not drive out the Amorites until they become so wicked that they must be punished.”
GEN.15.17	When the sun had set and it was dark, a smoking fire pot and a flaming torch suddenly appeared and passed between the pieces of the animals. 
GEN.15.18	 Then and there the 
GEN.15.19	including the lands of the Kenites, the Kenizzites, the Kadmonites, 
GEN.15.20	the Hittites, the Perizzites, the Rephaim, 
GEN.15.21	the Amorites, the Canaanites, the Girgashites, and the Jebusites.”
GEN.16.1	Abram's wife Sarai had not borne him any children. But she had an Egyptian slave woman named Hagar, 
GEN.16.2	and so she said to Abram, “The 
GEN.16.3	So she gave Hagar to him to be his concubine. (This happened after Abram had lived in Canaan for ten years.) 
GEN.16.4	Abram had intercourse with Hagar, and she became pregnant. When she found out that she was pregnant, she became proud and despised Sarai.
GEN.16.5	Then Sarai said to Abram, “It's your fault that Hagar despises me.
GEN.16.6	Abram answered, “Very well, she is your slave and under your control; do whatever you want with her.” Then Sarai treated Hagar so cruelly that she ran away.
GEN.16.7	The angel of the 
GEN.16.8	and said, “Hagar, slave of Sarai, where have you come from and where are you going?”
GEN.16.8	She answered, “I am running away from my mistress.”
