GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
GEN.3.18	and you shall eat the plants of the field.
GEN.3.19	In the sweat of your face
GEN.3.19	you shall eat bread
GEN.3.19	till you return to the ground,
GEN.3.19	for out of it you were taken;
GEN.3.19	you are dust,
GEN.3.19	and to dust you shall return.”
GEN.3.20	The man called his wife's name Eve,
GEN.3.21	And the 
GEN.3.23	therefore the 
GEN.3.24	He drove out the man; and at the east of the garden of Eden he placed the cherubim, and a flaming sword which turned every way, to guard the way to the tree of life.
GEN.4.1	Now Adam knew Eve his wife, and she conceived and bore Cain, saying, “I have gotten
GEN.4.2	And again, she bore his brother Abel. Now Abel was a keeper of sheep, and Cain a tiller of the ground. 
GEN.4.3	In the course of time Cain brought to the 
GEN.4.4	 and Abel brought of the firstlings of his flock and of their fat portions. And the 
GEN.4.5	but for Cain and his offering he had no regard. So Cain was very angry, and his countenance fell. 
GEN.4.6	The 
GEN.4.7	If you do well, will you not be accepted? And if you do not do well, sin is couching at the door; its desire is for you, but you must master it.”
GEN.4.9	Then the 
GEN.4.10	And the 
GEN.4.11	And now you are cursed from the ground, which has opened its mouth to receive your brother's blood from your hand. 
GEN.4.12	When you till the ground, it shall no longer yield to you its strength; you shall be a fugitive and a wanderer on the earth.” 
GEN.4.13	Cain said to the 
GEN.4.14	Behold, thou hast driven me this day away from the ground; and from thy face I shall be hidden; and I shall be a fugitive and a wanderer on the earth, and whoever finds me will slay me.” 
GEN.4.15	Then the 
GEN.4.16	Then Cain went away from the presence of the 
GEN.4.17	Cain knew his wife, and she conceived and bore Enoch; and he built a city, and called the name of the city after the name of his son, Enoch. 
GEN.4.18	To Enoch was born Irad; and Irad was the father of Me-huja-el, and Me-huja-el the father of Me-thusha-el, and Me-thusha-el the father of Lamech. 
GEN.4.19	And Lamech took two wives; the name of the one was Adah, and the name of the other Zillah. 
GEN.4.20	Adah bore Jabal; he was the father of those who dwell in tents and have cattle. 
GEN.4.21	His brother's name was Jubal; he was the father of all those who play the lyre and pipe. 
GEN.4.22	Zillah bore Tubal-cain; he was the forger of all instruments of bronze and iron. The sister of Tubal-cain was Naamah.
GEN.4.23	Lamech said to his wives:
GEN.4.23	“Adah and Zillah, hear my voice;
GEN.4.23	you wives of Lamech, hearken to what I say:
GEN.4.23	I have slain a man for wounding me,
GEN.4.23	a young man for striking me.
GEN.4.24	If Cain is avenged sevenfold,
GEN.4.24	truly Lamech seventy-sevenfold.”
GEN.4.25	And Adam knew his wife again, and she bore a son and called his name Seth, for she said, “God has appointed for me another child instead of Abel, for Cain slew him.” 
GEN.4.26	To Seth also a son was born, and he called his name Enosh. At that time men began to call upon the name of the 
GEN.5.2	Male and female he created them, and he blessed them and named them Man when they were created. 
GEN.5.3	When Adam had lived a hundred and thirty years, he became the father of a son in his own likeness, after his image, and named him Seth. 
GEN.5.4	The days of Adam after he became the father of Seth were eight hundred years; and he had other sons and daughters. 
GEN.5.5	Thus all the days that Adam lived were nine hundred and thirty years; and he died.
GEN.5.6	When Seth had lived a hundred and five years, he became the father of Enosh. 
GEN.5.7	Seth lived after the birth of Enosh eight hundred and seven years, and had other sons and daughters. 
GEN.5.8	Thus all the days of Seth were nine hundred and twelve years; and he died.
GEN.5.9	When Enosh had lived ninety years, he became the father of Kenan. 
GEN.5.10	Enosh lived after the birth of Kenan eight hundred and fifteen years, and had other sons and daughters. 
GEN.5.11	Thus all the days of Enosh were nine hundred and five years; and he died.
GEN.5.12	When Kenan had lived seventy years, he became the father of Ma-halalel. 
GEN.5.13	Kenan lived after the birth of Ma-halalel eight hundred and forty years, and had other sons and daughters. 
GEN.5.14	Thus all the days of Kenan were nine hundred and ten years; and he died.
GEN.5.15	When Ma-halalel had lived sixty-five years, he became the father of Jared. 
GEN.5.16	Ma-halalel lived after the birth of Jared eight hundred and thirty years, and had other sons and daughters. 
GEN.5.17	Thus all the days of Ma-halalel were eight hundred and ninety-five years; and he died.
GEN.5.18	When Jared had lived a hundred and sixty-two years he became the father of Enoch. 
GEN.5.19	Jared lived after the birth of Enoch eight hundred years, and had other sons and daughters. 
GEN.5.20	Thus all the days of Jared were nine hundred and sixty-two years; and he died.
GEN.5.21	When Enoch had lived sixty-five years, he became the father of Methuselah. 
GEN.5.22	Enoch walked with God after the birth of Methuselah three hundred years, and had other sons and daughters. 
GEN.5.23	Thus all the days of Enoch were three hundred and sixty-five years. 
GEN.5.24	 Enoch walked with God; and he was not, for God took him.
GEN.5.25	When Methuselah had lived a hundred and eighty-seven years, he became the father of Lamech. 
GEN.5.26	Methuselah lived after the birth of Lamech seven hundred and eighty-two years, and had other sons and daughters. 
GEN.5.27	Thus all the days of Methuselah were nine hundred and sixty-nine years; and he died.
GEN.5.28	When Lamech had lived a hundred and eighty-two years, he became the father of a son, 
GEN.5.29	and called his name Noah, saying, “Out of the ground which the 
GEN.5.30	Lamech lived after the birth of Noah five hundred and ninety-five years, and had other sons and daughters. 
GEN.5.31	Thus all the days of Lamech were seven hundred and seventy-seven years; and he died.
GEN.5.32	After Noah was five hundred years old, Noah became the father of Shem, Ham, and Japheth.
GEN.6.1	When men began to multiply on the face of the ground, and daughters were born to them, 
GEN.6.2	the sons of God saw that the daughters of men were fair; and they took to wife such of them as they chose. 
GEN.6.3	Then the 
GEN.6.4	 The Nephilim were on the earth in those days, and also afterward, when the sons of God came in to the daughters of men, and they bore children to them. These were the mighty men that were of old, the men of renown.
GEN.6.5	The 
GEN.6.6	And the 
GEN.6.7	So the 
GEN.6.8	But Noah found favor in the eyes of the 
GEN.6.9	These are the generations of Noah. Noah was a righteous man, blameless in his generation; Noah walked with God. 
GEN.6.10	And Noah had three sons, Shem, Ham, and Japheth.
GEN.6.11	Now the earth was corrupt in God's sight, and the earth was filled with violence. 
GEN.6.12	And God saw the earth, and behold, it was corrupt; for all flesh had corrupted their way upon the earth. 
GEN.6.13	And God said to Noah, “I have determined to make an end of all flesh; for the earth is filled with violence through them; behold, I will destroy them with the earth. 
GEN.6.14	Make yourself an ark of gopher wood; make rooms in the ark, and cover it inside and out with pitch. 
GEN.6.15	This is how you are to make it: the length of the ark three hundred cubits, its breadth fifty cubits, and its height thirty cubits. 
GEN.6.16	Make a roof
GEN.6.17	For behold, I will bring a flood of waters upon the earth, to destroy all flesh in which is the breath of life from under heaven; everything that is on the earth shall die. 
GEN.6.18	But I will establish my covenant with you; and you shall come into the ark, you, your sons, your wife, and your sons' wives with you. 
GEN.6.19	And of every living thing of all flesh, you shall bring two of every sort into the ark, to keep them alive with you; they shall be male and female. 
GEN.6.20	Of the birds according to their kinds, and of the animals according to their kinds, of every creeping thing of the ground according to its kind, two of every sort shall come in to you, to keep them alive. 
GEN.6.21	Also take with you every sort of food that is eaten, and store it up; and it shall serve as food for you and for them.” 
GEN.6.22	Noah did this; he did all that God commanded him.
GEN.7.1	Then the 
GEN.7.2	Take with you seven pairs of all clean animals, the male and his mate; and a pair of the animals that are not clean, the male and his mate; 
GEN.7.3	and seven pairs of the birds of the air also, male and female, to keep their kind alive upon the face of all the earth. 
GEN.7.4	For in seven days I will send rain upon the earth forty days and forty nights; and every living thing that I have made I will blot out from the face of the ground.” 
GEN.7.5	And Noah did all that the 
GEN.7.6	Noah was six hundred years old when the flood of waters came upon the earth. 
GEN.7.7	 And Noah and his sons and his wife and his sons' wives with him went into the ark, to escape the waters of the flood. 
GEN.7.8	Of clean animals, and of animals that are not clean, and of birds, and of everything that creeps on the ground, 
GEN.7.9	two and two, male and female, went into the ark with Noah, as God had commanded Noah. 
GEN.7.10	And after seven days the waters of the flood came upon the earth.
GEN.7.11	In the six hundredth year of Noah's life, in the second month, on the seventeenth day of the month, on that day all the fountains of the great deep burst forth, and the windows of the heavens were opened. 
GEN.7.12	And rain fell upon the earth forty days and forty nights. 
GEN.7.13	On the very same day Noah and his sons, Shem and Ham and Japheth, and Noah's wife and the three wives of his sons with them entered the ark, 
GEN.7.14	they and every beast according to its kind, and all the cattle according to their kinds, and every creeping thing that creeps on the earth according to its kind, every bird according to its kind, every bird of every sort. 
GEN.7.15	They went into the ark with Noah, two and two of all flesh in which there was the breath of life. 
GEN.7.16	And they that entered, male and female of all flesh, went in as God had commanded him; and the 
GEN.7.17	The flood continued forty days upon the earth; and the waters increased, and bore up the ark, and it rose high above the earth. 
GEN.7.18	The waters prevailed and increased greatly upon the earth; and the ark floated on the face of the waters. 
GEN.7.19	And the waters prevailed so mightily upon the earth that all the high mountains under the whole heaven were covered; 
GEN.7.20	the waters prevailed above the mountains, covering them fifteen cubits deep. 
GEN.7.21	And all flesh died that moved upon the earth, birds, cattle, beasts, all swarming creatures that swarm upon the earth, and every man; 
GEN.7.22	everything on the dry land in whose nostrils was the breath of life died. 
GEN.7.23	He blotted out every living thing that was upon the face of the ground, man and animals and creeping things and birds of the air; they were blotted out from the earth. Only Noah was left, and those that were with him in the ark. 
GEN.7.24	And the waters prevailed upon the earth a hundred and fifty days.
GEN.8.1	But God remembered Noah and all the beasts and all the cattle that were with him in the ark. And God made a wind blow over the earth, and the waters subsided; 
GEN.8.2	the fountains of the deep and the windows of the heavens were closed, the rain from the heavens was restrained, 
GEN.8.3	and the waters receded from the earth continually. At the end of a hundred and fifty days the waters had abated; 
GEN.8.4	and in the seventh month, on the seventeenth day of the month, the ark came to rest upon the mountains of Ararat. 
GEN.8.5	And the waters continued to abate until the tenth month; in the tenth month, on the first day of the month, the tops of the mountains were seen.
GEN.8.6	At the end of forty days Noah opened the window of the ark which he had made, 
GEN.8.7	and sent forth a raven; and it went to and fro until the waters were dried up from the earth. 
GEN.8.8	Then he sent forth a dove from him, to see if the waters had subsided from the face of the ground; 
GEN.8.9	but the dove found no place to set her foot, and she returned to him to the ark, for the waters were still on the face of the whole earth. So he put forth his hand and took her and brought her into the ark with him. 
GEN.8.10	He waited another seven days, and again he sent forth the dove out of the ark; 
GEN.8.11	and the dove came back to him in the evening, and lo, in her mouth a freshly plucked olive leaf; so Noah knew that the waters had subsided from the earth. 
GEN.8.12	Then he waited another seven days, and sent forth the dove; and she did not return to him any more.
GEN.8.13	In the six hundred and first year, in the first month, the first day of the month, the waters were dried from off the earth; and Noah removed the covering of the ark, and looked, and behold, the face of the ground was dry. 
GEN.8.14	In the second month, on the twenty-seventh day of the month, the earth was dry. 
GEN.8.15	Then God said to Noah, 
GEN.8.16	“Go forth from the ark, you and your wife, and your sons and your sons' wives with you. 
GEN.8.17	Bring forth with you every living thing that is with you of all flesh—birds and animals and every creeping thing that creeps on the earth—that they may breed abundantly on the earth, and be fruitful and multiply upon the earth.” 
GEN.8.18	So Noah went forth, and his sons and his wife and his sons' wives with him. 
GEN.8.19	And every beast, every creeping thing, and every bird, everything that moves upon the earth, went forth by families out of the ark.
GEN.8.20	Then Noah built an altar to the 
GEN.8.21	And when the 
GEN.8.22	While the earth remains, seedtime and harvest, cold and heat, summer and winter, day and night, shall not cease.”
GEN.9.1	And God blessed Noah and his sons, and said to them, “Be fruitful and multiply, and fill the earth. 
GEN.9.2	The fear of you and the dread of you shall be upon every beast of the earth, and upon every bird of the air, upon everything that creeps on the ground and all the fish of the sea; into your hand they are delivered. 
GEN.9.3	Every moving thing that lives shall be food for you; and as I gave you the green plants, I give you everything. 
GEN.9.4	 Only you shall not eat flesh with its life, that is, its blood. 
GEN.9.5	For your lifeblood I will surely require a reckoning; of every beast I will require it and of man; of every man's brother I will require the life of man. 
GEN.9.6	Whoever sheds the blood of man, by man shall his blood be shed; for God made man in his own image. 
GEN.9.7	And you, be fruitful and multiply, bring forth abundantly on the earth and multiply in it.”
GEN.9.8	Then God said to Noah and to his sons with him, 
GEN.9.9	“Behold, I establish my covenant with you and your descendants after you, 
GEN.9.10	and with every living creature that is with you, the birds, the cattle, and every beast of the earth with you, as many as came out of the ark.
GEN.9.11	I establish my covenant with you, that never again shall all flesh be cut off by the waters of a flood, and never again shall there be a flood to destroy the earth.” 
GEN.9.12	And God said, “This is the sign of the covenant which I make between me and you and every living creature that is with you, for all future generations: 
GEN.9.13	I set my bow in the cloud, and it shall be a sign of the covenant between me and the earth. 
GEN.9.14	When I bring clouds over the earth and the bow is seen in the clouds, 
GEN.9.15	I will remember my covenant which is between me and you and every living creature of all flesh; and the waters shall never again become a flood to destroy all flesh. 
GEN.9.16	When the bow is in the clouds, I will look upon it and remember the everlasting covenant between God and every living creature of all flesh that is upon the earth.” 
GEN.9.17	God said to Noah, “This is the sign of the covenant which I have established between me and all flesh that is upon the earth.”
GEN.9.18	The sons of Noah who went forth from the ark were Shem, Ham, and Japheth. Ham was the father of Canaan. 
GEN.9.19	These three were the sons of Noah; and from these the whole earth was peopled.
GEN.9.20	Noah was the first tiller of the soil. He planted a vineyard; 
GEN.9.21	and he drank of the wine, and became drunk, and lay uncovered in his tent. 
GEN.9.22	And Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside. 
GEN.9.23	Then Shem and Japheth took a garment, laid it upon both their shoulders, and walked backward and covered the nakedness of their father; their faces were turned away, and they did not see their father's nakedness. 
GEN.9.24	When Noah awoke from his wine and knew what his youngest son had done to him, 
GEN.9.25	he said,
GEN.9.25	“Cursed be Canaan;
GEN.9.25	a slave of slaves shall he be to his brothers.”
GEN.9.26	He also said,
GEN.9.26	“Blessed by the 
GEN.9.26	and let Canaan be his slave.
GEN.9.27	God enlarge Japheth,
GEN.9.27	and let him dwell in the tents of Shem;
GEN.9.27	and let Canaan be his slave.”
GEN.9.28	After the flood Noah lived three hundred and fifty years. 
GEN.9.29	All the days of Noah were nine hundred and fifty years; and he died.
GEN.10.1	These are the generations of the sons of Noah, Shem, Ham, and Japheth; sons were born to them after the flood.
GEN.10.2	The sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras. 
GEN.10.3	The sons of Gomer: Ashkenaz, Riphath, and Togarmah. 
GEN.10.4	The sons of Javan: Elishah, Tarshish, Kittim, and Dodanim. 
GEN.10.5	From these the coastland peoples spread. These are the sons of Japheth
GEN.10.6	The sons of Ham: Cush, Egypt, Put, and Canaan. 
GEN.10.7	The sons of Cush: Seba, Havilah, Sabtah, Raamah, and Sabteca. The sons of Raamah: Sheba and Dedan. 
GEN.10.8	Cush became the father of Nimrod; he was the first on earth to be a mighty man. 
GEN.10.9	He was a mighty hunter before the 
GEN.10.10	The beginning of his kingdom was Babel, Erech, and Accad, all of them in the land of Shinar. 
GEN.10.11	From that land he went into Assyria, and built Nineveh, Rehoboth-Ir, Calah, and 
GEN.10.12	Resen between Nineveh and Calah; that is the great city. 
GEN.10.13	Egypt became the father of Ludim, Anamim, Lehabim, Naph-tuhim, 
GEN.10.14	Pathrusim, Casluhim (whence came the Philistines), and Caphtorim.
GEN.10.15	Canaan became the father of Sidon his first-born, and Heth, 
GEN.10.16	and the Jebusites, the Amorites, the Girgashites, 
GEN.10.17	the Hivites, the Arkites, the Sinites, 
GEN.10.18	the Arvadites, the Zemarites, and the Hamathites. Afterward the families of the Canaanites spread abroad. 
GEN.10.19	And the territory of the Canaanites extended from Sidon, in the direction of Gerar, as far as Gaza, and in the direction of Sodom, Gomorrah, Admah, and Zeboiim, as far as Lasha. 
GEN.10.20	These are the sons of Ham, by their families, their languages, their lands, and their nations.
GEN.10.21	To Shem also, the father of all the children of Eber, the elder brother of Japheth, children were born. 
GEN.10.22	The sons of Shem: Elam, Asshur, Arpachshad, Lud, and Aram. 
GEN.10.23	The sons of Aram: Uz, Hul, Gether, and Mash. 
GEN.10.24	Arpachshad became the father of Shelah; and Shelah became the father of Eber. 
GEN.10.25	To Eber were born two sons: the name of the one was Peleg,
GEN.10.26	Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abima-el, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab; all these were the sons of Joktan. 
GEN.10.30	The territory in which they lived extended from Mesha in the direction of Sephar to the hill country of the east. 
GEN.10.31	These are the sons of Shem, by their families, their languages, their lands, and their nations.
GEN.10.32	These are the families of the sons of Noah, according to their genealogies, in their nations; and from these the nations spread abroad on the earth after the flood.
GEN.11.1	Now the whole earth had one language and few words. 
GEN.11.2	And as men migrated from the east, they found a plain in the land of Shinar and settled there. 
GEN.11.3	And they said to one another, “Come, let us make bricks, and burn them thoroughly.” And they had brick for stone, and bitumen for mortar. 
GEN.11.4	Then they said, “Come, let us build ourselves a city, and a tower with its top in the heavens, and let us make a name for ourselves, lest we be scattered abroad upon the face of the whole earth.” 
GEN.11.5	And the 
GEN.11.6	And the 
GEN.11.7	Come, let us go down, and there confuse their language, that they may not understand one another's speech.” 
GEN.11.8	So the 
GEN.11.9	Therefore its name was called Babel, because there the 
GEN.11.10	These are the descendants of Shem. When Shem was a hundred years old, he became the father of Arpachshad two years after the flood; 
GEN.11.11	and Shem lived after the birth of Arpachshad five hundred years, and had other sons and daughters.
GEN.11.12	When Arpachshad had lived thirty-five years, he became the father of Shelah; 
GEN.11.13	and Arpachshad lived after the birth of Shelah four hundred and three years, and had other sons and daughters.
GEN.11.14	When Shelah had lived thirty years, he became the father of Eber; 
GEN.11.15	and Shelah lived after the birth of Eber four hundred and three years, and had other sons and daughters.
GEN.11.16	When Eber had lived thirty-four years, he became the father of Peleg; 
GEN.11.17	and Eber lived after the birth of Peleg four hundred and thirty years, and had other sons and daughters.
GEN.11.18	When Peleg had lived thirty years, he became the father of Reu; 
GEN.11.19	and Peleg lived after the birth of Reu two hundred and nine years, and had other sons and daughters.
GEN.11.20	When Reu had lived thirty-two years, he became the father of Serug; 
GEN.11.21	and Reu lived after the birth of Serug two hundred and seven years, and had other sons and daughters.
GEN.11.22	When Serug had lived thirty years, he became the father of Nahor; 
GEN.11.23	and Serug lived after the birth of Nahor two hundred years, and had other sons and daughters.
GEN.11.24	When Nahor had lived twenty-nine years, he became the father of Terah; 
GEN.11.25	and Nahor lived after the birth of Terah a hundred and nineteen years, and had other sons and daughters.
GEN.11.26	When Terah had lived seventy years, he became the father of Abram, Nahor, and Haran.
GEN.11.27	Now these are the descendants of Terah. Terah was the father of Abram, Nahor, and Haran; and Haran was the father of Lot. 
GEN.11.28	Haran died before his father Terah in the land of his birth, in Ur of the Chaldeans. 
GEN.11.29	And Abram and Nahor took wives; the name of Abram's wife was Sarai, and the name of Nahor's wife, Milcah, the daughter of Haran the father of Milcah and Iscah. 
GEN.11.30	Now Sarai was barren; she had no child.
GEN.11.31	Terah took Abram his son and Lot the son of Haran, his grandson, and Sarai his daughter-in-law, his son Abram's wife, and they went forth together from Ur of the Chaldeans to go into the land of Canaan; but when they came to Haran, they settled there. 
GEN.11.32	The days of Terah were two hundred and five years; and Terah died in Haran.
GEN.12.2	 And I will make of you a great nation, and I will bless you, and make your name great, so that you will be a blessing. 
GEN.12.3	 I will bless those who bless you, and him who curses you I will curse; and by you all the families of the earth shall bless themselves.”
GEN.12.4	So Abram went, as the 
GEN.12.5	And Abram took Sarai his wife, and Lot his brother's son, and all their possessions which they had gathered, and the persons that they had gotten in Haran; and they set forth to go to the land of Canaan. When they had come to the land of Canaan, 
GEN.12.6	Abram passed through the land to the place at Shechem, to the oak
GEN.12.7	 Then the 
GEN.12.8	Thence he removed to the mountain on the east of Bethel, and pitched his tent, with Bethel on the west and Ai on the east; and there he built an altar to the 
GEN.12.9	And Abram journeyed on, still going toward the Negeb.
GEN.12.11	When he was about to enter Egypt, he said to Sarai his wife, “I know that you are a woman beautiful to behold; 
GEN.12.12	and when the Egyptians see you, they will say, ‘This is his wife’; then they will kill me, but they will let you live. 
GEN.12.13	Say you are my sister, that it may go well with me because of you, and that my life may be spared on your account.” 
GEN.12.14	When Abram entered Egypt the Egyptians saw that the woman was very beautiful. 
GEN.12.15	And when the princes of Pharaoh saw her, they praised her to Pharaoh. And the woman was taken into Pharaoh's house. 
GEN.12.16	And for her sake he dealt well with Abram; and he had sheep, oxen, he-asses, menservants, maidservants, she-asses, and camels.
GEN.12.17	But the 
GEN.12.18	So Pharaoh called Abram, and said, “What is this you have done to me? Why did you not tell me that she was your wife? 
GEN.12.19	Why did you say, ‘She is my sister,’ so that I took her for my wife? Now then, here is your wife, take her, and be gone.” 
GEN.12.20	And Pharaoh gave men orders concerning him; and they set him on the way, with his wife and all that he had.
GEN.13.1	So Abram went up from Egypt, he and his wife, and all that he had, and Lot with him, into the Negeb.
GEN.13.2	Now Abram was very rich in cattle, in silver, and in gold. 
GEN.13.3	And he journeyed on from the Negeb as far as Bethel, to the place where his tent had been at the beginning, between Bethel and Ai, 
GEN.13.4	to the place where he had made an altar at the first; and there Abram called on the name of the 
GEN.13.5	And Lot, who went with Abram, also had flocks and herds and tents, 
GEN.13.6	so that the land could not support both of them dwelling together; for their possessions were so great that they could not dwell together, 
GEN.13.7	and there was strife between the herdsmen of Abram's cattle and the herdsmen of Lot's cattle. At that time the Canaanites and the Perizzites dwelt in the land.
GEN.13.8	Then Abram said to Lot, “Let there be no strife between you and me, and between your herdsmen and my herdsmen; for we are kinsmen. 
GEN.13.9	Is not the whole land before you? Separate yourself from me. If you take the left hand, then I will go to the right; or if you take the right hand, then I will go to the left.” 
GEN.13.10	And Lot lifted up his eyes, and saw that the Jordan valley was well watered everywhere like the garden of the 
GEN.13.11	So Lot chose for himself all the Jordan valley, and Lot journeyed east; thus they separated from each other. 
GEN.13.12	Abram dwelt in the land of Canaan, while Lot dwelt among the cities of the valley and moved his tent as far as Sodom. 
GEN.13.13	Now the men of Sodom were wicked, great sinners against the 
GEN.13.14	The 
GEN.13.15	 for all the land which you see I will give to you and to your descendants for ever. 
