GEN.1.1	In the 
GEN.3.19	In the sweat of your face you shall eat bread
GEN.3.19	Till you return to the ground,
GEN.3.19	For out of it you were taken;
GEN.3.19	For dust you 
GEN.3.19	And 
GEN.3.20	And Adam called his wife’s name 
GEN.3.21	Also for Adam and his wife the 
GEN.3.22	Then the 
GEN.3.23	therefore the 
GEN.3.24	So 
GEN.4.1	Now Adam knew Eve his wife, and she conceived and bore Cain, and said, “I have acquired a man from the 
GEN.4.2	Then she bore again, this time his brother Abel. Now 
GEN.4.3	And in the process of time it came to pass that Cain brought an offering of the fruit 
GEN.4.4	Abel also brought of 
GEN.4.5	but He did not respect Cain and his offering. And Cain was very angry, and his countenance fell.
GEN.4.6	So the 
GEN.4.7	If you do well, will you not be accepted? And if you do not do well, sin lies at the door. And its desire 
GEN.4.8	Now Cain talked with Abel his brother; and it came to pass, when they were in the field, that Cain rose up against Abel his brother and 
GEN.4.9	Then the 
GEN.4.9	He said, 
GEN.4.10	And He said, “What have you done? The voice of your brother’s blood 
GEN.4.11	So now 
GEN.4.12	When you till the ground, it shall no longer yield its strength to you. A fugitive and a vagabond you shall be on the earth.”
GEN.4.13	And Cain said to the 
GEN.4.14	Surely You have driven me out this day from the face of the ground; 
GEN.4.15	And the 
GEN.4.16	Then Cain 
GEN.4.17	And Cain knew his wife, and she conceived and bore Ē´noch. And he built a city, 
GEN.4.18	To Ē´noch was born Irad; and Irad begot Mehujael, and Mehujael begot Methushael, and Methushael begot Lamech.
GEN.4.19	Then Lamech took for himself 
GEN.4.20	And Adah bore Jabal. He was the father of those who dwell in tents and have livestock. 
GEN.4.21	His brother’s name 
GEN.4.22	And as for Zillah, she also bore Tubal-Cain, an instructor of every craftsman in bronze and iron. And the sister of Tubal-Cain 
GEN.4.23	Then Lamech said to his wives:
GEN.4.23	“Adah and Zillah, hear my voice;
GEN.4.23	Wives of Lamech, listen to my speech!
GEN.4.23	For I have killed a man for wounding me,
GEN.4.23	Even a young man for hurting me.
GEN.4.24	If Cain shall be avenged sevenfold,
GEN.4.24	Then Lamech seventy-sevenfold.”
GEN.4.25	And Adam knew his wife again, and she bore a son and 
GEN.4.26	And as for Seth, 
GEN.5.1	This is the book of the 
GEN.5.2	He created them 
GEN.5.3	And Adam lived one hundred and thirty years, and begot 
GEN.5.4	After he begot Seth, 
GEN.5.5	So all the days that Adam lived were nine hundred and thirty years; 
GEN.5.6	Seth lived one hundred and five years, and begot Enosh. 
GEN.5.7	After he begot 
GEN.5.8	So all the days of Seth were nine hundred and twelve years; and he died.
GEN.5.9	Enosh lived ninety years, and begot Cainan. 
GEN.5.10	After he begot Cainan, Enosh lived eight hundred and fifteen years, and had sons and daughters. 
GEN.5.11	So all the days of Enosh were nine hundred and five years; and he died.
GEN.5.12	Cainan lived seventy years, and begot Mahalalel. 
GEN.5.13	After he begot Mahalalel, Cainan lived eight hundred and forty years, and had sons and daughters. 
GEN.5.14	So all the days of Cainan were nine hundred and ten years; and he died.
GEN.5.15	Mahalalel lived sixty-five years, and begot Jared. 
GEN.5.16	After he begot Jared, Mahalalel lived eight hundred and thirty years, and had sons and daughters. 
GEN.5.17	So all the days of Mahalalel were eight hundred and ninety-five years; and he died.
GEN.5.18	Jared lived one hundred and sixty-two years, and begot 
GEN.5.19	After he begot Enoch, Jared lived eight hundred years, and had sons and daughters. 
GEN.5.20	So all the days of Jared were nine hundred and sixty-two years; and he died.
GEN.5.21	Enoch lived sixty-five years, and begot Methuselah. 
GEN.5.22	After he begot Methuselah, Enoch 
GEN.5.23	So all the days of Enoch were three hundred and sixty-five years. 
GEN.5.24	And 
GEN.5.25	Methuselah lived one hundred and eighty-seven years, and begot Lamech. 
GEN.5.26	After he begot Lamech, Methuselah lived seven hundred and eighty-two years, and had sons and daughters. 
GEN.5.27	So all the days of Methuselah were nine hundred and sixty-nine years; and he died.
GEN.5.28	Lamech lived one hundred and eighty-two years, and had a son. 
GEN.5.29	And he called his name 
GEN.5.30	After he begot Noah, Lamech lived five hundred and ninety-five years, and had sons and daughters. 
GEN.5.31	So all the days of Lamech were seven hundred and seventy-seven years; and he died.
GEN.5.32	And Noah was five hundred years old, and Noah begot 
GEN.6.1	Now it came to pass, 
GEN.6.2	that the sons of God saw the daughters of men, that they 
GEN.6.3	And the 
GEN.6.4	There were giants on the earth in those 
GEN.6.5	Then the 
GEN.6.6	And 
GEN.6.7	So the 
GEN.6.8	But Noah 
GEN.6.9	This is the genealogy of Noah. 
GEN.6.10	And Noah begot three sons: 
GEN.6.11	The earth also was corrupt 
GEN.6.12	So God 
GEN.6.13	And God said to Noah, 
GEN.6.14	Make yourself an ark of gopherwood; make rooms in the ark, and cover it inside and outside with pitch. 
GEN.6.15	And this is how you shall make it: The length of the ark 
GEN.6.16	You shall make a window for the ark, and you shall finish it to a cubit from above; and set the door of the ark in its side. You shall make it 
GEN.6.17	And behold, I Myself am bringing 
GEN.6.18	But I will establish My 
GEN.6.19	And of every living thing of all flesh you shall bring 
GEN.6.20	Of the birds after their kind, of animals after their kind, and of every creeping thing of the earth after its kind, two of every 
GEN.6.21	And you shall take for yourself of all food that is eaten, and you shall gather 
GEN.6.22	Thus Noah did; 
GEN.7.1	Then the 
GEN.7.2	You shall take with you seven each of every 
GEN.7.3	also seven each of birds of the air, male and female, to keep the species alive on the face of all the earth. 
GEN.7.4	For after 
GEN.7.5	And Noah did according to all that the 
GEN.7.6	Noah 
GEN.7.7	So Noah, with his sons, his wife, and his sons’ wives, went into the ark because of the waters of the flood. 
GEN.7.8	Of clean animals, of animals that 
GEN.7.9	two by two they went into the ark to Noah, male and female, as God had commanded Noah. 
GEN.7.10	And it came to pass after seven days that the waters of the flood were on the earth. 
GEN.7.11	In the six hundredth year of Noah’s life, in the second month, the seventeenth day of the month, on 
GEN.7.12	And the rain was on the earth forty days and forty nights.
GEN.7.13	On the very same day Noah and Noah’s sons, Shem, Ham, and Japheth, and Noah’s wife and the three wives of his sons with them, entered the ark— 
GEN.7.14	they and every beast after its kind, all cattle after their kind, every creeping thing that creeps on the earth after its kind, and every bird after its kind, every bird of every 
GEN.7.15	And they 
GEN.7.16	So those that entered, male and female of all flesh, went in 
GEN.7.17	Now the flood was on the earth forty days. The waters increased and lifted up the ark, and it rose high above the earth. 
GEN.7.18	The waters prevailed and greatly increased on the earth, 
GEN.7.19	And the waters prevailed exceedingly on the earth, and all the high hills under the whole heaven were covered. 
GEN.7.20	The waters prevailed fifteen cubits upward, and the mountains were covered. 
GEN.7.21	And all flesh died that moved on the earth: birds and cattle and beasts and every creeping thing that creeps on the earth, and every man. 
GEN.7.22	All in 
GEN.7.23	So He destroyed all living things which were on the face of the ground: both man and cattle, creeping thing and bird of the air. They were destroyed from the earth. Only 
GEN.7.24	And the waters prevailed on the earth one hundred and fifty days.
GEN.8.1	Then God 
GEN.8.2	The fountains of the deep and the windows of heaven were also 
GEN.8.3	And the waters receded continually from the earth. At the end 
GEN.8.4	Then the ark rested in the seventh month, the seventeenth day of the month, on the mountains of Ararat. 
GEN.8.5	And the waters decreased continually until the tenth month. In the tenth 
GEN.8.6	So it came to pass, at the end of forty days, that Noah 
GEN.8.7	Then he sent out a raven, which kept going to and fro until the waters had dried up from the earth. 
GEN.8.8	He also sent out from himself a dove, to see if the waters had receded from the face of the ground. 
GEN.8.9	But the dove found no resting place for the sole of her foot, and she returned into the ark to him, for the waters 
GEN.8.10	And he waited yet another seven days, and again he sent the dove out from the ark. 
GEN.8.11	Then the dove came to him in the evening, and behold, a freshly plucked olive leaf 
GEN.8.12	So he waited yet another seven days and sent out the dove, which did not return again to him anymore.
GEN.8.13	And it came to pass in the six hundred and first year, in the first 
GEN.8.14	And in the second month, on the twenty-seventh day of the month, the earth was dried.
GEN.8.15	Then God spoke to Noah, saying, 
GEN.8.16	“Go out of the ark, 
GEN.8.17	Bring out with you every living thing of all flesh that 
GEN.8.18	So Noah went out, and his sons and his wife and his sons’ wives with him. 
GEN.8.19	Every animal, every creeping thing, every bird, 
GEN.8.20	Then Noah built an 
GEN.8.21	And the 
GEN.8.22	“While the earth 
GEN.8.22	Seedtime and harvest,
GEN.8.22	Cold and heat,
GEN.8.22	Winter and summer,
GEN.8.22	And 
GEN.8.22	Shall not cease.”
GEN.9.1	So God blessed Noah and his sons, and said to them: 
GEN.9.2	And the fear of you and the dread of you shall be on every beast of the earth, on every bird of the air, on all that move 
GEN.9.3	Every moving thing that lives shall be food for you. I have given you 
GEN.9.4	But you shall not eat flesh with its life, 
GEN.9.5	Surely for your lifeblood I will demand 
GEN.9.6	“Whoever 
GEN.9.6	By man his blood shall be shed;
GEN.9.6	For in the image of God
GEN.9.6	He made man.
GEN.9.7	And as for you, 
GEN.9.7	Bring forth abundantly in the earth
GEN.9.7	And multiply in it.”
GEN.9.8	Then God spoke to Noah and to his sons with him, saying: 
GEN.9.9	“And as for Me, 
GEN.9.10	and with every living creature that 
GEN.9.11	Thus 
GEN.9.12	And God said: 
GEN.9.13	I set 
GEN.9.14	It shall be, when I bring a cloud over the earth, that the rainbow shall be seen in the cloud; 
GEN.9.15	and 
GEN.9.16	The rainbow shall be in the cloud, and I will look on it to remember 
GEN.9.17	And God said to Noah, “This 
GEN.9.18	Now the sons of Noah who went out of the ark were Shem, Ham, and Japheth. 
GEN.9.19	These three 
GEN.9.20	And Noah began 
GEN.9.21	Then he drank of the wine 
GEN.9.22	And Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside. 
GEN.9.23	But Shem and Japheth took a garment, laid 
GEN.9.24	So Noah awoke from his wine, and knew what his younger son had done to him. 
GEN.9.25	Then he said:
GEN.9.25	“Cursed 
GEN.9.25	A 
GEN.9.25	He shall be to his brethren.”
GEN.9.26	And he said:
GEN.9.26	“Blessed 
GEN.9.26	The God of Shem,
GEN.9.26	And may Canaan be his servant.
GEN.9.27	May God 
GEN.9.27	And may he dwell in the tents of Shem;
GEN.9.27	And may Canaan be his servant.”
GEN.9.28	And Noah lived after the flood three hundred and fifty years. 
GEN.9.29	So all the days of Noah were nine hundred and fifty years; and he died.
GEN.10.1	Now this 
GEN.10.2	The sons of Japheth 
GEN.10.3	The sons of Gomer 
GEN.10.4	The sons of Javan 
GEN.10.5	From these 
GEN.10.6	The sons of Ham 
GEN.10.7	The sons of Cush 
GEN.10.8	Cush begot 
GEN.10.9	He was a mighty 
GEN.10.10	And the beginning of his kingdom was 
GEN.10.11	From that land he went to 
GEN.10.12	and Resen between Nineveh and Calah (that 
GEN.10.13	Mizraim begot Ludim, Anamim, Lehabim, Naphtuhim, 
GEN.10.14	Pathrusim, and Casluhim 
GEN.10.15	Canaan begot Sidon his firstborn, and 
GEN.10.16	the Jebusite, the Amorite, and the Girgashite; 
GEN.10.17	the Hivite, the Arkite, and the Sinite; 
GEN.10.18	the Arvadite, the Zemarite, and the Hamathite. Afterward the families of the Canaanites were dispersed. 
GEN.10.19	And the border of the Canaanites was from Sidon as you go toward Gerar, as far as Gaza; then as you go toward Sodom, Gomorrah, Admah, and Zeboiim, as far as Lasha. 
GEN.10.20	These 
GEN.10.21	And 
GEN.10.22	The 
GEN.10.23	The sons of Aram 
GEN.10.24	Arphaxad begot 
GEN.10.25	To Eber were born two sons: the name of one 
GEN.10.26	Joktan begot Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab. All these 
GEN.10.30	And their dwelling place was from Mesha as you go toward Sephar, the mountain of the east. 
GEN.10.31	These 
GEN.10.32	These 
GEN.11.1	Now the whole earth had one language and one speech. 
GEN.11.2	And it came to pass, as they journeyed from the east, that they found a plain in the land 
GEN.11.3	Then they said to one another, “Come, let us make bricks and bake 
GEN.11.4	And they said, “Come, let us build ourselves a city, and a tower 
GEN.11.5	But the 
GEN.11.6	And the 
GEN.11.7	Come, 
GEN.11.8	So 
GEN.11.9	Therefore its name is called Babel, 
GEN.11.10	This 
GEN.11.11	After he begot Arphaxad, Shem lived five hundred years, and begot sons and daughters.
GEN.11.12	Arphaxad lived thirty-five years, 
GEN.11.13	After he begot Salah, Arphaxad lived four hundred and three years, and begot sons and daughters.
GEN.11.14	Salah lived thirty years, and begot Eber. 
GEN.11.15	After he begot Eber, Salah lived four hundred and three years, and begot sons and daughters.
GEN.11.16	Eber lived thirty-four years, and begot 
GEN.11.17	After he begot Peleg, Eber lived four hundred and thirty years, and begot sons and daughters.
GEN.11.18	Peleg lived thirty years, and begot Reu. 
GEN.11.19	After he begot Reu, Peleg lived two hundred and nine years, and begot sons and daughters.
GEN.11.20	Reu lived thirty-two years, and begot 
GEN.11.21	After he begot Serug, Reu lived two hundred and seven years, and begot sons and daughters.
GEN.11.22	Serug lived thirty years, and begot Nahor. 
GEN.11.23	After he begot Nahor, Serug lived two hundred years, and begot sons and daughters.
GEN.11.24	Nahor lived twenty-nine years, and begot 
GEN.11.25	After he begot Terah, Nahor lived one hundred and nineteen years, and begot sons and daughters.
GEN.11.26	Now Terah lived seventy years, and 
GEN.11.27	This 
GEN.11.28	And Haran died before his father Terah in his native land, in Ur of the Chaldeans. 
GEN.11.29	Then Abram and Nahor took wives: the name of Abram’s wife 
GEN.11.30	But
GEN.11.31	And Terah 
GEN.11.32	So the days of Terah were two hundred and five years, and Terah died in Haran.
GEN.12.1	Now the 
GEN.12.1	“Get 
GEN.12.1	From your family
GEN.12.1	And from your father’s house,
GEN.12.1	To a land that I will show you.
GEN.12.2	I will make you a great nation;
GEN.12.2	I will bless you
GEN.12.2	And make your name great;
GEN.12.2	And you shall be a blessing.
GEN.12.3	I will bless those who bless you,
GEN.12.3	And I will curse him who curses you;
GEN.12.3	And in 
GEN.12.4	So Abram departed as the 
GEN.12.5	Then Abram took Sarai his wife and Lot his brother’s son, and all their possessions that they had gathered, and 
GEN.12.6	Abram 
GEN.12.7	Then the 
GEN.12.8	And he moved from there to the mountain east of Bethel, and he pitched his tent 
GEN.12.9	So Abram journeyed, 
GEN.12.10	Now there was 
GEN.12.11	And it came to pass, when he was close to entering Egypt, that he said to Sarai his wife, “Indeed I know that you 
GEN.12.12	Therefore it will happen, when the Egyptians see you, that they will say, ‘This 
GEN.12.13	Please say you 
GEN.12.14	So it was, when Abram came into Egypt, that the Egyptians saw the woman, that she 
GEN.12.15	The princes of Pharaoh also saw her and commended her to Pharaoh. And the woman was taken to Pharaoh’s house. 
GEN.12.16	He 
GEN.12.17	But the 
GEN.12.18	And Pharaoh called Abram and said, 
GEN.12.19	Why did you say, ‘She 
GEN.12.20	So Pharaoh commanded 
GEN.13.1	Then Abram went up from Egypt, he and his wife and all that he had, and 
GEN.13.2	Abram 
GEN.13.3	And he went on his journey 
GEN.13.4	to the 
GEN.13.5	Lot also, who went with Abram, had flocks and herds and tents. 
GEN.13.6	Now 
GEN.13.7	And there was 
GEN.13.8	So Abram said to Lot, 
GEN.13.9	 not the whole land before you? Please 
GEN.13.10	And Lot lifted his eyes and saw all 
GEN.13.11	Then Lot chose for himself all the plain of Jordan, and Lot journeyed east. And they separated from each other. 
GEN.13.12	Abram dwelt in the land of Canaan, and Lot 
GEN.13.13	But the men of Sodom 
GEN.13.14	And the 
GEN.13.15	for all the land which you see 
GEN.13.16	And 
GEN.13.17	Arise, walk in the land through its length and its width, for I give it to you.”
GEN.13.18	Then Abram moved 
GEN.14.1	And it came to pass in the days of Amraphel king 
GEN.14.2	 they made war with Bera king of Sodom, Birsha king of Gomorrah, Shinab king of 
GEN.14.3	All these joined together in the Valley of Siddim 
GEN.14.4	Twelve years 
GEN.14.5	In the fourteenth year Chedorlaomer and the kings that 
GEN.14.6	and the Horites in their mountain of Seir, as far as El Paran, which 
GEN.14.7	Then they turned back and came to En Mishpat (that 
GEN.14.8	And the king of Sodom, the king of Gomorrah, the king of Admah, the king of Zeboiim, and the king of Bela (that 
GEN.14.9	against Chedorlaomer king of Elam, Tidal king of nations, Amraphel king of Shinar, and Arioch king of Ellasar—four kings against five. 
GEN.14.10	Now the Valley of Siddim 
GEN.14.11	Then they took 
GEN.14.12	They also took Lot, Abram’s 
GEN.14.13	Then one who had escaped came and told Abram the 
GEN.14.14	Now 
GEN.14.15	He divided his forces against them by night, and he and his servants 
GEN.14.16	So he 
GEN.14.17	And the king of Sodom 
GEN.14.18	Then 
GEN.14.19	And he blessed him and said:
GEN.14.19	“Blessed be Abram of God Most High,
GEN.14.19	Possessor of heaven and earth;
GEN.14.20	And 
GEN.14.20	Who has delivered your enemies into your hand.”
GEN.14.20	And he 
GEN.14.21	Now the king of Sodom said to Abram, “Give me the persons, and take the goods for yourself.”
GEN.14.22	But Abram 
GEN.14.23	that 
GEN.14.24	except only what the young men have eaten, and the portion of the men who went with me: Aner, Eshcol, and Mamre; let them take their portion.”
GEN.15.1	After these things the word of the 
GEN.15.2	But Abram said, “Lord 
GEN.15.3	Then Abram said, “Look, You have given me no offspring; indeed 
GEN.15.4	And behold, the word of the 
GEN.15.5	Then He brought him outside and said, “Look now toward heaven, and 
GEN.15.6	And he 
GEN.15.7	Then He said to him, “I 
GEN.15.8	And he said, “Lord 
GEN.15.9	So He said to him, “Bring Me a three-year-old heifer, a three-year-old female goat, a three-year-old ram, a turtledove, and a young pigeon.” 
GEN.15.10	Then he brought all these to Him and 
GEN.15.11	And when the vultures came down on the carcasses, Abram drove them away.
GEN.15.12	Now when the sun was going down, 
GEN.15.13	Then He said to Abram: “Know certainly 
GEN.15.14	And also the nation whom they serve 
GEN.15.15	Now as for you, 
GEN.15.16	But 
GEN.15.17	And it came to pass, when the sun went down and it was dark, that behold, there appeared a smoking oven and a burning torch that 
GEN.15.18	On the same day the 
GEN.15.18	“To your descendants I have given this land, from the river of Egypt to the great river, the River Euphrates— 
GEN.15.19	the Kenites, the Kenezzites, the Kadmonites, 
GEN.15.20	the Hittites, the Perizzites, the Rephaim, 
GEN.15.21	the Amorites, the Canaanites, the Girgashites, and the Jebusites.”
GEN.16.1	Now Sarai, Abram’s wife, 
GEN.16.2	So Sarai said to Abram, “See now, the 
GEN.16.3	Then Sarai, Abram’s wife, took Hagar her maid, the Egyptian, and gave her to her husband Abram to be his wife, after Abram 
GEN.16.4	So he went in to Hagar, and she conceived. And when she saw that she had conceived, her mistress became 
GEN.16.5	Then Sarai said to Abram, “My wrong 
GEN.16.6	So Abram said to Sarai, “Indeed your maid 
GEN.16.7	Now the 
GEN.16.8	And He said, “Hagar, Sarai’s maid, where have you come from, and where are you going?”
GEN.16.8	She said, “I am fleeing from the presence of my mistress Sarai.”
GEN.16.9	The Angel of the 
GEN.16.10	Then the Angel of the 
GEN.16.11	And the Angel of the 
GEN.16.11	“Behold, you 
GEN.16.11	And you shall bear a son.
GEN.16.11	You shall call his name Ishmael,
GEN.16.11	Because the 
GEN.16.12	He shall be a wild man;
GEN.16.12	His hand 
GEN.16.12	And every man’s hand against him.
GEN.16.12	And he shall dwell in the presence of all his brethren.”
GEN.16.13	Then she called the name of the 
GEN.16.14	Therefore the well was called 
GEN.16.15	So 
GEN.16.16	Abram 
GEN.17.1	When Abram was ninety-nine years old, the 
GEN.17.2	And I will make My 
GEN.17.3	Then Abram fell on his face, and God talked with him, saying: 
GEN.17.4	“As for Me, behold, My covenant is with you, and you shall be a 
GEN.17.5	No longer shall 
GEN.17.6	I will make you exceedingly fruitful; and I will make nations 
GEN.17.7	And I will 
GEN.17.8	Also 
GEN.17.9	And God said to Abraham: “As for you, 
GEN.17.10	This 
GEN.17.11	and you shall be circumcised in the flesh of your foreskins, and it shall be 
GEN.17.12	He who is eight days old among you 
GEN.17.13	He who is born in your house and he who is bought with your money must be circumcised, and My covenant shall be in your flesh for an everlasting covenant. 
GEN.17.14	And the uncircumcised male child, who is not circumcised in the flesh of his foreskin, that person 
GEN.17.15	Then God said to Abraham, “As for Sarai your wife, you shall not call her name Sarai, but Sarah 
GEN.17.16	And I will bless her and also give you a son by her; then I will bless her, 
GEN.17.17	Then Abraham fell on his face 
GEN.17.18	And Abraham 
GEN.17.19	Then God said: “No, 
GEN.17.20	And as for Ishmael, I have heard you. Behold, I have blessed him, and will make him fruitful, and 
GEN.17.21	But My 
GEN.17.22	Then He finished talking with him, and God went up from Abraham.
GEN.17.23	So Abraham took Ishmael his son, all who were born in his house and all who were bought with his money, every male among the men of Abraham’s house, and circumcised the flesh of their foreskins that very same day, as God had said to him. 
GEN.17.24	Abraham 
GEN.17.25	And Ishmael his son 
GEN.17.26	That very same day Abraham was circumcised, and his son Ishmael; 
GEN.17.27	and 
GEN.18.1	Then the 
GEN.18.2	So he lifted his eyes and looked, and behold, three men were standing by him; 
GEN.18.3	and said, “My Lord, if I have now found favor in Your sight, do not pass on by Your servant. 
GEN.18.4	Please let 
GEN.18.5	And 
GEN.18.5	They said, “Do as you have said.”
GEN.18.6	So Abraham hurried into the tent to Sarah and said, “Quickly, make ready three measures of fine meal; knead 
GEN.18.7	And Abraham ran to the herd, took a tender and good calf, gave 
GEN.18.8	So 
GEN.18.9	Then they said to him, “Where 
GEN.18.9	So he said, “Here, 
GEN.18.10	And He said, “I will certainly return to you 
GEN.18.10	(Sarah was listening in the tent door which 
GEN.18.11	Now 
GEN.18.12	Therefore Sarah 
GEN.18.13	And the 
GEN.18.14	Is anything too hard for the 
GEN.18.15	But Sarah denied 
GEN.18.15	And He said, “No, but you did laugh!”
GEN.18.16	Then the men rose from there and looked toward Sodom, and Abraham went with them 
GEN.18.17	And the 
GEN.18.18	since Abraham shall surely become a great and mighty nation, and all the nations of the earth shall be 
GEN.18.19	For I have known him, in order 
GEN.18.20	And the 
GEN.18.21	I will go down now and see whether they have done altogether according to the outcry against it that has come to Me; and if not, 
GEN.18.22	Then the men turned away from there 
GEN.18.23	And Abraham 
GEN.18.24	Suppose there were fifty righteous within the city; would You also destroy the place and not spare 
GEN.18.25	Far be it from You to do such a thing as this, to slay the righteous with the wicked, so that 
GEN.18.26	So the 
GEN.18.27	Then Abraham answered and said, “Indeed now, I who 
GEN.18.28	Suppose there were five less than the fifty righteous; would You destroy all of the city for 
GEN.18.28	So He said, “If I find there forty-five, I will not destroy 
GEN.18.29	And he spoke to Him yet again and said, “Suppose there should be forty found there?”
GEN.18.29	So He said, “I will not do 
GEN.18.30	Then he said, 
GEN.18.30	So He said, “I will not do 
GEN.18.31	And he said, “Indeed now, I have taken it upon myself to speak to the Lord: Suppose twenty should be found there?”
GEN.18.31	So He said, “I will not destroy 
GEN.18.32	Then he said, “Let not the Lord be angry, and I will speak but once more: Suppose ten should be found there?”
GEN.18.32	And He said, “I will not destroy 
GEN.18.33	So the 
GEN.19.1	Now 
GEN.19.2	And he said, “Here now, my lords, please 
GEN.19.2	And they said, 
GEN.19.3	But he insisted strongly; so they turned in to him and entered his house. 
GEN.19.4	Now before they lay down, the men of the city, the men of Sodom, both old and young, all the people from every quarter, surrounded the house. 
GEN.19.5	And they called to Lot and said to him, “Where are the men who came to you tonight? 
GEN.19.6	So 
GEN.19.7	and said, “Please, my brethren, do not do so wickedly! 
GEN.19.8	See now, I have two daughters who have not known a man; please, let me bring them out to you, and you may do to them as you wish; only do nothing to these men, 
GEN.19.9	And they said, “Stand back!” Then they said, “This one 
GEN.19.10	But the men reached out their hands and pulled Lot into the house with them, and shut the door. 
GEN.19.11	And they 
GEN.19.12	Then the men said to Lot, “Have you anyone else here? Son-in-law, your sons, your daughters, and whomever you have in the city—
GEN.19.13	For we will destroy this place, because the 
GEN.19.14	So Lot went out and spoke to his sons-in-law, 
GEN.19.15	When the morning dawned, the angels urged Lot to hurry, saying, 
GEN.19.16	And while he lingered, the men 
GEN.19.17	So it came to pass, when they had brought them outside, that he said, 
GEN.19.18	Then Lot said to them, “Please, 
GEN.19.19	Indeed now, your servant has found favor in your sight, and you have increased your mercy which you have shown me by saving my life; but I cannot escape to the mountains, lest some evil overtake me and I die. 
